ParlaMint-NO_2012-06-15.ana.ud2276e160	The representative, Mr Höglund, wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e797	The representative Hans Olav Syversen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e802	After reading the setting of the revised carefully, it is quite clear that the Christian People's Party is by far sharing our understanding of both the crisis out there and the situation of the economy here at home. The Christian People's Party underlined the importance of following the rule of action, and then they are on the same oil money usage as the government party. The Christian People's Party is also the party that both in the budget in the fall and now has a tax arrangement that is quite close to the government party. I have respect for the Christian People's Party's internal processes in connection with the partners, but when it comes to economic policy and they override the economic divisions, I wonder how the Christian People's Party feels most at home, on the right or on the left side of Norwegian politics.
ParlaMint-NO_2012-06-15.ana.ud2276e810	I also have largely respect for the internal party assessments referred to by the representative, so I will deal with that. But when it comes to how we're going to look at the big picture of the economy, I'm actually going to say that the revised budget actually shows an approximation between the vast majority of parties in the view of where we stand financially. What's the challenge for the government is that many people see that we need to think differently about investment. There is nothing new in the Workers' Party either. Anne Marit Bjørnflaten, the main representative of the Labour Party on the transport side, said here – until she was ‘cut down’ by the head of government himself – that we need to think again about investments. Now, maybe we're going to have a revision at a point where we see that there are dividing lines, and it's worth noting.
ParlaMint-NO_2012-06-15.ana.ud2276e817	I have read with interest the Christian People's Party's proposal to increase housing and will praise the party for focusing on social housing. At the same time, the Christian People's Party has supported the proposal for a significant increase in the BSU's maximum framework. Both are comprehensive and costly proposals and, within a sound economic policy, most of the parties in this Chamber realise that priority needs to be given to. The question is, if the Christian People's Party has to choose, will they bet on those who most need the help of society to get a place to live, or on those who need it least?
ParlaMint-NO_2012-06-15.ana.ud2276e824	If it's a contradiction, which I'm not quite sure it always is, it's clear that the Christian People's Party is engaged in a good welfare offer. To take the housing policy: we are concerned that those who come in for the first time are given an opportunity to do so. It is about strengthening the BSU, but it is also about ensuring that you have arrangements where you can rent, for example. through cooperation between the housing co-operation and the municipalities, and then you can gradually buy into the apartment you are renting. That is what we have been proposing here in Stortinget. Unfortunately, we did not get the SV's support for this. But the representative can be absolutely sure that if there are any proposals from the government – which we unfortunately have to see – that will strengthen the housing supply in this country, we will be there from the first moment. But so far it is only the opposition that has promoted that kind of proposal – unfortunately.
ParlaMint-NO_2012-06-15.ana.ud2276e831	The representative of the Syversen questions whether the Veterinärhögskole gets a place at Ås. I don't think it's necessary with such dramatization from a man from Oslo. There are so many demands from the Veterinary College that I also think they should have a little more accuracy in their demands in the situation that we have – a little more sparingly. When it comes to housing financing, I noticed that the representative Syversen felt a little uncomfortable about the attitudes he has now taken, and said that something had to be done about the housing supply. One of the problems here is that the role of the House Bank has been severely stripped through the EEA agreement – which I was part of when I was State Secretary in the Ministry of Local Affairs – so there is a Christian People's Party centrally located. My question concerns economic policy. The basic plan of the Christian People's Party has a strong social anchoring. Will the agility of economic policy become greater or less if the Christian People's Party departs from the red-green side?
ParlaMint-NO_2012-06-15.ana.ud2276e840	We're not going away from the red-green side, it's a side we've never been to! So it's probably a little bit difficult to move the way the representative thinks. I have to take two things. In the case of the Veterinary College, there has to be a connection between what you present to people and what's going to happen. What the government has now done is, first of all, to raise the cost of $1.5 billion, second, to disappoint everyone who thought they got proper premises at Ås. You've done both things at the same time – it's done well. So I might be a little bit more sober even when it comes to describing that situation. In terms of well-being, everyone knows that the Christian People's Party places common well-being high. We showed that in Bondevik I and Bondevik II. The representative Lundtigen can be absolutely sure that the Christian People's Party is going to have a social stamp on any project we should be in.
ParlaMint-NO_2012-06-15.ana.ud2276e849	The cord shift is over.
ParlaMint-NO_2012-06-15.ana.ud2276e852	In our alternative to the government's revised budget for 2012, the Left has chosen some areas where it is required that we get a more offensive and clearer course. In particular, there is a need for commitment to school, education and research, a forward-looking and innovative industrial policy, and an ambitious environmental and climate policy and a targeted poverty reduction policy. The left calls for a will to bet on the future – school, research, innovation and innovation. There is a broad political consensus that it is knowledge that we must live on in the future. The government itself admits that Norwegian teachers are still below the OECD average in the case of continuing training, yet there is not a new crown for this. The key to a good school is better and more motivated teachers. Therefore, the left wants an additional appropriation for the enhancement of skills, training and recruitment of several teachers. It is also incomprehensible to the Left that the government does not use the chance to increase the funding of universities and colleges, all the time we know that the number of applicants for higher education continues to grow. There are more than 7000 higher education applicants this year than last year. The left therefore proposes 2000 more places of study than in the government’s plans to meet the increasing candidate mass at the time of the harvest. In addition, the left proposes an overall increase in research and higher education spending of about 700 million. kr. The left is concerned about the overall environmental profile of the revised national budget. Quite rightly, some measures in the field of classical nature protection supported by the Left, but unfortunately the draft revised budget reveals that the government does not have a real willingness to invest in environmental and climate action. This is particularly strange given that the government recently presented a climate communication with ambitious objectives, but without action and direction to achieve those objectives. Quite rightly, some of this is corrected by the climate agreement here in Stortinget, but far from everything. The total therefore proposes to the Left a addition of approx. 300 million. kr for environmental and climate action on the budget of the Ministry of the Environment and the Ministry of Oil and Energy and 775 million. in increased appropriations for railways, bicycle paths and other public transport. One of the most important things we can do is to lift more poor children and families out of poverty. In the 2009 election campaign, the Left took the initiative of a joint commitment to combat poverty. It was all agreed in the election campaign, but when the Stortinge dealt with proposals from the Left, the government failed the parties. This was repeated when the size earlier this year dealt with the distribution notification. There were no concrete promises from the government, and the government parties voted down all of the 25 concrete proposals of the Left to overcome the growing poverty we unfortunately see among children and children's families in Norway. However, this is not a matter left. Therefore, the Left proposes to grant a total of about 1 billion. to various measures to combat poverty, in particular among children and families with children — including: several targeted actions, such as the allocation of 350 million. SEK to increase the social assistance rates by approx. 20 pst., or equivalent 1075 kr more per month for a single social welfare beneficiary. The left also proposes to allocate 75 million. kr to graded parental payment in kindergartens, so that the poorest pay less than today. And we're proposing an increase of 177 million. EUR 55 million for different drugrelated interventions. to various measures to help children and young people with writing difficulties to combat drop-outs in secondary school. The left believes that we need many more new businesses in the future if we are to ensure well-being for future generations. If we're going to do this, we're going to have to make sure that more people start on their own -- not least more women. We then have to remove all discriminatory rules and arrangements for self-employed workers. There needs to be better tax rules, better social arrangements, simpler regulation, better access to risk capital and lower start-up costs. The left therefore proposes an overall increase of 723 million in bets on small businesses and businesses. SEK and a targeted tax relief for business of about 670 million. kr. I would like to highlight in particular the proposal to strengthen the social rights of the self-employed, by granting approximately 160 million. kr for increased self-morbidity compensation. We also have several proposals in the revised national budget that I cannot reach now. Overall, the Left reprioritises about 4.5 billion. to make a targeted effort to bring children and families out of poverty and to focus on the environment, knowledge and innovation. Finally, I address the Left's proposal.
ParlaMint-NO_2012-06-15.ana.ud2276e871	The representative Borghild Tenden has taken up the suggestions she herself referred to. It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e876	Here there was a good deal of direct and indirect criticism of the government. Therefore, I would like to hear what positive things the Left has to say about the government's economic policy in general and revised the national budget in particular. The left is a party that has long traditions as a center party that can cooperate with both sides. The left – apparently at least – is very much in common with the broad lines of economic policy. In any case, the Left puts itself on about the same oil money usage as the government. Left also writes in the setting that much goes better than they had reason to expect just one and two years ago. Despite this, the representative chooses to use a good part of his intervention on negative government policy. Now I would like to hear the representative Tende say something about what binds us together. What do we agree on, and what do we have in common in terms of economic policy?
ParlaMint-NO_2012-06-15.ana.ud2276e881	I can say very much positive about the government's policy. The most positive thing is that they relate to the same financial expenditure – the rule of action, as we call it – as what we in the Left do. Then they have a tough course – the motto to the government is a tough course. But we in the Left think it's getting a little too bumpy in that way that they don't have any willingness to give priority, and they don't have any political direction, as we see it. That is why I stressed in my speech that we need to focus a little more on knowledge, on industrial policy, on environmental policy and on more on the poor. We would like the government to be able to bring it into the next state budget.
ParlaMint-NO_2012-06-15.ana.ud2276e886	The left talks a lot about climate, but little about the basic points about climate. I want to talk a little bit about carbon. Carbon has two main sources: oil, gas and coal or living plants. The centre party knows what to focus on, the green plants, it's the ones that are renewable. The Left proposes to phase out subsidies to forest roads and to forest planting under the Agricultural Development Fund of 60 million. kr. There are modest but important measures that correct market forces and increase forest production within – and I stress this again – a multi-use approach, where more attention is to be paid. So the party left performs to take it away. My question is: will the Left have lower growth and the highest in Norwegian forests?
ParlaMint-NO_2012-06-15.ana.ud2276e896	I have to say, as I do, that I have very much respect for Lundteg's knowledge in this area. I want to praise him for that, and that in most debates he addresses that issue – that is important. So for forest roads and granular planting, which also tends to be a matter between us. I have said, and can repeat, that I am against – and have been for a long time – the massive mining in the West, by which I, as a Westerner, have seen negative effects. The plants grow too fast. Then there are the forest roads, to which the left has also been critical, because we do not want to subsidize degradation of biodiversity.
ParlaMint-NO_2012-06-15.ana.ud2276e905	I thank you for your answer. I respect that both planting and forest highways involve intervention, and therefore this is now being done in such a way that one should take more into account. It is a very important piece of legislation, not least in the case of forest roads, which ensures that it is done in a sober and environmentally friendly manner. But my question was: Will the Left have a lower growth and the highest in Norwegian forests – yes or no?
ParlaMint-NO_2012-06-15.ana.ud2276e914	Forests and forestry are important, also for the Left. But once again, the massive granulation and subsidisation of what happened in the West from my childhood – I was involved in it myself, I didn't quite understand what I was doing – and until today, because then afterward subsidising forest roads to extract the plants that destroy a lot of biodiversity, left is against. Actually, Lundtigen just has to accept that.
ParlaMint-NO_2012-06-15.ana.ud2276e919	The cord shift is over.
ParlaMint-NO_2012-06-15.ana.ud2276e922	It's important that we put what we're doing into a larger context, and to the extent that we also ask ourselves the question of what it looks like around us. While Norway has low unemployment, high professional participation, and with us the economy is growing, we see countries around us in Europe struggling. Many countries have borrowed too much. In many countries the level of debt was high before the financial crisis, but large budget deficits during the recession made the situation worse. When the banking sector got into trouble, it became clear that private debt could end up as government debt. Poor economic growth has further weakened confidence, especially in the most indebted euro area countries. Powerful action has been taken by the authorities. European banks have been lent substantial amounts in the long-term and low-interest European Central Bank. Greece has got a new crisis loan, its debt has been written down. The EU crisis fund has increased its lending capacity. The measures have helped to alleviate the unrest, but the fundamental problems in the euro area have not been solved. One has to get control of growing and high government debt, one has to get economic growth up. Only this can bring down the high unemployment rate. This is not just a question of tightening up and tightening up the budget, perhaps it is primarily a question of using scarce resources to boost growth and opportunities for those who are currently out of work. There are 25 million people without a job in Europe. Worldwide, there are 200 million unemployed, 27 million more than in 2007. In Spain and Greece, youth unemployment is over 50pst. Economic growth in developed countries is too poor to increase employment in particular, and unemployment is predicted to remain high for a long time to come. This is why the situation in countries around us is about individuals and the future of these individuals. We read daily about tragedies that this creates for people, when they no longer have a job, about youths who are being excluded, youth without hope and faith in the future. It increases the risk of social unrest and riots, as we have seen examples of already. In two days' time there will be a new election in Greece. We are hoped that the election will give us an outcome that will give the country a governing government. Without a government able to address the country's fundamental economic problems, uncertainty will increase in both Greece and the euro area. In Spain, banks have been hit hard after a sharp decline in the housing and property market. It gives reason for learning too many. Last weekend, it became clear that Spain would apply to the EU for assistance to strengthen banks. Spain is thus the fourth euro area country that has had to ask for assistance. So it is that low growth in Europe creates challenges for the rest of the world and the world economy as well. The rise hoped for in the United States now seems to be further away. Much hinted at the end of last year that the labour market created new jobs and that the economy was improving. We've had bad news in the last few months. Growth seems to slow down in China, India and other emerging economies. Europe is the most important market for these economies. We see that there is a relationship between countries and economies in the global economy. This means that Norway will not be left untouched by what is happening around us. We see that interest rates on sovereign debt, which has been high for a while for the most vulnerable euro area countries, are now even higher. Countries where Spain and Italy face borrowing rates in the market that are higher than those countries can live with in the long term, as growth prospects now appear. In the United States and Japan, interest rates are still low, although debt as a share of value creation is higher in these countries than in the euro area countries. If trust were to fail in these countries too, the situation in the world’s financial markets would become chaotic. At the heart of this reality is Norway and the Norwegian economy. We have large natural resources that are important for Norway, but the history of Norway is our ability to link work and resources so that we can create progress and well-being for everyone. The labour force is our most important resource – we must never forget it. We must never lose sight of the fact that in a troubled world it is not just about creating jobs in Europe, but it is also about ensuring that Norway is able to manage so that we can maintain low unemployment and high employment. We have a good framework for economic policy, and we must maintain that. It has helped to strengthen confidence in the Norwegian economy. It has helped Norway to be seen as a country capable of coping with difficult economic challenges. In addition, there are other areas of the economy that we have to take care of. We need to further develop good regulation and supervisory arrangements in financial markets; we need to avoid getting into the situation that other countries have been in. Then we're going to carry with us the lessons of our own banking crisis, and we're going to carry lessons from what we see in the world around us. An important challenge in the Norwegian economy is wage growth. It has been higher for many years than our trading partners. In the last ten years, real wages in Norway have increased by nearly 30pst. In other countries, real wages have hardly grown at all. For Norwegian employees, real wages and salaries growth means a rise in purchasing power. For industry, the high wage growth in Norway in isolation has weakened its ability to compete. Employment costs in Norway are significantly above what our trading partners have, but the challenges have been mitigated because we have a large surplus in trade with the rest of the world. We cannot rely on the fact that we will continue to benefit from the ever-increasing price of our exports. If the crown continues to strengthen, many businesses can be hit hard. That is why the rule of action is important. It provides an anchoring for the use of oil money over the budget. Such anchorages are now more than ever important for the Norwegian economy. It contributes, as I said, to predictability and stability. We have put forward a proposal for a revised national budget, to which the Stortinget agrees, within a responsible framework that is in line with the rules of action. The use of oil money is well below the 4 pst track, and it is important that we are able to continue this for reasons of the price of the crown and the competition that Norwegian industry encounters abroad. The rules of action shall also take account of future generations. The oil wealth belongs not only to us who live today, but also to those who come after us. The rule of action takes account of future generations by requiring the use of oil money to follow the real return of the fund over time. If we go away from the rule of action so that we use more than the real return, the value of the fund will decrease, and it will be less for those who come after us. If we put on such a line, we're going to borrow from the next generation, a generation that will get a great job of paying for the increasing welfare costs that we see coming -- rather, we have to save for next generation's sake. The economic situation of many of our trading partners is fragile. There is a risk that growth may remain low for a long time in developed countries, and there is a risk that it may be subdued in China and other emerging economies. It can reduce demand and prices for parts of our exports. Further declines in growth prospects internationally may also exacerbate financial market turmoil. A fragile world economy affects, and will affect, us. Competitive enterprises are in a particularly vulnerable position. The crisis in Europe illustrates how important it is to keep order in our own house and to strengthen our confidence in our economy. Through the revised national budget, we provide the basis for continued stable economic development in the years to come. We've got a lot more, but we're going on. This way will be about economic progress, but will also be more about human progress and about people's opportunities and futures. The quality of a society cannot only be measured in money. How we feel about each other, and how we are like people and people, is at least as important.
ParlaMint-NO_2012-06-15.ana.ud2276e966	It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e969	The Minister of Finance describes a world full of unrest, with the danger of chaos. He points to high unemployment in many of the countries around us, and he points to great uncertainty about government bonds and the stock market. Nevertheless, in the revised budget, this government chooses to invest all additional tax revenues from the Norwegian people and from Norwegian business into this troubled market. One would think that when it storms around us, we would take better care of our money. Cambridge Systematics International had just representatives in Norway who pointed out that if an investor invested more money in the main road network in Norway, a get back NOK 3.50 for each penny an investor. It would be a safe investment, where we were not in danger of losing the values. Does the government actually think that the best thing to do if you get an extra tax credit is to invest it out in the troubled world over good Norwegian infrastructure?
ParlaMint-NO_2012-06-15.ana.ud2276e978	One of the most important things about the State pension fund abroad is that it is a long-term investor. This means that you can bear the fact that it swings on the world's stock exchanges and in the world's markets. It's important that you keep that in mind. Then we've had a lot of discussions with the Progress Party lately about the relationship between investment in Norway and abroad. The Progress Party has promoted many Document 8 proposals. One Document 8 proposal is to change the rule of action, and in order to impose even more work on myself, I would suggest that the Progress Party further promote a Document 8 proposal, to change the law on the state pension fund abroad, so that it can allow money to be invested in Norway. When the Storting will deal with such a proposal, we will see whether this is a proposal on which the Progress Party is given particular encouragement, or whether it is actually such that the Progress Party is left standing alone on such a proposal.
ParlaMint-NO_2012-06-15.ana.ud2276e985	When the government has today turned the rule of action into ideology, according to the chairman of the committee, I do not see that we are able to get a majority to change the government's ideology. I think, however, that among the Norwegian people, a lot of people would like to be able to drive on better roads and get a railway that worked better, rather than seeing that the money goes to cheap loans abroad. It is a small paradox that some drivers in Norway have to drive on toll-funded roads and pay interest at 6.5 p.m. when the oil fund invests abroad at 1.8 p.m. However, it is already the case that today one can invest a little of the oil money in Norway, for example. almost half a billion dollars were allocated to seed funds in the revised budget, which are not to be included in the budget balance. So one has to do it on the outside. One can use oil money to invest in SAS, but one can't invest in roads. Then one will give an answer that an issuer debt securities etc. – yes, a loan finances these investments instead of using oil money, but it is a technicality. What makes the airport a good investment, but not the road?
ParlaMint-NO_2012-06-15.ana.ud2276e992	First, I would like to say that I think it is good that the Progress Party now realises that there is no majority in the Stortinget to change the rule of action to open up the state pension fund abroad to invest money in Norway. That's good. But the proposal can be promoted so that you get the final test on it. In the case of seed funds – I will conclude with it – it is true that, yes, it is true that it is proposed to invest funds for seed funds in the revised national budget – 425 million. kr below the line, which is capital contributions to those funds. But there is one more thing: 227 million is invested. kr above the line to account for any losses, taking into account the proportion to be contributed by the country in relation to private investors and 3 million. to manage the funds.
ParlaMint-NO_2012-06-15.ana.ud2276e999	The finance minister said in his speech that we cannot rely on just increasing costs in the coming years. I agree. An increasingly high cost situation in Norway contributes to a decrease in competitiveness, to a doubling of the Norwegian economy, and to an increasing dependence on oil both for jobs and for the economy. But I did not hear a single word about what the government intends to do with it, other than to have a bad course. It is a good thing to keep up the use of oil money, but it is not enough to counteract the cost growth we have experienced, because the competitiveness has been weakened every year under red-green rule. So the question is, what does the government intend to do to bring about a competitive sector transformation and dampen cost growth?
ParlaMint-NO_2012-06-15.ana.ud2276e1009	A good development in the Norwegian economy is based on three legs. One is what we do in Stortinget through what we call financial policy. Keeping a strong fiscal stance is an important contribution to curbing the pressure on interest and thus the pressure on the krona, and if the krona goes up, competitiveness will be lower. The second leg is pay terms. Responsible settlement of income is incredibly important. Therefore, it is important that one builds on what we call the front-facing model in the future, that it is the ‘god on the gild’ that first negotiates, so that one brings it with him. When the two things work well together, the pressure is less on those who are going to set the interest rate. That's the main strategy. However, in addition to this, there are many other things that lie within the State budget: infrastructure investments, several study places – for example, we suggest. in the revised national budget to increase the number. So one has to run forward in large and also on a broad front with other measures, for which there might be a slightly different assessment. But all in all, it's important to bet on both the big and the small.
ParlaMint-NO_2012-06-15.ana.ud2276e1014	The finance minister took us on a journey in the international economy, and that's a description I think the very most people in this room join. Therefore, I would like to ask a little about the interaction that the representative Lundteg and the undersigned were in. There is no move on one ear in this setting. All the government proposes, will be adopted as a dot and a dot. Now, the Minister of Finance is very mild in form, but it may indicate that he is all the harder in the gulf, in the sense that this government no longer allows the government parties any swirling in this room. When you don't even manage to attend to the offer of hearing impaired people, my question is: is all the room for action now reserved for the government parties in this room?
ParlaMint-NO_2012-06-15.ana.ud2276e1021	That's two things I'd like to say. First of all, it doesn't have to be a big surprise that a majority government gets its proposals adopted in the Storting – I've experienced it myself. I was in Stortingen during a majority government early in the 1980s. The second is that of course there is an interaction and an interaction between the red-green representatives in the Stortinget and what is happening in the government, before one submits, for example. a revised budget or a government budget, so that they have a significant influence on what becomes the final result. Then I want to say finally that I am listening to good suggestions from the opposition. I think I have an ability to take along good suggestions from the opposition, which we bring to the government's work. During the day, we discussed issues such as: a very good proposal by the representative of the Sevensen to strengthen consumer protection in the financial sector. There are good proposals that are likely to be treated very well — and even a few majority.
ParlaMint-NO_2012-06-15.ana.ud2276e1028	I tend to get a line on that left cutter in the net pay scheme. Unfortunately, I didn't get that this year, so I thought maybe I would take the line of the finance minister. What we have said there is that it is unfair in relation to land-based travel and fishing. Econ Pöyry has said it's socio-economically unprofitable. Many claim that if Norway had stopped subsidising the net pay scheme, other countries would have done the same. Then I read in Today's Business on 13 June that there are some delays within the government because of fighting about subsidies, that the Minister of Finance and the Minister of Industry disagree about this subsidy. Could I get any thoughts around it?
ParlaMint-NO_2012-06-15.ana.ud2276e1037	I believe that both the representative Tenden and the undersigned could quickly agree that in a non-profit world there should be competition on equal terms. In such a world, we should also have minimum subsidies in individual countries to promote special industries or to promote specific competitive conditions. It's not like that. There are many different reasons why countries choose to support their industries. This is also the case in shipping and within what is known as the shipping industry. What is referred to from today’s Business life about a conflict inwards is probably considerably exaggerated. These days we will send a letter to Brussels in response to an EU enquiry. I'm not going to pre-shoot it, but I think it's going to be a good answer.
ParlaMint-NO_2012-06-15.ana.ud2276e1044	So the line change is over.
ParlaMint-NO_2012-06-15.ana.ud2276e1047	The representatives of the largest opposition party here at Stortinget have so far in this debate produced the government parties almost as both a bit of quirky and boring because of the rule of action. I want to say that in reality it's the exact opposite. Safe economic governance is an expression of will and visionary policy, and it is a prerequisite for social development based on security, justice and equality. The politicians who do not want to take the difficult priorities do nothing more, they get less, and they leave to later fixing the problems they have created. In addition, the bill is sent to those who have the least already. That is why the Labour Party will continue to strive to keep the economy in order and to equip itself as best we can against what is happening in Europe, while at the same time facilitating further transformation and innovation for tomorrow's businesses and jobs. At the same time, we will further develop the welfare community – and we do. This week, Stortinget has dealt with many issues and made many decisions that take Norwegian society further. We started on Monday by treating a very good climate report and a very good climate deal, such as. is about developing climate technologies, investing more heavily in urban public transport and investing more in climate-friendly construction. On Wednesday we deal with the municipal proposition. It is true that since the government change in 2005, municipalities have provided full child care coverage, employed 22,000 new year-olds in care and care, raised hundreds of schools, and we also see progress in school outcomes. Until the next year, the income of municipalities continues to increase significantly, so that development can continue, and so that municipalities, among other things. may employ all the competent young people who are now applying for teacher training. I fully agree with Mr Sanner that the teacher is the school's most important resource. Then I would like to remind you that when Røres Kristin Klemet took over the Ministry of Knowledge in 2001, she took over more teachers from Trond Giske than she herself left to Øystein Djupedal. While the Right guided the knowledge policy, 19,500 more students came to primary school. At the same time, the number of teacher’s years went down by over 1,000. After the red-green government took over, there are 8 000 more teachers employed in school. The Labour Party is very concerned about combating social differences in schools too, and therefore we will continue to spend the community's money on the community economy, teachers and the community school, not on tax cuts. We do not want to open up the large-scale privatisation project of the school that Right has been at the forefront of, and that will lead to both greater social differences and poor school performance, as demonstrated by the experience of Sweden and Denmark. As I said, it makes a difference whether we bet on welfare or rates on tax cuts. Yesterday, we adopted new large-scale investments in Defence, and also in the revised budget, action is being taken to improve the welfare community. 50 million. kr for breast cancer construction is an example of this. When the Right had a national meeting earlier in the spring, Erna Solberg spent a lot of his speaking time on the Workers' Party and on the Government, and meant among other things. that the government has more money, but that's all they have. It is a rather amazing statement in the light of the fact that the same party has now opened up to negotiate economic policy with the Progress Party. I have also noticed that when the Right is challenged on how to finance their tax cuts, the answer is to do things a little bit more modern and a little more efficient. But when it comes to the alternative budgets and the difficult priorities, the Right jumps off. We saw that, among other things. An example of yesterday when we were to gather about the future defence structure. At that time it seemed very unpleasant to take the difficult choices, because then you risk getting unfriends.
ParlaMint-NO_2012-06-15.ana.ud2276e1068	It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e1071	The representative Pedersen has now not only turned the rule of action into ideology, but she said that the rule of action also provides security, justice and equality. It's pretty sensational. This rule of action is absolutely incredible, and it's probably being copied all over the planet, I'm going to assume. In Norway everything works according to the representative Pedersen. Well, you could say that school is struggling, and the differences are increasing. So even though the claim was that the others create differences, it's under the red-green differences in schools. 700,000 lives on different social benefits. Immigration is increasing record-breakingly, Oslo is being segregated, integration and crime statistics are struggling to show a strong increase in the number of seizures. And then there's another phenomenon, and that's that the government parties fall on polls. Does the representative, Pedersen, think it's related?
ParlaMint-NO_2012-06-15.ana.ud2276e1081	I think there are quite a lot of other countries on this globe, as the representative Tybrung-Gjedde pointed out, which would actually wish that in earlier times when things went well, one had an action rule that made it possible to have a buffer even when the difficult times went in, and that one had not done like many of the right-hand sentences in other countries, prioritized tax cuts when the sun shined and everything went well. The result is that many of the same countries now have to increase taxes while leaving the job. This situation will not risk the Labour Party in Norway. Now it's about transforming for the future business life, focusing on the welfare community and at the same time preparing us for the crisis to take place in Norway too, and then we're going to have something to go on.
ParlaMint-NO_2012-06-15.ana.ud2276e1086	Listening to Helga Pedersen gives you a strong impression that the Workers' Party is training on the opposition role. The working party appears more and more as an opposition party and as a rather acid opposition party. Because here, it's primarily about throwing down on others and blaming everyone else. One of the major challenges the representative faced is the social differences in school. Then you get the impression that when the school results rise at PISA, it's Kristin Halvorsen's honor, when the social differences in school increase, it's Kristin Clemets' fault. The Labour Party and SV have been in government for seven years, and now it is time to start taking responsibility for the increased social differences in school. It doesn't just keep talking about the teacher, you have to bet on the teacher. It is the real challenge of the Workers' Party to give priority to everything but to bet on the teacher, for example. through continuing training.
ParlaMint-NO_2012-06-15.ana.ud2276e1094	What Mr. Sanner is saying is completely wrong. Both I and the other representatives of the Workers' Party here have been very clear on what our priorities are, and it is also quite clear that there are still many mistakes and shortcomings in the Norwegian society that we want to correct. But I am very surprised that the right time and time again disapprove of political debate in the main hall and dislike to be asked what their options are. Let's recognize that there are still challenges in school, but let's also agree that many things are going in the right direction, and that 8,000 new teachers are a very good starting point for continuing to smooth out social differences.
ParlaMint-NO_2012-06-15.ana.ud2276e1101	The chairman of the Finance Committee started by raising the rule of action to the government's new ideological anchoring party, and I think the Labour Party's parliamentary leader was quite close to her, too. And then this is the question of investment, which most of the parties, except the Workers' Party, have seen that we have a challenge with it. I refer to an article that was in the evening post on 14 May, where it was found that ‘Sweden opens eight times more motorways than Norway’, and Professor Selberg says the following: ‘We build in a way that gives little money.’ Then the Labour Party's leading transport policy is interviewed, and she corresponds the following to the paper on whether the Workers' Party is thinking something new: ‘The working party considers that public development companies should raise loans in order to ensure and speed up road and rail development.’ That's what the government has shot down. My question is, has Helga Pedersen also shot it down after the Bjørnface's attempt to think new?
ParlaMint-NO_2012-06-15.ana.ud2276e1111	I'm very happy that the Christian People's Party is one of those parties that still profess the rule of action, to say it like that. So let's now agree that when we agree on that, there's a real choice whether you want to spend the money on tax cuts or welfare, and whether we're going to spend it on operations or so-called investments. I say yes, thank you both. We need to invest – we need to invest in transportation. That's why we're now using approx. 10 B.C.E. kr more a year than the Bondevik II government did. We have invested in 8 000 new teachers and have to invest in even more in the years to come. We have invested in full child care coverage, and we have invested 1 billion. drug treatment, which is an important investment in these people. Now let's agree that the most important thing is that we take the overall priorities, and then we can always have a discussion about how we technically implement this in the best possible way. But welfare and investing in future societies are more important than tax cuts.
ParlaMint-NO_2012-06-15.ana.ud2276e1118	That's the line change.
