ParlaMint-NO_2012-04-25.ana.ud1447e26	The representative, Mr Svendsen, will put forward two proposals for representatives.
ParlaMint-NO_2012-04-25.ana.ud1447e421	Let me take this with the policy first. One of the reasons why there's not equality in this room yet is, among other things, that the party makes good choices, which means that a few men and almost no women in the hall. It's just reading the list of representatives, and we can quickly agree that this contributes to a gender bias. I think progressing partisans are as talented as progressing parties. Nevertheless, there is an unusually large male overweight. Then you get to think about why that happens. In business, studies have been carried out following the introduction of the quota rules in the ASAs, which show that the persons on board, who are women instead of men, are as qualified, as well-trained and as well-trained as those who sat there before. There was no lack of talent that caused few women – there was no need to look for the capable women who existed. The nomination provisions have helped simply election committees and general meetings to produce more talents in the Norwegian business community. It's good for women, it's good for business, and it's good for Norway – even if it's stupid for the Progress Party.
ParlaMint-NO_2012-04-25.ana.ud1447e431	Three follow-up questions will be raised – first Per Roar Bredvold.
ParlaMint-NO_2012-04-25.ana.ud1447e434	On 1 January 2006, a Gender Distribution Act entered into force on ASA Governors. It says that at least 40 pst. by the representatives of the Governing Board shall be women. The Progress Party was the only party on the Stortinget that voted against this law, which also had retroactive effect, with a transition period of two years. The party of progress voted against this law, as we are opposed to discriminating people because, among other things, we are opposed to it. sex. The Progress Party wants to equalize people. Qualifications, not sex, will determine your career, and you will be met as the one you are. In the case of ASAs, it is a fact that the number has been significantly reduced – they have shifted to becoming ordinary ASs. While today it is approx. 200,000 ASs, it's only 300 ASAs. When you look at these developments, the Council of State and the Government really think that the ASA project has been a success – so when you see the negative trend in the number of companies that have ASA as their way of being run?
ParlaMint-NO_2012-04-25.ana.ud1447e443	Yes, I believe it has been a formidable success. The only thing I'm sorry for about the proposal for quotas in the ASA companies is that it was not a red-green government that proposed this, but a government council from the Right, Ansgar Gabrielsen. I would like to have the credit for both proposing it and having it adopted. Then we'll see if we can get the credit to expand this to the very largest of the corporations. A good question is, why should it apply to large ASAs and not to the very largest AS? But once again, I'm clarifying: it's about the biggest companies, not the hundreds of thousands of small ASs. If it was such that female talents emerged automatically in society, why did it go so many years before we got more equality in politics, more equality in business and more equality in the university sector? Does the Advancement Party think that women actually didn't have this talent, didn't have this motivation, didn't have this drive? Or can you see that there were other, structural reasons why women didn't come forward, and that you had to take action, just to ensure equal opportunities, so that both girls and boys can have the same dreams of what they're going to be, and what they're going to do here in life?
ParlaMint-NO_2012-04-25.ana.ud1447e452	Svein Fleet – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e455	This follow-up question goes to Council of State Aasrud. What we heard from the Minister for Gender Equality through the newspapers was perceived by the owners and managers of 165 000 small limited liability companies, and some larger ones, in Norway as spending a lot of their time -- I kept saying -- chasing the daughters of others rather than having their own sons into the boards. This is going to mean a lot more work for the companies, but it's also going to mean state bureaucracy. It's going to mean control arrangements, it's going to mean follow-up, and it's going to mean sanctions against the thousands that are not going to get this done in the small companies. Therefore, I think it is relevant to ask the Council of States what thoughts she has about what it will mean for simplification and state bureaucracy that we put in place such a system.
ParlaMint-NO_2012-04-25.ana.ud1447e464	I am absolutely sure that Norwegian companies, the large ASs – if we choose to introduce quota provisions there too – will quickly see that they have the same benefit of having all the competences available to the large ASA government that they have, and that we have seen have been sensible in a number of areas of society. I am absolutely sure that, if you choose to introduce it, essential control mechanisms will not be necessary to fulfil what is intended by such a proposal. And then you have the opportunity, of course, to report through annual reports, and in other ways, how to put together your board. This is done today, and I am absolutely sure that it will not mean an increase in the load on the one that might apply.
ParlaMint-NO_2012-04-25.ana.ud1447e471	Øyvind Hope - for the last follow-up question.
ParlaMint-NO_2012-04-25.ana.ud1447e474	The follow-up question goes to the Minister of Industry. It is true that former Minister of Industry Ansgar Gabrielsen was an important contributor and co-player in order to get this in place, but the bill was presented by the Minister for Children and Gender Equality Laila Davay. Since then, the Women’s Panel has proposed the introduction of a 40 pst rule in relation to the top and middle management level in state establishments. It might be interesting to hear the Minister of Industry's reflection around such a suggestion, in the light of the well-deserved rose he gave the Bondevik II government for its grip. But then I could imagine challenging the Minister of Industry to reflect a little on the importance for the Norwegian business community that we have actually carried out this new crime work through this 40 pst. rule, which makes us secure women and men 40 pst. representation on the boards of public limited-liability companies.
ParlaMint-NO_2012-04-25.ana.ud1447e483	Honor him who is to be honored, that the Christian people may have their due honor. It further reinforces how clever it is of the Christian People's Party to cooperate with us rather than with the main issues of the Progress Party. I think this is probably an area where it is much easier to find with us a sensible and good policy. I think we're not just going to rest on the quota rules, because there are some areas where you can't quota yourself to good results, for example. when you have a single management position — even at a middle management level. That's why we've now asked our companies to have gender equality strategies in the field of recruitment and management, and I think we should also have a conscious strategy for it in other areas. I think this is a fantastic competitive advantage. When I travel around the world and see businesses and businesses where they don't use women in the same way, I think that jamming me here we have a big and secret weapon that uses our entire population in its full potential – also for Norwegian business.
ParlaMint-NO_2012-04-25.ana.ud1447e492	Let's go to today's last main question.
ParlaMint-NO_2012-04-25.ana.ud1447e495	My question goes to the Minister of Renewal and Administration. The Council of State is responsible for government administration and for renewing and streamlining the State sector. In the time of the red-green government, we see that bureaucracy has made its appearance in a number of areas, and there is little evidence that this will change. Since the beginning of 2007, the number of employees in, for example: The state road service increased by 1,473. This means that Vegvesenet has had one new employee every day since 2007, without building more new roads. The analysis institute Menon also presented this week a report from the Academics on public procurement, which shows that it can be saved – a conservative estimate – between 20 and 30 million. kr per year in this area. In addition, in the health sector, more than 12 000 new years have passed since the hospital reform was introduced, but more than 6 000 of these are non-medical jobs. Municipal Norway is also becoming more expensive and expensive – it is not necessarily the responsibility of the Council of State, but it is the government’s – and the administration is growing and growing. In fact, the bureaucracy bill grew by a total of six billion. kr from 2005 to 2009. In the Communication on State and Municipality – which the Council of State itself was discussing earlier today, and which we are now discussing in the Committee – the government points out that there has been a sharp increase in state legislation in the major sectors of municipal activity. The government also says that you have to look at the directorates, and it says: «The government believes there is a need for more knowledge of how changes in the directorate's responsibilities and tasks affect municipal freedom of action» [[...]] The question will then be: does the Council of State share the Right's concern about the growing bureaucracy? And if not – what does the Council of State think it is that has failed in the last seven years?
ParlaMint-NO_2012-04-25.ana.ud1447e510	The fact that there have been 1473 more employees in the State Road Administration, I believe that this government has made a strong commitment to transport. Much more money is spent on transportation, and it is also important that we be able to carry out good transportation projects at the right quality and price. There must then be some who ensure that both the purchases made by the State Road Service are correct, and that the private companies that provide services to build the roads are controlled, so that you get good quality of what you buy. Then I agree that it is important that we focus on, among other things: purchases. Making purchases efficient and correct is a good contribution to reducing red tape and moving work, as we prefer, to other parts of well-being. Then it is important that we constantly review and see if it is possible to make savings and put in place measures that make us run the public sector more efficiently. I believe that the digitisation programme that we are presenting now is an important tool. Being able to use digital tools, digital work processes, also helps us reduce bureaucracy. We've seen that in the tax case and the state loan fund. But there are large and demanding tasks ahead of us to make use of this and to make it more efficient in the whole sector, so that we also have services that are interconnected.
ParlaMint-NO_2012-04-25.ana.ud1447e517	It was a little difficult to attend the press conference on digitisation, because it took place at the same time as the Stortinges Question Time two weeks ago. But there are some other elements that the government obviously has not intended to do anything about. The question then is whether it is the government's view that the number of heads in the public sector is a good target for wealth development in Norway. Is there a drive for efficiency in the government – that's what we need to ask questions about. I have not heard any good proposals from this Council of States on how to streamline the public sector beyond that digitisation message, which is another message to be launched in the long term. The question then is whether the Council of State would like to renew more and manage less, or whether the concept of renewal is an empty shell without content.
ParlaMint-NO_2012-04-25.ana.ud1447e526	I can inform the representative of Greece that the press conference is at government.no, and can be seen at any time completely independent of time. The main steps taken by our government in renewing the public sector are the major reforms on pensions, disability and the effectiveness of our healthcare system by providing services at the right level. The interaction reform is a difficult reform of renewal, which helps us to use our resources more properly than we have done in the past. These are the most important grips. The most important steps are taken in each sector by how we operate and organise the various measures there. State Council Giske is now looking at Innovation Norway. This is a good example of how we are constantly helping to renew and ensure that as many public budgets as possible can be used for well-being rather than for bureaucracy.
ParlaMint-NO_2012-04-25.ana.ud1447e535	Two follow-up questions will be raised – first Øyvind Halleraker.
ParlaMint-NO_2012-04-25.ana.ud1447e538	I think we should stick a little bit to the transport sector. There has been a real drought since 2005. Let me give you a little rug: The Bondevik government established Mesta and then implemented a regional reform within the state road system and saved 800 million. kr per year for road construction. The example of this government is that it also had a regional reform and transferred 18 000 km of road to the county municipalities, accompanied by a number of increases in the number of bureaucrats both in the county municipalities and in the state road system. Actually, it's now that of 7.5 billion. kr that goes to operation and maintenance on the roads, it is actually only 700 million. kr that goes to the asphalt and road surface. So it's going in the wrong direction. What are the plans of this Minister for Renewal in the transport sector?
ParlaMint-NO_2012-04-25.ana.ud1447e547	It is the Minister of Transport who is responsible for the organisation of the transport sector, and we have a Minister of Transport who is committed to using the means to maximise the use of the Road Administration's resources in the right way. Then I am absolutely sure that the Minister of Transport will focus on exactly what Halleraker’s representative has to say – that we get the most production of road services for the funds that Vegvesen has, and use them as much as possible for bureaucracy. The Minister of Transport has also announced in connection with the Digitalisation Communication that we are taking simple steps to ensure that we are now not sending out banners. It is an important, symbolic tool, which also shows that the mode of transport uses the digitised solutions. I think it's also going to get more of that in the future.
ParlaMint-NO_2012-04-25.ana.ud1447e554	Gjermund Hageseeter – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e557	While many countries around us are reducing bureaucracy, we are increasing bureaucracy here in Norway. This means that in the short term we can keep unemployment in Norway lower than we could otherwise do, but in the long term this will obviously weaken competitiveness and drive unemployment back. In Norway, we have many municipalities that are also struggling with the economy. According to ICT-Norway figures, municipalities could save several billion dollars each year by better and more efficient use of ICT in the municipal sector and also by coordinating their web form. The challenge for the local government sector is that we have a lot of municipalities that can't coordinate this themselves, and if something is to be done, one must also take action from the central government. Then my question to the Minister for Renewal is: is there any plan to take action, so that a co-ordinates the web form in the municipal sector and gets a more efficient use of ICT in the municipal sector?
ParlaMint-NO_2012-04-25.ana.ud1447e568	Yes, it is. KS has taken an affordable initiative to coordinate the local government sector. There has been an investigation work, which is now under management in KS. My department has contributed to financing that work, precisely because we see that it is important that the local government sector acts more coordinatedly. If we are to be able to achieve coordination gains between the municipalities and the state, we need to meet a more consistent municipality of Norway than is the case today. Although there is heavy cooperation between the ten largest Norwegian municipalities in the ICT field, it is important that Kommune-Norway is more consistent and can also have the right expectations of the state in the interaction we need on ICT. We welcome the coordination approach taken by KS and look forward to having a clear municipality of Norway, which also demands the state and can contribute to the development tasks we have together.
ParlaMint-NO_2012-04-25.ana.ud1447e573	So the oral question procedure is over.
ParlaMint-NO_2012-04-25.ana.ud1447e585	There will be some changes to the configured question list. In this context, the President refers to the list distributed in the seats of the representatives in the Chamber. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Line Henriette Hemdal to the Minister for the Environment, has been withdrawn Question 4, from the representative Arne Sortevik to the Minister for Transport, has been transferred to the Minister for Finance who is responsible. However, the question has to be postponed until the next Question Time, when the Council of State has left. Questions 8 and 9 from the representatives of Øyvind Korsberg and Jan Arild Ellingsen respectively to the Minister for Defence are postponed to the next Question Time when the Council of State has left.
ParlaMint-NO_2012-04-25.ana.ud1447e607	This question has been withdrawn.
ParlaMint-NO_2012-04-25.ana.ud1447e614	A question to the Minister of Justice: ‘Rights believe that a good society is growing from below, from commitment and commitment to civil society, among individuals and families. Today, an immigrant with a temporary residence permit risks being sent out of the country if he takes on voluntary work in addition to a full job. What will the Council of State do to ensure that migrant workers who fulfil the full-time requirements of an employer are not penalised for taking on important voluntary positions in the field of leisure?’
ParlaMint-NO_2012-04-25.ana.ud1447e628	The Government aims to ensure a comprehensive voluntary policy that facilitates everyone’s participation. In order to follow-up and concreteise this, the Ministry of Justice and Security introduced a new provision in the Foreign Regulation which regulates the admission of foreigners to voluntary, free-of-charge work for humanitarian, non-profit or religious organisations without requiring a residence permit. This provision entered into force in June last year. The new provision is intended to clarify that it is possible to participate in voluntary free-of-charge work regardless of the authorisation of the non-resident in Norway. Non-residents, such as: thus having a residence permit to work or study here, it shall be possible to carry out such work on a voluntary basis, free of charge, even if this does not result from the residence permit. Similarly, asylum seekers and other non-residents without a residence permit shall also be able to participate in such voluntary free-of-charge work in line with others. There are certain requirements for the free work that foreigners can do without a residence permit. Voluntary work free of charge must include, inter alia: exclude activities normally carried out by paid employees or those normally purchased by traders. This is partly due to the prevention of exploitation and partly to the prevention of competition with industry. There may be cases where the foreign authorities will have to take action and assess whether a foreigner actually carries out voluntary free work or whether the work is of such a nature that the performer is expected to receive remuneration as in a general employment relationship. In the latter case, a residence permit will normally be required. The control of such cases is essential to prevent the exploitation of non-residents and to ensure the proper functioning of the system of voluntary, free-of-charge and residence permits for workers under foreign law. I would like to stress that I am concerned that any foreigner, with or without a residence permit, should be able to participate in the type of voluntary free-of-charge work exempted from the requirement for a residence permit in the new provision. I would also like to receive further feedback if the representative knows that the system is not working as intended.
ParlaMint-NO_2012-04-25.ana.ud1447e641	This matter has, of course, its origin in a specific matter. It's a Chilean civil engineer who has a full-time job but wants to be a good citizen of society. He has taken on a job that is not free of charge, because he has to be paid – it is Uloba he works for – by helping a severely disabled boy four hours a week. On the basis of that work, he has received a letter from the UDI saying that he risked being sent out of Norway because he had broken the terms of the Foreign Affairs Act. I understand this with voluntary, free work. But when someone makes an effort and contributes to being a good citizen of society and integrates, it should be avoided that they are met with the kind of reactions from the UDI. Now the matter is over, fortunately.
ParlaMint-NO_2012-04-25.ana.ud1447e650	As I understood the last remark from the questioner, he says that this matter is settled. I can confirm that. Based on the information I have, this concerns a non-resident who has been granted a permanent residence permit. I think it is very important that we have legislation in this area that ensures exploitation and social dumping, and that the scheme concerns voluntary work for humanitarian, non-profit and religious organisations. There may be volunteer centres, sports teams, etc. But in terms of work that we normally expect is paid, and where we know that there can be situations of exploitation, I think we have got a sensible regulation in place.
ParlaMint-NO_2012-04-25.ana.ud1447e657	I have to say, I'm going to miss the last answer to the Minister of Justice. I very much agree that we are not going to have a code that allows for social dumping, but in this case we are actually talking about an immigrant who is integrating, who will participate in the Norwegian community, who – I kept saying – will contribute to the great Norwegian virtue. He doesn't help a disabled person four hours a week because he needs that money. He does it because he has a social commitment. Then the question of the law might be a little square. It is okay that the matter has now been changed, that he has received a permanent stay. But there has been a pretty heavy burden in the quite long time this case has been going on, where he, because he assumed – call it – a social mission, was threatened with being sent out of the country. That is not the way we can do it, and I ask the Minister of Justice: is there any chance that a person can look at the legislation again to find arrangements for this to be done?
ParlaMint-NO_2012-04-25.ana.ud1447e666	I do not think this needs to be isolated into a problem that concerns only foreign asylum seekers or other foreigners who are applying for a stay in Norway. The discussion of what kind of activity can be imposed or agreed to be made unpaid is a discussion we know from other circumstances in our society. It is important not to establish legislation which is unclear as to what is normal to buy in the market from local or other traders, or as to conditions suitable for exploitation and social dumping. An asylum seeker or another foreigner who wishes to stay is in a vulnerable situation. That is why, in my opinion, the legislation is well prepared.
ParlaMint-NO_2012-04-25.ana.ud1447e677	I have the following questions for the Minister of Justice: ‘Both of Troms and Middle Hålogaland police districts are now coming to voice concerns about a reduction in the number of posts. Both police districts face major distance challenges. This negatively affects the response time, and the threshold to pull out is going to be high. How does the Council of State explain this reduction in positions, and how does this fit with the description given by the Council of State to the Stortinget on developments in Police Norway?’
ParlaMint-NO_2012-04-25.ana.ud1447e686	The Police Directorate allocates the budget framework to police districts once a year without subsequent additional appropriations and then in the light of the State budget. Police districts are not allocated posts, but a framework budget that the police chief has made available to achieve the best possible police service in the district. It is police district management who is responsible for resource allocation and service arrangements and who assesses whether resources should be used for posts or deployed in other important areas to ensure a good police service throughout the police district. I would like to point out that the government has provided a significant strengthening of the police budget and also to increase the admissions to the Police College in recent years. Additional funds have also been allocated to assist police districts in recruiting high school police students who have passed the graduation exam. Trom's police district has a budget of 212.2 million. kr for the current year. This is an increase of nearly 6 million. kr from 2011 to 2012. The budget for Middle Hålogaland is 192.3 million. kr, and there is an increase of close to 4 million. kr from 2011 to 2012. Troms and Middle Hålogaland police districts are like other police districts facing investment needs, which require strict financial management and also a good balance between operational and investment expenditure. I trust that the disposal of resources by police officers in Troms and Middle Hålogaland districts will provide a satisfactory police service in the districts.
ParlaMint-NO_2012-04-25.ana.ud1447e695	I hear the Council of State says that the government has strengthened the police, but the truth is that the police feel that their budgets are such that they need to reduce the number of posts to get things going around. This means that the police officers now warn that it will go beyond the provision of services. There are fewer tasks to be carried out and, in addition, there will be an impact on preparedness. More than me are engaged in this matter now. One group of rapporteurs in the region has said that the 20 posts mean that you get a longer response time, and that you no longer have the certainty that the police will actually come when you really need it. Could the Council of State imagine going to Middle Hålogaland and getting involved in the police situation in one of the country's most important police districts, which include Ofoten, Lofoten, the West and South Troms, and which actually also have four medium-sized cities in their midst?
ParlaMint-NO_2012-04-25.ana.ud1447e702	The government is planning to present a performance reform to the Storting in the area of the Police and Lone Civil Service. I would like to welcome an invitation to both that part of the country and other parts of the country to get an insight into what the challenges look like in the different parts of the country. We need to have a high quality service. We're going to have a well-trained corps that's used for police tasks, and there's been a question of how we can use civilians in the police and county seats as well. I am absolutely sure that the use of new technologies on a larger scale than today could also help to increase the quality of the service provided by the Norwegian police every day.
ParlaMint-NO_2012-04-25.ana.ud1447e711	High quality of service must mean that the police can really exert power on what should be the police’s most important tasks. One of the challenges for the Middle Hålogaland police district is that it is a large district, but one of two districts in Norway that do not have a prison in its immediate vicinity. This means that the police in this police district are being wasted extra for resources, both related to people who follow to and from prison, and the money this transport costs. It has been working for a long time to establish prison places in this region, but this remains equally unresolved. Will the Council of State now contribute to the establishment of detention centres in Central Hålogaland and to the release of police officers from travel management activities to other, high-priority police tasks? What other measures will the Council of State put in place to ensure that 117 000 citizens in this police district have a police service to ensure that the police are there when needed?
ParlaMint-NO_2012-04-25.ana.ud1447e718	Of course, in addition to money, quality through education and skills, there is also a question of the number of officials. The government has also facilitated an increase in the number of trained police officers. Of course, all of this is linked. Prison transport is a resource-intensive part of the police service, but it is also important to ensure that we have a modern facility at our prisons and institutions in criminal matters. That's why we're running a capacity plan for the criminal justice system. That there will also be opportunity to see these things in context in the future, I'm sure.
ParlaMint-NO_2012-04-25.ana.ud1447e736	This question has been transferred to the Minister of Finance, who is responsible for the matter. However, the question has to be postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2012-04-25.ana.ud1447e743	I have the following questions for the Minister for Transport: ‘I, the undersigned, on 16 April 2012, had the joy of driving from Rognan in Northern Ireland to Oslo. Parts of the road network are good, but the jam is very bad. Not least, the area from the Nordic border to the south and into the sea is very poor. The same applies to the area from the lake to the basket. Whenever those driving the E6 in Northern Ireland can expect this road to have a quality that is at least as good as rv. 3 through the Østerdalen, since today there are many quality differences, although one is a national road and one is a European road?’
ParlaMint-NO_2012-04-25.ana.ud1447e752	I agree that there is a great need for improvements to E6 in Helgeland, in line with many other road sections in Norway. In the 2010–2019 national transport plan, government funds for the recovery/restructuring of E6 on the E6 Brenna–Brattås–Lien section with plant start during the first four-year period and completion during the last six-year period have been added. In addition, priority has been considered as a matter of priority for State resources to start the recovery of E6 on the Mo-Bolna and Mo-Osen routes during the last six-year period. It is further argued that if a partial toll-funded E6 deployment is agreed on in Helgeland, it will be possible to further develop it. Recovery of E6 on the Brenna–Kapskarmo route started in 2011. Work will be continued in 2012 with a view to completion in 2013. In addition, local authorities have joined an arrangement for the partial toll-financed deployment of E6 on Helgeland. Although the municipality of Hemnes has withdrawn its accession, the county council has decided in February this year that the municipality of Nordland is nevertheless in favour of toll-financed development. It is therefore well suited for the further development of the E6 in Helgeland, but the final priority of state resources for development beyond 2013 will normally be through work on the National Transport Plan for the period 2014-2023. I can make sure that I see it as important to secure good standards for E6 both in Helgeland and further north.
ParlaMint-NO_2012-04-25.ana.ud1447e759	I'm not going to take this out to a debate on tolls, because there I know where the government is, and the government knows where the Progress Party is. We're going to leave it. I'm a little worried if it's the way ambition here is as vague as it is, because when you drive through Northernland, you don't have an alternative way to drive, like you do. if you have, for example: shall drive from parts of the East where you can drive rv. 3 or E6 to the north. There's an option. If you want to drive a car through the state of Nordland, the E6 is the solution. Today, the qualities that can otherwise probably only be experienced in thousands of joys in heavenly experiences and visions. I think that's worrying. That is why I want to challenge the Council of State to be even more concrete: This means, for example, that, as the Council of State said instead, all the time you have a majority government, you can expect to have a consistent quality of E6 in the Nordic countries corresponding to Rv. 3 during the next planning period of the NTP?
ParlaMint-NO_2012-04-25.ana.ud1447e768	State council Meltveit Kleppa answers whether or not there will be an end to the heavenly experiences of E6.
ParlaMint-NO_2012-04-25.ana.ud1447e771	The rightmost one with the descriptions that Elling here gives. Let me underline: there are constant improvements on the road network. We're now using traffic for 12 billion. kr more per year than a few years back. Although a lot of money has been made. It's probably only one week since I was standing here answering a question from a progress party representative. That's what I'm talking about. 3 and questions about reparation there. That's what we're repairing for 100 million. kr every year. There's also a lot of mess, just like it's on the E6 along Helgeland. But as I said, there are several measures happening in this period, and it is spring 2013 that we are going to take a final position on what the national transport plan for the next ten years will look like.
ParlaMint-NO_2012-04-25.ana.ud1447e778	With all possible respect, I'm going to repeat myself from now on: it's probably the case that the Council of State, in the light of backwardness, is reasonably aware that that Council of State, together with the rest of the government, is probably adopted in the Grand Duchy since it has a majority government. But also leave the rhetorical debate. Governments pointed out the improvement of quality improvements. I think that's good. Then I'm going to challenge the state council on another part of it. A few years ago, we opened the Korg Mountain Tunnel. It has now been closed because of the wasteful work, which has resulted in large televised passages through the openings in the tunnel in the south and in the north. It has now been said to be closed for six months. I don't remember the amount of rehabilitation, but it was big. I have also understood that it was actually believed that the private contractor has not done a good enough job, but that after that one has gone back on it. Since the Council of State is concerned with quality raising, how are we to avoid scandals of the type that I believe the Korgberg tunnel is, which hit the drivers in such a way that you are now going to drive the old road again, and avoid throwing good money after bad money?
ParlaMint-NO_2012-04-25.ana.ud1447e787	I will have the most possible path and the most possible path for the money. So we're constantly concerned that we're going to spend the most of the money we're allowed to maintain, and where there's talk of renewal, restitution and new ways, the most possible of the money is going to that. But sometimes it is that work needs to be done better. Then it happens that one has to close in order to get that improvement. Let us be happy that we also have legislation on road safety, which means that we have to close down. Then people can enjoy a better Korg mountain tunnel. Then I have to say that everything is so great as now is done both by better maintenance and by new plants. But I look forward to, like the representative Ellingen, further improvements along the E6 in Northern Ireland, because that is necessary.
ParlaMint-NO_2012-04-25.ana.ud1447e798	‘A recent report to the Bergensalliansen shows that the inhabitants of the Region Vest have significantly higher self-payment per capita in road projects than the rest of the country. This reality is reinforced by the proposal for a statute which has now been presented. Most dramatically, the difference in a 45 pst. Achievement of the national transport plan would be timely, with 52 pst. in the West Region and 37 pst. in other regions. Will the Council of State do something in its work on the national transport plan to correct this imbalance?’
ParlaMint-NO_2012-04-25.ana.ud1447e805	I notice that the representative Halleraker is busy with the geographical distribution of the next national transport plan. So am I. This government has a clear objective of providing an efficient, accessible, safe and environmentally friendly transport system that meets society’s transport needs and promotes regional development. I believe the representative Halleraker has agreed with me that this is a good goal. The proposal to which the representative refers is precisely a proposal from the Eta and Avinor to the Ministry of Transport and the Ministry of Fisheries and Coastal Affairs. This is the basis for the work that is currently being done in the two departments. I've said that before, and I can repeat it here: the ultimate plan that is being made for the Storting will be different from this proposal. The proposal from the etats and Avinor is not just one suggestion. The proposal contains measures and priorities within four different framework levels. This will provide us with a basis both for final framework distribution and for redistribution between sectors and regions. Halleraker takes only one option, the highest one, and picks out only one region. There is a lot to choose from in the proposal, and with other framework levels, the distribution is of course different. There are just such questions that we are now working to clarify. I must also remind you that the numbers in the proposal on tolls are, of course, only an estimate. When it comes to tolls, for which Halleraker also asks questions — let me just underline that tolls are useful for the first where there is local and regional initiative to do so, and for the second where local and regional tolls are involved. Then there is handling in the department and in the government before we may put a case before the Stortinget. So these payments must be processed locally and regionally before they are finally settled in this room. We can't, and we won't, control these local initiatives from Oslo. In the next national transport plan, we will have a good regional distribution. Yes, I have even said that I have an ambition that we should have an even better distribution than in the existing national transport plan. I also hope that will be the result when Halleraker and the others in this room have completed their national transport plan until next year.
ParlaMint-NO_2012-04-25.ana.ud1447e820	I thank you for your answer. I want to go a little further on the reasoning about this in terms of the profitability strategy that has also been launched in the NTP proposal, namely that we want to achieve the highest possible social benefits for the invested crowns. A 49-billion-billion-dollar investment framework. will provide a net benefit of 37 billion. Then it's actually like that of 47 pst. of this total net profit for the country comes to 37 million. from Hordfast and Rogfast, which are two very important projects on the E39 in the West. Will this not mean that the E39, and especially the Rogfast and Hordfast, must be given a high priority in the Council of State's NTP proposals? Can we expect it to happen when she makes her proposal, and is as clear as she was at Intercity bet earlier today?
ParlaMint-NO_2012-04-25.ana.ud1447e829	Intercity, from today's point of view, was followed up in a big-time message presented to Stortinget. It was the etatane's proposal also with Intercity. I have underlined that I want to have a time fixing, and I am very happy that the government has joined it now. When it comes to Hordfast, Rogfast and the Free E39, I'm also very happy that we've seen a job going along the entire ladder, where we've got some clarifications so far, where we're going to get someone in 2012. What I can say about it today is that both Rogfast and Hordfast are very important projects and have good figures for profitability. Finally, when and how do I have to get back to the next national transport plan? Rogfast's inside it.
ParlaMint-NO_2012-04-25.ana.ud1447e836	I thank you for your answer. Let's keep going with the NTP and the climate message as it's been up to date today. This is where there is a great deal of initiative on the railways, and in particular the Intercity Triangle here in the East. That's very good. I would also like to mention my belonging to Hordaland, which has been the initiative of the business community on an Intercity section of Stavanger–Bergen. But does this great effort mean that the road sector will get less? And in that case, will this not mean that the share of the own-payment – that is, the share of the toll – for parts of the country that do not benefit from this major railway effort will be even more distorted? Then we're back to the main question.
ParlaMint-NO_2012-04-25.ana.ud1447e845	Thank you for saying for the first time that in today’s NTP, i.e. during this four-year period, the Eigenestunellen – which is an important part, an important start on the free E39 – is ready. There's funds in there, and it's also such that they're trying to lead Rogfast. Secondly, Intercity — alerting the climate and time-fortification today, and expanding the railways in the other metropolitan areas. Thirdly, a railway bet shall not go beyond the road. The distribution between track and road in today’s NTP shall also form a basis for the future.
ParlaMint-NO_2012-04-25.ana.ud1447e858	I would like to ask the Minister for Agriculture and Food the following questions: ‘Despite the new farm communication, only 6 pst. by Norwegian farmers, a strong belief in increased incomes in the future. This shows that Norwegian agricultural policy is not working and that new elements need to be introduced, as the Progress Party wants. Does the Council of State understand the pessimism that exists within parts of the industry?’
ParlaMint-NO_2012-04-25.ana.ud1447e865	The representative of Bredvold refers to a survey carried out by the Nations in the context of the handling by the Storting of a communication on agricultural and food policy. 37 pst. they have great or partial confidence that the agricultural notification contributes to a farmer's income increase. 30 pst. they have little or no confidence in an income promise for the farmer. I have met many who are concerned about the incomes of agriculture. I say to them that the government takes those signals seriously. Therefore, every day, the red-green government has worked systematically to improve the income opportunities in the industry. So far, according to the Ministry of Agriculture, we have given agriculture the same incomes as other groups have. Income opportunities have arisen as a result of increased target prices, increased budget support and increased agricultural deductions. With effect from 2012, we have simplified and removed the food production fee, which will also strengthen the competitiveness of the food industry. We have also improved investment opportunities by increasing depreciation rates for livestock. That's what we've delivered. The revenue has increased by more than 70 pst. Since the red-green government assumed responsibility for Norwegian food production, we now promise to ensure farmers' income development and social conditions in line with other groups. The government will therefore further develop agricultural incomes and welfare policies, based on the agricultural policy pursued after 2005. On top of this policy, we have set an ambitious target of increasing production. By 2030 we will be six million Northmen. Therefore, the main objective and message of the new agricultural and food communication is to increase food production in Norway, as demand for an increasing population increases. Together, this shows the government's willingness to strengthen Norwegian agriculture. I also think it is a relatively free question from the representative of Bredvold. So for what revenue increase is the Progress Party able to promise the Norwegian farmer? It's little or nothing. In the context of the examination of the 2012 State Budget, the Progress Party proposed to cut the agricultural agreement by 7.5 billion. kr in one year. It corresponds to a 62 pst cut in agricultural remuneration for labour and equity. Calculated per year on the total agricultural account, it corresponds to a decrease in income of about 1 %. DKR 140 000 How such a policy should give confidence to increased income in the future is incomprehensible to me.
