ParlaMint-NO_2012-10-10.ana.ud2057e26	The representative Dagfinn Højbrätt, who has been on leave, has again taken the seat.
ParlaMint-NO_2012-10-10.ana.ud2057e439	My question goes to the Minister for Fisheries. Nutritional research is, of course, the great loser in this budget. However, the Ministry of Fisheries's budget proposal says that 1 DKK of reduced tax via the TaxFUNN scheme administered by the Research Council gives 75 dollars for research purchases in the marine research institutes, plus approx. the same amount of research and development in companies, i.e. SEK 1.50 in research and development effort per capita in tax cuts. Does this not show that the chairman of the financial committee, Torgeir Micaelsen, is wrong when he says that all tax cuts are unsolidaristic and give less of what we want more of, and that on the contrary, some tax cuts give more of what we want more of, and could benefit from being strengthened in the state budget, if we really thought it necessary to strengthen research efforts?
ParlaMint-NO_2012-10-10.ana.ud2057e446	The President then gives the floor to the Council of State, Lisbeth Berg-Hansen, in this research debate.
ParlaMint-NO_2012-10-10.ana.ud2057e449	Thank you, President. I wonder if we should have another Council of State here, the Minister of Finance, because it is essentially he who governs with taxes. But I can take a general discussion of tax-related challenges and investment in research. It is quite obvious that the different types of taxation have different meanings and that their effect is different. I would rather answer a little more about the research challenges that this sector is facing. As in all sectors, it is a challenge that the private share is low. I would like to see it higher. It may well be that there is tax-motivated research — we have the TaxFUNN scheme, which is used by quite a number of companies. But otherwise, when it comes to the establishment of taxes in relation to research, the Minister of Finance gets the answer from the appropriate Council of State. But we have some incentives to increase research efforts also in the seafood sector. We can come back to that when we are going to debate the budget in more detail.
ParlaMint-NO_2012-10-10.ana.ud2057e458	Henning Warloe – for follow-up questions. The President assumes that we should return to the Minister of Knowledge.
ParlaMint-NO_2012-10-10.ana.ud2057e463	Yes, President, my question goes to the Minister of Knowledge, who is also the Minister of Research. Of course, for those of us who are concerned about research policy, it is the most exciting thing to discuss. I'm going to admit that for me, there has been more research than research in the last six months. [[Laughter]] It might be a contribution to putting us in a better mood, to say something funny. I have to say that I understand that the Minister of Knowledge is concerned that you have to have a good mood when reading the budget, because it is quick to get into a different mood. Many actors in the field of research do when reading this budget. I have to admit that I dove a little, because in the 2013 budget, it's actually a real growth. It's been a while since we've seen it. Last year it was zero. The year before that again, it was zero, and this year, it's 2.2 pst. The Council of State sees it so that this bet, this increase of 2.2 pst. in three years, is sufficient to strengthen Norway’s competitiveness in the field of knowledge?
ParlaMint-NO_2012-10-10.ana.ud2057e472	It's a real growth of 32 pst. since 2005. This means that publicly funded research has gone up from 0.8 pst. of GDP to 0.92 pst. GDP. So this is going in the right direction. The objective, as we all know, is that the public share of research should be 1 pst. GDP. We have a significant challenge in the field of nutrition research, i.e. the research in Norwegian business. It could be due to some extent to our business structure. But it is quite obvious that we have a very great need to get up, really in all areas of society, a recognition of the need we constantly have to be ahead of knowledge development. I think we have a good research budget. I mean that we have a good growth and that it goes the right way. But in this area we have to look around the world and see that many are in the mound, and that we have to be on the mound as well.
ParlaMint-NO_2012-10-10.ana.ud2057e477	Dagrun Eriksen - to the last follow-up question.
ParlaMint-NO_2012-10-10.ana.ud2057e480	Getting an undertaking to ask questions made me happy, to talk about mood. I think some reason why we're quite frustrated in this case is that we get so many feedback that competent researchers spend so much time writing applications for applications, looking for funds to realize their research, to realize the things that can actually help bring this country forward. They are in a bad mood that these means are too few and too scarce in relation to what they could have delivered. Then it doesn't help us – whether it's called creative computations or not – 35 pst. real growth. Likewise, frustrated researchers spend a lot of time just writing applications. Then is my challenge to the Council of State: how are we going to be able to realize more of this instead of this just becoming a discussion about real growth or not, and whether one has been better than the other? Because that doesn't help us forward as a nation.
ParlaMint-NO_2012-10-10.ana.ud2057e487	The problems that Dagrun Eriksen is facing are some of the things that are going to be discussed in connection with the research that Stortinget will get in the spring. There are very important issues related to how we ensure good research environments in Norway, and how we ensure a certain long-term perspective in research tasks and policies. It's important to be good. Many people spend a lot of time writing applications. So I just want to add finally in this debate that this is also about what kind of priorities you are doing in relation to the big money in the future. I think it's interesting to follow the debate in the Christian People's Party on which way to lean in Norwegian politics. Now the Right Party and the Advance Party are running and discussing how much tax breaks they're going to have for the next period. It's going to be a place between 25 billion. kr and 100 brd. kr. It's going to eat up a lot of the action space that Norwegian research, among other things. needs.
ParlaMint-NO_2012-10-10.ana.ud2057e494	Let's go to today's last main question.
ParlaMint-NO_2012-10-10.ana.ud2057e497	The red-green government now has its seat of power for seven years. What's interesting to notice in that context is that in those areas where the government has no policy, no focus, it's going pretty well. But in the areas that the government claims are important to them, where they want to have a focus, and where they have a policy, things are going pretty bad. Housing policy is an area where the government party claims to be important to them – a bet area. That's where it's going pretty bad. We do not have land there, we do not have housing. There is also a galloping price increase, which causes many young people to have problems getting into the housing market. What, then, is the government's housing policy? There the government has shown great creativity when it comes to calling for new bans, laws and regulations, which make housing harder and harder to build. The Law on Planning and Construction has been strengthened. This means that it takes a very long time to regulate. One today has 22 state agencies, which are responsible for preventing housing construction. One has no governmental authority to promote housing. When it comes to the design of the dwellings, the government is out with centralized detailed regulations that set requirements for the dwellings, both how the windows should be and how the density of the house should be. Now it shall also be forbidden with valves in the dwellings, and one shall also pressurise the dwellings. So this isn't working. My question to the municipal minister is: wouldn't it have been time to try a little simplification instead of going wrong?
ParlaMint-NO_2012-10-10.ana.ud2057e511	That government prioritised the first years of government, was to repatriate the social housing policy, which lay down, and also to give those at the bottom of the table an opportunity to have a safe housing. Since 2006, we have had a strong population growth, and we have also had a financial crisis, which led to a decline in housing construction in 2009. Now she is about to get up again until the level she was before. It should help to strengthen, through the measures provided by the government. It is the municipalities that are responsible for facilitating the planar and the plot area and ensuring that we are able to speed up the building locally. The government takes responsibility for walking through planning processes. I do that together with the Minister for the Environment when it comes to the follow-up to the construction message, which Stortinget received in our course. We're looking at the counterinstitution, whether we can coordinate and simplify it there. I have had a large collection of workshops that include: different parts of the industry were involved – and received many good input into simplification measures. We also presented simplification measures in the Building Communication. We aim to reduce the size of construction projects in municipalities by nearly 30 p.m., which will allow municipalities to prioritise the more complex issues. Today I will have a meeting with the construction industry for, among others. to discuss what is the reason for the increase in costs, to get a common reunited platform to discuss further on – and not shadow boxing through the media. I am very happy that someone is very strong – and hopefully also very strong – from the industry at that meeting. So we're working on a lot of fields to get the pace of building, so we're going to have housing in the future with high quality and good access for everyone.
ParlaMint-NO_2012-10-10.ana.ud2057e524	I find that the municipal minister again owes it to the municipalities. It does not take into account that this detail and creativity from the government to seek out new detailed rules, makes it built for few dwellings, and also makes the dwellings that are being built too expensive. One also refers to the construction message. There is a lot of talk, but there is no concrete measure at all to simplify it. That's what I'm asking for. One has numbers that show that 94 pst. by the municipal plans will be met with notice of countersigns. That's bad. Then my question is: does the government not see that the building and housing policy that has been pursued has made worse, and that if one had not interfered – and operate with such detailed management – would more and more spacious dwellings be built?
ParlaMint-NO_2012-10-10.ana.ud2057e533	One should not go back in time to see that this discussion has been completely different. Then, in the country's largest newspaper, VG, and in many other media, there was a strong attack on the government because one didn't take the huge amount of mistakes in housing construction. Between 12 and 15 B.C.E. kr a year was used to correct errors. It was too bad quality. Construction industry has also experienced a decline in productivity from 2000 which is striking compared to almost all other industries. I'm now going along with the industry with a new program, Build21, where we're going to raise productivity and efficiency in the industry. It has great significance for the number of dwellings that are built – and for the price. We'll look at the plot prices and the development of them, what it means for the housing market, and we'll simplify it. We do this both by following up on the measures we put forward in the Building Communication – which was not just diffuse, they were concrete – and we work well with the Minister for the Environment to look at the plan piece. Because there is no doubt that this is where the key might be when it comes to getting matters through faster.
ParlaMint-NO_2012-10-10.ana.ud2057e540	Three follow-up questions will be raised – first Åge Starheim.
ParlaMint-NO_2012-10-10.ana.ud2057e543	I hear what the council says. What the Council of State says is that one should look at things. I had expected that the Council of State could intervene and sympathize that something had been done. Once again, I'm going to say that a lack of action to do something about what one necessarily must have seen doesn't work, when one has a seat of power for seven years. I also hear that the Council of State says it is important to help them at the bottom of the table. What we're recording is that especially young people are in the situation that they almost don't have the opportunity to enter the housing market but they have parents who have enough money to help them get a living. I want to right with the Council of State: what will the Council of State do now to get something done about this?
ParlaMint-NO_2012-10-10.ana.ud2057e552	The most important thing we do for young people and others is to speed up housing in Norway, especially in the press areas. In many districts there is also a large shortage of housing, but this is particularly true of the largest cities. We work well with the cities about that. We have to be able to point out that the plan work and putting plots at the disposal are not about finding guilty. It's about who's responsible, and the municipalities want to have that responsibility. Now, what we're doing is we're going to go through all of the procedures that can simplify. In the construction message, there are some simplifications. There are simplifications going to be no need to search on a given size addition. It's important. For every thing we can take away from the municipal building management, the faster we get the big, heavy construction projects up and down. It's what's important, not least in cities, to get them up and down, the big construction projects that will give young people more choice. We also increase the starting-points of the House Bank, which can benefit not least young people and others.
ParlaMint-NO_2012-10-10.ana.ud2057e559	Michael Tetzschner – for follow-up questions.
ParlaMint-NO_2012-10-10.ana.ud2057e562	It was with interest that I heard that the government meant to return to the social housing building. I think we have to make it clear that we have re-entered the need for social arrangements, or to remain in the Council of State's own image: more people have simply been asked to sit down at the bottom of the table. And very effective in this way is to increase the requirement of equity by 50 pst., from 10 pst. to 15 pst. of the value. The government, as the main concern was, has been very active in the purpose of lavishing the homes, and not so active in looking at what we can do to simplify and produce housing that dampens the price pressure. My question to the Council of State is: In view of the fact that the State has equipped itself with 22 agencies that can block housing projects in municipalities through objections, can she mention one single objection institution she wants to remove?
ParlaMint-NO_2012-10-10.ana.ud2057e571	I can't, because it's not below my range. It lies below the Minister for the Environment – with the plan – so I will not. But what I can say is that I've had a meeting and I'm going to have a meeting with the Minister for the Environment to coordinate and simplify the counterinstitution. I'm very busy with it. Not least we need to look at all the notifications of countersigns being entered to the local authorities, which will cause delays. The dialogue between the various governmental authorities and local authorities must be improved at a much earlier time, so that one can find out where the problem is – without telling us what to do about it – which delays construction processes a lot. That work is in full swing, and we will of course come back to that. I like that, and I really hope that we get good results in that area.
ParlaMint-NO_2012-10-10.ana.ud2057e578	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2012-10-10.ana.ud2057e581	With regard to objections and challenges, it is a recurring issue. It is important to bear in mind that objections largely stem from what we adopt politically. That's why it's also a challenge for us all to show how to balance different good considerations. That is precisely what the policy is all about. My question is related to the actual development of the housing market, where we now see very clearly that it is building up a class division. Young people and immigrants, among others, are two very vulnerable groups where many fall outside the development of the housing market. Then my question is: does the Council of State think that the measures she has so far pointed to are sufficient to balance the enormous gap we see between the need for new dwellings and the pace of construction today?
ParlaMint-NO_2012-10-10.ana.ud2057e589	What we've seen so far in 2012 is that it's been starting to build more dwellings than what was planned when we started this year. I'm very happy about that. As the Minister of Knowledge said earlier, we have double the investment in student housing. It's also important, because they compete in the same market, especially in the larger cities, about the smaller apartments that even young people want to buy. We have not least seen a strong growth in start-up loans and mortgages in the Husbank's tool, which means that one can get big projects together with developers and municipalities, but also start-up loans to young people and others who are what I would call weaker groups, even if I don't want to call them the weakest groups on the housing market. There are others at the bottom of the table than young people and immigrant groups, because they usually have a job and the ability to build up a start-up capital. We closely follow up on this, and it is our job to assess whether we should strengthen them further. But in next year's budget, we have strengthened the House Bank by 5 billion. kr.
ParlaMint-NO_2012-10-10.ana.ud2057e596	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2012-10-10.ana.ud2057e608	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question No 2, by Jan-Henrik Fredriksen, representative of the Minister for Health and Health, lapses, as the questioner is not present. Question No 4, by Mr Bård Hoksrud to the Minister for Transport, lapses because the questioner is not present. Question 8, from the representative Per Roar Bredvold to the Minister for Agriculture and Food, will be taken up by the representative Lars Joakim Hanssen.
ParlaMint-NO_2012-10-10.ana.ud2057e625	Then I will ask the Minister for the Environment the following questions: ‘In March 2012, the Stortinget debated a proposal from the Right on major municipal authorities on motor travel issues in the outland. An overall opposition, as well as the Labour Party and the Centre Party, was clear in the debate that such a change is correct and necessary. Government partners were clear that this would be followed up during the current ageing period. Where is this case today, and can the Council of State confirm that the government will promote a case in order to transfer greater authority in questions of motorised travel to the municipalities?’»
ParlaMint-NO_2012-10-10.ana.ud2057e639	When the representative calls for greater authority for the municipalities in the question of motorised travel in the outland, I assume that there are questions about so-called recreation, because that was the topic of that debate. As the representative refers to, the issue of increased municipal authority on motorcycling was debated in Stortinget at the end of March this year during the consideration of a right-wing proposal, Document 8:40 S for 2011–2012. My predecessor, Erik Solheim, said in the debate that the government will look at possibilities to meet the municipalities by giving them greater authority to decide whether they will open up the creation of a scooter loop for recreational purposes. I have previously confirmed that I want to look at the same question, in line with what the councillor, Solheim said. I'm also aware that many people want it to be clarified. If the government is to present a proposal that gives greater local authority, we must be sure that it can be implemented without, at the same time – and not in the long term – being at risk of potentially significant consequences for outdoor life and natural disasters. We are therefore now working on collecting knowledge and conducting thorough assessments of possible solutions. The evaluations will be important as to whether the government will send a proposal for changes to the hearing. I can't promise anything now about when that question will be settled, but we're working on it and won't let it go too long, and we'll address the question in the current accumulation period.
ParlaMint-NO_2012-10-10.ana.ud2057e648	I record that the Council of State's articles stress that we are still at the same place – now information is to be obtained, now a basis is to be provided. So it's been quite many years since there were test municipalities on this, test municipalities that all reported that this was a good solution. There have been several rounds of this in the years to come, and all the debates here in Stortinget have been clear that we need to do something about this. So once again what's the answer, that now we're going to get the basis, now we're going to make sure that this goes well. Does this mean that the Council of State has not intended to use the experience of the experimental municipalities as a basis, but is required to obtain a new basis for dealing with this matter?
ParlaMint-NO_2012-10-10.ana.ud2057e655	What I said in my answer was that we are working on the question and assessing it, in line with the former State Council, Solheim said in the debate, and in line with what I have answered here in Stortinget earlier. To that we acquire knowledge and look at different aspects of the matter. Part of that assessment is the experience of the test municipalities. I've spoken to several of them myself. I have also been involved in the independent evaluation carried out by those trials, and it forms part of the basis on which the government is now basing its assessment.
ParlaMint-NO_2012-10-10.ana.ud2057e660	It is good that the work is in progress and that the dialogue is in progress. In the March debate, at least the government partners of the Council were very clear that this had to happen, and that it was going to happen now. Yes, even someone thought it should have come in the spring that was, but it was probably too short a time for that to happen. In that debate, the predecessors of the Council of State also invited a dialogue on how to get to this increased local self-government without destroying for what none of us wants it to ruin. So now we're in the middle of the budgetary procedure, and it's only half a year left in the big period. Is it the case that the Council of State will now invite dialogue on this, since it was such a solid majority in the main hall that it wanted to put this in place now?
ParlaMint-NO_2012-10-10.ana.ud2057e669	Regardless of that, I thought that dialogue and input to that question were very wise, and I would like to welcome the views and assessments of the representative Harberg and others, not least the input into what he himself went into, namely how to prevent negative consequences for natural disasters, outdoors and other conditions if one is to open up to increased levels of local self-government. There may be some demanding conjugations that you have to do. Otherwise, I've read the debate that was in the big room in its entirety, so I have a good picture of what the different representatives from the different parties said and meant.
ParlaMint-NO_2012-10-10.ana.ud2057e687	This question lapses, as the questioner is not present.
ParlaMint-NO_2012-10-10.ana.ud2057e694	I allow myself to ask the following questions to the Minister of Knowledge: ‘By decision of the Stortinget in 2009, the University of Tromsø, UiT, has established a two-year master's degree in medical laboratory subjects in which forensics are among the central disciplines. However, the lack of operational resources from the state to the new DNA lab at UiT means that the training cannot provide students with a practical offer as foreseen. Will the State Council take initiatives to ensure the operation of the DNA lab in Tromsø and to meet the Storting's objective of strengthening the national research and teaching provision in the field of legal genetics?’
ParlaMint-NO_2012-10-10.ana.ud2057e703	It is the University of Tromsø that determines the professional bets and priorities it will make within its financial framework, and the university itself determines which courses it will offer. It's about university autonomy. The university has chosen to establish a master's degree in medical laboratory subjects. In line with statutory academic freedom, the university itself determines the content of teaching and the content of research. In the case of the special appropriations for the Legal Genetics Centre at the University of Tromsø, these have been made available under the budget of the Ministry of Justice and Defence. For questions of appropriations, I must therefore refer to the Minister of Justice and Defence. I also point out that in the last month the Minister of Justice and Defence has answered two questions in writing to the representative of the Grandfather Elisabeth Aspaker in this matter.
ParlaMint-NO_2012-10-10.ana.ud2057e714	I wonder at the defensive response of the Minister of Knowledge, because the fact is that when the Stortinget decided to establish this other legal genetic environment in Tromsø, this DNA lab, almost four years ago, it was simultaneously linked to a decision to establish the first legal genetic education in Norway. This is a type of education that professionals in Norway need to go abroad to get. It was then an important premise that these two things should follow each other. My question to the Council of State is: how does she intend to ensure that the decision of the Stortinge is actually followed up, so that the infrastructure needed by this training in Tromsø, which was the intention of the Stortinge, is actually followed up?
ParlaMint-NO_2012-10-10.ana.ud2057e721	It is the Minister of Justice and Security that is the right address for this issue because this education is linked to the DNA lab that has previously been allocated under the budget of the Ministry of Justice and Defence. It is the University of Tromsø that has decided that they want to establish such master's education linked to this lab. So these are questions that the Minister of Justice and Security has to answer.
ParlaMint-NO_2012-10-10.ana.ud2057e728	I wonder at the answer given by the Minister of Knowledge now, because this training in Tromsø has been established following a decision in Stortinget – i.e. on behalf of the national parliament of the country. So there is nothing the University of Tromsø has done with their own ingenuity – they have done it on behalf of Stortinget. The second question I ask is that the Council of State, as Minister of Knowledge, is not more concerned with ensuring that there is quality in this education offer once it has been established and once the Storting has adopted it. My question to the Council of State is: does she really feel no responsibility to follow up this decision? The second information I have received in the last answer from the Minister of Justice and Defence is that the financial responsibility has now been transferred to the Ministry of Health. So my question — one on quality — and the other on quality — is: Will the Council of State take initiatives towards Minister of Health Jonas Gahr Støre to ensure that the financial framework for the environment in Tromsø is put in place to ensure that the quality of education is achieved?
ParlaMint-NO_2012-10-10.ana.ud2057e739	I am a little surprised that this question is addressed to the undersigned, because I am absolutely sure that the representative Aspaker, also because she has just addressed the Minister of Justice and Defence on these questions in the past, is aware of how this is linked. It's this DNA lab that's the starting point for this master's education to be developed in Tromsø. At the moment that the Ministry of Justice and Security has changed its policy in this area and, in addition, wants to transfer it to the Ministry of Health and Welfare, I must almost ask that the questions relating to this be addressed there.
ParlaMint-NO_2012-10-10.ana.ud2057e757	This question lapses, as the questioner is not present.
ParlaMint-NO_2012-10-10.ana.ud2057e764	‘Møre and Romsdal have an active business and the county has significant exports of goods to Europe. Effective transport solutions are very important for the value creation of the county. Unfortunately, goods are being transported too much on an overloaded and worn-out behalf. What will the Council of State do to get more goods across from road to sea, and what will be done to improve the quality of the road network in More and Romesdal?’
ParlaMint-NO_2012-10-10.ana.ud2057e771	As stated in the National Transport Plan 2010–2019, presented in 2009, the government’s freight transport strategy represents both a sectorial improvement, i.e. taking advantage of the different advantages of the different modes of transport, as well as own measures for the transport of transport by road to rail and sea and the organisation of combined transport. After all, the national transport plan represents a strong commitment to transport with an increase in appropriations of 45 pst. in relation to the previous NTP. The increased investment will greatly improve the conditions for both passenger and freight transport and is the main component of the government’s freight transport strategy. Through the 2013 government budget, presented on Monday, the financial framework for the first four-year period of NTP 2010–2019 has been followed up by the government. For More and Romesdal, this means that the implementation of major and important projects such as Kvivsvegen and Renndalen-Staurset on the E39 will be continued and implemented. In these days, the development of Tresfjordbrua and the Wagstrand tunnel on E136 also begins. Another theme that is also important for a state such as More and Romsdal is racial protection. The national transport plan also has a strong focus on racial protection measures, with a high share of both the national road network and the county road network being allocated to More and Romsdal. On the national road network, both the Hjartåberga on E39 and the Uppølsstranda on Riksvej 70, as well as the Wagstrandstunnel on E136, are on-run. On the county road network, there are now significant State grants for the racial protection of the county road 60 between Røhr and Hellesylt. I would also like to mention that through the administrative reform, the government has also strengthened the appropriations for the county road network by over 1 billion. kr per year. In addition, the interest compensation scheme has triggered a new activity in the counties for 2 billion. kr annually. Here, too, More and Romsdal are among the highest-granted states. All in all, this shows that this government is doing a great deal to solve the major challenges we face in the transport sector. I share the representative's opinion that there are important and major challenges both in the road sector and in the transport of goods from road to rail and sea. But this government is well-informed about the priorities in this area.
ParlaMint-NO_2012-10-10.ana.ud2057e784	I thank the Council of State for your answer. We are happy for every penny and every project within transportation. But despite the glaring words of the Council of State about the situation in Samferdsels-Noreg, I'm not quite happy. There's a huge maintenance run on the road network in More and Romesdal, actually 3.1 billion. and better infrastructure is one of the most important measures to improve conditions for industry and business. Does the Council of State think that the 2013 draft state budget, presented on Monday, provides the economic space for action necessary to re-establish the maintenance and better roads in More and Romesdal and the rest of the country?
ParlaMint-NO_2012-10-10.ana.ud2057e793	It is true that there is a large lag on the maintenance side of the road network. It's a aftermath that's built up over many, many years, and it's clear that it's not done on one government budget to take back all that lag behind. But I am of the opinion that this year's budget is a strong commitment both in terms of operation and maintenance, and also in terms of initial investments on our road network. That's how the government has prioritised that we're going to spend a total of 17.8 billion. kr for road purposes next year. That's an increase of 1.6 billion. kr in relation to last year. A large proportion of the funds are also used to maintain the existing road network. Such measures may not always receive as much attention as the new investments, but in the government’s view they are very important measures in the future.
ParlaMint-NO_2012-10-10.ana.ud2057e800	Once again, I thank you for your answer. I want to focus a little bit on transport by sea again. Roads are being filled with freight, and this is increasing steadily. Every day, 500 trailers only roll on E136 from More and Romesdal, and we can put many more on the other roads. This creates a more dangerous and worn-out cause, and in addition, heavy transport is a significant source of climate change. In order to reduce both road risk, road wear and not least climate emissions, there is a need to move more of the goods from road to sea. There are several things that are decisive to move more goods from road to sea, and one of the challenges is the low-functioning and interconnected logistics node. The ports are municipal, the roads are either regional or national, and the railways are state-owned. My question is: will the Council of State take the initiative to step up interaction between the different levels to improve logistical nodes in Norway, and to better facilitate the movement of freight from road to sea?
ParlaMint-NO_2012-10-10.ana.ud2057e811	So, as I pointed out, transport of goods from road to sea is an important part of the current NTP from 2010 to 2019, but there is no doubt that there will also be a very important part of the work towards the next national transport plan to be submitted during the spring session. I can't pre-empt the outcome of the ongoing NTP work, but I can assure you that the question of getting a better relationship between the road network, the rail network and also the freight transport by sea is an important part of that work. Among other things, the government is concerned with questions about its own near-ship strategy, because we also see it as an important piece of realising more goods from road to sea. In the 2013 budget, we have proposed setting aside 25 million. kr for the follow-up to the short-ship strategy. There are also things that we're taking with us into the next national transport plan. So the representative is absolutely right that here there are many actors who need to cooperate as closely as possible.
ParlaMint-NO_2012-10-10.ana.ud2057e824	I allow myself to ask the Minister for Children, Gender Equality and Inclusion the following questions: ‘In the light of the decision of the Committee on Family Affairs and Culture, in May 2011, the Stortinget unanimously adopted a proposal for an amendment to the Children’s Act on the obligation of parents to pay grants for eligible children moving out of the home. Since then, little has happened despite questions to the Council of State on 30 November 2011. Then it was announced that a good job was done in the department. When does the Government promote proposals for amendments to the Children’s Act as adopted by the Stortinget and when does the Council of State expect the amendments to be implemented?’
ParlaMint-NO_2012-10-10.ana.ud2057e833	Let me start by thanking the representative Kambe for the question. As announced in the context of the treatment of Documents 8:125 S for 2010–2011 in Stortinget on 31 May 2011, cf. also answers to written questions, No. 617 and No 617 718 for 2010–2011, the Ministry has launched a review of the rules for determining contributions after the age of 18 to assess the proper functioning of the applicable rules. The work is well under way, but the review has taken a little more time than originally assumed. The review is carried out on a broad basis and the scheme as a whole is subject to assessment. Themes and moments of central importance for the overall assessment are children’s own income and loan and grant schemes, including residents’ grants. These are evaluation themes also mentioned by the proposers in Document 825 S for 2010–2011. My preliminary assessment is that it is possible to modify this by regulation. It's e.g. to allow for the discretionary assessment of the amount of the contribution itself after 18 years. The discretionary judgement will include, inter alia: loans and scholarships received from the Loan Fund could be of importance. A proposal as outlined should be clarified in the regulation and must be sent to the general public before it can be adopted. Experience has shown that such a process takes some time, and it is therefore difficult for me to say exactly when any changes can be made, as the representative Arve Kambe asks, but it does not take a very long time if there are no major contradictions to such a procedure.
ParlaMint-NO_2012-10-10.ana.ud2057e844	I thank you for your answer. I think it'll take a long time – it's only taken the department a half-life to make progress on the matter. It might illustrate the criticism of the opposition and the Right in particular about the government's inability to implement it, when it is a unanimous family and cultural committee that has asked for it – I will clarify my own question, because I wrote ‘adopted’, a unanimous magnification has not ‘adopted’, but has ‘requested’ – without the ministry having done anything but to think out loud. I'm recording that the department has also had other things to work with in the last year, so this probably hasn't been top priority. But for some of these families, it may be economically destructive to pay, preferably a few hundred thousand dollars — in the worst case — for legitimate children who voluntarily move out, when they have alternative offers. That's why it's okay: a regulation is faster than a change in law. So the question is, when does the Council expect this to happen?
ParlaMint-NO_2012-10-10.ana.ud2057e853	I am pleased that the representative Mr Kambe has clarified his question, so that it is in line with what was actually happening in Stortinget, where the proposal was annexed to the Minutes. But it was nevertheless clear leads from a unanimous staging that time. It's also true, as the representative Kambe says, that this has taken a long time, and it's just as true that the department has had a lot to do in this period, so you haven't been sitting and twinning inch eights. I agree with the description that is given that this can of course be serious for individuals, but I am also concerned that we must ensure that children and young people in this country have the opportunity to complete their education. It's an important principle. From that point of view, I assume that we will soon be able to come back with further proceedings in the matter, and we will make sure to get that country.
ParlaMint-NO_2012-10-10.ana.ud2057e862	It's been two years since the Stortinget became interested in the matter and the department just got to the point, so I think that here's the lack of implementation, perhaps, at the political level when you don't ask for it in the department. It's one of my purposes. At the same time, I would like to take the opportunity to commend the same department and the same Council of State for other initiatives that we have taken, including: in the case of cardboard. It is now cleared up in one case after another, via social security, but it goes in the right direction. It is quite obvious that the Council of State has listened to, for example: What I've said. I really appreciate that. It also greatly appreciates thousands of fathers and families. That's why it would have been okay for the department to have the same gear on this matter, because it involves many families and can potentially lead to a bad family policy, something that is a unanimous big deal, which says that this is not the intention of the legislator, not the desire. When a unanimous magnification has said that, it's a marshmallow to the government to change policy.
ParlaMint-NO_2012-10-10.ana.ud2057e869	Let me first thank you for the rose when it comes to cardboard. It is also an important area of government. We work with a lot of important areas in everyday life that sometimes take things longer than other things. But the point here is at least to give a clear feedback to the representative, Mr. Kambe, that we are going to have to do this in the near future.
ParlaMint-NO_2012-10-10.ana.ud2057e878	‘The Council of Ministers in NOU 2012 proposes that the principle of development-promoting links be based on the work of child protection and on the assessment of the threshold of take-over of care. Connection requires stable relationships. Governments recognise that there is no overview of the number of child-restraint movements. Will the Council of State ensure that there is an overview of the scale of movements before the Storting will deal with important child protection considerations and the organisation of future child protection?’.»
ParlaMint-NO_2012-10-10.ana.ud2057e885	Let me start again by thanking you for the question. Statistics from the Central Bureau show that during 2011, there were 2,700 child-restraint movements. Some of these movements are planned shifts from one measure to another; other movements are unintentional, such as when the child moves from a non-functioning foster home position. The municipality records the movement of all children in child protection with one or more new placement measures in the statistical year, if the new placement measure has led to the movement of the child. Some children move from home, while others move from shelter, foster home or institution. Of the children who moved, it was at the base of 81 pst. which moved only once during 2011. 417 children moved twice during 2011. Among these children, we find children who have first been moved to a shelter, then e.g. in foster homes, and children such as first moved to an emergency institution for investigation, then in a permanent location. So all the moves aren't accidental or unwanted. When a child is moved from his or her original home, it is often the case that the child lives in a shelter for a shorter period of time. It is important to spend a good amount of time in finding a suitable foster home that can help the child to have a stable stay. Good processing is important to reduce the risk of accidental movements. At other times, the child stays temporarily at an institution for investigation, and then is placed in an individually adapted action. In these cases, the movement takes place in a well-planned manner adapted to the needs of the child. I share the representative's concern about the moves that happen unintentionally, i.e. the unplanned moves. In order to gain more knowledge of the actual circumstances of movements of children in child protection, qualitative studies must be carried out. The unit for cognitive developmental psychology, EKUP, at the University of Oslo, is researching this field, with funding from the Directorate for Children, Youth and Family Affairs. Foster homes for children's needs are another Bufdir-supported three-year research project, carried out by the Norwegian Institute for Growth, Welfare and Ageing, NOVA, in cooperation with the Regional Knowledge Centre for Children and Young Western, RKBU West. One of the sub-projects concerns accidental movements from foster homes. The aim is to develop a comprehensive definition of accidental relocation, to identify scale and patterns and what can be done to reduce numbers, and to carry out a specific evaluation of the action of the Youth Families in Akershus. In addition, we are now making major changes in the reporting of municipalities to the SSB. But the extension of the data base is too late for them to be included in the basic material for the review of the organisation of child protection, which I will send to the Stortinget in spring 2013. We have a solid knowledge base to assert the importance of stable relationships in children's lives. We know that there are unintentional movements, and we also know that good child protection assessments, investigations and a differentiated and good response device can prevent accidental movements. That's why we're starting to systematize the knowledge of accidental displacement. We don't have exact numbers, but we have a good basis for taking other steps that can ensure children's connection.
