ParlaMint-NO_2012-01-11.ana.ud1477e26	The representative, Jan-Henrik Fredriksen, will put forward a proposal for a representative.
ParlaMint-NO_2012-01-11.ana.ud1477e441	There is an obvious potential for other groups of professionals to deal with school, and we have a Lektor 2 scheme, which can be used both in high school and in high school. So a Teacher 2 system doesn't really need to be, because the Lecturer 2 system covers this. It is also about getting people in other professions to take an interest in the school and to participate in offering their workforce to the school. To a very large extent, it is a municipal or county task — and responsibility — to ensure that such arrangements are made to work. I think it's about having good contact with businesses and businesses and educational institutions around them, getting them to work together in such a way that the school becomes an attractive place to be for other professionals. In many places they get it well, and more people can get inspired by it.
ParlaMint-NO_2012-01-11.ana.ud1477e446	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e449	I noticed that the Council of State did not include in its tribute to Finland that they also have fewer hours – let me just say that. It's added to a teacher's norm. This is something that the Christian People's Party has also supported in its party program, with the reason that it will provide an opportunity for teachers to follow up the individual student. But it is also extremely important that it be fully financed, so that it does not become the municipalities that have to break the government's promises. There are three things that are needed to get enough teachers out: one is to recruit new ones, the other is to keep those who are there, and the third is to get back those who have quit. I get alarming many feedback from newly educated teachers that getting a permanent job is a big problem. Many go on a canoeing session as temporary workers, from school to school, before you are finally dared to bet on. It is a risk that many cannot take at the start-up stage. Does the Council have an overview of how many people go on such canoeing, and is it going to put in place some measures to get into permanent work as teachers?
ParlaMint-NO_2012-01-11.ana.ud1477e458	I also have to remind the representative Dagrun Eriksen that she and her party have been involved in transferring the employer's responsibility to the municipalities, and that is in case they have the overview of this. But there is no unknown problem for me that, while there is a struggle for teachers, it can be difficult for newly educated teachers to get good, stable and stable employment. This is a question I can address, for example. with KS. We have good contact with school development, and I would like to discuss it with them. I just want to say one thing in the end: we don't have to draw a picture that it's a teacher escape from school. There is a positive trade between school and other professions. So the school is an attractive job, and we can make it even more attractive. I will address that issue with the KS when I meet them next time.
ParlaMint-NO_2012-01-11.ana.ud1477e465	We move on to the next main question, which is from the representative, Bård Hoksrud. It's going to be the last main question of the day, and it would surprise the president if it didn't provide an opportunity for all government councils to be activated.
ParlaMint-NO_2012-01-11.ana.ud1477e468	Of course, it is the Minister for Transport that I intend to ask the question to. I could have talked about both Swedish fines and other things – not least about foreign trailers that are running around on the roads for periods of time – but I'm going to stick to the storm Dagmar in the West. It did great damage both to telecommunications and to the mains, and in several places it was so powerful that it actually also went out on large parts of the road network. It is good to see that the state councils cared and the election speed of the West to look at the damage. Yes, even the Prime Minister, who at first would not, found out that it was perhaps natural to travel – if not otherwise to drink coffee with one of the men who had been exposed to the storm. Earlier in 2011, natural forces were also experienced, which were violently deployed. It was especially in Uppland and Hedmark, where floods and races did great damage to people. Also, when the electoral campaign took place, government councillors and prime minister, promised that it would not be on money. Nevertheless, many people felt that it was not the promises that it should not be on money that actually applied. I have seen that the municipality of Oppland has asked the Minister of Transport to clean up and ensure that there is enough money to clean this up. After the storm in the West, the promises have probably not been as clear and clear. It is natural that a county municipality that does not have a surplus of its income, as the state had in 2011 of 115 billion. kr – and in addition, the State has a Sarepta pot in the oil fund of over NOK 3000 billion – is a little more careful to promise to clean up after Hurricane Dagmar. I would therefore like to challenge the Minister of Transport – as one of those in the College of Government holding their hands around the Sarepha pot: the Council of State will ensure that all the extra expenses you have after the storm Dagmar, among others. on the road side, is covered by the State – although large parts of the damaged road network are part of the county responsibility?
ParlaMint-NO_2012-01-11.ana.ud1477e477	Let me first say that the government takes both Dagmar and other storms that sweep the country, in the greatest seriousness. That's why we made our visits around the country. This is also true of both the Prime Minister and several Councils of State in the West. It's to listen to different actors who have been frame differently, and it's to see what we can do about enhancements. Not mentioning Hoksrud many themes, but let me say that it is quite obvious that the readiness for both telecommunications and power was too poor. We're going to follow up on that. When it comes to telecommunications, we ordered two reports in the light of the events in Oppland this summer. The first one can make Hoksrud happy to study already on 13 January. The second is the extended period of, until 31 March. Both of them are going to be recording their events this weekend. When it concerns the road network and the network and what was part of the country’s responsibility there in 2011, it was confirmed in the new era. When it comes to the economy of the county and to the possibilities of the municipalities and municipalities to follow up, it was also a theme in the recent ageing of 2011. There was compensation from the Ministry of Local and Regional Affairs. When it comes to what has to be said, I will show it to the Minister of State.
ParlaMint-NO_2012-01-11.ana.ud1477e487	This means that the Minister for Transport will not at least answer if she will now ensure that she cleans up part of the county road network. In the VG yesterday we could read about the family Heggen in Otterdal who for over a year to come must be out of the way. The reason is, of course, that the county needs municipal treatment. I get that. When you don't have money, you have to give priority to the money and how to spend it. So, in addition, the state road service has to spend a long time on both tenders and other things. Will the Council of State ensure that the treatment time for all such things that can take time is cut short – because it is fully possible if there is political will and will to do so – so that both this road and roads are put in place to others who need to get the infrastructure in place as quickly as possible and that it goes as quickly as possible?
ParlaMint-NO_2012-01-11.ana.ud1477e494	The representative Hoksrud knows me as an impatient soul who is also busy that things should go fast, but not so fast that there is no defensive treatment. For everything related to planning, we now have our own fast-working group with deadline of 1 April. That's what matters planning in general, and that's because we're going to get the planning process down to different terms. When it comes to refurbishment after a storm, it's quite obvious that there won't be much time before we've looked at all sides. But I think we have to give the municipalities, the municipalities, the state road service and others involved the time to look at what is actually the extent of damage, what are the best solutions – both in the short and longer term – and what must be done by means and by other measures. So we're going to come back to the Storting with that.
ParlaMint-NO_2012-01-11.ana.ud1477e501	Two follow-up questions will be raised – first Arne Sortevik.
ParlaMint-NO_2012-01-11.ana.ud1477e504	In 2011 it was election year. In the summer of 2011, both the Council of State and the Prime Minister quickly set out, and there were quick promises that all expenditure would be covered. It is true that it was put out at the end of the age of 2011, but for the Department of Local and Regional Affairs it was partially squeezed out. So now we have a new situation in retrospect, where the same actors have been visiting, and the promises are economical, if they're at all given. Nevertheless, there are large bills in front of the county municipalities to clean up the county road network. Can we now assume that the extractions that come to clear and repair bad highways are taken entirely by the state and by the government that has the overall responsibility for the road network in Norway, no matter who is the owner of the road?
ParlaMint-NO_2012-01-11.ana.ud1477e511	I don't agree with the description. There were floods and storms in the northernmost states in 2010. It was followed up and confirmed in the fresh-age period. Then there was a new round in 2011, it was followed up and signed out. So it happens that there's disagreement about an account. That's how it will be. Then there is also a dialogue about what to cover. What I'm going to promise now is that this is going to be a follow-up from the government in the same way that it's been followed up before. For example, the County of Sogn and Fjordane have already met with local authorities and with frames at municipal and state level – just to see how we can follow up quickly, and how we can follow up in the longer term.
ParlaMint-NO_2012-01-11.ana.ud1477e518	Ingerd Schou - until last follow-up question.
ParlaMint-NO_2012-01-11.ana.ud1477e521	The right is concerned that we should be safe in our communities. I really take that as a matter of fact that the Council of State is also. The storm in space Christmas clearly shows that we are vulnerable to the forces of nature. There is also a need for a comprehensive review of the line networks, mobile networks and base stations so that it is possible to get on the telephone to the emergency facilities as well. My ringing question to the Council of State is what the Council of State will actually do with this. I know that the Council of State has both the Directorate of Social Security and Preparedness and the Postal and Telecommunications Authority for its help. But this is urgent, and the question is what the Council of State itself thinks is the necessary and rapid and rapid measures, so that this will stand up.
ParlaMint-NO_2012-01-11.ana.ud1477e528	The safe community is the government and the centre party occupied by, let there be no doubt about it. Let there be no doubt that the government here follows up what has been covered by a lack of preparedness, and what has been uncovered when it comes to vulnerability. Then I have to say that there is a long-term work among various agencies to take climate change seriously. It is a matter of its own and will be treated, among other things. in the big news coming up about the climate. In the case of mobile networks, base stations, different types of standby, it is managed in the follow-up of two already ordered reports, where the Postal and Telecommunications Authority will deliver one and the DSB and PT the other. Then there will be the further follow-up beyond spring, with which we come back to Stortinget.
ParlaMint-NO_2012-01-11.ana.ud1477e535	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2012-01-11.ana.ud1477e547	There will be some changes to the configured question list. In this context, the President refers to the list distributed in the seats of the representatives. The proposed changes to the ordinary Questionnaire are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative of Vigdis Giltun to the Minister for Local and Regional Affairs, has been transferred to the Minister for Health and Welfare who is directing him. Question 2, from the representative Per Roar Bredvold to the Minister for Economic Affairs and Trade, has been transferred to the Minister for Local and Regional Affairs, who is directly responsible. However, the question has to be postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2012-01-11.ana.ud1477e564	This question, from the representative of Vigdis Giltun to the Minister of Local and Regional Affairs, has been transferred to the Minister of Health and Welfare who is directing him.
ParlaMint-NO_2012-01-11.ana.ud1477e567	«After many years a blind woman with additional disabilities was granted her wish for owner-occupied housing in a housing community. An unexpected consequence of getting a good housing offer was that she lost her right to user-controlled personal assistance, BPA. It means that she loses the opportunity of an active life that she herself can design. What does the Council of State think that disabled people are losing the right to BPA on this basis, and will the loss of the right to personal assistant in the allocation of owner-occupancy be in line with what the Stortinget has promised in the context of the right-to-holding of BPA?’»
ParlaMint-NO_2012-01-11.ana.ud1477e579	I am, like Giltun, concerned that people with disabilities should have as active and meaningful a life as possible. The system of user-led personal assistance is an instrument that can contribute to this. I have no reason to go into this particular matter, in addition to encouraging users who do not experience the offer they want, or believe they have a right to complain to the county council. On a general basis, I would like to stress that user involvement is essential in order to obtain a good service offer. It is legal that the provision of services should be organised and implemented as far as possible in cooperation with the user. Great emphasis shall be placed on what the user means. This requires the municipality to comply with the obligation to inform and guide the user about the services offered. There is no specific provision that says that a user loses the right to BPA if he moves into an owner-occupied dwelling. This also applies when moving to a community. The municipality must individually assess each case. The most appropriate means of providing the necessary care services shall be determined on a case-by-case basis. As regards the issue of the future right-holding of BPA, the government is following up the request decision of the Storting. The Ministry is working on a consultation note to be sent out as soon as possible. The government will then come back to Stortinget with proposals when the hearing is summarised.
ParlaMint-NO_2012-01-11.ana.ud1477e592	I think it was important to address this matter, for there are many more. There have been several people moving in housing, although the intention of the test reform was that each should live in a separate home. It will be easy to relate to the services provided in the dwelling. As I see it – when I got this case – the people who used to live at home with their parents, who have had a user-driven personal assistant – i.e. those with mental retardation with additional disabilities, often heavy – also have a great need for leisure activities and for having a user-driven personal assistant with them, for example. if they are going to camp, etc., because they can pick up these hours. It is also a problem when they move out, they have to move across the municipal border to get a well-adapted accommodation, or move to another municipality, for example. in Oslo. Suddenly, all the decisions they've made before are terminated, and they don't know what they're getting. They have to search again and lose, as in this case, the assistant they've been dependent on to have a meaningful life. What does the Council of State really mean about that?
ParlaMint-NO_2012-01-11.ana.ud1477e601	When it comes to rescanning, it is difficult to decide on it. I know that for some types of services you have to search year after year. But if you're going to lose the right to BPA because you're moving in a community, it's not something that's going to happen automatically, as I also said in my post, because it has to be assessed in each case. Here the user must be included on advice, and his needs and wishes must be taken seriously by the municipality as far as possible. There is no automatic way to lose the offer with BPA because you move into a community. If necessary, it must be assessed on the basis of that angle at all times.
ParlaMint-NO_2012-01-11.ana.ud1477e606	I would also like to refer to a 2006 project with a user-driven personal assistant for mental retardation who showed very positive results in relation to the principle of better user involvement and individualisation of services, which is difficult to obtain in the ordinary service provider. It's an important group to attend to, I mean. The user is more able to design his or her own schedule and has influence over his or her own life, even beyond the time they are in owner-occupied housing. Everyone needs to be at home, and then it's just where the assistant comes in for those who live in housing. It's also a relief for parents, and that's where the assistant is used when they've lived in the parents' room, so that parents don't have to follow the adult children. Will the Council of State take this input further when setting criteria for user-led personal assistant, and encourage municipalities to include these assistants in their housing?
ParlaMint-NO_2012-01-11.ana.ud1477e613	This is the case in the law now that the municipalities have obligations to have an offer. So Stortinget has made its request decision, which says that the government should: «explained further the economic and administrative consequences and quickly returned to the Storting with a proposal for the rights-building of user-led personal assistance for users with high needs within the current financial framework». That is what we have done, and that report is about to be consulted. Then I also want to point to an interpellation that was just before Christmas, about the issue of precisely the developmentally impaired and their situation, where we – after the interpellation – agreed to go through all the arrangements, gain experience on how the situation has been after the reform, and see how the offers to the developmentally handicapped are. Because it is clear that they have a strong need to get out – many do not get out on their own and must have either support contact or other follow-up. It is now important to gain the knowledge and see what action is to be taken. But in the case of BPA, it's solid.
ParlaMint-NO_2012-01-11.ana.ud1477e634	This issue has been transferred to the Minister for Local and Regional Affairs, who is directing it. The question has to be postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2012-01-11.ana.ud1477e641	I would like to ask the following questions to the Minister for Fisheries and Coastal Affairs: ‘I refer to the reply to the undersigned to a written question No. 523 for 2011–2012 on the movement of potentially infected fish with pancreatic disease, PD, from Tustna and Hitra to the south of Hustadvika, an area that has not previously been diagnosed with PD infection. The Council of State chooses only to look at the basis for the treatment of Ot.prp. No 100 for 2002–2003 on the subject areas of the Food Authority. Can the Council of State explain who takes the financial responsibility if other fish are infected?’
ParlaMint-NO_2012-01-11.ana.ud1477e650	Fishing health legislation in Norway has been harmonised by the EEA Agreement and based on principles of the World Organisation for Animal Health, OIE. Norwegian authorities are obliged to control serious, rare infectious diseases that do not occur in Europe with culling. For other diseases, the rules are less stringent and there are regions which are free from infection and others where the disease is considered to be established. For serious diseases in Norway, one may use the same principles of control through national provisions. For example, through the EEA Agreement, Norway does not have free status for ILA, infectious salmon anaemia. The reactions in case of detection are regulated by the EEA Agreement but are different from those requiring slaughter. For pancreatic disease, PD, we have national provisions, also based on EEA and OIE principles. The strategy for PD control distinguishes between areas free from the disease and areas where PD is established. The difference between PD-free and PD-infected areas is at Hustadvika. Food surveillance is set to manage the disease in line with the regulations implementing the PD strategy, which in time were designed by authorities and industry in cooperation. The objective is PD-free area north of Hustadvika and to reduce the consequences of the disease south of Hustadvika. The Food Safety Authority reports that since the entry into force of the PD in 2007, 17 sites north of the PD zone have been rehabilitated or decontaminated due to PD or virus detection and that depopulation does not occur within the PD zone. The breeder himself has the financial responsibility for the loss of disease. It falls within the normal risk inherent in the business. Breeders may choose to take out sickness insurance, which may also cover losses due to PD, but normally not losses due to depopulation from the Food Authority — with the exception of the ILA. There is no public compensation scheme for the loss of disease, even when the Food Authority imposes depopulation.
ParlaMint-NO_2012-01-11.ana.ud1477e661	I would like to thank the Council of State for its response. It then refers to the degrees how serious this situation is. The Council of State also refers to the number of plants that have been detected PD infection north of the PD zone – 17 plants, says the Council of State in its response. There are three plants that are now infected and 1.5 million fish are to be moved south of Hustadvika. Although this fish has been vaccinated, the movement may lead to the detection of infection by plants in that area. In Surround, which is one of the municipalities where such a facility is to be located, PD infection has not been detected before and can now be at risk of being introduced. When the Council of State indicates that there is no compensation mechanism as a result of the decision now taken by the Food Authority, this becomes very serious. If a plant is found to be infected and then either has to slaughter or is in a poor situation related to the marketing of its products, yes, this matter becomes very serious. My question to the Council of State is: does the Council of State support the fact that there is a very bad law in this field, and will she look at the legislation to help these farmers if they are found to be infected in the facilities?
ParlaMint-NO_2012-01-11.ana.ud1477e670	The first thing I want to say is that even though it is not detected in the locality that is mentioned here, i.e. Envy, we are, after all, all within the PD zone. We agree on that. I assume that the reactions and the way we treat the PD in Norway are created in agreement between the industry and the authorities. I have not received any claim or wish to look at it. Then there's a separate discussion related to it with the replacement. There is a long discussion that has been going on. I am of the opinion that the use of state resources for a compensation scheme around the building is not the best use of public funds. What I have said, on the other hand, is that if the industry wants to organise a common system of compensation, based on Community thinking, I would like to join in and discuss it.
ParlaMint-NO_2012-01-11.ana.ud1477e677	Once again, I thank the Council of State for the answer, but I'm a little unsure if we're talking about the same thing. This situation may arise as a result of the decision of the National Food Authority to move already infected fish from the north of Hustadvika to the south of Hustadvika. In the area where one of these plants is to be located, there is one small breeder. He has one concession. So if the plant he owns is infected by the Food Authority's decision to move the infected fish south of Hustadvika, the council here says that he can't calculate compensation. Then it becomes pointless. We are not going to make public funds available in connection with the contamination of plants, but when decisions taken by the Food Safety Authority can lead to infection, must the Council agree that there is a responsibility for the Food Safety Authority?
ParlaMint-NO_2012-01-11.ana.ud1477e682	The representative of Nesvik is uncertain whether we are talking about the same thing – it may be. At least I'm not talking about the one thing. I am speaking in general – simply because the Food Authority is set to manage this legislation. I have read what the Food Authority writes, and took note of it. Firstly, they say that there are fish that are not sick – of course – that need to be moved. I assume that the Food Safety Authority makes the professional assessments, because they are actually set to limit the spread of disease. That they don't take it very seriously, I doubt it. On the other hand, I am absolutely sure they will take it very seriously. At the same time, they are also required to assess the professional soundness of a less invasive measure. That's what they've done here. I would like to attend and discuss compensation schemes in general, but not on the basis of a single case in which a decision has been taken by the Food Safety Authority and they have been given that competence. I have invited the industry to such a discussion, but it has not been of great interest so far.
ParlaMint-NO_2012-01-11.ana.ud1477e695	I have the following questions for the Minister for Fisheries and Coast: ‘The new fisheries agreement between Norway and Russia signed in October has been very dissatisfied. The Coast Guard believes that the agreement makes it more difficult for them to detect illegal dumping of fish. Now it appears that the Norwegian authorities oppose part of the agreement with Russia only a few months after the signature of the agreement. Why has Norway signed an agreement to then oppose parts of it a few months later, and does the Council of State consider this to strengthen cooperation with Russia?’
ParlaMint-NO_2012-01-11.ana.ud1477e704	For decades we have been discussing and resolving difficult and demanding issues in cooperation with Russia, a cooperation that brings international recognition. The cooperation has been formalised by the Joint Norwegian-Russian Fisheries Commission, which has procedural rules to facilitate the agreement of the parties on effective and responsible arrangements serving our common objective of sustainable management of common stocks. During the last year's meeting in the Joint Commission, a text was formulated which defined what should be considered as the draft fish. The intention was to clarify both for fishermen and for inspectors what can be accepted in the course of fishing with trawl and line. The text referred to on board the vessel and not related to on-board production. The clarifications referred to include, inter alia,: fish which had been destroyed before it entered the vessel or which was impossible to carry. In such cases, there may be good grounds for exempting the general landing obligation. This consideration is also emphasised in the preparatory work of the Marine Resource Act and in the comments of the Economic and Social Committee on the examination of the law by the Stortinge. Following the Commission meeting, both the prosecution authorities and the Coast Guard pointed out that a section of the new text had the potential to make enforcement and evidence in draft cases more difficult. The prosecution authorities pointed out that the wording raises serious points of evidence and could have unintended consequences for the enforcement of existing legislation and draft policies. Therefore, in order to avoid any ambiguity or potential eroding of the draft policy, a policy that Norway has been pursuing since 1987, we chose within the current time limits to use the reservation access relating to one section of the text. Reservation access has been crushed as part of the works of agreement for just such cases. At the same time, we invited new discussions with the Russian fisheries authorities on this, and the understanding of drafts will be the subject of an extraordinary session of the Joint Commission, scheduled for February. I therefore do not believe that this matter has had a negative impact on our cooperation with Russia. Our draft policy stands firm, and we will continue our long-standing, good fisheries cooperation with Russia.
ParlaMint-NO_2012-01-11.ana.ud1477e717	I would like to thank the Council of State for the answer. I fully agree that there has been a good job over many years to get rid of the illegal, unregulated and unreported fishing. Not least the former Minister for Fisheries Svein Ludvigsen put down a considerable amount of work, which I am pleased that this government has continued and that it is a good system. When this matter comes up, you will simply be considered from the warnings both the prosecution authorities and the Coast Guard, based on the text of the agreement that is there. Then I just want to ask the Council of State: why have the Norwegian authorities not had contact with the Coast Guard and prosecution authorities before negotiating and meeting with Russia, so that this situation had been avoided with the Russian fisheries authorities?
ParlaMint-NO_2012-01-11.ana.ud1477e728	When it comes to writing history of everyone who has contributed to the amazing good results we have in the north, I think to the extent we should mention more, but that does not allow the time here today. There are not least very many good officials in Norway and Russia who have done a lot of good work here. As for the way we work in the Joint Commission, this is how the Coast Guard is part of the Commission and participates in all meetings. So this government has been concerned with a lot of other positive things for the northern regions, namely moving the Coast Guard northwards. When this meeting took place, the Coast Guard was very busy and did not participate in that particular session. At the same time, it is not to hide that there was a professionally demanding discussion in the meetings that were. When it came to solving a practical problem for Norwegian and Russian fishermen, this text was tried. It has been seen in retrospect, and it has been very clarified, not least from the prosecution authorities, that this is a text that is more suitable to mislead than to guide.
ParlaMint-NO_2012-01-11.ana.ud1477e735	I thank the Council of State for the answer. I fully agree that there are many who can get credit for the efforts made to control the fishing that has been in the northern regions – including the civil service, and not least a unanimous and total increase that has always been behind this. If this agreement remains in place and Russia opposes making changes, what solution will the Council of State outline in terms of control in the Barents Sea? Are we talking about increased resources for the Coast Guard? Is there any other way to control it? I would like to hear the thoughts of the Council of State about this very thing, because you're up in a very special situation from the text of the agreement that's there.
ParlaMint-NO_2012-01-11.ana.ud1477e742	In view of the many years of good cooperation that we and Russia have in this area, I feel very confident that there will be a constructive meeting in February to discuss this issue. It is not new. It has been brought up, not least by Norwegian fishermen, with me. And as the fishermen say, we have to try to stick our finger in the ground – it's hard when you're at sea! – and at least find practical, good solutions to what is really a very small problem in the big picture. On the other hand, the draft ban remains in place. I work intensively to make it cover larger parts of the world. We have now succeeded and agreed with the Danes and the Swedes to introduce the same in Skagerrak, and we are once more second places. I'm basing – with the background of the good experience we have – that these discussions are being conducted very constructively and well in order to find good solutions to this issue as well.
ParlaMint-NO_2012-01-11.ana.ud1477e749	That was actually the last question.
ParlaMint-NO_2012-01-11.ana.ud1477e761	There is no record. Does any of the two or three representatives present in the Chamber request the floor before the meeting is cancelled? - The meeting's been cancelled.
