ParlaMint-NO_2012-01-31.ana.ud2406e57	The representative, Dag Terje Andersen, will present a draft constitution.
ParlaMint-NO_2012-01-31.ana.ud2406e589	Thanks to the rapporteur for what I want to say was a little nuanced presentation, a good explanation of the matter and the significance of this. As the rapporteur says, the report on agricultural and food policy is now under consideration in the Committee, which sets out to change the practice of sharing agricultural property, making it easier to maintain and share from liberal land and to sell additional land to potential neighbours. We in the Labour Party and the entire government fraction therefore propose that the proposal be annexed to the Minutes, so that we get these issues discussed, as the rapporteur also says, to a greater extent when dealing with the notification. I have sympathy for the opposition's remark where they write that «it is important that the changes both meet the need for more appropriate use sizes and allow the sale of land from properties which, for the owner, do not provide a basis for their own operation, while increasing the attractiveness of the property as residential property». I think this is a very good comment, but as I said, we want to come back to this when we are going to deal with the message. I have noticed that the opposition is also excited about the grips the government is now taking on the message. I must say, it's nice to hear that. But I believe that we should not forget the purpose of the ground law ban, which is to ensure the resource base for each use. In my view, there must also be a balance between the assessments made, which both preserve the property structure and the use structure – yes, the resource base itself – and not least, especially in pig-grown areas, ensure the purpose of living. The latter may in very many cases be essential for success in many areas of the country. But this must not be at the expense of – as we are to have – active agriculture across the country. It means that there is a need to invest in different types and sizes of use. Cultivated soils must produce food.
ParlaMint-NO_2012-01-31.ana.ud2406e603	The Progress Party has a proposal on the matter, and then I am promoting it, and it is done. Never before have there been so few agricultural properties as now. Never before have there been so few self-employed workers in food production as now. Never before has there been so many decaves on which food is produced, as it is now. And never before have there been so many uninhabited farm properties, while there are nearly 500,000 people in Norway who can expect to take over a farm, large or small. My conclusion and that of the Progress Party is that in Norway, regardless of current governments, we have had a misguided, old-fashioned agricultural policy, guided by ideas from countries other than those we might like to compare with in recent times. Up in all this misery, or at least we're going to say sad evolution, work competent, creative farmers maybe twice as much as usual, to a income that is half of what an average Norwegian income is on. With a code that governs the Norwegian farmer almost from the smallest decision to the big ones, this gives little room to the creative, innovative farmer – he or she who has ideas about how the farm and its possibilities of use can provide a decent income, while giving room for housing and quality of life. I think that's what it's all about if we're going to make Norwegian agriculture survive and at the same time make the districts flourish. Many countries, and most comparable countries, have done so, such as our neighbouring countries Sweden, Finland and Denmark. I have recently been on a study trip to these countries to learn and hear about their forestry and agricultural policies and how it works. In these three countries, with slightly different assumptions, agriculture works well, and the future is there. It's investing. Of course, this is somewhat different from country to country, but young people are also willing to take over. Back to Norway. We need to do a lot of work to ensure that Norwegian agriculture survives and develops positively in the future. One of many things that have to and can be done is to lift the ban on division in the law of the land. It must be up to the individual owner of an agricultural property what she or he wants to do with it. If there is a seller and a buyer, and they agree on an agreement, the Progress Party believes that this is of course for the best of all. The earth is sold to a new user, who will thus be able to strengthen his property and his production capacity, thereby enabling a better financial opportunity to continue as a self-employed person in food production. The law of the day dates from 12 May 1995. It's almost 17 years old. In these 17 years, we've only seen negative numbers for agriculture. In addition to what I said in my introduction to agricultural development, there are also many farms that have a deficit – on average, this is approximately. 89,000 kroner per year. Another thing, among many more, is the age of the farmers. It is relatively high, and the number of girls taking over is the opposite – rather low. This should mean that something has to be done. The Party notes, however, that the proposal is not rejected but that it is annexed to the Protocol. It's a little victory. But I look with concern at the future of Norwegian agriculture when such a simple thing as removing a ban on sharing cannot get a majority in this room. That it will come in a while, I'm sure. We just hope that there are some attractive farms left that can take advantage of this, and not least that there are some farmers who will buy again.
ParlaMint-NO_2012-01-31.ana.ud2406e620	The representative Per Roar Bredvold has taken up the proposal he referred to.
ParlaMint-NO_2012-01-31.ana.ud2406e623	In Report. St. 9 for 2011–2012, on agricultural policy, which is now under consideration in the United Kingdom, calls on the government to change practices in the sharing of agricultural property, so as to facilitate the maintenance and sharing of liberal land and the sale of additional land. The centre party therefore supports the majority's position in the case that we are dealing with today and will not contribute to a long debate. I would just like to make a few brief comments on what is mentioned in the agricultural notification submitted in relation to the sharing of agricultural property. The government believes that it should be made easier than today to retain or share from liberal plots or dwellings that are not on the tune. Such redeployment shall be in line with soil protection considerations and with the objectives of agricultural and food policy. Where social benefits are high enough, for example: where cultivated land goes as additional land for use in operation, the law should facilitate that the owner should have the right to share it for such purposes. This requires concrete balances that are adapted to local circumstances, and here we need to pay attention to the active farmer. Therefore, it is important that the sharing provision continues to provide an area of action for municipalities based on specific challenges in the area, such as: depending on whether the property is located in an area with housing problems or whether it is situated in a more urbanised area. In practice, this presupposes a concrete balance both of the property being decomposed and of the residual property. The government announces that the Ministry will work on solutions to facilitate redundancy, while at the same time taking into account the challenges of agricultural property sharing. The divisional provisions of the Land Act cannot be seen in isolation; they are closely related to the local authority's ability to regulate land use under the Planning and Building Act. The new Landfill Communication on Agriculture and Food Policy will be widely discussed here in Stortinget. I therefore look forward to an overall debate on the clear ambitions of the red-green government in this important area in the future. Here, too, the clear political lines of agricultural policy will be made clear.
ParlaMint-NO_2012-01-31.ana.ud2406e636	Since it has been pointed out both in letters from the Council of State and in the comments on the matter that this is a topic that will be discussed in more detail and discussed further in the context of the processing of the agricultural notification, I should like to be brief. We in the Christian People's Party are not as hybrid in this matter as other representatives in this Chamber. We see that the ban on sharing makes it possible to ensure that agricultural property is not impaired by de-allocation and that this helps to avoid a reduction of the property’s future nutrient base and the possibility of new industrial development on the farm. The main reason why the Christian People's Party wants to take a closer look at the sharing ban in Section 12 of the Soil Act is the much-discussed land problem. Land rents result in less predictability for the farmers who run the land, as well as weaker incentives for the farmer to maintain the land. Like the other opposition parties, we have noticed the liberalisation of the government as shown in the agricultural communication. We see this as a step in the right direction – positive – and as a signal that the government now understands that a change in the Soil Act § 12 can be beneficial to facilitate more appropriate usage sizes, and that it allows the sale of land from properties that the owner does not provide the basis for his own operation. In addition, liberalisation will increase the attractiveness of agricultural properties as residential property. As this matter will become part of the discussion of the agricultural notification, which is currently under consideration in the Committee, the Christian People's Party proposes that the proposal be annexed to the Minutes.
ParlaMint-NO_2012-01-31.ana.ud2406e649	We've discussed the ground law ban several times in Stortinget in recent years. Some of the last Lars Sponheim did as Minister of Agriculture, was just proposing to lift the ban on division in the law of the land, because he and the previous government realized that there was a completely unnecessary regulation of the farmer's income possibilities and the freedom to dispose of his own land. Unfortunately, the new government withdrew this proposal. After that time, there have been regular calls for proposals similar to those of the Progress Party which we are discussing today, including those on the agenda. The Left has promoted its own representative proposal on this matter twice, and we have repeated the proposal when dealing with agricultural settlements over the last few years. Now a lot has already been said, and we have, as mentioned, had this debate many times, so I'm going to pay attention to a few brief remarks: The buildings don't just need people who live on their properties, they need someone who lives on their properties and brings with them other exciting thoughts and industries as well. If we're to succeed in this, we need a variety of accessible properties that people want to live off and for in a new way. That's what this is all about. It is precisely this that is the advantage of the building: there is room, there are opportunities to create attractive properties where we can live, live and do business at a price that most people can afford. The purpose of the law on soil should, of course, be to facilitate conditions so that the land is used in the best possible way for society and for the owner of the land. Today's ban on sharing is a strong signal to Norwegian citizens that the areas of the village are for farmers who think traditionally. If you cancel this, you send strong value signals that we want different people who want to live in a different way. As the Left sees it, that's what's the value behind our approach to the issue that we're now discussing. Technically, it's not that big a change. Municipalities will continue to have the power to regulate a lot through planning legislation. But it's a basic set of values that is involved in lifting today's ban on sharing. So to the conclusion: I record that all parties, with the exception of the Progress Party, point out that there is evidence of liberalisation of practices in this area and that this is one of the elements of the forthcoming treatment of the agricultural notification. This is excellent in itself, although there is never so little paradox given that the government — especially during the past of the Minister of Agriculture — has in the past been committed to tightening up the practice of the ban on sharing. However, the left is crystal clear that the prohibition of sharing should be lifted, regardless of what the government has notified that it may do. For the Left, the ban on sharing is lifted on more than agricultural policy. It's about which towns we're going to have in the future, and which people we're going to stimulate to settle in these places. The current ground law ban is directly exclusive. The left is therefore voting in favour of the proposal of the Progress Party.
ParlaMint-NO_2012-01-31.ana.ud2406e670	The ground law ban was adopted in 1955 and tightened up in 1965. The reason for the prohibition was that the resource base for agricultural property was weakened by the time-sharing, in particular in connection with generational shifts. It is also a divisional provision in the Planning and Building Act. The main purpose of this is to ensure planning and a clean distribution of property. To produce enough, safe and varied food of good quality is the most important task that agriculture solves for society. With the abundance of food we've had here in the country in recent decades -- self-produced and imported food -- many of us have taken it for granted that we don't have to worry about this situation changing. However, both the world’s population and Norway’s population are increasing. For Norway, the Central Statistical Office estimates that by 2030 there will be 20 pst. several inhabitants. At the same time, climate changes are taking place. To meet these needs, Norwegian food production needs to increase. Distribution and redistribution to non-agricultural activities must be seen in that perspective. The sharing provision contributes to the pooling of resources. This results in a more efficient use of resources for food and work production than if the units are further split up into several owner-hands. In my view, it is important to ensure that the sharing provision is appropriate at all times in line with the objectives of agricultural policy. I have already implemented certain changes in practice to achieve this. Embellishment of demarcation practices can contribute to greater harmonisation between ownership and use structures and can thus reduce disadvantages by having to run land on a rental basis. Distribution of housing by agricultural property can contribute to a wider supply of residential real estate and smaller farm use for sale. This is positive for the settlement. I raised these questions in 2010 in a separate letter to the municipalities. In this letter I have, among other things: the importance of sharing issues by avoiding the use of land on a rental basis. In cases where the seller wants to keep buildings and tuna, I also said that it is important that conditions be laid down that both land, forest and land plots are sold as additional land to nearby units of use in operation. However, if it can help to strengthen the settlement, the municipality should also consider allowing the seller to maintain a slightly larger area than is normal for a regular dwelling. During the spring session, the size will deal with the agricultural and food notification. It would therefore be unfortunate if, today, I should be pushing ahead with the final solution to the proposals relating to the sharing provision. Further progress is conditional on the forthcoming review of agricultural and food policy in a comprehensive perspective. I will therefore in the following sketch the lines drawn up in the message, without drawing any final conclusions. Major changes were made to property and housing legislation in 2009 which led to a clearer and simpler legal framework. Farm and food notification is largely based on the fact that the legal instruments are up-to-date in relation to current needs. However, the divisional provision in the law on soil has not been amended from 1995 until now, and this provision continues to constitute in some respects a barrier to unlocking the potential for more active use of the property. As mentioned above, the Ministry has provided the municipalities with guidance on how the divisional provision is to be practised. Nevertheless, there is a need for further action, making it easier to dissociate. A simpler sharing access could help fresh forces escape on the owner’s side. This opens up new opportunities for the long-term use of the property and may be positive for housing and community. The Communication therefore provides for a detailed review of the need for a change of the current divisional provision in the soil law.
ParlaMint-NO_2012-01-31.ana.ud2406e694	It's going to be line change.
ParlaMint-NO_2012-01-31.ana.ud2406e697	It is in this case about lifting the ban on sharing in the soil law that you are talking about weakening agricultural properties by lifting the ban on sharing. I rather think of it as strengthening agricultural properties by someone selling some land to another farm. The earth is there, it's driven, it's going to be driven more rationally, and you're going to get more benefit from that earth. Is it not a more correct idea to say that instead of weakening agriculture by repealing this law, you are strengthening agriculture?
ParlaMint-NO_2012-01-31.ana.ud2406e702	I agree with Mr Bredvold's point. The intention of the changes proposed in the agricultural and food notification is to strengthen both agriculture, food production and – not least – ownership. An opportunity to facilitate the dissociation of land should, as we continue to work on this matter, contribute to ensuring both active food production and the possibility of living and living in the districts.
ParlaMint-NO_2012-01-31.ana.ud2406e707	The representative Haugen said in his post that I was “enthusiastic” for what came in the agricultural message about this. It was taking in. I've written that I was positive to it. Now I hear the Council of State says in its statement that he will not say anything concrete about how he intends to do this in practice, because the communication is being discussed in the committee. My question is: does the Council of State expect the majority of the committee to give signals on how this will be done in the future – after which he will deal with it – or will he himself review it after the notification has been adopted as it stands? What are his expectations for the committee in this regard?
ParlaMint-NO_2012-01-31.ana.ud2406e714	I find it difficult for me to put expectations into the committee's work. I believe that the Committee must deal with this in the light of the conditions set out in the Communication and the political positions of the various representatives in the Committee. But I am busy doing what we have written and signaled in the agricultural and food message. I'm concerned with making it easier to dissociate agricultural property. I'm busy that way reducing the rental area. I am concerned that it will help to let new forces in. I am concerned that it will help us to have the opportunity to get plots around the countryside that may be a little larger than a common living space, and that will allow you to enrich the village's life with more people living there. So the intention of that work is very clear. We will carry out a normal consultation round, a normal working process, on it, and of course we will take with us the signals that the Committee and the Stortinge will provide in connection with the processing of the notification.
ParlaMint-NO_2012-01-31.ana.ud2406e719	Governments are very concerned about active agriculture across the country. Then my question is: won't this go a little at the expense of softening up a ban on sharing, perhaps removing it?
ParlaMint-NO_2012-01-31.ana.ud2406e724	No, I don't think there's any contradiction here. If I understand the representative right, he believes that there may be a contradiction between the proposal and having an active agriculture throughout the country. By changing the sharing provisions, we want to make it possible for farmers, producers, to acquire a property that they rent today, to make it easier to take over for owning, and thus to create ownership of their own property, which is important for Norwegian agriculture. By implementing the proposal to make it easier to dissociate, we will also create opportunities throughout the country for settlement, which will strengthen the village's life. So I see no contrast between active agriculture across the country and simplifying, modernising, sharing policy.
ParlaMint-NO_2012-01-31.ana.ud2406e729	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2012-01-31.ana.ud2406e734	The prohibition of division is based on the general prohibition contained in Article 12 of the Law on Soil, which is to be assessed on the basis of point one, the social interests, which are to be given high weight, and point two, whether division is sound in terms of return. The purpose is and was to secure and pool the resources. In its ideology, it was structuralization. The question is: Is it appropriate today? The aim of the proposal is then, as was said, to create more robust and resource-intensive units by changing this. It was historical experience that led to our getting the law. In the past, there was no law, which gave rise to a division leading to socio-economic losses. The question now is whether a proposal that really goes back to the historical line that we should not have any law is appropriate to the purpose of what the Progress Party says. The answer is seaworthy no. We have historical and international experience that suggests that an unregulated market does not function as it is said here. From the Center Party, ownership and ownership are closely linked, because if you don't have obligations, it's the capitalists, whether they're Norwegian or Chinese, who's going to take over. For us in the Center Party there is a clear need to change the content of the Soil Law § 12. Agricultural properties are both housing and industry or, in many cases, only residence, so we have to have two thoughts in our head at the same time. We have to think of an agricultural property both as a dwelling and as a dwelling and industry. The challenge today is to ensure a law that makes it possible to create more liberal sites that provide attractive housing for a number of young people who are interested in it, while at the same time facilitating better business practice through additional land such as land, forest and land, because getting property that corresponds to conditions of use makes better management of these areas possible. What is then central is the arronistic considerations, having cadastral parcels in more geographically aggregated units. But I would warn against the state power becoming too active to ensure a politically governed property policy, because here it is about private law matters and changing times. The times change, the ownership conditions last for a long time, and therefore a detention must be of an active nature. But it is important to think about the premises for the debate, so that we can achieve these two objectives: ensuring more attractive housing units while carefully facilitating more active activity for agricultural property.
ParlaMint-NO_2012-01-31.ana.ud2406e749	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2012-01-31.ana.ud2406e763	No one has asked for the floor.
ParlaMint-NO_2012-01-31.ana.ud2406e777	No one has asked for the floor.
ParlaMint-NO_2012-01-31.ana.ud2406e791	No one has asked for the floor.
ParlaMint-NO_2012-01-31.ana.ud2406e797	The size goes to voting over today's map. In Case No. 1 no voting theme exists.
ParlaMint-NO_2012-01-31.ana.ud2406e807	Two proposals have been put forward during the debate. It's proposal No I, by Mr T. Nesvik, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 2, from Svein Fleet on behalf of the Right and Christian People's Party First of all, there is a vote on proposal No. 1 from the Progress Party. The proposal reads as follows: ‘The Government asks the Government to propose a statutory, fully-fledged net pay scheme for seafarers.’
ParlaMint-NO_2012-01-31.ana.ud2406e835	Alternatively, between the Committee's position and proposal No. 2, from the Right Party and the Christian Party, which reads: ‘Document 8:9 S [[2011-2012]] The President assumes that the Progress Party supports the proposal of the Right and Christian People's Party subsidiaryly.
ParlaMint-NO_2012-01-31.ana.ud2406e857	During the debate, Mr Bredvold has put forward a proposal on behalf of the Progress Party. The proposal reads as follows: «The Government asks the Government to submit proposals to repeal the Land Law § 12 concerning the prohibition of the sharing of agricultural property.» Alternatively, this proposal shall be rejected and the Committee shall be set up.
ParlaMint-NO_2012-01-31.ana.ud2406e870	The left has announced that they will vote in favour of the proposal.
ParlaMint-NO_2012-01-31.ana.ud2406e1041	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
