ParlaMint-NO_2012-06-13.ana.ud101e55	The representative Snorre Serigstad Valen will present a draft constitution.
ParlaMint-NO_2012-06-13.ana.ud101e703	When the Left decides, we want bigger municipalities. It's precisely because of what I said in my post: we need more knowledge and competence in the municipalities. There are a lot of professionals who want to move into the districts, but precisely because they don't find professional environments, they don't. I know a lot of people who want to move into the districts because of family relationships, but then they have a high level of education and don't find the exciting environments of competence that many highly educated people want. So the left has not drawn the municipal map at all. We're not going to sit and do that here on the Stortinget. We have a big debate in the party now, which will turn into a very good program for the Left. So the representative Hagen will get that answer later.
ParlaMint-NO_2012-06-13.ana.ud101e710	The cord shift is over.
ParlaMint-NO_2012-06-13.ana.ud101e713	The government has provided two important documents in the Stortinget on the municipalities in the spring session: first the principle notification of the relationship between the state and the municipalities, then the municipality proposal for 2013. Both documents are important for the future in Kommune-Noreg. It is about freedom of trade, and it is about resources for the municipalities and the inhabitants. Municipalities are broad social institutions to look at and take responsibility for services and societal development in local communities. This is precisely why municipalities are well placed to see challenges and find good solutions both in cities and in towns. They have our innovative through history. Most of the welfare services we have today, and which have been national reforms, have started at municipal level. This is also the case today, and we are looking at the Reform of Cooperation, which is a good example. Many municipalities have already developed smart solutions in health services. Now the state is following and making the reform nationwide. The state-municipal message, which was a bit demeaningly referred to here today, establishes the principle of economic and legal framework management of municipalities. I am pleased that a broad majority in Stortinget ends up on this guiding principle, and take it as a good sign that the Progress Party does not reach politically with its single pricing system. Such a system, framework funding, is sensible and effective in giving municipalities responsibility for tailoring welfare services and prioritizing what is most important in each municipality. Some municipalities need care services, others in school. Therefore, a local priority must be given – it also provides the best services. When one hears the opposition's black measurement of the local authorities' situation, one would think it is very poor. Then it's good we have KS. Then it is good that we travel all over the country and meet municipalities at municipal conferences in all counties and are told that it is quite well done. They're happy. There's almost no critical question about the municipal council. Well, both the government and the state council, so that a listener listens to the municipalities and spends money on the areas they've said it needs, like, for example. kindergarten and funding led to the need for more kindergartens than those scheduled last year. We have listened to them and added more money. Local authorities need resources. Since 2005, municipalities have had a real growth in income of 59 billion. kr, corresponding to 2,6 pst. per year. It's taller than it was at the time the opposition party was in government. Local authorities have benefited from the money in a good way: full childcare coverage, several year-olds in the care services, a better school, and several young people are helped by the protection of their children. At the same time, they maintain a good balance between the development of services and a healthy municipal economy. An average operating result of 2,8 pst. in the period 2006 to 2011, the average under the right-hand rule is much higher. I'm proud of that. It shows results. 62000 more were added to the sector from 2005 to 2011. I remind the black-painting people in this room that the same figure was 7,200 in the period 2001–2005. It's not that bad! There is an eagerness in the municipalities to add people, provide better services, build new schools, build new kindergartens, fill water in swimming pools and take care of their inhabitants. I'm proud of that, too. The real growth in the total revenue next year will be between 5.25 billion. kr and 6 brd. kr. A high amount of free money, up to 5 billion. kr, will enable municipalities to give priority to different local needs. In addition to a good growth in the framework, the estimate of tax revenue for the municipal sector in 2012 has been adjusted by 2.3 billion. kr. Total growth is the highest seen in the municipal sector, if you look at both the tax revenue and the framework in the context. One of the important steps taken by this government has taken for Kommune-Noreg is a fairer distribution of income, and because we distribute the tax growth, which has also been problematic today, all the municipalities enjoy increased tax revenues. It provides opportunities for both large and small municipalities to provide good welfare services to their inhabitants. That's the goal of this government: equivalent services throughout the country.
ParlaMint-NO_2012-06-13.ana.ud101e732	It's going to be line change.
ParlaMint-NO_2012-06-13.ana.ud101e735	Now, what we've heard from the municipal minister here today is much like what we've heard before. It's a huge real growth for municipalities, extra transfers. She did not tell us that in this real growth, it is not expected that we will increase in this country, that we will grow older in this country, and that the municipalities will also have new tasks. The feedback we get, and all the numbers, shows that the municipality of Norway is not doing so well in these billions that the municipal minister boasts that the municipalities have received. Current increases to record level in Kommune-Noreg, and maintenance run grew year by year with billions of dollars. The average operating result was 3 pst in 2009 and 2010. It has fallen to 2.5 pst. Several municipalities have entered ROBEK. Then my question is, how does it happen that all these billions lead to this development in Kommune-Noreg?
ParlaMint-NO_2012-06-13.ana.ud101e743	I need to remind the representative Hageseter that just demography, that we're getting more, that there are more older, that the population's attitude is changing, that's what's being captured in the free incomes and in the demographics of them. They're estimated at 3.1 billion. kr, or actually €3.5 billion. kr, but SEK 3.1 billion. kr shall be taken from the free income, as we have calculated. The rest is charged and miscellaneous other revenues. In addition, there are pension costs. In addition, there will be free resources and, in addition, there will be a tax increase that will also benefit municipalities, which will benefit from prioritisation. Because we don't have a right-wing policy, but a distribution policy, all municipalities benefit from that income growth. Therefore, there is a real growth in the municipalities and not just a growth that we are talking about, but that the municipalities, with which I have now visited many of them around the country, are very content, unlike the representative Hagesetter.
ParlaMint-NO_2012-06-13.ana.ud101e748	It seems that putting the right – or ‘right’ – in front of a word makes it feel negative. It doesn't seem like the voters just seem to be doing it right now. The adjacent seat went far back and talked about the last Right-leaded government when she was going to describe the misery and what it was like then. It was the Syse government, where the Center Party itself took part, which was the last Right-lead government. But to something that seems to go well here in the country, and that's the evolution of the people. In the first quarter of 2012, the population increased to 281 municipalities and to 140 municipalities. But eleven counties had domestic moving losses to other counties. Finnmark had the largest relocation, followed by Sogn and Fjordane. But all the counties have a moving gain from abroad. How happy is the Council of State that we have the EEA agreement that gives free labour immigration and thus growth in the population in all the counties of the country?
ParlaMint-NO_2012-06-13.ana.ud101e755	The fact that we have growth in all countries has a composite explanation, not least the explanation that we have a government that has increased the regional policy supplement by 1.4 billion. kr, which allows the creation of jobs, municipal nutrition funds and a lot of activity, which one did not facilitate when a cut the same regional policy contribution of the Right-dominated Government in its time. Of course, I'm glad it's moving people to Norway. When a listens to debates where Right-Leader Erna Solberg participates, a few impressions might be that this is a pitfall. That's not how it fades. We have stable economic governance, we have low unemployment, we have good political governance of resources, which means that the whole country gets involved, and it is then attractive to move to all parts of the country. I'm busy that in the years that come, where there's also a large population growth, we're going to have a good distribution policy that makes it attractive to live in the whole country. Therefore, it is important that this government continues after the elections next year.
ParlaMint-NO_2012-06-13.ana.ud101e762	I hear the council is very busy conveying the impression that the only opposition parties are doing, is black-painting, talking Kommune-Norge down. I think the Council of State should have shown a little more respect for the concern expressed by the Christian People's Party regarding the local economy, given both the enormous debt that has grown in the municipality of Norway, the enormous maintenance effort, increased wage and personal costs, the demographic development – we do not fully know what economic outcome it will bring – and not least underfunded reforms. Does the Council of State really believe that sharing such a concern is blackmailing the situation in Kommune-Norway? Isn't the Council of State itself concerned about what the Christian People's Party has pointed out in its article?
ParlaMint-NO_2012-06-13.ana.ud101e769	There is a striking contrast between the comments and discussions we have with KS and the municipalities at large, and the post that has been in the hall today. My remarks about black measurement were not written in my post when I came here today. They added after listening to the debate, because I thought he was negative. There are many positive moves. But of course there are also moves in Kommune-Noreg, by individual municipalities, which give cause for concern. In all my meetings with municipalities, with KS, at the national government meeting in KS, and otherwise I urge you to moderate and to have a home with the frames you have, in the long run, see that you have room for growth waiting, which can come, and see that the investments you make are part of a holistic arrangement that means that you must not cut down on the services of the inhabitants to the extent that you can see that it is dependent on the pure path. So, of course, I share the concerns, but now I share first and foremost joy over a good community arrangement.
ParlaMint-NO_2012-06-13.ana.ud101e776	In the context of the recent consultation of the Financial Committee on the electoral system at the youth level, Unio concerned about the underfinancing. Such arrangements are intended by the government to provide for elective hours by redeploying hours and learning forces from other subjects. It can certainly be done in large schools, but in small-scale schools this has to be a far bigger challenge, and it will be at the expense of resources for ordinary education, as we see it. It's not in line with Storting's intention. So my question to the Council of State is: Is the Council of State comfortable with how the electoral system is going to be put in place, not least in view of the smallest schools?
ParlaMint-NO_2012-06-13.ana.ud101e783	I am very happy that the government is now going for a more practical school. It has been a battle cause for me and my party all the way. Since the reform in 1994 and reform in 97, we have been concerned that both in continuing school and in the basic school, practical subjects need to be developed, because not everyone is just theoretical, many have practical characteristics that must be cultivated. That's why I'm also very careful about how we're going to get funding that provides both the equipment that's needed and the skills that need to be put in place. And I'm going to do that too. We've got a good start on this, and we're going to further develop it in the years to come. It is therefore important that the government be seated so that we can complete both this reform and other important reforms, so that one actually sees the individual student and develops the characteristics of the individual student. That is what this reform will do.
ParlaMint-NO_2012-06-13.ana.ud101e788	The cord shift is over.
ParlaMint-NO_2012-06-13.ana.ud101e791	I need to say something about the backstop for the debate we have today – a debate many people envy us. While our debate is about how much the local economy has grown and will grow, many of our neighbouring countries have to cut public budgets. And while we are discussing improvements in welfare provision, politicians in other countries have to take responsibility for reduced welfare. In the euro area, every 10 workers are out of work and there is an open talk of a lost generation of young people. The OECD believes that European welfare countries are facing dramatic changes. Many European countries will be forced to make cuts in pension, health and social security systems. Europe is likely to be faced with difficult decisions and tough conflicts for many years. As Europe bleeds, since 2005, nearly 300 000 jobs have been created in Norway — two out of three in the private sector. In another context, the representative Tetzschner from the Right said that the Norwegian model is nothing more than the Greek plus oil. That's wrong. That's not the oil we live on. The management of the oil is important, but it's work we live on. While Greek women have the lowest professional participation in Europe, Norwegian women are on top. It is a result of political choices and solutions that the Right has not pushed forward, and applauded to a small extent. Many countries have natural resources, but there is no automation in providing high activity in the economy, low unemployment, government budget surpluses and fair distribution. Norway is not shielded from the effects of what is happening in Europe. The question is not about, but when and how Norway will be affected. Safe economic governance is our first line defense. For this reason, the government is making use of oil money that is under the rule of action, and recently presented a proposal for a strictly revised national budget. But the majority government prioritises the municipal sector. Since 2005, the municipal sector has had a real growth of 59 billion. kr. Today, we are making decisions that imply that the municipalities are growing in free incomes up to 5 billion. kr in 2013. In addition, increased tax revenue is SEK 2.3 billion. kr in 2012. The income framework will allow for the expansion of service provision beyond what is required by population growth. The municipalities have been heard, the new head of the KS cheered when the municipality proposal was presented. The rose from Gunn Marit Helgesen, representing the Right, contrasts with the description of her party traps that express her in the hall. Norway is experiencing strong population growth. It's positive, but at the same time it gives many municipalities new challenges. They need to facilitate housing, build infrastructure and develop the service provision. The Workers' Party is committed to ensuring that the municipal sector is well-managed, so that the population is provided with the best possible and best-possible welfare services. Luckily, the municipalities make good use of the revenues. They operate cost-effectively and unbureaucratically. At the same time, municipalities must work with innovation and innovation. The «Communication on a better municipality» programme is a good project. The work on ICT is important, and the local government's innovation efforts need to be integrated into the government's announced innovation strategy for 2013. In addition, it is necessary to contribute to structural changes in municipalities. It's not about how the sense is distributed, like some later that, but about that many municipalities are too small to solve the problems alone, and many see that larger trade unions can provide better services. The Labour Party has programmed that we believe there is a need for changes in the municipal structure. We look with concern at the emergence of ever more extensive, unbridled and undemocratic intercommunal cooperation. Discussion of structure is also part of the renewal work in the municipality. Since 2009, the Municipal and Administrative Committee has been on 15 county trips. We've met hundreds of local politicians, representatives of all parties, who disagree on most things. But one thing they have in common: no one has wished to return to the income regime that the council when Erna Solberg was the municipal minister. The representative of the Progress Party was concerned with the number of municipalities with financial problems in ROBEK. There are now 52 municipalities in ROBEK. When the Progress Party had budgetary cooperation with the Right, Left and Christian People's Party in 2004, the number was 118. The number of ROBEK municipalities is a poor barometer on the health status of Norwegian municipalities, but if the Progress Party insists on measuring this, we can conclude that Norwegian municipalities have become twice as healthy since 2004.
ParlaMint-NO_2012-06-13.ana.ud101e806	I note that municipal politicians around the country now have one main task, and it is to make the municipalities operate to float around with the least possible damage to the inhabitants. In the presentation of the municipal bill for 2013, the municipal minister boasted of the amount of money to be given to municipalities in 2013. When the economic and local politicians in the municipalities have now had time to get involved in the impact of their government proposal on the municipal economy for 2013, they have discovered that there are many black clouds in the horizon. Local politicians, who have a great responsibility for the welfare supply around the municipalities, do not expect the priorities to be met during the budget round of the autumn. In my view, they have good reason to be concerned. The interaction reform is a particularly demanding reform for municipalities, for the municipalities have neither economic resources nor professionals, so that one can start with the main objective of the reform. If local authorities do not have the means and resources to invest in preventive work, it will be a very costly reform for municipalities. What we are witnessing today is that there is little money in the municipalities for preventive health work, but the municipalities are clearing up places in the hospitals to receive patients from hospitals. As a result, many patients who should have a place in a nursing home remain in open care. Will the sitting government take responsibility for this and get the recommendation that the reform has led to one thing, namely that patients suffer because there were not enough resources put in place? We in the Progress Party have proposed in the Municipal Proposition 2013 to increase the fees to the municipalities by 1.5 billion. In addition to the proposed government, these funds are mainly earmarked as means of operation for the care of the elderly, the foundations, the protection of children, drugs and psychiatry. We've also proposed an increase of 2 billion. kr for maintenance and upgrading of the county road network. Now it is such that the sitting government generally does not listen to the opposition's advice, and especially not to the Advance Party's advice. But for patients and elephants around the municipality of Norway, I have little hope that the government can increase the rights of the municipalities, which I am sure the grassroots of the municipal minister has a strong desire for. I record that outside the municipalities it flashes in the savings knife, and alleys are laid down because of a difficult municipal economy. I'm now recording that scoops with good results before the basics, such as reading and mathematics, are being laid down. I am very surprised that the government will be a contributor to this. If a pool is laid down, it is the county that has to pay for the shower to the students who must then be transported to another school. This is what I call centralization, and I wonder what the Minister of State thinks about it. But in the Council of State rhetoric, it is only shown that these are the local politicians' responsibilities and not the Council of State. The Progress Party calls for a clearer timetable for when the government intends to implement a holistic approach to digitisation of public services. Our view is that such digitisation will be enormously cost-effective for the public sector. In this context, we will refer to Denmark's strategy for digitisation of the public sector, where Denmark can document savings up to 17 billion. kr per year, and user satisfaction is great. Such a saving potential would be dear to the municipalities throughout the country at a time when local politicians are striving hard to explain to the inhabitants of their respective municipalities why they have to go down on welfare services when the municipal minister boasts of how much money the municipalities have been transferred in the years that the red-green government has run the country. [[In the course of the installation, the civil protection warning system shall sound with the ‘air alarm’ signal.]]
ParlaMint-NO_2012-06-13.ana.ud101e833	I'm going to come back to a theme we were about a little earlier today, in the change of line with the case rapporteur, Ingelill Olsen. This concerned the development of debt in the municipalities. In my opinion, the government parties do not do much more than mention the problem. It is pointed out that debt management is the responsibility of each municipality. And then you say the mandatory thing, that you have to follow developments closely. In common everyday life outside of people, that means you haven't thought to do anything about it in particular. The rapporteur said in his statement that high activity leads to a high level of debt. It is true in itself, but it is just as right to see debt build-up as underfunded activity – a non-sustainable activity that needs to be reduced later in order to serve the borrowings raised. I must admit that, in some cases, debt financing can be very sensible and also necessary. But then the purpose of the loan has to give a higher return than the borrowing costs. If that's not the case, the debt is used to advance consumption, and it's not sustainable. It does not help to call the purpose of borrowing investment, if the operating consequences are negative for the local economy. This means pushing problems in front of them and leaving them to later local authorities to make painful priorities. Given that the growth of income falls to a more normal level, that the level of interest rates rises to a more normal level, and that municipalities continue to finance investments in the same way as today, the following may happen: the debt that has risen from 10 pst over a couple of major periods. of annual revenue, to 44 pst. today, may increase to over 100 pst. Revenue must then decrease from 95 pst. for less than 90 pst. of the revenue. The consequences of such a cut will for Kommune-Norway amount to roughly 20 billion. kr in reduced activities and budget cuts. We are in the situation that the growth in income now needs to be above interest rates in order for this to go well. But if interest rates were to rise, there would be a dramatically greater need for tightening up. This is not a worst case scenario. The central statistical agency has estimated a doubling of the money market rate by the end of 2013. Although development should follow a more favourable path than this, municipalities will face major problems if the level of interest rates is higher than the growth of income. The Ministry should obtain, to a greater extent than at present, an overview of the level of interest with which the municipalities have budgeted. In this picture, it is also appropriate that the municipal accounts themselves and the way this is done today do not support long-term investment decisions. The local accounts do not reflect the maintenance needs resulting from the acquisition of real values in the form of buildings, machinery, installations and roads. Depreciation in municipal budgets could create the space and discipline in the budgets that prevents maintenance delays from occurring in the future. As it works today, maintenance is not the most widely used measure to deliver municipal budgets that are formally in balance, but where the assets are demolished. These problems coincide in time with another situation that has been updated since the presentation of the municipal bill. In letter of 4 June, the Financial Supervisory Authority announced that they consider reducing the calculation rate for new life assurance benefits from 2.5 p.m. to 2 pst. A reduced interest rate of 0,5 pst. will lead to a sharp increase in municipal pension contributions as early as 2013. The supervisory consultation notes state that the increase will incur additional costs for municipalities of 3 billion. kr due to this change. This will initially cause the municipalities to lose liquidity of the same size. There are also other consequences in accounting terms. If the premium deviation, which is already record high, is not to increase from today's 23rd billion. kr, the real wages and salaries rate affecting pension costs must be increased with effect for 2013. At the same time, there is a need to increase the sustainability of the pension system by reducing the premium deviation. Predictive policy management of the municipal sector had addressed these problems in a completely different and active way. The red-green parties boast that municipalities are increasing their current consumption by means of people's taxes. It's no art. However, there is a danger that negligence will be committed in good time, by failing to balance money for investment, by repressing debt and by reducing future local freedom of action and by not introducing depreciation that could ensure maintenance and prevent maintenance delays. [[In the course of the installation, the civil protection warning system shall sound with the signal ‘danger above’.]]
ParlaMint-NO_2012-06-13.ana.ud101e859	The president just wants to inform those who are wondering why we hear warning signals outside the hall that it's not about the local economy. It is the civil defense that has announced that they have a warning drill at 0 p.m. 12, so we can take it easy.
ParlaMint-NO_2012-06-13.ana.ud101e862	I really figured that the signal outside had something to do with the local economy, because the last signal I heard was ‘the danger over’. So it actually fits well with the message in the municipal proposition. Today’s debate highlights that municipalities are a central part of the Norwegian welfare system. But the assumptions change. The population changes – it gets higher in some municipalities, and it gets lower in other municipalities. The population's composition changes, and the framework conditions for municipalities also change over time. New tasks are coming into play, and technology is developing rapidly. As we have progressed in Norway, our expectations for what we can achieve together naturally increase. When our house is newly renovated, we also expect the school to be. When we have a new PC and flat screen at home, we expect it to be proper equipment in the classroom as well. When we read on the Internet about new medicines and treatments, we also expect access to them when we get sick. We get upset when we hear about the elderly who do not have a sick home, or the unemployed who have to sit in a telephone queue to get the case handler on Nav. These are social democratic, solidarity and healthy attitudes, and this is a declaration of trust in the welfare model. Nor is it that the Norwegian welfare society has been adopted once and for all. We must defend it, but also improve it, strengthen it and renew it. We'll never finish developing the welfare community. It also requires conversion and renewal in the municipalities, and the municipalities themselves have a responsibility to implement new solutions and to make the necessary changes. It's not just money that answers the challenges we face. In the Education for Welfare Communication, the need for labour in the municipal care service is estimated to increase by 54 000 annual work by 2030, and a total of 130000 annual work by 2050. In addition, general population growth, such as requires more places in school and kindergarten, and puts pressure on municipal infrastructure. Labour is and will be a scarce resource in the municipal sector. Therefore, in order to be able to provide good services to citizens in the future, it is necessary to develop ways of providing services in a better and best way for employees to use their time. We have older people and people with disabilities who can and will contribute if we become better at providing jobs and jobs. We have a good school in this country too many, but not for everyone. We know that the best vaccine against unemployment, poverty and poor health is a good basic education and a good start to an adult life. We have a good health service, but not as good as it must be. Many people are on a waiting list, we are struggling with staff shortages, and health is also a matter of community distribution. We are good at repairing, but too bad to prevent. User studies show that people are happy with healthcare, but people are also concerned about the future of Health-Norway, about their local hospitals, about first-class treatment, and whether they get the help they need, when they need it. People want to be self-held and stay at home for as long as possible. Of course, everyone has the right to be cared for when necessary. But the really big job we're facing is to develop and further develop the home-based services. We have municipalities that think it is challenging to ensure the right skills, and enough people to do the tasks they are responsible for. We need to use the opportunities of the new technology, so that people can live in safer homes, and that many more can receive the services at home. When that's the situation, I want to remember something that Trygve Bratteli once said: ‘The welfare state is not a philosophical system. It is primarily a practical system, which is why it is also based on a variety of schemes. Nevertheless, the goal is the same: to ensure the equivalency of all people.’ Note that – primarily a practical system. The public common rules, the taxes we pay, the energy we put into organizing workers and much more, are part of this practical system. It is only practical means of achieving the objective – the policy objective, which is what we are trying to achieve. It is part of the background when the government announces a strategy for innovation in the municipal sector in spring 2013. In this context, cooperation will be started with the local government sector, workers’ organisations and industry for the development of new service models, the testing and deployment of technological aids and the use of ICT services. It will also be a good thing – a good thing where we ensure the welfare society for the future, and a new stone in the construction work that the Norwegian model is.
ParlaMint-NO_2012-06-13.ana.ud101e891	Once again, there is time for the annual debate on the financial framework of municipalities and counties in the coming year. In this context, it is necessary to recall once again that the administrative reform came from 1 January 2010 and that it has soon been in place for three years. Again, it is necessary to recall what the administrative reform entailed. This sad remnant of a fortunately stranded regional reform has resulted in the declassification of more than 17 000 km of national road through transfer to the county municipalities, and the transfer of 78 out of 95 national road sections from the state to the county. These roads had an alleged maintenance run of 12 billion. kr. The government used the principle out of sight, out of mind -- let a few more problems. In 2011, and also in 2012, there has been no lack of reports, opinions and results on county roads – roads that have become worse. There has been no lack of input, comments and results from frustrated state politicians and state bureaucrats on economic frameworks that do not allow for improvement. The operation of county roads is one of the most important tasks of the county, which through the administrative reform has become significantly more extensive and significantly more demanding. 60 pst. of the national road network changed owner of the administrative reform. The new owners knew that they took over roads with large defects, but only afterwards have they been told how bad it really was. One example among many: Upon takeover, the maintenance kit run on the roads of Møre and Romsdal was set at 700 million. kr. It went no more than a year before it was established that the bill was more than four times as large. It has been said that if this had been a used car trade, the parties would already have been on their way to the property court. The point is not to allocate blame, but to establish that the state is still responsible. That means the government. The sitting government says it has invested a lot on the road, but measured against the aftermath, it is clearly still too small, too little. The ownership has been moved to an owner with small economic muscles. Then there is a risk of responsibilities powdering. The Minister of Transport can use the index finger instead of the wallet and shift responsibility away. It is therefore necessary to establish a State programme to raise road standards to a sound level, including for county roads. It has to be cleaned up when a new national transport plan arrives, but we also have to make an effort both in the revised budget for 2012 – the Progress Party – and in the 2013 state budget. That's why the Progress Party is adding 2 billion. kr more earmarked for the county roads in the framework of the urban economic landscape for 2013. This challenge is not addressed at all in the municipal proposition. There's nothing about the county road network, as far as I've been able to observe. New in this year's debate on the local economy for the coming years is new knowledge of how it is happening on the county road network. As part of the trade unions’ proposal for a new NTP, a number of reports have been received. One of these takes into account the cost of removing the maturities associated with bridges, ferries and tunnels on the county road network. There is an estimate of approx. 18 B.C.E. kr. It's not black paint, but it's measuring the actual situation. Opinions that have come from different teams and in different ways, including: during the transport committee's visit to a number of counties, suggesting that the overall aftermath on the entire county road network, including bridges, quays and tunnels, is 40 to 50 billion. kr. That has to change, and it cannot wait until 2014. Dramatic consequences of a lack of maintenance may result in asphalt roads becoming gravel roads and reduced axle loads for users. It creates disadvantages and increases the risk to users. I remember that the county roads are the road network for most people in their everyday lives – to work, to school, to daily tasks. There is also too much transport by road, because it starts and ends on a country road – essential for value creation across the country. It's a shame the government is letting the county roads rot. The Progress Party will do something about that.
ParlaMint-NO_2012-06-13.ana.ud101e908	Red-green policies for municipalities can be discussed at several levels. Very often it is a matter of municipal economics. There's a debate that we're more than happy to take. Nearly 60 real billion in plus since 2005 is a result we can be familiar with. But it's not the numbers that matter the most, but what the money actually does. In that perspective, perhaps the very first sentence of the municipal proposition is the most important. It says: «As a service provider, a public authority, a local democratic arena and a social developer, the communities have a major role to play in people's everyday lives.» Municipal economy is another word of well-being. The better the community economy, the better the everyday life for most people. The better the municipal economy, the better the municipalities will be able to improve the everyday life of those who do not have it so well. Children and young people who have failed care are among the most vulnerable. Therefore, strengthening child protection is one of the most important tasks of our government. There will be a notice of child protection in 2013, but it has happened and will happen a lot before that. Children who need help don't have time to wait, and we see, unfortunately, that more and more children need help. In 2010, 50 000 children received child protection measures in some form. A more spatial economy enables municipalities to provide better child protection services. In addition, the child protection promise, which is three things: resource raising in the form of earmarked funds, better organisation and better priorities. And through the child-restraint promise, municipal child-rescue now gets its biggest boost in 20 years. To take the resource promise first: in 2011, there were 240 million. kr earmarked the child protection system. There were 400 new posts in the municipalities, an increase of 12 p.m., and 52 million. for the enhancement of competence. National recruitment campaigns have been carried out to provide more foster homes, to keep those we have, and to recruit new ones. The resource promise has continued this year. New 50 earmarked million kroner have given 70 new jobs and further training of experienced employees as guides to the new colleagues. Local authorities are already reporting results: fewer deadlines, better supervision of foster homes and more children with their own action plan. There's a lot of technical words and expressions, but in sum, that means that many children who feel hurt are better off. Much is about money – for action and for employees. But better child protection is also about having a critical searchlight on how money is used. In 2004, the State took over the functions of county councils in the field of child protection. It is now time to see if the purpose was achieved – was there a better child protection? Several reports have been ordered on it from external environments, and there is a bill on the future responsibility for tasks and funding between the state and the municipality in 2013. NOU 2012:5 on better protection of children’s development is being consulted until the autumn. It's an investigation that's important to children. Important principles underpinning the assessment of take-over by children are reviewed. These are difficult balances, which can be of great importance to the child's chances for the rest of his life. Our task as politicians is to ensure that those decisions are as good as possible. Therefore, the government will review these principles as an important part of the child protection promise. Right, the Advance Party and the Christian People's Party say little about child protection in their comments. Then perhaps it can be interpreted as a support for the government's child-restraint lift. All they're saying is that there's a need for increased resources to recruit foster homes, but they're little concrete. What does that even mean? Access to good foster homes is about more things. Recruitment campaigns are already underway, as I mentioned. The foster home system needs to be better known, including in minority settings. Good new recruitment also depends on the good experience of current foster parents and recommends this to others in their network. The child protection promise is also about resources and employees to follow up today's foster home in a good way. However, the very best thing for each child is good prevention to prevent care failure. Good local economy makes that task easier. This government is betting on both. And it's actually this Right Trond of Greece in his post said this: there's an ever-increasing amount of money drawn into the treasury, to be distributed according to the red-green discretion. Yes, the child-rescue promise is good for us.
ParlaMint-NO_2012-06-13.ana.ud101e939	All municipalities should be able to provide equally good services in kindergarten, school, care and care throughout the country. It is an objective to have a fairest and most appropriate income base for municipalities. This also applies to kindergartens in municipalities. In 2005, 76 pst went. by Norwegian children in kindergarten. In 2012 it is all 90 pst. by Norwegian children in kindergarten, and in the five-year-old group, it is 97 pst. who goes to kindergarten. That's high and joyous numbers. It shows that the government, in close cooperation with the municipalities and private authorities, has succeeded in building kindergartens. In press areas, there will still be a need to build kindergartens, although today we have full kindergarten coverage. The abolition of cash support for two-year-olds led to an increase in the need for kindergartens. The government therefore introduced an increase in transfers to municipalities in the revised national budget so that they can build more kindergartens. However, some municipalities have chosen to introduce municipal cash support for the two-year-olds. The working party is skeptical of such a scheme. Is it really a political desire for parents to be at home with their children, or is it a bypass from local politicians to prioritize money for the elderly, school and other things? We have received signals about this, but we reserve the right to have clear figures that this may be the motivation for having cash support under municipal law. By doing so, municipalities will circumvent the obligation of full child care coverage. How do we want the kindergartens of the future to be? The government plans to provide a big message on the future of kindergartens during the winter of 2013. The staging notification shall provide a clear direction of what kindergartens will be in the future. There are proposals from several different sample sizes to be assessed and seen in the context of the work on the new Storing Communication. The Ministry of Knowledge, via the Directorate of Education and the State, is closely involved in the situation of non-municipal kindergartens following the introduction of the framework funding for the nursery sector. The Ministry of Knowledge has also had a close dialogue with the National Association of Private Barnehagers, PBL. In addition, KS and PBL have cooperated to contribute to a more coherent regulatory practice in the sector. A review has also been provided to see whether the provision for equivalent treatment works according to the intention, because it is important that the non-municipal kindergartens have a predictable and fair funding. The majority of the Committee looks forward to the outcome of the review and the outcome of the cooperation between PBL and KS. The Ministry of Knowledge presented Prop on 27 April 2012. 98 L for 2011-2012, Changes to the Kindergarten Act, which propose provisions to ensure that the municipal grant and parental payment in non-municipal kindergartens are used in line with the objective and benefit the children in kindergarten. The proposal sets out conditions and frameworks for the use of the government grant and the parental payment and sets out documentation requirements to the owner in order to ensure their use in accordance with the objective. Municipalities may also use economic means of reaction to non-municipal kindergartens where the grant and parental payment are not used as provided for in the proposed provisions. The working party sees the quality of kindergartens as an important area of activity, both in terms of staff competence and in terms of the quality of premises and outdoor areas. The government has greatly increased the capacity for primary and continuing education for pre-school teachers in recent years, and it is necessary to keep up the pressure as the shortage of pre-school teachers has remained stable over several years. This will, of course, also be discussed in the big picture coming in the course of the year. With regard to the childcare effort in the municipalities, I would like to refer to the contribution of the representative, Christoffersen, who draws on the importance of safe and good kindergartens, and that both children with a minority background and other children can go to kindergarten and get a close follow-up before they go to school. This is also part of the work we are doing in the extension of the child's hail.
