ParlaMint-NO_2012-03-07.ana.ud1189e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2012-03-07.ana.ud1189e434	I have to admit that I think this main question reminds me suspiciously of the previous main question that was asked to me. But we can continue the discussion about the lack of engineering. It's a great pleasure to me, because this is an area where the government really rates. It's both about bets on barley and about betting that we get more students to study the real subjects. I have explained in previous articles here in this spontaneous Question Time the strategy we have for real science in general – how to get more people to choose just real science and engineering. In any budget, of course, it will be an important objective for me both to get new places of study for the areas where we need labour and to get the necessary building for this. But then there's clearly something the representative doesn't like, and it's that I also point out that there's actually quite a lot of autonomy at individual universities and colleges. They have the ability to prioritize themselves. When we tell them to bring up engineering students, for example, they have to do it, and we've done it pretty much in the last few years. But it is also up to them to give priority to what they have of educational provision. Then they have to prioritize something else, and it's always hard. I can understand the dilemma that many universities and colleges are in then, because this is also a priority issue for the big community. Yes, we need engineers – I characterized it in a previous post as a good sign of Norwegian economy – but we also need teachers, we need nurses, and we need a lot of other professional groups that we also need to facilitate and discuss. That's why we're always talking about how to give the best possible priority. But the engineering and real-life sciences we actually have a good strategy for, and we have important plans both in terms of construction and in terms of content.
ParlaMint-NO_2012-03-07.ana.ud1189e444	Now, once again, the lack of engineering is precarious and a plug in the system. The research team also responds to the fact that the State sometimes expresses that in many cases there is not a lack of study places for engineering but a lack of qualified applicants. This is probably true in a few of the study sites, but in the case of Bergen, Trondheim, Ås and Stavanger, there's a big visit to the study. One thing is that they have to say no to applicants because of lack of space since the government will not provide technology building, another factor is that many professionals with professional letters want to take the engineering profession. However, it presupposes that they must take advance steps to qualify. This course must cover the entire cost. This excludes many — who could become good engineers — from education. Will the Council of State take the initiative to finance state advances in engineering studies?
ParlaMint-NO_2012-03-07.ana.ud1189e451	There are many important divisions of labour between central and individual educational institutions — government and government. Right here we are facing a matter that concerns many people who believe that there is a great need for engineers. I approve it and acknowledge that it may be right. But I know very well that we also need other occupational groups, for example. teachers and pre-school teachers. That is why it is my job to stimulate the teaching places to the best possible – within the limits of their financial resources – both to give priority and to facilitate the provision of skilled labour. So it's also the case in terms of the engineering shortage in particular, that it's allowed to pick up labour from abroad. There are many people who do not have jobs in their own country who come to Norway and want to participate in and contribute to the construction of our society. I also think we should take that into account.
ParlaMint-NO_2012-03-07.ana.ud1189e456	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e459	Just to establish once and for all: it doesn't just help to know where the fishing ground is, one has to have the means to get the fish up and a market to take it away. We know a little bit about that, so we can take the discussion about fishing afterwards. The background to what we're dealing with engineering education is that although the government claims that there have never been as many graduates as they are now, neither has it ever been – related to the demand of business, municipalities, county councils and the state – been so big. Nearly everyone involved in this type of activity needs engineers today. The big question is, what will the government do to reduce that gap? It's not enough, as the Council of State says, that you've looked at the matter, and that we've never trained more than now. We actually have to have more! My question to the Council of State is related to the failure of the engineering study, because it is very big: Do you want to look at precisely those criteria, so that of the applicants who enter the study, a larger number than at present are completed?
ParlaMint-NO_2012-03-07.ana.ud1189e468	Whatever is said here, I think we have good tools. We know where the good places to fish for both engineers and other professionals are, and we have the means to do so. The figures published a few days ago show that we have the highest number of fully trained engineers between 10 and 15 years. So this is going the right way, and there's reason to enjoy it. But it is clear that the demand for engineers is probably somewhat more cyclical than the demand for e.g. teachers and nurses. That's why we train engineers, regardless of that. We have to educate, and we have to educate more. But it's not that many years since many received final packages in e.g. The oil industry -- you didn't have a job for them. Now the situation is completely different. That's why I'm saying that this area, where the demand for engineers is very high, is a cyclical area. We know that we need engineers now, but we also know that it takes at least three years to educate them. That's why we're training a lot of engineers now.
ParlaMint-NO_2012-03-07.ana.ud1189e473	Svein Harberg – to the last follow-up question.
ParlaMint-NO_2012-03-07.ana.ud1189e476	Governments repeatedly invite to celebrate the increase in the number of graduates. Yes, they've increased by 500 from 2005 to 2011. The need, according to Nav, is 16 000. It'll be a limited celebration from my side! The point is that engineering training has a great deal of qualified applicants, but they are not admitted, because there is no room for them – there is no resources for them. What is the concrete question to the Council of State is then — she says she has the task of stimulating: Will the Council of State stimulate by prioritising the development of engineering training and increasing the number of study places in engineering training in the next year's budget?
ParlaMint-NO_2012-03-07.ana.ud1189e485	The representative knows very well that the Council of State cannot stand here and do budgetary negotiations. This is an important issue in budgetary negotiations and in the budgetary process of the government, both in terms of material structure and in terms of study places. But to follow up a little on the previous question: in our strategy, we have added to an increase in the number of engineers – we see that we have 6,000 new graduates; the number has not been so high since 1995. We also see the need to combat non-response. So the fact that we're now educating a lot of people is very good, but we still have a huge lack of engineering training. It is also about following up the individual student in the best possible way, which is primarily the responsibility of the university, but for which we also see the need to motivate.
ParlaMint-NO_2012-03-07.ana.ud1189e492	Then we go to today's last main question.
ParlaMint-NO_2012-03-07.ana.ud1189e495	I have a question for the Minister of Culture. When Trond Giske used the cultural institutions to promote his political programme The Year of Man, many thought it was a joke – or at least there was nothing going on. Since then, you've realized that it wasn't that simple. This year, cultural institutions were required to incorporate the 200th anniversary into their programmes in 2014. The reactions have not been absent, it's from Sogn and Fjordane Theatre or from NTO, which is the Norwegian Theatre and Orchestra Association. The background is, of course, that the government has systematically, over time, incorporated attitude programmes into the letters of allocation, i.e. in the instructions given to the cultural institutions. It is about children and young people, it is about equality, and it is especially about what the government calls diversity, which in this context is another expression of integration. A big message that we are now dealing with in Stortinget, about culture, inclusion and participation, reinforces the governance dialogue. I expect that means that the pressure on cultural institutions will be increased, and cultural institutions will have to be more actively used to promote their own policies, that is, to use cultural life as an instrument for the government's flagging in and separately price-worthy matters – but that is, however, the government's political programme. My question to the Minister of Culture is, Is this a misguided development? So, does the Minister for Culture realize that there are more such instructions about political leadership?
ParlaMint-NO_2012-03-07.ana.ud1189e508	First, I have to be allowed to thank the representative for asking me questions in this questionnaire. The last time I stood on this pulpit, I was clubbed by the Grand President because I interrupted a representative of the Right. But I was so happy when I got the question, that I sent a slang kiss in the hall, and I noticed that it was not the club. My old social teacher is sitting in the gallery today with the social education class from Jessheim high school, so I'm very happy to have the opportunity to answer this question. So the question of cooperation between the cultural institutions and the Ministry of Culture. This big message, which we have ample opportunity to discuss in this Chamber – because it is on the agenda, and it has been through consultations in the Committee – has been made on the basis of a report by a group led by Liv Hege Skagestad. She had several representatives from cultural life in this group and was in dialogue with a lot of cultural institutions – with the Opera, with the National Museum, with other actors – to find out: How can we look at the diversity strategies of cultural life? Why is it that the commercial part of cultural life has been better to bring up many talents in the commercial television channels and in the pop industry than what we see the traditional cultural institutions are? Then we also took inspiration from what has happened in the United Kingdom in recent years called Audience Development. Then it is important for me to stress that I will never in any way dictate what kind of artistic choices the institutions make. On the contrary, I have been engaged throughout my period as Minister of Culture to increase the distance between political decisions and the artistic priorities taken by the institutions and taken by the Council of Culture. But I believe that this is at the heart of what is a cultural institution's mission, that of helping to give an offer to the whole community.
ParlaMint-NO_2012-03-07.ana.ud1189e518	I thank the Council of State for the slang kiss, but perhaps not to the same extent for the answer. If the Council of State takes the time to read the reporting form to cultural institutions, it will see that strategies for programme development – or for ‘programming’, which is an expression that has been used, are to be developed. How free you are as an artistic leader to develop a program and strategies for the program, i.e. long-term, when you're looking at the table, you need to take care of children and young people, equality, inclusion, as well as all the other more formal things? Then it's no longer about having an open discussion in the public room about themes such as inclusion. There is a situation where cultural institutions are actually managed and cultural institutions are used as an instrument of government policy. It's something other than what the government says in public debates, where you point out that it's a distance, and it's not.
ParlaMint-NO_2012-03-07.ana.ud1189e525	Cultural diversity strategies are not about integration. So it's about getting the critical voices out of the whole population. When we built the National Theatre, there were our own work performances there. Fortunately, it's no longer like that. Now the National Theatre has an offer for the whole population. But this should worry both the representative Thommess and me: if you take a trip to a children's show at the National Theatre, you can see that one third of Oslo's children are never among the audience. I don't think I'm going to say in any way that now the National Theatre has to set it up and that show, but it's a challenge that there are children who have parents with education and high income, who are looking for the cultural institutions. This, I believe, is a major social issue, because poverty in our time is less about butter on the bread roll or about warm enough clothes. It's about the kids who don't participate in cultural activities.
ParlaMint-NO_2012-03-07.ana.ud1189e532	Four follow-up questions are raised – first Torbjørn Røe Isaksen
ParlaMint-NO_2012-03-07.ana.ud1189e535	I can enjoy that she will have another chance to actually answer the question. The letter of assignment to Sogn and Fjordane Teater states that ‘it is expected’ to incorporate the 1814 anniversary as part of the performance, i.e. in the artistic programme. In Report. Art. No. 10 for 2011–2012, it also says, in black and white, that you want to incorporate objectives of inclusion and diversity in the artistic programme. As an artistic leader on a completely free basis, are you going to decide what kind of performance you're going to set up, and what the contents of them are going to be? Or should it be a pressure, directly or indirectly, from the department and from the political leadership of the department? The question to the Council of State becomes plain: When it says ‘it is expected’, does the Council of State understand that it is perceived as a pressure from many institutions?
ParlaMint-NO_2012-03-07.ana.ud1189e544	I would like to stress once again that all cultural institutions in Norway have full artistic freedom. But that the cultural institutions in Norway are going to play a role in the anniversary of the Constitution, whether it be museums or others, I think is quite natural and a social task that our cultural institutions have.
ParlaMint-NO_2012-03-07.ana.ud1189e549	Ib Thomsen – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e552	As usual, the Council of State does not go on its own and takes a little self-criticism. As usual, the Council of State does not entirely answer the question. What she calls cooperation, culture feels like governance. When culture deals with a problem that artistic freedom is deprived of it, I think we should take it seriously. Not many countries have such detailed management as the Council of State provides. North Korea is probably the country we know, which is about to govern culture. Critical voices and critical voices should be heard. We should get rid of closed decisions. Who dares criticize the department, who dares criticize the Cultural Council when you will later send an application there? You build a fear culture that you should do something with. We have to get an openness around this. What will the Council of State do with that?
ParlaMint-NO_2012-03-07.ana.ud1189e563	I believe that the largest culture of fear that exists in Norwegian cultural life is that the Progress Party will gain power in Norwegian cultural policy. I guess there's no party here that's asked me to go in so directly, whether it's in the NRK, in other cultural organisations, or in the Order of the Council of Culture, and govern it. So here's the Progress Party a little principal. What we're doing in this area is exactly what they've done in the United Kingdom, that's to look at public development, so that cultural institutions can reach new groups. There is no other governance of the cultural institutions that we put up in this big message – which we are given a thorough opportunity to discuss later in this room – than what they have done in the United Kingdom, their policies, in recent years.
ParlaMint-NO_2012-03-07.ana.ud1189e570	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e573	Now we have heard the Minister of Culture comment on what cultural life, the supposedly free cultural life, fears the most, and we have also heard the Minister of Culture say that we want critical voices from cultural life – even the critical voices to be stimulated in particular. Now it is the case that the Culture Committee has held a hearing on this big-mouth communication. Then the Norwegian theater and orchestra association set up. They represent the major institutions around the country, and they say the following to the Committee: ‘These are proposals to which the NTO is fundamentally critical and which we believe interfere with the artistic freedom of the institutions in a way that violates the principle of arm’s length distance in Norwegian cultural policy, such as this principle. are governed by the Culture Act.’;» The question is, what is it that NTO has misunderstood?
ParlaMint-NO_2012-03-07.ana.ud1189e585	We have a very good cooperation with NTO, but it's not that I agree with what the Norwegian Theatre and Orchestra Association means in every question. For example, in the question of whether the orchestras should have a responsibility to play works by Norwegian composers, we have had different assessments. I don't want to have a set framework for how many works of contemporary composers or Norwegian composers that the orchestras are going to play, but I think they have a social responsibility, just as our theaters do. I am concerned that we should have good dialogue with the cultural institutions. This big message has been made on the basis of a report that has been established after dialogues with our cultural institutions. It doesn't mean that I'm involved in the artistic decisions, but I want our cultural institutions to play an important role in society, to play a role in the 2014 anniversary, and also to have a responsibility for regional distribution and other issues that are important in our society.
ParlaMint-NO_2012-03-07.ana.ud1189e593	Abid Q. Raja - for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e596	Poverty among children was something this government was going to remove with a pen stroke. It's been six years. So the Council of State has been the Minister of Children in the past, without anything happening. But I'm going to stick to culture, which is the Department of this Council of State. The director of the Theatre at Sogn and Fjordane Theatre, Terje Lyngstad, tells us how there are increasingly strong leaders from the Ministry of Culture on what the theatre should prioritise when setting next year's repertoire, and an underlying threat of minor appropriations if this is not followed. What Lyngstad refers to as the ‘Cultural Policy’ is a description that many people in the cultural sector are familiar with. One of the Council's political advisers says on 1 March that since public appropriations have increased, it is natural to have clear leadership. For the Left, it is obvious that granting authorities will facilitate a living and free cultural sector, but not govern it. Freedom must be the support. I would therefore challenge the Council of State to clarify whether it is the government's view that the state should facilitate a free cultural sector, or whether it is in the sense that the Council of State believes that the cultural sector should be primarily a tool for the interests of the State. I've been told that I can't call that kind of state action communist, but is it perhaps this that's social-democratic?
ParlaMint-NO_2012-03-07.ana.ud1189e607	Of course, every cultural institution in Norway has full artistic freedom. But I think the introduction to this question is very interesting, because the representative is talking about poverty. In the past, poverty was that you didn't have enough clothes and that you were hungry. Today, poverty is about some children being able to afford to participate in the cultural arena, while other children do not. So cultural life has become a much more important meeting place, creating differences in our society. That's why I think it's more important than ever that we view cultural life as an important arena, where children and young people from different social layers and from different cultural backgrounds can meet, and I think that our cultural life is fully capable of looking at. That doesn't mean I'm going to dictate in any way what to play, or what to show, in order for them to have this societal task, I think it's important.
ParlaMint-NO_2012-03-07.ana.ud1189e614	The oral question procedure is thus changed, and we move on to the ordinary questioning procedure.
ParlaMint-NO_2012-03-07.ana.ud1189e626	There will be one change in the set list of questions, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendment is proposed for approval. – It shall be deemed to have been adopted. The change was as follows: Question 7, from the representative Borghild Tende to the Minister of Labour, will be raised by the representative Abid Q. Raja.
ParlaMint-NO_2012-03-07.ana.ud1189e639	‘A growing number of young people aged 18–26 have problems paying credit card debts. As a result, they are registered with payment notes and may end up with collection claims. In addition to being able to end up in debt traps, this can be a serious problem for young people when they later raise loans. Will the Council of State encourage education in private accounts and economics at secondary and secondary level, so that young people are better informed about this?’
ParlaMint-NO_2012-03-07.ana.ud1189e651	It is true, as the representative says, that payment problems have increased from 2009 to 2011, but it is not primarily among the youngest increases – it is in the 30–39 age group that we see, for example, that. payment problems are overrepresented. So it's about talking exactly and true about the younger ones. The theme of the private economy is important for everyone to master. The school has a joint responsibility to disseminate knowledge about this, and the private economy is therefore the theme of the curriculum in mathematics, both after the 10th stage and after the 1st stage of higher education. In higher education, it is not just a competence objective but a specific main area of practical mathematics. In the social field, too, the private economy has competence objectives. I therefore consider that the subject of the private economy is reasonably well covered in the curriculum of the Knowledge Lift. The implementation of the skills objectives is a responsibility for the school owners and the local schools. I trust that the schools will follow up and provide good training in the goals of competence in the curricula, which have the status of regulation. Not least, I'm sure this is happening in mathematics, which is a centralized degree subject. This one has a strong function as director of the training provided. The representative Bente Thorsen asks me to encourage the schools to teach private finance. Of course, in addition to the content of the curriculum, I would like to make a strong call for this, because it is vital that young people bring with them practical knowledge that they need in all areas of life. The Directorate of Education has developed guidance for the schools in the subject areas of the Science Charter, and the guidance in mathematics includes, among other things, the following: detailed instructional arrangements. One of these approaches concerns aspects of the private and public economy relating to the competence objectives of higher education. The National Center for Mathematics in Education also has resources on its home page on private finance, which I strongly encourage to use. It's important for me to make the training in mathematics as practical and relevant as possible. Taking as a starting point e.g. The private economy is a very good way to make the training relevant for the students and as a follow-up to the Message. St. 22 for 2010–2012, Motivation – Mestring – Possibilities, as the Stortinget dealt with in January this year, we will launch a separate calculation effort at the youth level. One of the objectives of this is to make mathematics more practical and relevant, and then training in the private economy is an important and motivating way to take this into account.
ParlaMint-NO_2012-03-07.ana.ud1189e666	I thank you for your answer. I think it was a very good answer, but I still have to make it clear that it is registered against 28,000 young people with a payment claim. This is an increase of 4000 from the previous year and shows that young people have problems with debt servicing that they have created. This is between the ages of 18 and 26, so we have a challenge in that age group. But there are also many adults who have challenges to have an overview of their own private economy. Personal economy is public knowledge and should be in school to a greater extent than it is today, and I interpret the Council of State so that it is fully possible to use a little more, both for private budgeting, accounting and such necessary things. But my question is, how will the Council of State encourage this to be more practiced in school, in addition to a plan, as she said?
ParlaMint-NO_2012-03-07.ana.ud1189e673	Now, I've just realized that this is part of the skills objectives both in high school and in high school, that there are guidance materials that you can use to meet the skills objectives we have, and that a more practical and relevant mathematics education in high school can just be based on a private economy. It is clear that this is also about having a challenge for poor math skills in general, for example. that young people must be able to assess how expensive a consumer loan is, how much they actually have to repay. A certain percentage line is required to be able to assess it. So it's an emphasis on how important it is to have better math skills in the population when perhaps some fall for the temptation of, for example, to raise a consumer loan without understanding what they are doing. In addition, it's, in general, so the consumption pressure is obviously behind here, and it's not primarily about math skills.
ParlaMint-NO_2012-03-07.ana.ud1189e680	Again I feel that we are on a wavelength and agree with this matter. I also see in the decision that upper secondary education should be further organised, that this is a golden opportunity to really put this into practice and thus provide students with a better basis for economic understanding. But I also know that it's actually not so unusual that sometimes, when it's something she really believes, the department sends out a letter with a wish for how important she thinks some things are. Then I wonder if the state council will inform Skole-Norge – e.g. through a letter — on how important she thinks this is, also in the light of the practical correction of upper secondary school subjects.
ParlaMint-NO_2012-03-07.ana.ud1189e687	We are now working on an implementation strategy related to the youth stage so that the good plans to which the Stortinget has joined are actually going to come true. Part of it's about how to improve and strengthen mathematics education. I'm taking with me what the representative Thorsen has in terms of how we're actually going to develop it. I believe that what is primarily important to teachers is not letters and invitations from me, but something that is easy to take and use, and that relates to the competences that are governing. I think that with that approach and implementation strategy where we're committed to achieving all of the secondary schools over a five-year period, we can manage to achieve the goals that the representative here is committed to.
ParlaMint-NO_2012-03-07.ana.ud1189e698	‘The establishment of a climate fund for industry financed by the CO2 tax on the base is one of the issues notified by the government that one will decide in the climate notification. Such a fund assumes either a change in the policy of action or that the income from the CO2 tax is deducted from the cash flow to the State pension fund abroad. The latter will release significant sums of climate action in industry, but at the same time will mean that the levy will no longer be deductible in the petroleum tax system. What is the position of the Council of State on the matter?’
ParlaMint-NO_2012-03-07.ana.ud1189e711	The oil business has long had a strict emission regime for CO2. The flaring of gas has always been strictly regulated by resource considerations, but this regulation has also had important effects on greenhouse gas emissions. As early as 1991, a CO2 tax was introduced for the oil industry, and in 2008 the oil industry was included in the quota system. The oil business in Norway has thus already implemented many measures and CO2 emissions are low compared to other so-called petroleum provinces. According to the State Pension Fund Act, the CO2 tax from the oil business is part of the country’s net cash flow from the oil business. The cash flow is transferred to the State pension fund abroad in its entirety. It would be contrary to this law to bring the CO2 tax from the oil business into a fund other than the SPU. Therefore, if these funds are to be transferred to a fund other than the State pension fund abroad, the law needs to be amended. The funds of the State pension fund may only be used for a financial transfer to the State budget following a decision in the Stortinget. In addition, the Stortinget takes a decision on the measures to be taken in the context of a general budgetary framework for the State budget. Consequently, the allocation of climate action may be assessed against other budgetary objectives. The right to deduct from taxes on the cost of CO2 taxes and oil-related allowances is not determined by the State Pension Fund Act. The right to deduct is laid down in the Tax Act and the Oil Tax Act. The CO2 tax is a deductible expense that reduces taxable income for all industrial activities. The right to deduct is thus no special rule for the taxation of oil. With regard to the more concrete issues of government climate policy, there is a communication to the Stortinge during the spring session.
ParlaMint-NO_2012-03-07.ana.ud1189e745	Thanks for the answer and for what the Council of State said about the legal basis for the policy as we conduct it today. But the Council of State has previously blackened the Christian People's Party in a budget round that yes, they are deductible, these charges we are now talking about, this CO2 tax. But if we wanted to change this – also wrote the Council of State – this would go beyond future generations in terms of the incomes of the state. For the Christian People's Party, this is perhaps a little bit on the side of the question we asked, because it's about getting action in this sector to reduce emissions, and so we know that a climate fund can be an important tool to reduce it. Is there a thought shared by the Council of State that a climate fund can be an instrument for reducing greenhouse gas emissions in this sector?
ParlaMint-NO_2012-03-07.ana.ud1189e757	As I said in my answer, the oil industry has contributed, among other things. through the CO2 tax and what we did in 1991. I think we can quickly agree that it is important that all sectors contribute to reducing CO2 emissions in Norway, just as we should also contribute to getting good agreements internationally in order to achieve binding climate change reductions. The Minister of Finance is not a fundamental opponent of funds, for saying so, but a very strong supporter of the fact that actions – whether towards industry or other actors in society – are funded in a way that enables one to prioritise between different objectives in the budget. If one believes that it is developing e.g. climate technology is an important objective, it is my view that it should also be set against other budget priorities.
ParlaMint-NO_2012-03-07.ana.ud1189e770	Yes, the petroleum sector and the Norwegian industry have taken many measures, but more is needed. We're now talking about the quota sector, in both of these sectors. But as the Christian People's Party sees it, it is by extra measures in this sector that we will make Norwegian industry more competitive. We'll be able to keep jobs, we'll make this more forward-looking. There is exciting reading in Today's Business today, where the Danish Minister for Climate and Environment says that he would rather invest in climate action at home than in China to make Danish jobs more robust. An old slogan on which the Workers' Party has gone to elections is 'All shall join' – all the people at work. It is probably an objective that remains for the Minister of Finance, I hope, to secure jobs by making them more green, more robust and more forward-looking through such an action fund.
ParlaMint-NO_2012-03-07.ana.ud1189e777	I fully share the views of the representative – that Norwegian industry and Norwegian industry have a future in what can be called green production. There are many reasons why I mean it. On the one hand, it is a very advanced industry – not least the industry that is linked to the oil industry – which is one of the foremost in the world, but at a very high technological level. I am quite convinced that that industry could become a spearhead and a driving force in, for example. develop renewable energy technologies and develop environmental technologies in the future. At the same time, I am concerned that we should do our job at home in Norway in terms of climate change emissions, but I think it is also important to contribute to getting good international agreements in place, that we get good funding for international climate agreements, so that we can jointly reduce CO2 emissions, because it is an important global task. We'll get back to it in the summer.
ParlaMint-NO_2012-03-07.ana.ud1189e789	‘Several parties want to set up a climate fund that earmarks the CO2 tax from Norwegian soil for climate action in industry. Today the CO2 tax goes into the oil fund, and a climate fund with respect to the rule of action will thus only be able to invest approximately. 4 pst. the capital of the climate fund in industrial actions. Is it possible to set up a climate fund to meet the desire of the bulk of population to use the oil industry to finance continental industrial and environmental measures and, if so, how?’
ParlaMint-NO_2012-03-07.ana.ud1189e802	First, I want to refer to the answer I just gave to the representative who had question 2 – the representative Hemdal. Then I'll say the following in addition to that: As regards the CO2 tax from the oil business, it is part of the country's net cash flow from the oil business. It is transferred in its entirety to the state pension fund abroad, and as I also said in the previous answer, it would be contrary to the law if it were to be introduced into a fund other than the oil fund. The State Pension Fund Act also states that the funds that can only be used for a financial transfer to the State budget following a decision in the Stortinget. The size of the budget takes into account the nature of the measures to be provided for within an overall budgetary framework such as the State budget, and in this context – and this is what the Stortinget already does today – it may be that money is allocated to, for example, the budget. key climate action. However, the point is that appropriations for climate action must be assessed against other budgetary issues. As far as climate policy is concerned, I once again show that the Stortinget will be presented with a communication on climate policy during the spring session.
ParlaMint-NO_2012-03-07.ana.ud1189e814	Thank you. I actually got the answer I expected, because this was a technical review of how the rule of action is. After all, it is good to confirm that many of the promises that SV in particular has made in the field of climate policy are not feasible because one has an action rule that stops it. But this is also a little bit about will, because if you want to, it's possible to do it. After all, the government spends a lot of oil money on the outside of the rule of action to buy shares on Oslo Stock Exchange and to raise equity to state companies or to allow Petoro to make investments on a Norwegian base without having the money within the oil fund first. Similarly, a few years ago, the government chose to set up a NOx fund. Before the fund was set up, the oil industry paid the NOx tax to the state, while one today does not pay the fee, but voluntarily pays the money into this fund. This represents approximately 400 million. kr per year. So in the NOx fund, an action rule is bypassing. Is it possible to circumvent the action rule in relation to a climate fund, with the same background as in the NOx fund?
ParlaMint-NO_2012-03-07.ana.ud1189e835	I, the undersigned and the representative of Solvik-Olsen, have had many rounds of discussions on the rule of action and on whether to circumvent the rule of action in different ways – whether it is one or the other fund or one or the other type of funding. I haven't really changed my mind about that question of being creative in order to circumvent the rule of action. My view is that if there is a willingness to give priority to key climate action, if there is a willingness to give priority to key climate action for industry, it is fully possible to achieve it through the ordinary budgetary appropriations. It's a much more honest and open matter, because then you have to make a choice between different purposes in the state budget. Climate action is likely to have such a high priority that it will be relatively far ahead in that queue.
ParlaMint-NO_2012-03-07.ana.ud1189e842	I just want to point out that the government itself has chosen to circumvent and erode the rule of action by establishing the NOx fund in order to remove oil money from the cash flow into the oil fund and into the Norwegian economy, but not to prioritise it in the state budget. So one increases the oil money usage by 400 million. kr a year even if you don't want to talk about it like that. But I'm going to leave the bad conscience for the government. I'd rather challenge in another area. The fact that one of the oil-adjusted budgets deducts revenue and expenditure from the oil business would mean, for example: could it be that a climate fund should at least be earmarked for CO2 off-shore action, i.e. on the base? Because then the money is not going into the state budget. Then there's money turning in the door, just as Petoro's income turns in the door when they're going to invest again. Would a technical approach be able to earmark the CO2 tax for measures on the base without breaking the rule of action? I'm not saying the government has to support it, but could someone do it?
ParlaMint-NO_2012-03-07.ana.ud1189e858	I choose to use this answer to say a few words about the NOx fund to contribute to a general information about it. In the discussion we have about climate funds, there are some who will finance it by increasing the CO2 tax on the socket, for example. That's the view of the environmental movement. Others want to use today's CO2 tax on the base, that's the industry. Both cases differ quite significantly from the way in which the NOx fund is set up. The NOx fund is not financed by the NOx tax, but from payments to the fund from companies that have entered into a NOx contract and thus avoids the NOx tax. That's the one difference. The second important difference is that the NOx tax is imposed on oil, maritime, fisheries and industry on land – all contribute in principle, but at different rates. In the case of climate funds, the idea seems to be that land-based industry will not pay anything, but that everything will be financed from the base. – So there are some important differences here, which it is important to be aware of.
ParlaMint-NO_2012-03-07.ana.ud1189e895	«One of the largest projects of the State Road Administration is the modernisation of the E39 Coastal Highway Kristiansand-Trondheim. The target is reduced transport time. Opportunities are good and national impact great. One of several unexplained trasé choices is in Hordaland, where the choice is between the inner and the middle lines. Midline is based on floating bridge. On 24 February 2012, detailed calculations were presented on two different flowbridge solutions. Both have a price of 5 billion. kr, half of the amount calculated by the State Road Service. Will this investigation be used in further work on the matter?’
ParlaMint-NO_2012-03-07.ana.ud1189e902	A draft selection procedure for E39 Aksdal-Bergen has been carried out. The distribution has been sent to hearing and external quality assurance, KS1. The preview and quality assurance have not yet been completed. Following the recommendation in the concept selection process, we are left with two current concepts: the middle line via Tysnes/Reksteren and the inner line through Fusa. There are uncertainties both in technology and in costs for partly border-breaking bridge and tunnel solutions. In the concept selection process, it was therefore recommended to evaluate the middle and inner concept more closely when we have gained more knowledge. The state Roads Administration is running a project on the Free E39, focusing on possible technological solutions and societal impacts. This applies, inter alia, to: the crossing of the Bear fjord. In the summer of 2012, the Swedish Road Administration will present up-to-date knowledge of costs and technology for both the middle and the internal lines of the E39 Aksdal–Bergen. In parallel with the work of the Swedish Road Administration, the business community at Stord has asked two consultants to assess the flow-brow solutions for crossing the Björnfjord. This work will also be used in further work on matters.
ParlaMint-NO_2012-03-07.ana.ud1189e913	It's reassuring to hear. I assume that the right solution for the ferry-free E39 in Hordaland, the floating bridge, is not subject to political pricing from the State Road Administration. They have a price estimate in the concept committee investigation, the KVU, which is not just 10 billion. kr, as I mentioned in my original question, but it's actually closer to 16 billion. kr. So it's a dramatically different reality and a different cost estimate than what's now coming from the industry, consultants and companies in the oil industry on the supplier's side, who have calculated in detail that such solutions can be used and what they actually cost. I would like to make sure that the Council of State reaffirms and also actively follows up that this report, which has come from key actors who can do this, is really being used in the work on the final solution.
ParlaMint-NO_2012-03-07.ana.ud1189e918	I can confirm once that the work that is now being done by these two consultants will be used in the further work on the matter. So I firmly believe that in the summer of 2012, we are promised a more detailed update from the State Road Service, and then we have more knowledge. I'm very busy getting in place, as far as it's possible, a free E39. So this is another thing I'm going to follow closely up.
ParlaMint-NO_2012-03-07.ana.ud1189e925	It is both reassuring and reassuring. I perceive that this is an open answer, and an answer as a citizen that the important work done here, which changes claims about unknown technology and huge costs to actual knowledge and low costs, is being used further. The draft plan for the new NTP points to unexplained trajectory choices. In previous rounds of questions in Stortinget, the Council of State has opened up the possibility of finalising the electoral process when the government’s own proposal for a new NTP comes. I hope that this investigation strengthens the opportunity to do so. It's my one follow-up question. The second is to point out that this report also has transfer effects to the two neighbouring states. Both Rogaland and Sogn and Fjordane are on fjord crossings. Here's the data base for moving forward in the two states as well.
ParlaMint-NO_2012-03-07.ana.ud1189e932	The first question trolled the NTP and the spring of 2013. I think it is very important that we clarify this matter as far as possible in the national transport plan. This is also why this concept selection has been ordered and delivered and has also now been sent to hearing and quality assurance. So it's like when a guy makes reports that relate to a distance, this is going to be transfer value, but I don't know this report in detail at this point, because it's too short since he got to it. But he's going to be used for work, and so we're also going to look at the transfer value of the report for other projects.
