ParlaMint-FR_2020-10-26-O1040.u1	The next item is the debate on the second part of the finance bill for 2021 (No. 3360, 3399).
ParlaMint-FR_2020-10-26-O1040.u25	Mr Stéphane Little has the floor.
ParlaMint-FR_2020-10-26-O1040.u26	Let me have a preliminary digression. Some of us were here Saturday to review and vote on the bill to extend the state of health emergency. Since then, Saturday night and this morning, like hundreds of thousands of commuters, I have taken line 13 of the subway. She was archi-bonded,...
ParlaMint-FR_2020-10-26-O1040.u27	Yes!
ParlaMint-FR_2020-10-26-O1040.u28	[[Patrick Hetzel applauds]] ...the docks were crowded, you had to let three or four trains pass before you could get in a row, and there were pushers to put people in the wagons. Quite frankly, how do you want the French to understand anything about your decisions? You can't meet more than six people for dinner with friends; On the other hand, in order to go to work, we can pile ourselves in absolutely unqualified conditions in the metro. It is not surprising, then, that an immense majority of French people do not trust the Government in order to fight effectively against the covid-19. This morning, I found the distortion between Saturday's debates and the reality of hundreds of thousands of commuters absolutely unbearable.
ParlaMint-FR_2020-10-26-O1040.u29	All right!
ParlaMint-FR_2020-10-26-O1040.u30	In the transports, we're masked!
ParlaMint-FR_2020-10-26-O1040.u31	It is no surprise: we regret this draft budget, conceived in line with the research programming bill, which you voted a month ago, despite the opposition of a large part of the scientific community. Indeed, with a programming schedule that postpones the majority of funding from 2027, i.e. in two legislatures, and with means concentrated on the appropriations subject to competition rather than on the basic allocations, you will not solve in any way the crisis that French research is going through. This logic persists in the proposed budget for 2021. The main focus is on the National Research Agency, as part of the Recovery Plan, while you are reducing research and higher education appropriations by EUR 176 million. In doing so, you run counter to the EESC's recommendations and to a large part of the CNESER, which call for a massive investment in research and a plan for tenure in all areas of higher education and research. You are therefore pursuing a strategy to compete with researchers and to increase the general precariousness of the scientific community. With regard to policy choices in research areas, there is a continuing underfunding of the ecological transition and sustainable development, and a small increase in the resources devoted to health research, as we face an unprecedented health crisis. Clearly, your policy choices place research at the service of a narrow, short-sighted economy, at the expense of our ability to respond to key issues for our future. In the field of university training, credits are barely increasing. However, we met again this year in our ridings many young people without a post in initial training or university, or without a master's degree, when they obtained their bachelor's degree in June. The budget for master's training does not even increase by 1%; the real estate component for university training institutions is even declining. On the other hand, private loans are still increasing by 10% this year. Of course, 5400 places have been created since the beginning of the year, as part of the recovery plan, most often in paramedical training; It's a good thing, but we're still a long way from it. The selection at the entrance to university and master's degree, which has been getting tougher in recent years and which has increased since the entry into force of Parcoursup, is a desperate choice for our youth. This deprives young people of the right to training and discourages them. When you meet a student who, after three years of study, is reduced to working for a year at McDo, while waiting to try his chance again in master's the following year, it is difficult to find arguments to restore him confidence in himself and in the future. After six months of confinement, believe me, the young people were all equally eager to return to school, to work, to study and to prepare for their future. It is not just a question of saying that it is difficult to be 20 years old and then to stay there. Where is the momentum to encourage students, to support them in this important stage of their lives? The reduction of the price of the U-restaurant ticket to 1 euro for stockholders or the revalorisation of the stock exchanges by 6 euro per month, which does not even correspond to the price of a package of masks, are ridiculously weak measures in view of the billions of the recovery plan. This draft budget is therefore, in our view, unambitious for research and university training. We will propose amendments based on the EESC's recommendations for research and aimed at really improving the study and living conditions of students. If they are not adopted, we will of course oppose this draft budget.
ParlaMint-FR_2020-10-26-O1040.u32	Mrs Sylvie Charière has the floor.
ParlaMint-FR_2020-10-26-O1040.u33	This budget proposal is out of standard, in many respects. It must be part of the continuity of the work carried out by the Government and the majority since the beginning of the quinquennium, and must prepare the conditions for recovery and economic and social resilience. In these troubled times, more than ever, higher education and research, and more generally knowledge, remain the pillars of our civilization, progress and humanism. I am pleased that we have before us a draft budget that defends the ambitions of the Research Programming Act and supports the improvement of our higher education and the living conditions of students. Since the beginning of the mandate, the Government has learned from the underinvestment that French research has undergone for many years, recently symbolized by the award of the Nobel Prize in Chemistry to Mrs Emmanuelle Charpentier, a brilliant researcher trained in France but who had to leave abroad to carry out her fruitful work. Our ability to innovate and transcribe our scientific advances into our economy will be one of the conditions for our rebound. This is particularly true in the fields of ecological transition and in strategic sectors, not to mention the crucial importance of the social and human sciences in conducting a reflection on our world. The increase in the research budget this year amounts to EUR 400 million, of which EUR 390 million is allocated to programmes under the Ministry of Higher Education, Research and Innovation. Among the major investments, 130 million will be earmarked for improving the remuneration of researchers, engineers and technicians. Starting next year, we will guarantee all young researchers a salary at least equal to 2 SMICs, in order to start a career improvement process. We train brilliant researchers; France must assure them a future and a career in its territory. The draft programming law provides for concrete progress against the precariousness of doctoral students; the draft budget aims to reach a first stage of improving their conditions of remuneration, with €6 million for students who will commit themselves to a thesis, an increase of 20% in the number of theses financed by the State and an increase of 30% in the remuneration of doctoral students. In order to increase the selection rate of the National Research Agency to 23%, its appropriations will be increased by 149 million euros, benefiting all French research laboratories and private companies that innovate. In order to spread the scientific culture and move from fundamental theory to applied theory in our innovative companies, 20 million will be devoted to the opening up of science to society. To structure research around key priorities, $25 million will be mobilized to showcase and showcase our major academic sites worldwide. We will also fund scientific initiatives that fight against covid-19 and its consequences, in order to get out of the crisis as quickly as possible and learn from it. With regard to higher education, we are providing means to cope with the crisis and improve the living conditions of students. In order to pursue the objectives set out in the law on the guidance and success of students, €80 million is foreseen; In particular, these additional appropriations will allow for the extension of the strategic and management dialogue, a promising mechanism to provide institutions with a real forward-looking and multi-annual trajectory, as well as to continue the reform of health studies and salary upgrading. In addition to this EUR 80 million, 95 million has been allocated from the stimulus plan, so that higher education can be given its full place. The creation of additional places, especially in the most strained sectors and health training, under the plan "a young person, a solution", is thus endowed with 60 million. To ensure the continuity of teachings during the crisis, as required by the context, 35 million are dedicated to the educational and digital transformation of teaching. In order to improve the living conditions of students, an additional €134 million is foreseen: €80 million for grants based on social criteria, with an increase in grants of 1.2% financed to the tune of 30 million, and €50 million to finance the university restaurant ticket at 1 euro for student fellows, which is a capital and unprecedented social measure. Finally, EUR 11 million is foreseen to finance the freezing of rents in university residences run by the CROUS. [[Applause on the benches of the LaREM and Dem groups]] As you have understood, the Minister is presenting us with an unprecedented, ambitious, solidary and forward-looking draft budget; The moving Republic Group fully supports this out-of-standard budget.
ParlaMint-FR_2020-10-26-O1040.u34	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2020-10-26-O1040.u35	A budget proposal has meaning only in relation to a political project and a strategic vision of the departmental scope. In terms of higher education and research, it is first of all not clear what the ministerial strategy is: what is the Government's vision, in the short, medium and long term, for higher education and research in France? In addition, since 2017, that is, since you were a minister, you have been holding the same speech every year, announcing a historic and unprecedented budget. What is new, Madam Minister, is that since 2017, we have observed a constant: when we compare your budget proposals with budget implementation, we find that you cancel appropriations during the year in relation to what we voted, and therefore you are under-executing your budget; It's probably Bercy and Matignon who make you do it. So you will easily understand that by hearing you say, for the fourth year in a row, that the draft budget for research and higher education is historic, not only do we find it difficult to believe you, but we also think that the string is a little big. In Le Mans, a few days ago, you said in front of teachers-researchers that nothing had been done in 20 years. Not only is this assertion false and scandalous, but, as I say to you clearly, it makes your own political speech all the more unacceptable because you have been president of a university that has benefited from IDEX funding, the initiatives of excellence: you know, therefore, that in the last twenty years, some things have happened. But come to your fiscal trajectory, as it appears both in your research programming bill and, very immediately, in the appropriations of the mission "Research and Higher Education" for the year 2021. I want to denounce as a matter of priority the budgetary suffocation which, contrary to what you are announcing, you will continue to submit to me all the operators of higher education and research. Indeed, the draft budget which is devoted to them only partly takes into account the employer's contribution for the retirements of civil servants: the famous contribution to the special assignment account "pensions". We have had this debate in the Committee on Finance, where Mr Chouat has defended amendments aimed at solving the problem for research organisations. So my first question is about this – although I repeated it many times during the debate on the research programming bill a few weeks ago, you never answered it. Asphyxiation is compounded by a second problem: you do not compensate for the famous technical aging slide. Research organisations plus higher education and research institutions, it can be considered that this weighs an annual amount of around EUR 100 million on the operators concerned, thereby reducing their capacity to act. So here's my second question: Will you finally compensate the GVT for all MIRES operators? Asphyxiation is further aggravated, moreover, by the fact that the number of students has continued to grow. As a minister, you therefore have a sad record: the worst student per teacher rate. This indicator has changed to bright red since 2017; Only three EU countries have a worse one, compared to seven in 2014. We are also widening the gap from most European Union countries, since the budget of the institutions has only decreased in recent years, and as a result the expenditure per student has decreased since you were a minister, all in constant euros as well as in current euros. The more I look at your actions and put them in parallel with the budgets, the more I worry about higher education and research. Despite the figures announced, there is a trompe l'oeil effect, already mentioned by Mr Descoeur. It is difficult to understand how the asphyxiation process of the operators I have just described could be stopped by the budget presented. For all these reasons, the Republican Group will vote against the MIRES budget.
ParlaMint-FR_2020-10-26-O1040.u36	Too bad!
ParlaMint-FR_2020-10-26-O1040.u37	Mrs Jeanine Dubie has the floor.
ParlaMint-FR_2020-10-26-O1040.u38	Since the beginning of the covid-19 epidemic, research and higher education have been and are still being tested. It is to the researchers that we turned to the appearance of this unknown virus and it is on them that all our hopes are to find a treatment or a vaccine. If necessary, this crisis has reminded us of the importance of dialogue between society and science, but also of the need to support strong and ambitious research, thanks to substantial and sustainable funding. In this context, the draft law on the programming of research was particularly awaited, in order to remedy the chronic under-investment of the sector and finally to give itself the means to achieve the objective to which France must aim since the Lisbon strategy defined in 2000: to devote 3% of its GDP to research. During its consideration in the National Assembly last month, the Libertés et territoires group did not hide its disappointment with this text, which, while it devotes substantial resources and promises expected salary increases, proposes an increase in funding that is far too slow. The main financial efforts are planned at the end of the period up to 2030, three quinquennats! However, the 2021 finance bill is unsurprisingly defending the same ambitions and vision; We regret it. Yes, credits are increasing; They are also increasing not only in the mission that concerns us now, but also through the "Relaunch Plan" and "Investments of the Future" missions. By the way, this break-up greatly complicates our understanding of the budget. While our group welcomes the steady increase in appropriations, it does not necessarily share the Government's priorities. Once again, it is mainly the National Research Agency that benefits from this, amounting to 400 million: it is therefore the system of calls for projects that is favoured, to the detriment of long-term and recurrent funding, that is, long-term research. Yes, we need sustained and ongoing funding in various priority areas of research, such as environmental transition, to find useful solutions, particularly for farmers. It is also true about health. In this regard, I am thinking in particular of the research on infectious and vector diseases, which have long been set aside, because little investment by industrialists...
ParlaMint-FR_2020-10-26-O1040.u39	That's right!
ParlaMint-FR_2020-10-26-O1040.u40	... even as we witnessed the emergence of new viruses, such as Zika, Ebola or dengue fever, and tick vector diseases, such as Lyme disease. I will defend an amendment to strengthen research in this area, in order to finally recognise the many patients who are ill-diagnosed and therefore poorly cared for. I also want to say a word about the situation of higher education and students. We reiterate our disagreement with the new recruitment paths provided for in the Research Programming Bill, the Scientific Missions Commission and the Junior Professor Chairs, which are likely to increase the precariousness of research and teaching occupations. While we welcome the agreement reached on 12 October last in favour of indemnification, we regret that the PLF does not provide for the lack of upgrading of doctoral contracts, while the Government is committed to making the doctorate more attractive and recognized. As far as students are concerned, we must be extremely vigilant. Faced with the isolation, precariousness and deterioration of their living conditions, students saw their inequalities worsen during the crisis. Many were unable to do the small job that provided them with additional resources to continue their studies. Our group is concerned about spending on student life, particularly on direct and indirect support. Of course, measures are planned: the 1 euro university restaurant ticket for fellows or the freezing of registration fees. But others are worrying us, such as the decrease in funding for Action 03, which is dedicated in particular to the health of students. This should encourage us to reflect on the relevance of the student and campus contribution, which funds this action, so that students can have proper access to care and be well-accompanied. As you will understand, the Libertés et territoires Group will not support this draft budget.
ParlaMint-FR_2020-10-26-O1040.u41	The Minister for Higher Education, Research and Innovation has the floor.
ParlaMint-FR_2020-10-26-O1040.u42	We are gathered here to review the budget of the inter-ministerial research and higher education mission for the year 2021, a month after the first reading, here, of the research programming bill for the years 2021 to 2030. I am pleased and proud to present you with the first budget proposal, which reflects the Government's unprecedented ambition and commitment to higher education and research. In 2000, we were at 2.1% of GDP; In 2020, we are at 2.2%. Therefore, in 20 years, nothing has changed. Finally, we are on our way to 3%, on which France had committed itself in 2000. Before I go into detail, I would like to pay tribute to all the staff of the higher education and research community for their remarkable commitment to the fight against covid-19, their constant efforts to welcome students in the best possible conditions and their willingness to do everything possible to ensure that knowledge and knowledge continue to irrigate our country, despite constraints and threats. More than ever, my ministry is at their side. In this serious period, after the attack on Conflans-Sainte-Honorine, I recall that our universities are the guardians of academic freedoms, inseparable from freedom of expression. They work every day to emancipate young people and enlighten all sections of society. In the face of Islamist fanaticism, terrorism, radicalities as a whole, universities and public research are powerful levers to understand the threats we face and to combat them, through teaching and knowledge, while respecting the values of the Republic. The Government's commitment to research and higher education will translate next year into an increase of €600 million in the Ministry's budget and 700 recruitments for research and higher education. The IAP and the Recovery Plan will complement this ambitious and resolutely forward-looking budget. In addition to these budgetary appropriations, the "France Recovery" plan and the investment programme for the future, which will represent more than 6.5 billion in the coming years, will be used for actions supported by the Ministry in the fields of innovation, support for employment, research and development, creation of places at the top, digital transformation, and priority research programmes. This unprecedented effort is in line with the path that has taken place since the beginning of the quinquennium: the Ministry's budget has increased by almost 8 per cent, reflecting the Government's unwavering support. For the financial year 2021, the budget for higher education and research, the third state budget excluding repayment of debt, is based on three main pillars: support for research first, with this first march of 400 million extra injected into French research; higher education, to enable institutions, staff and students to work in better conditions; the fight against student precariousness, finally, in this period when the accompaniment of young people is a top priority. Support for research is the first pillar. Our search system has been losing speed for too many years. The momentum will be reflected in the programming law, with an additional 25 billion expected over the next ten years. The first step in programming is to increase the research budget by 400 million: 225 million for the programme 172 "Multidisciplinary scientific and technological research"; 165 million for the 150 "Superior Training and University Research" programme; 10 million new appropriations for the programme 193 "Space research". The 400 million will enable a wide-ranging movement to upgrade the careers and remuneration of all research personnel: 130 million will be spent in 2021, in accordance with the provisions of the Memorandum of Understanding signed on 12 October 2020 in Matignon, in the presence of the Prime Minister. This protocol, the first major agreement in higher education and research, is a great pride for me, because it reflects the Government's commitment to staff and its deep commitment to social dialogue. Support for staff is also, of course, supporting doctoral students, with an additional 6 million for students who will become involved in a thesis and, eventually, an increase of 20% in the number of theses funded by the state and 30% in the remuneration of doctoral students. Here too, it is an effort that has never been seen. The dynamism of research is also based on increased funding for research projects. This is why the ANR budget will increase as of next year: it will be increased by 149 million in commitment authorisations, to the benefit of all laboratories, and the recovery plan will bring an additional 250 million, so that the success rate of the projects can be increased very visibly. This effort in favour of the National Research Agency is in no way to the detriment of the basic funding of the laboratories, which will increase by 10 % as of next year, which will be in addition to the precipitative mechanism allowing also to abound all the actors associated with a winning project: the laboratory, the host institution and the site. I hope thus to put an end to the sterile opposition between basic and competitive credits; The collective is inherent in research and success is never the result of one or a few. My ministry is also pursuing its strong and massive commitment to higher education, as it has done since 2018. Over the past three years, the "students" plan has made it possible to invest an additional 480 million in higher education. In 2021, an additional 80 million were added to the 165 million funds earmarked for research aimed specifically at higher education. Nearly 39,000 places have been created since 2017; In 2021, the increase will continue, as a matter of priority in the voltage chains. These means will also enable us to implement the reform of health studies. Support for higher education is also reflected in the extension of the strategic and management dialogue to all institutions with expanded responsibilities and skills of more than 500 students. And EUR 15 million will be allocated to finance the cost of the measures contained in the protocol "professional career paths, careers and remuneration". Higher education will benefit from an additional €9 million. In addition to the 80 million earmarked for higher education, there are 95 million of the stimulus plan: 60 million to finance the implementation of the "youth, one solution" plan and the creation of 30 000 additional places, and 35 million for educational and digital transformation. Finally, a specific envelope will be dedicated to the energy renovation of higher education and research buildings within the 4 billion envelope provided for in the calls for projects. At this point, I have to answer you on two points, Mr Hetzel. First, I would like to point out that the research programming bill is built on the assumption of a CAS – special purpose account – constant "pensions". To say that we finance our projects using pension money is therefore completely wrong; and I remind you that the pension reform law has not yet been adopted. And then, as far as the GVT is concerned, I am sure you remember when the non-compensation to which you refer was born, since you know better than anyone this time, because of your previous duties in the ministry's office: it is at the time of the shift to broader responsibilities and competencies. However, we have emerged from this pattern with the strategic and management dialogue. The health crisis also calls, I repeat, for an unprecedented commitment to student life. The resources devoted to student life are up by 134 million euros compared to last year; 2.3 billion will be spent on direct student support; It is also EUR 50 million that will help to combat food insecurity, thanks to the 1 euro university catering ticket. In this same dynamic, I welcome the award of an exceptional bonus of 150 euros to all scholarship students and 400,000 young people receiving the LPA. To accompany our young people is also to strengthen the guarantee of student loans, the envelope of which will be multiplied by five in 2025. Support for student life therefore remains a priority of the Government, you see. The other MIRES programs, which are not under my department's control, see their appropriations evolve, but only as a result of perimeter measures. This decrease has no effect on the level of ambition of the other ministries concerned by MIRES. [[Applause on the benches of the LaREM and Dem groups]] This budget proposal reflects once again the priority given by the Government to research and higher education, to the support of their staff and to the support of students. This morning, as news of the spread of the virus continues to worry us, I would like to project ourselves collectively in ten years' time and I would like to share this conviction that is so dear to me: we will succeed. Admittedly, it will take time, effort and resilience; but the commitments have been and will continue to be fulfilled in the future. The results will be at the rendezvous, because we have trusted, because we have believed in this collective, which is the very essence of research and knowledge.
ParlaMint-FR_2020-10-26-O1040.u43	I call the appropriations of the mission "Research and higher education", entered in state B. On these appropriations, I have many amendments before me. I call Mrs Emmanuelle Ménard to support Amendment No. 415.
ParlaMint-FR_2020-10-26-O1040.u44	This is an appeal amendment that aims to encourage the government to remove the baccalaureate pass quotas to create a true diploma representative of a school level. The figures are explicit, all baccalaureates combined: in 1980, the success rate was 64.1%; in 1990 by 73.4%; in 2000, by 79.8%, with a steady increase since that year, to an average of 82.3%. As a result of this extremely high success rate, university courses are saturated. France cannot promise all high school students that the university is for them, the following figures say the opposite: 27.5% of students enrolled for the first time at university in 2012-2013 graduated from a bachelor's degree in 2015; In 2014-15, only 40.1% completed their first year of licence. Moreover, the exceptional success rates in the baccalaureate only delay the problem: so many students want to enter the university that they find a second bottleneck when entering the master's degree. Since the entry into force of the selection at the time of the master's degree, in 2017, more and more students have been taking legal action before the administrative courts. Rectorate referrals, the first step before the litigation, jumped by 126% in this academic year, particularly in the fields of law, psychology and life sciences: while they were only 5200 to turn to their rector in 2019, 11800 students seized it this year, and only 2500 applications for admission were finally accepted by the universities. Therefore, there is an urgent need for a new system of admission to university, which would allow France to improve its position in the world rankings. In 2019, no French university belongs to the top 10 of the world's best universities.
ParlaMint-FR_2020-10-26-O1040.u45	Mr Fabrice Le Vigoureux, Special Rapporteur, has the floor to give the Committee's opinion.
ParlaMint-FR_2020-10-26-O1040.u46	The problems raised by this amendment led the Government, in 2018, to present the draft law on the guidance and success of students, which aimed to help high schools to make more informed choices, to better construct them upstream of entry into higher education. High school students are now better informed about the expectations of each training, their academic requirements, the opportunities they offer and their success rate. Downstream there is an end to accompanying work to promote the success of students by setting up personalized courses. Our philosophy is not to introduce a selection, which would exclude high school students who have the intention of moving towards a particular field all the necessary abilities, but to commit real means to give them every chance to succeed and flourish. I therefore call for the amendment to be withdrawn; If not, the opinion will be unfavourable.
ParlaMint-FR_2020-10-26-O1040.u47	The Minister has the floor to give the Government's opinion.
ParlaMint-FR_2020-10-26-O1040.u48	Unfavorable.
ParlaMint-FR_2020-10-26-O1040.u49	Mr François Ruffin has the floor to support Amendment No. 881.
ParlaMint-FR_2020-10-26-O1040.u50	As the sequence of the second part of the finance bill begins, I will tell you what our intentions are. Last spring, everyone, including youth, was confined to protect the elderly. This autumn, everyone, especially young people, is under curfew. And who's gonna pay the price of this crisis? Who, according to the polls, feeds the most the anguish of not being able to pay his rent, of not finding a job? Youth. On the train, this morning, I was next to Yann – there was no room, we were glued to each other, even during a period of covid. Yann takes an internship in Paris until mid-November, after which he does not know what he will become: will he have to return his home, go back to his parents? He turned to me to get him a job, but I'm unlikely to get there. Emmanuel Macron, on 14 July, said: "Youth must be the priority of this revival." On arrival, as Challenge magazine shows, they will have 150 euros and that's all: a alms! The recovery plan should be a plan of hope, and the first hope should be not only to earn a living, but also to give it meaning, to find its place outside the university square war, described by the newspapers. In my home, for example, Alexandra testified: "I wanted to become a nurse, and I found myself in art school. Our universities were already armored, so with 96% success in the baccalaureate, it's even worse... It goes as far as hunger strikes, you know. One father said: "My son had applied for a scientific license to then go to medicine, but his ten vows were refused. As a father, I can't keep seeing him despair without reacting. » That is why we are asking for the opening of 100,000 places in the university.
ParlaMint-FR_2020-10-26-O1040.u51	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u52	He's unfavorable. This year, at the end of the Coursup procedure, fewer than 500 candidates had not found a solution; they have been individually accompanied by the rectoral commissions. We return to the guidelines of the law on the guidance and success of students, whose aim is not to introduce a selection, but to allow the most informed and accompanied choices upstream and downstream of the baccalaureate. You will find, I think, a reason for satisfaction in the plan of creation of 30,000 places in two years in the fields of tension; it is contained in the recovery plan. As for the master's degree, mentioned in your summary report, these are pre-vocational training courses, in which it is not always easy to increase the number of places, because they are built with the economic actors of a territory, and the number of courses offered is not extensible because it must be compatible with the possibilities of a quality vocational integration. That's what makes our diplomas worth.
ParlaMint-FR_2020-10-26-O1040.u53	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u54	By the end of 2021, we will have created 67,000 places in higher education; So an unprecedented movement has already begun. We are obviously very attentive to the wishes of the students and, as the Special Rapporteur pointed out, the 500 high school students who had not found a place in higher education were accompanied one by one. If by chance there were any left, do not hesitate to inform us; we will ensure that the rectoral commissions contact them to find solutions. It should be noted that the regions – because they are the ones piloting nursing training, not the State – have been able, thanks to the additional funding provided by the State, to increase the number of places offered by these institutes. We work hand in hand with them for our youth. The plan "a young one, a solution" is 6.5 billion euros, much more than 150 euros, contrary to what you said. This is in particular what allows our young people not to be penalized at this time; I am thinking in particular of all those who need, in order to be able to continue their training, an apprenticeship contract. The opinion is unfavourable.
ParlaMint-FR_2020-10-26-O1040.u55	Mr David Lorion has the floor.
ParlaMint-FR_2020-10-26-O1040.u56	I would like to draw your attention to a particular problem: the case of students from overseas France. Ultramarine high school students fill, like those of the Hexagone, a Parcoursup folder; much of the ten choices they make are often, of course, in Hexagon, and they have to wait until the end of the process to know the place the algorithm will allow them to continue their studies. Some are assigned to Bordeaux, Toulouse or Lille, while students from Bordeaux, Toulouse or Lille are assigned overseas. These transfers of students from Hexagon to overseas, and vice versa, for the same training and diploma – for example, a nursing degree – are still a problem. Leaving overseas to settle in Hexagon is not always financially possible. Some feel that they have been penalized by the algorithm. Many ultramarine students end up not entering higher education, for these financial reasons. I personally know a student from La Réunion who, while the university is a few meters away from home, was assigned to Orléans, while a student from Orléans was assigned to the nursing training of La Réunion... Distance greatly complicates the choices of ultramarine students.
ParlaMint-FR_2020-10-26-O1040.u57	Mrs Muriel Ressiguier has the floor.
ParlaMint-FR_2020-10-26-O1040.u58	I'm going back to what you said about Parcoursup, minister. Many students give up or turn to private education when they are tired of war. As for the situation at entry into the master's degree, it is even more unacceptable, because it accentuates social determinism. Many students turn, in despair, to fields that do not correspond to them; Some even follow a second license, saying, "There, at least, they took me, and we'll see next year. A student told me to accept a master's degree that did not fit her and be sure to go straight to failure. Many players in the academic world, including deans of faculty, say they could open new master's degrees and accept more students if they had more resources. For the rest, in case of recourse by the student, the rectorate asks the universities to provide him with three proposals, but he has no coercive means if they do not. The system does not work; It's a failure. It's time to do something else.
ParlaMint-FR_2020-10-26-O1040.u59	You have the floor, Mrs Ressiguier, to support Amendment No 860.
ParlaMint-FR_2020-10-26-O1040.u60	By this amendment, we propose to restore the right of everyone to enrol in the field of their choice, whether in initial or continuing training. Parcoursup makes a selection that affects more and more students, and the sociological profile of those affected is quite upbuilding, it should make us think. Master's access is part of the combatant's journey. According to the UNEF – this has been recalled several times – 9,000 students are without assignment to date, while the courses have already begun, which obviously increases the difficulties, even for those who will have the chance to find a place after a recourse. Especially since, tick-tac, the clock turns: some risk losing the housing provided by the CROUS. This situation leads many students to make a default choice. This selection policy, which runs counter to the principle of access to education for all and reinforces social determinism, must be put an end to; It's not a secondary problem. It is necessary to return to a republican conception of education: an education open to all, which allows everyone to get out of his or her condition, no matter where he or she was born. The one that was the greatness of France.
ParlaMint-FR_2020-10-26-O1040.u61	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u62	When access to the university and guidance take place without taking into account the expectations and requirements of the courses, and without a personalized support mechanism, this leads to what we knew before Parcoursup: the big lottery of the draw by lot.
ParlaMint-FR_2020-10-26-O1040.u63	That's right!
ParlaMint-FR_2020-10-26-O1040.u64	This year, it was said, less than 500 bachelors remained unassigned at the end of the procedure; They are accompanied by the commissions for access to higher education. We can welcome the fact that our country is making every effort to find a solution for everyone. As for the removal – which you propose in the summary statement – of any allocation to private higher education institutions of general interest, which do carry out such a mission, it would place an unbearable burden on them, even though they have experienced the strongest demographic dynamics. It would ruin all their efforts to promote social openness, leading to an indiscriminate increase in registration fees. Among these institutions, there are quality engineering schools that receive a higher rate of scholarship than some university courses. I therefore express an unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u65	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u66	As you know, I fully share the idea that we must accompany every young person towards success, by allowing him to give the best of himself. But what do you want to come back to, Mrs. Ressiguier? At the draw? To a larger selection at the entrance to the master's degree? To the selection between the M1 and the M2, which left tens of thousands of students without any degree, when they had started their master's degree? We're wrong to think it was better before. I assure you that things continue to progress towards more democratization and above all towards a training offer that meets the expectations and abilities of students. So let us make sure that they do not lose confidence in them. Everyone can dream of becoming a professional footballer or a star dancer, but at some point you have to realize what you can do. It is important to accompany each young person to the best of what he or she can give and what he or she can receive.
ParlaMint-FR_2020-10-26-O1040.u67	Mrs Muriel Ressiguier has the floor.
ParlaMint-FR_2020-10-26-O1040.u68	I think we need to build on the needs, namely the number of young people who wish to continue their studies after graduation. There is a need to create places based on these needs, which is not currently being done. As for young people, they are perfectly capable of realizing whether or not they are going to fail in a sector. This failure is sometimes organized, because the means are not up to the limit: because the scholarships are insufficient, 46 per cent of students are forced to work in parallel with their studies and some even live in their cars or squats. These are not the best conditions to study! If we want to give our youth a future, we must start from the needs, realize that these are enormous. Let's ask ourselves: do we really make it a priority? Do we provide the means to lead students to success, individually and collectively? Let us stop dealing with poverty as we do now.
