ParlaMint-NO_2005-06-15.ana.ud2566e113	The representative Heikki Holmås has asked for the word to withdraw a private proposal.
ParlaMint-NO_2005-06-15.ana.ud2566e588	The representative Stensaker is quite right in his concerns. Obviously we could sit on that tall horse and say, well, we're like Pontius Pilate, we don't want to do anything. We can show that the company that operates with nickel has huge surpluses. I don't think of numbers, but they're obviously huge. But as a responsible nation, we also have international responsibility, not least to help our neighbours. We can also discuss why we drive and raise nuclear submarines, while Russia supposedly drives and builds new ones. There are many dilemmas here, but as a nation that – what should we call it – may be on its way to becoming an environmental nation, we need to take care that there is a problem right across borders. We have to act, and we have to do it now. We cannot wait for any internal problems in large Russian companies.
ParlaMint-NO_2005-06-15.ana.ud2566e597	The cord shift is over.
ParlaMint-NO_2005-06-15.ana.ud2566e600	We have witnessed major changes in the north in just a short time. The framework conditions for Norwegian security and foreign policy have changed. The cold war is over, and we no longer have the strong contradictions between East and West. As the report points out, this gives us great opportunities, but also challenging challenges. We cannot take it for granted that Norway has at all times similar interests with key partners. Russia's power and influence is growing in demand for oil and gas, and we must draw attention to our view of the exploitation of natural resources in the north. We need to use the resources available in this area in a way that is sustainable and environmentally friendly. We also need to deal with the climate and environmental changes we see are emerging in the highly vulnerable areas of the Arctic. These are the overall challenges, and this communication is aimed at meeting in a holistic manner. I would like to commend the Government that has promoted this message. It is very positive that the Communication promotes a significant amount of concrete action to strengthen the Norwegian initiative in the northern regions. The Christian People's Party supports these measures. The focus in the north is no longer security policy. Today there is resource policy. Both Norwegian and Russian sides have significantly reduced the standing military forces, and we have developed good military cooperation with Russia. We have historical relations with Russia, and we see that cooperation is now increasing. Our resources depend on the environment. The environment is very vulnerable and environmental problems are global. Therefore, they must be solved through international cooperation. In the Arctic we now see great climate change. The conclusions of the ACIA studies show that we are facing changes that will be dramatic in the physical, ecological, social and economic fields. The findings are so clear that they cannot be ignored. These environmental challenges pose a global safety problem. To solve the challenges, international society needs to act, and we need to act now. The Kyoto Protocol is an important first step in meeting the climate challenges. The Christian People's Party is pleased that the Government will work towards the creation of an international research fund, in particular dedicated to climate change. Arctic Council is an arena to address these challenges, and it is our prime forum for cooperation on the polar struts on environmental and climate issues. The Christian People's Party is therefore pleased that Norway will use the Presidency to strengthen the Arctic Council and support the establishment of a permanent secretariat in Tromsø. We believe that the Arctic Council could become an important premiscuous supplier for national and international action. We also have an international platform for polar research at Svalbard. We need more knowledge of the Arctic land and sea areas. The International Energy Agency believes that by 2030 the demand for energy will increase by 60 pst. The northern regions are expected to contain a large proportion of the world's undiscovered petroleum resources. That is why we also see an increasing international interest in the northern regions. In this process, we need to ensure that the economic and environmental interests of Norway are safeguarded. Through the Northern Region Dialogues, we will be able to promote our views and provide a good basis for understanding Norwegian views and priorities. We are already engaged in such a dialogue with the United States and Germany, and are now preparing Canada and France. Dialogue with the United Kingdom and the EU should also be established. It is absolutely central that our partners have good knowledge and understanding of how complex the situation in the north is. If resources are to be used, it is a prerequisite that this is done in a proper manner. The focus must be on the vulnerable ecosystem and on the environmental challenges of all types of activity in this area. Through the management plans, Norway is working to transform this thinking into a practical policy. The management plans shall be submitted to the Stortinget in spring 2006. With a new message on resource use, we will have the opportunity to discuss this in more detail in a year's time. The United States and other nations are significantly represented in the Russian oil extraction through large oil companies operating with relatively free lines. Norway has experience, and we have advanced and environmentally friendly oil technologies that could be valuable for the Russians to exploit the large energy resources in their part of the Barents Sea. The knowledge we have is important both in terms of the exploitation of resources, and in terms of transport out of the Barents Sea. The proximity of North-West Russian oil and gas resources can create new opportunities for North Norway and business. Conditions must be provided to strengthen parts of the value creation of Finnmark. Putting Finnmark and the Barents Sea at the centre of policy action is more than district policy. It's a matter of safeguarding the whole country's interests. On the part of the Christian People's Party, we also emphasise the exploitation of other environmentally friendly forms of energy. We are therefore pleased that a broad majority of the parties believe that this should facilitate increased investment in alternative, renewable energy sources. These include: the basis for wind, wave and tide power in the area. Unlike petroleum, fish are a permanent resource, if we manage it well. In order to manage fish resources well, we need to cooperate closely internationally, not least with Russia. Here we have a common interest. In the fisheries sector, we see strong growth. In North-West Russia, they are well advanced in knowledge and capacity in the maritime sector. Russia is today our second largest export market. It is an important measure to allocate funds to national marine knowledge building. Today, we see a common need for increased control efforts to detect overfishing and illegal fishing. It is a growing problem, and cooperation needs to improve. Marine research sticks must not be confronted with obstacles. It is beyond the knowledge of fish stocks. I believe that stronger foreign policy governance of the national fisheries policy will be an advantage to the international fisheries regime. A question that Norway and Russia have so far failed to agree on is the divider line. The negotiations here have been going on for more than 35 years. If we can solve this disagreement, new, great opportunities for cooperation will be opened up. It is therefore important that these issues be clarified and the contact to resolve this issue must be maintained. We can also improve the development of business cooperation. It has been difficult to obtain concrete results in cooperation in the economic field. It looks more promising now, and the goal is still a common nutrient region in the north. If we are to do this, it must be easier for foreign players to invest in Russia. There is a need for stable framework conditions, both in terms of legislation and administrative decisions. It's a positive economic development in Russia now, and I hope that it will join in and increase business cooperation. It is industry itself that must promote this cooperation. The public can only be a facilitator. In this respect, it is positive that the Norwegian authorities will facilitate the improvement of the transport of goods across the Russian-Norwegian border and provide the Consulate-General in Murmansk with an industrial worker. If this cooperation is to have a future and develop, we need to focus on training young people. That's a prerequisite. Then we also need to improve student exchange and increase the build-up of skills.
ParlaMint-NO_2005-06-15.ana.ud2566e634	Before the President gives the floor to the next speaker, the President wonders whether Morten Höglund will say a few words.
ParlaMint-NO_2005-06-15.ana.ud2566e637	For the sake of order, I would like to address the four proposals we have made in the vote.
ParlaMint-NO_2005-06-15.ana.ud2566e642	Then the representative Morten Höglund mentioned the proposals he referred to.
ParlaMint-NO_2005-06-15.ana.ud2566e645	The Central Party welcomes the fact that the majority of the Committee considers it necessary to adopt a more vigorous and coordinated policy towards the north. The proposals in the Government Communication are not dimensioned by the challenges we face. Norway manages a Mediterranean sea area with major environmental challenges and significant natural resources. There is a need for a clear political strategy with an organisational apparatus that supports this, and a continuous capacity for innovation if we are to make full use of our opportunities. Greater focus and closer national coordination are needed. Norway should also take the initiative to create a powerful multi-national north-eastern policy arena — in addition, maritimely, for the further development of bilateral agreements and cooperation. The Central Party has launched two responses to this, a North-East Minister and a North-Atlantic Resource Organisation. With regard to our proposal for a separate Northern Region Minister, we should definitely not deprive the U.D. of responsibility for Northern Region policy, as the head of the Foreign Affairs Committee suggested earlier today. The Ministry of Foreign Affairs shall be responsible for following up the areas in which the U.D. is traditionally competent, including in relation to the North Sea policy. However, with all possible respect for the competence of the Ministry of Foreign Affairs, environmental policy, defence policy, municipal and regional policy and oil and energy policy are now more competent in the management system than in the Ministry of Foreign Affairs. That's precisely why we need a Northern Region Minister, who is to ensure coordination between all these different areas, so that we can get what I think we all have ambitions for, the whole of the North Region policy. Let me remind you in this regard of the time when Jens Evensen was Minister of the Law of the Sea in the 1970s. The experience with a government council of its own was very good. The ability to ensure both attention and permeability in the field of marine law. Since Northern Region policy covers most of the spectrum of political issues, in our opinion this Northern Region Minister should be associated with the Prime Minister's office. It should be a temporary post of the Council of State, as was also the post of Minister for the Law of the Sea. When the whole policy is in place, the Northern Region Minister has done his job. The Director of the Norwegian Institute for Foreign Affairs and the Head of the International Labour Party's Committee, Sverre Lodgaard, has pointed to the need for an institutional refurbishment responsible for the northern areas of the government apparatus. This, in our opinion, is an important consideration, without which I will take the Director of the NUPI as income for our vision. It's just the point that we need institutional changes, institutional innovations that are interesting. We would have liked to see that the other parties had helped to come up with a good solution, which provides us with a sufficiently solid foundation to get exactly what we all want, the whole policy. Now there will be ‘business as usual’ in terms of day-to-day responsibility for Northern Region policy. A State Secretary has limited opportunities and cannot lift a policy area in a government in the same way that a self-government council could. The central party also believes that Norway should take the initiative of a North Atlantic resource organisation, because we need alliance construction to establish clearer driving rules for the northern regions. It is necessary to develop common environmental requirements and standards and a common understanding of the international treaties in the North Atlantic Sea area. A Norwegian initiative to establish a new international cooperation organisation in the north, which we will then shorten to NARO, will create a suitable forum to address these challenges. Norway should therefore take initiatives vis-à-vis the United States, Russia, Canada, the United Kingdom, Denmark and Iceland in order to create a new dynamism in the North Region policy. I am surprised that the Foreign Affairs Committee, which, on the one hand, believes that Norway has few multilateral frameworks to deal with the North Sea issues within, on the other hand, will not contribute to creating such a framework. Here we are playing an opportunity to design a clearer Norwegian north-eastern policy, we mean. Norway has a significant responsibility for ensuring stability and security in its own region. The consolidation and continuation of the international treaties and efficient resource management are important tasks with major economic and foreign policy implications. The value of sea areas means that we cannot ignore the fact that we can be subjected to political pressure. A resource conflict may increase the pressure on our rights. We must therefore maintain a credible defence as a signal to the outside world about where our interests and priorities lie and as a guarantee that we take our obligations seriously. We need a defence and security policy where the presence in the northern regions is given priority over today, in terms of both air, land and maritime military presence. This must be combined with consistent enforcement of Norwegian non-discrimination-based jurisdiction. This is not about, as the head of the Foreign Affairs Committee suggests, shooting away from the issues. It is still an important task to control resources in the northern seas. The fact that several states disagree with our view of the division of sea areas makes the task more demanding. The basis for Norwegian jurisdiction in Svalbard's economic zone is disputed. Russia has challenged Norway’s jurisdiction by sending a marine vessel into the protection zone. Iceland has threatened to bring the issue of Norway's rights in the Svalbard zone before the Court of Justice in The Hague. In addition, unresolved issues related to the Gray Zone and the borders with Russia. We are pleased to share with the other parties that sufficient resources need to be allocated to the Coast Guard to combat environmental crime, and hope that this will be followed up at the next budgetary procedure. The Barents Sea has to be stopped. A key prerequisite for good cooperation between Norway and Russia is vital industrial activity and infrastructure on the Norwegian side. Fisheries and aquaculture are at the heart of the economic development of the region. There is a close link between fishing and aquaculture industries and industrial development in general along the coast and between fishing industries and settlement. The liberalisation of the fisheries policy implemented by Regeringen is extremely problematic in relation to settlement along the coast. This liberalisation is moving towards the centralisation of rights affecting the labour market in many fisheries-dependent small communities, particularly in Finland. It has also been demonstrated that the fish raw material is largely located outside these sites due to extensive violations of universal service obligations. There are great opportunities for a positive economic development in this area in the country. In the past, we have promoted a number of concrete and good proposals, including: in Document No: 8:30 for 2004-2005 to trigger recruitment to the fishing industry, to increase the profitability of the fishing fleet and to create an innovative and more profitable fishing industry in the north, including proposals for better access to risk capital. If North Norway is to be able to exploit the new nutritional potential in the Barents Sea and in trade with Russia, substantial infrastructure investments must be made. We ask in the setting Regeninga regionalize the investment fund for North West Russia to North Norway. We believe that the fund could be an important contribution to industrial development in the north, if the proposal had received the majority's agreement. The centre party considers that petroleum activity in the Barents Sea can only take place once oil companies have developed an absolute zero emission technology at sea and when a comprehensive management policy is in place to safeguard fisheries and environmental interests. The most vulnerable areas must be secured as petroleum-free zones. An increase in petroleum activity in the Barents Sea must take place within the commitments of Norway in relation to greenhouse gas emissions. So we have, as you understand, a balanced relationship with the development of the energy resources in the Barents Sea. Finally, following the significant cuts made by the Government earlier in the period, it is now positive that people for the people-to-people cooperation through the Barents Secretariat have been proposed to be strengthened. The centre party supports the proposal for a bar institute in Kirkenes. It should also be assessed whether a dedicated research fund linked to North-West Russia should be added to the Barents Secretariat.
ParlaMint-NO_2005-06-15.ana.ud2566e687	It's going to be line change.
ParlaMint-NO_2005-06-15.ana.ud2566e690	It is no coincidence that the Central Party is all alone in commenting on its own Northern Region Minister. It's not a suggestion. That's a note from the Center Party. The main reason for this is that the analogy with the maritime law minister portfolio in its time is strikingly stagnant. This was a highly specialised task which required a highly specialised professional competence to be met. The idea, if I have understood correctly, behind the Northern Territory Minister is at the very opposite end of the scale. There can be no reasonable idea, while an overall committee says that this is the most important part of Norwegian foreign policy in the future, to propose that it should be ‘outsources’ in one or the other phase. I will come back later to another question. But in the first place, I would like to hear the reason that a separate Northern Region Minister will be able to strengthen Norwegian foreign policy.
ParlaMint-NO_2005-06-15.ana.ud2566e699	It is a general wish in this room that we should be able to put in place a more comprehensive North-South policy that is better coordinated. Interestingly, the Government announced in its communication to the Stortinget that this has not been taken far, because it underlines the need for a comprehensive North-South policy to be put in place in the future. The simple question is, how do we best get there that we can achieve the goal that actually this whole hall has? The experience we have with the message from the Government suggests that the system we have today is not good enough, because the government has not done well, with the way you are now organized, to put this whole North Region policy into place. That's our simple starting point. When there's something we obviously can't do, we should look at ways to do this.
ParlaMint-NO_2005-06-15.ana.ud2566e706	Since it is only the Progress Party and the Center Party that each of them has some belief that the answer to the need for a comprehensive policy is to split up organisational and create new units that are not integrated into Norwegian foreign policy, I will drop it. There's obviously no one other than the two parties themselves who believes in their respective solutions. There is another point in the position where the Central Party acts together with the Socialist Left and the Advance Party, where we outline the major challenges we face, that in a given situation, all major interests – the United States, Russia and the EU – can collide with Norwegian interests. The response from the three parties is a Norwegian military upgrade to ensure a national military capacity to meet this challenge. I assume that the five frigates we already have in order are just a modest beginning. How does the Central Party view such national upgrading?
ParlaMint-NO_2005-06-15.ana.ud2566e714	When the representative wants to show all his perversion, it is significant. We see that in a lot of ways, so in this context as well. It is very alarming that it is possible to read this note so that we will have a great national upgrade. Then you're on a different planet than what the rest of us in this room actually are. What the centre party is concerned about is that Norway should have a solid level of sovereignty in the north, precisely because we should not be subjected to pressure. It is interesting to note – and it should be remembered – that the Committee is concerned that the Coast Guard should have sufficient resources for precisely lifting sovereignty, which is marked by sovereignty, but where it will also fulfil the function of ensuring better resource control.
ParlaMint-NO_2005-06-15.ana.ud2566e721	Several have not asked for the word for a line.
ParlaMint-NO_2005-06-15.ana.ud2566e724	The left believes that the north is of global strategic importance, and that a strong Norwegian political outlook towards the north is more important than before. The large oil and gas resources in the north, the rich fishing grounds and other natural resources make the world's major powers increasingly focused on the north. In a world situation where Russia is characterised by a lack of hard currency supply and the US has a strong need for increased oil and gas supply, the north has once again become an important piece in the international power game. It is therefore of strategic importance that Norway strengthens its focus towards the north. The left believes it's important that Norway leads with a strong environmental focus in the management of these areas. The government has opened up a cautious and gentle extraction of oil in the north, but the Left will be the guarantor of strict standards and we want petroleum-free zones. We know that the Barents Sea is an ecologically vulnerable area, and we see that the Barents Sea has special significance as a spawning and breeding area for some of the world's strongest fish populations. For the Left, this is important when we are chiseling out our Northern Region policy. Left wants to participate in development. We want a hand on the steering wheel, even if this makes our environmental armor not as shiny. In the left we believe that by participating in and shaping the development in the north we can get a result that benefits the environment. For us, this is more important than standing on the sideline and proclaiming our environmental position. The left hand-hand side can help design standards for how the north works, which gives a better environmental solution than if we let the Progress Party and the Labour Party alone shape politics in the north. We also see that it is better with Norwegian presence in the north than with President Putin and President Bush alone to develop standards for the business. The left will strengthen our civil and military presence in the north. For the Left, the Northern Region policy is concerned with seeing different sectors in a context. Through an active policy to secure the regions, through a modern industrial policy, strong environmental policy focus and through a foreign policy that increases the focus on the Nordic region, we contribute to this. The left-wing vision for the north is that we are developing a competence-based policy for the north. Increased research efforts on ecology, technology and the north are an important contribution. Left wants the University of Tromsø and other Nordic research institutions to be given a boost when it comes to competence in these areas. The left wants to strengthen Norwegian competence in the environment and the north by strengthening the expertise of the Polar Environment Institute and other key Nordic competence environments. We are pleased that the Government proposes that more resources be put in place to strengthen the marine knowledge building. If we are to develop a strong and good north-eastern policy, a further strengthening of North-North relations will be of great importance. Increasing trade between Norway and Russia, several joint nutrition projects, increasing cultural cooperation, strengthening the Barents Secretariat and increasing investment in the Barents region are important measures. The removal of barriers to trade and a stronger focus on trade policy towards the east is another measure. The left believes that increasing trade between countries contributes both to ensuring stability and to reducing social differences. In the north, there's a strong need for this. The formulation of the Northern Region policy is not just a bilateral relationship between Russia and Norway, but rather a question that is only addressed by the Barents Cooperation countries. It is therefore right for the Government to raise important north-eastern issues to a higher level, so that the US and Canada are also more active in international cooperation. The left wants to join and take responsibility for achieving a holistic and offensive north-eastern policy, a policy in which we take the environmental challenges seriously. We are pleased with the basis of the Northern Region Communication of the Cooperative Government. If this government continues, the Left will be the guarantor of an offensive development of environmental premise.
ParlaMint-NO_2005-06-15.ana.ud2566e750	For the Foreign Affairs Committee, the last major issue of the year was a clear shift in focus. While the Committee's work has largely turned west and south, this time we have focused on Norway's very significant interests in the north and east. In concrete terms, we have visited Tromsø, Svalbard, Moscow and Murmansk and received many good recordings. The reason we got the message is the increased interest associated with the new economic opportunities of the large oil and gas reserves on both the Norwegian and Russian sides. Oil and gas in the north can create new opportunities for Norway — and in particular new and positive developments in the northern part of the country. This, in turn, will strengthen Norwegian sovereignty in the very rich but vulnerable sea areas. The Committee is strongly committed to ensuring fishing resources, combating overfishing and preventing any negative environmental impact of gas and oil activities and transport. It is important to preserve the rich, biodiversity and continue to secure some of the last untouched areas in the world, such as large areas of Svalbard and marine areas around it. The answer is increased environmental research at a high international level, good governance and increased cooperation with Russia. Exercising sovereignty in environmental and resource management is a core point and a necessary prerequisite. The Workers' Party has long traditions of promoting employment and housing in the north. It should just be lacking, with the rich resources and strategic interests we have in North Norway and in Svalbard. The Labour Party is also committed to promoting trade and helping to open doors to Norwegian business in Russia. This applies to oil and gas, the supplier industry and other industries. Nuclear safety cooperation has an impact on both health, safety and the environment in our neighbourhood, and it is important to prevent radioactive and fissile materials from being diverted and used for terrorist purposes. The Russian competence achieved by this cooperation can be exploited as a platform for several fields of cooperation. The cultural differences between Norway and Russia are there. We have many common interests, but also different, competing interests and open questions. The answer is not military escalation, which some parties seem to suggest. The cold war is fortunately over, and the answer is to find in political and economic cooperation. This is the European answer. As a member of the EU, Norway would undoubtedly have had a heavy political alliance on contentious and unresolved issues in the north. As abroad, alliance construction is more demanding, but even more important. The fall of the Iron Curtain created a completely new situation. In the historical context, former Foreign Minister Thorvald Stoltenberg’s initiative on Barents’ cooperation appears to be very far-sighted. This cooperation is a very important resource for the further development of economic, ecological and cultural cooperation and exchanges. Strengthening project cooperation in the areas of health, child protection, equality and democratic development is an important objective. It is positive that non-governmental organisations can help dampen the welfare gap between Norway and Russia and build good social structures. The people of our northernmost counties see the possibilities in our northern regions. Then, in the context of high environmental standards and ecological considerations, enlargement and government must provide the people of the north with opportunities for growth and development. We have now seen for a number of years that it is possible in the North Sea to interact successfully with fisheries, oil and gas activities and important environmental considerations.
ParlaMint-NO_2005-06-15.ana.ud2566e773	I think I can see after reading the position and hearing the debate so far that there is really a broad consensus on the Northern Region policy that Norway is going to pursue. I am pleased because it is a considerable strength in the years that are now ahead of us. The announcement we have received from the Government towards the Storting, based on a thorough investigation, led by the Director of the Polar Institute, Orheim, and on a thorough public debate that followed in time. I think it has been valuable that we gave ourselves time for this debate, so that we have a full overview of the issues that the communication had to address. I think that the consensus on which the vote is based is an expression that such a debate has been useful. But it's also good that we can now sum up before this expansion period is over. The message was well received in the north when it was presented earlier this semester. It was, as you remember, not as well received in the south, at least in parts of the political environment. I think maybe someone got hurt to read the number of pages and interpret the message from it. This time we've written the message something different than before, because we've had thorough investigations before, and there was no need to repeat the factual evidence and many of the discussions. It was possible to go straight to the political conclusions. It is also interesting that with regard to the political conclusions, i.e. the content of the policy, it should be expected that the criticism presented in the presentation here in the south was followed up with a policy different from that of the Government. But we can see that this has not happened, as far as neither the Central Party nor the SV. In the case of SV, it's actually like you want to do less than the government. We see a disagreement about oil and gas, and that's interesting. Once again, we see that Norwegian foreign policy is created in the intersection of the Right Centre and the Labour Party, and that gives a breadth of the conclusion we reach. What in many ways is the heading of the policy to be pursued are opportunities. We're used to the north areas being marked by confrontation, as it was in the time of the cold war. Now it is the possibilities that stand in the center, and I fully agree with the Gunhild eye when she praises, among other things. former Minister of Foreign Affairs Stoltenberg for Barents Cooperation initiative. Yes, it's nothing new that we see opportunities, but we see them increasingly. The work that was done on Barents' cooperation a decade ago was an enormously valuable basis on which it is now being built, and on which there is every reason to focus and try to expand, as we do. But there is no reason to hide that if further oil and gas development were to take place in the north, it would really mean that not only one, but many magazines are being explored about the possibilities in the northern regions. If, as many experts say, a quarter of the world's undiscovered petroleum resources are located in the northern regions, it is clear that this will provide a completely different opportunity and a completely different everyday life in the future. There is no doubt that Norway is well positioned; we have, among other things, two highly successful oil companies, which have expressed their interest in participating in the Shtokman field. If they are to be awarded by the Russian authorities, it will mean a huge amount, and it is just an emphasis on the possibilities that are now available. I have noticed the debate that has gone on about the need to build alliances and keep friendships, and I think that is a very important understanding. This is not something Norway can handle alone, and it is important for us to gain an understanding of Norwegian views outside. That is why I believe that the dialogues that we are, on the one hand, alerting and, on the other hand, are already in the process of being implemented are of great importance. The northern regions played a major role in the meeting we had in the EEA Council in Luxembourg yesterday and in the bilateral talks that took place in Washington last week. That's the way it has to be in future conversations. Then there are some points made, not out of the content of the policy, but out of how we are going to organize ourselves, linked to a proposal for a minister and a proposal for a directorate. As for the Minister, I just want to say that I feel quite sure that the Ministry of Foreign Affairs and the Government will be able to take the necessary coordination responsibility. That's the way it is today, and it's just brought out this message, which now, as far as content is concerned, is a broad consensus in the Storting, and I think that's a good way to keep going. I have noticed that the Central Party wants it to be a minister. There's no connection to that. I'm not going to say so much more about it, except to express some surprise that it's going to be a temporary minister, because there's something that won't be temporary, that's the challenges in the northern regions. I think we have to assume that we are still going to meet new challenges in the north, and then we have to have a device to meet them. That they should be met by a temporary minister, I must express some amazement, but that is not a big point. Let me also express some amazement at the proposal of the Progress Party for a directorate, because if the point is more political governance and more coordination in terms of the heavy political decisions, it must be said that it is a peculiarity that the new grip should be to create a directorate. And when it comes to it from a party that once in a while has given attention to talking against bureaucracy and making sure that bureaucracy is kept down, it's even more astonishing. Now I'm not going to blame the representative Höglund too much of the idea – I saw it in one of the Finnmark papers when we presented the Nordgebietnmelden in Tromsø. It was the party leader who was on tour in Finnmark, so it was probably one of the fly ideas, but it was of the more peculiar flying ideas, and we realize that Höglund might not have had such a good opportunity to sort it out, the source taken into account. So a few words about business cooperation. Very much has gone well in the northern areas in recent years. There's no doubt about it. Cultural cooperation, people-to-people cooperation, health, whatever it should be, it's going well. The area where it must be said that there is a clear potential is the business area, but also here it is much better than it did before, and I meet Norwegian business representatives who are optimistic about the opportunities for the north, and not just about oil and gas. What we need to stress on the Norwegian side is that it will still be essential for the Russian system to evolve, so that it is open, predictable, that it is transparent. It is clear that the business community will require when putting its efforts and resources into such an area. This is something that has been avoided in many ways, but it is important to be clear that predictability and transparency are crucial for further development. But then we also have to be aware from the Norwegian side that precisely because it is not fully in place, it is important for us to be present and help the business community in the area. That's why we're also putting on the table a number of proposals that may not be of the greatest importance, but are very important in practical terms, and therefore I'm glad that they too have been approved. It must be important to us that we are also prepared in political discussions to address more detailed questions, such as specific visa applications, etc., as we have so far been willing to do. I think we have to assume that it will also require capacity for us in the future. But to conclude, I believe what will remain of this debate is precisely the broad consensus on the content of the policy, and it will give strength and weight to what will become a more important and important policy area in the years to come.
ParlaMint-NO_2005-06-15.ana.ud2566e805	It's going to be line change.
ParlaMint-NO_2005-06-15.ana.ud2566e808	The Orheim Committee proposed that a bilateral Barn Sea Agreement be negotiated between Norway and Russia. In this way, the sample was put on the agenda for an important issue, namely whether it is possible to arrive at common driving rules and the standard of activity in the Barents Sea. The government didn't follow it up, and there might be understandable reasons for that. I think it's hard to get Russia to commit to a international agreement on this. But the Committee on Foreign Affairs has followed it in another way, by referring to the agreements we already have in sub-areas, in order to see whether a larger framework could be developed, a comprehensive framework, for how to operate in the Barents Sea, and, of course, also involve more actors in this. I want to ask the Minister for Foreign Affairs to comment on that question and how to look at the possibility of getting it done, because it is actually one of the most important questions when you look at how to get an interaction in the area.
ParlaMint-NO_2005-06-15.ana.ud2566e815	What is crucial here is the content of what will become the future policy. Choosing an agreement is in many ways a means of achieving something material. And I agree with Thorbjørn Jagland that there is a need to achieve some substance, not least on environmental issues and standards, and to ensure that the activity that is taking place in the areas is so that we can be safe on it in the future. I don't think the way to go is to start at the end of the Orheim committee. But the very point, namely that what is content must be achieved, then in conversations with Russia and other actors, we agree, and we must follow that up.
ParlaMint-NO_2005-06-15.ana.ud2566e822	I note that the Foreign Minister disagrees with the Advancement Party in relation to the Directorate, and I think we can live well with that. But the way the Foreign Minister chooses to embroider this, I don't know if this debate is really worth it, and there's probably things that shouldn't have been said. The Minister of Foreign Affairs says that the point of intersection of foreign policy in this matter is, as so often before, at the Right Centre and the Labour Party, and the Minister of Foreign Affairs is thus making a point of dissociating himself from the Progress Party. Our dissertation on the issue of indigenous peoples has been up. Is it in other areas of foreign policy that the Foreign Minister feels that the Progress Party has sidelined and where there is a need to warn against the Progress Party?
ParlaMint-NO_2005-06-15.ana.ud2566e829	There has not been a point for me to warn against the Progress Party at all, at least not in this context. My reference to the point of intersection is not just about the northern issues, but how Norwegian foreign policy is often designed. Then you'll often find the intersection that I'm now referring to. This is another example of this. That in this matter we have the Advance Party on board very much of the substance – yes, not only the Advance Party, but some others too – I would like to stress. But that wasn't my point. My point was really of a more general nature. I can, of course, also draw Höglund's attention to the fact that it is not in relation to the Progress Party that this issue is most relevant. It is extremely interesting in relation to two other parties in Stortinget, and how a red-green alternative is now going to come out of creating foreign policy, if they were to have a majority.
ParlaMint-NO_2005-06-15.ana.ud2566e835	The most eye-catching thing about the Minister of Foreign Affairs' posts is — again — his disrespectful mention of political opponents in the United Kingdom. It's definitely not the state-man's art in the high-seat. But to the point: the military presence in North Norway is still being reduced, to the concern of many. The Party welcomes the Committee's emphasis on the need for adequate resources for the Coast Guard. Our assessment is that it does not have a Coast Guard at all today, whether it is important both in terms of sovereignty and resource control. The Central Party believes that the Coast Guard must have so much capacity that it can get to where it is needed at any time, in five hours. In particular, in the light of the inge pay line to me earlier today, I would like to ask the Minister for Foreign Affairs: What are the ambitions of the Government for Coast Guard activity? And how will it follow up the Greatness's observation of the need for sufficient resources for this?
ParlaMint-NO_2005-06-15.ana.ud2566e844	Of course, Åslaug Haga’s first comment cannot stand. I record that she did not justify it, and that is perhaps what should then be left after that, and I do not think she is able to justify that claim either. What I said about Minister, I do not think in any way can be described as disrespectful. If she doesn't tolerate that comment once, namely, an observation that temporaryity is a problem in relation to a long-term problem, I think she might be a little too hairy, to say it a little cautiously. As far as the Coast Guard is concerned, I would like to refer to the statements made by the Minister of Defence, both in the written material and in the debates that have taken place. Defence appropriations under the current government are high [[President clubs]]
ParlaMint-NO_2005-06-15.ana.ud2566e851	The President will remind you that speaking time is 1 minute.
ParlaMint-NO_2005-06-15.ana.ud2566e854	First, a comment on foreign policy. I think this debate has shown that there are really few red-green problems when it comes to foreign policy. What we're a little confused about is going on in the environment. As is well known to SV and former Prime Minister Kåre Willoch, we should be very careful when it comes to the number of oil equivalents to be emitted. But then a little bit to what happens in the fish protection zone, Svalbardsona. This is a day-to-day policy. June 6th this year we open for the fishing of herring there. The Icelandics have some demands, this is a day-to-day policy that needs to be resolved, and we know that the Russians are constantly challenging our jurisdiction to test what we think, and how hard we mean it. But then we also know that the Russians have a search ship up there. Suppose they find a pair of Shtokmans in the fish protection zone. Does the Minister for Foreign Affairs have any strategies if one really would do the big oil find in Svalbardsona? So what do we do?
