ParlaMint-NO_2005-06-10.ana.ud1319e122	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2005-06-10.ana.ud1319e451	What Mr Överaas and the Council of State are now discussing is absolutely essential. One thing is to say that a maximum price should be introduced when you have full babysitting, but that it is uncertain when it is achieved. It's an understandable reasoning. The problem is that the kindergarten agreement is cancelled at the time of the election — that is no longer the case. It is clear that this is the current grossing-up period. The government parties were strongly opposed to having a maximum price at all when we entered into the kindergarten agreement. It was one of the things in which they gave the concession to achieve other things – so it was part of the broad agreement. The question is then: what do the government parties do when you are no longer bound by the kindergarten agreement? Would you like to introduce step 2 at all? Can the Council of State guarantee – and it will also be important before the elections – that the Government Parties enter in order to introduce the maximum price of step 2?
ParlaMint-NO_2005-06-10.ana.ud1319e460	Of course, a government council can't guarantee anything for a new big business. The representative knows that too. In fact, I think the comments in the setting of this nursery message are very good. More people here have said that the parties are very strongly united about the different goals. In the kindergarten agreement, we've had four goals. We have had objectives of full coverage, maximum price, equivalent treatment and – I want to add – quality and diversity. It will surprise me if not a new growth will continue the good work that we are now doing in relation to kindergartens. Last year, Stortinget clearly did well to ensure that kindergartens were built in 2006. So the whole reform was put at risk for one year. Even if we get a new expansion, I hope and believe that there will be agreement also on further construction and – let's say – the structural changes needed in the kindergarten sector in the future. More than that, I can't guarantee.
ParlaMint-NO_2005-06-10.ana.ud1319e470	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-06-10.ana.ud1319e475	We have stated in our position that we stand firm on the objectives and instruments we have adopted, or agreed on in the kindergarten agreement. It's not, as someone has said here, mainly full babysitting. It's full babysitting, it's maximum price step 2, and that's of course quality. It's not that there's only full babysitting that's the first goal. We've never said that. We have also said that we should introduce the maximum price step 2 – if it became almost full coverage – in 2005. Then you can discuss what ‘approximately full coverage’ is. That's what I'm really wondering. What is it? We're probably building 1,700 places this year. There were 1,500 children in line around the turn of the year. So far we've had to build 1.43 places per. children to get space for those who want to go from half space to full space. It's possible that most people who wanted a full space have already got it. We don't know how many places we have to build in the future, and how many that want to go from one half place to the next. So all of these numbers are reasonably insecure. We know that, and we know that from previous years. What is quite clear is that we do not know how much demand for kindergartens is in Norway until we have introduced the maximum price step 2, and before it has worked for maybe a year. We have now seen after the introduction of the maximum price step 1 that it has taken a long time before we have seen the real need. The representative of the Progress Party pointed out that this was political contempt, but I have not said it. I have said that I understand that parents feel that we have not kept our promises. There's a lot of reasons for that. One of the reasons is that more people want full space than we might initially have thought. More people opt out of cash support than we might initially have thought. It would be wrong to stand here and say that parents have a choice, that you can choose cash support or kindergarten. You can't choose kindergarten when you don't have full babysitting. What we are doing now by postponing the introduction of the maximum price step 2, is postponing the whole reform. It makes us get into goal a lot, a lot later, because we don't know what the real need for kindergartens is in this country. It's not that you can choose the care solution you want. That is why there are quite a number of people outside in kindergarten queues, just as the representative of the Progress Party was here. It will also do it in the future until we have a maximum price of 1750 kroner.
ParlaMint-NO_2005-06-10.ana.ud1319e490	It was really a very interesting clarification that came here in the string exchange. So far, the government has produced it so that they cannot introduce the maximum price step 2 now, because we have not achieved full child care coverage. It is therefore also not possible to follow the pediatric agreement, as was said, because, in the opinion of the Council of State, it is a prerequisite that there should be full pediatric coverage before we introduce the maximum price step 2. So the Council of State says that even when we do not achieve full child care coverage – in 2006, 2007 or 2008 – she will be able to guarantee that the Government will go in to introduce the maximum price step 2. I understand that she can't guarantee what the Storting decides, but what the Government is going to go in for, must be something a state council could say about. That's very, very interesting, because that means that if this government stays in place, Norwegian parents will never experience getting the maximum price step 2. It's not that strange, because that's what the government's originally wanted, you didn't want the maximum price step one once. So you don't get the maximum price step 2, if you're free, you get it. So you could say: Maybe the Workers' Party, SV, the Center Party and the Advance Party would force the Government to introduce the maximum price step 2 anyway. However, the Progress Party programme should then be read because it says that all transfers to the kindergarten sector from the municipal and state sectors should be taken and transferred in a cash grant to the children’s parents together with the child benefit. The kindergarten price, if it is a maximum price, must then be 11 000-12000 kroner per month to make this calculation go up. That is what is at the bottom of the Progress Party programme. A maximum price of 1700–1,800 kroner, I think we can see very much after all state support for the kindergartens disappears, and the transfers are to be channelled into a cash grant through the family allowance. It's a system, but the maximum price of $1,800 is not going to be the case. If I have now misunderstood, and the Council of State now says that it is clear that the Government is going in to introduce the maximum price step 2, it will do so on the day it becomes full coverage, and it commits the Government to go in for, we have received a very important clarification in this debate that gives a very clear signal to the country's children's parents about what will happen with the maximum price step 2 if today's government continues.
ParlaMint-NO_2005-06-10.ana.ud1319e501	This, I think, must be taken with regard to rhetoric on a Friday morning at the Stortinget pulpit. We have therefore reached a settlement where equal treatment between private and public kindergartens and maximum prices is two important elements. If we're going to look back a little bit on this story, this is based on a private proposal from SV and the Progress Party, where the Workers' Party later came in. So if it worries the representative Guess what the Progress Party is going to do in the next big time, I think maybe he should go in and read the private proposal. Because, as the Workers' Party also knows, we have at least been a partner so far to trust. The representative, Hansen, was concerned that parents could not choose. No, that's exactly what was my point. When we don't have enough nursery places, parents can't choose. Then you have no real choice. It is good to set a maximum price of NOK 1750 for the cash support. The problem is, it's just that per. On 1 January 2005, there were 15 400 children in kindergarten queues for which one had actually been able to pay the maximum price step 1 if only space had been available. So that's not the willingness to pay that's the important thing, that's the desire of the parents for kindergarten. In order not to be so discriminatory between those within and those outside, we think it is right that we follow the premises we have made in the broad agreement that there must be almost full child-care coverage. And with almost full babysitting, I don't see that there's going to be thousands of kids on the outside of the fence and staring at those on the inside, because they didn't get the place they so much wanted.
ParlaMint-NO_2005-06-10.ana.ud1319e510	This government has followed the agreement, follow the agreement and will follow the agreement – all parts of the agreement. To me, of course. We have signed an agreement with Stortinget on this. So then I hope it's cleared out of the way. I also want to refer to what we have done. We've got a capacity increase in the sector that is actually larger than what was in the agreement. We've adopted the maximum price step 2, and we're also following the equation when we're now postponing the maximum price step 2 until you have almost full coverage.
ParlaMint-NO_2005-06-10.ana.ud1319e517	It's possible to have two thoughts in your head at once. That's what we've been up to now. We have built out spaces, and we introduced the maximum price step 2. It has shown us that the need for kindergarten places was much greater than what we initially thought. The deadlines have been short, but now municipalities are able to deal with this reform. I think they do. Children's playgrounds are built as never before. It's exactly the same way when you build roads here in the country. If you plan and finish in a shorter time, it costs less. The same is true of kindergarten reform. If we introduce the maximum price step 2 now, all the thousands who want kindergarten space in this country will get kindergarten space faster. What I can say to the People's Party is that there are many, many more than the 15 000 who were in line at the turn of the year who want space. What we're seeing now is that the 1- and 2-year-olds are starting to line up. Because the parents out there now actually think that there's an opportunity to get kindergarten, they're looking for a kindergarten. The neighbouring municipality of Moss, Rygge, had full kindergarten coverage. Now it's 90 kids in line, and it's 1- and 2-year-olds. That's what we've seen, people want kindergarten. That's what we said in the first place. You choose the cash allowance, and you want a reasonable babysitting space. I expect the Progress Party to stand on its promises after the elections. This has been done up until now by the Progress Party. I think it has been a very good cooperation with the Progress Party in this matter. The starting point for us to get to where we came in this big period is that the Progress Party and SV together promoted a Document No. Eight proposals, to which the whole Storting has gradually joined. Everything hasn't become exactly what we wanted in the first place, but I think it's been a good process, and we've done a lot in this process. The fact that there have been short deadlines, which the representative of the Christian People's Party was in here, has been the most problematic. If we look at Sweden, we see that they did this in a very short time. It's been bad information. There has been opposition to the introduction of the maximum price. I think what we hear here today from the government parties is that the maximum price step 2 is actually not going to be introduced. I expect the Progress Party to stand on that proposal for this reform is in port, but I think it is sad that this enlargement could not now be completed. We have said that this reform should be fully financed, and we could introduce the maximum price step 2 now, and at the end of next year, we would have known what the need for kindergarten places is in Norway.
ParlaMint-NO_2005-06-10.ana.ud1319e532	Trond Giske has spoken twice in this debate and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2005-06-10.ana.ud1319e535	The nursery agreement says it's black on white that it's going to be out of this grossing-up period. No parties are bound by the pediatric reconciliation next period. Then we go to the elections on our party program. So until May Hansen says that she assumes that the Progress Party is on the pediatric conciliation next period: the pediatric conciliation does not apply in the next period. What's in the nursery arrangement is that it's out of this period. I take the Progress Party so seriously that I think they are going to vote on their programme, and that is the program that was adopted at the national meeting, you want to implement in the next period. And there's nothing about the nursery arrangement. It says to remove all public support for the kindergartens and add it to the child's pension and cash support in a cash contribution to the families with children, and then you have to pay the kindergarten that it costs, and it would probably be about NOK 11 000-12 000 per month for a small children's place, I think. And then we'll see how many private kindergarten owners that build up then. I think the Council of State has clarified it very well. She's at the nursery meeting. It shall apply until 12 September. Then the maximum price is 2 all the way out in blue.
ParlaMint-NO_2005-06-10.ana.ud1319e544	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 2773]]
ParlaMint-NO_2005-06-10.ana.ud1319e566	No one has asked for the floor. [[Fotation, see page 2773]]
ParlaMint-NO_2005-06-10.ana.ud1319e584	No one has asked for the floor. [[Fotation, see page 2773]]
ParlaMint-NO_2005-06-10.ana.ud1319e602	No one has asked for the floor. [[See page 2774]]
ParlaMint-NO_2005-06-10.ana.ud1319e620	No one has asked for the floor. [[See page 2774]]
ParlaMint-NO_2005-06-10.ana.ud1319e638	No one has asked for the floor. [[See page 2774]]
ParlaMint-NO_2005-06-10.ana.ud1319e656	No one has asked for the floor. [[See page 2774]]
ParlaMint-NO_2005-06-10.ana.ud1319e674	No one has asked for the floor. [[See page 2774]]
ParlaMint-NO_2005-06-10.ana.ud1319e693	No one has asked for the floor. [[See page 2774]]
ParlaMint-NO_2005-06-10.ana.ud1319e712	No one has asked for the floor. [[See page 2774]]
ParlaMint-NO_2005-06-10.ana.ud1319e730	No one has asked for the floor. [[Fotation, see page 2775]]
ParlaMint-NO_2005-06-10.ana.ud1319e749	No one has asked for the floor. [[Fotation, see page 2775]]
ParlaMint-NO_2005-06-10.ana.ud1319e765	No one has asked for the floor. [[Fotation, see page 2775]]
ParlaMint-NO_2005-06-10.ana.ud1319e781	No one has asked for the floor. [[Fotation, see page 2775]]
ParlaMint-NO_2005-06-10.ana.ud1319e797	There is not so much to say, just that this is a matter which the majority of the Committee has referred to in its budgetary proceedings, and therefore the proposal of the Progress Party is not supported.
ParlaMint-NO_2005-06-10.ana.ud1319e804	Several have not asked for the word. Proposal from the Progress Party made after it had been called to vote, see below. [[Fotation, see page 2775]]
ParlaMint-NO_2005-06-10.ana.ud1319e819	We are then almost ready to go to voting on the matter no. 1 to 16 on today's map. In the case of case No. 16, the Progress Party did not wish to promote the proposal in the vote. The President will ask for permission from Stortingen to allow a representative of the Progress Party to put forward the proposal, even if the matter has been debated. – It is considered biphasic. There should be no argument here, only proposals made.
ParlaMint-NO_2005-06-10.ana.ud1319e828	Case No. 16: I will record the proposal of the Advance Party referred to in the vote.
ParlaMint-NO_2005-06-10.ana.ud1319e833	The representative of Øystein Hedstrøm has taken up the proposal he referred to.
ParlaMint-NO_2005-06-10.ana.ud1319e867	During the debate, Mr Hansen presented two proposals on behalf of the Socialist Left. Proposal No. 1 sounds: ‘The Government asks the Government to assess the trial project with kindergarten-related kindergartens in the municipalities, which will be the centre of competence and guidance for family children’s gardens.’ Proposal No. 2 sounds: ‘The Government is asking the Government to make visible in the 2006 budget the instruments it would be appropriate to use in relation to municipalities that do not implement the financing of kindergartens as determined by the Stortinget.’
ParlaMint-NO_2005-06-10.ana.ud1319e903	It shall be put to the vote on proposals submitted by the meeting of the Odelsting on 2 June 2005. Here the President has understood that during the debate the proposers suggested that this proposal should be turned into a transmission proposal. Is that correctly understood? - It's nodding. The proposal is therefore converted into a transmission proposal and the text is amended accordingly. The proposal is amended as follows: ‘The Government is advised to investigate and come back appropriately with an assessment of the determination of hazard and parental responsibility in the case of assisted fertilisation. In these cases, he/she shall be able to be approved as a father and to receive parental responsibility in the same way as a married couple even if he/she is not a biological father of the child.» The President proposes that this proposal be forwarded to the Government without any renunciation. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-06-10.ana.ud1319e921	There is a vote on the proposal by Mr Eirin Faldet, on behalf of the Labour Party, the Socialist Left Party and the Central Party, transmitted from the Odelstinget meeting on 6 June 2005: ‘The Government asks the Government to propose to amend the Child Protection Act in order to ensure that single, minor asylum seekers and refugees under the age of 18 equal to the one-off Norwegian children are protected by the Child Protection Act upon arrival in Norway.’
ParlaMint-NO_2005-06-10.ana.ud1319e939	There is a vote on the proposal by Mr Eirin Faldet, on behalf of the Labour Party, the Socialist Left Party and the Central Party, transmitted from the Odelstinget meeting on 6 June 2005: ‘The Government asks the Government to submit proposals for a system of authorisation and supervision of asylum recipients for unaccompanied minor asylum seekers in line with child protection institutions.’;»
ParlaMint-NO_2005-06-10.ana.ud1319e957	There is a vote on the proposal by Mr Eirin Faldet, on behalf of the Labour Party and the Socialist Left, submitted by Mr Odelstinget on 6 June 2005: ‘The Government asks the Government to propose to amend the Child Protection Act in order to ensure that children receiving child protection measures are provided with the treatment they require in the fields of medicine, psychiatry and alcohol independently of the consent of biological parents.’
ParlaMint-NO_2005-06-10.ana.ud1319e975	There is a vote on the proposal by May Hansen on behalf of the Socialist Left Party and the Central Party, submitted by the meeting of the Odelstinget on 6 June 2005: ‘The Government is asking the Government to provide funds for the implementation of internal controls under the Child Protection Act in the municipalities, for which the municipalities can apply for support on an individual basis.’
ParlaMint-NO_2005-06-10.ana.ud1319e994	There is a vote on the proposal by May Hansen on behalf of the Socialist Left Party and the Central Party, submitted by the meeting of the Odelstinget on 6 June 2005: ‘The Government asks the Government to increase the appropriations for the protection of children, during a transitional period designated for the follow-up of parents after amendment of the Children’s Protection Act § 4 16.’
ParlaMint-NO_2005-06-10.ana.ud1319e1012	There is a vote on the proposal by May Hansen on behalf of the Socialist Left Party and the Central Party, submitted by the meeting of the Odelstinget on 6 June 2005: ‘The Government asks the Government to introduce a system of approval and supervision for maternity homes in line with the Child Protection Institutions provided for by the Children’s Protection Act.’
ParlaMint-NO_2005-06-10.ana.ud1319e1030	There is a vote on the proposal by May Hansen on behalf of the Socialist Left Party, submitted by the meeting of the Odelstinget on 6 June 2005: ‘The Government asks the Government to draw up a national action plan for foster homes, focusing in particular on the competence, quality, knowledge, guidance, organisation and working conditions, with a view to the foster child, foster parents, biological parents and public bodies with a bearing on and responsibility for foster home placement.’
ParlaMint-NO_2005-06-10.ana.ud1319e1048	A vote shall be taken on the proposal by Mr Sollied Överaas, on behalf of the Central Party, submitted by Mr Odelstinget on 6 June 2005: ‘The Government asks the Government to consider removing Section 9-2 of the Child Protection Act on parental maintenance obligations for their children when the child is away from home following a child protection decision.’
ParlaMint-NO_2005-06-10.ana.ud1319e1066	There is a vote on proposals submitted by the Odelstinget meeting on 6 June 2005: ‘The Government asks the Government to return to Stortinget with an inquiry into how to strengthen the asylum recipients of single minors, as well as clarification of roles and responsibilities between the Ministry of Children and the Ministry of Family Affairs and the Ministry of Local and Regional Affairs in an appropriate manner.’ It's the Right Party, the Advance Party, the Christian People's Party and the Center Party that are behind the proposal, so there might be reason to believe that the Workers' Party and the SV will vote against it? –
ParlaMint-NO_2005-06-10.ana.ud1319e1074	We will vote in favour, subsidiaryly.
ParlaMint-NO_2005-06-10.ana.ud1319e1081	We will also vote in favour.
ParlaMint-NO_2005-06-10.ana.ud1319e1098	There is a vote on proposals submitted by the Odelstinget meeting on 6 June 2005: ‘The Government requests the Government to carry out a nationwide review of the cabinets, to consider the need for the measure, to assess the objectives, content and operational conditions, and to assess the need for regulation and supervision of the measures.’
ParlaMint-NO_2005-06-10.ana.ud1319e1145	During the debate, Mr Hedstrøm has put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government asked for a change in the scheme of Innovation Norway’s instruments from district-oriented to nation-wide schemes. The Government submits the investigation to the Stortinget in connection with the 2006 State Budget.’.» Alternatively, this proposal and the referral by the Committee shall be voted on.
ParlaMint-NO_2005-06-10.ana.ud1319e1168	Me and the representative Beate Heieren Hundhammer were supposed to vote for the adjustment, but the voting system did not light up with us.
ParlaMint-NO_2005-06-10.ana.ud1319e1175	The correct votes shall then be 78 for the vote and 15 for the vote. - That's how the suspension is adopted.
ParlaMint-NO_2005-06-10.ana.ud1319e1186	There is no record.
