ParlaMint-NO_2005-12-13.ana.ud1051e57	The representative of Bjørg Tørresdal will make a private proposal.
ParlaMint-NO_2005-12-13.ana.ud1051e513	The representative Thommessen looks forward to a more ideological cultural debate in the future. We also welcome that with joy. I must say that the contributions in this year's budget have not been very convincing, as we have seen. At the same time, we see that the Progress Party has been on its own planet. We see that in some cases, for example. in the media policy, stands with the Right. When it comes to financial thoughts about the future, we see that there are some similarities. What I enjoy in the future ideological debate is what should govern the popular taste, and taking cultural responsibility. It's going to be exciting. As far as media policy is concerned, I would just challenge the Thommess: does he think that today's system of press support, which Right has programmed that they will wind up, is not a significant contribution to ensuring diversity, democracy and freedom of expression?
ParlaMint-NO_2005-12-13.ana.ud1051e520	As I was in my post, I think we've come there to say that the press support works almost against its purpose. There are soon no publishers where there are two newspapers. In the vast majority of the country, newspapers are almost monopolistic. We see that starting new business, starting new newspapers, is quite difficult. It's hard to get money for it, and it's hard to get through. We know all the advertising mechanisms that prioritise the large, established newspapers. In this picture, the press support makes the whole system stiffen, that we don't get new growth in newspapers, and that the growth in other types of media, radio and television, is becoming more difficult to achieve. So I mean the answer is – I'm not sure if it will be yes or no, because I don't quite remember the question. But at least I believe that the support for the press does not match the expectations of diversity.
ParlaMint-NO_2005-12-13.ana.ud1051e525	The municipality is an important initiator of local culture, and the cultural sphere is an important part of this offer. We know that many municipalities today have a need to reduce supply and increase prices in the cultural sphere, and the reason for this is a strong pressure on the local economy, such as the local economy. The representative of Thommes' party is in favour. I believe that the representative has a real and strong commitment to culture, and so my question must be: Do we want to see a new course from the Right when it relates to permits to the municipalities, so that the municipality is more able to be an initiator of local culture?
ParlaMint-NO_2005-12-13.ana.ud1051e530	If there is something the municipalities need, there is freedom to act — fewer earmarked funds, fewer legal regulations, which should provide greater opportunities for finding local and good solutions. Then we don't need any more regulations, as the Center Party wants. The centre party has announced that what is soon the last breathing hole in relation to municipal freedom of action, namely the cultural area, must also be regulated. Here I hope you think, even though the Center Party even has it in the program. We see that many municipalities have great ability to find good local solutions, precisely within the cultural area. If you look at libraries, if you look at cultural schools, if you look at the contributions to local organisations and cultural buildings, there's a lot of diversity, there's a lot of variation between municipalities. There is just a need for action and freedom of action. I would like, on behalf of the Right, to address the proposal that has been distributed to the representatives.
ParlaMint-NO_2005-12-13.ana.ud1051e539	The representative, Olemic Thommess, has taken up the proposal to which he referred. The cord shift is over.
ParlaMint-NO_2005-12-13.ana.ud1051e544	The framework conditions of art and culture are essential for the quality of life of each of us and of society as a whole. In a policy of a more fair and solidarity society, a society rich in cohesion and good experiences for all, art and culture are important elements. It could be tempting to cut quotes from the lines of the bourgeois parties on SV in the last four years. In short, they have stated that SV has diverted cultural policy Norway with promises and monopoly money. That's why I'm standing here with a good feeling and I'm going to defend the budget that SV, the Workers' Party and the Centre are presenting and have a majority in the Chamber. The budget that exists is a direct result of the great cultural promise, which was the equivalent of these three parties to the cultural message. I believe that even the SV's critics will admit that both content and priorities have a significant impact on the SV's cultural policy programme. It was just to be lacking if we in SV were not satisfied with this. But even better and more important is, of course, the fact that Norwegian cultural life continues to applaud, as they did two years ago, when we presented the cultural promise. Culture-Norway jubilees were the headlines when the year's cultural budget was presented. Fine-looking future music, it was called when the Cultural Promise was launched – not from the Right/Christian People's Party/Left team. There in the yard there were two comments. One angle was: «A populist play» – from the Thommess, «a little pathetic, populist policy of surrender» – from the Skei Grande. Or the other angle, that it was ‘great but to open doors’ — from the then state councillor, Svarstad Haugland. ‘But, when true, it is not far from what has already been included in the Culture Communication from the Government side’ — from Ola T. Lånke. I don't know if they've made up their minds yet, because it's very bad that we were going to knock open doors with populist overbidden policies. The difference between the cultural promise from the red-green and what was presented by the Right Party, the Christian Party and the Left is in the commitment. We said that if we got a majority, the cultural promise would be carried out, while in the civil parties' cultural messages, the review tone was that they wanted to'monthly increase' in most fields, but they did away with the obligation. They chose, as they said, to take the economic stand back. And it's okay, but if there's anything we heard in the election campaign, it's Norway going down. Yes, we agree with that assessment, but that is when we have to ask ourselves – in the light of the promises of the Culture Communication – why is it not ‘monthly increasing’ on the cultural budget when it goes down? Or maybe we should ask, when they don't find room for culture growth now, when do they think it's going to come? The proposals they made on their own keel in the autumn had, in fact, an increase in administration and church purposes, but for culture they had an increase that was so small that it did not even take into account price and salary growth. The numbers' speech is ready. They wanted to increase the donation to the Norwegian Church by 7.4 pst. To the administration, they meant 6.9 pst. be careful. For culture, on the other hand, they satisfied themselves with a mark-up of 1.3 p.m., which is less than the price and pay increase, and for film and media purposes they found only to be able to increase by 1 p.m. Well, at least we could call this interesting priorities. Culture-Norway applauded not only the cultural budget, but also the red-green will to rest up in the municipalities. In recent years, the situation in municipalities has been cutting down on voluntary, sporting and cultural appropriations. In the municipality after the municipality we have seen that they are struggling with the statutory tasks. Then we know how to proceed with other good measures. With the additional billions now flowing into the municipalities, many more municipalities have budgets that enable them to invest in culture, sport and volunteering. I believe that the cultural efforts of the red-green parties will continue throughout this great period, and I hope that when we have finished this period, we will not do as the previous government: refer back to a matter that they were forced by the political opposition, namely the cultural school bag, but refer back to the matters we have carried out.
ParlaMint-NO_2005-12-13.ana.ud1051e566	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e569	In the case of pop/rock experience centers, the representative Lund Bergo is a man with deep roots in and knowledge of the industry. 80 pst. of the industry located in the Oslo area. An entire industry, so to speak, supports the Oslo option. Touristly, it is obvious that Oslo is the most sensible. Economically, it is also the best and the cheapest. I have to ask myself the question why SV has landed on the Trøndelags option. You actually have to look with a magnifying glass to find someone outside of the Trendelag that supports this option. So I could imagine hearing from the representative Lund Bergo what reasons he has to go in for the Trondelags option, when it's the worst and most expensive. Is it only territorial considerations that have been taken into account here?
ParlaMint-NO_2005-12-13.ana.ud1051e576	In this case I have a good conscience. I am happy to have helped to prevent the Progress Party together with the Workers' Party in an early stage of placing the whole buttercup in Namsos – if it had not been there today, all the appropriations had gone to Namsos – without talking to either industry, environment or anyone else. I am pleased and have twice taken the initiative that we have received investigations that have given the parties the opportunity to deal with this. I would like to have the matter back – not as a budgetary matter, but as a matter of my own in Stortinget. It's not always that we get it the way we want it in politics, but on behalf of SV, I have at least a good conscience that we have implemented a democratic process. After good treatment in the party, we have pointed out that Trøndelag is the alternative, but at the same time that the other environments around in Norway are also to be placed. I'm pretty happy with that.
ParlaMint-NO_2005-12-13.ana.ud1051e583	I thought I could pick up the thread from the representative Lund Bergo's reply to me about the press support. I remember from the discussion of the media message that the representative Lund Bergo was almost panegyrisk when it came to the prospect of increased press support, or the desire for increased press support. My question to Lund Bergo is the following, and that's the same as I think I got from him, but a little bit different angle: think Lund Bergo there will be some more newspapers with this year's increase of 7.5 million. kr in the press stand? Think Lund Bergo that there would have been a few more newspapers if you had increased the press support by, for example, Between 30 and 40 million. Do you really want to delete this item? How much does Lund Bergo think it is necessary to increase the support for the press in order for there to be some new or some more newspapers in Norway? I am not thinking of the very small newspapers that are members of the National Team for Local Newspapers. We've seen them coming anyway, completely independent of the press support.
ParlaMint-NO_2005-12-13.ana.ud1051e590	I'm a hot defender of the press support. In that it is not that I believe that today's system will necessarily last forever, or that we should not be critical of how the funds are used and what they lead to. Of course, we're going to be in on that. What is quite clear is that with the budget as, among other things, The party at the Thommess stand behind us, we would have had fewer newspapers in Norway, and it would have hit the meaningful newspapers drastically – they would have gone away. It would have been bad, and we've made sure that doesn't happen.
ParlaMint-NO_2005-12-13.ana.ud1051e598	The representative of Lund Bergo had a lot of good feelings to express, and it's clear that it's going to be a nice Christmas for the representative of Lund Bergo. It is possible that I now empty a bit of paint in the window. That's really not the point, but sometimes we politicians have to admit that we're just as bad out there driving, all of them. Sarcasm bobbled easily in the desire to Lund Bergo in the election campaign, especially in the area of adult education. Then some of us said that this post would probably never be the great winner of a Minister of Education. Now we've got an SV State Council in this field, and then I think we're going to say okay, put a line and say that now we're all just as bad out driving. On the other hand, what I'm disappointed about – and I'm not going to be sarcastic – is that SV is not willing to participate and evaluate how we can cope with the cultural aspect of adult education by looking at that post, as the Right, Christian People's Party and Left have done in this budget. Why isn't that interesting for SV?
ParlaMint-NO_2005-12-13.ana.ud1051e605	If Skei Grande has read the setting, she'll see that we're just worried about adult education, and that this is a point that we want to do something about. I believe that our intentions and goals in adult education do not differ greatly from the intentions and goals of the Skei Grande. So I want to welcome her on the team, and we're going to join in and do that job further.
ParlaMint-NO_2005-12-13.ana.ud1051e610	The cord shift is over.
ParlaMint-NO_2005-12-13.ana.ud1051e613	In the election campaign, we said in the centre party to our voters that we wanted to work for a targeted commitment to culture and volunteering. The basis for such a commitment was already established through the cooperation with the Workers' Party and SV on the Cultural Promise. It's very gratifying, I'd say, that the commitment to culture and volunteering is already clearly seen in the first budget of the new government. The centre party sees this as an important step towards the goal of a variety of cultural and artistic expressions across the country. We live in a country where a lot of the time is spent on volunteering. Through work in teams and organisations, work, public meetings, church activities, cultural events and sports events, many people make a great effort. They make life richer for themselves and for others. Voluntary work is an important building block in many communities. We know that three out of four Nordics are in a volunteer organization, and almost half of us are in at least two. The voluntary organisations produce goods and services worth approximately NOK 38 billion and the employment of 54 000 people in paid work. In addition, 100 000 undivided annual works are carried out by non-profit organisations. This makes us one of the world's leading countries for volunteering. But in many countries, volunteering is a major change. Harvard Professor Robert D. Putnam shows in the book «Bowling alone» how civil society and the social capital it produces have been reduced in the last 25 years in the United States. Participation in teams and organisations is more than halved, involvement in local society has been reduced by 35 p.t., and that part of the income that Americans give as gifts to voluntary organisations has decreased by about one third. We need to pursue a policy that is at the height of developments in the voluntary sector, so that we can cope with this kind of development here as well. We need to pursue an offensive policy that strengthens the voluntary sector. Then we need to step up efforts to simplify and red tape the work of voluntary organisations. I am pleased that we have received a government that shows a great willingness to take on this work, including this one. by completing the work of a voluntary register. It is also very gratifying that the Government has started work on increasing support for voluntary organisations. The Free Fund pot is increasing, and we've increased the transfer to the volunteer centres. This is important grip, which shows that one wants to go in the opposite direction of the previous government. Bondevik II cut in that part of the Frifond River that went directly over the state budget, contrary to what was intended. At the same time, the Bondevik government was responsible for a municipal economy, which meant that the municipalities still had to cut into important welfare tasks. This has also framed local cultural services in many places and has led many young people around the country to have a poorer cultural supply. For the Central Party, it has been important to reverse developments in this field. The strengthening of Freefonds through a strong strengthening of the local economy has been an important part of this work. The centre party wants it to grow in the cultural and organisational life of the whole country. We know that when the municipalities get more money, it also becomes easier to prioritize culture locally. With a commitment to culture, we encourage more people to live for, not just live off. I have used a lot of this article to talk about volunteering. But of course, in the Center Party, we enjoy what we have done with our government partners in other areas of cultural policy: strengthening Norwegian film, increasing efforts in the dissemination of music, dance and theatre, purchasing arrangements for instruments for the Corps, and we have secured the start of work to put in place a new digital lexicon. Much of this was done by the representative Gjul in his post. Former Minister of Culture Valgerd Reply City Haugland said about the Cultural Promise that it was opening doors. I am proud that the new government in a few weeks has opened doors for 168 million. kr and thus made culture more accessible to people. These are bets that the former government comrades in Right, Left and Christian People's Party could not afford a few weeks ago. Today, however, they are eager to distribute the cultural money that the centre-left government has got in place. There's nothing that pleases us more than that.
ParlaMint-NO_2005-12-13.ana.ud1051e634	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e637	The representative Sande used a lot of his post to talk about the voluntary sector. I agree with him in that is an important area. The Bondevik government extended the tax deduction schemes for contributions to organisations. Would it not have been an exciting idea to build on that scheme, perhaps not in relation to increasing the amounts, but in relation to expanding the basis, thus giving more non-governmental organisations the opportunity to use such schemes? The whole field of folk culture and the whole field of music and theatre, I'm sure that would have enjoyed such an arrangement, if you made it right. How does the Central Party view building further on the tax deduction schemes, perhaps preferably through an extended basis?
ParlaMint-NO_2005-12-13.ana.ud1051e642	Tax deductions on donations to voluntary organisations may be one of the ways of strengthening voluntary organisations and culture elsewhere. I'm glad the Government chose to pass on this tax exemption. We got a right look and often in the election campaign from the then government party that this was a scheme that would disappear if there was a new government in place. The system is in place, and we in the Central Party are obviously excited about that.
ParlaMint-NO_2005-12-13.ana.ud1051e647	The representative Sande was in the church activities of his post. I also see that the Central Party programme says that the Central Party wants Norway to build its future on the Christian and humanist cultural heritage. That's a slightly stronger wording, to say it carefully, than what's in the Soria Moria statement. We have now had a table prayer debate, and in today's VG there are two sides if it is at all possible to go to the Christmas service. It is reassuring to see that Minister of Knowledge Djupedal says that it is OK with Christmas. So at least we know that. However, we have also noted that in the Central Party there is great concern about the importance of the Christian cultural heritage for the new government. Does the representative Sande agree that the debate we have now had on school gods may also have to do with the unrest that the government in place has created about this?
ParlaMint-NO_2005-12-13.ana.ud1051e661	The Christian cultural heritage is also mentioned in the Soria Moria Declaration. It is good that the Christian People's Party has noticed, because in the election campaign, a few impressions could be that this country was going to become completely Christian if one got a new government. I am pleased with what is stated in the Government Declaration, and will stress that for the Center Party it is of course important that we build our society on the Christian and humanistic cultural heritage.
ParlaMint-NO_2005-12-13.ana.ud1051e666	The left and the centre parties have a long tradition of agreeing on much of the commitment to voluntary work, and voluntary work is increasing in Norway, but it is also about action that can be taken to improve the quality of cultural dissemination in the voluntary cultural sphere. Therefore, I have a question for the Centre Party: Why do they disagree that the Theatre Council's activities will receive increased grants? Why do they also disagree that there should be a separate grant scheme for training in the field of public culture, as we are all in the same boat when it comes to cutting adult education? Finally, I wonder why it's so dangerous for the Center Party to be on a note about the Tveit/Hauge jubilee, where I realized that Sande too has a great commitment. That remark had then ensured the implementation and not only contributed to the marking, which well in and of itself means that some from the government parties come and cut the red ribbons.
ParlaMint-NO_2005-12-13.ana.ud1051e674	When it comes to amateur theatre, there's an area that we want to look at and spend a little more time getting an overview of. That's why we didn't go into that comment. When it comes to the Tweitt/Huge jubilee, we have a common commitment in that area, and I think that the remark that the plural has come up with opens up so that one can participate in the anniversary, which means that these two artists can be honored in the way that we all want.
ParlaMint-NO_2005-12-13.ana.ud1051e681	The cord shift is over.
ParlaMint-NO_2005-12-13.ana.ud1051e684	The left is, like most people here in the hall, happy with the additions that have happened, and it is well, if you had put the program of the parties on top of each other, a large majority in this room for such a raise, sail if I have to point out that it is not as huge as anyone should have it to. It's a little over 160 million. kr. The Bondevik I government also had an increase of over 300 million. kr on the cultural budget, sail if much of it was investment. What is unfortunate is the fact that church and culture are set up against each other — the church that has been an important driver of cultural life in this country for the last thousand years. The left will raise some special priorities that we have been concerned with in this budget. The first is the amateur culture. Of course, the amateur concept is questionable, and not everyone likes to wear it either, so we can say the voluntary culture. The Norwegian Theatre Council has been through a great transformation. They have been willing to go into a conflict-filled area, which I am familiar with, and get out of it well at the other end. Giving an extra boost to them is pretty important. I am, like most people in this room, also very concerned about the cultural consequences of the cuts in skills building. We have to look at this together, and I think it is very important to get a broad political commitment on this in the future. I'm sorry you're not willing to start right now. We've added an addition to the Norwegian Sculptor Center. It signals something more than just the 500,000 kroner. I am very pleased that the Council of State has said that he will go through the living conditions of artists, but I am very concerned about the developments we are now seeing, with a government that seems to be small businesses and entrepreneurship, and tax policies in that context, are less important, and that it doesn't have anything to say about the living conditions of artists. The third point is the multicultural cultural expression, which has been treated today as a specific case and an area of particular interest, to be dealt with by special grant schemes. We believe that this must enter into the usual grant schemes at the level of everyone else. It is important that we now have a review of this cultural field that will not treat it as a special scheme, but will be treated as all the other Norwegian traditional institutions. The fourth is that we've been willing to prioritize the slightly boring and long-term, the promises that absolutely everyone is behind. Prioritizing ABM development may not be something that creates the big headlines in the newspapers, or something like that, but it's about standing behind the priorities that we've all agreed on when it's about adding extras. There's a lot of agreement in this setting, and I have some concerns. I must say that the red-greens haven't sat any longer by the power than that it's still just a anxiety; it's not yet about fear. I can lift up some of them. One is the establishment of the folk music scene. Why the majority don't want to be on a note that ensures that the folk music scene can get a rental contract – it's now in a critical phase – I'm concerned about, and I hope the Council of State in its contribution might be able to determine whether that progress is going to be the way it's supposed to be. The second concerns Stavanger as a European city of culture. There is also not enough money in relation to the entire promise this year, and I am concerned that the majority does not want to commit to the long-term agreement that has been made. There's a lot of ideological divisions here, sail if it might not seem so good. Rock probably represents a more ideological distinction – when it comes to placing the center in Trondheim or not. It's not about centralization. I believe that a model with the core of the Schous quarter and several other regional structures, which there had actually been money to implement, would have been a much more decentralised model than what we are talking about now. What scares me the most is that here we make agreements like we're faction leaders, and not like we're state councils. It's not that you can make all the decisions in closed rooms, and you can't hear all the parties. If you have had a consultation process where everything is on paper, people must have the opportunity to speak before a final decision is taken. The other aspect in this is the artist-initiated versus the bureaucrat. There I think it's going to be a bigger ideological distinction in the future than just that.
ParlaMint-NO_2005-12-13.ana.ud1051e707	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e710	The representative Skei Grande has also used large words in the media for the location of the rock museum. An ideological overrun is the content of the descriptions. But the promises and great words of the Left are more like writing in truth than the ability to realize cultural policy projects. The idea of the cultural quarter Schous with versatile rock activity and national scene for music and dance is great. There was not a single penny for this in the draft budget of the Valverds and the Left. Money for starting up the Schous quarter is granted, and negotiations on further development will start. Then I have to ask: what is most important for the Left, ideology and pious promises without money, or practical politics as an economy, which is necessary to realize the idea of the Schous quarter?
ParlaMint-NO_2005-12-13.ana.ud1051e717	I do not know if ‘frekt’ is a parliamentary expression, so I dare not use it. But I just have to say that when the Oslo representative Hildeng claims that the left has been on the brakes to develop the Schous quarter, or on the brakes to get at all something developed in terms of culture in this city, this is what could have gone under the word that I don't know if it's allowed to use. The left and I have actually been drivers in this city to get up the cultural appropriations. It has not been the Workers' Party. At least the central working party has not contributed to any cultural promise in this city. It's just looking at Oslo's budgets, and it's just looking at the other priorities. You hit your chest over jazz scene and other things here, but I just have to say that I was at the opening of this jazz scene, and I didn't see any other Oslo politicians present. But it was definitely before the election.
ParlaMint-NO_2005-12-13.ana.ud1051e722	The President agrees that the word ‘freak’ is not a good idea to use, but it is not a good idea to use it indirectly either.
ParlaMint-NO_2005-12-13.ana.ud1051e725	I think it's quite uninteresting to hear about the cultural budgets of the different cities. I'd like to make a statement about Moss and what I've done there, but that's what the budget debate is about. The representative of Skei Grandes and the left in the election campaign in Eastfold and otherwise in the country was that this Cultural promise was to be made within four years. There has not yet been a single extra cultural crown from the Left in this budget, so it'll be interesting to know from the representative when you're about to start escalating to do that election promise. Then I would also like to hear about the ideological divisions of which the representative Trine Skei Grande is concerned, and that there are going to be major confrontations here. There are no major confrontations in these two budgets, and it will now be interesting to hear: what matters are important for the Left, and what issues will the Left give priority to in the future?
ParlaMint-NO_2005-12-13.ana.ud1051e732	The left is the only party in Western Europe for the past 50 years that has progressed after being in a coalition government. We did that because we set ourselves a few goals about what we were going to achieve, and we managed to achieve them. During this period, we had set ourselves the goal of fulfilling our commitment to culture in our party program. We would have done that if we had been allowed to continue in the coming years. The distinction is quite clear. The distinction is clear between who wants to move decisions from enclosed spaces and who wants to have open debates. That's also another main part. There are very many cultural workers who are also seafaring entrepreneurs, who run small businesses that are creative industries. If there's an area where there's really a lot going on, it's right here. But this government doesn't care. One has no desire at all to contribute to the easier life of small businesses and to enable them to develop their cultural work and not just to develop the possibility of going bankrupt in the tax world in which they now live.
ParlaMint-NO_2005-12-13.ana.ud1051e739	Right, Christian People's Party and Left have comments in the setting. Left's Skei Grande commented on the comment that the multicultural field, institutional and organisational, should be similar to the ethnic Norwegian and not so person-dependent. I would first like to remind you that Norwegian cultural life is diverse and developing in terms of organisations and institutionalisation, and that it is actually personalised here from time to time. What does Skei Grande mean that the multicultural field must be more like the Norwegian ethnicity? That's question 1. And question 2: Is Skei Grande satisfied with the budget presented? Would she prefer it to what was already there?
ParlaMint-NO_2005-12-13.ana.ud1051e746	I'm pleased that it's added to culture, but I think that this budget, when we see all the other grips the government is doing, overall will go out on cultural life, cf. the other thing I said. So to personal dependence: I know that the representative Knutsen has a great commitment to, for example, Sami and female institutions. The difference between them and the multicultural institutions that are mostly located here in the city is that they are institutions treated as institutions. They've had a completely different construction. Here are individuals who have been on for 20 – 30 years to build up something, but who are still treated only as individuals with a decent commitment, and not as permanent, established institutions with fixed, established arrangements, with fixed, established grants and with a certain predictability. This is about taking the spark from people who have been trying to build something up for a long time. I think they should be taken seriously for the institution they have built up, and not be treated as individuals who are pleasant to have with them, but who cannot possibly plan the cultural activity they work with.
ParlaMint-NO_2005-12-13.ana.ud1051e754	The cord shift is over.
ParlaMint-NO_2005-12-13.ana.ud1051e757	Let me first give a thank you to the Committee for a good cooperation so far. Although we are a majority government and get a say in our policy as we propose it, of course we want a good and close cooperation with the opposition and a dialogue on how we can best make a policy for Norwegian cultural action. The government’s objective is to become a leading cultural nation in Norway. Cultural policy must respect art and the self-esteem of culture. At the same time, through a cultural promise, we can also contribute to other societal goals such as good growth conditions, quality of life, health, integration, creativity and economic development, and not least to combating poverty and ensuring that everyone is involved in an inclusive society. The goal of the cultural promise is to 1 pst. of the State budget for cultural purposes in 2014. When we discussed the cultural announcement on 1 April 2004, it was said that the cultural promise was to kick open doors, it was populist overdraft and – eventually – impossible to implement. The vow of culture was neither a matter of course, an offer nor an impossible one. We had 24 days to design our option. Then we got space for 166 million. SEK extra, 149 million. kr for pure cultural purposes. We're on route with the Cultural Promise. The budget represents a new gesture in the field of voluntary policy. The voluntary sector means a great deal to our society. We're correcting the 15 million cut proposal. kr i Frifond. In addition, we provide ten new volunteer centres and a number of good measures to strengthen voluntary cultural life. The support for the music villages is an example of such a scheme. Government policy provides for inclusion. Multicultural actions, library services, prison libraries, youth cultural maps, festival support and regional museums offer more opportunities to experience and participate in culture regardless of geography, gender and social divides. The great commitment to Sami culture is part of the picture. The budget also creates jobs. Several can live from their artistic work through the increase to free stage groups, to pop/rock, ensemble support, festival support, support for orchestras and scholarships for artists. Regional theatres and district operas receive increased support. That's 22 million. kr more for literature and library purposes, museums and not least the field of music collected. We're finally going to have to set up a new grant scheme for dance. The new grant scheme and the efforts to secure its own premises for Dansen Hus are a deliberate effort to raise an art form that has sometimes been treated in a vote in Norway. The allocation for the start of work to establish a national pop and rock history centre in Trøndelag, a national scene for folk music and folk dance and jazz scene in Oslo marks an outstanding bet on the rhythmic music genres. Let me say here that it doesn't help much to have strong opinions about localization if you're not willing to put the money on the table to realize the different projects. An important part of the Soria Moria Declaration and the Cultural Promise is to increase the focus on Norwegian films. After years of cuts, the 2006 budget is a completely new one. We'll get more movies. We'll get better movies, and hopefully we'll also get more audiences about Norwegian movies in cinema, so that we get to the goal of selling every fourth ticket to Norwegian movies. Press support is also important. There's been a discussion about it so far. We'll make sure it's not cut into the press support. We want a strong press policy. It would be interesting to hear from the opposition, when you talk about press support, if you also want to take up the big press support, that's the zero rate in the VAT system, which means a lot, or if it's just the production support of the smallest newspapers you want to hit from the opposition. We're also proposing $17 million. kr to a rally-VM. There's been a lot of attention. I can stress that it is a one-off support, but it is important to realize a regular round with the World Cup in Norway. It will bring ring-effects to business life, profile Norway and also make an important contribution to a sport, where we claim ourselves well. For us, the cultural promise is not just money. It's also raising culture. It's giving each child an opportunity to learn how to play an instrument or to participate in theaters. It is also foreign to profile the Norwegian culture and all the many expressions and the good artists we have in Norway. The Minister of Finance has said this: ‘Culture is investment in democracy, innovation and everything that makes life worth living. And good business policy.’» That's why I'm proud to belong to this government, which sees that culture and art can help create a better society in almost all areas.
ParlaMint-NO_2005-12-13.ana.ud1051e786	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e789	The state councils have recently been in the media and launched the foreign idea of what is called ‘Artbank’ – renting art and museum objects. It's great that the Council of State will introduce it. As a former representative of the Committee, the Council of State was involved when we passed the copyright law. It says, among other things: something about the criminality of stealing copyrights. The proposal from the Council of State is a copy of the document No. 8:98 for 2002-2003, which even has a separate comprehensive section on ‘Artbank’. In fact, it was also a proposal which reached a great deal of agreement in Stortinget, also by the Workers' Party, and was unanimously adopted, as far as I remember. My question to the Council of State is: When will the Council of State ensure that the proposal in Document No. 8:98, for which a unanimous greatness went in favour, is put out of life?
ParlaMint-NO_2005-12-13.ana.ud1051e796	I will give the representative Mr Knudsen the credit that this is a matter that the Progress Party has proposed. It is an example of the old slogan ‘Blind hens also find grains’. This is a proposal that we will follow up, but I think maybe the device will be a little different than the Progress Party had intended, because then we talked about Munch and the great masters. Now we might have a little problem with lending Munch paintings right now, and the security issue around the most expensive artworks can be troubling. What we're thinking of is new artists and new works of art, that is, contemporary art, which doesn't necessarily get a market so fast and easily, but which can become known through this. People can see them, experience them, and perhaps eventually become interested in buying them. How fast we can get this in place is uncertain. We have to figure out which institutions are going to have this. Should the ordinary libraries have a separate department, as they have for music and videograms – the Progress Party has been a bit skeptical about the pages of the libraries around – or should it be its own institutions? This is an idea we really want to work on and try to realize, hopefully with the support of the Progress Party.
ParlaMint-NO_2005-12-13.ana.ud1051e803	The President is somewhat uncertain about what blind hens do in this debate.
ParlaMint-NO_2005-12-13.ana.ud1051e806	It is a characteristic of blind chickens that they appear in the most surprising places! I would like to raise a question that may not be in the middle of the budget, but which is an important question for the artists in this country. It concerns the copyright law and the framework for the copyright law in a digital future. A number of concerns have been raised in recent days, and I would like the Minister of Culture to take this opportunity to stress that the copyright law also applies in the digital field in the basic areas of remuneration, copying and publication – i.e. the key areas that need to be protected in the future.
ParlaMint-NO_2005-12-13.ana.ud1051e813	The debate on the copyright law in June this year was a very good example of the spring that became five chickens. Whether they were blind or not – I think the jam was a couple of them blind too. We have reached a broad consensus in the Chamber that all the copyrighted copyrights are entitled to remuneration for use. When we talk about implicitly consenting to use in the wording we had in the comment, it doesn't mean free use. Negotiations shall take place between the parties, as Kopinor does on behalf of its rightholders towards users, whether it is the university sector, municipalities or other users. There are private-law negotiations, in which we don't want to interfere when the parties are sitting at the table. But of course, it's quite obvious that those who have rights attached to a copyright agency also have the right to payment.
ParlaMint-NO_2005-12-13.ana.ud1051e820	The following proposals were supported in the context of the discussion of the growing communication on culture and industry: ‘The Government requests the submission of a comprehensive cross-sectoral action plan in which the food and innovation policy instrument is actively used to ensure a better exploitation of the potential of the cross-cutting field between culture and industry.’ This could be done, for example, by: are tax-incentives. My question to the Council of State is, how does the Council of State want to follow up the decision that was taken? Many people in the cultural field, not least in films, who I know the Council of State is busy with, will be able to get more private capital if so, for example. was tax-incentive for it. If the Council of State could give an answer to that question, it would be fine.
ParlaMint-NO_2005-12-13.ana.ud1051e830	When we dealt with the big message of culture and industry in the previous ageing period, one of our objections, which was then in opposition, was that it was too little concrete in relation to the actions to be implemented and the objectives to be achieved. That is what we are going to do by getting close cooperation, not only between the Ministry of Culture and the Ministry of Economic Affairs, but also between the Ministry of Culture, the Ministry of Economic Affairs and the Ministry of Foreign Affairs, so that we get a full commitment with the usual economic policies. We should also involve the Ministry of Local Affairs and the Ministry of Economic Affairs and the Ministry of Foreign Affairs, combined with the export of Norwegian art and culture – and through it have a comprehensive policy to establish good, viable jobs in the highly expanding business area of creative industries. In addition, we have announced that we should have a review of the living conditions of cultural workers and artists. Many are self-employed, and many have low incomes and are poorly covered by the usual social welfare schemes, which means that fewer people dare to invest in a profession and a career in these areas. It is also an essential part of the commitment to this as an economic pathway. We're going to work as fast as we can, and we're definitely going back to Stortinget with different grips in that regard.
ParlaMint-NO_2005-12-13.ana.ud1051e837	I have two questions that are important for the Christmas peace in the country. I raised the questions in my post, but since it is not only my peace it is about, but also about others, I would like to ask them directly to the Council of State. One is about Stavanger. I know what the plan of the previous Minister of Culture was: to distribute the grants over the years and to achieve what was promised in relation to Stavanger as a city of culture. It has not been agreed by the majority at the committee's hearing, but I hope that the Council of State can clarify it here, so that they can plan as usual. The second is about the folk music scene at Schous, which requires predictability in order to conclude the long-term lease, as the boat is now going. I'm very happy if the Council of State can clarify these two things, so Christmas peace can sink over both Stavanger and the folk music world.
