ParlaMint-NO_2005-05-25.ana.ud521e28	The representative of Jørund Leknes will make a private proposal.
ParlaMint-NO_2005-05-25.ana.ud521e440	I fully agree with Magnhild Meltveit Kleppa that well-being is not primarily a matter of statistics. For me, it is a question of individuals who are going to have the well-being they claim. For entirely natural family reasons, I am actually around some age institutions for the time being, and I am still reminded – probably many others are – that this is about the need for care and well-being of individuals. I fully agree that it cannot be covered by billions or by statistics. There are still many elderly people and others who are not getting the help they need. But then it must also be allowed to show that there are actually more people who have got it, and who have got it better. There are many older people who say they're satisfied with it. Then there's a part that hasn't got it. We're now going to work together to give them a better offer. We must do this both by streamlining services and by increasing transfers to the local government sector. And then we get to keep track of the economy, so that this isn't eaten up by an increasing price rise.
ParlaMint-NO_2005-05-25.ana.ud521e447	Kristin Halvorsen – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e450	It's a good idea to travel around the municipalities without seeing or hearing what's real. The Prime Minister is now trying to describe a reality where things are going a little bit late in the future, but it's getting a little bit better every day. But that's wrong. What today's news shows is that it's going the opposite way. It goes back. There are now more nursing people over 80 years in Norway who need a sick home, who are in line, who do not get enough room than they were before. And then it goes the other way. Then I have to ask the Prime Minister: the shortages in Norwegian care for the elderly are many examples of every day: people who get less home help than before, relatives who like to go on vacation, but who don't dare leave the farm because they can't go into their old mother, and there's no relief place. Will all this information on the actual status of the care for the elderly help the government change its policy, so that we can end it going backwards, and start it going forward? Or is it a government shift that is needed to get to it?
ParlaMint-NO_2005-05-25.ana.ud521e457	At least that's not the last one! With lots of money to spend so much money that we get a price rise and an interest rate rise, and a poorer local economy, it's much better that the co-operation government continues to expand the care of the elderly. When I travel around, both I see and I hear – I think as well as Kristin Halvorsen, I don't think she should take patents on being the only one who does it – about big flaws, and I see that something is getting better. I'm taking both of them with me. We learn from the last, that is, from what goes better, to help those who still have clear flaws in care. There has been cross-political agreement on this in Stortinget. Thorbjørn Jagland will have the honour of presenting proposals for a stepping up of care for the elderly, with the development of institutional facilities, mainly nursing homes, because there was the greatest deficiency. There we have, as far as I remember on the move, over 20 000 new ones. It is an improvement for many people. We've got a few more sick places, but not enough. Extension must continue.
ParlaMint-NO_2005-05-25.ana.ud521e466	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e469	Let me first remind the Prime Minister that it was a decision in Stortinget during a throne debate – a unanimous one – to get a rapport plan for the care of the elderly that was the background, and not a measure by the government. I am sure the Prime Minister himself will remember that he voted in favour of the proposals of the Progress Party. The Prime Minister said that anyone who needs a hospital or care centre will get it. Why, then, is the Prime Minister opposed to obtaining legal rights with regard to public or state-owned services in this area? A lot of municipalities say they don't make it a priority to build hospitals, and they owe it to the weak economy. It may be because you have built a cultural house and a new town hall, but it is at least a weak economy they owe. Why should this not be financed by the transfer from the Rikstrygdeverket to the hospital and the care provider, so that each user has the freedom of choice? The money comes automatically, it is a piece of finance for the offer that the person chooses – i.e., rikstrøgdeverkfunding instead of municipal funding.
ParlaMint-NO_2005-05-25.ana.ud521e476	That is because no matter who is responsible, the state or the municipalities, it must be given priority at last. We don't have a sarep truck. According to the opinion of the Progress Party on publicising care services and welfare schemes at all, we should also be able to place the kindergarten sector fully in the country, and we could put the school sector fully in the country. The money has to follow the kids, the money has to follow the older ones – and then you think you're getting away from the priorities. Of course you don't. Whether it is the municipality or it is the state, an actual priority must be given, even though the Progress Party obviously has a completely different budget to deal with than the other parties. When we also think it makes sense that the municipalities have the primary responsibility here, it is because they are the closest possible inhabitants. They're the ones closest to the older ones. They're the ones who know where the shoe prints, and they should make the priorities. Of course, believing that money can follow every citizen of Norwegian society, no matter what welfare schemes they benefit from, will bring the economy completely out of control. We can't have that kind of control. Then it's eaten up by a price and interest rate increase.
ParlaMint-NO_2005-05-25.ana.ud521e485	Let's move on to the next main question.
ParlaMint-NO_2005-05-25.ana.ud521e488	I also have a question for the Prime Minister. Work is the most important bulwark against poverty. There are 100,000 unemployed today. There are 30,000 more than that when Bondevik became prime minister of his last government. So there are several people who are trapped in the trap that they can also become poor. My question to the Prime Minister is therefore quite specific: Is the Prime Minister satisfied? Is he satisfied that there are 100,000 unemployed? Although the economy is going well, the unemployment rate is going back very slightly – very slightly. There's hardly enough movement on the statistics from a year back. And above all, is the Prime Minister satisfied that there are 30,000 more unemployed today than when he took over the last government, and does the Prime Minister realize that there is a link between unemployment and poverty?
ParlaMint-NO_2005-05-25.ana.ud521e497	Yes, there is a clear link between unemployment and poverty. I also said that in my answers to the question of poverty reduction. The main response to poverty is to bring more people into work. Now employment is increasing. We expect that the number of persons employed will increase by 18 000 from 2004 to 2005. When unemployment does not go down as much, the reason, as Hill-Marta Solberg well knows, is that more people report to the labour market. But employment is increasing. I'm not satisfied with today's unemployment level. I want it to go down further. Now Hill-Marta Solberg can go back and talk about the statistics when we started. Then, of course, we can go back to the working party government where Hill-Marta Solberg was sitting, which had far higher unemployment rates than it has been under our government. We had the top when the Labour Party leader was Minister of Industry. Then we had a record of being available in modern times. But such a discussion I don't think it's so very interesting that Hill-Marta Solberg pulls forward. I think it's much more interesting to look forward to. What do we do to get the free space down further? Then we focus on innovation and innovation, as this government has done. We're counting on companies to become competitive, i.e. that the level of costs is kept in check, at low prices, at low interest rates, with moderate income settlement. This government has succeeded in contributing, and I will also pay tribute to the social partners who have contributed in terms of income policy. Then we don't live in Norway in isolation. We live in a Europe and with a world around us. It may be interesting to see that we have a much more favourable development in employment now than in other countries in Europe. Since Hill-Marta Solberg is a social-democrat, she is told that in the social-democratically driven countries of Sweden and, in particular, Germany, unemployment is rising sharply. It is not certain that social democratic medicine is the best – on the contrary.
ParlaMint-NO_2005-05-25.ana.ud521e508	Once again, we were told that the Prime Minister is standing on the pulpit in Stortinget and is delighted that Jens Stoltenberg was the Minister of Industry, who is during his reign. It's a strange experience to witness again. My question is: Does Prime Minister Bondevik tell stories about the unemployed under Stoltenberg and about the development of socially democratically run countries if he meets some of the 30,000 more who have become unemployed while he has been prime minister? Is that the only answer the Prime Minister has for the unemployed?
ParlaMint-NO_2005-05-25.ana.ud521e516	No, of course not. And I'm not happy that the time off was so high under Stoltenberg and Solberg. I'm very sorry about that...
ParlaMint-NO_2005-05-25.ana.ud521e521	It just looked like this.
ParlaMint-NO_2005-05-25.ana.ud521e526	I am very sorry that there was such a high level of leave. But Hill-Marta Solberg has to endure hearing this without being very irritated, when she herself draws out what the leave was like in 2001. She goes back in history, and then she has to bear that some of us have also looked at the statistics under the Labour Party government. But as I said in my first answer, I don't think this is the most interesting, I think it's much more interesting to look forward. That's why I don't talk to the unemployed about old statistics, which Solberg likes to bring out. Then I'm talking about what we can do to get them back to work. In addition to the measures I mentioned, we have also strengthened Aetat to increase their ability to bring people from passive social security into work. In particular, we have increased measures in the case of job-seekers with disabilities, which are some of the weakest in the labour market. This is concrete.
ParlaMint-NO_2005-05-25.ana.ud521e531	I must ask for the floor for a manifest misunderstanding.
ParlaMint-NO_2005-05-25.ana.ud521e536	I'm sorry. That's no reason. Time allows only one follow-up question, and it is from Karl Eirik Schjøtt-Pedersen.
ParlaMint-NO_2005-05-25.ana.ud521e539	When the number of poor has increased by 25 pst. in two years, i.e. during this period of government, there must be a very clear signal that the Government has failed in the area that the Prime Minister has produced as the main measuring point for this government's policy. So during this period, unemployment has increased by almost 50 pst. in relation to what it was when this government took over. Does the Government believe that it is a correct answer to this strong unemployment that a significant increase in overtime has been allowed in enterprises instead of creating jobs for those who are unemployed? And the Prime Minister believes that there is a good response to the unemployed, who have already received a substantial reduction in their wages as a result of their transition to unemployment benefits, that this government has actually reduced unemployment benefits by up to NOK 20 000–25 000 per year. year for one year off? Does it increase poverty, or does it reduce poverty?
ParlaMint-NO_2005-05-25.ana.ud521e546	As far as poverty is concerned, to reopen that debate, the most important thing for me is that the poor get better. I think that's actually more interesting than statistics and median income. We've been through this before. The number of students has also increased by 6,000 during the period covered by this survey. It actually turns on the so-called poverty statistics, but I don't think anyone thinks it's regrettable that we're getting more students. So I'm asking Schjött-Pedersen to stick to what we're going to do for the poorest. We don't know the outcome yet, and as for the outcome of our poverty plan, we'll know more about the total impact of this at the end of this period. The statistics to which Schjøtt-Pedersen referred went until 2003. It is therefore not right to say that our action plan has failed. In the case of unemployment, it is on its way down. We're not satisfied. It shall be further down. The working party, when drawing figures from earlier under this government, must be able to hear how this is done, for example. was during the reign of Schjøtt-Pedersen. In the case of overtime, the total overtime capability is not increased. It's actually reduced in a certain way; we've created more flexibility when you can take out overtime.
ParlaMint-NO_2005-05-25.ana.ud521e555	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_2005-05-25.ana.ud521e561	The President will inform the representatives that there are currently no changes to the agenda for Question Time. That means we can go straight to question 1, which is from the representative of Inge Ryan to the Minister of Labour and Social Affairs.
ParlaMint-NO_2005-05-25.ana.ud521e568	‘From 2007 onwards, the new residence for work and well-being shall be in place throughout the country. This happens at a time when social security skills are being built up in many small municipalities that are already lacking the skills of Aetat. Many fears that small municipalities will easily receive a B-stamp in the new establishment. What will the Council of State do to ensure that our smallest municipalities have good competence in the new welfare state, and does the Council of State think it is a good strategy to reduce social security competence by removing positions in our smallest societies?’
ParlaMint-NO_2005-05-25.ana.ud521e575	In St. prp. No 46 for 2004-2005, New Labour and Welfare Administration, which is now to be dealt with in Stortinget, the Government has introduced clear leadership and demands for a new establishment. All users shall be provided with a physically accessible labour and welfare office to which they may apply. The Office shall be a recognisable gateway to the overall services of the labour and welfare management, and it shall be located in all municipalities, but with the possibility of inter-municipal solutions where one considers this to be desirable locally. These offices shall provide a rapid and comprehensive clarification of needs and a coordinated service provision. At the same time, there is a requirement for the Agency to provide all necessary coordination both within the labour and welfare management and against other relevant services for users. Users shall be provided with equivalent, individually adapted service, an offer irrespective of the resources and competences located in each local labour and welfare office. The total system shall be available to each user through this gateway. These shall be essential framework conditions for the development of the new state budget. They have just been formulated to ensure that the representative Ryan and I are also very concerned about. With such a starting point, local cooperation partners, the municipality and the new state budget should be given a high degree of freedom of action to find concrete solutions tailored to local needs and challenges. In most parts of the country, there will be a basis for the establishment of a labour and welfare office with an on-site staff with a breadth and competence to continuously address complex needs. However, given the Norwegian municipal structure and given very many complex tasks, neither can or should you have employees everywhere who, through their own competence, cover it all, both in width and depth. The development of those who use the services also requires specialisation in order to be able to make an adequate offer. The new state budget must, as is also being done within today's institutions, constantly balance the consideration of user proximity with the consideration of competence and quality in dealing with the needs of users. In the proposal submitted, the Government has taken the view that users should in any case be able to have contact with the administration via their local office. The main organisational principle shall be the acquisition of competence to the user. At the same time, there is a high level of competence in the reform, including: to ensure that all offices — not least small ones — meet users in a qualitatively good way. So I would also mention that a lot of work tasks do not require physical proximity to the user. These can often be solved more effectively in their own environments of competence, which in turn will release resources for the user-oriented work of local communities. These include: this has been the development of today’s social security system, to which the representative Ryan refers. The social security system, which exists in each municipality, manages a complex set of rules, which imposes the right to access and detailed knowledge. With the municipal structure we have, there has been a need for coordination of a number of services that require special proximity to the user.
ParlaMint-NO_2005-05-25.ana.ud521e590	Thanks for the answer. First of all, I just want to stress that SV and I are happy that you come up with a new welfare seat. I think the thinking that the Council of State stands for is right. What surprises me is that in the last two to three years, the social security offices, existing in all municipalities, have lost a lot of jobs. I was last week visiting a couple of municipalities where they had halved the number of employees in the social security office in the last year. If I had been sitting in the Council chair, I'd rather have wanted to build skills around the social security offices when they're also going to get in Aeta's functions. We know that Aetat today only has a few municipalities, in the large municipalities, but you don't have it in the small municipalities. I think it would have been natural to say that now it is a year and a half until we get the new welfare office to go, and that we need to fill in with more competence among the employees at the social security offices we have, among other things. with the competence and competence of Aetat. But what we see is that you build down. It makes us in SV worried.
ParlaMint-NO_2005-05-25.ana.ud521e599	Let me first say that in my opinion, what we're doing is consolidating today's welfare management to also be able to serve the small municipalities. The fact that we make a common front with the municipalities and the two current state budgets will provide an opportunity for a stronger and heavier presence in all municipalities that would not have been there if we had continued with today's fragmented model. As far as developments in the future are concerned, the purpose of the arrangement we are now preparing is to build skills. The reform we are about to implement is, to a large extent, a reform of competence. However, it does not necessarily mean having a full-scale labour and welfare office with broad and deep competence in all municipalities. I think most people will realize that the municipal structure we have in Norway is not possible. It won't provide the necessary quality.
ParlaMint-NO_2005-05-25.ana.ud521e606	In the past, I was the rapporteur in a small municipality who tried to get to a public service office there, among others. social security offices and equality offices should be active participants. What you experienced at the time was that state agencies, when you came to such cooperation projects, actually got very excited to participate. It was regulation and also resource use that kind of made you look limp. Can the Council of State at this time promise that there is a little more offensive on the part of the State when you go in with the municipalities, so that the municipalities don't have to bear too much of the burden and almost have to push things through to make it work better? Question no. 2 is: When a municipality that has previously had three persons in the social security office is now sitting with one, does the Council of State see that there is a satisfactory staff to serve a welfare office?
ParlaMint-NO_2005-05-25.ana.ud521e613	The answer to the first question is definitely yes. Just because of the consideration that Ryan pointed out, the government has proposed to the Stortinget that we legislate the common front between municipalities and the state of the labour and welfare administration. This means that a local counsellor or social security officer cannot reserve himself against the development we are going to have. It will be compulsory by law decisions in Stortinget. As far as manning is concerned, I would say that the possibilities of getting a good enough crew in each municipality are increasing when we open up cooperation between the state and the municipality on the problem resolution, as we do in the proposition I referred to. This will allow you to see the problem solution across the main division between state and municipality.
ParlaMint-NO_2005-05-25.ana.ud521e625	I will ask the Minister for Health the following questions: ‘Neurosurgical surgery is a highly specialised subject, often complicated and risky intervention. The surgeons need training, and there is a deal that one needs a population base of about 1 million inhabitants to maintain enough training and quality of treatment. In Health West, the neurosurgical supply is fragmented – in Bergen and Stavanger. The professional advice was that planned brain operations should only be carried out in Bergen. What is the reason why the Council of State intervened and got the Governing Council to take decisions contrary to this Council?’
ParlaMint-NO_2005-05-25.ana.ud521e634	First of all, I would like to stress that I have not intervened and superseded the decision to locate the neurosurgical offer in the Health West. This is a decision of the regional health enterprise and is in line with the ownership reform introduced by the government of Stoltenberg. Neurosurgery is a highly specialised medical discipline, requiring both a stable and sufficiently large patient base and predictability. In order to ensure the necessary professional basis, cooperation between two entities may be desirable. If the representative of Frøiland goes in and reads the decision of the Health West Board in March, this is based on two basic principles. Firstly, there should be mutual professional cooperation in neurosurgery between Stavanger and Bergen, based precisely on predictability and continuity. Secondly, the current scheme involves a thorough documentation of the activities and an evaluation of the results in one year’s time. I am aware that there was a professional recommendation to gather the brain operations involved, planned brain tumor surgery, one place in the Health West, namely in Bergen. I received a number of enquiries prior to the current board meeting. I then chose to meet, among others. Rogaland magnification representatives to hear more about the matter, as they saw it. This is a practice I feel reasonably confident that also former government councils are familiar with. Although decisions are taken by health businesses, it is important that we, as responsible politicians, listen to the reactions this is taking place in society and that they are communicated to the current board. However, it was Health West's government that changed some of the premises and then made a decision that more strongly obliges mutual cooperation between Stavanger and Bergen. Finally, let me repeat what I said in my reply about the same matter to the representative Meltveit Kleppa – the day after the current board meeting: ‘As far as I can see, the grips of the Health West Board are essentially part of a functional distribution with clear qualitative objectives, and it is important to put a line under ‘qualitative objectives’, related to the treatment of brain tumours. This type of adaptation of the tasks in the regions within a discipline is based on medical professional judgement and, in my opinion, is within the scope of action which the RHF Governors must and must have, and in line with the responsibilities that we have given to the Governing Board.’;» I am still in favour of this assessment.
ParlaMint-NO_2005-05-25.ana.ud521e652	I thank the Council of State for your answer. I will assure you, if necessary, that I have read both the decision of the Health West Board and the setting that came before it. In that setting, the professional board was clear. Meltveit Kleppa said in his question to the Council of State that it was wrong to take the setting that was set to be taken. So one felt reasonably sure that it would be taken another decision than what the Council of State seemed to say he had not intervened. But when I read his answer again, he also says, ‘As long as we have a telephone in this country, I think it will go brilliantly in the future too.’ And there is no doubt that the council has made contact with the board of Health West, which made a different decision. But my question to the Council of State is: does he feel comfortable with the professional assessments that are made here, that Health West's board has made a different decision and has not followed the professional advice, after telephone calls from the Council of State?
ParlaMint-NO_2005-05-25.ana.ud521e661	It is definitely that I called the director of Health West to convey the message that, among other things. Tore Nordtun and others from Rogaland had led in the field. We are well aware that the postal address is important for where we believe the activities should take place in the healthcare system. We have a lot of experience for that. With regard to the professional content of this matter, it is not the case that the Ministry assesses the professional content of the matters decided upon by the Board of Health Companies and Hospitals. We don't do professional reviews of it. This does not mean that from time to time there are no issues that get so much attention that we also have to do it, and consider whether we should intervene. It could be the closure of maternity wards, it could be the relocation of surgical wards and whatever it might be. In this case, we have full confidence that the board of Health West’s decision is based on a professional basis that they hold, and I have also been confirmed by Health West.
ParlaMint-NO_2005-05-25.ana.ud521e668	When the Council of State has contacted representatives from Rogaland, he is, of course, fully entitled to do so. In the Health West region, it is Hordaland and Sogn and Fjordane in addition to Rogaland. So we had of course appreciated that we were also contacted. But we actually felt very happy about the setting that was leading to the board that day, that they would preserve the whole Health West's interests when it pertains to neurosurgery. What can happen now is that the population base is too small to achieve the quality of operations both in Stavanger and Bergen. Then the surgeons will flee to the Austland, and the patients will travel to the Austland. So more than the struggle between Stavanger and Bergen, I am busy that in the Health West we should have such a large basis and so competent surgeons that they can operate and do the necessary interventions, and then we need a population base of about. 1 million inhabitants. It's the professional assessments here that I'm very afraid will fail, and then one will be able to escape to Austland.
ParlaMint-NO_2005-05-25.ana.ud521e675	Let me start by saying in my last answer that I feel quite certain that neither the politician Frøiland will have difficulty finding matters where she has had a strong commitment to professional recommendations. If we had followed all the professional recommendations in the Norwegian health care system, the map we have would have looked very different than the situation now. Then it's not right that the Council of State made contact with Rogaland's big bench. It was Rogaland's bench that was active and made contact with the state council. I don't remember getting such an enquiry from the Hordalands bench or Sogn and Fjordane bench. And so I have a standing system for this: at the moment I get an enquiry from Stortinget, I usually come back in 24 hours, a maximum of 48 hours. I would also have done that if the Hordaland bench had been so proactive and taken such an initiative. The entire West is represented on the board of Health West: Sogn and Fjordane, Hordaland and Rogaland. And Health West's regime balances the responsibility, even geographically, and I have full confidence that they have done so in this matter as well.
ParlaMint-NO_2005-05-25.ana.ud521e686	My question goes to the Minister of Health and Welfare and is worded as follows: «According to PRISY, Joint Organisation of Private Hospitals, regional health establishments do not comply with the tendering rules for the preparation of invitations to tender. An overview shows that neither Health Mid-Norway nor Health Nord introduced quality criteria, and no one introduced criteria for epicrisis time. The waiting time from consultation to treatment was interesting only for Health South. Will the Council of State take a closer look at this practice and require a better follow-up of the rules on tenders?»
ParlaMint-NO_2005-05-25.ana.ud521e695	The care of regional health enterprises involves the purchase of services from various private providers. It is, of course, provided that this is done in accordance with the applicable public procurement legislation. On repeated occasions — and at the latest during business meetings with regional health establishments in January of this year — the Ministry has underlined the importance of regional health establishments practicing the orderly and proper management of various private service providers. At the same time, it is clarified and repeated that the activities of health establishments are to be carried out in accordance with legal and regulatory requirements. Of course, this also applies in the field of procurement. In the case of specific calls for tender, regional health establishments have degrees of freedom to determine which assessment criteria are most appropriate for the purchase of services from private operators. There may be different views among different actors on which assessment criteria should be used and how these should be given weight. Concrete criteria and requirements could differ in different calls. However, I assume that the necessary requirements for quality and soundness are met in the agreements that are concluded. For example, in relation to possible criteria such as the epicrisis period, I would like to point out that Health Nord did not include this as a specific criterion in the competitive basis of its purchase of services from private hospitals in 2004. However, the epicrisis period was one of many elements asked in the negotiations with private providers to assess the quality of the service. The supplier was selected on the basis of an overall assessment, where the quality aspect was both an expressed criterion and had an impact on the choice of the provider. As I have previously informed Stortinget about, as Minister of Health and Welfare, I have stepped up the purchase of enterprises in accordance with the applicable public procurement legislation. As the owner of regional health enterprises, the Ministry will, of course, continue to pay attention to the fact that this is followed up by health enterprises. In addition, I can say that I have had a meeting with the organisation that the representative mentioned in his question, namely the Joint Organisation of Private Hospitals, which has also pointed out to me some of these things in front of the business meetings I had in January. I have taken that up naturally and of course with the companies, in order to get as good a tendering process as possible and in line with the legislation applicable to public acquisitions, which I also made while I was Minister of Industry.
ParlaMint-NO_2005-05-25.ana.ud521e708	I thank the Council of State for the answer. For me, it is somewhat incomprehensible that not all regional health establishments have the same tendering rules when purchasing services. Nor can I see any reasonable explanation as to why several companies omit the requirement for an epi-crisis time and not least the requirement for quality. To me, this seems quite unprofessional. In particular, I would like to stress the importance of having established procedures for the discharge of epicrisis, and that these take place within the shortest possible period of time in the interests of the after-treatment of the patient. This also has to the greatest extent to do with service quality. I would like to ask the Minister for Health: can there be a lack of professional competence in healthcare companies that makes the tendering requirements so varied from one company to another?
ParlaMint-NO_2005-05-25.ana.ud521e717	Actually, I don't have reason to claim that. I believe, however, that we must be so honest as to say that the competence in obtaining tenders was probably not the same in the day one after the reform was launched. There have been cases in which the National Audit Office has pointed out that there has been no compliance with the regulations, and this has been a natural part of the internal training they have had. However, I feel after having been around some of these companies to just look at the procurement, that the practice is very different. Just as if you don't think when you're going to get hundreds of offers in the five health companies, that they will necessarily be made completely identical even if it's the same law that's on the ground, it would be that if the Great Britain's 165 would ask for a price on a car, the specifications will vary, even though it's actually the same quality that you're looking for. And then there are contract negotiations, and then there are such additional questions. Epicrisis time will be one indicator of the quality of an offer, of course.
ParlaMint-NO_2005-05-25.ana.ud521e724	I thank you again for the answer. Quality criteria may be difficult to demonstrate, but one such criterion is patient satisfaction, which should be used to date for the evaluation of tenders. It is the patient and not least the patient’s relative who should at all times have the best knowledge of how he or she is satisfied with the treatment in a hospital or clinic when one looks at the total and not least at the information and communication between patients, doctors and relatives. The Minister for Health has partly answered my question, which was whether the Minister for Health will take the initiative to get some more uniform rules for tendering as far as this is practicable, but he would like to repeat the answer.
ParlaMint-NO_2005-05-25.ana.ud521e733	Is that what the Council of State wants?
ParlaMint-NO_2005-05-25.ana.ud521e736	Yes, President. But I don't think I have the opportunity to repeat it, at least not verbally, because it was a nuance compared to taking the initiative on what is going on in the invitation to tender. I had a very strong focus on exactly what is going on at the invitation to tender. I'm busy with two things. One is that one should follow the rules that, after all, are laid down. And the second is that there has to be equality when you get tenders, so that the different, possible suppliers can relate to one thing. I recognise that the initial specifications for tenders were too loose, and it was therefore too difficult and random which choices were made. In dialogue, inter alia: with PRISY, I think we have come up with a better basis for obtaining a tender. Patient satisfaction will always be an important criterion. Fortunately, we live in a country where patient satisfaction is very great. This applies both in public and private hospitals. That satisfaction I think could be further reinforced by the fact that you have a focus on the representative Alvheim here.
ParlaMint-NO_2005-05-25.ana.ud521e749	I want to ask the Minister of Defence the following questions: ‘The defence continues to dispose of a lot of equipment which is no longer necessary for the defence, including: M6 trucks provided from the United States to Norway. Some of these have ended up in North Korea, as help from Norway. Does the Council of State consider it appropriate to dispose of equipment which is not formally owned by Norway and that it must be cleaned up before it is disposed of?’
ParlaMint-NO_2005-05-25.ana.ud521e758	Procedures for the disposal of superfluous material from the Defence Department are set out in the Ministry of Defence's material management guidelines of 20 December 2004. Both current and previous legislation provides that materials of American origin are to be disposed of according to American guidelines. This implies that the transfer of material of American origin on a case-by-case basis is subject to approval by the US authorities. The M6 trucks in question were transferred to Norway as part of the Marshall aid. We committed ourselves not to transfer the material to other owners without prior approval from the US authorities. As a result of the conversion of the Defence and the desire to support Norwegian humanitarian organisations, approximately a transfer was made in 2002 and 2003. 1 100 trucks to Norway's Red Cross. Formal transfer of ownership provided for approval by the US authorities. Norway’s Red Cross has been given two rounds of M6 trucks. The first shipment took place in the summer of 2002 and covered approx. 200 trucks. The application for retail authorisation of Red Cross was sent to the US authorities on 9 July 2002 and was granted three weeks later by the US authorities on 1 August 2002. The second transmission took place in the summer/harvest 2003 and winter 2004. The Red Cross was then transferred to 900 trucks. A prerequisite for the transfer was the approval of the US authorities. Therefore, all registration cards were also retained and remain in the custody of the Defence Logistics Organisation. Nor has the sales message been sent. The application for approval was sent to the US Embassy on 16 December 2003. But the U.S. Embassy has not received any response. Pending the formal approval, Red Cross chose to allow part of the trucks to be used for humanitarian operations in North Korea, Haiti and Chad. On January 23, 2004, Red Cross sent a letter to the U.S. Embassy that they were transferring the trucks to Chad. The FLO received a copy. Following the flood disaster, there was also a precarious need for truck capacity in the river basins. In this connection, the Red Cross 63 vehicles were transferred to the Indonesian Red Cross. In North Korea, the Red Cross states that the five trucks concerned were painted white and clearly marked with national Red Cross symbol. According to reports, they have been used by the Red Cross in a health programme for the transport of medicines and medical devices in an area covering 2,300 health institutions, which again reaches 8 million people. For this the trucks are very suitable, they have good terrain characteristics and can reach remote strokes. However, all further exports of vehicles have been stopped. It will be further clarified in the Ministry of Defence’s guidelines to the FLO that, according to the applicable guidelines, end-user acceptance is to be reserved.
ParlaMint-NO_2005-05-25.ana.ud521e777	I thank the Council of State for the answer this time, and for the answers to the questions I have had in this four-year period. Well, this is going to be the last question of this kind -- we'll see what time is going on. It was to the extent of a complementary and good answer, which refers to what has happened, and what hopefully will happen. What I want to clarify is that the defense is to be clean about everything you own and what you use. We have different ownership relationships to equipment in the defense, we have loan relationships, we have rental relationships, and we have things that we kind of just have. If we are to dispose of any of this equipment, we must have a good relationship with who owns it, and in this case Norway was not the formal owner. Then it has to be cleaned up before you give things away. There is a little correctness to the defense, as I see it, but there is also perhaps a correctness to the Red Cross, who has not followed up this. The rules you have on how to do it when you give things away are clear. Therefore, I ask the Council of State once more: will this be cleaned up in both the equipment that has already been given away and the equipment that will be given away in the future?
ParlaMint-NO_2005-05-25.ana.ud521e784	I also thank you for a good and pleasant dialogue over a long period of time. I fully agree with the questioner, the existing legislation must be followed. There's no doubt about it, and it's clear that the FLO should make sure it happens. At the same time, I would like to remind you that the first shipment of trucks took place with the approval of the authorities, the embassy replied. However, in the case of the second transmission, which was completely parallel to the first one, no response was received. There is no excuse not to make sure that you actually get an answer before transferring the trucks. At the same time, I would like to stress that it must in no way be produced as if these five trucks to North Korea were somehow the transfer of war material to the North Korean state. Here it is important to stress that the Red Cross has a responsibility to help people in need, including those in need under a dictator, and I find no reason to question the fact that these five trucks to North Korea have actually been able to provide important help to 8 million people.
ParlaMint-NO_2005-05-25.ana.ud521e791	I thank you once again for the answer, which was a good answer. We certainly all agree that this is a good use of equipment that the Defence does not need anymore. I know well about the M6, I know the driving characteristics, and M6 trucks are very suitable for this type of purpose. I also have no difficulty in continuing to give away this kind of equipment and other equipment to such organisations, but the ownership relationship must be clarified before we give anything away.
ParlaMint-NO_2005-05-25.ana.ud521e798	We are in complete agreement here.
ParlaMint-NO_2005-05-25.ana.ud521e803	It was today's last question, and case no. 1, Question Time, has thus been completed.
ParlaMint-NO_2005-05-25.ana.ud521e814	There is no record.
