ParlaMint-NO_2005-03-02.ana.ud817e28	The called alternate of the Hordaland County, Pål Berberfjord, has taken the seat.
ParlaMint-NO_2005-03-02.ana.ud817e473	First of all, let me say that the representative of Storberget addresses is affordable and good. It is related to his excellent interpellation from a week and a half ago on the fight against black economy and money laundering. It is important to note that the law belongs to the Minister of Culture and the Church, and she has said that, without waiting for the international directive, she will strengthen the law to combat pyramidal games and all that is involved in this. I would like to add that in connection with a matter which I have, namely the reform of disputes, there will also be a strengthening of the possibility for the public to go after those who are in the business. In general, the Government, through its action plan against financial crime, cooperation between police and tax authorities, and through the strengthening of tax auditors, reinforces any efforts against economic crime and against money laundering. And exactly what the representative Storberget here takes up, belongs to the speculative and very unsympathetic features of this.
ParlaMint-NO_2005-03-02.ana.ud817e482	I thank you for your answer. This is a description of the issue and, in the view of the Workers' Party, neither an active Eva Joly nor action plans in relation to this type of crime. There is reason to be concerned when we know that two years ago, Ecokrim received money laundering messages worth over 150 million. kr in Norway, without lifting a finger. This suggests that in Norway there is a higher risk of being discovered by stealing 7-Eleven chocolate than by money laundering through established financial institutions, 150 million. kr. So what's really the question then is: is the government now willing to increase its efforts in relation to this type of money laundering problem, and also take hold of these pyramids, so that we get a satisfactory piece of legislation like, among other things. Will there actually be a ban on several establishments of this kind — and can more active action be taken than what is actually being done today? That's the question.
ParlaMint-NO_2005-03-02.ana.ud817e489	The representative of Storberget addressed this question in an excellent interview on 17 February. I notice that the tone has become somewhat sharper over a week and a half, but the content of the opinion has not changed. At that time, there was broad consensus in the Stortinget, and the representative of Storberget was pleased with that consensus, namely on how to put forward the Government's action plan against economic crime, how to get more money laundering messages. I indicated that Ecocrim has been strengthened in its budget, including: on the money laundering page, and I asked for a status report per 1 March this year – that was yesterday – just to make sure we keep the pressure on it. I made it clear that pressure will be held, but pressure requires more than police action – it requires efforts from tax authorities. I commend the tax auditors as everyday heroes, who are not praised enough, and the Minister of Culture has said that she will sharpen the necessary legislation. So there's a pretty broad effort going on here, and from the government's side, all measures against organized crime are also strongly driven forward, and fortunately with broad support in the UK.
ParlaMint-NO_2005-03-02.ana.ud817e496	There will be three follow-up questions – first Gunn Karin Gjul.
ParlaMint-NO_2005-03-02.ana.ud817e499	I'm glad that the Council of State takes this kind of crime so seriously, because it's important that we get to prosecute those who trick people into the pyramid game, and who trick them into hundreds of thousands of dollars. Therefore, it is important that we get a law, but it is also important that the police have both the capacity and not least the competence to do the job that comes after. We know that the number of ecocrims being investigated is now very low. Under 2 pst. reports received by the police are related to Ecocrim. Actually, what we see is that the number goes down. We know that Ecokrim is also struggling with old equipment and low manning. I want to challenge the Council of State, so that we also hear about measures, not just plans.
ParlaMint-NO_2005-03-02.ana.ud817e506	Now some important measures were put in place in the budget agreement for the current year in an agreement between the government parties and the Progress Party which significantly strengthened the efforts of the police. The working party invested less money on it. You preferred to bet on criminal custody. That is a fair and honest priority. But in the interpellation debate on 17 February, there was a broad consensus in the Stortingen on both strengthening the police side, strengthening the tax side and strengthening the cooperation side and – I repeat – also the law that belongs to other government councils, for this is seen by the Government as a whole. The representative of Storberget, who is no longer here, said that the Eva Joly project no longer lasts. But it is very important to be a pioneer, especially when it comes to mobilising cultural construction and ensuring that culture is working together. You can't command culture. It must be created. The fact that we have some traveling emissaries who make sure people shake off, I thought I was going to get excited in the main hall! And especially traveling emissaries against crime, I thought at least I would arouse enthusiasm in the Workers' Party.
ParlaMint-NO_2005-03-02.ana.ud817e513	Audun Bjørlo Lighthouse – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e517	Unfortunately, there is no reason to be particularly excited about the government's efforts in the pyramid game. What we are seeing now is that Finland is able to fight the World Games, while Norway is not able to do so. It is simply because for years the government has been involved in putting in place a law, and has opened the country to pyramidal games. It is more difficult in other countries to have stricter laws. Now there's to be a law. We're going to hope that it'll be strict enough to, for example, can hit the World Games. But what we know is that a good law doesn't help if you don't have the resources to follow up the money laundering messages like that. comes in connection with the pyramid game. We saw that in the T5PC case last year that Økokrim didn't have. The finance committee held a seminar last week in which it was said quite clearly from the money laundering unit that they have too few jobs. I would therefore like to ask the Minister of Justice specifically whether he can guarantee that there will be money and clear leadership that will give you more jobs in the Money Laundering Unit.
ParlaMint-NO_2005-03-02.ana.ud817e526	As far as the money laundering unit is concerned, it was particularly strengthened in the budget last year, because it was necessary to do something. Because I am concerned about this issue in general, even before we got the pyramid game debate – which is quite justified that we have – I asked for a status message from Økokrim, in general, but also for the money laundering side. I explained that on February 17. I haven't changed my mind about that. The Directorate of Police has the resources to be allocated. I will, of course, follow up according to the Government's action plan against financial crime, and money laundering is part of it. I want to do what I can to ensure that you can do the job you want to do with equipment and in other ways. I also said on 17 February that Ecokrim received messages, including: in accordance with the legislation on money laundering, which they can preserve. Although they do not use each message to go into the cases, they can take them back later and pursue them. But I would like to repeat: it requires more than police action. It also requires cooperation with legitimate citizens who dare say so. It requires cooperation with tax authorities and with tax auditors. It simply requires cultural mobilisation. The Minister for Culture has said that she wants to tighten up the law that is also behind the representative's questions. That, I think, is an important mark on the part of the Government.
ParlaMint-NO_2005-03-02.ana.ud817e535	Jan Arild Ellingsen – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e538	It is always interesting to listen to the Council of States when he explains his ability to act. But it is well that it is a challenge for all of us here to have a law that suits each of us, not least when it comes to what we want to fight. In that case, I think it might be difficult to achieve the optimal. The goal must still be there. I believe that through the budgetary agreement and the strengthening of the police, it will facilitate a more active fight against crime. At the same time, there is a paradox in this system. If we get more people taking care of this kind of thing and being judged, we have a big problem, because we see that the reconciliation queue is once again increasing, while the majority in the United Kingdom has granted a new special discount in relation to getting out earlier, regardless of the type of crime. The higher the punishment, the sooner you get out again. I could imagine challenging the Council of States if we could soon expect some concrete actions in relation to, for example, the new prison that has been discussing building in Halden for a long time and possibly a new prison in North Norway.
ParlaMint-NO_2005-03-02.ana.ud817e547	This follow-up question is probably a little loosely related to the main question, but the Council of State would like to answer it.
ParlaMint-NO_2005-03-02.ana.ud817e550	I am not a minister of church and culture, but because I am a member of the government, I still chose to try to answer for the whole. Then I'm going to be equally shy at this point too, even if it's not related to the main question. If I'm allowed to answer now, I will. We have an excellent budgetary settlement with the Progress Party. After work on the Judicial Committee, it was found that, fortunately, one would go beyond what was done in the Financial Committee. Thus, the capacity for reconciliation has been strengthened in the current year. I think that was very correct. I think there were also very important signals in the budget agreement that we should look at the measures that are not immediately created, namely the plans for a prison both in Salten and in Halden. There are plans that the Government is working on. The government's line can be briefly expressed as follows: We control the pay queue by continuing a systematic work by providing places both in the short and long term. Let me say the following: In the short term, until now, for a relatively cheap money I have provided more prison sites than in the planned prison in Halden, but there is no compensation, neither for a prison in Halden nor for a prison in Salten.
ParlaMint-NO_2005-03-02.ana.ud817e557	We've come to today's very last main question.
ParlaMint-NO_2005-03-02.ana.ud817e560	I have a question for the Prime Minister. Now it is not about money laundering or defence, but about natural resources as an important basis for the creation of value in Norway. Through different schemes, we have secured the natural resources. We've secured oil and gas and hydropower. The question is, what happens now to our third large natural resource, namely fishing resources? This is where major structural changes occur almost without political debate. The government has already structured the coastal fleet, with centralisation, poor recruitment and costly quotas as a result. An example of this: in 1999, 50 pst. of the fish in Norway taken from 260 vessels. Today take 50 pst. by the fish of 160 vessels. Now the government will structure the ocean fishing fleet. Allowances shall be collected on fewer vessels without delimitation in time, i.e. the introduction of permanent allowances and at the same time negotiable allowances. Does the Prime Minister and the Christian People's Party believe that this is good management of fishing resources? And what visions does the Government have for the management of this natural resource?
ParlaMint-NO_2005-03-02.ana.ud817e569	I'm going to come back to the question of eternal quotas, because I don't think that's right. The Ministry of Fisheries and Coastal Fisheries, in a note of consultation on 26 November, sent a proposal for the introduction of a structural quota system for the sea fishing fleet, based on already established unit quota schemes for the fleet, but the predetermined time limit has been removed. It is currently available to purchase a fishing vessel and to be authorised by the fishing authorities to operate it on the quota basis of the vessel. The additional quota that can be obtained through the structural quota system is in principle in the same position as the base quota of the vessel. No question mark is put at the time of its duration. Larger coastal fleet vessels already have a structural quota system without a time limit. The size has addressed this, and the majority have joined the proposal. Now it is presented as if the large ones are to have more than the small ones eternal rights to resources. They won't, and neither do they. It is presented as if the large ones have different ownership of the rights than the small ones. Neither do they. The right to fish applies only as long as it meets the requirements of society to own a ship and to fish professionally, and for all groups of vessels – large and small. Allowances shall be allocated for one year at a time under the overall quota and under the rules of the Seawater Fishing Act. As is well known, the allowances for each vessel are also affected by different elements such as distribution between groups, distribution keys within the groups and the number of vessels within the groups. Concession arrangements and access restrictions have given a significant value to the actual right to fish as a result of the restriction of access. The fact that this happens and that one can increase the vessel's quota base through the structural quota system does not mean that one has acquired any private ownership of a certain quota share. No rights have been made for private property, nor have any been granted eternal ownership of a single kilo of fish.
ParlaMint-NO_2005-03-02.ana.ud817e576	The large picture after the structuring of the coastal fleet is increased centralisation, fewer participants, more difficult recruitment and expensive quotas. And when the time limit is now to be removed in relation to the allowances in the marine fleet, I can't interpret it in any other way than creating eternal allowances, or allowances without a time limit. In the opinion of the Centre Party, the proliferation and government of a very important instrument related to the allocation of resources within the fisheries policy will then be excluded. The question is: does not the Prime Minister have any concerns about what is now going on, and does he really believe that this should happen without the Enlargement being able to discuss the changes in the fisheries policy on a broad basis?
ParlaMint-NO_2005-03-02.ana.ud817e581	The question of treatment in Stortinget we can come back to if it is a wish. With regard to possible concerns, we will now consider this in the light of the consultation opinions. The hearing period was 1 February and the hearing opinions are now under assessment in the Ministry. No decision has therefore been taken as to whether these amendments should be implemented. We're listening to objections that have to come, including those of the Center Party. What has been a part of the background to the changes that have taken place with regard to the quota arrangements in recent years, both in the coastal fishing fleet and in the sea fishing fleet, is having an economically sustainable fleet, that we simply get a profitable fishing and that those who have their livelihoods in the fisheries should have a good income in line with others in society. It's been the base itself, and it's done that there's been a smaller number of participants, that's quite right. But then we also have a more economically sustainable fleet, for the benefit of many coastal communities in Norway.
ParlaMint-NO_2005-03-02.ana.ud817e591	The time for the oral question procedure is running out, and we're going over to the ordinary question procedure.
ParlaMint-NO_2005-03-02.ana.ud817e597	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 5, from Mr Ågot Valle to the Minister for Culture and the Church, is answered by the Minister for Education and Research on behalf of the Minister for Culture and the Church, who has been away. Questions 10 and 11 from the representatives of Audun Bjørlo Lysbakken and John I. Alvheim, respectively, to the Minister of Health and Care, are postponed to the next Question Time when the Council of State has left. Question 15, from the representative Steinar Bastesen to the Minister for the Environment, is answered by the Minister for Defence on behalf of the Minister for the Environment, who has been removed.
ParlaMint-NO_2005-03-02.ana.ud817e614	I have the following questions for the Minister of Labour and Social Affairs: «Sustainers who receive temporary unpaid pay may lose up to NOK 19 000 per year per year. children with a background in a much lower child supplement than recipients of disability benefits. Prime Minister Bondevik told the Evening Post on 6 August 2004 that this is the outcome of the frail reform, which makes it possible to review it again. In view of this, will the Council of State make proposals to the Storting to amend the child supplement of the temporary unemployment scheme?’.»
ParlaMint-NO_2005-03-02.ana.ud817e623	By introducing a new, time-limited non-implementation fee in 2004, the Government wanted to signal that misappropriation should not always be of a lasting nature. The aim is that as many of the beneficiaries as possible return to work full-time or part-time or increase the workload in the existing part-time job. This is the background to the calculation of time-limited unpaid pay in accordance with the same rules as the rehabilitation allowance and the refund. Recipients of such short-term benefits receive a child allowance of DKK 17 per person. Day per day a child. Most recipients of fixed-term unpaid pay have previously received a rehabilitation allowance or a return allowance. This means that, on transition to a temporary non-entry fee, they do not receive lower benefits than before. In addition, temporary unincorporated disability benefits do not generally result in lower benefits than disability pensions. Many receive a higher benefit with a fixed-term disability benefit than they would have received as a disability pensioner. This applies, inter alia, to: women who have had a variable occupational connection but who are at work when they become disabled. On the other hand, beneficiaries who are responsible for more children will be less likely to experience temporary unpaid pay than non-employee pensioners. This is due to the fact that a need-tested child supplement can be provided for disability benefit. The reform will be evaluated, as the Prime Minister has announced. This is also reflected in the Government's 2005 budget proposal. The first phase of the evaluation will take place after the first six months of this year. This evaluation will provide systematised knowledge of the characteristics of the beneficiaries, such as age, sex, diagnosis and background, and will relate to those who have been granted temporary disability benefit and disability pension after 2004. Furthermore, the evaluation will provide information on the level of benefits, including whether supplementary social assistance has been paid. The economic situation of women with children and young children’s parents will be highlighted in particular. Through the first phase of the evaluation, we will learn whether follow-up plans have been made. However, the extent to which temporary unemployment benefit recipients return to work will take longer to evaluate — naturally. The outcome and evaluation of these evaluations will be presented in an appropriate manner. To what extent evaluations will form the basis for proposing changes, it is too early to think about today.
ParlaMint-NO_2005-03-02.ana.ud817e636	SV supported the system of temporary untied pay on a principle basis and with the objectives set by the Council of State. But we were against the low support supplement and have since made proposals, among other things. in the context of the State budget to have the same level of support supplements regardless of the social benefits received. What is the concrete reason why parents who receive temporary disability benefits, rehabilitation benefits or resettlement benefits should have several thousand dollars less to provide for their children than parents who receive ordinary disability benefits?
ParlaMint-NO_2005-03-02.ana.ud817e641	The reason why the Storting chose to go in for the solution that now applies is that it has placed a limited amount of unincorporated pay in the category with the other short-term benefits. The whole idea behind the time limit is that there should be a short-term performance, as opposed to an ordinary disability, which is more long-term. It would be very wrong to introduce a different system for measuring child supplements on this short-term benefit than on other short-term benefits, such as: Rehabilitation allowance and re-introduction allowance. If you wanted, as I understand SV, to introduce a similar child supplement, need-tested, for all kinds of benefits in social security, it would be all short-term benefits or the longer-term benefits, it would be to introduce a new principle of this change that we haven't had before. I think the most important thing is to make sure that it's a good cover, while at the same time giving the right incentives.
ParlaMint-NO_2005-03-02.ana.ud817e646	It's a very precise description of what SV wants, the state council is now giving. We therefore believe that children of parents who receive some type of social security benefit should be guaranteed the same economic basis regardless of benefits. Now I understand that there is an evaluation going on and that it will come to Stortinget. Then my last question is whether it will come during the spring session.
ParlaMint-NO_2005-03-02.ana.ud817e651	I would remind you that the system of temporary untied pay was introduced on 1 January 2004, that we have launched the evaluation, but that it will necessarily take some time to get the results on the table. What I said in my first answer, it says. We expect that the first phase of this evaluation that I described in my main response will be available after the first six months of this year, i.e. that there will be no opportunity to present it to the Stortinget in the spring session, but it will be presented in a suitable manner to the Stortinget when it is available and we have taken a decision on how to follow it up.
ParlaMint-NO_2005-03-02.ana.ud817e660	‘In Florø, a boy loses his daily allowance if he takes a character-enhancing exam to qualify for further education. The head of staff states that there is no room in the legislation to provide regular job-seekers with the opportunity to finance regular education during the day-care period. Is this true in all cases, and will the Council of State give Aetat greater opportunity to grant regular training as an action for ordinary job seekers for more people to enter work and vocational education and training?’
ParlaMint-NO_2005-03-02.ana.ud817e667	The right to benefits in the course of education is governed by the Law on Social Security. The general rule is that those undergoing education or training are not entitled to a daily allowance. The reason for this is that they are not considered to be real jobseekers or available to the labour market as long as they are under education. Funding regular day-to-day training would also be contrary to the purpose of the day-to-day arrangements and lead to unfair discrimination between persons who have earned the right to day-to-day benefits and those who have to finance education themselves through loans or by other means. There are some exceptions to the general rule. It's e.g. the possibility of combining education with daily allowances if the training is explicitly provided for as evening training, the day-payer follows the course and the training is compatible with full-time work. Furthermore, in order for the training to be considered compatible with full-time work, the training must have reduced the study progress by at least 50 pst. in relation to equivalent day-time training with normal study progress. Neither do jobseekers who read to the examination as private individuals without attending any teaching at all have the right to a daily allowance. They do not follow a specific instructional system organised for teaching outside normal working hours and therefore cannot be accepted as students during evening hours. I am aware that, in two cases on 14 January of this year, the Social Security Court has issued notices that go much further in the interpretation of the day-to-day money regulation than Aetat has accepted through its practice. The Ministry will now carefully assess the findings of the Social Security Court and the reasons for them. On 15 February of this year, some minor changes were made to the day-to-day allowance regulation. Among other things, exceptions to the requirement to attend education may now be made in the absence of a school or a fixed training offer within reasonable travel distance. The amendments will enter into force on 1 July of this year. The use of regular training as labour market measures is currently being attempted in a pilot project in Hedmark and Uppland. The pilot project was launched in 2003 and will last for four years. The measure provides that regular training as an action may be provided for up to 10 months. An evaluation of the project will provide an important background to consider any further legislative changes. In addition, in cooperation with the Minister of Education and Research, I have started work on assessing the interface between labour and education policies. The two departments are now working together to define some pilot projects in this interface between the two policy areas.
ParlaMint-NO_2005-03-02.ana.ud817e686	I read between the lines of the answer from the council here that he also sees some unfairness in this. For example, it seems quite incomprehensible to people that if you have the opportunity to take training in the evening, it is okay, but if you do not have the opportunity to take training in the evening because of the absence of the offer, and you take this as a privateist in the evening – as Markus Hauge, as this boy is called, can do perfectly in this context – you will not have the opportunity to get this granted during the daytime. I was called by a guy from Mo just after I had sent in this question, and he had an even worse story to tell than this one from Sogn and Fjordane. He had got a paralysis in one foot and was at a professional rehabilitation course, got a job as an economist, which was what he trained for in this course, but because of cuts in the company where he worked, he lost his job again later. This was an education that was paid. He had then been suspended from taking the last part of the master's study, but was told that if he started his education again, he would lose his daily allowance. Does the Council agree that this is an unreasonable and quite incomprehensible example of the Aetat code?
ParlaMint-NO_2005-03-02.ana.ud817e693	The President must remember that the speaking time for supplementary questions is limited to 1 minute.
ParlaMint-NO_2005-03-02.ana.ud817e696	I cannot rule out any unfairness in the practice of legislation in this area. However, the law is such that unfairness should not become even greater, namely that it favours those who are on a daily basis, compared to those who have to take their education in the ordinary way, financed in an ordinary way. Now I have announced that we have adjusted the legislation at one point that is relevant to the problem raised. I have also said, and can elaborate on it, that in the context of the rulings given by the Social Security Court, the Department will ask for a detailed statement from the Council on the practice followed. I would like to ask immediately for a professional assessment from Aetat on that and then to take a decision on the question of the complaints of the Social Security Court that practice, and, where appropriate, the legislation, should be changed. I'll have to come back to that.
ParlaMint-NO_2005-03-02.ana.ud817e703	So the head of state in Sogn and Fjordane, Frode Henden, says the politicians have ordered us to be so strict. He also says that the job of those who receive a daily allowance is to get a job, not to spend time on education. The problem with what the Council of State is taking up here, and with which he answers me, is that if you ask people who are unemployed and who really need the professional replenishment of further education, to take a student loan instead, many of them will go down dramatically into income. And it's hard when you have a custody responsibility, as many, after all, have. Today, unemployment benefits can reach up to almost 700 kroner a day, while study funding reduces to half of this. We know that people who are unemployed have already initially fallen into income, and when we ask them to go further into income, it will put a lot of people in a totally hopeless situation. Doesn't the Council of State see that many would have been easier to get a job if they had been able to take more education? And shouldn't the legislation then have added up to that?
ParlaMint-NO_2005-03-02.ana.ud817e710	Well, the Council of State sees it, and he also sees that it is right that it opens up the possibility that beneficiaries can take part in education to the extent that it does not conflict with what is the main point when you go on a daily allowance, namely to apply for a job and be available for work. That is what is meant by the regulatory framework. I also see in the light of the cases dealt with by the Social Security Court that there may be a basis for reviewing the practice and, where appropriate, the legislation in the wake of it, in order to see whether we have a good balance between the fact that we should not discriminate in an unreasonable way against persons who have earned the right to daily allowances, in relation to those who have to fund the studies themselves, and the aim that must be in labour market policy, that people must also qualify for employment.
ParlaMint-NO_2005-03-02.ana.ud817e721	‘The rescue queue has grown significantly and remains in line for more than 2300 people to zone. This creates considerable pressure and extra work for the police, the courts and, in particular, the prisons. The effect of the ransom is poor when it comes late, and when prisons have to use all the energy to get as many prisoners as possible in. The reconciliation queue has now been a persistent problem for several years, and the government has had several occasions to do something. Does the Council have any strategy for when and how to remove the queue?’
ParlaMint-NO_2005-03-02.ana.ud817e728	Let me first, with the President's permission, very briefly give a little additional information in connection with an interview from the representative of Storberget to me on 17 February. Then I told the representative of Storberget that, according to my knowledge, we had eco-teams in the police districts, but I wanted to check it out. I have made such a check, and I think it is right to say that there are such teams in all the districts, except in three. In the three, there are temporary arrangements, but everything should be in place by 1 July of this year. I think it belongs to the accuracy and consideration of the representative's commitment. Thank you, President!
ParlaMint-NO_2005-03-02.ana.ud817e733	That's when the president starts the clock.
ParlaMint-NO_2005-03-02.ana.ud817e736	I share the views of the representative Storberget on the challenges created by the reconciliation queue, and the government has therefore launched a number of measures to address this since 2002. The summer of 2003 was the highest since the beginning of the 1990s; from then until the fall of 2004 the nesting queue fell. In the fourth quarter of 2004, there was a relatively high level of access to criminal services compared to the third quarter of 2004. This may have been due to the fact that the queue has increased again. It also appears to have been a trend towards longer and stricter penalties. It is a misguided development that serious crime is punished more severely. Crime statistics from the Statistical Central Agency show that the average level of penalties has increased in 2003 compared to previous years. In 2003, the average fines for all unconditional judges were about 170 days, while in the period 2000–2002 it was around 140 days. This is also reflected in criminal law statistics, which show that during the period 2002–2004, the number of prison days produced each year has increased by 9.1pst, while the number of insertions has decreased by 4.9pst. At the same time, there has been an increase in the rate of refusal of probation at two thirds of a time, which is no longer granted automatically. This is a desired development. The government has worked systematically on various measures to combat the queue: Over the period 2002–04, a total of 292 prison sites were established. I expect this measure to be more effective in 2005 than in 2004.There has been an increase in the number of community sentences from 378 in 2002 to 2 094 in 2004. The effect of new places, duplication and forward release is equivalent to a prison of more than 1.5 times the capacity of the planned Halden prison. The new places alone represent more than the planned Halden prison. The government has been following up the rescue queue continuously throughout the period. The effort to increase prison capacity has produced results. There are unforeseen things happening, such as the fire at the Inner Eastfold prison, the Drukstad department, in January of this year, which meant the closure for several weeks of a large number of places, and the mushrooming in Molde prison, which led to the closure. There have also been some technical delays in the expansion of New Kong wings prison and in Bergen prison. For the treatment of St.prp. No 1 for 2004–2005, The Storting adopted the following measures with work started on: The establishment of 15 new places at Inner Eastfold Prison and an extension of 14 places in Drammen Prison. This, together with the measures already implemented, gives 423 new places. In addition, I will refer to the increased effect of early release. The Ministry is working on the planning of a new prison in Inner Salten and a new prison in Halden. My line is that, in the light of recent developments in the queue, new short-term and long-term measures are now being considered. The concrete measures will bring the Government back to the Storting with appropriate means.
ParlaMint-NO_2005-03-02.ana.ud817e780	I thank you for your answer. There are, of course, two challenges in terms of the pay queue. One is about numbers and logistics, in the sense that we have a certain concept of how many prison days we will need in the future, and that can be a reasonably simple solution. I don't need a complete answer to that. The second is that the people who are going in and out get a qualitatively good offer. It's the most important problem, and it's also the hardest one. The reason why the Workers' Party is constantly raising this question is that when we take focus away from the content and keep counting places and putting the device to just measure places, it hits the content of the property in many ways. I had hoped that the Minister of Justice would have given a clear answer in relation to when you have the ambition that this reconciliation queue should be lost, so that you can move the focus, which is necessary. Then it might also be relevant to ask: What is the Government's ambition regarding the launch in Halden and the Inner Salt?
ParlaMint-NO_2005-03-02.ana.ud817e787	With regard to Internal Salt Prison and Halden Prison, we have said that we should come back with a reference to it in the revised national budget. They have also been prepared for the work on these matters. But if you were to decide to build a Halden prison, for example. during the current year, it will take several years for it to be put in place. In any case, short-term measures will be needed. I have explained such measures that we have generated – at new places corresponding to the Halden prison and well saw it. The sum of new places, duplication and forward release equals one and a half times Halden's imprisonment. But I agree with the representative of Storberget that more thoughts have to be thought about. That's why I pointed out how the social penalty has increased, which is to think differently about people who can son to society in that way. Therefore, there has been a strengthening of the content during the period I have been Minister of Justice. For this reason, there is also a real strengthening of all attempts to build the best possible administrative cooperation in cooperation with agencies, from Aetat to healthcare and social services, because it is a matter of which the representative is concerned that there should be no return to prison. So I mean, we have all those thoughts. But the representative – with respect to reporting – has always kept the pressure on the figures. I respect him for that. Then he also has to figure out that I'm responding to the numbers, every time he asks about it.
ParlaMint-NO_2005-03-02.ana.ud817e792	I fully agree with the argument about Halden prison, that it will take time before it gets in place, and that we need to have other measures. But it speaks to a great extent so that you should have a plan in relation to how we are now dealing with the growing queue that we have actually seen in the past. It also calls for this to be started as quickly as possible. I can do nothing but encourage the Minister of Justice to use all his forces within the Government to get it in place, so that the spade is thrust into the ground both in the Inner Salt and in the Halden as quickly as possible, as the Workers' Party has actually taken the floor. I also believe that there is a clear majority for that in Stortinget, so it should be a good thing for all of us. So go to the bottom of the equation. It can be very important in relation to the pressure on the pay queue, not only to reduce crime, but also to reduce the pay queue if we stop the repeats. 60-70 pst. Of those in prison and those in Norwegian prisons, drug use problems. Would it not now be time to provide this ‘drug court’ so that we could quickly get it in place, faster than the ministry intended?
ParlaMint-NO_2005-03-02.ana.ud817e799	I'm a fan of putting the most possible spades in the earth. Some spade in the earth leads to a longer time before the buildings are there, but I have been quite productive in terms of spade use during these years. I have to go to prisons where no one knew they were there, simply by visiting prisons. Elemental prisons are established at a pace that has probably not been common. Necessary spaces have been provided because they have been so in the short term, and they will still be so. It was as part of that activity that we found places, which we could get in comparison with the Progress Party, both in Eidsberg and in Drammen. I will continue to be concerned about this work, both with the long-term, which the representative addresses, i.e. in Halden and the Inner Salt, and also with the short-term. In terms of reconciliation and content, we share ideals. Getting a judge-led drug programme is an initiative I've taken. I know that the representative and I agree on the positive about it. The government has said that it should come back to it at the latest in the context of the revised national budget. I have even seen places in Norway where you do this in practice without the name of a court-run program, but by making the pilots you can get more pressure on it. The representative and I share the view of increasing that pressure.
ParlaMint-NO_2005-03-02.ana.ud817e806	The President notes that there is a growing tendency to mention a spade for a spade, but that's a good thing.
ParlaMint-NO_2005-03-02.ana.ud817e809	Isn't it better that a spade is a spade in front of a excavator, President?
ParlaMint-NO_2005-03-02.ana.ud817e815	Yes, absolutely.
ParlaMint-NO_2005-03-02.ana.ud817e822	I would like to ask the Minister of Justice the following questions: ‘In the last edition of the Police Forum, there is an article on police computer systems. Here, it was claimed that the police costs large amounts of money per year and that coordination of some computer systems is difficult. Since correct information can be crucial at the right time, something has to be done. This is a responsibility of the Council of State, and what action does the Council of State have to take in order to clean up these matters?’
ParlaMint-NO_2005-03-02.ana.ud817e831	This is a very important topic, and I would therefore like to start by stating that appropriate and effective ICT solutions are important tools for the police in their efforts to achieve criminal policy objectives. The work on modernising police computer systems is therefore a priority in the Police Directorate. The need to invest in this is also mentioned in the budget proposal for the current year. In this case, it is necessary to distinguish between the ‘central systems’ of the police and other local systems that have been largely developed or acquired directly by the police districts or agencies. Central police systems are essentially old systems that are designed and developed according to completely different principles and methods than would be the case now. These were set up in due time to replace manual records. The systems are later further developed and improved, but are still based on old principles and data models. These systems must be modernised and a common architecture has now been established to underpin this modernisation work. Once this modernisation has been completed, it will no longer need to be checked in several computer systems to access relevant information. Mobile ICT solutions shall also be put in place to provide secure access to police systems from mobile devices. This means that access to central police systems is, in principle, made available to the police officer and woman ‘on the foreside’, and that the information systems are more directly supporting the operational police service. This project will be realised in a first version in 2005. The modernisation process described above has been started. It is resource-intensive, but has a high priority and is a central theme of the governance dialogue between the Ministry and the Police Directorate. By 1 July of this year, the Directorate of Police shall have revised its ICT strategy and action plan based on the Common ICT Strategy of the Justice Sector.
ParlaMint-NO_2005-03-02.ana.ud817e846	First of all, I appreciate the answer, which I think is evidence that here we can make things happen that will serve the unit as such. One of the most important issues in this way must be the security of the individual official and woman who is out doing a job on behalf of the Norwegian community. At the same time, I assume that the Council of State sees this as a challenge. We have recorded experiences from the social security system, which have worn out. The defense has struggled to get computer systems that have been functional and good, even though large funds have been put in here. Then there are two things that I could imagine hearing the views of the Council of State. One applies to the time factor. He has said something about progress now, but when can we have a proper system? Another question is, I have POD per. the competence required today? Do you have enough reference groups and experience to have a full and good system that will remedy the situation I have described?
ParlaMint-NO_2005-03-02.ana.ud817e855	First short on security. It has been an important step for security that Stortinget followed the Government's proposal to establish a digital emergency network as soon as possible. It means a lot to security. But that is not an alternative to what Mr Ellingen is addressing. To his question: I assume that the Directorate of Police is either competent or competent. through PDMT. With regard to the time perspective here, I have just asked for a return report per. 1 July to then understand the challenges, both technological, economic and temporal. I, as a Norwegian citizen and also as a State Council, have considerable humility towards public efforts to approach ICT solutions. It is easier to make large proclamations than to find practical solutions. That's why I want to be a little low until I get things back – not low on the need to get them back, but low on trying to boast about some promises.
