ParlaMint-NO_2005-03-03.ana.ud1791e43	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2005-03-03.ana.ud1791e543	The representative Oddbjørg Ausdal Starrfelt concluded his speech by saying – in a speech – that the railway worker is a worker party. For the Christian People's Party, it is important in railway policy to remember to put the travellers in focus. At my discretion, they come from all parties – some are even quite indefinable politically. I think that's important to take into account in NSB's future investment. The articles so far have shown that there is a fairly large consensus on the future operation of the NSB. The large dividing line goes at the Progress Party, which, in the view of the Christian People's Party, will frustrate Norwegian railway operations. I'll come back to that at the end of my post. In the Christian People's Party, we are surprised that the parties that speak most strongly to bet on the NSB in the future are so occupied with the bus business. In particular, it is surprising that the Socialist Left is making bus investment a major feature of this debate, when it is the railway we are discussing here. The Christian People's Party is in doubt as to whether the NSB's major bus effort – through Nettbuss – is compatible with the company's primary task of operating the railway. Of course, a heavy bus company will compete in all segments, including sections where NSB operates trains with State aid. 40 pst. the revenue of the NSB comes from the purchases of the country. On sections where one competes with oneself, – according to the view of the Christian People's Party – Netbuss should not be part of the competition. In that case, it would mean that the State would have to pay more to maintain train traffic in the same area, while at the same time making money on the bus company that runs in parallel. So a little bit about my heartchild, the Northern Railway. It was given a promise in connection with the collective communication provided by the Government. Then the Nordlandsbanen became a main track section, and this has led to a massive upgrading. This year, 100 million will be used. kr to complete GSM-R and ATS. It's torn out of tunnels, and there's new crossing tracks. In the view of the Christian People's Party, this will have to lead to a stronger bet by the NSB and CargoNet, both on freight traffic and on increasing passenger transport in the area. The regional trains have been successful and the NSB shall be commended. The night train goes well and is accurate, and it takes passengers. The cheap tickets here have been an encouragement to people in the north, and I am happy that this is going to continue. However, the fact that the Agenda trains are used as a day train is currently not entirely satisfactory. We're waiting in excitement for the new chairs, and then we'll see if people are satisfied with them. But for the Christian People's Party, it is important to stress that it must be a goal that in the future the locomotives will also be carriers on the Nordic Railway in the daytime. So a little bit about Arctic Rail Express – the freight route from Alna to Narvik – which is also a success. The Christian People's Party will be a driving force for CargoNet to further develop and secure this offer. So finally, the big distinction between the Advance Party and the other parties. That the Progress Party will quote and privatise the NSB is nothing new. We can relate to that. But the big difference lies in the actual bet on the railway network. Instead of strengthening the railway, the Progress Party will build up its business. Let me quote from what they write in the setting on page 6: ‘These members indicate that this growth is likely to be transitory.’ So you would prefer the growth in the number of passengers to be transitory. And then they write: ‘For the transport of persons by road, both in private cars and in buses, development shows a stable and strong growth. It would therefore be natural, in the view of these members, to invest in a strong development of the road network.» So an enterprise message about the NSB is used to talk about a major expansion of the road network. Then we wonder who was in a minority when we dealt with the National Transport Plan, where the Progress Party joined with the majority and said that we should have a strong stake on the railway – yes, it should be spent another 10 billion kroner: where does this bet become?
ParlaMint-NO_2005-03-03.ana.ud1791e568	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-03-03.ana.ud1791e571	It is quite right that Sahl refers to the fact that the Progress Party wanted a strong commitment on the road sector and that the government parties were in a minority because they did not want that commitment on the road sector. And when the choice is between giving an extra DKK 1 billion a year and an extra DKK 1 billion to the railway rather than giving less money, our choice is quite clear. So the representative Sahl has understood the situation quite correctly. But that's not what made me take the word. It was actually Oddbjørg Ausdal Starrfelt, who said in her post that she doesn't understand how we can treat our own company like this. This clearly shows how bad it is with state ownership in a transport company, that in Stortinget we take out one company and discuss the framework conditions for it, while in the Ministry of Transport ownership. Because what Starrfelt says implicitly is that the NSB should be specifically treated in competition with other actors. It's something I take a great distance from. Not enough with that. Mr Starrfelt also opposes the proposal by the Progress Party that ownership be transferred from the Ministry of Transport to the Ministry of Industry and Trade. It must be quite clear that if an owner is to draw up tender criteria, negotiate the en route criteria and eventually assign the mission, it is a hold-up to those degrees. In other private companies, it would have been totally illegal to do so. But Starrfelt doesn't see it. Now, of course, one can say that the Workers' Party and SV are opposed to competitive outsourcing; they do not want to have competition. But now it's the way reality has gone down over this house as well. In fact, it has been decided that we should have competition. Then you have to relate to that reality. I could imagine getting a review from Starrfelt if she doesn't see the dilemma that arises here. So Geir-Ketil Hansen is shocked that the Progress Party wants to sell NSB. Pulling out Hansen’s thinking completely must mean that he feels that Hurtigruta and Onøe should also be statelike, since they live in the same world with monopoly. Does that mean that, in the future, Hansen might consider buying or expropriating OVDS from Narvik in order to use this as a means of transporting it in the future? It would be nice if Hansen could explain to me the difference between the different responsibilities of Hurtigruta and Ontøe, versus NSB.
ParlaMint-NO_2005-03-03.ana.ud1791e584	Just a few words for Jan Sahl and Kenneth Svendsen. Jan Sahl was amazed that SV was so busy keeping the bus business in the NSB. What I said in my post was that we now see that we get large foreign players into the Norwegian market that operate in different ways. Connex is now entering Norway. They have purchased Finnmark County Company, they are about to buy up Helgelandsk, and they announce that they will submit tenders for the total national road haulage operation. We get big foreign players into the market in different areas. We see no problem that the NSB should be equipped to meet that competition, that they should have more legs to stand on, and that they can build offers that complement each other. That's what they've done, and it's helped to increase the collective share. So to Kenneth Svendsen and this strange problem of comparing Hurtigruta with NSB. Kenneth Svendsen has to read history of transportation. OVDS and TFDS are companies built of municipalities, county municipalities, local owners and local banks. They have their history in regional and local ownership. There's no reason to change that. The NSB is built by the State as part of the national railway deployment strategy here in Norway. I would like to ask Svendsen: when the Progress Party wants to put NSB on the stock exchange and sell it, will it be problematic for the Progress Party if Connex, Arriva or other major European transport companies buy up the NSB and the company leaves the country?
ParlaMint-NO_2005-03-03.ana.ud1791e593	To the question from the representative Geir-Ketil Hansen about tax-free sales on trains should apply to all foreign sections regardless of company, I would say that this will probably be given a proper answer. That's a fundamental question. Now there are probably other departments that are more involved in this matter than the Ministry of Transport. It will be a question that I would think will also depend on how other countries – here it is Sweden – want to deal with in principle. And it is clear that what I as Minister of Transport ask myself is: are we really talking about how we can ensure a good train link between Norway and Sweden? That's what it's all about for me. I have to say that I would like to have the train between Oslo and Stockholm in place better than we have today, and then it becomes a strange angle for me that we address the question of selling spirits and perfumes on these means of transport between two countries as an important question, when it really might be a question of what kind of transport services we are going to have.
ParlaMint-NO_2005-03-03.ana.ud1791e598	I was a little in doubt if I should be drawn up by the representative Svendsen. I basically didn't. I didn't let myself be drawn in the sense that I was angry, but it allows me to point out the differences between the Progress Party and the Labour Party when it comes to railway policy in this country. Yeah, we'll treat the NSB extraordinarily. We wanted only the NSB to be responsible for passenger transport in this country. It would have been best and safest for the Norwegian population. But we are aware that the majority have decided that there should be competition. I think it should be non-discrimination. And the equal treatment is that both NSB AS, Arriva, Connex and many others are free to have both train and bus companies. Then the counter-question to Kenneth Svendsen may be: Is it so that Kenneth Svendsen will forbid Arriva and Connex to have both trains and buses in Norway? If they search for competing squares on sections that NSB has won, do they prohibit them from going parallel? This is what I don't understand. We're not having problems with non-discrimination, it's actually the multiples here that have problems with non-discrimination. I hope NSB AS can deal with that, but I think it's going to be a little bit problematic. And then the Council of State may be a little bit indignant at the fact that spirits and perfumes are going to scare the railroad. Yes, at least it gives revenue to both aircraft and boat, which is more impudent. And once again, it's about non-discrimination. If we are to have brandy and perfume halls first when people are going to travel by a means of transport, which gives revenue to that means of transport, it is not up to us in the Labour Party that the most environmentally friendly, the most land efficient and the safest travel option should not be allowed to do so, across borders.
ParlaMint-NO_2005-03-03.ana.ud1791e607	It's a sign of health that we get so much heated debate about the NSB and the railways in Norway. We appreciate that. This has been a debate that shows that there are differences in transport policy in Norway. There has been a great deal of debate between traditionalists and modernists. And I dare sit in the ranks of the modernists. It is therefore true that we have carried out a reorganization of Norwegian transport. We have AS-certified NSB, and the socialists are opposed. We believe that reorganisation in AS gives companies greater freedom with regard to planning and funding, while others thus feel that state control is more important than taking out the inherent competence of the companies, by giving them greater freedom through a state limited liability company. The sociologists are against it. The same applies to competition. Competition is nothing but an important quality control, quality control of operation and quality control of resource use. That's what makes good environmental policies. This is what the socialists say no to. So to Nettbuss. I understand that someone says that when Arriva and Connex and large carriers get on the track, it is interesting to see how the NSB should be able to do without bus operations. Since the railway is the starting point for this debate, it is very far ahead – probably no one here is sitting on the bank when the time comes – until the NSB gets a strong competitor on the railway side. We have very good time to discuss developments that are going to happen until then. It's far ahead, and there's no need to worry. I rather think the socialists should worry if the NSB doubles on the bus and halves on the railway. You don't see any dimensioning, you don't see any danger in that way of dealing with the railway? We believe – and we are deeply concerned about – that such a policy will erode the basis of the rail system. And we think it's a completely realistic way of dealing with this question. We believe that the most important thing for the NSB is to be a railway carrier. And finally, CargoNet. Once again, the socialists say no to sell themselves down, even though the only reason to sell themselves into CargoNet from the NSB's current 51 pst. have to be challenges through cooperation with other carriers in Europe in order to make rail more powerful. That's the only reason, through the introduction of capital and the introduction of competences. That's when it'll be important to do this maneuver. And I don't realize that the socialists dare to refuse to give the NSB the freedom to make the railway stronger in Norway.
ParlaMint-NO_2005-03-03.ana.ud1791e622	Kenneth Svendsen has had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2005-03-03.ana.ud1791e625	I asked for the floor of the representative of Starrfelt and Hansen. There is a significant difference here, namely that the NSB is using state resources to intervene in a market that works perfectly well. In a situation where the NSB was an ordinary listed company with private owners, they could buy up as many bus companies as they wanted for me, with the restrictions that of course were in competition law, which had to intervene if there was too strong a monopoly. In this case, the Competition Authority has also been in and said something about it. It is amazing that the discussion by the Workers' Party, SVs and the Centre's side is largely about ownership, and almost is not about the use – about the customer. The customer should be allowed to choose, the customer will receive a proper offer through the competition that is. I am not a competitor for competition, but for the customer to get a better offer. Finally, I would say that this with tax-free of course applies to all cross-border traffic, not just over Svinesund.
ParlaMint-NO_2005-03-03.ana.ud1791e634	Several have not asked for the floor on case No. Three, and the debate has come to its end. [[Fotation, see page 1717]]
ParlaMint-NO_2005-03-03.ana.ud1791e649	On 7 January 2005, the fines for traffic offences were adopted by approx. 30 pst. from the previous year, with a level of fine likely to be the highest in the world. In the same period, the price growth was 1.2 pst. If we look at the tables attached to the documents, we see that with the Norwegian level of fines, we are miles away from all other European countries, including the countries with which we normally compare. Looking at developments from 1990 to today, progress at the level is dramatic, with an increase of up to 320 pst. This, with fines, has evolved from being used as a traffic controller in relation to offences, assessing the severity of the offence and penalising it in relation to other criminal matters, such as: victories or disturbances of order. Obviously, it's the end of it. Now, obviously, the Ministry of Finance is running the race, based on what kind of income the government needs. This means that fines for traffic offences have in reality become a new charge for the drivers. This takes the Progress Party at the strongest distance from. From a road safety perspective, there is nothing to suggest an increase in the level of fines. The reactions from the various floors have been partly strong. I allow myself to quote from several media about sharp reactions from a wide range of stakeholder organisations and police officers: «This is your madness, says trust-chosen Jørn Flata of the Police Joint Union.» Further: ‘They react in particular to the excess of the rates in relation to other offences resulting in fines.’ Further: ‘This applies, inter alia, to disorder of the order, drug offences and fighting at the body’s border.’ And on the other hand, ‘He has received many feedback on the high fines imposed by police officers and, according to Flatha, they are negative.’ This is from Hamar Dagblad on 19 January 2005. The World’s Times on 14 January 2005 the Transport Economic Institute, on which the Government usually leans heavily, quotes the fact that increased fines do not make the drivers more law-abiding if the likelihood of being taken is low. Dr. Polit writes in the trade journal Samferdsel, November 2004. Rune Elvik: ‘In order to improve compliance by road users with traffic rules, there is a further increase in charges and the simplification of the proposal is hardly the way to go, unless the police control effort is increased at the same time.’ It is very worrying that the fines for all over-measures by the Government or the Ministry are unlikely to be fixed in the desire to improve road safety. This is supported by the Aftenposten report on 25 January 2005, where the following can be quoted: ‘Central sources in the government apparatus inform the Evening Post that it was not the Ministry of Transport that supported the proposal that led to strong increases from the next Tuesday. In other words, there was no particular concern about road safety behind the proposal, which the Ministry of Finance is the driving force behind it.» So now that we're going to have fines as a basis for income, in my view, is completely wrong, and I'm going to take the strongest distance from it. It is also true that the level of fines which have evolved recently probably leads to several cases being brought into the legal system, in an already overburdened legal system. This may lead to others having to wait longer in line to deal with their much more serious issues, and it will also be a cost to society. There is also another danger when the level of fines is as extreme as it has been in Norway. That's how people perceive the level of punishment in relation to other offenses, and, in part, crimes. One already sees that the minimum pensioners ask for them to be put in prison rather than for the state to take almost their entire minimum pension. Is there such a society we want? At least it's not such a society the Progress Party wants. Let it be clear that the Progress Party also wants rough drivers and irresponsible drivers to be taken hard, but it has to be done. It shall not be such that if an otherwise law-abiding citizen slips a little above the speed limit, or once forgets to use the flashlight, the penalty shall in an improper manner not be proportionate to criminal measures in the event of other offences which, in my view, are much more serious. I had hoped that it would be much more effective in terms of punishment for other crimes and that it would react as quickly and as hard as drug crimes, violent crimes and the like. But there is a much more relaxed attitude. In many places, the speed limit has been lowered, precisely because of the lack of road construction and road maintenance appropriations by the bulk of the population. The speed limits in Norway — and the level of fines — are therefore, in many respects, a sign of disease, by covering the total lack of investment in an effective transport policy. There is a policy that causes road users to lose respect for traffic rules and speed limits. This is a very dangerous development. Finally, I understand that we don't have to bring up the proposals here, but I can inform the President that I intend to vote in favour of the three proposals that lie here.
ParlaMint-NO_2005-03-03.ana.ud1791e704	I feel this as an application for an attackille support for the Progress Party. They're undoing what they did in the budget. They've spent the money, but they're undoing it. They are not supported by the Working Party. We've also used the money, and we're not going to undo it. When it comes to assessment in relation to other countries and other criminal matters, we in the Labour Party argued that the Government, with the two existing state councils, particularly in this context, considers this and, if natural, initiates change. We don't need to order this now. We think the government should decide the fines in the future as well. We basically believe that this is an unforeseeable proposal, so the Labour Party will vote against the whole proposal.
ParlaMint-NO_2005-03-03.ana.ud1791e711	Let me first tell the representative from the Workers' Party that we deeply disagree, if you want to try to claim that these violent increases in the fines for traffic offences of about 30 p.m. is a result of the budget and budgetary conciliation. We've gone through the budget, and especially the chapter. 4634 item 81, and tried to figure out what would be a logical explanation of the increases there compared to the ageing budget for 2004. Based on the numbers that appear on the income chapter, I accept that we could expect an increase in the fines of about 3 pst. – a little above the price increase, but not much. That is what was at stake, based on the information provided to the Storting in the course of the budgetary procedure. It is also confirmed in a letter from the Minister for Transport to the Group of the Progressive Alliance that we cannot be said to be responsible for this in any way. It has always been a firm practice and system that there are some fines, fees, prices and charges that are not adopted by the Stortinget. The petrol tax is adopted by the Stortinget, the alcohol tax is adopted by Stortinget, but there are a good number of other, smaller things that the Government decides. And we always expect that many of these will increase as prices rise. We also expected that when it came to the fines. However, the increase in the budget was due to an increase in the level of fines for traffic offences and an alleged increase in the use of automatic traffic control. Then it's the government's responsibility. At least we had the confidence in the Government, including as negotiating partner in the conciliation, that if you had plans for something very dramatic – and it is dramatic to increase fines that are probably the world's highest in advance, by another 30 pst. – it would be made clear in the negotiations, even if it did not appear directly in the budget, that this was the intention, so that we could have responded during the negotiations. I am sure that the Workers' Party would have reacted in the same way, if they had tried to push ahead of a government's own responsibility. But that's the situation. When this was done in January, at a kgl. resolution, there was a shock for all of us, except for those who might have known about it in advance, and there was no one in our party who knew. Then it's actually quite possible to do something about it. It is possible that I recall wrong, but when this debate fell at worst, I believe that there were many in the Workers' Party who also reacted negatively to these sky-high new fines. But I understand that the Labour Party is giving this its approval today, and that the Progress Party is likely to be alone in the proposal to reintroduce the fines in 2004. That's a good piece of information, which we're going to pass on to the Norwegian people in different contexts. Our proposal in Document No. 8:39 is divided into three terms. First of all: ‘The Government requests that the fines for traffic offences be set at 2004 levels, adjusted only for normal price increases.’ That's what we could read out of the budget. So we want to reintroduce the 2004 rates. It's actually fully possible. You can't say that the state needs the money, because only a few hours of oil production, based on the new and higher oil price, will cover the money you might not get by going back to the level of 2004. The Treasury floods with money, so it's not for money needs you do this. We're going back to the 2004 level. Then we have the second term in the proposal, II, where we ask to get ‘an assessment of Norwegian traffic offences fines in relation to the level of equivalent fines in comparable countries, as well as an assessment of the penalty rates for traffic offences compared to other criminal offences’. And in particular, I would like to challenge the Minister of Justice. A democratic, good society depends on the people’s confidence in the legal provisions, their perception of the legal provisions and, in fact, the punishment – and that is what fines are – as reasonable and reasonable in relation to the crime. If the National Assembly is far removed from what most people consider to be sensible and sensible, it is a danger signal to a real democracy, to be governed from below. There are several professors in law who are just claiming this principle as a basis for democracy, that what the legislator is doing must be perceived by the broad body of the people as a sensible reaction to criminal acts. I think this point is very important. Unfortunately, we do not have referendums on such things in Norway, but quite a number of polls show that a significant majority of the Norwegian people think the level of punishment for theft, robbery, burglary and killing is too low in relation to the seriousness of the criminal act. There are many polls where it is said that you want a higher level of punishment. Yes, in fact, even unanimous judicial committees in the United Kingdom have said that the level of penalties for burglary, theft, murder, robbery, bank robbery, post office etc. is too low. It is one of the problems that the Stortinget also faces in connection with the new penal code: how do you get the courts to use all the sanctions they have instead of always getting to the bottom? It is a challenge for democracy whether it is for the courts to take on a legislative role, or whether it is for the national Parliament to have, and should have, that role, as we have, among other things. means. It's about criminal acts, and most people think that the level of punishment is too low. It's unfortunate in itself. It would have been interesting, as I said, to get some views from the Minister of Justice on the issue of principle — not the individual level of punishment, but the principle of dissatisfaction between the people and the criminal justice system. In terms of the fines that we have here for treatment, it's the exact opposite. If you drive too fast, 5 a.m. on a straight line where there's no danger, but where there's a police check, there's a general rage that you can get thousands of dollars in fine for something that's really fine. Had we had a technique, we would of course have varied speed limits in time. Of course, we must have strict rules and regulations where road users, children or others in traffic are at risk – I fully agree with that. But where there are long, nice and straight distances at a time when there is no special traffic, you don't see any difference in the rates. It's just how many miles above the border you're going to go. With regard to the new fines, we have been clearly informed by the police that they are completely meaningless. We are now also at risk of burdens on the judiciary, in the sense that we do not have to adopt the simplified proposals that the fines are. You can go to the courts, and the courts then have to go into each case, because they have some general principles to apply, including: as regards the size of the fine in relation to the circumstances of the individual case. These indicative rates may then be endorsed by the courts. It's in itself very unfortunate. Therefore, we had hoped that the representatives who did not know about these things in advance – after having seen all the reactions, and when we know that we do not need the money – could be with us to reintroduce the fines from 2004, until at least we got a real case from the Government that compared the situation in Norway and in other countries we can compare with. Our third and last proposal is that we want a system in which the Government informs ‘The size in a suitable way in advance of significant changes in the fines for traffic offences’. There we also have it in mind that if, in a draft budget, it is a government's intention and wish to increase, for example. The fines of 30 p.m., we actually have legal provisions that make the Government obliged to inform about such – obligation! And the state councils that are present, and cannot do the Liability Act of 5 February 1932, can only read § 9 – as another state council should have read too! To be honest, if you want to increase something by 30 pst, you have a duty to inform the Storting. Because Section 9 states that one is obliged to inform if one ‘understands or ought to understand’ that this type of information will require the Stortinget to make its decision. Obviously, if you have an intention to increase the fines by 30 pst. to cover a round amount that includes many items in a budget, that obligation falls under Section 9 of the Liability Act. If you had decided on a sum of NOK 1,050,000,000, you would have started to discuss how to do it, you'd have a different situation. Then you did not have that intention in advance. But anyway, we want this kind of thing to be presented to the National Assembly. It should not be that the government offices are sitting and discussing how to trick the national assembly, hiding their real intentions from the national assembly: how should we wrap it up, so that the representatives of the guttering do not understand it, but when it is implemented, and they discover it, then we should be able to say that they should have understood it? There are several who have tried it, among others. the president of the Transport Committee, Petter Løvik, who says you should understand it from the text of the chapter. 4634(81), Fines, withdrawals: «The entry includes revenue from fines [[Simplified submissions, ordinary submissions and fines imposed by judgment]] And like I said, if we divided the whole increase by 50 pst. at the fine level and 50 pst. on automatic traffic control, in conjunction with the 2004 budget, it would be equivalent to 3 pst. increase, not 30 pst. At least we can't have a system that's now such that a government can wrap it up in such difficult sentences that you have to do detective work in the Stortinget to see what's going on. In fact, under Section 9 of the Liability Act, a government has an obligation to present its intentions and then get a proper, democratic treatment in the National Assembly. I am pleased that the Minister of Transport has grown up enough to confirm in a letter what I have said that the increase in the fines alone is the responsibility of the Government. We hope that it will also be passed on to government parties' representatives and other politicians, so that those who are still walking around and want to plan bluffs do not. I would believe that it would not be particularly appropriate for the current government parties to ensure that we enter into an election campaign in which we are given responsibility for the Minister of Transport himself said we have no responsibility for. It's not the very good, sensible tone, if you look forward in time – beyond September 12.
ParlaMint-NO_2005-03-03.ana.ud1791e758	There are two things in this case. One relates to the actual content, namely the amount of the traffic fines. So today, those who want to reduce this increase by 30 pst, can actually make sure that it's reduced. By the increase in traffic penalty rates, we have further strengthened the world record position in the fine for traffic offences. There's no reason why we're going to be like this. So here's the full opportunity to get our fines back down to the 2004 level. So it's also so that there can't be a lack of money that makes you raise the fines by 30 pst. The Treasury is flooding with money. So it's not poverty that makes you go to this step. In fact, to all intents and purposes, the police authorities warn against having such high fines, and they warn against costing more to run against red light than to exercise violence. This is contrary to people's legal opinion in general, and I also see that there are experts on road safety who question whether this has any impact on the road safety image itself. That's the one. The other has to do with budget and credibility. I agree with the previous speaker, my party chairman, that the answer given by the Minister for Transport clearly leaves the impression – as the Progress Party has always argued in the matter – that this is not our responsibility and that the fines have been adopted in the Council of State. There we have received a clear explanation from the Minister of Transport. I would specifically like it to be communicated to the Right Party of Government. I have seen that the right government party in particular has been very concerned about giving the Progress Party responsibility for 30 p.m. increase in traffic penalty rates, and say that this was known to the Progress Party when they entered into a subsidiary agreement to support the Government Party's budget proposals. That's not the case. It should take the right inwards. And of course, the right should settle for the very clarifying answer that the Minister of Transport has given. Yesterday, during the spontaneous Question Time, there was also a slight exchange of lines between the Prime Minister and the representative Hagen on budgetary matters. The Prime Minister said, among other things: the following: ‘I expect Hagen to stand by what he has done and to be a credible partner in this way.’ I hope now that the Right Government Party will be a credible partner and will not give us responsibility for decisions that are not actually part of the budget, but which the Government has made on its own, independent basis by decision of the Council of State. In fact, it would be a little credible if the Right continues the picture that this increase in traffic charges is due to the Progress Party. It doesn't. The simple and straightforward solution to clear up any doubts about this is to ensure that the fines come back to the 2004 level and that we receive the treatment of fines proposed by the Progress Party in its proposal. First of all, all representatives who want lower traffic fines than has now become – the world record in fines for even simple traffic offences – have today the opportunity to do something about it. They can support the proposals of the Progress Party, bring the level of fines down again, and get a sensible follow-up to the fine system in Norway.
ParlaMint-NO_2005-03-03.ana.ud1791e780	I would just like to stress that the Progress Party in the Financial Committee, in the context of the budgetary process, was not at any time informed by the Government Party that there were plans to increase the level of fines on traffic rules in such a drastic and dramatic way as this has been done. That's how our party president stressed, that one could read that there were plans for a small increase of a few percent, but not such a dramatic increase as has been done here. One can of course do such things as Petter Løvik, say that when there is a different understanding of an item, it is everyone else's fault. It is of course after Løvik's opinion never the government's fault, and the Progress Party should react. I think this is a very special sense of reality. I would also like to stress that none of the hearing bodies, those who came to the hearing, reacted to this. There was no one who suspected that there was a planar about such a drastic increase. I thought the government and the government party should go by themselves and realize that they should have informed about this. It seems that one of us has committed himself to deceiving the National Assembly, rubbing his hands and also fooling his budget partner. That's what I think is a very special attitude to have. I don't think the government's thinking about it in length. There are massive feedbacks from voters and road users that this increase is both unimaginable and incomprehensible. Here, then, we have a level of fines for infringements of traffic rules that are up to the level of fines that one has if one gets caught with drugs. It is now just as punishable, and one gets equal fines to drive too fast on an outlying stretch as to be drawn with drugs on Karl Johan. It is incomprehensible that the Government will adopt such a practice.
ParlaMint-NO_2005-03-03.ana.ud1791e791	The representative Hagen has taken up some fundamental considerations that I think he is entitled to get another comment, that's why I took the floor. As regards the information given in this case, I note that the Progress Party has the opinion they have expressed here. The Government has submitted information on a case-by-case basis both in the Finance Committee and in the Justice Committee. But I notice the views on what information is expected to do, and how to pass it on. As far as the actual chapter is concerned, as far as I remember, it is increasing, according to my number brain from 904 million. NOK 1050 million. kr. It's percent larger than 3 pst. I notice how you perceive this. It has been presented that way by the Government, and at least the purpose has been not to hide anything. With regard to the concrete fines, it is absolutely right that the Government should determine them, as explained in a response from the Minister of Transport to the Grand Duchy. The second question raised by Mr Hagen is the issue of punishment and response in general. There is one matter here in the Justice Committee at the moment about the general part of the criminal law – which does not go on the criminal register, because it will come in its turn. It is clear that the government has committed itself to tightening up criminal sanctions for repeat crime, organised crime and crime that violates sexual integrity, violates life and health, and is serious in every way. It is also apparent from criminal investigations that this is followed up by the courts. There are also views from the Government on how the courts in general should deal with mitigating circumstances when assessing the individual case. In the case of fines other than simplified prescriptions, which is the subject of today's debate, they are not administered by the administrative board, they are largely governed by the prosecution authority, and are assessed on a case-by-case basis by the prosecution authority and by the courts. With regard to the most serious conditions, e.g.: violence, it's not usually fines you use, to say it the way you use other criminal reactions, because it's reasonable and right to react that way. Of course, I have noticed the views expressed in the debate, and I would like to take them further with me on the various points that have been raised.
ParlaMint-NO_2005-03-03.ana.ud1791e810	What made me take the floor in this case was two things. One was Starrfelt, which is essentially the only one who has taken the word here. It seems to me that the rest of the assembly with its bent head is trying to keep this matter to its own devices, but it is not possible. I want to go back a little bit to the statements from some people, and then especially the Right, that we should have seen this. Now, for the Financial Committee as for other committees, the presentation of the State budget is being reviewed, among other things. by the various organisations outside the community. In this case, there is one matter that Norway's Automobile Association, Royal Copenhagen Norwegian Automobile Club, Norway's Truck Car Association and other major organisations are reviewing with a view to finding things that they will try to influence the Financial Committee and the Stortinget to make changes in the hearing. Then it should ring a bell when none of these organisations have seen what it says, or understood what it says. The question is, has this been done in such a way that the Storting should be tricked into adopting this? In the debate that has taken place, I find it more and more obvious that this is the case, that one has tried to cover it in a way, so that the Storting should not understand that one did this. Then, of course, you can claim that the Storting should have understood. But it should, as I said, have called a bell when none of the hearing bodies said anything about this, but afterwards react spontaneously and vigorously when it becomes known that the fines are increased to such a level. I am very pleased that the Minister of Justice has also established what the Minister of Transport has previously stated. But I want to read out what's in the letter, with the background that the Workers' Party and Starrfelt are trying to use this unhindered -- that we knew about this, we could do this, and it's our fault, this. So they're trying to trick themselves into voting for this proposal. But such lightweight solutions are not acceptable. I think the Workers' Party should go on its own and make its views known on a real basis. The letter from the Minister of Transport states in the last section: ‘If the State Secretary Ellingen’s opinion in the said TV 2 programme could be understood as explicitly contributing to and accepting the new concrete level of the fines, this is unfortunate. In this case, it is undeniable that the relevant changes in the rates of simplified presentation of road traffic cases were adopted by the King of the Council of State on 7 January 2005 and that, of course, the Progress Party had no role in this regard.» It should then be so clear that even the Workers' Party understands it.
ParlaMint-NO_2005-03-03.ana.ud1791e826	I have just a brief comment on the Minister of Justice's misunderstanding – it may be because I referred to a little error in my own post, which is what the increase is. 4634 item 81 is. So it's not from 904 million. kr. That's the initial budgetary weighting. It is clear that when we are going to consider what the increase proposals are, we need to look at the recent ageing of the same harvest as we are doing in the budgetary procedure, and then there was a significant increase in 2004 from these fines, then without any increase. I went through this thoroughly in my letter to Minister for Transport Skogsholm. But I think that's how the increase in this item is smaller, about 8-9 pst, and when you divide it by the different things, we figure out that we could expect an increase in the penalty rate of 3 pst. This is because of course we have to compare with the reality of 2004 and not what was planned for 2004 the previous year. It makes me ask a question to the Minister of Transport, or the Minister of Justice – it has been a big problem to find out which state council it is really responsible here. It was also a problem when we were going to find out which committee would possibly be responsible here. Nobody really wants to be responsible for this. But I understand that, because it is probably an office that has done so, without having made their own bosses aware of it. But the superiors can never admit it anyway, so we never get clarity in that. My point is that if, in the context of the revised budget this spring, it turns out that there are additional revenue in relation to the 2005 budget, there are two things to do: either to instruct the police not to build more boxes or to reduce the number of checks, or to reduce the fines, so that we do not have an income far above the budget at the end of 2005. I would like to ask if any of the councils can say that if it turns out that you get revenue in addition to the expected budget, the revenue will be used to reduce the fines for the remaining part of the year. Or will they be used to instruct the police and road authorities to reduce the number of automatic boxes or checks? Or is it that the government just wants to sit and enjoy that there's more money coming from the drivers than they had planned?
ParlaMint-NO_2005-03-03.ana.ud1791e835	I understand that the Advance Party needs to make a difference in this matter. I also know that the Progress Party has sent a letter to the Minister for Transport and received an answer to that question. I also understood that the representative Carl I. Hagen has been satisfied with that answer. But the reason I'm taking the floor is the use of language in the hall. It has been my intention for all the years I have been the parliamentary leader in the Right and led various debates in the House relating to the budget, that everything should be done fairly and properly. And I take it quite personally that someone makes claims in the hall that someone has tried to trick someone. If there's something far from my position in politics, it's tricking someone. This has been presented in the budget, as it tends to be presented in the budget. If it is that the Progress Party thought that there has been too little information related to it, it is a straightforward claim. But it's far from there to say that someone has tricked someone. I would like to ask Carl I. Hagen to come up to the pulpit and confirm that the undersigned has never tried to trick the Progress Party in any negotiations.
