ParlaMint-NO_2005-05-11.ana.ud1891e28	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2005-05-11.ana.ud1891e472	The Council of State said that the start of a road project could create a good deal of optimism in society. Yeah, I totally agree with that. But we have a lot of road projects that end in loose air or in the mountain wall. It doesn't create much optimism. The completion of Hardangerbrua is also important. Is it not time for the Council of State to demand its office to complete the matter so that it can be dealt with? When can we expect the start of road projects to be completed?
ParlaMint-NO_2005-05-11.ana.ud1891e479	I can assure you that we are working very intensively to implement the projects we are starting up. We have a policy that we do not complete adopted projects, but that we are actually completing them. When there are many projects that different representatives want to present, it may not be unnatural for them to appear now. We do what we can to get any case submitted as quickly as possible. It's important for people around, and for business, not least, that we have good transport solutions. This government has placed great emphasis on having a good standard of transport solutions – they have to be effective, they have to be safe and they have to be environmentally friendly.
ParlaMint-NO_2005-05-11.ana.ud1891e486	The President wants us to have room for two more key questions, but we must then be considerably more restrictive in terms of access to supplementary questions. So we're going to go to the next main question.
ParlaMint-NO_2005-05-11.ana.ud1891e491	I would like to ask the Minister for Transport another question. I have argued that the Minister for Trade not only accepts matters, but in fact also governs the department she is renting, and can take the initiative to get things done. I argued that the Council of State also knew that there were major problems, among other things. in the road sector in Norway. There is a background on maintenance, there is a dispensation in a few states, and regions report that they do not set targets. It's every week connected road, lately in Hardanger. It is every day that people are afraid to send their children out on the roads because they are afraid of race, and it is every day that people are in line – at the same time, the State Road Administration could not use up about. 750 million. - Thank you. - Thank you. - Thank you. Because we could have gotten 7.5 km wide four-field highway, we could have race protection corresponding to the four-year budget, and we could have improved the E6 north of Alta two times. Then I ask the Council of State: how can this happen, that while we have such a great need to use pesticides, we can't even use up our permissions?
ParlaMint-NO_2005-05-11.ana.ud1891e500	It is true that there are funds that were not used in the last year, but are tied up in projects that are in full operation – either they are already in operation or they are now in operation. So what's going on here is a time frame. There is no money at the disposal, there are projects on the way, and there are often very important projects. It's absolutely right that, for example, racial protection is important. Therefore, this government has chosen to increase its efforts in the field of racial protection in this period in relation to what was done in the previous period. The fact that people have to feel safe in everyday life means a lot, whether you live in town or you live in areas where there is race. That is why we have placed great emphasis on the whole of our policy that when we plan projects, when building new projects or repairing existing road solutions, we take extra account of the safety of the design of the solutions. We have a lag in relation to maintenance. Therefore, this government has chosen to increase the appropriations for Item 23 for operation and maintenance in the road sector; it is important to raise the level in relation to road safety wherever it is necessary to live in that country. What we've seen then is that we've got the activity up in several areas of road safety. We see that it's been used less for asphalt, which has caused concern in some states. That is what I intend to follow up by taking a review of the use of funds for asphalt, while at the same time we have an efficiency improvement that means that we have done much more for the same means than we had before.
ParlaMint-NO_2005-05-11.ana.ud1891e509	I thank the Council of State for the answer, which at best commuted a little into what was my main problem. So we have money that we haven't spent, and we have a lot of exact needs. No response was given. I would like to remind the council that when Vegvesenet was reorganized, SV, the Workers' Party and the Centre were in favour of a divisional model. We wanted the Vegvesen to have some tasks, which were not to be offered, and we wanted it to go much longer – it was also Vegvesen's own recommendation. Can't the Council of States now admit that it's because we've gone too fast with this competition, that we're sitting with money on a book, and so we can't improve the roads that were supposed to be better off with the money? I would like to ask the Council of State – to be forward-looking: will she reconsider this, and can she guarantee that this year and next year, when we have to increase the roadways by NOK 1 billion, has a device that makes it possible to follow up this?
ParlaMint-NO_2005-05-11.ana.ud1891e516	I'm not completely familiar with the description of the situation. It is true that there is money that was not used last year, but they are in use now. There is also reason to stress that there is no desirable situation that should be such from one year to the next. There are already activities in place to prevent this from happening when we go into a new year. I would also like to stress that the competitive outlook has given us a great efficiency gain, an efficiency gain that means that we get implemented much more than before. Then we're talking about a net efficiency gain of hundreds of millions. For 2005, we are talking about a net efficiency gain of approx. 300 million. kr, and for 2007 on a net efficiency gain of 850 million. kr. This means that we can maintain a level of activity in the road sector that is significantly larger than today, and that is important.
ParlaMint-NO_2005-05-11.ana.ud1891e524	We go on to the last main question in today's oral Question Time.
ParlaMint-NO_2005-05-11.ana.ud1891e527	I will be asked a question to the Minister for Development, and be allowed to come back to Uganda a little bit. The United Kingdom has recently announced a cut in the state-to-state aid to Uganda due to a lack of democratic reform and a general concern for the development of the country, and efforts are being made to cut aid pressure. Will the Council of States share the concern of the United Kingdom for democratic development and will the Council of States follow up the detention of parts of Norwegian aid to Uganda to contribute to a coordinated international pressure against the authorities of Uganda?
ParlaMint-NO_2005-05-11.ana.ud1891e536	Norway is in a very close consultation process with the most central donors in Uganda, among others. United Kingdom, the Netherlands, Sweden and Denmark. It is the most central to the so-called social fund under the Ugandan state budget — some with direct budget support. We are now in a process linked to the next financial year, and we are in the process of these consultations. Because of the process in relation to own allocations, the British first came out, but nothing is done in this process now that is not coordinated between the most central donors. We are therefore assessing the current situation in relation to the constitutional process in Parliament, which is currently under way. We consider President Museveni's own signals in relation to the regime and the fight against corruption. We are now assessing how they deliver in relation to the peace process in northern Uganda, where Norway is very central. And last, but not least: we evaluate how they deliver in relation to financial management. These questions are now the basis for the assessment of Norwegian aid. We do not exclude that there may be consequences in terms of level, but the conclusion is not yet drawn. It shall be done jointly with the other donors.
ParlaMint-NO_2005-05-11.ana.ud1891e545	I would like to thank you for your answer. The United Kingdom also withheld funds last year because of concerns about lack of reforms. As far as I know, Norway did not follow this up at the time. If there's anything positive about what you're doing right now, that's fine. But can the Council of State say anything more about how she assesses the democratic situation in Uganda? She says that you make a continuous assessment. But what are her views on the human rights situation, on democratic development? Is it pointing in the right direction, or is this a cause for serious concern?
ParlaMint-NO_2005-05-11.ana.ud1891e552	Uganda has been among the so-called reform-oriented countries. President Museveni has been among those who have delivered the best in the fight against HIV/AIDS — reverse the epidemic — in terms of education, and in terms of improving the governance that was miserable when he took over. We have seen a trend in recent years that points in a more worrying direction. We do not yet know whether the decisions that many believe will be taken will be – among other things. whether President Museveni will take a third presidential term. The decision on his part is not publicly known, and it is not made as far as we know. But there is a basis for this in Parliament's constitutional process. We have expressed our dissatisfaction with it clearly and unequivocally, both with other donors and from Norwegian side alone, in conversation with the President and also in letters to the «burdening president» – which is not called in Uganda, but similar – and to the Minister of Finance. We are, as I said, in close dialogue now. The situation is worrying, but we do not yet know whether it is going in a direction we can be concerned about. We can only draw that conclusion later.
ParlaMint-NO_2005-05-11.ana.ud1891e561	Then the last word fell into today's oral Question Time, and we go over to the ordinary Question Time.
ParlaMint-NO_2005-05-11.ana.ud1891e567	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative Per Roar Bredvold to the Minister for Labour and Social Affairs, will be answered by the Minister for Education and Research who directs him. Question 7, from the representative of Marit Nybakk to the Minister of Defence, is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2005-05-11.ana.ud1891e582	I will be allowed to ask the following questions to the Minister for Local and Regional Affairs: ‘A family from Kosovo applied for asylum in January 2003. The receipt was dropped. In June 2004, they got an apartment in the municipality of Skånland. The youngest son has brain damage, infantile epilepsy, blindness, and major developmental disorders, both mentally and physically. UDI has paid for the apartment and nursery services 3 days per person. week. He has been closely following up both the 1st and 2nd line service. On 2 May the family finally received a refusal. Is the rejection the result of the new rules in which review procedures have been strengthened for particularly strong human reasons?’
ParlaMint-NO_2005-05-11.ana.ud1891e596	The new rules restricting the ability of foreign authorities to reverse previous decisions, to which a majority of the Grand Duchy has acceded, have not yet entered into force but are expected to enter into force during May. Thus, the Kosovar Albanian family to which reference has been made has been assessed under existing legislation. I find other reason to stress that when the new rules come into force, they will only narrow down the right of conversion of the foreign student after the final decision has been taken. In the context of the ordinary review of the Decision of the Directorate-General for Foreign Affairs — as in this case — the assessment theme will continue to be the existence of ‘strong human interests’ and not ‘particularly strong human interests’. It is only after the denominator has decided a case that the decision is to be considered final. Thus, even with the new rules, the theme of the assessment of the foreign student by ordinary review procedure will include the existence of ‘strong human interests’. And that's what's been the subject of this case.
ParlaMint-NO_2005-05-11.ana.ud1891e609	I thank the Council of State for the answer. However, there is reason for concern when it is such that this case does not fall within the concept of ‘strong human interests’. If this case is to be brought before the Court following final decisions and the new rules will now be put into effect, then ‘particularly strong human interests’ will apply and it will be even more difficult to reverse the decision. The Labour Party has always disagreed with the Government and the Advance Party that ‘strong human interests’ should be changed to ‘very strong human interests’. I believe that the matter that we are dealing with now confirms this. For this reason, I would like to ask the Council of State whether there will be issues that may come under «particularly strong human considerations», when this matter does not fall under «strong human concerns».
ParlaMint-NO_2005-05-11.ana.ud1891e618	I would like to remind you that Stortinget does not carry out an individual case handling, and I do not. Therefore, I do not submit any instructions as to whether this case should have been adopted or not. I do not believe that the representative Signe Eye should have done so in the form she now expressed. It is to break the law and the type of governance for which she has been involved, namely that individual matters are dealt with by the non-resident administration. That's why we can't use Storting's pulpit to get straight with a single case decision, because then we get involved in the division of labour that is. Otherwise, I do not think it is possible to use matters that have been adopted as examples of the results of a law that has not yet entered into force. I think it'll be obvious to most people that a code that hasn't come into force can't be used as an example either. When the assessment theme is not the same either – and it has been an ordinary complaint procedure – I think it is a sought-after issue. I really think we should be clearer about what roles we have assigned ourselves in relation to individual proceedings in the foreign administration.
ParlaMint-NO_2005-05-11.ana.ud1891e625	Once again, I thank the Council of State for the answer. I know very well what both the Council of State and I can do in relation to a single matter. However, it is important for us to use individual cases as examples to see how the legislation is handled, because that is when we can see whether there is a need to change the legislation. In this case, we have a family who came to Norway two and a half years ago, and a lot of resources have been spent on treatment with follow-up, and now it turns out that good progress has been made. When one has spent two and a half years dealing with the matter and then suddenly says in May that now it is out, does the Council agree that the entire treatment has been discarded?
ParlaMint-NO_2005-05-11.ana.ud1891e634	I cannot go into that kind of assessment when I do not consider individual cases. I cannot say about the treatment that the child in this family has received in a medical environment has been discarded or not. I am neither a medical expert nor an expert in these foreign affairs. I have a role to play in relation to the general legislation. Using Storting's pulpit to assess the exercise of discretion in the foreign administration, I don't think big business representatives should do that. I actually think it's breaking the rules you've set for who has what roles in this context. I am a little stated that the Storting itself does not establish any guidelines on how such matters should be dealt with, and what is legitimate in relation to the law when dealing with such matters. So to the question of the principle in this case. So it's in the foreign administration. The question that can, of course, become a topic for emphasising medical treatment and other aspects is: Is it the case that the institution of asylum should also be an institute for people in need of treatment to receive treatment in Norway if treatment is not as good in their home country? It is an opening of the institution of asylum which is quite large and with which we have problems with Kosovo on a daily basis, because there is a great flow from Kosovo of people with medical problems who hope to be able to become and who hope to get better treatment.
ParlaMint-NO_2005-05-11.ana.ud1891e647	This question, from Per Roar Bredvold to the Minister for Labour and Social Affairs, will be answered by the Minister for Education and Research who directs him.
ParlaMint-NO_2005-05-11.ana.ud1891e650	I would like to ask the Minister for Education and Research the following questions: ‘The Tyrili Foundation, with several schools in Norway, is struggling financially and, in the worst case, must be closed if they do not receive financial resources. This is very bad and in the long run harmful to the many who get help here. What will the Council of State do to enable operations to continue to run out of the year, and to make the appropriations permanent and preferably based on unit-price financing?’.»
ParlaMint-NO_2005-05-11.ana.ud1891e659	Public funds for primary and secondary education are allocated mainly as part of the framework transfers to the local government sector. The Ministry therefore has no funds available in its budget for grants to the school activities of this institution. The responsibility for the training of patients in private health institutions lies with patients' residence municipalities in the case of primary school education and with patients' residence counties in the case of secondary education. The Ministry has been in contact with most of the country's about 100 000 people. 40 private drug institutions. The majority of institutions have different types of institutional training, but the content, scale and organisation of training vary greatly. Training is provided such as: have elements of both primary and secondary education, general social orientation, counselling and vocational guidance. The institutions also provide training which cannot be defined as training in the sense of the Training Act, for example: different types of practical training and training for different certificates. Consequently, this type of training is not the responsibility of municipalities and counties, and in such cases it may be relevant with support from, for example: the set of labour markets. Training provided is also often given regardless of whether the patient has formal training rights under the Training Act or not. It is not relevant for me, as mentioned above, to accept short-term solutions for one institution. However, with regard to longer-term solutions, I have started work to assess whether current legislation and funding arrangements for the training of patients at private health institutions are appropriate. In cooperation with the departments concerned, different alternative solutions will be considered. I will come back to Stortinget with the result of this work. I am concerned that the legislation on training responsibilities should also ensure good provision for patients in private health institutions and that the legislation should be precise and easy to practice. In the work currently in progress, it is therefore important to find future solutions that are adapted to schooling at all institutions, and the various variations of training that we know are among these. Not least, it becomes important that the final solution becomes such that it can actually remain standing as a long-term solution.
ParlaMint-NO_2005-05-11.ana.ud1891e674	I thank the Council of State for the answer, which might not have been positive in the short term, but which at least in the longer term was positive. It is clear that many people around Norway need this kind of help. We all agree on that. For me, it is not important whether the institutions are public or private; the important thing is that there are institutions that can provide this kind of help to those who need it. Originally the question was asked to another minister. As we now hear from the Minister's answer, there are many departments that can participate and contribute to the economics of this, so that, among other things, The Tyril Foundation can continue. Now a budget is to be submitted on Friday. Then we hope that there is some money there, because money is needed to keep this going. It is on the basis that I am raising this matter on a large scale.
ParlaMint-NO_2005-05-11.ana.ud1891e683	Without going into the Tyril Foundation and the current situation there in particular, I agree that this is positive, because this is potentially a type of institution that can fall between many public chairs, whether there are different central, regional, local levels or there are different laws, sectors, departments, etc. I am concerned that a solution is found that is sustainable and predictable and necessarily involves more departments and perhaps more levels of administration. So it is to find out what is predictable for the institutions that I have taken the initiative in this work. I fully agree that the work done is very positive, and you can't push the training activities that are going on, into a narrow framework so that it fits into one law or department.
ParlaMint-NO_2005-05-11.ana.ud1891e690	I thank the Council once again for a positive response. I believe that, together, we, both magnificence representatives and ministers and the various departments, will be able to find a solution to this. As late as today we could read in the online newspaper that only in Oslo there are several thousand who need this kind of help. And if I remember correctly, it's just a dozen free places -- if there's any available ones at all. There's a lot of people on the waiting list. But it doesn't help those on the waiting list, because while you're on the waiting list, there's a lot that can happen. When you finally get the square, it might be too late; you might be in a different situation. We're going to hope that something positive comes out of this, and I'm going to interpret the Council of State to that it does.
ParlaMint-NO_2005-05-11.ana.ud1891e699	I'm just repeating that we're coming back to Stortinget with a solution when we find out after a closer investigation.
ParlaMint-NO_2005-05-11.ana.ud1891e708	My question is like this: ‘The responsibility for supervision of primary and secondary schools has been added to the education departments of the various county offices. Public schools are supervised by visits to municipalities and county councils and thus not to individual schools. This means that employees, pupils and parents are not contacted or ‘heard’ in the context of supervision and that supervision is not used as a quality driver for each school. What will the Council of State do to improve the quality of supervision work in Norwegian schools?’
ParlaMint-NO_2005-05-11.ana.ud1891e717	The Ministry of Education and Research is responsible for supervising, inter alia: general primary and secondary education. This power and task have been delegated to the county officials. It is the school owner, as the person responsible for the training, who is subject to supervision. This implies that the State of County of County is formally related to municipalities and county municipalities in carrying out supervision under the Training Act. However, supervision can be carried out in many different ways. Supervision may be done by the supervisory authorities meeting only the central administration of each municipality or county municipality, but supervision may also be carried out by visits to individual schools and by means of questionnaires. The most appropriate way of carrying out supervision will depend on the reasons for its implementation and on the rules of the regulatory framework under which supervision is exercised, such as: whether there is a right to a good physical and psychosocial environment, the right to free primary education or the requirement to obtain a police certificate. I have reviewed some of the surveillance reports published by the county officials on their websites on the Internet. My impression is that employees, students and parents are heard in the context of supervision when appropriate. It's easy to find concrete examples of that. The greater local freedom of action to which it is now generally provided requires a well-functioning supervisory system. The Ministry has therefore indicated in several large-scale documents that it wants to improve supervision. In particular, the supervisory authority shall monitor the fulfilment of the individual rights and the compliance of the school owner with its obligations under the legislation. In this context, good dialogue between the supervisory authority and the school owner is important. The same applies to any other implicit. The letter of assignment to the county councillors for both 2004 and 2005 shows that supervision and supervisory issues should be the main focus of the task portfolio in the field of training. Experience has shown that the content and methodology of supervision in the field of training have differed. The Ministry of Education and Research has therefore, in its letter of award to the Directorate of Education, entrusted the Directorate with the task of ensuring the development and systematic development of the content and methodology of supervision, so that supervision is more consistently carried out in the counties. In addition, during 2005, the Directorate shall, inter alia: pooling information from the counties on the results of supervisory activities and assessing the experience gained, including assessing both the scope and effectiveness of supervision carried out in the key priority areas. In particular, the Directorate for Education has set up the project ‘Development of a common professional basis and a more coherent service profile in the education and training departments of the State’. One of the project's working groups has been mandated to propose measures to develop and implement a common working methodology and common procedures and tools for the regional team's supervisory function and interaction with school owners, as well as to ensure the necessary competence at the regional level.
ParlaMint-NO_2005-05-11.ana.ud1891e732	I thank you for your answer. The first part I would like to comment on by saying that if you go into the county's websites and see how they talk about their education tasks, it would be huge. I have over a long time checked reports that have been published, and I do not agree with the Council of State that the parties that I mention in my question, namely employees, students and parents, are being heard. On the other hand, it's obvious that it's the school owner it's being conferenced with. However, the end was more promising. It is important that we focus on joint management of the main objective of supervision, namely quality assurance and quality development. One of the main tasks of the Education Directorate is supervision. The Department of Education of the State shall be the extended arm of the Directorate, and they shall themselves say that they depart from the old-fashioned regulatory methodology and shall focus more on monitoring and monitoring of the results. It is then important that all interested parties be consulted.
ParlaMint-NO_2005-05-11.ana.ud1891e741	I don't think we necessarily disagree so much here. Firstly, I would like to state – as I tried to do – that there is nothing in the system we have today that prevents you from hearing students and parents. They'll be heard. It may not be enough or to the extent desired, but it does. Secondly, the representative of Sortevik is quite right in saying that the way in which supervision is carried out really cracks. I would say that the quality of the supervisory work is probably also varying. That is also why I have taken the initiative to identify how supervision is being carried out and to ensure more consistent supervisory practices in the light of the reforms that are now taking place. I do not want to promise the outcome on the stand, but it is clear that one outcome could be that the parties were recommended to be heard more than today, as the representative Sortevik wants.
ParlaMint-NO_2005-05-11.ana.ud1891e750	To pursue this, I would recommend that the Council of State look at our nearest neighbouring country, Sweden, which at least has a two-phase supervisory model, so that when you get back to school in round 2, you actually visit each school and do interviews with representatives of the groups concerned – employees, students and parents. It can be a good methodology and also a method to ensure that all stakeholders are fully involved in good supervisory practice and that quality development is ensured. It is a relationship with which I will finally touch. It is that the physical visit is also important for self-confidence, as the supervisory authority, to be seen at the school, both in terms of its contents, as it is practiced, and in terms of its physical appearance. We do that in other areas of society. It should be as natural within the school area as for the Food Authority to visit individual shops and restaurants and actually close units. Similarly, it should also be possible for training to take place.
ParlaMint-NO_2005-05-11.ana.ud1891e757	I agree that physical visits may be useful, but that depends on what you want to investigate. If you like to read it on paper, it might be inappropriate. But I don't have anything to object to. I think it's a good idea to look at the methodology in Sweden. If you're looking at our national quality assessment system, where, after all, this surveillance is going to follow, maybe Sweden is the country in our closest environment that is least different from ours. So it might be interesting.
ParlaMint-NO_2005-05-11.ana.ud1891e769	I have the following questions for the Minister of Health and Care. ‘patients entering permanent examinations, tests and dialysis at the Sandness Lake Helgelands Hospital are transported by taxi, despite other recommendations from doctors and despite long, tiring and time-consuming transport in a long-distance state such as Northernland. This is because of it. an agreement with the county taxi industry. Will the Council of State, based on the well-being of the patients, consider alternative transport when the price of the assignment is the same, or does the taxi industry have a monopoly on this transport?’
ParlaMint-NO_2005-05-11.ana.ud1891e778	The transport of patients to and from hospitals in Helgeland is carried out, as elsewhere in the country, by a variety of means of transport. Here the boat, taxi, airplane and helicopter are used, as well as the ambulance. It is a doctor who requires the means of transport to be used — and this is not being tested or overruled by transport agencies or others, except when specific coordination is needed. The principle is that the patient should be transported in a manner that is considered medically sound, taking into account the economy. The choice of means of transport is determined by the medical assessment of the patient’s condition by the physician. Agreements with the taxis are made through the use of tenders. I will then refer to the process initiated by the Rikstrygdeverket, which has now been taken over by regional health companies. Let me give you one example of how this can happen, where a patient living in Brønnøysund gets dialysis. Usually the patient travels to and from hospitals with taxis. Sometimes the patient may be offered to stay overnight or to be admitted to the hospital, so that he is free of some travelling time on the day of treatment. The difficulty of such transport depends, of course, on the patient’s condition. When the distances are large, the option for taxi will be hospitalisation. In the case of dialysis patients, the hospital applies every year to the State Road Administration to give priority to dialysis patients transported in taxis and on which the ferry route is part of the journey. This in order to prevent them from getting extended travel time even if it was to be a ferry queue. It is the medical assessments of the physician that determine the means of transport to be used for the individual patient. If the doctor thinks the patient needs an ambulance, so does it. The only exceptions will be where the ambulances in question are already occupied or have to be kept in standby; the option could then be either taxi or an overnight accommodation offer in a hospital. If patients experience not being listened to when it comes to the need for transport, this should first be addressed with the treating physician, then with the health company – or the health care department in the county – and, where appropriate, with the patient representative. Medical assessments of the patient’s medical condition — what the patient can or cannot tolerate in relation to travel — cannot and shall not be over-tested by others. Occasionally, this must be balanced against other considerations, but always in such a way as to comply with the requirement of soundness.
ParlaMint-NO_2005-05-11.ana.ud1891e793	I thank you for your answer and have an additional question. In the opinion of the Council of State, it should be assessed on the basis of the patient’s well-being and, if the total costs become the same, the use of, for example, should be considered. helicopter in a long-distance state such as Nordland?
ParlaMint-NO_2005-05-11.ana.ud1891e800	As I said, there are two issues that are absolutely crucial here. The most reasonable means of transport is initially used, given the state in which the patient is. Of course, it varies from patient to patient. The use of helicopters will be a relatively costly affair throughout. But it's not that it doesn't happen. The places where distances and conditions warrant it, it'll also be useful, I know, also in this area. Making helicopter the usual is probably going to be a bit ahead anyway, I think. We still have to rely on both taxi, boat and ambulance. But as I said, it's also that the helicopter is included as one of the alternatives.
ParlaMint-NO_2005-05-11.ana.ud1891e807	I thank you again for the answer and have probably an additional question. Are the contracts concluded such that they may be subject to reassessment when new and profitable alternatives appear?
ParlaMint-NO_2005-05-11.ana.ud1891e814	So there are two issues that are important in terms of the conclusion of these contracts in general. One is that there should be such a long time-frame that the person to whom the tender is to be made can adjust accordingly. On the other hand, it should be no longer than to be able to capture just such things as the representative Bastesen is after – changes in the reality in which they are located. It has varied between one and two and three years on these contracts, something other than that I am not familiar with, and I do not think that would be appropriate either.
ParlaMint-NO_2005-05-11.ana.ud1891e823	I will allow myself to ask the Minister for Health the following questions: ‘A cancerous person in Flekkefjord has been denied bone marrow transplantation abroad. The decision of 13 April 2005 provides for the rejection by the Department of Dispensation and Appeal of treatment abroad. Please note that complaints have shown that a patient from Central Norway has been covered by such expenses for treatment. The doctor writes that the individual health care provider is responsible for ensuring the necessary health care for its patients. What will the Council of State do to help this person and thus ensure equal treatment throughout Norway?’
ParlaMint-NO_2005-05-11.ana.ud1891e832	Equality and equivalency are a very central principle for Norwegian healthcare. However, treatment options will vary depending on different individual circumstances. Regional health establishments shall ensure that patients residing in the region are provided with the necessary specialist health services. If this is not in their own region or country, regional health care enterprises will have to buy it from abroad. This is done, and the awareness of this possibility is increasing, both in healthcare and among patients and relatives. This is joyous. However, a question of sending patients abroad should and must be considered in relation to medical options, i.e. Prognosis related to treatment. Here it will always be a professional judgement in relation to the individual patient. This is a discretion that politicians can hardly or should be tested to the extent that they do. In order to contribute to greater equality, it is known that its own complaint mechanism was introduced in 1999. The subject of dispensation and appeal for treatment abroad is the Board of Appeal in cases where patients seek health care abroad if necessary, on the grounds that there is no adequate medical offer in Norway. The assumption is that healthcare can be properly provided by providers in other countries and that it is done in accordance with the accepted method. This is otherwise regulated in a separate regulation, based on the Patient Rights Act. This name, Dispensation and Complaint Board for Abroad Treatment, is a free and independent court-like administrative body that the Ministry cannot instruct. The individual cases are finally decided by the name, but they may be brought before the courts. I am aware that in the patient case in question, the profession recommended – in Stavanger it was well – that the patient could receive the current treatment, namely bone marrow transplantation, abroad. However, the patient’s region of residence, Health South, has assessed the case differently and found that this is not a treatment with sufficiently documented effect. The patient therefore did not receive an offer from Health South. This decision was appealed against on the subject of the complaint, which thus maintained the decision. I am aware that this for the patient concerned may seem like a hard decision. But the Stortinget has therefore decided that the medical-disciplinary judgement on which such decisions should be based should be governed and not be overreached by politicians. However, what politicians can and should contribute to is, on a general basis, to ensure the greatest possible level of non-discrimination in healthcare, including in the field of cancer treatment. That is why we have started a work, which has gone over time, with a greater degree of national standardisation in this area. The Government will detail this work in the revised national budget, which is due in two days’ time.
ParlaMint-NO_2005-05-11.ana.ud1891e847	In the Workers' Party we are concerned that we should have a Health Norway. That's what I'm asking you, you're going to get the same health services regardless of your place of residence or your financial ability. This case shows that there is discrimination in Health-Norway. So if a health business in one region wants to make an offer, and another health business, in another region, does not want it, it becomes a very discriminatory. That's the discrimination I'm asking if the Council of State will do anything about. If you have to move to Health Mid-Norway to get this offer, it's going to be completely wrong given that we're going to have one Health-Norway.
ParlaMint-NO_2005-05-11.ana.ud1891e854	Let me make it very clear: when the representative says that the Labour Party is committed to having Norway as a health-care country, it is an even greater reality for the signatory party. It was the Workers' Party that divided Norway into five healthists. We proposed to have one. It was a labor party government that in December 2000 made the regulations that govern this. And it was then the Hernes State Council that decided in its time that these matters should not be subject to political review. In the case of this case from Central Norway, referred to as a non-documented reference, the judgment of the Court of First Instance states: ‘To the complainant’s reference to the fact that a patient from Central Norway has been covered by the costs of treatment in Sweden, please note that it is not aware of the specific case.’ I agree very much, and I understand very well the individual patient who believes that he has a case that is parallel, but that has been treated differently. I have not been able to find the matter in question. I'm more than willing to be in dialogue with this patient to get it straight, because whatever the history in this area, I'm concerned that it should be equal to the treatment of similar cases, despite the five health regions we have.
ParlaMint-NO_2005-05-11.ana.ud1891e866	I would like to thank you for your answer. I just want to clarify very briefly that there is a reason why a Labour Party representative is addressing this question in the Question Time today. It's precisely because we see that there's a bias in relation to this case, and it might well be that this is just the top of an iceberg. I am not going to go into the professional assessments, but it is clear that this person is of a different opinion than the one behind the assessment he has received. He believes that this treatment can be demonstrated in a better way than has been achieved. Then my closing question is: Is the Council of State willing to meet with this person, so that he can present his case directly to the Council of State?
ParlaMint-NO_2005-05-11.ana.ud1891e877	I'm very concerned that claims of bias are going down in the seams. If it were to be the case that you get a lot of different offers depending on whether you live in Flekkefjord or in Levanger, I am interested in getting this documented to move on with it, because I am concerned about non-discrimination. Now I've had meetings with quite a number of patients in the scarce year I've been to the Ministry of Health. It's very often ended up that what basically for us laymen may appear to be the same medical cases, not necessarily it has been. But of course, I am more than willing to and interested in having a meeting with the patient concerned, in order to be able to go through this in a calm and relaxed atmosphere. Of course I'll do that.
ParlaMint-NO_2005-05-11.ana.ud1891e888	‘The construction of the Bjørvika tunnel involves the handling of large volumes of clay and other types of mass. Most of it is thought to be deposited on the fjord bed in and around Oslo harbor. In the past, landfills are located outside Ursvik-Hellvik at the Nesodden. Will the design of underwater landfills be taken into account in order not to prevent or alter the circulation of water and hence the oxygen supply upon which the marine life depends?’»
ParlaMint-NO_2005-05-11.ana.ud1891e895	I refer you to St.prp. No 50 for 2004–2005, on the development of the E18 Bjørvika project in Oslo. The proposition sets out the removal, deposit and cover of contaminated masses in this area. The State Road Administration is authorised by the State pollution control authority to use the clean clay masses to be excavated into the area to cover the contaminated seabed in the inner port. Mass types other than pure clay masses will not be used for such cover. The authorisation was granted on 14 January 2005. The authorisation was conditional on the quantity and distribution of the masses to be determined with the Municipality of Oslo and after detailed description of the measure by the State Road Administration. In the past, there has not been a landfill for masses at Ursvik-Hellvik, nor will this happen in connection with this project. However, in the autumn of 2004 a pilot project was carried out with controlled interpretation of a limited quantity of clean clay with a thickness of up to 20 cm in the Oslo inner port and at Ursvik-Hellvik. The State Road Administration submitted its proposal for the disposal of the pure clay masses to the State pollution control authority on 2 May 2005. The areas where the masses are considered relevant for use are according to the ‘Solid Action Plan for Contaminated sediments in Oslo Port District’, developed by the Municipality of Oslo. This draft action plan was sent to the hearing in the last week of April 2005. The covering of contaminated seabeds with clean clay masses is different from the construction of a landfill — a reception — for clean clay masses. Undersea dams or other structures are not constructed on the seabed by covering. Consequently, the covering will only involve a layer — a cover — with clean clay masses on top of the contamination to isolate them. The camp originates from the original seabed in Bjørvika. The County of Oslo and Akershus and the State pollution control authorities want to use the construction of the lower tunnel through Bjørvika for a complete clean-up of the contaminated seabed in the Inner Oslo port. Clean-up will contribute to the reduction of the spread of environmental pollutants. The wish of the County and State pollution authorities is based on the fact that the construction of the sink tunnel liberates large quantities of clean masses that can be used to cover contaminated sediments in the port area.
ParlaMint-NO_2005-05-11.ana.ud1891e910	Thanks for the answer. I want to follow up on what environmental requirements are set in relation to the treatment of clean masses and the contaminated sediments. It has recently been written quite a bit about the contaminated parts of the masses to be taken from Bjørvika. Does the Council of State consider that the environmental and water quality of the area is improving or deteriorating as a result of the handling of these masses?
