ParlaMint-NO_2005-04-12.ana.ud487e67	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2005-04-12.ana.ud487e416	The party of progress is in this rejection. I also refer to Innst. S. No 200 for 2002–2003 to St.meld. No 7 for 2002-2003, on the reform of baptismal training in the Norwegian Church, where the following proposal was made by the Progress Party and the representative Simonsen: ‘The Government asks the Government to present its own case with proposals for strengthening and further developing the CRL subject in primary and teacher training for this subject.’ The Progress Party continues to believe that strengthening and further development of the CRL subject as a common value subject in school, and thus a common Norwegian value platform, is important. We still have the impression that it's important for all primary school students, and that therefore it has to be arranged so that it becomes a teaching profession. The Progress Party stresses that such a common Norwegian value platform should clearly present Christian cultural heritage and Christian ethics as fundamental values in Norwegian society. I would also like to quote more from the comments on the proposal relating to the matter of faith training. This concerns a comment by the members of the Committee of the Progressive Party. It also included the representative Evje at the time, and the comment also received the agreement of the representative Simonsen. The note states: «These members will at the same time stress that the school will continue to be based on the Christian purpose paragraph of the Training Act. Furthermore, these members would stress that strengthening and further developing the CRL profession in school should be carried out in parallel with a state initiative on baptismal training through the State Church. Such a strengthening of the CRL profession can provide all students with better training in values and morals, including what these members will call training in folklore. This is important for individual students, for the common learning environment of pupils and for the whole nation. In the view of these members, teacher training must be strengthened in the CRL field.» This is what the Progress Party still believes, but I note that the representative Evje and the representative Simonsen have changed their mind.
ParlaMint-NO_2005-04-12.ana.ud487e435	The introduction to the curriculum for the KRL subject reads: ‘Religions and visions of life reflect people’s deepest questions and have at all times shaped individuals, communities and communities. Knowledge of religions and secular views of life, philosophy and ethics is essential to know the cultural traditions of their own society, to interpret life and to understand cultures and societies around the world.» Fact-based Christian, religious and life-wise knowledge as we have today is a meeting place for students with different backgrounds. The profession shall contribute to the common knowledge base and reference frameworks, promote new insights and provide recognition from its own background. By going back to a division of the subject, as the representative Simonsen suggests, we will lose this meeting place. The Christian People's Party does not see that this is the way to go. We got the CRL in 1997, and the goal of the subject was to embrace all students, but with the right to exemption from, among others. activities experienced as the exercise of other faiths. The Landes Raad Hernes stressed in its explanatory memorandum that: «a common cultural identity based primarily on our Christian and humanistic cultural heritage in a society of increasing pluralism». That there should be the most substance about Christianity was reasonable from its historical and current place in Norwegian society. But the subject should not be training in a particular faith; it should be an ordinary schooling. For the Christian People's Party, therefore, the reform of faith has been important. It is precisely intended to provide children and young people with the opportunity to train in their own faith, and therefore meets the need of Jan Simonsen for Christian education. The number of applications from the communities we have seen in these days shows the great need for this. Not since 1969 has the Christian profession in school been the baptismal education of the Church. That the subject is a non-preacher is nothing new and is therefore not a contrast to training on faith. A religion subject will be able to produce differences between people, but if you want to have concepts like tolerance and respect, which are to be taught in school, you also have to practice living by it. Tolerance is not to give up on your own identity, but to allow others to have a different opinion. Training may not take place in a value-neutral void. The purpose of school training applies to all subjects, not just the CRL subject. That opinions about the subject are broken is natural. It is therefore important that the subject is open and contributes to respect and dialogue, while stressing the importance of Christianity in Norwegian culture and history. It is natural that this is shown in the distribution of central learning material in the subject, as it should also continue to do. When the UN Human Rights Committee gave its opinion on the CRL subject, they were particularly concerned with the exercise of the right of exemption. It is important that parental rights and minority protection are respected in accordance with Norway’s international obligations, by ensuring that the exemption rules are easy to deal with. One prerequisite is that school/home cooperation works well, and that information is clear as to what the subject involves and how the training is planned. This must not lead to theoreticalisation of the subject, but to retain engaging pedagogical practices. This is why good teaching skills are important, and school leaders have a good understanding of the subject, so that dialogue with their homes is ensured. I am pleased that the Council of State has confirmed that continuing training in the CRL will be prioritised, as a new curriculum in the subject will be implemented as early as autumn 2005.
ParlaMint-NO_2005-04-12.ana.ud487e470	The biggest problem in today's modern Norway is not money, but care and care. A large number of Norwegians have mental problems, anxiety or nervous problems. Many are lonely. Older people are housed in public homes and rarely or never visited, while others die at home, surrounded by food and garbage. Violence and sexual crimes have increased dramatically in the last 10 to 20 years. In many presumptuous environments, not least in politics, it is common to use pointed elbows, slanders, rumors, gossip and lies to achieve a career at the expense of others. There's a lot of evil in our society. Perhaps that's because Christian values are on the way back, and the ten commandments are no longer taken seriously – whether it's the eighth, which requires us not to harm another man's name or honor with lies and sloppyness, the ninth, which requires us not to gamble after the inheritance or the property of our next, or to try to take something from him with tricks, the tenth and the sixth, which says that we should be loyal to our spouses and not try to take the spouse from anyone else, the seventh that says we shouldn't steal, or that we should not steal any of the other commandments. The overwhelming moral message of Christianity is that we should love our neighbor as ourselves, that we should do to others what we want them to do to us. Today, most people think of themselves, unless there is some natural disaster that gives us the opportunity to ease a little bit of an otherwise bad conscience. "Give freely, and not under compulsion, for such gifts are taken from God," wrote Paul. Not many people are following it today. Most people spend their money on themselves. Again: Perhaps it is because Christianity is on its way back – pushed aside from sexpress and materialism through newspapers and weekly magazines – and increased space in the school of Islam and other alternative religions. Norway has more than a thousand years of tradition, history and culture as a Christian country. At a time when our entire Western civilization is under pressure from foreign religions and cultures, it is more important than ever to use Christianity as a stronghold to defend our Norwegian culture, our history and our cultural traditions. If we want less crime and less evil in our society, we need more Christianity, not less. What we learn as a child is what gets stuck in the body and soul for the rest of your life. Therefore, it is incomprehensible that neither the Christian People's Party, the Advance Party nor any other party supports my proposal to introduce confiscation-bound Christian education from the first class in primary school, with exemption. In other words, it is only an offer to parents who want it, but it is probably most. Children do well to learn that Jesus was the Son of God. They have good things to do by learning the Father's Word and the creed. They're good at dealing with something solid. That is probably what most parents think, but obviously not most politicians. In addition to proposing a confederation-bound Christian subject, I also suggest that for a higher class stage, it be an objective and mandatory subject of religion. Our immigrant children can learn about their own religion, but also about the religion that is tones in the country in which they live. Norwegian children can also learn about other religions. It should in every way take care of and wish for a meeting place between different religions, as the representative Scarbøvik was concerned about. I note, however, that all parties in Norway, other than the Democrats, want to maintain a system in which Islam is almost equated with Christianity, and they are pleased that the influence of Christianity in Norwegian school is minimized. It wasn't like that 20-30 years ago. When I was young and went to high school, I had a confessional Christian science and later a religious subject, both very interesting. I haven't been hurt by that. Because it was different before, we also have a completely different crime trend today than before, not only because of it, but also because of it. Therefore. Finally, I refer to the proposal put forward in the vote.
ParlaMint-NO_2005-04-12.ana.ud487e491	The representative Jan Simonsen has taken up the proposal he referred to. Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 2037]]
ParlaMint-NO_2005-04-12.ana.ud487e513	It's not for fun or to get the media interested in us that this interpellation has risen. We have raised this interpellation because the matter is extremely serious. When the Council of State in November says that systematic and long-term efforts had led to an effective cutting of the queue, he must also expect criticism when three months later it turns out that the queue has grown again. When the interpellation was inserted, there were 2,333 people in the queue. Sundry cows are extremely harmful for several reasons. First, it is that a lot of the purpose of the sentence falls away when it goes a long time before the sentence is imposed, and some also continue to commit crime while they are waiting to get in to acquittal. Secondly, trust in the judiciary is undermined, not least for those who are victims of crime. Thirdly, it's hard to plan for the future to say for the one who's been convicted, and therefore also more difficult to get straight again, because the chance is reduced dramatically when you don't know when to go to the settlement, and when you're done. For example, which employer would like to see employ such a person? So it's most in the interests of society that we don't have cows for restitution, and there's also some reason why there's been so much pressure on that case over all the years we've had this justice committee. That being said, I would say that we on SV's side do not want clean reconciliation machines. Therefore, it is not immaterial what means are used to liquidate the queues. Therefore, we are concerned that, to a large extent, there are adhoc solutions, temporary arrangements and crisis measures being implemented, while the long-term, holistic work is not at the forefront. SV has requested plans from the department on several occasions. We believe that it is necessary to take an active stand on whether it is reasonable that as many of them as today are in closed prisons belong there, or whether we should spend the money differently, more efficiently, more humanely and sensibly. We have about 3,000 closed and 900 open locations in Norway. Why can't we build more open spaces, which are cheaper? What is the point of letting people who were not judged to be more dangerous than being referred to a reconciliation queue, zone in closed prisons? First-time zoners who have gone out in the open come to Ringerijk Prison, perhaps the toughest prison we have. When I visited them last year, they told me about a young boy who had never soned before, and who had actually been out for months and waited, who was then put into the Ring Kingdom, along with some of the toughest criminals, in a prison where you can't see over the ring wall. Obviously, it's not going to go well. Obviously, the chance that he will either end up in psychiatry afterwards or back in the prison system is very great. The Fafo report, the terrible report that many here are tired of hearing about, has given us a clear speech. We're talking about a segment of the population that needs a lot of help and total effort to get on the right track, not adhoc solutions. The debate on restitution cows must also be about how to prevent the reproduction of prisoners through prevention, rehabilitation and aftercare. It's like maybe as many as 70 pst. Of those in prison, come back again. If we don't take the discussion about how to prevent them from coming back again, we'll never get any further than just the adhoc solutions. So it's like the prisoners have the opposite educational pattern of the population, as shown in the Fafo report. But what do we do with that? School offers are laid down. At least 26 million are missing. DK for prison education, and this has been done for two years. The Education Committee had just two debates in this Chamber, and the State Council Dørum and State Council Clement were sitting almost side by side. I wonder how much they talk about the exact budgetary situation of prisons! There is also a lack of money for libraries, for the purchase of books. So here we're talking about a group of people who often haven't learned to read and write. Obviously, they can't, like us, survive in a modern society if they can't read and write. State Council Clement, who should have also been sitting here now, has always been concerned with the very fact that there are too poor reading and writing skills among the students. Yes, if she really wanted to get hold of it, she should have taken a trip to prison, talked to those sitting there, heard what kind of school experience they've had, and what advice they have to give, so that these defeat stories don't repeat themselves. Norwegian prisoners borrow about 17 times more books than the rest of the population. And what is that answer that we can give them? Well, that's cutting library supplies, because that's what really happens when you don't give the money to. It's so pointless that I almost don't have words. So someone says, for example. in the Progress Party, that SV only cares about the prisoners, not about the victims. It's a blank lie. Last two days ago, I had a long talk with a raped girl, a young girl who's had her life ruined. She contacted me, because she thought that at least she would try to get some advice on how to deal with these matters in the future, so that her life had not been put in ruins completely in vain. And what was she concerned about? First of all, she was concerned about how she was met as a rape, of course; but then she was also concerned about what happens when he who raped her, comes out of prison again. Have we done anything in the meantime that prevents other girls from getting their lives down to the ground in the same way that she did? The proponent's answer to that is, bring them in. They're making a new move, and we're bringing them in even a little bit longer. We had that discussion yesterday. The representative then asked Ellingen whether it was reasonable that, for example: a thief would be in six years if he had been taken for the third time, or if there might be a signal to us that we had to think differently and use the methods of punishment different from what we do today, and then Ellingen answers: Yes, we want them not to do it for the third time. So, you just explain this with individual choices, completely independent of choices and what society actually does. I wanted to say that it's making future victims responsible that we might have failed, because then they say, "Yes, there are new victims, but it's not our responsibility, the thief should have learned from the methods we tried to implement." From our point of view, we try to think more differentiatedly, also to analyse and be maritime critical of the methods we use, to see how we can prevent new victims next time. Then, of course, we have to have an analysis that goes both into the choices of individuals and places people in charge of the choices they make, but we also have to look at what choices we offer, how we organize and how we punish in a wise and sensible way, and also provide a rehabilitation scheme that prevents others from getting their lives ruined in the next round. So we're talking about who we want as a neighbor. SV will have a complete thinking. There is no plan for expansion or renovation now from the Department of Justice as we can at least see it. Instead, it is an extensive patching in the form of forward release, temporary release, duplication and general savings measures, which has made the compensation system more a storage system than a arena where a change can be made for the better. We have previously requested, among others. a massive bet on so-called §12 soning, where people can zone outside prison. Some of the most pointless thing about today's system is that we so much jail people with drug addiction. At least 60 pst. of those in prison have drug problems, major and extensive drug problems. Many of them are largely for storage, and many of them seem to be completely eel-ridden, because it becomes a breathing hole in an otherwise quite tragic life. But we can't say we're satisfied with it, that they're going out in an eternal round dance from one prison to another? We want to bring about lasting change, and in the debate on pay queues, it is the debate on lasting change that has to be central, and then we have to offer people treatment as well. With that, I'm going to leave the pulpit to the Council of State.
ParlaMint-NO_2005-04-12.ana.ud487e532	One gets to have me excused, I expect it's the Stortinget and the president who's leaving me the pulpit?
ParlaMint-NO_2005-04-12.ana.ud487e537	That's it.
ParlaMint-NO_2005-04-12.ana.ud487e540	Thank you. The government's goal is to get rid of the payroll, and the concrete plan for the future is to continue the systematic work we have done, with four points: 1. provide quick settlements in the short term2. the planning and evaluation of major prison deployments that will provide a long-term perspective3. continue with the idea of ‘restorative justice’, which is in the increased use of community sanctions and the use of conflict advice4. continue to develop administrative cooperation between the judicial, labour and social authorities, health and education authorities in order to make it possible for those who have entered prison not to come back again; That being said, I would say that it is not possible to predict either the number of judges or the length of the verdict. It is therefore not possible to guarantee when the queue will be gone. What is possible is to continue the systematic work that has been done, and I will describe it. The summer of 2003 was the highest since the beginning of the 1990s, from then until the fall of 2004 the nesting queue fell. Since then there has been a gradual increase again to today's level, which is now at 2,517 places per. 31 March. This is still below the peak of 2813 judges per year. 30 June 2003. As I explained in the Stortinget on 2 March this year, following questions from the representative of Storberget, in the fourth quarter of 2004, there was a relatively high level of access to criminal services compared to the third quarter of 2004. This may have been due to the fact that the queue has increased again. It also appears to have been a trend towards longer and stricter penalties. It is a misguided development that serious crime, such as gross drug crime, killing and rape, is penalised more severely. It was last expressed in the Stortingen debate yesterday. Crime statistics from the Statistical Central Agency show that the average level of penalties has increased in 2003 compared to previous years. In 2003, the average fines for all unconditional judges were about 170 days, while in the period 2000–2002 it was around 140 days. This is also reflected in criminal law statistics, which show that during the period 2002–2004, the number of prison days produced each year has increased by about a quarter. 9 pst., while the number of insertions has decreased by approx. 5 pst. The total number of completed prison days has increased every year since 2001 at an average rate of about 10 %. 4 pst. per 1 % years. There has been an increase in the rate of refusal of probation at two thirds of a time, which is no longer granted automatically. This is a wild and desirable development. In addition, there have been some unforeseen temporary reductions in prison sites such as the fire that closed the Inner Eastfold prison, the Drukstad department, in January of this year, and the closure of the Molde prison in 2004 for health reasons. So to the representative's perception of how it's made available to prison sites. To that I would say that in the period from 2002 to now there are a total of 292 new prisons. Some of these sites have been put into use relatively recently and will have full effect in 2005. Last year, prisons received an amount of about 97 pst. In 2004, duplicates corresponding to 39 prison sites were completed. This is a modest but important contribution to the fight against the queue. Last year the system of forward release saved approx. 23 500 days in prison, which is equivalent to 63 full-time prisons. The measure was extended slightly from 2005. It is expected that the use of forward release will give a total effect equivalent to about 108 places in 2005. The effect of new places, duplication and forward release is equivalent to a prison of more than 1.5 times the capacity of the planned Halden prison. The new sites alone represent more than the capacity of the planned Halden prison. During the year, a further 14 places will be opened in Drammen Prison and 15 places in Inner Eastfold Prison, Department Eidsberg. Most of the places at Inner Eastfold Prison, Department of Trøkstad, have been put into service again after the fire. The remaining sites, 14, are expected to be opened during the autumn. The Ministry is further working on the planning of a new prison in Halden and a new prison in Inner Salten/Sørfold. Other potential capacity extensions, including temporary measures and extensions of existing prisons, are continuously being considered. Of course, it also includes our open institutions, because there is an important effort here in prison, and it is also important in a comprehensive reconciliation strategy. The government will return to the Storting in an appropriate way with further action. I share the zeal of the representative Thorkildsen after giving drug users behind the walls proper treatment for their drug addiction. Noise and crime are often closely linked. In this respect, as Minister of Justice, I have taken the initiative to obtain in Norway a copy of the Irish Drug Court scheme, or the drug programme, which I have chosen to call it. As the representative of Thorkildsen points out, the number of transfers to § 12 zoning in a treatment institution has decreased. But this does not mean that detainees have received a worse offer. Until 1 August 2003, a total of 54 places for example were used for the housing of criminal services. Section 12-sonance. In 2002, the number was 94. of these places used for this purpose. From August 2003, the cabins were converted into transitional dwellings, so that this possibility of §12-soning fell. Prisoners who were transferred under Section 12 to the cabins mainly needed social training. Some of the people who were granted § 12 soning at the furniture house had less drug problems, but any treatment arrangements took place outside the furniture houses. Those transferred to transitional dwellings today have similar needs as those previously transferred to the cabs. Some of the prisoners in need of drug treatment were and are still transferred to appropriate institutions under Section 12. In 2002, which is the last full year using the furniture houses for §12-soning, it was implemented approximately. 35 000 days with a total of § 12-soning. Of these, it was approx. 16 000 days at the hospital of the criminal office, i.e. approx. 19 500 paydays were spent in treatment institutions outside the school. In 2004, the number of days of §12 soning was 28 500. This means a real increase of 46 pst. for treatment under Section 12 in institutions outside the criminal justice system. With regard to the number of persons transferred to Section 12 zoning, part of these are not completing the treatment and being reinstated in prison. For this reason, I believe that the number of days gives a better insight into the scope of Section 12 zone. The number of transfers to Section 12 in 2002 was 252, of which approximately 100 were for the housing of criminal services, i.e. 152 went to external treatment institutions. In 2004, there were 204 transfers under Section 12. In 2001, 150 were transferred under Section 12 to non-criminal institutions. There has therefore been a real increase in the number of transfers and the number of days spent by treatment institutions from 2002 to 2004. The conversion of the cabins to transitional dwellings has not weakened the overall offer of prisoners. Most of those transferred to transitional dwellings today are not unlike those that were previously transferred to furniture houses, i.e. they need control, follow-up and social training. It is also true that during the period mentioned here, there has been a systematic commitment to the use of community sanctions as a proper response. The use of social penalties was established yesterday by a broad majority in the Grand Duchy's treatment of the general part of the penal code, and also by an extended use of social sanctions linked to more serious drug crime when it was part of a rehabilitation scheme. So social punishment must be seen as part of an overall approach to looking at those who are related to criminal law and to acquittal. Similarly, there is a need to look at the increase in conflict councils, which means to intervene at an early stage in order to ensure that young people do not end up in crime. This government has systematic, through, among other things, a number of pilot projects and through active action plans, based on the idea that it is easier to turn young people in time if they are on their way to a criminal career than to do so later. The sum of these measures in the early stages of youth, the use of conflict councils, the use of community sanctions, the use of prison systems, cooperation with drug services and also the idea of a judicially-led drug programme, and the cooperation developed in the field of community cooperation both with Aetate and with the Ministry of Health and Welfare, are, of course, just an example of our thinking fully. I expect that the representative of Thorkildsen, who is strongly and positively involved in prison education, has been involved in the big message that the Minister of Education made out last week, which is just about about the importance of teaching and why it is so central to both providing content for the settlement and providing the opportunity for rehabilitation. The overall vision is that you have to think about several measures at the same time. But it is also that the sum of a criminal policy is both the job that the police do, the job that the courts do, and the job that the police do. It is not a matter of debate, nor of the content of the settlement, to break away from the other sides of this. When it comes to the sum, I stand for what I have done as Minister of Justice. I then presented what has been done so far the way I have done today. There's provided shelters more than and a half times Halden prison, and I think of multiple lines at the same time, or to use a way of thinking that the representative would probably use, I have several thoughts in my head at the same time, because it's very necessary to see different people not to think collectively about people. We're going to see the individuals and not cut people over one comb, and it's also about punishment and atonement.
ParlaMint-NO_2005-04-12.ana.ud487e602	I thank you for the answer, which in and of itself was the way I expected it to be. I'd like to take the last one first, the big message on prison education. What you should notice most about it is that you can't promise any money to follow it up. It is also our criticism of today's criminal policy, that there are so many words, there are so many visions, and then they are not followed up when the priorities are actually done. SV has followed up their own words by giving priority to increased resources both to criminal services, to prison libraries, to prison education and to the provision of health services in prisons. On Saturday, I volunteered for the Francisco aid, which is within the Catholic Church, and made a spring party for the street people. All the times I meet people on the street as directly, as I know that the Dørum Council is also very concerned about, there are some messages going on again – every single time. That's: you have to do something about poverty! You must reverse the priorities of today’s government! Many people are also concerned with housing prices. The point is that we cannot see the debate on prison systems and settlement cows independently of the priorities set out in the budgets. If we are to be able to reverse the trend that more and more people are being punished in prison, we also need to do something about post- protection. Where do we send these people when they're done zoning in what unfortunately looks more and more like storage places? There I come to the next thing the Council of State had to do, namely to continue the systematic efforts to provide quick settlements in the short term. That's what the council said. The council also said that today's coating is 97 pst. We're in there on some of the core, because if you have a covering of 97 pst. In prisons, it is said that it will be very difficult to follow up the people who are sitting there. Then, once again, we end up with what I've been talking about for several minutes now, which is that we keep people to a large extent instead of trying to do something about the causes of their crime and try to reverse the trend they're in. As long as that's the case, we're going to have an eternal debate in this big deal about cows, and it's going to be the same issues that will arise.
ParlaMint-NO_2005-04-12.ana.ud487e617	There is no problem with an eternal debate. It makes sure to keep focus. But what is a problem is when the representative Thorkildsen repeatedly insists that it only performs words. Let me ignore my person, because I can take it. But the actions of the prison staff, the actions of the volunteers, which she herself has just mentioned, the actions of the peoples of the Social Action, the actions of the people of Aetat, the actions of education, are not words, they are actions! There are actions that are carried out every day, which make sure that we can say that we are keeping a humane regime, because it is our ideal in this country. We have countries around us where you try to think in a completely different way, and where you fill up in a way that we don't because we want to keep these ideals. That we then have a debate on this, I think it's very important, because it's not particularly popular outside the big room and the debate we're holding here, to think as systematically as we do. But I stand upright to follow all the thoughts and lines that I outlined in my main post to the representative. Yes, many actions are being performed, but I think the representative and I might jointly have to steal a socialist slogan from Sweden, and it goes like this: «Be proud, but not satisfied». One shall never try to blacken or ignore the efforts made, never ignore the efforts made better, but it is always allowed to strive for even more to create a solution. It's this image where you almost sign what's being done, which is going to be wrong. That you will then strive further, I think, first of all, that a fair and real political ambition, and I also believe that in the field in which we stand, that is absolutely necessary. For my part, I have exactly the same ambitions. When, as Minister of Justice, I first cut off the police budget to move something to criminal custody, it was also wrong. So whatever you do in the field, you have to find yourself in getting criticism, and I have to accept the criticism that goes against my person, because I'm responsible. But what I don't accept is that you don't broadly recognise the efforts of great people who work in our prisons, that you don't recognise the efforts of everyone else who goes into the riots and makes an effort. As the representative may know, I've visited about all the prisons – I haven't been to Hustad Prison, but I've been to the other places – and it's a community spirit that characterizes all those who work in Norwegian prisons, which is good. It's the spirit of society that's important. I agree with the representative that it is important how to think municipally. It's very important, for example. That we have a child-restraint that extends into prisons to catch people, and it is very important to do so, for example. Oslo City Councils did the budgeting for the current year, when social assistance rates were improved, so that the poorest were given a better chance of a decent life. It's all about many of them that the representative meets in a very positive way on the street. That she cooperates with the Francisco aid, I also think is very good. It's an effort that's high-ranking. So my comment is, yes, let's keep striving, but let's be aware that we're making an effort, that we've still improved the effort. It is also my ambition to follow the line forward – be proud of what is happening, but not be “satisfied”.
ParlaMint-NO_2005-04-12.ana.ud487e634	The working party is also ‘not satisfied’. I think we're going to let the cat out of the bag when it comes to this kind of debate, because it's not a criticism of those who work in the prison system, or do a big job out in criminal care, whether it's in freedom or in prison – rather on the contrary. This is a debate that needs to focus on the fact that we are 'not' satisfied with the policy pursued by the Government over the last four years. There is a debate in which one is now putting the index finger at perhaps the most sensitive point for this government's judicial policy. It is that we have had a queue in terms of compensation, which is totally unacceptable, and which means that the qualitative offer, the offer that people receive, is becoming too poor, and it involves an unreasonable pressure on the police and other actors who are trying to work against crime out there. The fact that there were 2,517 people in line in March is, according to the words and plans we have received from the Government in the last four years – soon totally unacceptable. If you keep going at the pace that the government has now set up, where it goes in the opposite direction, over the next two years, if it becomes the same government with the same policy, we will get a queue of approximately 4,000 people. It's totally unacceptable. If we're going to let the cats out of the bag in this case, in that case it's just about the Minister of Justice in his own college that you don't actually have to get more resources into criminal custody. The Workers' Party in such a debate is precisely what kind of great qualitative action is now to be taken to bring down the big queue, which has been growing in the Government of Dørum. In our opinion, budgetary comments from the other parties in the Grand Duchy should be read in connection with the last budget, where we pointed out that the construction of Halden prison must be started. Is that what money's going to do? Is that political will? Do you really want to use the Community's resources to reduce this queue by getting it started in Halden, which you've just been pushing ahead of you all along? I also want to mention the prison project in Inner Salt that has been on the plan sketch for a long time. People from both the Christian People's Party, the Left and other political parties have said that they will use funds for it. It would mean a drastic intrusion into the settlement queue that is now gradually weakening much of the legitimacy and confidence in the fight against crime. Yesterday we passed general criminal law. It is not useful here in the Storting simply to adopt stricter rules, new criminal law with good intentions, if people are still referred to queue and you get a much too late response that actually doesn't work. There are many types of measures that can be taken from the government side. Now we've only heard an outline of the spectres and small measures that have been taken, either in the case of modules or in the case of the release ten days before. Now action of a larger nature is required.
ParlaMint-NO_2005-04-12.ana.ud487e645	Today's interpellation addresses a well-known problem, the reconciliation queue. It's still too long. It is therefore important that the measures adopted by the EEAS are fully implemented. The government parties have, with alternating support, received a majority for various projects that expand the settlement capacity. The measures adopted mean that this government has provided 421 new posts. So this is two and a half Ring-rich prison. It's not flattering, it's not small measures. There's a lot of creeks small that make a big pond. It's important. At the same time, we see that the sentences are longer, and that the prisoners are longer in prison. Thus, 91 200 more prison days have been produced in 2004 compared to 2002. The right will have a balance in the criminal justice chain. Therefore, it is important to start building up prison in Halden as soon as possible and to realise the project in Inner Salt, which Storberget was in. At the same time, we need to continue the work of detectives to track down opportunities for new settlements in existing prisons. To the extent possible, I and the Right think that more should be opened up to duplication where the verdicts are less than half a year and the circumstances of the building are conducive to it. The pay queue is a result of the number of judges handed down and the length of the sentence. Of course, it is positive that police and courts produce more cases, but it is important to note that the number of new prisoners is reduced by 5 pst. between 2002 and 2004, while the number of reported prison days has increased by 9 pst. It's true, as the interpellant pointed out, that there is a very large proportion of prisoners who have drug problems. It is therefore positive that the Government is now working intensively to bring up a case on drug law programmes. This, together with § 12 zoning, is action that needs to be taken as far as possible to break the bad crime spiral. It also has to be added, as the Council of State was also concerned, that we have had some unforeseen events, such as the fire in Trukstad prison, where 90 seats were put out of operation, and what happened in Molde. I have great faith in the job of the State Council Dørum and the government do and have done to get rid of the reconciliation queue. Creativity has been great. It should not be used against the Government, but it should be a positive measure that light and light are actually searched for new places of refuge. At the same time, we know that in the context of the new prison in Halden, as the Stortinget has said, quality assurance work has been necessary. This is now coming to an end, or is over, and I have great faith that the new measures will help to restore the balance of the criminal action chain. Then the representative of Thorkildsen comes with an unintelligible attack on the Clemet State Council and the prison education. Last night, Kristin Clemet was pictured in the paper where she was in conversation with inmates on the basis that she submitted St.meld on Friday. No 27, on training in criminal services, a message that has already received very good feedback from both staff and prisoners. In fact, it is other than the representative of Thorkildsen who is in contact with employees and prisoners in our prisons. Personal evidence may be interesting, but there won't be a whole criminal policy of it.
ParlaMint-NO_2005-04-12.ana.ud487e662	It's an interesting debate that the interpellant has been going on here. It fits well in the extension of the debate we had last night, on the penal code. What is fascinating is that the representative Thorkildsen, in a familiar style, goes to and runs a debate largely in self-form. Of course, it's reassuring to be a witness of truth to the rest of the Norwegian community. The question is whether there is consistency between her experience and what are the real problems. I pointed out the exposure yesterday, and I'm going to give her credit for today too, but sometimes I think that the representative Thorkildsen might go a little far in claiming to be the only one who knows the problems, and who knows the solutions. In fact, I believe that the solutions lie in a political debate and a political process conducted in the Stortinget in various contexts, in interaction with the departments and other professional bodies. That's the way to design things and lay the groundwork for what's going to be a common policy. I think, unfortunately, or perhaps fortunately, that it is that no one has a one-sided right to the truth in relation to the actions and opportunities of this problem. The representative of Thorkildsen is concerned about the solutions of the Progress Party, and I can draw her attention to the fact that it is mutual for us in terms of SV's approach to this. I have no bad conscience. If you look at the budget results for the current year, the Progress Party, together with the Government, has strengthened, among other things. the job in relation to victim and dependant care with ties to the Stine Sofies Foundation. We've done a job with the representative of Thorkildsen's homeland. I think what we've been dealing with is good and sensible action. Of course, we have also done so in relation to compensation and compensation problems by strengthening the allocation to Life After Atonement. So I really don't have a bad conscience. It is also likely that the SV and the Progress Party have a reasonably opposite approach to this issue. I experience it so that the representative of the SV indicates that there is a crime on the part of society. In the Progress Party, we will probably go further in the other direction and say that the individual must go on his own and take responsibility for his own actions. If we don't, we'll get a society where we're allowed to do what you want, and then you can owe it to society afterwards. The possibility of doing something about this is about having a diversity in relation to different measures. Different types of crime are to be punished in different ways, from prison to open-ended reconciliation and programme work. There I think the committee has reasonably agreed on what to do, and there is a large spectrum within this field. Of course, we need more places to make amends. There's a job the Council of State has to do, both within the Government and perhaps here to get a majority to implement it. Now we've been talking about it for a long time. It is time you did something with Halden and would like to use the Inner Salt if that would be possible. At the end of the day, this is probably about political priorities and political positions in each of us. All in all, the result is not better than the majority in this room is able to get.
ParlaMint-NO_2005-04-12.ana.ud487e681	On the Evening Post website of February 22, this year, we read: ‘What the Government is doing is trickery. Later on, one does something when using measures such as duplication and progressive release, says Striking Representative Inga Marte Thorkildsen. [[two prisoners on each cell, red. Note.]] In fact, the government is doing something all the time. The challenges can be made visible by the fact that the housing queue had been around 2 500 people some time ago, but in October last year the number was less than 1 900 people. This is not a static challenge to be addressed. It's actually a challenge with a great deal of variation. Being able to handle it is something you have to spend different means and different efforts to depending on the time and number of the pay queue. When the representative of Thorkildsen now attacks the Minister of Justice, I have a feeling that sometimes it can be like setting up a smith. Atonement is a very complex problem and a major challenge for society as a whole. We know that the prisoners of the future today are at home with mother and father or in kindergarten. It is our responsibility that little children today do not end up in the arms of criminal justice. Thorkildsen’s description of the unfortunate prisoners makes it so that Norwegian prisons contribute to a safe demise. My impression of Norwegian prisons is that the prisoners meet with respect for both the system and the individual prisoners. There is a great deal of willingness and commitment to give the prisoner the opportunity to meet the freedom after settlement with new goals for the future. Atonement is a challenge for the whole of society, as I said. This challenge will help the Christian People's Party to find solutions. Christian People's Party is also for increased use of §12 soning. Recognised organisations in society offer prisoners at all prisons in the country to punish the last part of their sentence in cooperation with the prison under the conditions of Section 12. There is a clear expectation that the prisoner will take an active part in his/her own return course.
