ParlaMint-NO_2005-02-02.ana.ud299e29	The called alternate of the Troms County, Knut Werner Hansen, has taken the seat.
ParlaMint-NO_2005-02-02.ana.ud299e468	My question is to the Minister of Finance. The centre lot enters in order to introduce compulsory occupational pension for all from 2006 onwards. That's going to be the majority for. But this gives an extra charge of NOK 4-5-6 billion in pension contributions for those companies that have not yet managed to implement this. We believe that we cannot send such a bill on such short notice to these companies. There are very many small, very small enterprises that have not been able to participate in a occupational pension scheme for economic reasons. Many of them will not have the economy to put in place such a scheme. Many people just don't want to go on. This is true of the majority of enterprises in Norway. Many are newly established, newly started, and most of the companies that are not in the scheme today are in the districts. State participation in a transitional period - e.g. 10 years - must therefore be assessed in the opinion of the Centre Party. What can the Government offer of state participation in order to avoid the loss of many jobs through such a reform?
ParlaMint-NO_2005-02-02.ana.ud299e478	The government has provided a pension message that allows for minimum requirements to be imposed on the occupational pension scheme for those who do not already have it, with effect from the coming year. The centre party's connection to this is interesting, but hardly decisive. The minimum requirements to be laid down are not specified. We have said that we will start discussions with the social partners, because it is on the basis of last year's pay statement that such a question has been raised. Neither on the one hand nor on the other hand in this pay bill has so far been any concrete explanation of what the minimum requirements should be, rather the question of compensation. But it is clear that when the parties say they are prepared to enter and pay for an arrangement, it is natural that the primary responsibility will also lie there.
ParlaMint-NO_2005-02-02.ana.ud299e485	The minimum requirements can be discussed, giving an additional premium of NOK 4-5-6 billion to the small enterprises. This is still very vague on the part of the Government, and nothing is said about a concrete participation. But business needs answers. In the case of the AFP scheme, the State contribution is approximately 40 pst. of the total costs. It's being provided today for $1 billion for 17 000 AFPs. It amounts to approximately NOK 60000 per year. person. What the Centre Party now suggests is a grant from the State to the premium payment for a transitional period of NOK 2 000 to NOK 3 000 per year. person. AFP stimulates early departure. A defined contribution pension stimulates longer work. And that's what was supposed to be: we don't want to make the pie that's going to be divided, less, because there's fewer who's taking part in the world of work, we want to make it bigger. What the centre party is now asking for is simply to help the government to ensure that the most vulnerable jobs are not lost.
ParlaMint-NO_2005-02-02.ana.ud299e494	The representative Lund asks me now to take the position of a wholesale treatment that has not yet been completed. The government has presented a policy outline for a pension reform. It is an important element in it that it stimulates people to stay longer in work than they do today. We have also stated that the AFP scheme needs to be reviewed, as announced, in 2007, so savings will not be made immediately by the state in this area, but perhaps gradually. Both that and the design of minimum occupational pension requirements require negotiations with the social partners - at least conversations with them - before making concrete proposals for the Storting. I do not want to take a stand here and now for conversations that have not been completed, hardly enough started, nor for a big message that Stortinget has not given up yet.
ParlaMint-NO_2005-02-02.ana.ud299e499	There will be follow-up questions - Marit Arnstad.
ParlaMint-NO_2005-02-02.ana.ud299e502	I have to say that I find it difficult if a business party is going to go beyond fully recognising that there is going to be a difficult situation for some small businesses during a transitional period on the issue of compulsory occupational retirement provision. Dealing with this issue should be important and necessary for all of us. In addition to the small businesses, we also have approx. 170 000 sea-going traders in this country. The government says in the pension message that it will assess the situation for this group. However, they too may face a difficult situation related to the issue of compulsory pension saving. And the question is, are we really going to deal with a long-term pension reform during the spring without the Government being willing to enter into a discussion about the situation of these groups and clarify their relationship with the pension issue?
ParlaMint-NO_2005-02-02.ana.ud299e511	It is true that payment for an occupational pension that has not been paid so far represents an economic challenge for businesses. But their organisations have asked for such mandatory arrangements to be put in place. It's not right that it's just in a transitional phase it represents a challenge. It represents a challenge in all years, because it has to be paid in all years. The scale of the challenge, i.e. what the minimum requirements will be, has not yet been invited to adopt, but has been invited to take the position of two supplementary pension models in addition to the public interest. That choice has not yet been made, and I will not prejudge neither the treatment of it by the Storting, nor the concreteisation of the minimum minimum level of occupational pension, if that is the model you want, before the Stortinge has dealt with it, and, not least, before we have had conversations with the parties who have requested such arrangements - after the Stortinge treatment. I hope you have some sense that the rules of the game must be followed in a democracy, and that you cannot anticipate conclusions until you start talking to the social partners.
ParlaMint-NO_2005-02-02.ana.ud299e516	Let's move on to the next and last main questions.
ParlaMint-NO_2005-02-02.ana.ud299e519	I have a question for the Minister of Foreign Affairs, and it concerns the presence in the northern regions. Today we experience that a coastguard vessel is being added to the berth. At the same time, we feel that Norway's involvement abroad is increasing. What does the Ministry of Foreign Affairs do to ensure that our presence and our assertion of sovereignty in the northern regions are preserved?
ParlaMint-NO_2005-02-02.ana.ud299e526	There is no reason to doubt that Norway is asserting its sovereignty in the northern regions, nor are there any concrete examples that show that we do not. Norway has a political and physical presence in the northern regions that fully respects the interests we have. There are some challenges that lie in the northern regions that are different in character from what the Bastisen now mentions. We're going to deal with this in the Northern Region Communication that will be presented to Stortinget this spring, but I don't think there's any basis for asking the question the way it was asked.
ParlaMint-NO_2005-02-02.ana.ud299e531	I pointed out in my question a concrete example: we are adding a coastguard vessel to the dock. Is that not a concrete example? It's a strange way Right-wing policies when they claim sovereignty by adding boats to berths. We have no other way to assert our sovereignty than to fly over the area, and it's Coast Guard who does it, with Orion planes. We have, of course, F-16, the defense plane, which can fly over the area, but we don't claim sovereignty by that. We have a fishing fleet that travels in the area, and I ask again, what does the U.D. do to assert the sovereignty of the northern regions?
ParlaMint-NO_2005-02-02.ana.ud299e536	I think this question testifies to a certain mix of terms here. Norwegian sovereignty is no doubt that it is in the area, no one raises doubt about it. We're here where we're supposed to be. And it's the Ministry of Foreign Affairs, along with the Government as a whole, that's responsible for making sure we're there. What lies behind Bastisen's question is that Norwegian sovereignty is challenged in some ways here. Of course, that's not the case.
ParlaMint-NO_2005-02-02.ana.ud299e542	Then the time for the oral question procedure is over, and we go over to the ordinary question procedure.
ParlaMint-NO_2005-02-02.ana.ud299e548	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. - It is deemed to have been adopted. The changes were as follows: Question 1, from the representative Britt Hildeng to the Minister for Labour and Social Affairs, has been withdrawn. Question 3, from Mr Ågot Valle to the Minister for Culture and the Church, will be answered by the Minister for Defence who directs him. At the request of the Minister of Defence, the question is moved and answered before question 13, to be answered by the same Council of State. Question 6, from the representative of May Britt Vihov to the Minister for Fisheries and Coast, is postponed to the next Question Time when the Council of State has left. Question 7, from the representative Steinar Bastesen to the Minister for Fisheries and Coastal Affairs, will be answered by the Minister for Transport on behalf of the Minister for Fisheries and Coastal Affairs, who has been away. Question 14, from Gunnar Halvorsen's representative to the Minister for Defence, will be raised by Rita Tveiten.
ParlaMint-NO_2005-02-02.ana.ud299e576	This question has been withdrawn.
ParlaMint-NO_2005-02-02.ana.ud299e583	I allow myself to ask the following questions to the Minister of Justice: ‘The County Office of Sørøya, Finnmark, has for a long time been staffed by one police officer. In the course of his leave, the chief of police in West Finland had to ask 3 civilian men to move out and do police work in connection with housekeeping. Does the Council of State consider this to be a sound practice?’
ParlaMint-NO_2005-02-02.ana.ud299e597	The chief of police in West Finnmark has had the aim of manning Hasvik Länsmann's office with two police posts and half an office position. The police district has had recruitment problems, including at the Hasvik County Council, where one police post has been uninvited for the last one and a half years. The size of the staff at the office naturally indicates that it is not possible to establish a back-up service at any time. With regard to the incident referred to here, it can be stated that the police officer at the Hasvik County Office did not complete a vacation, but was not available for police missions this night. He/she took part in the subsequent investigation. The police operating centre in Hammerfest perceived the contents of the emergency messages that were called from South Island, which were very serious and with an acute need for rapid intervention. In the context of the staffing of the Hasvik Länsmannskontoret this night, it was decided to request assistance from civil personnel resident at the location of the incident. Norwegian jurisdiction allows the police in an emergency situation to request assistance from civilians. With the situation that had arisen on South Island, and based on the seriousness of the situation, I believe that the police in this case showed the ability to judge correctly. However, I would like to stress that, on a general basis, a practice in which private individuals intervene and carry out police work is not desirable, as an approach. Finally, it can be mentioned that as early as November 2004, the West-Finnmark police chief decided to solve the manning problem in Hasvik by voluntary ordering. As of February 2005, Hasvik lensmannskontoret will be staffed with an additional police officer. This will increase the provision of police services to the population.
ParlaMint-NO_2005-02-02.ana.ud299e612	I thank the Council of State for the answer. That's all right. As a follow-up to the episode referred to here, police officer Arild Aaserød went out in West Finland police district and suggested that he could go in for an arrangement where he trained ordinary people in the municipality, in Hasvik, who could act as a sort of backup police in a crisis situation. It used the word civil protection, without the police chief mentioning the word civil protection. This created some uplifting both locally in the municipality and in police circles around Finnmark. Such a mechanism would require a high level of political approval. Does the Council of State think that this can be a solution, to train civilians to enter if crises arise? Can one imagine solving the police authority crisis that is in many small coastal communities, in this way?
ParlaMint-NO_2005-02-02.ana.ud299e621	The answer is no. What is good news, in addition to what I had in the main response, is that the police district reports that in an ordinary application process for the vacancy in Hasvik, there are now applicants for the job, and that the process of securing the job beyond the voluntary order is in progress, but not completed. I do not believe that the rapporteur or some local politicians have raised the issue of civil protection. I don't see it this way, based on what I've examined. What the police chief might have thought, is that we have a police reserve, and could it be used? I don't want to rely on that. I want to rely on regular staffing and recruitment measures. I'm glad it's now applicants. But because West-Finnmark has had this situation, my State Secretary on a planned journey will take a careful look at the situation in the district. West Finland is one of the police districts in Norway, and we also have some in South Norway, where you do not always get to recruit qualified applicants. And then we're going to get close to it and see how wise we can get to change those conditions.
ParlaMint-NO_2005-02-02.ana.ud299e628	The last thing the council says, I'm very happy, because I think it's absolutely necessary to look at the situation in Hasvik, in Loppa and some other places. I know that the order is in place, and that there is a better coverage today than it was before Christmas. I hope that you can also look at how to solve the situation for the municipality of Loppa, where there is the same situation today. I would like to send the advice that a particular focus is on an increasing drug and drug problem in coastal communities. There's been little of that in the past, but now you can see that it's ever increasing. It creates great despair and concern among parents who have contacted me and say, "What are we doing?" We see that there are challenges here, and we have no one to go to. Then I say good luck on the trip to West Finland, and take this with you on the youth issue in particular.
ParlaMint-NO_2005-02-02.ana.ud299e637	If my memory is correct and I'm fairly informed, I think the West-Finland police district got a significant share of the extra resources allocated at the turn of the year. Then, in addition, what the representative has mentioned, is that there are places in Norway that do not basically follow a geographical logic, because we have a similar situation in parts of Rogaland that we have in West Finland, which is special in that way that we lack police personnel. Then we have to go into it closely, and that's what I suggest we do, in addition to the excellent job that the police do, to find solutions. I also agree with the representative's view that having a good relationship between police and parents, senior and local authorities to prevent drugs and crime is very important. All those places in Norway where we get to that cooperation, it means a difference. I understand that this is now reported in all Norwegian municipalities, and I believe that the prescription that the representative addresses is the good prescription. It is a Norwegian prescription, and we must at least contribute to the presence of the police. That's what the representative's business is here, and I share that.
ParlaMint-NO_2005-02-02.ana.ud299e646	Question 3 will be answered later.
ParlaMint-NO_2005-02-02.ana.ud299e653	I would like to ask the Minister for Education and Research the following questions: «I St.meld. No 30 for 2003-2004 Culture for learning recommended to the Church, Education and Research Committee that the Ministry of Education and Research should assess the development of national tests in close dialogue with parent, teacher and student organisations. According to the organisations, the Ministry has not initiated such cooperation. What is the reason why the Ministry has not included users to a greater extent in this work, and what will the Council of State do further?’
ParlaMint-NO_2005-02-02.ana.ud299e662	In 2002, the size of the population unanimously agreed to introduce national tests at four stages of initial training. The purpose of the tests is to help teachers to provide each student with better training and to help authorities put in place proper measures if conditions are identified requiring specific measures at local or national level. Since 2002, extensive work has been carried out to ensure the highest quality of the tests: the Ministry has commissioned the development of national tests for the best professional environments in the country. The mission was given until full implementation in spring 2005. The Education Directorate will then have the professional responsibility to develop the tests further. The selected professional communities have developed the tests in cooperation with reference groups consisting of experienced teachers, and they have also received feedback from professional consultants and consultants in the Directorate of Education. Samples are piloted, i.e. a representative number of schools and students have completed pilot tests. The professional environment has then adjusted the tests in the light of the results of the schools. In addition, the Education Directorate, in its work on the year’s samples, dealt with the experience, analyses and studies related to the national samples in 2004. Since last year, a number of evaluations have generally been carried out involving both professional settings and users. This has contributed to improvements to the tests. In addition, a comprehensive material has been developed to provide teachers with better guidance and support for their text and assessment skills. Feedback suggests that teachers see this as instructive and useful both for training and for assessment. In addition, extensive information and guidance work has been carried out for schools, teachers and homes, including a brochure sent to schools for home communication as ‘sampling mail’. The brochure provides information on national samples and the school port.no. In particular, with regard to contact with the organisations, I would like to mention the following: in the context of the development of the school port.no and the national tests, a reference group has been set up, among others. The Education Association, the Student Organisation and the Parental Committee of Primary School are represented. The reference group had two meetings in the spring of 2004 in connection with the development of the year’s tests. In addition, as part of the implementation of the Knowledge Commitment, a separate national contact group has been set up. The teacher’s organisations, the Student Organisation and the Parent’s Committee for Primary Education are both represented. These include: the national quality assessment system has been discussed. So far, there have been three meetings in this group. The Education Directorate has had several meetings with the Education Association in 2004 and has also briefed on collections of trustees on the national samples. In addition, the Education Directorate presented the school port.no and the national tests at a conference chaired by the Parental Committee for Primary School in the autumn of 2004. No later than 11 January of this year, there was a meeting between the Education Directorate and the Student Organisation, where the national tests were discussed. Arrangements were made here for contact and dialogue on further work on the tests. In addition, several meetings were held as part of the ministry's ongoing contact with the organisations. National tests have also been affected and discussed at these meetings. As a result of experience and input from, among others: the organisations and assessments carried out both in the ministry and in the directorate, a number of improvement actions related to the tests have been carried out in 2005. Examples of such measures are changes at the time of the test, difficulty in carrying out the tests, simplification of the external assessment arrangements, improved teacher training and improved guidance and information material. Similar work will be carried out in the development of next year’s tests. This will include, inter alia: a user survey of teachers and principals related to this year’s tests will be carried out and the Directorate-General for Education will start work on evaluating the quality assessment system, where the national tests are an important part. Further improvement measures are also envisaged, such as: a more thorough evaluation of the timing of tests, adaptation to new curricula, the development of several electronic tests, greater coordination with regard to the design of the tests, and the development of a common framework with clearer objectives for the tests. I have today had a meeting with the Education Association and will have a meeting with the Student Organisation later today to discuss future forms of cooperation. These two have recently expressed themselves critical of the quality of the cooperation we have had. With today's meetings, I hope to get concrete information about what these organisations want. I have already received that from the Education Association. I will take the initiative to hold a similar meeting with other organisations in a short time, even if they have not made similar criticisms. You can always ask questions about whether you are doing well enough dialogue or providing enough information when you are in a development phase with a lot of new work. The feedback we get from individual students, teachers and principals does not give a clear picture. Some believe that the information has been exemplary, some think it is too much, and others too little. I believe, however, that there has been a clear willingness of both the Department and the Directorate to follow up the Committee's recommendation on dialogue with important user groups in the work on national tests. That is why there have been several meetings and contacts at several levels, which I believe has also resulted in improved quality of the samples. Finally, I think it is important that the cooperation that is established with, among other things. the teacher organisations, the Local Governments’ Central Association, the Student Organisation and the parents’ organisations, are continued and are still being sought for improved. I'll make sure it happens.
ParlaMint-NO_2005-02-02.ana.ud299e696	After hearing the answer one understands a little better why it can go as wrong as it has obviously done, because the Council of State talked about information, giving information from the Department, from the Directorate of Education to the users, while users, in this case the students and the teachers' organisations, are engaged in dialogue. There's a very big difference between information and dialogue. What I'm concerned about is the dialogue that should have been in front of the development of the tests, the way they are being conducted, and also what the students have reacted to, namely publication. I am glad that there has been a meeting today with the teacher organisations, as the Council of State says, and that there will also be a meeting with the students later today. That sounds good. But this should have come before these tests, at an earlier point in time. If you had, I think you could have avoided a lot of the trouble and the problems that have arisen. But my question to the Council of State is: Will the Council of State, based on that dialogue, consider, from the points of view that has emerged through the media, making a statement towards what SV has proposed, not testing the entire population, but drawing out a sample, and thus getting an overview of how the literacy, literacy, math skills are at national level? We'll get the exact same information as if we were testing the entire population.
ParlaMint-NO_2005-02-02.ana.ud299e705	I would dispute that this has been a contact that has only concerned one-sided information. There have been a lot of meetings. I didn't even have time to mention everything, even I read quite quickly. The last meeting we had with the Student Organisation was on 11 January, and in these reference groups, the contact groups, etc. of course it's something more than one-sided information. However, I note that in particular two of the organisations, the Student Organisation and the Education Association, do not think that the quality of the cooperation has been good enough. They believe that cooperation should possibly have a different character. They have critical views on some aspects of development, implementation, etc. of the samples. I have no intention of disagreeing with anyone on such matters, and I have therefore taken the initiative to clarify what you think can be improved, and how it should be improved. Because even though the representative Rikvam here refers to the media, I have to say that just by reading the media you don't get a clear and unambiguous picture of what are the critical points, and how cooperation could have been improved. But I have taken the initiative today. What I am concerned about then is both the further performance of the tests this year, the evaluation of the test of the year, which will be carried out with their involvement, and the planning of 2006. Although SV has changed their view of the national samples, and now wants a sample survey, which appeared to be about the same. A few years after one unanimously joined the system we have, the majority of the population has not changed their view. I believe it is important for all students to undergo the national tests, because we are concerned with adapted training. Adapted training cannot be provided on the basis of information on an average, as students are different.
ParlaMint-NO_2005-02-02.ana.ud299e714	The President understands that the theme is engaged. But there's a limited speaking time in the follow-up questions of up to 1 minute.
ParlaMint-NO_2005-02-02.ana.ud299e717	I'm just recording what the Council of State framed in its first post, and that was pretty much information. I'm asking for dialogue, and that's what I'm dealing with. It is quite possible that there has been a good dialogue, but there is nothing in the first answer to me that indicates that there has been a good dialogue. That's what I want to challenge the government council. I now perceive that there's a dialogue going on, and I think that's very good. Thus, we might have avoided some of the problems that have arisen. To me, it's pretty clear what students want, and in the media, the students have been quite clear about what their appeal is to the way we do it. Their appeal is that the result is published, that we get a ranking, and that we get A and B schools. That's going to be the consequences of these tests. It was clearly what the students wanted to enter into dialogue with the Council of State on, and they wanted the Council of State to invite them to a dialogue on that very matter. We have a public law, and the moment we collect the kind of data, it's clear that it's going to be published. The challenge then has to be what types of data we are going to collect, and what we want to get centrally. That's our challenge, and that's what we've given the answer to with our proposal for a model, which I had hoped the Council of State would have agreed to discuss, instead of saying that SV has changed its position. That's not right. We haven't changed our position. We've been for the national tests and we've said that we're going in to defend national tests, but we're not going in to test the entire population. It doesn't give us any information that we can't get in any other way.
ParlaMint-NO_2005-02-02.ana.ud299e726	I'm sorry, but my clock doesn't actually work. That's why I've been a little in doubt about how long I've been talking, but I'm going to try to keep time.
ParlaMint-NO_2005-02-02.ana.ud299e731	Okay.
ParlaMint-NO_2005-02-02.ana.ud299e734	That SV has changed its position, I think it must be quite clear, because SV's leader drove almost the entire previous election campaign, the municipal election campaign, on a school system that provided national tests and much clearer objectives in the curricula, and that a system of national professional and hourly distribution was to be scrapped. When she said explicitly that she thought the system we had now adopted, with the number of national tests, was appropriate. She also believed that it was not possible to hold back information about the results that were available. It is such that the results of national tests are public, just as take-offs and exams are public in Norway. So you could say, is it so dangerous that we should just have a sample survey? No, I don't think so. I believe it is important that all students undergo the tests, so that teachers can provide each student with better training. We have little A and B schools in Norway. But if we have a bad school, it doesn't get any worse because the municipality knows about it. Then the municipality gets a chance to do something about the problems, and that must be the purpose. The rankings that the media make aren't that much to do with. But I actually think they seem somewhat more informed and nuanced and appear less now than before the school door.no was introduced.
ParlaMint-NO_2005-02-02.ana.ud299e746	This is also a question to the Minister of Education about the national tests, but with a different main page related to this. ‘The introduction of mandatory national tests was supported by an overall accumulation in order to improve learning outcomes in Norwegian schools, among others. by means of en-route measurements on the learning outcomes of students at different class stages. The student organisation, individual students and teachers have invited, directly or indirectly, boycott or the delivery of a blank reply. What are the consequences for those who encourage and those who respond to the call?’
ParlaMint-NO_2005-02-02.ana.ud299e755	The purpose of the national tests is to help teachers to give each student better training and to help authorities put in place the right measures. National tests are compulsory and thus part of the contents of the school in line with other contents. The tests are also part of our national quality assessment system, as shown on the schoolport.no website. The school portal provides information on a number of issues at Norwegian schools, such as: resources, student well-being, learning environment, bullying, secondary level implementation, learning outcomes, etc. As pointed out by the representative of Sortevik, actions have been carried out in relation to the implementation of the national samples last week. This concerns both the invitation to boycott, the implementation of boycott and the anonymous publication of samples on the Internet before they were held. The basis for the protests has not been clear in all cases, but it appears, in particular, that the results of the national tests are published and that it can provide the basis for a ranking of schools. To this I would like to point out the following: No returnable results to individual livers are published. Schoolporten.no has defined very strict limits for publishing. The results of the national tests, like take-off and examination characteristics, are public information under the Public Health Act. I also think that transparency is important and correct, among other things. because knowledge and open dialogue are an important prerequisite for improvement. In Norway, this is particularly important because municipalities and counties are responsible for the quality of schools. Without transparency, municipalities have no basis for conducting a qualified debate on the content of their school or for putting in place the necessary measures. I find it difficult to imagine that parental meetings or municipal boards should be imposed on them when, for example, they are bound by professional secrecy. discuss the literacy skills of students at school or in the municipality. The school gate itself does not facilitate ranking. On the contrary, it provides a much more nuanced and complex picture of quality in Norwegian school than has been available in the past. I have repeatedly stressed that simple rankings, taking into account only a small part of what we know about the schools, become meaningless. I also have strong doubts as to whether this is correct, as many claim, that the media now rank schools more and on a thinner basis than they have done before. On the other hand, we have recently heard a lot of positive stories about schools and teachers who, after screening tests, have worked to improve learning outcomes among students, and who have done it. I have also noticed that none of those who are opposed to publication require secrecy of any other information about the schools. With regard to the impact on the activists, I would first like to point out that the vast majority of students, after all, do not act. Even on those samples where the magnitude of the boycott was greatest, carried out, I think now, over 85 pst. by the students. With regard to those who have taken part in the actions, it is my view that this is something that needs to be handled in individual schools and by individual teachers and is specifically assessed on a case-by-case basis in the light of the law and regulations of the school. I have no reason to say, as has been claimed in the media, that employees at school have leaked the samples to the anonymous group who has posted them on the Internet. But what seems clear is that employees at school have also encouraged boikot directly and indirectly. In my opinion, this is problematic. The school involves obligations, both for students and employees. In addition, school staff depend heavily on the trust of society, parents and students. Such trust generally requires that you follow the school’s laws and regulations, and that you can handle silent information. Responses in this area, if any, also need to be addressed in specific cases and by individual schools and municipalities. The views of the national samples are far from as unambiguous as actions of a minority may leave an impression. I therefore hope that the further performance of the tests can be carried out in a manner consistent with the Storting assumptions.
ParlaMint-NO_2005-02-02.ana.ud299e781	I thank you for your answer. National tests are mandatory, as the Council of State said. Students and superiors know that. The regulations of the Training Act on the character of order and behaviour state that an individual should not normally focus on individual actions. But isn't conscious choice of boycott a rather unusual, but clear act that should be shown in characterization of order and behavior? The Council of State also replied, if I remember correctly, that the reaction to participation must be enforced by the individual school, individual teacher, and even assessed in the individual case. It's going to be a form of reaction that cracks in absolutely all directions. The main impression is that it is not so dangerous and that the boycotting of a national test, which is to be part of education for students and part of the job of improving the national education system, does not have practical consequences. It's not that dangerous. It's going to be a strange learning and assignment signal for the school.
ParlaMint-NO_2005-02-02.ana.ud299e790	Since this is an ordinary part of the school, compulsory, and can be equated with other content, I have also stressed that the basis on which the teachers make their assessment should not be changed. Teachers are responsible for conducting the assessment of students, and they do so on the basis of what is called the assessment code, the guidelines for assessment. We have therefore been content to inform about the assessment regulation rather than to take over the assessment for the teachers. In terms of order and behaviour, the rules are slightly different in primary and secondary education. As a layman and seen from the outside, it may not seem unreasonable to have a reaction if you boycott. If the student does not meet for tests for no valid reason, we can find that there is no valid absence, and it is stated in the assessment regulation that invalid absences are to be regarded as a breach of the rules of procedure in primary school. But it's the teachers who are responsible for this, and I think it's very important for the teachers' authority and the confidence of the teachers that they're doing what they're supposed to do, that's to preside over the concrete assessment. In public space, I have intended to be able to explain the legal and regulatory basis that teachers have for their assessment.
ParlaMint-NO_2005-02-02.ana.ud299e797	I thank you again for the answer. I'm moving into the second part of the question, which is, as the council itself says, the teachers are actually doing what they're supposed to do. I think the Council of State mentioned the fact that employees in school have also called directly and indirectly for boycott, as ‘problematic’. I'd say it's more than problematic. I would say that it shows an obvious disloyalty, and that it shows employees who do not manage or want to act politically neutrally in relation to their teaching. The quality of the school depends on trust at many levels and in many relationships, not least in relation to pupils and parents. Does the Council of State believe that the support of teachers for boycotting national tests, i.e. a compulsory part of school activities, promotes such trust?
ParlaMint-NO_2005-02-02.ana.ud299e804	As I said in my post, I think it's problematic. Both working at school and reporting as a student to the school mean a lot of positive and much on the offer side, but it also involves some obligations. These obligations are usually governed by laws, regulations, school regulations and agreements between employees and their employers. Since there are so many people who depend on school, it is very important that we, as parents, students, etc., can have confidence in complying with such laws and regulations, and that you are able, as I think, to handle information that is very important. We also have regular exams and other exams at school. The teachers and the school, of course, also have a lot of information about our children, who are heavily deaf. That's why it's very important that we have confidence in this system. But once again, I have to say that the right way of dealing with the employees, if there are to be any reactions or something to happen, has to be between the employer and the employee.
ParlaMint-NO_2005-02-02.ana.ud299e820	This question has been postponed to the next Question Time.
ParlaMint-NO_2005-02-02.ana.ud299e827	This question, from the representative of Steinar Bastesen to the Minister for Fisheries and Coastal Affairs, will be answered by the Minister for Transport on behalf of the Minister for Fisheries and Coastal Affairs.
ParlaMint-NO_2005-02-02.ana.ud299e830	‘The Riks revision has pointed out that the structural change in the fishing fleet has led to an increase in capacity, while the intention has been to reduce capacity and increase profitability. Structural measures have not reduced capacity and increased profitability, but have resulted in a relative increase in capacity of the sea fleet and a reduction in coastal fleet. How do the Councils view this shift in the capacity of the marine fleet and the coastal fleet, and what impact will this shift have on fisheries policy?’
ParlaMint-NO_2005-02-02.ana.ud299e837	The renewal of the fishing fleet is desirable both to reduce the number of vessels and to provide fishermen with better and safer working conditions. In addition, fleet renewal is needed to improve exploitation and improve the quality of the whole fish. It is overcapacity both in the sea fishing fleet and in the coastal fleet. By reducing the number of ships, capacity may be reduced and profitability increased by reducing costs of maintenance, tools, insurance, etc. Today’s fleet structure and capacity are essentially a result of the condition before fishing was restricted to access, from 1990 onwards. However, the technical fishing capacity of vessels may be increased if replacement is made at the same time to newer or larger vessels, by technological development or by the enhancement of competences. The technical fishing capacity of the fleet is, in particular, a private economic issue after the Government has taken the view that the allocation between the groups of vessels is stable and after the allocation of the quotas of the coastal fleet between four longitudinal groups according to the so-called Finnmark model. In addition, quotas have now been introduced both in the whitefish sector and in pelagic fisheries. This means that fishermen must be economic rational operators, building on their own performance. If a shipowner wants to build a larger boat with good facilities for the fishermen, he won't get a bigger quota, but can offer the crew a safe job. In other words, the government has prevented the transfer of allowances from small to large boats and no quota is transferred from the coastal fleet to the sea fishing fleet, as was the case in the 1990s. On the other hand, the government has opened up a test scheme for the coastal fleet to fish for trawl quotas. At the same time, the questioner makes mistakes when he claims that the profitability has not increased. In the ring-fleet fleet, profitability is very good, among other things. due to structural measures and coastal fleets, there are already several examples of the structural and operational arrangements introduced last year increasing the profitability of both vessels and crew slots. The increase in total debt in a group does not automatically mean a deterioration in profitability. Rather, because the government's economic policy provides low interest rates, and reduced numbers of ships and new boats, unless maintenance costs contribute to improved profitability. In addition, tomorrow, the Storting will consider the position of the Supervisory and Constituent Committee on the National Audit Office on the management of fisheries resources, so the Minister for Fisheries and Coastal Affairs and the Storting will have a good opportunity to discuss several aspects of this matter.
ParlaMint-NO_2005-02-02.ana.ud299e852	I am aware that the Riksrevision report will be discussed tomorrow. But I have a follow-up question. The Riksrevision report points out that the sea fishing fleet, which represents 2-3 pst. of the Norwegian fishing fleet, representing 80 pst. of the total catch quantity. Does the Government believe that this development, which has led to fewer and fewer boats, which have received a formidable increase in capacity, is consistent with the intention of restructuring the fishing industry?
ParlaMint-NO_2005-02-02.ana.ud299e859	I'll recommend the asker to bring this up in Stortinget tomorrow. As I said, this report will then be discussed and the Minister for Fisheries and Coastal Affairs will also be present.
ParlaMint-NO_2005-02-02.ana.ud299e864	I thank the Council again for the answer. But I have a follow-up question. Minister of Fisheries Svein Ludvigsen has rejected in posts in the paper that some fishing boaters have been given an everlasting quota. He has also rejected the fact that there is a privatisation of fishing resources. Does the Government agree with this description? Who owns the fish resources? Why is it necessary to amend the regulations in order to make it easier to obtain everlasting quotas? It is the Government that is responsible for the policy being pursued. I ask again, why is it necessary to change the regulations?
ParlaMint-NO_2005-02-02.ana.ud299e871	It is important for the Government that we have a sustainable management of resources, and that we have a quota policy that also helps us to have viable coastal communities. There will certainly be room for debate on many elements here. Tomorrow the debate will go here in Stortinget, and there will be further opportunities to elaborate on this.
ParlaMint-NO_2005-02-02.ana.ud299e880	My question goes to the Minister of Health and Welfare: ‘On the TV 2 news on 20 January, it was informed that 1 person out of 3 does not reach telephone contact with the local authority. The purpose of the scheme was precisely that everyone should have a fixed and well-known doctor to deal with who would give the individual proper follow-up. If it is true what is claimed on TV 2, these assumptions are not met, despite the fact that the doctors are paid for each patient on their respective lists. According to TV 2’s calculations, 380 settlers only correspond to 50 pst. of the enquiries. What will the Council of State do?’
