ParlaMint-NO_2005-04-14.ana.ud1391e41	The representative of Morten Højlund will make a private proposal.
ParlaMint-NO_2005-04-14.ana.ud1391e399	I will also be allowed to thank the Minister of Health and Care for the statement he made on Monday. It was thorough in view of its wide-ranging status of psychiatry today, but it may not have had the whole world of instructions on how to do it in the future towards 2008 to be fully operational, as was the intention in the Roadmap for Mental Health. The Gabrielsen Council of State mentioned, inter alia: six points that he wanted to be central to the future, and that's important. The first point went on with the addition of sufficient resources. I agree with that, but then we may have to look not only at the sum in relation to the framework allocation, but at what the general community economy is like; if the municipalities each year have an economy at the bottom of their operational concept, so that it is possible to follow up what is the intention of primary health care in general and the psychiatry in particular. The second is the economy and distribution of specialist health services, and the funding system we have today, with DRG credits and input-driven funding, serves the psychiatry. I guess that's said a lot about before. I think that someone needs to find another funding model, especially for the psychiatry, to get the money where they're needed, to have services in this field at the specialist health service level. So to the services of acute psychiatry. It is disappointing to observe that DPSs adopted by the previous hospital owner have been ridiculed or ice-creamed during the time health care establishments have worked. Now, the DPS is starting to find a form, as I can understand it, and that's good. But still there is too much and varying quality of the DPS. The level of activity is different and the level of cooperation and cooperation differs. The Minister of Health is now talking about an outpatient team, and that's good enough. I think that can also remedy part of this situation and be very competent and helpful to primary health care. But the outpatient teams must have a good starting point in the DPS. There has to be a management here who knows what you want, what you do, and what you have to do to make it a good service. At the same time, there have to be enough professionals, and that makes demands for another point that I will come to later. The professional content of the service must be strengthened, Gabrielsen said. Technical guidelines are now being completed to support the professional content of the proceedings. I have to say, it's really time. I'm glad. However, at the same time as these technical guidelines, there must be resources at the bottom. There must be money, and there must be trained personnel and good enough recruitment. It's important to bring it, not least the last one, if we're going to take care of the need that comes to the end. In municipalities, there has to be a sufficient economy for competence and treatment. I am pleased with what the Minister for Health said about personal contact and individual plans. That's good. But then we have to have housing, and we have to have the social part in place, with organized work or employment and earnings for the individual, and a follow-up system that makes security and security there. I also think that we need some 24 hours in addition to what SINTEF points out. In this context, I agree with the representative of Alvheim that one must not now throw wrecks in all these daily places, nor the hospital places that have been there. I am dismayed that so many of these are built-in, without any other and better offer in place. It's been criticised by the Center Party before. So finally a little bit about the points that we think are important. If the quality of services is to rise to an acceptable level, municipalities must be given more resources and the activity and service provision of the specialist health service must be improved through both more resources and a strengthening of the qualitative content. Education and more competence must be put in place. It is important that we also get a recruitment that is in line with the needs of this medical profession. There must be requirements for management and therefore overall and progress both for the individual patient, for the institutions and for the subject. Education, research and development are important, and there must be interaction and development between somatics and psychiatry. That's why the government's attitude towards the psychiatrist at St. Olav's Hospital in Trondheim is disappointing. The city level must get more money, and here the government has a very great responsibility. Finally, we need to put client-creating society more on the agenda. How are we going to change developments so that we do not get this increase in mental health problems and the need for psychiatric treatment in the future?
ParlaMint-NO_2005-04-14.ana.ud1391e420	I don't have much to add materially to the explanation I gave. I thank you for the reception it has received. As I said in the Storting on Monday, I tried at least to give an honest analysis of the situation, as I experience it, and as the representative Molvik said, having got a ‘common understanding’ of reality, is quite important no matter what we are going to discuss. But we have to recognize that in this area, as in very many areas, there is a distance between the level of expectations we have individually in society for what the health care system can sort out, and what is actually possible, both medically and resourcely, because there will always be some constraints. I think we have to recognise that this is particularly prominent in psychiatry, because we have to see the realities in our eyes. Although very many people who are affected by mental disorders will get over it, it is also that for those of us who are affected, it will often be a lifelong suffering to go on. I am particularly concerned that part of the heaviest cases will get a better offer. But then, as the representative Woie Duesund was involved, we have this with prevention. That's one, and the other is early intervention. You can build emergency departments, build on one wing after another, it's now, but the important thing is what we're doing to avoid people getting into an emergency situation. Then we have an idea that the Storting has joined in unanimously, as far as I remember, namely the outpatient team and early intervention. It's not like you're doing either one or the other. It would just mean that you walked in one or the other ditch. To the head of the committee, Alvheim, who said he was in doubt about the correctness of the ambulance team, and set it up against 24 hours, I'd say, no, we have to have both. There's no doubt about it. There's not enough outpatient teams available from 9 p.m. 8 to 8 o'clock. 16, as it was said. They have to be available 24 hours a day, just to avoid the situation of having to use the police to pick up young people from their homes, where they may have been sitting in a room for months until the nearest explosion. It's the early intervention and the outpatient team is going on. A few comments about something the representative Kristoffersen was talking about: On the one hand he gave ‘honor’ for clarity, and on the other hand there was no ‘especially concrete’, as he said. But the representative mentioned this with manning standards. We have to be so honest that we say that there is a significant problem with manning some places in the country, regardless of standards or not standards. Yesterday I had a meeting with the health company and the politicians in Finnmark. 50 pst. of the psychiatrist positions in Finnmark are not occupied. There is not a lack of standards that is the main problem, but the fact that the training capacity increase we talked about in 1997-1998 is probably not sufficient because of the growth in demand. That means that we also need to have a strong focus on the educational bit here. With regard to the second point that the representative of Kristoffersen raised, about management, which I mentioned and emphasised quite strongly, I would say that this subject has not been sufficient and in the same way as the somatic management anchored around in many of our hospitals. We have taken very concrete action on this. It is in compliance with the legal framework, such as individual plans, etc., and it is about establishing internal control procedures in order for us to know what status is at all times. The representative Alvheim talked about this with the closure of psychiatric hospitals. It's true, as I've told Stortinget before, that there's been a greater degree of degradation than what was foreseen in the psychiatry escalation plan. On the other hand, Stortinget has, as far as I can see, when I turn in St.prp. No 1 for the last five to six years, has been annually briefed on this. But I feel that I have the Storting in my back in terms of the measures that have been taken, and also in terms of those that have been outlined.
ParlaMint-NO_2005-04-14.ana.ud1391e438	It's going to be line change.
ParlaMint-NO_2005-04-14.ana.ud1391e441	First, a little bit of clarification. I don't put out an ambulance team to 24-hour treatment stations and hospitals, but I think both of them have to be in place. I'm just warning you that the outpatient team is going to come as a ransom of most things. I think that's going to be wrong. So a little bit to the realities behind this message, and what we've done and meant before this date and before the presentation to the Minister of Health and Care. There is no doubt that we disagree, among other things, with regard to: the level of local government finances. We've wanted more money for the area in general. But this is the case with children and young people, lowthreshold services and health centres, which have so far been mentioned here. Before considering the 2005 state budget, we were informed by the municipalities that part of the health centres for children and young people was being wound up because they had no finances. Some of us asked for this to be followed up, and we also wanted more money, without a majority for it. However, I would like to know if the Minister of Health and Health can provide a status report on health centres for children and young people, that these are not liquidated, but instead are being developed to be low-threshold services also in the case of psychiatry.
ParlaMint-NO_2005-04-14.ana.ud1391e450	I mentioned that the attitude towards outpatient teams versus lucky places was that of the head of the Social Committee, but I think it's a common understanding that it's not about either – or, but both – and, and how we're going to dimension this in order to get an optimal offer. It is quite obvious that outpatient teams are important for all age groups, but it is particularly important for the group that the representative for Invalidity addresses, namely children and young people, and then in close cooperation with both child protection, health and not least school. With regard to the health centre for young people, I cannot see that in the work we have done in this regard, we have taken measures that weaken that offer, or that would be contrary to what was the Stortinge's intention in that matter.
ParlaMint-NO_2005-04-14.ana.ud1391e457	Dear Councillor! It is likely to be unclear in some areas and clear in others. The Council of State was clear on a lot in its presentation, but what I drew out, which I think was a little too little focused – at least it should be stressed in the work ahead – was some points. Among other things, I mentioned: this with the DPS and the lack of staffing requirements, not necessarily norms, but must ensure the safe quality of the DPS, one must be provided with a professionally strong crew. Many are struggling with the combination of intoxication and mental problems, and this is a growing problem. The health companies have not yet taken the necessary care of this, I think. I want to ask the Council of State what he will do to make progress in establishing a quality treatment offer for those who are struggling with the combination of drugs and mental disorders.
ParlaMint-NO_2005-04-14.ana.ud1391e464	There is no doubt that the quality of the approx. 65 the DPS-- I think that's the number that's established, and that's about. 10 more to be established – is different. There's no doubt about it. As I said, I had a meeting with Finnmark yesterday. I know that people in other parts of the country have problems with manning. There was also a little question about it being the right ones getting help from our psychiatrists. It's clear that in our big cities there's a very build-up of private-practicing psychiatrists who might to some extent be pecking at relatively modest things, while there's heavy cases that don't get the capacity they should have. As far as drugs, psychiatry and double diagnosis are concerned, it is quite obvious that this applies to a lot of those who have been in the drug setting for a long time. It's often based on rush and vice versa. But that's part of the total picture that it's working on, and that we have a much greater degree of consciousness compared to. They have often fallen between two chairs in previous treatments.
ParlaMint-NO_2005-04-14.ana.ud1391e473	What was not mentioned in the presentation was this: what do our psychiatrists and psychologists do in our different institutions? At the end of December last year, I received a letter from a psychiatric patient. She had been admitted to a DPS for seven days as a 24-hour patient, and had not been in contact with either psychologist or psychiatrist on these seven days. And as she writes, "I see they're sitting inside these glass windows all day, but they don't have time for me." Here I think it's a job to do both for the Stortinget and not least for the Minister of Health and Care.
ParlaMint-NO_2005-04-14.ana.ud1391e480	Yes, I just have to say that I have also asked myself that question, and I have also asked the psychiatrists to meet them. It's a fact, which was documented by a big project this winter, that people may have met for six months in a DPS before meeting a psychiatrist/psychologist to be investigated. It was just 5-10 pst. which was investigated in the first two months. There's no doubt that there's one of the main issues, because how can you start treating a patient before you have a diagnosis, while you just go out and out of space? That is part of the picture that I have tried to draw, and that I have also taken up after the Medical Association's breakthrough project has now been completed. Last week we had a meeting with representatives of all these groups. In order to use the language of the representative Alvheim: it is really a shame that this has been able to continue for as long as it has. This is what we're about to do.
ParlaMint-NO_2005-04-14.ana.ud1391e485	Earlier in the debate, I commended the Minister of Health for being very clear that in 2005 the growth of resources in psychiatry and in alcohol alone would be higher than in the somatic environment. I also understand that he has clearly informed the regional health companies through his management documents. If it would nevertheless prove that developments are going in a different direction from that of the Minister of Health and I agree, does he have other measures in place to ensure that this actually happens?
ParlaMint-NO_2005-04-14.ana.ud1391e492	I only have one measure left, and I intend to take advantage of that. I hope that the Minister of Health, if it does not become me, will do so at some point, and that is to ask those responsible for the implementation of this measure, to read the job advertisements, so that we can bring in people who are willing to do what they have been instructed to do from the owner, namely the Minister of Health, on the basis of a unanimous decision of major importance on what should be a priority. We cannot have a health service where for five to six years, priorities are quite different from those to be given priority. You can't have that. That means we have to have someone in there who has the ability and the will to implement it. I don't have more measures to put in than that, but it's also going to be useful.
ParlaMint-NO_2005-04-14.ana.ud1391e497	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-04-14.ana.ud1391e502	Children’s and young people’s drug problems and children’s and young people’s mental problems are increasing, and it paralyzes entire families. It's clear that it feels like an eternity to have to wait for 70 days when your kid is seriously ill and/or rushing and perhaps is in a hurry to be a long-range. Then it is good that this issue has become so central to the presentation of the Council of State, and that a strategy plan is available with objectives of 10 days waiting lists. I very much agree with the views of my colleagues in this area too and, of course, I support the proposal of the representative, Mr Hansen, who was put forward before the debate. For it is in a policy area that we should consider providing a guarantee of treatment, it is for mentally ill children and young people. The perspectives are pretty serious if you don't get this done. In the statement, the Council of State states: ‘Resources are needed to build a DPS to a good professional standard. But I cannot fail to point out that many of the challenges I have referred to are not just about the lack of resources, but about the ability and not least the willingness to bet on the decentralised services." The representative Alvheim used an example in his post that in a way underscores that problem. He referred to the plans of the county council, which no longer applied, and he used an example from the municipality of Kragerø. The municipality built a new hospital home to establish a DPS with 17 daily places, and tilts, then it was just centralized away, despite previously approved plans and despite the Storting's clear, pronounced goals. This creates frustration in the municipality and the employees, who feel powerless. But the most serious thing is that the Council of State also mentions in its statement, that this creates neither trust nor closeness to patients. This the Council of States must look at again. This development is contrary to Storting’s intention in relation to DPS.
ParlaMint-NO_2005-04-14.ana.ud1391e517	I would like to add some comments to the proposal of John I. Alvheim, who has been promoted in the hall today. As many people have been involved, I myself promoted a Document No. Eight proposals on paediatric psychiatry at the beginning of the meeting today. Let me stress that my proposal concerns the issue of waiting time, i.e. waiting time until the first consultation, but also waiting time until the start of treatment. The starting point of the proposal I have made is to put in place guarantees that strengthen rights, if appropriate, and thus also to clarify political priorities that we all seem to agree on. At the same time, I think it is important for us to recognise that this is not a simple matter. The worst thing we can do is to put in place strong, reinforced, guarantees that in practice cannot be implemented. That is why we in the Labour Party are not prepared to decide to introduce such a guarantee today, with which, as is also stated in the proposal by John I. Alvheim, clear, already defined, deadlines. In my proposal, which was promoted at the start of today's sitting, as I said, it is clear that more thorough assessments of, for example, the situation are needed. the nature of the time limits that may be involved. For this reason, the proposal also contains a clear premise that the Government should be required to promote its own case in which the whole of these measures is assessed, and that it is the decision-making basis for the Storting when, hopefully, we can strengthen the rights of children and youth psychiatrists. This is the reason why the Labour Party will not vote in favour of the proposal by John I. Alvheim today, although I fully believe that the intentions of the proposal are entirely in line with those of the document No. The 8th proposal. Although it may not be easy to get through to it, I would ask John I. Alvheim to consider submitting the proposal to the Government without a trial, so that the proposal can hopefully be taken as a basis when we get a separate case on this in Stortinget in a short time.
ParlaMint-NO_2005-04-14.ana.ud1391e524	As I see it, child and youth psychiatry is still the worst coming out, also in the Minister of Care and Health's presentation. Nor do I find that the level of ambition on the part of the Government in relation to children and young people is good enough. It is precisely in childhood and youth that we can treat and prevent severe psychiatric disorders in retrospect. Therefore, we cannot at all accept that we should have a waiting time for the study of children and young people for 71 days. I also do not think ten days are satisfactory, although that is the goal of the Government and to the extent of a positive and good objective. It is important that when these children are referred to the specialist healthcare services in psychiatry with the smallest symptoms, they are considered to be immediate help, and investigation and treatment may be started within three weeks. My proposal is similar to that adopted by the Stortinget in connection with the Cancer Plan, where the first consultations are also to be seen as immediate help. It's no less dangerous for a teenager to have mental problems than it is for a teenager or a 12-year-old to have cancer. It's just as serious each in its own way, both for the patient and for the relatives. Therefore, there should be no waiting time for taking care of children and young people. After all, we have recently received a report that the suicide rate among very young people is alarming — alarming — great. So that's my proposal. I said it was after a template from the cancer plan. The Patient Rights Act gives rights to all of us, including children and young people, in psychiatry. But there is always a professional judgement. When should you take the patient into the investigation, when can it wait, and when can you start treatment, when can it wait? It's this waiting time for kids and young people I don't want to accept. It has to happen promptly, and that's what the proposal is really about. Then it is reassuring to hear here both from the Right and from the Christian People's Party that my proposal would weaken patients' rights. You actually have to be a representative from the Right to be able to express yourself this way at all.
ParlaMint-NO_2005-04-14.ana.ud1391e533	What has happened since the Cancer Plan was adopted is, of course, what John I. Alvheim had to say is that we have got a new patient rights law, which not least the Progress Party and the Right have been great champions of. That John I. Alvheim's proposal is not necessary, I have his own words on in the Inner East. S. No 149 for 2001-2002, which dealt with a similar proposal by the Socialist Left. At the time, the Progress Party chose to support the Socialist Left proposal, on the grounds that an individual-term patient rights law had not been passed. But they say that «on the proposal in Document No 8:24 for 2001-2002 had been adopted, the existing proposals in... had been redundant.» It is stated in the comments of the Progress Party in the setting. That is a position that I believe also applies today. Not only is it superfluous, but it could weaken the individual patient's rights. The fact that an investigation and treatment should be initiated within 21 days, as the proposal implies, will in effect allow some patients who need immediate treatment to be pushed forward in order to provide patients who may not need treatment within 14 days, three weeks or a month, with this guarantee. There will also be a professional assessment on the basis, but one will then have a time limit to which everyone is covered. As we know, everyone is equally important, here no one is prioritized. That's the challenge of John I. Alvheim's proposal. What's the problem, is what John I. Alvheim himself pointed to in his post, that the professional communities, as well as the patients who lived in Oslo, are moving forward in VG today, have taken over the realities of the law that the Progress Party and the Right have fought. We got a good example of this in the TV 2 news yesterday, when a young girl with anorexia asked the question, When should I get help? How long do I have to wait? She had wanted a treatment offer that had not been given to her. On the TV 2 news this morning, we heard about how patients in the somatic area get good help from a private waiting list office to get quickly in the hospital queue. Then there is no waiting list guarantee that there is something wrong with it, then it is the professional community's perception of what the criteria are for when to need the individual right and when to set that right. If we can't clean it up, no new guarantees will solve the problems. That is why we need to address the challenge – the attitudes of the professional community.
ParlaMint-NO_2005-04-14.ana.ud1391e547	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 2079]]
ParlaMint-NO_2005-04-14.ana.ud1391e567	Through my interpellation, I have tried to put the spotlight on what I think is an important principleal issue. On 1 January 1991 we carried out a major and comprehensive welfare reform in Norway. Special care was provided for people with mental retardation. People with mental retardation were to be integrated into society. The offer was to be normalised. Old central institutions were wound up. Thousands of individuals were to leave the institutions. In municipalities, the challenge was met offensively, and thousands of dwellings and apartments were established. An entirely new employee organisation was set up. I had the pleasure of working in the health protection for the mentally retarded at this time, i.e. in the HVPU. I therefore know very well that many relatives both rejoiced and were afraid of what was going to happen. They rejoiced because large parts of the old HVPU offer were marked by unworthiness. They were scared because, after all, you knew what you had, but not what you wanted. Many of those who moved out of the institutions had lived there for decades. In practice, many had lived there throughout their lives. On the part of society, on the part of the state, and on the part of the municipalities, this uncertainty that marked many relatives and many of those who lived in the institutions was met with what I would call offensive measures and understanding. Everyone got their individual plan, which described what they were going to move to. With it on the moving container, it was followed by ear-marked agents. The economy was what I would call relatively good. The new offers should ensure good quality. So how's it going? Yes, in this way there is a lot of good research to be used to answer that question. I'm not going to go into that research in this interpellation, but I'm going to answer my own question just as much by making my own impression. My impression is that it has been quite well. Of course, the variations are large from municipality to municipality. There are certainly some individuals who say that the offer was better before, but there are certainly some individuals who say that the offer is much better now. I have the clear impression that the municipalities have largely built up many good offers. The municipalities have taken this seriously and built up many good offers. And it should really just be missing. We made what I would call a kind of informal contract with all those who moved out of the institutions, and with their relatives. That contract contained a clear understanding that the individual would be offered at least as well where they moved – and for most of them it was about moving home – as the offer they had where they were. Then we see that a number of municipalities are struggling with poor local economy. It is, of course, tempting in this context to make a big point of it and get a broad and comprehensive debate on local economy. But I think we are getting plenty of occasion in the time to come, and at least until 12 September. Therefore, I am not now going to place very much emphasis on it, but just notice that a number of municipalities are struggling with what they themselves describe as a poor local economy. We see that the grants offered to people with mental retardation are no longer earmarked but integrated into the framework grant. We see that the municipalities meet a poor local economy by cutting costs, and very often the municipalities do not get out of the care sector, naturally, because such a large proportion of the budgets in the municipalities are linked to the care sector. Then we see that some of those who moved out of the central institutions in connection with the HVPU reform, which was to be normalised, to be integrated, are again offered institutional space. In my opinion, this time it is a worse offer than ever, namely an offer of a nursing home. In the interpellation I use a concrete example from a municipality in my own home area, Flatanger in the Nord-Trøndelag, where on several occasions they have seriously considered moving a 43-year-old woman out of her apartment that she got after moving from Halsetheimen and in which she has worked well. The best intentions of the HVPU reform have been met against this woman, because she has received a great home, and because the municipality has taken seriously to build up a good offer for her, professional and human. But now the municipality is in danger of having to shut down the offer and offer her an ordinary place to stay in hospital. After I picked up this interpellation, I have received enquiries from a number of relatives, in the form of letters, via e-mails and telephones, who say that even in their municipality you are struggling with this. There are questions about terminating offers, and there are questions about offering a nursing home. It may – perhaps – be that this is not a violation of any law. But at least it is a breach of the clear moral obligations I believe we have to all those people with mental retardation who have moved out of the central institutions to get better, normalized and integrated services in the municipalities a little over 14 years ago. In my opinion, young people with disabilities generally have nothing to do with nursing homes, and it's not that there's anything different even though disability is a mental retardation. That's why I eagerly await the answer from the Minister of Health to what's my main question: What kind of rights are the mentally retarded and their relatives in such a situation?
ParlaMint-NO_2005-04-14.ana.ud1391e595	The aim of the HVPU reform was to liquidate large, central institutions for the integration of people with developmental disabilities into the community. In my opinion, this has led to a significant enrichment for our neighbourhoods, while people with a developmental disability have been given the opportunity to participate more fully in society. It is a clear objective that persons in need of practical and personal assistance should have the opportunity to live and live independently. It is a municipal responsibility to facilitate this. In my opinion, it is not acceptable for younger people to stay in institutions for the elderly if they want a different offer. This is why the Government has taken action with regard to municipalities to help younger recipients get their own, suitable housing. The interpellation contains two questions, and I will first answer the question of the rights of mentally impaired people and their relatives in such a situation as the representative Hanssen has described. Secondly, I would like to explain the Government's action to enable municipalities to fulfil their important role as a well-being service provider, which is the second question. As regards the rights, the general rule is that the municipality is obliged to provide the necessary care services where the recipient lives or wants to live. This principle follows both the objective of the HVPU reform and the existing legislation. Under the Social Services Act, the municipality has a duty to consult with the user, and a great deal of emphasis is to be placed on what they or he may think. The Patient Rights Act has its own rules of consent and the patient’s right to participation and information in addition to rules on information to the patient’s immediate family. Derogations from the general rule that the recipient is entitled to care services where he resides may be granted in exceptional cases. This may, for example: if it would cause particular practical difficulties for the municipality to provide the services there or if this would require disproportionate resources. In all cases, the municipality must give priority to its services in relation to the needs to be met in each case. In some cases, the service offer may or should be modified due to new circumstances. In such cases, the recipient is subject to a new individual decision. Decisions on the award or modification of a service offer may be appealed to the Board of Appeal, which will be the County or the State Health Authority, depending on the nature of the decision. The Board of Appeal must assess the decision normally and decide whether the decision should be maintained or amended. The Board of Appeal may also refer the decision back to the Municipality for review and the Board of Appeal and the supervisory activities may ensure the legal certainty of the user in the design of the service provision. Experience has shown that the communication of the municipality with the user and its relatives is essential for the proper adaptation of the service provision to the user’s needs. I would therefore like to stress that it is important that the municipality makes a wholehearted effort to achieve good cooperation with the users and their relatives. The representative Hanssen was concerned that he himself worked in HVPU care in 1991. I was the rapporteur in 1991, when we got this reform, and I agree with the representative Hanssen that there was a great commitment in the municipalities to facilitating this in an individual and good way. In the case of the single case in the municipality of Flatanger in the Nord-Trøndelag, where there has been a discussion about terminating the care and care provision of a multi-disabled woman who moved to the municipality as a result of the HVPU reform, I have been in contact with the municipality. I have talked to the rapporteur about this. I know that the Health Authority and the County Council have met with them on the matter, and I assume that the individual matter mentioned in the interview will find its solution in line with the rules and the law that I have explained here. As far as the second question is concerned, what the government will do to improve the local economy, that's enough, as the representative says, that we can hold on for a long time and talk about it. It will probably also be part of the theme in the future by a date not so far in September. I will nevertheless take advantage of the opportunity to point out what we have said about these things in the Sem Declaration. Here it was added to a real growth in the income of the municipal sector during the current ageing period. Despite increased pension costs in 2002 and tax failures in 2003, this objective has been pursued. The level of total municipal income is, in fact, DKK 11 billion higher in 2005 than it was in 2003. As far as the 2006 income framework is concerned, the Government will of course come back to this in the municipal proposition that we are promoting, if not for a very long time. Of course, we are concerned that municipalities should make best use of available resources. Therefore, emphasis has been placed on stimulating the local authority's own opportunities to obtain efficient resource use within the current framework. The government's modernisation policy in the municipal sector runs along two main lines to release funds for the most important, such as: this case is about. Firstly, it is a goal for the Government to strengthen the municipalities by increasing the space within which they work. Increased action rooms allow municipalities to design their services in line with local circumstances and to adapt their overall needs. The government will also end the development work that helps municipalities to become a better service provider. This is done by developing performance and efficiency indicators and by contributing to improving the quality of care. In particular, I would like to refer to the cooperation agreement with the Local Governments' Central Association on quality development in the care services. In the cooperation agreement with KS, this includes, inter alia: focussed on continuing work in the community networks for innovation and efficiency. For 2004, the Cooperative Government has set up a new, earmarked, top-level funding scheme for resource-intensive users. However, the main guideline, which the representative had in mind, is that the funds are part of a general framework, so that municipalities can make their own priorities. I assume that the representative Hanssen and I agree that the sense is evenly distributed between those who are politicians in Oslo and those who are out in the municipalities. Those of us who have been politicians in the municipalities took it with us when we came here. This means that the priorities are often the most closely related to the users. However, the purpose of this earmarked grant is to ensure that users who require an extra large amount of resources from the municipal service provider will receive the best possible offer, regardless of the municipality’s financial situation. It will often be the case that there are large rashes in small municipalities. Therefore, I think it is wise to have such arrangements. Finally, I would also like to point out that in the 2004 report, when we set up this scheme, something has been said about this top-level funding scheme for resource-intensive users. The purpose of this appropriation is, therefore, to ensure that users who require substantial resources from the municipal service provider, a good offer, regardless of the economic situation of the municipality. It was actually distributed over NOK 1.5 billion in 2004. It was about approx. 350 municipalities and almost 3,400 users. According to the Government’s assessment, this is a system that is predictable for municipalities and ensures the operation of measures for resource-intensive users in municipalities, regardless of whether they live in institutions or in their own homes. This scheme is now to be fully evaluated in 2005. It is important to know if the scheme really ensures resource-intensive users a good offer, which we all agree is that it should be, and which was the starting point for the whole HVPU reform. As I mentioned at the outset, the Government has taken action to ensure that younger people with a need for assistance do not become residents of institutions for the elderly. Cooperation has been established with user organisations and two rehabilitation institutions, as well as with the county officials, who have guided the municipalities in this work. I also expect the municipalities themselves to take responsibility for ensuring a decent life for those who need the most security networks in society, namely those who depend on assistance to cope with general, everyday tasks. These people must not become a balancing item in the municipal budget. Within a total framework of NOK 225 billion in income for municipalities, I think it is possible to give priority to a housing offer that gives younger people with a need for assistance an opportunity to live independently. As the representative Hanssen himself said, the municipal sector – at least itself – points to poor municipal economy. I seem to remember that since I started politics in the mid-1970s, the tune has been much the same. You feel that you have needs that could be met. They are present if you had a financial framework for it, but within the framework that is, it must be possible to give priority to those who need it the most. It's this group, the individual cases, the representative Hansen, at my discretion, has addressed in a good way.
ParlaMint-NO_2005-04-14.ana.ud1391e631	I thank the Council of State for a real answer. I want to focus on the issue of rights issues. As the Council of State says, the municipality is obliged to provide the necessary care services. The municipality has obligations to consult with the user. But then this is the kind of thing that, after all, is in the system, which is linked to meeting, being positive and being responsive to the user if it does not cause particular practical problems to the municipality, or if it requires particularly large resources, preferably financial resources. Well, that's what we're experiencing around us, both in Flatanger and in all of the things we're reading about where young people with disabilities still live in hospitals, that the municipality says that there are particularly great practical problems, and it has particularly great economic consequences to prevent the move to a nursing home. The question that remains in this Chamber, when we now have a separate scheme for users with extra large financial consequences, is whether this room should also be entitled – vis-à-vis the municipalities – to say that when a separate scheme for users with additional financial costs is in place, there must be an agreement on the other hand that it must end up having young people with disabilities in hospital homes, and there must be a clear signal to the supervisory authorities that, in the event of such cases, the supervisory authorities must clearly respect the disabled who do not want to live in hospitals. Then, of course, I agree with the Council of State that it should be unnecessary, and it should be within the sphere of municipal autonomy and the good locality, so that you didn't have to do this. But unfortunately, experience suggests something else. At least I don't think it's unreasonable for the Storting to set terms for a system that takes the top costs. Putting that condition without this arrangement would have been a different story. It might be interesting to hear what the Council of State thinks about such an approach.
ParlaMint-NO_2005-04-14.ana.ud1391e642	I share Mr Hansen's basic approach to this. There is a constructive contract between the two levels of government, with the fact that we have a system that provides financial compensation for those municipalities that have special needs. The caregiver has a right under the Social Services Act to make an offer at his disposal that is reasonable in relation to the situation in which he is in. It is not considered a reasonable offer initially to have a permanent stay in a nursing home against your will. It's definitely. Now, perhaps mentally retarded people are in some cases a small exception within the group of about 125-130 young people, I think it's per person. today, who are residents of old-age and sick homes. Obviously, that's a situation we can't have. Now I have understood it so that approx. half of them have not opposed living in the offer they have. For the other half, I think it's such that a large part of them are at a maximum temporary stay. We know that some young people who are exposed to traffic accidents, who have become physically disabled, suddenly come home to the municipality, and it often takes some time to build up these offers. The point is you can't accept this. The supervisory authorities have the powers to refuse to accept the situation of young people in an old age institution or in a nursing home against their will. Then, as the representative Hanssen finally said, the user must be given consideration. The right is on the user's side, and then the municipal level and the state have to figure out the offer. So far, I have received very few enquiries relating to the issue of former HVPU patients and nursing homes. It has often been about other groups of younger people. But go like -- it's just as unworthy for both groups.
ParlaMint-NO_2005-04-14.ana.ud1391e651	In the interpellation, the representative Hanssen addresses a very important matter, a problem that the Government through St. reported. No 40 for 2002-2003 and the 2004 budget put on the agenda by establishing a new top-level funding mechanism to allow precisely resource-intensive users who so wish to move out of the elderly institution and to move into their own apartment by the end of 2005. Unfortunately, we experience that almost without exception, the relatives have to fight a hard fight so that their closest friends do not become sick homes, with a lack of care and care they have a claim and need. Despite state intervention, it is claimed that the number of young, heavier users is increasing in older institutions, and unfortunately we experience too often reading in the media about just such tragic cases as described by the interpellant. Moving a young, multi-disabled woman out of her apartment into an elderly institution and thus taking away from her a vital care and care supply is directly inhumane from my point of view. Municipalities stemming from their responsibilities by allowing highly disabled people — often very young people — to remain in hospital homes without any particular kind of follow-up — to break up with most of what a total population has adopted. Regular training and good care for this group of patients are very important. When we know that such treatment is almost absent in older institutions, and that many rarely or never are taken out of bed, I dare again claim that such treatment is directly inhumane. In St.meld. No 40 for 2002-2003, the Government, with the support of an overall increase, notes that: ‘... young persons with disabilities who wish to be able to move out of an institution and to receive an individually adapted accommodation and service provision. It is not acceptable for disabled young people who do not want to live in institutions. Everyone has the right to live an independent and active life regardless of the need for assistance.’ When we know that the total cost of a decent treatment offer for these users can quickly amount to between 2 and 3 million. kr a year, it would be thought that the state top finance, which covers 80 pst. of local government expenditure, would stimulate municipalities to contribute to providing their users with decent housing, care and care services outside the elderly institution. The Minister of Health refers to the evaluation of the Top Finance Facility during 2005. Such an evaluation is urgent and is important in order to ensure that any shortcomings or weak joints can be corrected as soon as possible to the benefit of users, and not least of their dependants, who should release such an additional burden as it is necessary to fight against the public in order for their loved ones to have a decent life.
