ParlaMint-NO_2005-04-06.ana.ud1176e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2005-04-06.ana.ud1176e477	In June 2001, the Stortinget dealt with emergency medical preparedness in Norway, the so-called emergency message. The majority of the Stortinget then adopted the following proposal: ‘The Government asks the Government to provide the Storting with an economic and timetable for strengthening the ambulance service based on the Committee’s response time proposals.’ Not until Friday before Easter did the Ministry of Health come with regulations for the ambulance service in Norway — almost four years afterwards — starting on 1 April. That in itself is reason to charge. But in this regulation, there's nothing about response time. It says, however, that you can have an ambulance service that deviates from this with a presence where there are a low number of emergency peaks per person. years and where personnel may be at the ambulance within a reasonable time after the call. Response time means a lot. That's what all doctors say. It also says SINTEF in his report. I want to ask the Minister of Health: why have the Ministry of Health and the Government not taken this seriously? And does not the Minister of Health think that something should be done about this?
ParlaMint-NO_2005-04-06.ana.ud1176e489	In the case of emergency medical services outside hospitals, there has been a raging trend in recent years. It's just looking at some of today's new ambulances, not to mention ambulance helicopters, and what they contain. It's almost like a local hospital compared to the ambulance service you had a relatively short time ago. We have in the work we have done on this regulation, considered other things as more important than minute fixing the response time. We've assessed the dietary benefits of these things. The assessment has been that the medical gains in this respect are disproportionate to the hundreds of millions it will cost, and that there is a greater health benefit by using them as an alternative to healthcare. The most important part of this regulation may be coordination between all stages of the acute medical chain. It's been the most important thing. There has been coordination and interaction between fire services, police, main rescue centres and health services, and, of course, the ambulance service itself has been a weak link. It has not been sufficiently qualified. Too many of those who have been employed here have not had the necessary medical skills, and some of them have almost appeared as drivers in a van. That's the way it used to be. This has changed over the year. The emergency medical service has, as far as I know, never been close to being as good as it is today, although there are some fewer ambulances than before, but we've put other things into focus. With regard to this regulation which came into force on 1 April, it has come after long and nitite processes in the Social and Health Directorate where, as the representative mentioned, Sintef, and, of course, many others from outside have been involved.
ParlaMint-NO_2005-04-06.ana.ud1176e500	I think the Minister of Health was more concerned with describing past misery than giving a clear view on what should be done better in the future. When he says there are fewer ambulances, it is known to me that almost every four ambulances have disappeared after the health care companies came into operation. That response time means a lot, at least I'm sure. That view is shared among others. by professor of emergency medicine at Ullevål University Hospital, Steen, who says that 250 human lives could be saved if the ambulance had been three minutes faster out in the patient. Then it's just minutes! I believe that as set out here in the regulation, diet-benefit is in a cynical way. Food use has also been used differently from that of the population living in the centre of Norway, compared to those living on the outskirts. This is a district issue, like so many other issues, where the government prioritises quite cynically – one life is not as much worth the other.
ParlaMint-NO_2005-04-06.ana.ud1176e510	I take a completely fundamental distance from the word used by the representative of Lutvold, related to weighing the value of a life one geographic place up to a life somewhere else. That, I think, is such an unworthy way of attacking this issue that I almost cannot express it. Everyone knows that the distance to the site of acute treatment is important. We know that you live one kilometer from a hospital, the survival in an emergency is much greater than if you live five miles from the hospital. So despite that, someone chooses to live five miles away. It will always be that the response time will be different. Then it is quite right that the representative for Luttvold emphasises, that the response time has a great impact on the survival potential. But what I have considered to be the most important thing is the content of the ambulance that comes out, the competence of the people who are going to take care of it in a place of injury, and the coordination that they have. The 250 million. kr, which was the cost of the option, was considered not to give the health effect as the option chosen.
ParlaMint-NO_2005-04-06.ana.ud1176e519	Olav Gunnar Ballo – for additional questions.
ParlaMint-NO_2005-04-06.ana.ud1176e522	It has been seen that there are particularly three factors that are crucial for a good and well-functioning ambulance service. One is the qualifications of the ambulance staff and that there are actually two on each car, just to be able to assist each other with treatment in addition to one driving. The second is the equipment, both that the cars are suitable for their intended use and that they are equipped in a manner that is technically sound and in line with current medical requirements. The third is, of course, the response time, that is. the time it takes to reach the patient who is ill and the time it takes to get the patient back into the ambulance with proper personnel to the treatment unit. That's why it's not important to evaluate how long it takes, that is, how long it takes to respond. This, of course, does not mean that, everywhere in Norway, one can manage to achieve such a goal, but if one does, one will also see where more resources need to be deployed. Does the Council of State look like the description I'm giving here, that these are the factors that it's important to be clear and to monitor, so that you can target the measures where there's a greater need for them?
ParlaMint-NO_2005-04-06.ana.ud1176e535	The three premises underpinning such an assessment as the representative of Ballo refers to are essential for the patient’s actions. What we've tried in this approach here is to strike a balance between these three things, what we're going to set in terms of the competences of those who are coming, and the training they have to deal with it, also with others in the emergency situations, but the response time is obviously crucial in many cases. We definitely have to look at the effects of what we've done now, and what that relationship is, whether it needs to be adjusted to. Well, it turns out that we've put too little emphasis on one thing over the other. This may also prove to be a proper priority within the resource frameworks that are realistic in terms of prehospital services. I feel quite sure that this is based on a very good professional basis. But if the evaluation was to show something else, of course, I'm not just willing to, but I want to be very active in making the changes that are necessary.
ParlaMint-NO_2005-04-06.ana.ud1176e544	Let's go to the last main question.
ParlaMint-NO_2005-04-06.ana.ud1176e547	I have a question for the Minister of Finance. ‘ – If you agree that there is a need to create a pension scheme that allows us to afford other welfare tasks in the future, some people will necessarily have to get worse’, said the Minister of Finance's political adviser in today's Business before the weekend. This'some' is not'some' - there are a lot. That's 70 pst. by the women of the country and 40 pst. of the country's men who come out worse with the government's model of a modernized popular peace that is being treated in the Storting. SV has received this evidence in response from the department, and it is the model itself that has such a sloppy distribution profile, as a sloppy woman profile as I say. So there are no proposals for sharing, indexing or the best-year rule that the media debate has gone on to create this. Reforms should do things better, but does the Minister of Finance think that the model he has presented improves future pensions for the country's women?
ParlaMint-NO_2005-04-06.ana.ud1176e563	Yes! Keeping up with today's popular fear is no alternative. In a few years’ time – and fortunately one can say about the representative, Grande Røys, that she has a better chance of being an active politician than me – Norway will not be able to pay for a social security system, and then the women will get out worse anyway. Or, in another way, if you don't do anything with today's popular security, it will mean a solid privatisation of social security liability, because many will then seek private schemes rather than public. It also weakens the situation of women. Experience has shown that men come out better, have more private arrangements and are usually higher in pay. The opinion of my adviser that someone has to get worse needs to be seen, of course, in the context of unaltered popular fear. But that's not an option. The SV's model of the Pension Commission has been assessed in the Government's communication, including: by Professor Rødseth, and it is very well documented that the SV model for modernised public health provides significantly lower labour incentives than Modernised public health. Three out of four workers will be given better work incentives under Modernised public health. What about the remaining 24 pst?? 19 pst. of these will have about the same work incentives in the two models, while only between 4 and 5 pst. will have some significant improvement through SV’s proposals. So overall: To join the ‘workline’ – to use it in quotation form – the SV model is a very bad contribution.
ParlaMint-NO_2005-04-06.ana.ud1176e574	I hope that the Minister of Finance has not perceived today's popular security as an option for SV. On the contrary, what the Minister of Finance says is our universal popular security that is our proposal. The point is that she gives labour incentives to those who have free employment, women and low pay, those who work part-time, and those who are not in the labour market today. That's what we need in the future, and it's the workforce that comes out best with SV's model, not with the government's model. The government's model gives NOK 47,000 more in retirement annually for a man with very good income, probably in full employment and so on, while a low-paid woman will lose NOK 3000. It shows the tables that SV got from the Government. I can't believe the finance minister thinks it's inviting women to increase their job supply and invite women to continue working, using the model that the government has presented. Does the Minister of Finance really think that this is inviting women to contribute to the labour market?
ParlaMint-NO_2005-04-06.ana.ud1176e579	Yes. Because SV's model, when you analyze it more closely, has a very poor distribution profile. This can be illustrated by the following: In the evening post recently, SV’s manager was out and promised NOK 20 000 in increased minimum pension. With SV's model, such a promise would be far, far more expensive to fulfill for a government than for today's system. It will increase the cost of such a step-up of the minimum pension dramatically, compared to Modernised population protection, as it is impossible in SV’s model to increase the minimum pension for those with the lowest pension without also increasing the pension for those with high earnings – hence much less the distribution effect of increasing the minimum pension as recently addressed by SV’s leader, applied to SV’s own model.
ParlaMint-NO_2005-04-06.ana.ud1176e584	The time for the oral question procedure is short, and unfortunately we do not raise follow-up questions. So we're going to the ordinary question mark.
ParlaMint-NO_2005-04-06.ana.ud1176e593	The President may inform the representatives that there are currently no changes to the list of questions drawn up, so it would be relatively easy to follow in the order.
ParlaMint-NO_2005-04-06.ana.ud1176e600	I allow myself to ask the following questions to the Minister for Local and Regional Affairs: ‘According to Fredrikstad Blad on 2 March this year, the Council of State states that the inhabitants of Fredrikstad ‘must protest and lodge complaints. People have to know their right and not simply find themselves paying the increased property tax." Through the county council, the municipalities are asked to make use of their income opportunities when the municipalities are in financial imbalances. What does the Council of State mean by encouraging people through the newspapers not to respect legitimate decisions?’
ParlaMint-NO_2005-04-06.ana.ud1176e609	As the paper says, I got a question from the journalist on what advice I had to those who think they have got too high a price on their home. To that I replied that they must use the right of appeal provided by the law, and that is something other than to urge not to respect legal decisions. It is such that access to a complaint for a tax is governed by Section 33 of the Property Tax Act. Fredrikstade municipality is in the ROBEK register, i.e. that the municipality is in financial imbalance. I am concerned that municipalities in financial imbalances will take the necessary steps to get the local economy settled. The county shall ensure that the municipality complies with an obligatory plan in order to achieve an economic balance. The county shall not grant a discretionary grant to the municipality because of a poor economy without being linked to an obligatory migration plan. The content of the conversion is entirely the responsibility of the municipality, but the balance requirements are clear and, in fact, determined by the Stortinget Act in municipal law. Property tax is a voluntary municipal tax. The county may not require the municipality to impose property taxes. The guidelines for the award of discretionary grants have been clearly amended at this point. Thus, the county cannot require the use of income opportunities. There was a demand from previous governments – this government does not. Whether a municipality will introduce property taxes or make adjustments on the cost side of balancing is up to each municipality to decide. My concern is that the introduction of property taxes can easily become a sleeping cushion for the municipality to take the necessary action on the cost side. And Fredrikstad will receive a very high proportion of its income from property taxes, compared to other municipalities. An increase in revenue by 150 pst. from an already high level says clearly this.
ParlaMint-NO_2005-04-06.ana.ud1176e625	I thank you for your answer. The municipal minister used the term ‘they have to protest’ and it has been perceived as a general protest against such an increase, not just a natural right to take advantage of the right to appeal. The municipal minister also said in the interview, which she partly repeated here, that it was necessary to take the necessary steps to settle the municipal economy of municipalities in an economic imbalance. Fredrikstad Municipality has been doing this ever since the municipal association, i.e. for over ten years now. The mayor should be aware of that. In the county's annual report for 2004, the county of Eastfold writes: ‘The municipalities find that there is an imbalance between the expectations of the inhabitants and the ability of the municipalities to meet them. This may go beyond the legitimate demands of citizens on services, and it is demanding for the county to provide guidance on the needs, needs and opportunities of municipalities.’ These are the real problems and the background that Fredrikstade has thus seen the need to increase the property tax considerably. There is an imbalance between the level and level of expenditure and the level of revenue.
ParlaMint-NO_2005-04-06.ana.ud1176e641	I will be allowed to quote from the newspaper notice to which reference is made. Here I get the question: ‘What advice do you have for those who think they have been given too high a price on their homes?’ My answer to that is: ‘They must protest and lodge complaints. People have to know their right and not simply find themselves paying the increased property tax." So that's what it's referred to. It's in line with what the law actually says, that there's a right to apply for justice. I would like to remind you that the property tax income of Fredrikstad Municipality, which is increasing by 150 pst. through this taxing, is more than three times higher than the increase in the budget that Fredrikstad would have received with the Workers' Party's alternative budget. So it's like the challenges would be there with all of the other options. Not even the Central Party, which has the highest municipal structure here in Stortinget, would have had the money to prevent an increase in property tax, without having to be adjusted in the majority budget in Fredrikstad. I record that other parties in the municipality of Fredrikstad believe that they can balance with other measures, without increasing the property tax.
ParlaMint-NO_2005-04-06.ana.ud1176e658	Now the final property tax rate is reduced by 20 pst. Compared to the figures of the local government, the increase is still strong, but not so strong. I hope the Mayor is willing to acknowledge what the County Council says in its Annual Report, namely that for the municipalities of Eastfold, and also elsewhere in the country, there is an imbalance between the level of expenditure and the overall level of income. I hope the Mayor is willing to take this with him when we are now working on a revision of the income system. The two changes made under this government, changes in social criteria and the return of company taxes to the municipalities, have reduced the income of the municipality of Fredrikstad in the order of approximately Twenty million. kr.
ParlaMint-NO_2005-04-06.ana.ud1176e665	We have made changes to the income system, such as: help to improve the ability of the larger municipalities to deal with major mental and social problems in their municipalities. We have made changes in relation to making a healthier basis for the municipality to be left with revenues to facilitate business activities. At the same time, there has been a slowdown in the so-called special discretionary grant that has been left after the Rattsø conversion, which has meant that Fredrikstade Municipality has actually received some escalation of the transfers during that period. I agree that there is a need to do more things in the income system. That is why I have suggested that we have a revision of the income system as such. But the big fundamental issue, which is going to be crucial for all parties, is whether to make the changes that require the removal of the regional policy elements of the income system. I have not experienced that the Workers' Party has been on the track for, on the contrary. In the past, they have fought against the kind of changes that would have given Fredrikstad a more equitable income system.
ParlaMint-NO_2005-04-06.ana.ud1176e676	I will be allowed to ask the following questions to the Minister for Employment and Social Affairs: ‘The member of the Board of Directors of the FrP of the Vinmonopole Business Assembly required transparency in the minutes of the Board in order to be able to carry out its supervisory duties under the Wine Monopoly Act. The claim was not met. According to a letter from the Council of State to Carl I. Hagen, the individual members of the company meeting are not entitled to information other than answers to questions asked at the meeting. How does the Council of State feel that members should be able to carry out their supervisory duties without knowing what matters the Board of Directors is dealing with, and consequently what questions need to be asked?’.»
ParlaMint-NO_2005-04-06.ana.ud1176e685	The members of the Business Assembly of the Vinmonopolet Group are briefed on the matters dealt with by the Board of Directors of the Vinmonopolet, by the Management Committee of the Company. This consists of members elected by and among the members of the business meeting. The Committee shall routinely review the minutes of the Management Board. The business meeting is then briefed on the governance issues through a report from the control committee. The reports are discussed at the meetings of the business meeting. In this way, the works council of the wine monopoly will at all times be aware of the matters dealt with by the Management Board and may use this as a basis for exercising its supervisory functions. With regard to the right of access to administrative protocols, it is necessary to distinguish, on the one hand, between the types of information that members of the business meeting may require and, on the other hand, the rules governing the procedure of supervision. The law gives each member of the business meeting the right to require all types of information from the board of directors involved in the operation of the company. The only premise laid down by law is that the information in question is provided at a meeting of the business meeting, so that all members of the business meeting have access to the same information. Whereas, on the other hand, provision should be made for the procedure for the operation of the Management Board, including the decision on the manner in which information is to be provided by the Management Board; Therefore, if the business meeting as a body decides to do so, the Governing Board is obliged to deliver governance protocols to the members of the business meeting. In the specific cases that prompted the letter from the Progress Party’s big group, and the letter of response from me to which the representative Nesvik referred in his question, the member of the works council from the Progress Party was not denied access to any information he has requested under the law, but he has had to bow to the decision taken by the business meeting as regards the procedure for supplying the information. The Chairman and Head of the Business Meeting have informed the following about the proceedings in relation to the specific matters: After the Management Board had informed the meeting of the business meeting, the minutes were made available to the members of the Business Meeting at the meeting, and the minutes were subsequently made available at the premises of the Vinmonopolet. It is the company meeting itself that has decided that the relevant protocols should not be distributed to the individual members of the company meeting, and after I have been informed, the reason for this is that the protocols contained very sensitive information. Finally, I would like to stress that the system of supervisory activities of the works council established by the decision of the Stortingen of the Wine Monopoly Act and the practice of the works council provide the works council and its individual members with all the means necessary to carry out their supervisory task in an appropriate and reassuring manner.
ParlaMint-NO_2005-04-06.ana.ud1176e700	According to Section 9 of the Wine Monopoly Act, what the Council of State here pointed out is that it is the individual member of the works council who has this right. Then it's strange that you can go to the stage where the company meeting, that is to say, as a meeting, cares about whether or not each member should have access to the things they ask for. In that case, it is with respect that it is not properly notified that each member is given access to the information he wishes to exercise his control task. This is quite daunting, because what is the purpose of us having this type of control body, when it actually functions cleanly as an election committee to appoint a control committee against the board? I hope, and I want to ask, that the Council of State carry out a review of whether the members of the business meeting actually feel that they have the control function that they are supposed to have under the law.
ParlaMint-NO_2005-04-06.ana.ud1176e707	There is reason to recall that the Wine Monopoly Act has been adopted by the Stortinget and that the text of the Act states: «Each member may, at the meeting of the company meeting, require information on the operation of the company in so far as they deem it necessary.» And that's, as I can judge, followed in the specific case that was mentioned here. I would also like to say that it is important to have control bodies in a state enterprise, and not least in a state monopoly company, which works satisfactorily. For this reason, it is important that the business meeting also has a control committee that goes through all governance protocols and reports to the business meeting on its review and thus gives the other members of the business meeting the full opportunity to enter into the work of the board. So I think these are arrangements that should be able to function satisfactorily, but of course they must be followed up in practice in the organs of the monopoly.
ParlaMint-NO_2005-04-06.ana.ud1176e719	As long as a member of the company meeting has actually expressed the feeling that this is not working satisfactorily in relation to being able to carry out their control task, the signal is already given that you feel that there is something to look at here. It is interesting to read in this regard what the director of the board writes in his assessment to the ministry: ‘It is true that, as Chairman of the Board of Directors of this meeting, I stated that it was not desirable for the Board of Directors to send personal data protocols out of the company’s premises. However, as mentioned at the outset, I am aware that the business meeting as a body may impose this on the board of directors.» What's interesting is that the supervisory board has been added to each member of the business meeting and not to the assembly as a body, and that's the part I've asked the council to take a closer look at, so that all members of the business meeting feel that they have access to the information they're going to, and not just after a meeting, but actually along the way, in order to do their job.
ParlaMint-NO_2005-04-06.ana.ud1176e731	It is a fact that, in this specific case, the minutes were made available to the members of the business meeting at the meeting and have been available afterwards. But what the representative Nesvik is now saying is precisely the point of the rules that you have, that it should be possible for each member to request in the meeting the information that you want about the company's operation. However, it shall also be available to all members of the business meeting. That's why you have the code you have, and I think that's right. Each member has a responsibility, but it is also important that the body be able to exercise its responsibilities on the same basis, factually, to which individual members are given access.
ParlaMint-NO_2005-04-06.ana.ud1176e742	I have the following questions for the Minister of Education and Research: ‘In the Ski World Cup in Oberstdorf, the Norwegian team made great success with a total of 19 medals, of which seven gold. Many of the practitioners have a background from the country lines of secondary schools. The Government proposed to remove the subsidy for these lines in the 2005 budget. The majority of the Stortinget, however, ensured the operation of the lines for the first half of this year, but the offer is still in danger of being closed to the harvest. Will the Council of State change its view and go in order for the shorelines to receive subsidies for the harvest as well?’
ParlaMint-NO_2005-04-06.ana.ud1176e751	In the revised national budget, the Government will make proposals for an increase in appropriations so that the system of landlines can be continued with the extent it currently has. This is a follow-up, among other things. by the budgetary agreement between the Government Parties and the Progress Party. At the same time, we are working on sustainable solutions that can better respond to the current needs of landlines and which can create greater predictability. I remember in this connection that it is not the first time it has been proposed cut on the landlines. In the government’s proposal for the 2002 state budget, Stoltenberg was granted a grant of around 140 million. kr, proposed liquidation in full.
ParlaMint-NO_2005-04-06.ana.ud1176e758	I thank you for your answer. Now it was said by the Council of State that she would look at lasting solutions, i.e. changes in the potential also in the future. The problem with these lines is that you live almost six months to six months. Now it's the first time we in Stortinget hear from the Government that they want to reconsider their view of cutting off the grant from the harvest. We know it from the media, too, after this question was raised. But the deadline for applying for these schools expired on 1 March for a very large number of students, and when the deadline for applying expired, the counties were unsure whether this offer was at all possible. And that kind of uncertainty creates problems and difficulties not only for those who are planning what school services you are going to have, but not least for students who are planning on which study services they are going to apply for. So my question is, how will the Council of State ensure that you get the necessary security so that you can have long-term planning within this area?
ParlaMint-NO_2005-04-06.ana.ud1176e765	I agree that it is unfortunate that there is unforeseeable, and that is where we have a common responsibility, because former Minister of Education Giske himself has contributed to it before he left, by proposing a total cut on the landlines. I believe that we must now create this predictability by maintaining this system, but at the same time we are working towards better arrangements, and I think there is a broad consensus that there are better arrangements. I would like to point out some possibilities – for the first system of nationwide lines, which is an excellent system, where the states cooperate on small and rare offers that you cannot have in each state. You can imagine obliging guest student settlement. You can also imagine freer school choices across the county boundaries, where there are agreements between the counties. In this connection, I allow myself to refer to an odelstningsproposition that the Government has recently promoted for Stortinget, which deals with a home, among other things. for freer school choices.
ParlaMint-NO_2005-04-06.ana.ud1176e772	Then I thank you for the answer, but I was almost less calm now than I was after the first answer, so I really regret myself a little because I asked follow-up questions. Because now you're talking again about nationwide lines, you're talking about county settlements, etc. In other words, the idea is that the earmarked state subsidy for the landlines should be phased out and entered into a county council. I should like it confirmed by the Council of State, if that's correctly understood. These are pretty narrow lines, there's not so many top athletes we have in Norway. It is not possible for each state to make this offer, and it is a very practical arrangement. It is also linked to the county economy, which in many places is perceived as being very intrusive. We know, for example. the private upper secondary schools have a solid and secure source of income directly from the State. And I want to ask the State Council if she thinks it's reasonable that the public offer, which is to be free and accessible to everyone, should be so much less funded than the private high-school sports gym.
ParlaMint-NO_2005-04-06.ana.ud1176e779	The Government has not proposed to liquidate this grant to landlines. It is the former Minister of Education Trond Giske and the Stoltenberg government that have done. We proposed a reduction, but this was partially reversed by Stortinget, while the Progress Party and the government parties agreed that we should come back to the matter, and we do so now. I confirm that we will reverse the rest of this cut in revision to create predictability. So I say that we aim to maintain this arrangement. But I believe that the system as a system is not so good for the purpose, namely small and rare offers that not every state can cover up. There I believe there are other arrangements that work better, and we can also work towards arrangements that have not seen the light of day until now. I have a good dialogue with the county councils, among others. represented by County Councillor Roger Ingebrichsen, on how the counties can discuss themselves between themselves until permanent arrangements which, on a lasting basis, create greater predictability. But until we get there, I say that we want to reverse the remaining cut, which is considerably less than the former Minister of Education Giske himself suggested.
ParlaMint-NO_2005-04-06.ana.ud1176e790	I will ask the Minister for Education and Research the following questions: ‘In response to the opinion of the United Nations Committee on Human Rights on the CRL subject, the Government has proposed a number of changes to the subject. The Government’s decision has indicated that the changes need to strengthen teachers’ skills and that they will start developing their skills immediately when a new curriculum is available. The amendments will be implemented in the autumn of 2005. What will the Ministry do specifically to ensure that teachers have greater competence in the field?’
ParlaMint-NO_2005-04-06.ana.ud1176e799	In order to follow up the opinion of the UN Committee on Human Rights, the Government has decided to propose amendments to the provisions of the Training Act on the CRL subject and on exemptions from part of the training. It is also decided to develop a new curriculum in the field as part of the work on new curricula in the context of the Knowledge Lift. Both processes are in progress. The CRL subject shall be disseminated through varied and engaging working methods, in the same way as all other subjects in initial training. Working methods that some may consider to be close to religious practice require special caution on the part of teachers. It is important to meet individual students through appropriate training. Many suggest that there are practices in schools that determine whether education in the CRL field fulfils human rights. Developing skills for teachers is an important tool for improving school practice. The government will therefore invest in specific empowerment measures to improve the capacity of schools to teach in accordance with the CRL subject’s intentions. In this work, there are two aspects that need to be taken care of. Universities and colleges must have the opportunity to make offers, and the school owners must have the opportunity to allow teachers to make use of the offers. The size has adhered to the Government’s proposal to invest in a significant leverage to achieve the key objectives announced in St.meld. No 30 for 2003-2004, Culture for learning. Both better adapted training and new curricula are among the priority areas. As the CRL plan is implemented before the other curricula, the Government will consider accelerating the use of state resources in the CRL field. I would like to see this done, among other things. return to the ordinary budgetary procedure.
ParlaMint-NO_2005-04-06.ana.ud1176e812	I thank you for the answer, and it is very encouraging that you want to speed up this process, because you can see that this should start already this fall. KRL is a relatively new subject, and I agree that developing the skills of teachers is important to strengthen school practice in the CRL. The fact that the Government will now focus on empowerment measures, especially for the CRL, is positive. But e.g. The revision will not come until May and will be adopted in June, and we know that summer holidays will come. And then the teachers are going to be ready in August for a new curriculum that has been adopted to be used already then, one year before the others. Teachers need to know what they're going to, they rely on security to be good teachers and to have knowledge of their profession. What's in the curriculum is a lot to take into account -- be a meeting place, etc. When can the KRL teachers become familiar with the provision of continuing training? How will the Department make known to the schools and also to the school owners that it will be invested in the CRL teachers?
ParlaMint-NO_2005-04-06.ana.ud1176e819	We must be quite open here to the fact that we have a little bad time – a little innocent time as a result of this UN Committee opinion. Because we wanted to meet it as soon as possible, i.e. that we will implement a new curriculum from the autumn of 2005. This curriculum has come no further than the fact that it is now being consulted. So we can't hide this. But I want to add that this is now open out and can be judged by anyone. In addition, substantial funds have already been allocated to this leverage, 500 million. kr has already been granted for 2005. We have a well-established network in which 18 universities and colleges participate and provide continuing education in the CRL field, and these naturally closely follow up on what is happening in the wake of the UN Committee's opinion. We have a good competence development strategy, which is a kind of contract between department, KS and teacher and school leader organisations on how to now implement this level of competence. So I see it so that it will be possible to come back to this not only in relation to ordinary budgets, but among other things. in the ordinary budgetary procedure.
ParlaMint-NO_2005-04-06.ana.ud1176e828	I thank you for your answer. I am aware that it is outside the colleges now and also through this network that it is going to be invested in the KRL subject. But it is also up to the municipalities to assess what teachers need for competence. The government says that a wanting a merging CRL subject, and that today's distribution of central learning material is maintained. And then there's to be liberalism in relation to parents' desire for adapted training. So school-home cooperation is very important here – knowing homes also makes teachers safer in their role. It is said that parental and minority rights are respected in accordance with Norway’s international obligations, in order to simplify the right of exemption. How, then, will the Ministry ensure that school-home cooperation is also part of the teacher's level of competence and that it comes out directly to the school owners, possibly in circular form or by other means, that it is now important to focus on a new plan in the CRL field?
ParlaMint-NO_2005-04-06.ana.ud1176e835	It is clear that information measures of a different nature to both school owners and homes, etc., need to be implemented. in the context of the new situation with the CRL subject. I also think in terms of skills development for the CRL, that practice is very important, and included in practice, I would say that the dialogue with the home is very important. Now, it has traditionally been that much of the development of competence that has taken place in schools has been offered, in the sense that it has taken the continuing training that has been offered. Now we have agreed with the organisations that there should be more demand-driven, i.e. according to the needs of the school in question. But in this case, I'm going to assume that this network is so competent to manage a lot of this development of competence that the dialogue will probably be good between schools and teachers who need it, and this network.
ParlaMint-NO_2005-04-06.ana.ud1176e846	I have a question for the Minister of Education and Research, which reads as follows: ‘Children and young people are under undue pressure to use drugs. It is important, therefore, that the school takes a clear responsibility in its drug - prevention work. It is also important that schools, together with parents and professionals, address children and young people at risk of drug abuse. Will the Council of State agree that drug abuse should be given its own chapter in the new curriculum, so that the theme comes more concretely on the agenda and becomes more committed to the schools?’
ParlaMint-NO_2005-04-06.ana.ud1176e855	I agree with the Bastesen representative that attitudes towards drugs and drugs are an important area to work with for all schools and students. This includes, inter alia: incorporated in the consultation drafts on curricula for natural and social sciences. The proposals were drawn up by the Directorate-General for Education and sent to the hearing on 10 May. How drugs and drugs are going to be discussed in the curriculum, I cannot therefore say anything at all until the consultation is completed. What is certain is that drug abuse and drug-prevention work should be carried out in a way that makes this a commitment to the schools. In addition, I would also like to refer to the educational poster, which contains basic obligations that apply to all schools and training places. It says, among other things. the school should help teachers to become role models for children and young people and it should be ensured that training promotes health, well-being and learning.
ParlaMint-NO_2005-04-06.ana.ud1176e860	I thank the Council of State for the answer. It's just been a police raid at Sogn High School. It is a pleasure for the police to take the trouble seriously in the schools. It is serious that the school authorities have not taken this problem seriously much earlier. Shouldn't the political authorities have alerted and taken action much earlier?
ParlaMint-NO_2005-04-06.ana.ud1176e867	I don't want to say that the action referred to here is a sign that the school hasn't taken this seriously. It might as well be a sign of a lot of other conditions in society. But it is clear that schools may also need increased skills in this area. In this respect, I would like to point out that the Government has its own action plan on drug problems, and there is a separate action plan on prevention at school. In addition, the Education Directorate and the Social and Health Directorate are now working together to develop a knowledge platform for drug education in schools. It could help and also help to prevent drug problems within and outside school.
ParlaMint-NO_2005-04-06.ana.ud1176e872	Once again, I thank the Council of State for the answer. Today, students are under considerable pressure to use drugs, especially just outside school. What does the Council of State intend to do to ensure that parents can feel confident that students who go from home to school are not under pressure to use drugs?
ParlaMint-NO_2005-04-06.ana.ud1176e879	There may be a pressure in society on the use of drugs and drug abuse, but I don't want to give the school special responsibility for it or say that there's a lot going on in schools. We don't have any evidence to say that, so it has to be in society in general. Nor can it be said that the school has sole responsibility to prevent these kinds of problems. Here parents also have a responsibility, and society for the rest, i.e. other public bodies. A number of actions are likely to be referred to here, including: In the government action plan on drug problems outside the school area, and here I do not have detailed knowledge, because it is up to other government councils to have. However, with regard to schools, they should also have knowledge, they should also contribute, and of course not only to avoid the presence of drugs and drug abuse in schools, but also to prevent the dissemination of competences to students. Here I believe we contribute.
ParlaMint-NO_2005-04-06.ana.ud1176e888	The question is as follows: ‘Main training in Norway is now characterised by many and major changes. In such a process, good information to, and communication with, the central actors in basic education is important: students, teachers, school owners and parents. Parents are the weakest organised and cared for group. But parents have primary responsibility for the education of their children, including education. How will the Council of State strengthen parental influence in basic education in order to ensure good parental participation in school change processes?’
