ParlaMint-NO_2005-11-16.ana.ud1190e26	The representative, Mr Solvik-Olsen, will make a private proposal.
ParlaMint-NO_2005-11-16.ana.ud1190e430	Whether it has been an objective in the management plan to facilitate petroleum-free zones or not, neither I nor the representative know. My answer to this is exactly what I gave and that the Minister of Finance also gave. There will be areas which, in the course of the management plan, will not be opened up to petroleum activity. The areas that this government refuses to open, which, hopefully, also receive support from the Stortinget, can only be opened once or at any time in the future by decision of the Stortinget. So the Storting is given the full opportunity to address issues that are central to caring for areas for other activities, to meet them in relation to the need that one has within travel life to have areas that are cared for in that way, and environmental and fisheries considerations – what it might be. There are questions the Storting is invited to decide on in future decisions.
ParlaMint-NO_2005-11-16.ana.ud1190e435	The size is going to be a new main question.
ParlaMint-NO_2005-11-16.ana.ud1190e438	I will be allowed to ask a question to the Minister of Health and Care. The government parties have, through the election campaign that we have behind us, traveled the country and the beach around and promised a number of different things. Among the things that are promised are free school books, water in the swimming pool, and the school needs to be strengthened considerably. In addition, it has been suggested that 10000 new annual nurseries should be set up by the end of 2009. Yes, it does not just say it – if we are to take the Soria Moria statement seriously. And that's what you're going to do in these days, obviously. Although one can get a certain impression that one is not always as agreed internally with regard to this declaration, it is nevertheless written under the heading ‘Parents’ of the Soria Moria Declaration, paragraph 2, as follows: ‘relationship with the level in 2004 shall increase the number of annual shifts in the care service by 10000 by the end of 2009.’» [[...]] Interestingly, when you ask government parties how to follow up all these promises, you get references to increases in the free income of municipalities. Yes, there is no way how much is going to be solved within these funds, in terms of the free income of municipalities. But what worries me about these new year works is what you see some municipalities do. I'm going to use a simple example from More and Romesdal, from the municipality of Volda. Tuesday this week, a recommendation had been made to the local government to conclude an agreement on the rental and construction of a new cultural house in Volda. Not only shall they enter into a lease but it shall last for more than 20 years. This will consume a lot of the money that comes into free income for the municipality. My question to the Minister of Health and Health is: How many new jobs in the care sector will these be for this municipality in the future?
ParlaMint-NO_2005-11-16.ana.ud1190e450	This government wants more dignified care for the elderly. I have met many older people who think, and rightly so, that they don't get good enough care and care either at home or in institutions, because many of the employees have too little time. I have met many employees who feel very worn out because they do not have the time they feel they should have had for each one. That's why this government has so clearly said, and has as a clear goal, and we're going to do everything we can to satisfy it: 10,000 more employees during this period. We need that in order to get more dignity into the care of the elderly. How are we going to do that? Paragraph 1: Clearly, it is crucial that the municipalities – where this must be done first and foremost – have an economy that makes this possible. So for next year we have already proposed a massive escalation of billions of dollars in relation to that. We have a close dialogue with the Municipal Councils on how to get it done, by educating more, re-schooling, getting more people to go from part-time to full-time – which is actually what a lot of people want – and we are about to make a concrete plan for how to achieve the goal of 10,000 more employees. So this is very high priority, it's absolutely necessary, and the government is going to follow up.
ParlaMint-NO_2005-11-16.ana.ud1190e457	Unfortunately, it helps so little with good intentions if you don't use the tools that need to be, just to get these yearbooks where they belong, into the care and care sector, and not spend the money on other things. The government has clearly stated that it does not want to be earmarked. We see exactly this kind of statement that here, then, municipalities choose to build cultural houses instead of increasing the effort in the care sector, where there is a real need for it. The only possible thing to do is to label the ear. The question of the Minister of Health and Welfare is this: Will it now be possible to take the sense and ensure that these funds are now earmarked for the care sector, so that the elderly at home who need these services are sure that the number of annual work is increasing and that it is not stopped by decisions in the municipalities to entirely different areas than they are intended to?
ParlaMint-NO_2005-11-16.ana.ud1190e466	In contrast to the Progress Party, this government believes that the wit is fairly equally distributed across the country, and that there are actually quite a number of sensible local politicians both in municipalities and in counties. It is clear that the main answer is that they need to get more money, as this government is now adding up. In fact, I have faith that local politicians are going to give a great deal of priority to care for the elderly and school. That's the main gravity of the money. So we have to trust that this will work out. Of course, we're going to follow up on education, re-schooling and making arrangements. We have a very close dialogue with the municipalities to achieve this goal. I think we should do this, but it's not like – in our opinion – that we are in big trouble or in government, managing the whole mind of this country.
ParlaMint-NO_2005-11-16.ana.ud1190e471	The President will allow three follow-up questions – first Sonja Irene Sjøli.
ParlaMint-NO_2005-11-16.ana.ud1190e474	I could say a little about what Stoltenberg said during the election campaign, that he would not give five cents in tax bills until it shines with the care of the elderly. But I will leave that debate now. The outgoing government started working on a major report on the quality of care services. It is well and good with several hands, but it also has to be quality to ensure the safety and dignity of all those who depend on care. What strategies does the red-green government have to improve the quality of care services? Can the Council of States confirm that it will follow up the work of the Cooperation Government? When can we possibly expect to get a case to the Storing regarding the quality – the content – of the services?
ParlaMint-NO_2005-11-16.ana.ud1190e483	As the representative Sjøli mentioned, it is absolutely essential that we have a good quality in our care for the elderly. It's a work we're going to continue, of course. In concrete terms, on behalf of the Government, I will come back to Stortinget with a communication on care policies to the next spring, so that one can then discuss both annual work and, of course, quality. I mean, among other things: increasing the number of employees in this sector will in itself be a major improvement in quality compared to the level of awareness per person. today. We are also going through e.g. how the fixed medical system works in relation to our sick. I think it's too bad in many places. I also believe that older people should have several places where they can talk about their case, i.e. a type of ombudsman arrangement, etc. We work across a broad sector and a broad field to ensure that quality is improved. But if we're going to do that, as I said, we also have to make sure that the municipalities have the money to do that job with us.
ParlaMint-NO_2005-11-16.ana.ud1190e490	Åse Gunhild Woie Duesund – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e493	The Christian People's Party agrees with the Government that the municipalities themselves will have to decide on the free resources. The Christian People's Party is concerned that care for the elderly and its quality need to be improved. The lots have agreed to raise the standard for nursing homes and housing. The national audit has concluded that the action plan on care for the elderly has been successful. Later, the Bondevik government started work to improve the quality of care services. However, in addition, it announced a big message about future care services based on the challenges of capacity and quality required by the growth of the number of older people. Will the Council of State follow up the work of inviting a cross-political lift also in the message that I have now understood comes to spring?
ParlaMint-NO_2005-11-16.ana.ud1190e503	I can confirm that of course I want the widest possible majority in order to give the elderly a more worthy old age, and enough care and care for those who need it. I can only confirm that the message is coming. We're working on it. And of course, I'm happy with all the support for this.
ParlaMint-NO_2005-11-16.ana.ud1190e510	Siv Jensen – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e513	It helps very little that the Council of State meets with many older people and many who work in the care sector, if she herself cannot do anything about quality improvement or the standard of care for the elderly. The government just denies the possibility of being able to influence this, by unilaterally entrusting it to 430 other producers. When will the Government begin to look at the individual elderly in terms of the rights and choices that older people in our society should also have? Children’s families have the right to make choices. School students have the right to make choices. But older sick people should not have the right to make any choices. They shall be offered the defined standard which the Working Party and the Government SV consider to be the right standard. So they don't have the right to make any choices. They shall not be entitled to opt out of poor solutions and to better solutions. I don't think the government is giving a good answer to this.
ParlaMint-NO_2005-11-16.ana.ud1190e520	I am a little surprised that the representative Siv Jensen is so scratched in his criticism. It is only now that there have been such large transfers, in our proposal for the government budget for next year. I have not just seen that the Progress Party in the past has fought most to make such large transfers to the municipalities. It is crucial to succeed in the care of the elderly. Of course, we are busy with every person who lives at home and needs help there. However, the fact is that many older people living at home have been cut off in the activity offer and received much less help at home than they should have had, because the transfers to the municipalities have been too small – with the government that has just left. The same is true of those who live in institutions. There's been too little help. There's too little help from doctors, etc. We now want to do something about this – in cooperation with the municipalities. It's the municipalities, where people live, which, in our opinion, have to design the offers so that each one is satisfied. Then, of course, we're going to do what we can - by making sure that there are enough employees to put in, that, among other things. are standards for medical services in hospitals, etc. – so that the quality is good.
ParlaMint-NO_2005-11-16.ana.ud1190e532	Let's move on to the next main question.
ParlaMint-NO_2005-11-16.ana.ud1190e535	I have a question for the Minister of Oil and Energy. I'm afraid that the new government in just a few and twenty days has managed to create quite a bit of confusion and a lot of uncertainty about its future petroleum policy. We have already seen that quite clearly, during one of the questions today. There's no lack of ambition, but from ambition to action, it's miles away. A relationship with you, among others. it is programmed in the Soria Moria declaration to have full CO2 cleaning of gas power plants by 2009. And then you do the trick of adding 20 million. kr in the 2006 budget for such measures. Only Kårstø alone will charge an annual cost of SEK one and a half billion. I think those who have planned to develop new gas power plants in Norway really need to take a round in the closet and see if the new government is destroying these calculations. We got yesterday a presentation of the 19th concession round, with record interest in developing activity in the north. There is almost a doubling of the number of national and international companies that want to develop the northern part of the country. It was commendable that the Danish Council of State, Enoxen, opened Monday – through three weekends in Today’s Business – for new full activity in the north. After the rounds that have been from Monday to Wednesday – with the dementing of the Council of State today of its ambitions Monday in Today’s Business – my question is: With the uncertainty that the new government has managed to create in two days, what does the Minister of Oil and Energy really think that the companies that had a great interest in taking up the north are left with?
ParlaMint-NO_2005-11-16.ana.ud1190e551	There is no uncertainty as to activity in the north at all. It would be foolish in this room to try to hide that there are different parties in government – as well as between the three parties in the previous government – that there are different views of how much activity you should have in the northern regions. This was a question that was frequently discussed in the previous government and which led to a decision to draw up a comprehensive management plan. It was a reasonable grip, as this government follows up. This government also follows up the ambition of the previous government to grant in connection with the 19th concession round. So we've followed the exact same arrangement that the previous government followed. If there is uncertainty about future petroleum activity in the north, the previous government has laid a foundation for it, as we follow exactly the same arrangement and the same timetable as the previous government laid down. This government too will progress gradually in the development of the Barents Sea. The Barents Sea can become an important energy region in the future. It is gratifying that as many companies as we see in the 19th concession round are still interested in participating in the development of Norwegian base. This applies not only to the Barents Sea, but equally to the Norwegian Sea, which is a mature base. A few years ago, the companies said that there was interest in looking small. It was not expected to do great things, and the profitability was poor. Now we see that there's more interest. It is good to be able to manage the Norwegian Sea as well as the mature areas in a long-term perspective – a management that can provide employment and value creation for many years to come. This is a policy on which this government will base its work and which will take full account, both from an environmental point of view and in view of the fact that different industries will also be able to live side by side in the future.
ParlaMint-NO_2005-11-16.ana.ud1190e564	I thank the Council of State for the answer. But I'm afraid that today's Council of State instead of taking advantage of the opportunity to clarify actually, it's making a lot of the opposite -- he's confusing. In fact, we are talking about the national economic locomotive: the Norwegian oil and gas industry, which provides one third of the nation's income. It's record-breaking investment on Norwegian pedestal this year – DKK 100 billion. The perspective in the northern regions is very bright, and it is now possible to move in parallel and in line with Russian developments in the Barents Sea and to contribute to the setting of a Norwegian technology and environmental standard. Here the new government has been able to create uncertainty. My recommendation is that you take a walk back in the closet and clean it up. I do not doubt the ambitions of the new Council of State. But there is a lot of evidence to suggest that in this area, too, SV has left a hand on the steering wheel. Then it's not full gas. Then there are both brakes on in Norwegian oil and gas industry.
ParlaMint-NO_2005-11-16.ana.ud1190e571	It should only be lacking that SV should not have a hand on the steering wheel of this policy area, as well as in other policy areas, when there are three parties in government, in the same way that the Left and Christian People's Party had a hand on the steering wheel in relation to the Right Petroleum Policy, which was quite different from the policy of the previous government. That's the way it's going to be in multi-party governments. It is Ivar Kristiansen who is fully aware – at least he should be aware of it – of the four years in the government of Right, when exactly these kinds of compromises had to be made. So this government is really addressing the challenges facing the north. We are implementing the work on the management plan, which was started by the previous government. We're doing the work on the 19th concession round, which was started by the previous government. We're doing this this way just to create predictability. That is one of the reasons why the Soria Moria Declaration has said that 19th concession rounds are to be conducted as foreseen. It is in order to create predictability for an industry that is important to Norway and for an industry that is important to Norway.
ParlaMint-NO_2005-11-16.ana.ud1190e578	There will be three follow-up questions – first Ketil Solvik-Olsen.
ParlaMint-NO_2005-11-16.ana.ud1190e581	One of the issues raised by the representative Kristiansen was uncertainty about gas power. The discussion about using more Norwegian natural gas in Norway rather than just sending it out of the country has been going on for a long time. In the Soria Moria Declaration, the Government says that action should be taken with CO2 cleaning and that the State should contribute. But they don't say anything about how much the state will contribute. Statennet has said that if gas power stations are not built in Norway before 2010, there may be darkness in More and Romesdal. Both Statoil-Chief Helge Lund and Hydro-Chief Eivind Reiten have said that they prefer long-term research rather than urgent work with CO2 cleaning. We know that there is a great chance that no gas power plant will be built in Mongstad, as they want, if they are required to clean up CO2. Will the Council of State assure the builders, both those who have a concession and those who will apply for a concession, that they will not be subject to any cost of CO2 cleaning in addition to the cost of any allowance purchase?
ParlaMint-NO_2005-11-16.ana.ud1190e603	I'd like to remind you that it's actually approx. five years ago a concession was granted for the development of gas power plants. The debate on the construction of gas power plants has been going on in Stortinget for ten years. When gas power plants have not yet been built in Norway, it is not due to the requirement for CO2 cleaning. It's because the builders haven't seen it profitable to deploy gas power plants. It is the criterion that will primarily determine whether gas power plants will be built or not. The government has a clear ambition to contribute to the future CO2 treatment of gas power plants being built in Norway. We also have to implement that. I believe that the debate on climate issues will be one of the most important environmental policy debates we can take in the years to come. It is also high on the agenda in other countries. And with the increase you expect it to be in fossil fuel consumption, this is a debate that everyone should participate in and look at how we can solve. The government has taken an important step by starting work to carry out CO2 cleaning on Kårstø. We have proposed a total of 20 million. kr in the next year's budget. That's what we need to get this work started in 2006.
ParlaMint-NO_2005-11-16.ana.ud1190e621	Gunnar Kvassheim – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e624	Award shall be made in 19th concession round in the first quarter of 2006. The management plan shall be dealt with in the Stortinget after that. The Soria Moria Declaration states that the management plan shall determine the areas in which it is to be active and in which it is not to be active. Then it says explicitly in the Soria Moria statement: ‘This shall be determined by the Size.’ Many would think it would be illogical to do an allocation first and then await treatment in Stortinget. Governments have reserved five coastal blocks in Finnmark to which one will return. At the OLF conference, the Minister for Environment said that the Government will only grant the concession after the management plan has been finalised. What other reservations will one then take in addition to the five blocks already mentioned by the Council of State earlier in the Questionnaire?
ParlaMint-NO_2005-11-16.ana.ud1190e636	To the extent that there is no link between the 19th concession round and the management plan, the previous government has also contributed to it. Let me quote a few sentences from the invitation to the 19th concession round, which was sent out by the state councillor Thorhild Widvey. It says: ‘The call is in line with the strict environmental requirements imposed by the Government’s decision to reopen the Barents Sea.’ Furthermore, any allocation and conditions for the allocation of blocks 7123, 7124, 7124/6, 7125/4 and 7125/5 are assumed not to conflict with the Government’s conclusion in the management plan. In other words, the previous government offered to deal with – with the exception of the five blocks – the other blocks before the Government had dealt with the management plan. This means that one would have knowledge of the content of the management plan, but not necessarily that it should have been finalised. We have committed to keeping the same progress plan as the previous government. Then we assume that the other non-coastal areas will not necessarily conflict with the management plan. But we will take the necessary account when dealing with these matters.
ParlaMint-NO_2005-11-16.ana.ud1190e650	I record that some people characterize the Government as a seminar. The fact that the Stoltenberg government appears at least as winged, has contradictions both internally and outwardly, and has disagreement that flourishes, there is little doubt about it. The oil industry is the country's most important industry. One now has 100 billion kroner in investments on the base alone, which makes the supplier industry go very well. Does not the Council of State Enoxen see that the unclear signals that his government and he is sending now actually damage Norway's reputation as a country in which it is attractive to invest, that Norwegian pedestal will now have less attraction on international companies, and that in the long term this will harm Norwegian suppliers and Norwegian jobs?
ParlaMint-NO_2005-11-16.ana.ud1190e657	The case is that the deadline for applying for the 19th round of the concession expired at 9 p.m. 12 yesterday. There is a very large number of applicants for the 19th concession round, both in the case of the blocks declared in the Barents Sea and in the case of parts of the 34 blocks declared in the North Sea. This, therefore, definitely does not indicate that this government has alarmed the companies from continuing high activity on Norwegian pedestal.
ParlaMint-NO_2005-11-16.ana.ud1190e662	So the oral question procedure is over.
ParlaMint-NO_2005-11-16.ana.ud1190e673	There is no record. Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
