ParlaMint-NO_2005-03-18-lower.ana.ud778e45	The representative, Torbjørn Andersen, will make a private bill.
ParlaMint-NO_2005-03-18-lower.ana.ud778e453	Throughout the course of the proceedings and in the debate today, the party of progress has stood firm on the position that confirmation education cannot at all take place in school, that is, the opposite of what the Workers' Party has come up with. We respect that. My question to Sortevik is nevertheless: How does the Progress Party see that confirmation education is to be organised in those areas of the country where travel distances and school roads are long, and where students spend hours on boat and bus to get to school and other activities? What solutions does the Progress Party have for these young people?
ParlaMint-NO_2005-03-18-lower.ana.ud778e458	We have both understanding and respect for the fact that there may be problems associated with travel activities in our long-term country. But what we're concerned about is that even if you stay in the school area, i.e. in the school place, not within the fence – here we actually have to be quite physical descriptive – our recommendation is, in line with the recommendation that comes from the church team, that you actually find another place to be physically. We think that'll be completely possible. Also in places where you have to travel a long way to get to school, we think it's possible to find practical solutions to this. So we think it's important for religious training, for the confirmation training as an institution and as a system, that it's clearly shown that this is something other than the school's education, even by moving out of the school's area.
ParlaMint-NO_2005-03-18-lower.ana.ud778e463	I actually intend to ask a little about confirmation training. We therefore believe it is important that there is a possibility of exemption, and that it is important to have opportunities to make exceptions to the few places where this may be necessary. Does not the Progress Party see that in some places it will not only be desirable, but actually necessary to find practical solutions in cooperation with the school? And isn't it that this possibility should come out in the legal text? If this is not stated in the legal text, how does the Progress Party see that a person could get sensible solutions with the school where it is desirable? Then I have another question. It is possible that I did not fully follow along, but is it so that the Progress Party now opens up the possibility that confirmation training can take place within the school's time, if it is only outside the school's area?
ParlaMint-NO_2005-03-18-lower.ana.ud778e470	To the end, I would like to say that it is little practical, little smooth and little wise to go on a long journey home, then to return. As for the second part of the question, whether there should be an absolute ban, or whether you should have a smooth opening in the church law to mix confirmation training and school, our view is that it is not a good idea to have that opening and that access in the church law. I repeat that we believe that it is wise to have a clear separation. I also repeat that we are not alone in believing that. We actually feel that there is our faith on quite a solid and good reason, when we get clear indications and clear appeals also from a newspaper that stands close to one of the ruling parties in this way, and which recommends that the Church does not ‘snicker’ unwarrantedly into school. It's not my expression, but it's the expression used in a leadership article in our country.
ParlaMint-NO_2005-03-18-lower.ana.ud778e477	Several have not asked for the word for a line.
ParlaMint-NO_2005-03-18-lower.ana.ud778e480	I just read Edvard Hoem's book about Olav Engelbrektsson. He was the last Archbishop of Nidaros before he was chased out of the country in 1537. The book draws a picture of a visionary nation-builder with great care for the church he was the chief leader of in Norway. He was, of course, as we all are, a product of his time. Against Olav Engelbrektsson stood the Danish king, who in the struggle for the Norwegian throne used the church split, starting from Martin Luther, in his political struggle against rivals in Denmark. By distributing church goods to central supporters and by securing income from church goods, he laid the foundation for his political power. By exercising political power and by granting privileges to representatives of the new faith, he ties closely between the new church and the political power. This strong mix of politics and religion has shaped later on. So you could say that Olav Engelbrektsson represented a vision where religion was a piece of his great nation-building project. The obvious difference, however, is that the political power, represented by the king, deliberately used religion in its struggle for the throne in Norway. That the Church, after the Reformation, has made a theoretical superstructure by operating with a two-regiment doctrine, is the Church's own defense for the privileges it acquired by becoming a piece in changing political directions of abuse of religion. It is the aftermath of this mixture of religion and politics that we are still engaged in here in the country: Christian purpose paragraphs and the struggle of politicians to maintain the Church's special rights are extensions of the political grip on religion after the king's introduction of the Reformation. What's creepy is that the losers are religion and the Norwegian Church. The Church has never deserved the embrace of politics in terms of purpose paragraphs and privileges. With the reform of faith training, we thought – at least some of us – that we should now come a big step towards breaking some of the last ties between church and politics – this mix of roles. That is why we agreed to join a faith training course. We also agreed that we would be involved in financing it, but we made some unconditional and clear demands. We agreed that we should have a state church, and the state should of course be involved in supporting the training of faith, so that the Church can do this. Other religious communities and humanetics will also have this opportunity. Now we see that the parts we were dealing with don't follow up. They continue to push in front of weak groups, or whatever it may be, in the fight for the Church to continue to have a special right, and that one should continue to be able to mix school and religious education. But then we have to ask back to those who argue with the deaf and the weak or what it may be, in order to maintain this privilege: the Church has always managed to keep its services, it has always managed to gather the congregation, why wouldn't it be able to gather young people for religious training outside the school's premises, when it's done the other thing? Why should the majority still push these groups in front of them, when we know that this doesn't need the Church? And I'm sure the Church inside doesn't want it. Therefore, I very much regret that it has not been possible to make it clear and unambiguous that this mix of roles should be lifted, these privileges should be removed, mainly because it is part of weakening and making it more difficult for the Church itself. I wish the Church were now able to take these challenges and say, this is not relevant for us in the future. No congregation shall make contact with the aim of using the school’s time and the school’s lessons for religious training. It would have been a good signal and an important signal to give in to our time. So in the final case of the SFO period, we are clear that we are at the position we had when we dealt with the Storing Message. But we give a small opening – for those who have seen it – so that this will not create conflict, not create problems, not create cross-breeds for young people, and therefore we end up with: ‘Therefore, the authorities do not need to add the training to the SFO premises or to the SFO time, when this means that children must choose between SFO or religious training.’ That would be a reasonable answer, and that would be the correct answer. And I'm sure the Church would think that this is the best it could get, and the most sensible it could get. I'm taking up our suggestions. And then I ask that voting be put up so that we also have the opportunity to vote in favour of the proposals we have in relation to elections in churches, and in relation to direct elections to the Council of Bishops.
ParlaMint-NO_2005-03-18-lower.ana.ud778e504	The representative Reikvam has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2005-03-18-lower.ana.ud778e511	I believe the representative of Rikvam must live with the fact that church and politics are going to go hand in hand for another hundred years in this country. I would also like to distance myself from the allegations of the majority pushing weak groups in front of them. Such a monstrous claim seems to me to fall on its own unreasonableness. I have a question for Reikvam: When we dealt with the training of faith in connection with Innst. S. No 200 for 2002-2003, SV participated in a comment stating that ‘local adaptations are important in the design and organisation of religious training’. So that comment was SV, and then it is quite natural for me to ask: Can the representative explain what he meant by ‘local adjustments’ when we discussed the Innst? S. No 200 for 2002-2003?
ParlaMint-NO_2005-03-18-lower.ana.ud778e520	The Church and politics should go hand in hand – I don't know what's in that term, but at least I sincerely hope that the clumsy embrace of certain political environments of the Church will end. It would be a strength for the Norwegian Church. SV has written a note on SFO. It is obvious that the representative has not read it. I should maybe read it, because it's really very good: ‘It is important that the religious training of the church does not appear divisive and creates a cross-press for parents and children. Faith training shall be an offer to the members of the church. Training shall be, as far as possible, inclusive and in good dialogue with those parts of the community who opt out of religious training or stand outside the church. Therefore, the authorities do not need to add the training to the SFO premises or to the SFO time, when this means that children have to choose between SFO or religious training.’ Within the framework that we are sketching here, there are many possibilities and exciting alternatives. We already know that the Norwegian Church has many good projects, and they are doing an exciting job in the field of faith training.
ParlaMint-NO_2005-03-18-lower.ana.ud778e532	The President reminds us that the insertions in the lines last only 1 minute.
ParlaMint-NO_2005-03-18-lower.ana.ud778e535	It was a strong and emotional contribution from the representative of Rikvam. I would like to be allowed to complain, namely that SV is not included in the wording of Section 36, for which there is now a majority, and which I believe is fully in line with the intention of reforming the faith. I see here no indication of danger – if this paragraph of the law is used as intended – so that there may be a mix of school and religious education. And I'm sorry that the representative Rikvam, who is normally so concerned about and so good at finding the practical solutions, here has completely locked himself in a code. But my question really applies to SFO. ‘That is why the communities do not need to add training to SFO’s premises or in the SFO’s time,’ says the comment – I have actually read it. Does the representative of Reikvam really believe that it is possible to prevent belief training from a congregation in the opening hours of the SFO, even outside the premises of the SFO? And on what basis does he believe that this should be regulated?
ParlaMint-NO_2005-03-18-lower.ana.ud778e545	Jan Olav Olsen quoted correctly from our remark, but he stopped when he came to the decimal point. He should still have after the decimal point to get the whole thing, i.e. – now I have to read it again: ‘Therefore, the municipalities do not need to add the training to the SFO premises or to the SFO time,’ — comma — ‘when this means that children must choose between SFO or religious training’. That's an important clarification, when we see it in the context of what's before us, that's what's going on in the cross-press, to create division, and that belief training must be in dialogue with the local environment, with those who don't opt out of faith training, and with those who choose it away. It's very important. In addition, we know – the Church has started pilot projects – that this has so far not created any problems, rather on the contrary, it has worked very well. Therefore, it is very important that the Church remains in this good dialogue, and does not challenge either school or SFO. That would be devastating for the training of faith.
ParlaMint-NO_2005-03-18-lower.ana.ud778e557	Two things: one is that once again it is interesting to show how fundamental is the disagreement between the merging red parties, SV and the Workers' Party, is – also in a matter within the Church's territory. The second is the comment from SV – in concrete terms – and the text that has just been mentioned. The representative Rolf Reikvam from SV has been very concerned about bringing charges against other parties for changing their position. But is it not the case that SV turns in the end of their own comment in relation to what they stood for in the setting of the faith training? Here it opens for a possibility. In fact, the representative Reikvam himself mentioned that one has opened a door. You've de facto changed your position, but you're hiding it with a lot of noise.
ParlaMint-NO_2005-03-18-lower.ana.ud778e564	In order for there to be no doubt about the disagreement between the Workers' Party and SV: we also disagree on other matters. For example, we disagree with the Church of State. SV goes in to dissolve the state church, find other relations between state and church, while the Workers' Party does not. So here's a lot of good explosives for the Progress Party – if that's what they're concerned about. As far as the Church of State is concerned, I guess it's a much bigger case than exactly what goes to school and religious education, because, after all, it's not a very big case. But it's a principle matter, which it's important to hold on to, and not least it's important to keep your tongue straight in your mouth, which the other parties obviously can't do in a good enough way. So to the statement if we've changed our position: we haven't changed our position. We argue strongly and clearly why one should not add belief training to the SFO period, and that is precisely because some children who attend the SFO also want to be part of faith training. In this way, conflict in the community is avoided; dialogue is involved. But then you have to say, where this conflict is not, we give a little opening.
ParlaMint-NO_2005-03-18-lower.ana.ud778e573	The cord shift is over.
ParlaMint-NO_2005-03-18-lower.ana.ud778e576	Experimental activities can provide experiences and impulses in the development of Church and Church democracy. This was stated by the Church meeting in 2003. The Christian People's Party is pleased that the Church itself is active in trying out new arrangements to evolve as a people's church. With today's amendment of the law, we are making provision for more good trial schemes. The Church has made successful attempts to merge elections into councils and big shots. Should the Church at some later stage wish to legislate for such a merger on the basis of the trials, the Christian People's Party is positive in assessing it. The Christian People's Party is also positive that the deaf now have a representative in the Oslo Council of Bishops. It means an important strengthening of the influence of deafness in the Church's Council structure. What has aroused the most debate in the committee has been confirmation training and faith training in the school's SFO time. The Christian People's Party agrees that confirmation education will not normally take place at school. At the same time, we recognise that when specific reasons speak for this, it should be possible to grant a derogation from the provision. In some cases, a rigid ban on compulsory schooling could create unnecessary local problems. There are long traditions of cooperation between the school and the church from the beginning of school in the 1700s. The Christian People's Party wants to emphasise the local assessment in the design of cooperation. Thus, we need to provide practical solutions based on local needs. It makes the majority's proposal for a new section 36. Confusion outside the community has been high in relation to the rules on when one can arrange religious training. The project manager for the training reform has stated that a good number of congregations have ceased their SFO assignments. He has also received many enquiries from principals and principals who have reacted negatively to the fact that it has become more difficult to cooperate with the Church. The Christian People's Party believes that with today's attitude we deal with confusion in a way that allows us to maintain local cooperation between the Church and the SFO. The Committee's attitude implies that we recognise that the strict distinction between SFO and the Church's religious training has been difficult. The Christian People's Party agrees that the religious training will be carried out by the Church in a way that makes it clear that the Norwegian Church is responsible for the training and is responsible for the content. For the Christian People's Party, it is a right for the baptized children to receive religious training. The task of the state is to help the Church make such an offer. I am pleased that the majority is now cleaning up the understanding of religious training in the opening hours of the SFO. Once again, the Workers' Party and the Advance Party shall be praised for providing the absolutely necessary clarifications. The reform of religious education was in its time adopted in Stortinget with the support of the Socialist Left Party. I thought at the time that SV had a fundamental reason for its support. I thought SV saw the value of creating a systematic training offer for all baptized children from 0 to 18 years of age – an offer of self-reliance training that provides a basis for expanding and being safe on their own identity. However, after working on this amendment, I am in doubt. The main issue of SV during treatment has been to distinguish religious activity as a purely evening activity. SV’s proposal for a nationwide ban on faith training between 1 p.m. 7 and 17, or between 7 and 17 o'clock. 8 and 17 are alarming. The consequence would be that, for example: would be prohibited with corset before 1 p.m. 17 if the songs had a Christian content. Speed clubs could have collections before noon. 17 if they did not have a Christian content, while collections with a Christian content had to be added after 7 p.m. 17. So this is so important for SV that they are willing to scrape their support for the whole reform of faith training. My wish is that the reasons provided by SV in the debate in 2003 for its support for the reform should remain the party's policy. Then the lot put the emphasis on that 80 pst. by the children are baptized, and that there is a desire to belong to a religious and cultural community. Then SV's representative Rolf Reikvam continued with the following: ‘If this is a correct interpretation of why people choose to baptize their children, the Church has an important task in helping people into this community. One must give them the opportunity to share in what binds the community together, and give them the security of what the Church stands for in the face of other views of faith and life." It was wise words, words that bear witness to a religious-supporting policy, but I am now uncertain whether SV is still standing by.
ParlaMint-NO_2005-03-18-lower.ana.ud778e603	It's going to be line change.
ParlaMint-NO_2005-03-18-lower.ana.ud778e606	I'm glad of what the representative Lyngstad said. He said that the Christian People's Party opens up that at a later date, if the Church so desires, you can be positive to a change in law so that the council elections and the decisions of the magnificence can fall on the same day. At least that is how I perceive what the representative Lyngstad said. I'm very happy about that. But until further notice: how does the representative Lyngstad think that there can be an increase in the involvement of the assembly council and that more people will participate in church democracy, that more people will go to the polls in the council elections?
ParlaMint-NO_2005-03-18-lower.ana.ud778e611	To the representative Nielsen, I would like to say that it is clear that it is important for the Church to increase participation in the elections to the council. Therefore, I am very pleased that the Church itself is working actively to increase the upsurge, both by informing and by facilitating the elections, so that it becomes easier to participate. However, I think the main challenge is to create an engagement that makes people feel essential that they participate in the election, that it has something to say. It is about clarifying the importance of opinion polls, for example: for the design of the religious training offer, for how we care for church buildings, for how the interaction between the community and members of the congregation is. Here I feel that the Church is running, and there are attempts being made. But I do believe that the Church itself must be allowed to decide and make some recommendations on how this can best be done.
ParlaMint-NO_2005-03-18-lower.ana.ud778e618	Let me stress that belief training is a major matter, it is an important matter, and it is a principle matter. It is also clear that the government parties may now take inwards that it is so to say the red, political wolf SV they have had with them in the government parties' agreement on faith training, and that you are now a little concerned about the company you have agreed to. Also for the government party Christian People's Party, it is such that you have changed your mind. What you thought was an unfortunate mix of roles, you're no longer so concerned about showing up as such a mix of roles. My question to the representative Lyngstad is whether he does not see that it can actually be the way our country states – it is a newspaper I suppose the representative Lyngstad is close to – that it may be wise to make a very clear distinction between the training of confirmation and the teaching of the school, and that one does not think as the newspaper describes it, that the Church is sneaking into the school's time and the school's business, and that it is actually in favour of the training of faith itself to keep a perfectly clear distinction.
ParlaMint-NO_2005-03-18-lower.ana.ud778e627	I am pleased that the representative Sortevik, on behalf of the Progress Party, says that faith training is a matter of fundamental importance. I wish that the Progress Party, too, had thus shown greater political commitment to the reform of faith training than they have done, where the Progress Party – if I do not remember completely wrong – had clear premises and was uncertain as to whether they would support the launch of the reform of faith training, they would have a need study, etc. The Progress Party will have good opportunities in the future to follow up on this with economics as well. The Christian People's Party does not want a mix of roles, but we want to see that in terms of what they have come up with locally, that it is the basis for practical cooperation, we must not create so strict fundamental boundaries that it prevents good local solutions. It's a centralization, a central government, which, in my opinion, will destroy the people's church.
ParlaMint-NO_2005-03-18-lower.ana.ud778e634	I think it was a good quote Arne Lyngstad concluded with, and I can say that we are still at the point of view on which that quote was based. I can guarantee that. We are the party that has also shown that we have been loyal to what we were on when we made the compromise on the training of faith, because we are the ones who have followed up what we said in our budgets for both 2004 and 2005. You can't say that about everyone in this room. But when one breaks some of the assumptions that lay there on our side -- that was perfectly clear assumptions -- this could mean that we also have to reconsider our position in relation to what has to do with the economy and the follow-up. But my question to Arne Lyngstad goes on something else, it goes on what has to do with the democratic structures that are established in the Norwegian Church. Does Arne Lyngstad fear that the establishment of churches across old church boundaries can help undermine the democratic structures that we have now built, thereby weakening the Church's democracy?
ParlaMint-NO_2005-03-18-lower.ana.ud778e642	The representative, Rikvam, said that he was pleased with the quote I had from the previous debate, and that he stood by it. I'll get the representative to believe that. But after hearing the representative's posts in the Chamber today, where he has argued very strongly for a fundamental distinction, the unanswered question again stood: What role should the government have in relation to religions? I believe that the principle position should be that the state should have a religious-supporting policy, but that perspective was far removed from the intervention of the representative Rikham earlier in the debate. In terms of voting rights, I see it as an opportunity for the Church to renew its congregational work. I'm just referring to today's lookup around Oslo diocese, where the largest congregation in this city is actually an electoral council. I think that allowing it will help to secure the upsurge of the Church and prevent membership dehulling.
ParlaMint-NO_2005-03-18-lower.ana.ud778e649	So the chord change is over.
ParlaMint-NO_2005-03-18-lower.ana.ud778e652	As the debate has shown, there is a great deal of agreement on most of the proposals in the proposal. It's right and reasonable, it's high time that the deaf church sounds get a representative in the Oslo Council of Bishops. It is Oslo's Council of Bishops who take decisions concerning the deaf church sounds throughout the country, it is Oslo's bishop who supervises them. Giving the deaf church sounds representation in the Church's council believes the Center Party will contribute to a greater inclusion of these categories of church sounds in the Norwegian Church. The center party is for trials that we believe will stimulate to increase interest and unlock about the ecclesiastical choices. It's important in our view, given that we have a people's church. This means that the Central Party supports the proposal for attempts to lower church voting age to 15 years, which is identical to the religious imagery. We also support the proposal on attempts to elect half the Soknee Council every two weeks. If this can lead to greater continuity in the work of the Soknee Council, it is worth trying. We also support direct elections to the Council of Commons and Bishops' Councils. In the case of attempts at election church sounds, the Central Party will vote against the sixth paragraph of Section 24, which states that the Church meeting can approve attempts at election church sounds. Let me stress that it is very important that the rental of local church sounds has contact with these kinds of church sounds. But we also read the department's assessment. The ministry is skeptical of such an attempt and states that it does not have a proper position on the question of how likely a system of electoral sounds, or an attempt to do so, will be. In our view, such an attempt broke with the basic principle on which the Norwegian Church’s system is based – geographically limited soknock. A development in which church sounds are created for theological or church-political reasons may weaken the local variety that characterizes church sounds today and may lose church sounds for valuable resources. Attempts to make such gatherings electoral sounds will, in the view of the Centre Party, help to reinforce such developments. But let me underline: the commitment that is in these assemblies is of course very valuable in the overall context, and it's important to have good contact locally. As part of its plurality, when it comes to the training of trusts and the relation to the school leisure arrangements, as also mentioned in the proposal, the Centre Party makes an important clarification: Threat training shall not be carried out in its local SFO opening hours. The Church has the freedom, of course, to conduct threat training in other localities, even if there is SFO provision at the same time. Finally, brief confirmation training in the classroom. The Committee identifies derogations which are of major importance. At the same time, there is a narrowing of current practices, many of which have only been kept by layers without good foundation. But I find it necessary to remind you that there is something called organized education for the disabled, something called special education, something called geography in this country as well. We put ourselves somewhat incomprehensible to SV's closest anguish-bitter attitude to exactly this. We actually think it's enough to bring down the Norwegian map, maybe magnified some states, and we see that there is a need to have exceptions for the confirmation education in the school age, for the best for the communities that owe this, not least for the benefit of the individual who wants confirmation education. We think it's very good to find local solutions to that very thing.
ParlaMint-NO_2005-03-18-lower.ana.ud778e667	New church law was adopted in 1996. She's seemed to be working well. I am impressed by the work that Churcha has done to build the new structures that were promised. In less than 10 years, the Church has developed its organs locally, regionally and centrally, saying that it understands itself and enhances its competence at all levels. This has led to a broader interest in the further development of church arrangements. The church meeting handled in 2002 its own settings on church-state relations. The government was then asked to appoint a public selection to sort this out further, and of course we have. But the Church meeting said that regardless of this fundamental issue, Churcha needs trials that can provide insights and impulses in the development of both church and church democracy. There is therefore a working group working on trials in the Church. This is the background to the fact that, regardless of the future relationship between the state and the church, it is now appropriate to test electoral sounds that fund the enterprise itself, attempts to lower the age limit for voting rights in church elections, attempts to hold elections for another year, and direct elections to the Council of Churches and the Council of Bishops. The church meeting also asked for the Bishops ’ Council to be expanded with a representative from the deaf church sounds. Oslo bishop is the deaf church sounds of his bishop, and Oslo the bishop's council added priests to serve in the deaf districts. On this basis, the deaf church should be represented in the Oslo Council of Bishops. I am therefore pleased that, in its position, the Committee is in agreement with this proposal and will give the Church meeting the form of defining the rules on options, voting rights and who can be chosen. When it comes to the legislative proposals that allow the Church meeting to approve attempts to lower the age limit on voting rights in church elections and attempts to hold elections to church bodies for another year and direct elections to the Council of Commons and Bishops, I have noticed that the Committee sees the importance of strengthening democracy in the Church. With the new church law, the church meeting would establish more detailed rules for the church choices. This is set out in the first paragraph of Section 6 of the Church Law. In church law itself, there is nothing to prevent depositing options and parish council elections from occurring at the same time. In my opinion, it should still be up to the Church meeting to decide. But I think it might be wise to proceed with attempts to close down the deposit options and options to the Sokneading Board at the same time. The Committee's recommendation suggests that a variety of pluralities will ensure that the Church meeting is brought to trial both with the second year option and with the lower age limit for the right of voice. I understand the minority that thinks one should have common voting age in all public elections. But I think it might be useful for the Church to try out a voting age that is compatible with the right to register and leave the Church. I think, therefore, that the Church should have the opportunity to try this out. I am also pleased that the Church will be able to hold elections for another year, so as to ensure continuity in the council. A lot of advice has to do with the replacement of as close as all elected members at the same time. I have also noticed that when the Socialist Left Party opposes direct elections to the Council of Bishops and Councils, it is because one is afraid that such a system will weaken the Church's legitimacy as a broad church. Here too, the foundation is that one will strengthen democracy. The purpose of the tests is, inter alia: to find a way to do just that. I therefore believe that it is good that the Church meeting should try out which tool is appropriate. The purpose of giving this image is not to introduce new schemes, but to find out what is likely – and what is not – for the development of the Church. When it comes to the proposal on images to try out electoral sounds, I have noticed that the majority who are in favour join the terms that the department sees, that the election church sounds finance the enterprise itself. The tests shall not entail any new financial requirements for the municipalities or joint councils. In the case of the proposal to amend Church Law § 36, there is a full agreement on the principle underlying the relationship between the school's training on faith and the Church's training on faith. Threat training is Church's case and should therefore find a place outside the school's time and in the Church's room. The proposal from the majority lines below this. However, the fact that there are circumstances that require exemptions is nevertheless addressed in the proposal. Municipalities may grant derogations only when specific reasons justify it, such as the need for organised training or special geographical conditions. The same contradiction between the principle and the need for practical solutions is apparent in relation to the relationship between threat training and the school leisure system. The majority now come with a clarification of the decision taken by Stortinget on the relationship between truss training and the school leisure arrangements at the time of the adoption of the reform. I'm glad of this clarification. She will be of good help both to parents in time and to the Church itself. Given the SV's comment on the violation of the conditions underlying the party's support for trust training in the Innst. S. No 200 for 2002–03, I remind you that this is also about finding practical solutions, not changing the guidelines and principles that we are a few of them about.
ParlaMint-NO_2005-03-18-lower.ana.ud778e693	It's going to be line change.
ParlaMint-NO_2005-03-18-lower.ana.ud778e696	As everyone in the room today has been involved, elections to the council were a success at the same time as big elections. The use of the electoral card in the selection of the council led to an extra large turnout. The feedback we have received from several shows that the electoral card system has been crucial to raising the turnout. Now it is the case that the councils have to finance printing and sending election cards. We all know the economy of the councils. My question to the Council of State is: Will the Council of Churches consider funding the electoral card scheme for all council elections? And in case the answer is no, the follow-up question is, why not?
ParlaMint-NO_2005-03-18-lower.ana.ud778e708	I agree that we have had some trials that have been positive. So, if the Council of Churches decides to do that, I want us to try out the future, too, where we can gain experience when it comes to having parallel choices. When it comes to funding cards, it comes down to what is now the highest priority of the various challenges facing the Church. I must admit that there are other challenges in the Church that I would prioritise financially before giving priority to such election cards. I can refer to both the prost reform, I can of course refer to the truss training, and I can also mention other things that are probably more important. And then we'll see when we have some more experience, including in relation to the economy, where we're going to put funds. But for the first time I think it is more important area within the Church than at least I want to give priority over funds for election cards.
ParlaMint-NO_2005-03-18-lower.ana.ud778e715	I would like to ask the Council of State a question relating to confirmation education. Let me first look at the principles. It's true, of course, that a lot is very similar, if you combine the confirmation instruction and the training of faith in the SFO. But there's one crucial difference, and that's the age of the confirmations. Those who participate in confirmation education have a completely different age, a completely different life situation and an entirely different active participation itself. Then my question is: doesn't the Council of State feel that it is important to stress, precisely for the sake of the age of the participants, that belief training is something other than the education of the school, and that the Church is actually the best served to be – we can call it – overly clear that this is something that has nothing to do with school and education; this is something quite different, something important, and that it is therefore going to be done outside of school?
ParlaMint-NO_2005-03-18-lower.ana.ud778e724	This is a theme that has been raised by a few before today. It's a pretty interesting discussion. We are all a few people about the principle: the school is supposed to provide training on trust, the church is supposed to give training to trust. So threat training is such a training, and the confirmation training is part of it. When I promised to come back to Stortinget with a case about changing the law, I have done so. I have tightened up the possibilities to take confirmation training in the school yard or in the school building. But at the same time, we must not throw out the baby with the bath water, simply. We see it in the geography of Norway. Perhaps I have offered too many places in the country that I can accept the simple explanation that this must find practical solutions. If the school pillow leaves at 0 p.m. 2:30 p.m. for all students, what about the two who are confirmations? How are they supposed to get home that day? It can actually be that simple. That's why we keep it open, because we have to be practical, because we want everyone who wants to get offered.
ParlaMint-NO_2005-03-18-lower.ana.ud778e731	First, a comment on something that has been said earlier about religious-supporting politics. There is doubt as to whether SV has a religious-sponsoring policy. It was violent! That's not what we're discussing right now. We're going to discuss state religion policy when we get the setting from the Greens' Committee. Then we're going to discuss what kind of religious policy the state should have toward the different religions. It's an important and exciting debate. But now we're discussing the relations between the Norwegian Church and the school and the SFO, so here we have to be careful not to mix the cards, but to keep the tongue straight in the mouth. There's a lot of people who are obviously struggling with this. I want to challenge the Council of State in one area. The majority have opened the door to continuing belief training at school and to use school hours as well. Does this mean that even others who are going to be engaged in religious training — with Koran training or whatever it may be — will have the same opportunity to use the time of the school if they so wish, or is this explicitly added to the Norwegian Church? Shouldn't everyone have the same right? [[President clubs]] There is nothing in the Training Act that opens up to it. [[President clubs]]
ParlaMint-NO_2005-03-18-lower.ana.ud778e741	The President is going to be very strict over time. It's Friday – I won't say more!
ParlaMint-NO_2005-03-18-lower.ana.ud778e744	When it comes to the two firms that I used as an example instead, which are left on the dock when the boat goes, perhaps one of them would like to have a civil confirmation, while the other would like a church confirmation. Obviously, the same rights apply to both of them. I think the training law says that they should have them, if I am not completely wrong. It might be in church law, but at least it says in one law or another that that court is there. What amazes me in this matter is that the representative Reikvam is talking about trust in the Church in his post, they are not asking for it, and why are they put on such a thing in the world? No, it's actually nonsense what's being said here. We say if one needs it, one can accept it. There is no requirement for the school to be used, there is no requirement for schooling to be used, nor is there any requirement for the Church to put trust training there or there, but it is therefore to solve marginal challenges. If one had mentioned how many this debt, I think one would have seen that the force one has applied to this discussion today is over-use of energy. Here you can only make things more flexible.
ParlaMint-NO_2005-03-18-lower.ana.ud778e751	The President recalls a paragraph of the Rules of Procedure on the use of words. This also applies to state councils. Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-03-18-lower.ana.ud778e758	I'm going to try to be quick, and I'm in no way going to reopen the discussion and the debate we had about faith training. But I got a pretty strong rinse from the representative Lyngstad from the Christian People's Party on the relationship of the Progress Party to the faith training reform. I'll just refer briefly from Innst. S. No 200 for 2002–2003, where, inter alia: is on page 3: ‘The members of the Committee from the Progress Party... have noted that the Government commits to a high degree to follow the timing of the Baptism Training Committee when implementing this reform. These members fully share the view that baptism training is a central task for the Christian Church, and find it positive that the reform should be locally anchored and embrace widely.» And on page 4, it says: ‘In the view of those members, enhanced baptismal training in the State Church System should therefore be financed by the State.’ And that's how I could keep going. So we had a different view of funding. In fact, we had a common view of the great uncertainty about the budgetary implications of the reform, and we chose a different path from that. But I would like to stress here and now again that the view that representatives of the Christian People's Party often try to convey about the views of the Advance Party on faith training is wrong.
ParlaMint-NO_2005-03-18-lower.ana.ud778e773	I note that the Council of State believes that the fundamental arguments that some of us are leading in the field are customs. That this is being said from this pulpit is provoking me very much. The fact that a party manages to hold a principal line, manages to approach these difficult questions in a principle way and is clear that there should be a distinction between what is Church religious training, what is school training and its responsibility for subjects, and all of this, being characterised as customs, I think it is completely wrong. It should have been really stated, because that's not the way we're going to discuss such serious issues as what we're dealing with here. Governments draw up a number of single examples. If there are two students standing on the edge of the bridge and one of them is going to have faith training and the other is not, the Church must be able to add the faith training to the school. Refuge training and confirmation training are not conducted in the same way today as when we were young. In general, belief training and confirmation training are currently being conducted in different ways, with large collections, sacred gatherings, etc. It is not the usual schooling practice in the Norwegian Church. Fortunately, the Norwegian Church has come further than that. Then we're not going to use these single examples – the example of a student standing on a pier. That's not the case. Today the Church organizes this in a completely different way. Fortunately, the Church has imagination to organize it in another way, but the question is of a principle nature. Are we going to have this mix of roles? I had hoped that the Council of State could also deal with that.
