ParlaMint-NO_2004-02-10.ana.ud2319e45	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2004-02-10.ana.ud2319e480	It's going to be line change.
ParlaMint-NO_2004-02-10.ana.ud2319e483	In the setting of the big city message, the Christian People's Party states that the county municipality should have an active and wide role as a development actor. It is noted that the development role should not be confined to managing regional and regional policy instruments. The Christian People's Party emphasises that competence, communication and culture are central to the field of work. The politically interesting thing is that the great government party Right does not share the Christian People's Party's view on this matter. I would therefore urge the representative Apelthun Seele to elaborate on the role the county council should play, and each division goes in the relationship between the Christian People's Party and the Right in this matter.
ParlaMint-NO_2004-02-10.ana.ud2319e488	I didn't think it was any secret that the Christian People's Party and Right are quite different in their party programs about the county's future. But we have the Sem Declaration in common, and the Sem Declaration states that the County Municipality should have a role as a development actor. The development role is, in my opinion, at stake. The comment mentioned by the representative Sandal came at the end of the discussion of this big city message. I was very much in agreement with what was said there, and decided there and then that this is what we're going to do. We hadn't had any discussions on it, because there wasn't any time left. We might have been wider if we had had more time. But in any case, the Christian People's Party is its primary policy, and we believe that we have taken care of that in the Sem Declaration.
ParlaMint-NO_2004-02-10.ana.ud2319e494	I'm sorry, because I can't put the strings together in what's being said by Apelthun Seele. She attaches great importance to the fact that the Christian People's Party and the Government have enormous faith in the big city politicians. My question is: Where in this message, and where in this setting does the Christian People's Party and the government parties express their belief in the big city politicians? Here it is added up to, and it is emphasized from the government parties, a stronger state governance towards the big cities. A conflict council or a coordination mechanism that the Government wishes to call it. I do not see that the government parties at all have great confidence in the big city politicians here, especially when we hear that the representative Apelthun Seele also emphasises the role of the county council in relation to regional development and overall authority towards the big cities.
ParlaMint-NO_2004-02-10.ana.ud2319e501	I don't know if I feel any particular responsibility for Sandberg not being able to gather the threads, because what permeates the entire big city message and the comments that the Christian People's Party and the government party have, is exactly true of the big cities. They shall be given greater freedom and more responsibility; they shall rule and be lords of their own houses. I'm tempted to ask Sandberg to re-read everything. But it is true that we know that there are countries between big cities as well, and we know that one must interact in the regions – which are more than the big cities – in order to maximise the benefits that big cities have and that the regions can have together. That's why we think the county councils or regions need to interact with the big cities in order to get the most out of the possibilities of small Norway.
ParlaMint-NO_2004-02-10.ana.ud2319e508	Every time this government gives a message, and every time anyone from the Christian People's Party takes the floor, I wait for some of the things that are said to be Christian People's Party's heart matters, namely the fight against poverty. On the contrary, every single time it comes out pure right-wing policy. Bondevik has been in the last governments, except for a year with the Workers' Party, and poverty has increased all along. Differences are increasing all the time, and it seems that the Christian People's Party has bought the Right Party's policy that poverty is best combated by giving tax relief to the richest, so that it will rub a little down on the poor. I want to ask the representative Apelthun Seele, especially in connection with the notification of the big cities, where we know that the differences are most horrific: is it not at any point that the Christian People's Party sees that it would have been possible to distribute something more fairly between the poor and rich in Norway, and that perhaps one had achieved some of the things that should be Christian People's Party's heart matters, namely, to take care of the weakest?
ParlaMint-NO_2004-02-10.ana.ud2319e515	What's the biggest problem in terms of people becoming poor is unemployment. This government has done what it can to fight unemployment. We can't distribute the funds better than by fighting unemployment. It means an infinite amount of business environment. The Christian People's Party and the SV always disagree about it. The Christian People's Party has always meant that we must first create, and we can distribute. In a situation where 100,000 are unemployed, there is a match no. 1 to get the employment up. Then we have delivered the poverty package, where we have also focused on fighting poverty in areas that are not just related to unemployment. I'm always amazed, because the farthest thing that this is the world's worst country to live in. At the same time, it is indisputably established that Norway is the world's best country to live in.
ParlaMint-NO_2004-02-10.ana.ud2319e524	The cord shift is over.
ParlaMint-NO_2004-02-10.ana.ud2319e527	Based on the expectations the government tried to create in advance of the big city message, the message itself is startled with no perspective. The centre party believes that there is a clear need for a far more comprehensive debate on what measures are needed for more balanced regional development and on the role of big cities in that context than this message puts forward. A more thorough discussion of the scale and arrangements, of the infrastructure and local economy, of an offensive industrial policy in which the state is in favour of strengthening its comparative advantage for each region is absolutely necessary. A plan for a coordinated and balanced regional distribution of State involvement, including the relocation of state jobs from the capital, is absolutely necessary. The central party supports the proposal for a separate capital message. Furthermore, like the Labour Party and the Swedish Labour Party, we believe that there is a need for a separate action plan for the big cities. It is not a plan to centralise the individual city, but it is a possibility for a more social housing policy, to strengthen culture, for better integration, to put the search light on what police resources are needed, for better and easier access conditions and for jobs based on the merits of each region. Although the Storting, through its communication on the distribution of tasks for the longest time, has determined that the county should have the role of regional development operator and that it should strengthen, the municipal minister does not deny itself from time to time to doubt the very basis of the county. The committee setting emphatically states that it is the county that has been assigned the task of coordinating and managing regional development work. It has also been explicitly stated by the Labour Party, the Swedish Labour Party, the Christian People's Party and the Central Party that the role of the county council should not be confined to managing the regional and regional policy instruments. Citation from setting: ‘If a strong business is to develop in the region, the development of competences, communications and culture is also of major importance. The county must therefore be responsible for and focus on a broad development policy in the regional development work.» There is a clear signal to the Government by allocating funds that the county gets funds according to the tasks they are intended to do in this area. Following the initiative of the Centre Party, a Joint Committee underlines the need for green lungs in urban areas. This applies to everything from open recreation areas, parcels and colonies to the further development of agriculture in urban areas, such as industry and environmental factors. I would like to ask the Council of State to note the Workers' Party, the SV and the Centre's comments on the possibilities that the Government has with regard to the management of state-owned property. The size has given room to use the disposal instructions for sale below market prices to ensure that the metropolitan municipalities can afford useful land at an affordable price. St.meld. No 31 shows a striking difference between the Bondevik I government and the Bondevik II government when it comes to the social challenges of the big cities. The dithering message was submitted by the Bondevik I government. We see little traces of a softer workline, a more social housing policy, better public services, a more finmasked economic-social security network and a more fair tax system – which was the five strategies outlined for the fight for equalisation. It is sad to note that the metropolitan message also does not address its particular situation. 55 pst. the households of Oslo are now composed of one person. This must be achieved in terms of housing, taxation and taxation policy. In this area, one-person households are always well-suited with fine words, but zero follow-up otherwise.
ParlaMint-NO_2004-02-10.ana.ud2319e551	It's going to be line change.
ParlaMint-NO_2004-02-10.ana.ud2319e554	The working party and the Centre are very much in this setting. However, in many areas of this setting, the central part has a powerful language theme against the Government, among other things. they say that the message is hopeless, and it is little new. In addition, the Central Party states that the grossing up message is simply for differentiated industrial policy. That is to the extent that the Labour Party agrees. I still want to ask the representative Meltveit Kleppa to make this more concrete. Otherwise, the Workers' Party wants to develop the all-day ball. It is not least important for big cities, which have a large number of immigrant groups. Both kindergarten and school are important institutions for good language training for these children. My question is, why is the Center Party opposed to introducing the all-day ball?
ParlaMint-NO_2004-02-10.ana.ud2319e563	In terms of language usage, one might think that the Senter party had very high expectations for the government's big city announcement. We didn't, but we thought the Government itself had helped to create expectations, which in no way has been fulfilled. In relation to business policy, I am surprised if the Labour Party found there are many traces of good business policy in this message. We are surprised that the Government does not stress the need to strengthen the interaction between the different advantages of a region – and special advantages – and the research, development and education environments, for example. Who is. The message fits nicely into the line of Ansgar Gabrielsen's announcement, which has repeatedly stressed by the Minister of Industry that he does not have a tool in his box.
ParlaMint-NO_2004-02-10.ana.ud2319e568	Many want to live in the big city, and then the big city must be able to give all its inhabitants the opportunity for a good life. It presupposes attractive cities that meet and meet the needs of its inhabitants. The further development of our welfare society depends on the best management of our values. A well-functioning business is crucial, and it is precisely for this reason that the Right in Government has given emphasis to tight budgets and tax relief to business. And now the optimism is back, the interest rate is low and the rate is better. Nevertheless, in its comments, the Central Party states that the notification is out of the question of industrial policy strategies, and accuses the Government of not ‘permitting a single crown’. Does not the Centre Party consider the framework conditions of business to be significant and does not the Centre Party see the link between a well-functioning business and a continued well-being society? What, then, is the Central Party's alternative, other than just distributing public dollars?
ParlaMint-NO_2004-02-10.ana.ud2319e573	The answer is yes, the center part sees the highest degree of coherence. Hence, our policy now follows two main lines. One is an offensive industrial policy, precisely to strengthen the areas where we're already good, and the other is more local welfare. We believe that the state could go much stronger with capital to secure the knowledge and skills that Norway has, to develop new jobs and to take care of the jobs that we have today. In this way, for example, Right-wing chairman of Rogaland, NHO Rogaland, corresponding to other regions, underlined a great need, and we are pleased to note that the Minister of Industry today in the newspapers announces that even he sees that business neutrality is not working.
ParlaMint-NO_2004-02-10.ana.ud2319e579	The Central Party shall have all the honour of having its own regional policy in every context. Also, in the context of the big city announcement, I would say that most of it is about district policy on the part of the Central Party. But they also meet themselves in the door, because in some areas the Centre Party points out how important it is to move out state jobs, and has intentions to move out 5,000 jobs over a five-year period, and in the next round the Centre Party is on the track and fronts the housing policy to put in place as many cheap homes as possible, so that you can attract labour to the big cities. It's kind of out of control. But my question to the Center Party in relation to differentiation and the third proposal of the Progress Party is: Does the Centre not see that some cities can have competence that is superior to the county and department, and that it can be differentiated so that some tasks can be transferred to the municipalities – large cities – from the county council?
ParlaMint-NO_2004-02-10.ana.ud2319e584	It is good that Per Sandberg again knows the Senterpartiet in connection with this message as well as that an offensive regional policy, a good urban policy, is also good district policy. That's where we want to be recognizable. I don't know much about the Progress Party, which is talking about their involvement in the social dimension, and so they can't be involved in and provide for multiples in this room for a proposal for an action plan for the big cities that would secure a better housing policy, more focus on culture, better integration, even more resources for the police, easier accessibility, etc. For the purposes of differentiation, we have supported a number of attempts, but there are some overarching tasks that are better suited to a larger area than to a larger city, for example. the continuing schoolings. That's where we saw our foot down.
ParlaMint-NO_2004-02-10.ana.ud2319e591	The cord shift is over.
ParlaMint-NO_2004-02-10.ana.ud2319e594	In an international sense, Norway has no major cities. We could say that some of our cities are larger than others. But our capital is different from any other city in an important area. The coastal party therefore makes sense to treat Oslo’s problems separately. Oslo today experiences a faster population change than in most other European cities. During the historically short period from 1975 to now, the presence of non-Western immigrants has increased explosively. The following numbers are mentioned in the notification submitted: 40 pst. by all non-Western immigrants live in Oslo. They make up 17 pst. by the population. 28 pst. the mother tongue of primary school students in Oslo is different from that of Norwegian. The proportion of children between six and 15 years of age with a non-Western background is 40-60 pst. in Oslo inner east and northeast of Groruddalen. For the rest of the Groruddalen and southeastern Oslo, the numbers are 20-40 pst. I remember something I've been told about a teacher who gave a long talk about Nansen. When the teacher finished the talk, one of the students came away and said, "Who was he, Hansen?" So these are our new countrymen. They don't even know who Nansen is. Oslo receives immigrants from both other parts of Norway and from the rest of the world. In other words, the general immigration policy pursued has a very special impact on the capital. Therefore, this context should be a central theme in the treatment of Oslo’s problems. What you should focus on in particular is to prevent the emergence of living conditions differences between immigrants and the Nordics. Such differences are evidence of a lack of integration and may provide a basis for a higher level of conflict in the urban community. Oslo received 85 300 new jobs between 1995 and 2000. In the last 30 years, the Oslo region has had 230,000 more inhabitants. The coastal party believes that this centralisation of jobs and population is harmful both to Oslo and to the rest of the country. The Oslo region suffers from pressure problems, while the districts experience delocalisation. The coastal party wishes to take the necessary measures to promote food growth in the districts and regional centres other than Oslo. At the same time, we will for example: by a general reduction in the employer’s tax, improve the situation of the business already existing in the capital. The coastal party wishes to slow down the huge overinvestment in office buildings in Oslo by introducing its own investment fee for new office buildings in the capital. It should also be possible, through a law of establishment, to prevent the construction of office buildings which would have adverse effects on the city. It is a scandal that so many office buildings in Oslo are available, while still planning new office palaces. The coastal party supports the proposal to spread more government jobs from Oslo to other regions around the country. As far as possible, this should happen without Oslo's state staff leaving the capital against their will. The Coastal Party is pleased that most Oslo parties want to protect Oslomarka. The Progress Party will have the expansion of Marka, and looks like the most district enemy party we have here in the country. The bigger the cities, the easier distance can emerge between citizens on the one hand and politicians and bureaucrats on the other. In order to strengthen local democracy in cities and especially in Oslo, it is important to have a city selection with real power. In Oslo, many of the new districts have over 40,000 inhabitants. It is a shame that such major urban areas are not chosen by direct elections. It's also a shame that the Oslo City Councils have so limited power to determine in local construction matters. All studies show that urban authorities would be more concerned with maintaining their local environment than is the case with the City Council. In this way, the metropolitan areas of Oslo will be able to help prevent the wild growth and the pressures in the city, for the benefit of both Oslo and the other cities and districts.
ParlaMint-NO_2004-02-10.ana.ud2319e620	‘By and land – hand in hand’ is an old and well-known saying that fits well in this debate too, because the big cities are dependent on rural areas, but rural areas are actually equally dependent on cities, and especially the big cities, such as the prime motor where work, education, cultural services – yes, mostly all that a smaller municipality cannot have. Therefore, the investment in the big cities must take place to a greater extent than it is today. Only in this way can we achieve robust regions and make use of the whole country. The Capital Region is special in this context. The Oslo region should not be just a big city for its region. In addition, the Oslo region will compete with the other metropolitan regions of our neighbouring countries and on the continent. It is also important for the whole country. Therefore, the Workers' Party is in favour of a separate Capital Message for the Government. In this region, over 1.2 million people live, and the region includes 46 municipalities and sprawls over four counties. At that time, it is alarming that the big city news ignores the whole problem that exists in this region. Normally, this should be the main challenge of this Communication. There is a need for plans to go beyond what is necessary. The Capital Communication shall review the governance conditions and coordination problems in and around Oslo. This applies not least to the road network, public transport and housing construction, to mention something. Over the past 30 years, the Oslo region has had the highest growth in the country, with 230,000 inhabitants. That's three times as much as for example. The Stavanger region that has had the second largest growth. Population projections of the Statistical Centre for the next 20 years indicate that this growth will continue. Therefore, a capital message is absolutely necessary. The metropolitan message provides a good description of the many challenges facing cities, but does not provide a prescription for the solutions to be put in place. This is the first time we have a big city message for treatment, and that's good. But then we can't just see that there are a number of challenges. Then we have to act, and it's urgent. This is why the Workers' Party is promoting a number of measures in its suspension, and therefore the Workers' Party will require a concrete action plan for all major cities. It is not the government parties and the Progress Party. We are sorry about that. One of the biggest problems in the capital region and in the other big cities today is that it is most difficult for people to get a sober home at an affordable price. The entire Committee agrees that the level of housing prices is largely determined by the relationship between housing supply and demand. A high level of new construction of dwellings is essential to mitigate the pressure on housing prices. The Right Party, the Advance Party, and the Christian People's Party believe the market is coming to an end. We both see that and we don't know that. When 46 m2 is sold for 2 million. kr in Oslo, that is all cause for concern. That is why the Labour Party will, among other things, building several non-commercial rental dwellings where the State pays a fixed grant increase in the new building through active use of the House Bank increased the housing aid for families with children and financial disadvantages to facilitate the upgrading of the urban population through the use of the State grant schemes for housing and environmental measures to municipalities that facilitate a particular housing construction; Only in this way will more dwellings be built and the price pressure will be reduced. Finally, a few words about multicultural Norway and integration, a very important area. Many of our new countrymen want to live in our big cities. This is why cities face a greater challenge in terms of integration. That's why we have to make it right. Big cities like Oslo would literally stop without the immigrants. The introduction programme, which will enter into force on 1 September, will make a good contribution gradually. But in addition, we need to develop organized language offerings for those who are already here and who cannot Norwegian. The working party will have free core time in kindergartens in residential areas with a large proportion of foreigners, to ensure that all children can Norwegian when they start school.
ParlaMint-NO_2004-02-10.ana.ud2319e657	Half of the country's population lives in one of our six metropolitan regions. Until now, this half has been harmed by the lack of coordination of state policies and the fact that a large majority in this room have been anything but interested in discussing metropolitan policies, and will much rather discuss district policy. With this government, the country has finally received a comprehensive and forward-looking metropolitan policy. Cities, and especially big cities, have their own challenges and benefits. Cities are centres of capital, knowledge, creativity and innovation. Cities are unfortunately also overrepresented in terms of, for example: poverty, child and youth crime, environmental problems and social and economic differences. By recognising this, the Government is putting forward a policy that can further develop the advantages of the big cities and combat the problems. Equally full is the intention to facilitate development in one's own city and thus also to show local democracy confidence. That's exactly the opposite of the Workers' Party, with Karl Eirik Schjøtt-Pedersen, adding up through their massive point list that they want to detail the big cities and the municipal sector with. All six metropolitan regions have had population growth of 20 pst in the last 30 years. or more. It makes it absolutely necessary to focus on housing policy. For the government parties it is important that everyone can dispose of a good dwelling in a good living environment and that as much as possible be able to own their own home. The pressure on the housing market in large cities requires inter alia: greater resources to maintain a dwelling and establish itself. With its policy, the government has better arranged for households with problems of establishment to buy their own housing, through, among other things. a pooling of the purchase loan and the establishment loan for the new start-up loan. It will also be assessed whether persons with major payment difficulties by the municipality can be granted up to 100 pst. financing and, where appropriate, whether the loan can be combined with housing allowances. Especially Oslo and Bergen have many homeless people compared to the national average. The big cities alone have approx. 70 pst. of the country's 6,200 homeless, but only 25 pst. by the population. In the housing announcement that was presented last Friday, the government is putting up an active and targeted strategy to prevent people from becoming homeless, and to quickly get an offer of permanent housing. A survey of the homeless is already under way, as the current figures are from 1997. Housing support is among the most accurate arrangements we have. This government deserves praise for strengthening the scheme with a total of 352 million in each of its state budget. kr. This has been done in the form of increased bumper roofs in the six major cities plus Drammen and Fredrikstad, price adjustment of the stencil for light and heat, removal of the funding requirement for families with children in the same housing and removal of the area requirement for families with children in municipally disposed dwellings. The resolution of the financing and area requirements has resulted in the provision of housing support to several families with a weak economy. Furthermore, the decoration of the land requirement can help municipalities to provide reasonable housing for the homeless and others with a weak economy. Further, several future changes in housing aid have been identified in the housing notification to further improve the scheme. This policy is certainly part of the fight against poverty. The districts depend on functioning cities and regional centres, in line with the fact that cities depend on their surrounding area. Larger municipalities are better able to carry out public and private service tasks than the small municipalities are. The major cities are also regional locomotives, and the Right will actively support those municipalities that want intermunicipal cooperation or municipal mergers. A good urban policy is to enable big cities to create their own future while at the same time making the same big cities responsible.
ParlaMint-NO_2004-02-10.ana.ud2319e672	In the big city news that Stortinget is dealing with today, there seems to be something thin in terms of really good proposals that can contribute to a more active and more forward-looking metropolitan policy here in the country. In the treatment of the notification, the size has had a good chance of evading and stimulating long-term trends for major cities. The size could, for example: have followed the Progress Party and have chosen a more offensive line by allocating greater freedom and responsibility to major cities in tasks which should be decided by major cities. The Progress Party wants a more offensive metropolitan policy and will give major cities greater responsibility for their own everyday lives and urban development. As the Communication has now been finalised by the Committee and the Storting Group, it appears that the other parties have been more concerned with filling the report with comments on all policy fields that exist and can be dealt with within a metropolitan notification than with mentioning the actual challenges and the situation of the major cities. It is at all strange that there is so much space in the position to comment on the general economic policy, while for example it is. In general, the Progress Party promotes ideas about what a well-developed road network has to say for business and housing patterns in and around big cities. It might seem that the majority may find it somewhat uncomfortable to take a real stand on what better road networks actually mean for our big cities. We have a fairly well-functioning housing market throughout Norway today. There are well over 20 000 dwellings built this year, and demand is largely covered by an adequate offer. Of course, there are press areas in the big cities, where demand is greater than the offer, but no matter how Stortinget sets up housing policy, it will still be expensive to live in the centre of the big cities, not least for first-time settlers. We'll hardly be able to do anything about it at any time unless we politically decide on maximum prices per. square meters, but that's something we should definitely refrain from. There is little doubt that we need housing-social arrangements that make it easier for young and disadvantaged people to get into the housing market, but creating schemes that aim at giving everyone the opportunity to buy a million apartment in Oslo Centre is probably unattainable. But with a 20-30 minute journey out of Oslo Centre, the price level is close to halved. Young people's ability to establish themselves is, therefore, significantly improved. The same relationship also applies in the other major cities we have in Norway today. The further you get from the center, the lower the housing prices, and the easier it is to establish. Individual municipalities are well aware of the need for increased incentives for housing construction in the municipality. It is therefore important that municipalities themselves have the power to develop and choose areas where they see themselves best served by building dwellings. In this situation, it should be important to give major cities greater influence and broader instruments. At least what they do not need are state bureaucrats or county councils that are checking out their own land availability. In my view, the size could have chosen to give major cities greater opportunities to organise and be more active in their area, but this has unfortunately been chosen by the majority to lower priorities. The county municipality is still a cardiac child who is to be kept alive artificially with tasks that it strictly should never have had, while the big cities do not have any important and concrete tasks that they should obviously have had. Finally, I would like to say that I do not believe in a blatant contrast between the big cities and the surrounding districts. I hope it's the way one of our teams said it when the Progress Party had this big city message on internal consultation in the party: what's good for Stavanger is also good for Finnøy. And let me add: they certainly have that right in!
ParlaMint-NO_2004-02-10.ana.ud2319e689	I'll start with a confession. As everyone hears on the dialect, I'm not from town, but I'm very happy in cities. I may be especially happy in Oslo, which has been a part of my life ever since I was a little kid. I'm starting with this to say that I don't think there's any contradiction between a good urban policy and a good district policy. But I think there is a very sharp contrast between a strong policy of distribution and a less strong policy of distribution. I think we're about there at the heart of the problem. This metropolitan message is also about whether cities should have more to say in some tasks than other municipalities do. There is no doubt that large cities have the opportunity to solve a number of tasks and have some problems and challenges that other municipalities do not have. There's no doubt about it. But you get a problem if you give municipalities tasks on behalf of others when the municipalities do not have direct voting rights into the local government. And that's one of the reasons why we're holding on to the fact that it's the county councils that are going to be responsible for some direct tasks, because that's where people have the opportunity to submit their ballot. It's important. It's also important for cities to think that when you're big and strong and you're going to be a big brother, you don't always have to take the biggest candy first. I think that's one of the important things to think about for the cities. Whether it's Oslo or other big cities, they have to be aware that you have a surrounding area and a population also outside the cities that are initially proud of the cities, and that want to be part of the cities – just as I felt I was, even before. Then you have to turn around a little bit. I don't remember who said it, I think it was Signe Eye, that our cities are in a kind of continuous fight with other areas outside the country, i.e. big cities and growing regions elsewhere. That's absolutely right. That fight can feel pretty tough. At the same time, it is important that if you want to have support from all over the country in that fight, you have to make sure that there is a social glue between the city and the surrounding area. And it's a challenge that I want to give to the cities. I know it can be hard to balance this, but it's important. Then I want to repeat that the most important thing we heard at the hearings in connection with the big city announcement, which we have seen up through time, is that we need to put in place the tools that cities need more than other municipalities. And one is housing policy. If we strengthen housing policy, it'll be more like cities. That's where the problems are greatest, that's where the biggest differences are, and that's where people, for example. has the most trouble getting a roof over your head and being master of your own house. It should apply to a certain freedom also to people who do not have good advice. I think that should be an important principle. If we have a really good collective effort, there's no doubt that it'll come mostly to cities and between cities. It will be a huge advantage for urban policy to have a collective effort that is massive, modern and forward-looking. It'll solve a lot of the city's problems -- problems that make them work. If, in addition to that, we get a municipal economy that's good, it's going to be the most urban, too, because a lot of the municipal economy is going on a community grant per. person. So cities will have a substantial share of cookies if you increase the municipal economy by 2, 3 or 4 billion. That would mean that these cities have an opportunity to be masters of their own houses and address the problems that are. However, it will have to be said that a better distribution policy at the bottom means that the large economic resources that are also available in cities, all of which have been mentioned here today, are distributed a little more evenly, for example. have a working public service. It's very good for business. Getting a community economy that can make schools really good in cities and get a cultural life that thrives is great for business. And it's not like there's a contradiction between having a better distribution policy and having a business that can create something. Then you have to follow the money you have distributed to the richest people in this country and see if there have been any jobs there. Unfortunately, I think you'll see a little bit of it. Finally, the State must coordinate itself. Yes, it must. It has not been good for this government, nor has any other government been good for it – and there is a long way to go, but it will be very good for the cities.
ParlaMint-NO_2004-02-10.ana.ud2319e704	I'm glad we've got a big city message, not because the message itself is a groundbreaking work, but at least it gives the Storting the opportunity to do some reflections and think something more long-term in terms of developing our larger cities and urban regions. Not least, it is important because half of the country's population lives in these places, and that is probably all the reason why the Storting show with great clarity an interest in the conditions that are there. What you could say is that people thrive in cities, and then you shouldn't make descriptions other than that initially. But that they thrive doesn't mean that the areas are without problems. And talking about cities and talking about urban politics should not be seen as a anti-diversity initiative, but as an initiative that serves the whole country's interests. Talking about urban politics today is talking about urban politics in a different way than what we did 30 years ago. Cities are today far more an engine in the development of the whole country than was the case before, and as an engine they must also be taken into account. If we believe in a solidarity policy with the city and the country hand in hand, we must take care of what is peculiar and important for the big cities so that they are given both arms and opportunities for development. If we don't, we don't take this reality seriously, it won't be city and country hand in hand, but it'll be city and country man against man. Urbanisation itself is not a Norwegian phenomenon. It's an international phenomenon. We see it everywhere and with the same effects that we experience in the big cities here in the country. We see few successes, at least there is little talk of them, in this urban development. We see greater social insecurity; we see poverty; we see crime; drug abuse; environmental problems; housing policy in decline; ethnic conflicts and prostitution. But that's just one side of the big city's everyday life, because we also see the good life. And it's most people who get the good life, it's most people who face the diversity, most who benefit from culture, educational institutions, competences, research, knowledge-based industry and outdoors — yes, in some wealth. But it's not just a dance of roses. The reality of some is brutal and for others it is pleasant. And that's these two parts of the reality we're going to have in our head when we're going to think about the future of the big city and the possibilities of the big city as such, but also the importance of the big city for it to be the engine that the country needs. Having these two parts of big city politics in your head at the same time requires – no matter what you put the most emphasis on – money, not theoretical money, but real money. And if you formulate a long-term policy that should be something more than a 17th May speech or a random anniversary tribute to some big city, you have to turn up cash – cash. It costs to achieve the objectives to be formulated. I am very pleased that there is unanimity in the committee to present a capital announcement. It will be the first real lacmus test for the parties, because then you have to be concrete. Then you have to deliver goods. And then you also have to show the willingness to pay for what it will cost to bet on the capital. The capital in this context is the metropolitan region, the Oslo region, and it is large, it is referred to by other representatives here earlier. Then we will know this big thing about Oslo as the biggest crossroads of the country, both in terms of roads and in terms of public transport, not least in terms of regional public transport. We can say what we want about transport from Eastfold into Oslo, or from Westfold into Oslo, but if we don't solve the central Oslo problem, we won't solve the problems of public transport. We want to know Stortinget's opinion about the Groruddalen, which is a big city in the capital with 130 000 people – to what extent you want to be involved in solving the challenges that exist there, and make Groruddalen the beautiful Groruddalen valley. We want to know something about what the Storting will do with poverty. We want to know what the Storting will do with housing policy in the capital. We want to know what the Storting will do to multicultural Norway. That's a lot of challenges. But let me finally express one opinion: I am amazed – in this important debate – at the total absence of the Oslo press in this Chamber.
ParlaMint-NO_2004-02-10.ana.ud2319e717	When the government made the big city announcement, it was supposed to be a message that wasn't based on meeting all the sectoral goals, but it was supposed to be a general message related to a regional unit and the issue related to geographical areas, where there are many problems within, and one should try to put a new theme on the agenda, namely the question of how we deal with the big cities. That's why it's true that there aren't many individual measures that are detached and included in this message, that we're going to do that and that in the metropolitan area, because we have a number of large-scale messages that are related to the individual measures. Nor was it the purpose of this message that we should do so. We have had our own poverty message for treatment in the Stortinget, the Action Plan against Poverty. We have now delivered a housing message, and I understand that the debate has already started here, but there is ample opportunity to take the debate on instruments, etc. later. We come up with individual parts in terms of integration and a message about multicultural society. But we thought it was a dimension that was about geography, about coordination, and that was about understanding that big cities actually have a bigger premise and a bigger challenge in solving some tasks. I would like to say that I am a little sad about the debate today, because there are very few who have affected this main issue, but many have gone back to the action plan for what we are going to do with the various problems that big cities have, with the exception of, among other things. Karin Andersen, who included parts of this in his post, and several representatives from the government parties, who touched on some of this, and who may have understood some of the main point of delivering a big city message. And then you might disagree with what to place where, but they've given the acceptance that it's actually a dimension to discuss how much we're going to have of detailed control and discussion towards the big cities, and how much we're going to leave to them. When we started this work, we did it with the big cities. Many of the themes in the communication are, in fact, the big cities themselves that have put on the agenda. The regional development theme came up after a definition by major cities of the importance of regional development and their ability to participate in growth, perhaps in response to the fact that we should not just focus on the social challenges but focus on other things. The second theme that is clearly on the agenda of the big cities themselves is the lack of coordination between the state and the big cities. I am therefore very surprised at the angle and attitude the Progress Party has shown in this Chamber to what we are trying to do in terms of a coordination function. The main thing is to coordinate the state so that the big cities do not feel that they are sitting between many different levels and have to sort, and can actually experience completely contradictory demands that are facing the same area. It's not because we're going to have more government control, but it's to give big cities a bigger opportunity to find a solution where the state coordinates. One of our main problems is that countless law houses are adopted in this room. There are a lot of proposals from the Government, but many are also put forward here, which provide legal and regulatory frameworks that are managed by a bureaucracy and where the coordination function in the state is too poor, and the sum of these is that seeing one sector separately becomes unmanageable for those who are going to implement it. I therefore want to take a total distance from that image Per Sandberg has drawn from what the ambitions are for this. On the other hand, this is a desire from the big cities, their ambitions for it, and then you could say that it's going to be difficult to implement it. It's a form of mediation role and sorting role. And so it is that when it says the Ministry of Local and Regional Affairs, it is always the Minister of the Ministry of Local and Regional Affairs who has authority, so it is not the bureaucracy, but it is the politicians and the government who have to enforce it and finally coordinate it. It's just to strengthen the big cities and to make it easier. We have seen it in major urban development projects, we have seen it in other types of regional and development projects that the municipalities have had, that it has been difficult to achieve that coordination. So to the second question that we've raised, the question of problem differentiation. If nothing happens to Norwegian municipal structure, the ability to do something about social problems and create a good coherent strategy in cities will be worse if we don't also look at this with more problem differentiation and that you get more room for it. I am pleased that we have received feedback on this. It's not necessarily to move the tasks just from the county councils, but sometimes we have to see the relationship between drugs, child protection and the entire course of the institutions, and it should be a point that we could see this more clearly in the context. I think we're a step on the way with this message. But I'm a little sad that especially the country's largest party, the Workers' Party, has not managed to get out of the debate on the piece of action and look at this overall, and that they do not trust that the big city politicians themselves can actually develop their own cities.
