ParlaMint-NO_2004-04-02.ana.ud1842e51	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2004-04-02.ana.ud1842e462	It is a great pleasure for me to present to the Committee on Energy and the Environment its position on the development and operation of the Worm Lange. I would like to congratulate all those who, through targeted work, have laid the groundwork for the Storting to make today a decision that will enter as an important milestone in Norwegian oil and gas history. With investments totalling approximately SEK 66 billion in the gas field, the land plant and the pipeline Langeled, the Worm Lange field can be put into operation and the gas first ashore at Nyhamna in the municipality of Aukra in 2007. It is planned to do well for this project to provide approximately 60000 annual works during the construction period and 100 annual works during the operational phase. The Worm Lange is the second largest identified Norwegian gas field and the first deep water project on the Norwegian base. The project has been complicated by heavy installations to be placed on uneven seabeds of 800 to 1,100 metres depth. The development will help to further develop Norwegian competence and maintain the level of investment in Norwegian pedestal up to the start of production in 2007. Local and regional enterprises must be able to count on becoming important suppliers of the project. In the first round, 14 different options for the landing of the gas were assessed. The justice agencies in Worm Lange said that with Nyhamna as the best option on land based on a comprehensive assessment of economics, land use, the environment and security, fisheries considerations and societal impacts. This means that the alternatives to the Nyhamna landing site would either have a pure offshore solution or a zero solution. It is envisaged that the landing facility at Nyhamna will be used by several other fields in the future and the operation at the site can thus extend beyond the period of operation of the Worm Lange. The majority of the committee, all the non-participating members of the Socialist Left Party, have four important comments on the future use of gas in the municipality and in the region. 1st@item: inlistbox The builder shall bear the costs of facilitating the landing facility in order to deliver gas in the low-pressure pipe that is the responsibility of the local authority to install.2. It is stated that the builder will also take the costs of facilitating the delivery of high-pressure gas to the region from the land site.3. After the majority in the Committee's assessment, the project should also take the costs of completing the land system in order to be able to supply gas on a regional high-pressure network.4. The majority of the Committee expects that the gas prices of Nyhamna will be visible as transport costs are lower than those of distribution to the continent. Using natural resources for the creation of wealth has long traditions in Augera. For the emerging working people of the North-West, fishing and fishing have been an important resource and food supply. Following the decision in the United Kingdom today, the people of the North-West will be provided with new natural resources in the form of gas that can provide support and wake-up to new value creation. The rest of the qualifier station in Nyhamna is a cultural memory that tells of an important part of local and national history. The builder has taken advantage of a good environmental profile, and I am sure that developers will rehabilitate and take care of both important landscape elements such as the shores of Gildensensand and cultural memories linked to the qualications. The landing facility at Nyhamna will have five about 4,500 decks including the safe zone. It is easy to understand that it can be felt for those who have to leave the houses and their property because of the expansion. Despite the major interventions that need to be done in the small area, it is impressive that all the replacement issues are arranged through memorable agreements without the use of expropriation. The development of the gas field, land installation and pipelines and increased transport both during the construction and operation phases will impose high environmental and safety requirements. The developer has presented a clear environmental profile for the project, and I hope that this large project can be implemented for good and good without accident. As I take up the Committee's position, I would like to thank the members of the Committee for their constructive cooperation in order to complete the voting process within the limits of time.
ParlaMint-NO_2004-04-02.ana.ud1842e508	It is a major and important industrial policy issue we are dealing with here today. It is important for Norway as a gas nation. It's a new technological crime. It is also important for the supplier industry, which has been struggling with headwinds for a long time. In the last year, offshore industries have lost about 5,000 jobs. This is an industry where Norwegian suppliers are among the world’s leaders in some areas. We cannot allow this competence to be confused. On the contrary, we have to build on what we have and give it development opportunities. That is precisely why the Worm Lange is also an exciting and innovative project. Water depth and complexity make this a technological challenge. The builders say this is the deepest and most demanding extension on the Norwegian base. Longitude becomes the world's longest underwater pipeline. The solutions chosen provide for the development of new technologies that can benefit from future deployments. In 1966 – otherwise the year I was born – the first exploration well was drilled on Norwegian continental shelf. Very much has happened on the technological front since then. Not least for eco-innovation. The strong focus on the environmental impacts of Norwegian oil and gas production has undoubtedly contributed to the fact that we have a petroleum sector that is in the forefront in this area. Both the demands of the authorities and the efforts of industry themselves have played a crucial role here. We have to build on this. For the Workers' Party, it has always been important to ensure that the gas from the Worm Lange came to land. That is why we clarified our view of this matter a year and a half ago. The advantages of a land solution in relation to an offshore solution, including: in the case of health, environment and safety, is evident. However, it is also important that the landing of gas provides far greater opportunities for jobs and development of competences locally, not least in terms of using domestic gas. Local and regional enterprises, such as: Hustadmarmor, has signaled that they want to use the gas to further develop their business. Increased municipalities are already in the process of laying gas pipes. The working party welcomes the fact that licence holders have also been interested in facilitating the local use of the gas. We still thought it was necessary to go a little further than what was contained in the plans of the developers and in the proposals of the Government. We are therefore very pleased that there has now been such broad support for our proposal that the project also has to take the cost of completing the system inside the land plant in order to deliver gas onto a regional high-pressure network. This means a cost of 25 million. kr, and may appear to be a trifle in an expansion project of NOK 66 billion. But with regard to the possibilities of getting a local and regional use of the gas, I think this can be of great importance. The Working Party, together with a broad majority of the Committee, is committed to the development and operation of the Worm Lange and Langeled. It is an exciting project that we will follow with great interest in the years to come. We want the participants in the license to be happy. Of course, it will be especially eventful for Nyhamna and the Aukra municipality. I would also like to congratulate local politicians and business in the municipality and region, and I feel confident that they will do everything they can to take advantage of the opportunities offered by this expansion.
ParlaMint-NO_2004-04-02.ana.ud1842e534	This is a good day for Hydro and the licensees, it's a good day for Aukra and More and Romesdal, and it's a good day for Norway. The expansion of the Worm Lange, the second largest gas discovery off our coast, is a gigantic project with an investment of approx. 46.5 billion kroner on the gas field and the land site and well 19 billion kroner on the pipeline Langeled. Development will be a major technological challenge. This will provide exciting work for many people in the construction phase and provide a solid economic boost for the region in a longer perspective. Furthermore, the pipeline to the United Kingdom will strengthen Norway as one of the main suppliers of gas to Europe. All analyses show that the United Kingdom will have to meet a large proportion of its energy needs for gas imports. With Langeled, the export capacity from Norway to the United Kingdom is increasing from 35 million. Sm3 today to 105 Sm3, i.e. a triple. The Worm Lange project is particularly important because the Worm Lange is the latest major finding on the Norwegian base. In order to ensure the long-term development path outlined earlier in notifications of the petroleum activity, it is absolutely necessary for the supplier industry to start such a large and demanding project. There have been objections to proceedings and progress in this case, and of course the location has been discussed. It is always important that the Committee has the opportunity to deal with the facts of the case. I believe that the Committee has had a good opportunity to do so. The documentation and proposal from the Ministry have been transparent and good, and the Council of State has responded to the Committee's questions. The landing question has, of course, been central. As is natural, some municipalities and counties will be very disappointed when the elections are published. In my opinion, it is neither reasonable nor appropriate for the Storting to oversee the builder and the department’s assessment of the best processing method and the best landing site. I think the decision to land the gas to Nyhamna is good, both because of technical issues and bottom conditions in the area in connection with pipelines and because the economic calculations show that this option provides the highest present value of the investment. It is a pleasure that the gas is taken ashore. All parties behind the majority voting agree. It provides greater opportunities for the innovation and development of industrial processes with gas as an important raw material or energy source. Gas prices supplied to Norwegian users can often be a limiting factor in such developments. Reduced transport cost of gas put into service near the landing site could give a competitive price. There will always be some negative consequences of such a large-scale development plan. It is therefore particularly gratifying that developers and licensees have negotiated solutions to such issues with local populations and political bodies. This gives a much better construction period, in harmony with society around it. The Committee has addressed the environmental issues arising from the development process. Emergency plans and environmental measures are outlined by the builder and there is very limited risk of emissions. The Committee also points to the importance of action plans in order to ensure that accidents occur due to the increase in ship traffic associated with the development. Petoro is intended to play a significant role in the development and operation of the Worm Lange field. It makes it necessary for the Storting to authorise Petoro to assume obligations to cover its share of the design and investment costs. I started my article by stating that this is a happy day. The investment in Worm Lange will ensure significant commissions to the competitive Norwegian industry and provide many job opportunities for people in the region. It will create optimism and commitment in the area. This may be the most important thing in the longer term. It will be very happy if we can see good ideas and projects based on the use of gas being realized in this area. It will strengthen our entire industrial environment if we can thus get new stimulation and new growth based on this interesting commodity.
ParlaMint-NO_2004-04-02.ana.ud1842e555	The decision that we are going to make today opens up the expansion and operation of the Worm Lange, which is the second largest detected gas field on our continental shelf, and that is the first project on such deep water. This is a complex and very challenging project, which imposes great demands on the builder both technologically and otherwise. A total of NOK 66 billion will be invested in this project. This amount also includes costs of the Langeled pipeline, which takes about 1/3 of these investment costs. This entire comprehensive project seems to be economically viable and robust. With such extensive investment, however, I assume that one keeps an eye on the development of costs by the Government and keeps the Storting constantly informed about any deviations from the investment calculations. The rightholders selected as landing site after a comprehensive process by Nyhamna. It was initially very uncertain whether it was going to land at all. I am therefore pleased that the Stortinget today sets out the plans for landing and processing at Nyhamna. The rightholders went through a comprehensive process before they chose this, as I said, and it was initially 14 places that were assessed. Finally, following an overall assessment of the economy, land seizures due to land terminal, environment and safety, fisheries considerations and, last but not least, societal impacts, Nyhamna was selected. But this choice was also controversial. Among others, NOPEF entered the track and protested that no alternative landing sites were identified. This led the undersigned to address this issue in the Questionnaire on 13 November 2002. However, I have come to understand that both NOPEF/LO and others now agree that the landing site will be Nyhamna. I am pleased that Hydro has been positive about the use of gas both locally and regionally, and the Committee was presented with some very interesting plans for gas use when we were on an inspection last week. I am also pleased that a unanimous committee has further raised the level of ambition and added 25 million. extra to complete the gas supply system for a regional high-pressure network. However, there is one thing that gives cause for concern, and that is the power supply to this plant. This shall be covered on a planned basis with electricity from the regular supply system. We know that it per. Today there is a lack of power in the region, and Statnett is therefore planning new power lines for Nyhamna, which also entails billions of costs. This project will also further weaken it as a result of a serious imbalance between supply and demand in the Norwegian and Nordic power markets. Electrification of the plant, as it is so beautiful, means that the energy contained in the system cannot be used. We have to get power from the outside. The problem is that there is no surplus power in the Norwegian and Nordic systems. This means, in reality, that these quantities of power have to be taken largely from polluting coal or nuclear power stations – all of this in order to be so-called environmentally friendly. You have to be in Norway to think of something like that. Unfortunately, in this country it is not politically correct to use the huge gas resources we have for power generation. While in the rest of Europe and to a large extent in many parts of the world, gas use is a good environmental policy, it is only regarded in Norway as pollution. In my view, a gas power plant, or maybe two, needs to be put in place in the region as soon as possible, so that we can achieve the necessary effect and improve the balance of the power market. Unfortunately, this seems difficult, as the Government has brought both the Socialist Left Party and the Workers' Party to its climate goals. I believe it is incredible that Europe's greatest power of energy is capable of rotating it in such a way. The government has no energy policy, and unfortunately there is no majority in the opposition to do anything about this precarious force balance. But this is going to be enough about the power balance. The Worm Lange project and Langeled seem to me to be an exciting new gas adventure. There is an increasing need for gas in the UK market, which also includes and ensures profitability in the project. I just want to end by congratulating the rightholders with Hydro in the head, the Aukra municipality and the Moor and the Romsdal county with the day!
ParlaMint-NO_2004-04-02.ana.ud1842e581	I'm taking up SV's proposal to postpone the case to get more options to choose from on the table. Let me start with the case spokesman and say that I think the case spokesperson has done a good job within the scarce timeframes that one has now decided. I had hoped that the Storting had had a little more spine than one has shown in this matter, in relation to the pace and exercise of democracy. Let me also say that it's clear that when it's $66 billion, of course it will accumulate a lot of jobs and some technology developments and have many positive elements with it, as well as the negative elements that you see when it comes to natural interference, increasing greenhouse gas emissions, which we've read about today, etc. But the most important point for me in this debate is that one has only one alternative. Nobody else can choose anything else. It's impossible. According to the case paper, it doesn't mean that much, because this option is both "robust" and the best. Well, that's the only thing that's gone into and out, that's the only thing the size can choose. The Tent Credit cannot be selected if you found out that the Tent Goods were better industrially, as NOPEF has claimed and worked to achieve. You don't know, because it's not provided. Nor can one know if it is such that an offshore solution would have been better, have given better technology development, have created new export products related to precisely deep water and offshore solutions, to solutions that might have been better for the environment offshore. You don't know it, because you can't choose it. So even if Hydro's been working on this for a while, it was taken away, and now the whole thing has to say yes to an alternative and has no other possibilities. I am not able to answer all the questions I ask, please refer to the other options. The case paper is very inexhaustible on why things have been selected away, but it is clear that there is one option that the Storting must choose. Nor will I be able to answer the question of how much the Norwegian people are going to pay for the infrastructure investments that are now being made in the area. One knows what part of them will be, but the Council of State itself writes that ‘any installation contribution for other parts of the investment related to the Worm Lange’ is to be dealt with by Statnett’s board of directors. This means increasing the cost to the Norwegian people of a project that should be covered by the builders. So the Norwegian people will get a higher net tariff, probably, through this expansion. We don't know. We should, of course, have had such an overview when we adopt this. Of course, SV is concerned with managing oil and gas resources on a long-term basis, where both the social, environmental and security, the industrial, not least, and technological assessments are taken into account. It is clear that development projects with investments of SEK 66 billion – said in another way, 22 new opera houses in 22 cities in Norway to DKK 3 billion per year. Paragraph – need a clean and democratic treatment. It has not been fixed when no options are available. The size thus appears only to be a sand-inspiring body, when one has only one alternative and not a democratic ability to choose anything other than to say no. The Progress Party, the Centre Party and SV have a common note asking the Government to follow this project carefully with regard to costs. So we didn't get any more of them to follow this very closely. The size is not occupied with it either. Here, Stortinget shows little responsibility, seems SV. Then one might say that there are at least some who are very happy today, and I understand that. Maybe especially the riding, that lives in the vicinity of the Higher. And Prime Minister Bondevik is happy and looks forward to the flame to shine from the Aukra.
ParlaMint-NO_2004-04-02.ana.ud1842e598	The representative Hallgeir H. Langeland has taken up the suggestions he referred to.
ParlaMint-NO_2004-04-02.ana.ud1842e601	Today we are dealing with a major and important matter. The government recommends the Storting to do three things in this case: 1. approve plan for the expansion and operation of the Worm Lange gas field with landing facilities at Nyhamna2. permit plans for the installation and operation of new gas pipelines to England, known as Langeled3. consent for Petoro to participate in the development on behalf of the State; It is also proposed to extend powers to Petoro so that Petoro can participate in the petroleum activity in the same way as other rightholders. The centre party supports this. The treatment has now been speeded up in the last round, but there is no completely new case in itself. With inspections and consultations, the Committee has gained a lot of knowledge about the project. The rapporteur shall be thanked for having set up an accurate process and working to reconcile views. It is also the case that a large majority of the committee is concentrated on the most. The Worm Lange is the second largest identified Norwegian gas field and the first deep water project on the Norwegian base. The reservoir is 2,000 metres below the seabed and at a sea depth of 800–1100 metres. The field is planned to be expanded with underwater installations and pipelines to the landing facility at Nyhamna. The great depth of the sea and the location of the field in a raspium create special technical and safety challenges. So the project is technically demanding and will mean that there is new technology being developed here. In this project, Norway is becoming the world leader in new technologies for the extraction of gas from large seas, and we just want to be at the forefront in such areas. There is also one reason why it is necessary for the Government to follow closely the investments in the project and in dialogue with the operator to keep Stortinget informed about cost developments. After all, we're talking about $66 billion. The environmental component is always up-to-date on this kind of issue. Impact studies have shown that emissions to water and air are limited. The CO2 emissions during the exploitation phase will be approximately: 0,1 pst. of Norway’s total CO2 emissions. Here, only CO2 emissions are involved in processing, and actually small emissions. The installation shall be located on the island of Gossen. About 10 pst. the area is purchased by the builder. It causes valuable open-air and natural areas to be lost. This is also an important environmental aspect. 18 people have had to move from their home. That's of course of the heavy stuff. Fortunately, the owners of the house have been paid well for both the house and the land. I am tempted to quote from a note entitled 'The Orm of More'. It's from More and Romesdal County. The following is below a national government point: ‘The value of gas reserves in the Norwegian Sea is several thousand billion kroner. At the same time, gas resources in the Norwegian Sea will last for at least 100 years. It is therefore important that the management of gas resources in the Norwegian Sea facilitates the fulfilment of our oil policy. The Norwegian authorities, inter alia, through the repeal of the GFU, have provided for the EU and deprived themselves of important management tools for the fulfilment of the petroleum policy. A expansion solution with the landing of the Worm Lange to Aukra in More and Romesdal may satisfy all the aspects of adopted Norwegian petroleum policy.» There's a lot of stuff here. The main thing for all of us who are positive about taking the gas ashore is that we're going to use a part of that sea, and that it's going to provide valuable jobs. Norway is a multi-sectoral commodity supplier. That's the way it is with gas. We're using minimal sea ice. Now we get the opportunity to take advantage of it for activity and jobs. During the construction period there will be a very large number of jobs and there will be valuable assignments for Norwegian enterprises. Fortunately, I have been able to assure myself that the country is also involved in getting a job. But it is also true that the operation of the Worm Lange will require 100 years' work, of which 70–75 will be located in the site. In addition, local business and industry show great interest in exploiting gas resources. Here we can mention Hustadmarmor and Tine. Here, different activities will develop in the future, so that the landing site actually becomes a gas node. It must be a priority that we take the gas ashore. It is therefore important that the completion of the supply of gas on a regional high-pressure network is included in the project. It's also a wish from a collective committee. Twenty-five million. kr is small in this context, but it will be of great importance for domestic value creation. Then I just want to join those who want to be happy with the project.
ParlaMint-NO_2004-04-02.ana.ud1842e644	The government is taking St.prp. No 41 in for the expansion of the Worm Lange and Langeled. The field is expanded with an underwater solution where gas and condensate are transported in pipelines to a new land site at Nyhamna in More and Romesdal. The government goes on to lay the pipeline Langeled, which will transport the gas from the Worm Lange to the United Kingdom. The Committee has done a good and thorough job in this important matter. Of course, I am very pleased with the support given by a solid majority of the Committee on Energy and the Environment in the vote on the Government's proposals for the expansion of the Worm Lange and Langeled. I have noted the leadership of the Committee in terms of implementation. I am in favour of these proposals and will follow up this in the best way possible. The Worm Lange, as several speakers have said, is the second largest gas field on Norwegian pedestal and the last large discovered found on Norwegian pedestal so far. The expansion of the field and Langeled leads to total investment of approximately NOK 66 billion. The expansion of Worm Lange will be the largest oil and gas project in Norway in the years to come. The Worm Lange will be of central importance for the development of the Norwegian gas business. The expansion of the field will help Norwegian gas exports increase by more than 20 billion Sm3 per year. to a possible level of more than 110 billion Sm3 per year. years during this decade. This will lead to Norway strengthening its position as one of the main suppliers of gas to Europe. The development of the land, land installations and pipelines will have considerable employment effects and will help to maintain the level of activity on the Norwegian base. Overall, Hydro estimates the national employment performance of nearly 60000 yearly works. At the regional level in central Norway, the construction of the land and offshore installations of the Worm Lange is expected to give an estimated employment effect of about 10 %. 7 000 annual works. Most of this is due to the construction of the land site. The Worm Lange is a comprehensive project with significant challenges, particularly related to water immersion and laying up pipelines from the Storegga script. The field is 1000 metres deep, more than twice as much as other developed fields on the Norwegian base. Development is the deepest and one of the most demanding in Norway. It shows how important it is to bet on technological competence in order to realise the high values that exist on the Norwegian base. The choice of Nyhamna as a landing solution for the Worm Lange is the result of a thorough assessment of alternative locations, including the Tent Credit. The choice was made after a thorough evaluation of, inter alia, economic, environmental, safety, fisheries and social impacts. The landing solution at Nyhamna was also assessed against an expansion solution where the gas was treated on a platform and exported in pipes. It was gratifying when the licence in 2002 found that landing and construction of a farm is the best overall development solution. Some people are disappointed in this choice of places. I have been concerned that the process around location selection and the choice of development solution should be open and tidy. That's what we've done. I am very pleased with the result. This is a major day for Norwegian petroleum activities and for important coastal workplaces, not least in More and Romesdal. I also congratulate Mr Aukra Municipality on the head of the rapporteur, Mr Mork, whom I see sitting in the diplomatic booth, with a great and important decision in the Grand Duchy today. The Nyhamna landing facility will be able to be used by other fields in the future. It's in the proposition that it's arranged to ensure this. The landing solution provides new opportunities to use the gas in More and Romesdal and contributes to industrial development based on gas. I am pleased that the developer will make investments in the plant that facilitate access to gas for local use as well as for future regional gas supplies. This is important in relation to our ambitions to obtain local gas use and industrial development based on Norwegian gas resources. The development takes place using the best available technology. Attention has been paid to the fact that the operation of fields and land installations will not contribute to environmentally harmful emissions. The projects have been impact assessed under the Petroleum Act and the Planning and Building Act. The studies also show that projects are within an environmentally acceptable framework. It is a reworked project that is being submitted to the Stortinget for decision today. I am pleased with the broad support for this important development on Norwegian pedestal.
ParlaMint-NO_2004-04-02.ana.ud1842e670	It's going to be line change.
ParlaMint-NO_2004-04-02.ana.ud1842e673	Like the Council of State, I am very pleased that there is such broad consensus in this matter, and I am pleased that this is now becoming a reality. I am also pleased with the signals that the Council of State here gives that he is in favour of what the Committee says about adding up to even more local and regional use of the gas. My question is, in fact, how will the Council of States follow up what the Committee says, among other things. that the project must take the cost of the 25 million. kr necessary to complete the system inside the land installation in order to deliver the gas to the high-pressure network, so that Hustadmarmor and other enterprises may have enjoyed it. I am pleased that the licensees have also been interested in facilitating local and regional use of the gas, and in view of that, I assume that this is a narrow matter and that it is in order. If the Council of State can confirm that, we'll be even happier.
ParlaMint-NO_2004-04-02.ana.ud1842e680	Then the State Council will have Einar Steensnæs the opportunity to spread a little joy here!
ParlaMint-NO_2004-04-02.ana.ud1842e683	In good tradition with what I can do in Stortinget, I'll try to follow up today too, and spread joy just before the Stortinget takes the Easter break. What Sylvia Brustad here brings up, I think is very important. I think it is worthwhile that the Committee has focused so much attention on just exploiting the gas for local business and value creation. I will, of course, take with me the clear request of the Committee to the licensees to include a possible high-pressure connection that can supply key companies in the area of required gas. It'll be very interesting to try and get this done, and I'll do my best to pass on the wishes of Storting. I stand behind this wish and hope that it can be realized.
ParlaMint-NO_2004-04-02.ana.ud1842e690	The government's total lack of energy policy has also come up to the surface in this matter. Despite the enormous amount of energy to go through the Worm Lange plant, we need to pull power from the outside and invest billions in new power lines to get polluting coal and nuclear power, as we have a political deficit in the Norwegian and Nordic power systems. I actually thought that the Council of State and the Government had now seen the light, literally, and arranged for increased power generation to solve both power and power balance. During the treatment of the Snow White case a few years ago, the Government actually admitted that there was no power in the market and therefore opened up to power generation. I would therefore like to ask the Council of State: why does the Government not also open up power generation based on the Worm Lange gas, so that one becomes self-sufficient in electricity in the region and does not allow to pick up the polluting power from the outside?
ParlaMint-NO_2004-04-02.ana.ud1842e697	We can't just have fun in Stortinget today and celebrate. Of course, we have to cost ourselves some rhetorical points. But I honestly think that the representative, Mr Vaksdal, who is involved in the power supply, like the Minister of Energy, could reserve the line to what this matter is about. The builder has not proposed such a solution as the representative Vaksdal here suggests. With regard to security of energy supply, Stortinget is given ample opportunity to come back to it. This is when the size is to deal with the security of supply notification. Gas power plants with CO2 management will play a very important and central role. I again take the opportunity to congratulate Mr. Møre and Mr. Romsdal, the Municipality of Aukra and all those who are dedicated to using more gas in Norway for value creation, employment and future jobs.
ParlaMint-NO_2004-04-02.ana.ud1842e706	In its main article, SV addressed problem settings related to the principle that Stortinget has no choice. There is no choice but to say yes or no. I wondered if the Council of State could, on a principle basis, say something about what he thought democracy was going to be seen in such a situation that one really has only one choice, and could not choose, for example. a well-developed offshore solution, which some of us believed was a better, more environmentally friendly and more forward-looking solution. I would like to have some idea of that. So I would also like to see some point of view about this with licensees and the relationship with the state and the Norwegian people, that is, that one actually doesn't know what the infrastructure costs, for example. connect to Statnett, being. Is it so to understand that the Norwegian people are now going to get an account of the investments to be made in the area?
ParlaMint-NO_2004-04-02.ana.ud1842e713	There has been no practice for alternative solutions in the field development. Pipelines or landing facilities are submitted to Stortinget. If the Storting were to be presented with different alternatives, it would involve quite considerable costs and also be quite demanding technical, in detailing such alternative development solutions. It would also give a whole new division of responsibilities and roles between Stortinget and the commercial operators, with the responsibility it entails, which I actually allow myself to doubt that SV has thought completely through. The NIBR assessment, to which SV refers, states that there is only one alternative that has been explained. The government has decided to join Hydro’s comment, on the basis that other rightholders also considered that other landing options were no longer relevant. There has been a thorough presentation of different alternatives. Four places eventually joined in the riot, of which also the Tent Goods. I can't see that this has been treated in any way in such a way that criticism of that process can be raised.
ParlaMint-NO_2004-04-02.ana.ud1842e720	The government considers the Worm Lange to be a profitable and robust project, and that is certainly correct. It's a big project, it's special, because it's the first field on such a large ocean depth, and it's being talked about here that new, world-leading technology is being developed to complete the expansion – very interesting. There are many special challenges, such as: racial areas and special considerations must be taken into account so as not to conflict between fish irradiation and gas pipes, etc. There are a lot of complication factors at all. After all, we have different experiences with overruns of budgets, so my question to the Council of State is – a little cautious, as it is the last day before Easter: How will the Council of State ensure itself against large exceedances in this project?
ParlaMint-NO_2004-04-02.ana.ud1842e725	It is obvious that it is very important to control the cost development of such projects. I judge this project to be very robust financially. It does not mean, however, that one can give the cost part less attention. It is very important that you have costs under control, and of course the authorities also have their role to play. In other projects, the cost has been so critical in terms of profitability that it has also given the Storting a concern as to whether the project is actually profitable. Such uncertainty is not linked to that landlocked facility. But I can promise Stortinget and the representative, Enger, that we will follow it very carefully in this case. And if there is any reason to report to Stortinget about irregularities in cost development, the Stortinget will of course be informed in the usual way. Today, however, there is no reason to assume that these costs are not fully controlled and that the project will be completed in a clean and predictable manner.
ParlaMint-NO_2004-04-02.ana.ud1842e733	I understand that the government at any time seems to think that its own policy is excellent, and that the opposition party does not have the same good policy. It must be entitled to do so. But actually, it's also the way SV and the Government have multiples in a lot of things, including. climate policy and land gas for use in Norway. So here we sometimes find some of the matches as well. But the reason why I take the floor is that the Council of State did not answer my question about what the bill is for the Norwegian people, because there are some bills that we cannot read into the file, for which it has not been done well, and which, on the contrary, are to be decided after the decision has been taken here. The question is, what will the Norwegian people's bill for this expansion finally be?
ParlaMint-NO_2004-04-02.ana.ud1842e740	Let me first of all assure both Hallgeir H. Langeland and – if Øyvind Waksdal were to be in doubt – the Progress Party that I naturally respect the political opinions of the Stortinget other than those of the Government and I. Of course, this is a cause for political debate and disagreement. I have the greatest respect for that, just to emphasize it. The reason I did not answer Langeland's questions in the first place was that he asked two very comprehensive questions. I thought it was important to explain one thing. Now he gives me the opportunity to talk about the other. I would first of all refer to the comprehensive letter dated 25 March that went to the committee, where one just explained the circumstances of Langeland here and where one, among other things. also indicates that one must have an extension of the power line from Istad to the muff station at Hamneset, a sea cable to Nyhamna and a new transformer station at Nyhamna. This will cost something less than 600 million. kr. Some of the gain in the network that one of them adds up to will also benefit the common users. Therefore, Statnett wants to go in and see how much user funding from the project is currently available and how much needs to be put on the network charge.
ParlaMint-NO_2004-04-02.ana.ud1842e747	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-04-02.ana.ud1842e752	It's rarely experienced the kind of debates that Stortinget has had in the hall today. But then it is also a very big industrial policy day, of course for the entire Mora and Romesdal counties and for the Romesdal region, but also for the Aukra Commune in particular. The size is currently taking a forward-looking decision that will provide optimism and necessary jobs. For the Møre and Romesdal industrial community, this will have great positive consequences for many years to come. What we have seen today about SV's demonstrative behaviour clearly demonstrates their resistance to sensible solutions for the benefit of jobs and the environment. But with this exception, it is gratifying that the committee is so united. I am pleased that the Storting has set a point for unnecessary new investigations, which would only have contributed to negative focus and uncertainty in the communities. The size is currently taking a decision to speed up the necessary use of Norwegian gas resources. The dimensions of the Stortinget decision today are formidable. I trust Hydro will handle this in the best possible way. And as the rapporteur said in his statement, the entire 60,000 annual works will be in the development phase. But the most important thing is what happens after the deployment phase. Then we have to be able to make the most of the domestic gas and create new jobs — and use the gas in an environmentally friendly way. I would like to refer to Mr Brustad's comments on the importance of the majority now supporting the Workers' Party's proposal for a forward-looking gas solution for Hustadmarmor. Local communities and businesses are ready to contribute. Now let's apply the forces to get an environmentally friendly alternative to polluting coal power, which is what this gas actually is. My party, in More and Romesdal, hopes that the decision taken today by the Stortinget will put pressure on the construction of more gas power stations in our state. This will be a forward-looking and environmentally friendly decision, and I hope that we can get ahead of the plans that exist.
ParlaMint-NO_2004-04-02.ana.ud1842e769	I get hope the voice keeps like that. At least it's okay to lose it in such a context; in such an important context, you can sacrifice it. This is a great day for More and Romesdal. It's also a big day for Hydro, which is expanding here. In addition, of course, it is a very big day both for Aukra and for the neighbouring municipalities of Fräna and Molde. But it's actually also a big and important day for the nation of Norway. We're talking about a big expansion. We're talking about an investment of NOK 66 billion. It has an impact on business throughout Norway, not just in More and Romesdal. We have deliveries from companies throughout the country and also from abroad. But I think what we're going to have to put a lot of emphasis on when we do such a big expansion as this is to think about what spin off effect we're going to get out of that plant and the landing we're now getting. It is important to facilitate industrial development in this area now. It is important that we also ensure that perhaps part of this gas goes to a gas power plant in the future. And it's unfortunate that you almost see allergic reactions from the government party's representative here now, the government council, just mentioning the word gas power plant. Of course he gets it, because the conscience he has in that context, it's not exactly good. You can see that from the Council of State. It is a fact that the region up there has a great undercover in terms of force. We saw that last year. When we had problems in the power industry, this was actually one of the regions that had a great imbalance. But it obviously doesn't take this government inwards. I hope that we can now get to, among other things. Hustadmarmor gets high pressure gas for its production. I hope we get a great industrial development in the area. I hope we get a great and good growth in this county and in the whole industry in this area. Then it was the representative of Langeland who was involved in a clean and democratic process and questioned it. One cannot be directly surprised that SV, with its complete lack of energy policy, is in favour of postponing and postponing. This is the second time they're trying to postpone the matter only today, and it's alarming in itself. Then it was also shown where both the Reiten and the Prime Minister came from. Then it might end with the following words: When it rains on the priest, it drips on the clock. I think the whole district and the country are enjoying this expansion.
