ParlaMint-NO_2004-04-28.ana.ud2420e28	The representative of Åsa Elvik will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e452	I have a question for the Minister of Finance about taxes. Ideally, the Minister of Finance wants to talk about tax relief, and that's what I'm going to address. The government will give NOK 15 billion in tax bills on employee income, NOK 11 billion to men and a total of DKK 4 billion to women. It's the government's own number. The government's own figures say there are 300,000 men who get over NOK 10,000 in tax bills, and 60,000 women. Economic equality between women and men in Norway is progressing, but it is progressing at snail speed. What the government is now proposing is a stopover and a trousers backwards. The difference in net wages and salaries for women and men increases by NOK 4000 on the basis of the proposal, if adopted. It's a huge amount compared to what's been won in recent years. The question is then: why does the Government intend to use the tax reform to increase the differences between women and men?
ParlaMint-NO_2004-04-28.ana.ud2420e461	The issue is relatively insane in the sense that in Norway we have income-related taxes, not gender-related taxes. Everyone looks at the usual income tables that there is a difference in income for men and women. There is a difference in the work through the life cycle of men and women, and in all transfers we have above the state budget, there is a difference between men and women in the sense that some transfers, for example, are made. goes mainly to male professionals. But I've never heard the representative Lund analyse the agricultural transfers from the angle that most people go to men. I keep that with the representative, because it would have been a completely crazy analysis of business transfers. You could, for example: analysed the wealth tax and found that it was distributed exactly equally between men and women, as it is distributed in this way. But it does not say anything about equality that on paper it is equal to the taxation of men and women through the taxes on wealth. So I'm actually going to recommend a slightly different approach to a tax relief analysis or tax increases. It makes little sense to analyse it just from a gender perspective.
ParlaMint-NO_2004-04-28.ana.ud2420e468	This isn't crazy. That's the government's facts I'm talking about. I find it a little strange that the Council of State does not stand up with a little more pride in the effects of its proposals. Why doesn't he say that so many billions will you rich men get, and yet there will be some crumbs left for those who earn 250,000 kroner or 150,000 kroner, just as the Right has promised? He could also say that we think it is OK that women lag behind through this reform. It's all right for us when we achieve the other thing we want. It has been said from the Government that the dividend tax, the property tax and the benefit tax on dwellings will rectify this, but in a response to the Stortinget it appears that those with high incomes are also the winners there. Finally, I would like to ask the Council of State: will the Minister of Finance confirm the accuracy of the Ministry of Finance's figures, dated 20 April of this year, which shows that reduced taxes on wealth, reduced taxes on housing and dividends also provide the most tax relief for those with high incomes?
ParlaMint-NO_2004-04-28.ana.ud2420e477	I can generally confirm that those who pay the most tax will also receive the largest share of tax relief, with some exceptions. Some people get tax incentives on dividends, because the dividend tax is expected to get a profit of about NOK 3 billion in total. So someone would have to pay more tax. According to that analysis – without the Central Party having asked for it – there is enough reason to believe that there are men who will also receive tax increases in that area. But there is therefore no more female participation in employment, which is at the root of these distortions, of the elimination of taxes on wealth, of the elimination of taxes on housing, or of the elimination of taxes on wealth in housing. In the case of property taxes, there is well reason to believe that part of the pensioners who pay property taxes on their dwellings – there is 40 pst. of the total proceeds paid by pensioners – women who have large dwellings or large bank deposits, as such, are taxed quite heavily also through the taxes on wealth. But I believe in a way that the Central Party's traditional approach to nutrition to taxation would have been a more sensible way of analysing the tax system.
ParlaMint-NO_2004-04-28.ana.ud2420e484	There will be two follow-up questions – first Marit Arnstad.
ParlaMint-NO_2004-04-28.ana.ud2420e487	The finance minister says he has answered all the questions, but he does not! He has not answered my previous question about how the government has intended to achieve a settlement in the Storting, and with the tone the council of state takes in the Storting today, it gets left as an open question after this questioning. I note that the Minister of Finance obviously does not see it as a political issue that 1.7 million women receive no greater tax relief than 150 000 men. In fact, a reservation is made by the Ministry of Finance, and that is what I am going to ask the Minister of Finance. State Secretary Børmer said in the daily newspaper yesterday that the figures from the Ministry of Finance must be taken with a reservation regarding the distribution effects, because the Government will come back with the final proposals at a later date. So the question is, does it mean that the government in the autumn will come back with proposals that will reduce the unfortunate distribution effects of these tax proposals so far?
ParlaMint-NO_2004-04-28.ana.ud2420e494	What has been answered is based on the Central Party number. It is the centre party that has asked in the tables to have the effect of different types of tax relief. So that's not the government's number. In the end, the distribution effects will depend on, among other things: enters into session bottom deductions, as notified by the Government. The extent to which deductions can increase is related to both general government budget financing and to the possible amount of deductions. That's why it's completely correct when you don't know the final distribution tables. Otherwise, I have answered the question of settlement, for example. count a number of good old central party points in support of the reform that the Government has now presented.
ParlaMint-NO_2004-04-28.ana.ud2420e501	Heidi Grande Røys – for follow-up questions.
ParlaMint-NO_2004-04-28.ana.ud2420e505	Because most taxes are paid by men, tax relief benefits men, said the Minister of Finance instead, and seems to be very happy that it is. Is not the Minister of Finance at all interested in looking at why this is the case? Does not have e.g. related to women being found in low-skilled jobs, to a large extent in part-time settings? Doesn't the Minister of Finance have any ambitions to be able to do anything about it? I would say that the Government has a unique chance in the tax reform now and in the pension reform later this year to actually do something about it – give women incentives to work more, by providing tax relief at the bottom and putting forward a pension reform that does not do 70 pst. of them to the minimum pensioners. This will also lead women to increase their labour supply. Both the Minister of Finance and the Department of Finance are concerned that we need people in work, to keep people in work longer, and it is the women who can provide the nation with that supply of work. But why is the Government so totally uninterested in seeing the reforms in the light of this?
ParlaMint-NO_2004-04-28.ana.ud2420e512	I'm not satisfied with the situation. The search for women and men for different professions is very different. We have professional groups that are too much dominated by men, and we have the opposite, professions dominated by women. There has been a tendency for professions where women are seeking to become low-wage workers. You don't solve this problem through the tax system. A tax system reflects the income conditions of a society. This tax reform has an essential role to play in contributing to growth in the number of jobs, including: by redistributing the dividend tax, removing the property tax and removing the sharing model. It will increase an overall supply of work, and it will make us more like other countries, that is, strengthen us in competition. It is for the benefit of both women and men, but in this context in particular for women.
ParlaMint-NO_2004-04-28.ana.ud2420e517	We're going to go to the next main question, and then we'll see if we get time for more.
ParlaMint-NO_2004-04-28.ana.ud2420e520	Since we have received so few answers, I think we should change the Council of State. I would like to ask the Minister for Fisheries a question. We have registered again that Iceland meets goodwill from the Norwegian side with the threat of entering the protection zone and fishing Norwegian springing herring, which they are not entitled to. I would therefore like to ask the Minister for Fisheries whether Norway has intended to continue to be indebted to Iceland on such questions, especially when the Norwegian herring herring is involved, which is now not in the Icelandic zone, and on which Iceland should not have a quota. They're threatening to get into the protection zone and get ready. Does the Norwegian Government intend to continue to be indebted, or does it intend to stop?
ParlaMint-NO_2004-04-28.ana.ud2420e527	I assume that the reference to replacing the Council of State only concerned the question. With regard to this extremely complex issue, which concerns the management of Norwegian culprit herring and the distribution between the individual parties, we must therefore note that we have not reached a five-party renewal agreement with the direct countries, as we say, partners of herring last year or this year. So this herring is in the Norwegian zone, which says we should have a share of 70 pst. or more. We have a share of 57 pst, based on an agreement that was concluded at the end of the 1990s. There is a significant imbalance that we have tried to improve through negotiations. Last year, we did not reach a five-party agreement with Iceland, but we reached an agreement with the Faroe Islands and the EU that resulted in Norway receiving 61 pst. We must note that this year's negotiations have not led forward. We have not reached a five-party agreement, and we have not reached an agreement with other countries. We have so far limited our fishing to the original five-party agreement, but there are assessments, including in the Government, about the future. One of the elements that has been introduced and to which reference is made is Iceland's behaviour, possibly in the protection zone, and the issues it is raising. I don't think I'm going to go further into speculation about the contacts and the negotiations that need to be carried out. This is a delicate issue in relation to other countries, and it is probably important that we do not have too much discussion of these assessments at this stage. So far, we've been carrying loads and bursts, Norway is going to have a bigger share, and we've challenged Iceland. That's the point we're starting to approach and see the consequences of now.
ParlaMint-NO_2004-04-28.ana.ud2420e538	I understand that this is complicated. The question is whether we should continue to be as yielding as we have been to Iceland. The dirty hole agreement is also essentially only about giving Iceland all the advantages and Norway the backs. There were some people about it, but only the Progress Party voted against that agreement in the Stortinget. The current Foreign Minister, as at the time was a foreign policy spokesman for the Right, agreed with us initially, but he voted in favour of that agreement. My question was whether we intend to continue giving to Iceland what they're threatening to do, instead of sitting down to the negotiating table and getting some of the historical dishes. It's correct, as the council says, that Norway should have 70 pst., maybe 80 pst., of Norwegian springing herring from the behavioral pattern of herring. It is now apparent that Norwegian springing herring is not in the Icelandic zone, and Iceland will then threaten through. My question is, shall we continue to be so yielding, and shall we let ourselves be threatened to give up our right?
ParlaMint-NO_2004-04-28.ana.ud2420e545	The government has not let itself be threatened. That's exactly why we're in the situation that we haven't reached a five-party agreement, either last year or this year, that includes Iceland. That's precisely because we've been on the legitimate requirement. So it's that there's a dialogue going on about this issue right now, and I don't think it's right to go deeper into it than to point out that it's just Norway's position and not commitment that has brought us into the situation that is now, that we haven't got a five-party agreement. Iceland has not been able to press Norway.
ParlaMint-NO_2004-04-28.ana.ud2420e552	There will be two follow-up questions – first Steinar Bastisen.
ParlaMint-NO_2004-04-28.ana.ud2420e555	I have a question for the Minister of Fisheries. Is it the government's goodwill and consideration of the five-party agreement that reduces the Norwegian quota to 57 pst. herring as a Norwegian share? Is that the goodwill, or are you forced to? I am fully aware that the negotiations will not take place in the storeroom, but it is to be expected that the quota that is Norway's share will be set up from 57 pst. Or not?
ParlaMint-NO_2004-04-28.ana.ud2420e562	I am dealing with the agreement that a previous government has negotiated and that resulted in Norway getting 57 pst. by Norwegian springing herring. What we can see is that belonging to the zone means that we should have a much greater share. This government addressed that problem immediately after I became Minister of Fisheries. As I pointed out, by running a hard line just assuming that we have a legitimate claim for a larger share, we did not achieve a renewed five-party agreement. And it's important that we have an international regime, which was agreed upon, because that's the way we can best prevent overfishing. But we have been able to see that Norway's steep line is based on a legal requirement, because zone belonging is a recognised principle in the allocation of fishing resources, not just Norwegian herring. However, Iceland has taken a different position and considers that, in this case, for this species, the relative weight of the zone shall not be assigned to the same weight as for other species.
ParlaMint-NO_2004-04-28.ana.ud2420e567	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2004-04-28.ana.ud2420e571	It was obviously a chess move to change the council. Although it is a difficult topic, it was possible to get answers. I could imagine challenging the Council of States a little bit as to whether it is possible, despite the fact that there are currently negotiations, to say a little about the consequences of possibly not reaching a five-party agreement.
ParlaMint-NO_2004-04-28.ana.ud2420e578	There are two sets of consequences. One is that you can run a race without a five-party agreement, as we've done both last year and so far this year. It could have consequences in terms of the total withdrawal, because you do not have the same international consensus and the ability to respond if any country makes itself right in addition to the five-party agreement. From the Norwegian side, we have said that without a five-party agreement, we have based the distribution that was there, not to signal a free fishing on this species. We've done that bomb before – those who managed the herring – and we've experienced 25-30 years without herring fishing. It's important that we don't make that mistake one more time. The second consequence is, of course, the protection zone and Norwegian jurisdiction there. Here I look at various consequences that at this point I do not find it appropriate to go into detail, and I hope that is respect for that.
ParlaMint-NO_2004-04-28.ana.ud2420e585	Then the time for the oral question procedure is over, and we go over to the ordinary question procedure.
ParlaMint-NO_2004-04-28.ana.ud2420e591	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 5, by Mr Inge Ryan to the Minister for Agriculture, will be answered by the Minister for Justice on behalf of the Minister for Agriculture, who has been removed. Question 6, from the representative Bjørn Jacobsen to the Minister for Agriculture, will be answered by the Minister for Health who directs him. Question 10, from the representative Arne Lyngstad to the Minister for Education and Research, will be answered by the Minister for Fisheries on behalf of the Minister for Education and Research, who has been away. Question 15, from the representative of Mr Rudihagen to the Minister for Transport, must be postponed until the next Question Time, when the Council of State has left. Questions 16 and 17 from the representatives of Bjørgulf Froyn and Per Roar Bredvold, respectively, to the Minister for Transport, will be answered by the Minister for Fisheries on behalf of the Minister for Transport, who has left. Question 18, from the representative of Audun Bjørlo Lysbakken to the Minister for Local and Regional Affairs, will be answered by the Minister for Labour and Administration on behalf of the Minister for Local and Regional Affairs, who has been removed. Question 20, from the representative Heidi Sørensen to the Minister for the Environment, must be postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2004-04-28.ana.ud2420e616	I will ask the Minister for Finance the following questions: «It is possible for companies to establish VAT credit for business at the customs service. The company Moxy Engineering AS has previously applied for VAT credit, but has been refused. The reason is that the Chairman of the Board of Directors is English and lives abroad, and that the Customs Service sets a distinction between the collection of import VAT and the final payment of VAT by the County Tax Manager. Does the Council of State consider that the reasons for the refusal are in line with the use of VAT credit in business?’
ParlaMint-NO_2004-04-28.ana.ud2420e625	As a general rule, VAT is payable on the importation of goods. However, traders may apply for a so-called customs credit — an interest-free credit on the payment of the VAT. The granting of credit depends on a general assessment of the individual applicant’s trust. The most central elements of this assessment are the entity's financial position and its experience in compliance with its contractual and regulatory obligations. I do not know the details of the specific matter, and I have been informed that it has only been dealt with in the external sector. However, on a general basis, it is difficult to see that the nationality and place of residence of the Chairperson could have an impact on the assessment of trust. If the application was rejected for such reasons, I would therefore recommend that the company appeal the decision to the Customs and Fee Directorate. In conclusion, I would like to point out that I have recently taken the initiative of the Customs and Tax Directorate to assess the possibilities to relax the conditions for obtaining customs credit for business importers who have the right to deduct the import VAT in their tax settlement with the County Tax Office. In these cases, there is only a temporary payment of a fee to the Treasury, since the money has to be refunded. In my opinion, it is desirable to ensure that the charging entities are burdened as much as possible with liquidity losses and capital costs during this interim period. It may appear that the current practice of customs credit rules should be changed somewhat in order to achieve these objectives.
ParlaMint-NO_2004-04-28.ana.ud2420e639	I would like to thank the Council of State for the answer. I consider the Minister of Finance to be very positive. The reason for the refusal that has become publicly known from Customs, the external establishment, is that the owner is of foreign origin. And if that's the case, this is quite discriminatory, with the international business we've gradually gotten here in the country. This is a newly established enterprise, with new owners, and it means a lot to this district that you can now get the business back on track. I perceive the Minister of Finance there that now Moxy should appeal to this case, and if it becomes such that it should gradually come to his table, I expect the Council of State to be positive in its treatment of it.
ParlaMint-NO_2004-04-28.ana.ud2420e648	I have nothing to add in relation to my first answer.
ParlaMint-NO_2004-04-28.ana.ud2420e653	The answer is still very positive.
ParlaMint-NO_2004-04-28.ana.ud2420e658	Then we go on in a positive tone.
ParlaMint-NO_2004-04-28.ana.ud2420e664	I have the following questions for the Minister of Finance: ‘As you know, the last deadline for submission of the tax return of the year is 30 April. While the tax authorities around the country have been sent the pre-filled declaration about. 1 month. before the expiry of that period, taxpayers in parts of the East have only been given two weeks to review and, where appropriate, to make additions and corrections before the expiry of that period. Does the Council of State consider this acceptable, or should clear rules or guidelines be laid down as to how long each taxpayer should have in order to review the declaration?’»
ParlaMint-NO_2004-04-28.ana.ud2420e673	It is important that the tax rate ensures that all taxpayers are provided with sufficient time to process their declarations before the surrender deadline. However, the production and dispatch process of the annual self-declaration is extensive and time consuming. The tax revenue is dedicated to providing sufficient response time to the public and the budget will have procedures to ensure that the tax return is taxed at least three weeks before the deadline for submission. I am pleased that the tax rate now introduces a guideline that says that three weeks should be a minimum response time for all taxpayers. In this there is a recognition that it was not satisfactory to send the document so that the response time for a large group of taxpayers was only approx. two weeks. We can assume that this arrangement won't be repeated.
ParlaMint-NO_2004-04-28.ana.ud2420e682	I would like to thank you for the clear answer from the Council of State. Of course, three weeks is enough in most cases, and that's better than not having a clear deadline at all. Now it's like three weeks can be problematic anyway. Last year there were 65,000 who moved internally only in the municipality of Oslo. As a result, one year ago there were 12,000 returns. Some of the announcements came back because the taxpayer had not notified the move, some came back because there was a move just when the tax return was sent. It's as we know it's eight days you're wearing to report moving, from moving. My question to the Council of State is this: does the Council of State think it is right to provide additional taxes automatically when such conditions occur, or should the tax rate be a little liberal in relation to it?
ParlaMint-NO_2004-04-28.ana.ud2420e691	As the representative himself documented in his question, the majority of the cases in which tax returns are due to tax payers themselves, who have not notified the transfer. So in this case, it's a main problem. Where the move has been reported, but it has happened at such a late point that there has not been any progress towards knowledge, I expect the establishment to show sufficient liberality in applying for postponement.
ParlaMint-NO_2004-04-28.ana.ud2420e696	I would like to thank you again for your answer. I have another supplementary question. This is based on the reason that the tax rate gave you no more than two weeks. Information director of the department, Lise Halvorsen, said that they did not want the declaration to be in the mailboxes of people during Easter days, when people were not at home. Then my question is: does the Council of State agree that it would have been unfortunate if the declaration had remained in the mailbox at Easter? My other question is whether the Council of State considers that the declaration contains such sensitive information that this could be a legal certainty risk. If so, does the Council of State wish to act in relation to it?
ParlaMint-NO_2004-04-28.ana.ud2420e705	I have no plans to change the declaration as to which information is to be provided. However, I hope that you will eventually pay less tax, but that is another thing. I guess that's not the sensitive thing. I'm going to register the answer of the tax administration. However, I think maybe they overestimate how many people actually travel away on Easter holidays, to say it like that. With the answer I have now given, I expect that the department has also taken a certain round with itself on this.
ParlaMint-NO_2004-04-28.ana.ud2420e712	Then we should have had question 3 from the representative John I. Alvheim. The President cannot see that neither the questioner nor the Council of State is present. The stork's taking a break. Expressed after a few minutes of stay
ParlaMint-NO_2004-04-28.ana.ud2420e717	And then we're ready to keep going.
ParlaMint-NO_2004-04-28.ana.ud2420e723	My question goes to the Minister of Health: ‘According to a statement in the Evening Post for Sunday 18 April, free hospital choice has led to a patient flow from North Norway. In the same statement in the evening post, the director of the University Hospital in Tromsø says that he believes that some patients use the scheme and use it as a subsidised trip southwards. Is there evidence that patients use free hospital choice in the manner suggested by the hospital director at the University Hospital in Tromsø?’
ParlaMint-NO_2004-04-28.ana.ud2420e732	Let me first say: Free hospital choice is a right that the patient has. The right to vote is free and applies throughout the country. The patient does not need to give any reason why one treatment site is chosen rather than another. However, there is every reason to believe that the right to vote is used when alternative sites are perceived to provide better or faster treatment. In this way, free hospital choice is also a challenge for health businesses. However, I expect them to see this as a positive challenge and as an instrument that will increase the quality of service. Individual healthcare companies must focus on their own service and quality in order to provide patients with an offer that is so good that they do not choose the hospital away. Whether patients have relatives and friends at the place they choose treatment, or they choose to go to the theater, I think that with respect for the individual's freedom, we should stay outside the documentation we have related to free hospital choice. However, I do not believe that you choose to go to a hospital to make use of a cultural offer or visit friends. There is no evidence of abuse of the scheme contrary to its intentions. However, what we know about free hospital choice is that for 2003 it is seen that there is a clearly larger proportion of the population in North Norway who choose treatment southwards than there are people southwards who go northwards. It concerns the management of UNN and Health Nord, because in some treatment areas there is a marginal population base in the north. In some areas, this trend is also seen where supply in the north has short waiting times. For Finnmark residents, the numbers show that the number of people who choose offers outside their own country has increased by more than 50 pst. However, these figures are small, but may give an indication of a development in which there is a need to follow closely — also because an increased patient flow out of the county and out of the country may help to weaken an already marginal operating base. However, this should not be used to undermine patients’ primary rights, including for me. Health Nord is working on these challenges, and the strategy for meeting these challenges is to make its own service more accessible and better quality and to develop a legitimately strong position in its own health region.
ParlaMint-NO_2004-04-28.ana.ud2420e745	I thank the Council of State for the answer, and I am particularly pleased that he underlines this with the patient's right to free hospital choice. I think it's pretty bad when the hospitals in North Norway criticize patients for using free hospital choices, which are both legal and legitimate. Because patients choose treatment at a hospital in South Norway, they are accused of adding up to a combination of treatment and vacation. This, in my view, is simply inconvenient. Health Nord has established very few agreements with private specialists. This could be one of the reasons why you travel south. The fact that travel expenses have now been transferred from the Rikstrøgdeverket to businesses will, of course, burden the budgets of Health Nord – a proposal that the Progress Party voted against. Finally, input-based funding has been reduced from 60 to 40 p.p., which also increases the cost to health businesses. Will the Minister for Health take initiatives towards Health Nord to conclude more agreements with private operators?
ParlaMint-NO_2004-04-28.ana.ud2420e756	As I said in my first answer, I share the assessment that the representative Alvheim now expresses, that it is the right of the patients that is the superior, and that must also be Health Nord's relationship and foundation. This means that their activity should be related to how they can do their services — including those they offer in cooperation with private individuals with whom they have contracts — more accessible and of a quality that makes them attractive to patients. I know that the management in Health Nord is very busy and working on it, and I trust that they are using the tools that are available, including what is involved in working with private people, to get it done.
ParlaMint-NO_2004-04-28.ana.ud2420e761	I have received an answer to what I asked for, and I do not need any further questions.
ParlaMint-NO_2004-04-28.ana.ud2420e766	In that case, the Council of State does not need additional answers.
ParlaMint-NO_2004-04-28.ana.ud2420e771	Then they're all satisfied, and we're going to go to question 4.
ParlaMint-NO_2004-04-28.ana.ud2420e778	I will raise the following questions to the Council of State: ‘The price of medicinal products is regulated by the State through very complex mechanisms such as: index price, regulation of the purchase price of pharmacies, pharmacy etc. in order to ensure control by the State of costs and to make patients more reasonable medicinal products. It may seem that these schemes are not working well enough. Does the Council of State see that one could better control the government's expenditure, a more efficient and simpler regulation for all parties, by setting the selling price of pharmacies by the State?»
ParlaMint-NO_2004-04-28.ana.ud2420e787	The state determines the maximum purchase prices of pharmacies, the maximum allowable margin for pharmacies at the purchase price and thus the maximum selling price from pharmacies. Under these maximum levels, operators are free to compete on price. The State is not only a regulator on the pharmaceutical market but also a purchaser, both through the hospitals and not least through the bladder prescription system. In cases where the maximum price regulation does not provide sufficiently low prices, it is natural for the country purchasing to award a price that the country is willing to pay, such as under the index price system, or by introducing tendering schemes, as is seen in the hospital sector. I share with the representative Kristoffersen's view that today's regulations in the field are appearing that complicated. A number of changes have been made in this area in recent years, contributing to complexity. A detailed review of the entire pharmaceutical policy will be carried out in the wake of a separate survey report for the autumn. The Ministry has gone a long way in working on this message and has received input from industry as well as from user organisations and other interested parties. In addition, the Ministry has ordered and received external investigations relating to the matters specifically asked by the representative Kristoffersen. I share with the representative Kristoffersen's desire to achieve a more appropriate and less complicated regulation of pharmaceutical prices. This issue will be included as a key issue in the forecasted forecast, so that the Storting will have the opportunity to discuss this issue in full.
ParlaMint-NO_2004-04-28.ana.ud2420e798	I understand and accept that the longer-term leadership in this area will be reviewed in the pharmaceutical notification that I myself have been asking for. However, pharmaceutical policy has considerable budgetary implications, which are important for both the state, the pharmacies and the pharmaceutical industry. As a populace, I have a duty and an interest to constantly ask and be up-to-date about whether we have a system that gives the population the lowest possible price of medicines. That is why my first supplementary question is: does the Minister of Health think that today's regulatory regimes are the best way to secure the lowest possible price?
ParlaMint-NO_2004-04-28.ana.ud2420e807	If the Minister of Health had thought that everything was very well, it would not have been necessary to carry out such a thorough and fundamental review of the whole field that I am now adding up. It is, in my view, a potential both for simplification and for a better mechanism of state regulation in this market than we have today. When I don't want to go into the individual questions in such an hour-long answer, it's because they belong in a whole series of contexts with other questions. I want to give the Storting the full opportunity to discuss this through the work on the message. I would also like to stress that we are going to take the budgetary consequences of the changes that are then being made.
ParlaMint-NO_2004-04-28.ana.ud2420e816	I'll be allowed to ask an additional question no. 2nd@item: inlistbox I believe that the deregulation of the pharmaceutical policy that we have largely agreed on in the Storting can be beneficial both for the expenses of the state and for the expenses of patients. What I'm concerned about now is that, through the issues we've had in Stortingen, we may too much be in and regulate the relations between the parties, from the pharmaceutical industry to the pharmacy, who sells the goods. Does the Minister of Health see that in a future system there may be opportunities to have less regulation within that framework, from the purchase of the medicinal product by the wholesaler to the sale of it in a pharmacy, and allow the parties themselves to better arrange their relations, but focus on the patient having the lowest possible price of the product he buys in the pharmacy?
ParlaMint-NO_2004-04-28.ana.ud2420e825	The focus, regardless of the regulatory regime, should be the lowest possible price and a guarantee of accessibility, both for the State, which is a major purchaser of medicines through the BIP and through the hospitals, and for the patient. It will be a main goal when we review the arrangements that we have today. What has proved to be a challenge, even though some intervention in the regulatory regimes has been agreed in the Storting, has been that there are adjustments in the market that are not overlooked when these changes are adopted. It's natural. On the other hand, it makes it necessary to evaluate and continually follow up to see that the goals that I understand the representative Kristoffersen and I agree on.
ParlaMint-NO_2004-04-28.ana.ud2420e832	The next question is from Inge Ryan. Inge Ryan's not here, so we're going to question 6.
ParlaMint-NO_2004-04-28.ana.ud2420e838	This question, from the representative Bjørn Jacobsen to the Minister for Agriculture, will be answered by the Minister for Health who directs him.
ParlaMint-NO_2004-04-28.ana.ud2420e841	‘Many companies have done a lot of good work to market organically produced food. In Ålesund, a company has been successful and delivers to many schools, but it feels that they are being countered by the Information Office on Fruit and Vegetables. The authorisation system for becoming a supplier has also worked at random for several. Does the Council of State consider the school fruit scheme to be an instrument of its own to achieve the market objectives of the Organic Production and Marketing Action Plan?’»
ParlaMint-NO_2004-04-28.ana.ud2420e848	For health reasons, it is desirable to increase the consumption of fruit and vegetables, inter alia. through increased availability. It is an objective to approximately double this consumption in the Norwegian population. Research shows that dietary habits are formed early. Promoting increased use of fruit and vegetables is a key element in the work of health authorities, including: the school meal. This is the background to the School Fruit Scheme, which started as a pilot project in 1996. This is a measure to increase the availability and intake of fruit and vegetables among primary school students, based on health considerations. Until 1 January of this year, the scheme was financed from the budget of the Ministry of Agriculture and administered by the State Agriculture Administration and the Information Office for Fruit and Vegetables. The responsibility has now been added to the Social and Health Directorate, which continues to cooperate with the Information Office on Fruit and Vegetables. A new regulation on subsidies for the price reduction of fruit and vegetables in primary schools was adopted on 1 April of this year. In this context, new guidelines on quality, sampling and supplier criteria have also been developed. It is mentioned that suppliers should also facilitate the placing on the market of Norwegian-produced and/or organic products in the scheme. Suppliers of organic products who comply with the requirements of the guidelines and wish to deliver to the scheme shall be assessed in the same way as other suppliers. The scheme may thus contribute to the placing on the market of organic products, based on the wishes of the schools/subscribers, without being a primary purpose of the scheme. There is no scientific evidence that there is a nutritional difference between organic and conventional fruits and vegetables. Nevertheless, the scheme may contribute to the achievement of the market objectives of the Organic Production and Placing on the market Action Plan. In my view, however, the scheme is not a significant contribution in this context, as it has not increased the consumption of organic products as its main objective. That supplier of organic products was originally involved in a project outside the School Fruit Scheme itself. When this project was completed in the summer of 2003, the question of entitlement to supplies arose within the School Fruit Scheme. So this was before there was any change in the organisation of school fruit. Deliveries were initially rejected with a background in quality assessments. Later I was informed that the supplier had agreed on further deliveries. In the context of a new regulation, all suppliers wishing to join the scheme shall be reviewed by 30 June of this year. This will also apply to this supplier concerned. Where several wish to supply goods to this scheme within the same geographical area, tenders for the supply rights may be made under the regulation. Proper treatment will be given in the approval of suppliers. The previously mentioned new guidelines on quality, selection and supplier criteria provide a better basis for this than for this process.
ParlaMint-NO_2004-04-28.ana.ud2420e863	I thank you for your answer. It is good to hear that there is some progress in this, because it is clear that this has also had to do with the fact that some have experienced that they have almost been refused entry in line with other suppliers who have been in and had deliveries before, at least it has made it difficult for new suppliers to establish themselves in this important area. The action plan for organic production and placing on the market is based in St.meld. No 19 for 1999-2000. If we look at the chapter on nutrition, health and agriculture, we see that a real bet is on cross-ministerial work; both the Ministry of Agriculture, the Ministry of Children and Family Affairs, the Ministry of Social Affairs and Health and the Ministry of Fisheries. There is no way to get how much you should be able to do here. That is when it may be difficult to get something into practice, and there may be a need for a clearer signal from the Council of State responsible. My question is: how will the Minister of Health ensure that they override the policy objectives of the Single European Act?
ParlaMint-NO_2004-04-28.ana.ud2420e874	My main responsibility is to achieve and meet the nutrition policy objectives, and the School Fruit Scheme is an important instrument in this. The fact that this is an instrument of public health policy has been strengthened by the fact that the scheme is now anchored by health authorities. I believe that the system as it is now implemented through the new regulations provides equal accessibility for suppliers of both organic and other products, and that one should thus avoid the type of discrimination suggested by the representative Jacobsen on his supplementary question. I believe that in practice, in this way, the scheme will be a contribution, if not a major and significant contribution, to the increased use of organic products, in line with the Organic Production and Marketing Action Plan.
ParlaMint-NO_2004-04-28.ana.ud2420e881	I thank you again for your answer. We get into the situation that the question becomes whether it is possible for parents and elephants to have free choice. The Minister of Health said that there is no evidence that organically produced fruit is necessarily a bit better. However, in what way does the Minister of Health see that it is possible that the free choice is available in all municipalities and schools – the free choice to choose organically produced fruit, if it is one that wants – that the choice actually exists?
ParlaMint-NO_2004-04-28.ana.ud2420e888	The supply of goods can be affected in two ways, through demand and supply. And the subscribers, i.e. In this case, students and their superiors must ask for organic products and suppliers must be able to offer them. The provisions laid down to ensure non-discrimination between suppliers in relation to deliveries towards the School Fruit Scheme. I believe that, in line with all the thinking about what has to do with these issues, an attempt must be made to satisfy the consumer and user needs expressed through the contracts that are made in this area as well.
ParlaMint-NO_2004-04-28.ana.ud2420e895	Then we go back to question 5, because now Inge Ryan is present.
ParlaMint-NO_2004-04-28.ana.ud2420e905	I'm sorry I wasn't here, but I was at the hearing, and it went a little faster here than I had calculated. – That's the way it was. I have a question for the Minister of Agriculture: ‘Inspectors from the EFTA Surveillance Authority, ESA, inspected a selection of slaughterhouses in Norway last year and the report demonstrates critical conditions both in the transport and handling of animals. The report shows several examples of poor animal welfare in slaughterhouses. What action will the Council of State take to tighten up routines, reduce transport time and improve the control of slaughterhouses in the future, in order to avoid serious negligence on animals?’
