ParlaMint-NO_2004-03-04.ana.ud1567e45	The representative of Ågot Valle, who has been licensed, has once again taken his seat.
ParlaMint-NO_2004-03-04.ana.ud1567e537	The biggest betrayal we can do to those who are poor is not to remove obstacles and change systems that can help people to get into work. For work, the safest way is out of poverty. That is why, in its time of government, the Co-operation Board has proposed a series of measures to help people out of work and change systems, so that people do not lose weight in working. The current government has started a change of course in welfare policy. Those who need it the most should also get the most help, and people should get solutions based on that they are individuals. It is about taking the consequences of the fact that, despite our extensive welfare and support schemes, there are some who are falling through. It's also about the willingness to give priority to those who have the most difficulty among us. Changes and re-priorities in welfare systems and social policy are not an easy matter to face. The most pleasant thing for a government would perhaps be to let it scour and go as before and rather put in a little extra funds when an acute need arises, for changes result in constant protests. The centre party protests, too. But when a party protests the Government's poverty policy through an interpellation in the Great Britain, I probably expected a vandal of innovation, even from the Center Party. However, when the government's concern is that it has shifted from a general objective of cushioning economic and social differences to more targeted efforts against the poor, it shows that one does not want or manage to take on board that today's system in which welfare systems are lubricated thinly in order to reach the maximum possible does not prevent the poor from falling through. It is good cohesion policy that most of us refrain from some welfare schemes to finance measures against poverty. I also wonder at the opposition of the Center Party to targeted measures, which takes into account the fact that all so-called groups are made up of different individuals with different needs. We operate with targeted measures also in respect of other groups, and I am not familiar with special schemes and selective instruments that are unknown to the Centre Party. But when we come to the poor, the group of society that may need the most attention and concrete help, no, then it is suddenly not appropriate to take action that takes. The Minister of Social Affairs has gone through what the Government has made concrete changes, so I will let that lie. But it's tempting to ask the representative Haga what the Central Party really is against. Is there the removal of the area requirement for families with children in municipal rentals, which will lead to approx. 4,500 new families come under the housing support scheme? Or is it that the social welfare system for some single providers of education is improved to make it easier for them to support themselves in their own work? Or is there perhaps the creation of new places in work measures for long-term beneficiaries of social assistance, immigrants and refugees and persons involved in medically assisted rehabilitation? All these are examples of the government's targeted poverty reduction.
ParlaMint-NO_2004-03-04.ana.ud1567e552	The most unworthy and most unnecessary thing about poverty in Norway is that children are affected by this new poverty. In the last ten years, Norway has experienced a growth of wealth without parallel in Norwegian history, but not everyone is allowed to join that party. At least 30,000 children, perhaps even more, have to be careful to stand outside and watch. The Government's action plan on poverty states that families with children must be at the top of the fight to eradicate poverty in Norway. The problem is that this is not at all what has happened in the so-called poverty reduction of Regeninga. There is a dramatic gap between what the Government says it will do in the action plan against poverty, and what the Government is actually doing in its overall economic structure, especially with regard to children and families with children. What has this government proposed in the three state budgets it has submitted? Well, cut in child welfare, cut in the support supplement for temporary unpaid pay and cut in support of child care for lone dependants. These are just three examples of proposals that directly affect families with children and that only affect families with children. In addition, unsocial cuts that also hit families with children are coming hard. This applies to cuts in leave and increased excesses, just to mention some examples. Those who are hit hardest are the ones who already have the least. Therefore, SV has also accepted all these proposals. In this way, the government makes the masks of the social security network rougher and rougher. This means that more and more people are falling through, and in particular this concerns families with children. There are just a lot of those who are bordering on economic difficulties, who are hit by such a policy, those who are just above the poverty line with which the government operates, and whom the inter-pellant Åslaug Haga calls the ‘nearly poorest’. The government's plan is to try to capture some of those who fall through this network by their so-called tailor-made, social policy measures. The major problem of the government is that the more people who fall through, the more people who are not caught. In this way, there won't be fewer poor children. There will be more poor children. That is why the fight of the Social Minister and the Government against poverty, especially the fight against child poverty, is initially condemned to be a failure, and so is it. The differences show that. It is this representative Heieren Hundhammer calling a change of course in welfare policy. That's absolutely correct. That's what it is. The question then is whether the Minister of Social Affairs believes it is possible to combat poverty by continuing to systematically tighten up and erode social welfare systems and to distribute billions to those who have the most of them. This cannot be targeted at those who need it the most.
ParlaMint-NO_2004-03-04.ana.ud1567e569	I notice that the representative Haga uses the anti-sampling message as a template for how we should smooth out economic differences and achieve more justice, and thinks that the cooperation government has put itself on a completely different line. I can't agree on this. Action plan against poverty is a follow-up to the anti-dithering message. Why can I say that? Yes, under the main priorities of the Equalizer message we wrote: ‘The Government will notify strategies and measures with this message with a view to reducing unwanted differences in economic resources and living conditions, with particular emphasis on improving the lives of the poorest.’ As the name of this message says, tying up lives was a main priority. Equivalent living conditions and fair distribution were a value choice. There was a measure of small differences between King Solomon and Jørgen Hafmakar. An egalitarian society was a value in itself, and it would contribute to less social conflicts. It leads to more cohesion and community. This choice of values is established in the Christian People's Party. But today we are still challenged on the welfare of our priorities – a priority debate we can't skip. Today we are in the midst of an important debate, namely on the relationship between individual arrangements on one side and universal arrangements on the other. There is little doubt that there is a need to think about something new. When neo-poverty can survive in the welfare society of Norway, it shows that universal systems alone cannot help them with the greatest needs. The recognition that someone falls out of line with all the good measures, means that we have to think about something new. Our moral test on society is just how we take care of our weakest and marginalized groups. That's why targeting came in. I would like to remind the representative Haga that this is in line with the anti-sampling message and is described in Chapter 9. This is why measures to combat poverty have been put in place. If we're going to prioritize something, we have to deprioritize something else. We need to focus on those who can't handle themselves. We need to focus on the losers in society. Then we have to focus less on those of us who manage themselves. That's what I call welfare priorities. It will be even clearer in the future. So Haga calls this charity policy. I'd like to think so, but I'm afraid that such attitudes undermine the social office as a safety net, and neither does it care for the human dignity of the marginalized groups that go to the social office. Nor should we forget that it is through the idea of equalization that the differences have become greater. The action plan against poverty was never meant to be a new outreach message. He was essentially going to build on previously established policies. Therefore, the action plan is a build-up on the forecast and not a new baseline. Finally, I just want to put behind the words of Tony Blair, who says: Our focus is not primarily whether the rich are rich, but whether the poor are poor and how we can help the poor.
ParlaMint-NO_2004-03-04.ana.ud1567e589	First, let me say that the Equalisation Communication was a good starting point for an action plan against poverty. When this government came back with the action plan, it was very marked by another ideology. This by means of targeted and individual organisation leads to stigmatisation, and it also weakens the universal arrangements to be the secure safety network when general relief measures are needed. The media policy, the spirit of charity, is going wrong. The Minister of Social Affairs may refer to numbers of increases in the social security budget, etc., but it shows more that what is now being added to is not accurate enough, it is not good enough. Had we had universal arrangements, good measures for return to work and inclusive working life, good measures to help people in a generally difficult situation, so that they get back on track, these tailoring measures would be less appropriate. The Minister of Social Affairs had a numerical statistical information that would seem impressive. It doesn't do that to me. Among other things, In the United Kingdom, the number of drug users now receiving help, including in the United Kingdom and the United Kingdom. by strengthening medically assisted work against some drug users. Health director Hansen is very concerned that precisely social somatic measures are absent. When we know that both institutions, municipalities and e.g. the organisation KRAFT responds to the fact that very many fall outside the framework of Rusreform II, there is some error in the policy pursued by the Government. This has now arisen, among others. following the above-mentioned drug reform. We're going to bring people back to work. That's right. But in the government's individual proposals, there are many measures that do not stimulate it, in my opinion. Lonely caregivers should get better. For example, what happens? With the child's back? Indeed, child-responsiveness is being tested for individual groups, and it is the poorest and most disadvantaged who receive a test of their child-responsiveness when they have to receive social support from the social office. No one else has a need test. It turns out that there is a strong increase in the cooperation and contact of the Social Security Agency with the clientele. The government has done too bad work there in terms of coordination of social security, work measures and social assistance measures. The SATS project presented by the Government was so bad that it was sent back. The Social Minister says that it is difficult to find exact poverty definitions. We have pointed out, among other things: in the poverty action plan, that we could use 60 pst. of the median income, as pointed out by the OECD and used by the EU. Then we would capture a lot of people in the group that is just above the income of NOK 85 000, as the government uses. Then we wanted a safety net for them.
ParlaMint-NO_2004-03-04.ana.ud1567e606	The left is that most people will and should manage themselves through their own work and income. The individual shall have freedom and responsibility. The community's responsibility is to set up for those who, for various reasons, are unable to manage themselves and who need help for a short or longer time. This is not an alms. It's solidarity. There are two main problems in welfare policy. One thing is that for many of the poorest cases, they are excluded because they cannot benefit from the general schemes. This was also a theme before the last collapse option. The co-operation administration addressed poverty problems in a way that no other government has ever done before. It's left-wing happy and proud of. The second problem is that the cost of well-being rises above our heads and causes the issue of welfare states to be raised with full weight. The annual increase in the population’s spending takes away much of the political space for action, creates problems for the growth power of the economy and can put a heavy burden on the shoulders of future generations. Reforms are needed to make well-being viable. It is unsolvable to be negative to all the reforms and changes that can make well-being more targeted at those who need it and more resilient in the long term. Distribution policies are more complicated than taking from the rich and giving to the poor. Education by industry remains a liability. One does not solve poverty problems by weakening the growth power of business, especially at a time when capital flows freely and no one can bind you within national borders. For the Left, it is more important to help those who have the least, than to make a few rich or to move money between the large majority that cannot or should not be defined as needing. The introduction of the maximum price in kindergartens can be an example of the last. The government has made great efforts to improve the quality of an assistive device that can address its problems and help one out of them. This is a better strategy than spreading funds without targeting and so that people can't help but survive. No one is inclined to get stuck in social security traps, which can often become a trap of poverty and a trap of inaction. At the bottom of the social ladder, we find people with drug problems, often in combination with mental problems. Here, the government has really put in a force, with the help of housing, treatment and socialization according to its individual needs and possibilities. I want to remind you that Rusreform II has only worked for two months. A challenge for all employers: we need employers to help people who need training to get back to work, and we need flexibility and cooperation across public, private and civil society. Problems and challenges in social policy did not arise with this government. The opposition has its role as a critic, but sometimes I wanted the criticism to be a little more sober and truthful, especially from a party that has been in government quite recently. The criticism of the Cooperative Government is, in that light, not only unreasonable, but also directly wrong. In addition to debt, a desire for a greater cross-political commitment to the good solutions could be achieved. Easier claims that the solution is to tax the rich harder, or to scatter even more than everyone through general schemes, are no longer valid. More money for everything doesn't provide a viable well-being, either for the poor or for the most people.
ParlaMint-NO_2004-03-04.ana.ud1567e632	I would like to begin by commending the interpellant for wanting an ideological debate on poverty reduction in Norway. But in the same way as the representative Heieren Hundhammer, I'm surprised because it seems like a wish only an ideological debate, without making any new ideas and suggestions, when a travels such an important theme as this. Throughout the post-war period in Norway, we have had a good development of the welfare society with a main focus on the general arrangements. That's right. The general arrangements will always be at the bottom. But the new poverty is characterised by people who are long-term away from work, who often have drug problems or mental problems. The solution for them is not a further development of the general arrangements, which in fact go mainly to the group that has the most already, i.e. those that have some kind of connection to the world of work. Time and again in this Chamber, when a real priority is really spending large amounts, it is on welfare schemes that go to those who are related to the world of work. It's rarely one has the kind of bet for those who are permanent outside the work force. It is this development that this government has taken on board by focusing on targeted schemes for those who actually fall through. Throughout this period, the centre party has been more concerned with focusing on the part of the balancing message that is about taking something from the rich than giving something to the poor. I fully agree with what Mr Osmundnes of the Christian People's Party pointed out: our main focus must be on the poor. This uses one in the tax debate. But if you look at the tax reliefs that are given, there are tax reliefs that are essentially given to business just to create jobs, and that's something that we know ensures that people get out of poverty, is getting into work. The other tax reliefs are given to most people to give them an opportunity to secure their own future, to secure their own family. It is time for you to leave this debate and get a proper debate on what new arrangements we can get in place to reach the group that the general arrangements will never make.
ParlaMint-NO_2004-03-04.ana.ud1567e646	What made me take the floor was the post of the representative Osmundnes, whom I thought was interesting. He also gave a historical description of what has characterized postwar social policy in this country in many ways. It has been a goal to create a society of small differences, as the representative Osmundnes said, with little difference between King Solomon and Jørgen hatmaker – the egalitarian society as a goal in itself. I wouldn't say that egalitarian society is an end in itself, but I would say that distribution is a necessary tool to ensure social cohesion. I very much agree with Mr Osmundnes that despite the fact that this has marked the post-war social policy in Norway, we must all be willing to admit that someone is falling through. Some fall through this security network. That's obviously a correct description. Therefore, there is no disagreement that, in addition to a broad, solid safety net, measures aimed at catching up individuals need to be taken. But the question is, how do you go about doing that? In my view, the key issue is to finance actions against those who, after all, fall outside, by reducing the measures aimed at preventing people from falling outside? That the Right believes that it should be the social policy approach is no surprise, but the regrettable thing, Osmundnes, is that for the first time in post-war history, the Christian People's Party now secures a majority in order to implement this Right Policy. That's what's new in the situation. It's a system change, and that's what leads us on the wrong path in Norwegian social policy.
ParlaMint-NO_2004-03-04.ana.ud1567e655	The President will recall that the speaker should address the President and not individual representatives.
ParlaMint-NO_2004-03-04.ana.ud1567e658	I agree with the heart of the last speaker, and I almost want to ask if the Government and the majority of the Stortinge believe that we can neither read nor count. The times we've really spent the large amounts, they've been targeting those who need it least. How in the world is it supposed to say that the discontinued dividend tax, SEK 1.5 billion, goes to the most deserving? The top tax has been reduced by DKK 2.5 billion. It's not for people with high wages, but it's for people who have a job, who have a good income. It is to lubricate thinly beyond to not exactly the most worthy needy. This is what characterises this government's policy. That's where the big money goes, while all the cuts come for those who are out of work. In today’s Business yesterday, they had listed the cuts in cash and redeployment, which this year alone, in 2004, is $2 billion. There's a $2 billion cut to make sure what you're saying is most important – sorry, President, what they say is most important. Then I have to ask if someone believes in these equations. So you say target. Yes, then I have some questions. If you are ill and have poor health, you may be in trouble. What has the government done? Much stricter rules have been laid down on how to get vocational retraining. So you don't get an individual arrangement, no targeting, no tailoring, but less tailoring and more makeup: never more than three years, don't get to cost so much, you're so old, you get nothing. Is it individual tailor-made for the individual? Not at all. It is rule management and focus on money saving, short-term money saving. The second is that last year it was cold. Then we managed to put in place a scheme that allowed poor families of children who also served as little as two minimum pensioners to receive support for light and heat through the housing support. It's focused. It is targeted at the poorest families of children. But what did the Government do? It took away that scheme again. So I say it's a long way to go before I have any kind of confidence that this government understands what it's all about. Lubricating thinly, I also assume that if you want money for the municipal sector, you can have a school that allows the kids who grow up in poor families with children not to have to go with the disability they have, that they should get top-notch education on top of modern equipment, that the community economy also allows you to give them a leisure offer where the wallet doesn't have to go up every time and they need to feel different every day. I understand that the Right and the Government call it to lubricate thinly. SV calls it a good policy that ensures that people do not continue to be poor for generations after generation.
ParlaMint-NO_2004-03-04.ana.ud1567e671	Thank you for the debate. We've clearly seen in it that here the approaches are very different between the different political parties. I just have to say to this from the government's side that the tendency of the centre party to not want action for those who are struggling the worst, that you know better than that. We're very concerned that we also need a lot of tools against those who fall outside, and who have the worst. But we want to have a general objective related to defrosting, which is not in the government's policy. Then I find that the representatives of the government parties, including the Minister of Social Affairs, have not tried to refute what was the starting point of the interpelation, namely that it is the ‘nearly poorest’ who pay for the measures of those who have the worst. And we know what this is like: those who pay for this are the lonely caregivers, it's those who live with a little social security, it's the unemployed, it's the single residents. The fact that the Government and Government have not tried to refute what was the basis of the interpellation underpins the importance of this debate for us. It's always talking about thinking new, and we're going to keep working on thinking new. But it's important from what goal you choose, to think new. I note that the Christian People's Party is not concerned that the rich are getting richer. The center party believes that if there's something to distribute, some actually have to contribute to that there's something to distribute. Therefore, tax is important. That's why it's not important that there's been 5 billion dollars in tax relief in the last few years to those who already have the most of them. There are many who are struggling in this country who have more income than NOK 85 000. I think we need to introduce a term in Norway that we could call the tyranny of scarcity. The tyranny of scarcity is about that one, for example. is 12 years old and is not allowed to participate in the things that others are allowed to attend. One is not on vacation, one is not with when the crowd goes to the cinema, one does not have the opportunity to set up for birthdays in a way that one would wish one could. What does this lead to? Well, it leads to frustration, it leads to inaction, it leads to a loss of initiative. The conclusion of this 12-year-old is, I don't want to do anything. That's what we have to prevent at any time, the evolution that says those who don't have much, don't want to do anything.
ParlaMint-NO_2004-03-04.ana.ud1567e682	I would also like to thank you for the debate. I believe that the entire interpellation of the representative Haga has been answered, including: We have a different angle of incidence and we want to help people manage themselves, which is the foundation of a human being. Smoothing is important, general welfare systems are important, but there is not enough – once again – to break through. Targeting and individuality are also important. I'm a little worried that Haga's representative is no longer standing by. 9 in the Anti-Sampling Communication, and this is how it tries to cover its views with a United Nations report based on the mid-1980s up to the mid-1990s. It may seem that the representative Åslaug Haga believes that being a recipient of a social security benefit or other public benefit means being poor or what she calls the ‘most poor’. I disagree. There are those who receive public benefits who will be able to cope without the assistance of the government. Others, with better services and assistance, will also be able to be helped into a self - centered life. However, in the case of persons who are unable to work on a temporary or permanent basis, the public welfare arrangements shall provide a basic economic security. These include: the reason why the Government has increased the minimum level of multiple benefits from 1,6 to 1,8 G. And it is clear that we will continue to develop and target the social welfare schemes and services of those who have the lowest incomes. We have to target. So how do we measure it? Yes, we have changed the arrangements, which came into force now on 1 January, and we have received a new temporary zero-free allowance for those people who have the prospect of returning to work. They get a concrete follow-up, a closer individual follow-up, after one to three years. This is about individual planning and targeting. Yes, we have introduced new demands for reintroduction, because we know that faster follow-up will lead to that we are able to help more people get back to work. The longer you stay out of work, the heavier the road gets back. We've also changed the rules for rehabilitation. The period for which you can receive a rehabilitation allowance is limited to two years, because we know that you go on passive benefits for too long, is also a greater chance of getting out of work. We have to help people back to self-driving. We're clearing up the issue of basketball, so from 1 July, it's Aetat that has the overall decision-making authority, so people don't have to fly from the state to the state, with unclear follow-up.
ParlaMint-NO_2004-03-04.ana.ud1567e697	Then there's case no. 2 ready-to-be-debate.
ParlaMint-NO_2004-03-04.ana.ud1567e715	At the beginning of February, Dagsrevyen showed a report about an 11-year-old boy from Namsos who had a serious epileptic diagnosis. The boy had a lot of daily seizures. Of course, this caused enormous strain on the boy himself, but also on his entire family. Worse, the suffering was of such a nature that lack of treatment could cause permanent health damage to the boy. Investigation and treatment were therefore urgent. However, the state special hospital for epilepsy in Sandvika could report on long waiting lists and thus four months waiting time. As a big representative from Namsos, I naturally received a lot of enquiries about the matter. Most people reacted strongly to the fact that such conditions were part of the Norwegian health system. Also here in the house there were many who responded, and through my contacts with the health minister I was assured that the department had asked for an explanation from the hospital concerned. As far as I understand it, the matter for the boy in question has been resolved. Of course I'm happy about that. But the parents of the Namsos boy were the time I talked to them, very concerned that this didn't just have to be considered a special case. They knew several children with epilepsy who had to wait unreasonablely long for necessary treatment. They hoped that their history could contribute to an increased focus on this issue and this whole patient group. In my opinion, it is affordable that parents take the burden of standing up in this way and thus contribute to the attention around important issues, and this is some of the reasons for this interpellation. In my time in the Social Committee, we have been working on the problem of ‘children with severe suffering and a long waiting period for necessary treatment’ primarily in one area, namely child and youth psychiatry. In particular, SV has debated this several times. I think the entire committee is aware that in childhood and youth psychiatry there are long waiting lists and long waiting times. So this is a well-known problem, and although we disagree in some areas on how to meet that challenge, we have a clear strategy to do something about the problem. Psychiatric escalation plan is a conscious effort to strengthen child and youth psychiatry. The offer to children and young people with mental illness is increasing, although the Committee, for example, on our visit to Health Mid-Norway recently received a report that the waiting lists and waiting times are still unacceptable. Many suggest that a future review of the psychiatry plan will need to strengthen efforts towards children and young people, beyond what has been planned so far. But we have little knowledge of the situation in the somatic part of the health care system. I therefore wish, through this interpellation, to contribute to the Stortinget getting a status report in this area as well. Is the situation of children with epilepsy special, or are there several groups of children and adolescents who have an unacceptable long waiting period for the necessary medical treatment? Priority debates are always difficult. Nevertheless, I dare say that the priority debate is particularly difficult in the health sector. When not everyone can have everything at the same time, what suffering must come before others? What mechanisms should we use to regulate patient flow? What is the task of public health versus a private market for healthcare? This is just a little bit of a question, in a long series of these. Public samples have provided reports, and the debate is continuing. Only one thing is certain, namely that there will be more public samples, and that the debate will never end. Nevertheless, I would say that certain aspects of this problem complex are lighter than others. I feel sure that the Norwegian people believe that children with severe suffering will come first in line. Of course, the need for immediate help will go ahead of everything, but when treatment is planned, children should be given priority. In my opinion, this must be an overall guide for Norwegian health policy. I both hope and believe the Minister of Health agrees with me on that. That is why I ask what the Minister of Health will do to ensure that children with severe disorders are given priority in the Norwegian health system.
ParlaMint-NO_2004-03-04.ana.ud1567e739	Let me begin by expressing the honour of the representative, Bjarne Håkon Hanssen, of having asked an important question and raised a debate that is important to be held in this Chamber too, especially because it raises several fundamental questions. I will come back to the specific issue mentioned in the interview, but use a more general approach initially. Over the last two years, waiting times have decreased in Norwegian hospitals, including children. Numbers from the Norwegian Patient Register say that the number of patients under the age of 15 waiting for treatment is reduced by 15 pst. in the last two years, while increasing the number of references. In particular, there has been an increase in mental health protection, with 65 pst, according to figures for the third quarter of 2003. patients more than two years ago. At the same time, waiting time is reduced by 15 pst. Better capacity in childhood and youth psychiatry leads to much more referrals, and we have had an increase of 50 pst. in the course of two years. This is also the reason why waiting times are not reduced any more. Of all children under the age of 15, received in hospital, almost a third are received during the neonatal period. Well a third is received as immediate help. It is the last third that waits for a shorter or longer time for study and treatment. Overall, I believe that the situation is well controlled, but I recognise that we have some challenges. Individual patients are waiting for too long, and statistics have some clear shortcomings. Our patient statistics tell us about the number of referrals, not the number of people. We are also working on a proposal to improve the data base through the development of a unique Norwegian patient registry, as the Stortinget was briefed on in the submission of this year's budget. At the end of the year, 22,500 children were expected to be evaluated and/or treated in our hospital. During the year, about 100 000 children and young people are referred to specialist health services. We don't have numbers that can tell us how many of these have a serious illness. The patient registration distinguishes between patients without and patients with ‘right to necessary health care’, which is the formulation taken from the Patient Rights Act. But the numbers between the regions crack so much that there are obviously very different practices for recording. For patients under 15 years of age, this varies from 40 pst. in one region to nearly 90 pst. in another. The priority provision of the Patient Rights Act states that a patient is entitled to the necessary healthcare from the specialist healthcare service when all of the following three conditions are met: Firstly, the patient is at risk of previous death or not negligible loss of quality of life if the health care is delayed. Secondly, the patient may be expected to benefit from health care. Thirdly, the expected costs are proportionate to the impact of the measure. The provisions are identical for children and adults. However, in the specific assessment, in which lifetime and expected benefits are to be included, it would of course be important that a favourable outcome of treatment can provide the paediatric patient with many good years. Everyone who is referred to the specialist health service has the right to be evaluated within 30 working days. It is directly governed by the Patient Rights Act, and it applies in the same way to children and adults. If you are not satisfied with the assessment, you may ask for a second assessment. The assessment shall consider whether the patient is entitled to the necessary health care. The amendments to the Patient Rights Act adopted by the Stortinget just before Christmas mean that, as is known, for patients with such a right, an individual deadline should be set for the time of treatment. If this deadline is not met, the patient will be entitled to treatment without delay by a private service provider or a service provider outside the State. At the same time, the limitations previously imposed by capacity problems have been removed. I believe that the new provisions of the Patient Rights Act will help to improve patients’ rights regarding access to healthcare. The lack of the exercise of the rights will be made more visible and there are incentives in the scheme, which in turn will contribute to the exercise of that right by the end of the period. Interpellation is based on a specific media essay about a single patient. I have been informed that the patient in question is being taken into consideration during these days. Which treatment is then recommended and implemented is determined on this basis. The special hospital for epilepsy – SSE – doubles its investigation capacity during the current month. I have also been informed that Health Sør has asked the Rikshospitalet, which includes the SSE, to complete the preparations for further development, with a view to the SSE construction process starting immediately over the New Year, in 2005. Health South will assess the division of tasks within this highly specialised field in order to clarify the alternatives available within the region and in the country. The Rikshospital starts a parallel internal project to look at the organisation of the entire neuroarea, i.e. neurosurgery, neurosurgery, and the State Centre for Epilepsy, to assess whether it is possible to coordinate functions, streamline patient pathways and increase the investigation capacity of the most seriously ill. This is done to make even better use of the total resources. The feedback I have received from Health South assures me that within a reasonable period of time the situation of the patient groups concerned will improve. But at the same time, I would like to stress the need for children with serious illness to and must receive an offer within reasonable time limits. What is acceptable waiting time will have to vary, including: depending on the patient’s burden. As elsewhere in medicine, concrete priorities will have to be made for any condition. This means that the body receiving a referral must ensure the necessary information to carry out a sound assessment and then give priority, on the basis of medical criteria and in line with the provisions of the priority regulation. Children’s departments other than the SSE also have waiting time for children with possible or known epilepsy. This varies, from accommodation on the same day to up to three months, depending on the specific situation of the individual child. I would like to take this opportunity to highlight that there are not just problems in this context. A few weeks ago, Dagens Medisin insisted that in the case of childhood cancer, Norway is in the top international strata. This is not least due to Nordic cooperation. As small countries, we need to cooperate, for the benefit of patients. Other aspects of medical development, including: Our vaccination programmes, our low mortality during the infant and our neonatal medicine, we know we're raising international awareness, rightly. The interpellant was involved in mental health. In the Government’s strategy plan for children and young people’s mental health, ‘... together on mental health...’ presented in September 2003, we discuss how the Government will strengthen and further develop efforts for children and the mental health of young people. The plan has a clear health promotion and prevention profile, with a focus on strengthening children and young people’s own resources and ability to master. The plan also points to the specific challenges posed by the intervention apparatus in relation to children at risk or who have already developed psychiatric disorders. The Strategy Plan will therefore help to ensure a more comprehensive service provision tailored to the needs of users and with better coordination between different helpers and services. The plan contains a number of concrete measures to improve the situation of seriously ill children. Let me briefly mention five: personal patient rights information adapted to children and young people’s efforts to prevent suicide-free hospital choices in the field of mental health protection, including for children and young people’s offers to patients with severe eating disorders for a maximum of 10 days waiting time for assessment interviews; We're going to implement new and more quality indicators for hospitals. Here, the requirement for an individual level of child rehabilitation and the measurement of patient satisfaction in the field of mental health protection is of particular importance. The same is the recording of waiting time for the first consultation and the proportion of diagnostically assessed patients in paediatric and juvenile psychiatry. Let me take this opportunity to remind you that regional health businesses have carried out a number of new tasks over the first two years of the hospital reform, and they have also been given new tools. Regional health businesses shall play on the resources throughout the region and think in the long term, including in the configuration of the individual patient. Health undertakings shall use the sum of the means at their disposal to ensure a more holistic approach. Finally, let me mention an area that I believe is of particular importance for children with long-term or chronic illness: child rehabilitation. The Ministry of Health is now preparing a strategy plan for the rehabilitation of children, including the provision of health services to disabled children, to chronically ill children, and to their parents. The main principle is that children with disabilities should as far as possible have a childhood that gives growth and development as other children, and they should learn to master their daily life within the possibilities they have. The proper provision of long-term disabled children requires services from both the community and specialist health services. The childcare service is central to this patient group, which in reality includes all children with disabilities and with the need for multidisciplinary rehabilitation services. In order to improve the provision of disabled children, the Ministry of Health will therefore focus on services that are important in a habilitation process. We don't get to that by focusing on a single term, there is a need for coordination and willingness to cooperate across levels, and there is a need not least for individual plans where all the agencies are involved around the individual patient. This debate is important, because it puts into practice some of the challenges we always face with priority and with difficult choices that result from it. My clear opinion is that children are taken seriously, it is continuous so that children do not wait longer than proper. But at the same time, we have to recognise that we have some clear improvement points, not least where offers are under construction, as in childhood and youth psychiatry. I know that regional health businesses are addressing these challenges. I understand that construction and changes must take some time, but at the same time I can assure you that I share the impatience of interpellant; weaknesses must and must be improved. With the sum of responsibilities, and not least the full range of instruments now added to regional health businesses, we as the overall authorities have also received a tool to enable this.
ParlaMint-NO_2004-03-04.ana.ud1567e808	I thank you for your answer. The answer, as I also assumed, shows that the Minister of Health is taking this issue seriously. I would like to add a few brief comments to the answer. Firstly, it is important that the answer shows that there are clear weaknesses in the registration of at least this patient group. It is therefore very different from registration practices, and it is clear that it will be important for a political body such as Stortinget that registration practices are so good that on the basis of facts and not views, necessary priorities can be made. I expect you to work with the registration policy. I also think it is important to point out that it turns out that the parents of this boy in Namsos contributed to focusing on this matter, have already given significant results. It is obvious that there have been major problems with children and young people with epilepsy, and it is clear from the Minister of Health's response that there will now be a doubling of the investigation capacity at the Special Hospital for Epilepsy. That's an eye-catching consequence of what's happened. In addition — after many, many years of work — from the new year a necessary extension in the same hospital will come into place. Of course, I agree with the Minister for Health that health professionals must make the necessary priorities on a daily basis based on the information available and sound assessments. It's everyday life in most areas. However, the question is whether, in addition to these medical professional assessments, there should be some political leadership – it will always be difficult. But I think, at least from my point of view, that it wouldn't be unreasonable if you also had a clear lead in the priority regulation, which was that in the choice between different patient groups it would be natural for children and young people with serious disorders to be given priority over others, for example. adults with similar disorders. I look forward to the debate, and hope that there may be some responses to possible changes to the priority regulation, if it could be an instrument. There are several things I could have commented on, but I see that my time is up. As I said, I look forward to the debate.
ParlaMint-NO_2004-03-04.ana.ud1567e821	I can confirm, as I was also involved in my main post, that the department has grasped the quality of the patient registration issue. In particular, it is a matter of getting a patient-identified and individual-identified registration, because what we register today is treatments and not information about the patient’s identity related to treatment. It is a matter of different pages, as it is also apparent from the essay in today's edition of the Evening Post, but I believe that we should get such a registration. In the case of the priority regulation, it is the result of two thorough investigations into the so-called Wage Committees. I put a lot of emphasis on the fact that we have priority rules in Norway that are not directly related to age. This has been done in some disciplines in the past, and it is difficult to deal with it. But at the same time, I believe that the priority regulation as it is now designed gives priority to the younger ones. So I believe it must be right to follow developments closely in relation to the recording of waiting times etc. which we have focused on in this debate. I also agree that it is important to focus on it. That focus should be based on the priorities of the authorities and the disciplines. Some of the results I've shown are related to that. But it is also true that the debate that has taken place on this matter has helped to accept it, and I agree with the representative of Bjarne Håkon Hanssen that we can see.
