ParlaMint-NO_2004-06-17.ana.ud979e245	The representative Audun Bjørlo Lighthouse will make a private proposal.
ParlaMint-NO_2004-06-17.ana.ud979e775	The cord shift is over.
ParlaMint-NO_2004-06-17.ana.ud979e778	Decentralisation and popular rule are a necessary foundation for a positive development in society. When power is moved from local to central level, from popular government to bureaucrats, and from social support to market thinking, a few more poor solutions and more popular rejection can be achieved. There is clearly cause for concern over the overall impact of the Bondevik II policy line. Increases in centralisation and social disparities are the results so far. The central party will have a reverse operation, both in economic policy and in the distribution of power in society. The central party believes that total growth in the municipal sector will be up to DKK 7 billion in 2005, i.e. $4.5 billion more than the government's proposal. The growth in free income should be about NOK 3.7 billion, of which 700 million. kr compensation for the loss of tax revenue in 2003. The revenue in addition to the scheme of the Government shall be broken down by the ordinary key of distribution. The government operates with uncertain figures when it relates to the costs associated with several of the government reforms adopted, including: the kindergarten reform, the introduction programme and the top funding of users with special needs. The Centre Party shall use full funding. The local government sector’s economic situation has deteriorated markedly during Bondevik II. This is related to both high pension costs and a dramatic failure in tax revenue, and not least to the government’s depriority of community solutions for the benefit of large tax credits. Let me remind you of the following: The underbalance in the local government sector is approximately SEK 5.5 billion. The operating debt is approximately NOK 13 billion. Every fourth municipality is on the ROBEK list, under the administration of the county. Net operating surplus was estimated to be 0.5 pst in 2003, 0.1 pst. lower than in 2002. The net operating surplus should have been 3 pst. - the accumulated deficit in the municipal sector has increased every year under Bondevik II. The tax deficit in 2003 was DKK 3.2 billion. The 2004 tax estimate is now written down at NOK 1.2 billion. The 2005 government's plan covers a very close to the increase in the cost of demographic costs or population growth, much less provides room for improving the underbalance in the local government sector. It's in the municipalities people cage! A good school and a more dignified care require a different and better financial arm for the municipalities. The government has repeatedly camouflaged the fundamental debate on the economic level we are going to have in the municipal sector, with various proposals that they call strengthening local democracy. This is also the case in the bill this year, both in the case of proposals for the inclusion of premiums that go to a few municipalities, and in the case of the Government's proposal for the return of corporation tax to the municipalities. The government should not succeed in moving the focus from the municipalities' overall financial framework to an "equal discussion" about how municipalities should secure their own income through the tax system. It is a great paradox that in the meantime, the same government that has seen down a proprietary income system selection to present the adjustment next year is promoting proposals for major changes in the income system. The municipal sector must be given the necessary freedom to adapt its supply to local conditions. Nationally elected bodies at local and regional level must be guaranteed the legitimacy of representing the inhabitants of their territory, as well as the authority to take decisions for the benefit of local communities. There is a clear political alternative to the right's piercing of the municipalities. The Centre Party, the Labour Party and the SV agree on a completely different priority of good local welfare provision than that proposed by the Government: a significant increase in the free revenues of the municipal sector full funding of state reforms a multi-year escalation plan to correct the financial imbalances a more mandatory consultation mechanism between Government and KS privatisation and competitive deferral is not an appropriate tool for the modernisation of the public sector rejection of the Government’s model for the reversal of the corporate tax maintenance of the host municipality bill, which goes to 333 municipalities full and lasting compensation for the additional costs of municipalities that have large additional costs because they have taken over responsibility for the shooting of 55 million health professionals. SEK to Süd-Trøndelag County for capital costs related to the RiT 2000 a briefing on the use of new technologies in schools and municipalities in the 2006 municipal proposition an open approach to changing municipal boundaries based on voluntary activities and local initiatives The government's proposed municipal economy for 2005 is a cynical downturn in a good schooling and care provision where people live. The scheme confirms the Government's main objective: to continue building up the public sector. There will then be little more resources, corks for the necessary upgrading of municipal building mass or for increased efforts for the disabled or drug addicts. A raw printing policy in hospitals means that new groups are becoming more and more concerned in municipalities. The government's fight against poverty can be a blow to the air if the municipalities have to cut the number of settings that need to be followed up with the most difficult ones. The sick leave in the municipal sector is on record 9 pst. This figure accommodates both huge human costs for those added to the municipalities and equal social costs in the form of sickness benefits. The 2005 government's plan means that even more work will be done with fewer hands. It may involve an additional increase in the sick leave. The government proposes to bring part of the corporate tax back to the municipalities. The proposal amounts to a reduction of the municipality's personal tax revenue of approx. 5 billion kroner. These funds will be returned to the municipalities according to a different allocation principle. The real redistribution between municipalities is about 800 million. kr. The centre party in which the municipalities have greater control than today over their own tax revenue. Today, we are promoting proposals for a settlement on that very point. But we can't go in for a corporate tax scheme that's an exclusive redistribution from the 350 municipalities that lose out on the scheme to 80 winners. The government's plan does not allow municipalities to raise income, and the economic differences between municipalities increase. The income system must operate primarily in such a way that all municipalities have the same ability to provide municipal services. The changes that the Government proposes in corporation taxes and anti- income adjustments will reinforce the effects of uneven economic structure and pay differentials between parts of the country. In several ways, the Minister of Local Affairs has threatened with coercion in order to obtain what she calls a robust municipal structure. It is not constructive to discuss changing borders without looking at the tasks that municipalities have set to solve. The main point is how to get to a good school and a worthy care where people live. There is a lack of funds and not the municipal boundaries that hinder good development in many municipalities. The request for a minimum number of inhabitants of municipalities is meaningless, not least due to geographic circumstances. In fact, 21 out of 23 municipalities in Hedmark are larger than Oslo. The same applies to all municipalities in Finnmark. The 26 municipalities of Sogn and Fjordane are on average three times as large as the municipalities of Akershus, while Akershus municipalities have on average five times as many inhabitants as the municipalities of Sogn and Fjordane. The government also uses labour shortages in the future as an argument for municipal convergence. 41 pst. of those working in the local government sector are part-time employees. The number has increased from 32 to 41 pst. in two years. Many want to work more, a fantastic unused reserve of labour, which is essentially not being exploited, because the municipalities are not getting funds in line with the tasks they are going to solve. A targeted focus on inter-municipal cooperation solutions is needed to address the challenges facing many municipalities now. The centre party and SV promote several proposals in this setting to strengthen precisely inter-municipal cooperation. Last year, on the initiative of the Centre Party, a multiplicity adopted a national ICT-based service development offensive. I would like the State Council to do its best for status so far. Finally, the agreement between the Advance Party, the Right Party and the Christian People's Party is sadly read. The Progress Party, in conjunction with the Labour Party, the SV and the Centre Party, was able to secure a majority for the return of company taxes, to continue with the Host Municipality Act and for the State full funding of the transport of health professionals in Austevoll and other coastal municipalities. But then the municipalities had also received more funds for the next year. It seems to be the main cause of the Progress Party this time - the Government frame should be maintained. There must be uncertainty about corporation tax. Christian People's Party is wisely silent. They're not exactly cheering out for this arrangement. But when you don't stand for extended frames, it's just those who become the chief executive. I hope that the pressure from outside will soon be so great that the Christian People's Party will win over to this reprehensible right-wing arrangement. So I'll finally bring up proposal No. 14th @item: inlistbox
ParlaMint-NO_2004-06-17.ana.ud979e889	The representative Magnhild Meltveit Kleppa has taken up the proposal she referred to. It's going to be line change.
ParlaMint-NO_2004-06-17.ana.ud979e894	In the matter that we are now debating, there is a lot that gathers the Labour Party, SV and the Centre Party. It's an important political signal. The three parties are involved in the struggle to create better welfare in our municipalities. That's what I thought was very happy. But the central party does not follow the Labour Party and SV all the way in the view of municipal union. The Labour Party and SV stress that bundling must be voluntary and based on local initiatives, and the municipalities that join forces should not be given smaller framework transfers as a result of a municipal merger. We believe that more cooperation and better work sharing are important across the municipal borders. Why can't the Center Party and the representative Meltveit Kleppa not be in such a position?
ParlaMint-NO_2004-06-17.ana.ud979e899	In the interests of the many people who need a more dignified care, a better school and more cultural and leisure services, and in view of the fact that municipalities should also have the opportunity to develop their businesses, I am very pleased that there is a wide alliance between the Workers' Party, SV and the Centre for more funding to municipalities. Then I feel that there is a nuance in this field, which relates to the municipal structure, between the Labour Party and the Centre Party, even when it relates to inter-municipal cooperation. The Labour Party has a note where they will have inter-municipal cooperation to facilitate models for a new municipal structure. The center party thinks it should be a strategy to secure today's structure. However, when a municipal merger would be appropriate on the basis of voluntary action and local initiative, the central party would have to make arrangements for the municipalities not to be withdrawn, either in the case of frameworks or in the case of subdivision costs.
ParlaMint-NO_2004-06-17.ana.ud979e904	It seems as if the Central Party, like SV, sees only one solution to the challenges facing the local government sector: spending more, more and more money. You can ask, what is the difference between the Central Party and the UK in terms of local government policy? Is the centre party more or less resistant to competitive outsourcing than SV, or is the centre party 100 pst. in line with SV in the case of resistance to competitive outsourcing? And one more thing: the centre party is the great protector of local self-government and local self-government. But the Central Party is therefore involved in a proposal that will in reality prohibit municipalities from putting off competition. Is there respect for the local right of self-determination, as the Centre Party claims it is, and can the Centre Party be aware of the fact that it would prohibit the outsourcing of competition in relation to local self-government?
ParlaMint-NO_2004-06-17.ana.ud979e910	When it comes to the fight for a better school and a more dignified care, there is probably no difference between SV and the Center Party. A few days ago, there was a big difference in the view of private property. Then I am a little surprised by the attack from the Progress Party in relation to local self-government. So it's from a party like this. not found necessary population for changing municipality structure. For the Centre Party, it is important that municipalities make the funds as far as possible to improve care services. We think there are solid experiences that are best done in an interaction between the added and the local populace. We didn't think it was necessary to experiment more with the release of care until one has got certain fundamental elements in place.
ParlaMint-NO_2004-06-17.ana.ud979e919	The centre party is still hammering, even today, that tax havens are the cause of the private wealth in Norway, and that the so-called public poverty has the same cause. I guess that's the right and most important answer. We now have most of them. The 20 billion given in tax relief went to business, and there it was absolutely necessary to secure jobs. ==References== 10 pst. which can be argued for being tax-free to the rich is hardly the answer to the needs of the municipal sector. But it's true that we never before have our richer, and the salary level, which is already 35 pst. over Sweden's path every quarter of the year. This year, the wage increase means NOK 6 billion in additional expenditure for municipalities. Wages and salaries actually represent 80 pst. of the costs. And this is just one example of the background for a simple question. Does the Central Party and the representative Meltveit Kleppa understand that the analysis they provide for reasons of public poverty is at best very deficient?
ParlaMint-NO_2004-06-17.ana.ud979e928	In any case, we understand that the analysis provided by the government is very deficient. We still haven't been able, despite repeated attempts, to get evidence that the 20 billion that have been given so far have gone to business. In fact, it is now that business itself is asking for, for example: enhanced transport rather than additional tax havens. Then we're not just going to stick to the past, we're going to look first and foremost at the future. There the government has now provided a model to ensure extra tax havens for those who have the most, where 10.5 of 12 billion -- unlikely, but the case -- goes to those who tend the most. And then the choice is simple. It is not for help caregivers and reinkeepers to pay decent wages that suffocate this country, but it is this choice for which the Government is supported by the Progress Party to deprioritise the Community sector.
ParlaMint-NO_2004-06-17.ana.ud979e935	The cord shift has thus been completed.
ParlaMint-NO_2004-06-17.ana.ud979e938	Many of the most important tasks in society are carried out by municipalities. There is hardly anything more important in a society than providing training to our children, care for our elderly and health care to those who are ill. However, the opportunities to provide a good service to the population in these areas depend, of course, on the fact that municipalities have enough money to develop the service provision. Of course, municipalities have to ask how to get an even better service out of the money at their disposal. Can one use less for administration and more for services? Can you use the money in another way? Those of us who are most concerned with good community services must also be those who are most concerned with an ever-renewal of the service provision. But the Right Party and the Advance Party have made the mistake that renewal is the same as privatisation. We saw this not least when the municipality of Oslo some time ago put road work on offer. The municipal road company actually had the lowest price. However, the Right Party and the Advance Party chose to give the assignment to a private company, which understood that the municipality's company could actually make this work cheaper, leased the municipal company, and could take the profits themselves. Such examples are foolish. And as the Christian People's Party rapporteur in Skjervøy says, there is a limit to efficiency and rationalisation. You can't make the care of the elderly machine. Something like that said Prime Minister Bondevik when he was a staging representative, before the elections. And this is the Labour Party's agreement. Current challenges in the municipal sector cannot be solved through reorganisation; more money is needed. This is a question of values. If we choose as a society to provide our children with better schooling, if we choose to provide our older people with better care, if we choose to provide better health care for those who are ill, or if we choose to distribute the money in tax relief? This is a choice. There is no need for nature, nor a need for national economics, for municipalities to have a need for economics. Today's suspension confirms that the Workers' Party, SV and the Centre make a completely different choice than the Right Party, the Christian People's Party and the Advance Party. The Workers' Party, the Socialist Left Party and the Center Party will strengthen the school offer, will strengthen the care of the elderly, will strengthen the provision of health care. That is why we want to strengthen the local economy. The Right Party, the Christian Party and the Advance Party, will bring tax relief. Therefore, they narrow down to the local economy and allow local politicians to take the difficult job of telling the local population that there is going to be less schooling, poorer elderly care and poorer health services, not because local politicians want to, but because the Right Party, the Christian People's Party and the Advance Party allow children and the elderly to pay the tax breaks. The arrangement of the Government and the Advance Party for the local economy in 2005 is alarming. 114 municipalities and county councils are subject to state supervision. More than ever since the introduction of the new supervisory regime. The deficit in the local government sector is estimated at a total of DKK 13.1 billion before loan transactions in 2003. The Technical Calculation Committee confirms that the economic situation in the municipal sector has deteriorated significantly in the last two years. Unemployment in the municipal welfare sectors is increasing. So in such a situation, the majority of the Storting, the government parties, the Right, the Christian People's Party and the Left, plus the Advance Party, choose to tighten up the local economy, so that the local government sector does not even get enough money to cover the additional costs that the municipalities will have next year as a result of increasing the number of school students and older people. But it's a choice. Today’s debate shows that the population can choose between an alternative of better well-being and an alternative of poorer well-being. In this way, both the vote and the debate are clarifying.
ParlaMint-NO_2004-06-17.ana.ud979e959	The municipal bill for 2005 has been characterised to a large extent as a status quo. It is a scheme that hopefully, a little depending on what decisions the Stortinge had to take in other matters, could help us to maintain, but not degrade, the accumulated imbalances in the local economy. However, this must be seen in the light of the fact that the financial structure for 2004 is the second worst economic structure in the municipal sector. There has never been any approximation of such growth in free income. It's never been such a big frame of growth before. And it's a golden opportunity for Norwegian municipalities in 2004 to do something about the accumulated imbalance and get into a better track. There is a lot of evidence to suggest that it may actually be that there will be a better outcome in 2004 for a large number of municipalities. For the worst year in relation to operating performance in the municipal sector, 2002 was a year of very high growth in the free incomes and high growth in the framework of the local economy. But there were other circumstances that did. In 2003, which was a tighter year in terms of transmission, the results show improvement in relation to the 2002 layout. This may indicate two things, both that the conversion work has started a little better in the municipal sector, and that what we have not talked about here, the low level of interest rates, actually contributes to a significant improvement, which cannot be seen from the figures we have for growth in transfers, but which makes the cost level of the local government sector light, even though the growth in 2003 was lower than both in 2002 and 2004. I stress this, because it is quite important to see that it is the cost side that is the most important for the ability of the municipal sector to provide good services. It is not the transfers of income from it, but it is the development of costs. And then it's incredibly important that we keep an economic policy that contributes to low cost developments. This year's pay bill contributes positively to a larger room for action in the local government sector. Based on the moderate wage-fixing we've achieved, while ensuring that people get income-improvement due to low interest rates and moderate settlement, we get both more well-being for the money and a better private economy. I say that to emphasize that there are many other dynamic factors than what this debate seems to show about what is the framework of what we get out of the care and welfare of the people who live here. So I want to say that what I think is the most boring, is that the Storting still doesn't want to do anything about municipal freedom. Unfortunately, we have no impact on more than inclusion in one area. I'm glad we're doing that. But I want to stress that the plan that the Workers' Party also agreed on was necessary, when they put in government, namely to include earmarked funds to give greater municipal freedom on priorities, we should have followed up, especially in the light of all the fine words expressed last year about municipal freedom, and the desire to do something about it. I record that we have received a majority to introduce corporate tax from 2005, but not necessarily for which model, and we come back to the harvest with a scheme for that. I think it's quite neat that the SV and the Workers' Party are against. They've always been against it. They were to include it in the previous frame. I'm a little surprised that the Center Party, which actually turned around relatively quickly after they agreed to remove the corporation tax, and in the last period had many rhetorical rounds about how important it was to bring it back, now backs, because it becomes pluses and minuses. Of course, it's going to be plus and minus. There will be more negatives than pluses when you return the corporation tax to the municipalities. Whatever model you choose, the distribution of income from corporate tax will be the same. I'm surprised that it makes you go back for something that you've had a high profile on in a number of debates in the past. Then I have to say that I think the focus is on everything being bad and difficult, especially in relation to the outsourcing, and working to get more user choice and to get more money back and conversion, is negative. I'd like to say to Karin Andersen -- if we're going to take the term "we have to get more time" along with, for example. patients - that I think you should see with open eyes on the user choice model in Oslo. The evaluation shows that by working smarter- not faster running and less time - there has been a better time and more time with the individual user. It should have turned Karin Andersen's view that the user choice is not a good model.
ParlaMint-NO_2004-06-17.ana.ud979e978	It's going to be line change.
ParlaMint-NO_2004-06-17.ana.ud979e981	Kjell Arvid Svendsen is an experienced spokesman in Karmøy. He is also head of the Christian People's Party. After the municipality proposal was made, he reacted strongly, among other things. to the proposal for the return of company tax. To the Haugesunds Avis, the coordinator, says: "Really dramatic. This is a redistribution that caters to the big Right-steered cities that will run away with the cake." The dictator points to one that must be produced "what biases the proposed conversion will bring with it.This is a matter that we cannot fail to pursue politically to the top." I would therefore like to ask: does the Council of State Solberg understand the views expressed by the rapporteur, Mr Karmøy, or does it operate on a failed basis?
ParlaMint-NO_2004-06-17.ana.ud979e998	So long I've been working on both income systems and redistributions related to municipalities, that I know how role-sharing is. Anyone who gets a minus will always think that what we do of changes is unfair - with a heroic exception from one municipality, namely Oslo. In Oslo, it has been said that even if they get negative, you are basically the company tax refund. But those who get plus, of course, will think that this is very fair. Our responsibility is to decide for ourselves. We, as the National Assembly and the Government, have a responsibility to ensure a fair overall system that each of those who have a mailbox position cannot have, and that it is always impossible to explain their own voters. We've done two things. We have reduced the corporate tax. Karmøy would have been a winner in terms of the return of corporation tax, but then we have at the same time introduced symmetric income balancing, which means they don't get that effect. And why do we do that? If we had just brought back the corporate tax, it would have been unfair. There would be very large redistribution of income. When we have symmetric income balancing, I am amazed that the Workers' Party argues against it, because it provides a much greater degree of cohesion between rich and poor municipalities.
ParlaMint-NO_2004-06-17.ana.ud979e1010	I have registered that large-scale workers' party-driven municipalities are in fact cheering that the company tax should be refunded. It's just listening to what you say in Trondheim. So to this by creating predictability for the local government sector. I would like to challenge the Council of State for thinking about this by compensating for lost tax revenue, if that happens, and possibly withdraw if the tax revenue is above what is predicted. We see that if the state loses income, it is easy to just pinch and then pick up some funds to compensate the state for lost income. Now it is also the case that the Storting determines the framework for the municipal sector. Does not the Council also believe that the Storting should provide predictability for the local government sector by longer budgeting over several years, possibly a balance with lost tax revenue, plus and minus?
ParlaMint-NO_2004-06-17.ana.ud979e1018	In fact, when municipalities lose tax income, the government also loses tax income at the same time, since we share the same forms of income. It is also a challenge for the state to settle and revise the budget. It is not certain that the Government has only been pinched and left to make repriorities and changes. So we have inserted a cut in our proposal for a revised national budget, but then the Storting has not accepted a number of the changes that we made in the budget. It is clear that there are more limited opportunities to make changes in the middle of a financial year, because part of the money, among other things, is involved. are distributed to others, and because we are trying to create as much predictability as possible. It is, of course, a challenge for the local government sector that having their own tax revenues could contribute to more predictability. But we have to live with that. As long as the local government sector does not want their situation to be just a result of a redistribution or repayment and transfers directly on the government budget, that means that we must always have room for things to happen during the year, and that we have to make changes in the budgets.
ParlaMint-NO_2004-06-17.ana.ud979e1023	First, the Council of State gives the impression that SV does not want those who are users of municipal services to have something to choose from. That's why SV wants a good municipal arrangement, so that you have something to choose from. The problem now is that you don't get, and then freedom of choice isn't much worth it. So to this discussion about the failure of tax revenue. State councils may be right in some of the comments she made now, but she forgets to say that the state, when it is to balance its budgets, spends more oil money. The municipal sector cannot, but the Council of State does. But the most provocative thing about this is not that the Council of State chooses, as she does, not to give enough money to the local government sector, but it is that she puts up a fine calculation and says that 2004 is the year in which we had the biggest growth in free income that the municipalities have had. The whole basis for that calculation is that they have lost NOK 5 billion in tax revenue. How is it going to get a big loss to look like an increase in income?
ParlaMint-NO_2004-06-17.ana.ud979e1030	When we talk about increasing revenue, we're always talking about increasing from one year to another. So you could say that over a long time there may be some years when there has been tax failure, which makes the increase, if we distribute it in years, become smaller. But the background for it to be relevant is that it's what you're doing, for example. must measure the imbalance in the local economy after. For the imbalance in the local economy, which we and KS agree with, an accounting operation is based on how the operating results have been compared to our objective that it should be about. 3 pst. on a balanced basis. So last year we found out that there was $5.5 billion in imbalance. Then, in relation to the operating results and the imbalance, it is also relevant to look at the growth from one year to the next. So we could say that we also had to operate on growth over many years, over intervals, to see how much it averaged. Then there would be different numbers. If we're going to get a change in tax revenue today, for example, This year's tax revenue helps to improve the results, while at the same time we would operate on growth initially, for example. from the revised national budget.
ParlaMint-NO_2004-06-17.ana.ud979e1035	I have here the status report for the education sector in Rogaland for 2003-2004. Director of Education Svein Helgesen says: "No lir schools under heavy municipal cuts.There will be fewer teachers, municipalities will use assistants instead of educators and less money for furniture, equipment and books." And on the other hand, "Helgesen believes that more elephants now need special education because the ordinary school supply is not good enough for the elephants with extra needs." That the Council of State will not listen to the Central Party when it comes to the community structure is sad. But when the Government’s own supervisory body says so, is there also a real signal that the Council of State will ignore, or will it study more closely the situation in the school sector?
ParlaMint-NO_2004-06-17.ana.ud979e1052	The government has followed closely the situation of the resource in school and has provided its own written statement to the State of the Resource Situation in School last year. What's a fact in Norwegian school is that there's a little less resource input per. student, that's right. However, Norway continues to use more resources per year. students in both educational and non-tertiary areas. This means that there is indeed a potential in the school sector for finding good ways to organise education, for example. to achieve better results. So it's not like Norway has a poor school. Norway has the richest school in the world. Unfortunately, we do not have the best results to show. So those two things maybe we should get to match a little bit better. And that's what the Right is trying to do, by doing something in relation to the content of school, in relation to the way we organize it, and in relation to freedom. Some of the parties on the Storting are more concerned with other things than the content and the teaching itself. Therefore, they want to maintain as much earmarked schemes as possible, giving priority to the eartags rather than to the content.
ParlaMint-NO_2004-06-17.ana.ud979e1061	I am not asking for the 2004 framework to be assessed by the Council of State. I am asking for her assessment of the 2005 framework. For even after the improvement of the structure of the Labour Party for 2004, one must expect to enter 2005 with a severe deficit in the municipal sector. The government’s plans for 2005 are barely enough to cover the increase in expenditure as a result of population changes. The range presented by the Government allows for a significantly lower transfer than the population change resulting from increased expenditure. Then my question is: how can the Minister of State justify the government providing a financial arrangement for the municipalities which must certainly lead to a substantial increase in the deficit in the municipal sector in 2005?
ParlaMint-NO_2004-06-17.ana.ud979e1070	Let me just add in the last answer, that measured in dollars, we spend more money in 2004 at school than we ever did in the past. For the range between 750 million. NOK 1.5 billion and NOK 1.5 billion, I would say that if we manage to keep free revenues of SEK 1.5 billion, which is the tip of the interval, we will be able to maintain it even in relation to demographic developments. So if we can't achieve that goal, we're going to be a little bit lower than demographic development. But then the municipal sector must assume that they need to change to find smarter solutions in order to maintain a good service provision. And there's still enough room for that, not least when we see how many municipalities still don't know what the composition of their expenses is, and how poor they have about how the cost increases are. But my ambition is, of course, that we're going to have room to reach the extreme point of the local government sector interval. But it depends on what we end up with by other impositions, and economic development.
ParlaMint-NO_2004-06-17.ana.ud979e1077	The cord shift is over.
ParlaMint-NO_2004-06-17.ana.ud979e1080	The budgetary agreement between the Right, the Christian People's Party, the Left and the Progressive Party on the municipal pro-position for next year provides a sober but responsible structure that should provide a sound economic space for action overall for the Norwegian municipal sector in 2005. The agreement between the government parties and the Progress Party ensures a growth in the total income of the municipal sector between 2 billion and DKK 2.5 billion. At the same time, the municipal sector is experiencing a very solid real growth in total revenue from 2003/2004, estimated at more than 7.5 billion. In addition, low price growth and low interest rates will continue to benefit municipalities in 2005. The growth in real income of the municipality has been increasing throughout all years. Income increases have been partly very high over time, but at the same time the expenditure growth of municipalities has also been significant, as a result of new reforms, increased diversity of tasks and increasing numbers of people using the various municipal services and welfare services. In recent years, however, income growth has been lower than expenditure growth, so the local government sector has experienced some significant deficits. The growing deficits in the local government sector give cause for concern, and effective measures to correct the financial imbalances are required. While the Workers' Party, SV and the Centre only seem to have a single solution to the financial problems of the municipalities, namely to transfer more and more money from the state to the municipalities, the Progress Party and the government parties have a more nuanced view of the use of instruments to correct this imbalance. Civilian parties are much more positively positioned to use instruments such as competitive outsourcing and conversion to promote quality and save money in the municipal sector. The criticism of the socialist parties against the economic structure of the municipal sector in the agreement between the government parties and the Progress Party must be seen as excessive and unfounded, for once again the municipalities are getting a real growth in their revenues. The main future challenge for the Norwegian municipal sector is not the lack of money alone, but the willingness to convert and change an old-fashioned organisational and operational structure, thus facilitating better use of resources. Where both operations and services in the municipal sector are largely organised as a public monopoly without any form of efficiency-enhancing competition, it is very close to assuming that the operating costs are unnecessarily high and the quality is not good enough. The lack of competition to carry out the municipal tasks has led many Norwegian municipalities to have never put any real pressure on themselves to organise and carry out the tasks in a cheaper and better way, as private companies have always had to do. Market and competition are by no means worse for the public sector than they are for the private sector. All municipal operations and services should be subject to competition law, as private business has always been. Although competitive outsourcing in the municipal sector is not directly prohibited, the municipalities have, in reality, a monopoly position in the area of welfare – due to widespread local policy resistance to competition. However, more and more reports are coming to suggest that municipalities are not able to make good and efficient use of resources and that there is a high economic savings potential in competitive outsourcing. Nevertheless, the socialists boast one-sided about more money to the municipal sector, while panicking against competitive outsourcing. No municipality that opposes the competitive outsourcing should be allowed to complain. Consideration should be given to imposing a legal obligation on municipalities to outsource operations and the provision of services. An obligation for municipalities to operate active competitive outsourcing in all areas where they are currently providing services under their own control would have created a welfare market where price and quality would be more focused, for the benefit of both users and taxpayers. Welfare consumers must be offered full freedom of choice between municipal and private actors in school, health and care for the elderly. Over time, competitive outsourcing, freedom of choice and supply diversity will provide better and cheaper services in all these important welfare areas, which is essential if the welfare community is to maintain sustainability and legitimacy in the future.
ParlaMint-NO_2004-06-17.ana.ud979e1106	In the municipal proposition, we again see a clear distinction between the policies of the Workers' Party, SV and the Centre Party, and the one for which the right side, the Right and the Christian People's Party, is in favour - well followed by the Advance Party. The government's proposal to increase the funding for municipalities by DKK 22.5 billion for next year - which today receives a majority because the Progress Party supports it - will provide a significantly lower service and cut-off in school and care for the elderly. The working party disagrees and believes that such an increase is too small, as we know the situation in the municipalities. 114 municipalities are subject to state supervision. The deficit in the sector is estimated at more than DKr 13 billion. We will support an increase of between DKK 3 and 4 billion in the free income of the municipal sector for next year. The Workers' Party believes that it is unacceptable for children and older people to cheat because the Government prioritizes tax relief to the richest rather than welfare and security. The scheme for 2005 presented by the Bondevik II government to the municipalities is the worst it has ever presented. Next year there will be a growth of only 1 pst. In other words, the proposed growth in free income barely covers the additional expenditure in 2005 related to changes in population composition, among others. That we get more older. At the same time, the Government says that it aims to increase the freedom of action for municipalities. What increased freedom of action will municipalities have in 2005? Of course none - except for the freedom of action to make necessary offers to the inhabitants and to cancel municipal employees. That is what the majority - the government parties and the Progress Party - are sending out today to its 434 municipalities and 18 counties. The majority today decides to send even more municipal employees on leave. Of course, part of the increased unemployment rate is a consequence of poor local economy. It also confirms Aetate numbers. At the end of May 2004, 36 psts were recorded. more unemployed persons in the health, care and care sectors compared to the situation in January 2003. This affects not least the districts, where there are very often no other jobs to get within acceptable commuter distances. It's strange that the Christian People's Party can participate in such a priority. It also seems to be the rapporteurs and local politicians of almost all the Christian People's Party. For the current year, the Workers' Party saved the situation by demanding more for the municipalities in the budget. The municipalities received NOK 2.2 billion more than the government provided. Many politicians from the Christian People's Party and from the Right Jubilee. It is far from certain that the Workers' Party will once again become the saving angel. Now there is a settlement with the Advance Party - without a single crown in increase here in Stortinget. It's not surprising. The Progress Party has money for the municipalities only in the revised budget. It's funny--to say it mildly. The government will return part of the corporate tax to the municipalities. Again we see large and sudden changes over the night that affect very many municipalities negatively, cf. what happened a year ago in the case of drug transfers and psychiatry. Many of the same municipalities get negative again. The opposite happens to those who are going to get more money. The mountains still seem to be the well-designed one in the struggle for more money. How does the Government feel that the communities that are coming out badly on time are going to face such a difficult challenge? That the state council might be able to tell these municipalities. All the municipalities in Østfold lost last year - over 30 million. kr for the conversion of the cost key for drugs and psychiatry. Now, the same municipalities are to be re-affected by the conversion of corporate tax. Eastfold municipalities are losing another $40 million. kr. This is totally unacceptable. The Labour Party rejects the entire proposal for the return of company tax now. We believe that this needs to be seen in the context of the whole system of funding for the municipal sector and addressed by the Committee on Income Systems, which is now in the middle of this work, and will present its position by the end of 2005. With the Workers' Party's increased framework of between 3 and 4 billion, Eastfold would receive 133 million. kr more. It would have been a good and necessary contribution.
