ParlaMint-NO_2004-10-27.ana.ud698e27	The called alternate of the Hordaland County, Pål Kårbø, has taken the seat.
ParlaMint-NO_2004-10-27.ana.ud698e453	I must first remind the council that this is a state property, and that state buildings are going to put it out for sale for housing speculation. So this is a natural pearl in the big city, it's a protective building here, it's been a state special school here, we find graveyards here, and the property is located next to the Torshov Valley and is thus a breathing hole in the inner Oslo that the Workers' Party believes must remain public. In fact, kindergartens can be built here, in a very densely populated area with an increasing population, and school buildings can be used. On 17 June this year, the Stortinget took a decision on the basis of a statement by the Defence Committee on the East Poles asking the Government to present a plan for the state areas to be disposed of, in order to protect those with cultural or open-air values, in order to safeguard the rights of all persons. Will the Council of State take this up with its colleague in the Ministry of Modernisation in order to prevent State-building from selling this property to residential buildings?
ParlaMint-NO_2004-10-27.ana.ud698e462	I can only confirm that we have a significant work to do in relation to the decision taken in the light of the decision of the Defence Committee, by going through all the property of the Defence Courts that are at sale, in order to assess whether some of them are of particular importance to the open-air interests. That work is in progress. So I'm going to say that it's not like all the areas that are sold to private people are losing their value. It's a lot of stuff. The possibilities here to put strong leads on spatial planning, precisely to ensure that the same owner is the same, areas are to be secured as good green space and secured as the open air areas they can be in large cities. There's the same possibility of applying land-use planning whether it's in public ownership or in private ownership.
ParlaMint-NO_2004-10-27.ana.ud698e469	Heidi Sørensen – for follow-up questions.
ParlaMint-NO_2004-10-27.ana.ud698e472	I am a little surprised at the lack of understanding by the Minister for the Environment about the difficult situation that is when there is pressure on green lungs in a big city, with the pressures in the housing market at the same time, and given the value of these plots. At the same time, I understand that he cannot attest here and now that he will go in and do something. But what surprises me is that he doesn't even manage to say that he wants to go in and look at the matter, and see if there's anything he can do to secure this area, Torshöpten, as the green lung it is in Oslo.
ParlaMint-NO_2004-10-27.ana.ud698e478	Obviously, this theme that's being taken up here is very important. But it's not necessarily that it's in public ownership, it's determining whether this is kept as a green area. What I can promise is that I'm going to look at things, I'm going to go in and evaluate this because it's important, but it's not necessarily that keeping it in public ownership ensures this as a green area. Regulatory plans may allow both a private owner and a public owner to retain this as green space. And then I'm going to end up with what the representative Sørensen says: it's important to secure large, good buildings and green areas in the cities. It is a policy that I take full responsibility for, among other things. through the planning and land legislation, for which I am responsible.
ParlaMint-NO_2004-10-27.ana.ud698e485	Let's move on to the next main question.
ParlaMint-NO_2004-10-27.ana.ud698e488	I have a question for the Minister for the Environment. This winter, Statoil and Hydro have been allowed to drill some wells in the Barents Sea. In this context, some environmental protection organisations have, inter alia: Nature and Youth and Bellona, announced actions, and we remember that Nature and Youth had previously also had illegal actions when it came to Snow White development. These environmental protection organisations receive millions of support from the country. Will the Council of State ensure that environmental protection organisations that deliberately violate the law to act unlawfully against lawful decisions lose all State aid?
ParlaMint-NO_2004-10-27.ana.ud698e495	Developments in the Barents Sea have been much debated in environmental circles. It has been a good, democratic process to make a decision in these matters, and that is what I am basing on in this matter. The environmental organisations are doing a significant and good job. Of course, we can discuss some of their actions. Some of them think I'm very good, some of them I don't really want to support. But it will never be that we will judge good democratic processes and choose between the organisations that may oppose the Government's policy and those who may support the Government's policy, and then give public support to it. I want us to have good, democratic processes. I want us to have organisations that work widely and that have a strong commitment to environmental issues. I do not want to rely on a political assessment to decide who is to be supported or not. I think that environmental organisations are doing an important job, and there should not be political processes that decide who gets the support, and who doesn't get the support, which I don't think is home in a democratic society.
ParlaMint-NO_2004-10-27.ana.ud698e502	I thank the Council of State for the answer. I agree that it is democratic processes that lead to the decisions taken here in the Grand Duchy. But the problem is that these environmental organisations don't care about the democracy they have, they protest from their point of view and don't respect the decisions that are taken here. It is quite clear that there is a political process in relation to who receives State aid from voluntary environmental protection organisations. There is, of course, a chapter and a separate item on the state budget to give money to some of them. One of the problems is that some people get State aid, others don't get it. People's reaction to new predatory policies, for example: not, Norsk Cultural Heritage Foundation is not supported either. And some get support for one year and lose support for the second year. Do the Councils see the need for a review based on equal criteria, including as regards the number of members of these organisations? – For the number of members may go up and down, while State aid increases year by year.
ParlaMint-NO_2004-10-27.ana.ud698e509	For example, the allocation of resources to environmental protection organisations. based on some criteria. It goes by the number of members, it goes by the work that a person does. So there is today a criterion for the public for those who are to be supported. I think we have found a good design on it. There will always be discussions. For the current year, we have first laid down the professional criteria, and then we have increased equally to all organizations by 15 pst, so that there should be no discussion that it has our political leaders. It has simply been a desire to support environmental protection organisations, which I think are doing an important job.
ParlaMint-NO_2004-10-27.ana.ud698e514	There will be follow-up questions – Ingvild Vaggen Malvik.
ParlaMint-NO_2004-10-27.ana.ud698e517	I am pleased with the answer given by Councillor Hareide to the Advance Party in relation to the view of civil disobedience, otherwise I would have been a little worried about the party support in the future. But it is not enough to talk nice about voluntary environmental protection organisations or to give them money, you also have to listen to them, and my question is to what extent the Council of State intends to follow the advice given by environmental protection organisations. The fight in relation to the use of resources in the Barents Sea is closely linked to the fact that environmental protection organisations have a much more forward-looking and responsible line than the Government in terms of the view on natural resources and not least the focus on renewable resources. Finally, the Government is going to move ahead with the work on the renewable directive. The problem is to set a target of 90 pst., which means that the share of renewable energy in Norway is actually being reduced, and then the question is: Will Hareide listen to environmental protection organisations and work to increase Norway's share of renewable energy in the years ahead and not be reduced, as the Government is now proposing?
ParlaMint-NO_2004-10-27.ana.ud698e524	Yes, there is no doubt that we should listen to environmental organisations. They're on considerable knowledge, they're actively working on matters, they have a lot of expertise and a lot of experience when it comes to these issues, and the government also thinks it's important to listen to environmental organisations. It is clear that in some cases it is not always possible for environmental protection organisations to respond fully. I think it's important not just to listen to environmental organisations, it's also important to listen to all those who are affected by the decisions that include them. The Ministry of the Environment does. There are environmental organisations one party, the industry may be another party. Local parties, municipalities and regional authorities may also be some to which one should listen. It is precisely to see the healing that is my responsibility.
ParlaMint-NO_2004-10-27.ana.ud698e529	Then the time for the oral question procedure is over, and we go over to the ordinary question procedure.
ParlaMint-NO_2004-10-27.ana.ud698e536	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 5, from the representative of Karita Bekkemelm Orheim to the Minister for Children and Family Affairs, will be taken up by the representative of Marit Nybakk. Question 6, from the representative Arne Sortevik to the Minister for Education and Research, is postponed until the next Question Time, when the Council of State has left. Question 7, from the representative Bendiks H. Arnesen to the Minister for Fisheries and Coast, is postponed until the next Question Time when the Council of State has left.
ParlaMint-NO_2004-10-27.ana.ud698e552	I will be allowed to ask the following questions to the Minister for Labour and Social Affairs: «During the treatment of Innst. O. No 59 amendments to the Act on the Coordination of Pensions and Social Security Benefits were adopted, which showed that, after 67 years of age, the achievement of a high level of social security can be excluded from the coordination of occupational pensions. [[1998-99]] In Pensionist magazine No. 5 for 2004 it is claimed that the required regulation has not yet been prepared by the Ministry. If this is true, will the Council of State immediately ensure that regulations are made, so that all the pensioners concerned get their legitimate performance?’
ParlaMint-NO_2004-10-27.ana.ud698e566	In 1999 the law amending the law included provisions in the Co-ordination Act to exclude increased supplementary pensions from popular protection. The change was limited to an increase in supplementary pension due to the provision of points in care after the completion of the professional activity and the achievement of points after the withdrawal of the occupational pension for the years when the pensioner reached the age of 67, 68 or 69. In the proposition, it was signaled that one should also give a prescription. This is, as Mr Nesvik points out, so far no action has been taken. This is because the provision in question has been practised in accordance with the intentions of the law. the position is consistent with the opinion of public occupational retirement provision schemes. However, following a detailed assessment, the Ministry has concluded that current practices should be laid down. The question has been referred to the occupational retirement provision schemes, which agree to lay down a code of practice. I am aiming for the regulation, which is now under work in the Department, to be laid down by the end of the year.
ParlaMint-NO_2004-10-27.ana.ud698e577	I thank the Council of State for the answer. I have to say that was a very good answer. I want to give tribute to the Council of State for having gripped this so quickly, and so that we can get this regulation in place hopefully by the end of the year. It's quite right, as the Council of State says, that the proposition says: ‘It may be necessary for individuals themselves to apply for the benefit in question to be free of coordination. It is therefore required to provide a regulation on the implementation as provided for in Section 23(1) of the Coordination Act. 3.’» So I hope that this comes into place quickly, so that the pensioners have the security that this is the regulatory home. Besides that, I just want to thank the Council of State for a good answer and a good job.
ParlaMint-NO_2004-10-27.ana.ud698e589	After this recognition, there is no need for any further comments from my side, other than confirming that the regulation will be put in place by the end of the year. But I would also like to stress that it is our clear view that the practice that has been followed after the amendment of the law is entirely in line with the intentions underlying the amendment of the law.
ParlaMint-NO_2004-10-27.ana.ud698e597	I allow myself to ask the following questions: ‘Some local communities have specific challenges related to increasing the population during the tourist season. This applies, for example: Gol and Hemsedal, which in the winter are visited by thousands of ski tourists. In the budgetary position for 2004, an overall justice system stated that population fluctuations, as mentioned above, should be taken into account in the annual allocations to police districts. Understood, increased funds shall automatically be allocated to the police of the respective local communities. How will the Council of State ensure that this is clearly evident from the allocation?’
ParlaMint-NO_2004-10-27.ana.ud698e606	In many police districts, there are special circumstances that require a specific assessment of the allocation of appropriations. There may be tourist inflows in summer or winter, colleges or universities with large inflows of students, special expansion projects with a large number of workers over a period of time, etc. Such special circumstances may require extra efforts from the police. In determining the staffing of the individual police districts and county offices, this includes, inter alia: taking into account specific challenges in the district. The Ministry of Justice has referred to the opinion of the Justice Committee at the beginning of the budget in the letter to the Directorate of Police. S. No 4 for 2003-2004 to take into account the increase in the population during the tourist season in the allocations to the police districts. In its letter of disposal to the police departments, the police directorate has said the following: ‘The increase in the population during the tourist season has previously been incorporated into the budget allocation model. This consideration has continued to be taken into account in the continuation of the 2003 budget framework.’ On the basis of these leaders from the Ministry of Justice and the Directorate of Police, I am confident that the individual police officers will take these matters into account when allocating the appropriations to the individual officers' offices and police stations.
ParlaMint-NO_2004-10-27.ana.ud698e618	I thank the Council of State for the answer. I wish I could be very Lutheran at this point and apologize and talk about and take everything in the best possible sense. And I do. However, I am not quite as optimistic as the Council of State, or to be in my introductory image: not much of a believer. I wish there had been a clearer indication that you, for example. in the examples I mention, Hemsedal and Gol, in a more explicit way, had said that here, funds have been put in to take care of it. This leads quickly to, I have let myself tell around in various police districts where this is the case, that you have to ask and ask from the gentleman in the particular county.
ParlaMint-NO_2004-10-27.ana.ud698e625	Now both the representative Marthinsen and I can put Luther aside and stick to the Stortinget. The size has been clear, and the Ministry of Justice has also been in relation to the Police Directorate and the Police Directorate. But it is the case that the police reform does not involve detailed management. You create a framework, and you have freedom under responsibility. And it's very different in Norway. Let me just mention some examples: great influx in Agder in the summer, Sunnmøre, with cruise ship calls in Geiranger, a relationship that the police director personally has entered into, North Buskerud, which the representative has brought with him, not to mention Eastfold and Westfold, with great indentation of cabin people and boat traffic in summer time. These relationships are being tried. However, the major issue raised by the representative lies in the debate that Stortinget will have when the police role message is presented, where both the police reform is evaluated and the allocation of resources between the police districts. The major debate on this, which the representative is basically asking for, will then also arrive at the Stortinget.
ParlaMint-NO_2004-10-27.ana.ud698e636	I am pleased with the answer given by the Minister of Justice here. It is clear that this can be seen in many ways as a prelude to the passing of events, while at the same time it may be rooted in the reality that you experience around, and which may often be associated with a feeling that everyone is fighting for their assignment, and that this can be difficult internally in the police districts. I expect the police officers too to notice that this has been raised in the Great Britain Question Time today, and what the Minister of Justice has answered. I also expect this to be clarified in the waste disposal writings, and that it should then be handled in a good way.
ParlaMint-NO_2004-10-27.ana.ud698e645	We are all lurking in the public debate – here we come almost Luther in the statement. It happens to politicians, whether they are poachers' representatives or state councils. And we have to assume that police officers are involved in the public debate. We also have to assume that local viewers come along. So that way you're in purgatory. To take a popular example of this: when the real storm was at its worst in Eastfold, the police officer put on the local radio and came – it has been told me – with the following funny statement: I hold the fort, and Doorum fights for the money. If the intervention of the representative, Mr Marthinsen, is to be interpreted in such a way that he does, there may be a good exchange of staff in the course of this debate.
ParlaMint-NO_2004-10-27.ana.ud698e658	I would like to ask the Minister of Justice the following questions: ‘During Question Time on 20 October 2004, the Minister of Justice said that dangerous persons should be imprisoned immediately. This was related to a matter mentioned in the newspaper of week 43. The police claim that it is necessary to calculate up to several weeks' waiting time, even if there is a risk of repetition on the part of the perpetrator. What's right is, as the Council of State says, that people like that. are sentenced to detention, are they immediately to be imprisoned, or is it as the police make it that it can last weeks and months?’
ParlaMint-NO_2004-10-27.ana.ud698e667	The rule of the law is that criminal convictions are to be executed as soon as they are enforceable. Precautions shall be given high priority by the police and the prosecution authority so that enforcement can be carried out accordingly. It is obvious that custody sentences must be executed immediately, as such a judgment is based on the existence of a qualified and real risk that convictions may again commit a serious crime that would violate the life, health or freedom of others, or endanger those assets. Such a judgment is based on the fact that the use of custody is necessary to protect society. As a result, waiting time beyond what is strictly necessary will be in obvious conflict with the heavy social concerns in which all detention sentences are enshrined. A large proportion of those sentenced to detention have been held in custody during the investigation and the proceedings of the courts in the criminal proceedings and until a final judgment has been given. In these cases, imprisonment will usually last until custody can be implemented. Consequently, the question of waiting time between judicial judgment and enforcement will not be raised here. In the cases where the offender is acquitted, this will be due to a specific assessment of the individual case whether the prosecution authority should promote an application for detention before the courts with a view to keeping the offender imprisoned until a enforceable judgment can be enforced. In such an assessment, the risk of repetition of serious criminal offences over time until enforcement can be implemented and, in the most serious criminal cases, the public’s concern will be central. What I have touched on here is the formal legal framework for the enforcement of detention sentences and, in general, how to deal with such cases. With regard to the handling of specific individual cases, this falls within the competence of the Advocate General and is therefore not the subject of my commanding authority as the Council of State. It would therefore not be right for me to comment on individual matters that are referred to in the media. However, on a general basis, I would like to take up the topic that I have now addressed to the representative, with the Riksadvokat. However, press headlines have shown that there have been cases where there has been too much time from the moment when there is a judicial verdict on custody and until the criminal justice system implements it. We don't have a storage queue, and there's a safe deposit box in the Ila prison, a safe deposit box and a safe deposit box. Nor does it seem to be lacking in the laws and regulations that are relevant to this matter, but there are not enough procedures. The Ministry of Justice will therefore take the initiative, as I also said in the spontaneous Question Time, to review the procedures for ensuring effective enforcement and the effective use of the detention centres that we have. In addition to this, I would like to point out that since 2001 we have been giving instructions to those sentenced to long sentences and violent and violent sentences, of course, in relation to enforcement.
ParlaMint-NO_2004-10-27.ana.ud698e684	I thank you for your answer. I think the Minister of Justice here is clear in his political message. Of course, I also fully share the underlying intention, namely that the public interest here should be central. In that I also assume that the consideration of victims for these kinds of acts should be taken into account. There has been a discussion in Norway about the relationship with the perpetrator and the victim. I think that by being very clear in these kinds of things and in other crimes, you have a clear political signal about how you want development to be. I think that's very positive. At the same time, it's a little challenging, I think, to hear police lawyers say that the system is like this, we have to wait for it to take a long time, the system doesn't take over the realities. I record that the Minister of Justice has said something else in his answer, and my question is: do we have procedures and interaction between the different levels of justice? Are they good enough when we get these kind of statements? Or is there any attitude behind it?
ParlaMint-NO_2004-10-27.ana.ud698e695	What I said in the spontaneous question hour, and to the extent that I repeated, I would repeat: we want to use the matter that was the subject of Ellingsen's question to me in the spontaneous question hour, to a case, to see that we are just going to be good enough in the routines. I can also inform you that, last Friday, I had a meeting in Trondheim with representatives of Norwegian lawyers, the court administration and the prosecution authority, both the lower and the higher prosecution authority, to be absolutely sure that everything that concerns legislation and procedures, we should actually go through. It was a tremendous effort, where everyone contributed with an open mind to do something about it. That's the general question. But when it comes to the very specific thing here, which goes into custody and in the particularly serious cases, I'm just going to use the example that I've done here. That will form the background for conversations I have with the Advocate General in general. It will also provide the background for other relevant dialogues I want to conduct. Then I won't comment on any statements about the press. There is freedom of expression in this country, and everyone stands for the statements they make. But I guess I've actually given my comment, without going into the individual matters, by expressing myself as I have now done as a Council of State.
ParlaMint-NO_2004-10-27.ana.ud698e704	I thank you again for the answer, and am very pleased that the Minister of Justice is as clear as he is. I assume that we have a common challenge, and that we have a common position that these kinds of issues should be clearly identified. I also believe that the Minister of Justice's approach here makes sense in showing and perhaps using a case as an example to discuss the process in the system, and not least show how to expect this to be followed up by the political system. Because there has to be coordination. There shall be a link between the size and that which will subsequently be implemented in a good manner. Once again, I would like to express my thanks for the reply from the Minister of Justice. I look forward to letting go of similar things in the future, and I expect the Minister of Justice to share my wish.
ParlaMint-NO_2004-10-27.ana.ud698e713	Of course, I share that desire. I can never give a guarantee, because we humans are faulty, whether we are state councillors or not. But, of course, we have to do our utmost, and in the public debate we have to live under the critical spotlight of the debate, including the initiatives of the big business representatives in the Chamber. To give an example, we chose to ask two Norwegian judges to look at two murder cases and compare them with Sweden. Now you can't compare it completely because it's not the same ratio. But we chose to hold it up like a mirror, to see what we could learn from it. This has resulted in a cooperation situation that started last autumn at the Oslo Courts, with full cooperation with lawyers and prosecution authorities to ensure that things go quickly. Then last Friday we went on with a national gathering of the National Attorney General and his people, central people in police prosecution functions and Norwegian defense lawyers and judges, to be absolutely sure that we can handle things the way we do when Norway is at best, that we sit down and come up with all the little things that matter, and add up to them. I am going to work further in that spirit and with the mentality that I have mentioned to the representative, and that he has commented to me.
ParlaMint-NO_2004-10-27.ana.ud698e725	‘The festival games in Elverum are 30 years old and are thus one of the country’s ‘seniors’ among party games and festivals. The games have increased in popularity and are gathering more and more trailers. The base of the games as an orchestral course for the youth symphonics makes this event special, among other things. with a view to future recruitment. Party games have been trying to get node status for a long time. The interior now deserves this status for the games to play. What is it to do for the Elverum Festival to achieve such status?’
ParlaMint-NO_2004-10-27.ana.ud698e732	The status of a node institution is a long-term financing model where funding is shared between the country and the region. The state covers 60 pst. of the ordinary public operating grant, while the region covers 40 pst. It is an excuse for the state grant that the region allows its share. Four festivities/festivities have per. the status of a node institution. It is the Festival Games in Bergen, the Festival Games in North Norway, the Olav Festival in Trondheim and the Molde International Jazz Festival. The Ministry of Culture and the Church has proposed, in the proposal for the 2005 State Budget, the Förde Internationale Folkemusikfestival as a new node institution, in line with the recommendation in the Innst. S. No 155 for 2003-2004 from the Committee on Family, Cultural and Administrative Affairs on Cultural Policy towards 2014, i.e. on the Communication on Culture. The games in Elverum are an important venue for the dissemination of classical chamber music and have expressed a desire to gain the status of a node institution. Other party games and festivals also have expectations of such status, Jr. Innst. S. No 155, which I also mentioned instead. In the setting, a number of the committees have been formed to give node status to several festivals over the years, and to name them. The games in Elverum are not among those that are mentioned. It doesn't mean that the games in Elverum can't get such a status, but the question has to be considered in a larger context. The Ministry will therefore look more closely at the issue and give a holistic priority in line with the Storting's intentions. This will be done in consultation with the regional contributors, the municipality and the county.
ParlaMint-NO_2004-10-27.ana.ud698e747	I thank you for your answer. When you're engaged in these kinds of festivals and party games, it's obvious that you look to the side and see what kind of status other events get. It creates expectations in many ways when comparing sailing with other types of party games and festivals, that you have the opportunity to reach out, just to ensure the predictability of the status function. My question – and I would like to repeat it – was: What is the Council of State really supposed to do, and what kind of criteria are the basis for this assessment of node status? And isn't she afraid that the practice you have now actually means that you get a pretty big amount of randomness compared to whether it actually is? Do you have enough driving rules in relation to this, so that, among other things, The games in Elverum, and to the extent that others, know what to build up against in order to meet such an important criterion that ensures such important funding?
ParlaMint-NO_2004-10-27.ana.ud698e756	When it comes to the status of a node institution, there must be mandatory cooperation, i.e. a regional decision on co-financing. This is a necessary premise. He is not entirely decisive, but he is necessary, not as in several festivals that also have local and regional support. Then it is clear from the cultural announcement that the department sees it as a poor thing to prioritize an extension of the framework for the festival support scheme under the Norwegian Cultural Council. The allocation of funds must then be based on a quality, digestion and local anchorage assessment. There will also be a more flexible use of state resources for festivals. Now it would also be an advantage if Elverum had got a plurality in Stortinget compared to the ones that were mentioned. They were not allowed. I haven't even been to a party game in Elverum, but I've heard a lot about it. It's not what's supposed to mean when it comes to who's going to get the status of a node institution. We want to look at this whole thing and take one step at a time in relation to the ones that we can fit in. It's also an economic question.
ParlaMint-NO_2004-10-27.ana.ud698e767	Then I would like to invite the Minister of Culture to the opening concert at the next party game! There I probably have two tickets, she'll get one of them. And I'm sure if she has an opportunity, she'll be with me. It is clear that a strong minority in the Great Britain, the Workers' Party, the Socialist Left Party and the Centre, when dealing with the cultural message, and also at the last budgets, have actually been set up and seemed that it is important now to give such status to the Festival Games in Elverum. I have to say, one thing is the geographical arguments, which I understand you should be toned down in relation to this, but it is quite obvious that the inland and the cultural activities that are happening in the interior need to be strengthened. If you look at those who have gained node status, I guess in many ways, the Council of State should not only be invited to participate in the opening concert, but perhaps it should also have a keen look at the possibilities for the party games to actually get node status. My question will be in this final round: at what time does the Council of State see it possible to gain a more recent and broader assessment of whether or not the party games and possibly others will be able to gain node status?
ParlaMint-NO_2004-10-27.ana.ud698e778	The natural time is at each budget proposal. We're going to follow up the cultural message, and one of the points in the cultural message is that we also want to expand the number of node institutions, and then, of course, Elverum will be evaluated. I don't think there is a lack of invitation that means I haven't been to Elverum yet, there is probably a lack of time either. There's a lot of summer time happening. A vacation should also take place between all these pleasant activities. I agree with the representative of Storberget when he points to the geographic centre of gravity, from Bergen up to Harstad, and then we have no one in the inner Austland area. The quality is of course the most important thing, but I don't think it's the quality it lacks when it comes to Elverum. But geography should also be taught, to say it this way, when it comes to who we're going to include in the next round. It's also so that when you look at what gets multiples and minorities in the committee, it might be even more random than what we in the department decide -- I'll say it's more random. It has something to do with the geographical association of the representatives and some of these things. It really shouldn't count. I take with me the invitation from the representative of Storberget, and hope that we don't have to wait too long to evaluate Elverum.
ParlaMint-NO_2004-10-27.ana.ud698e795	This question, from the representative of Karita Bekkemelm Orheim to the Minister for Children and Family Affairs, will be raised by the representative of Marit Nybakk.
ParlaMint-NO_2004-10-27.ana.ud698e798	On behalf of the representative Karita Bekkemelm Orheim, I have a question for the Minister for Children and Family: ‘In the context of the notification of gay and lesbian living conditions in Norway, funds were granted for an anti-discrimination project under the auspices of the National Association for Homofil and Lesbian Liberation. The project has positive results and experience. The Ministry has not continued the project, inter alia by reference to the joint representative for discrimination. What does the Council of State do to follow up the decisions of the notification, in order to prevent discrimination on the basis of sexual orientation?’
ParlaMint-NO_2004-10-27.ana.ud698e807	With regard to the follow-up to the decisions in connection with the Leverage Notice and the quality of life for lesbians and gays in Norway, I refer to last year's interplay from Siri Hall Arnøy. It was about my goals and visions for the homopolitical work and what kind of view of gay and lesbian I am taking on the basis of the work. The interpellation was debated at Stortinget on 13 November last year, and I then gave a comprehensive account of the follow-up to the communication. In addition, I refer to the Government's draft budget for 2005. The anti-discrimination project started on 15 August 2002 and was due to end on 15 August 2004. It has always been a prerequisite for the project to go over two years. The 2002 budget proposal reads as follows: ‘A two-year project under the auspices of LLH, covering anti-discrimination work aimed in particular at the organisation and working life, has also been used.’ Following an application dated 4 March this year, the project was extended in 2004 and a grant of SEK 190 000 was granted. The letter of grant expressly stated that the additional appropriations were for the completion of this project. The end date has also been communicated orally to LLH on several occasions, both in a meeting between LLH and the civil service in February this year and in a meeting between LLH and me and other political leadership in the department on 25 May this year. In this last meeting, there was a great deal of consensus about the end-time, and we discussed the evaluation of the project, including the following: the planning of the evaluation was to take place in the autumn of 2004 in cooperation between the LLH and the Ministry of Children and Family Affairs. Work itself will start in 2005. The anti-discrimination project has been constantly followed with great interest in the department, through reports from the LLH and in the regular meetings between the association and the department. I think it is wise to evaluate this project after 2 and 1/2 years of working – that was also the intention. We will have an overall assessment of the issues related to the project by lesbians and gays and the scope of the cases. We will also get an idea of the extent to which the public utility has been able to contribute to these matters. It is set at NOK 100 000 for the evaluation.
ParlaMint-NO_2004-10-27.ana.ud698e823	I thank you for the answer, but I am not satisfied with what is now said. I would like to remind you that we are in a period of heavy and large legislative work involving lesbians and homosexuals, for example. the proposal on gender-neutral marriage law and, in general, the protection of discrimination under the Constitution. In addition, it remains to be realised, in fact, a great many of the measures decided unanimously in the context of the notification. The same big message outlines the role of the National Association for Homofil and Lesbian Liberation as a professional watchbitch and a pre-missive for the social debate – an organisation that does a real, decent job. How, then, does the Council of State think that the National Association for Homofil and Lesbian Liberation should follow up the legal work through its role as a watchman without the legal competence that they no longer want to afford?
ParlaMint-NO_2004-10-27.ana.ud698e832	First to the full action plan: a number of work is ongoing in very many departments to follow up the action plan. I refer again to the debate we had in Stortinget on 13 November last year. My impression after that debate was that Stortinget was satisfied with the work that was going on and that is still going on in the various departments. We have also received 26 questions from Stortinget about this action plan, which we are about to answer in the ministry. There'll be supplementary answers, because there's a lot going on. LLH shall continue to receive operating aid as high as they have in recent years. The organisation has an operating aid of 2 million. kr, and within that framework, the organisation is well maintained – much better than many other organisations of the same size – just to be able to catch up and do a good job. In the case of the project itself, it was to end in the autumn. It has been continued over the year, and it is fully in line with the action plan adopted by the Stortinget, that this project should last for two years. The evaluation will show what we might be going on, and whether we're going to do something different than today.
ParlaMint-NO_2004-10-27.ana.ud698e841	Then I have to ask the following: if it is such that the union is now considered to be well-managed with the funds given by the department, does that mean that it covers what was also in the project? That's my immediate question. I want to show that the project has actually covered all forms of discrimination, and that the number of increasing requests has made the need for assistance and assistance visible. In addition, the Equality Ombudsman, the Equality Centre and the Anti-Discrimination Organisation have stated that they support the project and do not have the capacity or resources to take on precisely these anti-discrimination tasks. So I want to repeat the question: how will the Council of State ensure that the work against discrimination against homosexuals and lesbians is maintained, and is it such that the union will receive as much money as if they had this project continued?
ParlaMint-NO_2004-10-27.ana.ud698e850	The 2005 budget does not add funds to the anti-discrimination project because it has to be evaluated. We'll come back and see what's going to happen. In one area, however, the department works with a legislative proposal – for a common equality and discrimination agency. In this context, it is assessed whether the new ombudsman should also enforce the labour-environment rules on discrimination in working life, i.e. in the area where LLH projects revealed that there are most issues related to discrimination. Then I would like to say that this project should monitor and have identified where discrimination is taking place. It has made discrimination visible, not least in the workplace. The project as such has not dealt with individual matters, but they have shown individuals the way forward, and a system has certainly been put in place to help individuals further. As I said, the project has not dealt with the individual issues. It's going to be public. To the extent that shortcomings have been identified in the public sector to deal with this, the evaluation will be very important to see where and how to continue this work. And that should be done by the authorities.
ParlaMint-NO_2004-10-27.ana.ud698e878	These questions are postponed to the next Question Time.
ParlaMint-NO_2004-10-27.ana.ud698e884	I have the following questions for the Minister of Health and Welfare: ‘Overdosage and misuse of medicinal products have become a major cause of death and a threat to health and quality of life. In hospital hospitals, about 1000 people die each year from overdose or misuse of drugs. In comparison, it should be mentioned that 280 people were killed in traffic last year. Will the Council of State launch surveys and monitoring to reduce this enormous figure, and is this high death rate related to the large-scale reformer and the rationalisation of the hospital sector?’
ParlaMint-NO_2004-10-27.ana.ud698e893	The representative of Bastisen asks a question based on the Ministry of Health's budget for 2005. Here we refer to a study from an in-house department at the University Hospital in Akershus, conducted between 1993 and 1995. In the study, they found that the incidence was 9.1 drug-related deaths per year. 1000 submissions. The study concluded that 50 pst. of these deaths were related to adverse drug use, overdoses and misuse. It is important to note that the study does not distinguish between misuse in the hospital and misuse that is outside the hospital's control. According to the State Health Authority, 389 cases of adverse events related to medicinal products were recorded in the hospital in 2003. Of these, 56 events involved significant damage and 11 requests of unnatural deaths. Whatever the size of the number, one death is too much. In case of accidental drug use in the hospital, this is a serious deviation from the standards and guidelines underlying hospital systems. Therefore, let me explain the requirements of the hospitals regarding the management of deviations. Hospitals shall capture non-conformities and report events involving significant personal injury associated with treatment. This also applies to the administration of medications. This requirement is laid down in the Special Health Services Act §3-3, Report obligation to the Health Authority in the county. I quote: ‘The health institution covered by this Act shall, as soon as possible, notify in writing to the County Health Authority of significant personal injury caused to patients as a result of the provision of healthcare or by one patient injuring another. Events that could have led to significant personal injury shall also be reported.’;» I can assure you that quality assurance and focus on good business management is a priority after the corporate reform. The introduction of new procedures and the correction of non-conformities shall be continuous and improvements shall also be included in the use of medicinal products in hospitals. A new management tool is now in use, which will give an overview of the number of posts associated with, for example: patients over a certain age. It will also be a starting point for a dialogue with the first line service on good solutions. Misuse of medicinal products has always been a threat to health and quality of life. It is likely that there is also a focus on the quality of healthcare and the reporting of errors and injuries that is an important reason to see the scale of the problem better today. In this way, the hospital reform may have provided a better basis for assessing where action should be taken. Proper use of medicinal products will also be a key theme in the key policy communication to be presented by the Government in spring 2005. In the Communication, I will focus on the scale of the problem and look at how the public can facilitate a better follow-up of patients, both inside and outside institutions.
