ParlaMint-NO_2004-03-30.ana.ud2301e55	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2004-03-30.ana.ud2301e496	I agree with the Minister of Health in one of his statements, and that is that the whole must not disappear in individual matters. But when the individual things become so many that they form a whole, there is reason to react. So the Minister of Health said in written form that one should have no lower activity in somatic matters than in mental health protection. That's all right, but then we have this bike fight on resources. The center part won't slow down the activity of the somatic system, but at the same time we're going to increase the activity of the psychiatry based on the intentions of the psychiatry plan. This newsletter from the Minister of Health last summer I can make a little visit. We didn't even agree to slow down the somatic activity then, but we don't have to put these things up against each other. What you can conclude is that there is too little access to resources in the specialist health service. If one is to increase the level of activity, one must also increase the resource base that must be available and available in order to have a good specialist health service in both somatic and psychiatry. The same should apply to psychiatry and somatic matters in the municipal sector. Especially if you want a decentralised profile of mental health protection efforts, it is clear that municipalities have to be able to provide the decentralised service in a proper and dignified way economically and resources. The District Psychiatric Centres were some of the things that would take up the increased activity and be a link between the first and second line levels. We know that adopted projects that were there before health companies came into the picture have been postponed or ridiculed. In my opinion, that's the opposite of betting. This crisis situation means that we are now just discussing treatment — and I may have to say crisis treatment — and not prevention. It's very scary. Psychiatric disorders generally increase, and psychosomatic disorders will come as a snare over much of the Norwegian health system. We know that more children and young people suffer from mental illness, and not least for this group there is an urgent need for treatment, so that disease development does not have even greater consequences and it is even more expensive to treat. I would like to repeat again what the Riksrevision has pointed out, that there is an error in the allocation from the ministry and the state itself. That misallocation, or the pre-allocation, should be corrected as soon as possible. I ask the Minister for Health once again: will he do something about this in connection with the revised national budget already to spring? Offers disappear without new ones coming and being set as an alternative, both in the case of emergency reception, proper diagnosis, which others have been involved in as well, treatment, rehabilitation and care and aftercare. Russ and psychiatry are also a problem area that I hope we can perhaps come back to the next matter.
ParlaMint-NO_2004-03-30.ana.ud2301e514	When the Storting went through the psychiatry challenges in 1997, this part of the health care was subjected to a crushing judgment. It turned out that the need to improve the supply of people with mental disorders at all stages was great. The contingency plan was adopted for the period 1999-2006. Afterwards, a lot of positive has been done, and a lot more people are getting help today. Despite the fact that more and more resources have never been used for mental health and, although more and more people seeking help are receiving help, there is still a high level of pressure on the acute wards of mental health protection for adults and increasing cows at outpatient clinics for children and young people. This shows that we are facing new and major challenges today. I am therefore pleased that the Government has proposed to extend the planning period for a further two years, up to and including 2008. The need to improve the supply of people with so-called double diagnosis is high and increasing. We find that more and more young people are flirting with drugs and so-called party baptisms, leading to depression, anxiety, personality disorder and psychosis. In the treatment of drug reform, it was decided that from 1 January 2004, drug addicts should have the same entitlement to treatment as other patient groups. This means that these patients are covered by the Patient Rights Act. It also means that the primary responsibility for developing treatment services for patients with doublediagnosed drug/psychiatry has now been added to healthcare establishments. Patients with so-called double diagnosis need better and more coordinated services than others. It is therefore positive that there is now finally a technical agreement that treatment for both disorders must be seen together and given at the same time. This means that the trouble is now finally being taken seriously, but it also means that there are increasing demands on the psychiatry. The area is marked as a special challenge both for municipal services and for health businesses. The Health Directorate and regional health businesses are now cooperating on regional education programmes for increased competence in the field of drugs and mental health problems. The work on important skills enhancement is reinforced by 2 million. DKK in 2004.
ParlaMint-NO_2004-03-30.ana.ud2301e525	It is obvious that both within health businesses and with regard to the mental health promotion plan are facing significant challenges. I have heard different figures in relation to the use of resources in the field of specialist health, but a figure that has probably gone back is about NOK 56 billion in total. It is clear that there are huge sums, and if we do not use them specifically and in such a way as to ensure that those groups that need it most, also get the help, there is a risk that increased appropriations will not really lead to increased aid at all. For this reason, it has been important for me and for EN in terms of health policy, precisely to seek to target the funds. I note that the Council of State is critical of the fact that the majority did not previously wish to limit the growth of expenditure in some areas of specialist health care, and that it could just be a signal of growth in areas that were not to be given priority, and that is a signal I take. I believe that a common responsibility that the whole Storting has, instead of turning to a kind of lightweight rhetoric that is, of course, negotiable, is to be concerned with: how do we use these resources targeted? But then I hope that you can get further in a discussion about priority that over time has the effect that those who are the weakest get the help first. I don't think, I must be so free to say it, that the Council of State has answered well what lies in my question as to whether it is not the case when you have strength in certain fields – we have had a cancer plan, we have a psychiatry escalation plan – that it should not also be that you get strengthened over time relatively. Because if it doesn't, if it's that when we close the mental health promotion plan, it's going to go down again, then you're going to experience that there are other parts of the business that have a relatively much larger growth, and then it's going to hit the psychiatry again over time. It is clear that when we come back to the debate on health businesses and the growth of resources in some areas there, it will be seen that there has been growth in areas where the size of the population has not at all foreseen growth. I hope, and I want to be constructive in this respect, that the Council of State and I can have a certain common understanding of the fact that we need a different degree of resource management within the overall health care system, and especially the specialist health service, than what we do per. and that, of course, it is a responsibility of the Stortinget, like the Council of State.
ParlaMint-NO_2004-03-30.ana.ud2301e532	Let me first remind you that the annual framework for the bet on the escalating plan has been adopted by the Stortinget. It is also the guidelines and objectives for the implementation of the plan. We have an annual performance out here in the hiking hall when the government has presented its draft budget, where the Council of Mental Health in a familiar style talks about the betrayal of psychiatric patients, and where the opposition parties in turn tell them to grant much more. Years after all, I have experienced that the bet I have made has been adopted in Stortinget, and that is what I must have as a starting point when I implement the escalating plan. There is also a clear premise in the escalation plan that this is not only a stepping-up, but a conversion. But over and over again, I experience in the media, and unfortunately also from big business representatives, that clear conversion measures such as closures and cuttings are being produced. I have not said that there have been no cutting decisions that have been incorrect. It has happened, I have grasped it, and I have a very strict and clear follow-up of health companies on this. But I think that we should let go of both professionals and professional environments and from informed actors in the debate that, first of all, we should mix random proposals in a budgetary procedure with final decisions and, secondly, proposed conversion measures with closures. If we can't have that kind of tidyness in the debate, it's going to be very difficult to implement what the Stortinge provided for. That being said, my articles here today have been marked by an attempt to nuance a one-sided image. In the first article of the interpellant, I did not find a single light point. It was just negative descriptions. That's not the reality. I have tried to give a more nuanced picture, with a clear recognition that we have not reached far enough in the municipalities. There are too many differences. We haven't reached enough when it comes to cutting waiting times. We have several wrong cuts in the conversion processes that we have had to intervene against. But we're doing it, and we're on. It's a subject that's under pressure in terms of productivity, that's been discussed here by a lot of people. Progress is being made, and in the name of truth, we need to find out because this field also needs motivation to do the job. If the one-sided description of everything is black, is allowed to rule, it becomes black, and then the collective depression is going to take Norwegian psychiatry. That's not what patients deserve.
ParlaMint-NO_2004-03-30.ana.ud2301e541	The interpellant debate is therefore closed.
ParlaMint-NO_2004-03-30.ana.ud2301e559	The Health Companies Act was adopted by the Stortinget in June 2001 with effect from 1 January 2002. As a result, we now have a working time of two and a half years to look back on when it comes to reform. At the time of the adoption of the reform, there were quite a number of speakers in the Chamber. There were also representatives outside the Social Committee. I would quote what current Prime Minister Kjell Magne Bondevik, who was at the time in an opposition role, said: ‘This reform really means moving important decisions away from elected bodies with closeness to users — patients. I'm afraid that can lead to a democratic deficit in our hospital policy. The effectiveness is underlined, and that is important. But we all know that healthcare is as much a question of quality as quantity." Mr Bondevik also said: ‘The specialist healthcare and hospital services must be seen in the context of primary health services. I am afraid that this coordination can become more difficult with the model that is now being chosen, with hospital administrators without a political anchoring and administration levels that are responsible for primary health and hospital services, respectively, between which there is a great deal of distance. I believe all in all that this is not the key to a better and more efficient hospital in our country." What we are now looking at in relation to the different health businesses is that we describe a number of changes, quite extensive processes that are currently underway, with a total proposed cut. 4 billion dollars this year and to next year. According to the Daily Newspaper of 19 February this year, it is proposed to cut in Health South on approx. 600 million. SEK in 2004 and 670 million. kr in 2005. For Health East, including Ullevål University Hospital, the number is approx. 735 million. SEK by 2005, Health West 500 million. In 2004 and around the same amount in 2005 and for Health Mid-Norway approx. 300 million. in 2004 and around the same amount in 2005. For Health Nord, the figures are approx. 326 million. SEK in 2004 and approximately the same thing, SEK 329 million. kr, in 2005. In order to balance the budgets during 2005, there is a description of measures that are relatively dramatic. It has, among other things, have been talking about the closure of a local hospital, and departments have been proposed in its extension, such as the Stord maternity ward, the local hospital in Kragerø, and the stop in the construction of a district psychiatric centre in Stjørdal and Trondheim. I record that when it came to the maternity ward at Stord, the local government went in there to join in with a grant. So you have to use municipal budgets to maintain a specialist health service service, which is a very special situation. It is also proposed to cut jobs, for example 181 posts at the University Hospital Nord-Norway. Based on what has been described, if implemented, there may be cuts in posts of the size of 1600. Some sites are also reported in more Corridor Asiatic countries than in many years. Almost 5 pst. of patients lying in the corridor, showing some materials. The situation is said to be worst at the University Hospital in North Norway and at St. Olav's Hospital in Trondheim, based on a look-up in the NRK on 10 March this year. A report from NRK Troms on March 3 said that it could be more difficult to have patients admitted to the hospitals in Harstad, Narvik and Stokmarknes. There has been talk of savings of 92 million. NOK over two years and about cuts corresponding to 166 beds and 117 years. The savings involve an increased responsibility for the 24 municipalities that claim to the area of Hålogaland Hospital, to take care of more patients, without the municipalities as such being allocated additional resources to it. Clearly, in a situation where the budgets do not go far, it is necessary to be open to the disbursement of funds and to look at measures that can help balance the budgets. But what comes to mind then is what I'm describing here in relation to cuts, is the situation that you've had with some of the funds that the Storting has granted. So we see that hospitals' compensation of employees has been increasing in the last year, with a place between 10 and 20 pst. In Health Finnmark, there is a description of an increase in the doctor’s fees of approx. 16-18 pst. At the University Hospital Nord-Norway, the increase in costs we're talking about will amount to 40 million. kr for the current year. In domestic hospitals, the increase in wages is more than half the demand for austerity. The doctors, based on a look-up in the VG on February 23rd this year, got 10 pst. the increase in wages and salaries and the increase in the proportion of permanent wages and salaries resulting from the conversion of the pay system. The County Councillor in Hordaland, Paul W. Nielsen, considers, on the basis of a notice published in the NRK on 16 February 2004, that the wage developments in enterprises are ‘out of control’. During the first year of health care establishments, the number of administrative staff increased almost eight times that of doctors in the case of increases in jobs, according to a report by SINTEF Unimed presented in the NRC on 10 March this year. What this raises questions about, and I would like to think that the Council of State is also concerned about, is how the size of increased appropriations can ensure that the situation I have described does not arise, that is, the situation that threatens the closure of local departments, perhaps the entire hospital is in danger of being closed down. Funds are granted to ensure a well-decentralised healthcare system, including in the case of specialist health services, and then they do not help to maintain the structure based on the wishes of the Stortinge but to increase wages to those who already have the highest wage level. After all, it has not been long since a debate was held in this Chamber on the salary levels of directors and directors and on pension conditions with million contracts. This is about using the funds in a targeted way, so that you get as much back for it as you can. I registered that the Council of State asked a slightly rhetorical question back if SV thought that it would be decided here in the storeroom what the remuneration of doctors would be. We don't mean that. We do not believe that individual wages should be handled in the storeroom, but we believe that we need to have control of the expenditure growth in such a way that it is the Stortinget that is leading the way in which the funds are used. And what I'm describing here is a sign that you don't have that control. Then we say that regardless of how the budget procedures turn out, and even if the cuts are not as expected, there are constant warnings of closures, redundancies and intrusions for patients and for employees. I was at the hospital in Hammerfest a month ago at a meeting about the situation in which very small and vulnerable environments were described, for example in the case of orthopaedics, that when you continue to get those kinds of processes and become unsure about whether that structure exists over time, professionals – who may have been there for a good few years – will experience the situation that is so infertile that you look around for work at other hospitals. Orthopedics could be an example of that, general surgery another. It can be seen that there may be changes in relation to emergency services, and then the professional community becomes unsafe in this respect. I have a great deal of understanding that you can't give prior guarantees about how things are going to be exactly after changes, but what we're seeing is that the conversions take place at a speed and with an unpredictability that creates that kind of uncertainty. It is good that the Governing Council has taken the initiative to ensure that the Governing Councils are open. But in a meeting that I had yesterday with representatives from Northern Ireland, it is described that there has been a creativity directed by the governments of health companies, where, in advance of open meetings of the board, government seminars are now organised, which are of course closed, and where decisions are in practice moved into the board seminars and refer only to what has been done, in the open board meetings. In sum, this is a development that can't be worthwhile. We need to make sure that we control the resources of healthcare companies so that we get priority given to what the Storting is doing, and that we get to a proper resource use. Therefore, on several occasions, SV has called for the Storting to adopt national health plans which are descriptive of the structure, and then the tasks of the Boards around the five health establishments and also of the sub-enterprises will be to realise what is leading, and to return to the Storing if there is no means of achieving what the Storing has decided to be the structure.
ParlaMint-NO_2004-03-30.ana.ud2301e606	The representative Ballo addresses in this interview issues that have been debated in this Chamber a number of times earlier. He even goes back to the adoption of the hospital reform itself. His installation bears the mark that he wants a rematch on the reform. Like the Central Party, which was also opposed to the reform, the SV has recently become prominent by constantly criticising the decisions taken by the majority in this Chamber. I have a different starting point. The Christian People's Party, the party I now lead, was also opposed to the reform. After all, the party's then parliamentary leader was quoted by the interpellant now on the opinions of the Christian People's Party at the time. But unlike the other two parties mentioned in this Chamber, my starting point is that I am going to carry out the reform that Stortinget has adopted, with the framework conditions that Stortinget is adopting, and with the aim that we should get faster and better treatment for Norwegian patients. That's what we've done to a great extent. We have also achieved better productivity in hospitals during the first year of operation. It is also very positive. This process is underpinned by the thorough treatment of both legislative proposals and key health messages by the Stortinge. These are documents to be dealt with by regional health establishments. I also want to draw out St.prp. No 1 and the budgetary position of the Social Committee. I provided there, under the Health Enterprises Act, an annual report on the situation of health businesses. The majority of the Committee was of the opinion that the notification was very good at the beginning of developing an appropriate communication between the magnificence and the Council of State as regards the overall overall and fundamental aspects of the specialist health service. The reform of health enterprises is inter alia concerned with: on the accountability of health establishments. Within the framework of adopted budgets, laws and governance requirements formulated in relation to the funds allocated, health establishments have the freedom to choose their way of developing the service. A clearer organisational distinction has been established between the overall political level and health enterprises. The management shall be carried out in a formal manner and to a large extent through the annual management documents. Health oversight is both national and supervisory and has a national responsibility for overseeing so that we are confident that good and sound offers are maintained throughout the country. I disagree with Mr Ballo that a number of the proposed measures are being taken without prior political discussion. The size has adopted the budgetary and activity frameworks for regional health enterprises. The size has also addressed the overall principles that are now underlying the migration processes, including: for emergency and food services. The whole purpose of the reform is for health businesses to have the freedom and responsibility to develop good solutions within the framework of this reform. The overall social development, technological development and medical development make it both a decentralising and centralising feature in the development of healthcare in Norway. It represents unique opportunities to do a good health service even better. If we're going to succeed in this, it's especially important not to cement old forms of work and organization. Through good policy treatment of principles and frameworks, we need to lay the foundation for a quality improvement in the specialist health service in the dynamics of development. It is my intention to further develop the annual notice to Stortinget. The Social Committee asked in its budgetary position, inter alia: on an analysis of the role of local hospitals in a comprehensive healthcare system. This is now being followed up. Furthermore, I would like to emphasise the development of a communication which, in its content, will provide clear budgetary proposals and which will be clear in the health policy positions. Through this system, I would like to invite the Stortinget to a debate on many of the elements that the representative Ballo is drawing on, and to see them in a broad context, including in a resource context. The management documents of the regional health establishments shall be sent out in accordance with the budgetary decision and shall supplement and clarify the decisions taken in this Chamber. I therefore believe that the elected representatives have a strong influence in setting the framework for the decisions taken by health businesses. Once the framework has been put in place, it is important to show confidence that health businesses can find their form within the social system that we have established. At the same time, I, like the representative Ballo, am concerned that the models we have work as intended. Therefore, a critical debate on the specialist health service is positive. I believe that given the complexity and scope of the reform, the two years that have passed are too short to give a final judgment on the quality of the model. It bears the mark of rematch. My starting point is that I still believe in the possibilities of the model to achieve the health policy objectives. However, it requires willingness to assess the functioning of the model in a transparent manner and the willingness to correct what had to develop from poor working methods. That is the will of this Council of States. I have not been involved in proposing this reform and therefore have no record of adjusting things that I am convinced are not working. I'll be in on that. I believe that the time has come to launch a broad evaluation of the business model and its functionality next year. I want to present a plan for that evaluation in the autumn state budget. I therefore believe that the answer to Mr Ballo's main question must be yes. I will contribute to a review of the entire health business model. There I will also provide an external and an international look at the reform. I think we can enjoy that in Norway. I recall that despite the debates going on here at home, the British Medical Journal, supported by the WHO, has designated Norway's health service as the second best in the world. It would have been a state secret, as little as it has been mentioned here in the country. But that's actually the way it is. In this way, I would like to make it possible for the Storting to address an overall evaluation and to assess the need for adjustment of the reform in a context. Central checkpoints for the evaluation and my feedback to Stortinget will be among others. the practice of transparency, on which the representative of Ballo was involved, the functioning of user participation and the functioning of interaction with local and regional political authorities. I am concerned, like others who have taken part in the debate, with the need to improve the interaction, with the better functioning of the relationship between regional health businesses and the states they are set to serve. One of the forms of cooperation that I think is very exciting, and that is now being developed, is in Health Nord, where Health Nord has entered into cooperation agreements with all three county municipalities to this very purpose. That, I think, is an example of succession also for other entities. But here you pick a little bit of different nutrients. At the same time, I would like to remind you once again that the specialist health service is under political control. It is a responsibility for magnification and government to provide political governance with real content through the formal responsibilities established by the model and to give health businesses the freedom and responsibility to which the model also gives. Let me conclude by saying something about the issues that the representative of Ballo deals with regarding wages and pensions. It may well be known that I have reacted very strongly to the spread of relatively favourable pension agreements that have occurred in some health businesses. I have requested a review of this in all regional health companies. That review is still ongoing, and I want feedback during the spring on its conclusions. The government has also taken the initiative to set up new guidelines for remuneration and remuneration for management and governance in state enterprises, on the initiative of the Minister of Industry. It will also be properly briefed on by the Storting. So we've been gripping this, and there's no reason to come back to this repeatedly in an attack on the Government. We've actually considered that this has to be cleaned up. In terms of salary growth, I have not yet received material from the Technical Calculation Committee on the salary growth of doctors in 2003. There appears to be clear indications that this has been partly beyond the framework envisaged. I assume that the parties, among others. For the reasons I have mentioned earlier, I myself carry out critical analyses of this and find a necessary follow-up. It is unacceptable for the enterprise organisation chosen if there is a wage trend that differs significantly from the intended framework. And I personally react relatively strongly to the fact that professional groups that first negotiate such agreements, then go into a game where you point to the Minister of Health and politicians and ask for help to prioritize which patients are not to be treated. It's unworthy. It is a game that politicians should not contribute to – a game that we should, on the contrary, reveal and counteract.
ParlaMint-NO_2004-03-30.ana.ud2301e638	I thank the Council of State for the answer. I record that the term ‘rematch’ is used in relation to the health reform. I would like to stress that our intention in SV is to find tools that can address the criticism that is now emerging regarding the health company model, and put it into a path where we ensure that the funds are used in a good, constructive and targeted way. It was not by chance that I quoted Bondevik, because he also used the term ‘democratic deficit’ when we adopted the health company reform in June 2001. I think, if you look at part of the criticism that emerged at the time of the debate in the Chamber, that the experience has shown that this criticism had something to do with it. You have to get hold of this in a way that can ensure a kind of leadership that we don't have today. I can see that it looks different from the Council's point of view, because he feels that he gets it on his table. But it is clear that there is a need to go more thoroughly into the processes that are happening, also from the Stortings side, as SV sees it. Then there are two more elements that we're concerned with – more overarching elements. One is that what we see as a kind of structural change, which is outlined in health businesses, is very much influenced by the centralization of services, i.e. smaller units are affected and threatened, and so it's the bigger ones that have to bet on in many ways. There is also an element of privatisation in what is happening, which is not insignificant. An eye-catching statement to the Daily Newspaper on January 31, this year: Professor Bjørn Nicolaissen of Ullevål University Hospital pointed out that operating aid has been granted to private eye doctors, who already initially have a income base of a few million dollars or more. Then you use public money without linking it to commitments. This, in turn, affects the university hospitals, where there is no funding for professorships, and where part of the foundation is lost in relation to the specialisation of assistant doctors. There are ring-fences of both a socio-economic and a social nature that seem to be ignored in the development of health reform. This may seem to be some sort of undue criticism, but it is, of course, an attempt to look at how to target the instruments so that we can get better out of it. I record that the Højbrätt was in Alta and looked at the decentralised offer there – and praised that kind of offer. One of the questions is: how can one stimulate a development that goes the other way, that more offers are located where people live, and that there is an offer, whether it is dialysis or cytotoxic treatment for patients, or, for that matter, hospitals? How can we get a structure that stimulates it, in contrast to the way the structure is now moving towards, the centralization of ever-new services?
ParlaMint-NO_2004-03-30.ana.ud2301e653	I am pleased that the representative Ballo is making a reservation in relation to the term “rematch”, and I remember the signal that is in it. The term 'democratic deficit', quoted by the representative of the then parliamentary leader of the Christian People's Party, is to the extent an interesting concept in many contexts a day, but let's look at health companies in relation to what we have actually done from this government to ensure good participation and communication with the environment. From the first day we have put great emphasis on transparency in terms of document publicity and communication with the environment. We have put in place a requirement, after trying out different models, for open board meetings, and they should be really open. The type of examples to which the representative Ballo referred, if it is true that the Governing Board meetings are being moved into closing forms, is contrary to instructions from the Government. We have also required user selection from all healthcare companies to ensure good communication with users. And we've demanded that regional health companies add up to a good arena for interaction and interaction with local elected ombudsmen and women in municipalities and county municipalities. It works better and better according to the feedback I get from both sides. Then the representative Ballo raises the question of centralization and decentralization, and it concerns me very much. Because it's not that all aspects of medicine require more decentralization. Some aspects of medical and technological development do so if we are to provide patients with adequate services, but in several areas the opposite is true. The medicine and technology make it possible to provide the services where people live, or closer to where people live, but the systems have not sufficiently captured it. Therefore, as far as I recall with the support of SV, from 1 January of this year, the Government has implemented that the responsibility for the transport of sick persons and the costs in that context has been transferred to health companies, precisely because those who have the savings – by not allowing people to travel – also have the opportunity to gain a benefit from it, which can be invested in decentralised treatment services. In two specific areas, with the agreement of Stortinget, we have introduced tariffs from 1 January, which means that hospital funding can be triggered outside hospitals, i.e. decentralised. This concerns cell toxicity treatment and dialysis treatment. In my self-esteem, I found – even in conversations with patients in Alta – that it works, to the great satisfaction of the patients. This leads to less burden on patients, and it is also a saving for society and health businesses. These are further examples of the fact that we actually operate political governance within the framework of this reform and get results for the benefit of patients.
ParlaMint-NO_2004-03-30.ana.ud2301e666	In advance of this interpellation debate, the representative Ballo had a chronicle in the VG, on Sunday, I think it was, where he asks the rhetorical question about the Council of State Høybråten is soon alone to defend the health reform. I'm glad to get this opportunity to say that, no, in no way. The Labour Party believes that it was right and necessary to implement what I like primarily to call a responsibility reform in the hospital sector. I feel convinced that the state ownership has come to be, and I believe that any attempt to hold a debate on whether it was wise or not can be a debate on the snow that fell last year – it does not help shape the future, at least. I meet very few people on my journey who believe that the solution to the challenges we are now facing is to counter and restore ownership from the state to the county municipalities. After the first post to Ballo today, I was a bit in doubt whether it was SV that really wanted to, but I choose to take Ballo seriously when he says this is not a rematch. Because I believe and hope that the representative Ballo should turn to the idea that SV can soon join a government that also implements the health reform as best you can. But there is no doubt that what we have done is a very big and demanding reform. And I have said many times from this speaker that it is important that we, who are happy in the health reform, are concerned about changing the reform as progress progresses. I am very pleased with the way the Minister of Health meets these challenges. It would be an illusion to think that everything would be perfect from day one when we were to carry out such a great reform. That is why it is important to have the basic position that we need to adjust along the way, and the Labour Party is prepared to participate in constructive debates in this way. I was a little in doubt, when Ballo had his first post, if we were going to have a debate on the reform, or if we were going to have a budget debate, because what Ballo was primarily concerned about, was cut around in regional health businesses. And then I have to say that if there is one person in this room who does not have the right to be indignant that it is now being cut in healthcare companies, then it has to be Ballo. For it was SV who made proposals in connection with the State budget with the clearly worst financial framework for health businesses of all parties in this room. So if SV had been able to implement its policy, health businesses today would have faced challenges that would have led to significantly greater cuts than what you are actually facing.
ParlaMint-NO_2004-03-30.ana.ud2301e677	I would like to begin by pointing out that the Council of State has confirmed in its response that there will be a thorough evaluation of the reform, so that we will have a qualified review of the success of the reform in relation to its objectives. However, I would like to point out that it was not the purpose of the reform to strengthen the popular governance at the level of detail, but to reform responsibility. The aim was to strengthen national health policy governance, at an overall level, and to leave more tools to businesses to manage at the level of detail and tools. Experience is as far as I can see, both positive and negative. For the patients, a lot of positive has happened. The waiting time and waiting lists have fallen. We got health again for the first time in 2002 for the money. The necessary steps have been taken in the field of functional distribution, and we have received an increased focus on ensuring professional soundness within, among other things. the emergency functions. I also have a clear impression that financial control has improved. This will be the main objective which will need to be further evaluated. Out of negative circumstances, I would like to point out that enterprises have probably not been able to manage their wage-earnings adequately. Staff and wage policy is one of the key tools given to enterprises, but experience so far in this area is that a significant part of the economic challenge now facing enterprises is due to over-priced wage settlement. The representative, Ballo, initially has in his interpellation a situation description that I do not know about, including. the dismissal of thousands of employees by undertakings. That's not right. It is true, however, that some undertakings have warned that they need to reduce the number of annual works somewhat, but in such large organisations it should not be necessary to use notices to achieve this. The representative of Ballo obviously believes that with more popular governance this had looked different. I would argue that the most important tool for elected government is the state budget. There is therefore reason to re-examine the SV’s draft budget for 2004. They proposed to reduce the hospital budget by NOK 1.2 billion. And if you see "smart" on it, they spent 500 million. NOK of these to other relationships, which might dampen the patient growth somewhat, so that one is left with a cut of 758 million. kr. That's about. 1,517 annual work. To put it this way: I don't think it would have been more patient treatment to replace 1,517 year-old health workers with several year-old county politicians in health companies' boards. I believe that the description given by the representative Ballo of the situation in the companies initially, is more consistent with the situation that would have existed if the SV's proposal for an alternative state budget had been adopted in this Chamber.
ParlaMint-NO_2004-03-30.ana.ud2301e690	This interpellation by the representative Olav Gunnar Ballo is a solid bomber, which hits the interpellant like a boomerang. One gets to accept that opponents of the hospital reform try to reverse as often as possible, but then, in their attacks on the reform, one must, in truth, use an argument that keeps water. The inter-pellant knows just as well as everyone else here in the Chamber that in 2004 enterprises have a very difficult economy – to which the Socialist Left Party has contributed and has given its support. The SV had even a much lower budget proposal for businesses. By the end of 2003, the companies had accumulated a deficit of DKK 2.2 billion, which the Progress Party proposed deleting DKK 1.5 billion. Olav Gunnar Ballo voted against this. The interpellant should also be fully aware that the hospital reform has been underfunded from the very first day, when 800 million had to be brought with it. NOK in deficit from county councils. Most of the claims made in the interpellation are both false and partly very misleading. I have not registered so far this year that it is proposed to be ‘cut in emergency response’ in several local hospitals. I have not registered that ‘thousands of employees’ have been cancelled, or heard in 2004 that hospital departments have been closed. Nor is it correct that there has been a further ‘centralisation and privatisation’ of the healthcare provision in the specialist healthcare service in 2004. That the Radium Hospital and the Rikshospitale are working on merger plans, I think professionally correct and absolutely necessary. However, the fear is that when we reach 2005, the economic situation of enterprises will be so problematic that it will not be possible to maintain current treatment capacities. But we can do something about this. I would recommend to the interpellant to contribute to this happening, that businesses get a better operating economy and more investment funds. Especially on the investment side, the problems are very high in enterprises, and not least the investment in psychiatry and its building mass, in particular the DPSs. I personally find no reason to reconsider the hospital reform. It has, in my opinion, come to be. On the other hand, I strongly doubt whether we should maintain regional health businesses. In my opinion, they have not responded to the expectations. Rather, we should have an agency in the regions that is charged with the order role, and a hospital directorate that takes care of ownership. It is not unknown that the representative Olav Gunnar Ballo swears to political management of the hospitals, which we have tried – with very poor results. I can assure you that in the future the Progress Party will be a solid supporter of the reform and that it will be improved on the professional side.
ParlaMint-NO_2004-03-30.ana.ud2301e707	The hospital reform, where the political decision-making authority was centralised from the regionally elected level to the state, is, in my opinion, the largest depoliticisation reform we have had here in the country in recent times. While the post-war reforms have essentially been shifting political decision-making authority from the central, state level to the county and municipalities, this reform marks the very opposite: the transfer of responsibility and decision-making authority from the regional and local authorities back to the state. Health bureaucrats and professional board members have taken over. In the power and democracy investigation, which we have now received, this is clearly described: ‘Regions previously publicly controlled are left to market players. New control bodies and state supervision monitor the general rules of the game drawn up by political authorities. The reform process involves shifting resources, judgement and policy decisions from political authority to independent directorates and control bodies. The government still has political responsibility, but with reduced power. Developments in the last twenty years have been a long-standing withdrawal of the ongoing decision-making power of political bodies.’ I believe that this centralisation of decision-making powers is becoming more visible in the health and hospital sector than in other areas, because the consequences of the decisions affect so many directly. I don't know how many statements I've read in the last two years – but there are many – from county councils, municipalities, colleges in hospitals and action committees, where protests are being made against emergency preparedness and against the closure or reduction of food departments. Common to all these protests is that they have not been heard, they have not been followed. The process of centralisation is in full swing. To Alvheim, who doesn't know where this is going: In my own home state, it's about Wefsn Hospital, Stokmarknes Hospital and Narvik Hospital. Local political authorities are spectators – and that's what's going to be so wrong. When the Minister of Health announces that the reform will be evaluated, it will be necessary to focus in particular on how local elected bodies can regain decision-making power and once again gain more control over the development of the health sector and the specialist health service. Here I would like to say that the challenge is particularly going to the Workers' Party. The Labour Party has behind it a history from the post-war period; they were put under government responsibility when major reforms were carried out and decision-making power moved from the central level to the local level. When this is to be evaluated, the batch is faced with a special challenge in terms of decentralisation.
