ParlaMint-NO_2004-02-11.ana.ud831e28	The representative of John I. Alvheim will make a private proposal.
ParlaMint-NO_2004-02-11.ana.ud831e539	The fact that this government is so significant in order to increase domestic use of gas is precisely the reason why we have put forward such a comprehensive strategy to achieve this. It's not right that this government doesn't bet on gas, it's the opposite. There is no government that has put forward such concrete plans for increased domestic use of gas. And I'm glad that the whole Biggest, minus the Advance Party, ends up so clearly on the government's strategy. So that's how this gas is going to be used. This government then places the emphasis on doing so without breaking major international conventions on climate and the environment. The Progress Party has no sense of that, they are not interested in it. I take note of that. Fortunately, however, it does not disturb the image of a broad agreement in Stortinget to ensure good use of Norwegian gas resources without causing damage to the climate and the environment.
ParlaMint-NO_2004-02-11.ana.ud831e546	Marit Arnstad – to the last follow-up question.
ParlaMint-NO_2004-02-11.ana.ud831e549	Now it is not exactly a bomb that the Workers' Party believes the Government has the wrong course in energy policy. And when the axis here says that Steensnæs has abdicated in the gas power question, it's probably doubtful whether Steensnæs has abdicated more than what Akselsen did in his time in the State Council chair. A spade roof was not taken at any gas power plant during the time the Workers' Party and the Axis were put with the government power. The problem is that the concessions are there, but the builders do not find it commercially profitable to start gas power plants. This is the problem of the builders. The government's challenge is that a desired gas power plant that can be CO2 free. It is a solid developmental and technological challenge, to which the State must be willing to contribute. There is a technology that exists, but it costs a lot, and Norway might have done a business if we had been the first to develop it. The government's plans and the money put on the table so far are very modest. How have the Government and the State planned to bring forward the CO2-free gas power projects in such a way that they can actually be realised?
ParlaMint-NO_2004-02-11.ana.ud831e557	I fully agree with Marit Arnstad, also in what has to do with money. For the time being, the government’s commitment has been largely based on research and development. But at the same time, the government has said that it will do two important things, and there are significant costs and promises associated with it. Firstly, it is possible to finance a pilot plant for the testing of gas power plants with CO2 management. Such gas power plants will cost 500 million. kr. In addition, the Government has said that when we have a technology that is satisfactory and cost-effective enough, it will co-finance the additional costs of CO2 management. For the time being, the road passes through pilot plants, and the Government has said that it will come back in the spring of 2004 in the notified gas message, where it will set up a support programme for such pilot plants. We're very interested in getting different options that can compete, so we can pick out the best project.
ParlaMint-NO_2004-02-11.ana.ud831e562	Then we go to the last main question. For the sake of time, follow-up questions will not be possible.
ParlaMint-NO_2004-02-11.ana.ud831e565	I have a question for the Minister of Development. Unfortunately, the security is clear evidence of the difficulty and persistence of the Middle East conflict. Today, the Council of State has spoken warmly and enthusiastically about suffering and frustration on the Palestinian side. She did not mention the suffering and frustration that is on the Israeli side, but that is equally full there. Less hate and more tolerance must be a measure of the relationship between Israelis and Palestinians. However, unfortunately, we experience that, for example: Recent Palestinian schoolbooks call for holy war and give a positive picture of suicide bombers. Norway provides substantial assistance to Palestinian authorities, including school support. Is the Council comfortable financing Norwegian aid money for a school system that teaches children that hatred and intolerance are acceptable and that non-Muslims are inferior people?
ParlaMint-NO_2004-02-11.ana.ud831e574	I was on a development-related visit, and that means I was looking at the assistance programs. So I did not have a case in connection with the peace process between Israel and Palestine, and so it did not cause a visit to the Israeli authorities either. They are not a development partner for us, even if they receive assistance from others. So to the question, it is that the education system on the Palestinian side has received considerable Norwegian support over time. I myself attended a school with mainly girls who went from 1st to 10th grade, and got to see for myself how Norwegian assistance actually contributes to providing students with learning, knowledge and schooling. Not least for women, it is very important. So in our assistance to the education programme, we support the construction of schools and classrooms, we are not in favour of textbooks, to which the representative refers. I think I've answered this question very many times in Stortinget, and I think we've also shown that there's a good deal of misinformation spreading about the content of these textbooks. I do not have time to detail that error information in this short answer, but we have responded to the Storting several times. So it's that we don't support textbooks and textbooks, but we build schools, classrooms and contribute to the funding of the education system. It's very necessary, and it's a very good help, and I've even been a witness to it.
ParlaMint-NO_2004-02-11.ana.ud831e581	It's probably doing a lot of good in the Palestinian schools, there's no one in doubt about it. School books published in 2003 have a content that is highly untolerable, and there is nothing that I feel that we as a nation can put ourselves behind. It is true that in the past positive changes were made to the Palestinian schoolbooks, but it now seems as if you are back on a wrong track again. The fact that schoolbooks are not directly financed by the Norwegian side, but other parts of the school system, does not detract from Norway's responsibility for the total education given? Is this not a question that needs to be addressed with the Palestinian authorities, in order to ensure that schoolchildren in the Palestinian territories – as well as elsewhere, of course, but here Norway is funding this – can be taught to tolerance, so that a better basis for peace can be found in the future?
ParlaMint-NO_2004-02-11.ana.ud831e586	I fully agree with the importance that children and young people receive education that is rooted in the equality of human dignity for all. I believe part of what we're looking at on the ground in the Palestinian territories now, does not contribute to such an understanding on the Palestinian side, so that both parties have a very important responsibility to ensure that we communicate that everyone has equal value, whether it be Jews or Palestinians. When it comes to concrete textbooks, I've also said that we've blacked the Storting several times on this. There is a lot of misinformation about this issue. We have the opportunity to come back to the representative Morten Höglund with the information we are sitting with. I do not know that there are new revisions going on, or new changes, to which he refers, and that is something we might get back to. But I repeat that the assistance we give to the Palestinian territories here is very good.
ParlaMint-NO_2004-02-11.ana.ud831e593	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_2004-02-11.ana.ud831e599	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 15, from Knut Werner Hansen to the Minister for Oil and Energy, has been withdrawn. Question 17, from the representative of Steinar Bastesen to the Minister for Fisheries, will be answered by the Minister for Transport on behalf of the Minister for Fisheries, who has a history of disease. Question 18, from Rita Tveiten's representative to the Minister for Fisheries, is postponed until the next Question Time, when the Council of State has a disease incident.
ParlaMint-NO_2004-02-11.ana.ud831e615	I will ask the Prime Minister the following questions: ‘The Minister of State pointed out in his statement on the municipal days of Stavanger that the Regening assumes that any municipal convergence should be on a voluntary basis. Two days later, the municipal minister, Erna Solberg, announced that if the municipalities are not able to speed up the merger work, she is ready for coercion. Can the Prime Minister clarify what is actually the Government’s strategy?’
ParlaMint-NO_2004-02-11.ana.ud831e624	Yes, I can, in full agreement with the Minister of State. The assumption of voluntary participation in municipal associations is established. Of course, the area of free will is also the basis for both the Government's policy and the cooperation project on municipal structure that the Ministry of Local and Regional Affairs has now undertaken together with the Local Governments' Central Association. Under the partitioning law, only the Storting may adopt municipal associations by coercion. Therefore, if the voluntary line is to be changed, it is a majority in the Grand Duchy that must decide in the event. The Minister of Local and Regional Affairs has stated that if the cooperation project with the Local Governments' Central Associations does not deliver results against the assumption, it will be up to the Stortinget to assess whether the voluntary line, as it has been designed today, should remain stable or should be modified. The size will be briefed on the cooperation project in spring 2006.
ParlaMint-NO_2004-02-11.ana.ud831e638	There is no doubt that the Minister of State will be understood; it is a quote that shows that she is talking about two steps. She first talks about a step of volunteering, and then, in the next round, if massive municipal mergers don't happen, she's open to coercion. Is it, then, that the Minister of State, with his penchant, acts on behalf of the Government?
ParlaMint-NO_2004-02-11.ana.ud831e643	I think you should pay attention to what the Council itself in its own articles here has expressed. She was reproduced in a few newspapers after the conference in Stavanger, to which Meltveit Kleppa refers, where she was also present. The most accurate rendering finds one in the Evening Post. And so she also in the newspaper, where what she said was drawn much longer, wrote an article to clarify what she meant by this. She has not notified that she necessarily goes forcibly, but she closes this post as follows: ‘But if it turns out against assumption that this work does not produce results, I have also stated that it will be up to the Stortinget to assess whether the volunteering line should be fixed or changed.’ It is a precise expression of the opinion of the Council of State, and it should not be drawn further than that.
ParlaMint-NO_2004-02-11.ana.ud831e653	Now it is that the Storting often takes its decisions on the basis of issues that have been initiated by the Government. Is the Prime Minister in agreement with his municipal minister that coercion may become applicable in the next round, or does he stand by the principle of ‘freedom’?
ParlaMint-NO_2004-02-11.ana.ud831e658	The principle of voluntaryity is established as long as nothing else has been adopted and the principle of volunteering has been adopted by a majority. The policy of the Government underpins this cooperation project. The size will be briefed on the cooperation project in spring 2006. So there's a good deal ahead of you, and I think we should wait to draw conclusions so long in advance and before this cooperation project has started. My hope is that this cooperation project will be positive in the sense that the municipalities themselves come up with structures and possibly intermunicipal cooperation, which is also increasingly relevant, which means that we get the best possible service for our citizens around the municipalities. It must be crucial. And my basic position is that the local politicians themselves know best.
ParlaMint-NO_2004-02-11.ana.ud831e669	I will ask the Minister for Finance the following questions: ‘The Ministry of Finance has, in a letter to the Royal Danish Federation of Boats, stated that a tender for the acquisition of the Small Boat Register during the first six months of this year is envisaged. Will those who are to take over the operation have to cover the investment and development costs of the Directorate of Customs and Fees, what will be the operating costs of the Small Boat Register, if any, and will the Directorate of Customs and Fees be given the opportunity to take part in the tendering process?’.»
ParlaMint-NO_2004-02-11.ana.ud831e678	The government does not consider the operation of the Small Boat Register to be a natural task for the State. This means that public enterprises, including the Directorate for Customs and Charges, cannot participate in the competitive tendering process. The customs and charging seat has significant challenges in the future and will focus on its core tasks. It would not be appropriate to require a new owner to cover the investment and development costs incurred by the Customs and Tax Directorate. After the completion of the competition, one could say something about how the directorate's work on the register and the transfer to new drivers comes together financially. The transfer will focus on ensuring that the register will continue to fulfil in the future the fundamental reasons and purposes set out in the Law on Leisure and Small Boating and related to Safety, Investigation and the Environment. The operation of the Small Boat Register is intended to be self-financing according to today's arrangements. Under the law on small boats and under the regulations provided for in this provision, a fee of NOK 300 is payable for initial registrations and subsequent re-registration of ships subject to the legislation. How the costs of operating a register under private ownership will be covered will be up to the new owner. However, when deciding to transfer, we want to stress that a new owner can keep the register in the best possible way for the boat owners and the other users. The use of tendering procedures shall ensure that we obtain a good register, operated in a cost-effective manner.
ParlaMint-NO_2004-02-11.ana.ud831e687	I thank you so much for having received the answer, but not for the content of the answer. I think it's a pity that ideology should be used here, when the results are so good with the Small Boat Register as it operates today, both in terms of recovery, the fact that users are very satisfied, and that you have a very low cost level on it. When the Council of State says that it is up to the new owners to find out how to cover the costs, I would say that there is a great deal of concern in the boat environment that this is going to be a dairy cow for the new owners. Will there be a pre-requisite in the tender that it will continue to be self-contained?
ParlaMint-NO_2004-02-11.ana.ud831e696	It is not ideology in the real sense of the word that lies behind it when we say that the customs and tax haven should concentrate on its core tasks. Very familiar is the small political disagreement about it, and I have received several recommendations from the Storting to strengthen the efforts of the customs and tax haven in core areas such as combating cross-border crime, smuggling, etc. – it's the core tasks. If it is an ideology, then it is a very broad ideology, with broad political support. The concern of the small boat owners has mainly been that the Small Boat Register should become a tool for the authorities to impose a fee in addition to a fee. The small boat owners can now take it easy. We have established, and with the reorganisation we want to further confirm it, that such a charge does not come into effect. What we enter into the tendering terms is shown by my first answer. We emphasise that it should be operated in a cost-effective way and that there should be no indirect new charges.
ParlaMint-NO_2004-02-11.ana.ud831e705	I thank you for the additional response, but I do not know if it is appropriate to reassure them in the boat environment who are concerned that new owners can see this as a source of income for what else they have to do. The cost-effective nature of the operation is not a protection against profit. Here you will have to deal with one register, and there will therefore not be any competing register that you can go to if the costs here increase beyond NOK 300, which it costs today to get the boat registered. With regard to smuggling and Customs' core tasks, I would just like to point out that boat thefts are actually part of the issue of cross-border crime, and so it is difficult to say that they are completely outside the scope of the Customs Directorate's core tasks.
ParlaMint-NO_2004-02-11.ana.ud831e712	I am familiar with the police case that conducts investigations in connection with boat thefts. The Small Boat Register shall be a tool for users. Among the users are also the police and countymen's seat, of course. And for the police there must be as good a tool after this reorganization as before.
ParlaMint-NO_2004-02-11.ana.ud831e722	I allow myself to ask the following questions to the Minister for Finance: «According to the amendments to the tax law § 2-1, it has now been decided that emigration is not possible as long as one has a dwelling in Norway. Spouse, cohabiter or minor child may also not have accommodation if emigration is to be approved. In this context, it has been argued that emigration can also be refused if he/she has minor children from previous living conditions in Norway, even if he/she is not in contact with the child. Does the Council of State consider this to be a correct interpretation of the rules?’
ParlaMint-NO_2004-02-11.ana.ud831e731	The core of the new rules is that tax residence in Norway can only lapse if the resident takes up permanent residence abroad. The new legislation introduces some criteria for a person to be considered as being emigrated for tax purposes. It's done to avoid too much discretion. The question raised by Hagesetter relates to one of these conditions of fiscal emigration, namely that the person claiming emigration cannot dispose of housing in the state. If the transferred person himself disposes of housing in Norway after the relocation, there is no tax emigration. The same applies if the displaced person has related persons who have a residence in Norway. Thus, the law establishes an identification rule, where the view is that the transferee has retained a residence relationship with Norway when it is a related person who has a dwelling here. The law defines what is meant by the provision of housing. Disposal means direct or indirect ownership, rental, or otherwise having a basis for the right to use the dwelling. The law further limits the range of related persons in this context to the taxpayer's spouse, cohabitants and minor children. The reason why minors are included here is that it would otherwise be too easy to circumvent the condition by transferring the formal right of residence, for example. to a family home, to the child, at the same time as the expatriated parent actually has the same place of residence as before. The definition of ‘related’ by the law means that a former spouse or cohabitant is not considered to be related after a break in life. Consequently, such a person may dispose of the dwelling without affecting the tax status of the taxpayer. However, the minor child of the emigrated child will continue to be considered related even after the breakup with the former spouse or cohabitant. However, the fact that the minor lives with a caregiver in Norway does not mean that the child should be considered to be in possession of housing in the Kingdom. Most minors do not live in housing which they themselves legally dispose of. Instead, they live with the caregiver who disposes of the common dwelling. It is such a type case that is addressed in this question. When common children stay with the mother after a break in life and the father moves abroad, it is usually the mother who disposes of the home and not the children. The fact that the children are still related to the danger does not cut off tax emigration for him. This applies in principle no matter how much or how little contact the transfer has with the children. However, tax emigration is also conditional on visits in Norway not exceeding 61 days per year. Furthermore, I mention that for people who move abroad after at least 10 years of residence in Norway, there is a special rule. The tax obligation here then lapses only after the fourth year after a relocation, which otherwise satisfies the emigration conditions.
ParlaMint-NO_2004-02-11.ana.ud831e760	I want to thank you for your answer. I thought that the interpretation given by the Council of State here is reasonable and good. It would be unthinkable if minor children from previous circumstances were to effectively prevent anyone from emigrating abroad. That one claims that there has been an emigration in relation to that of bowing in Norway is reasonable. But I'm glad that one has minor children from previous relationships that live in the dwelling, should not prevent this. I want to ask the Council of State if he wants to inform me of his interpretation further down in the department, so that there are no other opinions there, as I have received feedback.
ParlaMint-NO_2004-02-11.ana.ud831e769	The Ministry has been informed of this response and it is the Ministry that responds through the Council of State. Other agencies will also be duly informed about this interpretation, which I think is reasonably clear from the rules. The only thing that's a little dull, if I'm going to say it this way, is that association with former children is unfortunately limited to only 61 days. It has other reasons than just the right to co-exist. But 61 days will help, too.
ParlaMint-NO_2004-02-11.ana.ud831e776	I want to thank you for the last answer too. I just want to comment on this a little bit with 61 days. There are 61 days in Norway, and there is no impossibility that even children from previous circumstances visit their father or mother abroad.
ParlaMint-NO_2004-02-11.ana.ud831e783	I hope that happens, but unfortunately we have less control over this.
ParlaMint-NO_2004-02-11.ana.ud831e792	I have the following questions for the Minister of Health: ‘Kautokeino Municipality has been struggling with the recruitment of doctors for a number of years and had 18 medical vicars in 2003. At the same time, a number of doctors from Kautokeino and other Sami communities have been given special study places, without having attached obligations to the specialities of admission to the medical study. Will the Council of State consider the provision of special admission services for the medical study, so that special-condition study places may be available for recruitment to areas with particularly large recruitment difficulties?’»
ParlaMint-NO_2004-02-11.ana.ud831e801	It's true, as the representative of Ballo says, that Sami youth has been able to apply for the medical study on a special quota. The universities of Bergen and Tromsø both have, under the admission regulations, a quota of up to two places for applicants with a Sami background. Representative Ballo asked if I would like to assess the service related to these locations. The aim must be to contribute to the recruitment of municipalities with particularly large recruitment difficulties and where there are many Sami-speaking inhabitants. Initially, I would like to say that we have had a favourable development of general medical coverage also in Finnmark since the introduction of the permanent reform. At the beginning of 1 June 2001, there were 14 permanent homes available in the county. After that, the number of job vacancies has gradually decreased. At the end of 2003, the number was 4, i.e. 5 pst. of the permanent homes. It's the municipalities in Inner Finnmark that over time turn out to have the biggest problems. The Ministry of Health is aware of the problems of medical stability in Kautokeino. In 1997, Sámi University of Kautokeino received grants from the Ministry to carry out a survey on the experience of doctors in the municipality as a place of work and residence between 1991 and 1997. The study revealed that the problems were partly related to doctors’ knowledge of culture and competence in Sami languages and partly related to local conditions in the municipality. My policy on recruitment and stability in the general medical service has been ‘cooperation on organisation’ as a guide. The county doctor in Finnmark, with the support of the Ministry since 1998, has made considerable efforts to contribute to the recruitment and stability of the general medical service in the county. This effort requires a municipal commitment to succeed. A key issue in the challenges in Inner Finnland is whether cooperation on organisation is sufficient. The representative of Ballo’s question concerns the imposition of obligations on individual candidates relating to the allowances allocated to them. It is the Ministry of Education and Research that manages the admission rules of universities. In any case, this department may have to amend the rules. I will bet on the dialogue that has been initiated between the county council of Finnmark and the municipality of Kautokeino on state and municipal cooperation on organisation. Similar dialogues were launched in 2003 in Sogn and Fjordane between the county and local authorities on the challenges of general medical care in this county. This dialogue has so far led to a joint initiative for an overall effort with the support of the Ministry of Social Affairs and Health Directorate. I have also asked the Social and Health Directorate to assess the possibilities for medical candidates with a Sami background to be given the first right to choose a tour site in Finnmark, and in particular municipality tours in municipalities with many Sami-speaking inhabitants.
ParlaMint-NO_2004-02-11.ana.ud831e814	I thank you for your answer. Especially the last thing that the Council of State came up with, is that you're looking at whether you can give priority to tour operators who come from this area, when it comes to the selection of the tour site, I think it's a reasonable procedure for recruiting to this area. It turns out that if you connect to individual municipalities during the tour time, you are more likely to stay there afterwards, for example. it is possible to establish yourself socially with a partner or a spouse, or in any other way to establish a relationship. Before I asked this question, I contacted the county doctor in Finnmark to look at today's arrangements. I record that there is a group guide for tour operators who have been a great success, which has been a sensible scheme that has helped to get more people to stay. At the same time, each year a fight on means of further education in social medicine is described. The same is true in the case of cutting-off aid for guidance in general medicine. There is a need for predictability in terms of arrangements, which means that there is no uncertainty as to whether they are liquidated. Will the Council of State take a look at this, so that the uncertainty can be avoided from year to year?
ParlaMint-NO_2004-02-11.ana.ud831e823	In a situation where we now have a much better medical coverage of primary health services in Norway evenly across the country, it is my policy to focus on the special areas of the country that still face the greatest challenges. My idea is that we should use the tools we have, including the economics, towards those areas that have the greatest challenges. Inner Finnmark is such an area, and I take without a doubt the point that the representative Ballo pointed out, about the need for some stability in the framework conditions. I will take that into account in the further work and in the dialogue I have explained.
ParlaMint-NO_2004-02-11.ana.ud831e828	I am pleased with the answer given by the Council of State. In SV, we have also registered with pleasure that the fixed medical system has been functioning recruiting, and that many municipalities, as in the past, have no problems today. As far as I have been before to the Council of State, it is important to have instruments where you have the most problems, because if you do not have a well-functioning primary health service, it obviously affects the population. However, it also makes inappropriate use of health services, for example: often leads to unnecessary hospitalisation. Like the state council, I'm going to think that now, when you have much better coverage in many places, it's also easier to find out the places that are struggling with particularly large recruitment difficulties. I would like to stress that this is not just a problem, which I believe the Council of State was also involved, in Inner Finnmark, but especially there, and perhaps especially in Kautokeino, the problems have been great. We would like – in an interaction with the Government – to be involved in and support targeted instruments both in Finnmark and in other parts of the country where the problems are particularly serious.
ParlaMint-NO_2004-02-11.ana.ud831e837	I note that there is a great deal of agreement on what kind of approach you should choose here. I am pleased with the support of the representative, Mr Ballo, for a targeted work. As I said, we are in the process of getting quite far in Sogn and Fjordane. I think that the experience from there, along with the experience of the county doctor in Finnmark, and to the extent that the other county doctors, too, have, is very useful when someone should now move on in the process that I have described in relation to Kautokeino in particular, and Inner Finnmark in general.
ParlaMint-NO_2004-02-11.ana.ud831e845	My question goes to the Minister of Health: ‘A serious hospital accident at Bodø Hospital resulted in a woman coming several years late for cancer treatment. Norwegian Patient Injury Compensation now provides future compensation justified by uncertain prediction and lifetime for the patient. Does the Council of State find this decision morally acceptable?’
ParlaMint-NO_2004-02-11.ana.ud831e854	Norwegian Patient Indemnification Compensation treats patient indemnities under the Law of 15 June 2001 No. 53 on damages in case of injury to patients, etc. This law was passed by the Stortinget in spring 2001. On the basis of Section 7 of the Act, detailed rules are laid down, inter alia: on the organisation, tasks and competences of Norwegian Patient Compensation and Patient Injury Subject respectively. The latter is a complaint body in this type of case. Paragraph 2 of the regulation stresses the independence of these bodies and states: «Neither the Management Board»... «or the Ministry may instruct Norwegian Patient Damage Compensation or Patient Damage Subject on interpretation of law, judgement or decision of individual cases.» I am therefore asking for an understanding that, as Minister of Health, I cannot give an opinion on this specific matter or the treatment and decision of Norwegian Patient Damage Compensation in the case. In this respect, I also point out that VG’s referral to the case on 3 February 2004 shows that the patient has filed an appeal against the decision on the subject of the patient’s injury and that it has thus not been dealt with. This also suggests that one should be reluctant to comment specifically on the matter. However, on a general basis, I would like to stress that I understand that a decision on the future payment of compensation in personal injury cases can be difficult to make, in particular because such a decision in some cases would involve a close link between the question of compensation and the medical prognosis and the life perspective of the victim. For the sake of order, I also point out that VG's reference to the case shows that the information manager of Norwegian Patient Damage Compensation has expressed similar assessments of how this can be experienced by a victim. However, Section 4 of the Patient Injury Act states that the loss measurement is to be carried out in accordance with the provisions of Law 13 June 1969 No. 26 on compensation for damage and general rules on compensation. Under the Law on Compensation for Damage § 3-9, the general rule is that compensation is to be paid as a lump sum. However, in the case of ‘special reasons’, it is open to the full or partial fixing of the amount of the compensation. Such specific reasons may be considered to exist where, in a specific case, there is uncertainty relating to the determination of the amount of compensation. In particular, in the case of future losses or future expenses, it may be difficult to determine exactly what would be a victim's total loss or expense as a result of the damage. This may be further difficult if there is uncertainty as to the victim’s prognosis, or where the prognosis is so uncertain or so poor that it is difficult to have a safe form of how long the victim can live with his disease or injury. The exemption rule on future payments must be seen as a basis of a fundamental principle of Norwegian law on compensation that a victim must have fully covered his financial loss, while at the same time that a victim must not be covered more than that. In some cases, therefore, the future payment of the compensation will be chosen because it would otherwise be difficult to determine the actual loss. With this I have explained the law on a general basis. As I said, I understand that this can be experienced as heavy for the person involved. Without going into this matter specifically, the complainant has to decide whether it appears to have been assessed and decided in accordance with the applicable legislation. However, it is a fact that Norwegian replacement law allows for derogations from the single payment rule in exceptional cases, in such a way that all or part of the compensation is paid in instalments.
ParlaMint-NO_2004-02-11.ana.ud831e874	I thank the Council of State for the answer. In my opinion, the conduct of the NPE in this matter, by offering only interim compensation – i.e., implicitly assessing the woman’s life as very short-lived – is not only heartbroken, but it testifies that this public body, namely Norwegian Patient Damage Compensation, does not seem to emphasise the human aspect of this tragic case. How bad and disrespectful it must be for the woman in question, that a non-medical body measures her life span, we cannot interfere. Is it really in this case a substitute body to make forecasts of the life assumed by the claimant? Does the Minister of Health not understand this view, and is it not possible to do anything about it?
ParlaMint-NO_2004-02-11.ana.ud831e883	Well, the Minister of Health understands that such a decision can be very difficult for the person affected by it. It's not hard to understand. What I have to ask for, for my part, is that we are talking about a matter that is not finally settled. It is appealed for a complaint. There is a clear regulation that says that neither the Council of State, the Department nor anyone else can intervene in the specific decision. Then the case must find its decision there, as the law is. I have explained how Norwegian replacement law, which is at the bottom here, is to be understood. It is up to the management body to manage the legislation as adopted by the Stortinget. If Stortinget wants a different code, of course, the Stortinget is free to adopt it.
ParlaMint-NO_2004-02-11.ana.ud831e892	Once again, I thank the Council of State for the answer. I'm glad it feels as if the Council of State and I are purely human and moral in line. Of course, I didn't expect the Minister of Health to go in and promise to change something in the legal system of the NPE. But it could have been important if the Minister of Health also agreed with me that in this case the judgement should be taken very far in view of the tragic life situation of this individual, which has actually been imposed by the public health system.
ParlaMint-NO_2004-02-11.ana.ud831e899	The patient compensation system itself is there for the benefit of people in such a tragic situation. Therefore, the Stortinget has adopted a special compensation scheme. It is the task of this body to manage the legal status for which the Storting has provided the basis by law. I believe that the matter is best served that I do not go beyond what is the law here, and that I do not go into the content of the individual matter. But I have clearly expressed how I understand the reaction that the person concerned must feel in the specific situation.
ParlaMint-NO_2004-02-11.ana.ud831e910	I will ask the Minister for Health the following questions: ‘In the context of the budgetary agreement between the Government Parties and the Ap, it was decided that, in the treatment of uncomplicated high blood pressure, thiazides shall be the first choice for medical treatment. [[hypertension]] There are major differences in the occupational environment in relation to such practices, and the patient groups that are subject to this change are also not heard. Will the Council of State postpone the entry into force of this change, so that the objections of patient organisations and the professional community are carefully assessed?’
ParlaMint-NO_2004-02-11.ana.ud831e919	The proposal in the budget agreement is in line with recognised international guidelines for the treatment of high blood pressure from Europe and the United States, and in line with the guidelines of Norwegian general practitioners. The guidelines are based on a review of all available evidence and include a number of large patient trials. In the light of this review, the concrete proposal was adopted here in Stortingen that the cheapest medicinal product is first tested in patients with uncomplicated high blood pressure. Uncomplicated high blood pressure means an increase in blood pressure without damage to internal organs, such as the heart, kidneys or blood vessels. The doctor thus has the full opportunity to derogate from the rule if there are medical reasons. I see it as an important task to ensure that taxpayers' money is used as efficiently as possible. In this case, we have a situation where there is evidence that more expensive medicines do not work better than cheap medicines. Then I see it as quite natural to demand that the cheapest medicines should be the first choice when prescribing the blue prescription for patients with uncomplicated hypertension. Of course, there may be patients with uncomplicated so-called hypertension who do not respond in the desired manner to the so-called thiazides. The budget ceiling takes account of this. If the doctor considers that the patient must have different from thiazides, the doctor may prescribe this on a blue prescription. The only thing the authorities require is that, in such cases, the doctor provides a medical justification in the patient’s records. I can't see that this is an unreasonable claim. I would also like to add that patients who are currently on second treatment should not be forced to change their medication. The measure thus only applies to patients who have not yet been treated for blood pressure. The budget decision taken by the Stortinge means that no patient will be allowed to change his established treatment, that doctors have full freedom to prescribe anything other than thiazides if medical reasons so require, and that the proposal is based on recognised international guidelines consistent with the conclusions of the largest study of antihypertensive medicinal products carried out. I would, of course, like to assure myself that the implementation of this decision is being carried out in a proper manner.
ParlaMint-NO_2004-02-11.ana.ud831e932	I assume that the recognised study to which the Minister of Health refers is the ALLHAT study from the United States, to which it actually relates very much concerns, among other things. in the European scientific community, in the case of blood pressure treatment. What the scientific community is saying is that there is an under-use of aquifers in Norway, but that it should be used in addition to drugs already used. The Minister of Health seems to be somewhat passive in this regard and refers only to the so-called study, but does not take inward all the warnings that come from another team, among others. in Norway. During a large conference in Ullevål Hospital, a debate was held on the ALLHAT study and the European environment. When the Minister of Health says that he will of course check this out before implementation, that is to say that one leaves the launch as of 1 March, which has been announced now?
ParlaMint-NO_2004-02-11.ana.ud831e939	Let me remind you that the doctor has full freedom to choose other medicines if medical conditions warrant it. Of course, no doctor shall be forced to prescribe a medicinal product which he considers to be irresponsible. No patient on medication today shall be forced to change medication. I further point out that the president of the Evening Post Association said on 23 January that the measure is understandable. What matters here is that, based on a medical assessment, doctors can still use other medicines, and he expects the doctors to follow suit. I am familiar with the debate meeting at Ullevål Hospital on 23 January, and I can inform you that the guidelines were defended, among others. by the Norwegian Society for General Medicine, i.e. the General Physicians. The measure is in line with the Norwegian Society for Public Medicine's own guidelines. However, it is a responsibility to ensure that implementation is carried out in a proper manner, and I will do so within the time available.
ParlaMint-NO_2004-02-11.ana.ud831e948	Now I myself was present during the debate on Ullevål, and arguments were given both for and against in the debate on the ALLHAT study in the United States, including that. It was shown that the diuretic used in the United States during the study was much stronger than that permitted in Norway. In addition, serious heart disease was also included in that study. It is clear that this is linked to major problems. The Minister of Health says that you can only give the reason why you don't want to use only thiazides, i.e. medical reasons. We all know that in the everyday life that doctors have today, this is an additional job. There is also a risk that, in a busy everyday life, it may become too easy to just prescribe this, without starting thorough investigations. In addition, it is also cautioned that if young people use thiazides over a long period of time, there is a risk, among other things, of using thiazides. increase in the incidence of diabetes among these. I have a question for the Minister of Health. As far as I understand, the National Association for Heart and Pulmonary Disease has also requested that the entry into force of this change be postponed. Will the Minister for Health postpone it?
ParlaMint-NO_2004-02-11.ana.ud831e957	Neither the representative Nesvik nor I are experts in this field. That's why we have to rely on the professional assessments that apply in the environment. The proposal contained in the budget adopted by the Storting is therefore in line with recognised international guidelines for the treatment of blood pressure, both in the United States and in Europe. It is in accordance with the guidelines of the Norwegian Society for Public Medicine. The president of the Norwegian Medical Association recommends that the doctors follow this. I think it would be very special to say from a political point of view that this should not be done. There are some misunderstandings about this, but I have now made clear: no one should be forced to change medication or medication. No doctor shall be forced to prescribe anything which he considers to be irresponsible. In any case, it is the responsibility of the doctor to provide proper treatment and medication.
