ParlaMint-NO_2004-12-07.ana.ud735e44	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2004-12-07.ana.ud735e524	It's going to be line change.
ParlaMint-NO_2004-12-07.ana.ud735e527	In my nearly eight years in the Committee on Transport, I have experienced two aspects of the Christian People's Party's railway policy. In the previous period, they gave optimistic and positive publicity and signal about the importance of the railway. Now it sounds more like the majority of people think of it as having a suction pipe in the treasury, so the railway must also be privatized. We're going to have more railway for the money. Does the Christian People's Party think that private will give us more railway for the money? Or will it be that those who are at the Railway Station today are paid to stop? Privates have to do the job, and we have to have a bureaucracy that grows, in order to calculate the supply and control – that is, we get a pay that is two to three times larger. Does the Christian People's Party mean that we get more railways for this in the future?
ParlaMint-NO_2004-12-07.ana.ud735e536	I can assure the representative that for the Christian People's Party it is very important to continue to have an active and efficient rail service. But we have to realize that there's a need, as a majority now suggests, to get more for the money that's being put into this service as well. From this point of view, it is clear that the reform that is being adopted here today is part of making this a truth, namely that we are getting more money back in terms of the railways. So the Christian People's Party fully prioritizes the railway. There should be no doubt about that.
ParlaMint-NO_2004-12-07.ana.ud735e542	The representative Holten mentioned some sections of the track that would receive investment funds next year, it was Sandvika-Asker. He mentioned GSM-R. It's also about freight terminal at Ganddal. We know there's going to be remote control on the Nordlandsbahn. Then he said that in addition, a number of other projects should be started. Then I was sitting as a big question mark: which projects are there, and why aren't these mentioned in the proposition? Then I would like to ask a question to the representative Holten – who also represents a state bordering on Sweden, and which you would think was particularly concerned that we should have good foreign relations. Does he think it's okay that we stop driving daily trains to Stockholm 100 years after the Union's dissolution?
ParlaMint-NO_2004-12-07.ana.ud735e549	I can assure you that I live in an area of cross-border interests. In this regard, it is clear that I fully agree with the representative Nistad in his post, that we are now pleased to note that it is actually the company that is interested in coming in and helping to maintain and further develop an offer not only to Stockholm, but also to Copenhagen. I think that the offer we can get there will help meet the needs for train services between Oslo and the rest of the world in a satisfactory way. In the case of other installations, these are general statements. There are many small installations in the railway sector that could also be taken in the coming period.
ParlaMint-NO_2004-12-07.ana.ud735e556	The Christian People's Party has been involved in this period on a major competitive footing in transport. This deserves the approval of the Christian People's Party. Another of the heart issues of the Progress Party, as well as the outsourcing of competition, is road construction. Here, too, Christian People's Party has been good proponents and support players, especially in connection with the acceleration of E6 from Oslo through Eastfold to Svinesund. In the budget agreement, we were given the opportunity to investigate several OPS projects. A couple that is especially on my heart are E6 from Gardermoen on to Otta and the extension of E18 Oslo to Sweden. Will the Christian People's Party and the representative of Holten be equally constructive in upgrading these important highways in Norway, as they were in connection with E6 through Eastfold?
ParlaMint-NO_2004-12-07.ana.ud735e565	In terms of outsourcing, we're in a process. We have implemented some measures, and there will be further decisions in that matter today. There is no doubt that this is a result that we recognize that for each of the heads we invest for different purposes, we need to have more back. As far as road development is concerned, it is also quite clear that what we have now started up with in the case of OPS projects is positive. But before we go on with further new projects, at least we want to gain experience from those already started, so that we don't do anything that might not have the effect that we're after. But we want to test the matter, and then we get back.
ParlaMint-NO_2004-12-07.ana.ud735e572	The cord shift is over.
ParlaMint-NO_2004-12-07.ana.ud735e575	The most positive thing that can be said about the 2005 CAP budget is that it is a budget on a regular basis. That's the expression that a lot of people have used about this budget. If we go into the budget, we see that it is far from being called an offensive budget. Since this is the last year of the four-year period, we can state that this government will end the four-year period with a lag relative to NTP 2001–2011. It applies to both road and track. This is a small positive signal to the Norwegian business community, which has clearly said that increasing trade bets is one of the most important, perhaps the most important, measures. Increased commitment to culture is crucial for good and living societies throughout the country, also to keep up with and further develop the value creation that is taking place in the districts. Good and safe infrastructure is crucial and important to maintain the quality of life of individuals. The centre party has often pointed out that many natural resources exist in the districts and that much of the value creation takes place there. Therefore, we just have to state that we should be able to use the entire country and take advantage of the benefits we have with the large natural resources, we need to secure a well-developed country. In recent years, there has been a strong focus on the tribal roads and corridors throughout the country. This is important, but we don't have to deprioritize other national roads. The centre party has therefore invested more funds for other national roads in its alternative budget. With few exceptions, the Centerpartie left the county to allocate funds to specific projects. Once again, we have been reminded of the great danger of race to which large parts of the country are exposed. In the fall it was mainly in Sogn and Fjordane and in Møre and Romsdal we got the many and great race. That crash where we know it often, preferably annually, goes race. But this time we had the hope that many other places would also crash. This is a strong reminder that racial protection must be an important area of social policy. This time one person died, but it was only luck that not many more lost their lives. Such events do something to those who happen directly or indirectly. Only those who live in razed areas can fully understand what it is like to live year after year with such insecurity. It's the forces of nature that cause us to have this situation. For this reason, many people get upset when central politicians look at investment in racial protection against the construction of four-field roads, the construction of midpoints and other roadside improvements elsewhere in the country. In one of the richest countries in the world, we have to afford both. The center part thinks it should be more focused on racial protection, and has therefore added 200 million. kr. extra to it. Where nature and natural forces cause problems, we need to put extra effort into making the situation safer. In the budget proposal, the Government states that national road ferries are to be seen as an integral part of the state road network. Depending on the ferries, the ferries are experienced as being on a column running path, and on many distances, the ferries are night-linked. It is important, therefore, that there is a high frequency of ferry services and that night trips are available on the most possible distances. Capacity is another keyword that determines whether the ferry connection should be capable of being good enough. Since being dependent on ferries is an extra cost for real estate and business in holiday areas, it is decisive that the cost of tickets is also reduced. Norway should receive free ferries in the long term, as Sweden and Finland have. For the railways, too, there are the great lifts in the 2005 budget. We know that for the railways, too, there is a huge lag in investment and maintenance. The post office for the purchase of services from the NSB has an addition. This is a small point of light in next year's budget. From the second half of 2003 there has been an increase in the number of passengers on trains that are covered by state-owned purchases. An increase in the item for the purchase of services may provide room for train availability adaptations in relation to the development of demand. A negative feature in the provision of passenger transport services by train is the closure of daily routes for the train between Oslo and Stockholm from 1 January 2005. Staying up on weekends and in the summer helps a little, but without any doubt the absence of the daily tours will lead to a sharp fall in the number of passengers. Such a big change in supply will make it harder to build up our supply later. So the center part is going to add 25 million. kr as an immediate measure for the purchase of services on this route. This is the sum necessary to maintain daily tours in 2005. The centre party believes that the purchase of passenger services on trains is generally not to be used on international routes, but we regard this as a necessary immediate measure to find a solution in the short term. Unfortunately, there won't be multiples to go in with the purchase of services to keep daily tours as a short-term solution. It makes it even more necessary to intensify work on long-term solutions. It is therefore crucial that the Council of State commits itself strongly to finding good solutions for the future. The most dramatic thing about the railways in the 2005 budget proposal is the restructuring of the Railway Agency’s production unit, as mentioned in Appendix No. 2 to the budget. Following the proposal, all infrastructure-right manufacturing activities of the Railway Agency shall be subject to competitive tendering for the period 2005-2009. This involves extensive restructuring. BaneService, which has been put out for competition, should become AS and compete for all assignments. The operation of the railway undertaking, which has not been subject to competition, shall be severely degraded. Only some maintenance tasks shall remain at the Railway Station. The consequence of this is that almost 1000 are added to the production part. The railway works must therefore be rid of many skilled professionals on the production side, while at the same time strengthening their own competence as builders and purchasers. The conversion costs both for the public and for the unemployed. The government suggests that it should take 35 million. kr of investments in the line to cover the 2005 conversion costs. This thinks the Center Party is unacceptable. Investment permits are low and do not tolerate reduction. When it comes to converting BaneService into AS, I will come back to the matter that is going up in Odelstinget later today. At the same time as budget management, the Committee has also examined Document No. 8:1 for 2004-2005 by Åslaug Haga and myself to stop and carry out an impact assessment before one goes to the step of shutting down traffic stations. From the summer to the summer, many letters, e-mails and telephones have been received from parts of the business community, which are deeply concerned about the consequences of their business if traffic stations are closed. I think it would be right to take this part of business seriously and look at the consequences before changes are made. In a letter from the Ministry and in response to questions from the Committee, there is an indication of the conversion to take place, and that many, yes, in one letter, all services are to be posted online. The Internet may be a good option for many of the services that are available to individuals, for example. applications, form, etc. However, it is far from all the services that business needs that can be resolved in this way – for example, the display of cars. difficult to do online. I have noticed that in the last response to the Committee, the Council of State refers to the organisation and localisation of services in such a way that changes can be easily made when necessary. They should be more mobile because the services are to be performed more extensively where the users are, write the council. If this is implemented, and how this will be done, yes, it says to see. What is stated is that many entrepreneurs are uncertain about the future and ask questions about whether their business is life-created when they have to bear the extra costs when public savings are to be made. Finally, I will say a few words about the dividend policy of this government. Let me take the Post as an example. It has been determined that the dividend from the Item Norge AS should be 30 pst. However, every year in the budget, there are varying proposals for dividends. For 2005, the proposal is almost 75 pst. This creates an uncertain situation for state-owned companies. Only when the budget is presented will the company know the amount of the dividend. When variations are as large as we've seen in recent years, it's hard to deal with them. This applies not only to the Post, but also to other state corporations. It should be assessed, therefore, whether a non-conformity should be more consistent when it comes to dividend policy, so that it becomes more consistent with what has been defined.
ParlaMint-NO_2004-12-07.ana.ud735e620	It's going to be line change.
ParlaMint-NO_2004-12-07.ana.ud735e623	Now, the Labour Party and the Center Party are agreed on most of this setting, as we have been particularly concerned with structural issues during this period. It concerns the act of limited liability companies, the postponement of competition and privatisation. Today, BaneService, which is to become a limited liability company, Kastverket Produktion, is to become a limited liability company, and the launching and privatisation of the Railway Agency Operation. I'm happy for this deal. In addition, we, together with the Senterpartiet and SV, say that we are opposed to the liberalisation of the taxi industry. What is different for the Workers' Party and the Center Party is what the representative mentions last, not how we look at money for conversion and exchange, but when it comes to Mostly's conversion to a limited company, we have put back the 100 million. kr plural part has been taken away. It doesn't have the Center Party. Neither have they done so when it comes to exchange in the Post, so the Central Party is involved in an exchange in the Post of 74 pst. I would like a comment from the representative.
ParlaMint-NO_2004-12-07.ana.ud735e630	It is quite right that the representative Oddbjørg Ausdal Starrfelt stated that the Central Party and the Labour Party are united on many of the important structural issues within the sphere of social policy. This can be seen in the settings we have presented and which we are dealing with now, and it has been the same in previous settings. So to Most and the conversion funds that the Workers' Party has put back into the budget: the Center Party has not, but in our remark we have shown that we view this as a transfer of funds and expect the funds to come. That's why we didn't put them there. When there was a dividend, I was inside of it in my post. We haven't invested funds, we've accepted it for 2005, but it's important that we get a review so that we get a more transparent situation, so that, in a word that's not so good in neuron, it's 'foreseeable' for these companies for years to come.
ParlaMint-NO_2004-12-07.ana.ud735e639	The representative Ringstad was in a field that has not been particularly affected today, and there are traffic stations. We have received a letter from the Council of State that I feel is reassuring, because we were also a little skeptical after receiving some letters from business. That letter specifies that there should be an ambulance service for checking imported cars which do not have type-approval, that service centres should be set up around the municipalities and that offers should not be closed until alternative offers are established. It sounds to me like a much better offer than today. You get the users closer where they are, and you get the users between the different traffic stations in a better way. Is not the representative of Ringstad concerned with reaching users as close as possible to where they live?
ParlaMint-NO_2004-12-07.ana.ud735e644	During the summer and autumn, I noticed that very many of the Progress Party's local politicians, but also Kenneth Svendsen, were out there and were very sceptical of the change that was to happen when it came to the traffic stations. Ambulance service was mentioned in a letter from the government council, it was also said that one could add services to the service centre, but the state does not create a service centre around it, so that it must be the municipalities that create these centres, and that one can place some services there. But I've been talking to more people in the business world who are concerned about this issue, and they're not happy that this might be an ambulatory service, because they don't know anything. No closer information has been given on how this should work. It is also not stated that there is a service centre all over the place, so that services can be placed there. That is why I said in my post that whether it is implemented and how it is done is still a big question.
ParlaMint-NO_2004-12-07.ana.ud735e656	SV has proposed the creation of a new entry on the road transport budget, earmarked support for upgrading the county road network, an incentive scheme to enable county municipalities to upgrade the county road network faster than they can do today, and we propose a five-year plan for upgrading county roads. This will benefit the districts and, in particular, facilitate business development in the districts, as the county roads constitute significant bottlenecks. It surprises me that the central party could not support this proposal, and the question to Ringstad is: Does the central party not see that it will be very good district policy to facilitate the rapid upgrading of the county road network?
ParlaMint-NO_2004-12-07.ana.ud735e661	At the back of the budget proposal, we have an overview of the situation of the county roads around all the counties in the country. We have also received this in previous budget proposals. It is clear that some states have made considerable efforts on the county roads, others have not been given the same lift. This is a responsibility for the county councils, and I believe that what SV and the Progress Party have presented is a gravel road package – it is not a matter of upgrading the entire county road network, but of upgrading the gravel roads, i.e. a gravel road package. This means that the states that have given priority to a little different and perhaps deprioritised other tasks and set priorities on the county roads, they should not be given these resources because they have done the job themselves. If you want to prioritize and introduce those who have not done the job before, I think it will be wrong.
ParlaMint-NO_2004-12-07.ana.ud735e666	The cord shift is over.
ParlaMint-NO_2004-12-07.ana.ud735e669	The left and co-operation administrations have given priority to the environment and security in transport policy throughout this major period. A strong stepping up of public transport efforts, the development of safe train radio communications, racial and road safety measures on the road network are examples of this. The government has also prioritised a faster and more coherent development of the tribal road network in all parts of the country and a forced expansion of four-field motorways. This has a major impact on road safety and improves the promotion of both industry and the general public. Like the budget for previous years, the budget adopted today also includes a strong commitment to public transport. Public transport was given a huge boost in 2004 with a growth of nearly DKK 1 billion. This high level is now further strengthened. Overall, over 9 billion kroner will be spent on public transport in 2005. As the Left State Council, I am particularly pleased with this promise for public transport. The objective of the Sem Declaration of an increase of SEK 1.5 to 2 billion is more than achieved. It is a budget with a significant environmental stamp, a clear left stamp and a stamp from this government. Figures from the first quarter of 2004 show that this strong investment in public transport results. There is growth in the number of travellers and/or reduced fares for all major cities. The NSB, the Aerodrome and the express buses may also refer to a significant passenger increase. In view of these positive results, the reward scheme for better public transport in metropolitan areas increases by more than 50 pst. In the road budget, significant funding has been provided for collective fields, terminals, holding sites, signal priorities and the T-banning in Oslo. But although much good has been done in the field of public transport, there is no need to stop here. The left and the government will continue the job to make public transport even better. The railway budget has been given a strong boost during this flooding period. It is now spent more than NOK 6 billion a year on the railway, and with the exception of the extraordinary expansion of the Gardermoban, it has never been granted more to the railway than during this government. It is also a solid railway operation for 2005, including, inter alia: the following major projects: the double-track development between Asker and Sandvika will be completed the expansion of GSM-R train radio continues the remote management of the Nordlandsbahn new freight terminal at Ganddal in Rogaland In addition, a number of new projects will be planned: double track extension Sandnes – Stavanger new double track Lysaker – Sandvika Lysaker station double track between Bergen and Fløen The means of improving safety, travel information, labelling and accessibility for all are increasing sharply. It is good that NSB and SJ maintain the train connection between Oslo and Stockholm by direct train on weekends and daily train connections during the summer months, although ideally it would have been desirable to continue daily departures. Together with the Swedish Ministry of Economic Affairs, the Ministry of Transport looks at the possibilities of restoring a train connection with daily train departures throughout the year. We also assess the possibilities for new players to enter this market. It is my duty to ensure that we get the most out of the resources and thus a safer and more operationally stable railway and a better rail service for the population. The launch of the railway works’ production activities and the establishment of the Railway Service is important in improving the efficiency of the operation and maintenance of the railway infrastructure. The launch of competition will take place gradually until 2009. It shall be implemented in such a way that safety is at least as good as previously. The State shall continue to own the infrastructure and the Railway Agency shall continue to be responsible for the safety of the Norwegian network. Strengthening the role of the railway undertaking as infrastructure manager. Safety features for inspections, controls and visits of the network shall remain in the Railway Station and we shall have a clear distinction between production and management. The task of the Railway Authority is to monitor and assess the safety consequences of the reform process. The high safety characteristics of the railway shall be maintained. Stem roads are the backbone of the road system. It is therefore important to have a well-developed tribal road network where we see longer distances in the context. Examples are E6 through Østfold to the Swedish border, E18 to Kristiansand and E6 northwards to Lillehammer. Improving the secondary national road network and the ferry service is important to strengthen living and business throughout the country. Proposed changes within the road and vehicle areas, inter alia: traffic stations are a follow-up to the adopted reorganisation of the State Road Service. Efficiency provides better and more decentralised services to users. These measures include: the release of personnel for other and more priority tasks, such as: control tasks on the roads. Overall, the population will be offered at least as well as today. I propose that the transfer of the Air Safety Authority to Bodø should take place with the minimum possible interruption of the oversight activities. The high level of safety in Norwegian aviation shall be maintained and further developed during the period of relocation. It has proved difficult to recruit and retain the necessary competences in the Air Safety Authority, as is well known. Measures to prevent the departure of personnel and to strengthen the recruitment of supervision during the period of relocation will be assessed. Transport accounts for one quarter of Norwegian greenhouse gas emissions. It is therefore positive that the majority of the Committee supports the strong budgetary commitment to alternative fuels and environmentally friendly technologies, including: biofuels, fuel cells and hydrogen. This is more than doubled in 2005. I welcome the support in Stortinget during this four-year period for a transport budget with a clear environmental and collective profile. The budgets have been adopted by a different majority in the Grand Duchy. This year's budget agreement with the Progress Party has ensured that we have guaranteed the Government's priorities without any change, while increasing the appropriations for projects that specifically strengthen racial security and the transport supply in the districts. I would like to commend the Progress Party on their constructive approach to budgetary work. Societal development also requires changes in the field of transport. I am committed to being in the forefront and implementing the necessary reforms, so that we get more for the means of transport and better transport for the citizens. At the same time, safety must be at the root of everything we do, so that it is safe to travel on our roads, at sea and for those who choose to take planes or use the railway.
ParlaMint-NO_2004-12-07.ana.ud735e735	It's going to be line change.
ParlaMint-NO_2004-12-07.ana.ud735e738	Left stamp - as much as possible and as far as possible privatisation against those who add their advice and wishes! I want to confront the Council of State with Sunday newspaper. There the council said that the transformation of the Railway Agency Operation was to get rid of the camaraderie and get control of the security. Is this the argument for the transformation, or is it what the proposition says? When the transformation of the operating organisation e.g. is a ground for cleaning in roles, as stated in the proposal, why is it not possible for the Railway Works to become an AS which can compete as other companies do, e.g. Mesta AS? What Is It? Is it this camaraderie that you're going to split up once and for all, and then you're going to tell people up and send them out to work?
ParlaMint-NO_2004-12-07.ana.ud735e745	I have given a strong expression that the concept of camaraderie I am not standing by. It was put in my mouth in that interview, and I should have said there and there that I am taking my distance from it. Then I must also say that I am a little surprised by the harsh criticism that comes here from the representative Ausdal Starrfelt. I registered not so long ago that this representative would propose that the whole railway company be established as a company. I also read in the budget position that ‘this policy’ — where reference is made to this type of corporate formation — ‘contributes to weakened popular governance and increased market-oriented governance’. We chose not to go that far. We think it is very important that the state has a responsibility for the infrastructure on the railways. I don't want to go for the privatisation of the infrastructure, and I don't want to be part of the concept that we are ‘privatizing’ the railway.
ParlaMint-NO_2004-12-07.ana.ud735e752	I would first of all like to say that I am glad that the Advance Party programme has become several pages slimmer during this period and in the previous one. The council and her staff are to be commended for having done a formidable job of transforming heavy public authorities. Now they've put Telenor out of competition. The item is almost completely competitive. Ferry will be. Bus will be. It's about the Road Service. Air traffic has gained competition in the air. The NSB is about to start with tenders, and we've got a lot on Gjøvikbanen. And now the railway station is going. So we're satisfied that large parts of our program can now only be torn out, because they're completed. Then I want to ask the Council of State, who has done this good job – and then I guess she will continue – but there are still some smaller areas that you need to put off competition: Will the Council of State continue in the good crowd she is in now?
ParlaMint-NO_2004-12-07.ana.ud735e759	When we choose to use more outsourcing, we do what we see is a gain to pick up. If these are areas we have not yet come so far, it is either because there are assessments that should be made, or because time has not so far been involved. I am concerned that when we first choose that, there should be a reason for that. I don't have a philosophy that we're going to compete for the outsourcing, but to the extent that it's a win to pick up, we do. Not least, as politicians, we have a responsibility for the money we manage on behalf of all the inhabitants of this country. That means we have to always ask ourselves if we're managing this money properly. That is what we believe we are doing now by presenting this proposal relating to the outsourcing of tasks within the railway system.
ParlaMint-NO_2004-12-07.ana.ud735e766	The Government's proposal for the competitive outsourcing of the operation and maintenance of the railway has been presented in violation of the Railway Agency. They have stated that this goes far beyond what they can do well and have proposed, and it is proposed in violation of railway employees who are going to strike today. The Railway Authority has also failed to deal with the matter and cannot accept that the proposal can be implemented. On 18 December 2003, this was discussed in Stortinget. Then the state councils stated: ‘That is why I also want to continue to listen to what the Railway Agency, both management and employees, believe’... ‘In this work, as I have said before, the employees will also be involved, because I think they have important input’. My question to the Council of State is: How has she involved the Railway Agency and its staff in the preparation of the proposal, as she guaranteed in the United Kingdom on 18 December 2003? And: The Railway Inspectorate told the Newspaper yesterday that they cannot guarantee that the proposal can be implemented, either on a scale or in time. The question is: can the Council of State guarantee that the proposal currently presented can be implemented both on a scale and in time?
ParlaMint-NO_2004-12-07.ana.ud735e780	Let me start with the last question first. The fact that we have State Railway Authority that can monitor that we're doing this right and that we're taking safety into account is important. That's an important premise for what we're doing. That's why we've now set out a plan for what to do. The Railway Agency and the Ministry shall jointly establish a more concrete plan for further action. In this work it is important to carry out a safety analysis. In relation to whether I have listened to the Railway Agency, let me quote what I and railway director Steinar Killi among others. talked about yesterday: ‘The railway is and shall be a very safe means of emergence. The launching of the railway works’ production activities shall not impair railway safety’.» We fully agree on that. ‘The Government’s proposal will impose strict requirements on written documentation, which in isolation will improve safety in the railway sector.’ We agree on this.
ParlaMint-NO_2004-12-07.ana.ud735e796	Not long ago we had an interpellation debate about ferries here in the hall. In that debate, the Council of State stressed that the sum for the purchase of ferry services had increased sharply. However, as the Council of State also stated in the inter-pelling debate, much of the increase has gone to meet new demands on security and other things that are more on the administrative side, and corrections. It has not been the large volume of production in the ferry itself. This year's budget agreement has given concrete improvements to some sections, which are positive. But my question to the Council of State is: Is the Council of State satisfied with the efforts that have been made in the ferry sector? Then there might also be reason to add that we have a very high average age ferry.
ParlaMint-NO_2004-12-07.ana.ud735e803	As it was said, in that interpellation, I referred to the solid state investment with contributions to the purchase of ferry services that have taken place in recent years, without necessarily increasing the services. That's absolutely right. The reason why we have chosen to go so badly on the part of the state is that it is the community that bears mainly the costs associated with more stringent safety requirements. That's what we've been saying for the sake of the people who live around the country. I would like to say that this is a solid commitment on the part of the state. I am pleased that there has become room for even more investment in ferries through this budgetary agreement here on the Stortinget. But I would also like to stress that the state contributes significantly in relation to ferries. It's important from the geography we have here in this country. The State and the Community have incurred costs relating to higher standard requirements.
ParlaMint-NO_2004-12-07.ana.ud735e808	I'm glad the Council of State is taking a distance from claims of camaraderie. I listened to that program, and she answered yes, after even talking about friends controlling each other. So it wasn't entirely unimaginable. The working party believes in an administrative model of the Railway Agency, possibly a state enterprise. So we're actually trying to have two thoughts in our head at the same time. We say that we are, in principle, opposed to this postponement of competition and privatisation. It's e.g. quite uncertain whether there is a market, or whether one can establish itself in the market in this field, or whether what we are doing, only leads to a confusion of competence. When the majority wants to put off competition, we ask: why can’t those working at the Railway Works Administration not be competing? Actually, they already do, to a very limited extent, but it's supposed to end. What makes the Council of State not confident that those who work at the Railway Agency Operation can participate in and compete for the assignment, when she now wants to clear up the roles?
ParlaMint-NO_2004-12-07.ana.ud735e817	This distinction between the roles of those performing the job and those to be controlled is precisely a matter of distinguishing between the roles of those performing the job. It is at the bottom of the interview that has been given and that has been quoted from here several times. What this is all about is that we have a railway station that is responsible for managing the infrastructure. We have a very positive experience from the roadside in introducing this distinction. To the question of why not the employees of the Railway Works Agency can be allowed to participate in the competition: if they go to BaneService or other businesses that are in the competition, it is entirely free and up to them to participate in it. But as such, the Railway Agency will be an administrative unit that cannot participate in the competition on the tasks to be performed here, as we will again have some problems separating the control tasks from the exercise role.
ParlaMint-NO_2004-12-07.ana.ud735e824	The cord shift is over.
ParlaMint-NO_2004-12-07.ana.ud735e827	In today’s budget debate on social affairs, the following Bible quotations can be used: It is complete. This government, with the support of the Progress Party, will in the current ageing period have multiples to launch and privatise all parts of the infrastructure. Today, the Coastal Station and the Railway Station broke down. Back we're in the Working Party almost said with a horrible lump in our stomachs. What are we getting? What are we going to get? And who does that go down? We are beginning to see the results: in the Road Directorate, they need to add more bureaucrats to facilitate supply and more people to control, while providing people with a final package and early retirement. So society spends hundreds of millions of dollars getting rid of the workforce, and it doesn't waste the permits. This is probably the government's way of spending taxpayers' money and the government's way of practicing an inclusive working life. Get it, whoever wants it. In the future, when it comes to the Railway Agency, they will not be allowed to compete. Governments don't trust the competent people she talked about on the radio on Sunday. On the contrary, government councils are talking about the environment covering the reporting back to the rental and that the ministry does not have the full picture. The Labour Party, of course, supports the Council of State that we need to change all the time. The Railway Agency has also done so – not at express speed, precisely because of the competence of the small professional community we have there and because they have to take care of the security. Now a Christmas gift of 1,000 is added to the Railway Agency: we don't need the knowledge and the workforce anymore. Privates may take over, but the Railway Agency shall be responsible. I don't understand how it can give you greater security. Governments estimated the economic gain on the radio at between 6 and 15 p.m., or several hundred million dollars. Governments wouldn't tell you what it would cost to get rid of them – about 400 million. kr is stated in the bill of lading, by the investment budget. Probably it can double the number before the whole process is over, money the railway badly needs for investment and operation. In terms of the railway's 150-year marking, the government has gone out and said that they should invest heavily on the railway, both now this year and in the years to come. However, the action plan for this period is very close, rather the investment plan for which the Government itself gave leadership. So it's not competent and competent people who go around, which is why we don't get enough rail for the money. On the contrary, it is the stream of money that is not at risk. On page 6 of the supplementary proposal, it says that in the future the Railway Agency will not do jobs for others, as they do today. It generates revenues of between 60 and 80 million. kr. Will the Council of State compensate for this loss of income, or will there also be a cut in the operating and maintenance loops? The additional proposal states that the number of trainees in BaneService should be available for take-off at the age of 60. Why is the same offer not applicable to those added to the Railway Works? What is the difference when everyone belongs to the Railway Works? They're all state-affiliated. The working party is genuinely concerned about the future of the railway. We thought it was getting old with all the positive results that the Railway Agency and NSB AS have given us travelers lately. We're in on a good track. If these advertised recalibration rings are not to be released, where will the council take the money from? Is it from the accessibility of the station areas and information to the travellers – the fifth dimension of the NTP – or what is it? Socio-economically, we want to be poorer. If we were to compare it to the same thing, the problem would look different. But there's ideological differences on the right-hand side and on the left-hand side that hit here. It's the right-hand side that believes that private and competition are the only solution, whether it's rational or not. The goal of the sacred means. And with the support of the Progress Party, they will succeed. This is a bad day for everyone who is busy with the railways, both as a public transport operator and as a freight forwarder. It's the pace that worries the most. It is shown to many countries that are happy, both Denmark and Sweden. Yeah, and they've spent a lot of time. But there are many countries that haven't succeeded, and that's the speed at which Norway goes up. Otherwise, both the ECON and the Railway Agency have said that they are willing to look at the crew and reduce it. But in the amount and pace that the Government is now adding, it's going over the stick and the stone.
