ParlaMint-NO_2004-05-13.ana.ud1171e58	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2004-05-13.ana.ud1171e436	It's going to be line change.
ParlaMint-NO_2004-05-13.ana.ud1171e439	The Progress Party has for a long time been aware that they want more power in Norwegian policy. The party of progress is at regular intervals outside and is angry and hurt at other parties – read Right, in particular – so that they do not take the party of progress into the heat. The party of progress will have power, the party of progress will enter the government! Getting power involves taking responsibility. The progress party could have taken responsibility in this matter, the responsibility to contribute to calming Norwegian anti-roar policy and Norwegian anti-roar management. The party of progress doesn't do that. Instead, they beat in traditional fashion in all political directions. The representative of Korsberg is using the pulpit here to attack people. He comes with insinuation about the motives for the individual representative's reasons for going into things. These notes also give the impression that the reconciliation will reduce confidence between the local population and the central authorities, because the local population’s wishes are not being heard. This is gross, even from the Progress Party, but it is not yet too late to turn around, and also contribute to district policy.
ParlaMint-NO_2004-05-13.ana.ud1171e448	More power, it's said. Of course, like all political parties, we want more influence on Norwegian policy, and in this case we tried to take responsibility. So, as I mentioned in the line to Rahm, we were in negotiations with the government parties. It's not a secret – it was in the media. We have also received a draft from the government parties with five points that we could agree on. But it seemed that it was not a desire and a willingness to come to an agreement with us. In my lines and in my post, I have commented on what is in the setting – that is what I have commented on – and it is quite clear in the setting what we think about this agreement, and what we think about some areas being more favoured than other areas. There's nothing to hide. There is black in white in the comments, and then I must also say it from the Stortings pulpit.
ParlaMint-NO_2004-05-13.ana.ud1171e455	It's a reasoning that I hope the representative of Korsberg can help me understand the logic of, and it's about the policy of the Progress Party in the field of wolves. The Progress Party’s 2001–2005 Major Election Programme states: ‘In Norway, a herd of wolves, yews, bears and boars should be maintained.’ Then the Progress Party writes in its comments that Norway is not obliged by the Berne Convention to have wolves. So you have programmed that we should have a wolf population here in the country, even if we are not obliged to do so. At the same time, when they point out in very strong order what plagues the population and businessmen have in relation to wolves, I have problems understanding the logic of their policies. The representative of Korsberg said in his speech that a wolf zone east of Glomma would be the most sensible, and attacking the Workers' Party to enter into a settlement with the government parties and the SV that extends this zone. Why was not the Progress Party initially supportive of the Government's original proposal?
ParlaMint-NO_2004-05-13.ana.ud1171e467	It is nice to hear that the Right reader from our party program, and I understand from the national meeting that you should also start drawing plastic cards when necessary. On the back of those plastic cards with good quotes you can also have good suggestions that Right have made earlier when they were in opposition, but they do not promote when they are in government. I'm thinking about the emergency court. In the case of wolf east of Glomma, it's the best of two bottoms, because the wolf zone you now have is completely hopeless. Wolf east of Glomma is the best. But we were never allowed to get so far that we were able to conclude some negotiations with the government parties, and I think that is sad, because we had got a better policy than is the case today. It is quite right that we in the party programme have said that we should have a population of the four large predators in Norway, also wolves, but we do not have the objective of being breeding wolves in Norway, because wolves in Norway will anyway have as long as there is so much production of wolves in Sweden, and it is increasing. Then it is quite natural that the immigration of the wolf will come from the east, and we want wolves in Norway, even in those areas that the government parties think you can keep wolf-free, unfortunately.
ParlaMint-NO_2004-05-13.ana.ud1171e476	The President understands that this is part of immigration policy.
ParlaMint-NO_2004-05-13.ana.ud1171e479	It is quite clear that there are two parties that have actually come out of the closet and in this setting have said that they will eradicate the wolf, and that is the Progress Party and the Center Party. When the Progress Party states that there should be no objective of having breeding wolves, but that it can happen naturally if it does not cause disadvantages to the population or owners of land, it must mean that the wolf will come to Norway if it changes and becomes a vegetarian. The wolf can't do that! We must draw the conclusion that if the Progress Party gets its will, we do not have wolf in Norwegian nature. Then Korsberg and others must stand at the Swedish border and shoot those who cross. It's not a legitimate policy. If Kenya, Tanzania and South Africa had conducted the same policy towards lions, we would not have had lions in the world. If India had led the same policy towards tigers, we wouldn't have tigers in the world. It's possible it's naive, but to me it's a basic choice: do we have room for predators on this planet?
ParlaMint-NO_2004-05-13.ana.ud1171e488	I think it is an advantage to keep this predatory debate mainly to Norway, not to do as SV does, to go to Africa and start discussing the level. Clearly, wolves will suffer. But I think it'll be pretty hopeless if you start to decide how many breeding wolves you're going to have in Norway, and where that wolf is going to be allowed to move. Our starting point is that you would like to have breeding wolves in Norway as long as it does not cause major problems. There have been wolves in Norway for quite some time, which have not caused problems for the population and for the sheep industry, above all. What is our starting point is that we take into account the part of the population living in the district. That is not the case with the policy they are currently pursuing, and that is the big difference between SV and the Progress Party in this case. We take account of local democracy, and we defend it in this Chamber. We're all alone, unfortunately.
ParlaMint-NO_2004-05-13.ana.ud1171e497	So the chord change is over.
ParlaMint-NO_2004-05-13.ana.ud1171e500	I must repeat to the Progress Party that I believe the Progress Party is ten times more dangerous for the districts than the wolf! I would like to thank my conciliators for a good cooperation in this process. But I would particularly like to thank the Workers' Party, which together with SV, I believe, made sure that this matter got back on track. It was nice. I would also like to thank the many organisations that have made recordings, both business organisations and environmental organisations, as well as municipalities and municipalities. We've got a lot of input, it's been a lot of activity. There has been a lot of criticism, but also some positive input that we have been able to use in our work – to the very end. Let me also clarify what both the committee leader and others have had to say that because of the fact that it has been a little impeccable who is responsible for the roll-over message and what is in the setting, the settlement partners have had to put forward a proposal that clarifies that this responsibility in relation to the measures mentioned in the resolution lies with the Ministry of the Environment – so that it becomes quite clear. SV immediately said that this is a good starting point. We pointed to a couple of things that we would negotiate. The one thing was wolf sona and preventive measures, and then it was the fact that one was going to shoot out gloat and yew in Finnmark, which we totally incomprehensible to us. But in addition to this, we also said that we believe it is necessary to have a broad plurality that can last for a long time – preferably ten years, so that one escapes such uproaring debates as one has now had on this matter. The majority on which a majority is based shall have a two-part objective at the bottom: we shall have both living districts and small-scale use, and we shall also carry out the international obligations we have to have viable populations of the large predators. Today, by this agreement, we have made it! So even if the way forward has our thorny and difficult, we've come up with a wide, 80 pst deal. by the representatives of the people behind them. It's heavy! This will ensure that we have a far-reaching predatory policy for a long time. Then the challenge for the many with whom we have cooperated in the process towards the decision is to be involved and to contribute to the effective realisation of this heavy conciliation now, in a way that everyone can be satisfied with. It's a challenge for the many people who have made contributions – and that challenge I hope people will meet. In the evening post yesterday we could read about a schoolgirl, Anne Marthe Lie, who met the wolf, and who says to the newspaper: I knew how to take this. She was calm. There's also a quote from the father, who said, "I want us to keep our obligations in relation to having the big predators." It may not be that in Africa, where we are to demand that they have lions and tigers, while we ourselves should not have predators. There is no logic in it, says this father. – There I thought the parties that think otherwise had to think carefully about. Is it the case that only poor countries are going to have predators? Is that the policy of the Central Party and the Progress Party? Shouldn't Kingdom of Norway take responsibility for the predators we have? There are many things SV is pleased with in this agreement, among other things. to get an Abruzzo project. In Italy there is a national park with a sloping area where there are a lot of predators. There are a lot of tourists who come to look at this area – not just because of the predators, because there are also buffaloes. Now through this setting, we've suggested that we get a center like this in Trysil. It's SV happy with. So it's clear that SV is very pleased that the bulk of the population realized the stupidity that was in the message, that one would actually shoot you out and gloat in Finnmark, something that seemed completely incomprehensible to us in the SV. Why would one do that all day? It's still in place. Now Finnmark will also have to keep what they've had since the morning. And I hope the Environment Minister can comment on it – whether he is also pleased that it is now coming back into place again. The inventory measures have been slightly lower than the one the government has created, but one has made it clear that the government has not succeeded in setting a figure for the young wolf. Even if that number is low, one must be satisfied that one has a stocking number on the wolf, and one has clear and clear numbers on the other varieties, even if one has gone down on the bear and yours. Gaupe and the king eagle were all parties some about. We suggest that there should be a new case about a replacement arrangement. Our starting point was that the incentive that the government came with was very good, and it feels SV is represented by the reconciliation that we now have. There shall be important preventive incentives in the new compensation scheme, to which we shall return. However, there should also be discretionary loss possibilities when there are specific situations that require it. Now, there's a couple of things that we have to do. We now also get an administrative regional spot, but we don't have a certain amount, which the Progress Party is asking for. But we're going to get this pot, we're going to have one point back. This pot should be an incentive for municipalities to, for example: can apply for funds for preventive projects in its municipality, without necessarily having to be so very specific. This is precisely to try to bring the local level in a different way from what we've been able to do now, to ensure that resources are provided to those municipalities that have predatory problems, so that they can actively pursue prevention measures as they themselves wish. That thinks SV is important. Then SV is also pleased that the conciliation has taken hold of the animal crime as one, among other things. has been illustrated in Focus programs on TV, where an actual active target predator, and there is not enough research into this so that one can capture the sinners who are doing this. Now you should get a stronger focus. That's what the conciliators are all about. It's SV happy with. Finally, in this debate and when I've been out at the meeting, I have sometimes felt that it's a very iceberg, and on top of that iceberg there's a wolf. During this wolf debate, some people have shown an enormous amount of aggression when it comes to the wolf, which we will in a way force on people. I think a lot of the reaction that we've got from the districts also goes on a lot of other things. It goes under poorer conditions for agriculture in the districts. There is a need to reduce incentives for small-scale use in the districts. This is a policy of EU integration. It is in the EEA Agreement. It goes on a bunch of things that have accumulated, and that end up at the top of an iceberg, where the wolf is sitting. I'm glad we've had a broad deal in predator policy. SV is set to last a long time, and we hope for the sake of the cause, not only for the district industries, but also for the predators, that this agreement will last a long time.
ParlaMint-NO_2004-05-13.ana.ud1171e542	It's going to be line change.
ParlaMint-NO_2004-05-13.ana.ud1171e546	Langeland quoted in his post from the Evening Post a touching story about a little girl who met the wolf. Fortunately, it went well. If he had taken the trouble of reading the rest of the piece, he would have seen that the picture was somewhat more nuanced than that. I'll quote from another newspaper. It's from the nations. A few days ago, it said, ‘Stop the watchdog project’. I might have to tell the people that we were around on a lot of hearings. We went on tour in the whole country, and Langeland recommended watchdogs as something very safe and sound. Now it says in the nations: ‘Two of the three sheepfolds who have taken part in the watchdog project in the Lierne have completed...’» I'm not going to accuse Langeland of misinforming, or that he's got himself into things badly, but has he now come to the truth's recognition and realize that watchdogs are not something to bet on, that the whole project has gone over?
ParlaMint-NO_2004-05-13.ana.ud1171e558	The Special Center Party is one of the parties that does not take international responsibility for the possession of predators. They say we shouldn't have wolves in Norway. They certainly think there should be tigers, cheetahs and lions in Africa, but in Norway there should not be predators. When it applies to the 11-year-old, I have history here. I've read it. It's very clear what the danger is saying about this. Companion wants predators. But we need to take a joint initiative – it does compare – to address the problem and recognize that someone has been afraid and worked on it. This makes the comparison in text. In the case of dogs: in Abruzzo in Italy and in many other countries, this seems to be a real bet on it. That bet adds up to this equation.
ParlaMint-NO_2004-05-13.ana.ud1171e567	Local animal protection subjects and game subjects have worked well for a long time in the municipalities of Norway, at least in my opinion. I would like to ask the representative whether he does not believe that the local animal welfare authorities are competent to assess what is best for landowners and residents in each municipality, so that local knowledge and values are taken into account.
ParlaMint-NO_2004-05-13.ana.ud1171e572	This is precisely what the representative here is asking for, that one should try to get more local management, not only by predators through the administrative regions, but also by being able to control funds, money, locally where one has the predatory problem. There is no doubt that the direction of the agreement is that local democracy should be more involved in this. When it comes to animal welfare students, it's clear that our starting point is that it's not the ones that should primarily govern this policy. As a whole, predatory policies are supposed to govern this.
ParlaMint-NO_2004-05-13.ana.ud1171e579	Several have not asked for the word for a line.
ParlaMint-NO_2004-05-13.ana.ud1171e582	It is well known to everyone that the Central Party is very critical both of the predatory game policy we've had, and of the policy that the majority of the Stortinget is now putting up. But when it's true, the Central Party actually feels that the Committee has now worked hard on the message and has taken on many weaknesses. The message had not captured the major conflicts we have in the roving game management. The resistance of builders and fear of predators were not taken seriously. There is no doubt that the Committee has met much of the criticisms made by businessmen, local politicians and a few political parties. Some of the majority settings have been pushed in the right direction. Then we'll hear, the center party is out. Far from it – since today we have received a proposal on the table for compensation. It is almost identical to the proposal put forward by the Senterpartiet long ago, i.e. that all the costs of predatory game policy should be borne by the Ministry of the Environment. For example, the committee setting contains: There are also many improvements in the role of the Ministry of the Environment as the appeal body and in the fact that the members of the authorities of the wild game are elected by the people. So there are still improvements that the majority have come up with on the basis of signals they have received. Now it might sound as if the Center Party is very satisfied with all the things. We're not, because in one area, when it comes to how many predators we're going to have here in the country, the Central Party has a completely different view than the majority. And it's this theme that's absolutely crucial. Fewer predators would mean less conflicts and disadvantages. With the stock targets now set by the majority, problems will increase. Local influences, more reliable stock records, efficient take-offs and the gradual introduction of hunting are good. But it would have been a much simpler and more predictable situation if the Senter Party had been able to get through for fewer predators. It would really help both for the exercise of legitimate grazing and for all other land-based activities, not least for those living in the exposed areas. The centre party has understood the arguments of those who want more predators. I'm sure that's sincere, but the arguments are completely different from those we hear from people who have the problems of life -- a little less grounded in a way. The centre party is not in doubt that consideration for the local population and the district industries should be crucial. That is why we strongly regret the fact that the majority does not take the decisive step of reducing the number of predators. The centre party disagrees with the fact that three breeding family groups of wolves will now be allowed in addition to an unknown number of cross-border and individual flocks. The centre party is suspended because we do not want breeding wolves in Norway – it does not get any help. We think it went quite well without the breeding wolf in this country, and the period was quite long. We also disagree with the increase in bear strains to 15 annual juveniles. The problems are big as they are in the exposed areas, so they have to get worse. This proposal will involve approx. 150 bears, and there'll be about a quadruple of today's number. In the case of you, the main problem of grazing, the large number of juveniles – almost 40 – will continue to kill thousands of sheep on grazing every year. Unfortunately, the number of flaps should also increase again. On the basis of the number of populations added to it by the government parties and the Workers' Party and SV, it is difficult to enjoy the good aspects of the message, as I mentioned in the introduction. The improvements provided by the adjustment are subordinated to what is and will be the main thing: there is the amount of predators that the bulk of the population will have, with the major disadvantages and costs involved. At this crucial point, the minority totally disagrees with the majority. Occasionally, proposals for the evaluation of a case are made after a few years. It tends to be effective for issues where developments in the future seem uncertain. No one has it this time. Nor have I seen the need to make proposals to adopt an evaluation. It's probably getting off its feet. For the requirement of fewer predators, good and well-thought-out formulations in the bulk documents cannot be met. It doesn't hold, we have to have proper decisions that would have done something about predators' numbers. Finally, I address the proposals on which the Central Party stands alone. We also support the proposal tabled by the majority today, and we also support what Mr Rahm said, where we were left out in the first place.
ParlaMint-NO_2004-05-13.ana.ud1171e613	The representative, Inger S. None, has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2004-05-13.ana.ud1171e618	Politics is to be desired, but politics is also to be achieved. The agreement now in place, and the majority that has been reached, is inter alia: described as a better solution than the Government proposal by the centre party newspaper Østlandingen. It is described as a great victory for those who want more local governance, and it is also there – from the leadership position – described as something to live with. After all, it must be a cross of thought for the Central Party that, in such an important case, you put yourself on the sideline as you have actually done in this case, without any opportunity to influence in a matter that is so important to the party and its voters. Is this a dilemma for the Center Party?
ParlaMint-NO_2004-05-13.ana.ud1171e625	I do not know how well the representative Storberget followed when I spoke. I actually said – I almost used one side of it – that there had been many improvements in the setting. It's made things better, and I think there's a lot of people working on it. I also mentioned that there have been different organisations, local people and actually also some political parties that have stood for it since. It is completely wrong when Storberget says we are outside. I actually don't understand what he's thinking about then. As I said, as late as today, there has been a proposal on our table that is almost identical to the senterpartiet submitted before the deadline for the release of the setting expired. It is one of the proposals that help make this more viable. It's almost like the Center Party has been a gangster here, and the others have come after – and that's good.
ParlaMint-NO_2004-05-13.ana.ud1171e632	Inger S. Enger is talking about the populations; she specifically mentioned the bear. However, if you are to have a viable, sustainable population, you must have 14–15 annual young people. Then it's not easy, if you're going to have a viable population first, to go as far down as the Center Party wants. But my question goes more to the procedure itself. I have great faith that Inger S. Enger and I share the same opinion on how to deal with difficult matters in Stortinget. As for the meeting we had in place here – and I understand that those who are affected are quite strong in their characteristics – the Center Party and the Center Party leader were out with a statement that went very far, I thought, pointing out that this majority of the Storting did what they could to make it unkind to other people around the country. Does Inger S. share that vision?
ParlaMint-NO_2004-05-13.ana.ud1171e640	Onarheim took up two themes in his line to me, as I experienced it, first of all this with bear and viable strains. So we're talking about 15 young people per year. years. They don't get kids that often, so they need two and a half guts -- I've read about this -- to get a kid this year. It's going to be about 45 inches, and think of the pile of free males running around them. So this is going to be clumsy, and there's going to be a lot of bears of it, and we have big enough problems with the way it is today. That's the one. As far as the public meeting is concerned, there's probably a lot to say about it from more teams. But the leader of the Center Party had an appeal that only went on the wolf, and in that context I share her opinion. She concentrated only on one subject, it was wolf, and there we agree completely.
ParlaMint-NO_2004-05-13.ana.ud1171e647	I have two questions for the Center Party. One goes on if the Center Party can't help marginalizing itself. In this case, the party has in some way gone to the stage where they think Norway is going to break international agreements, the same thing that the Progress Party is doing in some cases. The EEA Agreement allows labour immigration under certain conditions, but the wolf must be gunned at the border post to be set up by the Centre Party. Is it good central party policy to break international agreements? Point 2: This is the danger that says we have to have wolves in Norway, we can't just demand one in all other countries, for example. in Africa, shall have tigers, cheetahs and lions, while we shall not have predators. So Riche Norway isn't going to take care of its obligations, but the Central Party probably thinks they're going to take care of this in Africa.
ParlaMint-NO_2004-05-13.ana.ud1171e654	We have obligations to have predators. If you look in the setting, you'll see that we're not against having predators in this country. We want fewer than the majority, and there are a lot of people who thank us, but we're not against predators. In the case of wolves, we do not break any international agreement at all. Norway has no obligation to have its own tribe in relation to this Russian wolf. It's plenty of it. There has been talk of mountain reefs, and we have actually entered it to strengthen in connection with this message. We believe that one should take out the royal eagle to save the mountain reefs. The majority say no. So here's a couple of sides that Langeland should also take inwards.
ParlaMint-NO_2004-05-13.ana.ud1171e659	The cord shift is over.
ParlaMint-NO_2004-05-13.ana.ud1171e662	The government has launched a new and honest predatory policy with the big message «Rovvilt i norsk nature». While predatory policies in the past have been the embodiment of conflicts under the chair, the government has come up with a solution-oriented message. It is gratifying to the Left that a broad plurality of the Stortinge essentially supports government's predatory policy. It asks for one to be given a long-term administration. Our large predators are a valuable and important part of Norwegian fauna. To the extent that predatory protection, animal husbandry and reindeer management have not been achieved, Norway’s obligations to sustain viable predatory wildlife strains must be maintained. However, this also means that compensation must be granted to farmers who have to bear the cost of a protection policy established by the Community. The left is satisfied that the stock targets behind a broad multiplicity are in line with our international agreements. Much of the focus in the predatory game debate in general, but also in this debate, is on the damage that comes from predatory game. Have a look at the positive ringing effects of having a viable predatory wildlife population. I am thinking in particular of the tourism industry, where Norwegian natural experiences are a salsa product. I'm overconfident that wild nature with wild predators like gloupe, yerv, bear and wolf is attractive, exciting and exotic to tourists from abroad. I am therefore calling on the new local administrative regions to also see opportunities, not just the disadvantages. The left is excited about strengthening local democracy. We are concerned that those who are close to the problems are those who are best placed to make the best decisions. At the same time, Norway has international obligations in relation to predatory game. National minimum populations allocated to local government regions will be able to find sensible and conflict-reducing solutions that balance the human burden and industrial interests against the concern of predators. We believe it is entirely in line with the democratic principle that decisions by regional elected bodies should be handled by a department, and support the majority in the committee, which asks the Ministry of the Environment to be the appeal body for decisions by regional authorities. The left is satisfied that the new replacement system contains strong preventive elements, and that the Government takes important steps to stimulate a distinction between predators and grazing animals in time and space. Sau alone on pasture goes bad with you and wolf. This is precisely what the new compensation scheme takes inwards. The sheep farmer is still being compensated for documented predatory game. A scheme designed to provide a significant part of the compensation as a prepayment, as an incentive for the implementation of prevention losses, is much better. This gives clear incentives to keep the animals and screens them from predatory attacks. In the Government's proposal there are also possibilities for understanding. The left is pleased that the predatory game policy in Norway has been given a new and honest course. Clearly defining the priority of predators and the area in which the sheep is to be protected will help to reduce the level of conflict between humans and predators. The government's proposal for the management area of the young wolf was based on input from the professional community, and the Left was well pleased with the restriction and son proposed by the Government. We're behind the deal and we're supporting the extension of the sona, and we're very happy that the sona has become very limited. And then I'm going to say that when one has now entered an extension of this area and clearly defined these zones, the major community's orders must be followed up. The major community must also take responsibility for securing the commercial interests of these regions.
ParlaMint-NO_2004-05-13.ana.ud1171e683	No one has asked for the word in reply.
ParlaMint-NO_2004-05-13.ana.ud1171e686	We are discussing today the report on predatory wildlife, which the Committee, among other things, has come to the conclusion that we should have wolves in a particular zone. But the Council of State has not taken a position on what he thinks about introduced species in Norwegian fauna. The wolf was eradicated in Norway and Sweden. It's introduced. It's out. I have a picture of the last wolf that was exterminated by the Norwegian state in Finnmark. It's introduced. It's a new species. It is not Norwegian, nor is it Swedish, and it is not endangered at all. But we just have to accept that the Storting sets a limit. However, the size does not say anything about the possibility of killing the animal outside that limit – they say nothing about it. I assume that the committee and the Stortinget are aware that wolves also breed and get up to six kids a year. They live on. We also need to take a stand for eagles, youives and gloats. The eagle trunk has grown enormously, precisely because no more eagles are caught. This has resulted in that we almost don't have an errand left on the coast, because predators must have food. They don't eat potatoes. They eat other animals. It's predators we're talking about. Jerv eats other animals too. And what you have to ask is how long will the sheep farmers continue to feed predators? They feed you, they feed wolves and they feed eagles. How long are they going to last? Well, they're going on for so long that it's going to be unprofitable to do sheep farming. Then they end. But then the predatory problem is solved, even for the Storting. It is not possible to combine livestock and predatory farming. It's just like living in Ole Brumm's world: yes, thank you, both! I don't think that's a good idea. People older than us understood that. The stock of predators was reduced for the benefit of the food and beneficial animals. When predators were reduced, there could be larger populations of food and commercial animals. We're increasing predators' populations. It affects the food and beneficial animals. Do we? The majority of the population will. We just have to bend for that, but I'm going to vote against this predatory message, because I know predators and beneficial animals can't be combined. Because they don't eat potatoes, as I said. They eat other animals. And they must have food, otherwise they crack. And that's not going to be the Storting. Or do they want them to crack? No, they have to live their own lives. They will live on as if nothing has happened. I haven't mentioned Gaupe. But when the gap starts going into kindergarten, then there's danger on the road. When I was a child – and it was a long time ago – I never saw otter. Because before, you were hunting for oats. Today, the otter and root in the garbage bins drives people to find food. For the predators must have food, otherwise they will crack. How long will we continue to feed the predators? We're over! Then the problem is solved.
ParlaMint-NO_2004-05-13.ana.ud1171e697	For me, who comes from a municipality all the way out on the coast of North Troms, the report of robberies and its treatment has given me new evidence that Norway is a large country – a country with a variety of interests both among businessmen and others, a country where conditions can be dramatically different from local authorities, a country with intelligent and educated actors who are individually very conscious and very good at delivering their message. It makes great demands on us as politicians, and it imposes great demands on those responsible for administration. The Committee and its fractions have spent a lot of time listening to the report on predatory game. We've listened and we've talked to individuals and representatives of groups and organisations. We've got kilos of input -- summed up: a huge commitment. We've got a lot of strong input. One of the strongest and clearest feedbacks is about trust — or lack of trust. I refer to an example from the municipality of Balsfjord in Troms, a partial quote from a written recording: ‘In the past, the communities had a certain formal authority and real role in the management of predatory game. The municipalities and the local community are now essentially ‘set on the sidebar’ without any better management. The municipality of Balsfjord finds the situation both strange and unsustainable, and will stress that the municipality is willing to take responsibility provided that it follows the authority and resources to do so. The management of wild game seems to be characterised by mutual distrust between the central authorities represented by the Directorate for Nature Management and the local communities. There can be no doubt that this weakens the work of sound and efficient management.» In addition, it says: ‘If management is to be changed, this must be done through increased local and regional influence, not with increased concentration of power to the Directorate of Nature Management’. I have chosen to include this because it describes in an excellent way what we have heard from an overwhelming majority: It's a lack of trust. You don't speak the same language. You talk past each other. We do not even agree on basic assumptions, for example: assessment of the populations of predators locally. The Committee has now had difficulty in producing a document which will take account of different considerations. I believe that we have, even though some of us could clearly have wished for other conclusions in some areas. But this is about politics. One of the policy objectives is to find solutions. The Progress Party has, in its comments, sought to point out that some of the majority’s conclusions are policies that are not based on professional justification. Oh, yeah! What's up? There are professional reasons for most of the time, including in this case. The majority have taken responsibility for cutting through. The party of progress has chosen to ride further into the sunset on its populist padded horse, wounded and indignant under the motto: ‘I am a poor lonesome cowboy’. I want as much as I can, to ask the administration and all other actors to address this lack of trust. Put you down around the same table. Talk to each other. Talk to each other. Speak the same language and agree on some basic assumptions. It does not benefit either with money or with clear measurements if this is not possible. The County of Troms points out in a letter to the Directorate for Nature Management dated 6th a.m. inter alia: that in parts of Troms now there is a very high level of conflict, especially in relation to you, and that this will only increase in the future. The distribution of funds for prevention is highlighted. Specific prevention options are identified, but at the same time it should be noted that there is currently no funding available for them. The Directorate for Nature Management is asked to consider what can be done in this situation. I would like to encourage the Directorate of Nature Management to address this issue immediately with a view to finding a solution. So I'm going to stop by referring to the representative Korsberg, who said that the wolf does not read the staging message. I guess the Storting can agree on that quickly. But I'm really more concerned that the Progress Party acts as if they haven't read what the majority in the Committee is in favour of.
ParlaMint-NO_2004-05-13.ana.ud1171e753	Robbery management is a challenging topic. It is therefore important that a clear majority of the Committee has now shown the willingness to draw up a wide-ranging agreement which will take account of both the responsibilities of endangered species, the agricultural industry, domestic farming and the concerns of the population of large predatory areas. As broad a settlement as we see today, it helps to create the necessary peace around the future administration. I note that the main lines of the Government's proposal for a new policy on predatory game have been widely endorsed. This concerns the issue of the design of regions with their own wild game subjects, the design of concrete stock targets at national and regional level, new cutting regimes licensed in several species, new replacement model and increased emphasis on local knowledge related to the stock monitoring programme. In the mandate of the work on the Roofing Game Communication, Stortinget said that the Communication should be based on international environmental conventions. Therefore, thorough legal assessments of our international commitments have been carried out through the reporting process, including: at the University of Oslo. These have clear and unambiguous conclusions. For the Government, therefore, it has not been a topical issue whether we should have the different predatory game species in Norway, but where we should have them, and in how large populations to help ensure survival. For the Government, it is important that the majority of the Committee reaffirms indisputably our joint responsibility to preserve all parts of biodiversity, including the species that some would consider to be of concern. Wild plants and animals are part of our common natural heritage, and ensuring biodiversity is a prerequisite for sustainable development. There is no doubt that the issue of the management area of the breeding wolf has created involvement. The limits, with the comments of the Committee, have been slightly changed in relation to the Government's proposals. However, the new management area still affects relatively few sheep and grazing animals, and it does not affect domestic areas. On the part of the Government, it was important to demarcate the management area of the breeding wolf, so that a more targeted effort could be made in relation to the sheep population that suffers from animal diseases caused by wolf injuries every year. With the new management area defined by the Committee, this important objective of the Government remains feasible. The Committee has also endorsed the Government’s proposal for a more regional management of wild game species. Instead of the Government's proposal for six new administrative regions, the majority of the Committee has set up eight new regions based on current county boundaries. These will be followed up. Furthermore, the Committee unanimously supports the Government's proposal for a separate name in each region, which is responsible for the overall instrument for harm reduction, quota hunting, licence hunting and preventive and conflict mitigation measures. The Committee also unanimously supports the Government’s proposal that the names should be given the responsibility of delegating authority for the collection of pests to each municipality in individual cases. In order to ensure the survival of stocks while allowing management to be delegated to a regional level, it is important that minimum targets are set for each predatory game in each region and that this is practised in such a way that the denominators are initially only competent as long as the withdrawals do not fall below the targets set. This principle has been agreed by the entire Committee. I will follow up quickly on the request of the majority of the Committee on the allocation of national targets for the number of young people in new regions. I note that a majority in the Committee would like to see increased efforts to prevent and mitigate conflicts. This concerns both measures to prevent the loss of grazing animals, information work and knowledge-building related to the fear of wolves and bears. Furthermore, I have noticed that a majority of the committee wants a separate pot with increased appropriations for predatory wildlife communities to ensure a better local anchoring and participation. Robbery policy always creates great commitment and leads to strong opinions. I hope that the broad agreement now reached can give the necessary reassurance on the broad lines of policy.
ParlaMint-NO_2004-05-13.ana.ud1171e785	It's going to be line change.
ParlaMint-NO_2004-05-13.ana.ud1171e788	I am pleased that it has been possible for the Workers' Party and SV to agree with the government parties on the broad agreement that has been much discussed today, but that also involves some changes to the Government's proposal. One of the areas of economic activity. Where the government had suggested that one should not spend more money, but increase predatory pressure, the conciliators now say that more money needs to be spent, among other things. on prevention. I want an assurance from the Council of State that the Council of State and the Government are now following up all the points on which the settlement partners are agreed, including more money for prevention, so that we drop the rounds every year in the budgets by arguing about how much money we are going to spend. Otherwise, I just want to remind you, to the extent that there may be some misunderstanding about population, that the settlement partners have said there, about population and not minimum populations.
ParlaMint-NO_2004-05-13.ana.ud1171e798	This government is aware that it must seek out other parties in order to have a majority of its policy in the Stortinget. We have achieved this through constructive cooperation in the Grand Duchy, linked to the predatory game policy this time. There is no doubt that what has been the result of this policy, which can create predictability in the years to come, will be followed up. As I said in my post: 'I note that a majority of the Committee wishes to increase its commitment to preventive and anti-conflict mitigation measures. This concerns both measures to prevent the loss of grazing animals, information work and knowledge building.» I have also noticed that the majority of the committee wants a separate pot with increased appropriations for predatory wildlife communities in order to ensure better local anchoring and participation. Now I can't guarantee that there won't be any discussion about the size of it in the budget, but this is a big message that the government parties have also joined, that we're going to invest more in these areas. It will be the basis of my further work as well.
