ParlaMint-NO_2004-12-09.ana.ud1490e91	The called alternate of the Troms County, Knut Werner Hansen, has taken the seat.
ParlaMint-NO_2004-12-09.ana.ud1490e530	There were two questions here. As for question two, yes, we trust the Government in this matter. And ask one, about the seafarers: yes, that's one of the things SV has pointed to, it's a difficult thing. We also have great sympathy for everyone who loses their job. It is always a pity when someone loses their job in Norway because there are more favourable framework conditions elsewhere in the world. Unfortunately, every week we experience companies applying for better framework conditions. Some are applying for the Baltic, some are looking towards China and India, and some are looking for other kinds of solutions. That's always regrettable. We in Norway have to work to keep the most jobs in Norway. But we can't go on chords that we have to have some taxes into our welfare society if we're going to run it, and it's both business and employees. That balance makes us sadly sometimes see some jobs disappear, and then it's important that we have a good tool in the form of a good Aetate that takes care of them.
ParlaMint-NO_2004-12-09.ana.ud1490e535	According to a newspaper report, it appears that Ryan should have stated that if SV had existed when the wheel was invented, SV would probably have voted against. It'll probably be going a little too far to draw comparisons between the invention of the wheel and the TreasureFUNN. But at least they now have it in common, both the wheel and the treasure fund, that they prove to be a success. This year's budget looks like the Socialist Left Party has taken a more positive view of the tax FUNN scheme. Can Ryan confirm that SV gradually supports this new invention, SkattenFUNN, as they later supported the invention of the wheel?
ParlaMint-NO_2004-12-09.ana.ud1490e544	First of all, I have to say that I am very pleased that the Right is following the posts I have held at various county meetings, and my speeches. I hope there's a little bit of learning in it, so I hope they keep going. I'm also going to give some speeches, so the representative Momyr will get the overview of the posts I'm going to hold over the winter. In this case with the Tax Fund, we were initially skeptical about going from a grant scheme to the FUNN and over to the Tax Fund, because we thought that the scheme that we had worked well, it was unbureaucratic and simple. But we see that the TreasureFUNN also works satisfactorily. And there's no reason why we're going to go in and change a system that works satisfactorily today. But initially, we thought that the grant scheme was also a very good scheme and that it should actually have continued.
ParlaMint-NO_2004-12-09.ana.ud1490e551	The representative Ryan talked about the hazy cows, but he didn't talk about the unfortunate seafarers. The Reiars are flagging out and thinking twice, maybe both the triple and the quadruple, and not a treasury bill is coming to Norway. Seafarers are hunted on land, unemployed – perhaps SV has some mattresses for them too. All this is thanks for the failure of the agreement of the Labour Party, the Progress Party and the Centre Party on 27 February 2003. Ryan talked about creating jobs, but he didn't talk about laying down jobs, to which they are involved in the maritime industry. Why does SV fail working seafarers?
ParlaMint-NO_2004-12-09.ana.ud1490e558	I think it is commendable that the Progress Party is working to ensure that workers keep their jobs, where we have a common interest. But I also think it is interesting that the Progress Party, which was actually in the negotiating position with the Government and had the opportunity to secure net pay arrangements for the seafarers – if it was really so important to them – failed when it came to it, so it failed when it came to it. One has stood outside the Storting and talked about that the most important thing for the Advance Party is a net pay scheme for the seafarers. And then you get into a situation where you negotiate with the government, and then you throw that proposal aside right away. It tells a little bit about the Progress Party and what they really think about this.
ParlaMint-NO_2004-12-09.ana.ud1490e565	The representative Inge Ryan is and has been very busy with the challenges in the districts. In several areas we have had good cooperation, including in connection with the budget, although it is the Progress Party with which we have had a budgetary agreement. But when you look at SV's alternative budget when it reaches e.g. For agriculture, one will see that there are very few million dollars actually distinguishing between the Government's proposal and the SV's proposal. Does this mean that SV generally agrees with the Government when it comes to agricultural policy? When it comes to industrial policy and districts, SV is very busy that we have supplements and tools. That's very good, but we also have to have a generally good economic policy. We need a tax policy that is positive for business, and there it seems like SV has panic in order to do good things for business, and goes against a lot of things.
ParlaMint-NO_2004-12-09.ana.ud1490e572	While Inge Ryan is on his way up to the pulpit, the president will say that he thinks the representative forgot to make suggestions, so he can take care of it at the end of the line.
ParlaMint-NO_2004-12-09.ana.ud1490e575	We don't panic. We're trying, as I said in my speech, to point out what's important in business policy for us to succeed. I don't feel like panic. SV uses no more money than the total framework provided by the Government. It is true, as has been said, that very much of the agricultural policy is in the agriculture business. If you take away the funds that go to food safety, that is. to the Food Authority and to the safety there, to the Ministry of Agriculture and to the farm, there are quite modest resources left to be used. But in all our budgets, we have put in a profile that goes on animal welfare, ecology, bioenergy and recruitment to Norwegian agriculture – to cover four of the areas that are thus found in all the four budgets we have submitted. We have invested more money in these areas, because we believe it is important to prioritise this more strongly. But most of the instruments are in the agricultural agreement, and I therefore refer to my main contribution in this regard. Then I take up the suggestions in the setting that SV has alone or together with others.
ParlaMint-NO_2004-12-09.ana.ud1490e590	The representative of Inge Ryan has taken up the suggestions he referred to.
ParlaMint-NO_2004-12-09.ana.ud1490e593	Concerning the seafarers and government negotiations: the Progress Party brought the case up on the net pay system for ferries, but lost. And there is no basis for saying, if the Workers' Party, and especially SV, had been negotiators, that we had been able to see through to this. But the reason I asked for the word in reply was that I did not fully understand Ryan's reasoning that we must have tax revenues. It was almost like hearing Finance Minister Per-Kristian Foss – when he compares to Singapore and Hong Kong etc. However, the countries with net pay arrangements are high-cost countries in Europe. We would get far more into tax money by keeping the maritime cluster in Norway – with ring-fences for 70,000 people, the supplier industry, the supply service, the bank, the broker, insurance. What we lose on the carousel, we would have taken back on the swings. Wouldn't we keep the maritime cluster on Norwegian hands get far more tax revenue than the billion we lose on the net pay scheme?
ParlaMint-NO_2004-12-09.ana.ud1490e602	Once upon a time, those who somehow serve on the net pay scheme are some shipowners. If it is about doing so, then there is no doubt that there are those who serve on such a scheme – a scheme that, in our opinion, is little focused on wanting anything about Norwegian policy. That is why we have invested a lot of money for shipping. In order to modernise the freight fleet, we have put in $10 million, and we also have a number of other measures. This is about what you want to do. If you want to do something for Norwegian shipping, you can also take other steps than just agreeing to a net payroll scheme, which provides a significant tax base for some of the richest in Norway. Finally, I have to say that if the net salary had been so important to the Progress Party as it sounds in the lines from both Solholm and Hedstrøm, it is strange that one could not get this through in the budget negotiations. This suggests that this is probably not as important as it sounds in the parties.
ParlaMint-NO_2004-12-09.ana.ud1490e611	The cord shift is over.
ParlaMint-NO_2004-12-09.ana.ud1490e614	The Christian People's Party is well pleased with the budget within industry, fish and agriculture. We have had good cooperation and a budgetary settlement with the Progress Party. It is important for the Christian People's Party that the industrial policy underpinned gives an offensive stake in jobs, well-being and renewal. This year’s establishment of nearly 23 000 new businesses is a good example of how the Government facilitates innovation and innovation. The number of nationwide measures to promote innovation, travel and innovation is increasing. Many start-ups create new jobs. Innovation Norway is an important foundation for being able to get a lot out of the tools we have. As the representative Inge Ryan also pointed out: there should be a door – more coordination of existing tools. It's interesting to note that one of the trees that establishes single-handed workers is women. The Christian People's Party is pleased that the Government will work to strengthen the women's segment in leadership positions in Norwegian business. Equal opportunities are valued by increasing the number of people in the business world. There are different challenges for different industries. The Committee has taken note of its innovation programme, Innovation Furniture, and we are aware that the need for change and development is great. This development program is currently being completed. The government follows up the shipping message in the state budget. The tonnage tax rates are reduced to an average level in Denmark, the Netherlands and the United Kingdom. A selection of experts from the relevant scientific community shall be appointed to review the Norwegian Reiaar Tax Scheme. In order to ensure Norwegian seafarers' employment, the Government proposes to continue in 2005 current support schemes, with a promise of over DKK 1 billion. This is a historically high level. The government's proposal to establish new seed funds in university cities has been fully endorsed. In addition to the four cities that have been proposed, we have been told that Stavanger will also be included. We rely on our nutrient base to help both create and maintain jobs. In the future, we have to rely on the fact that more jobs will have to be within knowledge businesses. I therefore found it very positive that the Minister of Economic Affairs has contributed to the provision of DKK 3 billion for research into nutrition rights. We have made some re-priorities within the budget framework of the Economic and Social Committee. We've got 2 million in place. kr to newspapers for seafarers at welfare stations in Norway and abroad. We see it as important to continue this scheme – as an important cultural contribution to this group. When it comes to the licensing of welfare stations for fishermen, such as the Norwegian Fisheries Team, the Norwegian Maritime Commission and the Norwegian Maritime Association, it has increased by 500,000 kroner, so that the total total is 1 million. kr. We're happy with that. We have also managed to prioritize support for edge shops, with a total of 4 million. kr. This is an important contribution in many small communities and can have a positive impact on the construction. In the budget, a special focus is on innovation and an active and targeted innovation policy – which includes both entrepreneurship and infrastructure! It is not just industrial policy in general that is important – there are many other areas in the budget of the Business Committee that I would like to have drawn up. For us in the Christian People's Party, it is important that a good industrial policy is also a good district policy. Agriculture is an industry with good regional policy effects. The Ministry of Agriculture has changed its name to the Ministry of Agriculture and Food. It gives a signal effect to the government's focus on food policy. It is important to ensure both national food production and safe food, irrespective of whether the products are produced nationally or imported. WTO negotiations are an important issue for agriculture. For the Christian People's Party, it is important that one of the objectives of the Norwegian side is to ensure a result that gives room for action in order to pursue a national agricultural policy. There were some changes in the budgetary procedure in relation to agriculture. This is primarily the case with the proposal for a profit tax on the sale of agricultural property. The ten-year rule is passed on to family rejection, and a family is defined in the same way as in the nodel law. In the case of the Ministry of Fisheries, the representative, Einar Steensnæs, will come to it in an article later. I think that the business committee has reason to be proud of much of the developments in business when we look back at this period. It has our tough and demanding challenges. We see that it's going the right way for business. We can all enjoy that.
ParlaMint-NO_2004-12-09.ana.ud1490e655	It's going to be line change.
ParlaMint-NO_2004-12-09.ana.ud1490e658	In modern times, a network of welfare services for coastal fishermen has been established. The offers have been operated by Norsk Sjømannsförbund, the Inner Maritime Commission and the Norwegian Fisheries Team and financed by self-help, own contributions and government grants. The amount of the subsidy was up to 2003 at around EUR 15 million. Three million. kr. The objective of the right is clearly to remove also this budget item, on the basis of a principle of self-financing, that this is not the responsibility of the State. Therefore, the amount in the year was NOK 500000. Next year, the amount, as Molver Grimstad also said, increased to 1 million. kr after intense work and lobbyism. But there's only one third of what it was even last year. The Christian People's Party, through its, in my opinion, proper attitude in the Government has contributed to the dramatic cut in the well-being of the fishermen. The representative of Molvær Grimstad was proud of the budget and also of this post. How proud, on a scale from 1 to 10, is Molvær Grimstad of the Christian People's Party's contribution, which is in fact that the arrangement has been cut by two thirds in two years?
ParlaMint-NO_2004-12-09.ana.ud1490e665	A lot of people are doing a great and important job with well-being stations. But it is in the budget negotiations that one should negotiate a lot of good measures, and one would like to have space and resources for a lot of good things. Then it's often the case that one has to set things up against another, and it's not all a get as much money as one could think of. But when we've increased this entry from $500,000 to $1 million. kr, it is a contribution both from the Right and from the Christian People's Party. We have in common, and also in budgetary discussions with the Progress Party, been in the process of lifting it up. So it's going to be a challenge when it comes to budgeting the next few years, to be involved and influence, so that these money doesn't go away altogether. At least the Christian People's Party will be working on that.
ParlaMint-NO_2004-12-09.ana.ud1490e672	I want to get back to the seafarers. We now experience that more and more flags are flying out. The representative of Molvær Grimstad comes from More and Romesdal. One of the country's and one of the world's largest supply companies, Farstad Shipping, is now about to fly out all its new boats. We see Fjord Line flying out. In the ownership of Fjord Line are «Fjord1», and Fylkesbaatane in Sogn and Fjordane and Møre and Romsdal County boats increase the flag. We might expect both the fast-track companies and the Fjord1 to also fly out. Is there a hope in the hanging line that the government might see that there is the wrong policy they're in, and that one here is raging jobs at the workplaces of the maritime cluster, so that we might have a reverse operation? As you know, there's no shame in turning around.
ParlaMint-NO_2004-12-09.ana.ud1490e681	When the Government presented the shipping message, it received a lot of honor. What one of today's debates focuses on is something that will go further than 2006, such as ferry companies, which are not allowed to continue the net pay system in the same way as today. At the same time, however, the government has also taken a further look and turned the searchlight on a model of competence, which gives some better arrangements than today. I thought the debate would be a little one-sided when you just focus on this. So there is over $1 billion in support – a record high level – and the Government will continue to have the support level at this level here, and one will focus on providing the net pay scheme for certification-related settings in NOR and certificate-recovery in NIS. It has also been assumed that the other seafarers in the offshore section of NOR should be covered by the net pay scheme. A model that prioritizes competence may lead to an increase in the flagging of NIS, while being forward-looking and adapting the competitive situation. So I think it's important that a non-blackpainting situation here. We see a signal that some people announce flagging out, but I think the government will have an offensive policy.
ParlaMint-NO_2004-12-09.ana.ud1490e688	Today, the Government and the Advance Party obtain a number of figures to cover the damage caused by storms to forests from the natural damage system to normal insurance, despite the fact that the only player in this private market says that it is obvious that it is not possible to put in place a private scheme from 1 January 2005. The government party has noticed that Skogbrand has said that this is not possible, but still thinks that this must be done. Then I wonder: Has the representative Molvær Grimstad found that it is impossible, and that it will not happen? And what will the situation be from 1 January 2005? Otherwise, I noticed that the representative Molvær Grimstad in a reply to the Progress Party was busy with the importance of feeding measures in the fishing industry, such as feeding supplements. Then I wonder: How important is this really to the Christian People's Party? These funds are actually halved in the last two years. Is this just a little bit important, or is this very important for the Christian People's Party?
ParlaMint-NO_2004-12-09.ana.ud1490e698	When there is insurance for storm damage, the industry has known about this for half a year, so here it might also be on purpose to get a solution, and that one at the longest hopes to continue with the system that is today, but one has warned that it will be a change. I expect that the Minister of Agriculture will follow these developments closely in what is happening here. When it comes to the fisheries agreement and the feed additive, the permissions proposed are the same as they were a year ago. We know that the extent of the fisheries agreement has fallen considerably, depending on the needs. But when it comes to the supplements that are proposed on the state budget, I think they are very important. The feed-in premium is a positive and important contribution, especially in the north, to the dissemination of fish resources.
ParlaMint-NO_2004-12-09.ana.ud1490e705	I sat and listened to the posts of the representative Molvær Grimstad. One would almost think that it was the Christian People's Party that had conducted negotiations with the Government, and not the Advance Party, for her contributions were a single long summary of the improvements that had come into the budget as a result of the budgetary conciliation. I could therefore briefly imagine challenging the representative to spend a minute telling what the Christian People's Party is pleased with in the government's budget proposal, which, after all, the Christian People's Party is supposed to defend here, and not the budgetary agreement that the Progress Party has negotiated.
ParlaMint-NO_2004-12-09.ana.ud1490e715	I thought it was voiced by the Center Party to give me the opportunity to talk more about the government's policy, because I do more than like it. The government's proposal for a budget within the Ministry of Industry, the Ministry of Agriculture and the Ministry of Fisheries think I am actually an offensive and good budget. I also pointed that out in my article. Some minor adjustments have been made, but very little in relation to the total frame. It is gratifying that even more people, even those from SV, see that the Innovation Norway framework seems acceptable, and that there may be scope for doing something within this framework. I have good faith that we can be involved in raising business policy further forward, and I'm excited about how the Center Party is saying further developments in the policy here, because there are a lot of areas where a search for closer cooperation with the Workers' Party and SV, also in the field of research and development. Another thing, which has also come in, is CARE, guarantee schemes for shipyards, which is an important matter. I don't have more speaking time, but I'd like to do more if the representative, Enoxen, wants to give me another chance.
ParlaMint-NO_2004-12-09.ana.ud1490e724	The representative of Molvær Grimstad said in a reply to Lodve Solholm that they painted black in relation to shipping. But it's realistic to say that we're now in a weathering phase, that shows all the studies. European Maritime Benchmark, for example, says that growth will now be out in Europe, and that many high-tech companies need to move out departments, such as Kongsberg, etc., which are known from Norway, to be where the decisions are taken and the investments take place. There are two areas: the net pay system is one thing, but many of the central shipping companies that are now moving out have talked about the wealth tax. Here the shipping companies have been an exponent of private ownership based on Norwegian localization. What do you have to say there? And what do you have to say about the tonnage tax scheme? We also need a recruit. What is serious now is that cadets on the NIS ships come from China and the Baltic States. What is the Christian People's Party's answer to how to get Norwegian recruitment?
ParlaMint-NO_2004-12-09.ana.ud1490e731	It is clear that there are challenges within the industry, but at the same time it is important to see the opportunities that lie there. Compared to the property tax and tonnage tax, it has been taken care of. In the case of taxes on wealth, even more must be done. The government has an offensive policy with regard to this. And then there'll be some groups that aren't happy, but then it's up to you to bring forward the positive that actually exists, even in relation to recruitment. But I want to send back that if the Progress Party's agricultural policy had been implemented, there would have been many farmers who had lost their jobs, and we would have lost many of the happy cows, as Inge Ryan mentioned, I think. The impact of the Progress Party's policy on agriculture, with dramatic cuts, would be dramatic changes and job shortages, many places throughout the country.
ParlaMint-NO_2004-12-09.ana.ud1490e738	The cord shift is over.
ParlaMint-NO_2004-12-09.ana.ud1490e741	The Centre shall present a total operating effort of DKK 4.5 billion in addition to the Government's proposals, in the areas of infrastructure, targeted tax relief and improved capital availability. This gives a strong boost to securing and creating jobs across the country. The 2005 alternative budget of the Centre Party, with an offensive industrial policy, increased appropriations for the local government sector and a stronger emphasis on financial policy, will together contribute to the creation of 10,000 new jobs, according to the Central Bureau of Statistics. As a high-cost country, it is necessary to be in the first place in technological development if our business life is to be able to follow in an increasingly tougher international competition. This means that we need to have a good school, we need to have increased efforts on research, we need to strengthen and improve the infrastructure, in order to be able to reduce the distance costs in our long-term country, with difficult access to many places, and not least we need to have better infrastructure within ICT. In addition, we need to have financial conditions that allow municipalities to be an active promoter of economic development, both in terms of having areas at their disposal, to have a short processing period – which is necessary for business to have their business handled in a sensible way – and to have municipal food funds that we know have been an important contribution from municipalities in relation to the smallest establishments. From the government parties we are constantly told that there has been new optimism in business, that low interest rates and stable exchange rates have worked. It's true that low interest rates have been important for the development we've had lately. But it's important to remember that the boom that we had up until a couple to three years ago resulted in high interest rates to dampen the pressure in the economy. The emphasis was placed on the need for monetary policy to regulate demand. In recent years, we have had low economic activity and low interest rates to stimulate growth. So it's not necessarily a sign of a healthy economy that we have low interest rates, but it's a sign that we need to stimulate the economy to create the growth that's going to ensure future jobs. But we have very much a consumption-driven growth, a growth that does not create lasting jobs, but leads to increased consumption of specifically imported goods. This has not led the industry to the blossom that the industry should have had. The Central Party points out in its alternative budget the need for us to focus fiscal policy much more on today’s economic situation than the Government does – to a certain extent at the expense of monetary policy. This will create more permanent jobs, it will create a better public sector, which will be able to provide welfare services, and this will not least lead to municipalities and county councils being able to invest in school, giving us exactly the school to train young people to be good workers and good nutritionists of the future. It will also be possible to invest much more in infrastructure through this reinforced focus on fiscal policy — for example. appropriations for Innovation Norway and for research, which are some of the areas in which the Centre Party has invested heavily in its alternative budget. This is a very necessary effort, which will give us jobs — lasting jobs — in the creative sector, and which does not only involve emphasising consumption, as the Government leads to far too much. There has been a significant focus on the maritime sector in the budgetary position, and that is not without reason. It's an important sector for the nation. Given that we were as late as in our treated maritime message, it would be unnecessary to spend as much space on this in the budgetary position as we have done. Tax competition is basically unhealthy. It is necessary to work towards a common Nordic policy in this area, as a more or less collective committee has instructed the Government. It is true, as pointed out by the government parties, that more money is now being spent than ever on this in relation to the net pay arrangements. But the point is that the countries around us have significantly improved their arrangements in recent years. This has also made it necessary for us to increase these appropriations. So, unfortunately, we're not where we should be, in relation to investing in maintaining a strong maritime sector. The government has failed here. Given the high profile that some government parties in particular have had in opposition, what they do in this area is not good enough. We see flagging out, we see that we have a negative trend in the maritime sector that does not benefit the country in the long term. Finally, I would like to address the proposals that the Central Party is promoting alone, and those proposals that have not been addressed where the Central Party is a co-sponsor. I think there are some proposals from SV and the Center Party in common that have not been addressed.
ParlaMint-NO_2004-12-09.ana.ud1490e764	The representative, Odd Roger Enoxen, has taken up the suggestions he referred to.
ParlaMint-NO_2004-12-09.ana.ud1490e767	Through the recent debate, the Centre Party has made a few interesting suggestions: a proposal to move the Stortinget to Finnmark one week, another proposal, which was given a lot of space in summer, was the purchase of Norwegian stone to the Opera. It is my claim that here in the country we live not by buying Norwegian, but by selling Norwegian. I assume that the representative Enoch is in agreement with me on the way. We have major problems with market access for Norwegian salmon. Norwegian salmon production is one of the most important industries we have along the coast and in the districts. I want to challenge the representative of Enoxsen on what his recipe is to improve market access for Norwegian salmon.
ParlaMint-NO_2004-12-09.ana.ud1490e776	The problem with the government's policy is that it does not move towards a development in which we live by exporting goods. We are increasingly becoming a country that lives on imported goods, and we are developing a business that imports and provides services based on imported goods more and more. This isn't a happy development. This can be seen from the statistics provided in Nordlys on unemployment in part of our major export municipalities on 7 December. It is a responsibility for all of us to ensure that we have good market access to our main country. During the period covered by the EEA Agreement, the value of exports of Norwegian fish has increased from approx. 20 billion to about 30 billion kroner. The main part of this increase goes to non-EU countries. That's where the new big markets come from. Of course, EU countries will continue to be our largest and most important markets in the future, but it is important to focus on good trade agreements with countries outside the EU. And it is important to achieve the best possible agreements with the EU, in order to ensure market access for the fishing industry, including:
ParlaMint-NO_2004-12-09.ana.ud1490e783	The centre party yesterday presented a proposal for a policy on nutrition, among other things. Finnland where ‘all vessel groups fishing in the Norwegian fishing zone of the Barents Sea shall deliver at least 20 pst. of its share of the fishing industry in Finnmark’ — well aware that Norwegian fishing vessels’ landings in North Norway have increased from 58,3 pst, mainly cod, hay and seich. in 1990 to 66 p.m. in 2003. I do not understand why the Center Party requires at least 20 pst. of cod species to be landed in North Norway when 66 pst. They're already landing there. I can also tell the representative of Enoxsen that 20.8 pst. of which this will actually be landed in Finnmark. Even in the case of pelagic fish, the landings have now reached 20 pst.
ParlaMint-NO_2004-12-09.ana.ud1490e791	The figures that Lodve Solholm refers to in relation to landing are quite correct, but that is not the point of the proposal of the Central Party. The point of the Center Party's proposal is to strengthen the industry in Finnmark and ensure that at least 20 pst. of the landings entering this part of the country for industrial purposes. In recent years, we've had a massive turnaround from deliveries of fresh fish to frozen fish, from frozen fish to frozen fish, and thus becoming a global product, making it pay to transport the fish from Finnmark to China to get its fillet cut off, simply because the transport costs are lower than the extra cost given the salary we have in Norway. An approach that implies that everyone must be involved and take on a social responsibility to maintain the many communities we have in this country, by the fact that part of the quantities landed, actually going to industry, will be involved and strengthen the fishing industry. This will lead to the strengthening of local communities and thus also to the possibility of positive developments on land.
ParlaMint-NO_2004-12-09.ana.ud1490e798	This is the last time the representative Odd Roger Enoksen is in a budget debate here. He's going to step out of the Storing. We in SV use the opportunity to thank Odd Roger Enoksen for the excellent job he has done for District Norway. In our opinion, he has been one of the most important politicians in Norwegian district policy. Then it's natural for me to ask Odd Roger Enoksen if he's optimistic about the business community in District Norway in the future, when after many years of working with district policy and industrial policy, he's going to step out of the Stortinget. Is there an optimistic Enoch coming out of the Storting? Or is it a pessimistic Enoch?
ParlaMint-NO_2004-12-09.ana.ud1490e805	Yeah, it was a nice line that Odd Roger Enoksen is going to have to answer.
ParlaMint-NO_2004-12-09.ana.ud1490e808	You could say that. Thank you very much for your words! If it's the last time, it'll show up. Despite my 50th birthday, I'm still a relatively young man, so Inge Ryan won't take anything for granted in that way. Yeah, I'm definitely optimistic on behalf of District Norway. We know that many of the resources on which the country will base its income in the future can be found in District Norway. Not least we find them off our coast. This calls for an offensive commitment to an active and targeted industrial policy, which can help us reverse the trend of centralisation that we have seen in recent years and which has defused many communities out in District Norway. When I say I'm optimistic, it's because I have the hope that, after the 2005 elections, we will have a political majority who will see that it is necessary to be much more focused and active than what this government has done with its business-neutral policy.
ParlaMint-NO_2004-12-09.ana.ud1490e817	Like many of us, party leader Åslaug Haga has also been in Finnmark. She came back with a number of proposals that she thought could help improve the situation for some communities. I think that's positive. It's positive with creativity and imagination, and it's obviously also necessary, because in parts of Finnmark you wear out. One must, of course, consider these proposals. I guess they're all not as well thought out. I will not spend so much time on it, but one proposal I particularly miss. It is the proposal that the Stortinget with the whole support apparatus should go to Finnmark for one week. One thing is the cost, something else is the signal effect. There is a need to assess targeted actions in Finnmark. We have to take that seriously. There is a need for both thoughtful, serious and targeted action. My two questions to Odd Roger Enoxen are as follows: Does Odd Roger Enoksen think that the proposal to move out The Storting to Finnmark is targeted? And does he think that this proposal is serious?
ParlaMint-NO_2004-12-09.ana.ud1490e826	The last one should be a completely unnecessary question. I don't know if the Christian People's Party has it in making proposals that aren't "serious" but the Center Party doesn't. Of course, the proposal is serious. We sincerely believe that Finnmark, in the situation and many of the municipalities there are now, requires extra attention from Stortinget. The costs of the Storting journey to Finnmark for one week, both in order to show the necessary attention and not least in order to have a thorough dialogue with the population and insight into the challenges facing Finnmark, will be insignificant in relation to the costs that society incurs by having a Finnmark state that is struggling, in the same way that many of the municipalities up there are doing it today. So the answer to this question is to the very highest degree: the proposal is targeted to those degrees, and the proposal is serious.
ParlaMint-NO_2004-12-09.ana.ud1490e835	By the end of the day, it might be good to refer to the Constitution and its legends about where the Storting may gather in peacetime. What is more, my question has to do with the market price. I would like to have clarity in that from Mr. Enoxen's side. Is the market price in North Norway applicable? If we say that a species of fish is offered for sale, a company in Finnmark will pay NOK 6 and a company in Hitra will pay NOK 6.50. Does that mean that the fishermen have to sell the fish for NOK 6 because the market price in North Norway is NOK 6? Or does that mean that companies in Finnmark have to increase the price to $6.50 because it's the market price in total in Norway? Here we might need to get a definition of what is added to the'market price'.
ParlaMint-NO_2004-12-09.ana.ud1490e844	Finally, the starting point is, of course, that deliveries are to be made at market prices. The current situation is that there is not only a lack of payment capacity that makes the Finnish industry struggling to obtain raw material, but also to a significant extent that the raw material is simply not available because it goes either to direct export, transit, frozen form, or is sent to other parts of the country. The starting point is the market price. But at the same time, I have to say that if there is a need to look at other schemes to take care of the Finnmark industry – schemes that go beyond this and that do not necessarily have to be burdened on fishermen – I am not a stranger to look at such schemes that can strengthen the Finnmark industry. As far as the relationship with the Constitution is concerned, of course, it has not been the opinion of the Central Party that the Storting should travel to Finnmark and make decisions. There's nothing in the Constitution that prevents the Storting from traveling to Finnmark in a group if you want to. Something else is moving out the Storting for a week and sitting in Finnmark and making decisions, as we do in this room. It has no purpose. The aim is to engage in dialogue with the population of Finnmark.
ParlaMint-NO_2004-12-09.ana.ud1490e853	The cord shift is over.
ParlaMint-NO_2004-12-09.ana.ud1490e856	The government has submitted a budget that will ensure safe food for consumers and strengthen the focus on value creation and industrial development throughout the whole value chain for agriculture and forestry. I would like to begin by congratulating the Committee on the good and thorough work it has done on the budget, and I note that there is a broad consensus on agricultural and food policy. It is positive that the Committee supports the Government's efforts to ensure the scope of action for a continued active agricultural policy by influencing the processes and negotiations in the WTO, agreements with the EU and other international work. This is the first budget for the new Ministry of Agriculture and Food. The name change makes it visible that the government is now going to see food policy in a broader sense. A key element of the Government's food policy is that food is safe and felt safe. In addition to innovation, diversity and value creation, a healthy diet and a long-term food supply are important areas of action in food policy. As Minister of Agriculture and Food, I have an ambition to strengthen our position as a mat nation. Food policy shall also contribute to raising quality, good traditions and food diversity. Consumers want products with history, tradition and clear origins. I believe that there is a great untapped potential for the sale of a variety of Norwegian special products both nationally and internationally. The establishment of the Food Authority has been successful, but there have been some challenges at startup. The current efficiency in food management benefits users through a reduction in the level of fees and charges. In addition, the charging and charging system shall be reviewed, including: to see if the device is such that it is effective in relation to the development of nutrition. I emphasise that the Food Safety Authority now needs to develop documentation systems to provide a good basis for assessing revenue and expenditure in the different areas of supervision and control. Adequate access to veterinary services is also important from an economic point of view. It is the municipalities that are the closest to assessing citizens’ needs and current actions in this area. I would like to work to find a solution with regard to the disagreements we have with the Norwegian veterinary association on clinical veterinary watch within the framework of this budgetary position and the budget decision of the Stortinge. If this is possible, I will come back to Stortinget with a proposal for a comprehensive solution whereby municipalities are responsible for the necessary measures for access on a daily basis to veterinary services. The profitability of production provides the basis for keeping the agricultural areas in operation. To meet the national and international challenges, structural changes in agriculture are necessary which contribute to more cost-effective agricultural production. However, changes in the production structure are a process that requires both time and investment, and business operators must be given the opportunity to meet these developments. There is a significant value creation in agriculture, even outside the scope of the agricultural agreement. Many have succeeded in developing new business areas with a background in agriculture and rural resources. Agriculture has become more than just traditional food production. Cooperation with other sectors, such as the tourism sector, the education, health and social sectors and the energy sector, will be important areas of activity for producers who want to develop goods and services that draw more from the market. The Ministry of Agriculture and Food is responsible for the Inland 2010 development project within the Government's Innovation Initiative. The deployment of different individual projects in the fields of bioenergy, agro-tourism, land-based resources and biotechnology shall contribute to changes in the trend of innovation-related domestic development. I want the municipalities to be active participants with greater influence in agricultural policy. The municipalities are the central actors in the development of the future District Norway. The key to living areas with good and modern living conditions lies in a closer link between agricultural policy and other food, resource and environmental policies. National policies need to be increasingly complemented and complemented by local and regional policies. The Ministry proposes a reinforced commitment to the conservation of important cultural landscapes and the protection of cultivated and arable land. Dialogue with municipalities on local responsibilities in the management of agricultural land will be important. We must prevent the increasing re-growth of valuable cultural land and the decay of the farm and seating environment. This makes the cultural landscape less attractive for recreation, housing and tourism. Purification is a small industry on a national scale, but in both a Sami and a local context it is of great importance, economic, employment and cultural importance. Purification is an important part of the material basis for Sami culture. In the last decades, the number of reindeer in Finnmark has increased considerably. I see with great concern the high number of pure ones that are now in parts of Finnmark. Sustainable reindeer management, as the Committee stresses, requires that the number of clean is balanced with the grazing basis. In the further work, I would like to assume that a unanimous committee stresses the urgent need to reduce the number of pure persons and that the Committee supports the necessary measures to achieve this objective.
ParlaMint-NO_2004-12-09.ana.ud1490e886	It's going to be line change.
