ParlaMint-NO_2004-06-04-lower.ana.ud1023e45	The representative, Jan Arild Ellingsen, will make a private bill.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e374	SV believes it is good that we now have a separate provision on torture. In this way, Norway sends international signals that we are taking on our share of responsibility, despite the fact that Norway is not the country with the biggest problems in this particular field. At the same time we also have to remember that we don't have completely pure flour in the bag seam either, and we haven't had it either. We have repeatedly been criticised by international bodies and torture committees that have been on tour in Norway, for example. in the case of Norwegian practication of warehousing provisions. A clean-up has taken place here, but this, in SV's opinion, has taken too long. It must be clear that in Norway we do not accept torture and that we want to protect and defend human rights in any case. This can be very demanding for us in Norway, because it also means that foreigners who commit crime in Norway, including serious crime, are entitled to protection against torture and other inhumane acts and against human rights violations. This includes, inter alia: that the Progress Party must also accept that criminals who have committed serious crimes against citizens in Norway must be allowed to stay in Norway if they are at risk of being tortured or other human rights violations if they are sent out. This is quite demanding when one comes up with very specific cases where there has been a great injustice to others, even killing. Among other things, Sweden is now in severe weather because they have sent out two foreigners who were suspected of terrorism to Egypt, and they must have been subjected to gross torture in Egypt. Human rights activists and politicians internationally have reacted very strongly to this, because they believe that Sweden has put itself in a very bad light and lost its position as a country in the first place in order to overcome torture and violations of human rights. There is also another aspect that I would like to highlight when we are now dealing with torture. It's about the women's perspective. Internationally, it has been difficult to accept that women should be protected by exactly the same provisions and given the same protection in practice as men. In concrete terms, the UN Women's Committee has been very concerned that not the torture committee of the United Nations has taken this seriously enough, precisely because it has looked at men who torture, not as torturers, but as men. If the man, among other things: has committed rape against his torture victim, he has suddenly only been "man" - it has not been in "the conduct of the office". When the department of page 5 of the statement states that "it is sufficient to mention in the motives that the action, in order to be included in the definition of torture, must take place in relation to the work or service", we must keep our tongues straight in our mouths. I also believe that the Minister of Justice must internationally insist that we do not have to distinguish " civil servant" from "man", in order to say it that way. In practice, this has in many places meant that women have not received protection against torture, because it has simply been viewed as a private matter. Finally, I would just like to touch on the situation with regard to Iraq and the United States and also the problem of terrorism. It is clear that we are now in a quotation where one of the world's greatest democracies commits gross violations and violations of human rights against people as defined by citizenship, by saying that terrorists should not have the same human rights as others. It's completely independent of whether they're convicted and it's actually proven that they're terrorists. This puts us all in a very dangerous situation. We can never accept that. No matter who it is, we can never accept it. When, to all intents and purposes, it also applies to a democratic state, it becomes very serious. This must be much stronger for Norway when it comes to meeting American officials and politicians.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e389	The representative Kukkestad asked for a reason with numbers. In terms of the difference between 0.5 and 0.2 in terms of the per mill limit at sea, I don't think it's possible for me to generate these numbers right now. However, with reference to the many experiences and the many documentations that have been made available in relation to driving, I think there is evidence that there is a significant difference between a driver with 0.2 per mill and one with 0.5 per mill in terms of being able to behave safely on the road. The same will also apply to movement at sea. I have often wondered why we still have to wait at a limit of 0.8 for small boat drivers. Until now, a number of small boats have been wrecked along our long-distance coast, with some tragic outcomes. Unfortunately, there is also evidence that alcohol has been a major cause of the course of events. This in itself also shows that boats with a length of less than 15 meters should have been handled in the same way as we are now providing for boats with a length of more than 15 meters. I think it's crucial that we focus on this, and that maybe next round we go a step further and based on what I've been referring to, also assesses the need to look at the per mille limit for boats with a length of less than 15 meters, i.e. for small boats.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e396	This can be a very confusing debate for those who listen to it, because it's about both alcohol and per million limits at sea, and it's also about the inclusion of the Torture Commission in Norwegian law. What's a little daunting here is actually SV's view of torture. It seems that torture carried out in democratic states is much more serious than torture that happens in dictatorships, and I think that is a frightening thought. So there are dictatorships in the world that hide torture, and then in a way, as SV puts it in this room, an acceptable act, while when it's done by allies, which is equally unacceptable to the Right, it's a big problem. I think it fits well with the pattern that SV has shown in the political debate on political ties, namely that they are very "soft" to the regimes that stand close to them politically, but they take a strong distance from regimes that stand far from them politically. For the Right, it is important to take a strong distance from torture regardless of alliances, regardless of which regimes carry out the torture. It's important to underline.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e403	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 509]]
ParlaMint-NO_2004-06-04-lower.ana.ud1023e418	At the request of the Judicial Committee, the President will propose that speaking time be limited to 5 minutes for each group. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e425	The Committee broadly endorses the Government's proposal for changes to the Police Act. The proposal now promotes the necessary change to improve medical control for prisoners in police detention. This includes, among other things: background to Stortingen's treatment of Document No. 8:105 for 2001-2002, where a unanimous committee asked the Government to promote changes to the police law that ensure that the necessary health professionals are involved in the introduction of heavily intoxicated persons into the police detention centre. Over the past ten years, 38 people have died in Norwegian police detentions as a result of alcohol poisoning. The Committee therefore considers it essential to improve medical supervision in order to reduce the number of deaths. Not all intoxicated persons admitted to custody need to be examined. As long as he is able to prepare and take care of himself, it will initially not be necessary to summon a doctor. According to the police arrest project, approximately half of those intoxicated due to disorder of order, not because of the intoxication itself. It is therefore obvious that there is a need here for a discretionary assessment by the police of the need to summon a doctor. At the same time, we would stress that since there is now a discretionary aspect, it is very important that the threshold for calling on a doctor is very low. The Committee agrees that the appointment of police officers should now be cleared up and that the forms of addition should be harmonised between the Directorate of Police and the other department. The majority of the Committee, the Government Parties and the Workers' Party agree with the Government that, as a general principle, the aim is to limit the use of temporary employment in the country. However, we agree that the Director of the Police Directorate and the Heads of Special Bodies should be appointed for years. Some changes to the Police College Act are also proposed. This is a natural follow-up to the fact that police training has shifted from a level education to a higher education. At one point, however, the Committee disagrees with the Government's proposal, namely on the possibility for students to have bee jobs during education. The Ministry proposes that students should not be able to do so. A unanimous committee thinks it's unreasonable. It cannot be that police students should be refused summer jobs and other bedding to finance their studies. This was natural as long as the education was a paid establishment education, but a study financed by ten-month student loans force police high school students to finance the summer months differently. The Committee therefore proposes an amendment to Section 24d of the Police Act which makes it possible to have bijobbers with the exception of the Year of Practice.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e446	Today, we are making some changes to the police law. I would like briefly to touch on two of the amendments. When it is now stated in Section 9 of the Police Act that it is the responsibility of the police to ensure that the necessary health professionals are involved when persons admitted to police detention can reasonably be expected to suffer serious health damage due to intoxication, illness and/or physical injury, it is an important provision that will also be of great help to the police. In the current drug situation, it is often difficult for the police to assess the health status of an arrester. Alcohol abuse is easy to detect, but drug use, drug abuse and polydrug use can often be a serious threat to health, as the effect may be rapid, and the police may experience that arresters who appear to be in good condition suddenly get seriously worse health status. The Judicial Committee is pleased that the Government is following up legislative proposals after the Committee asked the Government on 19 June 2002 to ensure that the necessary health professionals were involved in the introduction of heavily intoxicated persons into the police detention centre. 38 people have died in police detention in the last ten years, and one can imagine the burden this has been on the families and also on the police officers and women who have been responsible. It is important that the threshold for calling a doctor is low, so that the risk of misassessment is minimised. As long as an arrester can prepare and take care of himself, there will normally be no need for medical attention. The Committee also makes a change to the Ministry's proposals regarding the right of high school police students to work alongside the studies. The Ministry proposes that Section 24d of the Police Act on Beekeeping, Confidentiality and Educity should apply to high school police students on the same lines as civil servants. The Committee agrees with this in terms of soberness and professional secrecy, but considers that restrictions on beekeeping would be too serious an intervention against police students. The Committee would point out that after transition from education to higher education, police students will have to finance their studies through student loans, in the same way as all others. The law will prevent police students from having summer jobs and bedding to finance their studies, as other students do. In the opinion of the Committee, the students shall notify the Police College of the bees they have. It is important that students at the School of Police, who no longer have a salary in education, are given the opportunity to ask about the student loan. I am therefore pleased that it has been agreed that we are changing this and giving the police students that opportunity. With regard to the other legislative changes proposed in this proposal, there is broad agreement on these, and this is well explained by the rapporteur.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e459	The deaths that have occurred in Norwegian custody prisons due to intoxication are tragic. We all mean that. In this context, I am pleased that the focus is now on the police's need to summon health professionals to check the state of the prisoners. The Committee is united in its assessment of the police, namely that there should be a low threshold for the police to summon a doctor, and that one should be on the safe side and rather call a doctor if one is unsure. There is a slightly greater disagreement in situations where the prisoner himself feels the need to get a doctor to investigate his health situation. In such a situation, the members of the Progress Party and the SV believe that it is necessary not to call a doctor if the prisoner himself asks for this. We see that in some cases such requirements can only be used as a training exercise and even prevent the police from carrying out their work. However, in essence, a person’s desire and need for medical care should be taken seriously. Although the police have the greatest knowledge of crime prevention, it is strictly every person who has the best knowledge of, and who is an expert on, his own body and his own condition. It also addresses the issue of year-to-year employment for the management of the police. Once again, it is the Progress Party and the Socialist Left Party that stand together, all the time we think it is appropriate that the management of the police be employed to a large extent on a yearly basis. These posts have a special need for ongoing renewal, and we believe that in the future there will be major changes in the conditions for police and police management. It is interesting to note that the Right Party does not want much of the police management to be employed on a yearly basis. The fact that the Labour Party does not want to do so is not surprising in itself, but that the Right considers annual targets inappropriate for the police, while they have been a great champion of it in all other areas involved in public and responsible positions, appears to be quite incomprehensible. Finally, I also want to discuss the possibility of the police students working for bees. We support the fact that police students are given this opportunity and that there is no professional ban during the study period. The economy of police students cannot be considered better than that of other students. And then we can't see that there's going to be any special need to prohibit them from working alongside the studies. It is clear that once you get a beer job within the police's own ranks, the rules that apply are also applicable to the police students. It is also very important to note that students are going to report to the Police College about what bee jobs they have. So there are no questions of approval, or prior approval, of what duties you can have, but it gives the university the opportunity to react if it turns out that the students have beer jobs that cannot be seen to be compatible with going to the police college. I assume that the Police College in this context will have an appropriate and careful enforcement of all the time you can see that where there is no compelling need or damage your reputation, there is also no reason to intervene.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e472	Over the past ten years, 38 people have died in Norwegian police detentions. In the view of the Christian People's Party, a change in the law is also necessary to reduce the number of deaths. In this context, it is important to ensure that the necessary health professionals are involved in the introduction of highly intoxicated persons into the police detention centre. In our opinion, it is correct that the police make a discretionary assessment as to the need to summon a doctor, and not as in Denmark, where the medical examination is mandatory. When choosing this solution, it is particularly important that the threshold for calling on a doctor is lowered to minimise the risk of misassessment. In other words, much is needed to refuse to call a doctor if the prisoner asks for it. This is also included in the legislative proposal Section 9 seventh paragraph. By virtue of the fourth and fifth paragraphs of Section 19 of the Police Act, annual target allowances are used to a large extent in the police and civil servant seats. The reasons justifying the use of annual targets by the police officers also apply to the heads of police special bodies. According to the view of the Christian People's Party, there are good reasons why these positions are also filled on a yearly basis. This will include, inter alia: contribute to ensuring the necessary renewals, performance orientation and efficiency. The same applies to the appointment of the chiefs of police special agencies. In the case of Ecocrim, which is part of the higher prosecution authority, our opinion is that the form of addition must be as for the rest of the heads of state attorneys. The Ministry also proposes changes to the rules on the legitimacy of officials in Section 20 of the Police Act. Nevertheless, it should be legitimate, for the sake of the present crime scene, that, in some situations, uniform officials do not wish to give their name. The Ministry's addition, "or service number", in my view, is correct. Officials shall subsequently, as far as on-site conditions permit, provide the name or service number. I have noticed that the department will continue to work on the issue of the introduction of visible service numbers on the uniforms. It is also a wish on the part of the Christian People’s Party that, as soon as practicable, the system of visible service numbers is implemented on police uniforms. The Ministry proposes that Section 24d of the Police Act on Beekeeping, Confidentiality and Educity should apply to high school police students on the same lines as civil servants. I would point out that restrictions on beekeeping will be too serious an intervention against police students. After transition from education to higher education, police students need to finance their studies through student loans, just as everyone else does. The law will prevent police students from having summer jobs and bedding to finance their studies, as other students do. The proposed change will give the police students opportunities in line with other students.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e487	SV is very pleased that we now have a change in the police law that reduces the risk of making misassessments. We refer to our Document No. Eight proposals, which we submitted on 21 March 2002, which, on the basis of several issues mentioned in the media, suggested changing the law, so that we reduced the likelihood that people who have been arrested for intoxication or who have been introduced because they are both drunk and have committed disorder. For the past ten years, 38 people have died in Norwegian police detentions. Therefore, it has been absolutely necessary to make changes to the police law, which makes doctors more likely to be called upon when intoxicated people are taken in by the police. Actually, SV would have wanted us to have detoxification stations in several places in the country, because the experience with this in Oslo has been very good. The fact that these deaths have occurred has in many cases been entirely unnecessary. If the police officers had considered it necessary for medical supervision, the lives of some of these persons could have been saved. Of course, we can't sit and watch that. At the same time, it is also quite brutal, in many ways, that police officers should be responsible for that and carry out those assessments, since in many situations they do not have the prerequisites for making the right judgements. They will then be left with a black man, because they feel that it is their responsibility that the arrester has not received the medical supervision that was necessary, whereas this is really the responsibility of a law that makes too little provision for doctors to be called upon, that the threshold for calling a doctor is the lowest possible. That is why we are pleased that changes are now being made in the light of the fact that several SVs and members of the Workers' Party have promoted this proposal, among others. me and the representative Anne Helen Rui, who is also on the Justice Committee. I will also, in so far as I am concerned, deal with this with the 'temporary' position, as the majority mentions it as, and as we are concerned to refer to it as annual target positions. We believe that there is a great difference between temporary jobs, which are about the protection of ordinary workers, and talking about managers in public institutions. The SV and the Progress Party consider that it is appropriate that police management be employed to a large extent on a yearly basis, so that it is easier to replace managers who obviously do not do their job well, and that it should also be possible in relation to rapidly changing assumptions that require other types of competence of managers. We believe that the debate on temporaryity and the debate that has taken place, among other things. Former State Council Victor D. Norman's initiative to liberalise working life does not become so relevant in this particular case. Finally, with a visible service number. We are a little uncertain about what the Ministry of Justice has meant when they indicate that it is sufficient that officials should only give their service number. Is there also a reference to the issue of police receipts? The Judicial Committee clearly believes that the service number should be visible on the uniform. It should not be the case that citizens should have to ask for the police officer's service number. But I guess -- and I see that the Council of State is nodding -- that it should now be possible to make this visible, in line with what the Justice Committee wants.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e502	In this proposition, the government is promoting proposals for several changes to the police law. These are changes that are necessary, inter alia: as a result of the police reform, the establishment of the Police Directorate and the demand for better control of the health status of those arrested by the police. This last provision is of greatest importance to the public; the other proposals are more organisational and administrative. In recent years, we have experienced more tragic deaths in police arrests. The Directorate of Police, and the former Ministry of Justice, have, in instructions to the police officers, underlined and reiterated the requirement that prisoners be properly supervised. However, both the Torture Monitoring Committee and the Civil Ombudsman have been critical of our system, and the Stortinget has asked for the requirement for health control to be legalised. The government is therefore proposing amendments to Section 9 of the Police Act to ensure that persons arrested by the police are provided with the necessary medical and health supervision. The proposal envisages that it should be clearer than today that the police have a duty to ensure health surveillance if, because of intoxication, they cannot take care of themselves or prepare themselves. The police shall consider transferring him immediately to a hospital, medical guard or detoxification station. If there is no transfer, the person shall have medical supervision at the time of imprisonment. Should there be reason to believe that the person concerned has head injury, internal damage or significant damage, or that the state of health is such that health care is deemed necessary, the police shall immediately summon a doctor or other healthcare professional. Pending the transfer to a hospital or the conduct of medical or health supervision, the person in question shall now have intensified police oversight. This involves continuous monitoring of the introduced device. The proposal proposes individual amendments to Section 18 of the Police Act on Police Staff - both in terms of standards of good conduct and in relation to the requirement of Norwegian citizenship - which shall apply only to added police officers. The proposal also proposes amendments to the rules on the allocation of police authorities and identification. In view of today’s crime scene, it should be legitimate, in the Government’s view, that uniform officials in some situations do not wish to give their name. It is therefore proposed that officials should be able to provide service numbers instead of names. I have noted the recommendation of the Judicial Committee that detailed provisions on service numbers and practical implementation be drafted by the Government, and the Ministry will give priority to this work. Of course, in this context, we are basing what was the conclusion in the case of the so-called ‘receipt mechanism’. The government follows this up in accordance with what was then the Storting assumptions. But here we're dealing with changes in the police law that go to the back of the law. A separate chapter on the activities of the Police College is also proposed. The School of Police is in a special position compared to other educational institutions, being subject to the Ministry of Justice with the Directorate of Police as the competent authority. There are no comments on the adjustment made by the Committee in relation to the beekeeping of the students, as against the fact that a person would then be in a different situation if he had an acquisition that could be contrary to having a police authority. Both principal and formal reasons indicate that there is a need to amend the police law, so that central regulations regulating the organisation and activities of the high school, as well as the rights and duties of the students, are regulated by the police law. I am pleased with the decisions the Storting makes today.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e521	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 511]]
ParlaMint-NO_2004-06-04-lower.ana.ud1023e534	The odelsting shall vote in case No. 1-4.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e680	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e690	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e920	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e930	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e937	During the debate, Mr Kvakkestad put forward a proposal on behalf of the Progress Party.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e1176	Paragraph 143, first paragraph, No. 1 and 2 there is a different proposal from the Progress Party. The proposal reads as follows: ""In the Law of the Sea, § 143, first paragraph, No. 1, "0.2 per mille" shall be "changed to" 0,5 per mille "and in § 143 first paragraph no. 2, shall be "0.1 milligrams... "changed to" 0.25 milligrams..."
ParlaMint-NO_2004-06-04-lower.ana.ud1023e1325	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e1335	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e1553	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e1563	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e1574	There is no record.
