ParlaMint-NO_2004-06-16.ana.ud568e49	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2004-06-16.ana.ud568e638	It's going to be line change.
ParlaMint-NO_2004-06-16.ana.ud568e641	In recent years, we have witnessed horrific acts of terror that affect accidental and innocent victims. Both human rights and democracy are challenged by terrorism. Norway shall participate, inter alia: together with the United States in the important fight against terrorism. In my view, it is up to democratic countries to ensure that human rights and international law are respected and respected in this struggle. Because we live in open democracies, in recent times it has revealed cruel mistreatment of Iraqi prisoners in Abu Ghraib prison and at the Guantanamo Bay base in Cuba, where the United States -- put on the verge -- keeps prisoners without law and judgment. The methods used have received a lot of attention in the media and contribute to subduing under negative feelings towards the West. So they do a lot of damage. Is the representative Christiansen disappointed in the U.S. methods?
ParlaMint-NO_2004-06-16.ana.ud568e650	The representative of the Eye is right that a whole world is shaken by the inhumane treatment of prisoners in Abu Ghraib prison that has recently been uncovered. I, and many with me, are obviously disappointed that this has happened. As Tony Blair put it, we are in Iraq to free the Iraqi people from assault, not to commit them. That is why I am pleased that the Secretary of State so strongly stressed that the US authorities must get to the bottom of what has happened, and that this is something the United States is actually obliged to do. The Minister of Foreign Affairs also said that he believes that the investigation under way will reveal all relevant responsibilities, and that not only seven soldiers who allegedly committed this are being punished, but that they are trying to reveal all responsibilities.
ParlaMint-NO_2004-06-16.ana.ud568e655	The representative Christiansen said in his speech that the UN presence in Iraq is a prerequisite for peace and security, and that Norway must participate. In my personal opinion, the UN in the Iraq case has been quite paralysed, unlike the United States. If the representative believes what she says, is it a good contribution that Norway is now withdrawing from Iraq and leaving only twelve staff officers behind?
ParlaMint-NO_2004-06-16.ana.ud568e662	Much of the debate here today is going to be about why the Government and a majority in the United Kingdom want Norway to remain in Iraq, and not about why we've pulled out the engineering company that's been there for six months. The reason why we still want to have a military presence is that this is the most important contribution we can now make to the work the United Nations will do in Iraq. For the Right and for the Government, it has been important that the UN get on the road in Iraq and that the UN is now at the centre of the political process. Our military presence is a contribution to strengthening security, which is the very prerequisite for the political process to take place in the country.
ParlaMint-NO_2004-06-16.ana.ud568e669	I note that in the debate on the instruments that are active against terrorism, there has been some development here in the Chamber in the last year, not least in some of the representatives of the Right. Military instruments appear to slip downwards on the list. In April, guest professor Jefrey Record came to the US Army War School with clear criticism of Bush's strategy against terrorism. He said that Bush with the Iraq war opened a new front in the Middle East for Islamist terrorism, which has drawn attention and resources away from securing the United States against new terrorist attacks, and that this has derailed the global fight against terrorism. I would like to have the representative Christiansen's view of the fight against terrorism that has been taking place lately. Has the war in Iraq strengthened or weakened the international fight against terrorism, or has this been a misguided strategy? What's the most important thing we can do now in Iraq -- still having twelve staff officers?
ParlaMint-NO_2004-06-16.ana.ud568e678	The representative was concerned with one of the important points in my speech: that the handling of the Iraq war and the whole conflict that has shown that the fight against international terrorism must be anchored in international multilateral institutions. And as I was in, there's been an animal-bought experience that it hasn't been, but I think it's now reason to stress that the UN is at the centre of the further process in Iraq. I hope, and also believe, that there will be stronger support for the Norwegian involvement in Iraq, both what we do humanitarian in the form of aid, and also what we contribute in the military.
ParlaMint-NO_2004-06-16.ana.ud568e683	The cord shift is over.
ParlaMint-NO_2004-06-16.ana.ud568e687	The Secretary of State's statement on Monday was in many ways a desire for a better world and peace on earth, but it gave no prescription on what had to be done except to ask contentious parties to keep peace. The Minister for Foreign Affairs said at the beginning of his statement: "Unfortunately, the security policy situation has not improved since my regular foreign policy presentation in January." It might be said about the statement on Monday as well. It was a reflection rather than a concrete solution to today’s situation in the many conflicts that are taking place. The UN will have to take resolutions, but without the will to follow up on them, if necessary with power, it will only talk. We've just been through a bloody weekend in Iraq where over 30 Iraqis were killed. Among these were the Minister of State for Foreign Affairs and an official in the Ministry of Education. What we see here is that religious and political fanatics are also doing everything they can to create chaos against the formal takeover of power that takes place on 30 June. They care little about UN Security Council resolutions and the international community's support for the temporary Iraqi government and democratisation plans. Like the Minister of Foreign Affairs, the Progress Party is also taking away from the facts revealed in the Abu Ghraib prison, and we expect the United States to clear up these relationships and place the guilty ones in charge. On 8 June, the Security Council adopted Resolution 1546 unanimously transferring the functions of the occupying authorities to the Interim Government after 30 June. But that doesn't mean that the job in Iraq is over. It is important that, at this critical stage, international societies stand together to ensure security until free elections are held and a democratic Iraqi regime is established in 2005. Secretary-General Kofi Annan has clarified that an international military presence in Iraq is necessary to stabilise the situation in the country, as a prerequisite for both political and economic development. I see that the Foreign Minister shares these views and that the Government has decided to continue to participate in the military stabilisation work in Iraq. When the Norwegian engineering company finishes its mission in Iraq, our military presence will consist of approximately. 12 staff officers who can hardly guarantee either the peace or the security of the relief organisations that, together with the civilian population, help to build the country. This contrasts with what the Government says and what the Government does. It is important for the international community to show a firm attitude and not be intimidated by destructive groups, but to show solidarity with those who want peace and democracy. Major countries such as Russia, Germany and France, which were critical of the war, should also show solidarity with the people and be constructive. If we are unable to create a secure situation in which the United Nations or other relief organizations can operate for the benefit of the Iraqi population, we have failed. On 8 March, the draft new Constitution was signed by the Interim Council in Iraq and will apply to the permanent constitution adopted in 2005. Some unexplained things remain regarding Kurdish autonomy, but you hope to get it in place next year. Another issue addressed by the Minister of Foreign Affairs was the conflict between Israelis and Palestinians. Among other things, he said: that no responsible government questions Israel’s right to defend itself, but that the use of power must be both necessary and proportionate to the current threats. He further said that the use of heavy military action in densely populated areas is not easy to see the necessity of. I believe the Minister for Foreign Affairs is wrong. There are so-called responsible governments who want to deprive Israel of the right to defend itself. Antisemitism is spreading in Europe, as was seen before World War II. When then Israel uses military forces to disarm extreme Palestinian groups in densely populated areas where they are hiding, and where they carry out their abominable deeds, yes, the Foreign Minister does not see the need for it. He believes that it must be all right to condemn the Palestinian terror. When Israel then sets up a protective wall to protect its inhabitants, it is also wrong. One may slowly disagree on the location of the wall or the necessity of it, but proposals have not been made by the so-called responsible governments to ensure the safety of civilian Israeli citizens. It is impossible to believe that the disarmament of terrorist groups can be done by personnel armed with stone, or that it is enough to use judgmental words. On 6 June, the Israeli Government took a decision in principle to withdraw from Gaza, which will also improve the security of both parties, and which may be an important step towards peace. As a third main theme, the Foreign Minister raised issues in Afghanistan, which are becoming increasingly difficult. It was with sorrow that we received the message of two Northmen who were killed in service for the country's population. This makes it visible that a safer presence is required in a country characterised by political, ethnic and religious contradictions. On 26 January, President Hamid Karzai signed the new Constitution, but there are major challenges in combating increasing drug production, and warlords protecting production, and preventing the country from becoming a haven for terrorists. Here I agree with the Minister for Foreign Affairs that Norway should contribute the necessary resources both militarily and humanitarianly and take measures to protect those who give and those who receive help. There is not enough good intentions here either, but the international community must put power behind the desire to fight international terrorism and spread weapons of mass destruction. Finally, some words to ensure that Norwegian ships are not used to spread weapons of mass destruction. It is important here that Norway take measures to protect ships and crew and participate in international cooperation and shipboard legislation. In this context, we must also be on guard against both cargo ships and tourist ships becoming terrorist targets. One would like to see the world only kind and good, but as long as it isn't, we have to be willing to protect countries and people, even with weapons if necessary, not just with resolutions and talks. In the Foreign Minister's statement, I missed a whole range of foreign policy issues, including: on the situation in Iran, where a number of deficiencies and violations of human rights have been identified, as well as on the financing of terrorist groups in progress. The situation in the EU, which has now expanded to 25 countries, the low participation in elections to the EU Parliament and the growing scepticism of the EU Convention among the Member States, should also be mentioned. But there's going to be another debate.
ParlaMint-NO_2004-06-16.ana.ud568e724	It's going to be line change.
ParlaMint-NO_2004-06-16.ana.ud568e727	It seems that the Progress Party is also in agreement with the importance of the Israel-Palestinian conflict for a solution in the total Middle East region. However, the statements of the Progress Party on the Israeli-Palestinian conflict both in speeches and in debates indicate a one-sided attitude in favour of one of the parties. In fact, in TV debates, the party's foreign policy spokesman will not even accept the 1967 margin line as a basis for a final solution. The question to the representative of Stensaker must then be: does the Progress Party agree that a lasting peace in the Middle East must be based on a negotiated solution where the parties are equivalent participants, or does the Party consider another final process in favour of one of the parties?
ParlaMint-NO_2004-06-16.ana.ud568e734	The representative Finn Martin Vallersnes was concerned that the Progress Party was unilaterally Israel-friendly and not so friendly to the other party, which is Palestine. It is clear that a solution is based on taking account of both parties and that a lasting solution must also include Palestine. But we are concerned that Israel has the right to defend itself. If we are now also talking about Palestine, there have been Palestinian terrorist groups that have made it difficult to achieve lasting peace in the Middle East. The day you end up with suicide bombers from the Palestinian side, I think you're on your way to peace in the Middle East.
ParlaMint-NO_2004-06-16.ana.ud568e741	In the vote on the long-term plan of defence, adopted a few days ago, a majority, all with the exception of the Progress Party, insisted that international operations should be anchored in international law through a mandate from the United Nations, and that we should refrain from participating in preventative warfare and pre-purchase attacks. So the Progress Party remains alone and defends the behaviour of the United States in Iraq. Does the representative of Stensaker really think that pre-emption attacks create a safer world and that Norway should participate in them? Is it this Advancement Party's intention to have a firm attitude?
ParlaMint-NO_2004-06-16.ana.ud568e746	The representative of Mr Kjetil Bjørklund was concerned about the views of the Progress Party on the conflict in Iraq and other places in the world, and that international operations should be enshrined in international law. With regard to Iraq, we believe that the operation that was initiated was enshrined in international law. The Progress Party is committed to the observance of international law's intentions. What we saw in Iraq, on the other hand, was that the UN showed a striking accident when it came to going to action to end the horrific acts that, among other things, were. Saddam Hussein was behind it.
ParlaMint-NO_2004-06-16.ana.ud568e753	The cord shift is over.
ParlaMint-NO_2004-06-16.ana.ud568e756	The Minister for Foreign Affairs said in his statement that the security policy situation has not improved since the January foreign policy presentation. It's a statement that I and SV can tell us completely agree with. In our opinion, the paradoxical situation is that the country that likes to be considered our most important ally in security policy is still helping to make the world a more dangerous place. This is no longer a criticism that the left-hand side is alone about. It is a criticism such as this. This week travels through a riot from a group called Diplomats and Military Commanders for Change, where the former U.S. military chief William Crowe and former CIA director Admiral Stansfield Turner are among those who are with -- not old SVs in other words. According to the NRK yesterday, they criticise the Bush administration for destroying respect for the United States outside the world, and for making the world more dangerous. In April, guest professor Jeffrey Record came to the U.S. Army War School with clear criticism of Bush's strategy against terrorism. He said that Bush with the Iraq war opens a new front in the Middle East for Islamist terrorism, which has drawn attention and resources away from securing the United States against new attacks, and it has derailed the global fight against terrorism. The fight against terrorism cannot be won militarily. This is a message that Norway needs to present very clearly in the international community - to the United States, but also to Israel and Russia, to mention some of the countries that today place great emphasis on the military attack on terrorism. Excessive belief in military instruments takes resources from other instruments that can actually bring about. Worse still, military violence in a number of places in the world leads to ever-new groups of young people learning that it is one tool that lasts: it is violence, violence, and violence again. The fight against terrorism cannot be waged by disregarding democratic and civil rights, or by disregarding international conventions and the open use of terror and surveillance, which involve all other aspects of privacy. As the Minister for Foreign Affairs himself pointed out, it is not easy to grasp the idea of promoting democracy and respect for human rights in countries where this is lacking, when the messenger himself is unable to practice the values that one tries to convince others of. Since 11 September 2001, huge sums have been used in the military fight against terrorism. Thousands of people have been killed in Afghanistan and Iraq, both civilian and military. More are recruited to extremist environments and terrorist actions. In comparison, little has been done to address the reasons why people are just recruited to this type of extreme activity. Does the Government agree with us that too much has been invested in military instruments, and that the United States is spending too much resources on this in relation to other instruments? A week ago, new figures came from the Swedish SIPRI, which is monitoring the world's military consumption. Here we can see that the world used 11 pst. more money on weapons in 2003 than in the previous year. The main reason was the wars in Afghanistan and Iraq. From 2002 until now, the cost of weapons has increased by a total of 18 pst. For the year 2003, they reach huge 956 billion dollars, i.e. NOK 6,400 billion. Ten times as much resources from the rich developed countries are spent on military technology as development aid. These are numbers from 2001. Instead of investing so much in weapons, there is a need to focus on conflict prevention and conflict resolution. It is cheaper, and it prevents the enormous suffering that a war will in any case lead to. The situation in Iraq is dramatic and difficult. It was clear that the United States had a strategy to win the war, but no strategy to win the peace. The new Security Council resolution clears the ground on paper in a number of areas and clarifies the situation of transition to self-government. But unfortunately not so much in practice will be changed by a new resolution, at least not immediately. If Iraq really achieves self-government on 30 June, it will, among other things, Depending on how real the United States will give up power. Will it, for example? Is Iraq's oil wealth now benefiting the Iraqi population? SV believes that the occupying powers must continue to bear the primary responsibility for security in Iraq for as long as it is necessary and as long as the future self-government authorities consider it desirable. In the SV we stand firm that Norway should draw all the forces out of Iraq, we should not have been there, and we should not be there. The main strength has now been extracted. It's really historic and eye-catching that the government insists on holding twelve staff officers in Iraq in order to plant the Norwegian flag there - only with the support of the Progress Party in the Stortinget, and not with the support of any other parties. I don't remember anything similar happening in Norwegian foreign policy history. The SV's view is that we should now give priority to Afghanistan, and we should give priority to having the capacity to support under peace processes involving Norway and UN operations. We welcome the fact that Norway is contributing to the reconstruction of Iraq with short-term and long-term contributions to development. The whole region will serve the economic and social benefits of Iraq, and political stability will be just as important as military contributions. In fact, political stability is a prerequisite for military and security stability. I am absolutely sure that we all reacted with shock and nausea when we saw these pictures of American soldiers who abused Iraqi prisoners, who went all over the world. The Foreign Minister was also aware that he himself was shaken. However, it is difficult to believe that these are activities that can happen if the soldiers are afraid to be discovered. They have taken pictures even where they pose with mistreated prisoners, and send the pictures home via the web to friends and acquaintances. It seems to them that they are in a culture that accepts violations of elementary human rights. Therefore, it is difficult to understand that these should be individual pisods to be investigated and not a culture that needs to be explored in the seams. In addition, it is said loud, clear and clear - in a hearing of the Senate, Minister of Defence Rumsfeld has confirmed it - that the following are permitted in Iraq: so-called sleep control, i.e. refusing prisoners to sleep, diet manipulation, i.e. to starve prisoners, to sit in uncomfortable positions, to sound extremely loud, etc., which are regarded as violations and violations of humanitarian rules and as torture. That is why this is also the case, the case that Norway has to protest against. In this context, we must not forget the situation that exists on the Guantanamo base in Cuba, where there is much evidence that minors are also being held captive. Finally, I want to address the conflict in the world that in itself contributes to the most recruitment of terrorists. There can be no doubt that Israel’s conduct toward the Palestinians is the conflict that, if resolved, would contribute most to peace and most effectively in the fight against terrorism. Then I think it is alarming that the foreign minister says so carefully. He says it like this: "For the government, it is alarming that the parties do not seem to want to take this inward. Instead, the parties appear caught in a vicious circle of attacks and retributions." I think the Government describes a situation with two equivalent parties, and not a situation in which one power is an illegal occupying party with systematic violations of international law, as Willoch describes it with his own eyewitness accounts from Palestine. It is important that Norway clearly states that there is a difference between an occupant and those who are occupied, and it is important that Norway sharpens the tone in relation to Israel. Norway must put on the agenda the discussion of how international society can react to a state that systematically violates international law as Israel does, and how Norway can address this with the United States, which contributes billions of dollars each year in support of Israel. Threats of withdrawing that support would in itself be effective in bringing Israel onto a different path. Kjetil Bjørklund from SV will address the situation in Afghanistan and the Balkans in a later article.
ParlaMint-NO_2004-06-16.ana.ud568e792	It's going to be line change.
ParlaMint-NO_2004-06-16.ana.ud568e795	It's, I'd almost said sadly, an old experience that mutual friendship is the best guarantee against abuse from any unfamiliars. If we ignore the regular media performances on the slippage of some prominent SVs, the party is apparently still opposed to NATO, and is also against Norwegian EU membership. The consequence is resistance to such commitments that we are debating today. The question for the representative, Mr Halvorsen, must then be: What is the alternative safety policy of the SV for Norway? Or, as the committee's chairman was about his first post today: What collective safety net is the alternative to those to whom he says no? It could be that SV manages without friends. But is that good enough for the country's security?
ParlaMint-NO_2004-06-16.ana.ud568e800	It's not the SV's opinion that we're going to be unfamiliar either with NATO or with the EU. On the contrary, we have to deal with what our neighbours are both constructively and properly. But our opinion is that NATO should be closed when the Warsaw Pact was closed, that it is a security organization that belonged in the cold days of the war, and that it should be used to create a pan-European security organization that could include the old Eastern bloc countries. What is most important now in relation to NATO is to address NATO's nuclear strategy, NATO's first-use strategy, NATO's upgrading, NATO's ability to go out of the area. And I think we have many friends in other NATO countries, and also in NATO/EU countries, who agree with SV in this.
ParlaMint-NO_2004-06-16.ana.ud568e806	The representative, Kristin Halvorsen, said in his speech that the fight against terrorism cannot be won militarily, and cannot be won by disregarding democratic rights. In my opinion, SV lives in his own dream world where everyone lives in peace, and where all conflicts can be resolved with talk or with money. But that's not the real world. Does the representative of Halvorsen really think that there is no democracy, and where human rights are violated daily, should the international community only look at when talks or resolutions do not help? Does the representative not see that military forces may also be required to protect the population and relief organisations?
ParlaMint-NO_2004-06-16.ana.ud568e813	Yes. SV is not a pacifist party. If there are military actions anchored in international law and in clear decisions of the Security Council, the SV sees the need for military instruments to be used. But we must never believe that that's what solves a problem. I would like to ask the representative Stensaker to look around Iraq. Is it so that the war against Iraq has led to a safer world, to less terror, to a more peaceful opportunity? On the contrary, it has recruited terror, it has increased conflicts. This will be a conflict that the world is going to wrestle with for many, many years to come. The same is true of the situation in Afghanistan, which has been wrestled by war for decades after decades. The result of that is that you get very short on military actions, and that military actions can only have a function if they are in close contact with civil reconstruction of a herded country. The perspective that SV has presented here today is that a military action, if you have a mandate to international law, can be a small part of the struggle for a more peaceful world, but the main focus must be, and the big money must be spent, in completely different areas, otherwise we will not get anywhere.
ParlaMint-NO_2004-06-16.ana.ud568e822	It is easy to share with the representative Halvorsen's analysis of what must be the main instrument against terror. At the same time, I want to ask the representative Halvorsen if she doesn't see that in recent years this has changed a lot, with bin Laden network and other networks, where there are actually rich people behind, and those they can recruit are also largely of a different class. As a result, it has changed, and as a result, it is asked whether or not to upgrade the sharp part. Then to Iraq. Since 1 July, when there is no longer formally an occupation, is it for SV - which is always occupied by the UN - so that the reason for not being there is a capacity question, or is there still some sort of emotional situation based on the original resistance to the war? Because when the United Nations asks, and when the occupation has ceased, what is the fundamental reason why we should not be present?
ParlaMint-NO_2004-06-16.ana.ud568e829	I fully agree that it is not possible to explain terrorism just with poverty. I believe that the committee leader, Jagland, was concerned about something that was very important, in relation to the hopelessness that many of the younger generations of Arabic dictatorships face. They have little hope for the future, and political conditions also show that there are few opportunities for development. But I think that kind of extremists have far too easy play in recruiting and getting support for terrorist activities because of injustice and poverty, for example. the conflict between Israel and Palestine and general poverty. These, in addition, are people who see the world's wealth through the TV screen every single day. Contrasts become enormous and go straight into the hopelessness that many people feel. So to the situation in Iraq. It is obvious that a new resolution has strengthened it. I agree with Mr Jagland on this point too, because we also have previous UN resolutions on this. Nevertheless, there is no denying that there is a significant degree of political support in relation to the occupation you opposed, because in any case we must give priority to different actions that we are going to participate in at international level. And if you give priority to Iraq, you also give political support through that participation.
ParlaMint-NO_2004-06-16.ana.ud568e836	So the chord change is over.
ParlaMint-NO_2004-06-16.ana.ud568e839	First, I would like to thank the Minister of Foreign Affairs for a thorough, good and nuanced statement. Unfortunately, there is reason to note that he is quite right when he says that the world has not become any safer or less selective since the previous issue. I would like to start by thanking you in particular for the very clear speech that the Minister of Foreign Affairs had in relation to the abuses that have taken place against prisoners in Iraq. It is necessary that a speaker speak as clearly as the Foreign Minister did there. So I would particularly like to thank you for that. That being said, I don't think we should just hit our chests here in Norway or the West and say that this is a legend that Americans have or the British have. When we see polls that have been carried out in Denmark and Norway on the acceptance of so-called mild torture, we see that there is a sadly large percentage who says that there is all right in the fight against terrorism. It shows that in this fight against terrorism there may be a danger that we will return to the old Jesuit slogan "the intention is to sanctify the medium". Therefore, in order to use Biblical language, it is "a thorn in the flesh" of all of us, who also in our societies must arouse a living debate that we must hold high the ideals of the Geneva Convention. The people of Iraq are entitled to security. Even if Iraq formally becomes sovereign from 1 July, US and British authorities have a great responsibility to contribute to security, until Iraq itself manages to bring about a real police force and forces that can provide civil security. That's why the international community has to stand up here. Norway makes it symbolic in a multinational force, but it is quite clear that when the occupation is lifted, it is a common international responsibility. I am pleased with both the answer that the leader of the committee gave today, and partly what the representative Halvorsen gave, where they expressed that it was more a practical question based on what capacity we had, and where we were going to use it, than the resistance to a participation in Iraq. It seemed to me to be an important clarification, and in my view, it totally dedramatizes what the representative Halvorsen said was a historical situation, that even though the seemingly narrow majority here on the Stortinget was supposed to do, as long as it is essentially a practical basis on which one is disunity. The war on terror is a fight against extremists. As I said in my reply to the representative Halvorsen: it is necessary to work on a broad basis, but I agree that we need the pointed end. But it's primarily by making the world fairer that we can move on. The Israel-Palestine conflict is one of the most serious and most spreading conflicts we have. We're going to admit that. It's got a lot of attention here today, too. I found the angle of attraction of the leader in the committee interesting when he's talking about how to implement the withdrawal from the Gaza Strip. First of all, I think we've given a little bit of a positive signal when Sharon actually made a decision here that you've been waiting for for years. The most meaningless of all busses is the bust in Gaza. There is reason to be aware, so that even a few times actually says something positive about decisions that have been taken. It may be that the representative Jagland is right that one must have that kind of control over the withdrawal, and I thought those points were wise. But when he compares with Lebanon, I remind you of a relationship, and that is, in that withdrawal, things were done by the United Nations that have created additional wounds in a difficult relationship between the United Nations and Israel. It's that they overlooked the kidnapping, the abduction and the murder of Israelis, as they first suggested, and as it was quite demeaning for the U.N. in retrospect to have to admit had happened that way. So in a relationship that's already strained, the United Nations doesn't have the highest "standing" in the world, and it could be other people, like, for example. NATO or others, who had greater legitimacy also in this context, and who could carry out such a control. The path of thought that Jagland has is interesting, and I think it's important that the withdrawal takes place in a good way. So today SV has put forward a proposal on sanctions against Israel. So they are proposing sanctions against the only real democracy in the Middle East. Of course, Israel must be tried against international law. It says itself. And they must be criticized for violations of international law. Of course it is. But at the same time, there's something completely wrong when it's just the one party that's going to be criticized here. When the representative, Halvorsen, says that Israel must bear responsibility for the continuation of the conflict, it is completely historyless. Terrorism, as we know him internationally, occurred largely in relation to the PLO, which came up with other and better thoughts. We know that it was Arafat and PLO who rejected a negotiating arrangement that would have given a Palestinian state that largely followed the 1967 borders. These things can't be underestimated. And then we can all be certain that part of the means of power used, and what Israel does, is necessary to try against international law, and to criticize. But implementing sanctions as proposed by SV is at least an isolation policy against one power that will not at all lead to peace, but will lead to the total opposite. I'm actually a little disappointed that one is as one-sided as one is in this criticism, and I'm also a little surprised that the leader of the committee criticizes the Government for saying that the only way to peace in the Middle East is to follow the Roadmap for peace, as the Foreign Minister said. I believe the leader of the Foreign Affairs Committee, the Foreign Minister, the Government and the Christian People's Party are some of the things that are the way. There's reciprocity in that. I agree entirely with the Minister of Foreign Affairs on that question. It's very easy when we're in this fight against terror, forgetting what's actually still the biggest international challenge: the fight against hunger, poverty, slumbering, the death of 30,000-40,000 children every day because of lack of elementary things. There are no terrorist actions; there are no horrible events in any part of the world that can measure up to the terrible fate that surrounds all these human beings. It is important that we also have it in a foreign debate. We have reason to be proud -- not to be able to beat ourselves on the chest -- of the fact that, in general, we are now at the forefront of the world with regard to providing aid for development. I think we can also draw it into a security policy context. Just based on the analysis as several, including: The representative, Halvorsen, had here, is the processing of the development message, coming to the fall, perhaps as much a contribution to peace in the world in the future as each of the themes we have had here today.
ParlaMint-NO_2004-06-16.ana.ud568e865	It's going to be line change.
ParlaMint-NO_2004-06-16.ana.ud568e868	I must avert a misunderstanding. I have not criticized the Government for ending up on the Roadmap for Peace. What I said was that you now have to deal with this withdrawal that is going to happen within the framework of the road map, in a more concrete way. Everyone else has to do that now. Then we have to have some positions. One thing that's very important -- as I said, and as Lilletun was in the room -- is: who's going to negotiate how a withdrawal is going to happen? There are two parties here, Israelis and Palestinians. It is then natural that responsibility for negotiating the plan with the UN is left to the UN, that the Security Council approves it, and that the Security Council finally confirms when the plan is implemented, so that it does not become one of the parties. It's a very important prerequisite for success. It happened in southern Lebanon. I agree that there were things that were not good, but without having had an international agency that negotiated the plan itself and confirmed when it was completed, it had not been well. So what I picked up was essentially that now you have to have some positions in relation to as important things as how this is going to happen now, in order for it to be a new start to the peace process.
ParlaMint-NO_2004-06-16.ana.ud568e873	I thought it was a good clarification. Then we're certain that it's the road map that has to be grounded. A happy decision to withdraw from Gaza must be handled in a way that both parties can accept and that can also provide security. It's from the representative of Jagland's side making a sketch in relation to it, and some of the elements, I also said in my post, are interesting and good. But it's hardly possible in a foreign debate here to complete it. What I thought was important in the commissioner's posts now, is that it is the Roadmap for peace that should be at stake. It is based on reciprocity, on safe borders and on respect for human rights.
ParlaMint-NO_2004-06-16.ana.ud568e878	There is, in general, little debate here on the role of NATO after the Iraq war. The alliance is divided politically, both within the European countries and across the Atlantic. But NATO has strengthened its instruments in recent years. They maintain their nuclear strategy, develop their rapid response force, establish their "out of area" strategy and have launched efforts to establish a missile defence. NATO's capabilities have become much sharper, while the challenge to our global security lies in areas that cannot be dealt with by military means - which Lilletun himself so well put forward. In what way does Lilletun think that the instruments that NATO is now reinventing and developing can provide a more peaceful and safer world? Then we can start with NATO's nuclear strategy.
ParlaMint-NO_2004-06-16.ana.ud568e885	First of all, a recognition, and that's that we can discuss NATO more than what we do in general. Now the Annual Report will be coming to debate soon, and then we'll be able to do it. I mean that a renewed NATO can certainly contribute to a peaceful worth. Firstly, NATO has in fact been the leader in reforming the former Eastern European countries that needed to rebuild - their forces are one thing - human rights institutions, democratic institutions, etc. There, NATO has been completely central to the transformation that has occurred. It is also the intake that exists in Ukraine to keep Ukraine European. Then to the pointed part. It's obvious - we've seen it in Afghanistan - that coordinating a NATO force can probably be what makes us have a chance to develop Afghanistan democratically. But there is a lack. I'm still open to discuss NATO, and I hope that the conclusion will be that even a party here in the Storting will be a NATO party.
ParlaMint-NO_2004-06-16.ana.ud568e893	It might have to be done in a different context than in a line exchange.
ParlaMint-NO_2004-06-16.ana.ud568e896	Now perhaps the representative Lilletun might be a little surprised at why a party that is opposed to NATO is so concerned that NATO is divided, but there's another variant of the answer. What I'm asking is the relationship with Iraq and the extraction of forces. As Lilletun said, the division in Stortinget is a historical phenomenon, but not everything in history is equally important. So that's one side of the thing. But is the foundation of the Christian People's Party for continuing to have forces in Iraq that there are still humanitarian tasks to be solved by the forces? It was the earlier foundation of the Christian People's Party for them to be there. Is there still the reason that one wants them to be there? It is necessary to comment on the fact that, at the time of the adoption of this Decision, the current decision of the Security Council was not known.
ParlaMint-NO_2004-06-16.ana.ud568e903	The decision is made with the assumption that we would get a new status after 1 July. How that decision was made did not know. But I don't think I want to use the embodiment of humanitarian work when it comes to these forces. I want to use the cover that there is an officer present to be involved in the work to be done to stabilise Iraq in the transformation that is now taking place. I believe that saying that they are part of a stabilisation force that is tasked with shaping Iraq into a democracy and a rule of law, where people can feel safe in their lives, is a better way to describe it than using the epitome of pure humanitarian work.
ParlaMint-NO_2004-06-16.ana.ud568e908	The cord shift is over.
