ParlaMint-NO_2004-04-22.ana.ud941e41	The called alternate of the Hedmark County, Helge Bjørnsen, has taken the seat.
ParlaMint-NO_2004-04-22.ana.ud941e638	I thank the Council of State for a thorough answer. I fully share the opinion of the Council of State that we have a police force that is functioning in Norway today. It also shows most surveys of the public's perception of the police, that people have great confidence in it. What is dangerous about the police reform and the discussion we get in the media is that it is now expressed that the reform is functioning badly. In fact, some police districts may not have succeeded in getting the reform on track. But the problem is that this is spreading to the whole country. There is a general impression that the police reform is not working, and it has helped us to have a police force that works worse today than it did before we got the reform. What this then results in is that people get less trust in the police. People start to think that when they have had a break-in, when something serious has happened at home, they don't get a visit from the police – and you can risk people resigning. The impression must not sit down! It's incredibly important that we manage to communicate externally that we have a well-functioning police force, which is going to be even better than what it was before we started the police reform. Because that's exactly what was meant by the police reform: getting a well-functioning police force that's out there in the audience, that's meeting the audience, and that's not least more capable of fighting crime. Then you have to ask questions about – which is also referred to in my first post – that the head of the Sunnmøre Police Union believes there has been a lot of power struggle and policy related to the reform. Then it is natural to ask this question to the Minister of Justice: is one of the challenges that is now in the final phase of the police reform, just to get an even stronger direction of the reform, so that we get it all on track? The Minister of Justice also says that some adjustments have been made in the course of the process, not least in relation to the operational centres, and the Stortinget stated in its work on the reform that the organisation had to be determined according to local circumstances. However, it may appear that most districts have chosen a model with central and operating centres. Is it the Minister of Justice's view that the implementation of the reform has become too streamlined, perhaps too much uniform, and that local adaptation has not been equally applied in all districts?
ParlaMint-NO_2004-04-22.ana.ud941e653	I don't think it's the creation of modern operating centres where you also have a data log that is effective, not least if you like. Takes the case of family violence, where you are dependent on this and can actually immediately go in and look at the case on the screen, which has been the challenge. I think it's been a considerable strength. The current line shape can never be in Norway, with our geography and our place of employment structure. It is not possible, nor desirable. Then we would end up in the situation that I have told us not to do, namely that the police leave a place of employment, and then the parish priest becomes the last representative of the state present. That's not the point. But the police service will vary, and it is clear that different solutions have been chosen in the police districts. There are districts where everyone has been put into the tour service, while elsewhere they have found a combination of – let's call it – the tour service, the operational service, and the old back-up service, which we know from Länsmann's offices. It is one of the important experiences that I need to take with me to see how this has turned out in different places in Norway. It's also so that local cultural relationships can play, without me trying to stay up with this. But all of us who know Norwegian politics know that it can play a role. My impression is that the operation center grip has been a correct grip. My impression has been that the police should be available and able to gather forces, is correct. But I also, of course, fully agree with the representative that it is very important to maintain the decentralised structure. In the case of the reform, the government of Stoltenberg in its time was sober, for it said in its time in the news of big business: ‘Unrealistic expectations of the positive and visible effects of the ‘nightly’ reform must not be created. The benefits of an organisational reform such as this will take time to realise.’ It's very sober, isn't it? So I won't comment on how this is handled in the meantime. As a representative of an opposition party, I actually kept to the same soberness at that time. And I mean it. I believe that the police have stood on and carried out a very important reform, the greatest reform in a hundred years. They have increased their competence. When it comes to what was said from Sunnmøre – I don't know about it – it is well known that the police have a tough and strong union. Everyone in the media knows that. Then is my dry comment on it: Do you have a cool union, which is perfectly legitimate in a democratic and free society, you have to be equally tough on the other side as well. It's part of the game rules. I guess that's what the representative asked me about. Yes, of course it has to be like this. I will never undermine a trade union's right to be tough. But if you're tough, the counterparty must also be tough. To relate it to the experience I have in my own life, I'm used to that kind of thing. I grew up with the Workers' Party in Trondheim, who looked at me and said, "Look at you, Doorum, we have the power!" I think it was clear and clear speech. I knew where the lines were, and how to take them again. Clear speech is also the starting point for resolving conflicts. My impression is that the police have cooperated, and I think there's a point in what I'm going to say here at the end. The police have really tight budgets. I have said that in the budget proposal for 2003 and for 2004, and the Labour Party has signed it in agreement with the Government de facto.
ParlaMint-NO_2004-04-22.ana.ud941e673	This suggests that Trondheimspolitik is not a Sunday school at all. This is an incredibly important debate, mainly because we as justice politicians, and we as the country's representatives, are taking the debate into the forum where the debate is to be held, much more so than what may have been done now. We all have a responsibility for that. During the debate on the police reform, there was a representative of Dørum at that time. said: “I have a philosophy, and it is that if the chief is too far away from the Indians, there will eventually be no Indians left.” I think that's a good expression. I think that expression also touches on some of the things that people are concerned about when it comes to police reform. People are concerned with something more than just the percentage of information and the length of proceedings, which are important parameters to measure by. People are also concerned about feeling that the police have a certain proximity, and if they're not Indians and chieftains, they're at least concerned that the sheriffs are more close to the population than what you actually experience today. That's what you're going to take seriously, and I feel like everyone wants to take it seriously. The problem now is that there has been a large amount of organisational development in some police districts that have closed the police stations, among others. in very large cities like Elverum and Kongswinger. We've also heard about Fredrikstad Police Station, which closes at noon. 16, where appropriate, it shall be supplemented by car patrols outside. What if the car patrols aren't actually there? In my opinion, there is a sea between the then Minister of Justice, Hanne Harlem, said in the same debate on police reform, that ‘there must also be a police force that is even more service-oriented and public-oriented than today’, which was much of the intention of the police reform, and that, for example, is the case. Hamar Arbeiderblad wrote the other day. It was written that some nights the number of police officers in the Hedmark field has been down to two men. When one compares this with the actual situation, where police stations have been closed in quite large towns and cities, I understand that people feel insecure. I wouldn't dare to see the raped woman or the child who wants to seek help from the police, and who actually doesn't get it, and who is met by a ringing bell and referred to another place ten miles away. We can't have it that way. It is such a situation that can help to weaken the good trust that has been built up over many years with the Norwegian police, and that we are very dependent on, and that we actually need more if the police are both going to use new methods and fight very serious crime in the future. In other words, there is also a considerable responsibility for implementation, even before the evaluation comes, which I am convinced is that the Minister of Justice, the Ministry of Justice and the Directorate of Police are taking it very seriously, but which in many ways only needs to be continued. You also have to accept the signals that are now coming, both from the population and from this house, alongside the information responsibility that is, of course, there and that is significant, in order to prevent disinformation from happening.
ParlaMint-NO_2004-04-22.ana.ud941e689	The task of the police is to ensure people's security and to fight and prevent crime. It is therefore essential that we have a police force that is close to the population and that is available to people who need police assistance. It's the most important thing. That is why I agree with the representative of Storberget that everything is not really just about the percentage of clarification and the length of proceedings. When the reform was adopted in Stortinget, it was with a broad majority, and there was a great deal of agreement that Police Norway could not live with the same structure that existed 100 years ago. And there have been major changes within this department in the last two years in terms of both organization and problem solving. We can't expect to see the results over the night of as big changes as those that have taken place. It's important that these changes have an opportunity to sit down and that we see results over time. Police reform is, among other things, based on a crime scene that was different than it is today, and we can't compare with the situation just a few years ago. The Norwegian police must be equipped to face the heavy, organised crime and the more traditional crime of winning and violence. The representative, Gjul, questions whether the reform is not working because of internal drag struggles and mismanagement. Based on media redundancies, we hear almost every day about the poor budgetary situation and that the police have no opportunity to take responsibility for the tasks they have. As representatives of the Judicial Committee, we can then wonder if it was right to implement the reform. It may be, as the representative Gjul says, that there are large internal draw matches and poor management some places. But when we travel around the police districts in Norway, we see incredibly good police work. And I'm at least very proud of the Norwegian police officers and women carrying out the prevention and combating of crime every day. But I also experience seeing a lot of childhood diseases. We saw that quite early. And I think it's important that we take it with us when the Storting evaluates the reform, that we go into the actual situation and look at what we have to change, and what does not work out in relation to what you wanted, and that you go honestly and honestly into that process.
ParlaMint-NO_2004-04-22.ana.ud941e705	First of all, I would like to thank the interpellant for bringing up a very important topic, and I would like to join those who have said in the past that there is an absolute need to discuss this, not least with the background of the media that has been going on, and the feedback that you receive as a justice policy and as a politician in general. That the intention of the reform was good is well beyond doubt. More accessible police, more visible police, more publicity – and in that part there is also service-friendliness – should be an absolute requirement. So the intention was good. What is a paradox today is that the descriptions of the media come along, and single officials come along, are completely different. There are descriptions that there is a lack of opportunity to get help outside of normal working hours, one has raised the threshold to some extent in order to actually be able to provide assistance, but has raised to those degrees the threshold of what was service duty before, that it can no longer be done. Even districts that assess the sale of materials do not – I think – necessarily finance the number of job homes, but simply because you do not see yourself able to bear the operating costs of this. Then, in my opinion, there is a pressing need to increase the availability of resources to the police. I think it's a paradox when I hear the Council's description of reality, in relation to the reality I'm otherwise getting feedback about. Then I wonder if it's the way the government council when he's standing and telling the Storting about what's facts, taking away from what the police give feedback about, or they don't even know what they're talking about. It's a paradox for me, and I hope and assume that the Council of State is aware of what attitudes he shows outwards by signaling something that goes beyond what the police themselves actually experience. So I think the Storting has to go by itself and take the consequences of what we're actually doing. When we come up with ever new, creative things that we want the police to do, without funding them, and say that you have to prioritise locally, then it becomes inconsistent when we go out afterwards and ask questions as to why they don't do what we've asked them to do. Then that criticism fell on the rock floor they luxury at my discretion. When Stortinget asks for something, Stortinget must also fund it. I'm not going to go so far that in some way I'm slaughtering the police reform so far, but that the feedback we're getting now is to reflect, must be raised beyond doubt. I think, among other things, there is a need for further strengthening of resources, while continuing to ask questions about how we do things. And that's another paradox, and that's that the police law's intention and design is very clear on what we have to do to the police and what the police are going to do. And if they're going to be able to fulfill these, we have to be silent with resources. If not, we are unreasonable. Predictability shall apply both to the audience and to those who are going to do the job on our behalf. If not, the system is unworthy.
ParlaMint-NO_2004-04-22.ana.ud941e720	SV believes it is too early to conclude now on how this reform works. The signals we receive in the Justice Committee are often contradictory and difficult to deal with. This is natural, but the problem is that there are often extremely big disagreements about what really is reality. SV believes there is reason to recall the minority warning from Innst. S. No 241 for 2000-2001 on police reform. That's where the minority says it's not. ‘combination of police districts which provide more police officers in the street, as appropriate and as easily as possible. If such a purpose is to be achieved, even on the basis of the number estimated by the Government, it is another instrument that is necessary and overriding: that such service becomes an attractive career path with status and good pay conditions.» Otherwise, in the minority, we also went into eight more police districts than the majority did. The representative, Gjul, says that the Joint League of Police is strongly critical of the reform. This isn't necessarily right. The Police Union Centrally and most I have spoken to by local trustees, warn against concluding now. They do not want to discredit the police reform already, by blaming all the errors in the reform. SV will generally warn against excessive belief in reorganisation and reform as a recipe for success in this work. A recent research report, among other things, shows that reorganization can create dissatisfaction and lead to medical notifications, which the Workers' Party took on a great responsibility for in the Newspaper of March. So we have to be careful with too big a revolution, especially close to each other. SV also believes that it was unwise that the report from Fürst and Höverstad came in the middle of the implementation of the reform. This created unnecessary uncertainty. SV looks forward to the evaluation of the police reform and the forthcoming discussion on it. Hopefully, there's some more answers to what's going to be important in the future. In any case, we will continue to emphasise that the police are to be available, that is to be service-oriented, that is to be highly qualified, and that is to be representative. Attention shall also be paid to the well-being and responsiveness of the police's own organisations. Rogaland's research has shown that we have a way to go in this way, especially in the case of employee interviews. SV will also emphasise that the police should have good knowledge of the communities in which they live, that they should cooperate with and take responsibility for the environment. Crime prevention should permeate all thinking in the municipalities, for example. in the case of spatial planning. For SV, it is also important that all police districts have full-time family violence coordinators. It probably means that we have to give something more money. We also want better dissemination of good experience, for example. in the case of decentralised ecosystems. For us, it is important that the police cooperate well internationally, especially as regards organised crime and the threat of terrorism. Finally, I would like to stress that crime cannot be combated by the police alone. The police are now aware of this. I would therefore like to commend the Joint Alliance of Police for their new action plan, including: Rehabilitation of drug addicts is an important part.
ParlaMint-NO_2004-04-22.ana.ud941e744	The aim of the police reform was and is an audience-oriented, visible and effective police force. However, feedback from policemen, local politicians and the public suggests that the targets that motivated the Storting to adopt the reform have not been met in the near future. There are reports of inaccessibility, bureaucracy and weird police priorities. More people feel that the police are no longer protecting against everyday crime, and the frustrations in the department are obvious. I share the concern of the representative, Mr Gjul, for the implementation of the police reform. But there is reason to recall that the Workers' Party was precisely the architect of the reform and has contributed significantly to creating expectations of rapid results. It is a fact that it takes time for the effects of administrative reforms to be made clear. The Christian People's Party acknowledges that the police's resource situation per year. Today is a hard day. We want to work for increased resources for the police. But let it be clear: we expect the police to also contribute in a creative and proactive way to make better use of resources. From 1999 until the current year’s budget, the police have received a nominal budget increase of 28.8 p.m. Police have appeared as winners in several budgets. However, the demand for increased resources has never ceased to exist. I allow myself to point out that the police reform has led to significant wage increases for groups within the police force. It was never the intention of the Storting that this would be the result of the reform. We want more police services, not fewer and more expensive services. The fact that this may seem to have been the result shows that police action in particular requires leadership competence. It is important for the Christian People's Party to state that we have a smooth police force in Norway. At the same time, we must recognise that the agency faces structural challenges. This is primarily the responsibility of the police management. The police reform was supposed to give us about 400 new posts for police operations. The introduction of the fifth holiday week reduced this reorganisation gain by half. The result of the reform is today an increase of approximately. 200 posts for police operations. Interpellant believes that there is a need for action to ensure the implementation of the intention of police reform. The Christian People's Party believes that we still have to let the police act work on the implementation of the reform, and that an evaluation should take place next year. The constitutional responsibility for achieving the objectives of police reform lies with the Minister of Justice. But the actual responsibility lies with the individual head of the police. I also allow myself to point out that the Directorate of Police has a significant responsibility for administration. The evaluation of the reform will show whether the directorate plays the intended role. I look forward to this evaluation with excitement.
ParlaMint-NO_2004-04-22.ana.ud941e764	Police reform involves reallocation of resources within the establishment. The objective of the reform has been to increase the emphasis on police operational work and to increase the provision of services. The 2004 budget papers show that phase one of the reform involves the transfer of 400 annual works to this type of work. That effect is partly eaten up by the fact that you then got an extra holiday week. Overall, police work has not been added to increased resources from 2003 to 2004. I have to say that the merger of posts as a result of the reform has been met with reactions from the audience in several places. A number of rapporteurs with very different party affiliations have committed themselves in favour of their communities. Even I know the conditions best in my home environment on the North Jären, where the merger of two police districts has resulted in the police station in Sandnes being unattended after 1 p.m. 18 on weekdays and uncoped on weekends. Here I owe it to you to note that Sandnes is the eighth largest city in the country, with 55,000 inhabitants. It may be said that the office is maintained, but it is not open when the audience might expect it to be open. I don't want to criticise the competent police chief for his priorities, I think a large part of this is driven by resource scarcity. It's just that there are police cars in the area, but there's no place for the audience to go. It is no secret that the Central Party has been skeptical of the centralisation resulting from the reform. Of course, an effort must be made to ensure the most effective organisation of police work, but the police are more than any other body depending on public confidence. Effectiveness is one factor, but it is also important that citizens feel secure and that there is a certain proximity to each place of work. I see it as the broad layer in my community, the public in general, is very sceptical of the consequences described here. I also think one should be aware that police service is historically part of the state's basic offer, the service that one expects. The inhabitants of larger cities have a expectation that there is a place of employment to which you can turn, even in the evening and not least on weekends. I think any elected people and also the Council of State are wise to take these expectations seriously. Finally, it is the political arena, the government and the magnificence that are responsible for the service provision to be offered. It is possible that a person may have to wait with a full evaluation until 2005, but the price may still be adjusted before that time.
ParlaMint-NO_2004-04-22.ana.ud941e777	We should not underestimate that large shifts in large levels are demanding, and extra demanding in schools where organisational changes do not happen so often. We should also have the ability to distinguish real criticism from internal policies and the fight against migration in a changing phase. Nor should we ignore the fact that we can overestimate how quickly the effect of changes comes. However, as others have pointed out, reports of the situation are so alarming in many places that there is cause for concern as to whether there is a good enough grip on the implementation of the reform. In Fredrikstad, which is the country's sixth most populous city, and in most other Eastern towns, the police guard has been closed at night and on weekends after the police officer got office in Sarpsborg. Both in Fredrikstad and in Moss, there are two and a half positions unoccupied due to lack of money. In Fredrikstad it is said that the summer watch list is set up with one third of the number of posts you had in the summer ten years ago, there is only one police officer on duty in other cities of Eastfold. In the summer, the police boat will be at the dock, because it is necessary to save the 300,000 kroner it will cost to have it in active service. There is a lot of boat traffic in the Østfold archipelago during the summer, and it is possible that some of these will rejoice that the police boat is not out. Close police force is going to give more people out in patrol,' said the Minister of Justice. There are probably a lot of places, but last Saturday the manager of a large free market in Old Town in Fredrikstad had problems with three men who plagued both sellers and customers, and who eventually threatened him with a screwdriver while they tried to steal his car. The police answering point was notified twice, but only informed that there was no one present that could move out. Experienced policemen tell the newspapers that it would never have happened before. Now, fortunately, it's not that only this kind of negative impact is the picture after the reorganisation that has taken place, as the Minister of Justice pointed out in his statement. But is not the Minister of Justice concerned that these examples, of which there are many, show that one of the main objectives of the reform may be missing, namely a police that is more accessible to people, who are present and able to intervene when needed? It must be possible for the Council of State to go into it, not as a police director or chief of police, but as a Council of State, and I had almost said chief of command, and to ensure that the reform contributes to the achievement of these objectives. For this situation is now rocking the security of people, and by people's confidence that the police can play their part. The council said in his speech that he thought much of the reform was on a good track. I would ask him to clarify whether he believes it is on such a good track that it is not necessary to intervene to be sure that all the objectives of the reform are achieved. In case, if the answer to that is yes, are the resources too scarce, and will anything be proposed in this context?
ParlaMint-NO_2004-04-22.ana.ud941e788	The aim of the police reform, with the Labour Party as an avid supporter, was, as has been said, among other things. a more visible and effective police force. The intention of the police reform was correct, but some administratively unsolved tasks remain. There are three factors that are crucial to the fight against crime. Firstly, we need to recognise that the crime scene has changed dramatically in recent years: more brutal everyday crime, more organised crime, crime managed through multinational networks that move constantly depending on where they can operate in peace, more financial crime such as corruption and money laundering, among other things. from the sale of drugs, extensive trafficking in human beings by children and women to the western prostitution environment, and in recent years the fight against terrorism. Majority politicians have prioritised these tasks and informed the police. Then it sounds amazing that the Workers' Party now, as they are also budgetary partners with the government parties, indirectly fails to take over this reality. The second point that is important in the assessment of the crime scene is that we have to recognise that not all police districts have adequate management and competence. As early as January or February, some police officers began to complain about their need for budgets, either on the basis of realities or as an attempt to be in line only when funds are next distributed. Any budget deficits in the police must not be used as an argument for the failure of the police reform. Police reform has succeeded in improving the use of resources internally in the police — more money has been left. Flexibility has increased in terms of re-smoking and better use of crews — depending on good management. Where overtime and extra crews have been used in the old police districts, crews can be transferred internally in the police district without overtime. This is a direct consequence of police reform. The third important factor in the fight against crime is that the resources and resources are used where crime is located and not where it was historically located. The report from Fürst and Höverstad takes stock of the resource situation on the basis of objective criteria and reveals nothing other than the fact that there is a significant difference between police districts and police districts in terms of resource needs on the basis of objective criteria. For example, Eastfold lacks police district resources in relation to the tasks and criteria laid down, such as major traffic problems related to border traffic, high population concentration and increasing cross-border crime, which often result in major and heavy cases for the judiciary with mass preparation for police lawyers. These objective criteria are set to reveal how the shoe prints in relation to a lack of resources in the police. Because it can't be that everything we did 30 years ago is just going to continue into the future. It has to be that we adjust the resource supply where the problems are actually, and where the money and funds will have the highest rate of exploitation in relation to the fight against crime. So the problem with the police reform, as the representative Gjul addresses, is three-thirds. Good management is very important. I believe that it may have been underestimated so far in the process that you have not been good enough in this respect. Similarly, you place the resources where they are actually needed, and not where they were needed some years back.
ParlaMint-NO_2004-04-22.ana.ud941e801	I think this has been a very inspiring and good debate, with very many good and constructive contributions. I just want to signal that from the Labour Party we are going to follow the further development of the reform with the Argus eyes. We're very concerned that we're going to succeed. We look at the success of the police reform as absolutely essential in order for us to have a police force in the future that is good at combating the crime and the challenges in that area. In the debate about the police reform, I call for a clearer voice from Norway-Political Affairs. It is often felt that when individual voices are expressed with their opinions in the districts, they become undisputed in many ways, and there can often be a false impression of the situation. And then we're not going to forget another thing, and it's that we have to see the police in the context of the rest of the criminal chain, and from the Labour Party we've been very concerned about the problems we have in criminal matters. To a large extent, we need to prevent the police from driving around the country and the beach in order to provide maintenance facilities. It's using the police today too much resources. There's a lot of money and a lot of staffing in that particular area. If we are able to solve the problems in, in particular, criminal matters, it will also help the police to get more resources at their disposal. After the debate today and what we have seen recently, I am left with the impression that one of the areas where it may be necessary to adjust the reform is the medium-sized cities. Fredrikstad and Sandnes have been mentioned here today, two cities that do not have police officers after 1 p.m. 16 in the usual days, and has no watch in the evening on the weekends. In such medium-sized cities, it appears that they have received worse coverage than they had in the past. So all the way to the end. The Council of State is responsible for the implementation of the reform to the Police Directorate, which is responsible for the establishment. But we should not forget that the Minister of Justice has a clear political responsibility, and that the Stortinge only knows the Council of State. We cannot begin to ask the police director what are the problems of the reform, and challenge her on this. We can only put the Council of State in charge and challenge the Council of State on what is necessary. In the budget and in the context of budgetary management signals, the Council of State has the power to manage the reform.
ParlaMint-NO_2004-04-22.ana.ud941e814	Of course, as the Council of State, I have responsibility, and of course it is I know the Storting. But it is also true that the Norwegian police before the police reform did not have a police directorate. There was a level control to the degrees in detail to the department. We've also had some criticisms that maybe we haven't been good enough to get it into life, that cultures have to go into. Police reform is the change that is taking place locally in police districts, even more locally in some service locations. At the same time, there is a new division of roles between departments and police and police officers. All of these cultures are going to work. In this context, I am proud to say that my impression is that the police organizations, the Joint Police Association and the police management have been fully in agreement on the reform, and they think it is important. Then, as the Council of State, I have said that the budget we had for 2003, and what we have for 2004, is tight. There is no one who has registered the social debate, who has been able to avoid noticing that the Police Joint Union also believes that more money is needed. With regard to this room, there has been an agreement between the government parties and the Workers' Party regarding the money that has been spent on the police for the current year. In 2003, the year in which the Progress Party made a settlement with the government parties, prioritizing within a framework of about $5 billion, you put 46 million at the top. To the police. So we're operating on about the same framework. So it's like the police have changed the challenges of a changed crime scene. What I took up in my post was not that anyone could do anything better, but I was proud of the work that is good, and it does a lot of good work. I'm proud that people are doing a good job, and I think it's necessary that it should come out. I'm proud of people who are proud to do a good job. So I think it's part of an honest debate that you say you could actually do something more if the situation had been different. It is part of an open social debate that takes place in Norwegian communities, and of course it is to be brought into the main hall, as has been done in today's inter-pelling debate. In terms of evaluation, it is obvious that when we evaluate, it is to learn and, where appropriate, to adjust where necessary. For my part, I have underlined two things that go especially on my role as the Council of State in addition to the constitutional and being responsible for the police as a whole, namely that I should also listen to what Norwegian citizens have to say. That's why I've asked the Police Directorate to conduct police reputational studies in all 27 police districts. I have also asked the Directorate of Police to do what I know is happening in many places: meet local elected representatives, i.e. rapporteurs, and find out what the experience is, what you can take with you to learn. When you do these big grips, you get a lot of things very good. Something you can do better, and then you'll be left with something you can probably say was not as good as it should be. I have that humility for this reform. But I believe it was important and correct. Then I chose not to fight back in the number of police districts when I became the Council of State. I chose to carry out what was said there, because I believe that the Norwegian police then served to move on with the reform. I am proud that the police have increased their competence against organized crime, that they are improving it against financial crime, that they are improving it, as they have done in Oslo Centre, against handkerchiefs, that they are taking family violence seriously, and that they are working very well. Of course, I must be allowed to express that pride on behalf of people who have much greater confidence than all of us.
ParlaMint-NO_2004-04-22.ana.ud941e829	The interpellant debate is therefore closed.
ParlaMint-NO_2004-04-22.ana.ud941e840	We should then be ready to go to voting about the matters that are listed on today's map.
ParlaMint-NO_2004-04-22.ana.ud941e847	Eight proposals have been put forward during the debate. It's the proposals No 1-5, by Gunn Olsen on behalf of the Labour Party, the Socialist Left Party and the Central Party, proposal No. 6, by Sigbjørn Molvik on behalf of the Socialist Left Party and the Central Party, proposal No. 7 by Mr Harald T. Nesvik, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 8, from Sigbjørn Molvik on behalf of the Socialist Left Party Proposal No. 6, by the Socialist Left Party and the Central Party, has been converted into a transmission proposal by the proposers. The proposal is amended as follows: ‘It is recommended that the Government submit proposals for amendments to the rules on travel at work and for training so that persons who otherwise fulfil the requirements for such travel may benefit from the scheme even if there is no collective offer on the route in question.’ The President proposes that this proposal be forwarded to the Government without any renunciation. – It shall be deemed to have been adopted. There is a vote on proposal No. 8, from the Socialist Left Party. The proposal reads as follows: ‘The Government asks the Government to submit proposals for the establishment of independent and independent supervision, the task of which is to oversee and enforce the social rights of people with disabilities.’
ParlaMint-NO_2004-04-22.ana.ud941e882	There is a vote on proposal No. 7 from the Progress Party. The proposal reads as follows: ‘The decision asks the Government to draw up, in the context of the submission of the State budget for 2005, a contingency plan for appropriations for co-operation and to carry out, in cooperation with the organisations of disabled persons, an assessment of the best use of the appropriations for co-operation.’
ParlaMint-NO_2004-04-22.ana.ud941e896	The proposals are then put to the vote. 1–5, from the Workers' Party, the Socialist Left Party and the Centre Party. Proposal No. 1 sounds: ‘The Government is asked to continue the current financing scheme for the umbrella organisations of disabled people’. Proposal No. 2 sounds: ‘The government is asked to continue today’s scheme to enable part of the grant to be used by disabled people’s organisations for action by other non-governmental organisations.’ Proposal No. 3 sounds: ‘The Government asks the Government to ensure that the granting of concessions in the transport sector requires accessibility for disabled persons.’;» Proposal No. 4 sounds: ‘The Government is asking the Government to draw up concrete and targeted measures and to allocate sufficient budgetary resources to follow up the criticism of the UN Children’s Committee on Services for Children with Disabilities’.» Proposal No. 5 sounds: ‘The Government is asking the Government to review the right to reimbursement for additional costs for telephone use for the blind and partially sighted on the basis of the possibility of reimbursement of technical aids for this purpose and to provide the result of the review of the State budget for 2005.’»
ParlaMint-NO_2004-04-22.ana.ud941e936	The President assumes that the Labour Party, the Socialist Left Party and the Central Party want to vote against.
ParlaMint-NO_2004-04-22.ana.ud941e975	Here the President expects the Right, the Christian People's Party and the Left to vote against.
ParlaMint-NO_2004-04-22.ana.ud941e1006	The vote will take place on the proposal of Mr André Kvakkestad, on behalf of the Progress Party, submitted by Mr Odelstinget’s meeting on 25 March 2004: ‘The decision asks the Government not to increase the applicant’s liability for regulatory changes at this stage.’
ParlaMint-NO_2004-04-22.ana.ud941e1021	In Case No. No voting theme is available.
