ParlaMint-NO_2019-12-04.ana.ud111e37	The representative, Lars Haltbrecken, will present a proposal for a representative.
ParlaMint-NO_2019-12-04.ana.ud111e658	The representative Lars Haltbrecken has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2019-12-04.ana.ud111e665	I would like to thank you for the post of the representative Haltbrecken. We are behind the financial debate, where the Workers' Party used most of its criticism of the government's budget proposal to criticise the increase in emissions tax. It was the Workers' Party's entrance to the financial debate. Then we have the Central Party, which is opposed, and we are intriguing with almost any climate action, and which is the only party on the Stortinge that voted against the first truly internationally binding climate agreement that has been concluded with the European Union. Nevertheless, the Socialist Left Party and the Audun Light Background go out and say that they will now show how agreed they are on the left side of Norwegian politics; they will prepare for a red-green government. [[The President clubs.]] Why does he really want to cooperate with parties that are opposed to climate action and the higher price of emissions? [[The President Clubs Again]]
ParlaMint-NO_2019-12-04.ana.ud111e672	I thank you for the question. Let's say that with the climate crisis we are now facing, pollution cannot be cheaper. Pollution must become more expensive in the years to come. The representative Heggelund will also see that SV proposes far more in its budget than the government parties do, which corresponds to its increase in, for example. the charge on petrol with an equivalent reduction of second places. Then it is that the red-green parties have previously cooperated well on important climate policies. I dare remind the representative Heggelund that one of the most important climate measures Norway is behind, the effort to preserve the rainforest [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2019-12-04.ana.ud111e681	There was no answer to the question at all, and I just want to say, ‘worked well’ – ‘good’? It's clear that I don't know what that word means, because it wasn't my impression of the climate cooperation that was in the red-green government. On the contrary, it is the bourgeois majority that has strengthened the climate policy of Norway for six years. But then the representative Lars Haltbrecken says that it is not relevant for him that the price of emissions goes down. He wants the price of emissions to be higher. Let me now ask the question as follows: Is there an ultimate demand from the Socialist Left that the CO 2 tax, the price of emissions, should be raised in any red-green government? How, then, has he intended to deal with the disagreement with the Workers' Party and the Centre Party? Is that an ultimate requirement?
ParlaMint-NO_2019-12-04.ana.ud111e694	I must say, I am amazed that the representative Heggelund can stand here and claim that the bourgeois government has strengthened climate policy, all the time that has been spent with steady hand in breaking the climate goal that Norway set itself in 2012. We have also heard earlier in the debate today that the representative Heggelund has tried to blame the red-greens for this breach, but I dare remind the representative Heggelund that from 2012 to 2019, the Solberg government has been in power for most of the years. The red-greens sat with power only one year after this climate agreement was concluded. So the answer to the challenges faced by the representative Heggelund is both to increase the price of pollution and, at the same time, to redeploy the tax system, which means that the poorest come out better. [[President clubs]]
ParlaMint-NO_2019-12-04.ana.ud111e703	I ask that speaking time be observed.
ParlaMint-NO_2019-12-04.ana.ud111e708	Camera Haltbrecken and SV are clear in their climate exposure, and they should have all credit for that. Although there's a lot of talk about what's happening nationally, I think we agree that what will determine the outcome of the climate situation is what's happening internationally. The Paris Agreement provides that large emitters such as China and India are not affected. It suggests that if growth continues for the next decade, until 2030, India and China will release 5,000 million tonnes more than they do today. The whole effort made by Norway and the EU will have reduced emissions by 900 million tonnes in 2030, i.e. one-sixth of what China and India are responsible for. What will the representative Haltbrecken do to address this?
ParlaMint-NO_2019-12-04.ana.ud111e715	Fortunately, both in China and India, we now see an increasing commitment to cutting greenhouse gas emissions. China announced yesterday's ambitious target for the sale of electric cars at the expense of fossil cars. One might say that China is trying to follow Norway. I am not in doubt that the developments we have seen in China with more focus on clean energy will continue in the years to come, but I am also not stranger to the fact that we are going to be involved in setting emission requirements also to the rapidly growing economies, so that they get more stringent international commitments on emissions cuts than they have today.
ParlaMint-NO_2019-12-04.ana.ud111e720	First for biofuels: the representative rotates a little bit with models here. First he praises the government for presenting a model that will phase out palm oil, and then he criticizes them to revise it. The revision consists of raising the incorporation requirement from 20 to 25 pst. We're tightening it up -- there's going to be more biofuels on the tank. The only change is that we're postponing the introduction to 1 July. What is my question is why SV does not want to use international cooperation, particularly with the EU, as a major instrument in climate policy, nor does it specifically mention private business. I think SV gets very little out of their tax increases, and that they prevent business from contributing, because it is those who will become a big player here. Next week, the EU will launch its European climate bank, and capital will become an important part of it. What will SV do to speed up the green shift in business?
ParlaMint-NO_2019-12-04.ana.ud111e727	I must first comment on my criticism of the government's biofuel policy. It is quite right that I said that the imposition of user charges would help prevent palm oil from coming on the tank. The problem is that the government abandons it and increases the sales requirement without requiring that palm oil cannot be sold within the scope of the marketing requirement. And that's the whole problem. Without making such demands, we can increase the sales of palm oil next year. SV has been at the forefront in order to ensure international cooperation against the climate crisis, as opposed to, for example: one of the government parties with which the representative Kjenseth governs, the Progress Party, who voted against Norway joining the first international climate agreement, namely the Kyoto Protocol. So to the question of business. Yes, SV is involved in making demands, among other things. in public tenders, to ensure that industry is able to develop zero-emission solutions and that they are put into service.
ParlaMint-NO_2019-12-04.ana.ud111e736	The cord shift is over.
ParlaMint-NO_2019-12-04.ana.ud111e741	Of all the technical debates we have during this state budget debate, it is the best and most important one for the Committee on Energy and the Environment. I would like to thank the Committee for its good cooperation. I would also say that what's good to notice during the debate is that we have a common understanding of what are the major challenges. Climate change is here, we are in more extreme weather, and other places in the world are already so that people live their lives in flight because of the climate change that happens. Biosystems are collapsing, and we are forced to pursue an offensive policy where Norway takes an offensive role in being able to prevent and limit the climate change that is, as much as possible. The bottom line is that we manage our Earth's resources today, and that we have a great responsibility to give the generations that come after us a good value to take care of, but that we also have a responsibility for those of our fellow human beings who today live in the parts of the world where climate change is more severe than here, and where they have less resources to cope with the changes that are coming. The most important thing that has happened now is that the vast majority of the parties on the Storting have taken important steps to make sure that we can do more to ensure the global climate. First, Stortinget has done a lot of important work on the framework for this debate, when we set up a climate law that makes the debate on Norwegian greenhouse gas emissions the dominant one on the day when the state budget is presented. And perhaps even more important is when the vast majority of the parties in this room are committed to reducing greenhouse gas emissions in cooperation with our neighbouring countries, both in the quota and non-quota sectors. Now that we have that agreement at the bottom, we can define measures and content at home, but we need to reach the climate targets through a mandatory common regulatory framework with our neighbouring countries. That's good. The rules I think might be going to debate in this room, because often it's a bit like this in the climate debate that one agrees on it and on the goals, and then there's a little bit more tension in the team when one comes to the concrete policy that this actually ends up in, and one sees what the consequences are. The big test we get when Norway receives a climate budget for emissions from individual sectors from 2021 to 2030. The budget that we have to deal with today is a step on the road. Despite the fact that we're not yet in the goal, the projections are going the right way. Many important steps have been taken in Norwegian policy this year, followed by this state budget. Nysnø gets 700 million. kr more, there will be a collective effort of 1.2 billion. kr and a railway bet of 1,1 billion. NOK 100 million. kr shall also be used for the start of electrification of the Trønderbahn. The CO 2 tax will be increased by 5 pst., and the level of CO 2 emissions has doubled from 2013 – at that time it was 229 kroner per tonne, now it is 544 kroner per tonne. One has a green shipping action plan of 100 million. kr in this State budget. The zero-eject fund is up to a billion, and perhaps even more important: from our common wealth in the state pension fund abroad, 80 billion has been withdrawn. kr from the oil and gas company of upstream. When, in addition to increasing climate aid and CO 2 management, we go too far – with the government's permission to start drilling from the previous time we had the budget debate, in the revised budget – it shows that one comes up with new measures, which are also the basis for climate projections going the right way, if they are not yet in target. Climate change mitigation efforts must also be complemented with efforts to improve climate change adaptation. The climate change that is, is already happening to us today, which the events of Christmas this summer was a powerful reminder of. It is important that we follow-up with high-perceived loops for both flammability and shear protection, which are sorely intruded. The debate around us also shows that we have neighboring countries who want our part of the world to go ahead, while the rest of the world now limps after and creates insecurity and disintegration in climate change. At this time, they're gripped by Norway over these years, more important than ever. We're in the front line, but we're not in the target, because we're going to do even more, and I'm proud of the budget that's being presented and that we're now debating.
ParlaMint-NO_2019-12-04.ana.ud111e767	It's going to be line change.
ParlaMint-NO_2019-12-04.ana.ud111e772	The Christian People's Party has a proud environmental history and has been concerned with both contributing internationally and setting itself clear national goals, but after the Christian People's Party has taken sides and has gone into government with the Progress Party, there is not much left to trace of that commitment. One would think it was due to compromises with the Progress Party, but what we've seen in the last six months is that it's mostly because of them themselves. The leader of the Christian People’s Party gave a speech earlier in the fall when he spoke of threats to human dignity. He started talking about right-wing extremism and ended up talking about the environmental movement. My question to the representative Storehaug is whether he agrees with his party leader that the environmental movement is one of the major threats to human dignity in Europe.
ParlaMint-NO_2019-12-04.ana.ud111e779	We've had a few weeks behind us now where pulling up strawmen has become something that most people have criticized others for doing. The problem with strawmen is that they take a very fast light, and the agent Aukrust now does, is to contribute to a strawman. Because I have heard the speech Kjell Ingolf Ropstad held to his national government, where he did not talk about the broad environmental movement in Europe, but where he talked about individual elements. We have also seen it in this Chamber in debates that the Storting itself has had, when one has climate demonstrators who link themselves firmly in the main hall and who say that democracy and human rights are subordinate to resolving the great climate crisis that is. It's a concern that we have to take seriously because we're going to solve climate change, and we're going to do that within the framework we have. With democracy and human rights at the bottom, we can do it.
ParlaMint-NO_2019-12-04.ana.ud111e787	Like us in the Central Party, the Christian People's Party has been concerned with the smoothing of network rentals, and during a debate directed by KS on Arendalsuka this summer, there was a cross-political agreement that the smoothing of network rentals was desirable, and now there is the government-appointed investigation on the matter. But the investigation bears the mark of not having any conclusion. At best, we might be able to interpret it so that there are larger transfers of the state budget that need to be made. Does the Christian People's Party want to continue to work for a model that is independent of annual, slightly random appropriations from the state budget, and does it agree to create a more equal and predictable model that provides good framework conditions for its stream subscribers?
ParlaMint-NO_2019-12-04.ana.ud111e794	The representative Myhrvold has an exemplary involvement in this matter, which I think is an important reminder that the Christian People's Party also has good allies in the opposition when it comes to getting a more equal web rental across the country. What was the challenge in the past years, when one had a promise of the state budget, was that she had a somewhat limited amount, and that she did not solve the challenges that were at the bottom. One has now received a review, which has been carried out by the RME, and which is now listening, and I will not mean too much about it. But let me say that I agree with the representative in his earlier point that it is the political implementation here that is important, and there we have a government statement in the bottom which says that there should be measures to ensure a more equal web-sleep.
ParlaMint-NO_2019-12-04.ana.ud111e801	Instead, the representative Storehaug knew a wind in the staging room from a mantle that turned. I also know a wind like that, but from the other side. Perhaps the representative Storehaug can clarify, because last year the Stortinget, on the initiative of the Christian People's Party, agreed, among other things, that the government should take action against the use of biofuels based on palm oil. The representative of Storehaug can now have the opportunity to stop the wind from the other side by telling us what measures the Christian People's Party and the government intend to come along to ensure that palm oil-based biofuels are not sold within the increased sales requirement that the government has announced.
ParlaMint-NO_2019-12-04.ana.ud111e806	Some of the things that have often been criticised after we got a plural government, are going on that one was afraid that all the things that came from the government were just going to be settled on autopilot. The representative Haltbrecken was on the same ring as me, where there were good arguments that showed that the sales requirement from the government of 20 p.m. was due to be fulfilled last year. This means that Norwegian emissions from the road sector alone would have gone up a lot if one hadn't taken the grips that the four parties now have. I'm proud that we can make the kind of correction when there's new and good information to it. And then we've put in place maybe the most important thing to get control of Norwegian biofuels and what kind of biofuels are being sold, and we're avoiding a part of it with a high deforestation risk when we're now introducing the user fee, which means that it's the part that's within the sales requirement where the state actually demands, that becomes competitive, and that we meet when one also has a higher sales charge. And then we don't get the fasit that we can rule out everything before the numbers are reported in the next year.
ParlaMint-NO_2019-12-04.ana.ud111e811	Unfortunately, good intentions do not cut emissions; they do. I'm also excited about the good atmosphere in the hall, but it doesn't make sense to agree with the intentions if you don't take action on the table. The figures speak for themselves, and there are two major emissions sectors in Norway. It's the oil and gas sector, and it's the transport sector. In the transport sector there should be 5 pst. increase in the CO 2 tax annually, which is the main measure of the government to reduce emissions. Unfortunately, the Christian People's Party, when they have joined the government, has agreed that when the increase is to be made through the petrol and diesel tax, it should nevertheless be compensated, so that the pump price is exactly the same. This means zeroing out all the effects of climate policy on one of the major emissions sectors in Norway. How can the Christian People's Party accept that?
ParlaMint-NO_2019-12-04.ana.ud111e819	I think we are delivering good policies on both the two major sectors that the representative here is taking up, for example. when we have now been given the license to a large sea wind farm that is just going to go in and make sure that we remove a part of the gas generator that is on the Norwegian base and replace it with renewable power. It shows a grip when it comes to oil and gas. Then it is quite right, as the representative says, that the Christian People's Party has not been impressed by its primary policy on pump price in what is in the government statement. But I think this is such a debate where I also think we should talk with consent, because today, when you look at the number of people in electric car queues in Norway, the problem with the Norwegian car park conversion is not that there are too few who want to switch to a renewable option. The problem is that one has not yet received fast enough deliveries and car models that ensure that we can meet all the needs we need by 2025. So I think we'll talk with consent in that way.
ParlaMint-NO_2019-12-04.ana.ud111e826	The cord shift is over.
ParlaMint-NO_2019-12-04.ana.ud111e831	As many have been in the past, this year has been marked by the climate and natural crisis. In March, 40,000 young people demonstrated for a more radical climate policy, and young people have fought many times, both in Norway and in the rest of the world. For the first time, Norwegian voters believe that climate is the most important political issue, and yesterday, the Language Council ‘climate brews’ became the new word of the year. We can emphatically say that the climate issue has become a movement of people. The difference between good and bad climate policies is the pace. When the government is challenged by the fact that emissions are barely falling, they respond to their plans for emissions reduction in the future and that there will soon be another action plan to solve everything. Today, the Global Carbon Project launched its annual analysis, which shows that CO 2 emissions are expected to rise in 2019 because the use of oil and gas shoots in the weather. Since 2012, natural gas has been the main cause of the growth of global CO 2 emissions, despite the fact that renewable energy is a far more efficient way of producing electricity and we have available technology. One important reason for this is that fossil energy production continues to be heavily subsidized. The Norwegian climate barometer, which was presented barely a week ago, had several findings that the government should notice. 44 pst. the voters believe that more money has to be allocated to climate action. The Greens are going to spend 20 billion dollars. kr more than the government on climate in our alternative budget. 59 pst. Of the voters, we think politicians are doing too little to cut greenhouse gas emissions in Norway. The Greens will cut the emissions by 60 pst. By 2030, and we show through emission plans how it works. 10 pst. by the voters, the government will cast a cube 1 for climate action. Most voters agree with the Greens in climate policy. Norwegian climate barometer also shows a strong increase in skepticism about wind power on land. We've noticed that, especially in the last year. At the same time, the digestion of offshore wind power is increasing. It's exciting thoughts. The world must halve greenhouse gas emissions by 2030 in order to limit heating to 1,5 degrees. According to the Intergovernmental Panel on Climate Change, huge amounts of new renewable energy are needed to achieve the target. The International Energy Agency, the IEA, believes that sea wind will be among the most important renewable energy sources in the world in the future, not least in Europe. The United Kingdom has set a target of 30 GW sea wind on the pedestal by 2030. It's about 100 TWh, which is the adopted target of the Greens. That is why we are proposing to establish a sectoral agreement for marine wind according to a model from the United Kingdom. The same competence, the same people, that today delivers to Norwegian pedestal, can continue to deliver to Norwegian pedestal, but then we need the government also to bet properly and not waste the opportunity to bet seriously on safer jobs in sea wind. The Green Party shows in its alternative state budget how we can cut emissions by 60 pst. by 2030. In addition to sea winds, where we stand out with more ambitious objectives than anyone else, the Greens are putting heavy emphasis on natural and climate action. We are doing three major steps that really contribute to emissions cuts, two of which relate to chapters for which the Committee on Energy and the Environment is responsible. We use the environmental tax and tax exemptions to make it easier to choose environmentally friendly. We remove the oil subsidies, including the exploration fusion scheme, which will reduce investment and also gradually reduce oil sector emissions. And we're going to spend a total of 20 billion dollars. kr more than the government of climate action. The 20 billion. For example, we use kr. to electrify shipping, to establish 1 000 new high-speed charging stations for electric cars only in 2020, to strengthen carbon capture and storage, to establish a highly dependent climate fund for agriculture, and to propose a population pool for the climate, where private individuals can apply for subsidies to reduce their climate footprint. Support may include, inter alia: go to energy efficiency improvement at home or to electric bicycles, which we too many see replacing the car. Even Equinor acknowledges that revenue from the oil and gas industries will fall sharply in the coming years. It is becoming difficult to understand that the government is still clinging to the oil platforms instead of focusing more on renewable energy, the living renewable natural resources that Norway has, and everything else we will live on in the future. With that, I take up proposal No. 14th @item: inlistbox
ParlaMint-NO_2019-12-04.ana.ud111e860	The representative of Une Bastholm has taken up the proposal she referred to. It's going to be line change.
ParlaMint-NO_2019-12-04.ana.ud111e867	Thank you very much for your article. I believe to remember that the Greens/Greens/EFA proposed in June that 65 billion be transferred. kr annually to the UN Green Climate Fund. Not too long ago, there was a big headline in the evening post, with a double side and everything, where the Greens said exactly the same thing: it was going to be 65 billion. kr annually to the UN Green Climate Fund. That's $65 billion. In the Environment Party, the Greens' alternative state budget? They're not there.
ParlaMint-NO_2019-12-04.ana.ud111e876	We have been clear all along that we believe it should be taken from the oil fund, which is otherwise to another committee. This debate shows me very clearly that there should be more representatives than the representative of Tore Storehaug and me sitting on both the Committee on Energy and the Committee on the Environment and the Committee on Finance, because it would have helped to achieve the overall focus on the environment and climate in Norway. The 65 billion. As I said, we are financing from the oil fund. The oil fund today is growing more in the returns we have from investment than it is growing from fresh money from the base. And that doesn't mean that we're saying that it's going to be $65 billion. kr every year in the future, but right now we are in a situation where I don't believe that all the 65 billion. kr would rather have been inside the UN Climate Fund, but for climate aid, we say. Much of it should go into the UN Climate Fund because we are waiting for Western countries to make their promises and show that they have faith in that fund and to contribute to poorer countries' investments in both climate protection and climate solutions.
ParlaMint-NO_2019-12-04.ana.ud111e884	It is a useful clarification that the Greens have redefined that not all 65 billion. kr shall enter the UN Green Climate Fund. We double the effort there, because we think it's also important, but at the same time we want to control how the funds are used. We will also be able to spend money on things other than that in international climate work, and that is why we are also strengthening that effort in our budget. But the 65 billion. kr from the oil fund is not to be found in the alternative budget of the Green Party – not in the budget of that Committee, not in the budget of the Financial Committee. We checked it at the latest, and the 65 billion. kr is not to be found, but they may come one day. But then I'm wondering about possible future government cooperation, because it's not like the Greens have an alternative budget similar to some of the red-green parties' budgets. For example, for the Greens, it will be. an ultimate requirement for the Workers' Party and the Centre Party to increase the price of emissions?
ParlaMint-NO_2019-12-04.ana.ud111e893	First of all, of course, we're going to use the $65 billion. kr from the oil fund, but the representative Heggelund also knows that it is not made visible through government budget items, because it is just directly from the fund. It is a radical proposal that I want a debate on, but it is not a problem that we do not make it visible, because we make that quite clear. I'm a little worried that such a big focus from the government parties' representatives is now about an alternative potential cooperation from 2021, all the time we know that the government is so poorly placed now to do the cuts needed in the 2020 and 2021 state budgets to be able to get on track at all for its own promises, to the EU, to the world society and to the Norwegian people. I would encourage the representatives of the government parties to be a little less concerned about whether there is any alternative to yourself, and be a little more concerned about what they themselves are doing to cut emissions already in 2020.
ParlaMint-NO_2019-12-04.ana.ud111e900	Biofuels have been an important investment for the government and an important measure to reduce climate emissions and gradually phase out fossil fuels. The challenge with this investment is, of course, the use of palm oil. There is a cross-political consensus that we want to get rid of all the uses of palm oil, and we even have a reduced bet to make it less attractive to use palm oil. Then I read in the Financial Institution's proposal No. 21, from the Green Party, which says that they want the government to ‘reverse the introduction of the excise duty on biofuels outside the placing on the market’. Does this mean that greenhouse gas reduction is so important that the Green Party does not care that rainforest is being cut down, or as SV would say – that you run with an orangutan on your mind?
ParlaMint-NO_2019-12-04.ana.ud111e907	Proposals have already been made for criteria on how to silage biofuels with a high risk of deforestation. We believe that Norway must start applying the criteria, even if they are not formally introduced and yet imposed, and start charging fuel that we believe has a high risk of deforestation. Increasing the sales requirement, i.e. increasing the requirement for the amount of biofuels around Norwegian tanks before you are absolutely sure that it is not palm oil, or whatever kind of biofuel it is – if it has a high deforestation risk, we know that we are throwing the child out with the baby water – can even lead to more emissions than we want, even if it does not enter the Norwegian accounts. Therefore, we propose to reverse the turnover requirement and reintroduce the tax exemption on biofuels, but, of course, impose strict requirements on what that biofuel should be.
ParlaMint-NO_2019-12-04.ana.ud111e914	I don't know if I completely understood that answer. When the problem has been that a user of palm oil in the biofuel, I would expect the Green Party to have put the lead in its proposal that showed that one supported that policy. When the Environment Party of the Greens is now only calling for the reversal of the imposition of the user charge for biofuels outside the placing on the market, will the representative not see that the risk of increased use of palm oil is greater than that of the government proposal?
ParlaMint-NO_2019-12-04.ana.ud111e919	I believe, for some reason, that the representative is confused, that much of this is in the financial committee's position on the budget. We voted there, for example. in order to reverse the imposition of the tax on biofuels outside the placing on the market requirement and we voted not to grant a tax exemption for biofuels with a high deforestation risk. So the Green Party is quite clear. I am more uncertain about what the government's position is now, because I feel that there has been a great deal of achievement in getting biofuels to become the solution to bring down the emissions from the transport sector, as it is difficult to use the charging system in the most rational, logical and obvious way: to charge high emissions of petrol and diesel more and make it easier for people to choose electric cars by rolling out charging stations, which the government still has on the conscience not to have done. What the government's solution here is, remains to be seen, for now it has been postponed to June. I am deeply concerned that the government has become so paralysed because of internal disagreement that we do not get proper emissions cuts from the transport sector.
ParlaMint-NO_2019-12-04.ana.ud111e926	The cord shift is over.
ParlaMint-NO_2019-12-04.ana.ud111e931	The world is facing three major challenges in the next decades: we need to cut emissions quickly to keep global warming down to 1.5 degrees, we need more nature, and we need to develop a global market economy within nature's resilience. In the government's proposal for a government budget, we are taking important and necessary steps in all three areas. In 2030 greenhouse gas emissions shall be reduced by at least 40 pst. from 1990 levels in cooperation with the EU. The government has also set a target of 45 pst. in the non-quota sector, and we are actively working together with the EU to strengthen the climate targets to 55 pst. The government has presented in the State budget an overall strategy to promote long-term low-emission development in Norway. In the strategy, the government announced inter alia: that we will strengthen the climate targets in 2050 to 90-95 pst. Cut, cut, That means that almost all fossil emissions must be cut from the engine case to the cruise ship. The 2020 state budget contributes to a greener, more modern and safer Norway, speeding up the green transition and contributing to reduced emissions and new green jobs. Taxes and taxes are the Minister of Finance's table, but I would like to point out that one of the most important things we do to cut emissions is to set up fiscal policies in a better and greener way. We therefore start in the year's budget the escalating of the CO 2 tax by 5 pst. increase and forecasts further increase towards 2025. We also remove important exemptions for the CO 2 tax for fisheries and industry other than those currently in the quota system. The government is strengthening the green shipping effort by 100 million. kr for speedboats and cargo ships. This is a follow-up to the Green Shipping Action Plan presented by the Government in June. The initiative is an important contribution to achieving the objective of halving greenhouse gas emissions for domestic shipping and fishing by 2030. By 2030, we will also halve emissions from industrial transport, and we propose to strengthen the Zero Emission Fund and Enova's commitment to zero-emission technology in maritime and land transport by 50 million. kr. Since this aid scheme of more than 1 billion. kr came into place in August, Enova has given an undertaking to support more than 3000 electric vans. Knowledge is essential for conversion, technology development and successful climate adaptation. We are therefore strengthening research in the area of 35 million. kr. The government also strengthens Diffi by 5 million. to work on an action plan to increase climate and environmental public procurement and green innovation. In the Granavolden platform, we state that we will increase support for climate finance. In 2020, the Norwegian contribution to the Green Climate Fund will double from 400 million. SEK annually to 800 million. kr for the period 2020-2023. In 2019, climate and forest activity increased from 3 billion. DKK to SEK 3.2 billion. kr. This increase continues in 2020 and is planned to increase funding for climate adaptation in 2020 as well. The government is pursuing an offensive policy to contribute to a green transformation of the Norwegian economy where we also take care of nature. To take care of our livelihoods and cut emissions, we depend on more nature in the years to come, not less. We must have good status in ecosystems, prevent loss of species and habitat types and protect a representative selection of Norwegian nature. The government therefore strengthens natural and outdoor diversity measures by 76 million. kr. A large part of the money is going to take care of the nature that is most threatened, to restore rivers and streams and to better manage the protection areas. Norway has a special responsibility to take care of wild game and wild game. The initiative also includes measures to take care of them. In addition, forest protection is maintained at a high level. We continue our efforts to combat marine pollution, including: to strengthen Norway’s international leadership role in this work. The grant scheme for the clean-up of marine waste and for preventive work is continued at around 70 million. kr. The work to clean up contaminated seabed in Horten port started this year and continues in 2020. Total State aid for this clean-up operation is estimated at 90 million. kr. Norwegian greenhouse gas emissions are a small part of global greenhouse gas emissions. That is why we are not just going to cut Norwegian emissions; we are going to develop solutions to be used by others, and also to contribute to global emissions cuts. Norway must take a leading role and show the world how it is possible to cut emissions while maintaining a safe, free and modern welfare society. Now, luckily, progress is in the right direction. Norwegian greenhouse gas emissions fell in 2018 for the third consecutive year and are at their lowest level since 1995. The involvement of the civil government in electric cars, new river ferries, more environmentally friendly biofuels and the phasing-out of oil fires are some of the measures that are now producing results. We must continue this effort to speed up emissions in the years to come.
ParlaMint-NO_2019-12-04.ana.ud111e971	It's going to be line change.
ParlaMint-NO_2019-12-04.ana.ud111e976	The right-wing parties have had a majority in this Chamber since 2013. In 2013, they promised to strengthen the climate agreement. Since then, Ola Elvesuen has been one of the most important environmental politicians in the right party, and now we know the answer – during a month before the calendar shows 2020: it didn't become a reinforcement; it became a disaster of those goals. What does Ola Elvesuen think is the main reason why his project has failed in strengthening the objectives of the climate agreement?
ParlaMint-NO_2019-12-04.ana.ud111e984	Climate policy is undoubtedly strengthened. It's just to look at the areas where Norway is at the forefront. Look at the electric car results of over 40 pst. Look at what we were criticized for in 2016: a blending requirement for biofuels up to 20 pst. as quickly as in 2020 – now we see that we succeed. Look at what's inside of green shipping, with 50 pst. emission reduction up to 2030. There are 70-80 elf ferries now on their way into the system, and speedboats are coming. But these have to be built, and the technology has to be put into service. Many of the measures taken in recent years will be seen to be effective from the beginning of the 2020s, when they are actually implemented. We have also reached agreement with the EU on a common objective by 2030. It would never have happened without a civil majority, and we're going to present the plan on how to achieve the goals there, until next year.
ParlaMint-NO_2019-12-04.ana.ud111e989	That was a strange answer, because the climate agreement is not primarily about instruments. It is about the objectives – how we should actually achieve what was Norway’s ambitions. The climate is not saved by various instruments. It is saved by what is actually the result of this government's policy, and the result of this government's policy is that emissions have not fallen, as Ola Elvesuen promised in 2013. Therefore, I try again: Why have the emissions figures not been in line with how Ola Elvestuen said he would strengthen the objectives when he went to the elections in 2013?
ParlaMint-NO_2019-12-04.ana.ud111e996	Emissions and policy choices also have long-term consequences here. Consider getting this question from the Workers' Party when it is known that what distinguishes Norway from our neighbouring countries, is the large increase in the petroleum industry during the 1990s and early 2000s. I guess no one gave more gas in that development than the red-green government in the eight years. These are things that we still have with us. We now need to be able to have measures that allow us to collectively reduce emissions. We are able – and have been able – to reverse developments in transport. So far this year, petrol and diesel sales have gone down by 4 pst. And then blending biofuels comes in as well, and we're all in the front line in the transport sector. But we need to put in place more technology developments not only to lead here, but also internationally, to compensate for the increase that has occurred in the petroleum sector.
ParlaMint-NO_2019-12-04.ana.ud111e1003	You can see that Ola Elvestuen is desperate and doesn't have answers when he owes it to the red-greens. Now he's been a State Council for two years, and he's been the most important environmental politician on the right-hand side for six years. The result is that he has not come to an end. He cannot owe that to anyone other than his government partners, if any, because he has not made it clear. I understand that I do not get an answer as to why he believes that we have not reached the goal – except that it is the red-greens' fault. Then I will ask him another question, which is about the same thing: When Ola Elvestuen understood that we were not going to achieve the objectives of the climate agreement, and why did he not then come to the Stortingen to explain or present more policy, so that he could be responsible and do the job he was set to do – namely to achieve our objectives?
ParlaMint-NO_2019-12-04.ana.ud111e1010	I'm just telling you why we're there. Clearly, for many years parties are responsible for that outcome. Every year, we have come to the Stortinget – both in negotiations in the Stortinget from 2013 to 2018, with budget proposals and consensus there, and now with strengthened policies from the government in the budget, in agreement with the EU, on how to strengthen efforts towards 2030, and also strengthen the international responsibility that Norway takes, where we are also in a leadership position.
ParlaMint-NO_2019-12-04.ana.ud111e1015	The government budget of the Ministry of Climate and Environment states that in order to increase the brown bear population up to the stock target, the government will provide evidence that areas with a known presence of bear pens must be given priority to the bear until the national stock target is reached. This is, in the opinion of the Centre Party, a clear breach of the agreement on predators, which clearly leads to the introduction of evisceration in pasture-priority areas, even if the stock target has not been reached. My question to the Council of State is whether there is agreement in the government on this formulation, or whether the Department and the Council of State here have carried out a small labour accident.
ParlaMint-NO_2019-12-04.ana.ud111e1020	It is in the predatory game likeness that one must follow the two-part goal, and that one must also achieve the goals set, and there we are far below the bear. This implies the same thing as the majority has written in its remark – that even if you have a priority, there will be an assessment in the individual case, as it has been before, whether there will be withdrawals, relocations or that they will be where they are.
ParlaMint-NO_2019-12-04.ana.ud111e1025	I hear what the Council of State says, but with the wording contained in the State budget, it means, in practice, that the administration of bears will be extended. This will have major consequences for Trøndelag, which has experienced great losses to predators in recent years. My question goes back to the Council of State: Do you mean what you write in the State budget that there should be no possibility of taking out a bear in areas where there are bear bins?
ParlaMint-NO_2019-12-04.ana.ud111e1030	Yes, it's a priority, but at the same time it'll be an individual assessment, which I've blacked out several times on direct questions, and which is also underlined by the majority of the committee. Then there is a separate process in the Roofing Wildlife Region of Trøndelag and Møre and Romsdal, where they acquire new knowledge together with the Environment Directorate to see the appropriateness of the areas that are priority areas for bears. The area of the bear has been restricted by the predatory game name before. It's also a separate process in region 7, Nordland, which is located in the department, to look at the predatory areas for both bear and yerv there. There will be a decision of my own, and I will return to Stortinget in an appropriate way with it.
