ParlaMint-NO_2019-03-13.ana.ud100e28	The representative, Martin Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e555	State Council Dale shall answer this question.
ParlaMint-NO_2019-03-13.ana.ud100e560	At first, I think a lot of people know what it's like to be responsible for the regulation and follow-up of a sector where many families miss their closest every year, either heavy-duty or passenger car traffic. It's a responsibility that weighs, but it's not the important thing here. The important thing is all those who are left and feel that they have nothing to miss. Nevertheless, too many people do. So I want to express both sympathy and sympathy for all those debts, and understanding of the frustration you experience when an innocent person ends up in such a situation. It's the worst thing that can happen to us that something is happening to our closest. I have great respect for that. That's why what we're so concerned about is that we're going to do a lot of important steps to strengthen road safety work. Because of this, we have increased control of heavy-duty vehicles significantly. Therefore, we use almost all of our supervisory capacity in the follow-up to the trucks. Luckily, the number of trucks is falling. It will help very little those who will still be frameed. Therefore, we also look at stronger regulations, on tightening regulation, on sharp demands for winter tyres – which were not at all when we came into government in 2013, which it has been, and which we look at further intensifications of. I wish I could tell everyone that we are not going to have accidents on the Norwegian road in the future. Unfortunately, I can't do that. But I can say that we should do what we can to have control and supervision and to make sure that the trucks that are on the Norwegian road are spared for the conditions that we have here. We will continue to do that in the years to come.
ParlaMint-NO_2019-03-13.ana.ud100e571	The figures are clear: there are three times higher risks of getting involved in accidents involving foreign vehicle combinations than with heavy Norwegian freight cars, according to TØI. Mutual evidence has been provided that in eight out of ten accidents involving vehicle trains, the non-resident wagon train driver was on the other side. What Ramona Lind requires, what many in Norway require, and what we in Red require, is that we have to get a check on these cars at the border. It will cost money – a fraction of what the government throws away on tax bills for the richest, but it will cost money. We require that, and we also demand that those who benefit from the cheap transport – that is. carriers, transport companies, transport buyers – shall be liable to penalties and penalties when it is found that they have paid too little, or have speculated about having too cheap transport. What does the Council of State think of those measures?
ParlaMint-NO_2019-03-13.ana.ud100e578	I think we need to have a number of measures if we are to have effective control and supervision on the Norwegian road, including heavy goods vehicles. This means, for example: are significantly more frequent controls of winter tyres and chains on the border, and customs now cooperate more closely with the State Road Service in order to enable them to carry out that type of controls. That means that when the car stops for customs clearance, we get checked anyway. The problem is that it has proved to be bigger challenges than that, so we have to control more places than just on the border. Take, for example: the driving and sleeping time characteristics. For a driver who has been in Norway for one week, it is decisive that we can also stop the running gear at any point in Norway, make sure that one keeps running and sleeping time, and that one is not affected by alcohol, which means that we have effective control in all parts of the country. We're going to keep escalating, and we're going to do it in conjunction with the transport industry and the purchasers of transport services. [[President clubs]]
ParlaMint-NO_2019-03-13.ana.ud100e585	The number is out. Kirsti Leirtrö – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e592	This is a serious matter. Thousands of foreign car combinations collided with drivers on Norwegian roads last year. In 80 p.m. of the cases, the driver was responsible. We in the Labour Party have proposed a number of measures – which have been voted down – for a more serious transport sector. We believe it must be so strict that those who come here have everything in order for Norwegian relations. In addition, the share of goods on the road has increased and will increase. We have residents who do not dare to drive on our roads, and the transfer of goods to the track is cancelled. The transport industry wants Nordic cooperation, and it's urgent. What kind of measures can bring lasting effect is the government planning now — not least in cooperation with the countries around us?
ParlaMint-NO_2019-03-13.ana.ud100e599	There are a number of actions. One of them is that Norway has worked for a long time to introduce winter skills requirements – including across the EU – that allow drivers running into Norway with goods from Europe, which is totally dependent on Norway, to be more competent to run on our roads. It's coming. That's good. It's an important and correct step. Sharpening tyre equipment requirements is another. The general policy we are implementing is, in fact, to keep up with our better – several middle parts and better developed – also reduces the risk of meeting accidents, which is the main challenge for heavy car transport. All of us who work on this have probably the common layer that we really need to find several different actions in many parts of the transport sector in order to close down, and the government is going to contribute to it.
ParlaMint-NO_2019-03-13.ana.ud100e607	Siv Mossleth - for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e612	The fright is that someone should meet a trailer across. We in Stortinget have a zero vision, a vision if no one killed or seriously injured in traffic. When foreign heavy goods transporters have two to three times the risk of accidents than Norwegian drivers, we think it is very important to have experience and expertise in driving on Norwegian winter roads. We would like to take Europe as a whole, but I think the most important thing now is to stop drivers without competence on the Norwegian – and the Norwegian – winter roads. We don't have time to wait for the whole of Europe. We have the difficult driving conditions and a lot of loads, so we need to get that in place in Norway right away. And I think, what has been done to enforce the responsibility of transport buyers?
ParlaMint-NO_2019-03-13.ana.ud100e617	Transport buyers have a look-to-see obligation to comply with the carriers from which they deliver. I have recently had several meetings with many of the people who buy transport services. They point to several things that they can do, and will do, to strengthen their own control of it. However, we know that part of the transport service operating in Norway does not have a source in Norway. She is based on the fact that Norway is a country that needs trade to get the country to go around. We import many of the goods we need in the day to day. That means there are foreign carriers coming in. Therefore, the legislative design that we are now bringing to the EU, the demands that we make to the EU, is a significant contribution to increasing the competence of drivers who are going to Norway. Then a continuation of the checks, we have to carry out effective, risk-based supervision all the time, so that we can stop those vehicles that don't have anything to do on Norwegian winter roads.
ParlaMint-NO_2019-03-13.ana.ud100e624	Let's go to the next main question.
ParlaMint-NO_2019-03-13.ana.ud100e629	We have hard things to tell; we need more time to tell what's on our hearts. It said a child with experience that we just met. My question goes to the Minister for Children and Family Affairs. The #heierna campaign believes that employees are important for quality. The children’s ombudsman believes it is important, non-profit institutions and the children themselves believe the same. Several employees are needed. ‘I understand that they want more employees. But the government will continue to give priority to quality, foster home and prevention." It was an Erna Solberg quotation. This is impossible to understand in any other way than that more employees do not provide quality, and thus the Prime Minister is on a collision course with the children, the Children's Ombudsman and the #heierna campaign. Do the government councils for children agree with the prime minister or with the children, non-profit organisations, the Children's Ombudsman and the #heierna campaign?
ParlaMint-NO_2019-03-13.ana.ud100e639	Let me first thank you for a very important question from the representative Henriksen. I have a great commitment to vulnerable children, and child protection is extremely important to meet them in a good way and not least to prevent, so that families can ensure safe growth. I have registered that the Labour Party has had a great commitment to child protection and has also promoted its own proposal for a representative. I am very pleased about that, and I can promise the representative here and now that many of the proposals that the Workers' Party is promoting will be followed up by the government. I am also pleased that many more employees have been involved in child protection in recent years. From 2013 to 2017, there were 1,150 employees in child protection. I think it's important for more employees, and there was a higher growth under this government than it was under the previous government. What we've done has been to give the municipalities room to be able to hire. I sincerely believe that the municipalities themselves know best whether it is an additional health care provider or an additional child protection employee who is most important to prioritise right there and then. We both believe that this responsibility is still the responsibility of the municipalities. The representative refers to the reform of competences and the reform we have in the field of child protection. We are going to send a new Children's Protection Act to the hearing in a very short time. There I am just going to stress that one should strengthen competence, and that one should also make some organisational changes that I think will help one come in earlier and get better prevention efforts. The fact that local government, for example, getting a better overview of the situation in their local child protection service, I think it is extremely important for the priorities they do. And then we're going to be in with the County Council in conversation with the municipal administration and be close and follow up if there's a serious situation in the municipality in question.
ParlaMint-NO_2019-03-13.ana.ud100e650	I quote from the Christian People's Party website where it says: ‘The most important quality in kindergartens is that there are enough adults to care for the children.’ And last year, the Christian People's Party provided a budget victory for increased quality in school, with the introduction of a teacher's norm. But the Christian People's Party will not have a norm for the most vulnerable among us, the ones that child protection is supposed to help. So we can establish that the Christian People's Party in government believes that the proportion of employees is important in school, in kindergarten and for the children who are there, but not for the most vulnerable children in child protection. Let me, for once, establish the rewriting of reality by the government. The Manning Code was introduced by the Stoltenberg Government. The right-wing government has not put on the table a single penny for municipal child protection posts in any budget until now. What has given money to a few more child protection positions is the Christian People's Party in opposition. Now they've negotiated to power, and then this has disappeared. Can the Council of States confirm that this is the reality?
ParlaMint-NO_2019-03-13.ana.ud100e664	Let me first stress that I am just saying that the number of employees has a meaning, and that I am glad that there is a stronger increase in the number of employees in child protection under this government than it was when the Workers' Party was running. But I also have to say – if it is allowed to say so – that it is directly premature for the Workers' Party to go so high in terms of recruitment standards. If one reads the proposal for a representative of the Workers' Party, and I have been an opposition politician for eight to nine years, promoting various proposals, it says: ‘Instructive criteria for the standard of maintenance in the Child Welfare Service should be investigated.’ There can't be any more guards. But that's precisely because a standard of child protection personnel will not be equally accurate. Should one go by the number of inhabitants in the municipality? It's going to be demanding, because we know that there are different living conditions in different municipalities. Should one go by number of cases? It's demanding, because we just want more concerns to come up and more issues on the table, and if you do, it'll be an incentive for municipalities to bring down the number of concerns. We're occupied with manning, but we'll solve it in a different way than the Workers' Party wants.
ParlaMint-NO_2019-03-13.ana.ud100e676	There will be follow-up questions – first Kari Henriksen.
ParlaMint-NO_2019-03-13.ana.ud100e681	So it is that jobs have been put in place despite this government, and not because of it. We need more time, say the most vulnerable children, the #heians, the Children's Ombudsman and the employees. It understood the Christian People's Party when they were in opposition, but in the negotiations on government power, the Christian People's Party has now negotiated away the bet, and the Right and Advance Party seem to have obtained a veto right in this matter. The Christian People's Party believes that a standard is important for children in school and a certain number of adults for children in kindergarten. But for the most vulnerable children among us, that's not necessary. Why?
ParlaMint-NO_2019-03-13.ana.ud100e690	Let me again stress that there has been a higher growth in the number of employees in child protection under this government because the municipalities have prioritised it. It's because the municipalities are closest and know what the situation in each municipality is like. It's not like I can sit in Oslo as Minister of Children and know exactly what the situation is like in each municipality. That's why I, believe me, and at least most of the parties here agree that the municipalities are closest and know best what to prioritize. We are also going to work to secure more employees in the future, but I want to return the question to the Workers' Party. When they do not support a standard of manpower in their proposal and challenge me as to why we would not be in favour of it, I will challenge you back. What should be the basis for that standard of navigation? Is that the number of inhabitants, are there matters? It won't be accurate enough. That is why I am committed to giving the municipalities good space, strengthening the municipalities and trusting that they are doing the right priorities for better prevention and better child protection.
ParlaMint-NO_2019-03-13.ana.ud100e698	That question has to be answered on a later occasion, for the next follow-up question is from Åslaug Sem-Jacobsen.
ParlaMint-NO_2019-03-13.ana.ud100e703	Before the weekend, I received a refusal of grey paper from the Council of State after I had wanted him to come to Stortinget and tell them how he intended to address the major challenges in our child protection institutions, especially after the very fresh alarming report from the Health Authority where the county officials have revealed that it is over 60 p.m. Crimes in our child protection institutions – 60 percent! It is nice that the Council of State can come here now and tell us a little about how he intends to deal with it. But what also bothers me in the answer I received from the council in writing was that he did not think it was problematic that there was such a big difference between what the new report shows, 60 pst. offences, and Bufdir's recent report, with no crime. No one! How's it going? So I have two questions: how in the world are we going to deal with the big problems that the latest report found, with 60 pst. deviation? But also, how can the Council of State make sure that Bufdir has a proper overview of the situation?
ParlaMint-NO_2019-03-13.ana.ud100e712	The President will recall that the question of follow-up will follow up on the main question.
ParlaMint-NO_2019-03-13.ana.ud100e717	But I think this is a very important question, so I'd like to answer it. For this, children who are in an extremely vulnerable situation, so providing a good follow-up service to the children who are going to be in an institution – which fortunately is only a small proportion of those who are in child protection – seem to me to be very important. That is why I am pleased with the representative's commitment, both in writing and orally. But first let me correct: it was 60 of the institutions that were picked out after a risk assessment. Of all — several hundred — institutions that are in the country, a limited sample was collected, precisely because a fear that there could be a risk that there was anomalies there, and it is true that deviations were detected in 60 pst. by them. I think that is unacceptable. That is why we are very clear – and I would like to make it quite clear – that in institutions where deviations are detected, the deviations are to be close as soon as possible, and we are going to follow this up. Much of it is long-term, but we have already implemented many measures in the light of the deviations and failures that one has seen in the past, and we are also going to follow up the report that has come.
ParlaMint-NO_2019-03-13.ana.ud100e724	Freddy André Supreme Court – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e729	We need enough staff to see and help every child in child protection. Government council Ruppstad often refers to the level of competence of employees in their answers about the lack of staff, and we all agree that it is fine with continuing training, but the employees themselves say that it helps very little when child protection is not able to maintain competence. It's so tough work, it's a bad conscience because you don't have time to help those who need it, and so much wear and tear that studies show that almost a third of the work ends in a year. They don't have time to use their skills when they have 30-40 children to be responsible for, with each of their families, and they stop. In the Children's Protection Service in Halden, for example, which I visited a little while ago, the employees said that they do not have time to send the employees to a follow-up training course in Oslo because it burns at work at home. Why does the Council of State not see this?
ParlaMint-NO_2019-03-13.ana.ud100e736	Let me first point out that when I point out that increased staffing is important, and that I am glad that there has been an increase in staffing under this government, it is precisely because I point out that it is also the responsibility of the municipalities, and I am happy that they take that responsibility. We've given the municipalities a good economy – although municipal politicians will probably never nod at all to it – for this year alone, there's an increase of 2.4 billion. kr in free income. And they've used the funds to prioritize child protection, and I'm glad. But then I say that on the part of the state, we are committed to setting standards of competence, I know that the representative is also concerned about, and proposes that it be introduced. We want that to happen. We're committed to making the organisational changes that we think will improve child protection. What worries me is, for example, that there is a turnover of up to 30 pst. in the protection of children. We can't have it like that. It's demanding when so many end up so fast, and I think it, among other things. is about getting even better education, but also staffing, which the representative is concerned about.
ParlaMint-NO_2019-03-13.ana.ud100e743	Let's move on to the next main question.
ParlaMint-NO_2019-03-13.ana.ud100e748	My question goes to the Minister for Climate and Environment. We have two types of greenhouse gas emissions, the natural ones, that are created through biological processes, and the fossils, that are created through man-made processes to create energy. The Intergovernmental Panel on Climate Change clearly states that we do not achieve climate objectives without capture and storage of CO 2. Then we need the industrial processes and methods of capture and storage, but we also need to apply the natural methods of capture and storage. We simply don't achieve the climate goals without it. Central research communities also point out that care, forest planting and active forest management are the key to success. At the same time, the Left used large parts of its national meeting to talk about the Central Party and the Central Party's climate policy. Interestingly, it comes from a party that is unable to put in place solutions to convert the transport of nutrients, which cannot proceed with the industrial capture and storage of CO 2, which in the current year's budget has no commitment to Norwegian forest planting and husbandry, which, while we are talking about it, has helped to make the woodworking company Arbor, in Northernland, struggling with raw material access due to uncritical protection of forests, and which has not received the necessary CO 2 compensation for Saugbruks in Halden as of today. The question to the Council of State will then be whether he believes that increasing standing biomass contributes to increased CO 2 binding and capture, and if yes, how will the Council of State contribute to this?
ParlaMint-NO_2019-03-13.ana.ud100e773	We're going to continue with the policy we have. What is important is that one in more and more areas now sees that climate action also drives industrial development. In the forest industry, one sees in particular that, with the biofuel inclusion requirement, predictability has been achieved, which means that one now has many more actors who are on the way to investing in the production of advanced biofuels in Norway, which also improves the competitive conditions of the forest industry, by being able to sell not only stocks but also twigs and others, which are a supplement to making use of this as well. This is one area in which we are involved in promoting a more profitable forest industry. At the same time, it is to use the tree more — including as a building material. This is both on the Jeløya platform and also on the Granavolden platform as a measure. So developing better projects to also make more use of the tree is going to be important in the years to come.
ParlaMint-NO_2019-03-13.ana.ud100e782	I am pleased that the Council of State will contribute to increased profitability in the wood industry. On the Left's website, it says: ‘Norway has natural advantages through large sea areas, a lot of forests and long agricultural traditions throughout the country. In order to realise the green shift, we need to achieve an increased and sustainable use of biological resources." NIBIO has suggested that between 15 and 20 pst. increasing the maximum within sustainable frameworks. The UN believes that it is not possible to address climate challenges without the use of forest biomass. Everything suggests that we need to increase the use of forest resources in order to make the transition that our emission targets require. At the same time, the government has taken a restrictive line of protection in Norwegian forestry and is actively pursuing a target of 10 pst. protection. Does the Council agree that there may be a contradiction in the target of 10 pst? the protection of forests and the objective of increased carbon bonding in the forest?
ParlaMint-NO_2019-03-13.ana.ud100e795	There's no contradiction at all. We have to achieve several things at the same time. We also need to safeguard biodiversity in Norway. One of the major challenges is the loss of nature internationally — not just global warming. We have most of the red-listed species in the forest. Therefore, we also need to take more care of the forest in Norway. So the protection measure of 10 pst. It's lying there, and we're driving it forward with more force than ever before. At the same time, we have to be able to exploit the forest, as I said in my previous post. We hope to reach an agreement with the EU on common targets for emission reductions in 2030 – that we will get it in place, also with a case for the Stortinget in the spring. In our reference path, as we report, we also add that we can have a significant increase in forest management in Norway without causing us to book emissions. Today, about 11 million cubic meters are mowed. The possibility will be up to 15 million, 16 million cubic meters.
ParlaMint-NO_2019-03-13.ana.ud100e802	We're going to move on to the next, and the last, main questions in the oral question procedure.
ParlaMint-NO_2019-03-13.ana.ud100e807	My question also goes to the Minister for Climate and Environment. Norwegian waste management, NOAH, has had a landfill since 1993 for the treatment and storage of particularly hazardous inorganic waste in the former limestone quarry on Lang Island outside Holmestrand. It has long been known that this landfill is soon full. The NOAH requested to establish a new landfill for hazardous waste in the valley mines in Porsgrund municipality, but the plans were rejected in cash by Porsgrund City Council as early as March 2015. In addition to this, there is an alternative from the Bergmeister Raudsand AS. However, the question is now completely unresolved. The time period for the length of Lang Island is getting even closer to the end, and there is no doubt that the conflict around this theme is now intensifying as the Lang Island becomes filled. To Varden on 17 February, Mr Carl-Erik Grimstad said the following: «He» – i.e. Minister of Climate and Environment Ola Elvestuen, then representative of the big business – «has stood in Brevik and said that we should not have this deposit. If he does not get through, the Left loses all credibility in climate and environmental policy.’ And he follows up in the Evening Post on March 10, where he actually says that the Left should leave the government if one has to open up to old-fashioned landfill methods. I think Grimstad well describes the general frustration, the curse and, in part, the despair that lies in that matter. When the last weekend left had its national meeting, the landfill was mentioned in Trine Skei Grande's speech, where we got the impression that she said no to old-fashioned mining and old-fashioned landfills. My question to the Minister for Climate and Environment is therefore: does a state impose on local democracy, in other words against their will, to establish a gigantic landfill for hazardous waste in the old limestone mines in Norway with the NOAH process, which was established in the 1990s, a modern or an old-fashioned landfill?
ParlaMint-NO_2019-03-13.ana.ud100e823	Whether it's modern or old-fashioned – I think the quality of the plans that are good. That's what the Environment Directorate says, and everyone says it. What is the question – which I also said before 2017 – is that there is no reason to override a municipality if you have an alternative. That's where the question is. No decision has been made on the state level or not. What we need to do is look a lot wider on how to treat hazardous waste in the years to come. So this is about, as we write on both the Jeløya platform and the Granavolden platform, that we're going to have an investigation into how we can reduce the amount of hazardous waste. Much of what goes to Lang Island today is linked to Kronos Titan and sulphuric acid deposited and then neutralised along with fly ash produced in Norway and internationally. So here you have to look at how it's necessary to deposit, or whether it can be done in other ways. In addition, 200 to 250 enterprises have hazardous waste, which is also landfilled on the island of Lang Island. Whether this is landfilled because it is most cost-effective, or whether there are no alternatives today, it is difficult to say. My starting point is that we have to look at the whole: how are we going to treat hazardous waste in Norway? That's the main problem we have now. And then we have to make concrete decisions about where we're finally going to have a landfill. That there will be a need for landfill even though we can reduce the amount, I think it's hard to avoid. Today, measures have been taken in Lang Island to allow the landfill to reach 2024–2025, so there is no doubt that we have a short period of time to do a fairly comprehensive job.
ParlaMint-NO_2019-03-13.ana.ud100e830	I share the view that there is a short time left, and that something has to be done. I also agree with what the Minister for Climate Change and the Environment says about what action needs to be taken or assessed in relation to this. But it's interesting to follow up on asking, what's done? It is now four years since Porsgrund city council said very clearly no to the plans of the NOAH for the valley mines in Brevik. What has the government done afterwards? What contact has the Minister for Climate and Environment or others in the government had with the 250 companies that are currently landfilling hazardous waste in Lang Island? What has been done with regard to the main concerns related to fly ash, heavy metal extraction, Kronos Titan sulphuric acid, etc.? What has the government done to minimise the need to landfill hazardous waste? There is no doubt that a large national landfill and the continuation of this kind in the 1990s must be seen as an old-fashioned method. It will be very interesting if the Minister of Climate and Environment can explain to the Storting what the government has done in these four years, when a very clear and clear one has shown that the plans of the NOAH in Brevik were not accepted by Porsgrön municipality.
ParlaMint-NO_2019-03-13.ana.ud100e837	I can't explain what's done until I got into this position myself, but what's done while I've been here is that you've moved on with the Brevik plan program. There has also been an impact assessment and one has received consultation opinions in relation to it. Otherwise, I myself have been visiting both Kronos Titan, Lang Island and Brevik. We have also met with both NOAH and actors from the Nesset municipality in connection with what is happening in More and Romesdal.
ParlaMint-NO_2019-03-13.ana.ud100e842	There will be follow-up questions – first Terje Aasland.
ParlaMint-NO_2019-03-13.ana.ud100e847	It is interesting to know where the Minister for Climate and Environment has been. But it's even more interesting to know what he's experienced on those visits. With the experience and visits as the basis, is it that he will think that he can reduce the need for landfill, uncouple the problem with acid and ash and find more environmentally friendly and time-consuming solutions to what is really a major national problem?
ParlaMint-NO_2019-03-13.ana.ud100e852	I'm going to follow up on the three points that lie on the Granavolden platform. One is to see if we can reduce the amount of hazardous waste. The second is that we're going to be completely in front of the development of the circular economy in Norway. The third is that we need to ensure that we have sufficient landfill capacity for hazardous waste. How to do that, I have to get back to.
ParlaMint-NO_2019-03-13.ana.ud100e857	The oral question procedure is now over.
ParlaMint-NO_2019-03-13.ana.ud100e871	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. The changes were as follows: Question 1, from the representative of Åsunn Lyngedal to the Minister for Finance, has been transferred to the Minister for Justice and Immigration who is directing him. Question 3, from the representative Hulda Holtvedt to the Minister for Industry, has been withdrawn. Question 7, by Mr Eirik Sivertsen to the Minister for Defence, will be answered by the Minister for Justice and Immigration on behalf of the Minister for Defence, who has been removed. Question 9, from the representative Steinar Ness to the Minister for Fisheries, will be answered by the Minister for Oil and Energy on behalf of the Minister for Fisheries, who has been removed. The question will be raised by the representative of Liv Signe Navarsete.
ParlaMint-NO_2019-03-13.ana.ud100e889	This question, from the representative of Åsunn Lyngedal to the Minister of Finance, has been transferred to the Minister of Justice and Immigration who is directing him.
ParlaMint-NO_2019-03-13.ana.ud100e894	‘More people point out that the effective recovery system for defaulted debt in Norway is a contributing factor in the explosive growth of consumer loans. How does the Council of State feel about refusing to use the debtor for debt recovery by actors who do not comply with the regulation on requirements for the lending practices of financial undertakings for consumer loans?’
ParlaMint-NO_2019-03-13.ana.ud100e901	The regulation to which the representative refers was adopted on 12 February 2019 and its purpose is to mitigate the risk posed by the increasing consumption debt of Norwegian households to the Norwegian economy. The regulation imposes on banks public-law obligations in the interests of the economy of Norwegian society. The regulation does not regulate rights and obligations between banks and customers. Therefore, breach of the regulation will not invalidate loan agreements or invalidate claims. With regard to the role of the approval authority, it is essential for a well-functioning credit market for the creditor to be subject to enforcement by the approval authorities. Those providing goods or services on credit, or lending money, must be able to rely on payment, if necessary through enforcement of the requirement. Enforcement may be carried out only through the competent authorities. Therefore, those entitled must be able to use the approval authorities, provided that the conditions laid down by the law are met. This also applies to consumer lending banks. The contractual relationship between consumer loan banks and customers is governed by the Financial Contracts Act. It follows from Section 46(b) of the Financial Contracts Act that the creditor must assess the creditworthiness of the consumer before the conclusion of the contract. If the creditor has to assume that the financial capacity or other conditions on the part of the consumer indicate that he should seriously consider refraining from taking up the credit or from carrying out the credit agreement, the consumer shall be informed thereof. If the consumer wishes to enter into a contract despite the advice not to do so, he or she shall confirm by signature that he or she is aware that the creditor has refused the credit admission in writing and orally. In the event of a breach of the obligation to withdraw, the consumer's obligations may be relaxed if reasonable. The consultation note on new Financial Contracts Act proposes that credit providers be required to refrain from granting credit if the credit ratings indicate that the customer is unlikely to meet the financial obligations under the agreement. The new Financial Contracts Act is currently under discussion in the Department, and these are questions that I will therefore come back to then.
ParlaMint-NO_2019-03-13.ana.ud100e912	The background to the question is that the supervision of the Financial Supervisory Authority last spring, in June, showed that 36 pst. all consumption loans are provided without the Bank making a sound assessment of whether they have a repayable borrower. The loan does not comply with what has now become the regulation of 12 February but has access to a well-funded public collection system, which takes out both assets and wages to the debtor. So I would like the Council of State to reflect on how appropriate it is for the police to use resources to collect loans that should never have been given.
ParlaMint-NO_2019-03-13.ana.ud100e923	I think it might be nice to distinguish two important things here. The Namsman and the Nams are a civilized way of collecting money. That is, if the claim is legitimate, we would like it to go through the namsman, for who else would actually have collected this money? What the representative might think about is that the requirement itself should be invalid if you have broken rules. It's a matter that falls under the Financial Contracts Act, to which we come back, and which is being addressed now. The regulation to which reference is made has a more socio-economic justification, while the Financial Contracts Act regulates the relationship between the granting of credit and the receiving of credit. There's a work going on – what to say – tightening up the requirements of the creditor. And as I mentioned, in connection with the consultation note, there is a proposal there that we consider.
ParlaMint-NO_2019-03-13.ana.ud100e928	The most important thing for the consumer is not necessarily the law governing it. But it's good to hear that the Financial Contracts Act will strengthen the requirement for the lenders, because we know that loans are given to people who have no chance of repaying it, and who often have both physical and mental disease plagues, unfortunately. It's a situation where the police need all their resources to a great deal, so the use of the valet's resources in these matters is challenging, I think.
ParlaMint-NO_2019-03-13.ana.ud100e935	There's two questions in there. One is whether or not it's the police who's going to have the role of a namsman or not. I think it makes a lot of sense that we have a public law enforcement system. If the requirement is legitimate and enforcement is to be initiated, it is to have a public order a civilised way to proceed in order to recover the claim. The alternative could have been a lot worse. So having a reputable authority I think makes sense. But it is important to separate that question from whether the requirement is legitimate. I think that is an interesting question, but I think it is useful to separate it from the question of the tax authority. We can regulate the legitimacy of the requirement by means of the Financial Contracts Act, which has been proposed by the government to curb the growth of consumer loans, and more proposals will be made.
ParlaMint-NO_2019-03-13.ana.ud100e945	‘According to Health South-East, the closure of Ullevål Hospital will pay off because functions currently available in both the Rikshospitale and Ullevål can be removed. It's said that you can save $500 million. $ because you want to need 500-600 fewer employees if you want to work together. According to the Medical Association, even a reduction of 30 shifts is optimistic – that is, over 100 mills and 100 mills. krones. What functions do the Council of State consider superfluous at Oslo University Hospital, which will require 500-600 fewer employees if Ullevål is laid down?’
ParlaMint-NO_2019-03-13.ana.ud100e952	Health South-East is now working to realize the target picture set for the development of Oslo University Hospital. Today's hospital building on Ullevål is old, and large parts are unsuitable for modern hospital activities. Buildings on Ullevål are therefore planned to be replaced by new buildings on Aker and Gaustad, where it is designed to bring together regional hospital functions in one place. Oslo University Hospital currently has two hospitals with regional functions with a distance of just under two kilometres. For many disciplines, this requires double shiftwork, double-up with special resources and double-up with departments and expensive equipment. I have been informed that when Oslo University Hospital has calculated the profit in collecting regional and national functions, 600 fewer annual works have been added when account has been taken of future needs for personnel. The reduction in annual work is due to a reduction in the need for shiftwork, transport and administrative staff when subject areas shared today are grouped together in one place. A more efficient operation in the new buildings has also been envisaged, including: at a more optimal size of the bed beds. Health South-East plans for Oslo University Hospital do not involve the closure of functions or the provision of services to the population. The investment plans will provide patients, employees and related to modern hospital buildings — and facilitate the better use of scarce resources.
ParlaMint-NO_2019-03-13.ana.ud100e963	The construction plans have led to the partial financing of the new building by improving the efficiency of operations at the forefront of the development, which will generate annual surpluses of several hundred million kroner. Looking at the experiences of Oslo University Hospital in the last ten years, they show that the corresponding efficiency targets have not been achieved, and that increased excesses come from other things than the fact that hospital operations have been more effective. The question is how the Minister of Health can be so sure that one will achieve such an efficiency without decommissioning functions, when one has not done so before. And what are the consequences for the project if the efficiency gain is not achieved?
ParlaMint-NO_2019-03-13.ana.ud100e968	The representative could have asked that question in relation to each hospital extension that has taken place in Norway since the state assumed responsibility for the hospitals. My general answer is that one of course cannot have any other conditions for investment in a hospital in Oslo than that one has, for example. in Stavanger, in Nordmøre and Romsdal or elsewhere in Norway. Proportionately, the investments in Oslo are relatively similar to those in Stavanger. An efficiency requirement is also implemented in advance. You also have to look at the real numbers. Oslo University Hospital has an income budget of 24 billion. kr, and part of the efficiency requirements means that one has to increase efficiency by 45 million. kr annually. I don't think that's impossible.
ParlaMint-NO_2019-03-13.ana.ud100e975	It is true that one must not have other conditions in Oslo, but on the other hand one must also learn from faults, and in More and Romesdal functions are dropped – in rehabilitation, maternity wards and in mental health protection. Many of the criticisms of the Oslo process are also about the fact that one has decided for the plots before one has created a plan of operations describing which tasks the hospital should resolve and which treatment should be provided. There's one question that one still doesn't have the answer to, in spite of that. That's how you can estimate the amount of money you can save by collecting an activity when you don't create such an activity plan.
ParlaMint-NO_2019-03-13.ana.ud100e982	The choice of plots as such does not have a significant impact on the very issue that the representative is now addressing, as long as one accepts the premise that one should have one regional hospital in Oslo. Then there is a question of the characteristics of the plot and the buildings by collecting the regional hospital on the Ullevål or Gaustad plot. One will be given a further explanation of the questions raised by the Governing Board meeting in June. But when you look at the properties of the plot and the buildings, all the numbers we have now indicate that it's the Gaustad Santa that's the most suitable. But the question of the different functional distributions is unaffected by the choice of plots.
ParlaMint-NO_2019-03-13.ana.ud100e994	This question has been withdrawn.
ParlaMint-NO_2019-03-13.ana.ud100e1002	«In a nursing home in Nittedal lives a 36-year-old man. He's got locked-in syndrome. This was due to a blow 8 years ago. The man has shown an incredible willingness to train and has experienced enormous progress since he started training. The plan is transition to owner-occupied dwellings. Nevertheless, he does not receive support for training aids, because he is temporarily living in a nursing home. Does the Council of State believe it is right that the patient’s residence status should be essential for them to receive training aids under the Law on People’s Security?’
