ParlaMint-NO_2019-05-08.ana.ud164e28	The representative of Audun Lysbakken will present two proposals for representatives.
ParlaMint-NO_2019-05-08.ana.ud164e447	We will inform the Storting about these decisions when they are proposed, but I am concerned that we need to have a good aircraft in Norway. That's part of the defense concept we have. I respect the fact that SV has a different defence concept, where there is no understanding that airspace control is important in order to secure us and secure Norwegian forces. But as the picture of today's war is, it's very little of the activity you have on the ground that's going to be able to do something in particular if you don't have control of the airspace, if you don't have the ability to deliver resistance there. We see that in all the war scenarios that are today. That's why it's to have a fighter plane and have enough fighter planes as a prerequisite for a lot of the other money we also spend in defense. That's how this government is going to increase the defence budgets, as we've done every year. Defense expenditure is increased by over 30 pst. in real terms during this time. Because we make sure that we actually finance the operations that the investments require. So there'll be room for that.
ParlaMint-NO_2019-05-08.ana.ud164e454	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e460	I don't think the prime minister is worth constructing strawmen. What SV has proposed, is 40 flights instead of 52, and we're to have a fighter weapon. But we're also in order to have an army capable of defending Norway. We are also in order to have a marine defense capable of asserting our sovereignty in our large seas. The fear that is now spreading in the Defense – and this is not just something SV is talking about – is that the bill for the prize bomb we have here is going to go out on the Army and the Maritime Defense. The Prime Minister has not said anything today that gives people reason not to worry about it. On the contrary, the message is that you have not had any things you should have reported about, here is a bad course no matter how much the price will be. I think Stortinget needs more rounds of this. That is why my last question to the Prime Minister is whether she would like to take a round with the Minister of Defense and ask him to reconsider his refusal to report to the Stortinget.
ParlaMint-NO_2019-05-08.ana.ud164e467	The Minister of Defence has answered in detail, also with detailed reporting of when the Stortinget has been informed, on many of the questions raised by the representative. It is not certain that there is a need for new rounds around this, until you have entered and looked at what information Stortinget has actually received. I believe that the Stortinget is informed about this. The picture drawn by a high cost dot is not correct. Keep the cost framework. The fact that we are a little bit above our governance objective is also an uncertainty that we have set aside in the cost framework that was at the time. It is that the currency challenges are a challenge for many investments in Norway that buy a lot from abroad, but we also have a methodology for how we calculate it, and we have maintained the same type of method. I'm concerned that we're going to have a reinforced defense. That is why we are now taking care to refurbish the defence – material, training, practice – and we will continue to do so.
ParlaMint-NO_2019-05-08.ana.ud164e476	Let's go to the next main question.
ParlaMint-NO_2019-05-08.ana.ud164e481	The government would like to say that fixed employment is the general rule in Norway, but in practice they undermine that rule by opening up more temporary employment and by protecting the manning industry. From 1 January, the crew industry legislation was tightened up, but what happens? Well, now the trustees in the trade union movement say that the employment agencies offer jobs down to 3 and 5 pst. If you're lucky, you get a 20 pst position. The last is the recommendation of the NHO Service and Trade – the so-called “serious recruitment agencies”. Then you'll get a job one day a week or the first 10 weeks of the year. Of course, this is totally unprofessional, and it happens even if there is a need for full-time employees. This industry undermines the Norwegian model, which is based on full and permanent jobs. The industry is characterized by the fact that few are organized, that there is a lack of trust elected, and that there is zero participation. Solberg has said several times that we all have to work more to afford to maintain well-being. Then it is nice that the government protects about an industry that employs people down to 3–5 percentage points. All indications are that, at best, staff agencies will offer permanent part-time contracts to employees. Solberg believes that involuntary part-time time of 5, 20 or 50 pst. shall be the new normal working day, or shall companies be required to be employed in full and regular positions?
ParlaMint-NO_2019-05-08.ana.ud164e490	The Government believes that permanent employment should be a general rule. We also want to have as many full-time jobs as possible – if you don’t want to do something else voluntarily. At the same time, in many industries, for example, there is a need for: seasonal labour force, something more temporary is needed for a period of time. What we now see from the last AKU numbers is that the number of temporary, i.e. people in temporary jobs, has fallen significantly lately. This may be because the economy is now getting better and employers are also afraid to hire people who have been in temporary jobs to be tested – now they are going into permanent employment. There is no ban on small job breaks in Norway, but there are some clear principles about what can be given by low job breaks, i.e. what is needed. It is that the agreed job fraction for a permanent employee must be real. It can't be fictitious, that you look at a small fraction and use – and plan to use – a person much, much more than that. The employment fraction can therefore not be lower than the employer at the time of employment plans to use an employee. In addition, the contract of employment shall specify or provide the basis for calculating when the work is to be carried out. The point of this provision is precisely to prevent workers from remaining at their disposal without ensuring more than one part-time job. That's what the legislation is. I have no idea – and I don't think any of us have – how actors have adapted to the new rules. But we assume that these rules follow the set intentions and that they should not be undermined by creative solutions. I also feel that the social partners are engaged in higher job breaks – including the crew industry. Among other things, the head of the NHO, Ole Erik Almlid, went out in February and said that employment contracts are unacceptable down to 5-10 p.m.
ParlaMint-NO_2019-05-08.ana.ud164e501	One side, the employee side, wants the agencies gone. The other party offers standard 20 pst contracts, which are extremely small in order to live on it and to have predictability of income over an entire year. State Council Hauglie claims that renting is low, but she admits that there are additional challenges in the construction industry in parts of the country. The state-owned figures show that the rent rate is 20 pst. in their construction sites, and it is far above the figures that Anniken Hauglie is operating with. If the government really wants to clean up the unprofessional situation of the manning industry, will the government consider a ban on manning agencies in construction sites in the Oslo area if the new rules that have been introduced do not reduce the rent share or cause the industry to consider people in real terms?
ParlaMint-NO_2019-05-08.ana.ud164e510	I believe that the manning industry is a completely legitimate industry that is important for the flexibility of Norwegian society. I believe that it helps smaller companies – Norwegian companies – to take on large contracts to do construction projects, because you can pick up additional labour. I believe that a general ban on recruitment agencies, for example. The construction industry would mean that only the very largest players could take on jobs and that there would be more foreign companies, which had more flexibility in the labour force being brought in, in the large projects. We have to bring that with us. You don't have a portfolio of things to ensure that you can have full staff all the time. Then people would be cancelled more quickly, and there would be more people who were outlawed. I think we have to see that there is also a positive side to the recruitment agencies, but it should be proper and tidy, and it should not be a distortion for regular jobs for others.
ParlaMint-NO_2019-05-08.ana.ud164e517	It opens for follow-up questions – first Bears Moxnes.
ParlaMint-NO_2019-05-08.ana.ud164e522	The release came in 2000. After the war and until 2000 there was no release of these agencies, and we obviously built the country at that time too – even Norwegian companies. So we've done it before, without it being free for these agencies. More than a year ago, Red got the majority of the population on a decision with a clear message to the government: Come to the Stortinget with measures to get more people organized in the labour market. It has been followed up by Hauglie by holding a seminar. It's all right, but a seminar isn't enough to sign out that big decision. We wonder what the government will actually do with measures to ensure that more people organise themselves in Norwegian working life, and when those measures will come to Stortinget.
ParlaMint-NO_2019-05-08.ana.ud164e531	It is not the case that there was no hiring of labour until 2000, even if it was only when recruitment agencies were provided in more areas than the areas for which it was opened, which were within offices and other temporary employment agencies. Those of us who have been with a while know that on the Western yards there were hired Yugoslav and Finnish welders. It was rented out from foreign companies, and there was a rental between companies that were in Norway. The point is that at that time it was more difficult for a smaller enterprise to pick up that kind of labour force. The fact that we have recruitment agencies is likely to help you get more Nordics to work, and to get more smaller companies that can take on larger jobs. I'm not in doubt about that.
ParlaMint-NO_2019-05-08.ana.ud164e538	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e544	I just want an answer to the question that I asked: When does the government come up with measures that make more people organize, as the Storting has decided and asked the government to come along? When do we get that, and what are the measures that the government sees fit to take care of this?
ParlaMint-NO_2019-05-08.ana.ud164e549	We work with many cooperation platforms with the social partners, which help to show that it is attractive, for example. to organise. Last night, for example, came. the performance of tripartite cooperation in the field of action in the field of sectoral programmes and other. These are contributions that make it more attractive. We look at various measures that can contribute to a better level of organisation. But I want to arrest the myth that the degree of organisation is getting lower at the moment. It doesn't. It is quite flat among the workers, at approx. 49 p.m., and have been there for the last 10-12 years. It's gone up among companies. So the employer's side has organized more. So under this government, there's actually a higher level of organization among parts of the world of work and the social partners, and it's been completely flat. The interesting thing is that the organization has been flat under both the red-green and the bourgeois government. Despite the increase in tax deductions by the red-green government, it is not possible to read from the statistics that it resulted in more organisation.
ParlaMint-NO_2019-05-08.ana.ud164e556	Arild Grande – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e561	The Prime Minister said last year that the cleaning up of the rental code was the government's biggest defeat. This is probably why the government does not care whether or not the rules are being followed and put in place a supervision, as requested by the majority of the population. At the same time, the government has removed collective legal rights and made it more expensive to be a member of a trade union. As a result, we see increasing differences in working life, between those who have whole, permanent jobs, and those who are hired, between those who have good contracts and trusts around them, and those who are in unorganised jobs. Many Norwegians feel that they have less money to pay their bills with under today's government, while those who have the highest wages run away — well helped by the government's tax policy. Now we also see that the number of jobs increases more than the number of employees, which shows that it has become more common with more jobs to get the ends to meet. Is the Prime Minister satisfied that the government's policy is increasing the differences?
ParlaMint-NO_2019-05-08.ana.ud164e570	I believe that we should all take seriously the trends in increasing inequality that we have seen over the last 20 years in Norway. They haven't become much bigger under this government than they have been before, but there are some signs of danger. Some of the greatest signs of increased inequality are, first of all, how to gain access to new competences when technology changes. This is why some of the most important areas of activity in this government are measures that are directly aimed at enabling people to participate more in the labour market, and at ensuring that they have more skills to keep the job. This government has three important areas of activity. It's an inclusion virtue, which we work a lot with, to get more people into work. When the Workers' Party was in government, employers called Poland and Lithuania for employees. Instead, we have said to employers: Call Nav first, we have good cooperation arrangements, and we are working intensively for it. We have an integration work to make sure that you get to work faster when you come from other countries to Norway. And not least – we have a reform of skills that helps to raise skills when technology changes.
ParlaMint-NO_2019-05-08.ana.ud164e577	We go to the next and last main question.
ParlaMint-NO_2019-05-08.ana.ud164e582	It's not just the food supply that creates commitment in the district for the time being. The proposal to change the structure of the Nordic University has produced strong reactions locally, in particular on Helgeland and in Trøndelag. The concern is that important training courses that provide professionals for professions that are important to our well-being are being built up. We already see a lack of nurses, a lack of teachers, and that is seen not least in Helgeland and in northern Trøndelag. The question is what the government will do in this situation. It was the government that initiated the merger of the University of Nordland, the College of Nesna and the Nord-Trøndelag High School, and it is also the government that has asked Nord University to change its structure. They did so in the letter of allocation sent in December 2018. It's government control signals to the university. Now the government gets what they've asked for, and when the reactions to the proposal of the board of directors of the North University come, the government is actually trying to say two things at a time. On the one hand, they have announced that the structure needs to be changed, and the Prime Minister has also said that the process must go and that she will not instruct the government. That's what she said last night to Namdalsavias. On the other hand, the Minister of Research and Higher Education has sent a letter to the Board of the University asking them to take account of regional needs. So the government sends quite confusing signals both to the university and to the region. One thing is said in the letter of assignment and now something else to the local media. There is uncertainty both in the region and in the higher education sector about how to manage universities and higher education in the future. Therefore, I would like to ask the Prime Minister if she can attend and clarify the uncertainty that has been created, whether she can be clear on which of the signals the government has sent, she believes the board of directors of North University is now going to follow up.
ParlaMint-NO_2019-05-08.ana.ud164e591	There is no difference between what I have said to the local authority and what the minister of research and higher education has written in letters to the company. On the contrary, what I'm saying is there, a reference to that letter, so there's no difference. It is important that Nord University enhances its quality, its educational provision and the quality of its educational provision. Something also has a review and looks at these questions to ensure it. The basic thing for all higher education is that those who receive training and a stamp should be of the highest and best quality possible. Not least, I think it is a requirement that we have to make to universities that recruit many people for district education. We know, for example. that teachers in North Norway are more likely to remain as teachers in North Norway. When we know that the educational outcomes for children in North Norway are very poor, and that some of the greatest inequalities can start with poor education, it is very important that teachers' training there is very high quality. That focus is always going to be the government. Then we have pointed out in the letter sent by the Minister of Research and Higher Education that there are at the same time some other important things that have to be taken into account. Universities and higher education institutions also have a regional responsibility. They have had that since the Bondevik II government decided this when I was a municipal minister. At that time, we had an important impact on them to also take responsibility for the region and the educational needs that are there, and to contribute there. This is why it is important to also have decentralised education and the ability to provide good education decentralised and to meet the needs of the population. On top of that, we have now worked on the reform of skills and the needs of adults for education, in order to have access to education when at the same time at work becomes important. We must also take those considerations into account. Not only can you look at the education of 19–29-year-olds, you have to look at your social role too.
ParlaMint-NO_2019-05-08.ana.ud164e602	If the government had been so concerned with the need for education that met the needs of the regions, or that the North University should have an important role in the reform of competences and offer shorter continuing education, it would have been clearly written in the letter of award in December. The truth is, we hear signals other than what North University has been told to rule after, the last year. To put it bluntly, universities have two feet to stand on, two missions: one is to provide good research, first competence and to meet the requirements of doctoral programmes, which the government has put on, and the other is good education that also hits the districts. The message from government to Nord University has been that one leans too much on one foot, on the district foot – not just through the letter of assignment, the higher education minister even went unsolicited to Nord University and gave it the message. Now I hear that the Prime Minister is concerned about the needs of the region, and then I simply want to ask the Prime Minister if it is such that the need in the region is so important that the government will oversee the government of the North University if it comes to a conclusion that rebels in the region.
ParlaMint-NO_2019-05-08.ana.ud164e611	I also believe that the representative of the big business will appreciate that there is no process in the middle of which there are now hearings and recordings, and where the board has also made some good conclusions on the road – for example. that they have specifically asked for an analysis of what is going on in order to have a permanent care offer in Namsos, that one goes into these questions a little bit more detail as part of this – starting to say that we put our feet down for it, we put our feet down for it, or else. I think the process needs to be built from below, by making sure to look at it internally at the university with the municipalities. Finally, they need to come up with a solution, where we can also decide whether all of this is sustainable, or how we should contribute in the future to ensure that our objectives – which all universities and colleges have achieved – are also regionally responsible and responsible for providing decentralised education, and that perspectives on it can also be involved in the reform of competences – are fulfilled.
ParlaMint-NO_2019-05-08.ana.ud164e618	There will be follow-up questions – first Ingvild Kjerkol.
ParlaMint-NO_2019-05-08.ana.ud164e624	Good to see the Prime Minister in Namdalen – she should come more often. There is a great shortage of nurses in Norway. Only in Trøndelag, in the area where the Prime Minister visited this week, it is estimated that there is a need of 1,650 unfilled nurses and special caregivers — and nursing training takes decades to build up. The cooperation with the municipalities around the Namsos Hospital has been crucial for the training of nurses at the Nordic University of Namsos to train professionals for our healthcare. Although there have been various signals from the government of the North University, first through a letter of control, asking them to look at the structure and change it, and, last but not least, to take care of different concerns, it is left to the impression after the Prime Minister's visit to Namsos that she has been at peace with the Namsos campus. Can the Prime Minister repeat what leadership she believes North University has to follow further in its process with a new structure?
ParlaMint-NO_2019-05-08.ana.ud164e633	As I answered in the previous question, the challenge is to increase the quality of education throughout Norway. I agree that it is very important to have a good nursing training, also decentralised and district-located. But it is also very important that many of the applicants are able to implement. Unfortunately, in several courses and professional training in Norway, both in teacher training and in nursing training, there is a major disqualification. If we had managed to get people through, we would also have met even more of our needs, and not got these closures. For this reason, quality requirements are important for entry, and therefore good quality of education is important. As far as leadership is concerned, we have given leadership that quality and commitment must be worked on, and then the Minister for Research and Higher Education has made it clear that the reform of competence, that the university and higher education sectors will also play a role in adult continuing education, are important and that structural changes in other sectors should not be avoided. It's about, for example, on the discussion of the location of nursing training in an area where the hospital discussion is also on. These things, in a sense, can't pre-shoot the higher education sector.
ParlaMint-NO_2019-05-08.ana.ud164e640	Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e645	I hear the Prime Minister is engaged in decentralised education. I think we all are. However, for a region like Namdalen, having a place of study or only having the opportunity to create study facilities is a big difference. So for this region it will be dramatic if the decision falls in June and you lose the university offer locally. The Prime Minister has visited a business life where we have prominent environments in fish health, for a farming industry that is going to take a lot of growth, but what is perhaps most important for the safety of the namdallings, is that the Hospital Namsos and the municipalities have good access to professionals. There it will be a big difference if you have decentralised education only when there are enough applicants or if you have strong educational institutions. Does the Prime Minister see the difference?
ParlaMint-NO_2019-05-08.ana.ud164e652	I definitely do. At the same time, we must also remember that some decentralised services are good educational services around the country. We can't have campus anywhere, but we can have good continuing education offers many more places than what we already have in today, in a future structure for higher education. So it's important just when it comes to Namsos, as I also said earlier, that the board has specifically asked you to look at in the further work what it takes to maintain a permanent offer within the hospital in Namsos. I think that's a good way to get that very problem highlighted, because you first deliver to the hospital that's there. This also makes me confident that these issues, which also concern the decentralised education provision, will enable the board to make good assessments and take into account. But at the bottom – to underline just one thing – all educational provision must be qualitatively good. There is no good care in poor education.
ParlaMint-NO_2019-05-08.ana.ud164e659	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e664	The Prime Minister is committed to raising the quality. No other university has had as strong an increase in the number of doctoral degrees in 2018 as Nord universitet has had. Nord universitet has had a strong increase in the number of publication points, which is an important factor in quality. There are happy students at the North University, more satisfied than at many other universities, especially at the teacher's training at Nesna and at the nursing home in Namsos, but what is now on the table is almost a fury from North University. Instead of spending the next three to four years raising quality even more, Nord University is going to be in conflict with the municipalities around it, with the employees, with the political parties locally – including the Right, also the Left – and there is no desired situation to focus on quality. In addition, there is a spread effect. If the government is now hiding behind the board and allowing the North University to carry out such a strong centralization, it's my guess that then the University of Southeast Norway will be the next instance, because they also have eight campuses, and if they see that North University is allowed to shut down campus, they're going to do it too. Is the Prime Minister afraid of such a spread in terms of centralisation?
ParlaMint-NO_2019-05-08.ana.ud164e671	Everything in the education system at present suggests that the main areas of growth are going to be outside campus, closer to people, closer to adults who are going to have continuing education. So I don't agree with the horror scenarios that are drawn, that it's going to be much smaller. I think there'll be more education places, more opportunities, more flexible arrangements, many of that kind of offer. But for Nord University, there's also a revision of the doctoral programme within NOKUT, and there's been some anxiety about NOKUT's supervision of the university's work. They shall be an independent body in order to ensure quality, to ensure the quality of training and to provide a bottom plan. The Norwegian education system will provide our young people — and adults in continuing education — with a high quality of everything we do. At the same time, we have to be able to deliver it in different stages and into everyday life to people who need continuing education. I don't think there's going to be any infectious effect of different things. I hope we get one infectious effect, and that's that we're raising the quality. I've said in the past that the best thing would be that one of the traditional old universities had discovered that they didn't have enough quality and had to make an offer. It would have been a good test.
ParlaMint-NO_2019-05-08.ana.ud164e680	: Marit Arnstad – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e685	NOKUT will spend the next three years assessing Nord University, so there is no need for Nord University to make major centralisations of its own campus before that time. And as I said, it was one of the universities where most doctoral degrees were awarded in 2018; it's actually just right below OsloMet, it's in line with the University of Agder, and it also has very happy students. So I have to say, I think it's remarkable that the prime minister is not more concerned about the spread effect, because the principal of the University of South East Norway has already said that they have to assess the number of campuses, and that could mean a centralization there as well. And on Steinkjer it is that Nord University has just concluded a ten-year lease with an innovation campus – half a billion dollars – that is built up, and then, in a way, they will leave it and move to Levanger. So some in the board say that then the state must grant money to build up new things on a centralised campus in Levanger. Does the Prime Minister think that this kind of thinking makes sense, both structurally and in terms of the country's use of money?
ParlaMint-NO_2019-05-08.ana.ud164e694	There is now a matter going on, a discussion where the principal has made a proposal. It's a discussion, it's going to board later, and it's out for consultation. I cannot take a stand on every claim or on every case from the pulpit of the Storting. We actually have to think that the sense is a little bit evenly distributed. We have to believe that there is an opportunity for the management systems to work, also internally, in finding good solutions to these issues. I also think it is limited how detailed we are going to go into a case where there is actually a consultation round and a board that is going to decide after a consultation round, and where it is only when there is a question of whether there is a possible outcome of this that is so difficult that we have to look at it with other eyes. We've given some guidance signals, because there was one element, or two, that was sub-communicated in the work done by the principal, and it was the future development related to decentralised education.
ParlaMint-NO_2019-05-08.ana.ud164e702	: Marit Arnstad – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e707	For those affected, this is not the detail. For those affected, this framework is serious. For those municipalities that have had higher education for many decades and are now at risk of being removed from these colleges, this framework is serious. For the Namsos hospital, which is completely dependent on the Namsos nursing training, this framework is serious. I think one should be very careful to say that this is the details, when we go into each campus. I also think one should be careful to push quality ahead, when one knows that North University is now doing a good job. I also believe that with that history, with the letter of assignment that encourages universities to review the structure, while one now writes letters from the Council of State and makes statements from both the leader of the Left and the Prime Minister himself when traveling, that one is nevertheless engaged in decentralised education, the government here should take more control – not only hide behind the skirts of a government, but also be willing to take political responsibility for this debate. Will the government at some point be willing to do so?
ParlaMint-NO_2019-05-08.ana.ud164e716	It is certainly the case that the government, at the time the board has concluded, may have to look at whether those conclusions are good enough, or whether there are other areas, but so far we are in the start-up phase of the discussion about this, and there is a proposal that is out to be consulted by all concerned. I understand that this is important for everyone, both for employees and for the community. I've just been visiting pretty much everyone on a tour for the last three days, and I see that it's a big commitment. But it's also important in that commitment that those who are to own the development of North University after this process are actually the ones who are involved and mature in that discussion and process, and that everything is not just stopped and comes as a directive from the top.
ParlaMint-NO_2019-05-08.ana.ud164e721	Martin Henriksen – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e726	When I hear this questioning, what strikes me is that I'm left with a little bit more uncertainty about how the government will actually control the North University and the university and higher education sectors, because the signals sent out are, to put it mildly, confusing. The letter of assignment says one thing and actually gives a mission to Nord University to look at the structure. At the same time, there has been insufficient financial room for action to Nord University – not enough scholarship holders, not enough study places, such as the Workers' Party. have been proposed, precisely to improve the ability of the Nordic University to meet the requirements of being a university. I would like to ask: by today’s Question Time, the Prime Minister has actually indicated that she will not instruct the board of directors in the governance model we have today – that is what she gets me corrected for if she wants to. But this government has wanted to have a greater distance between political leadership in the ministry and the university governments through, among other things. to identify a business model. So if the government has abandoned the ability to instruct or review, what is it like when the Prime Minister and the government have intended to ensure that the new signals they have given after December 2018 are actually followed up by North University?
ParlaMint-NO_2019-05-08.ana.ud164e733	The Minister of Research and Higher Education has written a letter to the Board – there is a rather strong action related to this – to point out some of the leaders for whom it might not have been well taken into account or with whom questions could be asked in the principal’s first submissions. It is entirely in line with the government's education policy and higher education policy, that we are working on a reform of competences, that we are actually allocating money. Last year, in the revised national budget, we allocated extra money to develop continuing education programmes for the higher education sector in order to be able to fill in areas not least in the field of technological development and others. Because what we need is to ensure that the educational needs of adults are more met in the sector as well. It's not new – it's generally – that we do it, but it's underlined. That means you've had an active action related to this. But now it's consultation, now it's discussions, now it's different presentations, as it has to be, and then it's also going to happen in the university itself, in the University of Nord, to see how they find the best solutions.
ParlaMint-NO_2019-05-08.ana.ud164e740	Martin Henriksen – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e745	Now I hear the Prime Minister say that it is a strong signal that the Council of State has sent a letter. If you read that letter, the letter says several different things at once. But it was also a strong signal when the government sent over the letter of assignment. It was a pretty strong signal when the higher education minister went to North University and asked to meet the board to say that you had to look at the structure, get quality up and make sure to meet the requirements of being a university. There was not the district foot on which the university should also stand, particularly emphasized. It's not a clear signal – it's custom political communication. After this round, I need to ask for clarification from the Prime Minister. Now there is a local process going on, but is it such that the Prime Minister keeps the possibility that if the board reaches a conclusion that is in line with the principal’s position or that will generate reactions – in Namsos if nursing training is cut off, or in Nesna if teacher training is cut off – will the government take any other steps that break with the governance model we have now had in the higher education sector?
ParlaMint-NO_2019-05-08.ana.ud164e752	If decisions are taken across the government's higher education policy, questions about whether the board is actually doing its job at that time will always be asked. But going into all the leadership that the representative now provided is just one way of trying to torpedo higher education management systems. Now I think there are many good arguments for the different places and for the different issues. These arguments must also be passed on to the North Government. With regard to the hearing opinions, I am absolutely sure that it will be a listening organisation, to look at how to develop it further. We already saw at the first board meeting that some of the clear signals had to be made that we had to find out more. This is a lively discussion of education provision in the Nordic countries and the Nordic countries, which may also provide a wider perspective, without any detailed management of all this from the Stortinget or from the state, before reaching good conclusions.
ParlaMint-NO_2019-05-08.ana.ud164e761	The oral question procedure is now over.
ParlaMint-NO_2019-05-08.ana.ud164e775	There will be a wide range of changes in the set questionnaire, and the President will refer to the electronic questionnaire in the salap. The changes were as follows: Question 2, from the representative Sigbjørn Gülsvik to the Minister for Finance, has been transferred to the Minister for Justice and Immigration who is directing him. However, the question is postponed until the next Question Time, when the Minister for Justice and Immigration has left. Question 3, from the representative Martin Kolberg to the Minister for Transport, is postponed to the next Question Time when the Council of State has left. Question 9, by Kari Henriksen of the Minister for Labour and Social Affairs, is answered by the Minister for Health on behalf of the Minister for Labour and Social Affairs, who has been away. Question 10, from the representative of Mr Aasrud to the Minister for Labour and Social Affairs, is postponed to the next Question Time when the Council of State has left. Questions 11 and 12 from the representatives of Liv Signe Navarsete and Sandra Borch respectively to the Minister for Defence are postponed to the next Question Time when the Council of State has left. Questions 13, 14 and 15 from the representatives of Åslaug Sem-Jacobsen, Åsmund Aukrust and Une Bastholm respectively to the Minister for Climate and Environment have been withdrawn. Question 16, from the representative of Solfrid Lerbreck to the Minister for Research and Higher Education, is raised by the representative Eirik Faret Sakarissen. Question 19, from the representative Maria Aasen-Svensrud to the Minister for Justice and Immigration, is answered by the Minister for Research and Higher Education on behalf of the Minister for Justice and Immigration, who has left. Question 20, from Jan Bøhler to the Minister for Justice and Immigration, is postponed to the next Question Time, when the Council of State has left.
ParlaMint-NO_2019-05-08.ana.ud164e803	‘In the Political Quarter of 21 March, the Grandfather of the Progress Party, Jon Engen-Helgheim, refers to the message of climate change as ‘fearful propaganda’ and ‘hystery’. Engen-Helgheim also states that climate change is not fatal, that the heat wave in the summer was something we should ‘new’, and that ‘it is rare’ we get in the summers. Engen-Helgheim rejects that the heat wave last year of a part of a larger trend. Does the Council of State agree with Helgheim, or does the Council of State agree with the researchers who conclude that summer was part of a larger trend?’
ParlaMint-NO_2019-05-08.ana.ud164e810	The Paris Agreement aims to limit global warming to well below 2 degrees in comparison with pre-industrial levels and aims to limit the temperature increase to 1.5 degrees because this will significantly reduce the risk and impacts of climate change. Norway has acceded to the Paris Agreement. The government's ambitious climate policy works. Emissions are decreasing, especially from road traffic, where emissions were reduced by 9.5 pst. in 2017. Norwegian emissions have not been lower since 1995. Of course, we see this in the replacement of the car park. In order to stimulate a lower-emission car park, the one-off charge has been shifted in an environmentally friendly direction. Environmental differentiation of car taxes and benefits for electric cars have contributed to the fact that more than half of new passenger cars are now able to drive fully or partially on electricity. Norway is the world leader in electric cars. It rolls over 200,000 electric cars on Norwegian roads. The temperature may change significantly from one year to the next. The warm summer last year illustrates this. The world's average temperature has increased by about 1 degree since pre-industrial time. The extent to which this underlying temperature rise affected the high summer temperature last year is uncertain.
ParlaMint-NO_2019-05-08.ana.ud164e819	It is clear that what representatives of a government party think about climate change has something to say. At the national meeting of the Progress Party, the representative Tybring-Gjedde was elected to the party leadership in the Progress Party with the message: I am a climate skeptic – to the applause of the national meeting. The representative Carl I. Hagen said that CO 2 has nothing to do with climate. State councillor Sylvi Listhaug, a member of the government, answered in an interview in the newspaper this weekend to ask if she believes that there is human activity behind climate change, that this is an ongoing discussion. What does the Minister of Finance think about these statements, and will the Minister of Finance guarantee that these tone-setting members – including in the management – of the Government Party The Progress Party will not be able to make an impact on the government for their belief that climate change is not man-made?
ParlaMint-NO_2019-05-08.ana.ud164e829	The Minister of Finance naturally fully supports government policies both in this area and in all other areas on which government policies are based. Then I can inform the representative, Kaski, that the Progress Party programme makes it very clear that we should base ourselves on the precautionary principle of climate policy, that we should base international agreements, that we should be committed to implementing sensible measures to cut greenhouse gas emissions, and that we are generally committed to facilitating measures that stimulate people to change behaviour in a positive way. So there's a lot of ways to do it. You can pick the whip or you can pick the carrot. Many of the carrots that this government has used in climate policy work. Emissions are going down.
ParlaMint-NO_2019-05-08.ana.ud164e836	We're going to leave the discussion of instruments to another time. We often have it in this room. Now I am interested in the views of the Progress Party on whether climate change is man-made. We know that over the last 150 years, we've been increasing the CO2 content of the atmosphere. Researchers agree that there is a direct link between the increase in CO 2 in the atmosphere and the increase in average temperature, and that more precipitation, more extreme weather, and more episodes of extreme temperatures, such as the heat wave last year, have occurred with increased temperature. We also know from last year that hot waves have quite dramatic consequences, especially economically, as our agriculture experienced, but also that in other countries it can be directly life-threatening. There have been many lives in Europe in the last 18 years. This is important because the Progress Party controls the Ministry of Transport, the Ministry of Oil and Energy and the Ministry of Finance – departments responsible for large greenhouse gas emissions in Norway. Therefore, the question of whether it is an independent objective of the Progress Party to reduce emissions when controlling these departments.
ParlaMint-NO_2019-05-08.ana.ud164e851	The representative, Kaski, began by saying that we had to take the debate on the instruments later. I totally disagree with that. That's what we do, which is decisive, not the vocabulary of political change. I mean, we're going to measure what we're actually doing, and this government is going to get the emissions down. That is what we do through the approaches we take in transport policy, through the allocations we have through climate instruments, through the way we have changed the charges. The sum of the measures taken by this government is effective. Emissions are going down. That's because this government has and is going to continue to have an ambitious climate policy. However, we want to use other instruments than SV and other parties in Stortinget, which, in my opinion, would have been significantly more severe than Norwegian businesses and jobs in Norway.
ParlaMint-NO_2019-05-08.ana.ud164e871	This question has been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2019-05-08.ana.ud164e879	‘HUNT study shows that 60-70 pst. the population is obese and one in five Nordics is obese. Between 30 and 40 pst. of those who have a BMI above 27 and who are seeking help for their overweight problem, they actually have an overeating disorder, so that conventional treatment as a nutrition and physical activity does not solve the problem. The treatment provision for people with overeating disorders is very limited. What will the Council of State do to improve treatment provision for people with this most common form of eating disorder?’
