ParlaMint-NO_2019-11-07.ana.ud580e42	The representative, Mr Solfrid Lerbreck, will present a proposal for a representative.
ParlaMint-NO_2019-11-07.ana.ud580e459	I thank you for the answer and record that the administration is more important than the future pensioners. I would like to ask a question related to what the rapporteur on behalf of the government parties said in his post: that the choice that the government has made, 12G and 6.3 pst., gives the best relationship between what you pay in and what you get out. Does the Council of State agree with that claim, or does the Council of State agree more with the employees' organisations, which indicates that their proposals actually provide a fairer distribution profile, because it takes account of the large number of seafarers on ordinary wages?
ParlaMint-NO_2019-11-07.ana.ud580e468	It is not a clear response from employee organisations. As you can see from the hearing opinions, there are also large employee organisations that have no objections to following the majority’s position. In the other occupational pension schemes that we have, it's 12G that's taken into account, so this is going to be equal to the other schemes. I believe that it will strengthen the labour incentives, and it will also give you a greater relationship between what you earn and what you pay for, and what you get into retirement. So it's not right that it's for administration's sake that we're proposing this. There are many reasons for this — including the fact that it will provide both an unpredictable and unpredictable pension situation for individuals. There are many different reasons why it would be very complicated and unwieldy for all parties.
ParlaMint-NO_2019-11-07.ana.ud580e475	I thank you for your answer. It is a perfectly legitimate position to have one who places more emphasis on the pension entitlements of the high-wage pensioners than on the rights of those who have lower wages. The working party does not agree with such a starting point. I noticed that the Council of State said that favoring them with the highest wages helps to strengthen the labour incentives. I would like to explain that a little bit more clearly, because it became a little difficult for me to understand. It should have been the other way around — that if the large number of seafarers had been given better pension rights than the government has provided, it would have strengthened labour incentives, not the opposite.
ParlaMint-NO_2019-11-07.ana.ud580e491	The conversion we're doing now is an important and correct conversion, just to make sure that very many of the people who are part of the plan actually get a pension. Most people today don't get a pension. They pay in without getting anything out again. Now we make sure that 100 pst. receive a pension. Previously, it was 75 pst. who didn't. I think it's right to base 12G, because then you're going to get a payoff for a larger part of the income. A lot of people would get less money with the minority's suggestions. I also think it is an argument that this system is now being made similar to other arrangements that have been put in place. There will be a better relationship between the different pension schemes. It will also improve and promote the mobility of the different sectors, and I think that is an independent point. The more similar the arrangements are, the simpler they will be.
ParlaMint-NO_2019-11-07.ana.ud580e500	The cord shift is over. No more people have asked for the floor on case No. 4th@item: inlistbox
ParlaMint-NO_2019-11-07.ana.ud580e508	So today's map is ready to debate. The store is taking a break, and according to the announced agenda it will be voting at 0 p.m. 14th @item: inlistbox
ParlaMint-NO_2019-11-07.ana.ud580e527	The size is then ready to go to voting.
ParlaMint-NO_2019-11-07.ana.ud580e539	During the debate, Mr Gülsvik presented a proposal on behalf of the Central Party. The proposal reads as follows: ‘The government is asked by the government in future propositions that may have an impact on the competitive situation of Norwegian business, and otherwise, where relevant, to assess whether the submitted is in Norwegian interest and to include it in the chapter ‘Economic and administrative impact’. Red is in favour of the proposal.
ParlaMint-NO_2019-11-07.ana.ud580e692	It's going to go above the heading of the laws and laws at all.
ParlaMint-NO_2019-11-07.ana.ud580e702	Law decisions will be passed until a second time in a future meeting of the Stortinge.
ParlaMint-NO_2019-11-07.ana.ud580e733	A total of four proposals have been put forward during the debate. It's proposal No 1, from Ingrid Heggø on behalf of the Labour Party, the Socialist Left Party, the Green and Red Environmental Party proposal No 2, from Sigbjørn Gælsvik on behalf of the Center Party proposal No 3 and 4, by Solvency Skagvoll Foss on behalf of the Socialist Left Party and the Red Party First, the proposal No. 3 and 4 from the Socialist Left Party and the Red Party. Proposal No. 3 sounds: ‘The Government is asking the Government to step up its efforts to strengthen the official production of means of payment and to establish a digital means of payment for the public, issued by the Bank of Norway’. Proposal No. 4 sounds: ‘The decision asks the Government to unravel the possibility of digital account and payment solutions provided by the public and whether blockade technology may be appropriate in this respect.’
ParlaMint-NO_2019-11-07.ana.ud580e767	Proposal No. 1, from the Labour Party, the Socialist Left Party, the Green Party and the Red Party. The proposal reads as follows: ‘The government asks for the role and position of the cash, including an assessment of the right to pay in cash against the wishes of economic operators to act in cash and to return to the Storting appropriately’.
ParlaMint-NO_2019-11-07.ana.ud580e789	Alternatively, between the recommendation of the Committee and proposal No. 2nd from the Center Party. The proposal reads as follows: ‘I In Law 25 June 1999 No. 46 on financial agreements and tasks are amended as follows: [[the Financial Contracts Act;]] Paragraph 38, third paragraph, is replaced by the following: a consumer is always entitled to make settlements with the payee with forced means of payment, including in all the payee's branches, in sales vehicles, on board or wholly close to the point of entry to the means of transport and in other equivalent places. [[3]] The Court of First Instance is inevitable except for amounts exceeding the amounts laid down in the first paragraph of Section 5 of the Money Laundering Act. Paragraph 91, first paragraph, first sentence, is replaced by the following: The person who infringes § 14, § 38, third paragraph, § 55, second paragraph or § 46 is punished by fines or in particularly aggravating circumstances with imprisonment up to three months. II The law shall enter into force immediately.’
ParlaMint-NO_2019-11-07.ana.ud580e825	Since more people in the room have made a mistake, I repeat the vote.
ParlaMint-NO_2019-11-07.ana.ud580e844	During the debate, two proposals were put forward by Lise Christoffersen on behalf of the Labour Party, the Centre Party and the Socialist Left Party. First of all, there will be a vote on proposal No. 2nd@item: inlistbox The proposal reads as follows: «In Act No. 3 December 1948 No. 7 on the pension scheme for seafarers is amended as follows: Paragraph 30, second paragraph, is replaced by the following: Workers who, at the date of entry into force of the Chapter, have reached the age of 50 years may choose whether to continue to earn in accordance with the rules laid down in Chapter III or Chapter X.» The Greens and Reds have already given their support to the proposal.
ParlaMint-NO_2019-11-07.ana.ud580e1076	First, there is a vote over Section 35, second paragraph, last sentence. Red has announced that they will vote against it.
ParlaMint-NO_2019-11-07.ana.ud580e1090	There will be further voting between § 33 of the recommendation and proposal No. 1, from the Workers' Party, the Centre Party and the Socialist Left Party. The proposal reads as follows: «In Act No. 3 December 1948 No. 7 on the pension scheme for seafarers is amended as follows: Paragraph 33 is replaced by the following: § 33 Pension stock – retirement and retirement pension calculation The annual pension is calculated on the basis of an up-to-date pension stock. Pension stocks are built up by the sum of annual service provision, which represents 7,5 per cent of employee’s gross income on board. For employees employed on board vessels engaged in fishing and fishing, annual service represents 7,5 % of gross income on board, advance on lot and draw. Pension provision is provided after the second and third subparagraphs up to and including the month when the employee reaches the age of 70. Income up to 7.1 times the basic amount provides service provision. Performance is continuous, with effect from the date of effect. Income from service time referred to in the second sentence of the second paragraph of Section 32 does not provide a basis for service provision’. The Greens and Reds have already given their support to the proposal.
ParlaMint-NO_2019-11-07.ana.ud580e1135	And then the rest of the Romartals and the sections of the recommendation.
ParlaMint-NO_2019-11-07.ana.ud580e1145	The title of the law and the promise are then added to the law.
ParlaMint-NO_2019-11-07.ana.ud580e1155	The law decision will be passed until a second time in a future meeting of the Stortinge.
ParlaMint-NO_2019-11-07.ana.ud580e1186	This means that today's maps are ready. Does anyone ask for a word before the meeting is cancelled? - The meeting has been cancelled.
