ParlaMint-HR_2020-02-21-0.u181371	The next one will speak to a respected independent representative, Bruno Esich, here you go.
ParlaMint-HR_2020-02-21-0.u186986	Thank you very much, Vice President. Say hello to everyone one more time. In fact, I'm as consterned as my colleague Schucker is to discuss very little about this subject and encourage it to point out once again how important it is for every data that is obtained and sublimed in this way and when it is done by this data-using and co-ordinated with many services, institutions, ministries, to get as high as possible data and then to discuss it with them and to deal with them and to make what is important and some future decisions. Because here's when you look and I agree here and I have expressed my wish and request that the State Institute do much more at the quality of the website itself and the availability of the data so that we and using this data in our daily work can get to them as quickly as possible, and that will require this interface that will be very high-quality in order to get the data we need. What I would like to point out in particular is the report that Eurostat and Ms Kotzeva gave to the Ministry of Statistics in this year, which is that significant changes took place and that has improved the system of state statistics by not forgetting that we still have the part that we need to solve, so the institution to make this even more accurate, more complete and timely so that more actual data is available. This is what we should be working with and what we should be working on, but that there have certainly been significant quality shifts and we expect that with the already mentioned higher amount of funds approved in the state budget for 2020 and so on, the Institute will make real quality shifts in this regard. I'd like to take a look at this state of eviction and occupancy in and out of the Republic of Croatia, if you look at the current report you have on the website of the office, then you can keep a nice eye on the total emigrations from 2014 to 2018, for example. Since 2014, we have 20,000 emigrated, 2015. 29,651, 2016 Commission Implementing Regulation (EU) 2017/61 of 18 December 2017 laying down detailed rules for the application of Regulation (EU) No 1306/2013 of the European Parliament and of the Council on the financial rules applicable to the general budget of the Union and repealing Council Regulation (EC) No 1036/2006 (OJ L 348, 30.12.2017, p. 1). 37.5515 and 39,352 and 2018. Compared to those who have been displaced since 2018, we have moved 26.029, so Europe and the whole world, the EU as a whole, as well as all other countries. So when we talk about not having some data, then we just have to look at some facts and see that it's not how some claim it, but that we need to read some data qualityly and then apply them to the current situation. Also from this data is important then that I do not read them to see which parts of the world they come from, in which way exactly what my colleague Schuker was saying, whether our residents who have moved have the rights, whether they have checked out for health insurance, who is carrying that part of the burden, etc. All of these are individual data that must then be thoroughly analysed in order to create certain policies and then know in what way to project whether here is the problem of financing in health care, the quality of health care or something else, so the quality of housing, because when a European looks at our statistics as much as we do not know, the bathroom in the house or how many other municipal equipment we have, then they also evaluate us to the quality of our life. But that's a very significant piece of information to us, too, what Mrs. Dark Taritash said, where in this way we can bring some strategies and policies and thus contribute to developing in that real sense. So, the importance of each and every one of us as much as we do, and we know from practice sometimes seems to be something that's too far-fetched, but it's very important because that way we can create the right picture and ultimately make the right political or economic decision on how we're going to develop. This is why I also point out once again what we discussed on the Committee itself, that it is very important that it is very important that this is exactly what the DZS itself is doing, that it is very important that the Croatian Parliament discusses it, that it also makes decisions and that it has insight into everything that is happening because this is the right place to be discussed. And that's why we support this law anyway.
ParlaMint-HR_2020-02-21-0.u186987	Thank you very much. We have one replica of the respected representative Maras. Here you go.
ParlaMint-HR_2020-02-21-0.u186988	Thank you very much. Mrs Grozdana, I listened very carefully to you, but also to my colleague Shuker when he said there was no room here for general political, political debates. I agree with that, but the problem is when solutions like this, or when statistics don't provide answers that Mr. Shucker rightly pointed out as a problem, and that's why people move out, how many they move out, how trends they are, what we can do to get people back to the Republic of Croatia, and that's something to talk about here because we've been witnessing for the past 3.4 years that almost 200,000 of our citizens have left Croatia. We can't be satisfied with that, and it would be good if we got the statistics of the answers to this particular guy, which are the reasons for the eviction, what we can do to get people back, and then that would be, I'd say, useful for us who make certain decisions. Thank you very much.
ParlaMint-HR_2020-02-21-0.u186989	Thank you. The answer of the respected representative Peric.
ParlaMint-HR_2020-02-21-0.u186990	So, dear colleague, the DZS is responsible for these data that they collect to be as high-quality and as accurate as possible, and on all other entities, it is then to deal with these data and analyze it. So that main responsibility is certainly not on the DZS. When you look at what I have read, and this trend that since 2013 and since 2014, respectively, that trend has increased to 2018 when it fell by about 9,000, it is also important to take account of very well, and it will be interesting what it will be in 2019.
ParlaMint-HR_2020-02-21-0.u186991	The next individual, the violation of the Rules of Procedure, was raised by a colleague, Maras, in what way did the Rules of Procedure get hurt?
ParlaMint-HR_2020-02-21-0.u186992	Well, I mean, statistics is an exact science, so that's where we can measure numbers...
ParlaMint-HR_2020-02-21-0.u186993	.../Intruder Reiner: Excuse me, what has the Rules of Procedure been injured in?...
ParlaMint-HR_2020-02-21-0.u186994	- Mrs. Crescent. Grozdana Perić was injured by an article. In 238 and said incorrect information, so he didn't fall...
ParlaMint-HR_2020-02-21-0.u186995	You're getting a warning because you know it's not true.
ParlaMint-HR_2020-02-21-0.u186996	... the number of people evicted from Croatia, unfortunately in 2018.
ParlaMint-HR_2020-02-21-0.u186997	.../Intruder Reiner: A colleague of Maras, sit down, you get a warning./...
ParlaMint-HR_2020-02-21-0.u186998	I agree, I just wanted to say that she said the wrong information. Thank you very much.
ParlaMint-HR_2020-02-21-0.u186999	A fellow Maras, based on art. In 240, I give you a reminder by taking away your words.
ParlaMint-HR_2020-02-21-0.u187000	... [[- Intruder Maras, you can't hear.]]
ParlaMint-HR_2020-02-21-0.u187001	Based on the fact that after I warned you, you continued to speak, you were aware that you were violating the Rules of Procedure. Next individual debate...
ParlaMint-HR_2020-02-21-0.u187002	Just a little bit, Mr. Vice President...
ParlaMint-HR_2020-02-21-0.u187003	Comrade Maras, I beg you...
ParlaMint-HR_2020-02-21-0.u187004	This is scandalous. No one's ever taken my word from me in Parliament like this.
ParlaMint-HR_2020-02-21-0.u187005	I'm asking you to sit down...
ParlaMint-HR_2020-02-21-0.u187006	I'm not gonna sit down because you're making a mess. You're making a mess.
ParlaMint-HR_2020-02-21-0.u187007	A fellow Maras, based on art. In 240th century, I give you a reminder by taking away the word until the end of the debate on this subject.
ParlaMint-HR_2020-02-21-0.u187008	Wait, you just took my word from me, so now you're taking away my word until the end of the debate?
ParlaMint-HR_2020-02-21-0.u187009	Yes, sit down because you are violating the Rules of Procedure./...
ParlaMint-HR_2020-02-21-0.u187010	You're breaking the Rules of Procedure, I wanted to sit down, you've been looking forward to me saying one sentence to take away my word that I can't argue.
ParlaMint-HR_2020-02-21-0.u187011	.../Intruder Reiner: A colleague of Maras, please take a seat./...
ParlaMint-HR_2020-02-21-0.u187012	I'm asking you to give me back that I have a real debate.
ParlaMint-HR_2020-02-21-0.u187013	.../Intruder Reiner: Behave yourself in accordance with the Rules of Procedure./...
ParlaMint-HR_2020-02-21-0.u187014	No, you're being polite. I have the right to debate in this assembly.
ParlaMint-HR_2020-02-21-0.u187015	.../Intruder Reiner: Yes, according to the Rules of Procedure./...
ParlaMint-HR_2020-02-21-0.u187016	But you can't give me after the first warning immediately taking away the word, it's not in accordance with the Rules of Procedure.
ParlaMint-HR_2020-02-21-0.u187017	Because you didn't stop talking, I wanted to ask you to stop talking and sit down. You knowingly continued to violate the Rules of Procedure.
ParlaMint-HR_2020-02-21-0.u187018	No, I didn't.
ParlaMint-HR_2020-02-21-0.u187019	I'm still doing it to you.
ParlaMint-HR_2020-02-21-0.u187020	No, I didn't. So turn me off, yeah, come on, turn me off. Mr. Rainer, I'm asking you to give me back my right to speak.
ParlaMint-HR_2020-02-21-0.u187021	.../Intruder Reiner: The next individual debate will be.../...
ParlaMint-HR_2020-02-21-0.u187022	.../Intruder Maras: Can you give me back my right to speak?/...
ParlaMint-HR_2020-02-21-0.u187023	Of course I can't.
ParlaMint-HR_2020-02-21-0.u187024	But look, I mean...
ParlaMint-HR_2020-02-21-0.u187025	The next individual debate will be a respected representative of Mira Bulja. Here you go, buddy Bull. You can't.
ParlaMint-HR_2020-02-21-0.u187026	.../Intruder Maras: The right to harm the Rules of Procedure I still have./...
ParlaMint-HR_2020-02-21-0.u187027	You don't.
ParlaMint-HR_2020-02-21-0.u187028	.../Intruder Maras: I have./...
ParlaMint-HR_2020-02-21-0.u187029	Comrade Maras, what do you have then?
ParlaMint-HR_2020-02-21-0.u187030	Mr. Vice President, you've injured the Rules of Procedure in giving notice.
ParlaMint-HR_2020-02-21-0.u187031	.../Intruder Reiner: You have no idea what article./...
ParlaMint-HR_2020-02-21-0.u187032	That's an art. From 230 onwards, read to yourself and you'll see.
ParlaMint-HR_2020-02-21-0.u187033	Come on, don't, please.
ParlaMint-HR_2020-02-21-0.u187034	So you couldn't give me two consecutive warnings for this thing.
ParlaMint-HR_2020-02-21-0.u187035	Okay, if you think I was wrong, please contact the Committee on the Constitution, the Rules of Procedure and...
ParlaMint-HR_2020-02-21-0.u187036	.../Intruder Maras: What, the one you are chairing?/...
ParlaMint-HR_2020-02-21-0.u187037	The Committee on the Constitution, the Rules of Procedure and the political system that resolves this.
ParlaMint-HR_2020-02-21-0.u187038	.../Intruder Maras: So what, when you're tried, cadiya sues you, that's that variant?/...
ParlaMint-HR_2020-02-21-0.u187039	Comrade Maras, so listen to yourself, you constantly, knowingly continue to violate the Rules of Procedure.
ParlaMint-HR_2020-02-21-0.u187040	.../Intruder Maras: Yes, because you have not given me the right to speak./...
ParlaMint-HR_2020-02-21-0.u187041	You try with me, I don't know, fight, compete, I won't argue with you. I can't think of going down on that.
ParlaMint-HR_2020-02-21-0.u187042	.../Intruder Maras: Yes, yet you are the knight of Jerusalem's tomb./...
ParlaMint-HR_2020-02-21-0.u187043	Please, sit down.
ParlaMint-HR_2020-02-21-0.u187044	No, I won't sit until you give me the right to speak.
ParlaMint-HR_2020-02-21-0.u187045	Of course I won't give it to you, I don't think so. I'll give the right to speak to a respected representative of Bull who has an individual debate, please.
ParlaMint-HR_2020-02-21-0.u187046	Thank you very much. We are talking about statistics, we are talking about a new proposal for a law on statistical data, but the fact is that statistics that come from statistics are mathematically coming up with a number of analyses, but I would say here whether Croatian politics and policies are actually looking at these analyses and what is actually happening. All of this now, this proposal of yours, essentially this is a alignment with European official statistics, in fact nothing spectacular is going on except for some other body that's going to be, which is being presented here, but the fact that we're talking about statistics, it's basically just going out in the Republic and there was a dead letter on the policy paper that had to be analytically analysed, mathematically that came to results, which, unfortunately, were. I'm not gonna be here to throw just black stuff away and say that they're devastating about whatever we're going to do. If we go on the demographic issue, we see that statistical indicators say that in the Republic of Croatia the condition is that we have 2/3 of Croatia empty. That we have a situation where the government with examples of curricular reform, education, the minister emphasizes it while in my Sinj, in the Brnaza settlement that has 5000 inhabitants, it is fortunate that the children were not at that time at school, the roof has fallen so that demographic policy and statistical indicators and what the Minister and Government of Andrej Plenkovic boast to invest in these pills, in digitisation, in modern technology, that there is a curriculative reform that knows where and how, literally, we do not have sponges and chalks in school. Here's a statistical indication that the ceilings that have been falling for 40 years. Other indicators that are on the subject, we can set an example here, here's the environment you mentioned, the Ministry of the Environment. When we see the indicators, what's this about? So when I look at what Minister Coric is doing, instead of dealing with environmental protection and doing the basis of these statistical indicators because we are all calling for climate change today, stopping these bad climate change, instead of protecting our drinking waters, because the analyses also say that Croatia is one of the richest countries in the head of the population, in Europe we are, drinking water, which we achieve, not protecting the environment, but it is important that the minister killed, Coric, the court ruling, the Administrative Court of Justice in Split after the appointment of the director of NP Krka, although she had the criteria of appointment, the foundation of Djujic's proposal, which was in the Sibenik-Knin president of the HDZ, was named naturally the director of persons with two IDs, HDZ and HNS and not Mrs. Ljiljana Zmijanovic, who has IDs, who has a defence card and who has one, means better scientific references. And not only that the chief inspectorate is being refuted but the minister, the minister is seeking the exception of the judge in the second procedure, after he broke one time, the inspection also said that the illegal appointment in Krka National Park is now seeking the exception of the judge through his own man, the representative from the ministry who was a member of the committee at the appointment, he sends the judge, he sends an exemption because the court is not implementing its own, that it is not in the process, is not guided by sound logic. So Minister Coric is burying the judiciary. We see that the judiciary is buried, statistics indicate that our judiciary has problems in unsolved cases. Minister Ćoric asked a few days ago for an exemption from the judge on the appointment of the director of national, illegal appointment, for the second time a process is being conducted, the director who has HDZ and HNS's card at the same time, Mr. Nela Slavica. He's burying the court, Minister. Well, immediate resolution. Where's Andrej Plenkovic and his courage? The immediate resolution of Minister Coric, who seeks an exception in court that the court is not guided by logic. Of course we're going to have a statistical indication that it's catastrophic and that people who are high-quality are going out. As for the economic part of the statistics. Since the government doesn't see it and since the government boasts of the data that economic growth and fact is, but what economic growth? 6% of GDP comes from abroad from our people, whom this government has made its own policies, regardless of the statistical indicators to which Mrs. A representative, our colleague Peric, before me. 6% of the GDP of our people who have been evicted to third countries policies as implemented in this case, the Sibenik-Knin County, where it was appointed to the director of a person with poor criteria, has no defence status, as others do, but it has a HDZ and HNS card and it is a key story. The important thing is that Dujic is down there saying that she's the bad guy and the river has to be her and it's over. Those two cards are more important, and that's a statistical indicator of why people move out. So we have to say from these statistical indicators are these county needs at all. We're now the state offices of the administration of all the people we've moved to the county. And we're even stronger, he says we're decentralisation, and you've got 20 Pharaohs who do their jobs the way they want them to, do what they want, hire what they want, just look at the appointment of a national park. Well Minister Coric, I don't know if he's ashamed. Instead of protecting the Krka River, Zrmanja, there are problems of unambiguous ecological, catastrophic, instead of dealing with this problem, to throw waste management, the best way to find out, not that chaos is both in Zagreb and down in Dalmatia, from Sinja transports this, from Vrgorac 100 km transports waste. So no statistical indicator, I believe you'll make good statistical indicators where we're going to align this law, but what kind of policy are we, colleagues, going to implement with these statistical indicators? Well, two-thirds of Croatia are empty. If this trend continues, we will soon have, not under 4 million people, but below 3 million people. Well, the result of this policy is that we've evicted people, like politics in Yugoslavia in the '60s, only then were only men, mostly, but families stayed, and now young people are leaving and there's no birth anymore, very little. The number of births is dropping. There's a drop in the number of kids in schools. Schools are collapsing. Now we only have tears, less and less in maternity homes, more and more on children, and more on bus stations, but parents, grandparents, as their people leave. So what are my statistical indicators? In agriculture, a statistical indicator? Here, I'm interested in statistical indicators, we've known for years that we've been miserable in watering our agricultural surfaces. What did we get out of those statistical indicators? Nothing. No one cares. You will do your statistical work, you will do us, but from these mathematical analyses, statistical indicators, policies must be conducted. We used to have 60, recently 10 years ago, 64 thousand O.P.G.s who were engaged in cattle farming, i.e. Muscular cows. Today we don't have four thousand people like that. We don't have four grand. So what kind of politics is that? Is it so that when you come to God, this is in my province of Cetina, the field of Sinai is not watered? Cetina, a clear river passes through the Sinjsko polje, we have the proximity of Split, we have the coast of Makarska, we have the Sibenik hinterland, we have the trogirska, we have the tourist lot, and the Sinjsko polje is not watered. And that in statistical indicators shows that we are catastrophic, and we have European funds, we boast. Agglomeration systems later, so I think what I'm talking about is statistical indicators that the Institute will do their job the way it works mathematically, but what does politics do? And then the prime minister comes in here and says Mr. Bulj, your ticks are that 6% of GDP is from abroad, and that's the main reason why it's growing, economic growth in the Republic of Croatia, and what's causing it? It's a cause, an emigration, targeted and planned, and now it's happening that we've rebalanced, that four years ago there's been, not so many thousands of foreign workers, there's now 100,000 foreign workers we're importing and now we're liberalizing that we can all go in however they want, and we've moved ours out. Essentially, from the Tokars, locksmiths, engineers, builders, except for the Free builders, I don't know if there's any Free builders here, maybe the Free builders can know it, it's not there, so I'm not going to ask him. Without... The big maester. [[The speaker doesn't understand.]]
ParlaMint-HR_2020-02-21-0.u187047	Thank you. We have one replica of the respected representative of Ivica Music.
ParlaMint-HR_2020-02-21-0.u187048	Thank you, Vice President. A fellow Bull. About, no, you're not to blame for what happened at the Most, and we know for ourselves, and I was with you. We could've worked things out that we were in the government and tried to fix it. Why did you come out? You had Dobrovic's environmental protection. Why didn't you know? How many of you are left? We can't just say it's no good, it's, it's got to be done and done. Let's think of water and godfathers, so if you can't work and you can't run, and we had a great chance when I was and we were together, there were 19-20 of us, so you're left at 5, 6, 7, I don't know how many of you there are today, so the system needs to know how to lay down, you need to know how to lead the people. I'm not going to say that everything is ideal for this government either, but gentlemen need to get to work and not talk, this is just a story we can tell. Here's an hour to talk and broadcast. [[Intruder: Thank you]] Croatian people... [[Intruder: Thank you...]] [[/The speaker doesn't understand.]]
ParlaMint-HR_2020-02-21-0.u187049	...this response to the esteemed representative of Bulj.
ParlaMint-HR_2020-02-21-0.u187050	Thank you very much. Dear Muscle, if you had entered through the Most, you would have gone too far with HDZ, the SDSS, and now you're a token of Bandic's, I'm not. To stay alone I'm not that, I'm not even a party member, but I think MOST is the first political option and 12 people who said not to sell INA to strangers, no, we have a lot of legal initiatives and in a very short time we tried to do something and we were wrong, we probably are, but I'll never be anyone's chip, ever. I'm an ear on the MOST list, you've entered, you've been a master animal builder, a MOST sheepman, and then you're a master builder, but that's your right. But the fact is that, in fact, all the statistical indicators that Mr. Music is showing up here are devastating and you support such a government, you as a beast became a single realist, you entered from the living wall list. You're from the Living Wall and now you're a little nervous, but here comes Bandic, he knows how to do it. [[Intruder: No]] Maybe he's a good builder, too. [[/Intruder: Thank you very much.]]
ParlaMint-HR_2020-02-21-0.u187051	Now, this proposal for the Law on Official Statistics will have a final word on behalf of the Club of Representatives of Independent Lists, a respected representative of Miro Bulj.
ParlaMint-HR_2020-02-21-0.u187052	Here, I'm just going to repeat what I said earlier, respecting harmonisation and your intentions to bring statistics into line with European statistical standards, and that's normal to be harmonised. However, here I am not calling you and all that this law will produce, but the fact that the law which we are now talking about is essentially so far that the statistical indicators showed mathematically and the analysis showed that policies were catastrophic. So, if we're talking about demographics, I said that, if we're talking about agriculture, I said, just about the O.P.G.'s muse cow when I said how much was 64,000. How much do we import today? We are today importing over 3 billion food products, and we are missing with the growth of tourism, so we boast, which means that we are not creating additional value in agricultural examples, because if it is a distant example of my Sinj either irrelevant or, or Lika, or if it is near a tourist destination, so is it possible that we have to do the stimuli,... We have to import the tomatoes from Italy. [[/The speaker doesn't understand.]] The blue field isn't irrigated, we statistically know that it's a very small percentage of the irrigated fields. And what policies we run and then here we boast under these lights, and now we chair the council. The EU, an increase of 2, 3, 4, 5%, and if we hadn't evicted this Croat from this 2/3 of our youth, we wouldn't be in a banana. But in the long run, we're in a banana because we're importing labor who knows how and the carriages come while we're moving our people out. More, now we've liberalized, you're going to vote today on that law. 2016 was 1500, two, I don't know, a very small number of several thousand were foreign workers, this year 100,000, although they pronounce us like this only until half of 2019. By the 8th month, 11,000 workers from Serbia were, 22,000 from BiH and now it's growing rapidly, we moved people targeted, in the 1960s, trains were organised in Yugoslavia to go to Germany, those to whom they were parents in Germany, and now in my province it happened, so it happened, but so it was too difficult in these rural areas, but they remained mostly children, now the whole family is leaving. So when I look at that education, health care, so how much we have the mayor, the county, the Pharaohs, so when I look at that appointment, and now that I've seen, this morning when I saw that Minister Ćorić asked for an exemption from the judge in the event of appointment in the national park of a person with two IDs and HDZ and HNS at the expense of Mrs. Coric. Ljiljana Zmijanović, well, that's meaningful, so everyone will go. These statistical indicators must be those that say even in agriculture is so that we can do it in the economy, I don't think we're doing anything. We can discuss here now and statistical indicators are mathematics, ways and models that are the best quality. From these mathematical indicators, they extract analysis. Who's pulling the analysis? It's important that we pyroski do how economic growth is in the Republic of Croatia, it's important to do how curricular reform is being implemented, pills, this, that. I repeat, in the Brnazas, the castle. The suburbs of Sinj the other day was so the roof in the classroom, ceiling, ceiling, pardon, ceiling fell. Thank God it wasn't a drawer, we're missing reform, they don't have sponges to wipe the board and chalk, so it's in rural areas. Instead of based on statistical indicators, we say no children have the possibility of kindergartens, how many children can't be between 3 and 6 years old, which is our obligation since 2000. from Barcelona, the European Council, when the conclusion was reached, that 90% of children have the possibility of kindergartens. So we have a municipality of 30% in local self-government that doesn't have the possibility of having one child in rural areas of kindergarten. Who's gonna stay here? Statistical indicators that, but changing policies, directing them according to these statistical indicators, if we have those indicators as dead letters on paper and if we're going to discuss and we're going to tell each other this, what I'm calling on those who are strategically thinking, those who have taken over the leadership of the state to base statistical indicators will see where the problems are, and the problems are huge, and the solution is precisely in those indicators. Thank you.
ParlaMint-HR_2020-02-21-0.u187053	Thank you very much. That concludes the debate on this point, we will vote on it when the conditions are met. And now we're gonna take a break by 12 hours when there's going to be a vote on those points that have been discussed so far. It's 10.47 o'clock.
ParlaMint-HR_2020-02-21-0.u187054	Final proposal of the Law on official statistics, emergency procedure, first and second reading, P.Z. No. 838. The Proposer is the Government. The debate is closed. The amendments were submitted by the Committee on Legislatives, the Committee on Finance and the State Budget and the GLAS Representatives' Club. I would like to ask the proposer's representative to take note of the amendments submitted, with us the Secretary of State Katica Prpic, please. We're going to the first amendment, it's the Legislative Committee.
ParlaMint-HR_2020-02-21-0.u187055	The President-in-Office and the honourable MPs, the honourable MPs, all amendments to the HS Legislative Committee shall be adopted.
ParlaMint-HR_2020-02-21-0.u187056	Thank you. So all three are accepted and become an integral part of the law. We are going to the amendment of the Committee on Finance and the State Budget.
ParlaMint-HR_2020-02-21-0.u187057	All amendments of the Committee on Finance and the State Budget shall be accepted.
ParlaMint-HR_2020-02-21-0.u187058	And they become also an integral part of the bill's proposal and we are now going to the amendment of the GLAS Club.
ParlaMint-HR_2020-02-21-0.u187059	The proposed amendment is not accepted with the explanation State Geodetic Administration is the owner of administrative data sources used by the State Statistics Office in the process of producing official statistics and in the context of the implementation of certain statistical activities and the development of statistical areas of professional cooperation between the State Geodetic Administration and the State Statistics Office intensively and daily.
ParlaMint-HR_2020-02-21-0.u187060	Here's your obvious, esteemed colleague, Dark Taritash.
ParlaMint-HR_2020-02-21-0.u187061	Thank you very much, Mr. President-in-Office. I am asking for a vote on this amendment is, in fact, the fact that this amendment proposes that the State Geodetic Authority participates actively as well as all other ministries listed in the said provision of the law, therefore this argument does not stand at all because it would then also be for all other ministries because the national statistics therefore participate in daily and with other ministries. Well, according to that criterion, there should be no other ministry in the competent authority. So, the explanation absolutely does not stand and ask for a vote on this amendment because we think that our statistics would be more effective and better it would certainly be better if there were also a representative of the State Geodetic Authority in the competent body. Thank you very much.
ParlaMint-HR_2020-02-21-0.u187062	Then let's vote on an amendment that the government does not accept. I'm saying he didn't get enough votes, so we're going to vote on the final draft of the Official Statistics Act. Please, let's vote. I find that most of the 104 votes for and 7 abstentions have been passed by the Official Statistics Act.
