ParlaMint-HR_2020-11-12-0.u9691	It is now up to Mr Domagoj Hajdukovic, who will be the SDP's position. Here you go.
ParlaMint-HR_2020-11-12-0.u12511	Here's your answer.
ParlaMint-HR_2020-11-12-0.u12512	Thank you well-respected MPs and for your replica and contribution to the debate. Here, I'm just going to refer to myself a little while ago, we heard among other things and the suggestions that we go complete flat, you're advocating much more progressiveness, that is, introducing more rates, so in some way, it makes the conclusion that the tax system is obviously quite important, very complex, and, of course, like many other topics, we're not going to have the unisoned thinking and seeing the whole situation, but I'm going to repeat again, so through all these tax changes, not only these in the 5th round, but also, it's really intentional, and I think that the figures here are the best showing, I'm going to take care of as much as possible, in terms of fiscal possibilities, to translate them into tax discharge. We in tax reform started with the thought of improving the system as such, simplified, more transparency and so on, but with budgetary steps and improvements we opened up constant spaces for additional discharges and that's what we do. But here, we see for ourselves, and it's good that you say and all the others say, That, among other things, we face some arguments and think about [[Intruder: Thank you.]] Different things. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2020-11-12-0.u12513	Now, two of my colleagues are going to be talking to the video. The first one's a co-worker's trip, here you go.
ParlaMint-HR_2020-11-12-0.u12514	Hello, do I hear from you? Dear President-in-Office of the Parliament, honourable fellow MPs and MPs and respected citizens. [[- Yes, and we see.]] Dear Ministers, we have one question, so these days, the tax administration has asked for small and micro entrepreneurs and directors of the company to pay the difference in contributions for 2019, if they were employed on less than full time and on less than prescribed basis.../ The speaker is not on.
ParlaMint-HR_2020-11-12-0.u12515	But if he's frozen, I know what he's asking, so I can answer anyway.
ParlaMint-HR_2020-11-12-0.u12516	Our question is, will you seek the content of this disputed solution and bring perhaps a change to the Law on Contribution that you have brought in 2019, which would exclude both micro entrepreneurs and small entrepreneurs and women entrepreneurs from this Contribution Act? Thank you very much.
ParlaMint-HR_2020-11-12-0.u12517	Thank you. We haven't heard one piece of the replica, but a colleague, or Minister Maric, has realized, as far as I understand it, what it is, so I hope you will give an answer to your line, please.
ParlaMint-HR_2020-11-12-0.u12518	That's right, thank you very much, Your Honor. It is, I realized, it is the solutions issued that should have been issued even earlier in the year, but because of the covid, we have moved the deadline and issued these 23923 solutions, with the fact that on behalf of the personal and tax administrations, an apology must be sent to the pensioners and to all our fellow citizens who are on maternity leave, and they have been granted solutions, according to official duty, those solutions are repealed. So we're talking about some 19 and some thousands of solutions that went towards those changes that went into effect for 2019. I'll do it again, we're talking about the basis for calculating health and pension contributions. So one piece of information just to tell you, and then I'm going to say in some of the next interactions on how many people there are, so all of those that have a coefficient of 0.8 and below, so relative to the base. When you look only from the prism of pension insurance the lowest pension the state guarantees is getting more than they pay, so we have to. speak according to the concept and principle of solidarity and justice [[Intruder: Thank you]] Thank you. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-12-0.u12519	A colleague of Kujundzic is currently out of touch, so he will try to contact him on the phone with our service, and by then we will go to the other two replicas. First up, she's a colleague of Nemet's. Here you go.
ParlaMint-HR_2020-11-12-0.u12520	Dear Minister, I would like to know why, as part of the proposed amendments to the Tax Act on additional value, it is not a proposal to reduce VAT on tourism when we know that it is taxed at two rates, which is 25% and 13% and we know that your statement that VAT in tourism is generally 13%, which is not acceptable to me. Dear Minister, will it and when the VAT on tourism will be reduced?
ParlaMint-HR_2020-11-12-0.u12521	Here's your answer.
ParlaMint-HR_2020-11-12-0.u12522	Thank you very much, Your Honor. All right, a little bit, now, if I'm somewhere clumsy about this, I'll say it now. So, GRO services in tourism are at a reduced rate, so complete, accommodation services organized and similar to 13%, supplying and serving food in and outside catering facilities is also at a reduced rate, only it's not serving drinks, right? I think we're clear then, so if there were any misunderstandings before we could clear it up. So, we're talking about an important segment of Croatian society and economy, like some others, we're talking about, it was a little while ago and, and another replica on the subject of some kind of deadlines and speculating whether or not it will, at this point we wouldn't talk about it, but I'm going to repeat again, for the catering and tourism sector in the whole series and tax changes in the context of tax reform, and some others are focused on giving some additional stimulant to a very pro-pulsive industry or part of the economy of the Republic, and I'm going to say again, not only and we're not going to put All the eggs in the same basket. [[Intruder: Thank you]] Thank you very much.
ParlaMint-HR_2020-11-12-0.u12523	In the meantime, I see a screen and a colleague of Kujundzic, I welcome him, and you're up for the line, please.
ParlaMint-HR_2020-11-12-0.u12524	Good morning Chairman, good morning fellows. Your Honor, I'd like to ask you two questions, actually, why has the government not yet responded to the motions of MOST that are in fact wanted and wish to abolish mandatory members of the HGK and the HOK? And second question, do you think that the debt collection tax procedure should be public since no one has ever announced what the particular state has done to collect debt from the debtor, nor has anyone systematically tackled the analysis of the debtors themselves? Thank you.
ParlaMint-HR_2020-11-12-0.u12525	Here's your answer.
ParlaMint-HR_2020-11-12-0.u12526	Thank you very much, Your Honor. The first part of the replica is also mentioned earlier, the subject of parafiscal non-taxation is not the subject of these today's debates, but in any case, well to discuss it, not only the membership of the Chamber of Commerce, but also a whole series of others, so the subject will certainly be shown by the government of course to your question. And I'm going to use your replica to further explain that information to your colleagues from the same club. So, we shared some period of 2010-2015, 2016-2020, so that it wasn't just some political implications. So, in the '10-'15 period. A total of 1482 procedures for the determination of disproportionate property, 207 solutions and 47 solutions per year respectively have been initiated. On average, a disproportionate ratio of 298,807,00 kuna and 134,375,00 kuna respectively has been established. From 2016 on a yearly 50 solutions with an average disproportionate of one million and a half and a tax liability of 643.000,00 kuna Thank you. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-12-0.u12527	And let's go to the last line, colleague Lerotić, please.
ParlaMint-HR_2020-11-12-0.u12528	Dear Minister, this one we also support everything, all tax discharges that will give our citizens a better life. However, it is often these tax reliefs that go to the burden of local budgets, which increases the centralisation of the state and the increasing disproportionateness between the state budget and the budget at local level, so I wonder why it is not considered to be e.g. One part of the VAT, so let's make it a symbolic 2%, bring it down to symbolic, at, at the level of cities and municipalities, and thus go into a more decentralised development. [[Intruder: symbolic]] Thank you.
ParlaMint-HR_2020-11-12-0.u12529	Here's your answer.
ParlaMint-HR_2020-11-12-0.u12530	Thank you very much, Your Honor. I'm sorry, I had to joke a little bit, but I'm glad you brought that up among other things. Once again, this part of the tax reform as well as so far everything except measures for young people is either directly compensated by some measures or a more systematic approach to amending the Law on the financing of units of local and regional self-government and thus this case. Although I must say, offered the information I received yesterday that a constitutional suit was filed by one municipality or city regarding the measure of youth, I must admit that this measure too, then we all need to think together and, above all, we are still sticking to what it is, because we all need to make some kind of contribution. You know very well that local self-government has not been ignored and ignored, and we, as a government in this financial area, strongly advocate fiscal but also functional decentralisation. So, equally important two processes that have to go side by side. Thank you.
ParlaMint-HR_2020-11-12-0.u12531	I thank the Deputy Prime Minister. We've come to an end with replicas, so please return to your post, and I'll ask the committee's rapporteurs if they'll take your word for it. No, I don't. Then we'll begin the debate. I'm just asking the lady to wipe out our pay phone. On behalf of the SDP Representatives Club, the first one will be spoken by a respected colleague, Grbin, and after that, a colleague of Lalovac, who shares 15 minutes, as I have announced for the clubs. Thank you very much.
ParlaMint-HR_2020-11-12-0.u12532	I thank the esteemed Mr. President of HS, distinguished colleagues and colleagues, the esteemed Deputy Prime Minister of the Republic of Croatia with his associates. In one thing you said, Mr. Maric, we must fully agree. Indeed, all the problems of our society cannot be solved by tax reform and that is absolutely correct. But also, tax reform should not create new problems, nor should tax reform encourage existing ones. And whether we want to admit it or not, there is a serious problem in Croatia, and it is called inequality, and as part of inequality, a serious problem of economic inequality. And this tax reform, this economic inequality, is going to get even bigger. Dear Mr. Maric, if I've heard you correctly, and I ask you to confirm that to me, you said that only 7,000 people pay taxes at 36%. So in the Republic of Croatia, only 7 thousand taxpayers pay the same rate at 36%, and we're going to cut that rate. By just seven thousand the richest, with the highest wages, we'll cut income tax. The minister said it would create a hole in the funding of 2 billion kuna. And how do we compensate that hole? From other tax revenues. So our fellow citizens and fellow citizens, regardless of their economic power, who may even be using their entire pension, disability or salary to buy circles, milk and other life supplies, through VAT will compensate for 2 billion kuna that will go out of the budget to reduce income tax by 7 thousand the richest in our society. It's respected colleagues and colleagues, HDZ tax reform. That's respected colleagues and colleagues, a double, double spread of inequality. On the one hand, by reducing tax costs to the richest, we increase their income, and on the other hand, we compensate the budget hole through VAT which will be paid by all citizens and citizens of the Republic of Croatia at the same rates regardless of their incomes. We in the SDP cannot and will not support such tax reform. Unlike some who spoke before us, we cannot support every tax discharge. We can support only and exclusively that tax discharge from which everyone or at least most of the citizens and citizens of the Republic of Croatia will benefit. From this tax discharge, the real benefits will only be 7,000 of the richest. We, who are sitting in HS, will have members of the Government of the Republic of Croatia, but citizens who earn an average salary or pay less than the average, and such are the great majority in Croatian society, will not benefit from this. And that's why we in the SDP not only don't support this, but we're about to show, when we're not on the line proposed by the Government, that we have an alternative solution, today in the procedure, we've tabled a proposal to amend the Income Tax Act that would result in a discharge, but which would benefit most of those who pay income tax. A bill that would allow for the same reduction to be made for those who have an average salary, but also for those who have a parliamentary salary, where they would ensure that such money is passed in real consumption, and thereby for the growth of the GDP of the Republic of Croatia, and not for the savings and pockets of the richest. Such tax reform, which spreads inequality and does not contribute to anything in society, except for the wealth of those who are already the richest, the SDP will never and can never support. I thank you for your attention, and further tax reform will be continued by my colleague, Lalovac.
ParlaMint-HR_2020-11-12-0.u12533	Here's a colleague of Lalovac's, just before we wipe it out. Thank you. Here you go.
ParlaMint-HR_2020-11-12-0.u12534	Thank you very much, Mr. President. This part and tax changes are actually an integral part of the budget, so here I'm surprised by the purely small technical question, that we're going to be talking in two readings, and we're going to bring the budget before this second reading, which is exactly... is not in any conflict, meaning when a budget is adopted, behind this should not be any more tax laws because you always have a problem with that and technical nature, these tax laws may not go away, and then we have a problem with the budget, that is, it's a purely technical question, that this one, I know that you wanted to open the debate, but you should always watch when it's actually a budget, that it's a final document in this House, that there are no more discussions behind it, about any tax laws because they are composite, because that budget is based on these tax changes, is it. [[The speaker doesn't understand.]] I agree in this part where the government is trying next year which is very challenging, the most challenging actually, even, I would say is even more challenging than in 2020 for the Croatian economy. More challenging, because in 2020 there was one shock that happened, not only in Croatia but in the whole world and there were different instruments to prevent it was actually a fight with the virus, so there were lockdowns, so there were different instruments of state interventionism to actually prevent it. However, 2021 is the most challenging year of all. Why? Because the government has to ensure conditions for economic growth, and we don't know what's going to happen to Covid. And that is the biggest challenge for Croatia. Yeah, while there was, while there was some kind of lockdown while there was some other kind of means where we were all actually in some kind of cramp, everyone was actually acting like we were actually talking about health problems. However, in 2021 it is the most challenging for the government and Croatia, why, because it must ensure economic growth from 4 to 5% in order to balance public finances in order to come into what we have been here in the first place until the European entry into the euro, however, we will have to do so in conditions where we do not know what it will be in 2021 as far as Covida is concerned. So we're going to have to take one of the measures that the government is proposing here to stimulate the economy are tax changes. So I have to admit and congratulate you on some work and courage, do we not know what will happen in 2021, we do not know whether there will be an increase, an increase in consumption, and we know that our increase in spending is the largest part of GDP, we do not know, and on the other hand, we know that we will have to make up for that part, make up for the budget of these 2 billion kunas that our colleague Grbin used to say. And that's why our proposal was, so our proposal was to go with a model that, we think, too, will encourage more consumption because they have more in this crisis, and now in 2020, it's shown that consumers are acting, as consumers behave, that citizens are afraid. Citizens are in fear and spending on the most basic foods bread, milk, eggs, the most basic foods spend all the part of, every part of the consumption even buying cars, investments, delaying, delaying and what is happening to us yesterday has actually shown us that our savings is growing strongly and that saving a small part of Croatian citizens of those somewhere around 50,000 Croatian citizens is growing strongly their savings, which is now unproductive. You know why it's unproductive because all that savings comes into banks, but the banks don't return that savings to the economy because we simply have a problem with lockdown banks that don't have, don't encourage the economy, and it's going to be very difficult in 2021 to boost the economy. In part, I agree, and this is the most important part of what I have said to the changes in the structure of the budget because we have revenues from Europe that will still encourage in that part of the consumption, but the majority will again refer to how to encourage the consumption of citizens or citizens to spend to be able to boost GDP, right. And because of that, our proposal was to raise the untaxable part to 5,000 kuna this 5,000 kuna. Furthermore, what's here in tax changes is, I don't think it's gotten that much on the table, I see that you actually tried to do it in 2016 by changing the profit tax where banks were given the possibility of tax relief or liberation to keep these bad jobs in banks from going to market. You yourself know that measure as good as it was that it didn't have any effect. And that's the problem that's being found that we can't just by tax changes as good as they are, we can't on the other hand have shown, I don't know if you have any data on how many banks they are, you've given them a one-time measure, you've given them a one-time measure now you're giving them a lasting measure. I'd be a little skeptical here, too, and maybe give them the same one-time measure for a year, see what they do. So this is commendable and well, you gave them, write down to the citizens all these debts that are now, we have 50 billion kunas of restructured debt in bank balances, that next year they are not on the debt market, because the worst thing that is happening to us in our society is that the investments that come outside with various agencies that have brought in Croatia 2 to 5 billion kunas are not investment in added value, in production, in employment. Outside the agency brought money to trade Croatian citizens' debts and it is dangerous for every economy. It means that when we became attractive in the Croatian market, those from Norway, Germany and others do not want to invest in the Croatian industry, in Croatian workers, in the production of added value but rather invest in agencies that will actually trade in debts that banks sell at 20% value. And that's not so much a problem right now that it's a billion or 2 billion kunas that have reached 30 to 40 billion kunas, up to 10% of gross domestic value. And it's now that danger where the government gives a boost here, but the saddest thing is that the government didn't participate in those debts, the government didn't participate, it's going to come back to settle those debts, it's going to come back, it's going to come back to us here in the assembly. What measures are we going to try to do that if we can't have enough incentive for the economy. As much as this tax reform is going if we get caught here in Croatia, a large number of Croatian citizens and we do not solve in that proud knot because most of the debts are still those debts that the banks have resold from the 2008 crisis. We now have new debts from 2019, 2020 due to the root crisis. And that's why I would give the banks only a year's worth of caution here to see with very strict control from the IRS, to see what they approved in fact made it easier for the citizens and whether there was a final write-off, whether there was a final write-off because we saw that the legal changes from 2016 failed even though it was a good and noble intention to make it. The banks did not respond to it, did not respond, and therefore I believe that the measure should be one-year-old if it is to be controlled every year, not given them a lasting measure without any possibility of controlling it. And that's what I think should be very careful here and monitor them there. And that's certainly our contribution to this debate and to say that next year will also be highly challenging to encourage consumption. What is certainly, along with one part of the citizens because we put everything on the consumption, it makes 60% of GDP, and that's the part where this part is, and what the minister has actually said in part by increasing, a wide range of non-taxable receipts, and that's where I can part of it and agree, but my people have one limit. It also has a certain limit because you know what we do with it, so we reduce our contributions and payments to the pension and health care system. And here we have to be careful, we can't have a wide range of giving over a billion kunas of non-taxable donations, and we know that our health system is minus 3 billion kunas, 4 billion kunas a year, our pension system is 18 billion kunas a year in minus, right, I'm just saying that we need to be very careful here, very careful eating and encouraging entrepreneurs to pay off the broad beauty of the non-taxable part of income itself crashes their health and pension system. I agree that it is a measure which will again, on the other hand, and should encourage consumption to return as regards the promotion of consumption and GDP, but is not an instrument that has unlimited action. It has in one part a positive action, but we must not, we must always look out for the pension and health system because it has now shown that the only dam of the pension and health system is VAT. The only hole that's in the pension system we're closing from the VAT. It's the only thing the minister is going to pay now with large-scale drugs exclusively from VAT, and that's what's very cautious and very slippery, and that's why I'm saying it's not easy to bring in under these difficult conditions, and we don't know how it's going to be in 2021 because, frankly, I'm saying it's not easy and I congratulate you on this part of courage, it's not easy, we don't know how it's going to be in 2021. Whether these measures that were under the conditions of the crisis, whether the same will work under Covid's terms, we don't know if the citizens are in Covid's terms, the psychology of the citizens is completely different from the conditions when they're not in that part of the crisis. And therefore, let's give stricter monitoring of these parts of citizens' debt and give about that part so that we can take ourselves at a quarterly level and discuss such decisions so they can act faster. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2020-11-12-0.u12535	Thank you very much. So now we're going to listen to the Club of Representatives of the Independent Lists, then we're going to take a break of 10 minutes to air the room a little bit, and then we're going to move on. So, on behalf of the Club of Representatives of the Most Independent Lists also two colleagues, the first one will speak to us with video of a colleague Troscott. Here you go.
ParlaMint-HR_2020-11-12-0.u12536	Do I hear from you?
ParlaMint-HR_2020-11-12-0.u12537	Yeah, let me talk to you, you can.
ParlaMint-HR_2020-11-12-0.u12538	Okay, esteemed speaker of the assembly, respected MPs and MPs and respected citizens of the Republic of Croatia who follow us through the screen, I would look back at two points in my presentation one will be a contribution and something that Mr. Lalovec has now touched, and the other point will be a reduction of income tax and we will try to link it all to a common story, see certain, certain sequential decisions both on macro-economics and on taxes and generally on the economy. As regards these contributions, the MOST Club agrees that they are extremely, extremely important and should be considered but on the other hand it is not the aim of, that micro-enterprises and those who are only at the beginning of women entrepreneurs to take them with certain fiscal measures at the beginning of their careers to disable them in business. So that's the same thing to consider. Therefore, since these companies, even in the medium term, even in the term of office of this Government, could then generate certain revenues which, through certain taxes, would then be returned to the Republic of Croatia's budget. So we don't think it's a good idea to start them off right away, to give them certain inducements, but to help them there. So these days at the peak of Covid's epidemic when many of our entrepreneurs, and especially those of the smallest micro and women entrepreneurs, so when they fight to survive, the IRS sent them solutions to collect the difference in contributions for 2019. Even before, MOST has warned of the harmfulness of these amendments to the Law on Contributions in 2018 and then we have proposed amendments that would require exceptions, not for all, but for certain groups, which are micro-entrepreneurs, then entrepreneurs of the beginner and female entrepreneurs, because we have seen that the increase in base will be too much cost that they could not survive under regular conditions, let alone the circumstances of the crown crisis and charge the difference between these most vulnerable groups per group of entrepreneurs who are initially considered not to be fair. And that the indicator that the Tax Administration and the Ministry of Finance and the Government of the Republic of Croatia are detached from reality is at least those entrepreneurial daily lives because it is in the modern and most developed economies that entrepreneurs are the main generators of growth in the economy. And so we ask that the Government, along with an urgent package of tax laws, direct amendments to these laws on contributions and introduce exceptions to the system of accounting and collection of contributions for these three groups that we have brought here today, so micro, small beginners and women entrepreneurs. And they are, to be and constructive these proposals have been written and freely written before, available on our pages and the Government can only rewrite them and put them in the parliamentary procedure. I would still like to touch one thing that is almost as amazing as the situation in which we are in economics that the Government has not yet responded to us, to our proposal of the law on the abolition of mandatory, mandatory memberships of the Croatian Chamber of Commerce and the Croatian Chamber of Commerce, although this may not be directly related to these four laws, it is all connected to at least these entrepreneurs we are choking in all possible ways and for the reasons that you, these persons are not satisfied with the service that should be obtained from these two satellites from the Government of the Republic. Furthermore, even some budget money is spent on flyers, purses and gold catalogues at least in the Croatian Chamber of Commerce and in today's time when the crisis is really big. The second point I would like to touch here is the tax reduction, the income tax from 36 to 30 and from 24 to 20, so if you look at the analysis, so the Croatian citizens were first to, to this law, burdened above all, and their work has been demoted, because if we are taxing them with high income rates, what we are sending a message to the market is that the work is not valuable in the Republic of Croatia and that it needs to be further discredited. Furthermore, once such a person in the Republic of Croatia gets the income available for, for consumption, or entrepreneur for further investment, then more of them are, then, that available income is additionally burdened with, I can say, free, almost the highest tax rates on, added value in Europe, which actually leads to the fact that Croatia is on average paying a lot more on the product than an average European within the European, EU. In that sense, reducing income tax what the government is doing at this point is commendable, no one is questioning it. Therefore, any tax discharge that could lead to a higher income available that will then affect, on consumption, so on personal consumption, above all, which is the most important contingent of VAT itself is praiseworthy. However, there is now one particular concern that we would like to warn as a MOST Club, which is, above all, going to be a certain and rather large budget gap for which it is a big question of how it will be financed. Furthermore, this fear is still instigated with, we must say, 30% higher, greater public spending than the last term, and we have seen that, based on this government consumption, the citizens of the Republic of Croatia do not live a little better, which means that we have two, two, two, two budget deficits that we will somehow have to complete and in what way we will do it, of course by borrowing. What is the problem is that these two budget deficits, and we hope that the Government of the Republic of Croatia has taken into account, will unfortunately have to pay the most socially vulnerable, the citizens of the Republic of Croatia from their donations, that is what, what is our message. So, this, this, this, these two holes that have been made, one from income and the other with greater public spending that no one lives better today, will again come to the budget of the average family of the Republic of Croatia who will then have to pay, first with credit cards, through debts, in lending to the best man, just to survive that month. Here, that's two points I'd like to touch, so I'd like to leave it to Mr. Petrov. Thank you very much.
ParlaMint-HR_2020-11-12-0.u12539	Thank you. I'm asking my colleague Petrov to continue the exposure, please.
ParlaMint-HR_2020-11-12-0.u12540	Thank you, dear colleagues and fellow MPs. At the proposed 5th round of tax reform, I'd have a lot to say, but I'll stick to one thing. I'd like the respected HDZ colleagues to have a little less experience. I've heard that reform is assessed by a revolutionary move, so let's see how revolutionary it is. For starters, I'd like you to stop playing with percentages, to talk in absolute numbers because that's fairer and clearer. And when you say that the salaries of people with the lowest incomes have grown to over 25%, then you have to tell people how much money it is. ... No, I'll fix you. [[You can't hear a bogey from a bench.]] You said not only changing the Income Act, changing all the laws, taking all the measures into account, from the lowest salary, the minimum wage, everything, everything you have in the last 4 years, so you said, they were getting paid 1.050,00 kuna. And now I'm going to take one thing, you with one change of laws today, for those who have the highest wages, once by changing the law, one procedure you give 1,000 kunas more, and none of these last 4 years have been affected. What have you changed these four rounds of tax reform, they haven't profited? Well, I think so. Then you should say honestly that they did receive more, that's number one. Number 2, Mr. Maric, you said in an interview the average salary in Croatia grew by 760 kuna and that is a fair word, 760 kuna grew the average salary. With today's amendments to the law, some will grow much more than 760 kuna and 1,000 kuna, and that is fair to say. And let's not play with percentages, because only the average salary, the average salary in Croatia grew from 5,600 kuna to 6,500 kuna. It's said wow 16%, 16%, 25%, we're talking about pay, salary growth below 1,000 kuna, and in that we should always be fair. And yes, every discharge is good. I welcome every discharge and everyone needs to be cared for, but in this, I think we should be just and socially sensitive, we should try to make sure that everyone in our society has a chance to grow. We haven't all had the same starting positions in life, and that doesn't mean we're not equally valuable in society, and that's why we need to be just. What's a tragedy in everything and what I don't think is at all talked about is how much we live better because there's been a salary of 700 or 900 kuna, nobody's saying how much the average price of products that people buy in the last 5-6 years, how much inflation was, and then by the same state statistical office when you subtract numbers you actually see people living poorer today. Most people in Croatia live poorer today than they did 5 years ago. according to the State Statistics Office. You're saying it wasn't like that back then you didn't, then you didn't open the DZ for a long time. That's right. Take a look at the average basket that a man with an average or below average salary should spend on a monthly basis and his growth and wages in four years, and then you will understand that they spend more today than they spent four years ago. And that's fair to say and that's why we won't give up what we're asking for all the time, which is to increase, let taxes be reduced, welcome tax cuts, but give in income, pay, receive a monthly home budget to those who live worse and live poorer and can do so. And you don't have to tell me that you can't do it through this bill because they're certainly not tax-scarred and similar stories, so we know that, so here I've been in Parliament for four, five years telling me that story for four, five years, I know that, but you can take other measures. If I heard the minister say at one point, we're thinking about replacing tax relief when we're talking about children and child contributions for children with fixed amounts. Finally. The reason why, well, they're not if tax relief exists isn't all kids equal, they're not worth the same. That's right. And that's what we've been telling you for three years, and I said this this morning at the press, it's not fair, it's not fair that there are tax reliefs for children that those people who have higher wages to be denied more and that their child is worth more, it's not fair that this is why a low-income monetary child gets less money and turns out to be worth less. And now imagine this, you delete this, you give fixed cash amounts, you give one child 500 kuna, for another child 800 kuna, for the third child 1,100 kuna, and you increase it by giving that endangered group between 1,500 minimum and 2,500 thousand kuna, and you know what you're going to get in the end? You will get a happy family, you will get a family that does not want to leave Croatia because it can survive in Croatia. And believe me, whoever can choose whether to stay in Croatia for less than go to Ireland, Germany somewhere in the baustel will stay in Croatia, but give them a reason. Since 2017 we've been telling you the same thing, increase people's income by 1,500 to 2,000 kuna like this. And with this measure, you're going to cut the costs of just the ones that are now growing their wages the most, you're going to make the system fair. Every child will be worth the same, and you will give reason to stay in Croatia. And yes, I really hope that you will do it as you have announced, I hope that you will do it in this way and that you will do it justly because people deserve it. I'm not one of those people who talks doesn't need to worry about everything, but for those who live badly, they need to be worried about the most. These are our people, the people we meet today on the road that are with us. Thank you.
ParlaMint-HR_2020-11-12-0.u12541	We've come to the end of these two exhibits, and as I announced, we'll take a break by 11.50. I'd like the service to clear the premises properly. It's 11:38 p.m.
ParlaMint-HR_2020-11-12-0.u12542	[[CONTINUATION AFTER MEETING AT 11:51 A.M.]] Now it's Mrs. Dark Taritash's turn to share time with Mrs. Puljak's IP, Smart and Glass Club. Here you go.
ParlaMint-HR_2020-11-12-0.u12543	Thank you very much, Vice President HS. The Minister and his associates can't say hello if he's gone and fellow MPs who are in a small number, but what's here. So, a few days ago in the budget rebalancing debate, Minister Maric, I said that he can work, he can work as hard as he wants, but he is only one part of the government and changes in the tax system and the reduction of tax burdens must follow changes in all other systems of this country, especially those that are individually large budget consumers. Without being seriously restrained by the cost of this irrational and wasteful state, nor will the ministers who may hear or pass on a few of these sentences be able to implement the reform fully as he intended and wanted, nor will such an organised state be able to be a longer-term country with such and rebalanced budgets and budgets, and regardless of these reforms, the money leaks as if we were a bucket of water or as if the government had turned the water bucket upside down. These days we have a chance to see that the health care system is in serious trouble, financially I would say completely out of control, and what was done in this respect? Almost nothing. The peace system, which is in growing trouble, has been burdened with various rights and payments that have absolutely nothing to do with pensions earned through work. What happened in that regard? It's almost nothing, too. The key problem, of course, is the general structure of our economy, which we must be quite honest not to encourage, not to seek and provide jobs for highly qualified, highly educated and professional people. We simply have too few companies that create serious added value and have high profits and too few people who have high incomes. Without that change, no new tax reforms can be completed, and unfortunately our government, and here I'm not just talking about this really tough covid year but also those five years ago, and I'm going to be gentle because there's relatively little of us in this assembly, it didn't quite show up. This part of the amendments to the Value Added Tax Act concerning harmonisation with European directives are logical consequences of two related facts. The first is that we are part of a major single EU internal market that is constantly looking for ways to facilitate business and level playing field for all players on the market. We should never forget that, it's something we have to take care of, I'll repeat it once more, and that's ways of facilitating business and equating conditions for all players on the market. The other day when we had an imposter about Krsh-Paden, it just turned out that we actually always like to treat every player on the market differently. Another fact is that modern technology has turned upside down the way in which goods and services are done and tax systems have to adapt. And here, the key task is that within the single market, all have the same chances of doing business, i.e. having their wrong or late decisions or not recognising changes in the way legislators do not create imbalances on the market. We didn't have a number of times we talked here and about different commitments, we didn't have a number of times from this pay phone through some other laws we talked about when the state becomes a stepmom, not a mother, and therefore we always do everything that makes business easier, which gives us the same opportunity we'll all support and what we always need to stress, we need to emphasize what's positive, so we think that the proposaler's assessment is correct and that it won't in any way reflect on the total revenues of the state budget, and that's the threshold for taxation at the charge of what went from 7.5 to 15 million. It seems to me that this VAT collection in realised accounts is something that should generally be good and that should ultimately really be taken into account and not just tied to some revenue but end this story differently. I repeat once again what I asked the minister, there was a good measure in this country to buy the first real estate, so the first real estate when the purchase was released from paying real estate tax. And then the minister, this same minister Maric, abolished that measure by explaining that the system is working, that systematically it has to be so, that it can't be, we've had a bunch of amendments and told my people if we have something good, this country can't go forward if everyone starts every time we start over. If we have something good, give it a hold and move on. But we have other customs, and this has also proved that this measure has been removed, and since the election program of this government and the party leading this government has been the return of it, it would be good to do so as soon as possible. The fact is that any such measure related to the real estate market makes some new situations and some new story, but this is one measure that was good in the long run. Because what and this set of laws, which we send when, therefore, according to both the local population and investors and the investors, we, the whole time they come to us, don't really know whether they play handball or football or basketball, they're told to play handball, then over time they say, no, no, we're confused, you play basketball. What am I saying? Maura, we should really do this set of measures with clear tax policies, but I'm afraid we're a long way from that story. There's one thing I'd like to miss before I miss Mrs. President's pay phone. Puljak, I want to point out, and that's, we've had bad loans, the banks have been dealing with these bad loans by selling to suspicious agencies, this is one of the things that's kind of reduced. But what we need to take into account, which is an emergency, which is to define a clear supervision of such companies that are expensive, who buy really for small money, and then our fellow citizens become long-term really hostages of some perhaps even reckless own decisions. Thank you very much.
ParlaMint-HR_2020-11-12-0.u12544	Thank you, too. Now it's the House Movement Representatives' Club. Then what? [[/Intruder: No, no, no.]] Yeah, I'm sorry, Mrs. Devereaux. [[Intruder: Puljak]] Pule that, second part of the time, go ahead. Excuse me, please.
