ParlaMint-HR_2020-11-05-0.u9682	Mrs Barbara Antolic Vupora will be the position of the SDP Representatives' Club.
ParlaMint-HR_2020-11-05-0.u10937	Thank you. Here's your answer.
ParlaMint-HR_2020-11-05-0.u10938	Thank you very much. We've been keeping an eye on the whole first term, keeping an eye on these rebalancings, we'll be keeping an eye on next year. I would just like to mention that it is very important to remember sometimes in the sea of this information, me and Minister Maric say that when negotiations were held in this multiannual financial framework if you remember one of the proposals was to increase the amount of national co-financing from 15% to 25, it did not happen to us as a new EU member especially in these budgetary circumstances almost so an additional income, if I can say so in any case is less expenditure. Therefore, this fact is important, and it is particularly important that the entire EU mechanism of the next generation that we will absorb through the national programme of resilience and recovery does not require co-financing, and has a pre-financing of 10% now, the EU Parliament wants even and 20%, which would be a billion and 200 million kuna for Croatia... [[Intruder: Thank you.]] [[The speaker doesn't understand.]]
ParlaMint-HR_2020-11-05-0.u10939	Comrade Petyr, here you go.
ParlaMint-HR_2020-11-05-0.u10940	Thank you very much, Mr. President of the Parliament, Mr. Prime Minister, here, while great efforts are being made to ensure the financial resources for the functioning of health care, for the preservation of the economy and new jobs, on the other hand, as a bomb, have echoed the news that 141 million kuna will have to be provided for the conduct of irresponsible politicians. As we have learned through discussions with the finance minister, it is about some debts, about the need to return funds to the EU budget from some previous governments. Do you know what this is about? Who is responsible and will those responsible answer because of the very high means?
ParlaMint-HR_2020-11-05-0.u10941	Thank you. Here's your answer.
ParlaMint-HR_2020-11-05-0.u10942	I know what this is about. It's about how much I remember a few projects that they've been through. The mechanism of correction, therefore, is a part of the resources involved, seems to me a system of science and education at one point and part of the funds relating to the Ministry of the Interior. There's probably someone else, but these are two, I think, the most important. In any case, we have predicted it, we are still having talks with the EU Commission's competent services to try to reduce some of these corrections and reduce them, but here, this is something that happened in earlier governments, I don't want to talk too much about who's to blame and how guilty he is, it's very well known. What's important here is that we all learn better, more transparent, more quality project preparation, manage them and absorb these funds that we don't have such corrections. In the end, all of this is unfortunately the state budget, in most cases But it's a good thing you marked that problem. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2020-11-05-0.u10943	Now let's go to the last line for Prime Minister Tomaševic, here you go.
ParlaMint-HR_2020-11-05-0.u10944	Thank you. I'd like to know when you try to defend yourself, Prime Minister, the tax reform you adopted today at the government's meeting, so when you say, for example, the income tax that individual tax exemption means less total tax revenues. Let me explain to you what alchemy reduction in the tax rate for the highest salary in this country will lead to a total increase in tax revenues, also given that the richer citizens will go into savings and not even return through VAT. On the other hand, in light of the changes to the income law, you say that this is one of the goals of social justice. So give me the same explanation, during this crisis, in which universe is socially fair to reduce means the highest rate, means to cut the rate by the highest salary in this country? So to us MPs, ministers, we get our salary to be around 1,000 kuna, and 75% of citizens with gross salary means less than 10 grand. It'll only be a few dozen kunas to them. [[Intruder: Thank you very much.]] savings on the salary. [[Thank you very much.]]
ParlaMint-HR_2020-11-05-0.u10945	Here's your answer.
ParlaMint-HR_2020-11-05-0.u10946	Dear Representative Tomaševic, I hope that you learned some lessons from the election campaign for the elections that was on July 5th about this logic or alchemy that you're talking about was represented by Mr Bernardić and then the Restart coalition ended up at the 41st term, not 68, how many... projected by Mr. Hajdash Doncic after the SDP building team with Baba Wang. [[You can't hear the intruder.]] It's very important, these are the foundations that we have to keep repeating, to take care of. As far as tax discharge is concerned, so one more time I'm telling you, it's always seen exclusively on an individual basis. Everything we've charged so far, we've made it possible to be more tax revenue, so of course someone who has more resources to have more consumption. So you know what share of personal spending in our GDP. Therefore, you will have an opportunity here with Minister Maric throughout today's debate on how much further he will show you how much we have done for those who have fewer incomes, and I have said something in response Mr. Baichi. [[Intruder: Thank you.]] Thank you very much.
ParlaMint-HR_2020-11-05-0.u10947	Thank you. I thank the Honorable Prime Minister. I now call upon the respected Deputy Prime Minister and Minister of Finance Maric... Now he will respond to the replicas. [[You can't hear the intruder.]] Just a second for the lady to wipe out the pay phone. Thank you very much. Here you go, Vice President. The first is the line for a respectable colleague of the Dark-Taritash.
ParlaMint-HR_2020-11-05-0.u10948	Thank you, well-respected president of HS, dear Vice-President Maric, so, as you were saying at the opening, it's not because you wanted to, but because you had to and I'm interested in spending, so we had a rebalancing in May. Compared to the rebalancing in May you have an increase we have on interest of 1.4 billion kuna, including 430 million kuna for negative exchange rates, therefore this is the difference compared to the rebalancing that was in May. What's happened, what's happened, what we've got, is maybe something predicted in May, so now, it's overlooked in May, and now it's got to go to hell here, which is because it's one of the biggest items that we have on the spending side. Thank you very much.
ParlaMint-HR_2020-11-05-0.u10949	Here's your answer.
ParlaMint-HR_2020-11-05-0.u10950	Thank you, well-respected MPs, you've seen it well, I said it briefly in the opening part. So, speaking of interest expenditures, exchange rates, unfortunately these 400 and some million kunas have already manifested themselves in exchange for exchange rate differences. So these are the items we have and the legal possibility, so use that more flexible approach in terms of planning. You remember that in May itself when we went with the budget rebalancing, then in those circumstances a complete budget was put into function of the measures that we then put into effect. At that point we still haven't, of course, solved the problem and this, the funding issue by the end of the year solved in some way and everything that we could redistribute from the budget and direct to measures to preserve jobs we have done. Now in this rebalancing we put it all together under the same hat and in the end it's numbers that are real.
ParlaMint-HR_2020-11-05-0.u10951	Thank you. My colleague Maximchuk, here you go. I'm sorry for the violation of the Rules of Procedure, my colleague Reiner. Here you go.
ParlaMint-HR_2020-11-05-0.u10952	I'm aware in advance that I'm going to get a warning I think you need to make it very clear here. The SDP government owed us 6% interest. This government, in good times before the crown, owed us an interest of 0.05%, so negative interest, minus. And now that she's performed since... We're in debt at 0.09%. .../Speakers speak at the same time./... [[The speaker doesn't understand.]]
ParlaMint-HR_2020-11-05-0.u10953	You've been a visionary, and you're getting a warning. Comrade Maximchuk, please.
ParlaMint-HR_2020-11-05-0.u10954	Thank you very much, Vice President. Here, after several excellent years of world life, and the Croatian economy was in exceptional circumstances, it was necessary to preserve jobs, maintain a health system, and what interests me as to how and under what conditions was Croatia in charge during the pandemic period, and what are the most important funding measures by the end of the year?
ParlaMint-HR_2020-11-05-0.u10955	Here's your answer.
ParlaMint-HR_2020-11-05-0.u10956	Thank you very much. Dear MPs, so I'll put it this way, the first arrangement was with banks at five to seven years total of one billion euros, interest was still below 1%, followed by an arrangement with domestic pension funds of 445 million euros, also at five years at 0.75 and then we went to the international bond capital market of 2 billion euros per 1.5%. However, the next instrument on the domestic market has returned that interest in some way within 1%, and that's what's safe when we look at all the circumstances, I mean reality, but at the same time we should mention that, just before the pandemic broke out, it's teaching, and I'll be careful that I don't get a warning, but teaching what the vice president of the Parliament said just now, our last issue on the domestic market for five years was 0.25, we even issued the first bond at 20 years. Thank you very much.
ParlaMint-HR_2020-11-05-0.u10957	Thank you very much. Now it's time for Comrade Dragon.
ParlaMint-HR_2020-11-05-0.u10958	Your Honor, Vice President. As I come from the Slavonian Municipality of Vrpolje where agriculture is too heavy an activity, where there is a large number of OPGs living exclusively from agriculture and I see that in these difficult times of crisis you have increased the funds by the rebalancing of the state budget for 2020 for the sector or the activity of the Ministry of Agriculture of 264.5 million kuna, and I am therefore interested in this increase in the resources to which it will apply and what measures and activities? Thank you.
ParlaMint-HR_2020-11-05-0.u10959	Here's your answer.
ParlaMint-HR_2020-11-05-0.u10960	Thank you very much. So again, here's a small relationship with that five-month rebalancing thing, and then we said that focus is on preserving jobs, but let's say the policy of encouraging agricultural production will also not be essentially under the question of whether we ourselves know it's generally, not as a rule, but it's always the first half of the year that both the relatively larger and absolute larger amount goes precisely for the purpose of encouraging agricultural production because then some seasonal time is also the most important time. Now in this particular rebalancing this means, you said well, a total of nearly 270 million kunas increase from which 200 million kunas on the one hand are rural development measures as much as we can say horizontal, but also more specifically related to cattle, fishing, sugar tail manufacturers all of them are now recognized in that part. You are well aware that Minister Vukkovic is conducting a continuous dialogue with producers and everyone and of course we are concerned that as much as possible from both national and European funding is provided for agriculture. Thank you.
ParlaMint-HR_2020-11-05-0.u10961	Thank you. Now I welcome my colleague, Puljak, for the first time in HS replica video, so here you go.
ParlaMint-HR_2020-11-05-0.u10962	Here's a greeting... on this occasion. [[The speaker doesn't understand.]] Here's my question regarding local and regional self-government, namely the rate of borrowing of local units for this year from 3 to 6% of last year's revenues to increase long-term borrowing requirements. The deficit of local self-government is 2.7 billion kuna, i.e. It's increased by $1.8 billion more than the plan. Is this government planning soon to reform a local self-government that would reduce the number of units of local self-government of 556 local units planning to reorganise something so that these deficits in the future are smaller? Thank you.
ParlaMint-HR_2020-11-05-0.u10963	Here's your answer.
ParlaMint-HR_2020-11-05-0.u10964	Thank you very much. Dear MPs, here's the first thing we'd like to offer you as soon as possible to recover and return to the benches. As far as local self-government is concerned, you know, and we have talked about this many times that, with fiscal decentralisation, we strongly advocate and functional decentralisation that after more than a decade of decentralisation, certain functions are being redefined, as appropriate, and therefore further steps are being taken in terms of what we call the reform of the administration that implies and the total volume, the total size in terms of wages, in terms of the number of employees, but above all, what is most important, and that is the quality of the service. You recognize that well, I also said in the introduction that we have increased and only for this year, given the very large demands, I will only do one thing to apostrophe and I have missed it in the opening part of all that extra space for the debt still exclusively for capital investments.
ParlaMint-HR_2020-11-05-0.u10965	Thank you. I also thank my colleague, Puljak, and I wish you a quick return to the Assembly and thank our services for having successfully completed this task for the first time. Now let's go to the last line, dear colleague Oreshkovic.
ParlaMint-HR_2020-11-05-0.u10966	The Honorable Ministers. In vain of projections until there is no responsibility for the illegal and vain use of funds. You granted the DORH a significant increase in their resources in order to pay only one hanging for 8.6 million kuna and that of KPMG in the case of Agrokor, although such evidence is unusable in the criminal proceedings, it is a total waste of funds, which is due to conflicts of interest because of the fact that skills are usually taken from the list of authorised court witches. My question is who will take responsibility for you, your government or the leadership of USKOK and DORH? And to compare that these 8.6 million kunas are really thrown out of money for nothing here, I'm going to compare to the amount of 4 million kuna the state pays for several courts that are rented because for that there are state-owned buildings.
ParlaMint-HR_2020-11-05-0.u10967	Here's your answer.
ParlaMint-HR_2020-11-05-0.u10968	Thank you very much. Dear MPs, I've never been, so I'm not going to comment on any judicial proceedings or proceedings now. I can only say that when we talk about not right now, but one of the previous budget rebalancings, the budgetary users of this or that level have certain requirements within certain options according to some other priorities are allocated. There is a system of control of spending, there is a system of overall fiscal responsibility, and all of us, as the heads of the individual bodies of the budget users, must act in accordance with this law and account for both HS and the Croatian public. Thank you.
ParlaMint-HR_2020-11-05-0.u10969	Thank you. This brings us to the end of the proposal and replica. Now I'm gonna call the committee's reporters if they want to take the floor? No one's answering, so we're going to have a discussion. The first is the Party's Representatives' Club with Name and Surname, Smart and Glass, respected counterpart Anka Mrak Taritash. Here you go.
ParlaMint-HR_2020-11-05-0.u10970	Thank you very much. The Honorable President of HS, the Honorable Deputy Prime Minister, colleagues and colleagues. This year really is nothing normal, nor has any of what happened since spring 2020 been imagined in the worst dreams, let alone planned, planned or prepared. This is a fact that we need to consider and have a certain amount of understanding on it. After having had a really strong impact on the economy in the second quarter, a huge drop in income, and at the same time as the third quarter's cost increases, something made things easier than what was predicted by the rebalance in May, and now we're where we are, we're doing the best we know. Under the circumstances, the Ministry of Finance and Minister Maric have probably tried to do what is realistically possible, unfortunately it is not enough to repair all the weaknesses of our country, its main parts and the biggest budget consumers and, of course, the key thing in this is that no rebalancing can compensate for the poor work of the government and the poor initial position we are in. The coronary virus, or the coronary crisis that caused it, loved all those instabilitys and irregularities that have been known in Croatia for years and in which, in the last 4 years, the government of Andrej Plenkovic, and the HDZ government has not done so much. We understand that for the crown crisis we couldn't prepare or predict, but it came to an abandoned state that nobody really deals with. She's come to a state where there's no will, no idea of having any kind of fun, I'm going to use that little but infamous word of reform. Health is a bottomless bag, costs are increasing while reducing quality and availability of services, and debts are flying into the sky. We have burdened the peace system with everything and everything, and we will have at least the money for pensions that we pay to those who have really earned these pensions by working. And speaking of work, one of the most serious, if not the most serious problem in Croatia is the area of work. First of all, we don't have enough people to do those jobs in Croatia and then fill the budget, but worse still, those jobs we have aren't good jobs. Let's not lie and be honest in Croatia there are not enough jobs that can guarantee a stable economy, stable and serious budget revenues and sufficient diversity between the economic branches to make us more resilient to the crisis. We jobs for educated and highly skilled people who work in companies that create high added value themselves earn enough, and then pay accordingly and certain taxes simply don't have enough and that's one of the biggest weaknesses of our economy that can be seen on budgeting, especially in situations like this with the crown. Speaking of modern and good jobs, one way to get to them would finally be to understand the meaning and the main benefit of what is called the Green Plan or Green Development at all. The idea of green development, general programmes and a list of objectives that the entire EU wants to achieve for us is a unique opportunity that has never been given to us since Croatia is an independent state. We are given the opportunity to finally catch a train of economically developed Europe based on modern industry and new technologies using the huge funds available to us for this project. They can finance everything from research and development to human requalification and various adaptations to the new green economy. The combination of environmental conservation, the use of renewable energy sources and development through state-of-the-art technologies could be our ticket to the successful future of a country where people have what to do and there are people who work. Regardless of the awareness that this is about a rebalancing that is under the burden of the current crisis, we are sorry, and we think it is wrong that there is no intention to change the direction of development in green development and to make a lasting commitment to it. We think it's a big mistake and we're missing a great opportunity for a fundamental change. Only when we do not depend excessively on tourism, hospitality, weather, fashion and all other unpredictable and vulnerable things that we depend on will we be able to rely seriously on our own income and their own sustainability and predictability at the level of the state budget. Speaking of green technologies and green development, the question is, how does the additional 377 million kuna for LNG terminal in Krk fit together? The intention of ensuring Croatia's energy independence or supply from various channels and sources is clear. But in the context of green development, we will need to seriously consider further development of energy and the use of certain energy sources. Another important project that we must encourage at all levels is digitisation and information. In this rebalancing, it is seen in the article of the Central State Office for the Development of a Digital Society that the increase in investment for themselves says that their vision is developed, secure and inclusive digital society achieved through the synergy of the economy, public administration, science, research and education. This is a good vision, and when we look at the situation in which we find ourselves with the crown crisis, we understand how much complete digitisation and information is important from public administration through education, trade and the entire economy. It is certainly an important process and we would be pleased and if there were even a little more money for increased investment. And of course in this rebalancing you can see another one of those permanent and major problems of the Croatian state, our health care. Honestly, it's completely unclear how we could afford the debt to large drugstores to grow to such heights to become a questionable supply of drugs, I'm not going to say at all that it's possible right now at the time of the pandemic because it was at any time even in the best times completely unimaginable situation. Dear Minister Maric, I know it's home budget management and that his leadership can't be compared to the state's leadership, but it's all the same, and the rest are nuances. But honestly, anyone who's ever had to pay a single bill well knows that if you don't pay for a little longer time or they'll stop delivering to us or we'll be forced to pay the debt in some other way, mostly at extra costs and complications. This rebalancing is the consequence of the crisis, but only in part, it is the consequence of large state systems. The dependence of the budget on an underdeveloped economy which relys too much on long-term insecure activity that does not create sufficient additional value. But also our growing inability to catch a connection with the developed countries of Europe including that we are able to use the funds available to us. We had experience with a major crisis that was ten years ago. Unlike some other countries that are from this major crisis, they recovered relatively quickly, we did not. We haven't done it, and one of the reasons is that big dependence on the state. So don't be like that story again, when a monkey lifts up a rock and sees a snake and faints, it rises out of unconsciousness and sees a snake again. The first time he should have done it, but the second time he shouldn't have done it, history is a life teacher let's learn something. It's logical that you go to another rebalance, and it's logical that no one could predict this great pandemic that's worldwide, but this pandemic has seen all the causes in our country. So if we know what our problem is, let's try to start doing that. Thank you very much.
ParlaMint-HR_2020-11-05-0.u10971	Thank you. The next club will be that representative of national minorities, and time will be shared by the Vice-President of this High House, the respected representative Furio Radin and the respected representative of Bilek. First of all, Honorable Representative Radin. Here you go.
ParlaMint-HR_2020-11-05-0.u10972	Thank you very much, Mr. Vice President. The financial situation of the nation is adjusted traditionally immediately prior to the adoption of the budget. The rebalancing and budget documents are even the very fact that they are in each other's tight correlation, and this year they are specific for other reasons, not only for long-awaited reasons such as the local elections that will take place in several months and which are very important, I am talking about both documents, but from the unpredictable and very uncertain circumstances of the covida-19 pandemic which has struck a difficult blow to the vulnerable Croatian economy. Politics and the conventional economy will take quite different forms from next year, let's not fool ourselves whether we want it or not. Respecting all the strategies that we adopt and which we bring, and respecting the rebalancing effort, the real life of Croatian citizens will be at the turning point, and the outcome depends on all of us whether and in what time we will become a modern country that will face its shortcomings seriously and especially on our problems. I don't have time to list them all, and for some important I'm convinced they'll finally hire top experts. We should look for experts far away from politics and from parties that will point to solutions with all the denials that are inevitable for a country that needs to be recovered. The solutions to combat corruption, the fundamental sin of our society, must be the first such problem. The solution to the forms of an economy relying only on tourism and shopping centres, and not on production, is such a problem for sure, and the lack of investment or poor investment stimulation, especially investment in new technologies is the third of the many problems I said before that I would not list them all. Politics must finally not be treated by public opinion but rather take a step forward and create public opinion, without fear. Alternative development is conflict over Ustasha and Partisans, debate on other ideological issues such as collected abortions, birth identities, fostering and adoption models of children and xenophobia all discussions held in this home, and beyond this home practically permanent. These are the topics that dominate when it's a deficit of serious projects. With regard to specific issues of national minorities related to the budget, I will only list three, and then I will give my colleague Bileku, or you will give the word to my colleague Bilek. The first is that the funds for the Council for National Minorities, meaning these are resources for all associations of national minorities, remain unchanged and we can be satisfied there. We can also be satisfied with the increase in funds programmed for the rebalancing of the Office for Human Rights and Rights of National Minorities, which is where we express our natural satisfaction. And there are a few other places that are the expression, let's say the relative pleasure that a colleague will talk about later. I am not satisfied, of course, but an agreement has been reached between the County of Istria, the Government, and at the end of the Italian Union for reasons relating to which funds must be spent before, and in this case these are funds from Italy, I am not satisfied that they have been transferred to the next year of the High School in Bujama, the Leonardo de Vinci High School, but I am convinced, however, that the word we gave each other will be maintained. Thank you very much.
ParlaMint-HR_2020-11-05-0.u10973	Thank you. The Honorable Representative Bilek will continue. Here you go.
ParlaMint-HR_2020-11-05-0.u10974	Thank you very much. Dear Vice-President of HS, respected representatives of the Ministry of Finance, distinguished colleagues and colleagues. Well, before us is the second-in-a-kind budget rebalance for 2020, we can say that the other unfortunately is due to the pandemic of covida-19 and this crisis at the world level. We know as it was in the opening words of the speech that so far and in the past term of government led by Mr Plenkovic and now we were otherwise planning quite solidly, so the rebalancing itself got ahead of only budgeting, and my colleagues and colleagues from the units of local and regional self-government to align all those planned revenues, increase or decrease over some things. In the past term, this government has also stressed the necessity and need of consolidation of public finances in order, among other things, to be prepared for a timely response at the moment of the possible economic and economic crisis, which unfortunately, we have all witnessed that it has happened to us, and not by blaming any of us here in the House but unfortunately by blaming some others, but it has passed on not only to us, but to the entire people, to the whole of Europe, to the whole world. Public finances of the Republic of Croatia have welcomed the start of this crisis in such a way that, at the very beginning, it was practically possible to go with measures to help in the economy, to preserve jobs, write-offs and tax releases and a whole series of different measures aimed primarily at protecting the lives and health of all our citizens, but also on the economic plan, above all at preserving jobs, production and economy as a whole that we have witnessed from the very beginning of this crisis that when we align what the Croatian Government and Croatian state budget have done for its citizens, we see for our companies with other countries that as a percentage of how much budget has been put at the disposal of our economy that we are almost among the first in the world. Unfortunately, the Croatian economy is still largely dependent on imports, on this side it is essential to increase self-sufficiency in all possible segments, especially in agricultural production or food production. It is therefore important to point out that the rebalancing of the state budget is planning an increase of €264.5 million for the Ministry of Agriculture, which is essentially the largest part of the national share of co-financing of measures from the Rural Development Programme of Croatia and €81 million, which except in the manufacturing part are extremely important and for participation in co-financing of projects from measures such as those of 74.1 used by local self-government units for all the various projects that have been reported for co-financing from the European level. These projects have already been implemented in a large part, but of course that part of the funds should now be returned to the units of local self-government in order for their financial system to be stable and I am glad that one of these parts of the funds, of course, and direct support in agriculture we know, and announced by the minister that the advances for next year are coming soon. The rebalancing of this budget provides additional resources for other small-value support countries, will also ensure the closure of the government's three-year programme to support the livestock sector. In the spring of closure, but also in the summer of the opening, economic activity and the tourist season for which we have witnessed, although the fall has also been less than we have calculated in the first budget rebalancing, which is important to us exclusively and funds for co-financing with units of local self-government, but also to continue building infrastructure such as the continuation of the fast road Farkaševac – Bjelovar, reconstruction of the state road DC5 Grubisno Polje – Končanica – Daruvar, many other projects throughout Croatia, and especially in Slavonia, but also the government's programme for the area inhabited by national minorities through the Ministry of Regional Development, Economy and Agriculture, noting that in the economy we have not yet been paid, we are not contracted to hope that we will still withdraw these funds. Although largely for Covid's sake, unfortunately we will not be able to complete the operational programmes of the Government of the Republic of Croatia for national minorities during this period of 2016. – 2020, but I am glad that at least part of the funds are assured that we will somehow succeed, and what I can say to end is that the National Minority Club will still support this budget rebalancing. Thank you very much.
ParlaMint-HR_2020-11-05-0.u10975	Thank you very much. The next Club of Representatives is the green-left bloc on behalf of which the respected representative Damir Bakic will speak. Here you go.
ParlaMint-HR_2020-11-05-0.u10976	Thank you, Mr. Vice President. Mr. Minister and esteemed colleagues, dear colleagues, I ask you to allow me, at the beginning, one quite principled remark. This rebalancing we're talking about today was at a government meeting just a week ago last Thursday. Two days ago, he was also discussed at the session of our Assembly Committee on Finance and Budget. So we Parliamentarians, not just the media and the citizens, but we only had a week to study the document. The document is usually 741 pages long, and the draft budget we will also be discussing soon has 1108 pages. But that's not all, the document actually both documents are originally table structures, but they're printed and then scanned and delivered to us in electronic form in an unsearchable format just like PDF. It all points to it as if it was done, just as if everything was done to make it impossible for us in our business. It was particularly difficult to hear the explanation that it was all in accordance with the law. That is, according to the law, but it is not in accordance with the spirit of our duty to do, so our understanding of how we should do this work. In fact, it's amazing that this is happening at all and that we still have to warn about this, we're not, you're not at the same job, the government, but it's as if it's trying to put as many obstacles as possible to us as possible, even though these obstacles meant a few steps back in so much digitization, even if they meant thousands, hundreds of thousands of pages printed, and even if they still don't know how many questionnaires over our understanding of transparency. So from this point on, I ask that future documents of such nature be delivered in an original digital table format. In particular, I ask that we also have a draft budget for 2021 which has already been referred to the parliamentary procedure and that has passed the debate on the parent committee along with this rebalancing document so that we can compare, so that both documents are delivered to us in a searchable electronic form. As far as content is concerned, of course, that we have clear circumstances in which this rebalancing occurred, we have clear reasons why this is already the second rebalance of this year and we respect all objective difficulties. We are aware therefore of all objective difficulties and are equally aware of the efforts that should have been made to agree on this rebalancing. We still have a number of content issues and remarks, and I'm only going to mention some now. First of all, it's unclear from the attached rebalancing which is actually his idea, which is priorities, whether it's rationalization and saving or they're redistributing according to some social criteria. Generally reduced funds for institutions intended to protect some vulnerable groups, e.g. D.A.'s office for children and the D.A.'s office for disabled persons, their budget is reduced by approximately 2.5%. The funds for the Ministry of Demography, family, youth and social policy have also been reduced by 43.44%, although part of that huge reduction is the result of over-deploying the ministries, but it would be interesting to see all the individual items and hear the arguments. It once again brings us back to my previous remark. It's precisely because of the ministry's misdemeanor, precisely because it's not possible to compare the documents directly anymore because we don't have one correspondence between the previous ministry organisation and the new one, which is why we need a document that we'll be able to search more. Hence, the Central Office for Demography and Youth received as much as 850 million kunas. However, it is not clear what this office will do except for maternity and parental permits. On the other hand, as I said, the reduction of funds provided for by the Ministry of Demography, family, youth and social policy is 43.44% or even 2.75 billion. If, then, 850 million has been rerouted to the Central Office for Demography and Youth, it is unclear what with other means, where they are exactly. We'd like to know and hear the explanation. So we need to know what's really redistributed, and what's a possible reduction. Furthermore, the Ministry of Defence is one of the few institutions whose budget has not been reduced in this crisis time, so from May to now and this budget has been on the table and is now still 4.8 billion in the new proposal. However, expenditure on employees who are not otherwise small within the ministry is 2.66 billion. Staff expenditure, however, has increased by almost 4%. It's okay with budget rules, but it would be interesting to know what that reason is, what actually happened in these few months. Central Office, State Office for Croatians outside the Republic of Croatia has a budget of around 80 million kuna and it is only slightly reduced by 1.73%. The budget of the central office, however, is even larger than a number of institutions that are important for the fight against corruption, such as the State Audit Office, the Competition Protection Agency, the Central State Public Procurement Office, the Commission for Decision on the conflict of interest, the State Commission for the Control of Public Procurement Procedures. It is also unclear that our priorities and priorities were in designing this rebalancing. More, of course, we will also have the opportunity and need to say in the budget debate for next year. And in heaven, just to mention the HAZU budget is 81 million kuna and it is one of the biggest relative winners in this rebalancing because it is growing by over 9%. And then, in a similar way, this brings us to the question of what are criteria and priorities, for example. A little while ago, the State, the Central State Public Procurement Office, which has 10 times smaller funds, was reduced by 4.5%. And it could therefore be concluded that we have taken another step back in the fight against corruption in public procurement procedures. Here are just some of the observations, some questions. Further remarks, further remarks, comments will naturally be made by colleagues and colleagues from our Green-Left bloc Club in their individual discussions. In any case, we will, with interest, hear with attention the reasons and answers of the minister, hear and hear the data eventually and all of this will be more useful to us in that real debate that is yet to come, and that is the debate on the State budget for 2021. Thank you very much.
ParlaMint-HR_2020-11-05-0.u10977	Thank you, too. Now it's Mr. Davor Dretar's turn to speak on behalf of the House Movement Representatives Club. Here you go.
