ParlaMint-HR_2020-11-13-0.u9694	- Mrs. Crescent. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2020-11-13-0.u14198	... In accordance with the provisions of Article 204 and in addition Article 206 thereof, we are well aware of the Croatian Parliament, the Honored State Secretary with fellow Members, Associates, colleagues and fellow Members. [[Specially enabled.]] The Rules of Procedure of the Croatian Parliament there are circumstances why laws are passed by emergency procedure, including for other particularly justified state reasons. These circumstances also include laws that comply with EU documents. It is for these very reasons that we also have before us this Proposal for a Law on Amendments and Supplements to the Insurance Act, which was basically adopted in 2012, and since then the law has been brought into line twice with the EU acquis, for the last time in the spring of this year. This law regulates issues already raised by the applicable law concerning the establishment, business, termination of the insurance company, resecuritisation companies and mutual insurance companies, as well as issues related to representation in insurance, insurance and resecuritisation and supervision by the Croatian Financial Services Supervisory Agency. Directive 138 of the European Parliament and of the Council, which is also known as Solvency II Directive, is incorporated into the content of the law itself, which aims to increase the protection of insurance undertakings, to set insolvency limits which determine the total risk exposure. The further normative harmonisation of the applicable law was with Directive 97/2016. In fact, the European Parliament and the Council are concerned with the insurance distribution directive, which concerns harmonisation with the provisions governing the operation of insurance distribution and resecuritisation operations. As I said in the first half of this year, the applicable law is in line with the EU Commission Regulation 1935, which amended Directive 97/2016, hence the insurance distribution directive, and that Regulation gives the European Insurance Supervisor and Occupational Pensions Authority the power to review insurance relations against professional liability as well as the necessary amounts of financial means available to the insurance and reinsurance intermediaries to take account of the European Consumer Prices Index. Today, we have before us a proposal for new amendments and an addition to the existing insurance laws which make it necessary to comply with Directive 2177 of 2019 amending 3 Directives, a minor part of Directive 138 of 2009, Directive 65 of 2014 and Directive 849 of 2015 on the prevention of the use of financial resources for the purpose of money laundering or terrorist financing. This proposal for a law shall adopt the provisions of Directive 2117 of last year in respect of the adjustment of volatility. We can therefore say that this is a change in the price of financial instruments to non-risk interest rates by insurance companies where base, base points from 100 to 85 change. When we talk about the size of a change in a financial instrument, most often it is considered as a standard deviation of price changes, and serves as an indicator of its own risk indicator and the volatility of the financial instrument is greater, and its risk is greater. Furthermore, it is also indicated here that the amendments to this law introduce and the obligation of supervisory authorities to notify the European Insurance Supervisor and Professional Peace Insurance Authority of the requirements for the use or modification of the internal risk assessment model, but also that some other obligations of the European Supervisory Authority for Insurance and Professional Pension Insurance and Supervisory Authorities of the relevant host Member State are made in the issue of an authorisation to work in a company. It has also been said that in the 5th month of the last amendment and addition of this law, but this Directive 2117 of last year, which came into force in January this year, has a relatively short period for the transposition of this European provisions of this Directive in national legislation, but as is known, there has been a disbandation of the 9th Assembly, and this is why today the proposal here by the Proposer is here today to be adopted by an urgent procedure. And finally, ladies and gentlemen, the HDZ Representatives Club will support this government's Final Proposal for the Law on Amendments and Supplements to the Insurance Act. Thank you for your attention.
ParlaMint-HR_2020-11-13-0.u14199	Thank you. Mr. Miro Bulj will now begin, in fact he will be the only one who will have an individual debate.
ParlaMint-HR_2020-11-13-0.u14200	Thank you very much. Here I would just say at the end when a colleague from HDZ said this was the government's proposal, this is just another...
ParlaMint-HR_2020-11-13-0.u14201	Mr. Bull, you should come here, it's such a procedure.
ParlaMint-HR_2020-11-13-0.u14202	How about this one, huh?
ParlaMint-HR_2020-11-13-0.u14203	Yeah. That's what we agreed.
ParlaMint-HR_2020-11-13-0.u14204	Thank you very much. Here, after his presentation at the end of the HDZ colleagues said this is the Government's proposal, this is the copying of regulations and directives daily that are generally not applied and respected in the Republic of Croatia and this is a key problem which is what the executive and other authorities in the Republic of Croatia do not respect the decisions made by this assembly. And that's what colleagues and colleagues are always talking about. I would just say that the mentioned earthquake in Zagreb from the insurance problem we had a fire in Dalmatia, had Gunja in Slavonia, a flood, unfortunately the elemental threat and other threats always above the neck. However, the biggest threat and I don't know how the distinguished secretary of state can ensure Croatia from you, from your management to 2/3 of Croatia, which is empty how to secure agricultural land that we cannot build, means that you are more pests than these threats and insurance that we need to make, and the results are visible. Is this possible in this regulation, has the EU written to you, is that what Andrej Plenkovic agreed on at the Council of Europe with ministers and prime ministers? Is it just before, we here, gentlemen, bring in the unanimity laws of the loan savings credit cooperatives RBA and you gentlemen of the executive government do nothing to protect these people who are damaged in the Republic of Croatia from the side-saving credit cooperatives who come to the executive solutions to get kicked out of their only real estate. Then we'll find a law to ensure that you're in the assembly that you're obliged to enforce laws, and you're not, and that's executive power. The law of lex Škibola so-called. I've brought the entire assembly in unanimity, and you state secretary when you were an HNS parliamentary representative, you're probably in the HNS right now, but that's the continuity of governance, no matter what coalition. I'm curious as to why the executive power doesn't protect people from the obligation that came from the decision made by the council, the law, the unanimous law, the lex Squibola so-called. Shut up, nobody's saying anything, because you'll find an excuse, the European Commission, we have to prescribe their regulations, directives every morning, and they're absolutely rejecting what we bring to the assembly. Then what is the purpose of the Croatian Parliament, colleagues and colleagues, to come this morning by a colleague of Begonja and read the regulation that was prescribed as law i.e. Read it, read it, read it. So we've lost our sense of purpose here if we continue like this, and the sense that we bring laws into the interest of a man to remain in the Republic of Croatia. That is why I propose here if there is a way to enter into the regulation or to talk to the European Commission or at the next meeting of the EU Council of Ministers that Prime Minister Plenkovic further proposes how to protect Croatian citizens from the policies that you are leading in all segments. In particular, the demographic segment, the economic, economic, is that it is not different for us to have, perhaps the EU is responding to the fact that our best-quality people are going to the EU, so we have a law on foreigners that we have liberal about it. So I don't know what to say anymore. I'm curious to know why you don't respect the laws as the executive authority that this assembly brings. Why not protect the citizens who, under this law, are to be protected? Why?
ParlaMint-HR_2020-11-13-0.u14205	You can stay because Mrs. Petyr was looking for a replica. Here you go.
ParlaMint-HR_2020-11-13-0.u14206	Thank you very much, Mr. Vice President. Mr. Bulj, you spoke of demographic challenges that are a serious problem for Croatia, but also for most of the new Member States and there, we must certainly make every effort to maintain and ensure the conditions for our people to stay in Croatia. But you're saying several times that our best-quality people are leaving as you imply that those who aren't quality stay here that I can't agree with. Every man of ours is equally valuable, equally important, has his personality, his skills, skills and quality, and in that sense, and in this way we must observe them and do everything to achieve in their full dignity, to have secure jobs and normal living conditions. You mentioned insurance in agriculture, so I'd just like to say, I don't know exactly what you meant, but we have crop insurance and plantation from natural disasters, and here I can gladly report that the ministry has respected our Committee on Agriculture's proposal. And that he will also bring in security for the protection of the crops and the pestilence of the savages, for the savage is doing terrible harm. [[Intruder Radin: Time.]]
ParlaMint-HR_2020-11-13-0.u14207	Thank you. Answer, please.
ParlaMint-HR_2020-11-13-0.u14208	Well, colleagues Petir, I appreciate your experience, from the key person Stjepan Mesic, to the main person in the Andre Plenkovic coalition, so I can sign everything you said except for this piece in which I disagree, which is that they remain the most qualified people in Croatia or outside. I just said that people went after bread with their stomachs and 2/3 of Croatia is empty, empty. Your Slavonia is empty. I don't know. You see her. Or you really had another picture in the European Parliament. My Dalmatian Zagora is literally, I'm sorry to have to say this, empty, schools are collapsing. I know that you have an interest in defending Andrej Plenkovic's politics but it is neither religious nor Christian, but above all it is not true because 2/3 of Croatia are empty. And that's true. Look how much we produce agricultural goods, how much we import. Thank you very much.
ParlaMint-HR_2020-11-13-0.u14209	Thank you very much. Injury of the Rules of Procedure, Mrs. Credentials. Petyr.
ParlaMint-HR_2020-11-13-0.u14210	Dear Mr. Vice President, my colleague Bulj has been injured by an officer. 238 because it's false. I have made it very clear that he claims that the best-quality people have gone, which means that those who aren't good-quality stayed here, I have denied it because I believe that all our people in their personality are equal in quality, have their abilities, don't twist my words. As far as the policy I'm conducting is concerned, I've been conducting a policy of protection of the interest of the Croatian people as I've done my whole life. You're not taking the exclusivity that you're the only national rep. And we're all not even down to your knees. [[Intruder Radin: Thank you, weather.]] So it's inadmissible what you're doing. [[Intruder Radin: Mrs. Petir.]]
ParlaMint-HR_2020-11-13-0.u14211	I let you talk because you know as well as I that it was a replica, so I have to give a warning. A colleague of Bulj also gave a violation of the Rules of Procedure [[Adversity Petir: A colleague of Bulj gives lies and insults other MPs.]] Here you go. [[Intruder Petir: Hurt art. 238.]]
ParlaMint-HR_2020-11-13-0.u14212	Thank you very much. A colleague named Petyr has been injured by an article. 238, I don't know why she's nervous, I didn't hurt you, I just listed certain facts that I appreciate your great experience of being the key person of Stjepan Mesic, that you are now defending the gentleman's attitudes and that I respect you, however.
ParlaMint-HR_2020-11-13-0.u14213	Okay, well, I'm still presidencies, so I gave the line to the lady, and I gave the notice to Mrs. McNally. I'm also giving you a warning because it's my job, not your job. Let's allow it. Here you go.
ParlaMint-HR_2020-11-13-0.u14214	Your Honor, Mr. Vice President, the officer has been injured. 238, for he defamations all the time and insults the other representatives and harasses us. All the time, not reading any of the acts but repeating from the session to the session on each point of the same thesis that people will think is a lie. [[I gave him a warning.]] So fellow Bull, I beg you to behave in accordance with... [[The speaker doesn't understand.]]
ParlaMint-HR_2020-11-13-0.u14215	Okay, I've given all the warnings and I hope Friday is enough, I mean, really. Mr. Stjepan Curaj will speak on behalf of the promoter, please be final.
ParlaMint-HR_2020-11-13-0.u14216	Thank you, Vice President. So, finally, as regards the presentation and comments of the distinguished representatives, Representative Bulj problemed again the savings-credit cooperatives of the Law on the value of the credit agreements with international features concluded in the Republic of Croatia, etc. Scybol's law which is not the subject of these amendments and the same law is still in force and the proceedings are before the court that this ministry neither government nor can interfere. The esteemed representative Spajic raised issues of the amount or total of collateral, as far as only one data are concerned, I believe that the earthquake insurance towards the contracted premium is slightly more than 1% of the total non-life insurance premiums in 2019, so I agree that this is certainly a way in which some of these unwanted events and easier to bridge, but the state has no authority or should favour individual private businesses such as insurance in terms of promoting the same and imposing obligations, which is also the free option for citizens to choose whether to provide something or not. As far as co-financing is concerned, there are some, well-respected MP Petir mentioned and co-financing related to crop insurance, your mentioned, third pension column or voluntary pension savings are also co-financed, so up to the amount of 5000 kn subsidized annually with 750 kn, you mentioned the amount that was secured. Also, as far as incentives are concerned, they are those who can be in line with the non-destruction of the competition itself. The esteemed representative Lalovac mentioned compliance with Solvency II, which is one of the extensions of the same, the harmonisation therefore, this amendment is being added. In addition, as regards the very adjustment for volatility, it has been calculated monthly and carried out by the European Insurance Supervisor for Structural Pensions Insurance, also mentioned the esteemed representative Lalovec as regards our insurance company and the application of this volatility option, the volatility adjustment, it must go, until now, we hope that this law may achieve this possibility but must ić, with the prior approval of the Croatian Financial Society Supervisory Agency. As for the portfolio itself, which was also mentioned by the esteemed representative Lalovac, the highest investment is in over 60%, so almost 2/3 of the investment in government bonds is further approximately 8% and 8% respectively, in loans with a 7% stake, and investment funds of about 5%, which is the structure that insurance companies do with the premiums themselves. The esteemed representative Begonja has well noted why this is important for us as regards urgency in terms of both scope and scope, and also for the opportunities that they bear themselves, so we absolutely agree, as well as the context and continuation of the application of these changes in relation to the regulation of this market, all with the same aim of protecting citizens and preserving the financial system itself which, as I must remind you, has been a crisis since 2008 that has been caused by the disturbance of financial markets and systems that later caused the global crisis. And yet again, the distinguished representative Bulj, as far as the copying of the directive is concerned, so if I can interpret it, so it's not a problem, this is a good proposal, it's just a problem that we... on the EU directive, unfortunately, we cannot now choose what we want and what we don't want, and I think that we must generally see whether this is better for our citizens, we believe that it is and that it will also bring greater opportunities for the insurance companies themselves to have their own resources if there are some unforeseen crises, and that means, in general, the impact on the market itself. [[/The speaker doesn't understand.]] Finally, it would also point out on behalf of the applicant that the Committee on Law had two nomotechnical amendments to Article. 2. the applicant accepts, and also to Article 2. 8th also accepted by the applicant. Thank you.
ParlaMint-HR_2020-11-13-0.u14217	You stay here, you have three replicas, the first replica was asked for by Mr. Bull.
ParlaMint-HR_2020-11-13-0.u14218	Dear Secretary of State Curai, I understand that we must coordinate i.e. you lay down laws with the European Directives and regulations. However, all the directives and regulations we adopt or most of the problem is that they are not implemented and that is what parliamentary representatives must warn the executive authority. I've set only one example. It's not literally just important for us to raise our hands here and say, in the end, we're making thousands of directives, regulations, and we've implemented them. The problem is implementation, and I have set an example of whether the Ministry of Finance is competent, your ministry and the Croatian government, it is the law of lex Škibol, which is not applied in practice but rather vice versa. These people who are damaged, our citizens, our citizens, are being executed against the law that we have passed in this assembly. And the question arises what is the meaning of HS if executive The government doesn't do anything? [[/Intruder: Thank you very much.]] Thank you very much. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-13-0.u14219	Mr. Chury.
ParlaMint-HR_2020-11-13-0.u14220	Thank you, Vice President. Dear Representative Bulj, I'm glad you agree with these suggestions and that you actually support the same transposition and application. As far as the law you mention is concerned, it is not the subject of this, this item of the agenda. However, they can only point out that the law remains in force, that certain proceedings are before the courts, and that the ministry must not and cannot participate in the proceedings itself.
ParlaMint-HR_2020-11-13-0.u14221	Mrs. Devereaux. Petyr.
ParlaMint-HR_2020-11-13-0.u14222	Thank you very much, Mr. Vice President. Mr. Secretary of State, so far here we have had insurance paid by the Ministry of Agriculture in the hunting sector for the damage that the gamer has done in transport with some 52.7 million kunas after our insistence on the board to expand, the Minister has confirmed that the damage that the game is doing in crops will be caught, so that the amount could go to the value of 60 million kuna that the Ministry of Agriculture will provide for the damage done by game and in transport and in crops. We think it's extremely important, especially in areas that have been killed by war because there's been a crossover of savages and, of course, domestic pigs, and they've domesticated so much that they're getting into people's backyards and doing terrible damage, so I think this is going to be one contribution where HS encouraged to the government to bring adequate solutions. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-13-0.u14223	Thank you, time, thank you very much. Here you go, Mr. Chure the answer.
ParlaMint-HR_2020-11-13-0.u14224	Thank you. So, it's not a particular subject of these changes, but I can agree that the continuation of what's actually been going on in the last year's term, and it's been passed down right now that even since the attack of a car on a game, the issue of insurance as well as the management of the hunting grounds and, and, and the cooperatives doing so. This is me thinking a logical sequence and it's absolutely something that's being extended to a new law already passed.
ParlaMint-HR_2020-11-13-0.u14225	... Mr. Spijic. [[/The speaker doesn't understand.]]
ParlaMint-HR_2020-11-13-0.u14226	Dear Secretary of State, I didn't say anywhere in my presentation that the state should suggest to citizens where to secure or yes, that you should favor an insurance house. I made it clear that the state needs to promote more and subsidize asset insurance. I know that you have nothing to do with insurance houses and that they are private, but that doesn't mean that you can't tell our people what's good, that you promote it, that you subsidize it, that it's easier for them to pay it, that things like this don't happen later. Thank you.
ParlaMint-HR_2020-11-13-0.u14227	Here you go, Mr. Chury.
ParlaMint-HR_2020-11-13-0.u14228	I thank you for your clarification. So I am, however, being influenced by citizens with the goal of insurance. I agree that as far as the promotion itself is concerned, we should use all the channels that we can introduce people to the benefits. However, certain funds of the insurance companies themselves are being spent on marketing, so I believe that we are giving our pain through this way of discussion and that certain benefits should be highlighted in such a public space. However, each one of them is both going and going with his budget, which he has and is calculating with these risks, both for compulsory insurance and for these voluntary and simply we have to do what can be agreed upon by raising that financial literacy of citizens in which there is one part, one part of the insurance. And as for the subsidies themselves, it's always a slippery area because we have this custom that we want to put more and more under these subsidies, which, of course, falls under support, and sometimes they're not allowed. [[Intruder:]]
ParlaMint-HR_2020-11-13-0.u14229	Thank you. We don't have any more replicas. I'm closing the debate. We'll vote when the conditions are met.
