ParlaMint-NO_2002-05-22.ana.ud696e28	The called alternate of the Rogaland County, Inger Lise Aarrestad, has taken the seat.
ParlaMint-NO_2002-05-22.ana.ud696e460	I guess we'll give them the credit in Vardø that it's not the municipal economy they've complained about. They complain that they lose their jobs, they complain that there are hundreds of jobs that have disappeared, and there is a lot in a small community like Vardø. Similarly, they complain that they are losing the airport, and it is also serious for a place in the districts. I think it's important to take this seriously, along with amputation, and also in relation to the fact that it can spread to other parts of District Norway. I think it's a combination of a number of conditions that create this demise: that state jobs disappear, that the SND instruments are cut, that the fisheries are centralised, and that a feeling of over-control from the state in a number of circumstances. And that abduction is serious, because without local democracy Norway stops. When the Prime Minister here says that we need to rethink district policy – implicitly that we who do not think new, we are old-fashioned and out-of-date – we await the content of the new thoughts that the Prime Minister intends to do, and then we are hoped that no more local governments have left their jobs until that content becomes visible.
ParlaMint-NO_2002-05-22.ana.ud696e467	To take what I agree with the representative Arnstad in the first place. I agree and believe the situation in Vardø is serious, and it should be taken seriously. I don't think they're going to end their political duties for fun. They do it enough because they feel that the situation is desperate. But I believe in a different way of getting out of that situation. What the state has the most direct governance is possible government jobs, and we have said that we want to help channel to Vardø Municipality. It must be followed up. Otherwise, I invite Vardø to a dialogue with government authorities on how to get out of a difficult situation in a municipality that has lost 530 jobs in the state and private sectors over the last 15 years. It is clear that it is noticed in a municipality with such a population. With regard to new measures in the field of district policy, I refer you to the Commissioner for Regional Policy. It has just been held, and it contains a number of concrete proposals for a new policy, and we are going to follow up through a district commission. I recommend the Center Party to get a little more on the SV's constructive line.
ParlaMint-NO_2002-05-22.ana.ud696e474	Let's go to the next main question.
ParlaMint-NO_2002-05-22.ana.ud696e477	I try again to give the Prime Minister some relief, and ask a question to the Minister for Transport. The Minister of Transport is now going to carry out the transition to public limited liability companies in many areas of the sector, including: the production department of the State Road Administration. We in the Working Party are against this. We believe that there will be more commerce and less community management, which will ultimately give less and worse ways to money. Now, seven months before the transformation, most of it's unclear both for us and the thousands added to the floor. We don't know if we get more for the money, as the goal was, and we don't know what the conversion costs. The union says she'll cost $7 billion, and the council says $680 million. kr. They don't know how long they want work and what kind of conditions. We've been asking a lot of questions about this over the last few weeks. We get general answers, and it seems like the Council of State would rather not answer. We've got a release of a report, except for the public! Understand the one who can. So I'd like to ask the Council: how much is the conversion – 680 million? $7 billion? And how will she get them to join in the further work?
ParlaMint-NO_2002-05-22.ana.ud696e488	Now there are also some governments that have been through some transformations into AS in the past, and former workers' party governments have good experience with it. From there it is known that conversion to AS does not in itself entail considerable costs. The major challenge in the production activities of the State Road Service is precisely the competitive take-up of the activity. In this context, it is reasonable to assume that there will be a need for more efficiency and reduction — depending on how good this competition is. In this type of conversion, there will always be costs. It is absolutely right that there is currently no overall picture of the costs, because we have not yet reached the stage when this competitive situation has occurred. The Directorate-General for Road Transport has recently drawn up a call for proposals for opening balance sheets for transmission to the Ministry. The Ministry is now reviewing this, and with quality assurance by an external consultant. The costs will depend on the number of persons covered by the downhaul. The extent of this will then be subject to the assessment of the Management Board. The figures recorded by the Road Directorate indicate a total conversion cost of NOK 2.2 billion. This is an amount and an analysis that we must, as I say, have external quality assurance. The Ministry will return to the conversion costs of a total presentation of the opening balance of the budget for the autumn.
ParlaMint-NO_2002-05-22.ana.ud696e497	I thank the Council of State for your answer. The answer then is that there is actually no cost in itself, but that the non-costs so far are estimated at NOK 2.2 billion. It is clear that much needs to be done in a sector with 10,000 to 11,000, many of which need to be made redundant. Our concern is that only one achieves this, is a guided winding-up, and that one does not care for the competences that they add to the Road Service. In a press release dated 7 May, the Ministry says that from 2003 savings will cover the cost. I would like to ask: how does this prepared report fit in? Does it show that one wants to make money so fast? Then I want to make the Council of State aware – it is possible she knows – that Swedish experience shows that, where they thought it would cost 1.2 billion kroner to convert the Swedish Road Administration, not to an AS, but to a management company, the result is now NOK 4.5–5 billion. I'm worried that it'll cost more than it tastes in Norway too.
ParlaMint-NO_2002-05-22.ana.ud696e506	Now I really see this as a little attempt at a rematch if we're going to have an AS or not. That's what Stortinget has been up to, so that's where I think it's taken. It is also important to stress that when the representative Starrfeld here refers to the 10,000-11,000 employees, it is about management and production, while the question to me was directed in relation to production. If we focus on production, there are open questions about what the cost will be. But we know that we get a more efficient way of implementing both investment, operations and maintenance tasks, which makes us collectively serve this transformation in the Road Administration.
ParlaMint-NO_2002-05-22.ana.ud696e516	There will be follow-up questions - Bjørgov Froyn.
ParlaMint-NO_2002-05-22.ana.ud696e519	The most important thing is not to challenge a decision that has already been taken. The most important thing is to understand what is really going on in this reorganization of the State Road Service to an AS, and the cost. My question to the Council of State is: Is it convenient to face costs that could indicate that billions of dollars are involved? Is it convenient to face thousands of employees who get an unsafe everyday life? And is it convenient to say no to the measures for which this money could have been spent on road development, racial protection and public transport?
ParlaMint-NO_2002-05-22.ana.ud696e526	First of all, I would like to stress that it is not a matter of turning the State Road Service into an AS. It's a matter of turning the manufacturing activity of the State Road Administration into an AS, and it's a very big difference. Then it is that the costs here are related to pension solutions, waiting wages, etc. These are the costs that will lie there in any case and that per person. Today is reasonably hidden, but on which we are now getting numbers. This will be achieved through the opening balance sheet, which will be presented to the Stortinget later. I have no objection to these numbers getting on the table, and we see how much it costs. We have also come a long way in the dialogue with employees on precisely how to ensure that we take priority over other positions in the state, waiting pay, early retirement, etc.
ParlaMint-NO_2002-05-22.ana.ud696e536	Governments start their first answer by pointing out that other governments also have relocated companies to AS. But the Council of State must admit that what this government is doing is far above what other governments have been thinking about. Here they take the Posten, the NSB, the Aviation and Production Departments of the State Road Service and convert them to AS without having done any basic work in advance and without having added them to the process. It is clear that there must be unrest among those added, and it has also been shown when the organizations to whom they add both demonstrate and break all contact with the ministry. Does the council see the problems this creates when they don't join their organizations feel that they can be involved in such work? Then the Council of State showed the opening balance sheet, which is to answer most of the time. However, that opening balance sheet does not predate the budget for the autumn, and the transformation will take place on 1 January 2003. [[The President clubs.]]
ParlaMint-NO_2002-05-22.ana.ud696e543	The number is out.
ParlaMint-NO_2002-05-22.ana.ud696e546	I would like to remind you that two of the companies that we are talking about are special law companies today. The difference between a special-law company and a limited liability company is minimal. This means that these companies were in practice transformed into limited liability companies before that government joined. The employees have been invited to join the process all the way, and of course it is in the course of the process. I have recorded that there is some turmoil in the state road system, and I am of course open to dialogue with regard to the points of uncertainty. It is also the case that the greatest remaining challenge lies in the uncertainty about the opening balance sheet, and we have said that it should be presented when we are to present the budget for the harvest.
ParlaMint-NO_2002-05-22.ana.ud696e551	The last main questions in the oral question procedure are asked by Kenneth Svendsen.
ParlaMint-NO_2002-05-22.ana.ud696e554	My question goes to the Minister for Transport. I recently met the people's reaction for the 4-field E6 in Eastfold. The meeting took place in Sarpsborg. On the stage there was one rose for each death per. year – 20 roses in a bouquet. In 10 years, there'll be 200 roses there. And before the national transport plan is fulfilled for Eastfold, there will probably be 400 roses — one for each death — on that stage. In addition, all of them come badly damaged. Can we afford to lose these 400 over the next 20 years? And as I said, in addition, they're going to be badly damaged. But it won't stop there. We have the same problems in Oslo, in Akershus, in Westfold – not to mention the rest of the country, where almost 340 people are killed per year. years. 11 500 people are injured in traffic. What we need now is a national effort, a national boost to get the roads going. Will the Council of State initiate such a national effort?
ParlaMint-NO_2002-05-22.ana.ud696e563	I am involved in this national effort every day, and I intend to continue as long as this government sits. It is with great pleasure that I record that the Progress Party is very concerned with road safety on Norwegian roads. We have an absolute common starting point when we see these challenges, whether in the case of E6 through Eastfold, or in the case of other roads around our country, in the case of racial protection in the West and in North Norway, and in the case of the general traffic conditions around it, which means that as long as we are unable to build and repair the roads that should be remedied and built, we must take other road safety measures. We have a lot of work going on in relation to this, and we intend to continue this – it is a national effort, with contributions from the state as well as from road users who travel on Norwegian roads, for example. through tolls. I can quite clearly state that we are going to make important contributions in the future, both in terms of investment, operation and maintenance, and we are going to come up with measures in general on road safety. Of course, I very much hope that the Progress Party will support us in these measures, from speed reduction measures to what else may be.
ParlaMint-NO_2002-05-22.ana.ud696e572	It is with all due respect a wonderful national effort to participate in. The fact is that in 1990 approximately $9.5 billion was spent on roads. 20 billion from car and car use. This year, you spend $10.5 billion and take in approx. 40 billion kroner from car use. So you almost didn't have an increase in the heads in the last ten years. There's actually a real decline in use for road construction. The National Skills Transport Minister adds, is producing more photoboxes, more bumps on the roads, dot loads, radar checks, while what really helps, as we look at E6 to Gardermoen, where death has fallen dramatically, is building new roads, and there the Government is doing absolutely nothing. That's where I'm calling for a national effort. Will the Council of State take the initiative in a national effort to build safe roads in this country?
ParlaMint-NO_2002-05-22.ana.ud696e577	I'm a little unsure whether we live in the same country – if that's how we don't do anything on the road! There may be a lot of good steps we have taken on the road side, both in terms of building new roads, bridges and tunnels – I don't think there is any doubt about that. Then it is that in the case of fiscal charges in this country, they are not earmarked. Whether we want it or not, it is not such that it is an automatic matter that car-dependent charges go for transportation purposes. Therefore, it is important that we pick out the best and most important projects first and get them implemented. We intend to continue this effort, and we will regularly present the National Transport Plan, which will allow the Storting to deal with both long-term plans and annual budgets in relation to priorities each year.
ParlaMint-NO_2002-05-22.ana.ud696e584	The time for the oral question procedure is now over. We're going to the ordinary Question Time.
ParlaMint-NO_2002-05-22.ana.ud696e589	There will be a wide range of changes in the list of questions drawn up, and in this context the President will refer to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative Sigvald Uppøen Hansen to the Minister of Finance, must be postponed to the next Question Time when the Council of State has left. Question 3, from the representative Per Roar Bredvold to the Minister for Culture and the Church, will be answered by the Minister for Oil and Energy on behalf of the Minister for Culture and the Church, who has been away. At the request of the Minister for Oil and Energy, this question is moved and answered before question 10, to be answered by the same Council of State. Question 4, from the representative Signe Eye to the Minister for Agriculture, must be postponed until the next Question Time when the Council of State has left. Question 11, from the representative of Karita Bekkemelm Orheim to the Minister for Children and Family Affairs, will be answered by the Minister for Social Affairs on behalf of the Minister for Children and Family Affairs, who has left. The question will be raised by the representative Eirin Fallet. Questions 12 and 14 from the representatives of Ågot Valle and Arne Lyngstad respectively to the Minister for Children and Family Affairs must be postponed to the next Question Time when the Council of State has left. Question 13, from the representative Siri Hall Arnøy to the Minister for Children and Family Affairs, will be answered by the Minister for Health who directs him. Question 15, from the representative of Marit Arnstad to the Minister for Fisheries, will be answered by the Minister for Social Affairs on behalf of the Minister for Fisheries, who has been removed. Question 17, from the representative Svein Roald Hansen to the Minister for Labour and Administration, has been transferred to the Minister for Local and Regional Affairs, who is directly responsible. However, the question has to be postponed until the next Question Time, when the Minister for Local and Regional Affairs has left. Question 20, from the representative Oddbjørg Ausdal Starrfelt to the Minister for Economic Affairs and Trade, must be postponed until the next Question Time, when the Council of State has left. Question 21, from the representative of Gjermund Hagesetter to the Minister for Local and Regional Affairs, will be answered by the Minister for Labour and Administration on behalf of the Minister for Local and Regional Affairs, who has been removed. Question 22, from the representative Odd Roger Enoksen to the Minister of Defence, is moved and answered at the request of the Council of State before question 1, i.e. first in the Questionnaire.
ParlaMint-NO_2002-05-22.ana.ud696e620	So the first question that will be addressed is question 22.
ParlaMint-NO_2002-05-22.ana.ud696e626	I would like to ask the Minister for Defence the following question: ‘Since the Grand Duchy adopted the establishment of the Eastern Region in 1999, a number of environmental conditions for the Decision have been radically changed. These changes must be submitted to the Size. Will the Council of State take the initiative to ensure that the Grand Duchy is properly informed, for example through a presentation, of the changed conditions for the establishment of the Eastern Region?’
ParlaMint-NO_2002-05-22.ana.ud696e635	I do not agree with Odd Roger Enoksen's claim that the environmental conditions for Storting's decision to establish the Eastern Region have changed radically. It was also presented by the Minister of Local and Regional Affairs, who, on my behalf, replied to Knut Storberget in the Questionnaire on Wednesday 17 April 2002. Recommendations in St.meld. No 11 for 1998-99 on the establishment of the Eastern Region was based on the needs of the defence sector, but also provided the basis for a comprehensive study on the impact on nature, the environment and society, as far as it was clear at the time. Following the completion of the impact study in 1998, independent trade union consultants have carried out follow-up investigations. The results show that the impact on nature, the environment and society is largely the same or slightly better than that presented to the Stortinget in the treatment of St.meld. No 11th@item: In the case of field noise, it is recognised that the activity will cause noise to the environment. By changing the position of stations, shooting directions and target areas, as well as the adjustment of charge sizes, noise pollution is being reduced in relation to the size of the vehicle. In the case of contamination into water, the defence aims at switching to lead-free ammunition for small arms. For Østerdal garrison and Regionfelt Eastland, this process will be accelerated. Therefore, the deposition of lead in the field will be significantly reduced compared to that resulting from the Storting treatment. With regard to the use of Rena River for military activity, it is assumed that this may be done with due regard to the existing civil use of river. An extensive process is still under way, with a strong emphasis on nature, environment and society considerations in the planning and implementation of the Eastern Region. Since the 1999 decision, the size has been provided with relevant information on the project in relation to the annual budget proposals as well as in St.prp. No 55 for 2001-2002, the implementation proposal, currently under discussion in the Defence Committee. It is my opinion that the implementation of the project takes place according to the leadership provided by the Stortinget and that the necessary information on the planning and implementation has been provided to the Stortinget in a satisfactory manner.
ParlaMint-NO_2002-05-22.ana.ud696e661	I must say that I am somewhat surprised at the answer the Minister of Defence has now given. I still believe that the environmental assumptions have radically changed in relation to what was the starting point of the project. First, there is considerable interference in the Rena River, which has previously been shielded from military intervention. Even more serious, I think it is that the toxic emissions to water are likely to be between three and fourfold in relation to what was foreseen for the establishment of the Eastern Region. This applies, inter alia, to: for several types of metals. It was intended, for example: a lead emission of 10 tonnes, while it appears to be as high as 19 tonnes. It is true that the defence is considering switching to another type of ammunition, but it will nevertheless not prevent large emissions of copper, zinc and e.g.. white phosphorus. In addition, it is also known that much more will be affected by noise problems than initially assumed. It is a prerequisite for a functioning democracy that state intervention is treated in a thorough manner and that real consideration is taken into account in the process. It cannot be accepted that the defence changes the use of the field across the assumptions laid down in 1999 without the parties involved being adequately consulted and the Stortinge has also had a word in it. On the basis of the Minister of Defence's first answer, my question of follow-up is: does the Minister of Defence not see that the consideration of both intervention in the river, the consideration of toxic discharges and the consideration of noise has changed in relation to the original decisions?
ParlaMint-NO_2002-05-22.ana.ud696e670	As for the concrete examples that have been shown here, I have a different view of some of the claims that Odd Roger Enoxsen is based on, and that include. is in an investigation by the nature protection organisations. In the case of contamination with water, lead is the largest source of contamination. The defence's view is that the deposition of lead in the field will be significantly reduced by e.g.: transition to lead-free ammunition. You can also handle emissions to water in other ways. Among other things, shooting can be carried out on railway installations and against targets in fields with bulwarks and other measures to prevent run-off and which also facilitate the collection of projectiles. In the case of noise, we still believe that the 305 dwellings that are assumed to be affected are at stake, and there are figures that were also presented to the Stortinget in a Questionnaire round earlier this year. So in the case of the Rena River, we believe that here it is fully possible to reconcile the defence activity with the civil use of the river. Then we are on the question of democracy, and the situation is that democracy has decided that the Eastern Region should be built. There has been considerable resistance, but resistance has not gained. When the Ministry's position is that, in terms of environmental conditions, the situation is similar or somewhat better compared to some emissions, it is right to allow the project to proceed. But I also think democracy should have its ability to ask questions. We know that we have a proposition on the defence committee, St.prp. No 55, which also has a reference to the Eastern Region, so that we will, of course, answer questions from the Committee that address current issues in this regard.
ParlaMint-NO_2002-05-22.ana.ud696e681	A number of questions have also been sent that address issues related to the Eastern Region, where the environmental aspect is not yet addressed. It is absolutely right that it is a democratic decision that underpins the construction of the Eastern Region. The democratic decision is based on given assumptions, and we have a somewhat different view of the extent of the deviation from the given assumptions. My closing question to the Council of State will be short and good: will the Council of State guarantee that the defence will stay within those limits, including: with regard to the environment, which was set by the Stortinget in 1999?
ParlaMint-NO_2002-05-22.ana.ud696e688	I want to stick to what I said in my main response, namely that in terms of overall environmental conditions, they are largely unchanged or even improved. There are many different elements of these environmental assumptions. We've been involved in the lead pollution of water, we've been involved in the consequences for the Rena River, we've been involved in noise pollution, but overall, we believe that this is within the scope of what the Stortinge left behind. There is also ongoing work in the project organisation to minimise all the emissions that we have talked about here. I am confident that this will be done in a satisfactory way, in addition to the fact that, of course, in the seventh place, the State pollution control body is responsible for setting emission requirements for the defence and, of course, we have to stick to when we are going to implement the use of the field.
ParlaMint-NO_2002-05-22.ana.ud696e695	Then we go to question 1.
ParlaMint-NO_2002-05-22.ana.ud696e701	I will ask the Minister for Foreign Affairs the following questions: ‘It is now moving rapidly towards the enlargement of the European Union. This presents Norway with major challenges. What is the Government’s strategy to strengthen Norway’s position in our neighbourhoods, in particular with a view to managing and controlling our large marine resources?’
ParlaMint-NO_2002-05-22.ana.ud696e710	Swensen is quite right that it is now likely to move towards an enlargement of the EU. I would assume that a significant expansion will come in 2004, which is probably a few years away. When the EU is enlarged, the new Member States will become participants in the common fisheries policy of the EU, which is not part of EEA cooperation. Enlargement will not affect Norway’s management and control of marine resources, and therefore it means that we are in about the same position as now. However, with regard to Norway’s management and control of marine resources, the Government continues to place a decisive emphasis on close cooperation with the countries with which we share these resources. Norway therefore has a bilateral fisheries agreement with the EU. The annual negotiations on reciprocal and balanced quota cooperation under this Agreement will also be continued with an enlarged EU.
ParlaMint-NO_2002-05-22.ana.ud696e719	From the point of view of the Coastal Party, Norway must now invest in cooperation with the western Nordic countries in order to ensure control of the natural resources of the Norwegian Sea. We had to deal with a Document No. 8 proposals from me on this yesterday. The latest poll on Icelandic membership in the EU shows that the Icelandic people will say a clear no if there is talk of giving up the right to dispose of fish resources. It implies that Iceland will be more interested in cooperation which does not imply a declaration of the right of access. Such cooperation is believed to allow Norway to offer Iceland. Norway has to invest heavily in more markets than the EU for fish products. Only by standing on several legs can we reduce our dependence on the EU market, with which we have seen that we have had major problems in recent times. Does the Minister for Foreign Affairs not see the enormous opportunities that lie in these western sea areas, such as oil, gas and fisheries? I would say that such cooperation westwards will give us the status of great power in the management of resources in the future.
ParlaMint-NO_2002-05-22.ana.ud696e728	What Swensen's question is now traveling, is quite different from what he raised in the question-time question. There was the theory that due to EU enlargement, we will obviously face new challenges in the management of marine resources. My point in the answer was that this is not part of the EEA Agreement. Although the new countries also become part of the EEA, we are not in a fundamentally new position in this area. I'm not quite sure what Swensen is now looking for. I understand that he is looking for cooperation with the Western Nordic countries, but at my discretion Norway now has a satisfactory management of the resources. It is quite right, as Mr Swensen says, that having close cooperation with all the surrounding countries is of the utmost importance, and not least within the EEA, we have very close cooperation, among other things. with Iceland. But the fact that we have a disposal problem with Norwegian products is also a clear challenge. But that's not part of the question of resource management.
ParlaMint-NO_2002-05-22.ana.ud696e735	It is possible that I went a little sideways, but my main point is to say that this also has a strong impact on the market relationship with the EU. That is why the Coastal Party is of the opinion that we should build a stronger alliance outside the EU in order to have greater strength towards other markets and also the EU, which depends on our products, such as oil and fish. I believe that Norway must take on board the consequence that our country has completely opposite needs than the European Union in economic policy, among other things. because we are a large oil producing country and the EU is a major importer of oil. In Norway, we have to cool down the economy during periods when the EU has to stimulate its economy. Therefore, in our view, it is crucial for Norway to be able to pursue an autonomous financial and interest rate policy. Does the Minister for Foreign Affairs not see that Norway has a good deal of conflicting interests with the EU, that we have great opportunities outside the EU, and that we need to cooperate with and strengthen the relationship with natural geographical neighbours when we have chosen to stand outside the EU in a referendum? Because it is a fact that we have chosen to stand outside the EU. Then we need a strategy to improve access to markets to strengthen our position in the north in the future.
ParlaMint-NO_2002-05-22.ana.ud696e744	We're now in a third question. I'm going to leave the question of oil and stick to fish, which was Swensen's original starting point. I would like to say briefly that of course our immediate neighbouring country is there first and foremost as a neighbouring country. It is the big markets out there that I expect Swensen to be first and foremost looking for. But he is probably not aware that we have a clear strategy here, namely that in the WTO negotiations we want as free a approach for Norwegian fishing exports as possible. Therefore, the clear strategy that should be followed for the future revenue of Coast Norway is precisely to make WTO negotiations as successful as possible. I can therefore answer Swensen's questions very positively, and I feel absolutely sure that Swensen will be with us in a work for as liberal a world trade for fish as possible. Therefore, all good forces should support the future WTO negotiations.
ParlaMint-NO_2002-05-22.ana.ud696e761	This question has been raised. Question 3 will be addressed later in the Questionnaire.
ParlaMint-NO_2002-05-22.ana.ud696e777	This question has been postponed to the next Question Time.
ParlaMint-NO_2002-05-22.ana.ud696e783	«The women's health in Norway was seen on the agenda in connection with the Women's Health Committee's presentation No. 1999:13. How will the Government follow up the settings of the current selection?
ParlaMint-NO_2002-05-22.ana.ud696e790	A goal for Norwegian health services and our welfare systems is that they should be optimal for all citizens – both women and men. NOU 1999:13, Women’s health in Norway, showed with all possible clarity that there are some major knowledge gaps in women’s health and disease. It also concluded that there is a lack of gender mainstreaming in health policy and healthcare. In addition, I would like to point out that the investigation initially points out that women’s health in Norway has a positive sign that women live here longer than most other women in the world, and that many women in Norway have good conditions for good health. In order to address some of the deficiencies identified in the investigation, a separate specialist board for women’s health was established in the State Health Authority. Health surveillance will also ensure knowledge of the gender perspective in health and inequality by integrating this perspective into the etatate’s databases. The Directorate for Social Affairs and Health has been tasked with ensuring that the gender perspective is integrated into the activities of the Directorate, inter alia. the preparation and follow-up of different types of plans, advice measures and work on the knowledge base. The Directorate shall have a special responsibility to ensure that women are not discriminated against through the organisation and practice of healthcare. The National Medical Research Ethics Committee (NEM) has developed guidelines for the inclusion of women in medical research with a clause that both sexes must be included in all medical research. Norway’s Research Council is required to ensure gender perspective in relevant programming plans, including: in the case of application assessments in the case of research aid. An information leaflet on ‘Sex perspective in the social and health sectors’ has also been developed, which has been disseminated in a large number to social and health professionals. The folder shall make personnel aware of the gender perspective of decisions — i.e. both the consequences of decisions taken and the basis for knowledge of the decisions. A major communication on public health is now being prepared for presentation to the Stortinge during 2002. A more comprehensive presentation of the follow-up to the Women’s Health Committee’s proposals in areas such as health monitoring, root cause research in relation to women’s health problems and targeted prevention measures will be included in this Communication. The Communication will generally focus on targeting measures based on differences between groups of the population. With such a device, it would be natural to place high emphasis on strategies and measures based on the situation and needs of women.
ParlaMint-NO_2002-05-22.ana.ud696e803	I thank you for your answer. I find a positive willingness to continue with the conclusions of this setting that were delivered two to three years ago. I asked the same question to Health Minister Højbräten two years ago, and then had a bad feeling on behalf of the men for the way we have approached the women's image of illness. It struck me when I got a little involved in the research – and the treatment – that applies to women, that in general, through history, there is interest and attention to be directed towards the human body, and that it has in practice resulted in a serious wrong against women, for example. because we have different anatomy and biology. Women talk differently about disease, they have less power and influence in society, they have diseases other than men, and many of the diseases are different for women and men. Women give birth to children and still have the main care for them, and women usually express that the health care system does not take them seriously. Women also have, because there are most of the old ones in Norway, several chronic diseases. That is why I feel that little has happened in the follow-up. I am aware that the Council of State Høybråten has not been responsible for following this for so much of the two years, as he has been absent most of the time and the ministry has had much of the attention directed to the state's taking over of health duties. I would like to ask if the Council of State is now ready to go on with renewed energy to ensure that the women's perspective in the future is taken more seriously.
ParlaMint-NO_2002-05-22.ana.ud696e814	The short answer to that question is yes. If I were to take the opportunity to elaborate on it a little bit, I would say that my plan is that in the message I have now notified to the Stortinget during this year, we will present a strategy for following up women's health issues overall. As my first response showed, there has been a good deal, but on several points it remains to be considered to take concrete action, not least in terms of the most marked differences. I think the initiatives taken in relation to the research environments may be some of the most important. Putting a gender perspective on health involves finding explanations about women’s health and disease status, how women’s diseases are expressed, and how women’s health and disease are understood and met. A gender perspective will also increase understanding of trends that are positive for women’s health, which can bring important benefits in prevention work, including in relation to men at the next round. I believe that this focus will eventually produce results, and I want to bet that there will be an offensive strategy presented in the message presented to the Stortinget.
ParlaMint-NO_2002-05-22.ana.ud696e825	I thank you again for an offensive answer. I have full confidence that the Minister of Health will do just that. In the conclusions drawn by this NOU, it was noted that a special subject area for women’s health and disease should be created at the medical faculties. It was also noted that there should be a requirement for Norwegian research to include women in clinical studies. Furthermore, it was concluded that women’s health perspectives must be maintained in medical, health and social education, and it was proposed to grant 50 million. kr to the Norwegian Research Council for a five-year period for such purposes. So I finally want to ask the Council of State if he's willing to go into some special measures to have a lot of knives to show all the attention and research efforts to.
ParlaMint-NO_2002-05-22.ana.ud696e834	We will definitely consider specific measures in addition to those implemented by the Research Committee and the Norwegian Research Council, which are required to include gender perspective in all medical research. The Research Council shall also ensure gender mainstreaming in programme plans, including: for the evaluation of applications for research aid. In addition, I can mention that a three-year development project related to the Centre for Societal Research at the University of Bergen has been launched, with the aim of developing gender-sensitive knowledge, method, action strategies and teaching materials, among others. for the rehabilitation field, in cooperation with users and employees. There is one example among others of the fact that these guidelines are now being delineated, but we will definitely consider concrete actions in the future.
ParlaMint-NO_2002-05-22.ana.ud696e844	My question is also mainly about women's health, and it goes to the Minister of Health: «In general surgery, most areas are subspecialised. One of the exceptions is mother surgery. One can therefore be anxious that surgery can be seen as left - handed surgery within the surgery. Does the Council of State consider it appropriate to ensure the quality of mother surgery by organising it in the same way as the other surgical subspecialities, and in that case will the Council of State take an initiative to do something about it?’
ParlaMint-NO_2002-05-22.ana.ud696e853	As a fundamental principle, we in Norway have wanted to keep the number of main medical specialities and so-called border specialities at a reasonable level in order to avoid excessive fragmentation of medical knowledge and practice. It is also important in relation to the development of costs in medicine and in view of having a relatively decentralised health care system with a high level of competence. Most of the countries we can compare with have more specialities than Norway. No country in the Nordic region or the EU has its own speciality or border speciality in breast surgery. In both our neighbouring countries, Sweden and Denmark, the specialist training of doctors is currently under review, but so far no proposal has been made for main speciality or border speciality in breast surgery. With us, the National Council for the Training of Doctors and the Distribution of Doctors is in the process of assessing the specialist structure in the field of internal medicine and surgery. The Secretariat of this Council is located in the Directorate for Social and Health. The Council has issued a first consultation note on intrinsic medicine, one of which is to strengthen general internal medicine for the sake of the vast majority of elderly patients with complex disorders. The National Council will examine an initial draft on the surgical discipline at its meeting in September this year. For my part, I would like to await the professional recommendations of the National Council. Breast surgery is currently handled by general surgeons or border specialist surgeons in gastrointestinal surgery or urology, both of whom are border specialists in the soft-surgery area. The necessary reconstruction after chest operations is normally carried out by plastic surgeons. In plastic surgery, unfortunately, we have a problem with that 20 pst. by the positions of superiority are unoccupied, not least as a result of the transfer of many specialists to cosmetic surgery in the entirely private market. It's going to be working on this challenge. Some major hospitals have established separate units for mammary surgery and so-called endocrinological surgery, i.e. surgery on the internal secretion organs. This can prove to be a successful solution, and the National Council is also likely to consider this issue. For me, as Minister of Health, it is important to underline two aspects. There may be a very good professional development in an acute area of competence in medicine even if a specific formal speciality or a border speciality is not established. Secondly, no surgeons or surgical departments shall perform operations where, according to medical developments, they are considered to have insufficient competence. Law on health professionals clearly establishes this relationship in order to ensure the patient’s good and sound treatment.
ParlaMint-NO_2002-05-22.ana.ud696e875	I thank you for your answer. This is a very important matter for many women. There is a high incidence of breast cancer. Each year, between 2000 and 3000 women are operated on for breast cancer. It's mostly women this is about. I think it's pretty sad if that's how the removal of the breasts is going to be left hand work. There are three areas of general surgery that are not sub-specialised, for thyroid-bistillary-bistillary and mammary surgery. I hope I do not get it right that this can be about status. I do not refer to the Minister of Health in this respect, because there are other forces that also work in this area. This is not a matter of beauty, but of getting a good quality of life and a functional life even if you have a breast removed. Then it is very important that the work done by the surgeon is of absolute highest quality.
ParlaMint-NO_2002-05-22.ana.ud696e882	Let me state that I fully agree with Mr Olsen's representative that in this area, as in other important areas, it is the soundness and high quality that should guide. I can also assure you that the assessments I have expressed are not at all an indication of a downgrading of the status of this subject. I think the cancer plan that I had the pleasure of presenting to the Stortinget in 1998, and the effort that has taken place in that area, not least in relation to women and breast cancer, is an expression of the sting opposite from my side. Neither is it the case that surgery in this area is or should be left-handed even if it is not a separate border speciality. There would be a lot of left-handed work in the Norwegian healthcare service, if that were the case. What is important is that we have good professional assessments at the bottom of the development and specialisation of medicine. Specialisation is not an end in itself; in many areas specialisation is a problem in order to get good quality out to all parts of healthcare. That is why I think it is important for the Ministry of Health and for the Stortinget to build on the professional consensus that is being developed, and on the professional advice that we have here announced that the National Council for Specialist Training of Doctors will be included when they come out in the autumn with their draft consultation on this.
