ParlaMint-NO_2002-12-18.ana.ud519e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2002-12-18.ana.ud519e468	I would like to ask a follow-up question to Mr Børge Brende, Minister for the Environment. Whether Norway is in the EU or outside, we are going to be a small country with a limited number of inhabitants. Some people believe that Norway will be a huge country if we become a member of the EU, while if we are outside, we are small and meaningless. It's not like that. There are, in fact, international arguments that are better now than before, that Norway should be outside the EU, that is, that we have an opportunity to play a role on the side of the EU. We do not need to coordinate our foreign policy with the EU and may have, for example, the EU. another driving role in international environmental negotiations. What Environment Minister Børge Brende did in Johannesburg has been presented as such. Does the Minister for Environment Børge Brende see more benefits now from Norway’s being outside the EU, just to be able to influence and play a different role internationally than he might have done earlier?
ParlaMint-NO_2002-12-18.ana.ud519e478	In my view, there is no doubt that of the major international actors, the EU is the strongest and most important driver of higher environmental standards, including in the context of development policy. We experienced this in Johannesburg, where the EU pressed, among other things, The United States, Russia and also China. However, it is also true that Norway, among other things, through the efforts of the Minister for Development and my own commitment to the environment, supported what was then the EU's commitment, and also in a few areas highlighted very important issues for Norway. What I notice in my everyday life is that very many of the things we get on the table on environmental policy are defined in the European Union, and in some areas we must actually now reach out to meet the demands of the European Union. This applies both to the Water Directive, where Norway has to invest billions in the future, and to the Sewage Directive, where we are not in target. The EU's environmental policy and Norway's environmental policy have been closely intertwined.
ParlaMint-NO_2002-12-18.ana.ud519e485	There will be follow-up questions – Odd Roger Enoksen.
ParlaMint-NO_2002-12-18.ana.ud519e488	My follow-up question goes to the Prime Minister. The Christian People's Party was opposed to Norwegian EU membership when there were six Member States. They were also opponents when there were 15 Member States, and I record that the Christian People's Party, at least the Prime Minister, is now in doubt when there can be 25 member countries. That doubt does not concern the Centre Party, and I am somewhat surprised that it alone has caused the Prime Minister to doubt. It is not the number of Member States that determine whether Norway should become a member or not; it is the development of the EU. Developments are slow, but certain towards the United States of Europe, with more and more common policies, common banks, common constitutions, proposals for a president, common government and more and more common policies, with greater influence on small countries at the expense of small countries. In addition to this, we will still have to give up the control of our important fishing resources by any EU membership. My question to the Prime Minister is: does the Prime Minister not see that the reasons we had for saying no in 1994, to at least the same extent, are there today?
ParlaMint-NO_2002-12-18.ana.ud519e497	The no-arguments are the same as in 1994, which is why I have not changed my position. But I'm actually among those who have seen that there are both advantages and disadvantages of the different forms of connection, and who have been willing to balance them against each other. It's possible that Enoxen doesn't see it this way and will never see it this way, and never be willing to enter into a debate if that is the case. It's got to be his case. I am so sure of my views on this issue that I am fully willing to address new debates and balance benefits and disadvantages. The Christian People's Party's position is firm. The Sem declaration, where we agreed that the basis is gone if one party takes seriously the issue of membership, is firm. However, we need to be able to take inwards and be willing to assess in a new round that the EU is changing from being a Western European to becoming a much wider European organisation, even though it is not yet pan-European. As far as developments in the EU are concerned, I think we should be a little cautious about predicting it. When the organization becomes so wide, integration may not be as deep as the Enoxsen now gave the impression.
ParlaMint-NO_2002-12-18.ana.ud519e508	Let's go to the last main question.
ParlaMint-NO_2002-12-18.ana.ud519e511	I have a question for the Prime Minister. Some of what people think is least acceptable is that people are treated differently, depending on whether you are tall or low. If you are convicted of social security abuse in Norway, you will be severely punished. It has to be, because if we are to keep these welfare systems up, we have to make sure that abuse is not tolerated. That's the only way we can keep the arrangements up. In recent times, another matter has arisen, where, to put it that way, a retired state council has made a similar mistake, which may not formally be a mistake, as social security abuse is, but which I believe in people's eyes and in moral sense is just as serious. I need to ask the Prime Minister if he shares that view that it should be a guiding principle that if you make the same kind of mistakes, you should be treated the same way.
ParlaMint-NO_2002-12-18.ana.ud519e520	On the general question, the answer is a clear yes. It should be equal to treatment for similar cases. But for me to go further into the specific matter Karin Andersen now brought up, I do not find it right. As regards the question of remuneration, the administration of the Prime Minister's office deals with that matter. I also found it correct, since it was a government council from a former government, and I have taken note of the administration's assessment. In addition, according to a press release, Økokrim has initiated research on all aspects of the so-called barrel case, which has more aspects than this one point. Since this is now under investigation, I do not find it right from Storting's pulpit to comment on it.
ParlaMint-NO_2002-12-18.ana.ud519e529	I thank you for the answer and understand that the Prime Minister cannot go into the specific matter. But I think it's important for both government and greatness now to look at and make sure that principles in such matters are followed, that there is equality too high and too low, no matter who you are. It is such that some people are in a situation where they can adopt their own arrangements. Of course, those who are dependent on social schemes or welfare schemes that we adopt cannot. Then I want to challenge the Prime Minister once more, more on the principles. I think the Prime Minister may be a little more specific. Does he think that, in the light of this case, there is a need to go through all the arrangements similar to this one, which makes you coordinate the rules, so that they become the same for those who receive social security benefits?
ParlaMint-NO_2002-12-18.ana.ud519e536	As I said in my first answer, I agree with the basic principle that there should be equality too high and too low when it comes to such questions and the reaction to possible infringements. I believe that the investigation by Ecokrim is an expression that this is equality. They have launched investigations on all aspects of this matter before a former Council of State. It shows that they have made no difference in this way – whether it is from a so-called high position, or someone who should have another. I am also convinced that the necessary review of all arrangements will be carried out to the extent necessary. That is probably the practice of the schemes more than the arrangements that are needed to review. As far as schemes for politicians are concerned, whether in government or in general, they are still being reviewed, and we also know that initiatives have been taken here on the Stortinget.
ParlaMint-NO_2002-12-18.ana.ud519e545	The time for the oral question procedure is now over. We're going to the ordinary Question Time.
ParlaMint-NO_2002-12-18.ana.ud519e551	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 18, from the representative of Karita Bekkemelm Orheim to the Minister for Education and Research, has been withdrawn. Question 24, from the representative of Geir-Ketil Hansen to the Minister of Defence, has been withdrawn. Question 25, from the representative of Marit Nybakk to the Minister of Defence, is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2002-12-18.ana.ud519e567	I allow myself to ask the following questions to the Minister of Finance: «A man from Kolvereid has been refused an application for the remission of the annual tax on his mobile home who burned up during winter storage at the end of the year last year. The signs were delivered on 9 January this year. Similar situations may arise where cars are stolen before the annual fee expires and the car will not be repaired. Int. S. No 255 for 2001-2002 requests a majority of the Minister of Finance to ensure that the legislation is amended so that the annual fee in such cases can be waived even for the current year. When will the Council of State implement such changes?’
ParlaMint-NO_2002-12-18.ana.ud519e576	Under the applicable legislation, full annual charges shall be paid for vehicles registered per vehicle. 1 January, or registered during the first six months of the year. In the case of a vehicle registered during the second half of the year, half of the fee shall be payable. If a vehicle registered per 1 January, delivered to wreckage before the due date of the fee on 15 March of the same year, you do not pay a fee. If a vehicle is delivered for wreckage between 15 March and 1 July, it is possible to apply for a refund of half the fee. In the case referred to, this means that the owner of the van could avoid a charge if the car had been delivered to the wreck before 15 March. On the other hand, the surrender of the signs alone does not exempt the fee obligation for the current fiscal year. The annual fee is currently under assessment both in the Directorate of Customs and Fees and in the Ministry of Finance. One of the aspects to be considered is the possibility of creating greater coherence between the charge and the time the vehicle is registered. Such an assessment must also take more systemic aspects into account. What do I put into the concept of ‘systemic’? These include: the fact that the annual fee is charged for more than 2 million vehicles. It is therefore important to have a system that does not contribute to increased red tape and thus reduces the efficiency of taxpayers’ money. Any changes in the annual tax resulting from this work are likely to also have an impact on the situation of the theft, as the questioner here concerned. It is therefore natural to also deal with the Storting’s obligation to pay an annual tax on stolen vehicles in this context. The government will come back to this.
ParlaMint-NO_2002-12-18.ana.ud519e592	I thank you for the answer and understand that there is hope in the hanging string. Can the Minister of Finance say how much time is needed for the review? If an overall review is time-consuming, wouldn't it be possible to make this change for them – I don't suppose very many – as this applies? For those who are hit, whether it is of theft or fire, and who have not thought of it or had the opportunity to return to the wreckage to get the year's tax back or drop it that way, could you not implement this change as soon as possible, so that you did not get more such cases, as I think people seem to be quite unreasonable?
ParlaMint-NO_2002-12-18.ana.ud519e599	I have doubts as to how unreasonable it is that you should not interfere with the rules governing the surrender of signs; that is simply not enough. That would have been a point, to drop a pretty large amount. I do not think that this question in itself causes us to make changes in this one area. The size has asked for an overall review. There are two problems with the annual fee. One is that there are many annual fees to be levied. That means there's a big bureaucracy and a huge cost of it. The second problem is that the distance between collection and maturity time is not always perceived as fair by the users. I also consider that to be a problem. Then we have to find a solution that is able to reconcile simple collection – that is, avoid bureaucracy and avoid costs – with a system that is also seen as fair and fair, and that is what the Stortinget has asked me to do. There are probably two possibilities, to return a reply to this with the date: one has been audited, and the other is an ordinary budget. I can't now say if we reach it to the revised budget.
ParlaMint-NO_2002-12-18.ana.ud519e608	I thank you for that. I can understand that in the cases where the vehicle burns, you will have the opportunity, but in the case where the vehicle is stolen, you do not physically have the opportunity to have it delivered to the wreckage and thus avoid the annual tax. I hope the finance minister can think about this again, and see if it is possible to find an unbureaucratic way to solve a small problem quickly, pending a more comprehensive review.
ParlaMint-NO_2002-12-18.ana.ud519e613	I am open to good proposals – including from the representative – to a simple and unbureaucratic way of doing so in cases such as those mentioned here. In the case of stolen cars, the relationship with the insurance company must also be considered.
ParlaMint-NO_2002-12-18.ana.ud519e621	I have the following questions for the Minister of Finance: ‘Although the number of Equations Offices and Equations Officers in 2001 was reduced to 99 office/supervisors, the Equations Management Boards still have to adhere to 434 Equations Titles and 434 Equations Titles. The fact that most of the Equation Offices have to adhere to several subjects is costly, leads to longer processing times and can also result in different equation practices within the same office. Will the Council of State take the initiative to reduce also the number of equality subjects and subjects from 434 to 99?’
ParlaMint-NO_2002-12-18.ana.ud519e630	I think the representative Hagesetter raised an important question. We must constantly ask ourselves how we can organise public activities so that individuals can get better services for tax money again. When we reorganize in one area, it will also be natural to look at the organisation of related areas. The major reorganization of the country’s current equation management, which is to be completed in a year’s time, is an example of this. I therefore agree with the underlying idea of the representative, Mr Hagesett, that it would be natural to assess the current structure of the equations. I would therefore like to contact the Tax Directorate and ask the Directorate to consider the question of making any proposals. I don't want to pre-shoot here the result of such a review. Let me add, however, that I see it as crucial that we continue to base the principle that the decisions of the equality offices can be submitted to independent bodies.
ParlaMint-NO_2002-12-18.ana.ud519e637	I thank you for your answer. I think this is a positive signal. There's a lot of advantages in reducing the number of equation topics. This will allow you to have more frequent meetings on the equation topic. Instead of many equation subjects that may only have two meetings a year, in the same office, one may have one that has more frequent meetings. One can ensure that one gains better competence among the members of the denominator, and one will also have lower costs, while at the same time getting better security. It's very important that you get to do something fast, if you're going to get this straight before the next fall option and thus the new composition of the denominators. Can I then interpret the Minister of Finance so that, in the event of an initiative being taken, there will be a proposal to amend the law in good time before the elections to the autumn?
ParlaMint-NO_2002-12-18.ana.ud519e644	The representative here pointed to a number of advantages of fewer equation topics. I would also like to mention the moment he had in his question, namely the need to avoid different practices. It's very crucial. I can't promise the time of the review here and now, but the representative points to a significant moment, namely having a new system in place before new local authorities choose the topic of equations for the autumn.
ParlaMint-NO_2002-12-18.ana.ud519e649	I hope we get a change here. There is a lot of feedback about what should be done in this area. I still hope that you can take this matter up before the fall – out in the spring will be natural – so that the Storting can decide on this issue.
ParlaMint-NO_2002-12-18.ana.ud519e654	I have nothing more to add.
ParlaMint-NO_2002-12-18.ana.ud519e662	I have the following questions for the Minister of Finance: ‘Parents with shared parental responsibility, where children under the age of 18 live equally with each parent in one year, are similar to those in tax class 2 every two years. Would the Council of State consider it more fair if both were similar in tax class 1 for half of the year's income and in tax class 2 for the rest?»
ParlaMint-NO_2002-12-18.ana.ud519e671	In general, depending on the child does not entitle children to an equation in tax class 2. However, under the Tax Act, single care for children under 18 years of age is required to be similar in tax class 2. The rules are understood to be given by the parents who have cared for the child most of the year. In fact, care is essential here. In cases where the parents have agreed to share care, Class 2 shall be given to the parent who has lived with the child for most of the year. If the child lives as much with both parents, the solution has in practice been that the parents are similar in tax class 2, as the lone parent, every two years. Over time, current practice will produce somewhat the same results as if the benefits of Class 2 were shared between parents in each year of income, although the tax burden would vary slightly from year to year. However, if income varies greatly for either or both parents, real differences may arise over time. However, the economic advantage of being similar to class 2 which one of the parents would have in relation to the other is to be taken into account in determining the child benefit. The new rules on the calculation of child benefit, adopted by the Stortinget in June last year, also explicitly show this. These rules are expected to enter into force in the autumn of 2003. The progressive elements of the tax system do not make it possible to compare parts of the income in different tax classes in the same year of income. However, it is possible to imagine as an alternative a scheme where the distribution of class 2 is divided between parents per year of income. The main benefit of this will be a more even tax burden from year to year. Such a model would complicate the work of equations and would result in a very comprehensive and complex set of rules. In my opinion, such a development of the tax system is not desirable. Overall, I therefore believe that today's practice of equation in tax class 2 every two years for each of the parents is a sound solution.
ParlaMint-NO_2002-12-18.ana.ud519e680	I thank you for your answer. I find that the answer was not appropriate. I understand that the Minister of Finance will stick to today's system, which I believe is unreasonable. It should have been added that you had a divided class here in those years. As you know, there is a big difference between being like class 1 and being like class 2. I am perfectly aware that this over time can even out, but nevertheless I believe that it would have been better to divide the year into two between the parents. We see here in many ways a new situation and a development in Norway where parental responsibility is shared. It's a completely different family structure. I also think that the equations and the tax system have to take into account. The finance minister also said that it was possible, but he would not recommend it.
ParlaMint-NO_2002-12-18.ana.ud519e689	I also pointed out in my answer to a few other points. The development towards more sharing of parental responsibility is a positive development. However, there is nothing that happened abruptly last autumn. So to say it like this, this problem has been lying there under changing governments. I record that previous governments have chosen this division every other year as the most appropriate. After all, some of the disadvantages of this scheme are now being removed from the new rules for calculating the child contribution I referred to, which will enter into force in the autumn of next year. In this way, we can say that the system that we have lived with for many years is now being improved, by taking into account the circumstances in which the income varies greatly when determining child contributions. I would also like to point out that the proposal that the representative himself suggests will be very difficult, taking into account the progressive elements of the tax system, and it can provide quite difficult sound social outcomes.
ParlaMint-NO_2002-12-18.ana.ud519e698	Once again, I thank the Minister of Finance for the answer. We'll get back to the question and evaluate it when we get bigger tax issues for Stortinget. I would like to go further and ask if it is within the terms of reference of the Skauge Committee to assess – I kept saying – the new family situations in relation to the tax equations being spent.
ParlaMint-NO_2002-12-18.ana.ud519e707	I can well say that it does not explicitly, but the mandate is so open that I will not be surprised if the committee also raises questions on any freer basis, to put it this way. The size has asked for a notification of the tax reform. The committee's suspension is presented, after it has received one month's postponement, at the end of January. The message will then be designed, and of course, the Stortinget is free to take up the parts of the tax system that the representative has been involved in when we get that far.
ParlaMint-NO_2002-12-18.ana.ud519e718	«In the light of the decisions taken in the Church meeting in the autumn of 2000, 102 congregations held joint council elections at the same time as the last major elections. These communities had a much larger turnout at their community council elections than before. The increase is from 5-6 pst. up to 40. What will the Council of State do to enable this pilot scheme to continue, and what action will the Council of State possibly propose for the participation of several members of the State Church in the elections to the Council of Ministers?’.»
ParlaMint-NO_2002-12-18.ana.ud519e725	The fact that church members will stand up as candidates and vote in elections to the Socene Council is absolutely crucial for the functioning of church democracy. Nevertheless, participation in the Soknee Council elections has traditionally been low. Average only has about 3 pst. by the members of the church who have been heard to exercise their right. In the context of the selection of new Socne Councils in the autumn of 2001, several measures were implemented to increase the opening-up of the elections. One of the measures was to provide for a test scheme to keep the Soccer Council selection at the same time as the collapse option. The vote percentage of this Sock Council option increases to 3.6 pst. by those who voiced, while the number of voices actually increased by 22 pst. Norwegian social-scientific data service has been involved in the evaluation of the elections by the Ministry and the report was carried out in June 2002. The evaluation of these numbers shows that the increase in resolution of the selection can be explained mainly by increasing the selection number in the church sounds that took part in the test scheme. Here the selection was averaged 7.2 pst. The Church Council intends to submit to the Church meeting in 2003 proposals for action to increase participation also in the next Socene Council elections, to be held in 2005. It has also been suggested that changes in the electoral rules be dealt with by the 2004 Church Meeting. I expect that the question of adding Soknee Council options at the same time as deposit options will be central in this context. In addition to measures to increase electoral participation, it is also important to take action to get more church members to stand as candidates and to get more of those in the Socene Councils today to take action. And last, but not least, I see it as very important with measures to increase youth representation in the parish councils. I want to work for the necessary promises on the state budget when that time comes, and I am also waiting for the debate to be held at the Church Meeting.
ParlaMint-NO_2002-12-18.ana.ud519e740	I thank the Council of State for the answer, but I am not satisfied with it. My question was, What will the Council of Churches do to initiate, motivate and drive greater electoral participation? We know that in the council elections there are many young women who do. Many beautiful young girls are there, and they have a strong commitment. But it's not funny to do this work when you have such a small part of the people in the Church behind you. I am concerned that the Council of Churches does not show greater power of action, and that no leadership is put in place to continue the beautiful system of combining a public election with a council election, and I ask again: Is the Council of State satisfied that there is such a low level of participation in the ordinary elections? And what will the Council of State do with that?
ParlaMint-NO_2002-12-18.ana.ud519e749	No, I'm just as happy with the voter's selection as the representative is - it's too low. The next Socrates Council elections are in 2005, which I also said in my answer. For this reason, we have some time to develop a strategy in relation to the 2005 elections. For me, it is important to bring with me the debate that will be at the church meeting next year, and to include the signals that it gives, in my further work to propose that one get greater polling. We actually have time to wait for the debate at the Church Meeting. Of course, we should also carefully review the evaluation report we have received. There will also be an important basis for the Church meeting when it comes to the debate. The only thing I'm a little afraid of, and we have to try to avoid, is that we're going to politicize the Socene Council elections. Well, that's the argument that makes some people think about putting this up to the big shot, because it's very easy to politicize these choices as well. I'm worried about that. Therefore, we need to find methods that the Church meeting also wants to support, and then I will follow up next time, when it has made its decisions and made its contributions to me.
ParlaMint-NO_2002-12-18.ana.ud519e754	The last thing that came out was a little more reassuring. Because when we're going to have a broad people's church, I think it's crucial that we have a democracy that works, and I'm very concerned if the Church Meeting and the Council of Churches don't want to add the elections to a public election, precisely because we know that we'll get more participation, and if you choose the old solution, the ordinary system, we know that fewer will go and vote. And then there is reason for concern: do not the leaders of the Church want a broad democracy – a great deal of democracy – within the Church? Do you want the faithful Sunday churchgoers to make decisions? You can suspect that if you don't open up to follow up this test scheme, which has been so successful.
ParlaMint-NO_2002-12-18.ana.ud519e759	I'm very much in agreement with the representative, but I'm not in agreement, and at least I don't think I want to have a vote in order that there should only be a certain group that uses the right to vote. I want a big selection, and I think we can do it in several ways. One of the measures we have taken is this trial scheme, which will of course be included in the further work, and which I am absolutely sure the Church meeting will also have a point of view. But for me, it is important to listen to what the Church's elected body says, and I can suggest actions in good time before the 2005 elections if I take the debate with me at the church meeting in 2003. I'm open to, for example. to make the ballot boxes stand more places than they do today – today you usually have to go to church to vote. We can use post offices, for example, to use different voice areas than what we've done to get more. There's a lot of ways to do it, and I hope that we'll get a far better selection than what we've had in the last few options.
ParlaMint-NO_2002-12-18.ana.ud519e767	I allow myself to ask the Minister for Agriculture the following questions: «The municipality of Linds proposes in its municipal sub-plan to re-disposal 90 land grown for residential purposes. This has been approved by the West-Agder County, despite the fact that the Ministry of Agriculture, as late as in October of this year, has pointed out that the county is using too much cultivated land for residential purposes. What will the Council of State do in this matter?"
ParlaMint-NO_2002-12-18.ana.ud519e776	The municipalities are also agricultural authorities. The assumption is that they also respect national considerations when drawing up spatial plans under the Planning and Building Act. The adoption of national policies requires a restrictive line to be taken against the reallocation of productive land. Soil protection is anchored in several documents The Storting has undergone treatment. Both St.meld. No 29 for 1996-97 Regional planning and land use policy and St.meld. No 19 for 1999-2000 Norwegian agriculture and food production provide clear guidelines for the protection of productive land. Land plans according to the Planning and Building Act shall be submitted to the County Agricultural Board, which, in accordance with the rules applicable to ‘has a specific responsibility for ensuring agricultural land resources’. In order to ensure that this is done, the County Agricultural Board may raise objections to the plan drawn up by the municipality. I mention here that the County Agriculture Department is supposed to have been in dialogue with the municipality in the planning process and have given signals on which national targets and frameworks need to be taken into account. The Ministry of Agriculture has repeatedly, at the latest in a letter to all the county agricultural governments of 25 September of this year, underlined the importance of strict soil protection. Land plans for which no objections are available are sent to the Ministry of the Environment for information. It may then be assessed whether the plan is contrary to national interests. This is a three-month deadline. I will make sure that contact is made with the Ministry of the Environment on this matter.
ParlaMint-NO_2002-12-18.ana.ud519e789	I thank you for the answer, which I see as positive in the sense that the Minister of Agriculture here underlines the need to meet national targets for the use of cultivated land. There is one reason here, but one also has regard for those who are farming and who will have to reduce their activities, and therefore also their own nutritional basis, if this plan is to be implemented. In addition, the moment comes when there is access in other areas for housing purposes, but they are not as central as the cultivated area, and it is clear that if an accept that this is going through, one could gradually get a practice in the different municipalities that are so liberal that it will go across the national targets around caring for cultivated land. I understand that the Minister of Agriculture here will keep an eye on the matter and also make the Ministry of the Environment aware of it, so that there will be an opportunity to review the matter at national level. I consider it a positive initiative in the matter.
ParlaMint-NO_2002-12-18.ana.ud519e794	I would like to express myself, and I am sure I share it with the questioner, much concern that the take-off of cultivated land for other purposes in Norway today is too high. It puts us in some dilemmas, and it concerns both the questioner and the undersigned, who are concerned with strengthening and increasing municipal autonomy: how are we to ensure that the municipalities with increased autonomy also take the necessary national considerations on such sensitive and irrevocable issues as this? We're working on that in the department on a general basis, that was also the background for the general circular we sent out, and we're going to be very concerned about this when we're now going to increase municipal responsibility within part of the general agricultural light. With regard to this specific matter, as I said in my reply, we will ensure that we have the necessary contact with the Ministry of the Environment and see if this is such a national matter that we are going to use the access we have to intervene.
ParlaMint-NO_2002-12-18.ana.ud519e801	I would like to ask the Minister of Agriculture whether there are major difficulties in using national access, whether it has been used in the past, and whether there will be a greater chance of access being used. How does the Minister of Agriculture view the possibility of using what you actually have here? Can he give any further consideration about it?
ParlaMint-NO_2002-12-18.ana.ud519e806	We sometimes use national access. The last major controversial issue was related to some enormously large agricultural areas outside Bodø, which the municipality and many interests wanted to use for expansion, but we used this access from the Government to take care of soil protection. This is something that has happened lately, and has aroused a lot of debate. If we are to be able to ‘learn’ the municipalities to give decisive attention to national concerns, it is also important to provide clear examples through these tools. But we also look at how we can get the municipalities and municipal decision-makers on board to understand the importance of soil protection. This will be important in the future when municipalities have greater influence over such and other agricultural matters.
ParlaMint-NO_2002-12-18.ana.ud519e814	I would like to ask the Minister for Agriculture the following questions: ‘The land manager of Våler in Hedmark can imagine doing an experiment with Våler as a free municipality without the concession law. If you ignore the site proposal, could this be something that the Council of State might consider and thus see the possibility of removing the whole law in the long term, so that agriculture and rural areas can evolve according to their possibilities?’
ParlaMint-NO_2002-12-18.ana.ud519e823	Tests Act – Law 26 June 1992 nr. 87 – does not allow the content proposed by the peasant leader in Våler to be tested. The law only permits derogations from rules of procedure and division of duties. Nor can the rules of the concession law be used to invalidate the law for a trial period. The proposal is therefore not feasible within the current legal framework. As mentioned in previous contexts, it is my plan to present proposals for a new concession law already during the spring 2003 session. Most of the proposals relate to the scope of the concession obligation, and the proposals aim to increase the freedom of concession to no small extent. As is known, the land limit for built-up property is proposed to be raised to 100 dekar if no more than 20 dekar is fully cultivated. The rationale for raising the land frontier is a desire to increase the frequency of agricultural property turnover in rural areas, including: to ensure the settlement. In my view, there is a need for an ongoing assessment of whether the legislation in agriculture supports current agricultural policy objectives. This is the main essence of the mandate of the Odelslovkommission, and it is also a central aspect of the proposal for a new concession law. In view of the work being done, it is desirable to assess the impact of these changes before we may move forward in the direction suggested by the representative of Bredvold.
ParlaMint-NO_2002-12-18.ana.ud519e834	I thank the Council of State for the answer, which unfortunately could not be interpreted so that Våler or other municipalities could be a free municipality without the concession law. What is positive about this issue of the concession law is not that the question is now raised by the undersigned and the Progress Party, but that it comes initially from a peasant team leader and is supported by parts of Hedmark Bondelag etc. Just in the interests of those who live in agriculture and want to live in and develop their municipalities, this law, as the Progress Party and now more and more see it, needs to be changed more quickly and finally removed, as it is a brake on the development of agriculture and on the development of municipalities. The point must be that those who want to work and live in the countryside must have the opportunity to buy housing and get a job in the countryside. This means that the system for the placing on the market of properties needs to be dissolved and simplified, even so that those who want to sell can be sold at an acceptable price, and that new people can move in and provide light in the windows. The concession law, as I see it, today helps to turn off the lights in more and more windows.
ParlaMint-NO_2002-12-18.ana.ud519e841	I record that the questioner used the word ‘sorry’ for my answer. So that's what I said in the answer, that as a government council, I don't have a legal basis for making such an attempt, and I'm trying to keep to the promises of the Storting, as far as I can. I have to ask for understanding that I have to deal with the law. Then the question is how do we want the law in the future. That's something it's necessary to discuss. I warn you that we are making changes to the concession law that open up the possibility of a concession exemption for several properties, and therefore free pricing, and also housing only if the municipality you live in, has decided that it should be on a municipal basis. I agree with some of what the representative says, that we must probably base more of the settlement in the countryside in the future on housing, and not just on housing.
ParlaMint-NO_2002-12-18.ana.ud519e850	I thank the Council of State for the answer and also understand why the answer comes as it comes. But it's clear that it's a small step in the right direction to increase the area limit to 100 dekars if no more than 20 is grown. I can see that. But does the Council see that removing the concession law could increase the number of transfers from farmers and others with a farm that they want to sell? This is about two parties – at least. You have to agree on an acceptable price, about who is going to take over, maybe something about housing, etc., which is important. These are often matters of a sensitive nature. Sometimes it's about farms that have been in the same family for generations to come back, and the seller just wants to sell to someone he's sure to take over. The council sees that there are also a lot of feelings here, and that you want to be more involved and decide price etc. and not least who will take over without too much interference from the authorities?
ParlaMint-NO_2002-12-18.ana.ud519e857	I would like to emphasise again that the main contribution of the concession law to this is to provide us with the basis for at least a certain amount of price regulation on agricultural properties and also this five-year requirement to live in, relating to the concession. If you were to repeal the concession law, as the representative claims and well his party has programmed, it would mean that you would get a full price formation on all types of agricultural property, and there would be no obligation to live with them. It will probably, as I see it, be a real danger that very rich people who do not live in the countryside will see themselves profited from buying many agricultural properties, which they may not want to live on either. But if we now experience a situation where young people who either want to move to the countryside or who live in the countryside don't see it as possible to obtain an agricultural property, work on a certain concession law somewhat against what is intended. That is also the background to the review we now have, which is not about removing the law, but adapting the law to the reality that many live in around Norwegian communities.
ParlaMint-NO_2002-12-18.ana.ud519e867	«A sibling couple from the municipality of Beiarn in Nordland inherited their childhood home in 1988. In the inheritance agreement, the two siblings agreed that one would take over the old house, while the other would take over the property. When she now wants to get the house disbursed from the rest of the property, she has been rejected by the agricultural authorities, while undertaking to disburse three cottages nearby from the same property. Will the Council of State facilitate the distribution of the legal inheritance in a dignified manner?’
ParlaMint-NO_2002-12-18.ana.ud519e874	After I have been informed, the question refers to the problem. 38, point (b) 1 in the municipality of Beiarn. Arnold Furumo and his sister Unni Michalsen have applied for the divestment of the property one of two residences. In connection with the change between their parents, it was decided that Unni Michalsen and her husband would take over the house that was being sought for disproved. They have used the dwelling for recreational purposes since 1994, while doing and costing considerable restoration work. According to Section 12 of the Soil Act, property that is used or can be used for agriculture or forestry cannot be shared without the agreement of the Ministry. The Ministry may give its consent if social interests of high importance speak for it, or division is sound on the basis of the returns that the property may give. The decision-making authority for the type of cases raised by the representative here has been added to the County Agriculture Board. As the representative points out, the agricultural authorities have refused to share. This applies to both the municipality, the county and the state's agricultural administration as a review body. All three bodies have found that there are no social interests of high importance that speak for sharing. They have also come to the conclusion that the property, with its 77 dekar full-grown land, 45 dekar surface-grown land/fertilized pasture and 330 dekar productive forest land, needs two residential buildings. In this way, the younger generation can move to the farm and take over operations earlier than would otherwise be the case. The union dwelling thus ensures the continuous and sound operation of the property in the event of a generation change. I have also noticed that the local authorities are of the opinion that the operation of the property can be significantly increased, and that there is reason to believe that it will be driven further. The prohibition on sharing applies regardless of whether the sharing is by inheritance or otherwise. This I find reasonable, as the divisional rule would otherwise easily be illusory. For the same reason, I also believe that the determination of the individual case should not place the decisive emphasis on sharing in an inheritance settlement. I note that the case has been dealt with according to the applicable guidelines and that the refusal to share is in line with practice in this area.
ParlaMint-NO_2002-12-18.ana.ud519e889	That wasn't a nice answer. I'm sorry, that's what I figured. In my view, the division is sound. I also believe that this has been a bad case, among other things. because the decision in the local agricultural office is based on assumptions, such as: that the grandchild should take over and operate the farm. There's no reason to claim that. The infant has moved from the area, and has not given the impression of wanting to move on. Human considerations should also be taken into account in this matter. It's a total flaw in the logic when you dissociate three cabins right in the vicinity. It is also such that the owner of this house can tear down the house when he would like to do so. That means you don't have two living quarters, and you should also pay attention to it. My question is then: is it that the minister does not want to take the human considerations that are in this matter?
