ParlaMint-NO_2002-02-07.ana.ud1617e38	The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2002-02-07.ana.ud1617e336	When Stortinget today treats St.meld. No 52 on the investigation of sexual abuse against children, it is an aspect that is important for the Right, namely the legal protection of those affected either as victims or as suspected perpetrators. The legal protection of each party shall be indisputable. A society that condemns a person in a moral matter against a child shall not be in doubt that the right person is judged. In addition to prison sentences, these perpetrators are often severely convicted in their community. There have been more and more serious sexual assaults against children in recent decades, as a result of both increased public focus on this type of crime and better police investigation. Strengthening the Kripos investigation department will now give us a central and high professional base of competence that can work quickly and purposefully to ensure evidence. A central location of professional competence will be a strength for the legal protection of the individual victim, but also for those under investigation for abuse. It comes to an end that the investigation of the cases depends on the random competence of the individual police districts there and then. Now the specialised professional competence will be available immediately. This will help to strengthen the legal certainty of the individual. Every person in a society is entitled to have matters dealt with quickly and in particular issues of sexual assault. I just want to remind you of a couple of examples of cases that have been identified as murders and that, with improved investigation methods, might have been avoided: By December 2001 at the latest, three men who had previously been convicted of gross sexual assault were found free in Frostating Lawyers' Law after they had their cases reopened. In fact, there are many innocent people who over the years have committed prison sentences for crimes they have not committed, and there are great personal tragedies behind the cases. At least one has in the meantime taken his life, where it was subsequently established that the assault he was convicted of had never taken place. In addition, we do have all the Bjugn stuff fresh in memory. It's hard to point out what's the reason there's been so many murders in cases of sexual assault. If it's due to an incomplete investigation by the police, judicial proceedings, the role of experts or other things, I'm not going to speculate. A strengthening of the professional competence for sexual abuse of children by the prosecution might have averted these issues. Improving police skills also increases the credibility of the judiciary because the facts on which the cases are based are becoming more thorough. Historically, a number of issues have been re-established — which shows how incredibly important it is that the evidence presented is almost watertight. If people see it as a matter of fact not only being judged by the judiciary, but being influenced by what popular opinion might be, it is almost the abolition of the legal protection of modern democracy. The measures addressed in the Communication are important steps to improve legal certainty and provide safety for the child as a victim, but also for any abuser in the investigation of sexual abuse cases. When a child is a victim, it requires special competence from those who first meet the child at the time of notification. The child has been through a traumatic experience and must be handled in the most gentle manner possible. At the same time, thorough investigation will be easier to prevent innocent people from being accused and convicted, and will be an important contribution to increasing legal certainty in criminal proceedings. Legal certainty in this context will firstly mean that there will be equal treatment of cases wherever an offence has occurred in the country, and that the quality of the investigation will be more consistent and uniform in all police districts. The strengthening of the Kripos Central Investigation Unit will increase access to qualified personnel to assist the districts in difficult matters, the Host System adds valuable competence to the local police district, and last but not least, we are likely to increase the emphasis on the problems of basic education at the Police College. These measures will lead to an increase in the competence of each police district, making them better equipped to care for the child’s interests. The conduct of hearings and evidence-keeping in such cases must be carried out in a way that takes account of the victim and ensures the legal certainty of the notified person. Through these measures, to which a unanimous committee has joined, we are a step on the way to preventing more murders and personal tragedies, while at the same time giving credibility to the decisions of the judiciary.
ParlaMint-NO_2002-02-07.ana.ud1617e359	It has become known in one of the most cruel criminal cases in this country – the Baneheia case. The lives of two little girls will never be replaced by any political instruments. The robbery, the brutality and the unreality many of us feel in the wake of attacks on children, must never shadow the possibility of preventing and repairing much of the accident that creates sexual assault. The unbelievably resilient, courageous and, in particular, constructive efforts of, among others: The parents of the girls who were seriously hurt in Baneheia show us just one thing: it doesn't work to give up, and here we all have a responsibility. In fact, we have a responsibility at all levels of society, from us as individuals or big business politicians, and from others like that. Police and Minister of Justice. Despite the fact that today's case is about research in particular, I now think it is the basis for pointing out the challenges of the future in relation to this matter. Our attitudes are reflected in the police, and the opinions and attitudes of ordinary people are also reflected in people's attitudes in the courts. And the question is, what climate do we create around these things? What climate do we create to solve the issues? And what climate do we create to move on in these matters? We could do as the Progress Party has often done in criminal policy, liberalise laws and rules that act as preventive, and propose specific penalties and sanctions against offenders. Liberalising porn laws while proposing banishment, castration and life-time penalties is a typical feature. I'm afraid such discussions are only suitable to trace what this debate is really about. How are we going to get alive everyone's responsibility? There is reason to note that, besides strengthening police work, we now need to focus on what is preventing. It is not for nothing that sexualised violence, especially against women and children, has increased as liberalisation of and access to gross pornography has taken place. The growing number of 12- to 13-year-old girls who today report unwanted sexual experiences with both peers and the elderly also feel that they are being abused. Many say that the boys are inspired by the porn. Those who are most keen today in the debate on this type of crime should also register in the debate on whether to liberalise pornography legislation. Those who are high on the ground when attacking offenders should also know their visitation time when dealing with Norwegian drug policy. The majority of Norwegian rapes occur in alcohol intoxication. A good prevention measure against sexual abuse is to reduce the total consumption of drugs in the population. Those who today really shout crucifixion, crucifixion, are also invited to join when we include. shall discuss grants for, for example: Alternatives to Violence or Support Centres around the country. Not all are as active as that. Perhaps the time also has come for us to step in line with our own ability to help reduce the number of abuses, not least we men. Human culture has so little to boast of in relation to what signals we as boys and men send out about sexual life and respect for the integrity of others; it is in Russian time or a well-adulted vorspiel. I think the bulk of the population makes sense not to move the investigation capacity to the police from the local districts to the central or regional joints. Too many things are being treated with a vote today. Sickly, if the number of rape reports has doubled in the last ten years, the results of the investigation are discouraging. The number of convictions shall be reduced. Therefore, the police have to give status to the assault cases, much more than to theft or fights. This competence must be local and the status must also be local. The problem is that the police have moved out too late. A new investigative unit, for which SV believes to open up, I'm afraid only want to powder the responsibility and do the extraction even later and help reduce the status. We are not going to care about this on the ‘local guard’. Evidence must be secured, witnesses questioned and traditional police work carried out. I also believe it is important that male police investigators engage to a greater extent in such matters, and that this is not done to the exclusive areas of the female police investigators. To the extent that the police have previously removed these issues, the challenges are now primarily to use available resources, with the possible support of Kripos, to carry out the investigation. Only that can give us more convictions. But this is only half the job. The most important thing in the years to come is the total responsibility of all of us to create a policy that reduces the number of abuses. And then we need more than police and punishment.
ParlaMint-NO_2002-02-07.ana.ud1617e375	The debate today has shown that the investigation of sexual abuse of children is an important focus of the Justice Committee. As chairman of the committee, I am very pleased that there is an overall committee behind the vote. Sexual abuse against children, as many have said here, is one of the most cruel and degrading things that can be done. But at the same time, it's also one of the most taboo. The Committee believes that the possibility of combating and resolving sexual abuses against children is strengthened by the strengthening of Kripos and the enhanced competence of the individual police chamber, to which it is now put forward. I would like to stress that the local effort is and will be the most important. But it is also important to put this type of crime into a national and an international context. We know that trafficking in child pornography, the sale of child prostitutes, child sex tourism and other child exploitation are widespread. Pedofile networks operate across borders. There is a closed environment, and much of the activity is done via the Internet, which means that the information is available and the documentation is there, but it is difficult to access. The Internet has come to be, and its use will only increase. Only coordinated, multinational police operations can break up the criminal environments that make great money on gross exploitation and degradation of innocent children. The Committee has just returned from visits to both Europol and Interpol. The work being done there, both to reveal sexual abuse against children and also, not least, to raise awareness of this type of crime worldwide, is very important. Several of the pedophilic networks that have been revealed have had adistinction with Norway. Data collected in other countries allow one to detect offenders in Norway. This, in my view, demonstrates the importance of international police cooperation. I am very pleased that Norway is now actively participating in both Interpol’s and Europol’s work in these areas, and that we also have good bilateral contacts with the police authorities of other countries. I am pleased with the broad consensus it is in Stortinget today on this important matter. I also want to underline what several others have been involved in, namely the important work being done by different support groups and different voluntary organisations to prevent and not least to detect sexual abuse against children.
ParlaMint-NO_2002-02-07.ana.ud1617e390	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2002-02-07.ana.ud1617e393	Trade in children for sexual services has become a world-class economic activity. According to UNICEF, one million children are drawn into sex slavery every year. Trafficking, which is the international designation for trafficking in human beings, is developing into one of the world’s largest industries. According to UN estimates, this slave trade is worth over $60 billion for the backers. The trade is global. Children are exploited everywhere, down to very low age levels, sexually — not only by pedophile men but also by ‘common’ women and men. Boys and girls come from poor villages with a promise of a better life. They are kidnapped and kept locked in a table or for months, or they are sold on the street, where the money goes to the backmen. Little boys in war zones are recruited as soldiers and used as sex toys by the older soldiers. Children are sold across borders to serve as prostitutes in brothels, or as actors in porno movies. Internet crime is one side of this, where people make the most of their own and other children. That's why it's important that it's also included when we're talking about Barne-kripos today, this to monitor and see: what's that flowing in across our country, and where can we track down and find people who are doing this, to prevent it from developing further. Once, the fight against slavery was one of the greatest political struggles. It was in many ways the test of democracy and human rights. The fight against today's slave trade is infinitely important. The inconsiderate and gross exploitation of children is evil put into practice. It's the human dignity it's all about. That is why I am pleased that the Sem Declaration to the Cooperation Government states: ‘The work on Barne-kryphos will be followed up’. It gives me confidence that this government sees the problems and wants to follow them with the eyes of the Argus, and eventually, if necessary, contribute what is necessary to bring these things to life, and to give the children the security they need – as others have also pointed out here in the debate – also provide the alleged perpetrators with the security they need, in order to ensure that their legal certainty is safeguarded.
ParlaMint-NO_2002-02-07.ana.ud1617e404	The best thing about this case would be that we had no case. The best thing would be that we had a society where there was no need for this kind of big message, but it's unfortunately not a fact. Unfortunately, as long as we have people with a nature that causes children suffering and sexual assault, we have to settle it. The quality of the investigation makes it clear how serious we as a nation are taking this problem inwards. It's also about how we respect the smallest in our society, our children. Don't we take our children seriously, what kind of society do we get? So what kind of signal do we give? Today's children are the ones who will carry this society on in the future. That's why it's also important. Then I register that SV again indicates that we have to be busy with the prisoners. Yeah, that's possible. But for us, the attacker has priority number one, and society is to be protected for him. Then we can discuss the content afterwards. But first of all, it's the way society's going to be protected from these. The Progress Party is pleased with the new regime that is now coming, with custody. We have no problem with people who commit abuses against children being held in custody, about a whole life. If that's what it takes to protect our children, we're going to go in for it. And then I register that the representative Storberget again has a need to be a teacher in relation to the Progress Party, and of course he is quite free to be. With regard to the policy of the Progress Party, it is based on the fact that every person in this country must have an individual right to do what he finds he can do, of course within the laws and regulations that apply at all times. There are the dividing lines between us and the representative of Storberget. He has a constant concern for everything that others might perceive in part as both interesting and exciting. And we've said yes well, okay, but within the given norms that exist. So to another point that I'm concerned about, and it goes on this with equipment. I'm a little fascinated when the representative of the Christian People's Party boasts of their efforts through the Government. It is possible that we were not in the same place when we visited Kripos. But Kripos made clear that they lack equipment, that they need new things, and then maybe it doesn't last with a knowledge base alone, then something more is needed there. And as far as the equipment side is concerned, only the Progress Party has taken real responsibility here and granted the necessary funds. Finally, I must say that I am disappointed in the Minister. I think the minister was vague in his reply to my reply instead with regard to equipment investments. Also there the Government makes visible what is actually important in this context. It's no use standing here with nice words and expressing what you want and what vision you have, if you don't follow up with the necessary means. In a society like ours, the quality and policy initiatives are made visible in relation to the rightfulness of the seventh and last of the signals we give to the children, and how we treat them.
ParlaMint-NO_2002-02-07.ana.ud1617e421	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 1520]]
ParlaMint-NO_2002-02-07.ana.ud1617e437	The Supervisory and Constitutional Committee has examined Document No. 3:12 for 2000–2001, which concerns the examination by the National Audit Office of the appeal proceedings by the county authorities. The purpose of this survey has been to assess the complaint handling and information activities of the counties under the Planning and Building Act and the Social Services Act. The task of the Board of Appeal of the Municipal Single Decision is an important part of the role of state officials as a judicial security body. It is therefore very important that this work be carried out in accordance with the intentions. The National Audit Office concludes in the investigation that the county authorities only meet to a small extent the objective set for the duration of proceedings in complaints. The objective is that the duration of the proceedings shall not exceed three months. The study shows that in 1999 there was only 36 pst. of the complaints under the Planning and Building Act which were dealt with within the target in three months. For 45 pst. The number of cases was more than six months. For complaints under the social services law, the situation was somewhat better, but not satisfactory here either. Only 54 pst. such cases were dealt with within three months. The Court’s assessment in the light of the investigation is that the length of the procedure means that the legal certainty of the individual complainants is not adequately ensured. The Committee is of the opinion that such a lengthy procedure could lead to frustration in complaints and that the facts about the complex could be more unclear than if the case had been dealt with while the complex was still fresh. The Committee therefore considers that, in the worst case, a long period of proceedings could jeopardise legal certainty. The study also reveals that there are very large differences between the different county offices. For example, in 1999, Østfold County had an average duration of proceedings of 12.9 months for complaints under the Planning and Building Act, compared with only 1.3 months of average proceedings in Trom County. The Committee wonders whether there are such major differences in the length of proceedings between the various offices and sees such differences as not acceptable. The Committee notes that the study shows a clear link between the extent to which the posts have established clear procedures for the review of appeal proceedings and the actual duration of proceedings. The Committee therefore takes the view that such procedures must be established at all levels of office. The Committee also wishes to focus on the role of the county council as a guide to the municipalities, and considers it essential that the offices use resources on information activities to prevent unnecessary processing time being spent on missing or incorrect transmissions from the municipalities. This study also shows that there are considerable differences between the positions in the outcome of the complaints, i.e.: whether they are repealed or transformed. The Committee finds this alarming and asks the Government to examine whether there is a major difference in practice in dealing with similar cases. The Committee finds it unfortunate that the law is practised differently in different municipalities and offices. In conclusion, the Committee notes that the Riksrevision welcomes the fact that the Ministry of Labour and Administration will follow up the county offices with a view to achieving the objective of three months' time. The Committee endorses this and asks to be kept informed of the progress of the work.
ParlaMint-NO_2002-02-07.ana.ud1617e463	I would like to stress that the Ministry of Labour and Administration takes this matter very seriously. We are very concerned that the county officials, as the local authority for monitoring and review, have a crucial role to play in ensuring the legal certainty of individual citizens. In general, the follow-up by the government of the county is divided between several departments, but the Ministry of Labour and Administration has the overall administrative responsibility, and we are implementing concrete measures to reduce the length of proceedings for complaints by the county officials. In connection with both St.prp. No 1 and the 2002 letter of assignment to the county councillors, we have given a specific in-depth mention of the issue of time for proceedings. We will follow up with our own follow-up letter to the county councilmen immediately after the wholesale treatment here today. We will also address the issue as a specific topic in the leadership talks that we are going to have with the individual statesmen and at the county meetings. In addition, in this year's budget, we have close to 4.5 million. to strengthen the appeal proceedings of the county councillors, including work for systematic comparison of the proceedings between the county councillors. We will keep Stortinget continuously informed about this matter. In addition, as we have announced in connection with modernisation work, we will have a full review of how we can strengthen the supervisory and review procedures for issues related to municipal services.
ParlaMint-NO_2002-02-07.ana.ud1617e474	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 1520]]
ParlaMint-NO_2002-02-07.ana.ud1617e490	The background to what we are going to discuss today is an individual matter raised on the basis of the former Councillor Karita Bekkemel Orheim's review both by the State Youth and Adoption Office, SUAK, and by the professional council in the Department when she gave a candidate couple prior consent to adoption. There was some noise in the media around this case, and the then Control and Constitutional Committee decided to take the matter up for treatment in the Stortinget. The theme was the practice of adoption laws on a principle basis, including the exercise of discretion in the first instance, which is SUAK, and in the department, which is the appeal body. At the same time, the current Monitoring and Constitutional Committee decided that the Committee’s suspension of any decision should not have retroactive effect. In other words, the preconsent given was not to be converted. The present committee was read through the documents that formed the basis for the exercise of discretion as a state council, as an appeal body, must have. It has not been done by the members of the current Supervisory and Constitutional Committee. The current committee chose to continue the processing of the principal aspects of this matter. The Committee has had in-depth presentations by former Councillor Karita Bekkemelm Orheim, by current Councillor Laila Davay and by SUAK. The Committee agrees that the guidelines for decisions on adoption matters are a good starting point for the overall and discretionary treatment of each individual application. However, weaknesses have been identified and the Committee assumes that further work will be carried out to improve the guidelines, as was also agreed by the Council of State, Laila Davay, in its letter to the Committee. The Committee strongly states that the starting point for any pre-consent must be the best of the child. Adopting is not a human right, and the child’s best interests must be ahead of the needs of adults. For SV's sake, I would like to add: in the case of foreign adoption, we have to make at least equal demands on parents as we do in the case of domestic adoption. Something else would be human sorting. Children coming from abroad may have experiences in the back pocket that make the requirement for good ability to tackle and reason by parents must be there when the difficult years, the teens, come. Research has just shown that abroad-adopted children seem to have extra major difficulties when the identity crisis comes in their teens. The treatment of adoption requests depends on three instances: work in municipalities, among others. in the preparation of the social reports, in the work of SUAK and in the final work of the Ministry in the event of an appeal against the decision. Cases may be complex and the adoption authorities may face difficult choices. It is therefore incredibly important that the competences of all these levels remain objectives. The Committee has chosen to express its opinion on the competence of the local authorities and the treatment of the ministry. On the role of municipalities in investigating applicants, SUAK – and the Committee has noted this – says that they can see several unfortunate aspects. In the opinion of the Office, individual municipalities that do not take the statutory task of writing the social report are sufficiently serious, and some municipalities do not have the necessary competence either. However, it is important to stress that both many small and many large municipalities do a good job. SUAK says in his letter that the common denominator of the good reports is partly that they have been developed by professionals with good knowledge of adoption, and partly that the case handlers of the municipalities have been thoroughly involved in relevant questions and issues. So competence is a key assumption. Competence requires experience, and it is no wonder if small municipalities with few adoption applications do not have the necessary competence. But in the SV's opinion, there is no reason to believe that this applies only to small municipalities. Time and time again, on behalf of SV, I have mentioned the following: the municipal child protection service has been marked by a large turnover – one in five or one in four has less than one year’s service. We meet many newly educated people in these tough jobs, and the municipalities are not yet responsible with the associated opportunities for continuous development of child protection competences. There is some background to the lack of competence in several municipalities, and I challenge the Council of State to address it. This must be part of the thinking when the Ministry now sees the need to develop competence in adoption matters. An overall committee calls for inter-municipal cooperation or cooperation with the protection of children at the county level in this work. I would like to hear what the Council of State thinks can be done to get this done. An overall committee considers that the adoption authorities must take responsibility for the exercise of the discretion necessary to determine the case in the best interests of the child, while at the same time ensuring the legal certainty of the applicant(s). This means that a real two-way complaint procedure must be called for. An overall committee has noted that the ministry has started to look at which body is best suited to be a complaint body. However, an overall committee agrees with the former Councillor Karita Bekkemelm Orheim that the review of adoption requests should be outsourced by the Ministry. This is an area where judgement is to be exercised, but where good special knowledge is required at the same time. With all due respect for political leadership – and we do – it is not certain that this is an area suitable for political judgement. Where, then, shall the Board of Appeal be? The Committee points out that social inclusion can be a good option. As regards the evaluation of the earlier Council of State Karita Bekkemelm Orheim's handling of the individual matter which is the starting point for this matter we are dealing with today, the Committee has divided into two. The majority of the Committee, the SV and the Workers' Party, which chose not to enter into an assessment. The Right Party, the Christian People's Party and the Advance Party have chosen to give the Council of State a taste to varying degrees. I'm sure these parties will make preparations for that. Regarding the position of SV, I would like to say the following: We believe that there are good reasons to ask the questions that the Right and Christian People's Party have asked, namely why the Council of State chose to review the assessments of SUAK and a professional selection. Several of us asked the same questions when the matter was up last year and last summer. But – and I stress it – this committee has not seen the background documents and therefore has no basis for assessing the discretion of the state council. Nor do we think there is any point in doing so, all the time that treatment today should not have or have retroactive effect. Now it's about doing that we're facilitating that all adoption cases are properly dealt with at all instances. We have requested that the Council of State orientate the Stortinget in an appropriate manner when the results of the ministry's work in this area are available. This will allow Storting to assess whether the measures are good enough to ensure that all adoption cases have the best starting point for children.
ParlaMint-NO_2002-02-07.ana.ud1617e520	As the rapporteur said, it was a concrete matter which prompted the Committee on Control and Constitution to carry out a review of the practice of the adoption law. The specific case was closed by the Committee and the current committee has not dealt with the documents or the matter at all. In the summer of 2001, the then committee decided to take up the practice of the adoption law as a matter of principle. The current committee has continued this work, as this case was not concluded during the previous control and constitution committee. Of course, there is total agreement in all the environments in question, in the Committee, in the Department of Trade, etc., that adoption should have the best of the child as the only guide. Of course, there is also agreement that no one has a right to adopt a child unless conditions are entirely appropriate. On the other hand, those who wish to adopt shall be ensured that the assessment of their assumptions for adoption is correct and in all respects sound. Legal certainty must therefore be ensured in a normal way. It is the State Youth and Adoption Office which is the first instance of the treatment and which represents the heaviest professional environment in these kinds of cases. The Ministry of Children and Family Affairs shall constitute the Board of Appeal or Appeal. The Committee's review shows that the consideration of adoption matters is satisfactory but that there may be improvement points. Both the Ministry of Trade and the Committee agree to this. In particular, there are two areas in which the Committee has established itself. One is the competence and capacity of municipalities to do the necessary preparatory work to enable decision-making bodies to carry out their assessment properly, it is the ability of municipalities to produce the relevant social reports, etc., and here we see great variation. As the rapporteur said, small municipalities with a small trade union environment can be involved, there can be large tours in these positions in the municipalities, etc. However, the main thing is that the quality of this work generally needs to be improved. Secondly, we have looked at the location of the Board of Appeal. For its part, the Committee has concluded that the Board of Appeal should be assessed outside the Ministry of Trade. Doing so would mean weakening or completely disappearing political transparency and control of these matters, leading to the need for some stronger clarifications in the law. However, there is something that we will get back to if it should become relevant. The Council of State is in the process of evaluating these issues, and the Committee has asked that the Grand Duchy be properly informed once these assessments have been made and the work of the Council of State has been completed.
ParlaMint-NO_2002-02-07.ana.ud1617e537	I would first like to begin by thanking the rapporteur for a thorough and balanced presentation of the matter. I have to admit that this matter has not been quite simple, because – as it has been explained – the starting point was a specific matter with which the former State Council, Bekkemel Orheim, had a position. Now, it is true that the Committee has not gone too far in assessing this case, but at the same time, through the examination of the case, we have become familiar with a significant part of the correspondence and assessments that the former political leadership made in the case, so that we know significant parts of the evidence base. Now it's also true that in relation to a single matter, we have to be very careful both in the committee and not least here in plenary so as not to get hurt in order to say something that should and should be out of the question. We're all going to be careful with that. But once we have delivered the setting we have, where we stand on important points in the committee, but at one point divide us, I'm going to tell you why we in the right do it. Firstly, it is this way – and here everyone has been clear – that it is the best thing for the child to be the starting point and the decisive factor for the conclusion in these kinds of cases, not the parents’ needs, that adopting should not be a right for anyone. It's a very important starting point. I also think it is important to be aware of a dilemma, and it goes a little bit about how to organise this work in the future – and then to the current government – that, of course, on the one hand, one should try to have closeness and local knowledge in assessing the care and qualifications of applicants as future adoption parents, but on the other hand one must be careful not to get so close that one in a way is unable to have the necessary distance from the applicants in relation to acquaintance bands, friendship bands or whatever it may be. Especially in small municipalities, there is a greater danger that such things may occur than in municipalities that are larger, possibly municipalities cooperating on these types of assessments. Local knowledge is important, but proximity must not get too close. So I also think it is important that we do not treat Norway as a nation when dealing with these kinds of issues – when I say we, I think of Norway as a nation – in a way that can discredit Norway abroad. There's a danger. If individual politicians or parties persecute their political leaders too far in these kinds of cases, we may be harmed to discredit Norway in relation to other countries that are about to release children for adoption in Norway. I think it's important to be aware of that. So a few words in the end about this with the Bekkemelm Orheim's review of the professional advice at the State Youth and Adoption Office. Through the correspondence we have received, and have been made aware of, it emerges that the State Youth and Adoption Office held that there was such a doubt that the conclusion in the case in question should and should have been rejected. Former State Councillor Bekkelem Orheim has also admitted in her opinions to the Committee that this was a difficult and complicated matter, and that she was in doubt because of it. But her conclusion was, however, consent. This is where I mean for my part it's limping. To the extent that there is a doubt of careability in these kinds of cases, that doubt should benefit the child, not the applicants, because the child is the weak party and has a need for protection. Therefore, we conclude as we do in our comments that are included in the setting.
ParlaMint-NO_2002-02-07.ana.ud1617e554	This case, which is based on a single case and an alarm from Liven Arner in SUAK, cannot be seen isolated from the general political debate in this area. It is a political debate on who should be able to approve and have the opportunity to adopt children. In some political circles — and former government councillor Karita Bekkemelm Orheim has also attended, at least she has been a prominent debater — the question is whether adoption of children should be extended not only to married couples but also to cohabitants, then whether it should be extended to gay cohabitants who have entered into a partnership, and whether it should be extended to allow access also for unanimity. This case cannot be seen isolated from this issue. In the issue I now drew up, it's the consideration of the parents who are actually put in the high seat, which is the starting point. And it's when there's a twist where you put more and more emphasis on parents' needs and want to have a child, that the question of balance comes up. That is why I am very pleased that Kjell Engebretsen so clearly stated that in these questions the ‘only guide’, as he said, should be ‘the best of the child’. It is also true that as long as you have a situation where there are more couples who want to adopt children than there are children available, Section 2 of the Conventions and the Law on the Child’s Best Practice means that you choose on the top shelf. If you have ten couples and one child, and you take into account the child's best, you give the child to one of the ten couples where there is the greatest chance and the best chance that the child will have a good home. That doesn't mean that not the other nine pairs can be completely right, but if the child's best is the starting point, you choose the best on the top shelf. And there was an alarm that there was a tendency to put much more emphasis on the parents' – or we'll say the looking couples' – needs that were a bit of the reason for the alarm that came in this particular case. In the correspondence dance and the documents, I did not experience it as Martin Engeset said, that SUAK was in doubt. SUAK was not in doubt. SUAK was quite clear that the applicant in this case could not be granted. There was no doubt! That's what, in our opinion, makes this case serious. There was no doubt in the experts – and after the documents – that rejection should be granted. Then it is all the more serious when, even after private enquiries from those who were close to the applicants, a political Council of State agreed to the application for clear, unambiguous advice of the experts. The matter is of course closed, as I have said. But it was nice to get it treated. This is a kind of uprising, at least I would say, for Liven Arner, who got a lot of countermeasures, also from superiors, because she had allowed herself to say from – and from high – that there was an ongoing development that was contrary to the law when it came to the exercise of discretion. I assume that it has been emphatically stopped with the setting that exists here, and with the debate that has now been. And once again, I would like to stress what the Workers' Party spokesman, Kjell Engebretsen, said that the only guide is the best of the child. In my opinion, it would mean that if there is any doubt as to whether any applicants are to be approved as adoptive parents, no authorisation shall be granted. In the old two-institutional system, which is still there, I think the only sensible practice of it is that if SUAK says yes, the Council of State might say no. But if SUAK says no, no political council should say yes within a system where the child's best interests are to be taken into account. It is also clear that in all such discretionary matters – and I would not say that is done in this case at all – it should be such that government councils should be roughly spared support letters to a party that may later be perceived as having done a friend service. In this respect, state councils should be somewhat protected – if possible under our law – from receiving letters, whether from batches or from others with whom contact has been made, because in retrospect this can be used to question the cause. I stress that in this case at all, I have no reason to claim that it had any significance for the decision. Finally, I have a question to the Council of State. It is also based on something that the committee has written unanimously. Here I have to correct my committee colleague, Kjell Engebretsen, who did not quote quite correctly – i.e. there was no quote. In the Committee's opinion, the text is set out in the second column of page 3: ‘The Committee considers that the review of applications for adoption should be delegated by the Ministry to a stand-alone and independent body.’ Kjell Engebretsen was injured to say that the Committee had asked for a ‘assessment’ to be carried out on appeal proceedings outside the Ministry. No, the committee has not said anything about evaluation. The Committee has concluded that the review procedure should be delegated by the Ministry to a stand-alone and independent body. My question to the Council of State is: How long will it take for this work to be completed? When she expects to come back to Stortinget not only with an orientation, but with a concrete proposal for the creation of a stand-alone and independent body. So I don't want the Council of State to come here and give us any information that the work is going on, that a sample is being reduced, and that they are assessing. No, there shall be no sample, and it shall not be assessed! The Committee has unanimously agreed that it should be a stand-alone and independent body. When does the proposal for the establishment of such a stand-alone and independent body to enter the place of the department as an appeal body for this type of case come?
ParlaMint-NO_2002-02-07.ana.ud1617e581	It's going to be line change.
ParlaMint-NO_2002-02-07.ana.ud1617e584	When I tried in my post to show that this matter had been difficult for many, and tried to prove that the matter was not completely black-and-white and the conclusions were not quite obvious, I referred, among other things. to what the State Youth and Adoption Office had said. Then it's kind of festive as the first travel guy in this country's national assembly to be able to take Carl I, Hagen, the ring to see that he hasn't done the homework. The point is that it is clear from the case documents which the Committee has been dealing with, that the State Youth and Adoption Office in a note states that: ‘Despite the positive social report and the positive opinion of the municipal doctor, we found at the first reading that there was such a doubt that the conclusion was rejected.’ It has obviously not been brought with it by the representative Hagen, but that is what I laid down and based myself on in my post.
ParlaMint-NO_2002-02-07.ana.ud1617e594	That's probably what's in that document. I may not have done the homework and studied the document, but I can only regret that. I am in the somewhat difficult situation that I was in the former control committee, where we also had hearings. This kind of office isn't human. There are people who in case are in doubt, and there are people who exercise discretion. An office doesn't. But I know very well that when offices write something, they always pack their opinions into cotton. In the light of conversations with the people involved in the hearings we had, I'm sure my presentation was more correct, but I'm glad to admit that Martin Engeset is on the dry side of the official way in which this has been expressed from an office. But otherwise, as the President knows, I deal more with people's views and what they say than with offices that wrap their views into cotton – at least when I find it appropriate. Martin Engeset will probably also eventually start to do that.
ParlaMint-NO_2002-02-07.ana.ud1617e603	It's not up to the president to comment on it.
ParlaMint-NO_2002-02-07.ana.ud1617e606	The representative Hagen also used the opportunity to get into the general debate on society. That is why I feel the need to correct Mr Hagen's wording on some points, because it is not the case today that the public can assess on the top shelf who is going to adopt. That is exactly what the debate on equality for the law on this issue is all about. No one has ever said that anyone should have the right to adopt, but the question is whether the State should have the opportunity to assess anyone who wants to apply for an opportunity to adopt. We know that adoptive children are more vulnerable than children in general. We know that there are a number of risk factors for adoption. But the question is whether to pick out some of these risk factors and say that, for example, sexual orientation should not be considered at all. Other risk factors should be considered. If it is to be possible to choose on the top shelf, if it is to be possible to choose at the best of the child, then everyone must be assessed and that assessment must be strict and fair. But the representative Hagen's wish to choose on the top shelf is not in line with the practice he advocates in what kind of legislation you should have.
ParlaMint-NO_2002-02-07.ana.ud1617e615	It is clear that this debate must be debated when we may need to consider changes to the law, because – if not I am completely wrong – it must change the laws in order, for example, to: gay couples shall have access to adoption. Today, it's reserved for heterophilic couples. If you're going to expand access, it's a discussion that we obviously have to take. But within the framework of the law today, it's actually the normal thing to adopt is that there are couples who are considered adoptive parents. I don't quite remember the legal texts, I have to admit it. It is now extended to registered couples as far as I understand. But if you want to extend access further, it's a different debate, and we'll have to take it when that time comes. However, in today's legislation, the most qualified are chosen from among those who meet the requirements of the law and the discretionary judgement. To date, a number of potential applicants have been selected to meet the requirements. That doesn't mean you can't discuss whether to allow others to adopt. I'm not of that opinion. I'm of the opinion that the most sensible thing is to choose heterophilic couples. It is at least for the child's best to have a stable relationship with his or her future parents. That's for me what serves the child's best. But we're going to have to take that debate in a different context.
