ParlaMint-NO_2002-06-17-2.ana.ud761e30	The representative of Ursula Evje, who has been on leave, has once again taken his seat.
ParlaMint-NO_2002-06-17-2.ana.ud761e424	I am pleased with the starting point of the Council of States, saying that this and the debates we are going to have on these issues should take place with a good portion of humility from different points of view, and that there are difficult balances to be made. I think it's pretty difficult when someone experiences that representatives here today are partially distorting their views and trying to ask questions about or suggest that the minority here is just as open to a sort society. There are accusations and suggestions that I think are not worthy of this assembly. It is clear that in this debate there is a fear that we will be in the sorting society. But it's not much of the practice we've had now in relation to our biotechnology law and the methods we now have, which actually suggests that we have a sorting society, or that we have come closer to a sorting society through increased knowledge and better ultrasound research, or that we use this as a sort of sorting mechanism. I find that in many ways the majority shows a suspicion and a lack of confidence that people can manage the knowledge they get about the life that's inside, through these studies, that they lack faith that those who get that knowledge can actually manage it in a proper and ethical way, and in a way put a question mark in relation to the morals that people have. The improvement of foetal sound studies and the greater the opportunities, the greater the chance to disseminate knowledge and thus use the knowledge of an extended foetal medicine that enables us to actually do something to improve the situation of a child who may have anomalies.
ParlaMint-NO_2002-06-17-2.ana.ud761e431	Unfortunately, this debate has taken a very unfortunate turn in the last few minutes, when you see speakers from the Christian People's Party, one after the other, go up and profile that the majority in this position have upgraded human dignity, that is to say, the minority has downgraded human dignity. There are several people who say that we cannot accept this. No, we can't accept it! I said in my speech that I respected the views of the Christian People's Party and the announcement of the Minister of Health, but I also demanded respect for my view. I demand respect for the fact that my view of the Christian People's Party is as good as that of the Advance Party. One could almost get the impression of the opposite of one of the Christian People's Party's female representatives who was up here. In fact, you also got the impression that you just have to find yourself living with sickness, suffering and death, because we are created in God's image, and by the fall of sin it would be like this. Understood: we must be fundamentalists, we must not do anything that can improve human health and quality of life. This type of debate I thought we were far away in Norway in 2002. It should take the Christian People's Party inward, all of you!
ParlaMint-NO_2002-06-17-2.ana.ud761e438	I believe that the powerful speeches that have been held now at the end of the debate, from both sides, may not serve a debate that should be open. That doesn't mean we have to limit the exchanges we're going to have. What made me take the floor was Asmund Kristoffersen's speech, which in a way made one feel unwarranted in the debate today. But there is absolutely reason, as also Olav Gunnar Ballo makes in his post, to question where the Workers' Party has placed itself in this matter. If one looks at the areas in which the Committee shares majority and minority groups, it is in fact alarming that the Labour Party is in many ways left standing alone in a number of areas where the Progress Party is united with the majority. I have full respect for the fact that the Workers' Party is opposed to a sorting society, but there is still reason to ask: In what areas of this message has the Workers' Party been willing to set limits to counteract a development in which technological development – I do not say that it is basically a human desire – makes it more and more possible to open up to a sorting society? Where has the Workers' Party been willing to be involved and put down important border posts and important markers to prevent such development? They have not been willing to do so in relation to foetal diagnostics, and they have not been willing to do so in relation to preimplantation diagnostics, which are the two crucial areas. It's okay to say that, but one should also show in practice that one is willing to set these types of limits.
ParlaMint-NO_2002-06-17-2.ana.ud761e447	Britt Hildeng has spoken twice in the past and is now given the floor to a brief comment.
ParlaMint-NO_2002-06-17-2.ana.ud761e451	With regard to the last representative, Höie said about pre-implantation diagnostics, it does not mean that we do not set limits. We say, like the Government, that we want to maintain the current law as on very, very strict indications give the opportunity. These include: in cases where one sees that there is a high risk of heritable diseases and conditions that indicate that children are going — most likely — to die at a very early stage in their lives, and otherwise completely fatal and very, very serious diseases. [[The President clubs.]] It is in line with what the Government proposes, and we maintain that. [[The President clubs again.]]
ParlaMint-NO_2002-06-17-2.ana.ud761e458	We have to keep to the speaking time now! The debate is getting pretty long, and we are now dealing with the speaking time that has been allocated.
ParlaMint-NO_2002-06-17-2.ana.ud761e461	Clearly, doubt and faith are the starting point for many points of view in this Chamber as well. But if doubt or belief becomes too extreme, it can also lead to rather extreme positions and arguments. I might think that the debate with this last turn has now shown it. I think it must also be right to set frameworks and set conditions for research environments, for the development of medicine, as we do in other disciplines. It is important that you have legal regulations that clearly and unambiguously safeguard the integrity and privacy of individuals. It is important with consent, with proper information, with data retention and record keeping, as we have pointed out by the majority, that professional secrecy is properly respected and that one is careful with regard to personal data. These are practical things the majority points to, and I have to say that the statement made by the representative Britt Hildeng, I have to distance myself from, including the argumentation and accusation when the representative Hildeng says that the majority does not trust people with knowledge and their management of this knowledge. That's what we have! In this case, those scientists must mean professionals and researchers in the field of biotechnology. We trust them. We wish, among other things: that part of the professionals in the Biotechnology Study shall have an independent and strong role in providing guidance to the Storting and to other decision-makers. But it is, after all, the task of politics and the responsibility of politicians to set a framework for research and development, and that is what we have done here. Otherwise, I must say that I am not happy with part of the arguments that have also come from the other side of the final phase of this debate. I think we had insisted on having a slightly less passionate debate on the field of biotechnology, and that we had gone into the practical and concrete things that we need to do in order to have a good biotechnology law.
ParlaMint-NO_2002-06-17-2.ana.ud761e472	This has been an important debate. There has been a future-oriented debate, and there has been a value debate where views have been tried between different majority and different minorities. It is essential that it be done in a field like this, and that it be done with the necessary respect that has largely affected most of this debate. Unfortunately, the senses have been put a little in the boil toward the end of the debate, but I don't think it should weaken that main impression. It's not that the minority doesn't want to set limits, as Mr. Asmund Kristoffersen pointed out quite correctly, but the minority has to endure the fact that the positions they take are tried and debated. It is a fact that the minority is in favour of lifting some set limits and that the minority is moving towards a new set of limits proposed by the Government on some points. That's a fact, and that's what I'm assuming is positions that the minority recognizes. What we need to avoid in such debates are characteristics – characteristics of each other as more or less ethical or more or less fundamentalist. That doesn't make sense. With what is now at stake, I think it will be possible to set out a course for a new legislation in this area that will mean that the Stortinget continues to take a considerable responsibility for putting the framework around an enterprise that will be there in human service and that will not violate human dignity.
ParlaMint-NO_2002-06-17-2.ana.ud761e481	Then it seems that most things have been said in this case. Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 3231]]
ParlaMint-NO_2002-06-17-2.ana.ud761e500	No one has asked for the floor. At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that the matter be referred to the Committee on the Environment, Public Health and Consumer Protection. 6 and 7 are dealt with as a whole – and considered adopted. [[See page 3232]]
ParlaMint-NO_2002-06-17-2.ana.ud761e529	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: The Labour Party and the Right 15 minutes each, the Advance Party, the Socialist Left Party and the Christian People's Party 10 minutes each, the Centre Party, the Left and the Coast Party 5 minutes each. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines with replies following the insertion of members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2002-06-17-2.ana.ud761e540	Then we've come to the third act of the opera act. Tonight, the Storting adopts a binding cost framework for new national opera buildings to be located in Bjørvika. Thus, a long-term process is over, and green light can be given to start the construction itself. Yes, the road has been long. From the start of the investigation until today, 13 years have passed. Four years ago the Stortinge treated the opera bag in its full width. At that time, a large majority in the Stortinge to build a new opera house, but due to disagreement about the location, no decision was taken. But the matter was not put to death. New extensive investigations were started, in particular this was the case with the Bjørvika option, and the case was brought forward again in the spring of 1999. Following the fall of the West Railway option during voting, the then government parties agreed in a subsidiary way with the Workers' Party and SV for a location of the Opera to Bjørvika. This could start work on pre-projects and the organisation of an international architectural competition. An important historical step was taken towards a new opera house. When the history of the opera house is first written, it would be right to withdraw the threads even further in time. It's been over 100 years since Edvard Grieg and others excited about creating an opera scene in connection with the construction of the National Theatre. Tried stranded. The same thing happened with later attempts. When the dream now finally seems to come true, it makes sense to see the construction of this large cultural building in connection with the marking of the 100th anniversary of the Union resolution. Although there will be no inauguration in 2005, the construction process will hopefully be well under way and the opera project can be considered a positive contribution to this marker. The dissolution of the Union, which is one of the most important events in recent Norwegian history, was then seen as the completion of the 1814 programme for the creation of its own Norwegian institutions. This allowed Norway to take its place among the other European national states. This was at a time when Norway had a strong cultural position in Europe, with Nansen, Ibsen, Bjørnson and Grieg, which undoubtedly helped to make the dissolution of the Union possible. In this perspective, the construction of new opera means that an important national cultural institution is lacking. It is therefore also appropriate to congratulate both the institution itself, the Norwegian Opera, and the Norwegian people that we pass this evening another important milestone on the road towards the full realization of this central cultural building. The evening post wrote in the management position yesterday: «The image of a late cultural nation we will not get rid of tomorrow.» So even though an opera building is not alone enough to create a cultural nation, at least we are now taking a new decisive step in the right direction. It is also gratifying, in this context, to note that the decision taken today has the support of all the parties in the Stortinget, with the exception of the Advance Party. It is not least important in view of the further follow-up of a large and complicated project like this, that it has such a broad majority in the Stortinge in its back. Although this may not be the time to distribute flowers, I would nevertheless use the opportunity to underline the enormous effort that has been made over years – many years – by individuals and bodies under the direction of the Department, not least by Stadsbyg and the Norwegian Opera themselves, to get where we are today. For one who has followed this process relatively closely over a long period of time, it has been nothing less than impressive to notice the intensity and glow that have been demonstrated to achieve this. Architectural competition and pre-projects have been carried out according to Stortinget’s intentions. The architect's office has gained a lot of recognition. This has subsequently been technically, functionally and aesthetically processed up to a completed building proposal. I could still frame up, but I refer to the setting. There are only one points where comments have to be mentioned. This concerns the desire for the construction to be an opera for all. It means the intention that there should be the best possible availability for everyone throughout the house. We know that a lot has already been done from the outset through a dedicated SINTEF R & D project, carried out in close cooperation with disabled people's organisations, in order to make accessibility as good as possible. The remaining measures that can contribute to further improvements, I expect, will be further worked on, as is also evident from the Department's letter to the Committee attached to the nomination. What has probably been the subject of the greatest attention in the opera house case is undoubtedly the cost of investment. That's understandable. It is carefully explained the evolution on the cost side of the Government's proposition. In the Committee's opinion, reference has also been made to the comprehensive quality assurance measures implemented. In the final phase, an external review of the entire opera house project was carried out at Dovre International AS. They've delivered a thorough report. In the first round, Dovres pointed out the need for a slightly greater uncertainty provision than recommended by State Building. But after this, the State Building and the Ministry have reviewed and largely followed up the recommendations and adjustments made by Dovre International in its report. Additional risk mitigation measures will be implemented in line with the Dovre recommendations. With this in mind, we note that the proposal for a binding cost framework for the opera project differs insignificantly from the recommended framework of the Dovre International. However, in the case of the opera project as a whole, including the safety and cost aspects, as far as we can know, we have done what can be done to ensure that its implementation is successful. The thorough work done in the form of studies, reports, investigations, consultations, etc., citizens of a quality that gives us the necessary security as decision-makers. I know it is dangerous to use strong words, but I have to say, as the case-rapporteur, that there is now no time for further investigations. Now is the time for action, for implementation and for the realization of the construction work. But there is also reason for the Storting to stress that it is necessary to ensure good governance at all stages, at all levels, towards completion in order to prevent overruns. It's also imperative to remember that the uncertainty margin of 500 million. kr to be managed jointly by the two departments involved is only a buffer which can only be triggered by unforeseen exceedances and shall not be used for project extensions of any kind. It is important to bear in mind that the opera house, despite the enormous attention it has received, is still just one in the range of many cultural buildings that are thought to be built in this country. What happens to this project will easily have a transfer value for future projects. If this succeeds, it will also be easier to get in touch with other buildings – and vice versa, if it goes wrong, which we don't really believe, then we can just imagine. Then the Progress Party has once again put forward proposals to scrape the entire project. The lot also marks this time that it is against using public resources to build opera houses and therefore proposes once again that the opera house project be scrapped. It's not surprising in itself. On the other hand, I cannot fail to touch on the argument that the Progress Party is once again heading for. It seems incredible that one of the largest parties in the country in its attempt to scandalize the opera project reveals such a shocking glimmer in its number. The specific comments made by the party in the suspension are based on the maximum preliminary estimate in 1998 for a possible opera building in Bjørvika, namely DKK 1.4 billion. This figure comes from the time before the Government had provided a decision-making basis for the Bjørvika option and could recommend this as a real alternative, before the architectural competition and foreproject were started. Later, this option has been the subject of extensive quality assurance investigations of numerical material — first in connection with the 1999 proposal, which set the estimate at DKK 1.8 billion. Later this was adjusted in the context of the 2001 state budget to NOK 2,050 billion, well and mark in 1999-krona, and now finally in the proposition we are discussing today, to NOK 2,83 billion, converted to the 2002 price level. All the way it has been provided that the Stortinget would be presented with a proposal for a binding framework at a later date when the project was completed. Then the figures show that the increase that has occurred in the opera project is essentially due to real price developments as well as a necessary uncertainty provision. Therefore, the doubling of the nominal cost of the Progress Party refers to is both misleading and inadequate. So I'll just say in the end that it's been very positive to notice the increased interest in opera and ballet that's come in the last few years. In Norway, initiatives have been taken throughout the country to set up organisations to produce and disseminate opera and ballet. In parallel with the start of the opera house project in Norway, several new opera houses are also being built in the world. It is therefore with pride and joy that I recommend the Stortinget today to adopt the proposed cost framework for the Opera in Bjørvika. It becomes an important building block in the cultural nation of Norway.
ParlaMint-NO_2002-06-17-2.ana.ud761e599	The debate on new operas has been exciting and is an expression of the fact that, through political dialogue, compromises and optimal solutions can be reached that bring together large sections of the population. The opera's crowd is big. A gallup study last week showed that more than 60 pst. nationally wanted a national opera. 64 pst. wanted the Opera to be a sighting, and the entire 79 pst. by the people of Oslo wanted a magnificent building. We note that the Government now, as in the past, emphasises that the Norwegian Opera in Bjørvika will have good working conditions to facilitate exciting ballet and opera placements, while at the same time the snow-heated opera building will be exposed as a magnificent building that will also premise for the new Bjørvika. The new opera will be a symbol of how culture and art contribute to the creation of society and give it new dimensions, dimensions such as the ability to combine cultural roots with cultural innovation, such as the ability to connect the present with the past and the future. For everything is here: today's traffic machine, yesterday's history with a thousand-year-old king's seat in today's medieval park and tomorrow with a modern city with culture, housing and business. Building the Opera in Bjørvika is in line with modern urban development worldwide. Investments in and development of large cultural institutions cannot be seen separately from the rest of society. One must also assess the cultural, economic and social implications of investment. And that's how you've thought in modern society, for example. When the Pompidou Centre was built in Paris, this is one of the thoughts when important cultural institutions were located in Barcelona, Bilbao, Gothenburg, Amsterdam and Sydney. To say that one should build an opera just for opera is to reduce the importance of art and culture in society. What just makes art and culture live is that it needs to be on society, it's transcendent with the usual notions. An opera in Bjørvika will just be surpassing, surpassing in the sense that it will be a creative element in a social development. A new opera in Bjørvika will not only stand there as a monumental building, but also appear as a symbol of the importance of art and culture for social development. What is most important in the two settings presented today, the opera-built or the Bjørvik traffic and development solution, can be discussed, but fortunately we do not have to have a historical review of it. I will nevertheless try an assumption by claiming that a future Bjørvika would not be the same without the Opera, and a future opera in Bjørvika would not be the same without a lower tunnel and solving traffic conditions. In view of the major discussions and the relatively large conflicts that lie behind us, I think we can congratulate the Opera itself, the Government and the Grand Duchy on the broad political consensus that is now being demonstrated in relation to these two projects, projects that in the years to come will interact with each other and give each other a positive boost in further development.
ParlaMint-NO_2002-06-17-2.ana.ud761e612	Over 100 years have passed since Edvard Grieg spoke about the importance of Norway and Oslo getting their own opera. Already during the Union resolution, a national opera building was planned. It's really a small tragedy, not to say a comical operetta show, that we were going to leave the 1900s without an opera building in place. But now, finally, the plans have to be realized. Norway will end up as a different country in this area. Both Denmark and Finland have great national operas, Sweden even has two. And now the Norwegian people are going to have a national opera, and they certainly deserve it. I will give tribute to the case rapporteur for a thorough and good job with the opera message, and I fully agree with his presentation of the majority position, of which the Right is part, so I shall not repeat it. This is an important and distressing day for Norway as a cultural nation. I am very pleased that it is a broad majority to build a new opera. On the other hand, the Progress Party has once again chosen to stand on the outside, and they are clearly also in favour of the majority of the Norwegian people. Now it is the turn of opera and ballet art to get a significant boost, and I want to take the opportunity to congratulate the Norwegian Opera on the day. At the same time, I want to commend everyone who works at the Opera for having managed to maintain such a high level of commitment despite the poor framework conditions of opera and ballet art. It is impressive that they have the power to maintain such a high artistic quality and an international level. With the physical environment and conditions under which the employees of the Norwegian Opera work, it is a pleasure. And not least, I would like to congratulate all cultural and opera-interested people in Norway, and there are many of them. A survey conducted on behalf of the Norwegian Opera, which was published a week ago, shows that people from all over the country say yes to a new opera. And not enough of that, but it's almost a popular requirement that the opera house should be a magnificent building. According to an interview with the representative Karin Woldseth on the NRK's website on 31 May, the Progress Party is «very surprised» about this result, yes, they believe the result is «arousing» in relation to the positions of the Advance Party. Yeah, that's enough. But now, fortunately, the positions of the Progress Party are not the most important, but the fact that the majority of the Norwegian people want an opera. The survey also shows that people from all parts of the country, both women and men, from all income groups and educational groups, believe that we need a national opera. It's joyous, and it takes once and for all the life of the Progress Party's claim that opera is just a fine culture for a few interested in Oslogryta and in Akershus. For the right, the study is not surprising. The reality is that it is a huge – and increasing – interest in music drama and music theaters all over the country. Beyond a few hundred thousand saw and heard well over 100 performances in the Opera last year. The coating is on a total of 84 pst. The regional operas play for full houses. Last year the Riksopera traveled around the country with 23 opera and ballet performances to twelve different cities, and the Riksopera is engaged in Ringsaker, Nordfjordeid and Kristiansund. So the study fits well with reality. In an interview in the newspaper ‘Fremskritt’, the representative Woldseth from the Progress Party presents the new opera building as ‘the project of the madness’, a mackwork and a scandal project that should be scrapped. She exaggerates costs and is very approximate to numbers, and skips what is involved in price increases. She further claims that a new opera “will have disastrous consequences for cultural life in the districts”. Where in the world did she get that? This is pure imagination! That must be documented by the Progress Party. And I would challenge Mr Woldseth's representative to elaborate on these statements, which I believe are the common position of the Progress Party, because they are not in touch. It's almost that you can wonder if we're dealing with the same thing. No, it is not the Opera that is a scandal, but the Cultural Policy of the Advancement Party! The new opera house should be an important symbol of what we represent as a modern nation, and not least what place culture should have in our society. A national opera is the last of the big institutions we're missing. I am quite sure that the opera in Oslo will have significant ring-effects and become an important driving force for the development of opera and dance throughout the country, yes, for the whole of Culture Norway. In the previous opera projects, the construction of the house was linked to the development of a national plan for the production and dissemination of opera and ballet in Norway. The Ministry has proposed a substantial redeployment of the work on this plan in relation to the decision on enlargement and aims to present it in the Culture Communication presented in the new year 2003. It's a significant economic boost we're now taking. And it has been important for us to stress that this investment should not be at the expense of cultural activity in other areas or in other parts of the country. Overall, there will be more money for culture. I am very pleased with that. Former Minister of Culture Anne Enger Lahnstein presented to the Stortinget two opera stuffs. Now I could say a lot about Anne Enger Lahnstein's political function. That's not all I remember with equal joy. But in the opera business, she did an admirable job. As the rapporteur pointed out, the first operating matter was dealt with in 1998. The central government proposed to continue working on the plans for an opera on the West Railway. There was a broad majority in the Storting to build an opera, but they were unable to gather about a localization. It was due to the fact that the Progress Party would not vote, either primarily or subsidiaryly. In 1999, a new operasac with two localisation alternatives was promoted: the West Railway and the Bjørvika. Neither would the Progress Party vote for any of the options. In order to follow up the decision of the majority of the population to build the opera, the centre parties chose to vote for Bjørvika at the time after the option with the West Railway had fallen. Thus the choice of Bjørvika was a fact. The right was stuck on the West Railway that time. We thought that an opera on the West Railway would be both cheaper and easier to implement. But we respect, unlike the Advance Party, the desire of the majority of the population for an opera in Bjørvika. The fact that the most expensive option was chosen means that the Progress Party must take responsibility for it. They've deliberately headed for the most expensive option. If they had respected the wish of the majority of the population to build a new opera and voted for the Western Railway, the cheapest option would have been chosen. This is a fact that the Progress Party cannot unfold. The beauty of snow in Bjørvika will raise awareness far beyond Norway’s borders, and I am sure it will contribute to new growth and development across the region. In fact, we will have Europe's most modern opera houses. Well, 2.8 billion kroner is a lot of money. We all agree on that. But this is an investment for hundreds of years to come. And it's a wise investment, which I'm sure we'll eventually get back in diversity. Now the Opera is to be safely unloaded in the port of Bjørvika. The size has been given a good basis for taking a final decision. It's a great and exciting building that's about to travel. The snow sleet winning project is aesthetic and realistic. With this built Oslo will emerge with a completely new and beautiful profile towards the sea. There will be an important building block in the «Fjordbyen» and the realization of the vision of a city opening up to the fjord. Finally, I would like to express my great satisfaction at the fact that the Opera is now in port. And on September 20, 2008 we have to be ready to participate in the opening show!
ParlaMint-NO_2002-06-17-2.ana.ud761e663	We have to!
ParlaMint-NO_2002-06-17-2.ana.ud761e666	Now we almost just need the champagne and fireworks. I have to thank the representative from the Right for spending most of her contribution on saying and explaining what the Progress Party believes. Actually, I feel quite disrespectful about that. After all, for the next two hours we have to have an opera in two acts from the pulpit of the Storting, and this opera is going for the Progress Party in moll – a pure and cut tragedy from our stand. As the President is sure to understand, the Progress Party does not intend to let go of this matter without our having to make a sound statement as to what we think of this pompous project. It happens without any set-ups and costumes, but at least we will be told that this is a crazy waste of taxpayers' money on a project where we don't even know the final sum. There isn't any Seville shavings in the government, but it's so good to use the savings knife. In many places in this country, public poverty is very visible, and when, despite this, you spend money completely uncritically and at any price on a performance project like the Opera in Bjørvika, yes, you actually have to wonder what the real motives are. In the opera bag, I even think that Figaro would be envious, because the husband of the wedding of all parties except the Advance Party has been able to build an opera, it is rare to see. It will be exciting to see how soon the divorce comes when the final price tag comes on the table. It would have been tempting to wish for a magic flute, but I would not elaborate on what I would use it for. - Enough about that. However, I would like to point out once again that it is not at all the final bill we are dealing with here today – it is an estimate, and it is assumptions. That in this case there is a Document No. Eight proposals from the Progress Party to scrape the project are no surprise, because we firmly believe that this is a waste of public money. The bill has grown almost inconspicuously from SEK 1.8 billion to what we're going to approve today, NOK 3.2 billion, and then we're talking about just one building and one empty. In addition, I don't know how many billions of infrastructure upgrades around. How many hospitals, how many new schools and how much hospital equipment could we not have got for the same price? I get to say as one of our Oslo representatives: we have an opera, and it's on Youngstorget. It would have cost a fraction to rust it up, and with a little imagination and active architectural work, I think we could have gotten a much more reasonable opera where it is now. Then the representative spoke of Sjøli that I thought the result of this poll was «arousing». Yes, I thought it was eye-catching, but the representative Sjøli has obviously misunderstood very much, or she has read it the way she would like to read it. That's not what it said. What it said was that I thought it was alarming that so many people could believe it in relation to all the requests that the Progress Party receives, since we are the only party that has flagged that we are against this project. That's what I thought was alarming. It didn't match the percentage that we had received. By the way, did the president know that in the new opera building there are 220 pieces that won't really see what's going on on the stage? In the past, it was 640, but you've been able to get it down to 220. When asked about the ministry, you're told that this is working on, but that acoustics is the most important thing, not if people see the scene. I guess you're thinking that there's hardly ever any stuff in that room. So president, we're going to hope we won't be one of the 220 if we ever find the way to Bjørvika. The summary of the landfill proposal states that the opera house project in Bjørvika should ‘be a monumental building representing Norway at its best’. Yes, at least it represents Norway's politicians at their best in money use. I'm not Madama Butterfly, I'm not a widow either – and today I'm not happy at all when this scandalous project gets a majority. I will re-examine the proposals of the Progress Party, which is in the Inner East. S. No 235.
ParlaMint-NO_2002-06-17-2.ana.ud761e689	Karin S. Woldseth has taken up the suggestion she referred to. Also, the president is too champagne in cozy and eventful layers, but it won't be in the main hall.
ParlaMint-NO_2002-06-17-2.ana.ud761e694	I had not written anything about money in my post today, and had really not thought to say anything about it. But as you go out here, I want to come up with some considerations about money usage anyway. Now what does an opera actually cost? I guess it costs about the same as a frigate, if you get it cheap, or it costs the same thing as unexpected exceedances on the construction of five frigates. I think that when the frigates are parked – useless and rusted away – the opera house is so far in progress and adjusted. For my part, we could build five opera houses and buy one frigate, to see what a poor investment the frigates are. After planning, designing and discussing for a number of years, it finally seems that we are now ready to launch and implement the great cultural policy promise that the Opera in Bjørvika is supposed to be. For SV, it has always been important that this promise is something that many, not to say all, must come to terms with – whether living in Vardø or in Oslo, old or young, interested or not interested in the opera initially. Building an opera, placing it by the water in a new part of the city and equiping it with technical and creative creative and performing forces of the highest quality will have a symbolic and cultural value that will extend far beyond the actual and physical location of the Opera. But in order for us to be able to experience this impact and the value as something positive, which we all participate in, it is important that some assumptions are met, and then in particular there are two key assumptions I would like to point out: First of all, we have to bet nationally, and we have to promise nationally. If the Opera is to contribute to a nationwide cultural boost, it is important to involve the whole country as well. Secondly, the political will to make such a promise must be translated into a concrete effort on the artistic forces to initiate, inspire and motivate this promise. Artists, cultural workers and artists live as badly on the myth of air and love as all of us do, and therefore it is important that these be given the means and resources necessary to transform our ideas into realities. This means that the opera in Bjørvika should have the role and the ringing effects that we want, we must make sure that it is both soldering deep and fanned wide. In SV, we worked a long time to get the production, development and dissemination of opera and dance art started before the new opera building was completed, and not afterwards. You can't expect the opera house itself to be able to dissipate an enormous interest in these art forms just by standing there in all its beauty. Of course, it will be an important inspiration, but a key prerequisite for bringing up a nationwide exercise and experience in this area, will be that these cancers are already in swing. Then the development of the opera house and the development of the music drama and dance can play on the team and take mutual benefit and benefit from each other. So we have to make a difference between form and content, between house construction and the construction of stage art, that is. operate institution building in the proper sense of the word. Only in this way do we think it is possible to lay a solid foundation for anchoring a cultural and artistic boost in the whole population. We in SV are therefore pleased that the project National Plan for the Production and Distribution of Opera and Ballet in Norway has now been developed and sent to the Ministry of Culture for consultation. The aim of this project is precisely to lay the foundations for a national operating policy, where the Norwegian Opera will be a central player, but also where the development of the national, regional and district operas will take place at the same time as, and in step with, the construction of the new opera house. By creating such an overall plan and strategy for the production, development and dissemination of this stage art, which is aimed both at reaching new and broad audiences across the country, and at building on the local and artistic forces and on the interest that already exists in the local environments, SV sees as well a good basis for strengthening opera interest in Norway, and to underpin a more country-wide interest in this form of art and culture. So the strategy is: set wide! But this does not work without a thorough search. Some of the main keywords of the national plan are cooperation between professionals and amateurs and that the Norwegian Opera should be a resource and competence centre for the whole country, from which projects and actions with regional and local anchoring can benefit. But if this plan is to be put into practice, we also need to invest in the professional resources that amateurs and others will learn from. SV is therefore committed to making targeted efforts with resources and resources on the creative and performing artists operating in the theatre, orchestra and dance fields. Composers, librettists, dancers and dramatists must have a framework that opens up greater innovation of opera and ballet in Norway than has so far been the case. There must be room for the renewal of contemporary and contemporary music, while maintaining and developing old repertoire. This means that they have to write new works and introduce new versions, and that they have the opportunity to cooperate with and meet people from both our own country and the great foreign world. After all, it is all these forces that are going to contribute to and bear the great cultural policy promise that we all hope for. There are many who say that such a cultural policy boost that we go around dreaming about, just is it: a dream, an utopia. Most people aren't interested in opera, some say, and they're never going to be. Believe it? During the Committee's visit to Spain in the spring, we were lucky enough to visit Bilbao and the Guggenheim Museum. It's not an opera, it's a cultural building and a monumental building, as our opera seems to be. In conversation with the municipal authorities they informed that the resistance to the launch of the construction start of the house in Bilbao was enormous. They meant 94-95 pst. was against the construction and that only 5-6 pst. was positive. We did not receive any fresh polls. I don't think anyone needed it. The history and the role built for the city in development continue and today, most of us know. After all, based on the polls in Bilbao, it doesn't look bad for our opera. Yes, I have to admit that I myself was surprised at the numbers that were presented a few weeks ago, which showed that the entire 57 pst. the population will have a new and interesting opera house. And just as happy: the desire for a new opera comes from all parts of the country, all age groups, all income and education groups and both sexes. And not only do they want a new opera, they also think it should be of such a quality that it becomes a sight for the capital. The background to this positive attitude, I think, is that people have understood exactly what we are standing here and argue that the construction of a modern institution and an architectural innovation in the port pool in Oslo are something that will have positive ringing effects for everyone. A magnificent building in Oslo that houses an opera is, of course, a great building and an opera house, but the sum is probably more than that. Sometimes one plus one becomes more than two! People know the opera house in Sydney, they remember Guggenheim in Bilbao, and many have seen the new black diamond in Copenhagen. They therefore also understand that the value of such a new and different magnificent building will have not only nationwide but also long-term effects — far into Norwegian counties and small municipalities, far into the big world and far ahead. It's going to be noticed all over the country that this monumental building and this modern institution are going to travel. This is how the new Bjørvika opera will become an important contributor to joy, identity and community, not only locally and nationally but also globally, in a world where countries are increasingly seeking to act as national brands towards each other. In relation to tourism, international cooperation, trade agreements, etc. I think people think it's much better to be recognized by the symbol value of a striking opera than to be identified as a small, rich and sometimes selfish oil nation far up north. The opera house in Bjørvika will be built on lots of opportunities in our time, which will also provide a return in retrospect. That the opera house will be a gift to future generations, is no floss. Investing in the construction and development of a powerful and living opera and dance culture, and building a building for its glory, will give our descendants not only a historical witness of our time, but also a value base to build on. We in SV are therefore delighted to kick the earth, and to get started with the cultural and artistic entrepreneurship that lies ahead of us. And we look forward to the opening performance in the autumn of 2008.
