ParlaMint-NO_2002-02-06.ana.ud218e28	Magnar Lund Bergo will make a private proposal.
ParlaMint-NO_2002-02-06.ana.ud218e524	And I think it might be possible for us to get it this way. Here you have more considerations to take. What's in the Sem statement, of course, I'm completely in agreement, and I want to give Church more self-government than it has today, including. in relation to qualifications, etc. But at the same time, I ask for respect for the process that has to go in Regeninga and also in Church itself, and then we will eventually have to take a final stand. What is clear from the Government's side, however, is that the result we end up with will give the Church more self-reliant than it has today.
ParlaMint-NO_2002-02-06.ana.ud218e529	There will be follow-up questions – Øystein Djupedal.
ParlaMint-NO_2002-02-06.ana.ud218e532	The state church system is an anachronism. I think almost no one would have come up with a state church arrangement if you were to start anew today, so that it stands for fall over time, I think I'm raised above doubt. The Bakkevig Committee, which the Norwegian Church has put down, has now driven and evaluated this. What amazes me, and which is my challenge to the minister of the church, is this: why should we allow the church community to premise how this is going to happen? The fact that the Church has set up a body, the Bakkevig Committee, is in a way quite fine – one should be responsible for beliefs and a lot of other things that I'm not going to go into. But should not civil society, that is, the society we represent, take an initiative in terms of how we are to care for church goods, how we are to preserve the values of the Norwegian Church, how to organise membership and the many thousands of small and large practical issues for which civil society, that is to say, enlargement and government – we – are to take responsibility? We have to reduce a sample so that the Bakkevig committee alone can not add these premises. My challenge to the Minister of the Church is as follows: Should you not take an initiative on the part of the Government to set down such a selection, regardless of the time limit set by the Bakkevig Committee, the Church Council and the Bishops' Meeting for their work?
ParlaMint-NO_2002-02-06.ana.ud218e540	I said in a previous answer that I want to do that, and I want to review the church meeting in the fall. I think the debate in the Church is going to go further than that. However, it is quite clear that the ultimate responsibility of the Storting is to take a stand, but I think it is important that one should have the best possible basis before one should take a stand in the Storting. So we want to give Church some more time, and then after the church meeting in the fall put down a public selection. In the next round, the government is making proposals for the Storting, and the Storing is finally taking a stand.
ParlaMint-NO_2002-02-06.ana.ud218e546	Let's go to the last main question.
ParlaMint-NO_2002-02-06.ana.ud218e549	I have a question for the Minister of Fisheries. The requirement for increased taxation of marine mammals is now being raised with increasing weight in the fishing industry in view of the difficult situation of fishing resources. Fishermen within all groups of vessels are in agreement that the seal and whales are now taking the livelihood of the fishermen, that the fishermen have to pay the bill so that the authorities do not see the seriousness of the situation, and they claim that the stock is out of control. Calculations made by Fisheries Research in Tromsø indicate that whales and seals consume 5,6 million tonnes of fish and shellfish annually, and that is above twice what Norwegian fishermen take up from the sea. Does the Minister for Fisheries regard this situation as a danger to fishing resources, industry and the coast, and what is now done in this context?
ParlaMint-NO_2002-02-06.ana.ud218e554	Both the Minister of Fisheries and the Government are concerned with ecosystem management where the different species that graze on marine resources are seen in a context. That is why we are now fixing the number of whales to be taken in the season of the year. We have increased efforts to take out the number of coastlines that have been set as top numbers on a biological and professional basis, also considering that we want to have a sustainable coastal population. In the case of the East ice and the West ice, the number of animals to which the quota refers is taken out year by year in the West ice, while the East ice has been worse. We are now looking at how to maintain the competence to take out a fixed number of animals in the East and West ice.
ParlaMint-NO_2002-02-06.ana.ud218e561	I thank you for your answer. I guess it needs to be more lenient and more intense to correct this dramatic situation. And for that, there is a need for broad political consensus, and the Labour Party should be involved. Is it not time for us to bring our own big message on marine mammals, to focus on this important issue, and to reach a broad consensus on the necessary measures that need to be reasonably speedy?
ParlaMint-NO_2002-02-06.ana.ud218e570	I am grateful for the offer to reach a broad consensus on ecosystem management and fisheries management for the rest. It's also necessary, for the marine mammals, there's an opinion out there that we have to take into account. However, the main focus must be on sound ecosystem management, and it also includes the management of marine mammals. In the case of a potential spillage message, it is of the things that I consider, among other things. how we're going to put this into a larger context, but I don't want to be here and now – because I haven't come so far in the assessment – notify that it's coming. But at least it's not coming in the spring now.
ParlaMint-NO_2002-02-06.ana.ud218e577	The time for the oral question procedure is running out, and we're going over to the ordinary question procedure.
ParlaMint-NO_2002-02-06.ana.ud218e582	There will be a number of changes in the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative of Julie Christiansen to the Minister for Foreign Affairs, is postponed until the next Question Time, when the Minister for Foreign Affairs has left. Question 2, from the representative of Marit Nybakk to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs, who has been away. At the request of the Minister for Development, this question is moved and answered in front of question 11. Question 4, from the representative Svein Roald Hansen to the Minister for Agriculture, will be answered by the Minister for Culture and the Church who directs him. Question 12, from the representative Karita Bekkemelm Orheim to the Minister for Children and Family Affairs, will be taken up by the representative Oddbjørg Ausdal Starrfelt. Question 13, from the representative André Kvakkestad to the Minister for Education and Research, has been transferred to the Minister for Health who is directing him. At the request of the Minister of Health, this question is moved and answered in response to question 10, to be answered by the same Council of State. Questions 20 and 22, from the representatives of Thore A. Nistad and Sigbjørn Molvik respectively to the Minister for Transport, are postponed to the next Question Time when the Council of State has left. Questions 21 and 23, from the representatives of Inge Ryan and Per Roald Bredvold, respectively, to the Minister for Transport, will be answered by the Minister for Fisheries on behalf of the Minister for Transport, who has left. Question 25, from Mr Trond Giske's representative to the Minister for Defence, lapses.
ParlaMint-NO_2002-02-06.ana.ud218e616	This question has been postponed until the next Question Time, when the Minister for Foreign Affairs has left. Question 2 has been moved and is to be answered in advance of question 11. Question 3 is from the representative of Mr Rudihagen to the Minister for Finance. The questioner is not present in the room, so we move on to question 4.
ParlaMint-NO_2002-02-06.ana.ud218e627	This question, from the representative Svein Roald Hansen to the Minister of Agriculture, will be answered by the Minister of Culture and the Church who directs him.
ParlaMint-NO_2002-02-06.ana.ud218e630	I allow myself to ask the following questions to the Minister of Culture and the Church: ‘Since the new law on Santa Claus came into force from the New Year, homeowners attaching land by Statskog in Lande in Sarpsborg have been increased from 484 kroner to 8,459 kroner per year. There are a total of 340 homeowners partying empty of State Forest in Lande. Does the Council of State consider it an exemplary treatment of landowners that State forest exploits the possibilities offered by the new law to increase the party fee 17 times from one year to the next, thereby adding a guide that private landowners can also refer to?’
ParlaMint-NO_2002-02-06.ana.ud218e639	The regulation of the fastening charge to which the representative refers shall apply to land of which the information service fund is the owner. Compared to the party contracts that apply to the fund's property, State Forest is responsible for the regulation of the fixed fee. This does Statskog on behalf of the fund. The information society's fund, which is similar to a foundation, five on money capital and equity, includes about 12,000 real estate properties. Until 1 January 2001, the fund was managed in the department. As of 1 January 2001, a special management body, with its own board, was set up to manage the fund in accordance with the rules governing the management of the fund. I mention this because it follows from the management system recently established for the Fund that the management role of the Ministry is to define the principles and to govern the policies under which the Board of Directors is to manage the Fund. These guidelines were discussed the last time in Stortinget a year ago, in the context of the management of the Kyrkja Business Report, as the Stoltenberg Government presented. In the message, there was a thorough mention of the Information Society's fund and of the principles that apply to the management of the Fund. An important aspect of this is that the fund should be managed on a commercial basis, i.e.: the management of buildings, forest and agricultural property and land that has been laid down away shall be carried out in a commercially defence manner. In most cases it will therefore be the market value of the property that determines the level of prices or charges, which the department, the board of the fund and Statskog must base. In general, I believe that the fund at the hall or in regulating the party fees should not be available on the market. I don't know the specific case from Sarpsborg. Therefore, I cannot comment on whether the increase in the fixation fee to which the representative refers is in spite of the price development or the market value in the area. Moreover, what is the correct market value could be the subject of discussion. If the individual claims that the fixation fee is too high in relation to the market value of the land, the attachment may require a legal understanding. It may also be appropriate to re-tariff the land or the land area. I have no reason to instruct the board of directors of the fund to do something concrete in the matter to which the representative refers, but I still want to inform the board of directors about the matter and whether what I have said in the reply here today. The board must then assess whether there is a reason to re-assess the attachment fee in the area in question.
ParlaMint-NO_2002-02-06.ana.ud218e650	I thank you for the answer and interpret it positively, so that the Council of State will follow up with the board and see if there is any basis for making a change. The previous government took an initiative and sent a proposal for a new law on land consolidation to be consulted. I am aware that the then state councils were contacted, both for the State Forest and the Information Service Fund, with a view to whether they could be held back from making the adjustments until the new law was, if any, assessed. Then we know that there was a change of government, and also that a proposal from the Workers' Party here in the Chamber to postpone implementation fell. But I am pleased that the Council of State will follow up with the Board of Directors, and hope that it can also give signals that state owners of land, even though they have the task of managing capital in the best possible way, may be somewhat reluctant to make such an exciting jump. I would think that many private owners would use it as an argument that they would also do the same thing.
ParlaMint-NO_2002-02-06.ana.ud218e657	I have nothing else to add but that I want to take it up with the board. But I stress that there is no right of instruction to the board. It is up to the actors here, if necessary, to appeal or to the board itself to re-open the case.
ParlaMint-NO_2002-02-06.ana.ud218e662	Then we go back to question 3, from the representative of Torstein Rudihagen to the Minister of Finance.
ParlaMint-NO_2002-02-06.ana.ud218e669	I have the following questions for the Minister of Finance: ‘The issues dealt with in the equations are partly complex and require a lot of judgement. If the subject of the equation is to review the decision of the Equation Agency, the reasons for the change must be legal. What can the Council of State do to ensure that elected members of the Equations Council receive the training necessary to perform their duties?’
ParlaMint-NO_2002-02-06.ana.ud218e678	I thank you for a timely and timely question. The background may be described as follows: Tax collectors are entitled to review the equation when they disagree with the decision of the Equation Office. This is a long tradition in Norway, and it is a long tradition for this to happen in a elected body. It is historically and democratically anchored in the idea that the people themselves, not the King, would impose the tax. Such democratic control is considered to be an important guarantee of legal certainty. In many issues of the equation, members with legal or accounting competence are appointed, but there are no special qualifications required by law. However, the preparatory work of the Equation Act refers to the fact that the names should be composed of qualified persons with an understanding of the main industries and professions in the district. It is considered important that the name is given such a composition and that it has good prerequisites for assessing the actual basis of matters within the municipality. At the same time, the members of the denominator often do not have any specific prerequisites for resolving legal questions of interpretation or other tax law issues. The starting point here is that the Equation Office will explain the legal issues involved in the preparation of the case. The equation manager has the right to meet in the equation subject, and if the name calls him, he has the duty to meet. The task of one of the heads of the equation is to explain legal issues and answer questions from the denominator. Thus, it cannot be assumed that the members of the denominator are to deal with complex legal issues on their own. Some training should, in any case, happen, and I have been informed by the Tax Directorate that they have just taken action to improve the training of their members. The current guidance for the members of the equation topic is now being revised. In this context, the types of information needed in addition to that already provided in the guidance are identified. The Tax Directorate will also contact the County Tax Offices on standardisation of the arrangements for the training of members of the Board of Directors. Such information will be provided in conjunction with collections of the names when appointed. The Directorate stresses that representatives of the Equation Office should provide tax law training adapted to the needs of the denominator. In addition, it is intended that the members of the denominator shall receive each of their copies of the Tax Directorate's Equations-ABC. The Directorate is also working on creating a new decision-making template for the EQs. The model shall focus on the need for an easy understanding of decisions and justifications. This will probably also facilitate the work of the members of the denominators in getting involved and taking a position on the complaints. Finally, I would like to mention that local measures work at the same time as central action. To some extent, it is therefore up to local Equation Offices and denominators to design appropriate forms of work and training.
ParlaMint-NO_2002-02-06.ana.ud218e695	I thank you for your answer. I found it positive that the Council of State and the Directorate of Taxation are now focusing on this problem. It is right, as the Council of State says, that the trade union has such a clear role to play in this, but if the democratic element that is referred to is to have some meaning, the members have to take decisions on the basis of the material that is leading. The challenge here is that one has popular equality students of playwrights who are just going to exercise a judgement, but that judgement is going to be based on a rather complicated piece of legislation. The members of this group must feel inconsequentially uncomfortable about having to make important decisions for people without necessary training and schooling. Vara member of the equation study in Lørenskog, Aslam Ahsan, has been updated and made visible through the media the situation in which the members of the label are. He refused to be involved in and treat 28 parables at a meeting on the subject of equations without any training and understanding of the laws and regulations in force in the field. As far as I am concerned, there were 266 pages of text that had to be read in three working days. I assume that the Council of State agrees that there is an unsustainable situation.
ParlaMint-NO_2002-02-06.ana.ud218e704	The Council of State agrees with what was written in the paper on the matter in question. I would like to add that in advance this member, like everyone else, had received a general guide. It is possible that this guide is not good enough, so I also said in my reply that the types of information needed in relation to the members of the denominator will be identified. In other words, you should now not only send out new information as the Tax Directorate sees the need, but also as users see the need. As for the short time to get involved in matters, the individual is of course free of charge in relation to how long they will send out matters in advance. But I agree with the questioner that it must be a minimum requirement that you get proper time and opportunity to get involved in matters, both in time and in training.
ParlaMint-NO_2002-02-06.ana.ud218e711	I would like to thank the Council of State for attending when this is the case. What I'm aware of is that there's an information booklet that consists of 29 pages to give some kind of basic introduction. But based on the responsibility of this denominator, it's hardly enough. They must, of course, take care of the interests of taxpayers and be a guarantee of legal certainty, which was also covered by the Council of State. At the same time, of course, they must also be the representatives of tax authorities and ensure that taxes are offset by the laws. There are probably many notables who feel that it is almost immoral and irresponsible to deal with matters of such a serious nature without more extensive training that provide basic insight into the field of action. I therefore hope that the Council of State, which he is now signalling, will follow this up.
ParlaMint-NO_2002-02-06.ana.ud218e716	That's what the Council of State will do. I have pointed out that it is not only the 29 pages of written information that are taken into account, but also collections for the members of the equality students and, in addition, training on the part of the equality offices in relation to the denominators. In conclusion, I would just like to stress that it is often in the situation of politicians, also locally, that the space for action provided by the law is not unlimited, but that there are certain discretions, and then it is important to know within which framework you can act under the applicable law, which both asks and answers agree is too complicated.
ParlaMint-NO_2002-02-06.ana.ud218e723	Then we go to question 5.
ParlaMint-NO_2002-02-06.ana.ud218e731	‘Hustad clay, the Civil Protection Pre-School, has been adopted without prior notification of the school’s evaluation and without any conference at all. The preschool has built up a unique competence that will now disappear, and the guardians lose an offer that is more important than ever, namely how to resolve conflicts by non-violent means. How will the Council of State explain such a decision, and how will qualitatively better training be ensured in the future?’
ParlaMint-NO_2002-02-06.ana.ud218e738	The boarding school of the civil guardians of Hustad was proposed in St.prp. No 1 for 2001-2002, submitted by the Government of Stoltenberg and followed up by the Government of Bondevik. The proposal was adopted by a broad majority in Stortinget. To me, there are three things that are important in this matter. We must ensure that the defence of all parts of the country is treated equally. We're going to make sure that the money is spent in the best possible way, and we're going to have a high-quality education in violence prevention. The Hustad boarding school means a four-week stay for civil guardians from the northernmost counties and from the western part of the country. Protective persons from the East are not covered by such training, which in itself is problematic. In addition, it has been shown that the school has not been able to provide education that is generally service-ready, because civil guardians are given up to a wide variety of service assignments. The Ministry therefore announced in St.meld. No 22 for 1995-1996 an assessment of the future scope and function of preschool. The Storting gave its support to this. The school staff were also informed about this. In addition, employees were informed in connection with the presentation of St.prp. No 1 October 2001. A relevant issue in this context is that boarding school education consumes too much of the few resources we have in the community sector. School education is itself an expensive form of education. At the same time, there is a line of civil guardians waiting to serve their duty of protection. The means we save by shutting down the boarding school will be used to cut the queue, so that the civil guardians can do their service to the greatest extent possible at the same time as their peers in the Defence. Secondly, under the direction of the Ministry of Justice, a new instruction system for the violence-prevention service at Hustad is to be developed. The teaching shall be based on short courses and seminars aimed directly at the civil guardians who are actually required to provide violence prevention services. The experience from the East, where the Civil Service Administration of Dillingøy has established the successful ‘Bypass’ violent prevention project, shows that this form of teaching can provide a qualitatively good service for preventing violence. Central school staff will continue their work in the field of violence and conflict prevention, which will be valuable in the design and implementation of the future educational system for this service sector.
ParlaMint-NO_2002-02-06.ana.ud218e755	I have a very strong understanding of the frustration of the employees at Hustad camp that they feel that they have not been included in this process. I think it would have been more tidy if this had not been promoted as a budget proposal, and that we had the opportunity to have a debate on the future of this school. I feel in a way that it is sad that no one can be informed in advance of such a dramatic proposal, which was unfortunately also adopted. I would like the Council of State to think again and carry out an evaluation and then come back to this in the revised national budget.
ParlaMint-NO_2002-02-06.ana.ud218e760	Now it is a fact that the matter has already been dealt with by the Stortinget and has been endorsed by a broad majority. It is also the case that the evaluation was expressed in the Ministry of Justice’s budget proposal. When the matter is the subject of political discussion within the framework of the State budget, there are certain specific restrictions on the publication of the proposal. The employees were therefore informed at the earliest possible time. But I have underlined, and I would like to repeat, that we are concerned with maintaining important competences. Therefore, both the principal and the library, including the librarian, will be kept at Hustad. This means that the redundancies at Hustad affect eight of the 11 jobs in total, while there are already 40 posts at the administration that are continuing. It is precisely the competence we have that will be used to ensure the quality of the experience I described in the Bypass project, which is part of the Dillingøy administration.
ParlaMint-NO_2002-02-06.ana.ud218e765	The civil guardians aren't the ones who over the years have gotten the most money, and I think it's a pity that economic arguments are used to put the preschool down, because that's what I think is the most heavy argument used by the ministry. Yesterday, VG said that 75 000 students were subjected to bullying in the Norwegian school. A very important part of the work at the preschool and the VOCT line has been to prepare young men who are there for non-violence reasons and who can do important work in schools to prevent bullying. In addition, I believe it is particularly relevant in these days to work on a non-violent level and to resolve conflicts at a non-violent level. I'm excited about what comes from alternative teaching arrangements for this group. I hope that the Department will be able to maintain the competence that is now built up, and to get a proper school structure in terms of anti- bullying measures and non-violent measures.
ParlaMint-NO_2002-02-06.ana.ud218e774	We maintain the competence of Hustad. I have mentioned both the principal and the library, and we want to take with us experiences from Dillingøy, which have just been expressed in the Bypass project, and which I also know from my previous life as both a Oslo citizen and as a staging representative for Oslo. That is exactly the kind of experience we want to bring with us, because we think they are very useful. I agree with the representative that all good forces, including civil servants, will be allowed to participate in the work outlined here, namely to prevent violence.
ParlaMint-NO_2002-02-06.ana.ud218e782	‘The staff of the Court of Justice are informed of the staffing situation of the institution. Still, there are only two night guards to look after 108 prisoners. Does the Council of State consider this to be sufficient manning?’
ParlaMint-NO_2002-02-06.ana.ud218e789	Criminal services have 57 different holdings consisting of prisons, play areas and transitional dwellings with very different levels of security and regimes. In addition to these 57, a number of health services offices come with sub-offices. Prior to the insertion of a person sentenced to unconditional prison sentence for trial, an assessment of the place of detention shall be made. The assessment takes place on the basis of the applicable rules, where factors such as type of offence, length of judgment, possible past criminal offences, personal circumstances, security, etc. counter. Based on the failure statistics, it is clear that there are consistently good assessments before anyone is given housing in an open school. Prisons of the type represented by the Court have traditionally received persons convicted of infringements of the Road Traffic Act, including per-mile and exceedance of speed. In recent years, prisons have also received short-term referees convicted of other types of offences, including criminal offences. infringement of the pharmaceutical law. The average sentence length is one month and three weeks. The average cover at the Court has been 67 pst in recent years. of ordinary housing capacity, i.e. 72 prisoners. Last year, the number increased slightly to 78 pst. This corresponds to an average of 85 prisoners. This also indicates that a strong selection is made in order not to challenge the level of safety. Press on closed sites in the region has sometimes resulted in prison management having to transfer prisoners from high-security prisons to the Court of Justice. In most cases, this has not resulted in special problems for prisons. In the event of problems, prisons are trying to transfer prisoners to other prisons with a higher level of security. The total number of prison posts is 36. Most of the staff are in prison or craft education. Assuming that the Hof prison can continue to receive the type of prisoners they have received so far, I find it safe and secure with today's night shift at Hof.
ParlaMint-NO_2002-02-06.ana.ud218e800	I thank the Council of State for the answer. I'm aware that there's a selection going on, and that it's a different clientele than what Hof prison was built for. But you can imagine extraordinary situations, for example. in case of disease and fire. Then I think two people are small. However, I cannot see that there are guidelines on how many employees there should be on a certain number of prisoners in the different categories of prison. Could the Council of State plan to take initiatives to establish such guidelines?
ParlaMint-NO_2002-02-06.ana.ud218e807	A continuous assessment of both resolution needs and security needs, for which criminal services are responsible and which are below the six regions is carried out. Let us see, for example: in the context of institutions such as Ilseng, Hof, Sandeid and Verdal, it will be noted that the crew is about the same. It is based on the fact that, within the overall criminal justice system, we have to make a very thorough assessment of who ends there. Based on this and based on the experiences we have, I now want to stick to the way you work with these questions. I trust the discretion that is exercised locally. I also have to add: I met with people in prison, at the latest yesterday in Kristiansand, experienced that these are very motivated and good people who also have a significant ability to solve practical challenges and cooperate with other agencies. So with regard to the question of the manning situation at Hof, as I have previously answered, I feel that the level of safety is sufficient, and I will govern according to the staffing rules and rules that we have done so far.
ParlaMint-NO_2002-02-06.ana.ud218e815	I will ask the Minister of Justice the following questions: ‘The drug problem is major in Arendal. Many parents are brought to the brink of collapse when they discover that their children have come into contact with drugs. Access to drugs should be the least problem in Arendal. From different sources, the information is that some immigrant communities represent a significant part of the trafficking of such illicit substances in Arendal. This is alarming information. What is the Council of State’s view on this situation?’
ParlaMint-NO_2002-02-06.ana.ud218e824	Like elsewhere in the country, the drug problem in Arendal is worrying. The police department, however, informs us that Arendal does not stand out in particular compared to other cities in the country. The reported drug crime is relatively similar to the national average per year. 1 000 inhabitants. However, the Arendal area is exposed to, including: near the location of Kristiansand and port links to the continent. In Arendal, it has been seen as an appropriate strategy to upset and ‘stress’ the addictive environment. The aim is to mitigate the spread of drugs and prevent recruitment into the environment. This initiative has given the police an in-depth knowledge of the people, trends and environments involved. Uniform police are used to a greater extent than before. The police directorate has been informed by the Agder police district that the Arendal police have no evidence of the claim that some immigrant communities account for a significant proportion of the drug trafficking in the district. The Agder police follow developments closely, and I am confident that the fight against drugs in Arendal is a high priority – both in terms of prevention and the follow-up to criminal offences. In any case, the overall picture is worrying. There are clear indications of negative developments in the relation of youth groups to drugs. Both in Arendal and the country, police record that youth often devalues their relationship with drug use. In view of these trends and the major social and health damage caused by drug use, the Government has recently set up a State Secretarial Committee to provide, within a short period of time, actions in key areas to strengthen its efforts to combat drug use. In the government’s view, the fight against drugs must be combated on two fronts at the same time – we must prevent access to drugs and we must stop the recruitment of new drugs. In line with the government’s commitment to children and young people, we will strengthen the overall, preventive effort to prevent new recruitment. In this context, prevention and awareness-raising police work will be a high priority, as will be seen in the action plan on drugs, which the Police Directorate will have completed by March 2002. It is important that worried parents meet local police. I would therefore like all parents in high school, preferably 8th grade, to be able to obtain information at a joint meeting on the local drug situation and on the role that parents can play in preventing drug abuse.
ParlaMint-NO_2002-02-06.ana.ud218e844	I thank the Council of State for the answer. The background for me to address this matter is among other things. enquiries by more and more dubious parents from Agder who simply no longer take over their children's drug abuse. It often makes a strong impression on me to get so close to the tragedies that occur in the wake of the fact that both Arendal and the whole country are now formally flooding with drugs. I think it's being done too little to stop the availability. As a result, more and more young people and Norwegian families are having their lives ruined. Isn't it time to bet on taking the backers, those who really profit from the misery of others in this context?
ParlaMint-NO_2002-02-06.ana.ud218e851	Both the representative and I share the concern about what parents here experience. I've met it personally. I know how it feels. That's why I stressed so strongly that you had to get into school to provide information, so that parents can be mobilised to do what they can. Then, of course, the representative is turning the spotlight on the police and especially on the backers. The unit called Catch, which is just about to go after the backers of organized crime, has now been launched. Yesterday, when visiting the Agder police district, I received confirmation that the district is very busy going after the backers in terms of drug trafficking. There's no doubt that we find these backers represented in the Kosovar Albanian environment. There is no reason to hide, no reason to wrap. That's the way it is. But it is my impression that the police have put pressure on these groups, that they have reached far in their work, and that they prioritise it. I think it is positive to be able to say that, because at this point, the representative and the undersigned, who are to express the Government's view, share the same view of both what has to be preventive and what has to be done to combat the problem by taking the backers.
ParlaMint-NO_2002-02-06.ana.ud218e858	I thank you for the answer, but I believe that we in this country have been too passive for too long in our relationship with combating criminal foreign environments, immigrant communities, which we know are dealing with almost all drug trafficking and illegal imports in Norway. These immigrant-dominated criminal environments are a major challenge. Here in Norway, I do not think we have yet understood how well organized and dangerous these backers are in the illicit drug trade. It is too bad that many of the fears of being accused of spreading xenophobia and racism are being held back by pointing out the negative role of immigrants as such in this context. My question is: shouldn't it be the case, in terms of negative things we can relate to immigrant environments, that there is fear of being accused of spreading racism and xenophobia, let alone take part in that debate?
ParlaMint-NO_2002-02-06.ana.ud218e865	Let me put it in Norwegian, which I have done in the past, both as a staging representative and as a state councillor: a bastard is a bastard completely independent of skin color and background. I have never hidden the fact that in Kosovo Albanian environments we find some of the core elements of drug trafficking. But for that reason, we can't say that's true for everyone. It's a limited group. Of course, this demarcated group of citizens who abuse the confidence of citizens with both a Kosovar Albanian background and a different background must be combated by all the means available to the police. That's why I was extremely involved in my last term as Minister of Justice in order to get exceptional investigation methods for the police, and I know that the police now benefit from these methods in Agder. I can assure the representative that this is something I will follow closely, for I share his concern for Arendal and Arendal's connection to Kristiansand and the gateway to the continent. But a nice message to the representative is what we're going to do by meeting the parents in 8th grade, because I think it's important to take the parents' concerns seriously so that they join us in the fight against this.
ParlaMint-NO_2002-02-06.ana.ud218e875	I allow myself to ask the Minister for Health the following questions: ‘In the context of the treatment by the Storting of the state acquisition of the hospitals, both the Social Committee and the Municipal Committee expressed the need to provide for a sound and orderly settlement by the State in order to avoid any dispute in the judiciary. Very many municipalities have not reached an agreement with the State, for example: in the transfer of dwellings. Of the results available, the counties do not appear to be treated equally. What is done to meet the Storing assumptions for settlement?’»
ParlaMint-NO_2002-02-06.ana.ud218e884	Whereas it has been stressed by the State to conduct real discussions with the counties with a view to reaching as much agreement as possible on the understanding of the application of the health business law and the criteria of the law as regards the ownership of individual properties; However, at the end of the seventh, this process involves the application of law by the country, and all solutions must therefore be compatible with the Health Business Act § 52 paragraph. 6th@item: inlistbox The discussions have been demanding, and there has been a substantial lack of principle between the parties, where, in the view of the department, the county councils have laid the foundations for a narrow definition of what is to be transferred. However, as far as it has been compatible with the Health Entrepreneurship Act, the Ministry has shown a liberal judgement in which in many cases one has gone a long way in meeting the views of the counties. There has been an agreement in the discussions on approx. 95 pst. of non-residential properties. The agreement includes, inter alia: the vast majority of properties related to hospital operations and patient care themselves. With five counties there is no dispute over specific properties. Non-residents include disputes in the first series of pharmacies, some patient educational buildings and some property that counties believe will be withdrawn from the use of the specialist health service in the future. In the case of dwellings, the discussions reached agreement with eight counties. The result of the discussion implies that the specialist health services in these counties mainly take over the rights of approx. 70-90 pst. of the housing stock, on average approx. 80 pst. The system of the law presupposes that one assumes the actual situation of the individual county at the turn of the year and that the county councils have adapted differently with regard to the size and composition of the property stock. I also stress that for those states where there is a discussion result with agreement on e.g. dwellings are agreed between the department and the county concerned. Furthermore, discussions have taken place in such a way that the counties have had a good understanding of the solutions established for the other counties. On this basis, I believe that there has been an orderly process on the part of the state, where there has been an emphasis on safeguarding the assumptions of the Storting. Nor can I see that the county councils have been subjected to indiscriminate discrimination. It has always been provided that one should be able to use a denominator to clarify the remaining disagreements. In this context, I recall that the general rule of the Health Business Act implies that county-owned properties associated with the specialist health service at the turn of the year are to be transferred, in order to ensure the access of the specialist health service to the inputs that the county authorities themselves have considered necessary to carry out the same activity. When, for example: to the extent that no agreement has been reached with 11 out of 19 county municipalities on housing, it is related to the fact that in the discussions they indicated that they would not transfer without delay any housing, possibly too low a proportion of the dwellings. Let me then end by stressing that although there is a result of the discussions before the end of the year that involves some disagreement, I am open to a supplementary dialogue with the county councils to resolve remaining disagreements, both before the signing of the protocols and towards any consideration of remaining disagreements.
ParlaMint-NO_2002-02-06.ana.ud218e907	I thank the Council of State for the answer. I note that the Minister of Health believes in his reply that the State has led a long way in discussing the county authorities' properties and taken over them in accordance with the leadership that Stortinget has attached to the legal text. However, after the information I have received, I cannot fail to point out that I, as the rapporteur of the case, like the Stortinget, was very concerned that this acquisition had to be done without any dispute in the legal system. One might get the impression that the level of conflict is well high, especially in housing and perhaps educational buildings. It was a pleasure to hear that the Council of State at least suggested a round number. 2nd@item: inlistbox My supplementary question is: is it so to understand that the Council of State is willing to go a round with the county municipalities that have now announced a dispute over the acquisition of special dwellings, but perhaps also educational buildings and possibly some other buildings that I do not want to go into here?
ParlaMint-NO_2002-02-06.ana.ud218e916	Let me stress that I don't just mean to have followed the Storting's assumptions, I think I've followed the Storing's assumptions. I must remind you that the decisions taken by the Stortinget and the timetable envisaged by the Stortinget for the implementation of the hospital reform made very great demands on all actors in this picture, including the county municipalities. It is not surprising, therefore, that this process has been demanding and partly influenced by differences in vision and direct conflicts. However, I fully agree with the representative of Kristoffersen that it is an objective to avoid many disputes in the judiciary. That is why I confirm that I am open to a supplementary dialogue with county councils who want to do so, before we finally decide which matters need to be sent to a committee. That is, of course, the mechanism envisaged by the Storting in the clarification process.
