ParlaMint-NO_2002-06-18.ana.ud2644e82	The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2002-06-18.ana.ud2644e497	There is a lot of good in the setting that you want to wrap around. There is a common desire from everyone to reduce climate change. When Onarheim said instead that what the industry had done was very good, and that they had to get the opportunity to go on reducing emissions, I totally agree with that. But when the same Onarheim says to today's business yesterday that the industry now needs to be trained in quota trading, I disagree with that. What industry needs, of course, is to reduce emissions, but it must be done in such a way that our industry, which is most environmentally friendly, which produces the most environmentally friendly of all, can survive. Because no one is interested in the disappearance of the industry we have today. Then it's not enough to name Nordzink, because it's not the ones that will be framed in Odda, it's actually Tinfos. The process industry is, of course, very busy with quotas, but very disagreed with what the government says. The dialogue with industry should have been in the forefront and not after the decision has been taken in the Storting. When the information director of PIL says that there might be no allowance trading until 2008, because buying allowances could be more expensive than paying a fee, nothing has been achieved. If the industry can buy out of this by paying a fee that is set so low that they don't do anything to reduce their emissions, it doesn't make it clear that you're busy with getting the industry to reduce emissions. Right has always been, like the Workers' Party, the concern that we should have an industry for which demands must be made. But this is the wrong way to go. The dialogue with industry must come about before the decision is taken. Otherwise, they can pay off. So the question to the right is, what do they do?
ParlaMint-NO_2002-06-18.ana.ud2644e513	We are not at all in disagreement with the fact that the process industry in Norway is probably the most environmentally friendly in the world. Clearly, compared to climate emissions, we have nothing to do with exporting jobs with strict environmental requirements in Norway to other parts of the world with less stringent environmental requirements. That's why we're just concerned about ensuring future competitiveness for this part of the industry. We also believe that this industry must be able to survive. The representative asks if there will be a trading of allowances. The quota system is being put in place, and it could in itself encourage trading in quotas. But just as important in this training period, if we look at it with the quotas, the other mechanisms are on development projects in the Third World. So the training effect on business will go on more than just quota trading. It will also focus on using the other Kyoto mechanisms. It is important for industry to be in advance when the Kyoto period comes into force from 2008.
ParlaMint-NO_2002-06-18.ana.ud2644e520	After listening to Ranveig Frøiland's reply, I have actually become even more confused as to what the Workers' Party really believes in this matter. But now leave it. Climate policy exacerbates the framework conditions for the Norwegian process industry. Nordland County did a meeting on the 10th. 13th. This year, on a proposal from the Right, the following unanimous decision: ‘Climate policy is exacerbating the framework conditions for Norwegian industry’. The Workers' Party has also participated in the decision. The Center Party has also been involved in the decision. The Labour Party has also had its own proposals that go in the same direction. What they are concerned about is distortions of competition and the fact that the process industry is getting worse framework conditions than competitors in other countries. My question to Siri A. Meling is: why does the Right also choose in this matter to overrun the wishes of the community, its political colleagues who sit around in state governments, county councils and local government? We have received a number of such recordings in relation to the treatment of the Kyoto message. I'll ask the representative Meling to explain why the Right shows such arrogant behavior.
ParlaMint-NO_2002-06-18.ana.ud2644e529	I'm definitely going to reject that we're going to have an arrogant behavior in relation to these things. First of all, it is to recognise the challenge we face in terms of the global climate challenge. That recognition is far from where the Progress Party stands. So initially, it's clear that we're quite disagreeable. Until climate policy worsens the situation of the Norwegian process industry. If we don't do anything, if we don't do anything in relation to preparing the industry for the international commitments that will come from 2008, we're not doing our job. Now, when we say that the actual practical approach and design of this national quota system is to take place in a close dialogue with industry in order to find good solutions that both safeguard climate considerations and competitiveness, there is a clear and very clear signal from this room that we expect will be followed up.
ParlaMint-NO_2002-06-18.ana.ud2644e536	The cord shift is over.
ParlaMint-NO_2002-06-18.ana.ud2644e539	It could be hoped that the Right could have spoken to industry and its communities before the process of climate communication began. Since it is football World Cup, I want to start in good sports spirit by congratulating SV on the winner of the Norwegian industry. It must be a joyous day for SV people in this house to take a long step to get rid of the industry here to land. The fact that SV has been tricked on the right side of the team must be the transition of time to change the political position. It's just to record that the Right has used a lot of strange reasoning to liquidate its industrial policy Let me, for example, use the Leif Frode Onarheim play on Monday, where Onarheim says to Today's Business: ‘I feel it provides a good opportunity to focus on reducing emissions and it provides training in the trading of allowances.’ Let me continue to quote from Monday’s Business Life under the heading ‘Kyoto quotas pointless’. Bright Holtsmark in the Statistical Central Bureau says the following: ‘When it is used as an argument that businesses need to ‘train’ on the trading of allowances, it says something about how complicated this solution is. No one needs to ‘train’ to pay taxes.’ It is a pity that the Right has forgotten that Norwegian business and industry are overrun in terms of paying taxes. If foreign industry or others need it, Norway is an excellent country to be in training camp to pay sky high, strange taxes! It is only to be noted that SV has got the government parties, with the Right in the head, to give Norwegian industry far worse competitive conditions than industrial enterprises established in other countries. The Workers' Party has criticized the Government's climate action to be anti-industrial. The working party has harvested a lot of praise for speaking the industry's case and showing sense in relation to expensive and less useful climate measures in the Norwegian industry. However, the working party has forgotten to tell the whole truth. In the work on climate action, the Labour Party calls for a more ambitious climate policy. It is bold in the light of the aggressive ambitions of Right, Christian People's Party and SV. The Workers' Party will have extraordinary climate action in industry in the period before the Kyoto Protocol is implemented. The Workers' Party proposes an industrial quota system and even criticises the Government's early quota system for being narrow and strange. How they've got the news that they're negative to the quota system, to me, is a mystery. In fact, the Workers' Party's proposal means that there will be fewer allowances for industry than the Government proposes, 70 pst. of the 1990 emissions against the Government’s 80 pst. The working party stresses that it should not be profitable to buy free of action, it should cost! In addition, Norwegian industry is denied the possibility of reducing emissions by financing environmental measures abroad, where costs are much lower and the effects are much higher. On the other hand, the Workers' Party dreams of major eco-innovations, funded by a carbon fund. In view of what the Workers' Party is proposing on the Stortinget, their beautiful words to industry are far from worthless. In total, the Workers' Party's climate policy is as bad as the Government's and SVs. The measures proposed by the Government, the SV and the Workers' Party before the Kyoto Protocol is implemented globally are a direct attack on the Norwegian industry. Global demand for goods is not affected by Norwegian climate legislation. Industrial production does not disappear, it only moves abroad, and it is a bad tool in the so-called global environmental policy. The desire of the other parties for Norway to be an environmental policy priority country must not frustrate a living business here in the country. The Progress Party will ensure an equivalent level playing field for Norwegian business with competitors abroad, as we also propose. We need to avoid excessive climate action, such as specular trading of allowances or charging. It would be totally hopeless for Norwegian industry if the bulk of the population now decided that the industry would start a national quota system from 2005. For industrial enterprises, this will result in increased costs and distortions of competition with regard to foreign competitors. The problem with a strange quota system will also be that we do not know how it will harmonise with a foreign system that comes later, if it does. We should therefore refrain from a quota system in Norway in 2005 and wait for the launch of a broad international system to which we can connect. The fact that the Norwegian industry is going to take the costs with the learning effect is going to be hopeless in our view. The party notes that Norwegian industry has a well-developed environmental awareness. Many cost-effective reductions in so-called greenhouse gas emissions have already been implemented. Assessment of cost and impact must be a basis for further action. Norwegian industry needs to make full use of the Kyoto mechanisms to invest in climate action abroad. Most Kyoto instruments depend on an international system if they are to have some effect without destroying national industry. The government deliberately prevents Norwegian industry from exploiting the international opportunities available. It is obvious that it is much cheaper to reduce emissions from old coal-fired power plants abroad than at modern and environmentally friendly plants in Norway. Any reductions nationally should be made through voluntary agreements where the industry itself finds cost-effective instruments. The cold and heat pump industry wants to use a voluntary agreement to meet the requirements for greenhouse gas reduction. The industry has already established a fee and mortgage system for HFCs/PFCs. A CO2 tax on these gases will undermine the industry’s own established fee and mortgage systems and the other emission reduction measures already undertaken by the industry. The imposition of such a charge in Norway will impose increased costs on Norwegian enterprises compared to enterprises in other countries that are not subject to a similar charge. It is therefore strange that government parties and SV will impose taxes on a well-functioning industry, which takes the so-called greenhouse gas emissions seriously. The Progress Party sees no need to risk Norwegian business to ensure Norway a symbolic environmental star. The Progress Party must only accept that the other parties here in the House accept the climate panel's attitude towards man-made global warming. What we are calling for is a more nuanced climate debate that can contribute to more knowledge before we possibly take as far-reaching measures as climate communication requires. It is also amazing that there has not been a thorough pre-debate in Norway, just an action debate based on the climate panel’s premises. Just so there should be no doubt, the Progress Party is as sceptical as before to the weather forecast of the Climate Panel. The implementation of the Kyoto Protocol will have significant national costs over a long period of time. Actions in most areas of society will cost considerable amounts and require far-reaching changes in the social structure. In addition, it will have an impact on export revenue, including through a reduction in oil price. That is why we believe and propose that the Government should provide a more detailed overview of what this will cost the Norwegian society. What costs are, doesn't seem to bother the other parties here on the house because they don't support our proposal. From today's climate announcement we have received many input messages. From industry we have received a lot of good arguments that we should not introduce strange taxes and a national quota system. What industry has said they must have is long-term framework conditions, an international quota system and be allowed to use the Kyoto mechanisms in full. We have received the same arguments from trade unions, from employees, from communities and also, as I mentioned earlier in a reply here, from our peoples around the country. That is why we are disappointed that the other parties do not seem to support our proposals in the vote, which I am promoting.
ParlaMint-NO_2002-06-18.ana.ud2644e600	Øyvind Korsberg has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2002-06-18.ana.ud2644e605	In the Norwegian climate debate, where at times it may be difficult for people other than those who are particularly interested to follow all the concepts that are raging around, the Progress Party must have one thing: they are predictable, and they are quite easy to deal with – they are running their own race. I see in particular a note in this setting that expresses the attitude of the Progress Party very well, when they write on page 6 of the setting: ‘If the climate panel is actually correct in its analysis, the damage is already so extensive and the proposals for climate action under the Kyoto Protocol are so limited that they have little effect.’ Therefore, we should refrain from introducing measures. Either that's not true what they say, or it's so bad that we don't have to do anything. Well, that's kind of some kind of logic, too. But in its eagerness to do nothing, the Progress Party has forgotten that it is actually possible to implement environmental measures while ensuring Norwegian industry. And when the county council in Nordland protests, it's against the government's arrangement they protest, while what the Labour Party and the Center Party have proposed is a scheme that industry can live with, while it's a demanding scheme. That's right, because we believe that when we give more flexibility and predictability, we also have to set higher standards. In addition, a carbon fund will also be set up to develop and establish new environmentally friendly technologies. Therefore, my question to the representative of Korsberg is: can he clean up a little in whom it is, for example. The county council in Nordland or the trade union protests against?
ParlaMint-NO_2002-06-18.ana.ud2644e622	To take the last one first, both the county council in Northern Ireland and other local policy forums protest against distortions of competition for Norwegian industry. That's what this is about. Whether it is the majority of the government parties and the SV, or whether it is the Labour Party's policy, does not really matter, because the Labour Party's policy is as bad as the Government and the SV have jointly cooked. As I think the representative of Konglevoll should read some of the recordings we have received from the communities around the country that are being affected by this decision that is to be taken today. It is not quite right that the Progress Party is running its own race in the climate debate. That's also going to be s. The difference is that SV has got right and the government parts with them on their course. I congratulated them initially on the victory. I just hope we have an opportunity to play a return game, but I'm not so sure. In this respect, of course, with the Climate Panel, we take into account that some of the predictions included in the Climate Panel can be correct. However, I record that the Workers' Party and SV are essentially confident that the predictions that the Climate Panel comes with are correct. They take no reservation that there may be other things, natural things, that affect our climate. So that we've had about 30 ice ages in Norway, you choose to ignore it, and that it was warmer a thousand years ago, you choose to ignore it. They use the precautionary principle. Before the precautionary principle, it may also be that special measures are avoided before a causal relationship is established.
ParlaMint-NO_2002-06-18.ana.ud2644e631	I have to be allowed to thank you for all the brilliance that SV gets. It is true that SV has some victories to show. It's not just about the climate message, yesterday there was a parental payment in kindergarten, and earlier it's been a 40 pst. scholarship part. So we have some victories lately that it's important to remember. It's clear that we'd like to have a return fight with the Progress Party, both in the basement and here, as we've done before. But if it were as simple as Korsberg wants it to! The problem is that once the Minister of the Environment and the Government have decided something that tends to be offensive – that is, there are some offensive measures – they jump to the Progress Party and engage in budgetary cooperation, which makes it impossible to get a proper offensive, as SV wants. That's my dilemma: the party of progress becomes a brake on achieving a truly offensive climate policy, so that's how the Progress Party also wins, unfortunately, in budgetary terms – and not for the benefit of the environment. The party of progress is trying to appear to be the industry's major defender. They do so by maintaining their old industrial policy in a way at the Workers' Party. The more dirty it is, the more money it takes. Actually, it sounds like a desire to import some old smoking factories from the third world and move them up here. It may seem like the Progress Party's policy. One does not want an offensive environmental policy. My question to the Progress Party: When they lose in the first round, why will they not be in favour of the proposal that SV has to develop technology, help companies to become more offensive?
ParlaMint-NO_2002-06-18.ana.ud2644e642	When it comes to the fight for return in the basement, I think it's an advantage for both the undersigned and for Langeland too that we play on the team, so we avoid major damage. The times we play on the team, it tends to go really well, if SV does its job. With regard to the Progress Party and the Government, it has been said in the past by government councils that cooperation has helped to strengthen environmental protection in Norway. So you have to take that with you. When it comes to moving abroad, if any, industrial companies that pollute significantly, it may be a good idea, so these companies can go under the environmental legislation we have here in Norway, which is probably the most stringent. But as I said in my post, I don't think any sensible business owners take the chance of moving to a country as special as Norway, where business needs to train to pay taxes.
ParlaMint-NO_2002-06-18.ana.ud2644e651	The President hopes that this good atmosphere will stay to 1-2 tonight.
ParlaMint-NO_2002-06-18.ana.ud2644e654	At least I'm not going to contribute to the damage of the atmosphere beyond the evening. I must be allowed to say that is what I agree with Synnøve Konglevoll, it is that the Progress Party is very predictable in environmental policy, or the lack of environmental policy. So sometimes we evaluate whether it has any intention of running a cord changer. Nevertheless, I feel that there is reason to do so, because the Progress Party is actually drawing a picture of the consequences of this quota system that is far more dramatic than what the process industry itself is doing. We've been given signals in the last few days from parts of the process industry, which is actually saying that we can live with this, we're taking this as a challenge, precisely because, in parallel with introducing a flexible quota system, which is predictable, we're putting in clear leadership to ensure the competitiveness of Norwegian industry. These two things have the co-operation government okay to attend to, we don't stand on one side or the other, we can combine this. So Øyvind Korsberg has been involved in the leading precautionary principle in his post and in the line change and used it in a slightly strange way. I recall that in the context of the debate on Sellafield, the Progress Party agreed with the following assessment at home: The fact that we do not fully know the consequences of the release from Sellafield makes it necessary that we act now. Why is the Progress Party not using exactly the same principle as regards climate policy? That's the one question. The second question concerns the concept of ‘serious’, which has become a troubling expression in the debate in Norway, particularly in environmental policy. What does the representative of Corsberg think of most European countries as actually talking about, for example, special-scientific and special-purpose measures? Here just a week ago, the Danish process industry was out and concerned about special Danish instruments that would put Danish industry in a competitively unfortunate situation. Does the Korsberg and the Progress Party live in a notion that climate problems are only a matter for Norway, and that is only a challenge for Norwegian industry, Norwegian business, or does one innovate that there is actually a whole lot going on around Europe and in individual countries, where everyone expresses exactly the same concern: we should do something, just not get any strange taxes, it can be dangerous?
ParlaMint-NO_2002-06-18.ana.ud2644e665	The president said it was a good environment. It is always a good environment that the Progress Party is. The representative, Brother Yngve Rahm, was concerned that parts of the process industry were happy and satisfied with what had happened. I'll get to quote what's on PIL's websites: ‘PIL strongly regrets the fact that the Storting is engaged by a limited majority in the trading of allowances for parts of industry. PIL’s proposal for a solution would, with far less red tape and at lower costs for both businesses and the public, ensure at least an equally good result for the environment.’ So the PIL is not as much satisfied with the state of things as the representative Rahm is trying to give the impression. In the case of Sellafield, it is reasonably simple. Emissions from Sellafield can be traced directly to Norway. It's actually real emissions, and there's problems there's going to be something to do with, reasonably simple. In the case of exceptional measures and framework conditions, it is also in the concept that we want to facilitate the conditions for Norwegian industry and to make the strange measures so good that it is interesting for the industry to be here to land, and would like others to establish themselves. With regard to the views of the Progress Party on climate change and costs, we just need to remind the representative of Rahm that neither the United States, Canada, nor Australia seems to want to ratify this agreement. One is that costs are too high, and the other is that there is more doubt as to whether the measures to possibly stop man-made climate change are good enough.
ParlaMint-NO_2002-06-18.ana.ud2644e685	The cord shift is over.
ParlaMint-NO_2002-06-18.ana.ud2644e688	We have developed a life and consumption pattern in Norway that can lead us to cross earth's and creation's tolerance limits in many areas. We're vulnerable to the slow, creepy changes that have caused us not to take care of nature and manage resources properly. The terrorist attack on September 11 showed us how vulnerable we are. But we're vulnerable not only when it comes to measures that shake up an entire value. We don't fully know the sequences of the man-made impurity. Nevertheless, we have the right to manage and use, but not to consume and destroy the earth's resources. I'm surprised when I hear people talking about environmental hysteria. Should we not be the first to fend for creation and take care of creation, where man is the supreme creature in the lack of the fine interaction that the creation represents? Changes in consumption patterns have changed a lot in the last 30 to 40 years, and the impacts of resource use and lifestyles are beginning to develop. When the Energy and Environment Committee was on Svalbard in May, we got right from the scientific environment where there is a huge imbalance in processes in the sea, on land and in the atmosphere. Many indicate that our use of resources leads to climate change. Researchers at the University of Norwich last week showed that the average global temperature in January, February and March this year was about 0.7 degrees above the average temperature in the years 1961 to 1990. This may not be related to emissions of greenhouse gases to the atmosphere, but it is very likely that the researchers say it. This is clear enough that in the Christian People's Party we will take the necessary steps to reverse developments. The size decided today, laying the basis for such a reverse operation. The trustee's responsibility requires that we be guided and ensure that the further development is guided in a sustainable direction. In 1990 there were about 5.1 billion people on earth. In 2000, it was about 6.3 billion. In 2020, there may be about 8 billion people on earth according to forecasts. There may be two development options. One is at 20 pst. by human beings on earth consume 80 pst. of resources, and the remaining 80 pst. shall deal with approximately 20 pst. of resources. The second option is that we get approximately equal distribution of resources. Then there could be enough food and other resources for 8 billion people. These numbers are uncertain, yes well, but the seriousness is not less for that reason. It is encouraging that the main principle of the Cooperative Government’s additional message is now adopted in the Stortinget. We get multiple numbers together with SV, which has been working systematically, for a national quota system that is going to work in 2005. It is three years before other countries in question have to comply with the Kyoto Protocol. The national allowance system shall be a narrow system, whereby the sectors which have not yet paid the CO2 tax shall enter. It mainly applies to the process industry. This system will ensure that the most cost-effective reduction measures are implemented, and it will ensure valuable learning when countries enter the broad international system set up by the Kyoto Protocol in 2008. This ensures an efficient and flexible system in which companies that make larger reductions can get quotas left over. These activities can be sold to enterprises with more expensive measures. Different activities have different means of achieving emission reductions. The government wants a dialogue with the industry both about the end of the quota system and about the distribution of allowances between the companies. The cumulative allocation shall be based on a 20 pst. reduction, but this reduction does not necessarily have to be distributed equally between industries and enterprises. The principle is fixed, we're going to have a national quota system that will give the best way to cut emissions in Norway. The Additional Communication states that the Government will assume, by its final design, that no business that is profitable with an international allowance price under the Kyoto Agreement will be required to move out as a result of particularly high climate costs before 2008. The Labour Party has claimed that the system we get multiples for today is not targeted enough and will only lead to industry being shut down and moved out of the country. I would like to comment on this. An important element of the Workers' Party's proposal is that works that are being laid down should be included in the emissions target. ‘Bobla’, as it is called, is determined by a reduction in total emissions in 1990, without adjustments for downgraded enterprises. This may only indicate that the system can stimulate new shutdowns. Work parity has claimed in the debate today that their systems are more ambitious than the national quota system. Corrected for closures, their arrangements are hardly more ambitious than the government's objectives. Finally, the Labour Party proposes that the target be achieved only by 2008. Therefore, the emission may be higher in the period until then. The government's plan is to allocate allowances based on a 20 pst. reduction for the whole 2005-2007 period. A national allowance system is only part of the more ambitious climate policy proposed by the Co-operation Board. In addition, we have got multiple numbers for a number of actions that will help us achieve the goals we have committed ourselves to. A charge shall be established for HFC and PFC greenhouse gases and the established collection bodies shall be maintained. These gases are mostly present in electrical appliances such as refrigerators and freezers. Furthermore, there are several numbers to evaluate a reimbursement scheme that restores the fee to the company responsible for the collection. Over half of the CO2 emissions in Norway come from the socket, and almost 3⁄4 of the CO2 emissions are expected to come here. The majority of the Committee asks the Government to consider measures to realise electrification projects on the base. The Committee further asks the Government to launch an introduction programme for the use of biofuels to increase its volume in Norway. A more efficient use of energy is also important to reduce greenhouse gas emissions. If we are more able to put a strain on heating from energy sources other than electricity, we have made an important contribution to climate work. The Committee therefore calls on the Government to assess the means of stimulating water-borne heat in larger barley. The Christian People's Party believes that the garbage for a large part represents substantial resources. Many more of the trash can be reused or burned for energy. Once again, heat may be transported through the water well. In order to prevent greenhouse gas emissions from landfills, changes in the final treatment charge for waste have to be made on the basis of climate considerations. In this context, the majority of the Committee points out that the Government of the Supplementary Communication states that they will consider a ban on the landfill of waste that can be degraded. It is a good idea to note that today there will be a multiplicity of ambitious climate policies. But we politicians can't do this alone. I am pleased with the commitment that has been from many volunteer teams, organizations and individuals who have given us good advice on the way in the process. Volunteer organisations, individuals and businesses must work together to ensure that this is closed. Anyone can give his or her acknowledgment. The decision later today is the beginning of this work. It is necessary for us in Norway to be involved in a sustainable development.
ParlaMint-NO_2002-06-18.ana.ud2644e724	It's going to be line change.
ParlaMint-NO_2002-06-18.ana.ud2644e727	A unilateral national quota regime, as the representative Lioness spoke about, will create major disadvantages for Norwegian industry compared to industry in other countries with which we compete. There is no doubt about this. The government and the majority of the population don't seem to care about this in particular. The most important thing is obviously to conduct symbol policies and be the best in the class. As a result, many companies will have major problems, tens of thousands of jobs can be lost, and we risk that large parts of the industrial production we have will move out of the country. Will the representative Liones give me a single sensible explanation of the global environmental benefit that will be achieved by exporting large parts of this industry to other countries, where energy production is largely based on coal power? The result must be the exact opposite.
ParlaMint-NO_2002-06-18.ana.ud2644e736	It's okay to get such a question, because then I can expand it with the allowance system, both the one-sided national allowance system and the allocation else. It may be difficult to get the differences between the different systems even from the media debate that has been going on, but I'll try to make things simple, how we think about it, and how the cooperation organisation thinks about it implemented. If we were to have a bubble -- that's a strange word -- and so it should be allocated to collecting quotas for the process industry, and the PIL itself would take care of it, that would lead to quotas becoming commodities. And that's not what it's going to focus on, but reducing climate change. It is more natural to have contact with the individual enterprises, to take as a basis the level of emissions they had in 1990, and then to write it out. If they have reduced their activity, they may not be allocated. If they have increased production, the allocation may increase. This would be a system to control. Then it's clear goal – 20 pst. reduction, starting from 1990. It's different if one should also allocate allowances to the industry according to the activities that have been laid down. It is a much more complex system. I am overconfident that the industry – and we have had many conversations with representatives of the PIL – will also be able to participate and, for its part, to obtain information in order to have a transparent and clearly defined system. No one will get so crooked that they will be forced to shut down before 2008, if they would not otherwise do so under the Kyoto Protocol. This is not about running symbol policies. On the contrary, it is clear and visible. It has also led to strong reactions. There is no doubt about what the Government will and what the majority will do today. So I don't think there's any danger that there will be an export of this industry to the rest of the world. We need it here, and here it can also happen in an environmentally sound way, in cooperation with the industry.
ParlaMint-NO_2002-06-18.ana.ud2644e750	Several have not asked for the word for a line.
ParlaMint-NO_2002-06-18.ana.ud2644e753	It has been stressed many times today that climate communication is very important in both national and global contexts. Of course, the Central Party fully agrees with this. Environmentally, biodiversity, desertification and climate change are the three main environmental challenges in the world. Of these, we believe that climate change is the most serious threat. In the vote, the Committee is, of course, not agreed on all things, but most of them want Norway to be a leading country in meeting the climate commitments we have undertaken under the Kyoto agreement, and that we are going to introduce an allowance system from 2008. In particular, there are instruments for the period 2005-2007 and some sectoral measures on which there is some disagreement. When you're as far out in the talking rack as you are now, it's probably not that much new to come with. The only thing that had to be is to introduce the term "contract-based allowances" because it's basically where we end up. But I'd like to explain why the Senter Party does not join the majority system of early quotas, but thinks it's better with a different system. Firstly, we are talking about the period 2005-2007. It's very short time. Second, we don't think this will work according to purpose. The multiplicity proposal envisages the introduction of a strange, narrow quota system covering only some types of establishments. This means that the powerful process industry is under disproportionate pressure. We risk that Norwegian enterprises, several of them in districts with very few other business opportunities, can be closed down and production moved to countries without emission restrictions, where climate change emissions per year. the unit produced is much higher than in Norway. An allowance system will only function as intended when it becomes international and many different sectors are involved. So this is why the Centre Party has found it right to move towards an early quota system from 2005 to 2008. The waste sector must also be included when it comes to climate policy. There is a wide-ranging problem that not only has to do with methane emissions. In a use and throw-society like ours, unfortunately, there will be a lot of garbage, and transport often becomes long. It's an environmental problem in itself. It may be greater if the investment is made in very large facilities where the waste is transported from a large area. It is easy to say that bans are to be imposed on the landfill of biodegradable waste, but good solutions are different. One must be aware that there are several plants using the methane gas from the landfill to the production of electric current or to heating systems. It is important not to ignore this type of plant but to receive a specific treatment. This must also be a form of re-use of resources. We have a high power consumption in Norway. This is too noble for it to be used much for heating. It is therefore necessary to turn consumption into energy sources other than electricity. Enova is becoming very important in this area. The company needs to be given more money so that it can effectively accelerate the process of generating new renewable energy. Biofuels are becoming an important keyword in this area. Efforts need to be significantly increased in order to approach the level of our neighbouring countries. Otherwise, it is good that a majority of the Committee is in favour of modernising existing hydropower structures and indicates that micro- and mini-power plants can be built in all watercourses where there is no significant intervention. As I mentioned in a reply to SV instead, the Workers' Party and the Centre promote a proposal to launch an introduction programme for the use of biofuels. It is a significant contribution to the transport sector, where emissions continue to increase. I hope that the effort in the future will be spent on active work on emission reductions in cooperation with all those involved, so that the discussion of a curious allowance system over a three-year period does not overshadow the long-term and important work. I would also like to end by saying that the Central Party joins the proposals under I and II. That shouldn't have been necessary, but when the government says we're going to cooperate with the industry, we're the first to support it.
ParlaMint-NO_2002-06-18.ana.ud2644e779	It's going to be line change.
ParlaMint-NO_2002-06-18.ana.ud2644e782	As I read through the setting, I could not avoid noticing that the centre party is alone on a small note that underlines that in cases where there is a conflict between the need to preserve biodiversity and to initiate climate action, priority must be given to the action of the climate action. In other words, it must mean that it is better to eradicate species than it is to discharge greenhouse gases. This is at best a little bit weird. Both eradicating a species and releasing greenhouse gases are what we call irreversible environmental problems. I wonder why the center part has this slightly strange remark in the setting. Maybe it's related to the fact that the Center Party is also the only party that throws itself into a very controversial area, that's what goes on absorbing CO2 in a forest. They want this to be included in the quota system as early as possible. This is a very difficult professional field. This is an area where you have to be very careful, so you don't get all figured out. I wonder, why does the Center Party have this zeal? Otherwise, I am very happy that both the Centre Party and the Workers' Party support – almost entirely – the Document No. The 8 proposals that representatives Langeland, Ryan and I have presented ourselves in the field of bioenergy and biofuels. I am particularly pleased with the support to phase out oil firing. It's a big job we're facing. But to the Center Party and to the rest of you, I'd like to say, "Love me, but don't love me." Once, in the form of a note, we've had an impact on biofuels, so please, don't let the proposal be voted down in the Stortinge today, but stand together to get the results. That's what counts.
ParlaMint-NO_2002-06-18.ana.ud2644e789	As far as love is concerned, I believe others can take care of it, both in the case of the representative Sørensen and me. I believe that climate change is actually the biggest environmental challenge. The representative Sørensen says that it is not possible to set them up against each other, but for my own part, I believe that climate change is the most serious. It is clear that it will affect biodiversity very quickly. You don't come from that context. That's the one. The second was a tiny note from the Senterpartiet, where it is said that it is important to include CO2 accounting in relation to forest. I believe that it is an important prerequisite for this to be linked to the climate, and it must be linked to active action. Whether or not the forest is gradually to enter the allowance system, it is undeniable that it produces a significant effect in the context of climate change. We are busy with emissions, and then we also have to be concerned about what binds CO2. I think it is deficient that forest and forest policy is not drawn more than what it actually does. It should have been incorporated as part of Norway’s long-term climate policy. It is also important to mention that biofuels want us all to get more of, and then the forest is quite important. In addition, there is one more thing: if we use wood instead of using, for example, wood products. plastic, it will also be quite good in relation to climate. Finally, as far as biofuels are concerned, I think it would be better if it were done the other way around: that in the course of the day – it is good time – convinced the Government to support the proposal.
ParlaMint-NO_2002-06-18.ana.ud2644e800	Several have not asked for the word for a line.
ParlaMint-NO_2002-06-18.ana.ud2644e803	Today, a historic environmental decision is being taken. Global warming is, together with the threat to the biological deficiency facing the world’s environmental threat, and by adopting this climate communication, the country is taking the first step towards what needs to be a very long way forward towards more sustainable development. Although there is still a great deal of uncertainty about the temperature increase in the next 50-100 years, there is a great deal of agreement among the vast majority of researchers – although the Progress Party continues to insist on the opposite – that global warming will be significant, and that this warming is due to human activity. The majority in the UK today assumes a long-term responsibility for the environment, well-being and industrial development in Norway. The need to take action against climate change is not about securing our own well-being and future, but primarily about securing the well-being and future of our children and their descendants. When the Progress Party so clearly rejects the whole issue, it is not surprising – this party pursues a consistent anti-environmental policy – but it is highly irresponsible. The left is content to be part of a government that presents an offensive and mandatory climate policy in this matter. The additional message provided by the government of the Left, Christian People's Party and Right is much more ambitious than the workers' party government delivered last year. The left supports the early introduction of national quotas from 2005. The way this allowance system is going to be set up, it's got a good layout. A 20 pst. reducing greenhouse gas emissions from activities covered by the ETS is a realistic but still credible target. The quota system will only be introduced for emissions that are currently not covered by the CO2 tax. This means a significant extension of emissions thus covered by emission reduction measures in Norway. The fact that the Workers' Party and the Centre join forces with the Advance Party against the introduction of a mandatory quota system, and rather want to base themselves on less binding voluntary agreements, is not surprising. The entire Labour Party's period of government in the 1990s was marked by a lot of rhetoric about a sustainable future, the idea of thinking globally and acting locally, but completely unwilling to implement mandatory practical measures. When the Labour Party claims that their proposal is 30 pst. reduction in emissions is more ambitious than the Government's quota proposal, this is more than doubtful, especially because the Workers' Party includes emission reductions resulting from shut-down industries in its calculations. There are not often small countries with the possibility of taking a leading role in international development. The Government and the Socialist Left Party participate in this climate decision that Norway assumes such a leadership role internationally. We take with it an important strategic choice that is important for the environment and that is in the long term also necessary for nutrition policy. This will mean that some investments will have to be made, but we must also be aware that it will be far more expensive in the long term. Finally, I would like to say that the Socialist Left and Left have some of them in very many environmental policy issues. That the Socialist Left Party has now entered into a binding agreement with the Government, we in the Left very much appreciate it, because we actually believe that when these two parties join together with the other parties in the Government, that's the best thing for the environment.
ParlaMint-NO_2002-06-18.ana.ud2644e829	It's going to be line change.
