ParlaMint-NO_2002-06-18-2.ana.ud2212e76	Can the President ask for a withdrawal in silence? Please, Councillor Børge Burnde!
ParlaMint-NO_2002-06-18-2.ana.ud2212e499	At the bottom of the debate, I would like to thank you for very constructive cooperation both with the government parties and with the Council of State in this matter. It is that environmental and poverty problems are the greatest challenge facing the world. The enormous wealth we have in the north and poverty in the south is inextricably linked to the threat of global warming and threatening climate change. That's why we're doing this. That is why we need an offensive climate policy. That is why we have fought and worked to put in place the most possible measures to reduce greenhouse gas emissions. That is why we support a national quota system to be introduced from 2005. That is why it is important and why it is necessary for a political majority in this room to take responsibility for future developments and show that Norway is taking part in the burden of reducing greenhouse gas emissions. That's the only way to get the rest of the world. U.S. countries point to us and say: if you cannot demonstrate that you are able to reduce their emissions of greenhouse gases, we will not agree to a binding agreement. The United States is pointing to the developing countries. If the developing countries are not included, the United States will not participate in the post-2012 period either. Now it is the case that we are going to start negotiations on further reductions beyond the Kyoto period. Then we have received a basis through this climate communication that we can take our responsibility, do our part of the job, to get the emissions down to +1 pst. of the 1990 level, which is our Kyoto target. This climate communication gives us an offensive climate policy in place. In addition, I would also argue that this is a good employment policy, because at least we do not contribute incentives for closures. The challenge ahead is to create a political majority for the necessary measures, which have not yet been endorsed by a majority in this Chamber, which go even further in reducing emissions. It is also a very sensible strategy to reduce the pressure on the industrial sector. The more we manage to reduce emissions in other sectors, the less pressure we need to put on industry to reduce greenhouse gas emissions in that sector. So if we're going to get a majority of the offensive measures that SV has in the front line, I'm more positive about the future.
ParlaMint-NO_2002-06-18-2.ana.ud2212e510	Several have not asked for the floor for case No. 1 to 5. [[Fotation, see page 3298]]
ParlaMint-NO_2002-06-18-2.ana.ud2212e525	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that three lines of reply be given following contributions from members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2002-06-18-2.ana.ud2212e534	Today we have the chance to declare that we want an offensive, targeted and environmentally friendly urban and urban policy. Cities and agglomerations have functions such as service locations and meeting places, not only for the inhabitants of the municipalities in question, but also as focal points for municipalities around them. As case spokesman, I am pleased that a broad majority is behind the main principle of the message, and I would like to thank for the good environment – to stay in terminology – and to cooperate in the Committee on this matter. Many people find it to live in cities as the best building alternative. Here people find a lack of cultural provision, educational provision, work, varied service provision, different teams and organisations, and many cultures meet. Close patterns of housing provide a range of challenges in relation to urban and spatial planning, development structures, good urban environment, conservation of green land and the establishment of new ones. An urban development policy that stimulates holistic thinking and planning in relation to housing, workplaces, cultural services, environmentally friendly energy use and public transport will solve many of the environmental challenges facing cities. The Committee points out that in its first sub-section, the Plan Law Selection has proposed a number of measures to make planning simpler and more efficient. A joint committee agrees with the objective of this work, and the Committee would stress that laws, guidelines and regulations on planning and construction must be clear. At that time, the approval powers, planners and applicants for approval of the current project will be able to have a common understanding of the requirements for sustainable urban and urban development. The Committee believes that municipalities must have a high level of competence, involving different disciplines that can assess different aspects of urban development. The Committee also believes that a good collective offer that results in a greater proportion of citizens travelling by collective, environmentally friendly means of transport instead of using a passenger car is important both for reducing climate change and for improving the urban environment. The Committee is aware that air quality in many cities is poor, especially in cold and dry winter days with heavy particulate matter. This creates problems for many people, and especially for those with respiratory problems and allergies. Efforts to improve air quality must therefore be of high priority. A number of Norwegian cities have been known to have campaigned against driving with heavy-duty tyres to reduce the amount of health-threatening asphalt dust. It has produced good results and it should be assessed whether a permanent charge should be imposed on the use of peak tyres or peak tyre bans in larger cities. Clean air is important both for well-being and health. The effort to reduce noise needs to be intensified. A majority of the Committee agrees with the national objective of reducing noise pollution by 25 pst. before 2010. In this context, it is considered important to prevent the creation of new noise sources. In cities and agglomerations, there is a large potential forincreased action. In areas where housing and housing complexes are dense, provision is made for systems with different types of district heating and water-borne heating systems based on renewable energy sources. The many large buildings that exist or are traveled in cities and agglomerations are also places where energy-efficient heating systems can be installed. The Committee would stress that it is the municipalities and the regional authorities in liaison with the State which has the primary responsibility for urban and urban development. For the Christian People's Party, it is important that the law is used for environmentally friendly urban development. The approaches we are taking today through the treatment of the ‘Better urban and urban environment’ message are a starting point for even more sustainable urban development. By doing so, I recommend the setting from the Committee.
ParlaMint-NO_2002-06-18-2.ana.ud2212e564	The environmental challenges in society are relatively large. Environmental issues have been on the agenda as wealth has increased and science has evolved. There is a broad desire in the committee to do something about the environment in our cities and our agglomerations. Here again, we still find different attitudes in relation to what you think is best in the long run. The majority, consisting of the government parties and SV, will impose a permanent charge on the use of peak tyres in cities. The working party believes that this must be determined by each city if they have problems with the environment. We also believe that the environmental tax should not be permanent. It's with some surprise we're recording what the parties that went to the choice of lower fees, now do. Lifts are deep inside the jam! Furthermore, the Centre Party and SV will grant the public transport rights in intersections, while the Workers' Party and the SV will have a test scheme to test out free buses. This has been tried in other cities in Europe, for example: in Hasselt, Belgium. The situation in the city in 1995 was that the city centre was being suffocated by increasing traffic and massive pollution. Traffic accidents increased, and people moved out of town. Billions of investment were also planned in new motorways. The political majority in the city decided to take action to improve the environment. Instead of building a road, public access to public transport was made possible by means of public transport, while at the same time facilitating walking and cycling. However, the triggering effect for a better environment came with a free bus. Every year since the start of the project, passenger traffic has increased sharply. Traffic in the centre is reduced by 16 pst., trade has increased sharply, restaurants experience golden times, and the environment is radically changed. In 1997, there were 300,000 bus trips in Hasselt each year. During the first year, the number of passengers increased by more than eight times to 2.7 million. Today it is approx. 3.5 million. passengers per year, i.e. more than one time-lapse of the passenger base in five years. Kristiansand city should now start a bus metro, and free bus was an important campaign in West Agder. All parties representing the County of Stortinget, i.e. the Workers' Party, the Christian People's Party and the Right, then thought that free buses were very interesting and something that had to be worked on further. I have to say that I have not noticed so much about that work from the other parties. Now it turns out that it is only the Workers' Party and the SV who are following the promise of a test scheme with a free bus. One might ask where the promises of the other parties have gone. The message we are handling today is full of pious desires. Environmental policy requires more than pure desire; action is needed. We in the Workers' Party are eagerly awaiting the further follow-up from the Government.
ParlaMint-NO_2002-06-18-2.ana.ud2212e584	The good city life has almost become a concept in some circles since the Cooperative Government launched this easier rewriting of the recognised sociological concept of ‘good life’. The environment in cities and agglomerations is important for people. The search for a more urban lifestyle with the qualities of urban life has been decisive when Norwegian cities and agglomerations have experienced such a strong growth in the number of inhabitants and jobs in the last decade. It's where most jobs are created, and it's where people move to experience more offers and greater diversity in many areas. Norway, which was almost an atypical country in this respect, had a very decentralised residence and activity linked to the resource base. Cities and agglomerations have, as a general rule, formed as a marketplace for their surrounding area. It's an important fact that there's reason to remember. In fact, I know only one city in Norway that has not had such a background in traditional terms, namely Bergen. Bergen was for many hundred years city mostly of Norway from Lindesnes to Nordkapp, based on trade in fish to a particular extent. Trade traditions also place Bergen in such a role as Hansastad and as an extroverted European city. Today, it is possible to trace a type of continental urban culture in Bergen, which they have long been alone in Norway. But time overtakes most, urban culture has been re-expanded and focused, we are urbanised more or less all of us, and thus become more like our brothers and sisters out in Europe, who, incidentally, have always had a defined urban/tight-town structure, with clear boundaries to their decentralized surroundings. This is why it is quite appropriate when the Co-operation Government takes this development seriously and through its urban and urban environmental impact report focuses on the city’s qualities and opportunities, but also on problems and challenges. Then it becomes an overall goal that cities become vibrant and pulsating, and a place where housing, social life as well as cultural and business life have an equally natural place. Cooperation with private individuals on development plans and planning solutions is becoming very important. Human beings are affected by the environment the planner and the builder shapes, both emotionally and socially. Therefore, consideration for conscious design is important. The architect and planner have an important responsibility for developing the city's historical tradition, peculiarity and sustainability. This may be the key prerequisite for creating a good environment in cities and agglomerations. Of course, this applies to both the building mass and the green structure, both of which are important ingredients in the identity formation of the city's inhabitants. Equally important are perhaps attitudes and consideration of pollution, as well as visual as noise by different decibels. But also attitudes to other pollution problems, which the rapporteur drew up in an excellent way, are of course important. In order to ensure the pulsating life of cities and cities, it is also important to focus on accessibility and accessibility, which is, of course, a ‘must’ for a city. These are all important prerequisites for a city or a town's functionality, or as the very starting point for developing the good urban life. Then eco-friendly cities and agglomerations become important, because everything that can be gathered under this concept creates well-being, whether it concerns the use of land in pleasant exchange zones such as residential areas, or a rational road structure and a well-functioning and attractive collective offer. There are a lot of areas here to deal with, and the government's message is very important. It is also in line with the government's other policies that municipalities must have great freedom and influence as the responsible land and property authority operator in their own local environment. Finally, let's kill the myth once and for all: City is not against land, nor in this matter. The city and country have different functions in the national division of labour and are interdependent. Viable cities and agglomerations are necessary for their respective surroundings in all parts of the country.
ParlaMint-NO_2002-06-18-2.ana.ud2212e610	If we are to have viable and prosperous cities, it is essential that we have an interaction and a balance between business interests and environmental interests. It is therefore important to bear in mind that cities need to trade, and not the trade that needs cities. We have recently had a development in which large parts of the trading activities that used to be held in downtown areas have now been moved to shopping centres outside the center. This includes, among other things: its background in more difficult accessibility in the centre areas in many places. Walkways, green facilities, parks and car-free zones are of course positive for the experience in urban areas, but several places where this is exaggerated, this has led to a large stop to trade. The desire of environmental protection for car-free centres has therefore led to an increase in the use of cars in many places, i.e. in contravention of the objective. The urban environment communication and the majority of the committee focus heavily on public transport, while the use of passenger cars is seen as an evil. The Progress Party believes that the conditions also need to facilitate the use of passenger cars. Recent passenger cars have become low-noise and have less and less emissions. This, in addition to the fact that many prefer to use the car for their transport operations, makes it clear that we do not see any reason to limit the use of the car either inside or outside built-in lines. Instead, we want to make it easier to use a car and will therefore work for the further development of both road installations and parking capacity even in built-in lines. I am very pleased that a unanimous committee has focused on accessibility for people with disabilities in cities and agglomerations. However, I am somewhat surprised at the majority of the committee in reducing the amount of asphalt dust. In the opinion of the majority of the Committee, they ‘know that several Norwegian cities have had campaigns’ to reduce the amount of this hazardous dust. They also write that this has produced good results, and then they conclude that they want an assessment of the imposition of a permanent charge on the use of tyres, or alternatively a heavy-duty ban, in larger cities. So here we have an example of a campaign that has been voluntary and that has worked according to purpose and has given good results, and then one concludes with fees and bans. It's completely incomprehensible to me, and I suspect the majority once again to help even more of the drivers' money find the way to some public fund. I cannot find any other explanation for this.
ParlaMint-NO_2002-06-18-2.ana.ud2212e619	Let me start by recording the Workers' Party proposals and SV agree, and the suggestions from SV. I thank the case spokesperson for his efforts, and start by saying that there are many well-meaning words and many good wishes in the urban environment message and the committee's settings. But the problem is that there are a lot of words, and when one comes to the concrete, one gets involved. The Committee is certain that one should have an offensive urban and urban policy, some that public transport should be central, some that one should dampen the pressure on the near open air and agricultural areas, some that one should focus on congestion and more on developing green areas, playgrounds and parks, some that one should reduce the use of private cars, some to take care of cultural memories and the cultural environment, reduce traffic noise and reduce greenhouse gas emissions and energy consumption – just to mention some of the aspirations. But then the problem is that when you're going to move from these good desires to practice, the parts of the load fall. The Labour Party lists some of the suggestions that the government party would not have on it, which would secure some of the goals that you have in your message, but which do not include a multiple. SV has a number of other proposals that are specific to the objectives set out in the Urban Environment Communication, which the Committee sets out, but at the same time it becomes concrete, puts a tail between its legs and says: No, we cannot be concrete. A few examples of this: public transport, which was just dealt with in Stortinget as well, in connection with the collective notification. A number of SV proposals that go into concrete detail and achieve the objectives contained in the urban environment message will not be adopted or followed up. In the setting for the urban environment message, SV is on a proposal to ask the Government to take new urban runway initiatives, for example. On the North Jären, where I come from, there are medical plans for the city track for a long time, but a wait for the planning tools to move forward in the process, so that one can realize the goal of public transport, that it should have a central place. But as long as you don't have the money for this, or want to be concrete, it'll just be nice words. The same can be said of what is also expressed by the Council of State in a press release, in relation to an offensive to reduce noise pollution. When we from Stortinget's page try to be concrete, for example. In relation to Grorud, as the Labour Party and SV have proposed to convert into an environmental zone – where there are 120 000 people, one can often not go out because of air pollution, and there are major health problems due to noise – when we ask for a policy to do something there, says one no, we have to come back to it. At the same time, one says to bet on the environment and reduce traffic noise. In other words, it gets a little airy and a little concrete. Another suggestion – it is possible that one could get on it even in the next round – goes on, as one has done a lot of spaces, offensively going out to get over the highway and use it for emptying. Around the whole country, there are many action groups working for that very thing. The problem is they don't find people who want to use the land because it costs too much. The Landsförbund of Norsk Boligbyggelags said this in concrete terms on the phone, that if it is to be realised, the state must contribute funds to this. It's a simple grip — it's going to cost a little bit, but not all the world — that reduces the noise of thousands of people, that reduces health problems, and that uses land and thus prevents pressures on the open area and agricultural land. So these concrete proposals are not willing to go into and look at the whole thing, and it disappoints SV. So that's the concrete thing that's going to be the hard part. So one might also say that many of these airy things that are presented in the urban environment message lead to an increased effort on the planning page. But as soon as the Workers' Party and SV address formulations that say something about local economy, one of them falls off the hook. Consistently, everything that costs money will not be taken in. And it is clear that if one is not willing to go into measures that cost money, it simply becomes empty words, and then the urban environment message becomes optional and optional without concrete content that materializes in concrete environmental measures. SV will also address issues related to the urban environment, as in climate policy, to present offensive and concrete proposals – as we do in the context of the Urban Environment Communication – and invite them to join in and form multiple figures with the Government. The government had the chance in relation to the proposals we had in connection with the Urban Environment Communication. There they didn't want to do it. That means that the government was not willing to follow up the offensive urban environment policy that SV wants in this area, but we, which is the country's leading party for the environment, have not given us.
ParlaMint-NO_2002-06-18-2.ana.ud2212e634	The message about a better environment in cities and agglomerations that we are dealing with now calls for a development that takes care of the good life of cities and agglomerations and positive qualities by living centrally. Cities and agglomerations should in the future be dense, functional, diverse and more environmentally friendly. Green structures, biodiversity and important cultural environments shall be ensured as a prerequisite for closer urban development. And it's not hard for anyone to join this. However, it should also be an important objective for Norwegian regional policy to limit urban population growth. You have to have dense cities, but you have to limit growth. This will reduce both the pressure problems in the cities and will prevent them from moving out of the districts. Cities and rural areas are interdependent, and balanced development is important both for human and socio-economic reasons. Municipalities and county councils play an important role in the development of cities and agglomerations through the responsibility for spatial planning. Urban areas shall be developed on the basis of coordinated spatial and transport plans from a regional perspective. The national policy guidelines for such planning shall be revised and the principles contained in this message will form the basis for the revision. This may be true, but at the same time, one cannot simply assume that national policy guidelines are equally appropriate in more dispersed areas. Klungland was very concerned about public transport in his post, and I'm really just going to draw up a single theme here, and it's about transport, i.e. accessibility. In order for people to use public transport — and that should be done as far as possible — it needs to be facilitated. Switching to more collective transport will have a good environmental impact in several areas. We believe that there is a need for a much larger proportion of local urban traffic to shift towards collective transport. There are different instruments that can be used to achieve such a transition. Some will be very economically demanding, and it will take a long time to get them up. I'm thinking about the construction of tracks, etc. However, rapid solutions may, for example: to facilitate more collective fields, to give priority to public transport in intersections and to increase the frequency of routes on collective funds. It will cost, but it may be socio-economically necessary and absolutely correct. Like most others, this big message contains a lot of good intentions, and in this case to improve the environment in cities and agglomerations. That's good, but it costs money. I have to tell the representative Langeland that not only the SV and the Workers' Party, but also the Center Party is very concerned that we need money for this. The implementation of these intentions requires increased planning skills and additional public efforts. Large investments will be needed to achieve this. This would be impossible for municipalities and regional authorities to carry out if funds were not allocated in accordance with the tasks. Unfortunately, this could lead to the gloomy developments that are now taking place in the local economy. It would be a shame if these good intentions that we have in this message, just become desktop work.
ParlaMint-NO_2002-06-18-2.ana.ud2212e649	This big message provides a good and holistic assessment of what needs to be done to improve the environment and quality of life in cities and agglomerations. Left, and I don't believe at least the local layer of the Left around the country, the whole heart will join the main parts of the message. It contains just the tools to develop intimate and human-friendly cities and communities. The left fights locally for this all over the country. The message represents a given with over 50 years of urban and urban development in Norway, and not least one given with the last 50 years of lifestyle – an ideal primarily from California in the 1950s, with single dwellings in large residential areas and its own car. Cities were developed with a clear distinction between housing, work and leisure activities. This message contains a number of really good actions, with node development, wise and adaptive densities, environmental and history preservation, collective actions and a reconnaissance of the city's historic centre. Everything is brilliant and represents a holistic approach to all communities in Norway should follow suit. The problem is that most areas in Norway are still in the wrong direction. Cities flow outwards at least as fast as before. A car-based purchasing pattern, 1 pst, is being facilitated more and more. cultural memory in the country disappears every year, and the biological deficiency in the construction zones is under constant pressure. Good urban development is found to be easy to go into overarching plans, but far more difficult to enter into practice in a range of individuals around the municipalities. It has turned out to be an area where too many parties have been shown to think about – it also applies to many of the parties that form multiples of this message here tonight – but far more difficult to really have the will to carry out. It is primarily the peoples around the municipalities who are responsible for good and humane urban and urban development. Urban development is a cultural struggle that will be fought in every detail around Norwegian municipalities. In this way, the results of the municipal elections for next year will be much more important for development than what we decide here at Stortinget. Urban and urban development is also an area where there are large differences between the parties in many municipalities. The state's task is primarily to take care of a superior responsibility for culture and the environment. A good and creative example of this that has been of great importance is the Purchasing Centre Summit launched by the Minister for the Environment of the Left; Guro Fjlangenger, under the previous Bondevik government. An area in which the state's efforts are entirely decisive is in relation to public transport. Increased efforts on public transport and the development of multiple cycle paths are crucial to developing more environmentally friendly urban areas. There's a lot of responsibility here for big business and government. That the Government takes its responsibility, it shows the basis on which this government is built, simply the Sem declaration. The state should also be involved in good individual projects around the municipalities. The environmental urban projects have been shown to produce good results, and their experience should be used and passed on. In particular, I would like to draw up a government agreement with the Municipality of Oslo on mandatory cooperation on better environment in Groruddalen. Many local charities also make a great effort to focus on their own community environment – and actively want to further develop this. These are good measures for which it is important for the public to prepare, both with financial resources and with support for planning and further development. Voluntary efforts to further develop the environment in an environmentally friendly way are an important asset to safeguard. Otherwise, I register that SV also has a number of suggestions relating directly to the next year's budget. It will be exciting to see how the Socialist Left Party will prioritize a lot of good action when the budget is presented. I would also like to remind you that the first five million to the Bergen railway was actually this government that came with it. It shows that this government is doing and will make a good effort for the city track. Finally, for one who is not born and raised in the city, but who has walked around the streets of Bergen and the old environment in Bergen, it is also important to bring with him the historic ballast, to become better acquainted with the city and the historical background. A little reminder in these busy times may be that the representatives, when they have a little bit more time, take a trip to the Bymuseet and up to Frogner Park to get acquainted with Oslo City's history.
ParlaMint-NO_2002-06-18-2.ana.ud2212e681	In relation to the debate that is now taking place, I would say that it is no more expensive to do good planning than to do bad planning. This Urban Environment Communication actually addresses many questions, how to get better and more environmentally friendly cities through a much better and more conscious planning process in the municipalities, the counties and also by the state. I think it was important for us from the Government to have a case of better environment in cities and agglomerations at the same time as the collective announcement came. I think it is great that the committee has been given the suspension related to this announcement in a busy spring session. It now gives important signals in relation to better spatial planning. This case has been far too long, and we have now been confirmed that there is a clear majority in the Stortinget that we should have denser and more environmentally friendly cities in the years to come. There is a lot that is possible to do even within the framework we have. Consider what is possible with regard to the conservation of biodiversity through better monitoring, and also the awareness to take care of it when regulating. It's also possible to take better care of the fields and the greens if you have a conscious relationship with it. Last Friday, the government protected several areas only in Oslo, established several nature reserves and protected areas to preserve biodiversity in very important areas for most people in an upland of 1 million. users. And more comes to those points there as well. But growing cities and agglomerations can promote environmental quality if we are willing to develop more concentrated cities and urban structures. Just look at what you can do through some creativity. I can mention the two corn silos in Cuba on Grünerløkka, which became hives for students – a very good project. I also think there have been other exciting thoughts that have been up here in terms of being able to get shelter within the framework of today's city pattern, without going at the expense of parks and green space. It's going to be a huge challenge. The transformation of old industrial areas is also crucial. We need to reduce the pressure on green space and close open air and recreational areas. We must set clear borders on coastal areas and valuable agricultural land. We need to take better care of our cultural memories. 1 pst. cultural memories disappear each year because of poor follow-up. Cultural memories are also an important part of urban travel. Strengthening public transport is essential in order to become the backbone of the transport system and the development pattern. That's where the government has added billions of bets in addition to what's already been laid by. The Government proposes to stimulate overall thinking and planning that will benefit positively from the interaction between urban development, the environment and health, culture and economic development with the urban and urban environment and the urban environment. I am pleased that a broad majority subscribes to the principles set out in the Communication. It is an objective to focus on the densification and development of areas within the existing urban and urban boundaries. Centre areas can and should be exploited in a more efficient and environmentally friendly way by taking old industrial areas, port areas and old traffic areas into new and modern use. In order to stimulate new solutions, I would like to invite the implementation of pilot projects, such as: testing of environmental zones in particularly environmentally contaminated areas. From this point of view, the objective of doing something about local air pollution and noise can also be done with worn-out green areas, falsified public spaces, road-hazardous areas, poor accessibility and forgotten cultural memories — turn a past quarter into a local environmental pearl. Just look at the challenges we have on the noise side: over 500,000 Norwegians are really struggling with noise problems, and now we have to start a long-term and commitment work to achieve the target of a 25 pst. the reduction of noise up to 2010, which the Government will also follow up. I will return to these issues in connection with the presentation of the state of the state of the state of the state of the kingdom until the autumn. It is important to look at the development in the context of the provision of collective services. Development near public transport is important in order to ensure efficient and environmentally friendly transport. This is also a positive tool to reduce the need for private car use. Collective transport plays an important role in urban areas, both in terms of accessibility, air quality and climate. I think I'll finish there, so I don't blame the President's further frustrations here tonight, although there's a lot that could have been said beyond this on the occasion of this case.
ParlaMint-NO_2002-06-18-2.ana.ud2212e710	It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e713	As I mentioned in my post, there is a great deal of consensus in the message that is now being processed. We agree that municipalities should be given a greater consultative role in relation to different things. We agree that the planning processes should be improved, and we agree that special constructions and cities and places should be protected. So far – so good. But when it comes to the economic question, then the majority backs out and will not follow up on the fact that the municipalities that already have a tight economy are charged with additional tasks without having to keep up with money. We all assume that the government is aware of this and will come back to it in the further process. The working party and SV will also have a test scheme to try out free buses in some cities. It has been tried in other cities in Europe, with success. The situation in Hasselt in Belgium was very similar to that in which Kristiansand is now in, where there is increasing traffic and heavy pollution — traffic accidents are increasing, and it is not pleasant in the city. The triggering effect for improving the environment was that they put in a free bus. This led to a radical increase in passengers. In the election campaign, the candidates from the Right and Christian People's Party promised that this would be followed up in the Stortinget. Will the government follow up on the promises made in the Western Agdes in the election campaign?
ParlaMint-NO_2002-06-18-2.ana.ud2212e722	I belong to those who choose to take budgetary matters in the context of the budgetary procedure, and not primarily in the context of the notification and other current decisions during the year in Stortinget. But I understand that there's a virtue coming back, and it's probably former members of the finance committee who have a attachment to it. But I think we should recognise that in the context of communications, we are laying down principles, and then it is the government's task to follow up the intentions of what are the decisions in the annual budgetary processes. Because this has to be linked. As I said at the outset, I think it is possible to do a lot of good even within the limits you have. The municipalities do have something like NOK 200 billion, and there's a lot of money. I myself have been a municipal councillor for six years and have been in the building council for at least the same number of years, and I know the difference between good and bad planning. I also see that when I travel around Norway. Kristiansand is mentioned as an example here, where you have made a fantastic transformation of the port area, where you have even got a beach and a bathing area in the middle of the city, and where you have also got a green area, which is very positive. That's what this message is about, that we now need visions for greener and more environmentally friendly cities. In the case of promises that have been made in West Agder in the election campaign on free buses, I have to say that I have enough to keep up-to-date with the promises that have been made at national level. What's shown in the Collegiate Communication, which is my view at least, is that it's important to increase availability – i.e. the frequency of take-offs on collective offers – and I also think it's important to upgrade the material you have rather than to offer free arrangements.
ParlaMint-NO_2002-06-18-2.ana.ud2212e731	It is possible that someone might view my first post as a little negative, so I will start this line by being positive to two actions, which are partly within this case. One goes on this urban railway project that one has managed to get started in Bergen. That's what I thought was positive. But there are also many other urban projects, including: in Northern Ireland, which calls for increased efforts in this area. The second is about a proposal – on which SV in its time was involved – about a cultural memory fund, which is also important in relation to the problem we are talking about here. This is something that Stortinget has agreed three or four times that you have never been able to come with – but that this government has come with, and that takes care of any of the intentions of the urban environment message. I want to challenge the Council of State on the more concrete. I thought it was very good in the urban environment message. The Committee has formulated very well – that is, a breach of desire, how great it will be, etc., but when one comes to the concrete, whether it concerns the public communication, the urban environment message or the budget, a bit of the burden falls. So let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, Take this with superstructures of motorways that do something about noise and It can be done in a split layer system, e.g. between housing construction teams, Vegvesenet and the municipalities. What is it that makes the government council and government party negative to go into this, when you can actually save green space and agricultural land? Finally, why is it that you don't want to make Groruddalen an environmental zone when you know how many people live there and when you know how many health and environmental problems there are in the area?
ParlaMint-NO_2002-06-18-2.ana.ud2212e742	I would first like to thank you for the nice words about the message we have submitted relating to better land planning in cities and agglomerations. It should have been presented to the Storting a long time ago. Important principles are also established here in relation to the prioritisation of the environment in the planning process. The Ministry of the Environment is the highest planning authority in Norway, and these principles now established by the Committee will also lead the decisions that will be taken on our part in these matters. That's why we've got it squeezed out. In fact, there is a lot of power and authority in relation to running good planning around the municipalities. I think it is nice that we also underline the positive attitude we have shown in relation to urban railways and not least in relation to the cultural memory fund that we have now established and which, hopefully, can grow in the years to come. With regard to the concrete budgetary follow-up to what is stated in the communication, I think it is natural to include it in the annual budgets. Now I can't promise that for the autumn – along with everything else that is prioritised – we will fulfill these desires. Some of them I hope we get in the next few years, because it's important to make our cities more environmentally friendly than today. Some of it is also simple. I mentioned transformation, and I mentioned corn silos. The representative of Langeland was involved in over construction of motorways. I think that is an exciting initiative. I have no money I can promise away here and now, but I can promise that we will go into this and look at what opportunities it opens up for. Because there's a lack of land in cities. We're going to be able to keep them within today's framework, and not expand them so that there is a greater need for car use and less attractive for collective transport. Then we have to make sure that this density does not occur on the expense of the green areas, parks and markets. This is something we have to take with us. This is an exciting thought, because then you take advantage of a room that is not used for anything today.
ParlaMint-NO_2002-06-18-2.ana.ud2212e751	The communication on the urban environment is partly poetic and beautiful in its mention of everything that is good, and how great it will be in Norwegian cities. When we come to the instruments and how we're going to implement this, it's unfortunately much less musical. I want to address two things in relation to the challenges we face. The first is about public transport. The Urban Environment Communication states that public transport should be the backbone of the transport system in Norwegian cities. For some reason, the objective is not repeated in the collective communication. Maybe it should have been. Can the Councils clarify it? But what does the ‘backbone’ mean? If I say that I have the goal of at least 40 pst. of all the journeys made in a city to be made by public transport, have we reached the objective that public transport is the backbone? Or do we have to go even higher? What does the Council of State think about that? I also record that the government parties do not agree with SV when we propose to address something that is perhaps the most identity-creating for all Norwegian cities. They actually have it in common that almost all of them lie next to a river. And in the transition, in what we call the blue-green structures -- it should dress this government to be concerned about this -- there is also a lot of biodiversity and the exciting cultural landscape. We have called for an action plan to take care of this. Only one example, from Groruddalen: Alnaelva alone has more protected species than most Norwegian national parks. If we can take care of it, we've done something. And can the council also answer me: does he think that the Groruddalen is suitable as such an environmental zone?
