ParlaMint-NO_2002-12-17.ana.ud1638e61	The representative of Sylvia Brustad will make a private proposal.
ParlaMint-NO_2002-12-17.ana.ud1638e505	It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e508	It is important for the welfare community that we have an industry and jobs and value creation as a result. It is important for us to continue to have well-being, and for us to be able to use the incomes and natural resources we have in the country. At the same time, it is important that the environment be better protected, at least as well as it has now become, in the oil industry. The industry is totally dependent on it. I would like to thank the government parties for the cooperation we have had in relation to this position. It might be that someone thinks I'm going to feel bad about it. To that I would say I won't. If the government does a good job, I also believe they will get credit for it. SV does not believe that the impact assessment for the Barents Sea will be good enough. I am therefore pleased that the government parties chose to go away from SV's thought knowledge gap. I am glad that they said that the impact assessment should be so good that one could take a position on further development in the Barents Sea after it was there. And the Workers' Party assumes that the impact assessment being presented is good enough. Then the representative, Onarheim, was up in the pulpit and talked about the fact that the majority was really talking about a ‘special note’ together with the Workers’ Party. It's the one that goes on the impact assessment. Then my question becomes to the representative Liones: What does he add to the impact assessment that we in the Workers' Party require to be good enough to grasp the basis for further development in the Barents' Sea?
ParlaMint-NO_2002-12-17.ana.ud1638e519	First of all, I would like to thank Mr. Rolf Terje Klungland for his positive report on the cooperation with the Labour Party, and for the process we had in order to arrive at the formulation of such a clear policy. The representative also mentions the importance of industrial work. It means jobs, not least in the districts, which depend on it. Obviously, we also have common challenges here. We're very focused on it. Among other things, we are busy – as there will now be longer operation in the fields through tail production – that there will be a need to maintain and upgrade the platforms as part of the restructuring process. It means jobs again, and there should be opportunities for Norwegian industry, which has such a high level of competence and so many skilled workers. So the question of how we in the Christian People's Party evaluate what is going to happen after the impact assessment has been presented. The simplest answer is found in the message supported by the Workers' Party. And then we can see that in relation to what's in the Sem statement, it says word for word on page 8 of the setting. SV has simply referred to the Sem statement and referred to three main directions there. The same three main clues are that in what is the plural comments, that is, what will be the decision today, which we clearly say: the impact is to be presented first. Once we've seen the contents of it, and once the government has gone through it, then we can first decide what's going to happen. In any case, it states that the ‘multiple number’ is positive to the principle of overall management plans for certain marine areas. So, it's going to be followed naturally. But no one can advance any response until the impact assessment is complete. It's going to be incredibly exciting to see it, and then it takes really active work to get on with it.
ParlaMint-NO_2002-12-17.ana.ud1638e530	It cannot be easy to be a Christian People's Party at the moment. First, one cooperates with the Progress Party on Cheaper Spirits and Tax Lights for Nationals, and then one will cooperate with the Labour Party on environmental issues and on oil and gas business issues. It goes without saying that that result must be very difficult for the Christian People's Party. But I still want to listen to how the Christian People's Party in government thinks when it comes to this with consistency and management plan – if one now sees that a person is doing a thorough job with regard to the consequences, but still finds out that there is something that needs to be looked at more closely, for example. link to what the management plan provides when it relates to fisheries, the environment, transport and the whole activity. If one then finds out that an actual must go further and come close to a management plan, is it so to understand that the Christian People's Party also believes that 2005 will be a more natural time – perhaps when the management plan is ahead – to start oil operations in the Barents Sea?
ParlaMint-NO_2002-12-17.ana.ud1638e537	The representative, Hallgeir H. Langeland, expressed disquiet and concern in the context of the situation of the Christian People's Party. It's nice to have such expressions of sympathy, and it's not to be covered that it's imperative to belong to a party that's part of a minority government. Then there is a need to support both right and left in the political landscape – to stick to terminology. But it's the content of the issues that's decisive, and the voices are equally worthy whether they're given by the Progress Party or by the Workers' Party. How does the Christian People’s Party think? I can assure you that we have read the Sem statement in detail, and – as the oil and gas message also shows – we follow it up point by point. Once again, I have to show you page 8 of this setting. It says what the Socialist Left Party has introduced, namely that one should ‘ conduct an impact assessment of all-year petroleum activity in the northern seas’. That's the first one. The plural comments say that a ‘shows that the Government has carried out an impact assessment’ – that is, a natural follow-up! In addition, it states: ‘Until such a plan is in place, the Barents Sea will not be opened up further to petroleum activity’. It is precisely stated that this impact assessment currently being made must be ‘so thorough and comprehensive that it can provide a good basis for dealing with the issue of further petroleum activities in the area’. So third, one has to go in to get a management plan that follows. That means that the answer that the representative of Langeland wants now, we can only give when the impact assessment is done. We're assuming that she becomes so thorough and so complementary that she answers all the questions, so that no so-called gaps in knowledge lead to new rounds of distribution. The starting point is that we should get the answers and the information we need, in order to get on with the question of new activities.
ParlaMint-NO_2002-12-17.ana.ud1638e546	In the past, the central parties were united to say no to oil extraction in the Barents Sea. In this setting, we have experienced that a majority, including the Christian People's Party, speak of the need for the 'long-term development path'. That means the Barents Sea is opening. We have received signals today that it can already be opened the next autumn. Now, Ingmar Lions nuanced this in his post, but it's obvious that there's a little bit different vision here. Governments have also reported that oil extraction in the Lofoten area may be relevant. The center party is very concerned about this. We might see the old friends have failed us a little bit. We believe that this is an unacceptable risk, both in relation to the environment and fisheries. So my question to the Christian People's Party is: Where will the Christian People's Party set the limit for future oil operations? What is it for the Christian People's Party to say no to the extraction of oil and gas when one now opens up to the use of these vulnerable areas?
ParlaMint-NO_2002-12-17.ana.ud1638e553	It is not advisable to answer the questions that the representative Inger Enger just asked, briefly and well because it is not possible to answer them until the impact assessment is carried out. And once again, we expect this distribution to be so thorough and comprehensive that it can shed light on all aspects of what's going to happen, and the activities that can be allowed in the north. It will then be a challenge, not only for those who make up the majority today, but for everyone in the Biggest, how to take care of this unique and important area, where the environment is very central, but where we also have industrial interests such as fisheries and petroleum industry. And precisely because the petroleum industry is so decisive for our development, we have to be prepared to exploit the area, unless it conflicts with other important interests. We are going to be briefed on this, and then we are going to take the debate.
ParlaMint-NO_2002-12-17.ana.ud1638e559	The cord shift is over.
ParlaMint-NO_2002-12-17.ana.ud1638e562	It's good that we go through St. Report. No 38 have been given the opportunity to discuss the large lines of gas and oil activities. The message tells us that the petroleum industry will continue to be an important industry for Norway for many years to come. At the same time, it poses new environmental challenges when the extraction rate is to be increased and petroleum activities are to be started in new areas. For the centre lot, it is important to balance the considerations of industry and employment in the petroleum industry against the need to protect the environment and not to harm the fishing activity. The oil and gas notification presents two possible development pathways for the petroleum activity. One is the long-term development path, which the Government recommends that we follow. Here it is assumed that the authorities are laying out new attractive areas for exploration and extraction. It is also envisaged to open the areas from Lofoten and northwards to the Barents Sea for oil extraction. Such assumptions may not be supported by the Centre Party. The second prerequisite for the long-term development path is the development of new technologies. This includes, inter alia: necessary to increase the degree of extraction in existing fields. We're completely behind this assumption. As an equivalent to the long-term development path, the Government presents the ‘way of weather’ in which the petroleum industry is stagnating and almost being phased out in 20 years. This development strategy cannot, of course, be accepted. The Central Party has therefore felt it necessary to point out that the political debate on oil and gas policy must focus on economic and environmental realities and not on the two strategies presented by the Government. Petroleum policy must assume that oil and gas are non-renewable resources that must be managed in the long term. The level of investment and extraction must take account of the environment and the responsibility for future generations. A reduced rate of oil and gas extraction will lead to the spread of the ring-fenced effects of oil and gas activities over a longer period of time. So for the Central Party, it's important that we have a long-term outlook, that we save some resources for future generations, and that we take environmental protection into account before we start oil and gas extraction in new areas. At the same time, the petroleum industry is very important for the Norwegian economy and for employment in many neighbouring industries. We support the Government's objective of increasing the extraction rate in existing fields and of extracting smaller oil and gas fields in relation to existing production facilities. It'll be resource depletion if we don't get this done. Increased extraction rates require the development of new technologies that prevent or purify the release of water produced and reduce the need for the use of chemicals. We believe it is right to streamline the allocation of extraction permits in mature management areas. The centre party is concerned by the situation of the Norwegian supplier industry. Industry needs to be ensured evenly with missions, and we need to find out why Norwegian businesses are losing important jobs. It is important to ensure Norwegian ownership and that companies are associated with Norway in the oil and gas industry. Companies should have offices and research units in this country. We must maintain the current state ownership of Statoil and continue to take shares in fields where profitability is good or resource potential high. The ecosystems in the Barents Sea are vulnerable. When we get the expansion of the Snow White field, it can maritimely mean an increased risk of environmentally harmful emissions at sea – and now I am on Document No. 8:9, which is also to be dealt with today. We had hoped that there would be a majority to go in for this. We have to expect that there will be greater shipping traffic near Hammerfest and near the coast of Finnmark. It is therefore very unfortunate that the proposal for an environmental monitoring centre near the Snow White field is not supported by the majority.
ParlaMint-NO_2002-12-17.ana.ud1638e581	It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e584	Full-year North Petroleum activities will facilitate the development of industry and the creation of value added in the northern part of the country. Many new jobs will be created. This can help to ensure that the continent can stand on its own feet independent of transfers. Snow White has undoubtedly created new optimism in Hammerfest. Aetat has already registered more than 10 000 people who want a job in connection with the development. The number of competent applicants for the posts is very high. In fact, snow White has provided the largest return to Finnmark since the war refugees returned in the late 1940s. With the Snow White development, the area has received investments that they have never been close to before. The centre party claims to be concerned with just value creation and district development. Why, then, does the party object to the expansion and rejection of further activity in the Barents Sea? The representative Enger just said that they want to reduce activity in general to distribute this over generations. How long does the Center Party want to wait? Does the representative see any alternatives that can contribute in the same way to the creation of value added and growth in our northern part of the country? Isn't it true that the Center Party is failing the districts? Isn't it true that the centre party is just busy with the transfers and doesn't make it easy for you to stand on your own legs?
ParlaMint-NO_2002-12-17.ana.ud1638e593	The center party is engaged in business development, and we are engaged in the districts, as Meling correctly expressed it. I know there's a lot of talk about transfer in connection with the Center Party. I think that's getting a little too narrow. That's one side of it, but that's not what we were going to be concerned about here. When we talk about Finnmark and that Snow White has created optimism in the area, it is certainly right. It is also right that the Central Party went centrally against the development of Snow White, while the Centre Party locally – I think it is right to mention it – went in order for Snow White to be expanded, considering the workplaces. But now it's like the mother party has to rise a little bit higher and try to look at several sides of it, and for us it was when the environment became crucial. In addition, there is another very important industry in this area — and the representative of Meling is well aware of this — namely the fishing industry. And that's the one that was our greatest concern in this context, because it's not enough to facilitate one industry if it goes at the expense of another. That is why this is very serious. When it comes to Snow White, there's been a lot of talk about the big economic overruns there right now, and the Statoil manager says that he couldn't have imagined an expansion if he had anticipated these cost excesses. That's what I think I'm thinking, because in many ways it should be easier to predict the costs of expansion than for example. to be able to assess environmental risks and ecological contexts in advance. It's serious.
ParlaMint-NO_2002-12-17.ana.ud1638e604	Several have not asked for the word for a line.
ParlaMint-NO_2002-12-17.ana.ud1638e607	Our petroleum resources represent significant values for Norwegian society. It is important to ensure that the petroleum sector becomes a major contributor to the financing of the welfare society and to industrial development throughout the country, including in the future. The challenge for Norway in the years to come is to avoid the massive petroleum revenues we will experience being passed on to other businesses and the employment we will live on in mainland Norway. In such a perspective, it is important that the rest of the business policy is geared towards innovation and innovation. The largest values remain in the remaining oil and gas resources on the Norwegian continental shelf. And today's big message points to the major challenges this poses to the efficient extraction of resources with the least possible damage to the environment. The left supports a comprehensive committee, which points out that investments will be important in order to increase the degree of exploitation of existing fields. A liberal environmental policy is based on the fact that the consideration of our own freedom should not affect people in other parts of the world or future generations. An important principle is the precautionary principle. All our activity must occur within the limits tolerated by nature. It requires that we be careful about nature, and that the environmental consequences should be monitored as well as they can be done in advance of natural interference. Doubts must benefit the environment. It has been called into question after the Committee has given its opinion in the case of a proper impact assessment of the additional petroleum industry in the Barents Sea. The left does not accept the launch of additional petroleum activity in the Barents Sea, including Goliath and Snow White oil extraction, until an impact assessment is carried out. Environmental considerations must govern decisions on oil extraction in new seas. The Barents Sea is a vulnerable sea area with an unstable climate that will hamper any oil spill clean-up action. The impact analysis must therefore highlight the different problem areas of all-year oil extraction as far north as possible. In addition, distribution should clarify the impact on animal and plant life in the area. The left cannot support the extraction of oil in the Barents Sea unless one in the distribution provides comprehensive evidence that this is environmentally sound. Oil companies’ investments in the area cannot be given a decisive weight if environmental considerations are going in the opposite direction. After reading the opinion of the committee, and after listening to the debate today, I cannot see it as SV is trying to present it, that what is in the plural commentary is against the Sem statement. We believe that the Labour Party, Right, Christian People's Party and Left will have a proper environmental impact assessment and will have everything on the table before a victory for extraction in the North. So to what's going on on shipping, and what the Center Party in particular has been busy in this setting. This will come back to you in the wake of the big news about the marine environment, and I'm very happy about it, because then you'll see the whole thing in the ship's traffic paths, the whole thing in readiness that has to go along our entire vulnerable coast. Finally, a theme that has probably not been so advanced, that of research and development, that of strengthening research in the field of petroleum technology. We're at the forefront of Norway's petrolem technology, and here we have some advantage. This is something that we can develop and invest in, we can kind of sell our technology, sell our knowledge. The fact that there is now a signal in the message that one will take care of and further develop the environments of competence that exist around Norway, I think it makes sense.
ParlaMint-NO_2002-12-17.ana.ud1638e624	It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e627	I am pleased that many have underlined the need for a thorough impact assessment before making strategic decisions on the opening of the Barents Sea or the Lofoten and northwards for oil activities. Nevertheless, I think we have a debate about this impact assessment as if it were something big and generous, which we're going to start thinking about tomorrow and where we're going to start with blank sheets. There is an impact assessment programme to be completed in March. In its opinion on this programme, the SFT wrote the following: ‘The vast majority of the area has not been adequately surveyed for environmental resources and there is no complete and up-to-date knowledge of the dynamic physical and biological variations known to the Barents Sea. Therefore, as a basis for decision-making by the authorities, the investigation will be incomplete.» The SFT has proposed that the knowledge gaps to be revealed in the impact assessment to be completed in March should be close before strategic decisions are made on what will happen in the Barents Sea. It requires new research, and it requires an impact assessment Part 2. For us, it is essential that we show such awe for the complexity of the ecology in the Barents Sea that we take the time to investigate this thoroughly. And that's not the way it was in the former Soviet Union, that you can assume that there's no problem here. Nor can we decide that in March we will arrive at this.
ParlaMint-NO_2002-12-17.ana.ud1638e641	As I said in my post, a statement must clarify the consensus for, for example. animal and plant life. The left one actually means that everything should be done on the table, everything should be done before a decision-making basis is put forward. And I expect that the government will follow up. But I also don't see the difference between SV's and the government's comments, because I think everyone in this room is busy getting everything on the table before we decide what to do. And as I also said, for the Left, it's important to have a precautionary principle, and that environmental considerations are the most important.
ParlaMint-NO_2002-12-17.ana.ud1638e648	Several have not asked for the word for a line.
ParlaMint-NO_2002-12-17.ana.ud1638e652	One of the most interesting issues today is the question of future oil activities in the Barents Sea. It is a matter which also concerns me, primarily from the point of view of fisheries and the environment. In February of this year, the Stortinget said yes to the Snow White extension, despite the fact that a comprehensive environmental management thought it was wrong to make a decision before we had completed all-year petroleum activities in the Barents Sea. In the setting, I had my own comments and voted against the Snow White extension. In my post I said, among other things.\t\t You can change the settings of the grid. \t\t ‘The Barents Sea is one of the world’s most fishing regions and a very important growing area for the fish that forms the basis for the fishing industry along the Norwegian coast. At the same time, it is a very vulnerable area, including: long darkness time – and oil degradation time is long. The consequences of an accident are likely to be greater in the Barents Sea than in other parts of the Norwegian Socket.’» That's what I said, and it's equally true today. Oil extraction is controversial in vulnerable sea areas. Not just a collective environmental movement means it. For example, the Ministry of Fisheries wrote in its opinion on the Snow White Development in July last year that they had ‘great concerns that this sea area should be subjected to an environmental impact that could lead to a reduction in the productivity of marine resources’. [[i.e. the Barents Sea]] Therefore, when this is so controversial, it must be a minimum requirement to have proper impact assessments on the impact and risk of oil start-ups. At the National Assembly of the Labour Party in November this year, a compromise was adopted saying that we want to ‘base of overall impact assessment shall determine the sea areas open to petroleum activities and the sea areas to be petroleum-free’. It is a milestone that the Working Party has established the principle of petroleum-free sea areas. The size and location of these should, as stated in the decision of the national meeting, be decided on the basis of an overall impact assessment. The Labour Party, the Right and the Christian People's Party have joined forces on a compromise in this matter. We say in our attitude that we assume that the impact assessment launched by the Council of State will be so thorough and comprehensive that it can be a good basis for dealing with the question of further petroleum activities. We can't know what that impact assessment will tell us today. We can't foreshadow that, for example. is capable of extracting oil near the coast of North Norway or the Barents Sea. Then there would have been no sense in getting it started. It is therefore up to the Council of State to have a firm grip on this matter. It is the Council of State which is responsible for giving the Storting the best possible knowledge of the decisions to be taken, it is the Council of State which, on the basis of knowledge, is to propose which areas can be opened up to petroleum activities and which should be petroleum-free. This is a big and important task, and it's probably one of the things Einar Steensnæs will be remembered for when the story of the Bondevik government is going to be written. For my part, I expect two things: firstly, I expect him to base the precautionary principle. In other words, where there is uncertainty, it must benefit nature. Secondly, I expect cleanliness and clarity. Unfortunately, there have been rather conflicting signals from the Council of State in this matter. Because at the same time as the Council of State says he's going to do all-year petroleum operations in the Lofoten-Barents Sea area, he was on the radio last Friday and said that in a few years' time the search for oil will take place so close to land that the inhabitants of Røst can see the lights from the platforms from their living windows. Then I just want to remind the Council of State that oil extraction right outside of Lofoten is very controversial, and that the Stoltenberg government actually stopped the test drilling outside Røst after a joint fishery industry and several environmental organisations had demanded a postponement. The Storting has today agreed that the Government will conduct all-year petroleum activities in the Lofoten-Barents Sea area. How we're going to deal with the investigation is going to be a new discussion when it comes. It is then important that the majority of the population dares to use the precautionary principle.
ParlaMint-NO_2002-12-17.ana.ud1638e689	I have listened to this debate with great interest, and I think it has been a good and clarifying debate, but of course also a challenging debate. The petroleum sector is of great importance to Norway. It is an important part of the Norwegian economy and has also made a significant contribution to the development of the Norwegian welfare society. Oil and gas industries are currently Norway's largest industry. In the General Communication on Oil and Gas Activities, the Government focuses on the resource potential on Norwegian pedestal and provides opportunities for the Norwegian value creation and industrial development community. This is illustrated in the Storing Communication by the «long-term development pathway» in relation to the «weathering pathway». It is the Government’s clear objective to ensure that conditions are facilitated to realise the value potential of the long-term development pathway. This is very demanding, especially when looking at new interesting areas requires thorough assessments for both environmental impacts, fisheries and other important societal considerations. But if we succeed in this, we can look forward to 50 years of continued oil activity and at least 100 years of gas extraction. It is an important condition for this government that further developments on Norwegian pedestal take place in such a way that resources are managed efficiently and sustainably and that due account is taken of basic environmental and fisheries resources. At the same time, there must be a strong focus on health, the environment and safety at all levels of activity. I noticed a certain wound undertone in the representative Enger's posts here. But I can reassure her that this is a policy she should be able to feel at home in. It is a continuation of the policy she recognizes from the cooperation of the central government, and therefore, for good reason, she should also be able to join. But that's what she decides, of course. Norwegian oil and gas policy is based on a model of coexistence between petroleum activities and environmental considerations and other marine users. On an international scale, Norwegian capital is well advanced in the use of environmentally friendly technology and in improving its efficiency. More and more stringent environmental and safety requirements are being imposed on Norwegian pedestals. Emissions to sea from petroleum activities are very limited in relation to other sources and industries. However, the government wants to further limit these emissions, including: by ensuring that the zero emission target for environmentally hazardous substances at sea is achieved by 2005. In order to ensure that decisions on the petroleum activities in the northern seas are taken on a sound basis, the Government has initiated an investigation into the consequences of all-year petroleum activities in the Lofoten-Barents Sea area, abbreviated ULB. The purpose of this investigation is to be forwarded to the Government during the autumn of 2003. The Government will await the conclusions of the ULB before finalising the decisions that can be taken on the basis of this document and the decisions that have to await the forthcoming overall management plan for the Barents Sea. It is proposed that the management plan be submitted to the Stortinget in 2005, possibly in 2006. In its position, the majority of the Committee on Energy and the Environment argues that ‘this impact assessment will be so thorough and comprehensive that it can provide a good basis for addressing the issue of further petroleum activities in the area’. This is in line with the procedure I have described above and in line with the Sem declaration. I also point to the fact that at this point, the High and Christian People's Party groups say ‘satisfaction with the government's commitment to its policy’. This is reflected in a joint press release from these clusters. I would also like to refer here to the representative Synnøve Konglevoll's posts, where she said that we are adding up to an establishment that allows the lights from the installations to be seen from Røst. I make it clear that I have cancelled what NRK Nordland meant to catch up with my statement when I was visiting Bodø. There was a reference to an interesting seismic and geology near the coast of Northern Ireland but not yet open to such activities, and which this Council of State has not in any way taken into account in its plans, nor in the long-term development path. The development and application of new technologies will be an important element in achieving the long-term development path. The State has, as the landowner, resource manager and participant through the EEAS, the main economic interests associated with the petroleum resources on its Norwegian base, and thus the greatest interest in the development of new technologies. The tax income from the activity is about 90 pst. by the value creation of the country. The Government will focus on the development of new technologies and competences in the petroleum sector. In this respect, I also point out that a majority of the Committee on Energy and the Environment in the Budgetary Section. S. No 9 requests the development of different public co-financing models for research in the petroleum industry, including a petroleum-oriented research fund. This will be followed up by the Government. I briefed briefly on the cost increase in Snow White on 12 December. The project has now been addressed by Statoil’s Board of Directors and Statoil, which the operator has submitted a new cost estimate for the development. I have asked Statoil for a report on the cost increases in the project, and the information provided by the operator is the basis of my statement now. Statoil has calculated the total cost increase for the project to be DKK 5.8 billion. SEK 4.4 billion is due to an increase in the weight of the farm – the weight was underestimated by about 50 pst. in the development plans presented to Stortinget. In addition, 450 million are due. NOK a shift of costs from subsequent phases, and SEK 950 million. kr is linked to the delays that occurred in the ESA case. Statoil states that the reason for the cost increase on the land site is that they had too little attention and used too little resources in the preparation of a detailed land site calculation basis. This led to the lack of technical maturity of the project in which the rightholders decided to submit the development plans for regulatory treatment. In the autumn of 2002, a number of reviews of the Snow White project were launched both by the operator and by the partnership. Among other things, carried out a thorough review of the technical concept and its related costs. The estimated cost increase of SEK 5.8 billion is the result of this review. Statoil has also made changes in its own organisation and in relation to the follow-up of the German company Linde, which is responsible for the technical design of the land-use facility. The operator states that Linde will be closely followed up in the future. Statoil believes that these reviews have helped to make the project more mature. Furthermore, they believe that the timetable for the project, which involves the start-up of the plant in December 2005, is tight but feasible. Statoil estimates show that the project remains socially viable. The present value before tax was estimated in the development plans at approximately NOK 11.6 billion. After the cost increases have been taken into account, the present value before tax will be approximately NOK 6.5 billion. After tax, the present value is reduced from approximately NOK 2.6 billion to NOK 1.2 billion. The project will also contribute to high incomes for society. For example, Snow White owners will pay SEK 73 billion in taxes over the lifetime of the field. The present value of this tax income is NOK 4 billion. Cost developments in the Snow White project are worrying, and the situation that has arisen is very unfortunate. It is the responsibility of the operator to ensure the proper development of the project in the future. As Minister of Oil and Energy, I have a responsibility to keep Stortinget informed about the development of the projects. I will therefore follow cost developments in Snow White carefully.
ParlaMint-NO_2002-12-17.ana.ud1638e731	It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e734	With regard to the snow-white situation, I fully agree that it is very worrying. It's serious, and it's most of all a very undesirable situation. I would like to thank the Council of State for its briefing, because it is very important for the Storting to be briefed as soon as possible when such serious things happen. It might have been interesting to know how long the Council of State has known that it could indicate that there could be exceedances of this magnitude, or whether this is something that he has recently become aware of could happen. I would also point out that a majority in the vote on this matter said the following: «The majority assumes that the investment calculations are ensured in order to minimise economic risk.» – Does the Government believe that the investment calculations were properly reviewed? And can the Council of State assure us that there will be no more exceedances hereafter?
ParlaMint-NO_2002-12-17.ana.ud1638e748	As far as information to the Storting is concerned, of course, where the responsible State Council has information relating to the assumptions on which the Storing has based its treatment, the Council of State comes to the Storing with the necessary information. That's why I found it necessary before the figures were quality-proof, but after I got information about these exceedances, to give preliminary information to the Stortinget when the Committee on Energy and the Environment dealt with the budget. Then, during the budgetary procedure, I said that I would come back to Stortinget in an appropriate way when these figures were quality assured – therefore this briefing today. I am grateful that the Presidency opened up so that I could provide this information. Of course, Statoil's calculations and review have made it possible for us now to expect progress in this project to be based on more quality assurance figures. As I said, the project is now mature in the sense that you know more about the costs and the leadership. I would like to stress that this is a very complicated project, and the worrying thing is that the cost excesses are coming so early in the project implementation. When this project is continued, it is more complicated, more challenging and all the more important that the operator assumes responsibility to control all costs and processes. Therefore, of course, it is not possible for me to guarantee that the figures that I have now explained will remain in the project's further production, but I have to deal with what the operator has said in relation to the fact that they are following this project carefully, and that they have invested considerable resources in the quality control of the figures. I'm sure that as an organisation, Statoil is now putting all the resources into making sure that the numbers they've been operating on now are going to keep the project going.
ParlaMint-NO_2002-12-17.ana.ud1638e763	We in the Progress Party are seriously concerned about the cost development of the Snow White project. Some of the cost increases are due to delays due to the ESA case, and we have been aware of this for some time. But unfortunately, it seems that the operator has not had the necessary overview from the start, especially in the case of the land-use facility. This is not good! We therefore assume that the Council of State keeps Stortinget continuously informed about the further development of the project, and I expect that for the time being there will be no such unpleasant surprises. Then over to tax on the base. More in the oil industry, including: Group Director Torvund of Norsk Hydro has stated that today's tax system is countering important Norwegian oil policy objectives. I have also registered that the Council of State has welcomed a new debate on the oil tax. Like me, the Council of State was present at the OLF annual conference a few weeks ago, where this was a theme, especially when it came to tax incentives for niche and tail production. What has now changed the meaning of government councils and government parties? Our proposal in the financial position was voted down, and it does not seem that we are receiving support today to set up a sample to review the tax agenda on the base. Now, all of a sudden, we're going to put a lid on the whole debate.
ParlaMint-NO_2002-12-17.ana.ud1638e777	In the case of the Snow White project, I can confirm, in line with what I have already stated, that I will keep constantly informed about the cost development and, of course, as soon as there is information of such a nature that this will affect the assumptions and information the size has previously received. When it comes to the tax question, we have to realize that as parts of the Norwegian base become more mature, we are facing new, interesting opportunities. We've only taken up about a quarter of the estimated resources on a Norwegian base, but some of the remaining resources are so designed both in terms of volume and complexity in relation to geology that if you're going to get profitability, you might have to look at the framework conditions to get the companies interested. This is a very interesting and important debate. I have then stated, also at the annual meeting to which Mr Vaksdal referred, that I am prepared and interested in entering into such a debate with the industry. I have also referred to the Top Leadership Forum within Konkraft as a suitable forum for discussing these issues. Of course, there would be a certain contrast of interest between the wishes of the companies for maximum dividends on invested capital and the desire of the state – and mine, on behalf of the community – for the community to have its share. There will be a certain conflict of interest. What underlies my treatment of the tax question is that projects that are profitable before tax should also be profitable after tax. But if projects are unprofitable before tax, we cannot add up to a tax regime that makes them profitable after tax. I base the two basic principles in my conversation with the industry, and with these assumptions I attend an interesting, open discussion on the framework conditions for the Norwegian base. My goal is to keep the international companies interested in continued presence on the Norwegian pedestal.
ParlaMint-NO_2002-12-17.ana.ud1638e788	It was interesting to hear that the Council of State said that the principles of taxation on the base should be that what is profitable before tax should be profitable after tax. I agree with the heart. But that's exactly this principle that's been deviated from in the development of Snow White. There is a tax subsidy that initially started construction. $2 billion of society's money has gone to this. I also find it discouraging to note that the Government is now redefining and reinterpreting its own statement, namely the Sem Declaration, relating to the development of the Barents Sea. I find it hard to understand this in any other way than that this is enough an example that the Christian People's Party does not have muscles in this Government and loses by all important crossroads, especially where the environment is involved. Then again to Snow White. When Olav Fjeld says that he would not have started this project if he had known today about the exceedance of NOK 5.8 billion, it says a little about how the company assesses this. The company has received tax subsidies to start. Now, before the project has started properly, we have an exceedance of DKK 5.8 billion. There's something the council doesn't say here. He says the state will get 90 pst. of the revenue. Yes, that's right, but here there'll be limited revenues, for 90 pst. the costs will have to be borne by the State. That means that we are here in the Storting that bear the cost of the exceedance. Of these 5,8 billion kroner that are so far exceeded, we're carrying over 5 billion dollars of the costs in the Storting. Just think about how much DKK 5 billion is related to kindergartens, related to school development, related to welfare production in general. It is almost impossible to get a ten thousand kroner in this house without it being called irresponsible. It surprises me that the Council of State, with open eyes, is going into this. For this is the story of a notified murder – a notified murder! This is a scandal that will only increase to an extent. This is the most controversial expansion project we have had in Norwegian oil history. It is linked to both the environment and fisheries, but now it is also linked to the economy. My question to the Council of State is, what is it really going to do to make a new assessment of this? Do we not have enough information to suggest a new, changed attitude?
ParlaMint-NO_2002-12-17.ana.ud1638e800	In the case of the first two points that the representative Djupedal so far was in before he took care of Snow White, which was probably the main theme of his line, I cannot give him right at any point. Snow White is not an example of profitable pre-tax projects not becoming profitable after tax. It's just that the Snow White project is a profitable project with the tax system we have today. I don't want to give him justice when it comes to the ULB either. It has now been clarified – and I think to the extent that the debate put this in order in a clear way: there will be no new activity in the Lofoten and Barents areas until an impact assessment is available. When that impact assessment is available, we have a basis for saying how we're going to move on. If new knowledge is needed, new knowledge gaps will be covered. If this is completely clarifying, we have a situation we can deal with relative to further activity. In the case of Snow White, Øystein Djupedal used rather powerful words to denote this. I'm not going to comment on that. But when he says that I go into this with open eyes – yes, I do. In fact, it is important to have open eyes and open ears and receive all the information that the operator now provides to the ministry. That information I have said that I will pass on to Stortinget. It is the Stortinget that has approved the project. It's quite right, as Øystein Djupedal says, the community bears a great deal of the cost of these exceedances. At the same time, I must again stress that this is a profitable project. The snow-white owner will pay NOK 73 billion in taxes, and still it is profitable with a present value of NOK 1.2 billion.
