ParlaMint-NO_2002-05-29.ana.ud356e28	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2002-05-29.ana.ud356e641	Thanks for the answer. Falun Gong is a group of others who are being persecuted in China. According to Amnesty International, the largest group in the world today is being persecuted and tortured. Falun Gong are people who don't have a political agenda. On the contrary, at my discretion, they can be perceived as people trying to live by good, old virtues like truth, awareness and tolerance. Does the Minister of Foreign Affairs see too many so-called non-political groups being created a special situation in relation to human rights? It's just that these groups don't say in any way that they want to roll over the regime. Does the Minister of Foreign Affairs see these groups coming in a special situation?
ParlaMint-NO_2002-05-29.ana.ud356e650	Bjørn Jacobsen is on a very important track, namely that as politicians we often tend to concentrate on those parts that have clear political overtones. But it is very important that society as a whole is designed so that all citizens of society feel that their rights are well preserved. It's just this broad approach angle that I think is very important in terms of human rights work in China. There is no doubt that in a number of areas we see many serious features that will be the subject of this dialogue. But luckily, it is also possible to register positive features. That is why we look forward to the next steps in this dialogue.
ParlaMint-NO_2002-05-29.ana.ud356e655	Again: Thank you for your answer. That's true of a lot of areas. There are restrictions on freedom of expression, religious freedom, freedom of association, professional justice. And there's a breach in the justice system. We also have Tibet, and we have the Xinjiang problem. How is Norway going to bring this up in concrete terms in the current human rights dialogue in the summer? How concrete will Norway be, and what demands will one make to China, perhaps not least in relation to the trade that we are also going to have with China?
ParlaMint-NO_2002-05-29.ana.ud356e662	As I mentioned, in a month's time, we'll have the next round table. Then there will be a broad dialogue with China on a number of questions raised. I'm not quite sure what Jacobsen meant by the last reference, to trade, but I would remind you that now China is a member of the WTO, and we are subject to the rules that apply there. If I can ignore that part of the question, I just have to confirm that the very dialogue we're going to have is wide, but it's also of a principle nature. This means that there is often also a need for specific lists. And that's what we like to deal with when there's political conversations, like it was done when the prime minister was visiting China not many months ago.
ParlaMint-NO_2002-05-29.ana.ud356e673	I allow myself to ask the following questions to the Minister for Finance: ‘In its decision of 21 June 2001, the Government of the Ministry of Finance decided that the tax rate should be represented in White Seaside with an establishment office. By letter of 7 March 2002, the Ministry of Finance has re-assessed and decided that the department should be represented in White Seaid in an office with office function or in a public service office. What is the reason for this change?»
ParlaMint-NO_2002-05-29.ana.ud356e682	West-Telemark is an equation district, one of the smallest we have in the country. The five municipalities that make up the district have a total of 13,500 inhabitants. The district office, which is the administrative headquarters in the district, is located in Vinje. In addition, there is a branch office in Seljord and Fyresdal, and the office is represented in an office with office functions in Tokke and in Witteseid. This structure is very demanding to operate in relation to the intentions of the new model organisation of the equation management, which is to facilitate good trade unions and improve resource use. Ten-twelve employees are currently divided into three offices. A fourth office office in Witteseid will therefore, according to the Ministry's renewed assessment, be very unfortunate in relation to the intentions of the reorganisation. From May 2001, the Equation Function of White Seaid as a temporary scheme pending the implementation of the new office structure has been co-located to Seljord. This scheme appears to have worked well after the establishment's experience. There is a short distance between the White Seaid Center and the Seljord Centre, 18 km, Seljord is a trade center for the district, and many inhabitants of the White Seaid have their workplace in Seljord. Overall, the Ministry considers that the new organisation of Equation Management in West Telemark meets both the needs of the tax base for good trade environments and improved resource use and the needs of taxpayers for services and accessibility. The people of White Seaid shall be able to meet at least as well as before.
ParlaMint-NO_2002-05-29.ana.ud356e691	I thank you for your answer. I wonder about this reverse operation from the department, and I refer to the long democratic process that led to the Stortinge choosing the district model when the structure of the equation center was created. I can't see that there have been any new moments in the matter that were supposed to bring about a changed decision in the department. The objections now raised by the Council of State have been known, and the government of Stoltenberg adopted the final structure last year, when the White House was assigned to the office of the office. I now see that the directorate uses arguments such as that most residents of White Seaid find few disadvantages in the fact that the agency has for some time been located in the neighbouring municipality of Seljord. My question to the Council of State is: Is this just a view from the Directorate's side, or is this view based on a real investigation?
ParlaMint-NO_2002-05-29.ana.ud356e700	It's hard for me to answer that question. I have to base the ethos assessments as well as professionally justified. Whether other assessments can be made in the light of practical experience, there are probably different points of view. But I do believe that an agency that has been required to strengthen its professional environment, to make better use of the taxpayers' money and to be accessible to taxpayers, must also be able to draw the practical experience that has been gained with the establishment structure, or the office structure, in West Telemark. That's why I'm going to take that into account.
ParlaMint-NO_2002-05-29.ana.ud356e705	I'll thank you once again for your answer. Let me try another angle of incidence. I also see that the directorate has used the argument that the housing of those added to the building is an argument in this case. Does the Council of State mean that this should be a criterion to be emphasised by reorganisations? And will the Council of State review this case again and go back to the original decision, i.e. a local office that is similar to the previous Equations Offices? Or is it so to understand that the matter is now finally settled?
ParlaMint-NO_2002-05-29.ana.ud356e712	I do not see any elements that have emerged, either here or before, that would require a restatement of the decision. I repeat what I said in the introduction, namely that the population should be able to meet at least as good a service as before, with the office structure that is now selected. I also want to add that the important thing from the point of view of a government representative and a government council is that we get a qualified establishment, which is able to act properly and fairly towards taxpayers – in other words, the need for a good professional environment. That's the boss. In this context, the residence of the employees is subordinate to those of the employees.
ParlaMint-NO_2002-05-29.ana.ud356e724	I have the following questions for the Minister of Finance: ‘In parts of the EU, new and almost sulphur-free environmental fuels will be introduced from winter 2003 onwards. Statoil and Shell are now investing heavily in the Mongstad refinery in order to be able to produce petrol according to these requirements already in the winter of 2003. However, this environmentally friendly petrol costs 12 to 15 cents more per year. litres to be produced. Will the Council of State in the 2003 budget propose the necessary tax cuts to ensure that this petrol will not be more expensive for the consumer than the corresponding fuel costs today?’
ParlaMint-NO_2002-05-29.ana.ud356e733	The EU is currently working on a new fuel directive. It is agreed that the sulphur content requirement for auto-diesel and petrol shall not exceed 10 p.p.m. – parties per million – and that such a sulphur-free fuel will be available on the market from 2005. Sulphur-free fuels are already available on the market in several EU countries. According to the Norwegian Petroleum Institute, Norwegian oil companies can supply such sulphur-free automobile diesel from 2003. The Norwegian Petroleum Institute has requested a tax advantage for sulphur-free automotive diesel and estimates the necessary tax incentive at 7 øre per øre. liters. With such a tax advantage, according to the Institute, almost the entire Norwegian market could be covered with sulphur-free diesel in the first few months of 2003. Similarly, it could be possible to stimulate a switch to sulphur-free petrol. The Mongstad refinery began work on a new plant for the removal of sulphur from petrol at the turn of the year. According to Statoil, this plant will be ready for production in the spring of 2003 and will then be able to supply petrol with a maximum of 10 p.p.m. sulphur. In the context of the 2003 budget, I will, in cooperation with the Minister for the Environment, assess whether it is appropriate to introduce a tax incentive for sulphur-free fuels. In this context, among other things: important to assess whether the environmental benefits of a transition to sulphur-free fuels are proportionate to the costs of such a transition.
ParlaMint-NO_2002-05-29.ana.ud356e744	I thank the Minister of Finance for the answer. I interpret it so that he is positively prepared to do something about it. I think this is a good measure. An economic incentive here will be a good environmental contribution, it will also be possible to implement without any particular resistance in opinion, and it will have no dramatic negative effects. According to the information I have, it's 12 to 15 cents. I see that there is a new type of engine – it was in Dagbladet on Sunday – which means that by using such sulphur-free petrol, one will also use 30 pst. less petrol. So you're going to get less pollution per unit. quantity of petrol consumed, but one also gets cars that use less petrol. My supplementary question is: can the Minister of Finance not be a little more specific about whether he can make promises about incentives in connection with this?
ParlaMint-NO_2002-05-29.ana.ud356e755	I don't have much on car engines at all, but I base the questioner's information and I think it's good if we can get car engines that are also cheaper in operation – that's exactly what I'm doing. Then there was the specific question, whether I can be more specific about what the Government is going to be in the 2003 budget. No, I don't want to be, either in this or in other areas. I think it's long and assertive practice for in the government's relationship with the Storting. I think it's wise. But the representative is right when he sees me as positive.
ParlaMint-NO_2002-05-29.ana.ud356e764	I have to admit that I don't have anything special about car engines either. But this is an information that's been printed, and then one at least assumes that it's right. I'm sorry we can't get a concrete promise right now. As this hangs in the air, it will create security for the oil companies if they are to invest in this on the Norwegian market. In any case, if a tax incentive for this environmentally friendly petrol is not available, it would be difficult, not to say quite impossible to sell on the Norwegian market. So in this situation, we're producing environmentally friendly petrol in Norway, which is so much more expensive to sell if you don't get a tax incentive, that we have to export 100 pst. And no use of it in Norway. I'm sorry.
ParlaMint-NO_2002-05-29.ana.ud356e771	I do not think there is any basis for regretting anything in this case, because my impression is that the oil companies are working to make these new types of fuel, both diesel and petrol, available on the market anyway. But I see the point, that it would be an advantage if using the environmentally friendly fuel was not less favourable at price. That's what I've said in a positive way. The important thing is not what the Minister of Finance said in May, but what the Government and the Storting decide for the autumn, with effect for 2003.
ParlaMint-NO_2002-05-29.ana.ud356e781	I have the following questions for the Minister of Culture and the Church: «Cinematicians in Bergen and Trondheim are important cultural institutions for the population, the film and TV environment and the educational institutions in their regions. They contribute to the presentation of films of historical value in their right element, making film-interested people outside Oslo also have access to film history. However, the State does not provide financial support to these cinematics, as opposed to Cinemateket in Oslo. What will the Council of State do to secure the operating economy of these institutions?’
ParlaMint-NO_2002-05-29.ana.ud356e790	First of all, I would like to point out that cinematheka in Bergen and Trondheim can't easily be compared to Cinematheket in Oslo. Cinematography in Oslo is an integral part of the Norwegian Film Institute, which is a state-owned enterprise directly subject to the Ministry of Culture. The cinematographic works in Oslo fall within the scope of the ordinary State operating budget. That being said, I agree with the representative, Giske, that cinematic and film club have a very important role to play in spreading film culture and film history. It is a key objective of media policy to secure a cultural gap in the media supply. Cinemateka produces film culture that is characterised by quality and innovation, but which often will not be available through commercial distribution channels. Nevertheless, there can be no automaticity in the state support of all activities that play a positive role in Norwegian cultural life. It must be assessed on a case-by-case basis whether State aid is necessary and reasonable. The Norwegian Film Institute is responsible for State measures and instruments, including: dissemination of films and professional competence in this field. The Ministry of Culture and the Church has delegated responsibility for the addition of cinematographic activities to the Film Institute. It must therefore be up to the Norwegian Film Institute to consider the question of the propensity of cinematographers in Bergen and Trondheim.
ParlaMint-NO_2002-05-29.ana.ud356e801	Our cultural policy has at least two devices. One is to contribute to the creation of art. The other thing that's so important is that art is conveyed. In order to contribute to this, we provide state subsidies to a variety of forms of art and their dissemination. Galleries convey the visual arts, orchestras convey the musical heritage, and theatres convey the theatre heritage. But film art is also a mere beginning, which in this context is treated in a rather vocal manner. It's just Oslo getting state aid. That means that, in reality, it's only in the Oslo state that contributes to the showing of film history. I think that's pretty bad. State councils say the Film Institute has to assess it. My question will then be: Will the State Council contact the Film Institute, to be a driver, so that the rest of the country can also participate in the film history?
ParlaMint-NO_2002-05-29.ana.ud356e806	I would like to stress once again that the reason why the Cinemate in Oslo receives state aid is that it is organised as it is, linked to the Norwegian Film Institute. When one delegates a responsibility as it has done in this area, and it also builds up the competence of the Norwegian Film Institute, I thought that the responsibility for whom a grant of State aid should lie there. We have a lot of cultural channels that don't get state aid, and we have some that get it. We've always had that two division. I'm in touch with the Film Institute at regular intervals and I can handle this with them, but there's not going to be any imposition or demand from me that they support it. I want to leave that decision to those who have actually been given the responsibility.
ParlaMint-NO_2002-05-29.ana.ud356e813	I thank the Council of State for the answer. I think it is positive that she warns that she can take this up with the Film Institute, but without any instructions. This doesn't just have an art and cultural policy side. It also has a district policy side. We have regional centres in other parts of the country that should have access to film history. It means a lot to the film and TV environment, but it also means a lot to the educational environment in these cities when you have media education, film education, film history and art history – people should have absolute access to this film heritage. It's expensive to show historical films. It requires special viewers, and it requires trained engineers. That's why there's an extra cost of showing this historical material. That's why it's important that we from the overall cultural policy team help make this a reality, and I hope the Council of State will follow it up in its contact with the Film Institute.
ParlaMint-NO_2002-05-29.ana.ud356e822	I don't think I have so much to add, other than that I'm saying that what cinematea offers to the audience is positive. It is important that the videos that do not have their place on the normal cinema are shown on other scenes. Cinemataka is in that way a very good arena for it. So I take with me the invitation from the representative. Some of the arguments used in relation to state support can also be used in many other cultural media venues. We now have it so that some people get state aid, others get support from the municipality or the county where they are located. If Bergen and Trondheim were to receive state aid in addition to Oslo, we would have come a while on the way, but we would still not have the same supply in all cities or in all major cities. I'll take the signal with me, and then I'll finally let the Film Institute decide who's going to get state aid.
ParlaMint-NO_2002-05-29.ana.ud356e835	I will ask the Minister for Agriculture the following questions: ‘Water lake is a drinking water source for 60000 people. The source is heavily contaminated, and many measures are needed to save drinking water. A fundamental problem is the lack of grass and milk production. Last autumn, it was agreed between the agricultural settlement parties that, prior to the agricultural negotiations this year, current cost-effective ways of increasing grass production in particularly vulnerable areas, including the identification of new milk quotas, should be explored. Why is this not followed up?’
ParlaMint-NO_2002-05-29.ana.ud356e844	The representative Signe Eye correctly points out that, in the autumn of 2001, the parties to the agreement in agriculture agreed to look at cost-effective measures to ensure that farmers in the water catchment area and other contaminated watercourses move from cereals to grass production on areas particularly exposed to erosion. At the same time, it was agreed that this should be discussed in more detail during the year's agricultural negotiations. In winter, the Norwegian Institute of Agricultural Economic Research was tasked with assessing current cost-effective measures to move from grain to grass. The Norwegian Institute of Agricultural Economic Research, NILF, has produced a report which was sent to the contracting parties prior to the agricultural settlement. The report shows that there is a very poor economy in starting milk production in order to increase grassland. It takes too much investment. The most cost-effective measures to convert from cereals to grass are either to produce grass for sale or to produce beef with suckler cows. Such conversion is stimulated through the current instrument system. In addition, suckler cows have been further stimulated through this year’s agricultural agreement. The assessment of the Contracting Parties has been adopted in the final protocol of the agricultural negotiations and the NILF report will be published shortly. This shows that the investigation needs have been followed up as agreed by the Contracting Parties last autumn and that the NILF investigation has been based on the assessment of the parties when it was agreed not to set aside specific milk quotas in the Morsa area.
ParlaMint-NO_2002-05-29.ana.ud356e853	I would like to thank the Council of State for the answer. If it's true as the Council of State says, that this report was dealt with during the agricultural negotiations, then I take note of it. But I still think this is sad. It's just more grass that in the long run can really help us get less run-off from agriculture to the watercourse. It is also sad because agriculture in Eastfold was really prepared to make a conversion that meant more grass and less grain, and thus much less pollution. In addition, the Council of State has been on a visit to Eastfold not long ago. He was not particularly inspiring, neither for having a cooperation nor for taking the heavy promises. Then I would like to ask the Council of State: in what way will now state council Sponheim inspire that farmers on a voluntary basis will convert to more grass production?
ParlaMint-NO_2002-05-29.ana.ud356e862	Let me first say, of course, that's the right thing that the Council of State here is saying that this is set out in the Minutes. So I'll say that it's sad if development continues, if it continues with a run-off to Lake Vanity so that we get a greening and Lake Vanity can no longer be a source of drinking water. That's what the government is working on. I wonder very much about the representative’s claim that the Minister of Agriculture was not particularly inspiring on this trip. At least I was very inspired and strongly expressed that this is a priority task to continue with. But the Council of State is also an agricultural economist and understands well how farmers think when they think about economics. There is so much evidence that when a farmer asks whether it makes sense to move from grain production to permanent grassland, which then has to be processed through animals, there is a calculation on the ground. You don't do this out of your goodness, as Emil says in Mount Lønne. This investigation shows that this is not profitable. On the other hand, there are other alternatives in which there is better profitability, and these have been significantly strengthened through this year's agricultural agreement, not least through milk production, the right to meat production in cattle, so-called specialised suckler cow production. We hope that many farmers will contribute. And we would like to have a dialogue with agriculture in the area to get a lot of people to make use of the opportunities.
ParlaMint-NO_2002-05-29.ana.ud356e871	Once again, I thank the Council of State for the answer. I would argue that the Council of State must go into this cooperation with a slightly different perspective than what he expressed when he was in Eastfold. It was so that when the previous government started this collaboration and went in with just a few million dollars on the year's budget, it created a very well-being in agriculture in Eastfold. I want to give them credit because they've really managed to bring down the drain with quite a thousand tons already. The appropriations intended to be a start-up appropriation were to be accompanied by appropriations in the coming years. It was the left that went high on the track and characterised the starter as ridiculous. Then it is nice that the Minister of Agriculture said, when he was visiting, that this was a one-off grant, and that it will not be followed up with funds for the coming years.
ParlaMint-NO_2002-05-29.ana.ud356e878	I would like to stress that I have to say that in every way during this visit – I was actually there during the entire visit – I indicated that this cooperation should be strengthened. But it is not possible for a state council that travels around, to promise money that is not granted by the Storting. It will come in new budgets. I am sure that if I had given myself the promise of money that the Stortinget had not granted, then if the representative Signe Eye had not responded in particular, others in the opposition would respond to the fact that this did not have the Council of State powers to do so. The main point is that we now have all the good forces – and it has to be fought on many fronts – to bring down the drain to Lake Van. Agriculture is an important contributor to this run-off and it is desirable that many of these areas can move from grain production, where it must be ploughed or opened up each year, to permanent grassland — at least for several years — where the roots bind the soil. This can be done through specialised grass production, which is cost-effective, and it can be done through animals, for example: suckler cows, as this government of this agricultural agreement has made a truly good economy as opposed to the past. As a result, there has been a new alternative to using the grassland in this area. We're going to try to stimulate this as much as we can.
ParlaMint-NO_2002-05-29.ana.ud356e888	I have the following questions for the Minister of Health: «In ordinary Question Time on 20 March d.o.b. the Minister for Health said that from the turn of the year the Ministry of Health should take over the overall responsibility for the provision of health services to drug users. Does the Council of State maintain this position?’
ParlaMint-NO_2002-05-29.ana.ud356e897	I see, according to the representative Alvheim's question, that there may be reason to clarify more precisely what is involved in the new responsibilities in this area. Many drug users have extensive health problems and treatment needs, while much indicates that they do not receive the necessary help from health care and treatment. As a result, since 2002, the government has taken a clearer responsibility for the general health services of drug users, including somatic hospital treatment and emergency medicine. The Ministry of Health has assumed responsibility for lowthreshold health measures for drug users and for medically assisted rehabilitation. Furthermore, from 2002 onwards, we have started work to strengthen the provision of treatment to drug users. This was what was in my reply to the representative Alvheim in the Questionnaire on 20 March of this year, when the theme was the availability of somatic hospital treatment for drug addicts. So I aimed for the change that happened at the turn of the year that we passed, and as the Stortinget was notified in the Bondevik government's supplementary proposal to the State budget for 2002. As part of the strengthening of the treatment provision for drug users, the responsibility for treatment measures is provided for in the Special Health Services Act transferred to the State from 2002, i.e. about 20 pst. of the total treatment provision for this group. The Ministry of Social Affairs and the Ministry of Health are now working on the future anchoring of the remaining part of the treatment for drug users. A proposal for a redeployment of responsibilities has been at the consultation stage and is now being prepared with a view to changes from 2004, as announced by the Stortinget in the revised national budget for 2002. The objective is to ensure adequate health care provision and to further develop treatment provision within a comprehensive framework. A better treatment provision for drug users, as provided by the Government, requires that we take into account the different needs of drug users and the need for a varied and comprehensive system of action with clear responsibilities. This is a demanding and extensive work. In order to ensure a coherent, good and sound reform, we are committed to implementing it from a later stage than was initially envisaged in the consultation round. The municipality continues to be responsible for Chapters 4, 5 and 6 of the Social Services Act. primary responsibility for providing advice and guidance, for relief measures, and for providing treatment facilities and follow-up during and after institutionalisation. The overall responsibility for drug users’ interventions is thus still enshrined in the social service and is the responsibility of the Minister of Social Affairs. When, from 2002, the Government has taken and placed a clearer responsibility for drug users, this action involves several areas. I mentioned medically assisted rehabilitation and low-threshold health interventions and the work on the future anchoring of the overall treatment system, while the Social and Health Directorate is now reviewing the overall functioning of healthcare provision in relation to this important group. The government will also provide a separate action plan on drug problems to be submitted to the autumn as planned.
ParlaMint-NO_2002-05-29.ana.ud356e910	I thank the Minister of Health for the answer, which was good information, but I guess not the answer to the question I asked. I would refer to this as a solid government commitment if this reform were to be postponed until 2004, and I would like to refer again to the Minister of Health's reply to me in the March 20th Questionnaire, in which he confirmed that from 1 January 2003, drug users would become responsible for health services legislation; at least this is what I see. I have recorded great disappointment in the drug addicts' environments since the information about the postponement of this reform became known, and as I know the environment, this postponement can actually cost lives. Will the Minister of Health review the position of the Department and transfer the legal responsibility for the health care of drug addicts from social legislation to health legislation from 1 January 2003, or is the matter so far fully settled?
ParlaMint-NO_2002-05-29.ana.ud356e919	First to my answer in the Questionnaire on 20 March. I have carefully reviewed the stenographic record, and what I said was that the government has decided that: ‘The Ministry of Health from the turn of the year was to assume overall responsibility for the provision of health services to drug users’. And on the other hand, ‘When, from the turn of the year, I have taken a greater responsibility for this area, it is my goal that we should have a stronger health care effort in general for this group.’ And so it referred to the change that actually happened on 1 January 2002, which was announced in the budget statement for the autumn. As far as further work is concerned, the Government's clear objective is to strengthen the service of this group. Part of it is this review of responsibilities, but we are also working on concrete measures to strengthen service provision wherever it is, regardless of changes in responsibilities. And it's going to continue with unimpaired strength, regardless of the fact that one has now found that one needs some more time to implement such a reform, after the consultation that has been held.
ParlaMint-NO_2002-05-29.ana.ud356e937	I thank the Minister of Health again for the answer. I have registered that the Minister of Social Affairs has given the reason for the postponement that health businesses were unable to take on this task from 1 January 2003. I personally and as the head of the Social Committee have been in contact with most health companies in the country, and I have so far not heard one word that companies had problems taking over this task from 1 January 2003, provided they were given resources to do so. I have a distressing feeling that when this reform is postponed, there is a monetary problem we are talking about, a lack of willingness by the Government to allocate the necessary resources to get the reform in place from 1 January 2003. Can the Minister of Health here and now confirm that there is a lack of resources that is the problem, and not a lack of willingness from businesses to take over this responsibility?
ParlaMint-NO_2002-05-29.ana.ud356e946	This is not on the will of either the Government or the undertakings. But when a person goes through such an important part of health care as we are talking about here, there has to be clarity in the financial framework conditions; there has to be sufficient clarity about which activities are covered, so that there is no disagreement about this stealing professional and management attention. An overall assessment of such factors has led to a clear conclusion by the Ministry and the Department of Ownership: a well-prepared start in 2004 will benefit the purpose better than a start in 2003 where there is insufficient clarity in the framework conditions. I would add that the round of consultations we have had has supported this. However, it is not the case that companies have given any notice to the Ministry that they wish to oppose a transfer earlier.
ParlaMint-NO_2002-05-29.ana.ud356e957	I allow myself to ask a question to the Minister of Health: ‘In order to avoid a temporary stop in the ambulance operation in Vang i Valdres, Vang has been working with Oppland County Municipality and the Regional Council of Valdres funded the ambulance since 1 March. The municipality has been signaled that the health region will take over ambulance operations again if the health region economy improves. What will the Council of State do to ensure that the health region, which has been responsible for ambulance operations since the New Year, is actually responsible?’
ParlaMint-NO_2002-05-29.ana.ud356e966	The Ambulance Service in Vang, as elsewhere in Norway, shall function satisfactorily. This was the case when the county was in charge, and it is the case when health companies are now in charge of the service. As in all services, it is an independent point that users have confidence in the service. This is not least the case for an emergency service, such as the ambulance service. It has to do with quality of life to make the population secure that a good ambulance service will be there when the need arises. In the new business system, it's my responsibility that the ambulance service works. From that point of view, I would like to draw up three aspects that I think are important, and I would like to relate them to the development of a good ambulance service also in Vang Municipality. Firstly, it is important that health businesses are given the role that the Storting decision of the Health Business Act requires. Here it is a central point that the regional health undertaking should be given the opportunity to find good and comprehensive solutions for the region and that the hospital establishments in operation should have the necessary flexibility in the practical operation. The model would fall if it developed a broad practice of central management in individual cases. I am also quite sure that such a practice of decisions in individual cases taken by institutions far away from patients will be more damaging than for the benefit of those concerned. Secondly, the business model does not, of course, mean that it is free from the way in which health businesses tackle their tasks. It must comply with the service requirements laid down by the Storting Act and other large-scale decisions. There is also a responsibility for governance and follow-up on central authorities to ensure that the services are consistent with the objectives set by political bodies. In addition to this follow-up responsibility, the State Health Authority and County Medical Officers have a supervisory responsibility when doubts arise as to the adequacy of the services. Both the management measures and the activities of the supervisory authorities are important in the follow-up to the overall responsibility of the Ministry and I for the functioning of the healthcare system. Thirdly, services rarely become good if they are not developed in good dialogue with those who are to use the services. For me, therefore, it is crucial that developments take place in contact with both users/user organisations and regional and local policy bodies. Based on the requirements imposed, regional health enterprises are now establishing a practice of user selection and with corresponding venues for dialogue, contact and involvement of users and local and regional policy bodies. So this is the framework for the responsibility of Health East for developing a good ambulance service. It is important that politicians take responsibility for the development of good systems, but in the last round, it is how the services meet users who decide how healthcare works. So let me finish with some comments on how Health East is working so that it's also going to be a good ambulance service in Vang. Health East is responsible for the ambulance service in Valdres. That responsibility is now assumed by Oppland Central Hospital. The need for ambulance services is affected by several factors, such as: the organisation of the municipal medical services also has an impact on the use of ambulances. Health East is now re-assessing the need for ambulance services in this area and will decide on the temporary continuation of ambulance operations in Vang in Valdres from 1 August. I want to keep myself informed about how the company handles this.
ParlaMint-NO_2002-05-29.ana.ud356e985	I thank the Council of State for the answer. There was nothing to say about the use of words here. The Council of State was concerned that users should have confidence in the system, and the Council of State also took responsibility for this important area. I'm glad. Nevertheless, it has been in Vang i Valdres that the municipality, together with other actors, has had to intervene now from 1 March to keep the system flowing. This does not provide particular security for users. So the seas if the council uses fine words, there's a lot of uncertainty about this area. I have to ask the Council of State: does the Council of State think it is right that the citizens of pig-grown areas risk waiting longer for ambulances – and that there is uncertainty about this – than people in urban areas would have to do?
ParlaMint-NO_2002-05-29.ana.ud356e992	The answer to that is no. The quality requirements applicable to the ambulance service apply on a national basis. I would argue that we actually have a very good ambulance service and air ambulance service in Norway. The size has drawn up the future guidelines on how this should be done, and we will come back to the size with its follow-up. This is what we intend to do in connection with the next harvest of the budget. With regard to responsibility here, it is obvious that it is the regional undertaking that is responsible for ensuring that there are good ambulance services in accordance with the professional requirements in force, but they also have the opportunity to do so through cooperation with other actors instead of doing everything on their own. I assume that the health care company is following up this ‘care for’ responsibility, and I have no reason to believe that it does not happen in Valdres. But, as I said, because of the special situation that is there, and the assessment that is now made by the services, I will keep myself informed about how it is being followed up.
ParlaMint-NO_2002-05-29.ana.ud356e1001	I would like to thank you again for your answer. I am pleased that the Council of State is following this closely. Vang i Valdres is really just an example. All of this, having now been transformed into a health business, bears the mark that there is too bad a economy in many places. It is necessary for the responsibility of the health care company to appear, while we must therefore ask that there be enough money. You can place responsibility, but you also depend on financial resources. My last follow-up question to the Council of State will then be: Will the Council of State ensure that there will be enough funds, so that ambulances do not become balancing posts, which it can very often be?
ParlaMint-NO_2002-05-29.ana.ud356e1010	I agree that the financial assumptions must be proportionate to the requirements imposed on the responsibility of the undertakings. We've had a thorough review of it. I already saw when I came into the department last autumn, that there was a need to review the economy of businesses, because there was a cost development over the year last year that was out of proportion to the budgets planned by the previous government. Therefore, the Bondevik government presented its own proposal to the Stortinget on 3 May, proposing a strengthening of the economy of enterprises both on the operating side and on the investment side. This matter is now under consideration in the Social Committee, and the Storting must decide whether it will follow the Governing Council or whether it will further strengthen the economy.
ParlaMint-NO_2002-05-29.ana.ud356e1018	I will ask the Minister for Health the following questions: ‘In the evening post of 18 May this year, a report from the Labour Inspectorate, showing a very extensive use of overtime by nurses at Akershu University Hospital, including: For example, up to 70 hours of overtime per week are reported. week. There is reason to believe that excessive use of overtime is a general problem in the Norwegian health system. What will the Council of State do to ensure a significant reduction in the use of overtime in Norwegian hospitals?’
ParlaMint-NO_2002-05-29.ana.ud356e1027	Hospitals have seen a significant increase in the number of treated patients in recent years. Waiting times and the number of patients waiting for treatment have been significantly reduced. It has put pressure on some groups of personnel, especially groups where it is scarce, and it has also had a cost-driven effect. Extensive use of overtime has occurred not only in Akershu University Hospital HF. Regional health enterprises have been given through the hospital reform tools to coordinate the activities of the different health establishments and to dimension the activity in relation to the framework they receive. At the same time, it is the responsibility of regional health establishments to ensure that the activities of individual health establishments are carried out within the framework of the legislation. I know that regional health businesses are actively working on this, and that action is also being taken to mitigate adverse effects, such as the widespread use of overtime. Assessments are carried out both in the Health East and in other regional health establishments on which services can be established in cooperation with private providers. The situation of individual health establishments and the need for any coordination and relief measures between undertakings are assessed. Through such a governance model, regional health enterprises have good means to follow-up across previous borders. Also at the level of health enterprises, action can be taken against unlucky overtime use. At Akerhus University Hospital, new jobs have been filled to limit this problem. At the same time, I would like to stress that the activities of the regional health establishments should be adapted to the financial framework granted by the Stortinget. It is the responsibility of regional health businesses to ensure optimal use of resources and to provide the best possible patient care. I assume that supervisory authorities, inter alia: County doctors and the Labour Inspectorate, supervise the establishments and address any deviations that may occur. In the Questionnaire on 8 May, I briefed on the work of the Government's recruitment plan for health and social workers. I explained, among other things: for the main focus of the plan, which are auxiliary and caregivers and nurses. Improved recruitment and greater stability in the positions both in hospitals and in the municipal health service require the involvement of all actors responsible and competent in the service. As part of this work, we have therefore entered into cooperation with the Ministry of Social Affairs, the Ministry of Education and Research, the Ministry of Local and Regional Affairs, the Directorate of Social Affairs and Health, the Association of Employers, NATO and regional health companies. The Ministry of Health wishes to work together with the departments and employers concerned to identify possible instruments to promote the recruitment and stability of the professions. I believe that such a joint effort and coordination between health care professionals could improve the health care situation in hospitals and in the municipalities. That is what is really at the bottom of the problem that the representative Molvik is going to go.
