ParlaMint-NO_2002-10-23.ana.ud1679e28	The representative of Steinar Bastesen will make a private proposal.
ParlaMint-NO_2002-10-23.ana.ud1679e476	To the question and follow-up from Øystein Djupedal, it is just to say that the Minister of Social Affairs believes that it is the people who need it the most now to take action and who are now to be prioritised by Aetat. But those people who just require the kind of tailoring that they require a course that costs more than $50,000 or more than $100,000 in a race, are the very ones who need this most. This is, among other things, disabled persons. We had people in the municipal committee today who said that there are more successful people who want to go to work, but that the Council of State and the Government will now prevent getting out of work. In addition, Aetat today has only one third of the number of job vacancies and jobs they had the last time unemployment was as high as it is now, namely in 1997. Both SV and NHO actually agree on this.
ParlaMint-NO_2002-10-23.ana.ud1679e483	I'm not sure what the question was. The point of the Government with our action plan is just to help the poor. Those who live in poverty in a welfare society where the majority have a high standard of living often experience it as particularly stressful. In the poverty action plan, we have both labour market measures for those who are long-term beneficiaries of social assistance, we have labour market-oriented qualification specifically linked to and targeting immigrants, and we also have an extended social welfare right for single dependants. I can mention a number of such schemes. It is not the case today that you do not have the possibility of a course and qualification. The question is whether there should be a limit to the costs of additional active measures to ensure that they come into operation.
ParlaMint-NO_2002-10-23.ana.ud1679e490	Bjarne Håkon Hanssen – for follow-up questions.
ParlaMint-NO_2002-10-23.ana.ud1679e493	The question raised by the representative, Mr Djupedal, has been raised by a number of large-scale representatives. We are now being called down by user organisations – Norway’s Handicap Association, the Joint Organisation of Disabled Persons, etc. – where the review tone is clear and clear. The budget that has now been presented, all the measures that lie there, is socially grossly unfair. There's no way that poor people are put first. It is perceived as a budget that primarily creates poverty. My question to the Minister for Social Affairs is: Has Norway's Handicap Federation completely misunderstood? Has the Joint Organisation of Disability Misunderstandings been completely misunderstood? Hasn't everyone who organizes the disabled, the poor in Norway, at all, understood the consequences of the budget? Is it really just the Social Minister who understands that this is a budget for the poor?
ParlaMint-NO_2002-10-23.ana.ud1679e500	No, in no way would I say that someone has misunderstood. Some believe that it is the broad general arrangements that help the most disadvantaged, but the government has chosen to give priority to targeting and the poorest first. Yes, the budget is tight just to facilitate the creation and maintenance of jobs. Work is the most important thing precisely to achieve a social profile. We have chosen active measures instead of passive measures, and we have chosen targeted measures instead of the broad schemes. I just want to mention that 800,000 have today received a free card in the case of medicines. For us, the choice has been simple. It is possible that the representative Hanssen believes that we should spread thinly rather than target precisely those I mention, who are disabled, who are chroniclers, and who we have prioritised through a roof 2 scheme to cover the special expenses they have for sickness.
ParlaMint-NO_2002-10-23.ana.ud1679e507	Magnhild Melting Group Kleppa – to the last follow-up question for this main question.
ParlaMint-NO_2002-10-23.ana.ud1679e510	As late as February of this year, the Supervisory and Constitutional Committee was not satisfied with the follow-up of the previous governments in relation to disability pension and professional reintroduction. It was noted that the individual did not have to be de-motivated as a result of missing tailors’ room, and it was stressed that users’ views and wishes had to be added to the emphasis when individual action plans are to be drawn up. Unfortunately, with the current take-offs, the motivation can just go down, and one doesn't get the possibility of the lack that was before. If the Minister of Social Affairs had received help from Valgerd Replystad Haugland if she had refreshed her memory from the previous government, she could have said that one of five strategies was a fairer tax system, with tax on the exchange of shares as a special measure [[President clubs]]
ParlaMint-NO_2002-10-23.ana.ud1679e517	I am not sure what was the question, and I am not sure if the comment was for me either. In any case, however, the Equalisation Communication is a very good evidence of differences in living conditions in Norway, and it has therefore followed up measures to raise the weakest.
ParlaMint-NO_2002-10-23.ana.ud1679e522	Today's last main question is asked by Rolf Terje Klungland.
ParlaMint-NO_2002-10-23.ana.ud1679e525	I have a question for the Minister of Agriculture. A slogan for the Left has been: the Left does not promise gold, but green forests. We've seen that there won't be gold from the left, but now we also have to note that the party is no longer credible when they promise green forests. Forestry has long tradition in Norway and has been an important industry in large areas of the country. Having a good care of the forest is seen as an honor, both for the many little forest owners and for the big ones. I was basically a little optimistic about Left's old slogan on green forests when I read what the Minister of Agriculture said in his speech to the Left at the April meeting: ‘Forest use is in a completely new situation. Rarely has it been as quiet in the Norwegian forests as this winter.» How can the Minister of Agriculture defend such a cut – when he speaks in other forums about preserving the forest?
ParlaMint-NO_2002-10-23.ana.ud1679e540	We've never had more green forests and more standing cubic mass in Norway than what we have today. An important background for this has, among other things, has been the significant journey to the forest during the whole of the last century. Now we're in a situation where the economy of mowing forests is very bad, and that's why it's stopped. Prices are so bad that now it is almost only in the ‘indrefiletens’ in the best forest in the central areas. In this context, the Government has made a significant change in forest policy, that is right. And it is in favour of Norwegian forestry – obviously. We have improved the so-called forest tax system, which is not a charging scheme, but a compulsory provisioning system for individual foresters, so that some of the values he cuts out of his forest are used to plant and care for new forests. The significant improvements included in the budget mean that for a forest owner who hedges — and more forest owners should do — who uses the tax advantage scheme and who has full marginal tax, the state subsidy will reach a total of 75 pst. for the costs of planting and caring for new forests. But when the government has chosen to cut direct subsidies to forest culture and forest planting, it then has the consequence that those forest owners who do not cut but still want to plant new areas on which there has not been a survey forest or a black forest will no longer receive subsidies. We have come in a time change at the entrance of this century. The old forest thing, planting along the coast with spruce, is over. Forest travel and planting plans – we are now raining at it in the department – are now far on the way. Now it's time to get the economy and industry into the huge areas where we have forest production. There the government has made good efforts, which is in the budget, and which I actually expect will receive broad support, not least in the environmental movement, which says that now we may have used enough open landscape, peaches and other for research.
ParlaMint-NO_2002-10-23.ana.ud1679e553	In the State budget, the Government proposes to remove the forest culture subsidy in its entirety — i.e. Sixty-three million. kr. The County Forest Manager Liv Marit Strupstad in Hedmark has gone out and lamented the cuts that are coming, saying that this is something you have to see in a hundred-year perspective. It reminds me a little bit about showing about Håvard Hedde, who had a forest of two pines, and where it is called in one of the last verses: "But when we're old and we're going to have our own, I'm going to climb down the other one, and then the forest is white." Is this what is going to be the Government's forestry policy? Or, what is the Government's long-term policy on sustainable forestry?
ParlaMint-NO_2002-10-23.ana.ud1679e567	I ask the representative of Klungland to take a careful look at what we are actually proposing. For those who have forests and who cut the forest, it is a very good economy – with subsidies from the state through the forest tax system with tax advantages – in planting forests again, with, as I said, the highest marginal tax rate, up to 75 pst. grants, i.e., higher than ever. But it assumes that you have forest to mowing. For the huge forest area we have, where it's going to be mowed and replanted, we have a better system than ever. The areas where we don't have forest production, and where we had a wish and a policy for planting spruce throughout the last century, we see as traveling along the coast, a lot of it -- we've fulfilled the plans. That time is over. Now we need the open landscape we have along the coast, and we need what we have left of forest other than survey forest. It's the political shift, and it doesn't touch Håvard Hedde or anyone who had to chop a tree and who wants to have the economy to plant again after the tree has fallen. Because we have to keep doing that.
ParlaMint-NO_2002-10-23.ana.ud1679e578	The time for the oral question procedure is now over. We're going to the ordinary Question Time.
ParlaMint-NO_2002-10-23.ana.ud1679e583	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 3, from the representative Torbjørn Andersen to the Minister of Justice, will be answered by the Minister of Agriculture on behalf of the Minister of Justice, who has been removed. Questions 4 and 5 from Knut Storberget and Gunn Karin Gjul, respectively, to the Minister of Justice, are postponed to the next Question Time when the Council of State has left. Question 6, from the representative Karl Eirik Schjøtt-Pedersen to the Minister for Health, is postponed until the next Question Time, when the Council of State has left. Question 7, from the representative of Olav Gunnar Ballo to the Minister for Health, has been withdrawn. Question 8, from the representative John I. Alvheim to the Minister for Health, will be answered by the Minister for Social Affairs on behalf of the Minister for Health, who has been removed. At the request of the Social Minister, this question is moved and answered before question 14, to be answered by the same Council of State. Question 11, by Mr Elvik, representative of the Minister for Fisheries, has been withdrawn. Questions 12 and 13 from the representatives of Harald T. Nesvik and Siri Hall Arnøy, respectively, to the Minister of Labour and Administration, are moved and answered, at the request of the Council of State, in response to question 23, i.e. at the end of the Questionnaire. Question 15, from the representative Steinar Bastesen to the Minister for Food and Trade, will be answered by the Minister for Local and Regional Affairs who will direct him. Question 21, from the representative of Per Roar Bredvold to the Minister for Defence, will be answered by the Minister for the Environment on behalf of the Minister for Defence, who has been removed. Question 22, from the representative Sylvia Brustad to the Minister for the Environment, has been withdrawn.
ParlaMint-NO_2002-10-23.ana.ud1679e614	I have the following questions for the Minister of Finance: ‘In the context of its sustainability strategy, the government has announced that it will present a national Agenda 21 next autumn, i.e. Norway’s Action Plan for the follow-up to Agenda 21 of the Rio Conference, without clearly identifying the process set up by the Government. In what way will the Government ensure that key actors are involved in the process so that it becomes broad and inclusive in line with Agenda 21, and in what way will the Biggest deal with National Agenda 21?’
ParlaMint-NO_2002-10-23.ana.ud1679e623	The Government will present Norway’s Action Plan for the implementation of the National Sustainable Development Strategy — the ‘National Agenda 21’ — in the autumn of 2003 in connection with the submission of the national budget for 2004. The government places emphasis on the action plan and has started work on the content and process of work. A State Secretary Committee composed of State Secretaries from the most concerned departments and the Office of the Prime Minister will be set up, with the participation of all government parties. The work is led by a State Secretary from the Ministry of Finance. An open and inclusive process is set up with non-governmental organisations and other stakeholders. The Government has provided that meetings are to be held with key actors on key themes of the Action Plan.
ParlaMint-NO_2002-10-23.ana.ud1679e632	I thank you for the answer, which unfortunately does not contain any further new information in addition to what has happened in the past. I am concerned that we will now see another example of national familiy in relation to the follow-up to these important UN conferences. I would therefore like to hear a little more about how the Government sees it as including key, important actors covered by the Agenda 21 document, so that they are also held responsible for the follow-up when a national Agenda 21 is presented. A number of actors are mentioned in Agenda 21 – ranging from trade unions to business, research institutions and municipalities. How will the Government be included, activated and committed to these actors?
ParlaMint-NO_2002-10-23.ana.ud1679e639	I have answered the question that was asked, which process is being set up for Stortinget and non-governmental organisations. So the representative also asks another question: how to include other institutions, organisations, trade unions and the like in the follow-up to the plan that is then put forward. It will depend on what the plan contains, and it also has to be told by Stortinget. It will be dealt with next year by the national budget.
ParlaMint-NO_2002-10-23.ana.ud1679e646	What I asked was related to the question. I would recommend to the Council of State to go further into and read what is stated in the Agenda 21 document and the chapters dealing with key actors, where the central actors are framed one by one. National Agenda 21 is intended to be a follow-up to the agenda agreed globally at the Rio Conference. This means that it must also be sewn over the same reading as was done at the Rio Conference. I want to repeat my question: How will the Government ensure that those actors are included, involved and committed to follow-up?
ParlaMint-NO_2002-10-23.ana.ud1679e653	The representative asks what the plan will contain. Of course, I cannot answer that, given that the work on the plan has not yet started. But it is in the fact that we include this plan, Agenda 21, and follow-up actions in the national budget, that we want to include the whole process of thinking, including economic policy. It is an approach that not least EN has been involved several times — not to put environmental issues on the side, but to be included in the overall policy. That is what we are discussing in the national budget. So the parties will be invited to participate and make their views known in the process. How they will then be obliged to follow-up, we will come back when the plan is in place. But all good suggestions are received with thanks, including during the process.
ParlaMint-NO_2002-10-23.ana.ud1679e661	I would like to ask the Minister for Church and Culture the following questions: «As one of Europe's oldest educational and research institutions and progresses to our universities, and as an inseparable part of the national cultural memory of Kongsberg Silverworks, the Bergseminar at Kongsberg is a building of great historical and antique value. When the Ministry of Defence is about to dispose of its properties, will the Council of State ensure that the building is transferred and remains state-owned, so that the Norsk Bergverksmuseum can manage and pass on the heritage as a living cultural memory?’
ParlaMint-NO_2002-10-23.ana.ud1679e670	The Bergseminar building on Kongsberg is a cultural memory of great symbolic, cultural historical and antiquarian value, which is also underlined by the questioner. When the defense no longer needs property, I see it as very important that he remains in state ownership, and if possible used for cultural purposes. The Ministry of Culture and the Church received on 16 September this year a letter from the Disposal Project in Defence Building about the disposal of the Bergseminar at Kongsberg. Defence buildings are planning to deliver the Bergseminar at a price, and a fare of about 7 million has been suggested later. kr. The Ministry of Culture and the Church answered Defence Buildings before the deadline expired on 7 October this year. In the letter of reply, the Ministry indicated that the Bergseminar is a culturally important building that should remain in the state's possession. This can be done by the Ministry of Defence transferring the Berg seminary to the Ministry of Culture and the Church, which provides the seminary building for the Norsk Bergverksmuseum. Today, the museum manages the state-owned cultural monument Kongsberg Silverworks. The Ministry of Culture and the Church has previously been informed that the disposal of the Berg seminary would take place free of charge. The budget for 2002 or the 2003 budget provides funds for the purchase of the building. The Ministry of Culture and the Church has all been in contact with Defence Building for further follow-up of the case. The Riksantikvaren, Norsk Bergverksmuseum and Kongsberg municipality will also be connected. I myself would like to contact the Minister of Defence to discuss the issue of disposal with her.
ParlaMint-NO_2002-10-23.ana.ud1679e679	The council says that this is an important cultural memory, and that it is right that the Norwegian Mining Museum should have the buildings. I take it for granted that the department, as we here on the Stortinget, has been notified that the deadline for disposal was 7 October. Why has the Ministry so sold and not applied to the Ministry of Defence for the disposal of the property by the deadline of 7 October?
ParlaMint-NO_2002-10-23.ana.ud1679e684	As I said in my reply to the representative, we have actually sent a letter of reply indicating that the department also believes that this is an important building. As there was something else premise in relation to our perception of disposal claims, we need to have a new round. But I hope that we can get out of this in a way that will keep the building for the purpose that the representative also wants it to be preserved.
ParlaMint-NO_2002-10-23.ana.ud1679e689	What I and several fears, and on which we do not feel safe, is that this building ends up in the open market and is sold to the maximum bidder. None of us want to see pizza clips on the outside of that kind of barley. We know that the Norwegian Mining Museum needs more space, storage and communication facilities, which they do not have today. The alternative to this is a new building, which they themselves estimate will have a cost of between 10 and 20 million. kr. Is there any reason, then, to let the Norwegian Mining Museum and others go in doubt about what is actually going to happen? Can the Minister of Culture guarantee that this building will be transferred? And will the Ministry of Culture acknowledge and assume administrative responsibility for this very important building of cultural history?
ParlaMint-NO_2002-10-23.ana.ud1679e696	As I tried to answer in my previous post, some of the provisions to dispose of the building were changed, and the funds that were then charged to us are not in the budget for 2002, nor for 2003. That's why we have to do some new rounds. I have the same goal in relation to this building, and I hope we'll close with the process that we're now in. At least that's my goal.
ParlaMint-NO_2002-10-23.ana.ud1679e707	This question, from the representative Torbjørn Andersen to the Minister of Justice, will be answered by the Minister of Agriculture on behalf of the Minister of Justice.
ParlaMint-NO_2002-10-23.ana.ud1679e710	I have a question for the Minister of Justice who will be answered by the Council of State Sponheim: ‘According to the Agderpost on 12 October this year, two car thieves from Lithuania received a reduced penalty in Sand District Court because they cannot speak Norwegian. In another case, a person in Arendal gets free to zone in prison for pro-mille driving and halved fine because he's an immigrant. The reason should be that it would be particularly tough for him to pay the penalty because he is a foreigner. For most people, this seems completely incomprehensible and can provoke racism. Will the Council of State do anything to stop such discrimination against the law?’
ParlaMint-NO_2002-10-23.ana.ud1679e719	Neither the Minister of Justice nor I, on behalf of the Minister of Justice, can give an assessment of the criminal evaluation in the two cases on which the representative is based his question. The courts constitute an independent State power in which the Minister of Justice must take note of the facts on which the courts attach importance in the determination of the criminal proceedings. On a more general basis, I would like to add: once the court has found that a person has committed a criminal offence, it shall measure punishment within the limits of the law. The Penal Code mentions some general issues that are punishable or punishable. Otherwise, the principles of punishment are not laid down in the law, but have been developed through case-law over time. The central features of the criminal investigation are the gravity of the action and the degree of guilt that has been committed. In addition, there may be aggravating or mitigating circumstances outside the action itself. Such a mitigating circumstance may be that prison sentences will be particularly severe, for example: due to old age, illness or other conditions. As a matter of fact, I mention that in both of the two cases referred to by the representative Andersen, the criminal evaluation is justified in an overall assessment, where both aggravating and mitigating factors are emphasised. In the case of pro-mille driving, the court saw that the pro-mille driving took place in the centre, while the special conditions of life, that he was unemployed and the fact that he was driving moped, moved towards a lower penalty. In the case of the theft, it was pointed out that – and I quote from the judgments: ‘The Court considers that strict action must be taken against such infringements. [[...]] Reference is made to the continuing experience of various districts of this type committed by young foreign perpetrators in Norway for a short time. This reinforces the need for general preventive signals.’» This is reflected in the criminal evaluation. The two previously unpunished perpetrators were both sentenced to unconditional imprisonment for six months. In the mitigating direction, it was stressed that the settlement would be a stronger burden for the two defendants than it would have been in many other cases. It is a long tradition for us to know the criminal framework and to have legal rules on the considerations to be taken into account in the criminal investigation. In this way, the court can determine the most reasonable, appropriate and fair penalties in each case. Ultimately, it is for the Supreme Court to issue directives on the considerations to be taken into account in different types of cases. That's how it should still be at my discretion, and I trust that the courts are conscious of their responsibility. I have noticed that Supreme Justice Tore Schei in the evening post on 18 October calls on the prosecution and the defenders to appeal against several judgments before the Supreme Court, so that our Supreme Court can give secondary courts clear signals as to what is the right punishment.
ParlaMint-NO_2002-10-23.ana.ud1679e735	I thank the Council of State for the answer, which was not all the world to boast of, as I perceived it. Let me first say that there are many good reasons to react when it seems to have developed a case-law where foreigners are proven to receive less punishment than the North for the same type of crime. So here we have two concrete issues from Agder, which both point towards immigrants and foreigners getting away with less crime than the Nordics would do for the same type of crime. In these cases, it has been presented as if the lack of Norwegian knowledge of foreigners, and the fact that it is worse for foreigners than for Norwegians to face punishment in Norwegian prisons, should be mitigating circumstances that should provide lower penalties. The government must then fully realise that the negative effect such discrimination can have on the attitude of the North towards immigrants is very unfortunate.
ParlaMint-NO_2002-10-23.ana.ud1679e742	Let me first underline what was a key point for me in my answer, namely that in our country we have independent courts. They make their own assessments. This does not mean that they live in a vacuum and do not join the social debate and capture some of the general legal opinion that may be in the Norwegian people, but they are not under the direction of the Government on these issues – fortunately. And I want to strongly defend that we have such a society. Having said that, I would like to stress what I said in my reply, namely that in these two specific judgments there have just been arguments that draw in both directions, both in a criminal and in a mitigating direction. And I made it clear that precisely in the case of these car thieves that are mentioned here, the ratio is that there are young, foreign doers – and we have a little too many cases of – who are just doing such raids. And the need for society has been to set up some examples and give some general preventive signals, as it says in the preambles, is exactly the opposite of the statements made by the representative here. So I have full confidence that the courts will manage their task in a good way.
ParlaMint-NO_2002-10-23.ana.ud1679e749	I notice, of course, the statements of the Council of State. But let me also remind you of the fact that criminal foreigners in Norway are largely laughing at the naive attitude of Norwegian authorities and lack of strength in terms of turning down objectively and hard on all types of criminal behaviour. Unfortunately, Norway is seen as a paradise where crime is easy to commit, and organised foreign criminal environments consider it very attractive to be able to operate within Norwegian borders. Crime by foreigners in Norway has now gone one way — straight to heaven. So the Norwegian legal system corresponds to discounting criminal foreigners just because they can't speak Norwegian, or because it's a shame on them because they're foreigners and they have to sit in prison. This is completely incomprehensible to the Progress Party, and it is incredibly clumsy. It's naive, and it's completely hopeless legal conditions we're facing here. I therefore hope that we now and for the future release more such strange decisions in the judicial system where immigrants seem to get lower penalties than the Nordics, as we have examples in these two cases.
ParlaMint-NO_2002-10-23.ana.ud1679e754	The President assumes that the term 'clumsy seat' is not a parliamentary term.
ParlaMint-NO_2002-10-23.ana.ud1679e757	I cannot support the claims made by the representative here. I am absolutely convinced that the situation is that Norwegian courts are dealing with those they have up to trial, in a proper manner, based on the law that they are set to deal with, and that has been passed here in the Chamber. If I'm going to make an evaluation, I'll quote the Minister of Justice I'm delighted to be allowed to speak on behalf of today. He has said that "a bastard is a bitch, no matter what the color of the skin" or nationality. I think that also applies to a cellar ring. They shall be subject to the same law when they are to be judged in Norway. I have every reason to believe that that idea is at the root when the courts use the law through their independent treatment.
ParlaMint-NO_2002-10-23.ana.ud1679e764	Those were fresh terms. I assume that the Minutes show that these were quotations.
ParlaMint-NO_2002-10-23.ana.ud1679e799	These questions are postponed to the next Question Time.
ParlaMint-NO_2002-10-23.ana.ud1679e813	This question has been withdrawn. Question 8 will be answered later in this questionnaire.
ParlaMint-NO_2002-10-23.ana.ud1679e821	I will ask the Minister for Children and Family Affairs the following questions: ‘Through the media and enquiries, I have been made aware of the Government’s practice in the context of sterilisation of children living with gay/lesbian parents. We know that parental killers who have been together throughout pregnancy and who have experienced the amazing moment of seeing their child being born are denied a step-child adoption on the grounds that they are not closely related to the child. Is it the will of the Council of State that children be deprived of legal rights, and what will she do to clean up?"
ParlaMint-NO_2002-10-23.ana.ud1679e830	The adoption law has recently been amended and now gives access to one partner in a registered partnership with the consent of the other to adopt his or her child, a step-child adoption. The amendment entered into force on 1 January 2002. The purpose of the amendment was precisely to provide children living with one of their parents and their registered partner in a stable family relationship with the legal security of a step-child adoption. According to the previous law, this access only applied to children in marriage. Access to the step-child adoption in registered partnerships applies to both the parent’s biological child and the adopted child, unless the adopted child is adopted by a foreign country that does not allow such adoption. The representative Karita Bekkemelme Orheim asks questions about the government's practice of stebarn adoption of children living with gay parents. In general, I would like to point out that in the preparatory work for the provision, it was assumed that the strict criteria for granting a marriage grant for a step-child adoption would also apply to a step-child adoption in a registered partnership. Since the change in the law is a new date, there is no definitive and clear practice in the cases. The Ministry of Children, Youth and Family Administration has been informed that the department has dealt with and rejected five cases concerning applications from registered partners where the child is very young. The cases have been filed and are now being dealt with in the department. I stress that each case should be dealt with and assessed separately, and I cannot now pre-empt the outcome of these individual cases. The statistics from the SSB show that in 2001 a total of 908 adoptions were carried out by 165 stebarn adoptions. They were 18 pst. of the total number of adoptions this year. There may be a lot of reasons why stebarn adoption is applied for, and that matters can appear to be very complex. One application may be justified by the death of one of the child’s parents. In other cases, the question may arise where the child has a stepparent after a divorce or a breakup between the child’s parents. There may in some cases be strong conflicts between the child’s biological parents that are the root cause of the application, e.g.: where the application appears to be an extension of a conflict of children's distribution or association. Since adoption is very invasive, it is particularly important that the adoption authorities carry out a thorough and concrete examination of each individual application. The parties must be given the opportunity to think carefully through the effects of an adoption and whether adoption will be in the best interests of the child. It is of great importance to clarify how well-considered and justified the application for adoption and any statements by biological parents and the child are. The adoption authorities must pay great attention to getting the matter informed as well as possible. It is therefore important that judgement is further clarified in the guidelines. Notwithstanding that amendment, the Ministry has carried out an overall assessment of the adoption process. The rules of procedure governing the examination of the application for adoption have been further examined. New guidelines will be available with the very first. They will deal with the proceedings in both domestic and foreign adoptions. The new guidelines will also include the exercise of discretion by national adoption, including: will explain the factors to be taken into account in the examination of the application for a step-child adoption. The specific situation in which the child was born by a mother who already lives in a registered partnership will also be addressed in the guidelines. The handling of complaints pending in the Ministry will be carried out in accordance with the new guidelines.
ParlaMint-NO_2002-10-23.ana.ud1679e845	Then I would like to thank the Council of State for the answer. I would like to start by saying that I fully agree with what the Council of State emphasises, namely that we should have both a thorough and a concrete examination of each individual application. Now it's like there's been some media focus on many of these issues. It has made a strong impression on several of us. Without spending time here today on specific individual matters, we know that it is now almost a year since the Stortinget made its clear decision that children who live with gay parents should have the same legal and economic framework as children who grow up with heterophilic parents. We've been waiting for months now. In the past, the Council of State – I think it was this summer – said that the regulations would be clear in a few weeks. Therefore, I would like to ask: Why have the regulations not come into place? Is the reason why the Christian People's Party or Government is opposed to the decision taken by the Stortinget? Or are there concrete problems with the preparation of regulations in the department?
ParlaMint-NO_2002-10-23.ana.ud1679e854	One of the reasons why it takes time to develop new guidelines is that this work is quite extensive and that these guidelines are much more comprehensive. The guidelines we have today for sterilisation are – to put it that way – not that long. This is an extensive work on the basis of which we would also have covered the guidelines and the exercise of discretion based on the practices that have been followed up to now in all kinds of adoption cases — domestic, foreign and also in the case of sterilisation. In addition, we have wanted to see this in the context of the new procedural legislation, which has also called for a comprehensive review, as the representative of Karita Bekkemelm Orheim knows from his role as Council of State. Both she and I have been in contact with the Control and Constitutional Committee, so we have tried to see this in the context.
ParlaMint-NO_2002-10-23.ana.ud1679e861	This is in many ways a piece of new crime work. But we also know that this is a very sensitive question for those who are up in the situation. Although there are not long investigations in the department about this, I believe it is important that we get action behind the decisions taken by Stortinget, and that it is – I want to use the expression – almost scandalous that in such sensitive cases we cannot get the guidelines in place, so that there is peace and security for those who are applying for the stebarn adoption. Part of the reason given is that one of the parents has not had a close enough relationship with his or her child. But when you have followed the entire pregnancy, and you have been present in the child's life for several years, it's hard to understand that this should not be close to the child. I understand that in many cases it may be difficult to draw up regulations, but I hope that in this specific case we can get the guidelines in place immediately.
ParlaMint-NO_2002-10-23.ana.ud1679e868	The guidelines will be here in a short time. I would like to remind you that of course we have the current guidelines today. The law in Stortinget applied to those who had not previously been able to adopt their stepchild, not the law as such. What is stated in the odelstningsproposition is that the rules that we have still have to apply – so we have rules to the extent that we have rules today. So at the same time, we've created new guidelines that are actually much more exhaustive, even in terms of the discretionary exercise of all kinds of adoptions, including stebarn adoption. It has been done precisely to ensure the necessary safety, but also to ensure that the children concerned are adopted in all contexts in a safe and sound manner.
ParlaMint-NO_2002-10-23.ana.ud1679e878	I would like to ask the Minister for Education and Research the following questions: «Previously in the autumn, the first country-wide study on sexual harassment among Swedish 17-year-olds at secondary school was published in Sweden. The report from the Swedish Institute of Labour shows that seven out of ten girls in 17 years experience sexual harassment. No similar study exists in Norway. Will the Council of State take the initiative to have similar monitoring carried out in Norway?’
ParlaMint-NO_2002-10-23.ana.ud1679e887	Work against sexual exploitation and sexual harassment of children and young people is important, and we are working on this on many levels. The curriculum affects the subject in various ways within several disciplines, and the school is working on this as part of its work on the learning and learning environment. Similarly, the Learning Centre is continuing its work in this field. In the next year's letter of assignment to the Learning Centre, we have specifically asked that the theme of sexual abuse and sexual exploitation of children and young people be included in the work of a better learning and learning environment. Of the specific measures that have been taken, I can, among other things: mention the projects ‘Values in school life’ and the value project ‘shall not —’, both of which address values, attitudes and interaction between people. In Norway, as far as I am aware, there have been no similar country-wide studies on sexual harassment, as the representative of the Lightbakken points out in his question. But researcher Svein Mossige at NOVA has done an investigation of Oslo youth attitudes to sexual abuse and assault. In NOVA Report 16:2001 he explains this survey of 710 young people aged 18-20 years. Here it turns out to be approx. 30 pst. by the girls say they've been exposed to sexual acts that they don't want. However, this is more than harassment – covering everything from rape to more diffuse acts. On the basis of further reporting in the field, I will assess the need for further investigations in our country, such as the representative Lightbakken addresses their question. In addition, I will pass the question on to the Network and Resource Group in the fight against sexual exploitation and sexual abuse against children. It is a working group at the State Secretary level and is chaired by the Ministry of Children and Family Affairs.
ParlaMint-NO_2002-10-23.ana.ud1679e905	I thank you for your answer. I am pleased that the Council of State will take this into account. The figures the Council of State refers to are dramatic numbers, and unfortunately there is little reason to believe that the figures we would get in Norway would be especially different from those we have in Sweden. The bigger reason would be to get such numbers, to get more focus on the issue. Professor Ewa Menckel, who conducted this study in Sweden, spoke to the Class Struggle on 10 August this year about the consequences of the figures revealed: ‘– Many people experience depression, stomach problems, headaches, anxiety, low self-esteem and lower hopes for the future. Many don't dare to go to school. In the long term, this may also lead to a lack of further education after high school,...» These are consequences that are dramatic, including for society. I wonder if the Council of State can say anything more about the measures you might expect to take in relation to this issue.
ParlaMint-NO_2002-10-23.ana.ud1679e919	It is important that we now examine more closely what needs we have in order to identify the situation and, if necessary, improve it. But I can quote from the Norwegian report I referred to, where it is said that you might be able to draw two implications of the results you obtained: ‘(1) Acceptance of attitudes to child sex and rape was associated with a relatively small connection to qualities of care, kindness, tenderness and understanding for others.’ It is also said that bringing young boys and men into functions in society where they can act in accordance with these concepts can therefore be important and meaningful in the long term. And it goes on to say: ‘2) Some boys express less disagreement with attitudes implying that the responsibility for controlling the sexuality of the boy is placed on the female partner and that sexuality is little influenced by reciprocity. This shows that it is important for boys to be involved in conversations about what are desirable forms of mutual, sexual activity between young people.’ This might give some indication of how we should work. Of course, this work may happen in school, but of course it must also be done at many other levels in society, including in the private sphere.
ParlaMint-NO_2002-10-23.ana.ud1679e936	I agree with these assessments. In addition, I can mention that the same Professor Menckel has also done a study of what kind of action students in Sweden would like. The things that are mentioned most are that they want more information about sexual harassment and the consequences of it, at school. They want to have organized discussions about it and clear school rules for what you can and can't say. I would like to have the Council of State's assessments of the kind of action, whether this is something she would like to address in this discussion, and also what kind of time perspective she sees in relation to when we might be able to get such a survey.
ParlaMint-NO_2002-10-23.ana.ud1679e943	Immediately, I think it sounds like there is a lot of wisdom in what the representative Lighthouse here says. I guess we know more and more about how important it is to management in school, leadership in class, clear adult roles, having good behavior rules, debating these rules, so that you understand why you have them, and possibly having an apparatus for penalties. I think there's a lot here, and I can say that we're doing a lot within this field that will also have implications for what we're talking about right now. I do not dare here and now provide a time frame for any new studies. I may have to come back to that. The value and work done in the school in terms of management is a continuous work that has recently increased the weight of the work.
ParlaMint-NO_2002-10-23.ana.ud1679e950	So we go back to question 8.
ParlaMint-NO_2002-10-23.ana.ud1679e957	This question, from the representative John I. Alvheim to the Minister for Health, will be answered by the Minister for Social Affairs on behalf of the Minister for Health.
