ParlaMint-NO_2002-03-22.ana.ud407e41	The representative of Inga Marte Thorkildsen will make a private proposal.
ParlaMint-NO_2002-03-22.ana.ud407e350	Let me first thank you for all the good posts! I perceive the debate to contain two key points. The first is future expansion, especially in relation to health care facilities. My point and the Workers' Party point is that a number of municipalities today have a significant underdevelopment of the number of nursing homes compared to a standard of 25 pst. of which, over 80 years. What we're going to say is that the municipalities that today, or in a few years' time, will clearly be below this norm, still have to have special state economic instruments to achieve this norm, in line with the other municipalities that have been given and have already built up. If it's the case that the Minister of Social Affairs can now confirm that the Government is in favour of it, it's a pleasure. I understand the representative of the Magne Aarøen up there that it is a matter of course that the Government is in favour of it, and then the Social Minister will be able to confirm it. In that case, it is a good news to take away from this debate. As I see it, Stortinget is a clear majority to continue such a special financing arrangement with the municipalities. The second key point, on which the Council of State had little in mind in its statement, is the question of staffing, and the provision of a funding basis for municipalities to increase staffing. Both the representative Alvheim, the representative Molvik and the undersigned have been crystal clear in terms of the fact that the Storing Message has to outline a plan for how we can increase the staffing of the elderly in Kommune-Norway. For this reason, it is also necessary for the Government to cooperate widely in the EEA on the provision of care for the elderly at the time of the notification of the gross domestic product to include a clear strategy for increasing staffing, taking into account how it is to be financed. In addition, I would like to conclude by saying that the representative Molvik so many wise things about recruitment that I would like to join. We are having an exciting meeting with regard to the care of the elderly in the spring of 2002. In the spring of 1997, we provided the basis for an elderly effort that has produced some important results. Now it is important that we use spring 2002 to complete a very important construction work.
ParlaMint-NO_2002-03-22.ana.ud407e363	The cancellation will soon receive a big message about the completion of the old-age plan. It will include, among others: sketchers: where did we start, what have we got, and what remains? And there's an important discussion: how do we proceed? Then it is important for me to say that the care of the elderly should be measured on the offer of the weakest and most nurturing patients. We often see examples of older people not receiving services that care for their needs for care and that they are not met with dignity and respect. There is a need for a quality reform in the care of the elderly, and I will, as mentioned, come back next year to the Stortinget with it with a broad review both of the objectives and of the measures. The main objective later is to ensure that this assembly agrees on: parental care shall be good and shall be characterised by dignity. Then you have a different view of the instruments. I've got a lot of points of view. I take them with me in the further work. I would like to comment on some of the signals that have been given, and first say that the Stortinget actually asked the previous one to have a common regulation that provided both the health care home and the care home. That's what we're working on. There have also been signals on financial instruments and rights. As part of the work we are doing, I signaled in my main post that we will also review today's legislation regarding both financing and user payment schemes. As far as staffing is concerned, it is important to say – subject to my right to remember – that 12,000 new annual works have been included in the older age plan from 1997 to today. Manning has increased from 43 to 45 employees per year. 100 older than 80 years, so here it's been a strengthening. That doesn't mean we're done. This will be part of the review of the matter we come to Stortinget with now in our relation to the retirement plan. When there are questions about minimum standards, I think it is important to say that it must be the needs of the elderly that are the starting point for manning. I am afraid that a fixed standard of manning can also become a minimum standard, and that it is not the needs of the elderly who initially form the basis for manning. But here I see that there are different views in the hall, and I also take this into account in the further work. Questions have also been raised about what is happening at education and recruitment level. It's at work. It is composed of many measures. You've been holding on for a couple of years. Improvements are still required because it is a major challenge. Finally, I just want to say, yes, I think that the medical offer at the hospital can be a lot better. There is also an opportunity in the fixed medical system for municipalities to commit seven hours per year. weeks for public service purposes, and then in nursing homes.
ParlaMint-NO_2002-03-22.ana.ud407e380	The Stortinget has completed the examination of case No. 3rd@item: inlistbox
ParlaMint-NO_2002-03-22.ana.ud407e386	Then we're ready to go to voting.
ParlaMint-NO_2002-03-22.ana.ud407e393	A vote shall be taken on the proposal by Mr Inge Ryan, on behalf of the Socialist Left Party, and by Mr Odelstinget, on 8 March 2002: ‘The Government asks the Government to propose a scheme outside the agricultural agreement whereby any additional costs incurred by the farmer in connection with veterinary intervention during transitional periods shall be borne by the State Treasury.’
ParlaMint-NO_2002-03-22.ana.ud407e411	There is a vote on proposals submitted by the Odelstinget meeting on 19 March 2002: ‘The Government asks the Government to consider increasing the amount of the facilitating grant in addition to the proposed NOK 250 so that the grant becomes more consistent with the actual costs of such organisation for each employer.’ Beate Heieren Hundhammer – for explanation of vote.
ParlaMint-NO_2002-03-22.ana.ud407e419	In the light of the presentation by the Minister of Social Affairs during the debate in Odelstingen on this matter, it was found that the Ministry now assesses this matter and that the Minister of Social Affairs will quickly come back with a clarification to the Stortinget. On this basis, I recommend that the groups of the government parties vote in favour of the proposal.
ParlaMint-NO_2002-03-22.ana.ud407e426	Harald T. Nesvik – for explanation of vote.
ParlaMint-NO_2002-03-22.ana.ud407e429	This is a proposal that was promoted in the Odelsting of all parties except the government parties, so I would, of course, recommend that the Group of the Party of European Socialists vote in favour.
ParlaMint-NO_2002-03-22.ana.ud407e434	Then there can be no further recommendations – the President has perceived the situation so that there can be a risk that there will be unanimity behind this proposal! We can then do a very simplified form of voting.
ParlaMint-NO_2002-03-22.ana.ud407e444	There is no voting theme in case No. 3rd@item: inlistbox
