ParlaMint-NO_2002-03-08.ana.ud2419e49	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2002-03-08.ana.ud2419e485	The Council of State says reward, freer position for Aetat, more responsibility, Aetat is to be cultivated, other qualified persons are to be let go – all this indicates that the Government wants to turn the money bag back to Aetat and make it a narrower establishment, which should only be responsible for certain groups: the weakest, disabled and immigrants. I guess there's no doubt that that's what we heard here today. Although the Council of State is now saying that we should also communicate, it's clear that here the Right is going to implement what they've always dreamed about, to slim down and narrow down Aetat. The working party strongly disagrees with that. We're afraid that this will be groups falling between two chairs. It will again cause more people to become disapproved, more people to become unemployed. Norway lacks labour and the Government will take in unskilled labour from outside the EEA territory. They also need Norwegian training and learning about Norwegian society, and they need work training. They are far from ready to enter the Norwegian workplaces when they come to the country. So why don't you make sure that the 25 000 long-term unemployed who are in this country get to work first? Among these long-term unemployed, there are also quite a number of immigrants who are already here in the country, who today live on social assistance, who want to make their own money and get out of that system. It will, of course, require an effort, not least in Aetat, and it will cost money. But I want to claim – and I don't think anyone dare deny it – that this is economically profitable for society as a whole and in the long run. And then it won't be as the representative Apelthun Seele said in his speech on the previous case, that there is a need for less resources in Aetat when we have low leave. There is a greater need for follow-up of each individual unemployed person at a time of high demand for labour than at a time of recession. And many people need much more than a course to get into work. The situation in Aetat now requires the offices to re-prioritise the tasks, because now all resources are to be invested in providing re-routing clients with their money – and that is right. However, it is also totally unacceptable to down-prioritize the dissemination work. It's probably going to make fewer of those we want to get into work come into work. It's time- and resource-consuming to prevent disability and get people to work. Everyone waiting for re-entry needs individual assistance, and there are no universal solutions. That is why Aetate must be strengthened and not slimmed down. Aetate must now have peace and not new changes.
ParlaMint-NO_2002-03-08.ana.ud2419e498	Over the five years I have been responsible for this policy area, SV has been fighting a pretty tough fight against bureaucracy in the department and in the Directorate of Labour, precisely to offer users the quality they need. We have not prevented you from using private providers when it has been best. On the contrary, at the latest in our battle we fought a tough fight for user-driven offers where untapped unemployed sails on their own premises would gain a boost in competence, start their own businesses – stand up. Here's a lot of ways to do it, we don't disagree. But we're fully aware of the perspective that the Council of State is now drawing up, that more and more people are going to go into the result units that, individually and bit by bit, are kind of going to have their own goals, and that are going to be rewarded out of some kind of taximeter system. One has to focus on the most important thing: how to succeed in the real way and in the long term, so that you don't get more people who are called swinging door patients in health care. I believe that Aetat – and this is not their fault – has for many years been given political signals and political support for precisely that policy: empowerment in the shortest possible time, and as soon as possible into some random job, that is the best. We need to have a long-term perspective that people get sufficient skills and knowledge so that they can be safe in a job. SV is going to give full support to such a policy, but we are not going to give support for a policy that breaks Aeta's tasks into small pieces, where it is not possible to cooperate across borders. We need to focus on the social responsibility that Aetat should have, not on some kind of budget line. Basically, we are now talking about the most important measure, which the majority have said should be poverty reduction. The majority have voted down, so to speak, all the SV's proposals when it's about providing financial benefits to people who have difficulty, in order to make them feel better. The answer has been: no, they're going to work. But then we all have to do a completely different job in this area. This is about tailoring, customization, and long-term, holistic perspectives, and then you have to talk about the employees, because they have competence, they have competence, and they need continuity. This is about ‘one to one’ and follow-up not only in a build-up phase, but perhaps also when one has come to work. It's not that the work force has open arms and is willing to accept all those who now need Aetat's help. This is a long-term work, and here we need more and no less resources.
ParlaMint-NO_2002-03-08.ana.ud2419e505	First, to the representative eye. It's a little surprising for me to hear that you claim that the Right now will narrow down Aeta's business. The reality is that it was the Workers' Party that narrowed down Aeta's business last year, and we're dealing with that reality. I can only tell you that had Aetat Business existed today, I had not suggested it closed. But it's the Stortinge that's decided it. We do not want to narrow down Aetat, but we want Aetat to have a clearer mandate and, within the framework of that mandate, to develop into an exciting player. Let me also clarify: I did not say that Aetat should be released, and that others should be released. I said we also have to consider that question in the longer term. Today, we need to find solutions for Aetate that do not bind us up in relation to other possible longer-term solutions in the case of several actors, precisely in order to avoid the need for Aetate to change over and over again. To the representative, Andersen. I would like Andersen's representative to hear what I said. I said that a greater part of the Aetat business should be financed through qualification grants differentiated according to the needs of the individual job seekers. I can't believe that this means that you have to focus a lot on measurement. This means that you have a demanding person, you have more money at your disposal than if you have a less demanding person. In this context, I would also like to say that in the new funding system, we should stop distinguishing between so-called ordinary labour market measures and special labour market measures. Almost all jobseekers who need qualification assistance today are actually special jobseekers, and then we'll deal with it this way. And what we want is a more flexible, comprehensive funding system that makes the establishment's operations reflect how much qualification it actually does. Finally, getting something done with Aetat is something that is urgent. We all agree that, in the longer term, coordination and pooling of services in employment, social security and social services must be done, but it takes time. The situation in Aetat is so precarious that we have to do something about the way it is organized and funded, quickly if we're to avoid that in connection with the intention agreement and a future organisation of work, social security and social services we start off with a broken-down piece of work, to say it like that. That's why we're giving the work on new Aetat top priority in the ministry, and for the same reason, we've given the management of Aetat a very short period of time to get the reorganization going properly.
ParlaMint-NO_2002-03-08.ana.ud2419e518	Case No. So 2 is done.
ParlaMint-NO_2002-03-08.ana.ud2419e532	The rapporteur is Mr Alstad, whom the President cannot see in the Chamber for the time being. The President will propose that we go further on the list of speakers and perhaps give Alstad the floor when he comes.
ParlaMint-NO_2002-03-08.ana.ud2419e535	The proposal from Steinar Bastesen we see in SV is very timely and good. This, with national ownership over some important natural resources, seems to us to be another priority for the national Parliament. If we go back many years, national ownership of natural resources was a central issue, going back as far as before World War I. What we are experiencing today along the sea is that a good part of the natural resources are at risk of being bought - some are already bought - by foreign owners. So you could say that the entry of non-resident owners can be a significant advantage, because you get capital, skills, etc. But the big problem today is that foreign owners will then have a great deal of control over how to organise different processing facilities, and not least the foreign owners who get, or take, the large part of the profits you can expect from these natural resources. Last night, I had a meeting with a municipality in the South Trøndelag that has spent a lot of millions. In addition, they have received money from the SND and other actors to build an infrastructure for the breeding industry. Then it happens that the state sells itself out to a Dutch company, which takes over this. And what is the result, five years after significant investments have been made? Well, the result is that the company is now structuralising, in the sense that it is laying down all the jobs and moving them elsewhere, with the reason that the economy is demanding for the time being, and therefore a number of new steps need to be taken. I believe that the proposal from Bastesen must be thoroughly returned to Stortinget. I agree with the rest of the committee that this is such a big case that we could not take it to reality here and now, but I would ask the Council of State that this matter be given high priority in the Government, and that when you have finished that work, you come back to the Stortinget.
ParlaMint-NO_2002-03-08.ana.ud2419e549	It may be unusual in Stortinget that things were moving fast, but I felt it was a period here! So there is a Document No. Eight proposals to ask the Government to make proposals to the Storting so that natural resources remain under national control and ownership. I guess there's no one in my party that really disagrees. The intentions behind the proposal we see, as indicated in the vote, the need to go further. There is a review in the setting of how ‘standa’ is for different natural resources, and a letter from the Ministry of Fisheries is attached that goes further through it. I think that's now the basis for asking to get a closer look at this. We get our own message that goes on state ownership, but it won't just as much cover up what's behind the proposal promoted by the Bastisen. That is why we have also received a majority and a minority in the Committee. The majority, consisting of the Workers' Party, the SV and the Centre – which is likely to become a minority in the Stortinget – ask, as indicated in the setting, that an appropriate briefing be given to the Stortinge on how the State should manage the ownership of natural resources, including food resources, as well as on the allocation of Norwegian and foreign ownership structures in relation to important natural resources. Now the representative Ryan was in on an example that I think is very good, from Osen. It shows how we can get out of the wrong way about how our natural resources are managed, by municipalities using significant public resources, building up and facilitating their use of land to create values in this country, and then experiencing that the values and jobs will only be moved out once they have been built up and put in place. It should not be an example of follow-up for other municipalities. We can, among other things: have problems with municipalities becoming more restrictive in using land for that kind of value creation, because it is seen that the value creation disappears abroad – the value creation that should at least have remained national, perhaps primarily local, so that you can benefit from the jobs and the value creation that takes place there.
ParlaMint-NO_2002-03-08.ana.ud2419e560	I also share the view expressed both by Ryan and by Alstad that there is an important document presented here by Mr Bastisen. But like what Ryan said, it is clear that this is such a big and comprehensive case that it should be dealt with thoroughly through a Document No. Eight proposals are going to be hard. That's why there's a co-consistent committee that wants this to come back to Stortinget in some form, so that we get a thorough document from the Government – a message, or in another particular way – where one sees the whole thing with the right to natural resources and ownership at all. That's why I don't really want to go into this matter right now, but just ask it to be called the plurality of the committee – which is not a plurality in the Chamber, to say the same – whether they can consider turning I into a transmission proposal, because the comment on what is a plurality in the Chamber, to the extent that it says the same, and it's perhaps a little silly that it is then discredited by a decree of the Government. I understand that the Government will come back to this case, and that it might make sense for us to turn this into a transmission proposal, because the whole room – at least the whole committee – agrees that we want this to go back, we want this to be evaluated, because these are big and important issues. So I ask the majority in the committee to consider whether to turn this into a transmission proposal.
ParlaMint-NO_2002-03-08.ana.ud2419e567	Document No 8:5 from the representative Bastesen on the control and ownership of the natural resources in Norway is a comprehensive proposal and see the search light on many problem settings. One side of the issue is that authorities in a number of areas operate with resource management, environmental management and sectoral policies – for the benefit of the country. This administration shall be independent of the State or private ownership of different companies. For example, fishing and aquaculture: limits are set on how much one company can own of the combined concession volume. These limits apply to both Norwegian and foreign companies. When it comes to fishing, we have the participation law and the raw fish law, which guarantees Norwegian fishermen control over Norwegian resources. In the Sem-Kärring, it's settled that these two laws should stand firm. At the same time, we know that the state owns or has ownership shares in many different companies based on different Norwegian natural resources. The administration of these owners gives us a good opportunity to discuss later in the spring when the Government has provided a big message about state ownership. The state ownership of Norwegian business is extensive. In many cases, conflicts may arise between the role of the State owner and its role as supervisory authority, especially if these roles are in the same department. In order to avoid such role conflicts, the Government is working to bring together the state ownership in one department. Cooperation management is in favour of the country clearing up its ownership of the business sector and defining what it wants with ownership in each case. The State's future ownership must be limited to companies of an administrative nature and companies in which ownership has a clear political foundation. Such a rationale for direct public ownership could be to solve the market's tasks, or it could not be resolved, for example. in the case of infrastructure, management of key common values and research and development efforts. In many cases, the Community's interests can be equally assured or improved through the design of legislation, framework conditions and the exercise of supervisory powers. For the purposes of this Document, the following definitions shall apply: The 8 proposal is the relatively co-ordinated comments in the vote. As the representative of Lodve Solholm mentioned, splits in relation to the proposal for Decision I, and that is because the Central Party, the Labour Party and SV have multiples in the committee with the leader's double voice, and therefore the Roman Numeration, while the Christian People's Party, the Right, the Advance Party and the Left will normally have multiples in the Chamber. I see that we are some of the people who intend to do this, and I support the representative, Lodve Solholm, in urging the Labour Party to make proposals for Decision I, as we are some about the content and the issue. However, the majority in the Committee have referred this to the State ownership message announced in April 2002. We don't want this to happen, because if one were to implement all of these pages, it would mean a delay of that. I think it's important that it comes, so that we get started, and that the government comes back to this both when it comes to natural resources and food resources, so that the Storing can be informed about these important issues in its own right.
ParlaMint-NO_2002-03-08.ana.ud2419e582	Like the previous speakers in this case, I also think this is an interesting matter where it is important to have the objectives in order and in place, but where there are no simple ways to achieve the goals that I think we all agree on and will try to achieve. There are several facets in the content of Document No. The 8th proposal, which goes on food resources, but also in the broadest sense, natural resources. We have natural resources, we have food resources in the sea and on land. Then there will be a set of goals and ways to achieve goals that will be almost impossible to combine in a regulatory framework, which is called for and to be put in place. I don't think, for example, that a natural resource such as mining could have had the success it has had at national level if it hadn't been for international companies that have found the way to be able to invest in Norway. We see that Norwegian companies have significantly participated in and developed the fishing industry in other countries. In the marine sector, we now see Norwegian companies as locomotive for development in Scotland, Chile, Ireland, the Faeroe Islands, etc. Much of what we're talking about are international industries, and that makes us part of an international interaction, also through an international law, which we have to take the consequences of. But it does not reduce the importance of the proposal that has been promoted. What I think is important to get in place are international traffic rules that have to be able to tell a little bit about driving rules, at least for what goes on in the wild fish population, which without comparison with anything else is most threatened. The international traffic rules are indeed poor in this respect. Then it will also be difficult if we think that through a national law we can bind at all ends of a population that, after all, crosses the national borders, regardless of what we had to find out about traffic lights here in the Stortinget. We have also seen that the Stortinget without any special blinking thought it was a good idea that our own majority-owned company, Norsk Hydro, sold what was the locomotive, Hydro Seafood, out of the country and over to foreign hands. We see what kind of instruments we have to control this development, when we're actually set to decide on these. So that's what the representative Solholm and the representative Molvær Grimstad have taken up that goes on the proposal as such. With regard to the intention of what these representatives referred to, a majority in the Chamber is in full agreement with the manufacture. The complexity is that the majority of the Committee says that in assessing what has been promoted in I, it should be seen in the context of the Government notifying its own notification of state ownership in April 2002. I just think that practical is impossible to do in this short period of time. In reality, we agree, and the members of the Committee from the Right, the Advance Party and the Christian People's Party say in the vote: ‘In the case of natural resources, including food resources, these members expect the Government to provide adequate information on the issue’.» I have understood that this is something that the Minister of Fisheries is also very much concerned about. That is why I agree with the request to convert the I-proposal into a transmission proposal.
ParlaMint-NO_2002-03-08.ana.ud2419e600	It's true, as other speakers have said, that there is an important question that has been raised here. I think it is commendable that the Coastal Party has addressed that kind of issue in Stortinget. It has given the Economic and Social Committee the opportunity for a debate on the issues, which have to be recognised as complex, from the various points of view. But there is one thing that is common to the management of natural resources, and it is that historically we have been quite good in Norway to ensure both the rational and long-term management of ownership of natural resources. Norway is a natural resource country, and it has not been given that a country with as overwhelming a degree of natural resources as Norway has can retain its ownership and thus also have some control over the exercise and management of natural resources. We've had a conscious relationship with that, and we've had a conscious relationship with the ownership of the resources. I think that has served Norwegian society in the long term. I think it has served the Norwegian community that we established a right of return and a state right of pre-emption for hydroelectric power plants in 1917. I think it is appropriate for the Norwegian community that we have the ownership of the petroleum resources seams if we grant concessions of a certain duration, both to Norwegian and international companies. Thus, we have also had the opportunity to secure the basic interest rate that should apply to the Norwegian society based on oil and gas resources. I think it's a good thing that we have a housing and business obligation related to the long-term management of food resources, and I think it's a good thing that you have a law of participation that ensures that there's a fishing fleet in Norway. What we are experiencing today, with some of the parties involved in the committee, is that part of these arrangements are under pressure. They are under pressure either because of the political discussion in Norway or because they are under pressure from abroad, in particular from ESA and the EEA bodies. We are therefore facing a discussion on how ownership of power rights, fish, oil and gas should be ensured over a long period of time. It is an important debate. I am pleased that the debate has been taken up. I agree that more time is needed in connection with such a debate, and that it may be appropriate to get a separate case on it to the Stortinget at a later stage. The ownership committee will address some of the issues, but they will not go deep into what is at the core, namely the relationship with the natural resources and ownership of the natural resources as such. So the ownership selection won't be comprehensive in that way. However, on the basis of the positive signal that has now come from some of the other parties on the importance of a separate case and a separate debate on these issues, the majority is prepared to turn their proposal into a transmission proposal.
ParlaMint-NO_2002-03-08.ana.ud2419e613	I am pleased that this comprehensive case has received such consideration and focus as it has received from the Committee. In areas by region, Norwegian policy authorities have opened up foreign acquisitions of Norwegian enterprises and natural resources. The most extensive restrictions on the ability of Norwegian authorities to ensure national ownership have been made in the context of the adaptation to the EEA Agreement. This is confirmed by the Ministry of Fisheries letter to the Norwegian Food Committee on the matter. The EEA does not include the Common Fisheries Policy of the EU. The EEA Agreement provides for derogations for the ownership of Norwegian fishing vessels in relation to the general provisions on the right of establishment and the free movement of capital applicable in the EEA territory. Nevertheless, it is now apparent that the EEA adaptation is also being tested in the fisheries sector. This creates a completely new and dramatic situation for Norway, as the fishing industry is based on renewable resources that could form an increasingly important part of the income base for the entire population of Norway and provide a basis for employment in the districts especially in the future. In the preparation of the compensation agreement with the EU in the case of eastward enlargement, the EU team has expressed a desire to amend or abolish the Norwegian participant law. This law guarantees local, Norwegian ownership of the fishing fleet and thereby also to fleet fishing quotas. The ESA Court of Justice has stated that it considers the condition of local connection in the Breeding Act to be contrary to the EEA Agreement. This contests the Norwegian authorities. Aquaculture is also part of the common fisheries policy of the EU. Any EU requirement to liquidate the provision on local connection in the Breeding Act should be met with a sauna Norwegian veto. ESA has not yet commented on the Law of the Sea, which is a contentious matter. Here the Norwegian authorities should highlight a clear position against ESA interference. In addition to the laws in the committee setting, the Coastal Party will refer in particular to the problems of national ownership in relation to the Mineral Law and the Water Resource Act. In order to ensure local, regional and national ownership of hydropower, the right of return must be maintained. It is a uniquely renewable non-polluting resource that Norway has in large quantities, as the representative Arnstad pointed out instead. The purpose of ensuring national control of our rich natural resources is that the proceeds from these resources will benefit us and our descendants. However, in order to regain such control, Norway has to notify itself out of the EEA and return to the old trade agreement with the EU. We will therefore propose that the Government provide an overview of what we can achieve both within the EEA and after a possible EEA withdrawal of ownership of Norwegian natural resources. We will further clarify that the Government should not confine itself to briefing on state ownership, but also the possibility of maintaining county, municipal and private Norwegian ownership of natural resources and key companies. I understand that the majority wants this as a transmission proposal, and I agree with that in itself, because this is a comprehensive case that needs more thorough consideration in the future. So I also support making this a transmission proposal.
ParlaMint-NO_2002-03-08.ana.ud2419e634	The proposal by the big business representative Bastesen that the control and ownership of natural resources can remain in Norwegian hands is formulated as a very comprehensive question, as many have said today. There are many interesting issues raised by the fact that it embraces as far as it does. I have listened to the debate with great interest, and I agree that national control of natural resources is strong in Norway, and that is how we want it to remain. The issues raised are complex, and they are not fully elucidated on this occasion, and I am pleased that everyone seems to agree that the proposal before us is to be a transmission proposal. I can assure you that the Government will clearly come back to Stortinget with several issues, as the committee assumes in the vote. I want to find out how we can best address both the overall situation and at the same time address the sector issue in the way we report back to the Stortinget. But I will follow up on the comments and intentions of the Storting and the Committee. In the letter that I sent to the Committee on 25 January, which is attached to the vote, I also mentioned fisheries and aquaculture as well as agricultural properties, petroleum resources, waterfall rights, mineral resources, genetic resources, etc. It only underlines the extent and complexity of the issue raised in Document No. The 8th proposal. It would, of course, lead too far if I were to address the different types of natural resources today, explaining the reasons for and against the need for national control and ownership in each area. However, I would like to use this opportunity to come back to the situation in the fisheries and aquaculture sector in terms of national control and ownership, as well as to say something about the genetic resource problem. Let me first refer to the Sem declaration, where it is related by the Government to the farming industry, among others. is said that local ownership must be given priority. We stand by that, and this is a problem I will come back to Stortinget when the Breeding Act will be reviewed in the Ministry of Fisheries and any need for change is clarified. The Sem Declaration also states that the design of the tax system has a significant impact on the development of private ownership. The taxes on wealth and the double taxation of dividends result in private Norwegian owners being discriminated against in relation to foreign and public owners, which means that private Norwegian ownership is being distorted. The government will reverse these developments and ensure that Norwegian private owners have competitive tax conditions, and this clearly also affects the current situation. Furthermore, it is a key challenge for us to strengthen the access to capital of Norwegian enterprises and innovation projects. Increased access to risk capital and a better functioning capital market are essential for Norwegian business and Norwegian owners to be able to exploit new ideas and business opportunities related to the exploitation of natural resources. The government will therefore facilitate new start-ups and greater private ownership in the business community, and has also announced, as it says, a big deal in April this year about state ownership. When discussing this with national and foreign ownership, it is important to consider the EEA Agreement. The EEA Agreement provides clear guidance on how to design and enforce Norwegian legislation with a view to the free movement of goods, capital, services and persons. In this context, non-discrimination and equal treatment are required for actors in the EEA area. There are also conditions we need to take into account in the design of policies relating to the exploitation of ownership of natural resources. Raising new marine species and new forms of production are examples of widespread untapped opportunities available in the aquaculture industry. Also within salmon and trout farming there are still large potentials for growth. The government will therefore strengthen the importance of the aquaculture industry for districts and facilitate continued growth. Concessions are therefore an important instrument in the development of the aquaculture industry, in terms of salmon and trout, and as I mentioned in the introduction, the Government has said that local ownership must be given priority. Several speakers have mentioned ESA today, and the Stortinget is aware that, in some cases, the ESA has recently raised concerns about Norway’s adaptation to the EEA Agreement. I note that there is a development in the understanding of the agreement that means that new issues need to be addressed. An example is the ESA’s reasoned opinion of 15 November last year on the condition of local ownership when granting concessions to salmon and trout. That matter is being dealt with in the department, and I hope we can award the 40 concessions that the Stortinget has cleared, in June this year, and that the matter with ESA will then be settled. ESA concludes in its opinions that the conditions are contrary to the provisions of the EEA Agreement on the right of establishment and the free movement of capital. We're then of a different opinion. This needs to be clarified, and that goes right into the issues in the case we are dealing with today. The government is in line with the ESA’s reasoned opinion and is now engaged in informal dialogue with ESA to see if it is possible to reach a solution that will address Norway’s need for an allocation policy that strengthens local business and ownership. With regard to the possibility of introducing new national ownership requirements, this could be problematic in a number of areas in relation to the EEA Agreement. Although the management of natural resources has been initially added to national authorities, the agreement, as mentioned at the outset, involves non-discrimination requirements, etc. In general, this means that once a private resource is allowed to be used, EEA citizens cannot be discriminated against unless they are located in areas such as: the fisheries sector, where derogations have been made. When we talk about national control and ownership of natural resources, I also want to mention another type of natural resource that the representative Bastisen has mentioned in the explanatory statement for his proposal, namely genetic resources. The genetic resources are important resources in many relationships, including in food production. Under Norwegian law, there are no general rules on ownership or the right to dispose of genetic resources as such. However, there are commitments undertaken by Norway internationally. The UN Convention on Biological Diversity aims to preserve biodiversity and ensure the sustainable use of individual components of diversity. Furthermore, the Convention shall ensure access to genetic resources and a fair distribution of the dividends resulting from commercial or other exploitation of the genetic resources. The Biodiversity Convention, on the one hand, states have sovereign rights over their natural resources and the power to determine access to genetic resources lies with national governments and is governed by national law. On the other hand, the Convention requires the Parties to facilitate access by other Parties to genetic resources for environmentally sound use, and not impose restrictions that are contrary to the objectives of the Convention. This is an example of the fact that the issues raised by the representative Bastes are also diverse and problematic in an international context. Norway has worked internationally in different forums for a genetic resource policy to ensure continued good general access to genetic resources for societal purposes. It may also be in Norwegian interest. As far as genetic resources are concerned, I would like to mention the Biomultiplicity Law Committee, which was set up at kgl. Resolution of 20 April last year. The committee’s mandate includes: that the objective of regulating genetic resources must be: ensuring the availability of own genetic resources to facilitate the exchange of resources between countries to prevent biodiversity from being reduced so as to ensure a fair distribution of benefits from the use of genetic resources The mandate shall read as follows: ‘It is important that regulation strike a balance between the interest in having national control over the extraction of biological resources and the interest in not hindering national and international research and development, including industrial research and development... Any obstacles in this way resulting from the regulation shall be investigated.’;» The committee shall submit its proposals by 1 October 2003, and that will be an opportunity to report to the Stortinget, as requested. To a large extent, resistance to foreign ownership has been particularly linked to the fisheries and aquaculture sector, and this is due to the fear of coastal depopulation. As far as I know, we don't have any evidence to claim that any increase in foreign ownership actually produces such effects, but we're holding on to the fact that whatever today, we have rules that make foreign companies only own up to 40 pst. by fishing vessels and fishing establishments owned by fishing vessels. As regards the fisheries sector, I would also like to mention the Ownership Committee, which was appointed at kgl. Resolution of 8 June last year. The sample will also address to some extent issues related to foreign ownership. It shall submit its recommendation on 1 June of this year, and it will also be one of the documents that will provide us with the basis for reporting back, in line with what the Stortinget and the Committee request. It is also true that in several fields we are dealing with issues that can be said to relate to foreign ownership of natural resources within the international framework, such as: the EEA Agreement and the Biodiversity Convention. My conclusion in the light of what is in the vote and what has been said here in the Chamber is that there will be several occasions for the Government to come back to the Storing and report on and discuss issues related to the individual sectors. And then we're going to evaluate how we're going to be able to raise the issues together and see the overall context. But I will promise to follow up on the intentions that are both set down in the setting and that have been expressed in the hall today.
ParlaMint-NO_2002-03-08.ana.ud2419e706	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2002-03-08.ana.ud2419e722	No one has asked for the floor. [[Footing, see next column]]
ParlaMint-NO_2002-03-08.ana.ud2419e730	It is to be voted on on on today's map. To Case No 1 and 2 no voting theme is available.
ParlaMint-NO_2002-03-08.ana.ud2419e745	During the debate, you are converted into a transmission proposal and the introduction is replaced by ‘Recommendation to the Government’, etc. The proposal is amended as follows: ‘It is appropriate for the Government to provide information to the Storting on how the State should manage ownership of natural resources, including food resources — as well as an allocation of Norwegian and foreign ownership structures.’ The President proposes that the proposal be forwarded to the Government without a motion of censure – and considers it to be adopted.
ParlaMint-NO_2002-03-08.ana.ud2419e788	There is no record.
