ParlaMint-NO_2002-06-05.ana.ud326e51	The representative Karl Eirik Schjøtt-Pedersen will make a private proposal.
ParlaMint-NO_2002-06-05.ana.ud326e447	The municipal sector is the part of the public that each of us meets most often, and it is a completely vital producer of welfare services. The government contributes to the minimal growth of transfers to the local government sector, while we know that these tasks are increasing. Education, health and care services and the social sector are affected, and this means that municipalities have to provide services of lower quality or less than those that are defenceable. The right was offensive in the election campaign last year and promised great improvements in the welfare of the inhabitants. Is this not the case to put the selection behind the light? And isn't this also a challenge for local democracy when it comes to recruiting people-chosen jobs? Right Party Spokespersons of Telemark have stated: Who will be elected to the Board of Directors and to the Board of Directors of Telemark? Does the Council share the concerns of its own party trap in Telemark?
ParlaMint-NO_2002-06-05.ana.ud326e452	I have the naive hope that our democracy is stronger grounded than that it will only work in the good days and when there is more money to distribute. I believe that democracy is such an important value that if we have not managed to build it into people's spinal reflexes so that democracy exists even when we have to distribute money, or can't distribute more money, but actually have to take heavy hold, we have a relatively large downfall in relation to the solidarity that we stand together in this society. It should worry us much more than exactly the effects of next year's municipal economy, if that's the reality. So the so-called minimum growth is 1 1⁄4 pst. It is similar to that proposed for the income generation in 1999 and 2000. There is half a percentage growth in free income, and it is higher than that proposed in 1999 and 2000. So I think when you look at this in perspective, this isn't a record-breaking solution. This is actually what the norm is. The important new thing is that expenditure is rising explosively in the municipal sector.
ParlaMint-NO_2002-06-05.ana.ud326e457	Morten Lund – for additional questions.
ParlaMint-NO_2002-06-05.ana.ud326e460	In my home municipality, there was a school strike yesterday at two schools where parents and students protest against school closure. The decision to which it is added comes because the municipality's management has read the municipal bill, and they have heard the municipal minister say what the municipality minister says. The hopelessness one feels in Bjugn, feels a very many other places, and that after the election campaign was dominated by promises of a better school. And the Right's promises were greatest. But the everyday life of local politicians is to put down schools, to reduce teacher's density, and then they're not believed when they say that the savings they're forced to do give them poorer schools. But they can account for the pensions and for the salaries for the current year and for the next year. It's right there. So it doesn't match expectations that are made central. What did the Right mean when they promised more school? Did Jan Petersen think there would be less money for school in Norway?
ParlaMint-NO_2002-06-05.ana.ud326e465	Even if you mention another government council, I think the Solberg Council is the right one to answer.
ParlaMint-NO_2002-06-05.ana.ud326e468	I want to answer that question, related to what the Right promised. The right promised a better quality in school. We work every day to get a better quality in school. A number of proposals have been made for the Storting, and there are a number of proposals for consultation and investigation related to it. Teacher training improves. We're working on the entire quality reform, which will be presented next year. We're working on giving more opportunities for parents to choose an alternative compared to a new law on high school. All of these things are going to make the school better. What we know is that when we with this government come to the end of 2005, the school in Norway is going to be better. In 2003, there is a tight arrangement, yes. And no one is saying that we don't believe that it's difficult in the municipal sector. So let's do that. We know it's difficult in the municipal sector. But it is also true that there are some expenses that have also been incurred by the municipalities themselves through, among other things. (Parliament adopted the resolution) It's a choice the municipal politicians have made, to say that this year is tight, and it's also the year you have to give the highest wage increases.
ParlaMint-NO_2002-06-05.ana.ud326e475	President! Can I correct a manifest and significant misunderstanding?
ParlaMint-NO_2002-06-05.ana.ud326e480	No, it is not this kind of debate we have.
ParlaMint-NO_2002-06-05.ana.ud326e485	Something was wrong.
ParlaMint-NO_2002-06-05.ana.ud326e490	The President proposes that the representative take it directly with the Council of State afterwards. We're going to go to the next main question.
ParlaMint-NO_2002-06-05.ana.ud326e495	I have a question for the Minister of Agriculture. Significant price differences in food between Norway and neighbouring countries reduce the survival of Norwegian farmers, and there is no doubt that central Norwegian agricultural products will be subject to significant price pressure in the coming years. If we cannot stabilise or reduce price differences between Norway and neighbouring countries, it will mean a deadline for Norwegian farmers. We know that the space for action is constantly being reduced because imports of agricultural products are increasing, exports are stabilising or decreasing, regulatory export opportunities are being reduced via the WTO and borderline leakage is increasing. How will the Government adopt a strategy to maintain a competitive Norwegian agriculture of some size over time?
ParlaMint-NO_2002-06-05.ana.ud326e505	There was a comprehensive question that would take a lot of time to answer, but if I were to give some quick clues, I would say that the agreement we have now concluded, through the agricultural agreement that is being dealt with in Stortinget, is a first important contribution, among other things. to achieve, I think, a necessary and important rational development in milk production. In addition, there are many other areas where this needs to be done. What we can say, and I think that is very important to include, is that we can never get down to prices in Norwegian agricultural production that are in line with our neighbouring countries. It has to do with our geographical location, and it has to do with the level of costs that is especially high for Norway. But we have to make sure that the price differences don't get too big. And then we have to try to develop other competition strategies for what we can be very good at, and that's what we're doing in many areas. We have the prerequisites for producing food of very high quality in Norway. We have assumptions for producing food in an environmentally friendly way. We have the prerequisites to give our animals better living conditions the time they live until they end up in our dining room, etc. I can mention that I had the pleasure of hearing some of the big international food chains now planning their grocery stores for 5-10 years in time, and they say that the kind of modern consumers and citizens Europe will see over the next 5-10 years, not primarily going to focus on price issues, but on the content of food. Is the food safe? Is the food produced environmentally friendly? And not least what we've experienced in the last few years: how have the animals had it in the time they lived and produced? In this context, we have the best conditions for developing competition strategies for Norwegian agriculture that allow us to satisfy the modern consumer, who looks at more than just price.
ParlaMint-NO_2002-06-05.ana.ud326e514	We are all aware that due to climatic conditions we in Norway will not be able to get far enough down in price, but what was my main point is that price differences do not need to be increased, but stabilized. And when we look at the international chains, which the Council of State was busy with, they're in the process of establishing themselves in Sweden, competition is intensified, competition authorities go through the legislation, and most of them believe that the prices of agricultural products in Sweden will be reduced. And then this gap will increase. We cannot dig trenches around Norway. It would then be completely impossible to achieve something through regulation in that area. That's why we have to have a strategy that doesn't increase these price differences. What does the Government plan for us to have a viable agriculture in the future — which really means something in the relatively short and medium term?
ParlaMint-NO_2002-06-05.ana.ud326e519	That was probably the same question, but I can add other elements of the answer. First of all, we have to keep busy doing things in a smarter and better way in Norwegian agriculture, which means that these price differences do not increase. So one way to think about it is what the Government has done this spring, to open up to agricultural holding companies across agricultural properties. It allows the use of capital equipment and labour resources in a more flexible way. Now I hope not that all of these rationalization gains that lie within this will only come out at a lower price, but that the farmers too will be able to earn more income. We have to get a reasonable division here. But we don't just have to have an eye on the prices. I had the pleasure of being in one of our leading and best-developed shops in selling alternative products and organic products, in Lier yesterday, and it impressed me very much. They said they had no problem taking out 20-30 pst. in price increases, because it was demonstrable that the products had been produced environmentally friendly. Many consumers want it this way. And it's a competition strategy.
ParlaMint-NO_2002-06-05.ana.ud326e528	There will be follow-up questions – Inge Ryan.
ParlaMint-NO_2002-06-05.ana.ud326e531	I am among those who believe that food in Norway is cheap. And when the Business Committee was in France last week on the study trip, there was one main impression that was left for me after that trip, and it was that you became increasingly conscious, even in France, of producing quality – the quality that the market was asking for. So my question to the Council of State is this: what does the Council of State do to make it more focused on food quality in the Norwegian debate than on this one-sided discussion about price all the time? What will the Council of State do to give us a much greater focus on that question, and get a little away from the one-sided price debate that we've had lately?
ParlaMint-NO_2002-06-05.ana.ud326e538	I have behind me a winter and a spring where I have had quite a lot of Christmas because I have tried to go into the debate on these questions, about exactly what Ryan says here, that food is about more than price. It's about quality, about variation, and it's about hearing a story behind the product, how it's been produced, how the living conditions have been in that district and the area it's produced. Some of the experiences we have from France, which is country no. 1 in Europe, we want to transfer to Norway. We know that there's a higher percentage of the population who have the eye for their food choices that the representative here is expressing. So I'm going to promise that I'm still going to be able to have two thoughts in my head at the same time, talk for variation, for competition, for diversity and quality in Norwegian food production, but not so that costs run smoothly, and that price differences become completely unreasonable compared to other countries. I'll try to contribute to that.
ParlaMint-NO_2002-06-05.ana.ud326e543	We move on to the next main question, from Sigvald Uppebøen Hansen. The President is going to allow another main question, from Bjørn Jacobsen. That means that there will be no follow-up question after Sigvald Uppøen Hansen as time is already out. But a little bit of a round we're going to be at the end of the session.
ParlaMint-NO_2002-06-05.ana.ud326e548	I have a question for the Minister of Local and Regional Affairs, and it's about housing. Housing prices continue to rise. There will be fewer dwellings built. The house bank lacks $3.5 billion, and the government cuts $2 billion compared to the government of Stoltenberg. Now it is important to put housing policy on the agenda. I want to go back a little bit in history, to the Willoch government. It's seen its tracks. We know that the barricades were privatized. Price regulation was lifted, and today's situation shows that there have been very serious problems for young people in the start-up phase, and we also see that a normal wage income does not work at interest and rebates. A lot of new benefits from the deregulation policy that took place in the 1980s, because it simply puts forward those who have been on the market for a while and punishes those who are now outside. In the wake of this, municipalities have stopped feeling responsible for a social housing policy. Isn't the Council of State underestimating what housing construction has to say to society?
ParlaMint-NO_2002-06-05.ana.ud326e557	I would like to say that I believe many young people before the deregulation in the Willoch era had more difficulty getting housing than they have today. Even though the prices were officially low, there was a lot of money under the table, and they couldn't be borrowed anywhere. There had to be a greater share of equity in order to be able to get into the housing market in the main areas of pressure. I think that the dream that much was so much better before, doesn't apply, even when it comes to young people's access to both loans and housing. It is clear that it is important to focus on being a cheaper ticket for young people than it is today. The most important thing to focus on in terms of housing construction is to reduce the cost of construction itself, because in most markets in Norway, new construction costs are pushing the market price. An important example of this is, for example: the lack of skilled workers in the construction industry. It is the largest area where we lack workers today, which also means that costs are getting higher. The other important thing is to make sure that the instruments we have are targeted precisely at the groups that need them. That's why we're working on getting a better loan facility within the start-up loan scheme for young people who are going to buy their first dwelling, doing more about the Husbank towards a first-home bank on the debt financing side, as well as an improved and simplified loan scheme for those who are disadvantaged and who have long-term housing problems, who are both receiving loans and receiving grants. The government is increasing the various grant areas. I show you, among other things: that more has already been allocated to the housing grant scheme than the current year, and we have increased by 75 million in addition. kr related to the special situation we have in repatriating refugees.
ParlaMint-NO_2002-06-05.ana.ud326e566	Governments are clear on what kind of profile Right wants at the House Bank. In large parts of the country, the House Bank is entirely responsible for building. In Northern Norway, two out of three housing units are built with mortgages, in Northern and Finnmark four out of five housing units. Now the House Bank is running out of money. The Labour Party believes that housing policy is good district policy. My question is: does the government mean that the housing building in the districts should stop?
ParlaMint-NO_2002-06-05.ana.ud326e571	The government does not turn the House Bank into a purely home bank just because there are some markets where it would be difficult to finance the construction of new dwellings, if you had done so. That's why we're not going to do a full reform of that kind. It also means that we have to take into account the districts within those criteria when you start working on rationalizing as to who will get a loan in the future. But at the same time, I want to say that in terms of the starting point of the question, namely the housing problems for young people, it is actually the fact that the biggest housing problems, where we have a social housing problem in this country, are in the larger cities, in the press areas and not in the district of Norway. The truth is that the House Bank there has played a much, much less role than elsewhere. It is primarily the private market that has done the job. What we are concerned about is to ensure that the regulatory plans are implemented more quickly, to ensure that the municipalities cannot charge a number of new development costs to the projects, so that all projects are more expensive.
ParlaMint-NO_2002-06-05.ana.ud326e581	Let's move on to the next main question.
ParlaMint-NO_2002-06-05.ana.ud326e584	Today it is the International Environmental Protection Day, and of course I would like to ask questions to the Foreign Minister. In a few months' time, there will be an international environmental summit in Johannesburg. I have previously asked the Minister for Foreign Affairs about the Norwegian preliminary drafts, but I believe that the Government has now moved on a bit and can say something more specific about what the ambitions of Norway are like. How will the Minister of Foreign Affairs contribute to ensuring that this meeting produces results and will be a highlight for international environmental work?
ParlaMint-NO_2002-06-05.ana.ud326e591	It is right that we have high ambitions for the Johannesburg meeting, which will have a very broad and comprehensive agenda. When Jacobsen asks about how we want to approach the preparations, I would say that it would just be to put a lot of weight into the preparation work. While we are here, there is now a new preparatory work in Indonesia, in which both the Minister for the Environment, the Minister for Development and the Secretary of State with this responsibility in the Ministry of Foreign Affairs are present. There are therefore ongoing discussions right now on these issues, and the fact that we're so heavily represented reflects the priority we're giving to this meeting as well.
ParlaMint-NO_2002-06-05.ana.ud326e598	I thank you for your answer. The Johannesburg conference is about poverty and the environment. Increasing trade in southern countries is an important key to fighting poverty. All over the world, work together to promote systems that secure ethical trade, to prevent trade based on human predatory practices and the environment. What will the Government do to promote ethical trade, and will the Government use the forthcoming UN conference in Johannesburg to work on such arrangements?
ParlaMint-NO_2002-06-05.ana.ud326e607	The question that Jacobsen is now raising is a question that must partly find its solution outside this conference. There are a number of issues that Stortinget has discussed earlier and that need to be addressed in the day-to-day exercise of foreign policy. As for the content of what comes out of the conference in Indonesia, it assumes that I have a pulse of every minute of what's happening down there. I will therefore not go in and try to suggest what the result of Indonesia would be. But the fact that we put so much weight into the preparations, at least makes Norway do its part of the job. I shall not hide the fact that there are many difficulties associated with the Johannesburg Conference. It's still necessary to fight for things that have already been achieved, but we do.
ParlaMint-NO_2002-06-05.ana.ud326e614	At that time, the time for the oral questioning should be well over.
ParlaMint-NO_2002-06-05.ana.ud326e628	No one has asked for the floor. [[Fotation, see page 2942]]
ParlaMint-NO_2002-06-05.ana.ud326e644	No one has asked for the floor. [[Fotation, see page 2942]]
ParlaMint-NO_2002-06-05.ana.ud326e660	At the request of the Municipal Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of reply be given following contributions from members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2002-06-05.ana.ud326e669	In 1998, the process of releasing the Institute of Labour, also known as the AFI, began. The Stoltenberg government later argued that the AFI should be converted into a foundation, but in the state budget for the current year, the government parties and the Progress Party agreed to convert the AFI into a limited liability company. This is the background for the St.prp Government. No 57 for 2001-2002 proposes the conversion into a limited liability company and the sale of shares. In Odelstinget later today it is proposed in Ot.prp. No 73 for 2001-2002 also a priority and waiting wage for employees for three years from the transformation. The Institute for Labour Research is an important and central research institute in the field of working life, and it conducts multi-disciplinary action and user-oriented research. There are now several central labour research institutes and there are no longer good reasons for one of them to have the status of executive. The previous government therefore proposed to choose the form of formation as the form of organisation for the AFI, while the Government now considers that the form of limited liability company is more appropriate. A main point of departure for formation is that it is too static and too poorly steerable, and that a future form of organisation must allow market orientation and dynamics both in terms of selecting work areas and organisational solutions. The form of organisation must allow institutions to determine whether they will participate in alliances or mergers both nationally and internationally. In addition, it may be worth noting that the Riksrevision refers to adverse aspects of the use of the form of formation in state contexts, even if attempts are made to explain this in a comment in the committee setting. Foundation is, whether you like it or not, a very heavy form of organising an enterprise that needs to adapt to changing framework conditions. The members of the Municipal Committee from the Right, the Advance Party and the Christian People's Party agree with the Government that a limited liability company provides maximum professional and organisational flexibility and clear and tidy ownership and responsibilities. It is worth mentioning in this context that the Ministry, in parallel with the work on changing the form of association for the AFI, has cooperated with the Norwegian Research Council to develop a more comprehensive and forward-looking strategy for the overall research of working life. I would also like to point out, on behalf of the Right, the Progress Party and the Christian People's Party, that in our work towards a future ownership structure, we should take care of more robust labour research environments in order to be able to compete in international competition in the field. Long-term, strategic and professional ownership will therefore be desirable in the case of the AFI, and this should not necessarily include the Ministry. The form of organisation must facilitate extensive cooperation, alliances or mergers both nationally and internationally. The Board of Labour Research Institute AS should therefore carefully consider the options for future ownership and implement the sale of shares by the end of 2003. There is also reason to stress that it should also be possible for employees with joint ventures in any form, if desired, and such representatives of the employees themselves have expressed their views in a hearing on the matter. As rapporteur of the case, I also find it necessary, for the sake of order, to clarify that the Right Party, the Advance Party and the Christian People's Party, in their remark in paragraph 6.4 of the vote, writes, that we assume that the basic allocation of 7 million. kr after five years of being put out for competition by entering a pot which the Norwegian Research Council will distribute between several institutes on application, must be understood as described in more detail in paragraph 6.3 above. This shows that it is only the strategic focus of this basic allocation that is put off after five years. After five years, this will be 40 pst. of the basic allocation. A majority of the Municipal Committee, consisting of the Workers' Party, the SV and the Centre Party, have, with the double voice of the Chairman, recommended the Stortinget to transform the Institute of Labour from the Administrative Board to the Foundation with effect from 1 July 2002. On behalf of the Right Party, the Advance Party and the Christian People's Party, on the other hand, I have the pleasure of promoting the minority proposal from the Committee, where the Stortinget agrees to the establishment of AFI AS, as proposed by the Government. This proposal is reproduced on page 5 of the vote.
ParlaMint-NO_2002-06-05.ana.ud326e689	Hans Kristian Hogsnes has taken up the suggestion he referred to.
ParlaMint-NO_2002-06-05.ana.ud326e692	When the Stoltenberg government presented its proposal for a government budget last year, they made suggestions to turn the Institute of Labour into a foundation. This largest Labour Party for when Stortinget deals with the 2002 budget, because we believe that the form of formation is a good organization where the aim is a more freer position. I am aware that this process has been under assessment since 1998. The argument for such exemption is that they want to release research funds, so that they can buy research more from other relevant institutions. A reorganization of a state limited liability company is not an accident for the AFI itself, but the Government's proposal outlines this as a temporary solution. By the end of 2003, the Government will sell up to 100 pst. by the country's axles, and then the institution will be fully privatised. Currently, it may seem that the Government has privatization as its major goal. The fact that it gets followed by the Progress Party should not surprise anyone. Market orientation, privatisation and dynamics are more decisive for the majority than having stable framework conditions. The Labour Party believes that there are strong arguments for choosing the form of formation rather than the form of a limited liability company in the case of AFI. Prerequisites and stable framework conditions are important for the research environment. It should be a public responsibility to research in the workplace. I can't see that the consequences of reducing the public's responsibilities today are assessed or have been the subject of any major debate. The majority’s proposal may have major implications for the societal task that the State should take care of. I also point out that the Statens Arbeitsgemeinschaftsinstitutt, STAMI, which has granted a transfer to a limited liability company, does not see the share company model as an own organisation for the institution. Research activities are not ordinary commercial activities. In that case, there's something completely new. The AFI may also be purchased by the competing institution. Do we then have any guarantee that the research areas that AFI today can handle in the future? It may also have implications for the desire for a wide range of research activities. Any reorganisation of the AFI into a limited liability company would create a precedent for the research institutes. Therefore, this matter should have been discussed much more widely before the Ministry made submissions on the form of a limited liability company. I refer here to the evaluation of the Norwegian Research Council that the Government is currently discussing. In this context, I would recommend to the Committee a plural recommendation where the Institute of Labour is proposed as a foundation with effect from 1 July 2002. I remind you that this is also in line with the wishes and the professional advice of the Committee's hearing.
ParlaMint-NO_2002-06-05.ana.ud326e709	I can entirely join what Sigvald Uppøen Hansen from the Workers' Party said. I think the main problem with this matter is that we have not received an analysis from the Ministry of Labour and Administration of what kind of knowledge we need about employment in the future. We know that working life is getting tougher. There will be more exclusion, and there will be more waiting wages – to say it like that – as it will also be of this case. Why does this happen? How can we prevent this? And do we have enough knowledge? There is no analysis of how we can achieve this. Nor is there any research policy analysis that is new, or that I have at least managed to find out is established, which says that this is an organisational form that suits this type of research and research foundation. This matter should also have been discussed widely with the Minister of Education and Research, who should have had a word in his work here, so that a proper basis for research policy could have been given for the steps taken by the Government. For SV's part, we believe that the main point behind this is more political in principle, that you want the AS form rather than other forms, and that it has controlled this, as it has done with some of the other castes that the Government and the bulk of the population have participated in the last year, where you adopt AS certification over the table without really knowing how much it costs or what you achieve. I would also like to stress that the Government in its production has referred both to the work of the National Audit Office and to the Mjøs Committee to justify this form of organisation. On the SV side, we've gone in and looked at this, and we're not able to see that there's no coverage in the Riksrevision's work or in the Mjøs Committee to say that they have recommended AS when it comes to this type of research institution, and when it comes to the purpose that the Government itself says they have, namely exemption. What this proposal is all about is also pretty strong signs that research is going to be more shop, and maybe just shop. It would have been nice to hear what the Council of State thinks about it. Does the Council of State mean it's just a shop? Or does he think that there should be something left that should be non-profit, that one needs another ownership and other operating modes to meet the non-profit needs such as: have in order to acquire knowledge in the field of working life? There is also a clear signal from the Government that larger and fewer research units and environments are good, without me having been able to find any good reason in addition to believing that what is big and what is few of it is fine. In that case, it should be justified that some of these small institutions have been engaged in research that is not of a quality good or in the same way as the large ones, or have not been able at all to cooperate with others and have obtained research results that have had the quality we expect. It might be interesting to hear what the Council of State thinks about it. During the examination of the case, we have tried to challenge the Council of State whether he has any idea of how many research units there should be in this area, without any response. We fear that there is a general political stance here that this will determine the market, both what kind of research we are going to produce and how many research institutions there will be. It is a deep disagreement because we believe that public authorities have a high and heavy responsibility to ensure that there are broad research policy environments with different approaches, and that there is research that is needed and that is not carried out unless the public takes on the responsibility for ensuring and ordering the necessary research in important areas, especially in the workplace where the challenges are going to be enormous in the future, with increasing exclusion, disability, increasing disease pressure and an ever tougher working life.
ParlaMint-NO_2002-06-05.ana.ud326e726	There is something unreal about this matter. The Institute of Labour Research is the largest research institute in Norway before the development of work and organisation. The Foundation has renewed its confidence in public activities and in the evaluation of public actions in the field of work – on work environment issues and on workplace exclusion and inclusion processes. The Foundation is involved in research in areas where there is a real increased need for research. This environment, which, like many other valuable research environments, needs tranquillity and sustainable surroundings, is now subject to the Government’s AS certification. This is happening as the Norwegian Research Council is evaluated — an evaluation that points to the need for a closer review of the comprehensive Norwegian institute sector and the division of labour between the institute, business and university. It's hard to get the foundation in addition to the purely political motive. It seems to be an independent point for the sitting government to list the number of institutions and enterprises that can be converted into a limited liability company, and later to sell out state ownership almost anywhere. In this respect, the government seemed to use criticism from the Riksrevision and the Mjøs-Selection's recommendations for ownership, loose from the context in which these two bodies have expressed themselves. A number in the committee are big about this. I record that the Christian People's Party also tacitly accepts this. I notice a distance between former state councillor Jon Lilletun's commitment to strengthening Norwegian research and the turmoil created here in this matter. If the proposal is to be accepted, as it seems, I would ask the Council of State to set up this reorganization so that they too can be co-owners. So I'll finally say that Odelstinget is going to deal with a case today if they add their terms. Even if the Center Party is opposed to the reorganisation that is now taking place, we naturally make a scheme that involves both the right of preference and the waiting wage for those added for whom it should be appropriate.
ParlaMint-NO_2002-06-05.ana.ud326e737	I would like to add, in relation to the representative Meltveit Kleppa, that I think there is something unreal about this debate – more than about the matter. I would like to remind you that the AFI is not a freelance unit today. There is a broad consensus in Stortinget that it is desirable to change the organisational form of the AFI and to give it an exemption. The only question we have is: What is an appropriate new organisation for the AFI? Is it to make AFI an orphan, by making it a foundation, or is it to make AFI an entity that has owners who take responsibility for the development of the research institute? My assessment is quite clear that the form of the limited liability company provides the most professional and organisational flexibility, gives clear and tidy ownership and responsibilities, but which primarily gives this research unit good ownership that can contribute to the development of the environment. I want to make it clear that the exemption of the AFI does not mean that I want to disclaim responsibility for or deprioritise research in the field of working life. If the problem was that exemption would mean that the Council of State or the State would waive responsibility, then that would also be an argument against relieving in the form of formation. Adopting that the institution should be released means at the same time accepting that the responsibility for the existence of good research here is another question than how the institution itself should be organised. The Ministry of Labour and Administration has developed and taken responsibility for a comprehensive and forward-looking strategy for the overall research of employment in Norway, and we intend to continue to do so. We have launched a new work-life research programme under the Research Council in January 2002. In addition to initiating long-term strategic research projects and bets, the Programme Committee shall advise the Research Council on the basic appropriations for the core research institutes which receive their funding through the Research Council. I believe it is important to have an overall perspective in this field and not to treat the individual institution that has a random form of connection that is different from that of others. Actions to strengthen the free and independent position of research institutes and promote the strategic tasks of the Research Council are consistent with the overall objectives of the Institute’s policy. I also want to continue to take a long-term and financial responsibility for the AFI in the form of the basic allocation. The basic allocation will be proposed through the 2003 Norwegian Research Council, but the strategic tasks to be performed by the Foundation will be ensured, regardless of the change of form of association currently under consideration. The only question we have today is, what is the appropriate new form of association? It's from the minority in the committee that points to heavy arguments for choosing the form of a limited liability company, so I'm not going to repeat those arguments right now. But I want to clarify once again that research institutes need good owners. The question of AS-certification is not a question of the commercialisation of the institution, it is a question of ensuring that there is someone responsible for the development of the institution. I have noticed that the majority in the committee believes that I am using the Mjøs committee on a false basis in support of the AFI being transformed into AS and not into a foundation. Of course, I am fully aware that the Mjøs Committee referred to the mission activities of higher education institutions – I myself put in the sample. However, the discussion on the form of formation in the Mjøs Committee concerned the form of formation which was an appropriate form of organisation and form of ownership for institutes in general. So an overall sample agreed that this was not a suitable form. It was not a suitable form, among other things. because it means that the institutions are not governed by the employees, it means that the institutions are not governed by the public, it means that the institutions are not governed by the markets, but it means that the institutions are governed by some kind of watch, indeterminately out there that are unable to take responsibility for the long-term development of the environment. And it's not an appropriate way to do business, whether it's business or research. Foundations are very well suited for managing funds and other things with limited tasks, but they are not a good form of company for public activities, research activities or business. This is particularly important, I think, in relation to the AFI, because it has to do with the development further. We have not taken a position on what is an appropriate future ownership structure for the AFI, but we must allow for the development of the labour research communities in Norway that are consistent with the overall research policy priorities and are appropriate for the AFI itself. We believe that a professional board of AFI is the best one to find out what are good solutions there, and do not want to decide what the future ownership structure should be until we have a professional assessment of AFI's relationship with all potential owners, including the possibility of assigning employees as owners.
ParlaMint-NO_2002-06-05.ana.ud326e754	It's going to be line change.
ParlaMint-NO_2002-06-05.ana.ud326e757	When it comes to what the Council of State had to say about an undecided ownership structure, I only have one question in that context. Can the Council of State now say a little about the problem attached to this with the hall of axes? Is it so that the State will sell to the highest bidder, or can the Council of State now confirm that it is to determine the composition of the owner based on research policy considerations? The reason why I ask you that is because I fear that the price of the axes can have a certain significance for the institution's intensification capacity.
ParlaMint-NO_2002-06-05.ana.ud326e765	I am pleased to take this opportunity to clarify that the sale of shares in the AFI will not take place on the basis of earnings or possible sales gains. The whole purpose of ownership is to exercise ownership that is good for the Institute for Research, and good for the development of the research field in Norway. Any sale of shares to others will be based on what is a good solution for the Institute and its professional development, and what is good for research policy in Norway. We do not aim to use AFI as a source of income for the state.
ParlaMint-NO_2002-06-05.ana.ud326e775	It is good that the Council of State stresses that he is conscious of his responsibility in relation to being a good owner, and that he will facilitate a long-term basic vow. But what he is now saying, must well be seen as a confirmation with limited sustainability – it is well until further notice, it is well until he has made his professional judgements, he can let this stand. Because, after this assessment has been made and there are questions about sal, the Council of State cannot deny that business considerations will focus more on the research to be carried out. So to what we're dealing with today. When the Council of State hears the questions that are still being asked by the Storting when it comes to the difference between the corporation and the board of directors, does it agree that the Government would have had a much better basis for its decisions if this matter had been on an extensive hearing in advance?
ParlaMint-NO_2002-06-05.ana.ud326e782	I must – with respect – report deep disagreement with the representative Meltveit Kleppa on the question of what the AS form involves. It seems that more people in this room believe that there is an automatic link between corporate form and business profile. It is not the case that the form of a limited liability company is suitable only for the purposes of maximising business profit. The form of the limited liability company is a widely applicable type of company for many activities. We've chosen AS as the most appropriate form for the AFI, because it's a good way to make sure that the research institute still has an owner. In this respect, I would like to stress that the AFI actually has an owner today. The State owns AFI 100 pst. The majority of the Committee would like the State to give away the AFI to an independent entity that no one can govern. We want the State to continue to own the AFI, to be responsible for the AFI and to ensure that the AFI is given a development consistent with the overall wishes of the Institute and research. As for the question of sending the case to the hearing, I will go back to the question of why this was not resolved with the Minister of Education and Research. Of course, this has been clarified by the Minister of Education and Research. There is an overall government that is proposing this solution to the Storting. It is fully in line with the general research policy we have in Norway, and it is fully consistent with the line of the Ministry of Education and Research towards other institutes. Therefore, we do not believe that there was a need for a separate, comprehensive consultation round on this particular issue – whether the country should still own the AFI or we should give it away.
ParlaMint-NO_2002-06-05.ana.ud326e796	I record that the Council of State believes that it is only research institutions that are AS, on which there is some direction. Everything that's foundations, stretching around like that. as the Council of State said, ‘lordless goods’. As far as I know, very many research institutes in Norway – with some exceptions – are organised as foundations. Is the Council of State saying that these research foundations are drifting around like merciless goods, that they are really without purpose and meaning? Or does the Council of State see that this kind of ownership and operation is actually capable of producing useful and good research, which is both non-profit and commercially highly exploitable?
ParlaMint-NO_2002-06-05.ana.ud326e803	I just notice that research foundations and other foundations have no owner. ‘Morning goods’, I think, is a term that is usually used for things that have no owner. It is a reality. It is also to a large extent a reality that, in terms of research policy, many times it has been pointed out as a problem that it is difficult to get the desirable development of the institute sector — given that there are no owners. Of course, it is not that very good research is not carried out in research foundations as well. We have very good research foundations professionally seen. However, it is a reality that the societal governance of the research profile and of research developments in relation to these foundations must take place in their entirety through the funding mechanisms of research. It is not possible for the country – which has in many cases been the mother or father of these foundations – to participate in the development of the institute sector by virtue of ownership positions. From this point of view, the Mjøs Committee, and I think it is more appropriate for the research institutes to have owners. Although good things are done in institutions that are menless goods, even better things can be done in institutions that actually have a master or a woman.
ParlaMint-NO_2002-06-05.ana.ud326e812	Several have not asked for the word for a line. Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 2943]]
ParlaMint-NO_2002-06-05.ana.ud326e834	No one has asked for the floor. [[Fotation, see page 2943]]
ParlaMint-NO_2002-06-05.ana.ud326e842	The cancellation goes to voting in the cases on today's map. There is no voting theme in case No. 1st@item: inlistbox
ParlaMint-NO_2002-06-05.ana.ud326e1008	During the debate, Hans Kristian Hogsnes has put forward a proposal on behalf of the Right, the Advance Party and the Christian People's Party. The proposal reads as follows:
ParlaMint-NO_2002-06-05.ana.ud326e1081	Now many people have reported that they have voted incorrectly. That's why we're resuming voting.
