ParlaMint-GR_2021-12-15-S1-commons.u1	Ladies and gentlemen, the meeting begins.
ParlaMint-GR_2021-12-15-S1-commons.u39	Mr Vassiliou Yoyakas from New Democracy has the floor.
ParlaMint-GR_2021-12-15-S1-commons.u40	Mr President, Minister, ladies and gentlemen, this year's government budget of 2022 is on the table for economic policy this year. It is therefore important to see what happened in 2021 and why we can be optimistic about the economy in the year it comes. In the last few days, we have had a very good news. Estimates for growth of the economy in 2021 have been revised upwards. Following ELSTAT's communication on increasing GDP for the third quarter by 13.4% per annum, Greek banks and international financial houses provide for a growth rate of 7.9% to 8.9% compared with a conservative projection of 6.9% in the budget for 2021. This initial expectation of economic growth, ladies and gentlemen, came as a result of the gradual lifting of the restrictive measures which in turn led to the reinvigoration of economic activity. Tourism has significantly recovered private consumption as a result of increased savings and improved employment. Investments also moved upwards. Near it comes as good news and the decline in unemployment from 16.5% in September 2020 to 13% in September 2021. Without celebrating, it is worth saying that the number of unemployed is lower than in April 2010, while that of those in employment the highest since June 2011. However, ladies and gentlemen, these performances have been made possible mainly thanks to an unprecedented grid of measures to support households, professionals, businesses, measures which in 2021 amounted to around EUR 17 billion and totalling EUR 40 billion in 2020 - 2021. Seventy categories of measures, ladies and gentlemen, to support income, employment, liquidity with direct and indirect financial aid, suspension of payment obligations and lending. That was and is the basis for the dynamic relaunch of the economy. And I'm saying it's because some of them will continue in 2022. The extension of the "GEYRA" programme to grant household loans, the reduction of the amount reimbursed to all repayable advances, the extension of the exemption from the special solidarity levy, the extension of the reduced VAT rates to a number of services and products, the extension of the "CONTRIBU" programme to cover salaries and contributions, as well as the addition of fifty thousand new posts to the programme and a hundred thousand new jobs is something that has detonated our economy. But it is not only the pandemic we are faced with, it is also the imported energy crisis. We want to support the available income, which is tested by the price rises in oil, gas and electricity with a subsidy for all electricity accounts in the low trend for the first 300 kilowatts, with the opening of income and assets criteria, for the heating allowance to cover over one million households and with increased amounts, from 36% for households without a child, up to 68% for third families, with the suspension of network charges, for all domestic consumers of natural gas and the suspension of charges for services of general interest in agricultural and industrial tariffs for five months. At the same time, ladies and gentlemen, we are taking care, with exceptional financial support, of those who are most tested, of households with very low incomes, of the low pensioners, of people with disabilities and of restoring years' injustices, providing, for the first time, for a decent, minimum allowance for uninsured over-ages, for our relatives from Northern Epirus, who have been deprived of them until now. But that is not all - let me say - fire-fighting and relief measures. There are various interventions which create more opportunities for the new generation, incentives for businesses, to become more productive and more competitive, to invest and to create more jobs to protect the income of households and farmers. It is the 'First Union' programme to tackle youth unemployment of up to twenty-nine years. It is the abolition of the tax, for parental benefits and donations up to 800,000 euros, for relatives first grade. It is the deduction from the taxable income of natural persons, 30% of costs incurred electronically, through payment, for amounts of up to EUR 5,000 per year. Furthermore, the refund of excise duty on diesel, to young farmers and farmers - members of cooperatives, as well as the reduction of VAT from 13% to 6% in feed for animal production. There is still a reduction in taxation on legal persons as well, and incentives are being provided to combine medium, small and micro-enterprises, which are essential, to take up the opportunities of the next day. These interventions add their share to the upward trend in our economy in 2022. This will make a decisive contribution to the implementation of actions with resources from the Recovery and Resilience Fund, which alone, without the leverage of bank funding, will strengthen GDP by around 3%. It will also contribute to the even more dynamic recovery of tourism and the smoother functioning of the market. In short, ladies and gentlemen, 2022 is the year in which our economy is finally surpassing the great test of the last two years. We are optimistic, but we are not triumphant, because we are aware of how things can affect possible developments on the faces of pandemic, inflationary pressures, migration, climate change. The data we have in our hands, however, give us many reasons to hope that the difficult things are now behind us. Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u41	Good! And the second cycle with Mr. Booba is completed by the Greek Solution. We begin the third cycle with the following colleagues: Mrs Olga Kefefaliannis, Mr Dionyssi Kalamatianos, Mr Dimitris Kouvella, Mr Georgios Fragidis and Mr Ioannis Antoniadis, the first five, i.e. Here, Mr. Booba, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u42	Thank you very much, Mr President. Ladies and gentlemen, the time has come again to see the budget for what is coming. According to economists, it is the budget that designs, depending on cash resources, to see what will be the next day. But in business too, there is a budget. What is considered the most successful business? It is the one that, based on cash assets, how she will manage them, how she will distribute them and how she will exploit them, does not forget her staff. In other words, it does not forget the use of human resources. If a private company does this to its members - there were also companies that gave extra bonuses financially, when they had a positive mark on the budget - it will be a business where its executives will love it and be an integral part of the puzzle. So the same thing must be done by a state. A state must invest in a budget which will have a fair share of vulnerable groups. If it does not support vulnerable social groups, it will not be a fair budget. It will be what we say 'the law and nothing else'. So it should not be the legitimate interest of the mighty, but it must be the impossible. So if one, who belongs to vulnerable social groups, see a budget, which is to his advantage, will be a state academic cell that will love the state in general. So now I want to refer to the rural part. Investments are being made in this, notorious, 'Green Deal' or 'Farm To Fork', as Europe says, to invest in agriculture, to invest in the agri-food sector. Should we not, then, create a special code for young farmers? They are the ones who will enter the smart, digitalised ones, we would say, agriculture, to meet the demands of the future. The programme that will run until 2027 concerns agri-food. So the European Union will invest in the primary sector. It is good what the Ministry of Rural Development says, that it will make use of EUR 19.6 billion, as far as - please - agri-food is concerned. Sounds good! From there on, however, you must create a base with the budget to invest in agriculture, because - we also have a doctor in the House - 'prevent' is always better than 'treatment'. We cannot today, gentlemen, have a special code for agricultural oil. It is also Mrs Arabatzi, who is here, who is well aware of agricultural issues and in an interview, that you said, Mrs Arabatzi, that "Tripoli will be the old Samarina for the development of the livestock sector". That is correct, but you cannot say today that I will give the EUR 50 million to two hundred thousand young farmers, which the Ministry of Finance says, but only to the members of the cooperatives or to the already twenty-five thousand young farmers. So we have a population, according to statistics, consisting of five hundred seventy-eight thousand farmers. The rest of the non-cooperative members won't get a farm oil subsidy? But, furthermore, a special code had to be created for agricultural oil. It was also necessary, on the basis of budgetary data, to avoid organic farming paying for the ISO certification of a product, to have a specific code for organic livestock. Because what does the European Union say? What dawns in the primary sector will invest in soil, air management. So, in climate change, we will have to create quality products. So we need to bring 'know how' and new technologies. We must, however, help the young farmer, with a special code, organic livestock and agricultural oil. Special codes. The farmer will not wait every year to get a subsidy for agricultural oil when red duty-free oil in the ports - we will open another conversation - somewhere else goes. I would like to say, therefore, that it must have the foundations of a budget, which - and above all the three kinds of budget - cannot be financial, it must be an operating budget or a deficit. There has to be balance at first, to see if it can be surplus. So let's go now there are inflationary tendencies. You say that unemployment will fall from 15.3% to 14.8%, with the ultimate aim, after two years, of going to 13.7%. But be careful. As we say in the Greek Solution - and the economist, Mr. Villardos and the President, Mr. Kyriakos Velopoulos - this is related to the employment rate, namely, there is so-called skin unemployment. Who's that? It is considered as a worker today, gentlemen, a person working four hours 'part time', an elastic hour per week. This reduces the unemployment rate. Let us see, however, what real market unemployment is and what the real working hours are and what the real wages of the workers are. All this, therefore, needs to be considered, because society sends out its own messages. In a short time, in order to speak the language of truth, we have to have a special debate to see what the adjustment clause is today on PPC tariffs that are coming and on the farmers, and it is a great deal of money, to tell them that the adjustment clause is calculated on the basis of the electricity generation mix. It has replaced this carbon dioxide charisma, with an ultimate aim and a message 'polluter pays'. Yeah, but where does that move? Look at politics around the current, tell the truth in the world, because soon the world and especially the farmer will not say "how much current I have come", but it will say "how much clause has come to me". We're talking about a great deal of money. PPC therefore launches a programme as a public former national provider to give a firm policy for a two-year adjustment clause to avoid moving to the consumer. But come on, when private providers arrived at RAE and could not do so with contracts after December 2nd. It cannot, of course, help the average consumer, because - be careful now where injustice is - those companies that are highly inclined, i.e. the so-called heavy industry, will have a 2% discount. Who's gonna pay her? Households and small and medium-sized enterprises with a low voltage of up to 3%. What's going on now? The electricity transmission network in cooperation with RAE has increased electricity tariffs. That is where we want the state through a budget, because this subsidy you are evangelizing, the 3 minutes for the first 300 kilowatts, is not enough. In essence, it is EUR 9 to help with a power consumption. I mean something, well, because history shows us the way. Because we're in pandemic history too, I'll say that in 1928 we had the laceration fever. The House is closed. Eleftherios Venizelos, who was hospitalized in “Evangelism”, calls then Minister of Doxiadis and Sabbathian and what does he do? Gives 10 million drachmas to local government, 200,000 drachmas to nursing staff - which the government has not done, now puts it in the budget by half - and 15 million more where it gives them? It gives it to the socially vulnerable groups so that we don't have a social explosion, because since H1N1 of 18 we were fired from smokers. It is not possible today, gentlemen, to speak of vulnerable groups, to have filled Greece with structures and not to have a true record of how many homeless Greeks there are in Greece. At one time PASOK had launched a Youth Fund according to Norwegian standards. Why do you not create a Youth Fund to give guarantees and incentives?
ParlaMint-GR_2021-12-15-S1-commons.u43	Mr. Booba, look at the watch.
ParlaMint-GR_2021-12-15-S1-commons.u44	I shall conclude, Mr President. Because we are talking about Brain Drain and all these Anglo-Saxon, I will say what the Acquisition said, a stoic philosopher: "The direct one is not given, so neither the law nor the law." That's what he says. The straight line doesn't need to be caravan, just as justice does not need. We want a budget of law. Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u45	Mrs Olga Kefaliannis, Member of the National Council of the Republic of Athens, is called in Stepma.
ParlaMint-GR_2021-12-15-S1-commons.u46	Thank you very much, Mr President. Ladies and gentlemen, the 2022 budget is the second budget drawn up and discussed in the middle of a pandemic, in an environment of instability and uncertainty, in conditions of global and multiple challenges, such as current inflationary pressures. On this unprecedented and difficult path that we are going through, the growth rate for 2021 is significantly revised upwards, which in practice means that this year the economy has covered most of the losses from the recession that preceded the pandemic. These positive performances of the Greek economy are, as it is reasonable, reflected in the budget for the financial year 2022, where the country's position on the European Economic Charter is redefined, of course, if the official figures of the European Union and ELSTAT are also taken into account. Above all, however, the effectiveness of government policy is being confirmed. This year's budget marks the effort to return the economy to normal conditions, but also its transition to a model of competitive, extroversion and 'green'. Ladies and gentlemen, the growth rate for 2021 is estimated at about 7% and for 2022 at 4.5%, while the European Commission this year has the third highest growth in the Eurozone. The Greek economy will present cumulative growth of 11.7% for the years 2021 and 2022 and this is of particular value, especially in view of the fact that Greek tourism did not bring about the pandemic of what we would expect under normal conditions. Nevertheless, in 2022 we will be able to fully recover the losses of 2020 and even exceed the domestic product of 2019 by almost 2 percentage points. At the same time, there was a fall in unemployment from ELSTAT by 3.5 percentage points. When? From September 2020 to September 2021, that is to say, in the midst of the serious consequences of the pandemic, they have found a place on the labour market for over a hundred thousand fellow citizens, while further employment growth is expected in 2022. Under no circumstances can we, of course, celebrate. The difficulties are many and some wounds are still open, but the state has certainly stood by businesses and households with support measures of over EUR 43 billion. It should continue efforts, in particular to promote liquidity support policies and potential borrowers. The same must, of course, be done by financial institutions to make a greater contribution to the implementation of investment projects and to the real economy. Of course, we can be optimistic about realistic data and yet we are entitled to continue to believe and apply the policy of results, this policy that is expected to bring about a 3.3% increase in private consumption in 2021 and an additional 3% increase in 2022, an increase in real investment in 2021 and 21.9% in 2022, an increase in exports, a large proportion of tourism revenues and a reduction in GDP debt. Ladies and gentlemen, this policy of results is the response to the unadulterated opposition of SYRIZA, which awkwardly lies in saying that we are reducing health expenditure in the budget of 2022, when it is deliberately practicing its calculations that EUR 5 billion of the EUR 257 million have also been provided for in order to be disbursed according to the health course of the pandemic. There's no other way left, ladies and gentlemen of Officer Opposition, than falsification of truth, because your devastation has never been confirmed. You were talking about falling growth and there was a spectacular increase. You were talking about new tax measures and instead of them in 2022 it brings an increase in the minimum wage, additional tax reliefs and a reduction in HISPIA, and all of this combined with the funds to be used by the Recovery and Stability Fund, as well as by the Greek NSRP 2021-2027, which is the first approved by the Commission and which is why they deserve congratulations to the State Secretary responsible, Mr Giannis Tsakiris. The Greek Government has already submitted in October sectoral programmes with the priority of the support programme for small and medium-sized enterprises, competitiveness and innovation, and are expected to be activated in the first few months of the new year. These are extremely important resources that will have multiplier benefits in the real economy in the coming years. So in this opposition that sustains populism and as a government it imposed twenty-nine new taxes, twenty reductions in pensions and increases in contributions, we will continue to respond seriously and to work for the benefit of the many. Ladies and gentlemen, with the expectations of course to overcome the pandemic, with the continuation of the vaccination programme in order to limit its impact, sustainable growth and economic competitiveness can become a reality, a reality which certainly gives rise to new challenges for the Greek Government, which in 2019 was elected by a clear command, to lead the country on the path of development, to a sustainable, modern, socially rewarding economy, a growth that will bring wealth in favour of many, improved public goods, better health, better education, better welfare. This is the bet from now on to justify the expectations of all those who trusted us in the summer of 2019 and of all Greek citizens. I therefore urge you, ladies and gentlemen, to vote in favour of the budget for the financial year 2022. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u47	Mr Dionysios Kalamatianos has the floor from SYRIZA.
ParlaMint-GR_2021-12-15-S1-commons.u48	Thank you very much, Mr President. Ladies and gentlemen, it is the third budget tabled by your Government and you really do not stop astonishing us negatively. This is a budget that widens inequalities and a budget that denies reality, a budget that denies that, in 2022, pandemic will be present, a budget which denies that the accuracy of tyranny millions of Greeks. We really find that he's out of place and time. When the country records one sad record after another - we lamented hundred and thirty fellow people who lost their lives yesterday - when the country is at the top of the deaths per million people in Western Europe, when your forecasts for the end of the pandemic are constantly disproved, what are you doing? You're filing a budget like there's no pandemic. The announcement from Mr. Lytra, the epidemiologist, what did he say to us yesterday? That, as early as May, he has informed a higher level that there is a study that demonstrates that death outside intensive care units is too high, at 87%, and indeed that a 38% of these deaths could have been avoided if the public health system had been strengthened. He came here to this Step, the Prime Minister, fourteen days ago, and said that there is no study, it is not in any way proving that death outside the ICM is increasing. You're obviously mocking the Greek people. But you also submit a budget that refuses to be accurate. Precision in raw materials, energy, feed, farmland, services, that there is no accuracy that crushes Greek society, which crushes households, crushes small and medium-sized enterprises, focusing and retailing. One would expect that in these circumstances you would do the self-evident thing, you would substantially strengthen the public health system. Oh, no. What did you do? You say that there will be no pandemic of time and you will reduce by EUR 600 million the costs for the pandemic and reduce the costs for public hospitals by EUR 220 million, a total of EUR 820 million. But - and we wonder - is it possible, in these circumstances, to make such provision, to deposit such a budget? So if there wasn't a pandemic, what would you do? Would you zero the costs of public hospitals? Maybe that's your target too, that's your dream. For the situation of hospitals, I invite you to come to my home country, my place, to Elia. There - one clue I'll tell you - they've left within a year and a half sixteen doctors and no one has come. Tragic situation. Healthy, doctors, nurses are trying with superhuman efforts to keep the system up, but you've left them alone. And that's not all. With the budget you choose to hit the welfare state, EUR 1.7 billion less spending on the welfare state and support for the unemployed. In such difficult circumstances, then, in the context of these difficult conditions that the financial consequences of pandemic leave their tentacles everywhere, you dare to avoid state welfare. We are now going to support the real economy. What do we see there? Withdraw the billions, the inadequate measures you had the previous year to support the market. And what do you say? That the market is functioning properly. But well, have you taken a walk to the market, a walk to the business, a walk to a shop, go to a shop and ask the professional if he's got a client in here today to shop and if he's got a payday? And consider what has to be done when you ask back the repayable advances and when the suspensions are lifted to obligations and debts. Do you really think that time doesn't need support, too, small and medium-sized entrepreneurship to be able to survive? And while accuracy is hilarious, wages stay on their feet. Aren't you really the ones who have been election-on-electioning that the increase in the minimum wage will be twice as high as the growth of GDP? Now what? 2% increase? 50 minutes a day? Do you think that this really strengthens the income of workers? But you're lying too. You argued that there is no improvement in the economic conditions for workers in any country. It appears that in almost all European Union countries there has been an increase in wages. And why are they doing this? For the self-evident reason, to strengthen the income of workers, to be able to cope. You deny it. When reality does not suit you, you are trying to create another picture to reverse the situation. And while you do all this, you show special care for extra tax revenues, EUR 3.5 billion extra revenues. What taxes? From the indirect taxes, which mainly affect workers and small and medium-sized incomes. And the question is specific: Can the purified social majority cope with such taxation within such a wave of precision? Can it cope with reducing the income available? Can it cope with the debts that knock the door? Can he handle the padlocks that are before the gates if they haven't already come? The truth is, we didn't expect anything better than you. We did not expect anything better than a government that has failed to effectively support small and medium-sized entrepreneurship. We expected nothing better than a government that refuses to regulate pandemic debt. We have waited for nothing better than a government that refuses the fair redirection of the Recovery Fund, which denies the substantial increase in the minimum wage, which refuses to reduce excise duty on fuel. We were expecting nothing better than a government that undermined the eighth and collective agreements, which brought unpaid and cheap overtime, which abolished the thirteenth pension - the permanent thirteenth pension which you, too, had voted for and which substantially converts the insured to investors by privatising subsidiary insurance - which also introduced the new bankruptcy law, which actually takes all the property of the debtors, even the first residence and depriving the residence of small and medium-sized incomes and households. Of course, this is not the case for the offices of the Ministers. That is where we see there is an increase in the funds for the offices of the Ministers and for the posters, as is the case with the budget of the Ministry of Civil Protection. In conclusion, this is a budget which has nothing to do with reality. It is an upbringing budget that brings a virtual reality. At the same time, it is against the interests of the large social majority. But the Greek people have understood what you are pursuing, they understand who you are, and they will answer you soon. Thank you very much, Mr President.
ParlaMint-GR_2021-12-15-S1-commons.u49	Mr Dimitrios Kouvelas, MP of Thessaloniki, has the floor.
ParlaMint-GR_2021-12-15-S1-commons.u50	Thank you very much, Mr President. Mr Secretary-General, ladies and gentlemen, the year that leaves strong marks in no doubt. It affected us all. The unprecedented health crisis has hit our economy and society. It is true that there is uncertainty as to the end of the pandemic and as an MEP, I am telling you that hospitals in our city are currently on the verge but are on the verge of it. I would like to take this opportunity to thank publicly once again all the health staff of the city for the difficult struggle it gives. We owe them a lot, and I'm sure at the end we'll all win. So we have reached the top perhaps parliamentary procedure within the year of the state budget debate, where good news arises. The 2022 budget has three basic features. It is a budget of substance in terms of numbers, optimism in the future and pragmatism at the moment. Mostly, however, it seals a mix of different policy for the country, with fewer charges and more investments, less taxes and more good jobs, less uncertainty and more development perspective. A mixture which started to apply two and a half years ago and continues to end up as the compass for Greece of 2030. Besides, a budget other than figures and forecasts is above all planning. A real road map, which at this stage marks structural changes in the post-COVID era. We are indeed discussing the third budget of the Government of Kyriakos Mitsotakis, but under two new, undeniable circumstances. Firstly, we are in the middle of the greatest economic and health crisis that Europe has experienced since the Second World War and, secondly, of making use of funds of EUR 32 billion from the Recovery Fund, which our country has secured since the negotiation and success of the Prime Minister at the Summits. The government on the first day of the pandemic has made difficult decisions with two objectives: on the one hand, to safeguard public health and, on the other, to support and rescue our economy. At a time when other economies went down to the recession, other advanced health systems collapsed, Greece comes out in the clearing by recovering its powers. Today's debate is taking place in the context of two more difficult equations, which we have to resolve as a matter of urgency. It's the inflation, which makes its appearance, and the accuracy, showing her teeth. But the government in time has diagnosed the problem and has taken targeted measures to relieve households, which are provided for in the budget that we are discussing. This is how we increase the State subsidy in electricity consumption and gas supply accounts by EUR 30 per megawatt by a sum that will ultimately exceed EUR 150 million. We are strengthening the heating allowance by extending the income criteria. We continue the brave and stable reduction of taxes on households and businesses. Unlike some others - I think we all understand who - will remain the government of twenty reductions in pensions, twenty-nine new taxes and the increase in the contributions of the free professionals, who have broken the middle class and the most dynamic and active part of the Greek economy. Fortunately Greek taxpayers are well aware of the days of SYRIZA government and are able to compare clearing notes and clearing notes of ENVIA. As the definition of denial and misery, you will stay, ladies and gentlemen of the SYRIZA, constantly talking about reducing growth, while we have a spectacular increase in new tax measures, and the government's new brave tax policy with continuous reductions in taxes is described every day. You were talking about increasing unemployment, but we've got a lot of divergence. The three years 2020 - 2022 is characterised by the cost of our interventions that have reached the amount of mammoth, a record of the history of the Greek economy of 43 billion euros, through sixty-two categories of measures to support businesses, professionals, households and the unemployed as a whole. Thessaloniki has already been supported with soundness and planning by hundreds of catering, tourism, hotel businesses, as well as free professionals, merchants and workers. We have succeeded in not losing a single job so far. In September 2019, unemployment in our country was 17%. The forecast for 2022 gives us 12.2%. In other words, we will have an improvement of five units within three and a half years of New Democracy. I put the next year in my report. However, the government does not celebrate. For us, even one unemployed person to stay in the country must do anything to find a job. Moreover, the four most important indicators have improved that shape the dynamics of our economy. Private consumption, how much they spend, that is, businesses and households. The actual investments, which are also projected to increase by 22 points in 2022. Third indicator, public consumption. There is also provision for an increased 3 points for 2022. Fourthly, and equally importantly, exports. An area in which our country did not have a significant record in previous years was less than it was, but we have an increase of 28% for 2021 and an additional 21% for 2022 is anticipated. Moreover, deposits increased by 28 billion euros, not only by businesses, but also by households. Let us not forget that the economy is always our government's priority, but since March 2020, conscious and unnegotiable choice of Prime Minister and Government was to promote the protection of the lives and health of citizens. I would ask for a minute's tolerance, Mr President. So for health we had 4 billion in 2019. There are more than five and a half billion for 2022 in the ordinary budget. Here one wonders how much longer you will continue to lie or, in any case, insist that you do not read the budget correctly. The Prime Minister has already announced a large amount, close to 90 million, which will be allocated these days to a hundred thousand health and personnel of the EPC. I call on the relevant ministers to exhaust all margins and to give this aid, this aid to even a thousand nurses from the welfare centres throughout the country and eight hundred workers in the health regions who had received this benefit in the previous period and are doing a similar duty to their colleagues in hospitals. At the same time, the budget makes no discounts on the non-negotiable choice of the Mitsotakis Government for social solidarity and support for our vulnerable fellow citizens. We are making our Greece again strong and secure. With the important agreements that we have anticipated and achieved, we will have increased costs of EUR 800 million in national defence. In particular, we call on you to vote in favour of this budget.
ParlaMint-GR_2021-12-15-S1-commons.u51	Please complete.
ParlaMint-GR_2021-12-15-S1-commons.u52	I'm hanging up.
ParlaMint-GR_2021-12-15-S1-commons.u53	Please, with a phrase.
ParlaMint-GR_2021-12-15-S1-commons.u54	The 4th new generation technology park “Thess INTEC” goes on in Thessaloniki. The ‘CISCO’ and ‘PFIZER’ colosses have already installed high-tech and innovation operational centres. "DELOITTE" offered more than five hundred new posts well paid to young scientists. And we're going on. The vote on the budget of 2022 shall have the form of a vote of confidence in the government. This will take place on Saturday in the House. The most important thing, however, is the vote of confidence which the great majority of Greek citizens give to the government and Mr Mitsotakis every day. I urge you all to join in by voting in favour of the 2022 budget. Thank you very much for your tolerance, Mr President.
ParlaMint-GR_2021-12-15-S1-commons.u55	Ladies and gentlemen, I understand that you all want to conclude a speech you have written or something you want to say, but because there have been two hundred three, and - as Mr Athanasios said this morning - if you add both the Ministers and the Parliamentary Representatives and the others, there are too many speakers, so it is important that we keep time together, grosso modo. I won't interrupt anyone if he's been over seven minutes. Now Mr Frangidis has the floor and Mr Antoniadis follows from New Democracy.
ParlaMint-GR_2021-12-15-S1-commons.u56	Thank you, Mr President. Ladies and gentlemen, we are making every day more of the fact that we are living in a time of multiple crises and multiple challenges. The multiannual economic crisis was followed by the health crisis, with the coronary pandemic, which, however, again fed the economy. We are experiencing intense climate change with dramatic consequences throughout the planet, lack of water and desertification of areas, food and migration crisis. The 2022 budget has to face threats that may work as slow-track bombs on its foundation, first with pandemic. The pandemic is a chapter that remains open. The emergence of the new "Omicon" mutation undermines the recovery that occurred in the previous period in the economy and demonstrates the unstable environment. Epidemiological data is burdened and experts are talking about Christmas with high numbers - as we have unfortunately seen yesterday - in tuberculosis and deaths. Unfortunately, the vaccination programme, with the responsibility of the government, is considerably less than that of other European countries. The health system is under pressure, especially in regional hospitals. The Kilkis Hospital, for example, lifts a disproportionate weight, being a hospital with clinical COVID, without having an intensive treatment unit. And I have to say it's the only hospital in the 4th U.S. that doesn't have an IF. A lot of promises have been made over the last two years, but a result of zero. For inflation: EUROSTAT recently announced that the annual euro area inflation amounted to 4.9% in November, with a record of 4.1% as early as last month. To a large extent this was the result of the huge increase in energy costs. The values of oil, electricity and natural gas shall continue to erase an upward orbit and shall not be visible in the horizon signs of stabilisation. Only a few hours after the German Foreign Minister's statement on Monday, 13 December that the Russian pipeline "NORD STREAM 2" cannot be allowed in its existing form because it is not in line with European Union law, European natural gas contracts increased 10%. The increase in energy costs is conducive to the prices of food and other commodities, affecting households, who see their purchasing power shrinking, while the standard of living of employees, and especially lower paid, is dramatically degraded. The monthly cost of living of the citizen from summer to today has increased by 18% to 20%, which means that every citizen needs 50 euros a month more to live. Unfortunately, VAT on primary products remains at 13% and at 24% and we are not exampled by the Scandinavian countries, France, Spain, who have lowered VAT to 5% on basic products. The accuracy is great, but the government remains inert. It merely gives rise to international developments and does not take measures to reduce the impact, such as lowering VAT on basic goods and reducing excise duties. It does not, of course, take any steps to control the shameful gain. Improving the economic sizes described in the draft budget has no impact on the citizens, who see their purchasing power falling. I would even say that it is one of the times that the numbers prosper, but not the people, or, more or less, the right ones, prosper very few people. Ministers, at the committee meeting you said that in contrast to last year's budget, which focused on the effective management of pandemic - how true this is - this year's budget marks overcoming the health crisis and records the transition from the strong recovery of 2021 to the high and sustainable growth of 2022. I will tell you that the economy may not be closed again because of pandemic - and that is something positive - but your budget can be overturned by the threats I have mentioned and again become management. GDP is expected to increase by 4.5%, i.e. at the end of next year it will be 1.7 higher than that of 2019. Tourism is expected to cover 80% with 85% of 2019 revenues, with revenues reaching 15,000,000 to 16,000,000 euros, playing an important role in economic development. The course of pandemic, however, is naturally affecting tourist mobility. The new mutation, the uncertainty surrounding travel rules and the stricter regulation of measures and restrictions has reintroduced a change in attitude of consumers, making them more conservative and more sceptical on travel. In Britain, which is a basic tourist market for us, only 24% of travellers plan to book holidays abroad in the next 12 months, while 85% of the respondents said they would not travel off the border on Christmas. Tourism has to deal with both the plating of precision in energy and goods. Even if tourism is increasing, this does not imply profitability for businesses, as tourist operators are pushing for low prices, while increasing energy costs raise business operating costs. Businesses therefore need support, since 2021 is characterised as a survival year for many of them who resort to lending to continue their operation. Many 12-month hotels, not operating, have recorded dramatic losses for eighteen months. In 2022, therefore, it is necessary to change the tourist model, to focus on sustainable tourism, the digital transition, to carry out infrastructure projects, such as the renovation of facilities at border stations, ports, the road network. Have you, uh, drawn up a plan for all this? In conclusion, I would like to stress that the Greek province needs support. My region, Kilkis, particularly in rural areas, is facing serious issues such as the increase in oil prices and the retrospective increase in electricity prices. I will give you an example: a farmer has taken an account of EUR 1.223 on the current, of a consumption of EUR 344, but a adjustment clause of EUR 941. Soya pays it 510 euros tone, corn 0,30 euros, clover 0,25 euros, but milk sells it 0,40 euros. How will he cope with these needs? We've got a triple of fertilisers. Failed management by the government of grazing matters has led farmers and farmers to despair. For all this, what is your answer and your plan to deal with, Ministers? In conclusion, I would like to say that we are voting against the budget. But we are voting for that of the Ministry of Defence and the Presidency. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u57	Mr Antoniadis has the floor from New Democracy and then he will make a three-minute intervention by Mr. Mylonakis from the Greek Solution. Here, Mr. Antoniadis, you have the floor.
