ParlaMint-IS_2016-09-08-149.u1	To answer, health minister, education and cultural minister, environment and resource minister.
ParlaMint-IS_2016-09-08-149.u30	A respectable president. I'd like to start by saying thank you. A senator for this important discussion. Stronger settlements all over the country mean stronger Iceland. Hence, it is important that when it comes to civilisation, we end everything because we now need clear vision and serious surgery, major serious surgery. When I talk about major serious operations, I'm not least dealing with transportation because in the past of this government, they've been out of control. In historical context, transport contributions have never been as low as today. At the same time, we watch growing tourism. We have one agency that says that we need to spread more tourists around the country, and we have another service that draws our feet from building up the interconnector system so that we can live up to these goals. I can take an example of Kappus Road, which is a ideal opportunity to strengthen a certain area of tourism and to reach the overall goals for the country all that is spreading better to tourists, but people always draw their feet. Transport is a large part of our regional policy that, in my opinion, it is completely unacceptable that there has not been one transport program here at this council. And they're still pulling the government parties. We invited them to take out a transport program in June, which was refused. Here was a vote against it. Here's the score, here's the work. This is what men are doing. Then they say all kinds of beautiful things, but they do nothing. Transport is the key to enjoying all the things discussed here, enjoying culture, having a larger recording area, so to speak, for their lives, and enjoying the pleasures of life that the regions have to offer, as well as for making this career opportunity. [[The president calls.]] We can see that, for example. And in the seaship, and in Ólafsundur, the injections of The Lord's Vain have been there. These are the actions we have to take to look into, but that government is totally drawing near.
ParlaMint-IS_2016-09-08-149.u31	A respectable president. Thank you. For taking up this important discussion, I can also say that I was delighted to the highest emphasis. The minister of the law put in his mind. I would especially like to point to the factors that he mentioned as to the Council Controller's Management Board on integration between recruitment and how various policy measures in many seminaries must be intertwined in order to build a powerful rural policy. That is exactly the point of the matter. The minister of the law spoke of this, that our dwelling course may be revealed in all the multitude of languages. Therefore, it is important that we keep out of it and use the instruments of control that the Parliament and the government will have at any given time. I'm here to specify things like a national budget and a new State budget. That law specifically discussed how we should present financial laws at any given time on the basis of local issues. There are many things that are done in regional settlements in Iceland, and let's not talk about the country in such a way that there's a tragic recession and a lot of warmness. Although there are individual tasks to attack and work, it is simply a matter of how our policy is displayed, e.g. in which we now raise medical funds, finance to the university system, etc. You wonder, " What controls and standards can we use there? ' So I've entertained the idea when we talk about the university seminary, so I specifically mention it as an example, if it shouldn't be a certain percentage of the funds that go out into the country. Similarly, there is health care and such things, since there can be no success if we call health - care issues in this context, that we do not improve access to health care and provide health care in the region at the same time as we add it to the southwest corner. [[The president calls.]] I can give you many examples in this regard. But it's a great discussion, and I appreciate it.
ParlaMint-IS_2016-09-08-149.u32	Mr. President. It's always good to take up a discussion about community affairs, but I have to admit, where I live in the country and have participated in this discussion very often, that you are getting a little tired when you continue to refer to policy makers and reports. We have hundreds of kilos of reports and policies that could be used for miles, so that's not what we need. We need money and real action. It sucks that there's always a fight for every cent and a hold on to what's in the country. This government should look at itself in this respect, transport funding has been reduced and has been cut down to the little universities, education has been made in the country, 25 years of age and older, not to be able to attend a high school that should be left in the country. The health system has been impaired, and attending health care at the capital area involves a high cost to the urban population. Postal service has gathered, the government bank has locked up branches throughout the country, and so on. Let's just look at things as they are happening in front of our eyes, but not always talking about some way out and south and saying it's all coming. They need action, and they need a real government that's going to work with people and businesses in the country, but don't view them as handouts and throw some chicken feed on people when men are convenient. It's not like that. The opportunity is open, and we need to work with people who work well at innovation, education, and have great ideas both in agriculture and in the fishing field. That's how you need to think, but not just work to synchronize this with the other, but it's all happening if you look at what their predecessors have done over the years. [[The president calls.]] Let's also look at the fact that there's a lot of art and culture in the country. There is no lack, but there is a lack of equality in the country with the entire capital area.
ParlaMint-IS_2016-09-08-149.u33	A respectable president. I want to thank you for this great discussion. In fact, I find it quite remarkable that the Watermier airport has not been present, I think it's a step in the right direction. [[Laughter at the Hall of Congress.]] I'd like to remind you that I spent a considerable amount of powder on the previous talk highlighting the importance of our having some long - term vision and some plan. Here was a reference to a national application program, and it was exactly good action that the government actually threw out of the table. 400 million were added to the budget in 2013, but in 2014 a government budget bill was put on 15 million, perhaps because someone else had the idea. That's what I'm criticizing because we're more and less agreeing with in this category. At least then, let us be content with it and work together. I hope that the current job is at the highest level. A minister will be taken parapolitic and at peace and value longer than expected. I'd like to see a plan to 10, 15. There's so many things I would've wanted to talk to you about. I think it's part of the media that matters. How's the news about the country? You can hear about the shopping weekend: Icelanders flock to shore. Or about our good summer that was, what, in the afternoon, when a man repeatedly read: "The people of the land are tired of the weather. " It is only natural that news is being carried out in the country as well, and it is not that when reporters come to the country, they would have come ashore to visit. I don't know if you understand what I mean. But in many parts of the North countries, a large proportion of the members of the state media are located in the country and they work their news from there, not just to say, "Now this was a festival in this community, but the news is just the other side. " I think it matters. The distribution of public witnessing is very important to me. I would like to remind you and point out what the EEA is doing which should only be north. How people there can work at the branch where they choose to work is tremendously cool. [[The president calls.]] If the biologist, an expert, lives in Egls, he is only working at the branch office at Egls. [[The president calls.]] We're gonna need a lot more time on this, Mr. Honorable President, but I'm sure I'm not gonna be able to get into this conversation at the Senate Hall, but I'm just gonna start writing Facebook records on the community, but thank you for this discussion. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u34	A respectable president. I want to thank you again. A senator for the discussion. I'd like to say first that we've been adding up the money set to the parish plans and other plans that were certainly cut down. This is in harmony with the progress of the state funds we make. Now it is that the government will produce a very good home when looking to a government fund, so that the next government that will take over, how it will be organized, will have a fine chance to put large sums of money into the settlements to name something. There's another amazing thing in this discussion, not only that the airport wasn't mentioned but it hasn't been mentioned the greeting system, which is which is, I think, too, in the local discussion, completely new. I'd like to introduce one, for example, to the Westerners. It's a lot of positive and cool things to do on the West. We must not become caught up in talking only about negative images. There's a lot of spacing when it comes, for example. To carnivorous business and so on. There are many creative people in the West who are doing their business, but we also know that the infrastructure needs to be strong so that it can flourish even more. At the end, I would like to say that the government has been using very important measures when it comes to structure, as discussed earlier, the balance of energy costs, and house - to - house expenses, for example, and the fiber - optic project. Now we are entering this new strategy, this new course, which is quite important, although some do not think it is. Of course, much has been said and written on a community, but we need to deal with certain things. We want to make certain use of the tax system. We've set up and strengthened this control group I mentioned earlier. Control team, including.. to prevent, or to try to prevent, what has happened all too often, puts it further in such a way that when one government official intends to add a job or put money on something, it is not on account of another ministry or agency taking a job while, so that the right and left hands are a little working together, not working against each other. Then, of course, as I said earlier, the local people have to have a little bit of saying where and how we work on the settlements. [[The president calls.]] This is true of most things, of course, transportation, energy efficiency, and so forth. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u35	V.E.G. President. This is where the social security law is being proposed. In an adjustment process from the greater part of the sledgehammer. The welfare committee says that a change in 20th paragraph should be made. The law where the change is that one parent cannot be specified. The same is true when there is evidence that a surrogate mother is the mother of a child. Localization is prohibited according to Icelandic law. However, the book of Law is being smuggled into a local tunnel. The talk about surrogacy is far larger than it can be handled in this way. So we're going to have a left green vote against this change.
ParlaMint-IS_2016-09-08-149.u36	A respectable president. I think that's exactly what we're dealing with the real problems surrounding the legal status of surrogates. It is especially the part people question in this matter. However, I come to the conclusion to myself, and only to myself, after considering this matter, that I cannot let my attitude toward surrogates hinder child interests. In this case, I appreciate the interests of my children more than the moral principles I have in my own position. The big issue in this is the surrogate, but I don't think it's in the field where we specifically discuss it, but in the exact case, when problems arise, which are the result of our attitude toward surrogateism.
ParlaMint-IS_2016-09-08-149.u37	A respectable president. I'm right that the members of this committee party are not under any circumstances saying yes to a surrogate. A well - paying committee has provided a special account because of the bill of the welfare committee and the Senate resolution proposal for a prime minister to provide a bill that authorized a surrogate approach. In view of the accounts that have been received that are many complex and elaborate, the committee does not trust that it is a bill because it contains so many moral and persistent questions and therefore decides to put the matter aside. It's not a matter of decision to make that claim. But with this bill here, it is not under any circumstances to accept surrogacy as such. They are trying to match a particular group of children, though, who have actually come into existence under such circumstances. [[The president calls.]] However, there is no way to confess local passage in this bill.
ParlaMint-IS_2016-09-08-149.u38	A respectable president. I just can't agree that this word, surrogate mother, will enter Icelandic law. I know people want to try to find a way, and I don't believe anything but to find another way. I am in my heart and a prince's objection to what has been called a surrogate barrier that I just can't even sit by. That's why I'm going to vote back.
ParlaMint-IS_2016-09-08-149.u39	A respectable president. I feel sad if this is about to be a locality. Of course, it's about the rights of a child who has nothing to say in what way he has come into the world, is a complete subject in this matter, and I don't think that we're going to allow political differences about other things to distract us so that we can't make decisions about securing a child's rights rights, whatever the world puts. I can't vote against this.
ParlaMint-IS_2016-09-08-149.u40	A respectable president. I accept the words of the senators who are seated on a welfare committee and here have spoken crediblely, and therefore I vote for this change. I think it's not about surrogacy, as we've seen here, moving it to a book that I'm against her. It's about the rights of children who have nothing to say about how they come into the world, and we need as a community to keep all laws in order to have them finished.
ParlaMint-IS_2016-09-08-149.u41	A respectable president. I'll pass on a vote for the change proposal but I'll vote with the proposal that looks so different. That's because I'm not convinced that the changes are necessarily my thing, but the whole thing is.
ParlaMint-IS_2016-09-08-149.u42	A respectable president. On behalf of the Professional Road Committee, I recommend a bill to legalize the changing of fish control laws, No. 116/2006, with subsequent changes (silver and macroll). 1st par. "The following changes will be made to temporary VIII of the law: a. Instead of the words ▪20 trains, 2nd issue. 2 mg. They come: 35 trains. b. Case one. 3 mg Saying, Of the price of labour for the hunting of herrings and mackerels at the end of the year 1.mg. " The Law of Jehovah Is Near, " No. 74/2012. 2.g. It reads: This law already comes into force. This report shows that in 1 mg. The provision of temporary VIII by the Management of Fish Fishing Act requires that a minister have a provision for 2,000 trains of Icelandic summer solstice, 2,000 trains of Norwegian-islensk fjord, and 2,000 macroil trains for miniboats. According to 2 mg. these fishing warrants are permitted for commercial fishing and are permitted to be assigned to each ship up to 20 trains of herring or mackerel. According to 3 mg. The price is at this price of 8 K. for each kg of herring or macular. The bill suggests an increase in the amount of supplies that can be distributed by sild or macrol so that 35 trains will be replaced by 20 trains, and it is also suggested that the length of the arrangement be extended. Then it is suggested that the price for fishing be taken by herrings and mackerels, by law on fishing, No. 74/2012. There was an agreement on this in a trade committee. Ólafsdóttir was absent at that meeting; otherwise, the committee is behind the bill. First of all, it is about increasing the resources applied from 20 trains to 35. It is so grown that it must be applied in a so - called colony pot. Newcomers, who are not given a mackerel, can apply to catch from this pot. The application is to be applied no later than on Thursday, that's their rule in Fish Room, and before Tuesday next week you have to pay for what you can distribute, so the distribution is not done until Wednesday. In effect, it takes a week to apply for these sources, so the committee found the number of 20 trains on the smaller side where the fishing has been very recent. The price has been fixed in law 8K. As most of us know, the mackerel prices have been dropped, so mackerel sells at about 50 to 60 k. If there is no change, it can be said that those who apply for this pot and that includes recruits have to pay more than four times as much as others, for this price has to be paid before they catch, and then they have to pay for the price of hunting, as do the rest of the items given. The weather has gone very well, and you can tell me that I looked at a Fish Room this morning, and it shows that lineboats and handboats are actually the only fishing company that's already caught their distribution in the fishing season. Only after fishing, some 1,700 tons. The distribution was 6,000 tons, and it has actually been caught more than that. Other groups of ships, such as the processing of ships or ships, have much to do with their authority. I think it's a total of about 53,000 tons that's going to catch from foreign macrovota. Thus, the committee considers this to be more likely to contribute to the continued fishing effort of small boats and to test how long the macromen are hunting until the fall. The committee believes that this will contribute to the increase in the share of small boats in hunting at macroils and that there will be less left, preferably nothing, of the macroil privileges assigned.
ParlaMint-IS_2016-09-08-149.u43	A respectable president. I'd like to explain my position in brief. We've been discussing the matter on a professional committee, but I was away at that meeting when it was taken out. That's why I wasn't involved. I'd like to have it delivered to my book that I want the way of small boats most, I don't cross the case, but I'm not on the grounds that I always think it sucks, and I don't do well at the council when we're handing over a fee or a handshake and moving on as far as possible in various matters and in various aspects of fishing politics. Pills for mackerel are far too low, in my opinion. I don't object that small boats get smaller ones, similar to another drop. That's not what I'm going through, but I want us to keep these things in a different way and have come to that argument. I've talked about looking at marketing solutions, especially for mackerel, and speaking to them at the last legislature when we discussed the new resources. When they were to be checked out, I reasoned that I wanted us to take up some of the mackerel as an attempt to find out if the market couldn't handle this situation better. I think we should move in a little step in that direction, and the mackerel would have been a great start in those cases. As I say, I do not violate this change as such, but I want to keep it in mind that I want to see other methods of controlling the fishing system than that of a hand control that often becomes a frightening attitude. As we see now, things are being arranged afterwards, which are probably doing in this situation, but I wish we had other systems here to work with.
ParlaMint-IS_2016-09-08-149.u44	Madam President. I'd like to get involved in the discussion where a professional health committee proposed the proposal here for a change in the law on the control of fishing. Its focus on the presence of smaller species of macroils and herrings, though especially the mackerel. We know he's an amazing creature, and he's coming into our jurisdiction to eat, and we think of this as his food cage, and then he goes back. We can't keep him in the open unless we have another month. It is important that we take advantage of it and hunt the mackerel while it is in our jurisdiction. I'm not talking about my projection having a chance to catch him at a normal price for what it's worth. It was noted in the speaker's talk that the product price on the mackerel has been between 50 and 60 k, as I understand it. I think it's normal that you look at it and that the money the state has taken for access to the pot that is in this social section 3.5%, takes some middle of the increase and is moving down to the existing fishing fee, for which these makings have to pay outside, 2.78 k. As mentioned earlier, there is a big difference between which fishing fees pay the seafood companies for access to the mackerel, and smaller outputs that have to first rent from this pot at 8 p.m. and then paying a catch fee. I believe that it is just and reasonable to contribute this matter and to use the resources we have in the land weekend, i.e. the macro, and therefore do it in this way fast and well. The other thing is, the mackerel has not been in our territory for years. I believe that he could have been taken safely in any other way. This government made the decision to share the mackerel, saying goodbye to him. He's out of his hands today. In the marines, fishing clearances have been shifting to the largest projects, as we calculated. It is also in memory, many who did not have good standards back to three years, so they received little, so they did not consider themselves paying to do out on the high cost they had paid to change their boats for mackerel fishing. So I'm very critical of the decision to greet the mackerel and that he is betrayed. I don't like this system, and I think it's right on the first chance, when a new government gets to power and has some ambition to make changes in the fishing system, to see how it can be done so that others are given the opportunity to have income and access to the resources underneath. Of course, there are tremendous interests involved. In fact, the invitation is given in the Faeroe Islands, where a certain amount of Hoydal and other species are taken up and offered in the country these days. I think we should study it and consider it, even though I'm not aware that the cod we're hunting in Iceland has all come to an auction. It is a different matter and takes much more time to discuss and reason on the consequences. Of course, regarding the mackerel, who is new in the jurisdiction, we would have the courage to examine ways in which we might offer it some way according to the classification of development, making the smaller ones much higher under the head than it did. After doing so, many people withdrew from the table with pain. The cost of making their boats on a mackerel fishing had been huge, but it became apparent that there was no basis for continued operating. I believe the 2,000 tons that are under there of herring and mackerel are very good and important. That's why I think it's right to be on the case and to help make sure that there's a chance for me to take advantage of fishing in a mackerel while he's still on our land weekend.
ParlaMint-IS_2016-09-08-149.u45	V.E.G. President. I'll always be a little surprised when people discuss the control of fishing, whether it's a mackerel or something else, talking about some system other than a fiscal system, which has been very good for us. Why should we draw the mackerel out of it? If we just rip up, it's only a short time since mackerel swam into our jurisdiction. What is the reason that we Icelanders share in this total mediocrity pool? She's because some cleaned up, took a chance, went south into the prom sea to catch a mackerel. It's as if the Icelandic politicians are all right when we're deciding how to trade and who to hunt our share in the macrotics that it's some sort of auction or fair instead of building on the fishing experience, that those who made it get a share. Is it really reasonable to think that it will pay and is normal, even though we look only to the constitution that is based on the fact that humans enjoy the rights they thus gain, that they have attended the sea? Believe it or not. A senator, for example, is it beneficial for the economy and country to go some kind of auction route with the mackerel and even any other species we hunt here?
ParlaMint-IS_2016-09-08-149.u46	Madam President. I'm not a spokesman for auction itself. I think it's proper to consider in certain cases. That could be the case with the Maori. I'd rather the state have a powerful tenant he rents than renting from each other. Hv. A senator speaks of those who have found hunting experience and who have attended, for example. macroil and other new species should be put in first place. I think it's a very good thing that they did it, and we wouldn't be making it out in Iceland, unless people see their interests in making it happen. It is not as if men are making out just to gain their Icelandic government rights for shared stocks. It makes a lot of money for humans, too. Then let us look to the fact that the owners of an outlaw are not alone. There's sailors and landworkers. What right does it have to this resource? No one. Should it not also have the right to the resource, just as the one owns the ship or the finished operation in the country? Is that not also justice? What does the Constitution say about that, the right people to make these men rich? I think people should start thinking about more than those who own it. The people who own these big corporations now did pretty little if they weren't people to sea and land that would take the catch to shore and process it. I think people should keep that in mind. I believe that fishing is totally possible in this country in a way we don't know what we're doing now. We're looking around the shores of the country and we'll see how this nation's landscape has been treated. The fishing system can be replaced so that it is more acceptable for all, but not just for some.
ParlaMint-IS_2016-09-08-149.u47	V.E.G. President. Yes, I agree that it should be shared by the fishermen who draw the fish to the land. Of course, they get a share in valuable things. What I'm saying is that there are these fishing guys who divide the profits between them when they get, who go for this mackerel far beyond our jurisdiction. It is important that they enjoy it. They took the risk, there was no great improvement, and even a loss at first. They make this right, that we Icelanders get a share of harvests in a total cuckoo. I believe it is natural for them to enjoy it. We all enjoy the practical development, sustainable development, and I think it's totally inappropriate for the Icelandic state to come here and say, "I own all the rights. I just want to ask you out so I can get as much money as I can in a state fund at some auction. This may well be harmful to the government and the state funds, but there may be other and much larger discussions. I'm just saying it matters that those who took the risk went far, formed it right, we can't overlook it as some people want to. I'm not saying that. Rather, the senator is determined that we need to look at the fishing experience and that those who know it, those who have done it, will find some way to do it. That's how our whole system's built up. I think it's just. And then we can debate what's supposed to be a lot of taxation on this, what's worth in it. But all that talk about auctioning makes me feel completely ridiculous. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u48	Madam President. Of course, it is typical of conservative independence to talk about this capitalistic bread crumbs theory, that it always collapses some of the pieces of bread of those who get everything in their hands. But that is what separates us from our opinions, my left man, and my left, green and dark. A senator as an independent conservative and spokesman for the market. But if you do. A senator, a spokesman for the market, would expect him to look to market laws regarding auctions. I repeat once again, I will not pass over these auction ideas. I feel that they can apply if my goals are clearly defined. But they are far from where they are from, because they are at risk that they may throw everything to themselves, and others don't have the chance and the opportunity. There may be enough uncertainty about the country's habitats. I believe that this great right which they are supposed to have ahead of all others to the future which have originally been the pioneers that their interests have not been placed in the table and will never be. They will always enjoy being pioneers. No one is talking about their not to enjoy something, but they are not supposed to be alone. We also know how the armada system was built when the captain of the company moved between and every type of action that had nothing to do with the fishing experience. Rather, it was all manner of movement that would supply resources to the few and strong and between parts of the country and leave bleeding behind. I think I know these matters well... that I know the flaws of the eater system. [[The president calls.]] Nobody has to tell me it's happiness at one time. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u49	A respectable president. Thank you. A senator for the speech. I know we're both built-in and we want the best interests of small boats. We both agree on this, and of course I welcome it, though we do not always agree on the fishing system. At any rate, we agree that we suggest that the small boats, or recruits, who attend this pot pay twice as much as four for fishing. We agree on that. It has been presented in a talk, not by reason. Senator, it was a mistake. paritaprevir A Björt Ólafsdóttir who objected that we were doing this, but I'd like to draw attention to the fact that this is actually what we're looking from a manual by having a regular nickel in there, this price is moving up and down to the beat of the hunting fee. The rate of hunting is just like that. It's like this under five, seven, forty-four percent. That's why I'd like to ask him why. Senator how she feels about it. Is she okay with a 5% catch fee, or does she want to see a higher number of gross height? Hv. A senator mentioned the auction route. I can't resist the question of what? A senator will see if she can try the auction route by the small boat fleet. If so, how did she imagine it would work for this fleet? Does she not fear that the largest of them would stumble?
ParlaMint-IS_2016-09-08-149.u50	Madam President. First, the auction route under discussion. I'm not a spokesman for auction routes, but I'm open to look at the possibility of offering such species as mackerel. There's this kind of thing that's coming in here. It's going to be possible to offer up and try how it's going to come out. Regarding the auction of part of today's social pot, this 5.3%, I would be more impressed with the fact that it would be a powerful taxon of the state that would take the price and the cost of the smaller items involved. I don't know if it would be a good idea if men would start to bite at it, that it would be a big pot that would produce some normal competition, and so on. I don't think it would necessarily be the most reasonable thing in that subject, but you're never supposed to say anything. I'm not going to shut anything down on that subject, because I think it's also relevant to definitions and fences of the projections and other factors involved. It's what it would be like. I've said that this government has fallen flat on everyone and shielded itself behind the fact that it's lowering my makings. Today, we see that the largest water supply pays far less fishing fees than smaller boats at the same hunt. Is that normal? [[The president calls.]] I think there should be a look at the possibility of some sort of step change in our tax system for different types of fishing. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u51	V.E.G. President. I come up here to discuss a system change in the Icelandic social security system. It has long been waited for this justice and disappointment that it has been accepted as a minister for all this time to bring it into the council. V.E.G. The minister himself spoke of this as a matter that had been worked in pieces. The truth is, this is at last a change that may cost some money, and it probably has not been trusted to squeeze them out of the fists of the cheap right government, the right government, which has been primarily bringing money from the less money to the more prosperous. In terms of the system change, the system is being simplified and it's very positive. What is also being done is removing a dollar from a coin that is a very righteous action and necessary. That's what I celebrate. But there are things that concern me, and of course, it will soon become evident in the Committee whether it can be done and how it will affect the collection of the bill. When noted that the decrease in propentan is too high, 45%, and especially in conjunction with the lack of free income limits in the system. The simple thing is to combine expansive groups and to cut off credit limits and such, but there were different vacation limits on different revenues in different subsidies. The number of people who rely on the forwards of this system may have lived under the dreary conditions of never being absolutely certain how they could be affected if they lost their income, whether they were funded income, pension income, employment income, or rent. Of course, there is a major system change, and we on the Committee will have to do a very thorough review of its consequences. Then we find it in many of us, although there are a major share of ills in the community, that today's basic pension and pension fund, i.e. A lot of people think that some people don't get paid on social insurance, but I personally believe that the social security system is supposed to be our share, and everyone should have some basic rights in that system. But there is a division of meanings. This is also one of the factors that I know will be discussed in the Committee. I'm not going to go deeper into this system show. It's just something that we're going to get some reviews about and think about, and the committee's going to go over. What I'm worried about is that the insurance is not being raised. Although a number of people increase their dollar raise, they are due to decommissionment of a cent in the United States, but maximum rights continue to be 212,776. for someone who lives with others and 246,902 k. for the person who lives alone. I'm really worried about this. I think it's ambitious, and in view of their feelings of concern to the government, because of the social security system and the attitude of those here at the time we in the United States tried to drive up the raise, but they were infested by the government, I think it's remarkable that a minister over his head has the courage to make these bills unchanged. What we in the United States want and would like for last year and still want to improve the social security back to May 1, 2015 and then have the same reference period as for labour market employees. We would have wanted more elevations and clear plans for pensions to achieve their blundering development in collective agreements. The risk is that when the pay slip is done and if there is no intervention, and social security will adapt to that, you will develop baloney. Dwelling results in roughness. Insecurities are bad. He is unrighteous for any individual who becomes to him, but he is also a social ill. That is why OECD says to the nations: "You, in particular, view evolution as equal, is so important, especially for economic growth. But he's very important to health. It is very important for social cohesion in communities, and that is why we must not let our social security system drive us back to paying back on the development of those in the labour market. In addition, Madam President, I am pleased that the system should finally be simplified and removed from a dollar to one. I don't like that we're going to stop having the system public. I don't have any doubts about a particular process there, and it seems to be a significant serious comment, including... from an older citizen in Reykjavík. Then I feel that the payments are coming too low and that I'd like to see an increase in them. Then I'd like to talk about two other factors, one that I think is a great improvement, which is a provisional principle in Article 18. As the situation today is, if people go to a nursing home, all their payments will go to a certain extent to the nursing home, and people will get only provisions, a maximum of 70 of you. K. per month. But these are changing things so that people get their pay as usual and then pay for the services of the nursing homes. It was reviewed yesterday, I believe it was the right thing to do, Madam President, that there was a why. Árnadóttir That this could involve the trap of several groups having financial problems. I agree with them. But this is an experimental project to make an agreement with one or more nursing homes to test this arrangement. It's been called on for a very long time, and I'm happy and I think it's very important that we take the first step now and see what is possible in these materials. Then it's the law for raising a pension. This has now been discussed on the committee. What I'm most concerned about is when we think about a microenergy pensioner. There are very many women about 60 years of age who go into the disability business because they have a musculoskeletal problem because they work stress and work under circumstances so that they do not have physical ability to work until they are 67 years of age. Women who work hard and earn a living, stand up, and are unable to do so because of physical stress. I really don't feel that such a system change can be made unless it's done by further public health analysis. And there's the key to working protection. In this case, 67 years is not caught in stone. This is an age belonging to the old Bismarck system and has become a fairly intrinsic reference. I'm not going to question the fact that there may not be any basis for raising retirement, since we are much healthier and much older. But I'm worried that there may be a negative outcome in certain groups. I feel that we need to consider this in the context of the fact that while we making decisions in society generally have an average of prosperity, there are plenty of working people in the community who do not have the age of 70. If we are to change these criteria, we need to be much more ambitious in our secular protection. Finally, Madam President, it is totally unacceptable that it is not being made up of the same changes for micro-energy pensioners as that they are to be left behind with a cent across a cent, the group that may be the most vulnerable to the beating of these provisions. There's been reports now that there's something going on in the Ministry. But it's also true that we're going to vote October 29th, but we're not going to have a problem about this, and it's really unfortunate that we're not discussing all of this in context. I'm sorry that micro-energy pensioners are not in there and, of course, we'll be on the Committee's behalf and we'll determine if it's acceptable to leave them in this transition.
ParlaMint-IS_2016-09-08-149.u52	A respectable president. Thank you. A senator for the speech. I'd like to ask her about the 19th floor. Hv. A senator is spoken of as being equal to justice and in the 19th chapter. considers those in a nursing home. Only those who are qualified and well fed will be there. Those who are there cannot take care of themselves and need help and service. In the past, these people have often been in hospitals because there is no room for the same people in nursing homes. If a person goes to a hospital because of health problems, he or she will not pay for it. But if a patient or adults go to a nursing home because of health problems, they pay for service there. Those with pension or income up to a certain extent, up to 378. K. or more, it usually takes 378 of you. K. into the nursing home. Now I'd like to ask you what. Senator: Is becoming an adult equal and just, so that you have more money than basic pensions or pensions in the social security system, are there people who can't really take care of themselves, and need to be in there? If people are so unfortunate as to own a good pension or possessions, they need to pay more than other people in the same area, but if they were in a hospital, they would get everything free of charge. Where is the equation and justice in this system, a respectable president, and what? Senator?
ParlaMint-IS_2016-09-08-149.u53	V.E.G. President. Because of what? paritaprevir Ríkharðsdóttir's daughter, Ragnah, asked me about the equation and justice in this system. I don't think so much is there, for I specifically said that I was happy that I was trying to get out of that position. I talked before about people's allowance being about 70 o'clock. K. I was wrong, Madam President. I'm gonna make it right, that's 58,529 you're gonna do. K. But because this has been highly critical, many people have disagreed with what is normal, we must simply say it simply: No one has trusted to change it, for it is costly. That's where the knife's been standing. So I rejoiced that this time I should take steps to change it. It won't be simple. Of course, if we do not start with the task, we will not solve it. That's why I'm happy to say thank you very much. Minister for bringing this proposal into the bill.
ParlaMint-IS_2016-09-08-149.u54	A respectable president. I wanted to ask you what I thought. A senator of the best way to handle this system. I've been thinking for a long time that one of the biggest problems, or, in fact, the biggest problem with the social security system is the misunderstanding, especially with other options offered by rural society and so on. I, like other members of Congress, get regular complaints from the users of this system. They usually complain about the amount of money and often go into great lengths about why the system is the way it is and draw my attention to what is completely ridiculous in their view. It's usually been this way over the years that I don't understand the outcome. It's all a lot more complicated than you'd like it to be. This system has to be complex in some way. I don't think it'll ever be very simple. But I believe that the misunderstanding is one of the biggest problems, especially when it comes to trying to solve it by means of some debates and suggestions and refinements. One of the things I'm going to discuss briefly is that here we're talking a few things at once. We are referring, on the one hand, to the simple system and to the amount. Of course, there is always some connection. Would it not be most reasonable to deal with the project by separating it slightly and simply, while trying to make it more reasonable in terms of the amount, etc.? What's the food? A senator president of what? The welfare committee on that? When this is shared, I have found two distinct goals mixed together, the traditional left / right conflict on what is fair and what is just, and the goal that all must share in common, i.e. To make it simple. I'd love to get a second opinion. It's for a senator.
ParlaMint-IS_2016-09-08-149.u55	V.E.G. President. Thank you. The senator's query, and yes, the system is truly complicated. It is a great deal of justice to simplify it so that people can better understand their rights. It should also be noted that if you do not have certain rights in the social security system, you also lose other social and social rights. So it's very complex. There's a distinction here. This is a system change without doing anything about the funds. A little more money comes into it because a dollar or a dollar goes out, but you can certainly make these changes without raising the amount. But in view of the fact that this government has left behind a pensioner, has failed to pursue the social security system as it should, I find it strange that she will finally allow herself to make this change, which is almost comparable to the suggestions proposed less than four years ago, and that she will not be able to provide money to improve something. But the changes can be made in two ways. The question is, Is it preconceivable to all the tens of thousands of people who rely on advancement from this system and who have not received similar increases as other members of society?
