ParlaMint-IS_2016-10-06-165.u1	The program suggested at the end of a meeting yesterday has been called again.
ParlaMint-IS_2016-10-06-165.u34	V.E.G. President. This discussion of the four - year transport program began last week, and hopefully it will be the end of those discussions soon. Now it's not that I'm complaining that Congress officials handle transportation. This is a welcome opportunity to discuss the important matter party and it is important that the work of the environment and transport committee has, in principle, been quite consistent with the current focus. However, the period of birth was somewhat prolonged before the Commission's discussion ended, but the result was that a greater proportion of the committee felt that they could produce adjustments that for the next two years may involve an increase of 11 billion. to the jury, which is about a 10% rise. Although waiting in some respects, she made it acceptable to spend considerably more money on these matters than was originally assumed when the Senate arrangement was proposed on the part of the government, so it was now worth nothing. Of course, when I talk about solidarity on the committee, it's like all priorities and individual tasks. I would say that in this case, in this case, there was no profound disagreement on the subject. Rather, it was the project under emphasised on general support, both the original and the changing aspects. While I would also like to say regarding the changes made by my section that it is certainly also discussing positive works and reasonable in most cases, I suppose, but in the proposal of the greater part it was not considered proper to prioritise precisely the way the smaller object stressed. While adjustments may still be made during a discussion, I believe that lines have been clarified in all the fundamental aspects. Others snarl. public speakers have considered the important Bible points to be kept in mind when such a plan is set aside on the part of the council. Of course, the aim of transport or transport plans is to ensure various aspects. It is a means of ensuring easy transport between rural areas, both based on localities, employment reasons, and other such views. A priority order must also be taken into account by transport safety and innovation options, changes that have occurred in the way of employment, traffic, and pressures on the individual aspects of the system. Although I can agree with most of the people mentioned here that it would have been desirable to have been able to spend more money on the projects involved here, I think that the emphasis on the transport process and the changes made are in harmony with these views. They are trying to ensure easy transport between communities. They're trying to improve transport, since it's important to work secularly and professional employers. There is also effort to promote increased traffic security, an aspect that can be least forgotten in this regard. When we discuss transport funding, we have often seen the proportion of GDP, one of the criteria. As revealed in a fine chart published by the less part of the environment and transport committees, it is seen that after a set of 2008 levels, evolution has continued to go downhill. However, we see the column going back up on 2015 and this motion reaches the point, speaking of an even further increase, though we do not reach the height that was here around a crash. Of course, when the measured amount of GDP is used, it should be remembered that it is not unique, it does not indicate a dollar or a penny. During the past few years, gross growth in agricultural production has increased greatly. That is why the same proportion of GDP returns more money to these projects than was five, six years ago. This does not mean that there is enough work to be done, and of course I agree with what others have pointed out. On the one hand, the growing number of foreign tourists has especially increased the pressures on the road system, quite enormous. There are a lot more cars and more tourists on the roads than there were a few years ago. This requires further implementation. This also calls for more attention to factors such as security. The other factor, of course, needs to be considered, is that during the years following a collapse, the brakes were somewhat improved in the area of road construction. While the table on donations as a proportion of GDP does not reflect it well enough, we need to see that in those days GDP was significantly reduced, so that at that time, all projects were slowed down and saved, people were saving on new ones, and so on. I'm not going to criticize it, but there were many discussions at that time that by delaying maintenance projects and such activities, they were not creating a measure of savings but simply postponing expenses. The problem with the road system is natural in many cases, that by postponing projects, the repairs or reforms may become even more costly when the time comes for one to go into it. To some extent, in our proposal for environmental and transport committees, we tried to cope with this by raising funds for maintenance and implementing such projects. I have no doubt that they can be done better, but there is a considerable increase in the amount of money to be spent on them. As a member of the capital area, I stress that the maintenance of the roads in this area under the oversight of the road is also necessary and that they can withstand the pressures. If I consider other factors that we introduce to the changing laws, then there is no need to trace any particular projects. I think that the projects listed in our making of changes have been quite a solid solid solid solidarity. There are always debates about the order of such projects, but this was a conclusion based on discussions and built, including some of them. Very much of the focus of the local community. We've accessed projects that were thought to be needed to improve considerably, through road connections and local roads. Similarly, we contribute additional contributions to bridges, which, of course, are a fairly special project, but we have seen that the number of single bridges on which security is based is extremely important. Despite the challenges ahead of us, it can be said that with the suggestions we have here, we are taking a considerable step in the right direction. Last speaker, w. paritaprevir Anna Guðjónsdóttir Gudjonsdótttir, left the capital area. There are some things I agree with her, e.g. The emphasis on the Sunway. Of course, it has been a problem, so it is accepted, for all governments, both in the realm and in the country of Reykjavík, what to do with them. I remember that about ten years ago the problems were more associated with organizational matters than with financial resources. Now the situation may be somewhat altered, but I strongly agree with what. A senator that it is important to make this matter more difficult. V.E.G. The minister of the inside has shown this interest, but we need to see more decisive suggestions than we already have to make so that it can be pushed forward. It's like whisk. A senator pointed to the tremendous importance of those living in the capital and north of the capital area, but it is also of enormous importance to much of the country, since it is a vital link between practically all of North and Western countries and the capital. In this respect it's not a narrow-scale ideal, so you allow yourself to put it that way, but it's an enormously important transport matter for the whole country. I make it clear that there is no doubt in my mind that if this project can be done in good cooperation with the state and city, it is both positive and good, but at the same time I believe that it is in some way, perhaps the same way as it was done in Halfland tunnels, to connect a private member of this project. I believe that is really a prerequisite for the possibility that much sooner can be started. I have no doubt that this is a project that would be successful in a short or relatively short period of time in a historical context. Hv. A senator also mentioned public transportation in the capital area. It is true that since 2012 the agreement between state and rural society in the capital area has been in force for the State to be involved in the cost of public transportation in the capital area. Of course, there was a prerequisite for that contract at the time that it was not a major project for others, such as the mismanagement of the molds or the likes of it in this area. I believed at the time that my rural society had, I was afraid to resign because this billion a year was perhaps not a large sum compared with a number of projects that I thought would be needed in this area. But let it be. This is a contract in force. Of course, it will be interesting when a little further into the contract to appreciate how he has fulfilled his goals. I think that everyone can say that a larger proportion of the traffic in the capital area is desirable into public transportation. From a number of different viewpoints, I think it's desirable. But I think if we're going to be realistic, we'll have to continue to assume that a very large proportion of traffic in the capital area and in other parts of the country will also be driving private cars. The transport system will have to be fixed, or the transport system will have to be stopped too. Finally, the highest. President, for a few words, I don't agree with the airport. paritaprevir Anna Margrét, Guðjónsdóttir's daughter, was on the airport in the Radial. I think he'll stay in the same place for quite some time and think that he's going to be unrealistic to move him. Personally, I don't believe in ideas about airports in Whalesun, whether it would be the national airport, the international airport, or both. Simply put, I think that we are close to the Chefavik International Airport where it begins to become a question of whether it is wise to build up a new airport with all its features in that area when the route to Chefavík has become brief. However, there is also an interesting perspective in the past showing how such projects, which would be of an enormous magnitude, would be estimated from environmental issues, even if all other factors were to be in place, profitable calculations were to occur. I wondered how the result would be in the community of building huge monuments, not just airports, airports, parking lots, road blocks, and other things that would follow in this place, in the lava that is being run on today in a geological sense, and people are making trouble out of much smaller projects in the north today. Would anyone agree to such an operation? I'll let me doubt it. But whatever happens after some decades of airports and other connections between capitals and land, I think it's at least It is clear that the airport will remain a more predictable future in the Hydromosis. I think that no matter how a situation will be in those matters, Reykjavíkurburg will not be able to organize the airport completely in the direction of a greater part of the assembly and nation.
ParlaMint-IS_2016-10-06-165.u35	A respectable president. Thank you. paritaprevir A recent Birgir of a Ármannsson who is also a member of the Environment and Transport Committee for his careful review of the issues discussed here. I was especially happy to hear that he agrees with me about the Dizziness Way. Of course, as he correctly mentioned, this is not a matter of a ballot, but it is a question of one of the most important links between capital areas and Western countries, i.e. between the largest core of the country at Eyjafjord and the southwestern corner. In view of his words, a respectable president, I trust and hope that he will see to it that the poolway has been issued in the Senate resolution proposal to be put back in before the case comes for release, because, like, the case is settled. A senator rightly mentioned them the need to keep this matter in focus. This is likely to happen if it is dropped out of transport planning or transportation funding, it will land between a cane and a door in a transport discussion. I agree with what. A senator thinks it's wise to look at the benefits, and I think it would be wise to put the Sunway on some of its own. Then how it is implemented or how the fee, or collection, is made up of such a matter and a solution, but there is, of course, a registration and the like. I think it's very important to keep this matter up, make sure it's inside a transport programme, and make sure the Ministry continues the case, and follow up the events of searching for interested investors because as presented in the case. At that time, this was the longest of the problems involving organizational matters, but it is no longer the case. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u36	V.E.G. President. Regarding the Dizziness Course, it is assumed to be in on a long-term schedule. I also think it is in the range that is now working on, a so - called white book, in the field of transportation used by the Minister of State, so I don't know if a particular feature of this strategy is going to change much of it. However, I think it is important for us who are interested in this matter to keep up with the discussion so that both the minister of this class and the one who may accept the election will continue working on it so that it can be accomplished. I'm having a bit of fun recalling sometimes that it's not quarter of a year since I first saw the suggestion that the Sunway and its location, the Committee on the Environment Committee of Reykjavík, in 1990. Then they imagined that it would be an assignment that would be carried out within a few years. Twenty - five years have passed. I hope 25 years from now we have to think about someone else's work, about everything else, about how it's done, and how far behind it, but we're not going to have it on the drawing table yet.
ParlaMint-IS_2016-10-06-165.u37	A respectable president. Thank you. Birgir He's the Ármannsson to his word. I'm going to pick up the thread where he laid him down in his speech and says that after 25 years we don't have to think about Sunwater. Then I also hope and trust that in 25 years, we will have stopped discussing the airfield in Reykjavík. I agree with his doubts about setting up a new airport in Washasse simply because my reason tells me that it is far wiser to use the investment that is already in the south on the Middle East. With increasing and improved transportation, better cars, better roads, better technology, and so forth, the distance between Reykjavík and Cheflavík is always getting shorter. I don't see the evidence in it, I haven't seen the light in the idea of picking up or moving the airport from Central Island and south to Wash test, except that I don't think that after a long future, perhaps within 25 years or less. paritaprevir The Birgir Ármannsson mentioned earlier, would probably have developed a long way back to the point where we needed to take up the case again. However, transporting the airport from the Watermelon is extremely economically practical. In our conversations, why? paritaprevir In the past, Gunnarsdóttir Gunnsdóttirs discussed what facts of opinion needed to be considered before making or working further on that decision. Of course, it is important to consider how many trips per year are a medical flight, where time is important. Other than that, I feel responsible for the high Council in this matter, i.e. to ensure the future of this country and the nation that young people want to live here must be an important reason to discuss the location of this airport on the one of the most valuable countries in the country, although it may not be what counts but that we have to start building jobs that take into account that there are very well educated people who want to contribute and support our country's innovation. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u38	V.E.G. President. In itself, I do not disagree with this emphasis. Senator. However, I do not believe that the structure of a person called an education village in the Watermelon is a strong reason to move the airport because I believe it is easier to get such a core, such a cluster, to move it, or to build it somewhere else than a storm at this place, whether it was out in Granda or elsewhere. Of course, while the connection at the university was important, I think it's easier to move to such an operation than one of the airports. However, in general, I wanted to say that when we approach the airport, we need to keep in mind that it is of course important from an emergency flight, a medical flight, and such. But it is also an important feature in the public transport system if we can say so in a country where there is no train systems or other such systems that serve a comparable role elsewhere. Despite the passage in and out of the city or between the capital area and the individual nucleus of the country, the period of travel is shrinking, and so on, I think there are certain places where the flight will remain important in the sense of public transport. I mention Egls, Cape, Western Islands, Icefjords, and probably for years also in Akureyri. We need to think about that too, depending on how the airport plays a role in linking capitals and urban areas.
ParlaMint-IS_2016-10-06-165.u39	V.E.G. President. First, I'm going to kiss your ass. A senator for a very good talk, extensive and good, on transportation. I always rejoice when the members of the city of Reykjavík, U.S.A., discuss transportation with such a degree of knowledge and insight. Whether it is carried out in the capital area or in the country area, a senator does so. I'm also going to say, as I've said to others, that I think the committee is a very handsome figure. A member of the Environment and Transport Committee has taken up the existing transport programme, which was a transport plan for little or nothing, and improved it in the activities of the General Assembly. The committee shows independence, courage, and courage, and making adjustments just as the lesser part does, and I hope that some consideration will be taken to them. This is where I understand, for about 6 billion each year, 2017/018. I think it's a big challenge. I always feel that there should be such initiatives, as is here, when there's a poor recommendation from the European Commission. This is what's been going on with the Generals, especially in recent years, and it's an example. For that, thanks to you. paritaprevir The Birgir son of an Ármannsson like any other. I also say, there are a lot of good things in my suggestion that I hope will come about. In this counter, I'm going to talk about what I didn't quite agree with. A senator about, i.e. The work during the troubled years after the collapse of the bank I have a chart from the Road Building showing that 2007, 2008, 2009, and 2010 are a record year in construction. Then I'm just taking the money at this time. It really helped to keep these funds to go to the big, massive projects that were then being carried out. I allow myself to say, a respectable president, that at that time Iceland met, of course, because there was a need for employment to be made through profitless and practical work that was making very secure. A senator discussed the matter. [[The president calls.]] [[The president calls.]] I'm like, "We're what?" A senator did not agree on what was done there?
ParlaMint-IS_2016-10-06-165.u40	V.E.G. President. I'm not gonna argue about this, either. paritaprevir The Kristján Möller, or poles, or cables. But we remember from the time when this was not a struggle. Hv. A senator then a minister of transportation had to work to maintain this stage. It was, if I remember correctly, in 2011 that started to relax, and then we remember talking about that maybe it would be easier to stop new projects rather than resigning employees at institutions or such. It's always a tough choice. I think that those of us who participated in discussions about these matters at this time have helped us to realize that by reducing projects during this time, we would not be achieving any lasting savings but would only contribute to the future costs. I can personally believe that we may have been fully able to increase again, but we need to be aware that not only in transport but in all areas of public expenses, there has been great pressure on us to add to our contributions and to the balance of controlling it to avoid spending on material matters or to avoid self - sufficiency. That's what we can do. paritaprevir Möller agrees that it is very positive and good when we see space to increase in this area without affecting stability or adversely affecting the state's status.
ParlaMint-IS_2016-10-06-165.u41	V.E.G. President. Thank you. A senator for this answer, we agree over there. At that time, many new projects were performed in areas that had a road system, such as those in the capital area 60 years ago. Actually, it was a measure of maintenance too. New constructions, such as those on 60 miles [60 km] to weapons ground, need no maintenance in the coming years, even decades, but much maintenance was needed during the road as a single-burn, hollow, rock on all sides, etc. That's all there is to it. We agree on these factors. It was really given in. This was done right away in 2007 by the administration of independents and members of the United States. In a talk in the East on June 17, a large cutout was announced in trio's records, as well as said, by the time force. Prime Minister Geir Haardeur, needs to be given in other areas. The next day, if I recall correctly, the current price was 6 billion. conducted at this time. I'm just going to go back to what I agreed with. In the future, there is a senator talking about Reykjavíkur Airport and the center of national flight. I strongly believe that the course should be where it is, but I have often said that members who should be able to discuss a certain process that will be made changes. The Rackham Commission's conclusions were, to some extent, disappointing to me except in that respect, to the fact that Hólmshef is no longer discussed. It's just out of the table. That didn't surprise me. But it's called a chance just a short time from here, Whaleshaft. I agree with that. Senator I don't think we're going to get that lava out to live in the airport, but I think that's an insane idea. Either the centre of the national flight will remain at the Reykjavík airport for 10 to 20 years, or Guð knows what the trend will be. If the course is laid by opposers, the international flight to Cheflavík will be moved to Chefavík, where it will slowly and slowly die because of its length of travel and the fall of shorter flights. [[The president calls.]] [[The president calls.]] A respectable president. This is my view of where we should have a future national airport and the centre of an internal flight. I know we're at the highest. The President agrees completely on this matter.
ParlaMint-IS_2016-10-06-165.u42	V.E.G. President. I come up here to discuss a transport plan. She has been very busy here for the past few days, and much longer than they anticipated, and has been used to running the case until the government groups decide how they're going to complete this council. That has even been true. that large numbers of people in the community wait with the duck in their throat for the approval of the plan and for good reason, since transportation is broken in many places in Iceland. Clearly, we need to take action if we are to be at peace with the environment. Many have had previous talks, including I, in discussions about transport, the plan is somehow built up, so the projects are stratified according to votes, and it seems to be an ideal competition for who is the most diligent to obtain money and to make changes in his terms. I don't think it's a good thing. Many woes have been presented in this matter. Senators that we need to change this and have to set our priorities and work out a different transport plan. I really hope that it will be done over the years, and we will start setting priorities for where the need is most important. Now, naturally, all need is in their own jurisdiction and territory. It's not unusual. I am from the Southern District, and there has been a tremendous increase in traffic in recent years, especially as a result of the growing number of tourists in the country. You just feel it in your own eyes when you drive through the district that there's a lot of traffic there. The communities in the South and the road system are under extreme pressure. Civil authorities and those living in the region tell me that they are deeply concerned about how things have been developing and that they have the small financial resources set up in transport and road patterns in their districts and areas. There is no need to be buried in a grave, 8 of the most popular resorts in the country are in the South Sea. There, almost every tourist comes to the country. He is traveling with buses and cars, and these systems are under enormous pressure. Although there are many projects being made in this program, such as in the Bishop's field and on the road to Geysi, it is not nearly enough, telling me men, and the need for much more money in the coming years. Hopefully, this will be done and would have had to be done now. But this is the situation. There's no more money. Yet, this transport program is now making a considerable amount of money, which is very good. A board of directors is to be commended for their work in these matters, for getting more money on these matters. Last year, 16 people died driving in Iceland. That country had increased by about 12 since the previous year, which is an enormous increase, and it tells us that there is a tremendous increase in driving in the country. Much of the accidents that have occurred in traffic are because of foreign tourists who drive on such narrow roads, who like our beautiful land and stop in roads. The last fatal accident in the South was because people were walking over a road to look at something interesting, which required the people to cross the road. It is important that we consider all of this together in a larger context and make a very long - term plan. But it is clear that in the coming years, and preferably immediately, a lot more money must be spent on transportation. These are the most important concerns for the country's settlements, i.e. It's good transportation and communication. In my district, there are more than 20 bridges one side of the Hornfjord. There are 39 bridges on highway 1 all over the country. That's one of the things you really need to fix. Only in the last year, a fatal accident in the Southern District was caused by a single - beamed bridge. It is of utmost importance to do away with them in the coming years, for if you keep looking at the number of tourists, something will go on. I myself live in Grindavík. Now, a very important and excellent performance is being carried out at the corner of the Blue Deck. It was designed to increase traffic security there. In the current program to turn money into changes in the streets of Cyrúsavík, which is extremely important, for we who drive this road every morning realized how devastating the trap of accidents and the dangerous corners there are. It's good not to make up for it. So I'll just continue to talk about my district, because it's a ballot, then a group of south people were set up on Smokejanes, after a fatal accident on the Smokey Way, referred to in the commission that moved the change to the Hafnar Road. It is heavier than tears to think that accidents must occur, since a young woman lost her husband and three children lost her father in order to do something about these matters. Although it was during the discussion for a long time to make changes in the Hafnarfjörður, that did not happen until you died. This often seems to be the story of our Icelanders that very little is done and little is changed into such a thing until something terrible happens. This tragic accident in July. That's it! That's it! That's it! That's it! That's it! That's it! was formed. As mentioned earlier in the Senate talks, how tragic it is that a community like Smokenesville and Southnes needs to make changes in these matters! This organization was formed with great enthusiasm, and the battles of these people and the enthusiasm of fire made it possible for money and funds to add two laps to the Main Street and the airport, which will completely change circumstances. Likewise in the years that follow, Hafnar Road will be changed. They have to go through organizational adjustments until it's done, but there's gonna be a lot more security there. It has also been said that pedestrian traffic is high above the River Road from Ásbrön and the old defensive area that is now flourishing. In order to go to a supermarket there, people are crossing the Smokey Way at the Fitjar, which creates a natural grave danger. There's something that needs to be fixed in the years ahead. There's a huge round on the Smokey Way and up to the terminal. I worked at the airport for a year and a half, driving around there every day. It is two different things to drive there now or then, the traffic is huge from the Fits to the air station, where there is a single road. It's quite clear that there's a plan, 2019◯022, if I remember correctly, to finish the road up there, which is extremely important as so many other things. Of course, everything is important in transportation. Unfortunately, it seems that we have been completely involved in the growth of tourists, that we were somehow not ready for all of that, and unfortunately we need to work on meeting them. I hope that the council that takes up the post-election operation and the government that can achieve great ambition in this. Of course, we need to make a living in order to meet these costs, and this is a big cost, and we have to make some money somehow. I have often talked about it in the public discourse that during the last term, the government put forth a very ambitious investment plan that even turned. for transportation. I can also mention that, although I am a council member for the Southern District, there has been extensive road repairs in my youth, which is armed with weapons. The road there has completely changed transport through that region. He's made a lot of changes for a weapons farm. You only see how one project can have a tremendously positive effect on people in these areas. I also mention the South Coast Road, which came to last term and was finished. He has also had tremendous good results, and traffic has increased over him each year. He's proved himself perfectly to be an excellent addition to the national road system. Still, somehow we need to change how we plan for transportation. We have plenty of people who are very close to traffic safety. I'm going to name Ólafur Guðmundsson. I would have wanted to make him the head of the government's traffic security, since few people have more knowledge and knowledge of these matters. I have attended a meeting in the district, where he has been giving transportation talks. It is a pleasure to listen to people who have much knowledge and experience in this area, and I know that he has had his hand in making this transport program and has given good advice. But transportation is a major part of society today. Their share has increased. We need to work hard to fix them. I met with the South American government last week. They are not greatly disturbed by the new transport program and feel the need to do much more. They said that we did not realize that, i.e. We here at the legislation and the council of this nation, how important these matters were in their district or in my district of the South. Not only are there huge numbers of tourists on buses and private cars driving the area but there are also excessive heavy transports. Fish transports from the East and the vice versa are enormous. I've only heard of this from Grindavik because the big lineboats are going east to land at a certain time of year to catch and then transport the fish to the south in Gravitík on large trucks. The effect is that the road system is slow and biting when there is such an overwhelming increase in transport. You often wonder if the good old beach cruises would not have been fine by now to lighten the highways. It's a different story, but I'm sure it's all right to discuss in the near future if there's something you can do about increasing sea transport, since they have a huge impact on the road system. I drove around the country for the summer, and unfortunately, our roads are in very bad conditions, although there are certainly sections where the situation is very good, but better if it's done. So I welcome a new transport plan, even though it is two years in advance. It's a little strange to be accepting a transport plan from 2014 or 2015, but it's another story. We've got this paper in our hands and this suggestion that we have to celebrate. There are many benefits. Money and funding are being provided for very necessary projects, although much of the need is being made for new projects and maintenance. I understand that according to the road manager, it takes about 11 billion a year just to keep the missing in terms of maintenance. We're putting it on eight now. It's 3 billion short just to keep it gone. It tells us how much is really missing so that we can be content with a transportation program. Mr. President. Finally, I would like to say that I hope, once again stressing that the transport program will be carried out in broad consultations with all stakeholders in which everything is taken and put first, we will prioritize, according to where the need is most important. It is also difficult because areas such as southern Western and other sites have been removed for years and decades, and people in those areas are long gone for some improvements. As I mentioned earlier, I also especially rejoice that money is being put on the road in my area south of here, and safety is increasing on the road from Fits to air station. There was a lot to say to the group I mentioned earlier, stop, here, and no further! Under the hand of Ísak, son of Ernir, Kristinsson of Christian, Guðbergur, son of Bergsson, and Margrét Sanders, and others. I don't even think that if they hadn't stepped into the discussion so easily and said that it was no longer possible that nothing would have been done in these cases despite the tragic deaths that occurred there. It was a direct democracy, showing that the people can have a powerful influence if they want to and fight for their battles. They all have to thank you for a great fight and for taking us senators on the carpet and for us to realize that this is no longer the case. We would have to agree to improve these matters before there are even more and more serious accidents - and worse accidents, they can hardly be worse than death accidents - but more accidents and even fatal accidents are there, for one road accident is too much. It costs us enormously, not just the extra money when someone dies, but the grief and loss of the little communities in Iceland, such as the Garden of this case, when people die at the best of their age. That's all. I'm glad this proposal has come forth and we accept it here at this council.
ParlaMint-IS_2016-10-06-165.u43	A respectable president. I'd like to start by thanking you. A senator for the speech. Although he may not have traveled far and wide throughout the country, he focused on the South and especially on the Smokey Peninsula. Today, there have been ideas of trying to establish a proper bullet train or a faster public transportation between Keflavík and Reykjavík, or capital area. I'd like to ask you why. A senator whether he sees it as a possible solution to make traffic security more secure, tries to control this population more effectively into public transport in this area. If we have fewer cars, we naturally have fewer options for road accidents, for cars to land together, and so on. Also, I'd like to ask you which one. A senator would not miss a more comprehensive plan for bicycling across the country. I know there's a bicycle racer organization here in Iceland that's been trying to get a bicycle track just on the Smokenes Peninsula, the southern part of a Smokey Peninsula, between Cheflavík and the village crew, and whether it wouldn't be a good farm for both tourists and outdoors and other things in this area, it's going to be quite beautiful over there. I know why. Is there anything more in the case of a senator as he is now from this area?
ParlaMint-IS_2016-10-06-165.u44	V.E.G. President. Thank you. A senator for the inquiry. I got a lot of talk about the Smokey Man, and then I got a bit nervous. A senator started talking about public transportation and even flying, didn't mention it, but she mentioned the train we're talking about, and then she means from the Southes and into Reykjavík, and I turned on the bulb, and I forgot to talk about the flight. But maybe you don't want to go into the internal plane, the land mine area, which is a very delicate subject. I think a train would be a great transportation trip from the airport or South Falls into Reykjavík, but it's enormously expensive. This has been calculated, and it has been in the discussion for the past few years, and perhaps it is the future for us to do it this way. I'm not gonna talk about it in the event that the international flight would be moved to Keflavík, which I myself thought was not too bad. I think that would be a great solution to domestic flights. But not everyone agrees with me. That's how it is, and we need to figure it out. Public transportation, of course, we're supposed to promote it a lot. I heard it last week when I was attending a teenage conference in Puppyville that the main issue of youth councils in the South was the public transportation, the bus, being able to get between the day and the other. But it's enormously expensive. In fact, it was a contract made during the last term if I recall correctly that the national community would care for public transportation, they actually do, but the most extended legs were taken out. It is extremely difficult to stay out of public transportation when the best bites and cattle are taken off, so there is nothing left for the others. But we need to promote public transportation very much. It's perfectly clear that it's called for. As far as bicycle riding paths are concerned, that's just a great idea. Now they're making a race path from Grindavik up to Stapa. This will make a difference, since bicycling is always picking up the weather in Iceland, even though the weather may not be quite ready. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u45	A respectable president. Thanks for the answer. That's right, public transportation's cost. Expenditures are something I think we don't always have to be so scared of. It also costs to run a car. It's very expensive for us to have a lot of cars in traffic. It's not very environmental, and it just isn't the future. It seems that everyone agrees on what has been doing in the future, that public transportation is really the only solution to proper respect for both the money, the overall interest, and, of course, nature. I find that very interesting. A senator mentioned this young conference at Puppy Hall, where young people were asking for better public transportation. But they said, "Yes, but it is so expensive." But isn't that okay? Is it not all right for us to try to ensure a measure of freedom when it comes to moving between areas, that they exist? It's worth it. In general, this is also about staying on these territories, if people don't want to live there, especially young people, because they don't want to live there, because they are so hard to get to school, hard to get into time, difficult to go and see their friends. Is running public transportation not part of the cost of being in a community? Don't you think it's supposed to be part of the network? A good public transportation? I've never understood why it's not mystiques, or something like that, so why does it always have to be so nice and so expensive? There are other countries that achieve better public transportation than we do. Why can we not imitate them?
ParlaMint-IS_2016-10-06-165.u46	V.E.G. President. I can totally agree with that. Of course, you want to see more transport in Iceland. Yet, one thing must be considered, we do not live under conditions similar to those of other nations, which means that we must have much more powerful tools and tools to travel. During this disputed youth conference at Puppy Stadium the other day, it was true of these young people that they put much emphasis on public transportation. However, the map over the term will cost you a $90 scale. K. That's a little bit of money for young people. Then, when we started discussing this more, students only use public transportation until they receive a car test. In that case, it is far less expensive for them to spend time in the same car, alone on the car, and five in the car. It's much cheaper. In Iceland, there's been a natural car policy for years, a private car policy. Everyone's driving, and maybe it's not weird. Our distances are long, and some men are not sitting on buses or on bus but want to be on a car. We can see what traffic is in Reykjavík in the morning, and in certain times of stress, it's huge and more often than it's not one in the car. But that must be our goal in the coming years as we grow to advance public transportation. For example, during the last term when this contract was made between the state and part of the country, Cheflútan was inside the movement of passengers from Cheflavour Airport to Reykjavík. If the Southnes Union had been allowed to run that bus, but the 2013 Minister of Internal Affairs took it back, it would have paid off any other transportation in the area. It was even said that it could have paid down the loss on public transportation at the EI, which was about 28 million that year. It's always a question of how we should do this. Private companies are very strong at pushing this.
ParlaMint-IS_2016-10-06-165.u47	Mr. President. I thank the senator for his speech. I'm thinking about just going on over there, it's such an interesting conversation and maybe touching all these surfaces we want to talk about, and the senator talked himself earlier, that's the traffic security. I now drive a lot, as I know that the senator does, although we may not want to speak much for the private car policy but rather, more precisely, an increase in public transportation that I think is the vision of the future. So I wake up from one to the other, it's this thing with the young people, that they're actually using only public transportation until they get a license, of course, part of that thought we've been raised. As soon as the public transportation becomes a part of the cool watch, if you can turn it off, they'll be on top. I feel like we're moving that way, i.e. Our younger people. Especially when they've lived abroad, they've come from high school and come to college and they've lived abroad, it's a lot of time. But then we always find this wall so different from our public transportation, which, of course, happens in larger cities. I think it's something that's going to happen, I just trust we'll do it properly, especially with regard to climate goals, traffic safety, prevention and all their factors. This is one of the more important tasks, also to reduce the pressures of roads and infrastructure, public transportation is part of it. The Senator mentioned the heavy transports and trucks that you meet one another three times a week if you're on the move, a huge number on the same path, and just telling me that we should seriously consider taking up the beach cruises again. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u48	V.E.G. President. I thank the senator for his inquiry. I kind of agree that we should look at it with an open mind to go back on the beach. Like what? A senator claims to be a massive traffic jam in the highways of the country. It's often that way when you meet them that you're half-mumble, they drive like nothing really slow. I agree completely with this, too, with the public transportation. We are to set goals for the next year how we can improve the role of public transportation in driving, or driving. A senator mentioned the climate goals and other factors, as this is accompanied by massive pollution of all these fleets. For example, I was in Norway in May and lived in the center of Oslo, a friend of mine. When I took a flight home, I walked for two minutes, and then I was inside the door until I got out of Leifs Station. There's the natural bus and tram, and I could buy myself an app on the phone that I bought for the day, then I could go to the bus, I could go to the train, I could take a lightcar, and I could take a cruise through Osjordur, just this one app. It's something we need to examine. We can do it this way. But we're a little behind somebody else, and we're in this private car business. It's natural to put a lot of emphasis on the private car, it's like the housing business, everybody's supposed to own it, and we're that way, Icelanders, maybe because we're living in a different situation, but many others, and we're very few. It is often a long time apart, and it is difficult to maintain transportation, e.g. Like in Southnes, now there is an incredible flow of labor around the Southnes. It is very difficult to stay out of public transportation; people may have to wait for hours to get a bus ride, rather than just travel faster. That's one of them too. We are so few, and this can be hard to do.
