ParlaMint-IS_2016-09-07-148.u1	The president reminds us that our votes will be here right after the 1st talk.
ParlaMint-IS_2016-09-07-148.u27	Madam President. First, I'd like to celebrate the proposed resolution of the Paris Convention. I think that's a great deal of joy and, of course, fully support the matter. I think it's the highest. A minister in his prehistoric speech was well aware of the importance and need of this. I don't think it's an exaggeration to say that climate is one of the greatest and most important tasks of our time and that we are participants in the political field today. These are one of the biggest projects we're waiting for, and we're gonna have to deal with and deal with. I think it's a good thing that Iceland is going to be among the states that we want to make an ambitious deal and that we want to work with the most ambitious countries in the world. I think that as one of the richest nations in the world, we simply have an obligation to be very ambitious when it comes to these matters, but also because we live in a good way when it comes to certain factors like the highest degree. A minister entered his speech. We are so happy to be able to warm our houses with a sustainable and environmental way of life from nature's hand. There is something that a great many nations of the world simply cannot. But I think most of us would write that living in a warm home, or subsiding housing, if you live on the globe, is a very high quality of life. I think this is one of the big challenges that so many countries face, i.e. how houses are eaten and choked. I think that because we live in this much green energy that we can use for house - warming, we can be more than just role models. We also have a responsibility to contribute in other areas where we have such privileges and benefits. I am concerned that we are not working hard enough to plan how we are going to achieve the goals we set for ourselves. So I believe that the question is as good as ever. paritaprevir Svandís Svavarsdóttir asked that we answer at the highest. Ministers on what the contract goals of Iceland would be very important. I agree that we can not only wait to see what the European Union will do but also to set our own goals. I'm not gonna belittle what I'm going to make as high as I can. A minister said that she spoke of the emphasis on forestry. I think it's fine. But I think these matters need to be considered on such a much larger and wider basis, since forestry alone is not effective. Therefore, I would like to encourage you, highlighting the need for Iceland to make its own strategy and point it to the highest level. Environment Minister, whom I am very happy to be here in the hall and plan to participate in the discussion, for that task is, of course, largely on her table, even though it is the highest level. The minister of foreign affairs is to submit validation of the Paris Treaty. In an inquiry as of any given moment. paritaprevir Svandís Svavarsdóttir directed to the highest power. The Environment and Resource Minister for Action in Climates is precisely asking how the government intends to follow up a climate application programme and to form questions about the role of the various institutions under the Environment Ministry on these issues. It's interesting when you read through answers at the highest. Ministers there are words such as tests, monitoring, monitoring, disposal logs, back here for the word "watch," all through the answer. Of course, this is not enough. Of course, it is important to observe and have charted all these factors, but monitoring will not be necessary to reduce Iceland's emissions. There's more to go. I'm thinking that we can't afford to wait, we have to start work very fast, we have to set our goals and plan how Iceland is going to meet and stick to the commitments that the Paris Treaty means. I'm worried that too much focus is put on the magazine that says that we're going to make a 40% reduction in 2030, which is, of course, a good and necessary goal, but there has to be a plan on how we do this. Otherwise, this remarkable agreement in Paris may not be won, for if more countries just drag their feet and sign them, for, of course, signing is the easier part of these topics, if the government does not set up the goals they are going to follow, nothing will, of course, happen. So, I want to finally, as soon as I'm glad again that this Senate resolution proposal for the validation of the contract is established, it is highest. Minister and chief. Governments as well as those and the people who will be in charge after election to take the matter in place and set goals and plan to make a success of these matters. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u28	Madam President. I like the rest of the people who have expressed themselves in this matter about the validation of the Paris Convention on Climates, of course, rejoice that we Icelanders are about to sign the formal agreement made between nations. This is a turning point, and it is long time for the nations of the world to join an organization and work to reduce the greenhouse effect and validate this climate agreement. I'd like to have a moment before I begin to talk in general about these matters. The Paris Convention makes a framework for the commitments of the countries which they have voluntarily made with the aim of maintaining global temperature below 2° from the average temperature of the earth before industrialization. This is an ambitious goal, even though there was a little debate about where it should lie. At the same time, a way to maintain a temperature above 1.5° should be taken. The agreement will affect Iceland's goals on climate, but it does not contain direct laws on the absolute commitments of individual countries. I'm stopping this. It is not to speak of the need for each country to make a certain commitment regarding the number of commitments it makes. I feel that Iceland should be the most ambitious and prominent in climateism. We have such a great chance of being a model to other countries, living in the high geothermal temperature that we have and the potential for energy exchange, both to sea and country, and a potential for many in which we have much unmoved nature and can draw the line, where we want to enable and where we want to protect, and how we use our energy that we have activated and are going to activate, whether we use it for employment, green employment, or whether we use it, as much of what we've done, in the pollution of today's population and over 80% of all the electricity production in the country. Is that a lot of thought? In June 2015, Iceland produced its proposed contribution after its approval in the government. It shows that in cooperation with EU Member States, a 40% reduction is aimed at 2030 emissions as compared to 1990 emissions. What a lofty goal! I agree with what has happened, as was the case with the previous speaker, why. paritaprevir The Steinunn Árnadóttir of the Year, that we Icelanders need to show a plan of action in this regard. While we look at what the European Union's member countries are going to do, there is no reason to hang on that train and not take the initiative. Rather, we are the people who set high goals and draw the chariot and are exemplary. It is often that little countries can be the leading person who is exemplary, able to look and work from what we use our energy, how we use our resources, and how we have ambitions about energy exchange. What do we have, e.g. Made in energy exchange? Is that what we have in mind? I don't think so. We've too much to focus on using our energy to make a fortune. If we are looking at issues that are currently in the council, such as the customs agreement with the European Union, the labour agreement, and the frame plan, the subject likely to occur in the coming days, the conclusion of the third-way task management in those areas, this is all a matter that in one way or another relates to the way we Icelanders are going to arrange our affairs to achieve them the goal of binding carbons and reducing greenhouse effects and air pollution. Has it been determined somewhere or is intended to do so, e.g. an assessment of the effect. The toll agreement on our climate targets and our involvement in the Paris Convention? We know that excessive pollution will result in the extensive transport of food to the country that could otherwise be produced within the country. We left greens have suggested that the impact of the livestock contract also be environmentalized and have achieved in the work of the employment committee that it will be done in the next three years as the contract reviews and reviews of the work force. I think it's a good phase. As we look at the goals under the Paris Treaty, the major policy in the country in general has its harsh hands. I believe now the government must be completely turning over and looking forward to building a green economy in the most sustainable manner. The last government produced an ambitious document of the materials that the present government pushed off the board and has not worked with. For the use and protection of natural resources, how and where we use it and for what it is intended are of utmost importance. There must be complete confusion from what is now, if not bad, and by failing a test of meeting the goals here validated. We've gotten our feet together, but it's good we're now to sign this contract, make it in Iceland. He's been validated in Norway some time ago and in China during the days. Then the next secretary of the environment, after the next election, is to work on developing an ambitious strategy for us Icelanders to be the person who has a great ambition to act in the sectors referred to here, such as energy exchange and environmental assessments in general on all that the state has and can influence and the general economic environment in the country and individuals. We all have one way or another an impact on air pollution and greenhouse gas pollution, whether it is an individual, a company, a state, or a community. There, all members need to do their part and not shrink back, for it is of utmost importance to future generations. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u29	A respectable president. I am very happy that the privatization of the Paris Convention has come to confirm in the International Parliament. The Foreign Minister has already given a detailed discourse that reviews the main issues of the Paris Treaty and the benefits of early validation. Of course, I agree with her speech. It is the challenge of the Environment and Resource Minister to validate the contract as well as the entire government. Iceland was one of the states that wanted an ambitious contract in Paris. We thus had a very powerful presentation that brought attention to various issues that we have taken to our attention during the climate discussion, such as renewable energy, agriculture, and forestry, and the effects of climate change on the sea and on the glacier. I'm not going to repeat what happened in the history of the highest. Secretary of State, however, would like to add a few things, especially how we can deal with the commitments found in the Paris Convention. Indeed, the treaty is a turning point. It gives us hope for success in climate. It gives us the hope that a discussion between nations about climate change will be better, since the issues were set on a crisis. Developed countries said that there was no long way in which powerful and growing developing nations, such as China, India, Brazil, and Korea, were not obliged to reduce emissions. On the other hand, evolutionists said that rich countries must be on the lead and that there was no shortage. Both sides had a point. However, in Paris the lack of political reconciliation was successful. Like many other humans, it is our chief and perhaps best hope, so it gives us the opportunity to defend our efforts to solve the problem rather than try to find fault. Iceland made a promise of its share within the Paris Treaty, where we aim to make an ambitious contribution but, I say, it's safe to say, there's no one to know that it's going to be a considerable effort to reach the goals that have been set. It can only be achieved with everyone's campaign, i.e. ... everyone'scomeinside. I sense that we have already made quite a bit of progress. There has been a wake - up in society, in employment, in rural society, in scientists, in institutions, and in the public. However, the strength of the application program discussed here and humans are naturally well aware of the fact that more are being activated with us and trying to find practical solutions. It's like when you throw rocks at the sea until it's turned into a container. That's exactly what we're going to set up on 16 teams, but we want it to be like the rock that's thrown into the ocean, that's the container that spreads out, that's what we want to find that strength, and that's what I think is happening. I'd like to give you an example. In Paris, the land - healing situation gave rise to an enormous amount of attention. In fact, we were surprised to learn that so many of us have the most attention. We were invited to attend interviews and other interviews. One of these projects is the restoration of wetlands. It is a land transplant that handles it and has worked on several projects. In a formal way, we began to recover wetlands for the summer and was one of the last works of the last president. But it wasn't just there. I also heard that Iceland's bishop wanted to start such a campaign in the Sale, and I'm sure he did. I think it's kind of fun that these places are in our national history. This is to say: Here we have places that are not widely used under traditional agriculture, where wetlands are restored. You can see that these institutions, both the Oval Office and the Bishop's office, come in there, as well as, for example. A very interesting assignment is now being carried out by the park community. There's already one eight applications from the state of the world, if I get it right. We're doing a lot of stuff. Last time in the news, they told me that they were gathering seeds of melgis on the black Myrdal Land. This amazing plant, the melles, has changed much. Of course it binds carbon too. It's not only the forest we want to build, the land transplants have a lot to say, and they can bind carbon. But whatever you can say here, even if we don't feel that we're not wanted in the parish plan, it's still Iceland's first climate agenda based on projects that are especially funded by the government. And we are going to succeed. Of course, there is something to be costed, but that is what we will do. I don't need to mention an example. It's been discussed before. A general assembly, such as energy exchange and increasing the number of battery cars and making them handsome. Already advertised, they are strengthened by their work. Of course, being in front of a group of Icelands is an opportunity to use our climate-friendly and relatively cheap electricity instead of contaminated fuel. We've got lots of parishes. We're working and we've been working on roads for a climate-friendly fishing road. I feel like a fishing plant and only the general industry is very comfortable with these matters. In other words, it is working with the articles themselves, both fishing and agriculture. There are people inside the door who have knowledge and bring climate - related solutions. Once again: The strength of this project is just taking more action. This has naturally been shown in the highest speeches today. Secretary of State that we're raising money to the forest. We have a lot of land. It is what we have in excess of many other European countries that we have land that we can use to grow forestry and to improve land healing. This involves a great deal of wealth. It is understandable that even though we may have increased money in forestry, we do not have more time to build trees from seeds for planting. But all of this is coming, and soon we will see it happen. That's what we want. The battle against eating is one of the tasks that all can take part in. The project somewhat symbolic for the fight against climate change and for environmental protection that waste of food produces unnecessary production, unnecessary transport, and unnecessary waste. All of these are the issues that are interconnected on climate and environment in general. It's nice to say that now next Friday, a beautiful presentation and conference will be held in the Pearl together against waste, that some companies are engaged in. Fenour has the greatest honor in the conference, but at the same time, the Icelandic Women's Association and the Free Association Associations. I like to draw attention to the fact that it's not just the state that's supposed to do everything. It's the State that's supposed to be on the road, maybe coming up with ideas, but then it's the environment itself that takes over, including the work that I like. You can see that people are starting to think that we need something to do to prevent eating and eating. I don't know how much I'm supposed to be talking about the parish program here, but Iceland's Weather Service is a very powerful company and has taken part in the maping and monitoring. If we map and awaken the environment, we will see changes that will take place from year to year. It is also an essential element. The Council has been an expert on the Environment and Resource Ministry to specifically design the application programme. [[The president calls.]] I think it's very positive that we've been able to get financial support for our climate issues. I sense a positive discussion here at the General Assembly on the Paris Convention and I believe it is a happy day.
ParlaMint-IS_2016-09-07-148.u30	A respectable president. Thank you very much. the secretary of the environment for her speech in this matter. I'd like to tempt her to ask questions that I asked an executive earlier, and I didn't get the answers and subject to Iceland's contract aims in cooperation with the European Union and at our joint meetings with Norway with the EU on this common project. We are going to travel with the European Union, about which we had an agreement at the time. I think it's actually reasonable. On the other hand, I miss the fact that the government officials are coming, and it may be more important to the secretary of the environment than to the Minister of Foreign Affairs, who refused to answer earlier, who will be involved in Iceland or a bargain plan at the bargaining table. Yes, it is clear and correct, and it was expressed in the words of the highest degree. Environment Minister earlier that the percentage of so - called clean energy in Iceland is high and has been named above 70%, which is considered the highest in the world. That's close to that number, too, in Norway. I think that number is 69%. Nevertheless, the Norwegian government has declared that they want to reduce emissions by 40% regardless of these European agreements to participate in a common objective. I'd like to ask the highest. Minister if she can tell us what message Iceland wants to share at the contract table or if Iceland wants to see what comes out of the European Union's communications.
ParlaMint-IS_2016-09-07-148.u31	A respectable president. Thank you. Foreman. I think I can convince her that we won't put anything in our head at this bargaining table. We naturally have a few things we've been working on, as I believe, in today's talks. Contracts will be permanently resolved at this time of the year. I don't trust me to mention here some percentage or whether we're going to agree with the target that Norway has set out above 40%. We haven't made the final decision.
ParlaMint-IS_2016-09-07-148.u32	A respectable president. I want to thank you very much. A minister for an honest and grammatical answer in this matter, of course, is important to have such a great deal. I'd like to agree with the Minister that it's a pleasure that this matter of Congress has finally come to pass and that we can contribute to at least in this confirmation process. This is shown in the case of the highest. Ministers that she does not trust in accepting Norway's goals, and I respect it to the Minister that there are reasons for this, but now the release of the Council and elections begins to reach and people are molding their position on large issues, including environmental issues. Some people want to say that, including The one standing here, that climate may be one of the biggest issues of the day, so I would like to ask the highest. Minister, who will at the end of this short term leave the environment minister's seat, what she thinks is most worthy to become of Iceland's contribution in that field. Let's say that she doesn't want to answer it for herself. Rather, she leaves it to the forward party, but I would still like to try to ask her specifically about an idea that has been very widely in the world, i.e. that the community is planning to become a non-carbon object in some particular year, e.g. 2050. I also asked the highest. Secretary of state on this matter, and he didn't get the answer. Iceland could become a non-carbon object in 2050. For the General, there is a proposal for that. I'd like to ask the highest. The secretary of the environment, when she looks at the journey of her office and the future for the country and the centres, for Iceland and humanity, whether it is not a good contribution for us Icelanders into that discussion. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u33	A respectable president. It's a fun discussion. Indeed, I am abdicating the work of the Environment and Resource Ministry with a missing nature, since I find that lawsuit extremely challenging and rewarding. I am absolutely certain that his point will grow in the future. There are an enormous number of assignments. It's often that way with our behavior, and I've learned to define my own behavior even more about getting into this office, that there are so many things we do that can make environmental and climate conditions work together, I've said, for example. by reducing the production of food, by reducing transport. I can totally agree with the senator that such a goal may be desirable, 2050. I don't always like to use bans, but I'd rather see this done by teaching and, perhaps, better methods than direct bans or other rules. But you have to know where you're headed, that's right. I can totally agree with her that this is the preferred challenge, to head for Iceland's nothing of carbon in 2050.
ParlaMint-IS_2016-09-07-148.u34	A respectable president. We will discuss a proposal for a resolution on the privatization of the Paris Convention. So that is still, and once said, even though it has been so well said, it is a great deal of joy for Iceland and, of course, in its time for the entire inhabited earth, but a certain group of countries have to validate the Paris Convention for that process to be completed. I've been trying to resist calling for the clearer policy of the present and advanced government, but I have not received clear answers in this regard, but I believe that I must be an important project for all political parties now in the process of campaigning to answer the question about Iceland's climate policy or how we see it and where we consider it to be wise and, yes, the ambitions of the Iceland at the contract table and when it comes to making a deal with the European Union and Norway on common projects. I would also like to point out and correct the importance of looking at this series in the context of all other lawsuits. Maybe this is just a group of paintings that should be over and around. In fact, some countries have gone so far as to have a special climate agency holding their arms around this class, perhaps because climate matters not only concern the environment in the traditional sense but also the same issues of energy, transport, and, as noted in the Supreme case. Environment Minister, matters that merely depend on the everyday life and consumption of society. Thus, the debate on climate is always a reminder that the group is broad, and it must connect, and it must transcur, the whole community and all its lawsuits. Therefore, I have called for, both in the discussion and in the past, that the actual climate plan, whether it is a plan or a plan of action we have since 2010 or any name such a program as this, of course, must be a plan that will capture many more lawsuits. That's what I've been calling for in reply to our highest degree. Internal Ministers when they recommended transport plans for transport, what were the climate objectives of the transport program? I believe that, if we are going to take the step to significantly reduce greenhouse gas emissions, it can't be limited to one particular plan and measures within it. That's why we have to be careful about this process, and we have some models here in the administration that are experimented with this integration. I'd like to mention one way to the highest degree. An industrial and commercial minister has spoken and made up a project called the Management Board of Travels, which has yet been cursed for all possible. It is at least an attempt to bring together the Ministers and the seminars associated with the case in some way and to consider whether such a plan would need to be made when it comes to climate. Parliamentary climatics has been decommissioned through the Generals. It is a climate recommendation that has the main role of making measures to reduce the emissions of greenhouse gas in Iceland and has defined a project and is the territory of consultation with people who have both direct and indirect access to this issue. I'd also like to step in on the fact, and I don't think that there's anything wrong with saying that tools are about the Paris complex, which will reach its goals in the warming of the atmosphere under two degrees. In fact, it has even been reasoned that the Paris meeting in the present form is more than 2.7 ° C during warming. It's just too much, too much. Climate Action Network has brought this up. In view of this, specific requirements were set in the Paris Convention to reevaluate our goals regularly because they considered them to be the basis for their doubts. The agreement that this would not be effective enough to achieve these goals. That is how we are looking at a disaster and a situation that will not be reversed if we have reached such a global warming. We who are in the industrial part of the world may be the most responsible and perhaps the most responsible of all. People have said that 1.5 ° is really what we tolerate, what the world can tolerate, whether it's human heritage or other aspects of ecosystems. In all likelihood, the Member States of the climate agreement will need to do even better than we have been talking about if we are to stay there. Being ambitious likely means taking steps that are still ahead of what has been mentioned. As noted earlier in my answers, the brief suggestion given here has become quite common. But in order to meet the viewpoints of that fine statement, we need to do more. Even and probably we're going to have to aim for the goal of Iceland to become a non-carbon object or at least reduction of greenhouse gas emissions far more than appears to be in the same condition. I'd also like to mention, because I was talking about integrating a wide variety of plans, that during the last term that was probably the mostdiscriminate of the republican institution, there was a very positive report here at the council chamber when we agreed with all the votes of Congress resolutions on a green economy. It was exactly a suggestion that was involved in bringing the development of the economy in the most diverse direction of green and positive developments, i.e. Whether it was innovation, evolution, or product development, food production, or what it was, we would be trying to make sure that growth was not at the expense of natural resources and was not at the expense of the quality that we must protect for the long future. As a result of this disappointment, at the 2013 State Department, these suggestions were one of the things that were taken off the board, probably under the premise that these were a remnant from the former government, and they even talked about pet projects and things like that. But I don't think we're going to let this plan go again. In fact, I think and believe that it will include those who are independent and those who want to be part of it. It is simply about facing the fact that if we are to share the prospects of this earth for some future, we must be careful that growth is not aggressive. That suggestion was good. There were detailed measures and may need to be revised, but I will stress it on my own and hope that we can become more accompanied by taking up this thread and trying to develop an Icelandic economy in the direction of greening it. And thus, we will permanently reduce greenhouse gas emissions. Because we always live in a difficult situation, a stronger economy, an increase in economic growth, an increase in greenhouse gas emissions, and the best for climate is, unfortunately, when the economy contracts. [[The president calls.]] This is a subject we must face.
ParlaMint-IS_2016-09-07-148.u35	President. Of course, you rejoice that we are validating this agreement. I was fortunate to have the opportunity to be in Paris at a meeting held in the French Parliament by the International Parliament, which covered this and the conclusions made by the International Parliament. I have to say, it was quite remarkable to hear from my colleagues, members of the world, and those who have been in the climate conferences, and in experiments to set global standards to deal with the enormous problems that we face every day, which are always bigger and bigger, and almost overwhelming. There's been very little mention that the senators are on the climate conference until now. The International Parliament's Association played a major role in the fact that there were so many members of the council there, but this meeting was hung at the climate conference we had as an additional meeting, and very many saw reasons for coming. I think it is very important that this is just taken far more and deeper into the political field than has been done. In fact, it must be a requirement for all political parties that climate is part of the debate every year and especially during election year. We must stop viewing our environment as related to certain categories. I've always been amazed that it's defined as having left - to - face with the environment. I think it's amazing. That is one reason why we have been running so little ahead. In Paris, there was something that left me quite worried about the deal. Of course, this is a pivotal agreement, but it handles only a very specific problem. It was discovered that one of the main reasons for such acidifying the atmosphere was decided to go beyond parentheses. You see, it's not just cars or airplanes. It's not just the oil. No, it is also the trees that fall because of an ever - increasing demand for meat, cheap meat. This was decided to be taken out of parentheses because it was thought that this large part of the problem could not be agreed with parentheses. This led to great disappointment. At the same time, there was no reason why oil prices are so low. The use of more gas and oil, including water, has been under constant environmental control. Through ◯Fuffing, and the tragic consequences of what is called tar sand can also be seen, a method of getting up oil in Canada's Alberta states. It's almost impossible to deal with all these big issues if we drop the biggest part of the problem. In terms of putting goodbyes on a major industry and in business it has already been shown to be cheating. Since we can't take this into our communities and help people with social responsibility for the future, we're always doing a little bit and never enough. We're getting late, Mr President. If we don't do something radical, not just about laws and regulations, if we don't do something radical inside, inside every human child, then the future for our children and grandchildren will be terrible. It's gonna be terrible, Mr. President. I don't know why we're gonna make such a small space. This problem ain't going nowhere. This problem gets bigger every day. This does not mean taking into account a specific portion of the material. We need to take a look at this whole thing. It was a fateful time of 1960,1970. At that time, people had become very aware of the threat of pollution and poison, which was put into the world and is still happening. For example, animals with a thick layer of fat, whether in the sea or in a land in Greenland and in Greenland, still carry poison from the spread of poisons in 1970 and 1980. The pollution will not disappear. It continues to be part of our ecosystem. However, during this period of decision was made that has been very important. She was that as soon as global things were to be talked about and pollution was decided to go about getting technology fixed, that the technology of the future would fix the problems that were already known to bring us into the future. If it had been a way of handling this from society rather than technology, we would probably be in a different world today. Of course, we can use the technology to cope with and develop better ways, but while society is not part of the effort to deal with the marvelous vital things of mankind's life on earth, people are not likely to experience the responsibility that they have to shoulder together in the future that we are going into today. It was a pleasure to see that China and the United States have agreed to validate this agreement. Of course, we are happy to do the same. But we need to ask ourselves: " What is our view? What are we going to do? Are we just going to shovel into ditches that were once buried to create a land where the swamp used to be? That's not enough, we know that. Do we have a long - term schedule on how to stop importing unnecessary products? We can easily have a high - tech greenhouse here, using energy that way. This applies to all imports. I remember the conversation around the place at the Cradle. The main point of the sale was that it was so green and good. We were going to save other nations from using bad energy, contaminated energy. At the same time, though, it was never included in the conversation. It's moved to Iceland, all the way from Australia. Is it sustainable? Is that good? Wouldn't it be easier to have the studios there, rather than Iceland? We need to start thinking in a much larger way and consider how we really can begin to clean up, for there are few nations that will overtake us when it comes to the depth of our ecology. We'd need a lot of land if all the nations of the world were to leave as deep as Iceland's. It's too short to talk about such a big deal. I'm done with my time already. This is one of the issues that I hold dear to an individual and to a senator. We only have this earth, and we're supposed to watch over it. We're running late. Hence, each day we must spend some time thinking about how we can keep out of the way that there will be a future for other animals, for our children, and for our grandchildren.
ParlaMint-IS_2016-09-07-148.u36	A respectable president. It is a pleasure to discuss this subject here today and to see that all the speakers are female, to the end. But I know there are many men at the council who, of course, are interested in this matter. This is very important. I want to take this opportunity and wish you the highest. Secretary of state and supreme. The secretary of the environment is happy with the day and all of us taking this case to heart. I can say what's been said, I'd like us Icelanders to be even more ambitious, I like that word. I think you're right. In his speech, a minister of the environment said that there has been a awakening. Yet, in many respects we are the soles of the northern and non - northern vessels. It has to be said at this point that much of the environmental legislation we have implemented is due to the European Union's initiatives. It may not be that way today, but we took a leap into environmental matters when we became members of the EEA. It's also a very good plan as well. I don't remember its exact name, but we talked about it here the other day. The aim is to greatly increase the use of energy sources other than fossil fuels. There we find a problem, for oil prices are very low. At the same time as we know that burning fossil fuels increases the problem with greenhouse gases, carbon dioxide, we still do not have the courage to tax this environmental product. I don't know what to say, maybe we just hope that oil prices are just going to go up again so that the other things we have, though some of them, will get cheaper. I'll admit that while we're not ready to take some of these steps and say, "We're using fossil fuels, we know we're gonna ruin the earth and we're gonna take it and we're gonna take it out and we're gonna do it the way we need it, we're not gonna change anything. Today it is cheaper to buy diesel or gasoline than to buy biosilel. We've been talking about it before in this hall that it's cheaper to waste organic than to take it to molt. And while the less expensive option is the environment, nothing changes. The government's got to be afraid to take a stand if we're going to do something wrong. I'm very pleased with what the pope has spoken directly. I didn't expect to be quoting him on the II Parliament's symposium, but I find it really interesting to see that a person with that great authority should speak so plainly. It has also been observed in this discussion that, of course, our life - style is the problem in Western life. What the pope also said is that climate change is worst for those with the least responsibility. We can take various steps here, such as planting trees and shovels in ditches and driving electric cars and metal cars. All of this is important and good, and of course we should be radical in that regard. But I would also suggest that people watch only the consumers because everything we buy leaves an eel, whether they are our clothes, our phones, or our furniture, is now not spoken of the travel laws, we are never going back. Of course, all of this takes its toll. The problem may be that hands simply fall apart. But I hope to the highest. A government that may now be saying goodbye will take a step in this direction and the one who accepts will continue to take even greater steps. We can always add a little bit. There's nothing to say that we can't be making all kinds of work here and there. Environment Minister has, for example. dealt extensively with food waste. I completely agree with what she's doing, even though I feel like I'm doing. that it might be taken, perhaps the most important step in this problem, to simply forbid the practice of organic waste. It's just not gonna be an option to take the loaves and all the stuff that's out of plastic and growl somewhere. Even if it costs something, it has to get molted. Then there is the motivation for the store to reduce waste and try to get the goods out and improve the planning. It's a short time. I don't have any more to say unless I'm happy with the contract and I'd like us to take more radical steps. I don't experience it so we can't, that we can't at any time say we're going to take it more intensely. New assignments may arise. We too need to take up the discussion about our lifestyle. Do we all need these clothes, all these trips, furniture? We're buying and throwing or giving into the Red Cross, that kind of culture's running. I am very happy when I watch young people today thinking about what effect, for example. Meat intake has, in some cases, affected agriculture and the choice of agricultural products that are better than others and that are aware of their choice. When I watch the young people, I feel optimistic. I feel that it is better than we are in taking responsibility for what is happening to us. A respectable president. I'm not gonna keep this for a while.
ParlaMint-IS_2016-09-07-148.u37	Madam President. I'm glad you finally validate the Paris convention. It's been nine months since it was signed in Paris, December 12, 2015. It is important to keep in mind when discussing this synopsis proposal that it represents one of the largest issues in politics worldwide. The climate is threatening the life of the earth and us humans living here. Heat records are struck one month after the month. Climate change is being affected by floods and hurricanes and forest fires. This results in a lot of damage. People run away from their homes, which also causes conflict points. If we do not take our pride in this matter and immediately show that we are serious, we are really out of time. The objective is to increase the temperature of the earth below 2°, to allow the earth to warm by no more than 2° from the average temperature of the earth before industrialization. At the same time, however, all routes are requested to maintain a temperature below 1.5°, relative to the global temperature for industrialisation. The Paris Treaty has a greater responsibility for emissions, and it is natural that we, the richer, prosperous part of the world, contribute more. Iceland has decided to cooperate with EU Member States to achieve 40% reduction in emissions by 2030, compared with emissions by 1990. This is what we are going to do by continuing to participate in the EU's emission-relevant business systems and by determining extra commercial emissions targets by applying the same methodology as the EU state. However, it is also stated that we will negotiate with the European Union and Norway in a way that will not be achieved. At the same time, formal negotiations are beginning in the near future. It is estimated that they will be completed in 2017. The date of 2017 does not appear, but it is stated that this is a national labour agreement in which national contributions are then set within that framework that does not have to be implemented in Iceland's pay sheet prior to the completion of the Paris contract. So says, by permission of the President here in a report: In the years and decades to reach them, important work is ahead of establishing ambitious goals on climate. Madam President. How true those words are! If we look at major emissions, it's transport, ship fleet, industrial emissions, and it's agriculture. The market agreements were now being negotiated until the age of ten, and the releases are not considered. It scares me. This shows that we do not really have the ambition to fulfill the Paris meetings' goals. The contracts that are going to legalize at the General Assembly give us the opportunity to show whether or not we are having something to do with our involvement in the agreement. We also need to look for ways that after the collapse, our position in emissions improved, since people can afford to have as much cars as before a crash. This affected emissions automatically. Now everyone who drives from west to east in Reykjavík, in the middle of the afternoon, or east, knows west in the morning. Traffic is increasing. Car sales are increasing. This brings us back to the truth that the economy is trumped up. It's going great. But it also has an effect and leads to increased emissions. We need to make much more ambitious plans for the building of public transport. During the last term, rural society in the capital area made a deal with the State to get a billion people to build up on public transportation for the next ten years. Blessedly, the present government has stuck to the agreement, which is extremely important. However, the development that now takes place with increasing traffic shows that we must do better. We need to revise these plans and contribute more to public transport, apart from the quality of life that is improved by not having to sit in their cars up to 45 minutes to make it a distance of just ten miles [10 km]. So, of course, we feel comfortable driving our car, and there is much freedom, but there is also a lot of savings for people if they have access to efficient, efficient public transportation. This is a very important assignment. Then it's the fleet. They need to continue on the same path and reduce emissions. And then I think we should start setting the goal of quitting here of a major industry. We need to start building another type of work that does not unduly affect earth's resources. Rather, we need to make good use of the resources, the human. Making investments in interesting and valuable sectors and improving education are measures to reduce greenhouse gas emissions. Of course, it's indirect, but it's an investment that we have to make in order to build jobs here based on intelligence, not aggressive use of natural resources. In the United States, we are talking about renewable energy, which actually walks on another resource, which is our nature, but we also bring in raw products that interfere with life in other parts of the world, such as bixite to aluminium production. I'm glad we're validating this Paris deal, but we really need to spit on our hands and all agree that we're going to get these goals and start right away. We are going to show in our work here that we offer suggestions and measures to initiate recession immediately so that we can achieve these goals. Of course, we need to bind greenhouse gases with crops, but this is to be added to reducing emissions, for this is a key factor, reducing emissions.
