ParlaMint-IS_2016-10-12-169.u1	There'll be time for a conference at the same time. That's 1,3β-14 today.
ParlaMint-IS_2016-10-12-169.u45	A respectable president. It's a real joy that we are here at last finishing a transport program by 2015-2018. It took her some time to enter the council, but she did it. I'd like to thank you for the work being done on the environment and transport committee. I especially want to rejoice that the smaller part was heard about putting more in repairs and maintenances, as well as that the road to death is fixed, for it is a dangerous road. It doesn't take much for an accident to happen there. The road system is the basis for the tourist stream in Iceland. We need to make sure that it is safe. We do so only by improving our ministry.
ParlaMint-IS_2016-10-12-169.u46	A respectable president. I am very happy to see here an algreen tablet, an approved change form of five million dollars. K. every year for the next two years, in order to initiate preparation and research for Eelfjörður. This has been my struggle for many years and the fight of many Westerners. I just want to let myself at this moment, all dressed in my heart, thank you for this trial here. These tunnels and these urgent transport reforms and high traffic security issues have now been implemented with the approval of the Parliament. I'd like to represent the Westerns and the north side of the West to thank the Allied Council for this hearing. Finally, during the final half of the assembly, I was succeeded in making a program of public talk. Thank you, Mr. Honorable President.
ParlaMint-IS_2016-10-12-169.u47	A respectable president. The main feature of this discussion is the solidarity that has already existed in terms of the need to build tunnels on the land, link the settlements, expand the work area. It has been suggested that this has been important, especially for women who have made good use of this transportation, that tells us of the University of Akureyri. We are not only paying votes for the research of funerals between Skulls and Eelfjörður but also giving the word for research and design of terrestrial soils between Siglusfjords and Rivers. We know how important the Rockies were for the Mountain and Siglud fun. The tunnels we've already voted for, between sailing ground and river, will be equally important. What a joy it is that the council approves today!
ParlaMint-IS_2016-10-12-169.u48	A respectable president. I speak here at 3rd. for changes to bill support for purchase at first apartment. The change is reversible. paritaprevir Vilhjálmur Bjarnason proposed to the 2nd. The point is, if that change does not recur, there may be uncertainty about the interpretation of the legal bill, and there may also be considerable uncertainty about the expense that may be lost to government funds and rural society. So it is important that you follow the headings and the contents of Article 3. The bill will be restored to its original condition and these factors will stand as they were originally in the government bill. [[Up front.]] If the motion I recommend here be accepted, then the contents of Article 3. converted to its original order, thereby preventing uncertainty in the interpretation of the laws and costs of the state.
ParlaMint-IS_2016-10-12-169.u49	A respectable president. That's a new proposal that's starting from what's happening. paritaprevir Sigurjónsson Sigurvensson is very sorry for me. People take credit for what reason allows them to do. People borrow that they try to borrow as little as possible and try to minimize their financial expenses. This has been stated in the data of this case, including The basis for this loan that the U.S. Congress plans to oblige, real estate loans, is the most expensive loan on the market. People are being offered to use their additional pension savings to pay off the most expensive loans on the market. I'm simply saying, "Stupidness like this is useful to one of the stakeholders, it's useful to the stakeholder called banks, financial institutions." It is a world of Congress that takes power beyond what it has to say. The intention of knowing in this way is far beyond what any reasonable one can offer. So I see a carrier and a what. A senator and those who vote for this coming vote are here robbed of all sense. In itself, it is good to know and have a count on it here at the Hall of Congress. I'm also going to ask the Senate here and now one thing. About Three years were passed tax on banks and the stock market of banks up to 0.36%, nearly 0.4% tax on the bank's branch. Now I'm going to ask people here if they know why a pension loan has about 0.4% lower than banks' loan? That's because the so-called bank tax is just not paid by the banks, it's paid by borrowers. Here, a variety of national economists give direction for the rate of growth. I simply say that various types of senators can be viewed, e.g. such as this bank tax approved by 62 votes at one time. In that case, when one is opposed, I'm sure there's something wrong with giving a vote, then reason tells me that there's probably an unscrupulous vote, i.e. that we are maintaining growth as consumers pay when the goal is to lower interest. This is the result. I simply say, "I ask a body of Congress now to be governed by reason, and I ask a world of Congress to let the borrowers decide." The creditors can enter financial institutions, ask for their loans, and get the fees that are convenient for them, and do not matter whether the loans are so unconvinced or not. How Would You Answer? I don't know them. They are not listed in the lyrics of the Law. But it seems that there are a number of forms of unscrupulous loans in which financial institutions determine interest or guess. It's been found that these irresponsible loans are about that. six percent higher than the loans available, since the variability due to inflation is measured objectively. The General intends to have buyers use their additional pension savings to please banks with this foolishness. I'm asking members of the Parliament to be cautious in this case and to submit these adjustments. However, it was only reasonable with what was approved here yesterday. I repeat, this foolishness is of no use to anyone except the banks. A respectable president. I've finished my case.
ParlaMint-IS_2016-10-12-169.u50	A respectable president. I had thought of supporting you. A senator in the experiment that he received agreed on to the 2nd. that this incredulity on the part of the government was not limited to one particular type of loan. I am curious to know if this had not been discussed specifically in the committee and would like to ask why. A member of the Parliament on how the discussion would have taken place within the committee. It is only possible to consider a practical example during the past year because following the collective rise in terms of great inflation was expected in Iceland. Well, now that last year's growth has been at least a year. 1 percent higher than the perps. So the people who have taken securities loans during the past year have benefited because they are merely a test of inflation that controls the ideals, as it were. A senator correctly points out, banks have been able to raise their unscrupulous loans in order to develop ties and belts and defend themselves against any potential inflation that has not since become available. And the people of the country who took an unscrupulous loan a year ago, the cost has already been paid. Therefore, I must ask: Is it balanced with someone's attitude and shown by the commission that it would be reasonable in some way to give the banks in this way to ordinary people, and to prevent people from defending themselves for one - sided, random interest - making banks by taking financial loans? How far is this strangely unscrupulous campaign against insurance that really chooses to go off the side of the board?
ParlaMint-IS_2016-10-12-169.u51	A respectable president. Most of it as a dog. paritaprevir Árnason Arnason's age asked questions, not really questions to me, but questions to other members of the committee. My position was clearly evident in that committee party with a new proposal made yesterday. Actually, there was little reasonable debate in the committee on this matter. The matter was taken away from the wind. The chairman of the Committee, Sigurjónsson Siglejonson, and his colleagues who signed this intelligent committee, and I am totally free of charge. I can totally agree with that. A senator said about interest rates over a year ago, and I believe that the Council can't be responsible for such thoroughness as to direct people to the most expensive loans there are, it's just not necessary. I simply say there is a measuring of people's will. It is only the loans people have borrowed from real estate, to their credit. It turns out that the majority of people are taking the so - called securities loan, where insurance, inflation, the merit factor is measured as objectively. It's just none of my business. I just want people to get their loans. It's very simply what I'm asking for here. The cost of this matter may indeed be someone, but wait a minute, should we go to one credit plan? Where are we? I'm part of the Independence Party that can't accept this kind of overmanagement and overstance in a loan market. Let's let people take normal loans. I repeat that most of the questions have a problem. A senator is required to refer to a greater portion of the committee.
ParlaMint-IS_2016-10-12-169.u52	A respectable president. I find this very interesting from what happened. Senator. There has been no comment on the fact that material reasoning or reasonable reasoning is behind the binding of public pay on certain loans. I must say, just as it is very serious to me, if you plan to slip in here any changes that will make it easier for your banks to use ordinary people on the market with one - sided interest decisions and prevent people who choose to protect themselves against these bank decisions by taking long security loans gain the same trust with those who abandon themselves to the power of the bank. I must ask, "Why do you think so? " A senator that a greater part of the committee has been performing in this way simply to make people abandon banks with one - sided interest decisions and prevent people from having the same position in official support? We do not pay interest offerings just to those who take disloyal loans. We pay interest benefits regardless of loans. That's a very big decision. I must ask you why. A senator how he can make it work and whether he feels that it can go over his head with a party that doesn't even trust him to tax sugar but will then decide how to borrow people. Is it really acceptable for people to be opposed to their will as a result of cheating loans? Because it has proved to be the last year that the vast majority of those who are borrowing now, new mortgages, when people have the choice of both, people are borrowing in perniciously. Are these people all stupid? Is it the Independence Party's opinion that they're all idiots?
ParlaMint-IS_2016-10-12-169.u53	A respectable president. It is the easiest thing to answer the last question. paritaprevir The Árni of Páll the son of Árnason. People are smart. People make a wise, informed decision. Regarding the good Party, the Independence Party - for whatever reason. A senator is welcome to, he is a great hold in most fields I have noticed, but there is now another story -- I believe that this can in no way be compatible with any relativism of the Independence Party, and not really quite a party but a single deportation of the country called a forwarding party. It is quite simply so that during the discussion of the committee, it was impossible to find two basics in financial science, which are a crop of fruit and money, the real interest of loans by form and/or a pastime loan. There's some new science in finance, which I call Summit, where the sum of the loans is added, so obviously 25 years is more favourable than 40 years old. However, humans do not attempt to measure the basics of today's modern - day growth. So over a period of time, there was no reasonable discussion. I'm just going back to my committee opinion. I believe that it is fundamental to lend a loan trade that people are allowed to make their informed decision and that they will receive tax economics according to their power of reason, they are equal. And even if people borrow from the Faeroe Bank in Danish crowns, they have nothing to do with this synagogue here, this congregation. If the person wants to borrow in Danish kroner Bank, it's only fine because there's a free flow of capital and also free flow of credit. A respectable president. I will finish my speech with these words until a time.
ParlaMint-IS_2016-10-12-169.u54	V.E.G. President. We're here to discuss the change proposal to a bill for support to buy at the first apartment. The motion is at the 1787 Parliamentary Council and was moved by the chairman of the Economic and Business Committee, why. paritaprevir Sigurjónsson Sigurvensson. The 2nd. Yesterday's case, we voted here at the council Hall and agreed on a second-minute change proposal. The Economic and Business Committee. The proposal turned to Article 3. The bill suggested that the word "disrespect " be taken away in two places, in text and heading. This may be a negative reaction to the use of terms - as indicated in the speech of a·gaʹpe. paritaprevir Vilhjálmur Bjarnason's son, who represents the opinion of 2 smaller parts - and then encouraging saving regardless of loan form. There would have been more discussion about this aspect of the committee. First of all, there's a bill that's submitted by the highest level. Governments have not established an assessment of the effects on countries and societies. On the one hand, the 2nd issue includes the 1st issue. 2.g. The bill suggests that the rights of the court will be authorized to set aside additional fees as a payment on unsecured loans. There, by the change we agreed on yesterday, there will be legal uncertainty due to references to this team in Article 3. This change in the 2nd smaller portion we agreed on yesterday changes the nature of the case and leaves legal uncertainty. We must react, I think, and thus inevitably support the change in plans as well. paritaprevir Frosti Sigurjónsson recommended earlier.
ParlaMint-IS_2016-10-12-169.u55	A respectable president. The discussion on this subject on the committee made no sense. First of all, we agreed to accept the bill with a slight change, but this change could not be discussed, i.e. Protecting the balance of loans. If the motion I made and was approved yesterday creates legal uncertainty, it is only possible to resolve the legal uncertainty. My objective was clear, i.e. to be equal between loan forms and not allowed to do what is right. With the most expensive loans available, modern economists begin to manipulate their country's households. I'm just asking men to try to look after some sense. I said earlier: There were some in the chapters, discussing the Committee, robbing any sense. I heard that talk was what I was talking about. paritaprevir Willum Þór, the son of Þórsson, was burned to that end; she was robbed of all intelligent knowledge. We're here to help people buy their first apartment. Hv. A senator has nothing to do with the individual's loans. Nothing. That's what it's all about. I'm not going to have any more of my words, though I have a considerable amount of time left.
ParlaMint-IS_2016-10-12-169.u56	V.E.G. President. Thank you. paritaprevir Vilhjálmur Bjarnason's answer. I'm not going to reason on his good purpose with this adjustment proposal that is about to promote saving regardless of loan form. They cannot be disputed, they have every right. But at the end of a general and an opinion, I appreciate that the purpose of the bill, as it is suggested by the government, is to encourage savings and a faster production of property in its own home - that these changes may be proposed. A senator will change the case. There's an assessment of how this bill works in the state and community. A revised assessment of this would have to be made. I appreciate it so much that this is how we have to deal with it.
ParlaMint-IS_2016-10-12-169.u57	A respectable president. Once again, men are robbed of every sense. There won't be any property paying off on loans. There'll be a debt. You have to start discussing terms of sense, not as grizzly as they have been done here. When the loan is paid, the property remains stable, but the debt goes down. A clean substance called a head chair may change. It was the objective and purpose of this bill on support to buy at the first apartment. It's only a matter of fact, so you can pay on the so-called price-proof loan of the same amount of money that you might pay on a so-called indiscriminate loan, i.e. It's not easy to pay the price as quickly as possible. Maybe more. The reduction in debt is faster than in those equal credit loans, which is certainly right to be light and comfortable for people. But going to legalize the possibility that people may take the most expensive loans to make something called property - now wait. Possessions are relatively slow if people are paying endless interest. I can't have any other words than the ones I've been hammering on, let's just appeal to one thing, that's a smart loan. He is borrowing from an informed decision. Let us let him enjoy it if he thinks that so - called securities loans are more favorable than those loans that have been called disloyal but also be assured - let's just let people choose. If the legislature has gone over here, try to make things right. A respectable president. I'll finish my case for now.
ParlaMint-IS_2016-10-12-169.u58	V.E.G. President. Thank you. paritaprevir Vilhjálmur Bjarnason for a very good answer in this regard so that this discussion is much larger than the one that is being discussed in this process. It turns to the difference between insured and irresponsible loans, and we may analyze the types of loans that are available to people on the market, including those who are investing in housing. Let me utter my reasoning. I will not be cutting my tongue at the mouth. A senator for the use of terms in financial studies, saying: "Frequently pure possession.
ParlaMint-IS_2016-10-12-169.u59	A respectable president. I listened attentively to what was happening. A senator who has generally been attracted to his reasoning in some way did not understand or understand in this amazing speech. If the goal of these changes is to promote more property production, why is it that people are being discriminated against on the basis of loan forms? Why is there no need for support? The subsidence of a head seat is the same way in securable loans and insecuritys? It's possible, like what's wrong. paritaprevir Will Bjarnason pointed out earlier. You can pay back a secure loan more quickly. If the State's aim is to borrow rapidly, why not just offer public support to be granted whatever form of loan, as long as they pay quickly? To another. What is the physical basis for binding public support, down payment of one type of loan? It says that it cannot be affected by both species because humans have not calculated the effects. Who would think that a single loan form would be affected by a government fund? There'll be more on that loan plan. The Ministry of Economics does not know exactly how they will eventually be involved in cost assessment. No more than the committee can do. What has to be here is that despite choosing something else, the committee needs to support what is so dangerous with the loans that vast majority of people now choose in an enlightened way. Is all these people an idiot? A senator, everyone who's buying an apartment right now and taking oversecured loans? It is also that if a person is going to use the government to promote discrimination against the citizens, he must have some physical logic involved. We put alcohol and tobacco under pressure because it is dangerous. What is the substance of the argument that inflatable loans, which have been less expensive during the past year than disloyal loans, are so dangerous that there is a special reason to tax them? What's the logic of it?
ParlaMint-IS_2016-10-12-169.u60	V.E.G. President. Thank you. paritaprevir Páll, the son of Árnason, to the contrary. For this change, I now thought about it only that it would even lead to a bigger discussion than it was for the subject. Of course, members and members of Congress distinguish political issues regarding market loans, securities, and irresponsible loans. My opinion is that insurance is nothing but interest. Well, credit is only to the borrower's credit that he needs to put on the products he sells at any time. But there's only a much larger discussion here. The logic. It's a very detailed paper with the bill. That's what it calls "wow." paritaprevir Will Bjarnason Summit, when driving the price-proof interest back to the head chair and saving it for a long time. Then these loans behave differently, this equal loan. They spread over a longer period and therefore accumulate. This is logical in a series of articles. That's why this is a variation of the subject. The objective is to encourage the taking of unsecured loans. It's just that way in the bill of the highest. Governments. With this adjustment in mind, we are going to a new goal. That's why it changes the bill. That's the logic of this case. I think we've had a much larger discussion than the material we're looking at.
ParlaMint-IS_2016-10-12-169.u61	A respectable president. It's just not right. Senator. He avoids answering the question I asked here clearly. Like what? paritaprevir Will Bjarnason has pointed out that the loan of inflation can be paid faster. So, if that is the objective of the government, why is it not possible to tie the support of speed - paying loans? What I hear, however, is what I hear. A senator may be saying that he is above his head just against the inflatable loans and the advance party is against them, that it's just a bad case for a man to borrow. In this way, he says that all the enlightened people who have borrowed from each of the last two years are fools in the vast majority of securities. He is also telling us that it is justified to give government support in order to force people to borrow more interest from banks than they had to. I'm asking why. Senator: Did the Commission talk about how this is going to go on with the European Economic Code? Government grants are being given to banks if the government is going to repay the most expensive bank loans. It's easy for banks to charge people for high interest. Product differences are being made. They're giving banks a better fighting position, for example, by being able to lend disloyal loans, than an apartment loan that can only lend insured loans. Where is the Commission's discussion of the government developer in these matters? A respectable president. This is a clear question, and I want clear answers. If your goal is to pay off loans, why is it not the same if people pay back as quickly as they can if they pay back unconvinced loans? Why is this difference in production product? And on the one hand: With what reasoning can it be? A senator said that he knows more about the best personal loan markets in which people themselves have made decisions over the past few years? Third, could he argue that it is better to take more expensive loans, since infidelity has been more expensive than securities during the past few years? [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u62	V.E.G. President. Thank you. paritaprevir Páll, the Árnason of Avengers, to answer him. This discussion is far beyond the subject of this case, i.e. the recommended modifications, where the committee returns with the modification proposal. I'm ready to talk to it about what. A senator. He has gone into much bigger and more extensive discussions. On the other hand, I want to make comments about that language, silly language, and such. I would rather not participate in such a discussion. Clearly, we differ in the market budget, and what I and others in the forward category value about insurance. It's just that there's a lot bigger discussion than the exact adjustment proposal that took place. A senator and a boy. The head of the Economic and Business Committee spoke here. I would like to discuss that suggestion at what. A senator.
ParlaMint-IS_2016-10-12-169.u63	A respectable president. This has been a very strange thing to do. It was originally indicated to extend temporary contributions for the use of loans, but it is shown here in a kind of teratogenicity based on the opinion of a so - called expert committee. This so-called expert committee has a lot of screwed-up records and end-ups that I'm not going to trace. I've only 15 minutes to talk here. The key point is that any comparison between payment procedures is simply meaningless in the opinion of this so - called expert committee. You see, there are some pretty decent experts here at a meeting in a credit trade. This case was never discussed with me, who has been teaching finance trades for 15 years and also working in a financial market for 25 years, resulting in a total of 40 years. It is strange to hear it here at the council Hall that there is a political attitude toward loan forms. Wait, political views on growth or growth; political attitudes about growth do not take place. I made it clear, in fact, that men could hardly have control over interpolation and recovery, but when it comes to multiplication and sharing, which is based on growth rates, it is like some whales. Senators are failing everything. I simply say that in this matter, I want equality to be guarded. I'm not taking any political position on loan forms. It may well be that a person wants to build his own house by taking a running account loan, which is in the absolute rights of the world. It may be difficult to apply to the house, but it can be done with an insurance note if it can be shown that the value of running credit is used to buy property. But what about that? It doesn't matter. I've never taken a political stand, it's a method of objective measurement of the factors that interest. A series of courses, e.g. of real growth, of risk of inflation, of risk loss and of several smaller factors. These three factors are important. Happily, the loss risk is remembered, for any loan trade is expected to be paid for by the borrower. The growing and insurance laws that have become available today are inhospitable. They are required to deal with some fundamental factors, but the fact that someone is not allowed to take a success loan because he does not have foreign possessions, that is just none of our concern. If the person wants to take a successful loan and he has more faith in foreign currency, that's just fine, I'm not gonna forbid him. What I'm asking for here is equal. That's all I want. No matter what informed decision they make, I ask borrowers who decide to buy their first assets. Talking here about the denaturization of a situation, I may have made a mistake in making this adjustment proposal. In a hurry last week, I missed two places at 2 gr. This bill stands at a loan of uncertain guarantee. This may be because there is insufficient lecture on the above evidence. Those who helped me and me just missed this. Then there is nothing more to be done than to pay for the loans that have been borrowed in the past 25 years are more than half to one percent more favorable than the so - called unscrupulous loans that are not disloyal. That's the problem in people's understanding. People are being deceived here by the wrong name on credit form; and rather more than those who take the so-called price-separable loan as I have said, by objective measurement. For the objective measure, it is impossible to take a political stand. I've heard people talk here about what language to use. Hv. paritaprevir The Þorsteinn of Sæmundsson said here at an open meeting in the Economic and Business Committee that he didn't have a place to live, he didn't eat it. Look. In fact, a key to living is the sacrifice that is needed for a person to live. This is made according to a set assessment in which people will register their food prices and other consumptions, and then the mortgage will be calculated by certain rules that the European Union's Office is always trying to reach, but the wonderful effects of several candidates were observed in the European Union, where they specifically measure the Office of the European Union. I wish that this bill, as it stands now, will be fixed and elected. But I just pray that men are not declaring that there is a political view of loan forms. It's a strange politics. I've never understood that political bitch. A respectable president. I'm not going to have any more of those words, and I'm just going to leave it to the senator's common sense. Thank you.
ParlaMint-IS_2016-10-12-169.u64	A respectable president. You cannot ignore the discussion presented here. I'd like to start by saying that I don't support the bill that's here for a vote, for support in the purchase of first estate. I don't think that's going to reach the purpose I think there should be, i.e. that if we are going to support young people buying at the first apartment, everyone should sit at the same table, to the extent possible. In the bill, a tax charge that people can get to buy at the first place comes from the income they have. Thus, those with a higher income can obtain more discount and, as it were, more government grant than others. That's the main reason why I'm directly against the bill, as it shows. I believe it is the same as the other actions of this government when it comes to paying discounts or using the government's funds. This is done in a way that benefits those who have it better than the others. That's the main reason I don't support this case. On the other hand, this case is presented along with a change in terms of growth and insurance; I think that was no. 817, but this case is No. 818. It simply forbids people, if they are 35 years old, to take a 40 - year loan because when they are 35 years old, they may not know if they want to owe longer than they are 65 years old. I carefully reviewed that bill in a speech and I'm not going to repeat it here. But it was the political promise of the Progress Party before the last election to eliminate insurance because there are people who believe that insurance is a special political issue, not a unit of how prices change in the country. In turn, this bill puts people in line to buy their first apartment and strengthens the more money they earn because they can save more. Then, too, they should be directed into what the Agency says is bad business, and that is an irresponsible loan. But it has been found that over the long period of time, it is an unscrupulous loan, and it is shown in my committee's article "No. " 817, not good enough. They grow bigger than insured loans. That's what history shows. I want to quote it as well. paritaprevir The annual report Páll Árnason made this point: The view that irresponsible loans are more favorable than securities has recently been made, when people consider it further, has awakened to the fact that they are now taking much more responsibly than perjury. Despite all the discussion. You see, you're absolutely right. paritaprevir Will Bjarnason says that insurance isn't political. Price insurance is a litigation. If a person wants to have some opinion of the language in which he or she is in that category, they do so in this matter. But this shows the folly of this case from a til Ö.. I'd like to reiterate that the reason I'm opposed to this is because it assumes that those who have it can have more support from the state than those who don't have it as well.
ParlaMint-IS_2016-10-12-169.u65	A respectable president. I am moved to get involved in this discussion to explain my position on this matter of opinion and to explain how I understand all of this. I feel that this has become a little fuzzy and needed to look back into this song as it is available to help me understand what is going on. First, I'd like to reiterate that we in a short future have a dog's head against this matter that we've revealed by being on the yellow button. We can't support this. We feel that the bill does not cover its targets in supporting people who really need help to buy their first apartment. We believe this bill is meaningless. That attitude has not changed. But here's a matter of opinion. I'm basically in agreement with what's going on. paritaprevir Vilhjálmur Bjarnason's son, it's ridiculous to expect to bring a witness to the borrowers when it comes to insured or disloyal loans. In many ways, these are two sides of the same coin. We have to face the fact that as the economic regime has been in Iceland in recent decades, and maybe it's a little far in the country that we're going to make it to the surface of a permanent stability, though it's certainly a racer of No. One, two and three, has greatly benefited the credit for borrowers and has guaranteed them against high prices. If we ever make it to a level of lasting stability, the insurance will be over. The enemy here is unstable. I'm just saying we don't have to go to law school because we're trying to make sense to people on this year's visit whether they're going to be disloyal or insured. I am totally against the other bill, which was recommended at the same time, to limit the right of a particular group of people to take a secure loan to 40 years of age. I don't think that bill makes any sense. On the other hand, I feel that this is a major flaw in changing plans. paritaprevir Vilhjálmur Bjarnason's son, who was approved here yesterday, was to represent only 3rd pars. It is where security loans are taken out; however, the whole environment is 3. specified in Article 2. and it specifically discusses disloyal loans. Thus, a change would be needed. a bit much if you want to take out this distinction between indiscriminate and incriminate loans. Then I feel that it is important to correct, I don't know if there is a misunderstanding or a misunderstanding in my conversation, that in the bill, people are not expected to take the additional pensions into account on the price-settling loans. Two. b It is said that tax can be paid on the head of a loan guaranteed by a deposit at the start of the store. Of course, that is also true of insurmountable loans. So, there is nothing to rule out in the bill on insurmountable loans. I don't think it's the right thing to say here in the discussion, I think I've heard the right thing, that it's something to be courted by people who decide to borrow money that's insured. That's not true. There's a warrant for paying off on the head of securities loan and the insured loan in the bill; there's also a specific authority to pay off the payments on the unsecured loan. It is based on the argument that credit payments are usually higher than credit rates. I agree completely with that. But I think it's a little weird to be giving the banks a government scholarship by the state's going to pay off payments on the expensive loans. I would think all of this should go out, with the presidency that I don't support this bill, but it would be the very best to have it simply so that the collected benefits can be spent to buy at the first apartment and/or to include the fee on the head chair of a loan guaranteed by a bet at the first apartment. Period. There is nothing to offer to pay off, especially on irresponsible loans to try, on very vague political grounds, to direct people into loans that are more expensive in many ways. The bill, however, requires more comprehensive modifications than what. paritaprevir Will Bjarnason proposed that it be as I have described. I just wanted to say that I think it's a misunderstanding to say that the plan will not be useful to those who take securities loans. It will. And then this principle that I don't think it's wise to pay off the unscrupulous loans in particular, thus distinguishing between insured and irresponsible loans. I don't know if I have anything to explain this case, but I felt the need to describe it, at least try to experiment with it, how I understand it. Still, my stand and my future remain unchanged. We want to recall from this bill, and we're not going to get any more involved in this interesting debate between the members of the Congress on lnsecure and Insecure loans. We think the bill is basically meaningless.
ParlaMint-IS_2016-10-12-169.u66	I'm just coming up here to review what we're paying votes for. In other words, we are undoing the change as a matter of course. paritaprevir Vilhjálmur Bjarnason proposed to the 2nd. The point. If that change is not reversible, there may be uncertainty about the interpretation of the bill's law, and there may also be considerable uncertainty about the expense that may fall on the state funds and businesses. That's why I suggest we call back that change. That change would have to be different in shape if she had reached her purpose here yesterday. But if this suggestion I recommend here is approved it will be Article 3. transformed into its original form, thus preventing uncertainty in the interpretation of the laws of government costs.
ParlaMint-IS_2016-10-12-169.u67	A respectable president. We're here paying a vote for a bill for support to buy at the first apartment. This is a matter in which the government's obvious policy of making common use of taxpayers is being made clear by different income groups. The result is that they gain a higher tax rate than the earners and thus a higher percentage of government funds in housing support. This is not the first case where there is an increase in discrimination and inequities in society. This is a problem - building bill that has been criticized in a number of ways. It is critical that housing markets are not addressed as a real problem. The members of the VG stand up against the case.
ParlaMint-IS_2016-10-12-169.u68	President. When it comes to taking overall care of the situation, it needs to be taken overall. Pirantics do not view this matter as an emergency in the lives of very many young people when it comes to getting out of parenthouses or from a rented market in certain areas of the city is unacceptable. That, in fact, is shown to be the case. the business plans that it would have been nearly to address the problem, which is an unfavourable remuneration of the younger generation. It would be better to set up an action plan on that subject rather than add another support system to the housing sector, as stated in the Commission's review. I must agree that there is a lack of collective surgery here, and we are in just some small-dose medicine for the group that may need to know how much this is said. That's why the Piranians are going to lay down against it.
ParlaMint-IS_2016-10-12-169.u69	A respectable president. This case solves no problem but continues the government policy of bringing money to those who are in least need of a housing market, such as all its actions in the market. If you want to support your first buyers'apartments, you will find that the growth reform system is the most suitable way to provide support for those in need of it. Of course, it is tragic that we are here to confirm the support of the 1,400 you have. K. in a month's pay of special government grants to offer higher to apartments they can already buy. It's so easy to get everything together that here the administrative point is trying to wind up from the reasonable change adopted yesterday at the instigation of the year. paritaprevir Vilhjálmur Bjarnason's son is not showing favoritism when he receives this official support based on his choice of loans. No, no. This is where the superintendents are going to move on and arrange matters so that those who choose to take a high - price loan that is much of the buyers today will not receive public support, while those who are willing to give themselves over to the banks and take unsecured loans in order to pay the banks even higher interest. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u70	A respectable president. As I have described before, a bright future has been open to designing ways for people to use these savings, the extra pensions, in different types of savings. Here's your basic thought. On the other hand, they make clear on this bill that this resource is of primary value to those who might claim that no special assistance from the State would be needed to get a roof over their heads and be very useful, if anything, to those with little income and who have real problems getting a roof over their heads. That's why this bill is useless. That is why we cannot support it. That's why we have a dog's head in this case that we're showing with the yellow button. On the other hand, if there were any other actions that would be remembered in addition to these provisions, people might be able to buy their first apartment, which would be specially designed to deal with those with whom the predictable earn little income, then the matter might have a different attitude. But that's not the way it is, so we're still yellow in this, and we're also about the changes that have been discussed.
ParlaMint-IS_2016-10-12-169.u71	A respectable president. It's a pleasure we're finishing this case. We are to help young people find housing. The system that has already existed has encouraged people to make a debt. It is absurd to listen to the parties here to say that discrimination depends on how much government power a person gets. That's how it's been in the growth reform system. [[For example: Well?]] Governments have encouraged young people, especially those who speak against them, to make a great debt of debt. We're turning around. We encourage people to save. [[For example: Is that right?]] Let's help it have. It is interesting to see certain politicians and political parties fighting against it. It'll be remembered. This is where socialists expose themselves completely. [[Up front.]] They do not want young people in that country to have their own home. That's why they vote against this. [[The president calls.]] Of course, we support this great deal.
ParlaMint-IS_2016-10-12-169.u72	V.E.G. President. This is a very positive bill to discuss support to buy at the first apartment, which I support as a whole. People are short - lived and buy their first apartment. Of course, the bill does not solve all the problems, such as the lack of supply in a housing market, but this is certainly a very positive support. I'd like to, in view of the discussion, that there's a difference between the loan forms point to the B- team 2. It clearly states that pricing can be arranged on the head seat of a loan guaranteed by bets in the first apartment. It's right there. We also vote for a follow-up of a change proposal which is inevitable to go in and blow off the second-part change we agreed on yesterday, because it lacks assessment of the impact of the proposal and denatatively alters the objectives of the bill.
ParlaMint-IS_2016-10-12-169.u73	A respectable president. It is remarkable to sit here and listen to the government's opposition to talk about all that this government has done in housing is of the evil. Four prime cables were provided at the spring meeting, in general apartments, rent rents, and other prime bills from the highest level. Social and housing minister, in good terms from the welfare committee. To speak as if nothing was done for people in the housing and rented market is natural, respectable President, I'll let myself use the word, empty shit. The so - called senators have not only been in a council hall and have been observed. [[Up front.]] This bill, however, is designed to give people who use their special savings as an opportunity to pay, to save, for the first time, for their first payment; second, in order to pay on one of two, insured, or inaccessible loans. Therefore, there is no difference between individuals and those who take securities or cheating loans. The bill has a clear, decisive profile. [[The president calls.]] This is a progressive step, a step that allows young people to save and pay on their first apartment. I rejoice in their manner of life.
ParlaMint-IS_2016-10-12-169.u74	A respectable president. The growing aid system directs government support to those who need full support because they have moderate income or low and small possessions. This new system of Independence Party directs government support to those with the highest income and best in the community. That's justice on the head, a respectable president. We should not spend tax dollars to support those who are well - equipped but use them to improve the living conditions of ordinary workers with moderate income and less income and those who do not have property and who are able to save themselves in a housing market.
