ParlaMint-IS_2016-01-28-69.u1	There are: Social and Housing Ministers and Environment and Resource Ministers.
ParlaMint-IS_2016-01-28-69.u26	A respectable president. There is no chance of communicating with a man or a woman. A senator if he doesn't listen to the answers. I agreed with what he said about a vacation shop deal with Japan. I don't know if I have to write a letter to why. The senator can then discuss these things as they come from me. There's no debate about that. I also mentioned that I had recorded this and, by formal or informal means, got the result that there is no interest in the Japanese, but we are to use every opportunity we can express interest in a vacation agreement with Japan. I don't know if there's anything else I can say. I commended you. A senator for honesty when it came to the EU and urged him to report this. I'm telling you, more dignified President, that the case of the people who want to walk in the EU has not been in this way and therefore I encourage them. A senator to explain to the people who have been lost because they have not received the correct information, to inform about the kind of thing already involved in business. Hv. A senator rightly described that the EU had not been particularly famous or known for fighting for a vacation store in the world. I got it. I got it. A senator to inform people about this. I don't know how much to get up and say good - bye. A senator for the counter, but I'm going to continue and encourage him, because there's a lot of misinformation in a general discussion about the European Union and its business policy. Hv. A senator who knows the matter came here and confirmed that the European Union is hardly a person fighting for a vacation store is a toll alliance. If we go in there, the prices will go up on our lips, because then we'll have to pick up customs that we don't have now and all the vacation contracts we do will automatically fall out, including the free shopping deal with China as a matter of course. A senator ran out as high as he could. Secretary of state.
ParlaMint-IS_2016-01-28-69.u27	A respectable president. Thank you. A chairman of this fine report, which gives us other members of the Parliament a fine perspective on the activities of the Council Committee of the EFTA. One of the most interesting points is the discussion of the U.S. and the European Union's vacation talks called TTIP, which is called informal. It is an interesting attempt by two continents to work together on the project to increase the world's free trade. It says that the Council of Congress has met with members of the United States and its stakeholders and negotiaters on the part of the United States. It can also be stated here that the United States has taken the initiative to provide information to the EFTA states, at least for employment life in the EFTA countries, and has invited a business organisation, including Iceland, the American-American Business Council, the Labour Association, and others to special information conferences on these issues. I'd like to ask you what. paritaprevir Guðlaug told Þór Thor Þórðarson: "How does this information look on the European Union? The report lists meetings with members of Parliamentary Committee and Ministers of EFTA. I wondered if the Council of Congress has received direct access and direct information from European Parliamentaries on this matter.
ParlaMint-IS_2016-01-28-69.u28	A respectable president. Thank you. paritaprevir Andersen's victory for the answer. That's right, so I didn't get in my speech earlier, I think I did it last, but I'm sure it's going over again. In the meantime, the European Union did not allow the EFTA countries to be informed despite the need for this. It was the Americans who did it. It was a little strange in all this cooperation on the European scene that Americans would be willing and willing to inform the EFTA countries about what was going on, but not the European Union. During our trip to the United States, I asked about extra business. Then the representatives of the United States viewed it as part of a bigger matter, and they wanted as many kingdoms inside as possible. The European Union official at that same meeting made it difficult to answer that there was no conclusion on this matter; he was now not even in a platform to get the questions. It was not that men were ready on the part of the EU to make a commitment to allow more people to enter. We've always been asking about this and getting different members from the European Union, who come to answer these questions, as well as ask the minister on these matters. But in recent meetings, the European Union's attitude has changed. As the situation is now, they will formally inform the EFTA countries, and then I'll just refer to the last meeting we've held because we've had a general rule of recording these matters all the time. For obvious reasons, i.e. of their size, has not been complained about how the European Union treated the EFTA countries, as it was here some months ago or lost since.
ParlaMint-IS_2016-01-28-69.u29	A respectable president. Yes, it is very important that the EFTA countries get information about the situation from both sides. At least I encourage the National Parliamentary Committee of Iceland to make it more difficult to push. However, on the other hand, in terms of the free business negotiations, the nature of vacation contracts is very different. They are widely distributed, dealing with customs and other factors. I'm not gonna make customs into publicity here. But one of the most important things in this contract is the effort to achieve an agreement on mutual recognition of standards. It is often a problem with free trade agreements or tollabanda laws, however, that men agree on one system. On the contrary, they are often trapped in a single system. Therefore, it is a pleasure to conclude that this contract, the TTIP talks, should be aimed at agreeing on mutual recognition of all types of standards. I wanted to know what. A senator might comment on the position of the EFTA countries up to this point. Is there a difference between the individual EFTA parties'judgment on negotiations? And if so, is the difference mainly in agricultural management, because we know that there is always a problem with agriculture? But apart from this, is there a big difference between the EFTA position of the United States and the European Union?
ParlaMint-IS_2016-01-28-69.u30	A respectable president. We can't be happy right away because of what we're doing. A senator pointed out that the negotiations went on to conclude that there would be mutual recognition of standards. There are two schools. That's the way it is, and I agree with it. A senator says that that's the way you want to see it. Then there are also the ideas of just keeping standards, and that, of course, is a very dangerous idea. It's bad enough as it is today. There's a lot of options. There were a series of business barriers that were broken down when men started taking this thing away. But I think that me and what. A senator would agree that this has gone too far and has ceased to be a business opening and was rather restricted from everything between heaven and earth. But we can talk about it later. That is not the conclusion. With regard to the EFTA state and their position, I would say that Switzerland is the country that had the most experience, decades - even hundreds of years of experience with these matters and that you feel that they are approaching this very practitiony from their viewpoints. The Norwegians have been discussing this more than we have, making more reports and assessments than we have, and discussing this more, apparently, in public. Based on what we can see, people wouldn't be worried about all the same, however undiminished, because, for example, they would get mutual recognition of the station, it would be an additional opportunity for our company to move out into the America market. However, they are concerned about the fishing road. They are concerned that American fishing exports can import customs into the European market, but Norway will not be able to do that. But the big thing is, I think everyone is aware that we have to be involved in this kind of thing. They try to get their views in. Hv. A senator named the agriculture, but the EFTA countries have, at least with agriculture in their own states, been rather protected. [[The president calls.]] But we can't avoid it, all the EFTA countries that have exported, to participate in this. I think everyone is aware of that.
ParlaMint-IS_2016-01-28-69.u31	Mr. President. I want to thank you. paritaprevir The Guðlaugur - given speech of Þórðarson, once beautifully seasoned by his personal opinions on various big relationships, certainly has been very important in world dealings. I'm gonna go a little bit before I discuss this matter with EFTA to kill, which I really like, a vacation store with Japan. This matter has been presented in three councils, and there has never been a lack of support. In fact, it has come to such an extent that the matter has been settled by the State Department of State, which has been here, in a totally incomprehensible way, remained unacquainted, even though there was not a single person against it. I've never understood it, and maybe that's the way it is, and it's because of what happened to him. paritaprevir Guðlaugur told Þór Þórðarson that the government and possibly the European Commission were not interested in making a vacation deal with Iceland. That may be, they have much less interest in it than we do because their import into Iceland is much lower tolls, in most cases, large groups of products, no one, while we pay substantial tolls of our main export. A small country must always stand firm for its interests, and it is not enough for me when ministers handling the executives work on such matters with an hanging hand because it may be that this opinion has been proposed on behalf of the Japanese that they are not interested in the case. I know what it's like. They have not proposed much interest in this matter, but a small kingdom is supposed to be like a leak, never to stop working for its own interests, and the drop breaks the stone. The suggestions on the subject have pointed out that this year in the hands of a luggage, 2016, is important because it is the anniversary of dealing with countries, and such years are often used to break up other relationships. What better than to do so by accepting a free trade contract between Iceland and the country, in this case, Japan? Second, as a result of exposure to the South China Sea, Japan after World War II has not built up any military power but feels that its various security obligations are threatened by strong neighbors, China, then Japan has sought special ties with the NATO state. It is proper to recall that Prime Minister Shinzo Abe came on a special visit to NATO headquarters directly in order to seek closer cooperation, which, of course, would involve some kind of hold of the Atlantic alliance. It simply matters that we are founded on it and have a voice there, even having a vote in the event of it. Although there is a small kingdom, we certainly have many things to do. It should also be noted that according to the definitions of countries they themselves have proposed to negotiate free trade agreements, it is in the first place a large government law and a state of great resources. For 30 years, we have had extensive contact with Japan. In cooperation with Japan, we have built up our energy industry. Nearly every turban found in Iceland is Japanese, funded by Japanese loans. The system, however, has been that way with the Japanese people that they have not been interested in any free trade agreements. They have been confined, and it is only with the first favour of Prime Minister Shinzos Abes that it will be altered when he puts his samurai view of the future of the three bows and arrows, and one of the arrows he was to have just rode off his bow cord was increasing a foreign trade. That's why countries are standing in line to reach commercial agreements with Japan, but Iceland is nowhere. There seems to be no interest in it. There is only one executive of the Commission, Sigurður Ingi Jóhannsson, highest. aquaculture and agricultural minister, who has stood in the facility there and has done so well. Others have had little to ask, even though they have gone to Japan and received Japanese stewards. I recall that when the assistant minister of Japan, Makino, and all members of the council met with him, he was amazed at the determination of the position that was committed by all members of the council on reaching a free trade agreement. He told them at a meeting that he had not responded to that position with the Icelandic advisers, so we can make it clear. It's not enough for me to put it as an excuse, as heard in a talk earlier, that it was not of interest in Japan. It's always that way when you start making contracts, especially if it leans on another, it makes a point. It is part of negotiation technique, and then you continue to play your arguments and use the weapons you can use. This was about Japan, Mr. President. I'm like a whisk. One prominent speaker was once a great amateur for free shops. In fact, I believe that there is a special connection between evolutionary cooperation and free trade and that no developing partnership is as good as giving free shops. I believe that nothing can support and improve the interests of the African poverty - saving countries rather than try to get them out of the way to get their product on the market with better - born countries. In this chair, I have often said that I believe that it is one of the biggest vices in the European Union how it has reacted to such a situation. We, however, have not, have not. We have a very remarkable business deal with countries in Africa, which may not be of great importance, but it is symbolic of how countries in the Western world have stood up and, in some ways, ran the road there. During the last term, as minister of foreign affairs, I put great emphasis on free trade agreements. We began one six new contracts, and we completed very important vacation contracts. We've completed a deal like that. A senator reviewed earlier, a vacation shop deal with China. Recall that there is one of the two-sided contracts that the EFTA has made that was the first two-sided deal made. There was also the end of a free trade deal with Hong Kong, China. You, too, with Serbia. We made a deal with Ukraine, we made a deal with Malaysia, Vietnam, the Philippines. We took our first step regarding Myanmar. Because I missed the same talk. A senator - and not to be understood, so I have questioned his good will, and I have personally seen it as a foreign secretary's meeting with him and other Icelanders abroad on this matter that his mind and bones have always followed this effort - I cannot help but ask. Senator: What is the current executive of the European Commission doing in this regard? What are some of the issues being fought for a vacation store in EFTA? Hv. A senator named Mercosur. I don't remember that in the past three years, Iceland took the initiative in EFTA to find any vacation contracts as usual. One of the greatest vacation deals EFTA has ever made is the agreement with China. Where did that deal begin? It began here when Icelandic senators met with Canadian members who came here because of the link between Western Icelanders and ours. It was the source of the Canadian vacation contract. I'd like to ask them what. A senator, who may be involved in other aspects of my second discourses: What is the outcome of a free trade deal with India, has no news of it? Second, what's going on with Canada's vacation contracts as high as possible? Secretary of State at the time? Well, maybe. A senator told us about this? I'm not going to go over it any more, but I miss the emphasis on these issues in 2009 and 2013. You're right. A senator said that I was completely guilty of doing the work assigned to me by the General, applying for involvement in the European Union. But I didn't let it go with free trade agreements with other countries, so it's totally clear. I feel like I've been completely forgotten in the past by this government, and I encourage the fighting man of free trade, right? paritaprevir Guðlaug has given Thor Þór Þórðarson, to lend to those who want to take up this mark of their weight and give the government access to it, just as I am sure he will use his position inside the EFTA Committee outside the country to do so too. [[The president calls.]] The Icelandic government needs to be registrated with its slugty in terms of free trade agreements.
ParlaMint-IS_2016-01-28-69.u32	A respectable president. To answer this question regarding India, the report on page 12 shows that the EFTA Free Trade for India has been down since the previous part of 2014. Then elections took place in the country, but India has now declared itself ready to continue. I just agree with what. A senator said you'd wanted to see things go faster and better. I think I've taken it up at every meeting of EFTA since I started working there, which was a long time ago. This is shown on page 22. 13 That there is a future reconnaissance of the same subject with the hope that formal talks can begin in the summer of 2016. The EU Convention on Canada from 2014 is far more comprehensive than Canada's agreement with the EFTA countries, so there is an updated effort to ensure the competitiveness of EFTA towards the EU in Canadian trades. The article then points to the beginning of a conversation with Mexico. I just agree with what. A senator on the Japanese case. These are huge interests for Iceland, and we're supposed to do what we can to push it and good if what you hear is wrong, that the Japanese are not interested in making deals with us. I trust each other. A senator in it. I've praised you a thousand times. A senator for his contract with China, on the other hand, interesting, and what. A senator is sincere in his desire to fight for free trade agreements. He did so during the last term, and it would have happened to himself if the government's purpose to get us in the EU had been followed. I got it. I got it. A senator to stop this EU-access, where our interests are not. Well, let's get together on that, as we may be able to increase Iceland's vacation and EFTA countries.
ParlaMint-IS_2016-01-28-69.u33	Madam President. At least we can hug each other, me and him. A senator, over a second talk. Senator. I am very grateful that he takes back his support of Japan in a lengthy way. I wouldn't be here trying to put myself in the front of this case unless I feel that there's something I'm interested in. Senator. He's following him, and he's having effects that I don't have in the board. I feel like I need to give the highest. Secretary of state is holding up this matter. There has been no particular interest in the government in this case except at the highest level. Secretary of the sea. In recent years, I've been asking, but also sharing in the discussions about the foreign minister's report, and consistently taken up the need to update the Canadian deal. There's not one of our favorites here, it's the job life that wants it. It has been reported that it was to be completed before the end of the last year, in fact, once before the end of 2014. Is there any hope that you will ask. I know why. A senator goes hard for Iceland's interests in foreign fields, I ask him to do so on national level as well. As is the case with Mexico, and I shall rightly have also been prepared for some time, that the treaty must be updated with Turkey, just as well. paritaprevir Andersen pointed to it earlier and discussed standards here. The previous generations of these contracts may not have dealt with the factors that are even more important to us today than outright low - level customs. I think it's important to come out, as well as I stress that you don't realize that there's a lot to do with EFTA exactly now, i.e. Director EFTA, for new vacation contracts. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u34	A respectable president. I agree with what. A senator says that these matters cannot be done quickly enough. The nature of the matter, according to the Senate Committee, provides political support for these institutions. I think I can agree with everything. A senator said of free trade agreements and their status. Of course, we're supposed to take more advantage of ourselves. I accept it as an encouragement when it comes to it. A senator says we should put it to work, and the man standing here is more in this room, and press after this. I will. I'm leading to the highest. Minister of the current government. I have felt nothing but great understanding and his interest in these matters. A discussion of the matter between us during informal meetings may have been more common in other countries. We won't discuss these matters much. I've moved it many times, but it's never been the first Senate case until the fall, and I thought of what way to go in it with something called Iceland's business policy. The Economic and Business Committee has not been a fool to finish, despite the fact that all the narratives and everything else have been ready and so is the case. It's a big foreign business, and it's a big deal. It's totally ridiculous that we don't have a defined business policy we're discussing. We are fortunate enough to guide all of this, and there is little in the foreign affairs that has more interest than business. I'll put this case back into the council, but I have to admit, there's little in the case. A financial and business committee has not been able to complete the case in two if not three recent Parliaments. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u35	Madam President. I got it. I got it. A senator for the honor of a financial and business committee. I don't think he should drop his dough and recall that once during the last spring, I tried to encourage him to complete a suggestion against another committee, which I thought he was struggling with, but later came out, caring for the environment and perhaps the man who sits in the distance. You're absolutely right. According to one U.S. senator, EFTA is an enormously powerful tool to break and clear up the way for our interests in a foreign business field. IF THERE have been very good for us. It's like with other institutions, that people always have to stand in their place and encourage the smart. It's very important. Iceland can take a lot of initiative within EFTA, both of its members, but also within the Council of Ministers of EFTA. That's important. These are very few countries. Iceland probably does not have a place in any other government or government, since it can have the same effect. It was simply so that during the last terms, many treats were completed and others rejected. Some of them do not necessarily provide significant benefits for Iceland during these years, but these are countries that are estimated to be strong through the development of time and may make a powerful market for Icelandic export, such as. from agriculture, especially, and that's what matters. We made a vacation deal with Florida, Hong Kong, China, Ukraine, Montenegro, Serbia. We set off at Thailand again, started other talks, and you're a little surprised now that the end of the season is that you see very little happening under the hand of those who now hire EFTA, and there Iceland must look at her share. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u36	Madam President. There was only one point that I could not break up and that I could not learn from my first talk. It was our personal interest in the United States as well as in the possible agreement called TTIP. paritaprevir In his speech earlier, Gudleful Þórðarson said that people would expect to be completed at some point in 2017. Now I may not be as optimistic as the outcome of that contract. paritaprevir Gullish Þór Þórðarson. However, I agree with him that this is a change that could be of great importance in business between Europe and the United States. This will not be just tolls that will, in some cases, severely decrease. What I think was far more important is that point at any given moment. paritaprevir Andersen's victory killed on here earlier today, i.e. conformity standards. Although the most difficult obstacles are technical, there are sometimes a much higher wall against the normal flow of commerce than the toll barriers itself. This I think may lead to a significant benefit from this contract. Then you say, "What about Iceland?" What's Iceland's position? If so, we need to first consider why we are in charge of using EFTA to negotiate free trade agreements. Yes, we are outside the European Union, i.e. The states there, and our contracts have, at least In the last 15 years, to a growing extent, we are evening the competitiveness of enterprises in these three countries against companies that they compete with in the EU. To that end, this is of vital importance. In turn, if we make a deal between the United States and the European Union and become a big vacation agreement, we will be aware that if nothing has to be done, they will compromise the competition between the European Union and the enterprises that work within the EFTA Union. This simply means that companies they compete with in the European Union will have a better position for the market that is found in the United States. That is why it is of vital importance that we work to achieve some kind of position in order to balance this difference. Note that countries that are not involved in these negotiations vary in ways or are considering different possibilities. Turks, which have basically been from a century ago, are saying, as an application state, that the European Union, for example, has wanted to be involved in the contract in the force that Turkey is a NATO state and an application state. It's reasoning that men can stick fingers in and I'm not going to go in, it's not perfect. On the one hand, there is a way to go. paritaprevir Gulgiful Þór Þórðarson mentioned earlier, that this contract would be added to the population of Icelanders. I'd like to ask them what. Senator: Does he know if the Icelandic government has a formal interview with an appropriate party for Iceland to be added to this agreement? I'm sure it's going to work. However, I say: In this situation, it is a stone that needs to be claped and no one should take no for a valid answer, as if it should not be hampered by a holiday deal with Japan, although in the first step Japan, Japan does not necessarily blink. By the way, for me to take one of the appendixes here, Madam President, regarding Japan. Obviously, we may not be invited to say no to Japan if we formally wish for vacation business talks when we see that they have not treated us properly in all ways. We, for example, are the only state in the North, who has not had an air travel contract with them. That's what matters to me. So I'll come back to TITP as a boy. A senator mentioned the third possibility, i.e. A free trade deal with the United States has been tried by both the former government and the government there before it, as well as by the previous ones. The fact is, America is not interested unless it comes up with certain benefits of importing agricultural goods from Iceland and that's not possible. [[The president calls.]] Icelanders have not wanted to. Counts 'em out. A senator that there's a realistic chance of reaching a vacation store deal with the United States?
ParlaMint-IS_2016-01-28-69.u37	A respectable president. Hv. A member of the congregation discussed many aspects of the talk, and I thank him for having a share in this discussion as well as at the same time. paritaprevir Andersen's victory. I think this case is of such magnitude, Iceland's business policy, that it needs to be discussed. Iceland's business policy is all about the EFTA protocols, the free trade agreements and, of course, the EEA deal. I'm not going to scold the individuals who are participating in the discussion in a perfunctory way that both have. However, members of Congress made it clear that we are just three who have participated in this discussion of the nation's immense interests. These are huge interests. It's impressive with the EFTA, Switzerland, Norway, Iceland and Liechtenstein, as different countries in one part of the world as I think they can be, but they have two things in common. On the one hand, they are rich nations, and then it is relatively short since they were all very poor. Without access to foreign markets, all these nations would still be poor. Hv. A senator referred to development aid, and there is no doubt that the best thing to do in development is to let these developing nations into our market. There is no doubt about it. One of the reasons why I have very little love for the European Union is its view in these matters. Hv. A senator came into a vacation contract and the United States, and I'll get to it, I'll answer a question why. A senator with regard to his dealings with the United States and TTIP. There's a lot in the United States, and we get regular reports about it, but it's the only superpower in the world, and it's totally incomprehensible how we've signed down government officials at the State Ministry of State all over Europe like nobody's tomorrow, but in Washington, where's the only superpower, we have two dipolamates, excellent dipolamates. But America is a great empire. We've got our interests down there and it's totally incomprehensible how this peculiar EU Hall is in foreign service. For example, most countries are making good use of them in an organized way. I am referring to the northern countries, and developing special contact with people in the United States who should be traced back to the northern countries. We have a very close relationship there, one fourth or fifth of the nation that moved to the Western world at the time of the turn of the century, as the western voyages were divided between the United States and Canada. We're closer to the Western Icelanders in Canada, but we should grow closer to those in the United States. These are many people who are well - versed in government and politics, and it would be a great help if we were in good relations with them because the decisions are only a small part of the government system. Among other things, they lie with elected representatives and especially with the Bible writers. I feel that we have shown in this, like so many other childliness in the Icelandic foreign service. Hv. A senator referred to Turkey, but Turks believe that they are in a very bad position about TTIP because they are in a tax alliance with the EU. They say, unchanged, we're not allowed access to the deal. There will be nothing more than for customs to lower American products into the Turkish market, but we will not be able to get the reduction in the United States. We are not in a union with the European Union, and therefore we are not in that position. I specifically thought that I wouldn't worry about it, the biggest worry would not be that we wouldn't be partners with TITP. Why? Because, like a whale. A senator mentioned matters. paritaprevir Andersen's victory mentioned, and I also went over it in my story, that it's not even about customs. It's about technical business barriers. Some products are not about to be produced. As far as I know, one Icelandic car has been manufactured and it was 1977, and we're not even about to fall into that production. But it's completely annoying that we have to pay a much higher price for American cars than we would have to do about some technical business ventures in the European Union. Then what happens if these contracts are reached? I just agree with what. A member of the council in that way does not necessarily mean that it does. True, I think the reason why the European Union is dealing with these issues is urgent. In the European Union, the situation is such that they have to do this, not because they want to. If they'd wanted a vacation store like what they wanted. A senator pointed out that they were not famous for wanting to do so would no doubt be the second round of the WTO International Business Agency. Not because the European Union has opposed it, but because they have not driven it forward. They have not followed the United States in this. The only times that have been made some serious contracts in that field, whether it is GATT or WTO, have been because the Americans have taken the initiative to follow it. One was hoping that the European Union, this big business block, would be involved, but they have been more reversible. As a result, Americans go their own way. However, I think most likely because of the European situation, people will not be able to avoid it, they will not dare to make that agreement on the European Union at some point, simply because of competition in the areas mentioned in Asia and the Pacific. As I mentioned earlier, it would have been impossible decades ago, relatively few, that Americans had begun making such agreements on the Pacific side, they had always begun the Atlantic. But because of the changing world situation and the changing world scene, we're the two of us. We're not number one if we think we're Europeans. A respectable president. Hv. paritaprevir Össur's Skarphéðinsson asked me if we could have an extra party and if we asked. I referred to it earlier, but I'm sure it was over again, that at these conferences in the United States, they were interested in being members like the EFTA countries could have a side effect. It would be built into the agreement that nations could enter it. It was the information we received from the partners who handled the negotiations on the part of the United States, that they wanted to see it. The members of the European Union at this meeting protested that this finding had come to a conclusion, but it would be interesting if the European Union prevented the EFTA countries from becoming members of this free trade system. Of course, we need to wait and see and see. One of the major issues that have inhibited more cycles at the International Business Agency and the world trade is agriculture. Of course, not only are agricultural issues, but they are one of the big issues. I see a chance there for us Icelanders because we have a special place in agriculture. In Europe, we and Norwegians have the longest antibiotic use of agriculture, and this is mainly because our traditional farms have little use of antibiotics. We are to emphasize it and introduce to the people of the land. A consumer's own rights are to know what's in the product. With regard to the support we have, we should have support for traditional agricultural products, but like our agricultural bitch, now we're primarily protecting the white meat, the factory production. This is totally awesome. So I just see an opportunity in this field. In case of a moment. paritaprevir Össur's Skarphéðinsson wants to eat hormonal meat or antibiotics, I think that's what it is. A senator should have a choice. On the other hand, I want to know what's in the product, and I have found that I have failed to inform consumers about this. I'll just eat less of the meat, though I have to pay more for it because wholesome products, productions, are something I want to choose on my plate and at my closest level, and I'm sure I'm not alone. So I don't see a chance at this. But I don't feel that we're using them. I see the TTIP deal primarily as an opportunity for Icelanders. If they slide on their ass with it, then, I think, something big happened at that point. I don't know how a case develops. Nor do we know what will happen if Britain, e.g. would come out of the European Union, which I find unlikely to be, or if you would change the European Union something to try to keep the British inside. If they went out, if they were, for example. If I think EFTA is the best solution, I think we're going to see an increase in power at a vacation store in the world. Even if the EU has a different view of this, it would be difficult for them to resist. If someone as big as the United Kingdom had come in and was concerned about doing a lot of vacation contracts and extra vacation shops in the world, it would make it difficult for the Toll Community to hold the position it has held up so far.
ParlaMint-IS_2016-01-28-69.u38	Mr. President. I'm not sure. A senator is right about the continuation of Britain in the EU. I think there's at least a equal chance that it might go out. I'm not sure it's worse for Iceland or the EU, but it's a different story now. Whatever the case, we agree that Iceland, based on export, has to have business contracts. You're absolutely right. Senator. I feel like there's no business policy. This business policy must be shaped by our personal interests and circumstances to the highest market. In the face of the great changes that are about to take place there, we must respond. I agree with all the possibilities I have. A senator has tore up here, e.g. to Iceland's position if the TTIP deal becomes. There are possibilities, but that stone needs to be patted, and we need to take the initiative in EFTA because it has a powerful influence. Free trade agreements were considered out - of - date. I, who have spent a long time here on foreign affairs, was a long time ago convinced that nothing would come out of this Doha business. It was the Doha negotiations that pushed free trade agreements off the board for many nations and lay low as a machine. Yeah, old-fashioned, old-fashioned, well-tempered and very practitiony. That is why, when I came to the administration of foreign affairs, I immediately stressed the two - side agreements between EFTA and various states and states and Iceland according to incidents. I don't think there's anything coming out of this Doha thing, and I don't agree with that. Congress that it is the EU to blame, mainly the peculiar political position in the United States. No decisions could be made, since there were always delicate elections in the United States, and, as one knows, almost every year. But I believe they need to consider this. But I think it's going to be very difficult to catch a vacation deal with the United States, two-sided or with EFTA, but it's probably once again. [[The president calls.]] [[Up front.]]
ParlaMint-IS_2016-01-28-69.u39	A respectable president. I just agree with what. Senator. It's not bad for Iceland if the United Kingdom leaves the EU. I think it'd be really good for Iceland. Actually, I think it would be really good for Europe if Britain went out of the EU. I think men are in trouble in the EU, and nothing is enough to fix it except revolutionary things. The current situation is very serious and there is no indication that it is beginning to improve. I agree with what. A senator says that we need to shape business policy. That's why I'm re-enacting my bill about it. I haven't heard anybody blame the United States of America for Doha. Who started making big vacation contracts when the Doha talks didn't work out? Yes, there were Americans. However, I think that many, including the EU, used it as an excuse not to go to free trade agreements because the Doha talks were in progress, although everyone knew they were not running out. What I criticize the EU is not what they have done but, in fact, what they have not done. If the United States and the European Union were to converge their strings and change the International Business Agency in some way in order to expand the world vacation trade or to begin a new round that is due to produce something, very few people might stop them. Together, the United States and the European Union remembered the potential for increasing free trade in the world. The United States can make a decision on its own and has already done things since they started. The main reason and the thought behind completing the Pacific Conference is that Americans are putting pressure on the EU to finish an agreement with them. That is why after they try the other way. I'm critical of the European Union for inaction. And it's a long time for vacation contracts to become out - of - date, I agree. A senator on this matter. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u40	A respectable president. The free shop agreements are very practitional weapons, but they went out of style. There were no free trade agreements going on, considering what was here for years. They were all waiting for Doha, and that's exactly right. A senator said, the Americans took the initiative in that round. It was always too delicate because there was always an election, either for Congress, and it is now once every two years, or the election. The United States was never able to take sides in sensitive agricultural interests. Regarding the big contracts, such as TITP, it is again the cars and agriculture that are going to be the most difficult to deal with. Hv. A senator understood my words, so I thought TTIP would have nothing. That's the wrong idea. There's gonna be something from TITP. Perhaps not at that time. A senator mentioned this, but the results are much waterier than they started at the beginning. Business policy for Iceland is fine. A senator has moved, and this is one of the lacks of vision. For example, I'd like to mention to the Foreign Affairs Committee this morning that the TPP deal, i.e. The agreement of 12 Pacific states on decommissioning customs would be introduced to the State Department of Foreign Affairs because I believe that the situation will arise that over time states like Iceland or an EFTA will be able to determine whether it is in some way possible for their interests to become more involved. At any rate, we need to decide whether it serves our interests. Free trade agreements and involvement in such alliances may not bring a direct benefit today. They are like seeds planted by men, and the time comes when there will be opportunities there to reap. [[The president calls.]] That's why we're supposed to try to ride this net now and have it all ready and be able to take on these opportunities in the future if we need it.
ParlaMint-IS_2016-01-28-69.u41	A respectable president. Only because of the Doha tour and the WTO. If you ask the party involved in this, people in general blame the Indonesians, that they stopped their talks because of the rules of authorship and something like that. But I think it's very farfetched to blame Americans who have taken the initiative in all agreements of the International Business Agency and GATT. The European Union has never taken the initiative. I think there's a chance of blaming them that these cases haven't run out, so they've shown it by going to the big business agreements that we're dealing with here. Hv. A senator mentions automobiles and agriculture, the big issue. It's not just cars. I only mentioned cars for example. There is a general technical obstacle to industrial products. Then there are things like public invitations that are big business. It provides ample evidence that the United States has been very tough in its policy of protection. Of course, each nation cares for its own interests. It's all about national interests. It'd be better now. We, as Kosins, are at the General Assembly of the Icelanders, must take care of the interests of the Icelanders. That is not what others do. And while we may be acting in a tactful and reasonable manner, we need, of course, to take care of our country's interests. They certainly do, and although nations are in the European Union, they are concerned about their interests. It's just because we live in the human world. Here's the bottom line: I'm counting on it. A senator would take advantage of his ability to finish the business course of Iceland so that at least it would be a more serious discussion now, I would like us to accept the case because it sounds to me at once. A senator agrees that most of the business matters are involved. [[The president calls.]]
