ParlaMint-RS_2002-12-13-0.u25062	I have a proposal based on Article 137 that the debate in particular takes three minutes.
ParlaMint-RS_2002-12-13-0.u25105	Three minutes.
ParlaMint-RS_2002-12-13-0.u25106	Who are in front of The Hague tribunal. 20 seconds on the next load.
ParlaMint-RS_2002-12-13-0.u25107	People's MP, if you were to spend your time on the subject, you'd have another 30 seconds, and this is how I ask you to finish. Do any of the other authorised participants in the debate want a word? The word is from MP Zarko Obradovic, president of the SPS parliamentary group.
ParlaMint-RS_2002-12-13-0.u25108	Dear fellow Members of Parliament, the figures, at least when it comes to this amendment, can hide the essence of our commitment and why we have proposed this amendment, so I will try to tell the MPs in a few sentences what it is about. First and foremost, we have proposed to change positions within this general sum of funds and we have proposed that in the Ministry of Justice of the Republic of Serbia, funds of 50 million dinars be allocated to the defence costs of the indicted citizens before The Hague tribunal. We are primarily referring to the defence of Slobodan Milosevic and other people, but above all to the defence of Slobodan Milosevic. The fact is that on the basis of the Government Decision of the Republic of Serbia, President Milosevic was delivered to The Hague, we say he was kidnapped, and you claim he was delivered. The fact is, he's in The Hague. We believe that there are enough good reasons for our country to provide funds for him, but I tell other people, but primarily, it helps him to provide a sufficient number of witnesses who would say what they think about everything that's been going on in the former Yugoslavia's premises over the past 10 years. Some may not like it as a story, but the fact is that it is not only President Milosevic's trial there, but it is through the trial of President Milosevic that judges both this country and this people. Whether you accept it or not, it shows everything that's going on there. The second thing that we asked for in this amendment is to cut costs to the Ministry of Finance and the cost of travel. Imagine only when costs of 151 million for the Ministry of Finance and the National Assembly of the Republic of Serbia with 250 MPs are allocated to the funds of 78 million. The third item, which is also important to us, we thought that within the general sum, it was necessary to increase the amount of funds to the Fund for the Development of the Republic of Serbia. Of course, we believe that simply this country does not have a future without production, without creating a new value, that money cannot be taken from citizens indefinitely, that this old savings that exist, which is a fact, has a limit and that there must be more significant allocations within what the state should do in its economic strategy in order to create a new value. Without a new value, this country simply won't be able to function. Maybe a year, maybe two, but she doesn't have a perspective without creating a new value. In the end, in order not to skip that part, we suggested raising funds for the Colubary County due to the earthquake. It's a law that goes for next year. The projected funds here are, in our opinion, small. Not everything has been removed in that district, which was destroyed during the earthquake, and that's why we suggested that this position be increased by these proposed funds. I expect you to accept this amendment.
ParlaMint-RS_2002-12-13-0.u25109	Are any of the other authorized participants answering for a word? The word has a finance and economy minister in the government of the Republic of Serbia, Mr Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25110	I just want to say that as far as travel costs are concerned, he at the department of finance and economy is for all members of the government. These are selected and placed faces. You'll notice that there's no such thing in the government's division, and that's because of the increased control. The government of the Republic of Serbia has repeatedly carried out an analysis and there have been various demands to see who travels and how much remains and there it has been seen that if we compare some other governments in the environment or to some other institutions in our country, these expenditures will be extremely modest this year and they will be more modest than anticipated. So it's not just for the ministry.
ParlaMint-RS_2002-12-13-0.u25111	Do any of the other authorised participants in the debate want a word? (No) The 6th Amendment was submitted by MP Milorad Mircic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. The word is made by the People's Messenger Milorad Mircic.
ParlaMint-RS_2002-12-13-0.u25112	The point of the Serbian Radical Party's amendment is to cut costs on the dispensary side of the budget, and that is to say, expenditure relating to various contracts, service contracts, for some specialised services, ongoing repairs, maintenance, fixed costs, travel costs and not to list all the taxes. Namely, what's this about? We believe from the Serbian Radical Party that these are unnecessaryly high costs, and if it is done as the Serbian Radical Party proposes in its amendment, then gentlemen will come to the understanding that we will only make savings on this side, or on these expenditures that we correct for the amount of approximately the same, if not greater, that we receive in the form of donations, because here we see that we are counting on donations of 9 billion and 530 million. If we just make a correction to these costs, then we won't need those donations. On condition that we may spend these donations, if it is with the certainty that you claim it will arrive, we can spend on other purposes, rather than taking care of them by providing high rates for official travel and contract services. Namely, why does the Serbian Radical Party insist on accepting this amendment? For a simple reason, we take and quite seriously analyse the situation that is in Serbia in the part that the government is counting on to be on behalf of the budget. That's just impossible. It's impossible for many reasons, and we talked about it yesterday, we talked to you, we explained, but obviously it's not worth it, but here's to help you with this part of the expenditure, if nothing else, just yesterday, as the prime minister said, suggested a budget that is 70% of the social character or what you would say on all the radios and TV stations, the most social budget in Europe, which has been seen so far. By saving these funds, transfer for these social needs. Don't accuse the opposition of not paying their pensions. The opposition is giving you a proposal to secure regular payments. One share of travel expenses only, of these special contracts transfer, help pensioners, transfer to the fund and they will be grateful in this way you will not be able to accuse the opposition of not being constructive in the discussions, especially when it comes to the discussion of the budget.
ParlaMint-RS_2002-12-13-0.u25113	The word is made by MP Vojislav Seselj, president of the SRS parliamentary group.
ParlaMint-RS_2002-12-13-0.u25114	Ladies and gentlemen, Members of the Parliament, supporting the amendment, an explanation for the amendment of the People's MP Milorad Mircic, I must draw your attention to one final example. Last year, the interior minister announced that there are sponsors, donors who have provided large sums of money as rewards for a public award for the discovery of murderers, information about murders, etc. for a large number of liquidated faces. We didn't see it go through last year's budget items, because all these donations have to be expressed through the budget, even if it was just a budget transfer. That's not what happened. Maybe it's a little bit later forgotten, but you had to express it through next year's budget, because I'm looking for 27 million. ( Bozidar Djelic: it has been abolished. ) It was abolished, but before it was abolished, I submitted information on who killed Momir Gavrilovic. Goran Petrovic and Zoran Mijatovic, former Ubba chief and his deputy. I have submitted information that Stanko Subotic Cane Zhabac killed General Badža, organised the murder, and I have submitted information that Slavko Curuvija was killed by Chando, Jorgan, Miki Kurak and Romic, four of them and I am in charge of a lawsuit against the Republic of Serbia. I'm looking for 27 million dinars. Two court hearings have already been held. The court has declared the trial a secret because of the very grave seriousness of the information that is being handled there. The next hearing, I think finally, was scheduled in February. You'll come next year to pay me 27 million dinars, plus interest, which will be huge, plus court costs. That'll get you to 50 million dinars. There's no position here, you won't have anything to cover. I warn you, you will be in a position to be executed in the government of Serbia, in the office of the finance minister and so on. I won't give it up at any cost. You have to pay for it. It's a public promise of reward, it's right one of the strongest institutes, in private law. You promised that and it's like we signed a contract. It has the power of the contract with the state and you'll have to pay it off, and you'll have to show it, because he couldn't get the interior minister to call a reward, that the funds were from donations, and that money didn't go into account. Let's see who those donors were. They can't stay secret. I'm obliged to know who my money comes from. It's my money now, and I have the right to know who it comes from. You're going to have to show who the donors are and you're going to have to show up where that money was paid. The public promise of the prize should not be called if the money did not already exist. When the billing time comes, don't run away from me.
ParlaMint-RS_2002-12-13-0.u25115	Do any of the other authorised participants want a word? No, I don't. ) The amendments were jointly submitted by MPs Dragan Markovic, Petar Petrovic, Milos Lukic, Adam Urosevic and Zivko Selakovic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Does anyone want a word on behalf of the applicants of the amendment? The word is from MP Zivko Selakovic.
ParlaMint-RS_2002-12-13-0.u25116	Madam Vice-President, ladies and gentlemen Members of the Parliament, gentlemen of the Ministers, by amendment of the Assembly Group in Article 6. The bill is amended for basic purposes in the following economic classifications: 1) In the economic classification of 451 - Subsidy to non-financial corporations, the amount of 35,372.170,000 is replaced by 36,042.188,000. 2) In the economic classification 464 - Transfer to compulsory social insurance organisations, the amount of 67,198,287,000 is replaced by 68,198,287,000. Here's an explanation for this amendment. The proposed increase in the amount of funding in the budget for subsidies to non-financial corporations, as well as for transfers to compulsory social insurance organisations, provides for a reduction in the debt of the state towards agricultural producers in relation to the payment of arrears and payment of claims for certain agricultural products, primarily sugar tails. Given that this amendment proposes improving the terms of the solution, i.e. I believe that Mr Djelic should accept this amendment by the SSJ parliamentary group.
ParlaMint-RS_2002-12-13-0.u25117	Do any of the other authorised participants in the debate want a word? The word comes from MP Dragan Markovic, president of the SSJ parliamentary group.
ParlaMint-RS_2002-12-13-0.u25118	Ladies and gentlemen, given that agriculture has entered the budget with only 3.2%, we think it's a shame and it's a great shame for farmers and agricultural producers. We ask to increase the amount of unpaid sugar tail for agricultural producers, for other agricultural products and for unpaid pensions. I just have to tell one minister, and last year I told him to explain to me how if there is a user and a taxpayer in one family, the user receives 900 dinars a month, that means 11,800 dinars, and the taxpayer pays 15,600 dinars. Why is that difference so much to the harm of this family? You didn't explain that to me last time, and I'm asking you to. Anyway, you forget that farmers don't have a regress, they don't have a vacation, they don't have winters, they don't have work suits. No one's taking care of them. When it comes to women in the country, they are also not in a position like women who are employed in factories. We of the Soviet Union hope to arrive very soon one day when we decide the laws. We will ask that all mothers who live in the country and deal in agriculture have the same rights as mothers who work in factories, in the city. Also, this amendment is related to Article 7. I'll talk about him later. So I want the minister to explain to me why these differences are when it comes to the user and the debtor and what about agricultural loans, Mr. Minister? I don't know any agricultural producers that got some agricultural credit. There are so many empty stables in Serbia. Agricultural producers want to work, but there's no credit. I expect you to answer that question, because that's what they're asking.
ParlaMint-RS_2002-12-13-0.u25119	Is anyone else applying for a word after this amendment? No, I don't. ) The 7th Amendment was jointly submitted by MPs Zarko Obradović, Zoran Angelkovic, Ljubomir Mucic, Radojko Petrovic, Nebojsa Jović and Hranislav Peric. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Is there a word application for this amendment? The word has the People's MP Ljubomir Mucic.
ParlaMint-RS_2002-12-13-0.u25120	Ladies and gentlemen of the People's Parliament, Mrs Micic, informs you that I am using three plus three minutes by speaking in the first part about the general settings of the expenditure, namely the specific part of the budget relating to the allocation of funds totalling 255 billion dinars. We also tried, within 842 items and 37 sections, to streamline budget public spending, i.e. public spending, and to carry out part of the redistribution of public expenditure through individual positions within the same division, and also more division of the same economic classification. I can tell you that in that part, we have succeeded by reducing global budget spending by about 6.5 billion and reducing to 255 billion total budget expenditures, from 261 billion. We also tried to convince Minister Djelic, as finance minister, to show and be an example of the rationalisation of public spending, because only through the rationalisation of public spending can there be a reduction in the procedure from the economy and through the reduction and rationalisation of costs need to be redistributed within the global budgetary frameworks. In the same department of justice, I can't understand that the Justice Department is in charge of damages and damages done by the Justice Department and the government's units. We have suggested that this part of the funds, which is not small, as well as various specialised services, constant costs, occasional costs, travel costs, rationalise and propose one, at this time most needed, to defend Serbia and the Serb people from the forces they tried and tried to declare Serbian people as the source of all wickedness and as the source of evil in the previous century, in the Balkans. That's why we've proposed 50 million dinars for defence and cost, which are for gathering information to defend all The Hague indictees.
ParlaMint-RS_2002-12-13-0.u25121	Are you using the next three minutes?
ParlaMint-RS_2002-12-13-0.u25122	I'm sorry, Mrs. Micic, so I said in the beginning, don't interrupt me and use three plus three minutes. Thank you for your warning, I'll move on. In the context of these global allocations of funds, we also have a rational proposal that funding should be redistributed within the Ministry of Finance and most of the funds directed to the Fund for the Development of the Republic of Serbia, to capital investments and to encourage employment production. Also, as a local patriot, and last night I used it, although I didn't get an answer, I proposed, and I agreed that the SPS parliamentary group, given that in 2003 a reduction in the rate of financial transactions was proposed further by one-third, that the revenue on this basis was unreally low to the proposed budget of 3,800,000, of 10,000, as achieved in this year, if the funds were reduced by one-third, could be 6 or 7 billion, but could not be one-third of the 10 billion, or 3,800,000, respectively, and we suggested that, in addition to these funds, which were used to cover the budget deficit and expenditure in the budget, that there could be no one-third of the district in the Colombian district for the removal of earthquakes, the estimated funds of 1,500,000, instead of 700,000, as planned in this plan. I would really not explain this at this time that up to now about 35% of the facilities damaged, individual housing, from earthquakes, rehabilitated or built new ones, but it is a dangerous claim in the reason that at this point in time by reducing these funds in the next year 2004, the source that once existed, or contributed to the removal of earthquakes in the Kolubara district, given that, in the memorandum on the implementation of fiscal and economic policy for 2003 and the following year, is envisaged to reduce the financial transaction's contribution, and in the coming year 2004, the abolition, as well as the termination of the work of the Directorate established under the Government of the Republic of Serbia's Regulation, for the deployment of funds and the removal of earthquakes in the Kolubara district.
ParlaMint-RS_2002-12-13-0.u25123	I'm warning you, time's over.
ParlaMint-RS_2002-12-13-0.u25124	And finally, I call on the MPs that we have really followed all the provisions and instructions, the legal ones, and in a comprehensive way we have tried to redistribute some of the funds and to focus that part where it is most needed, given some legal basis, on which we have identified the sources of funds. Thank you.
ParlaMint-RS_2002-12-13-0.u25125	Is anyone else answering for a word under this amendment? No, I don't. ) Article 7. The amendment was submitted by MP Alexander Vukic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Does the applicant of the amendment want a word? There's a word from MP Alexander Vukitch.
ParlaMint-RS_2002-12-13-0.u25126	Ladies and gentlemen of the People's Parliament, I have submitted an amendment to Article 7, in which I am asking that instead of the amount of 261,501,819.000, the amount stands at 192,732,942,522 dinars. This is in line with the policy of the SRS and with what we demanded yesterday in the principle debate, which is a more restrictive budget. We didn't ask to transfer special funds, especially money to give this or that football club, this or that organization, the association, etc. We are looking for a more restrictive budget, because we believe that this is a condition without which Serbia cannot progress. We asked for this in particular, and I hope that amendments will be accepted to Articles 4 and 6 which reduce the total budget expenditure, and that my amendment will and how it makes sense. The government responded to this amendment and said that the structure of budget expenditure is in direct function of economic reform and economic recovery, and now I wonder whether economic reforms, recovery of our economy, and these costs, and just before Minister Djelic told us that the costs within the Ministry of Finance, travel costs, the costs of the entire government, government members. What is the cost of the Ministry of Economic Relations with abroad, for travel, of 28,500,000? What are those costs? So where are these people going? What do these people do, who are these people, where do they cost so much? What will happen to this minister, who is the worker's oath, as President Seselj said yesterday, the worker's oath, the travel expenses of 5,200,000, from where? That it's for inspection -- what is the Ministry of Economic Relations' inspection with abroad, 28,500,000, from where people come from, every day to go to Toronto and Sydney, so it can't go that far. Where'd you get that money? Come out, Mr. Djitsu, so tell me - that's for it and that. I say there's no answer. That's why that amendment to Natasha Jovanovic, which we asked for more money to come to agriculture, is because there is no answer to the question - why 28.5 million for travel expenses. As for privatisation, thanks to Stevi Kesejić, who brought me this, this is a set of criminal charges material, administrative dispute lawsuits, because of the way you're trying to privatise the sugar shop in Red. One of the only bidders in the tender. Incidentally, they know each other well with Prime Minister Aleksandra Vlahovic. I think it's called (the foreign name - it doesn't understand). They ask that what Sugar is doing in four days of production in Red, they get the whole factory, that they get the majority package of actions and that they can do whatever they want and how they want, and you didn't know and did well enough to calculate how much and how much of the privatisation of the money will come and how much they could focus in a different way. There's no focus on development investment, not even knowing, and it's impossible to calculate how much it's going to be, because if there's more of these friends, and more of these costs, then there's certainly much less money coming from privatisation. By accepting this amendment, we would actually bring down this unreal budget, and I call on the finance minister to come out and say what costs are 28.5 million, and for the travel expenses of the Ministry of Economic Relations with the abroad? If the travels are members of the government, already within the Ministry of Finance, who travels, where travels, and for what reason travels? Thank you.
ParlaMint-RS_2002-12-13-0.u25127	Anybody else answer for a word? There is a word from MP Vojislav Seselj, president of the Serbian Radical Party parliamentary group.
ParlaMint-RS_2002-12-13-0.u25128	Ladies and gentlemen of the People's Parliament, I support the amendment of MP Alexander Vukic. I must express regret that the government is not responding at all to the criticism of opposition MPs regarding this Budget Law. As part of this article of the Law, where we propose a reduction in the total expenditure for a significant sum, you have not explained to us how it is possible that 7.5 billion are allocated to services per contract, and nearly 5 billion more for some other type of service, a total of 12 billion? None of you are going to explain what kind of machines the President of the Republic needs, so 90 million dinars stand out for them. Would you like to open a tobacco factory in the Serbian presidency? What are the machines? Come on, say, what equipment is needed by the President of the Republic, from the aspect of its constitutional jurisdiction, which costs 90 million dinars. Come on, get out, what kind of machines are these, what are tractors, vans, tobacco factory, beer factory, what else could it be? How do you explain, for example, it's one of the most impressive items here, 285 million dinars, contract service, Ministry of Education. Yesterday, Gašo Knezevic says, it is for various seminars, additional education, etc. This is what the communists called permanent or ideological political education. 285 million dinars, count the ministers as much as it would be for an educational worker, if you paid them 285 million dinars as a new year's raise, as much as you have in Serbia of educational workers, you'd get something, if it were 1,000 dinars more or less than that, it doesn't matter. Don't waste your money like this. Yesterday we thoroughly criticised the issues of these NGOs, for which 800 million dinars were planned. You were trying to explain that it's not all those new-compromised NGOs, it's some other institutions we know by another name. Now, with the minister of religion, we see that it is planned to donate to NGOs 159 million dinars and the minister yesterday explains that they are churches, monasteries, mosques. We are not going to come up with a situation that now you mark the Serbian Orthodox Church, the Islamic Religious Community, the Roman Catholic Church, Protestant churches, Lutheran, Calvinist, etc. Don't, it doesn't make sense. Serbian Orthodox Church -- an NGO. NGOs Orthodox, NGOs Islamic, NGOs Lutheran, NGOs Roman Catholic, it doesn't make sense. You should have mentioned here, the old temples and Orthodox and Islamic, and Roman Catholic and Protestant, Jewish, so much money, those items to express, not NGOs, so the shame of our people, the shame of the anger of these traditional religious communities that have existed for thousands of years to now call them NGOs.
ParlaMint-RS_2002-12-13-0.u25129	The Minister of Finance, Mr Bozidar Djelic, called for the word.
ParlaMint-RS_2002-12-13-0.u25130	Okay, I see we're still having a little trouble with budget accounting. We have, like this, after World War II, the United Nations, the idea was that some richer nations were giving something to help, some poorer nations, and they had a hard start to a big job that led to the standardisation of accounting in the domain of the state, in a broader understanding. The system was perfected and when this government started to work, we were the last country in Europe that had no public finances, which were arranged in this way. So if you have some names that are a little specific, and Mr Djindjic explained yesterday that simply, it's one of the parts of opening the world, which is given to our public finances, we call them actually, as they are called everywhere -- NGOs and I can say that there is no here, it's Professor Simonović yesterday and he asked about the rebalancing, there's no one in that department of any NGO in what we've been given in the last few years, but we do, if you look at the division of the Ministry of Finance, it's a term, up to the last dinar. There are you, political organisations that have MPs in this esteemed home, the red cross, the fighting, or the association of fighters, and if you look at other ministries, that is, or that association that Minister Matkovic was talking about yesterday, these are associations of blind, deaf, many of what she has been doing for years and what needs to be done. In the Ministry of Faith, the minister spoke yesterday, these are some things that have been financed before, but there's a good thing about this accounting. Thanks to this classification and position, the opposition can ask what he split up, and not as before, if there were wages and the rest, and then there was no way to talk about it, simply, the executive authority would never have any sortings about it. Two more things, as regards the contract, the contract services, the specialized services, there we seem to have quite well explained both yesterday and various members of the government have explained in detail that it concerns all of that and it is thus classified, and where services are sought from someone who is not constantly employed by the Ministry. We cannot, on the one hand, have parliamentary groups that say - there is still a need to reduce the civil Corps, it is necessary to deberocrat Serbia, as we often hear, and on the other hand, that they are opposed to some specific needs, that the state should use the services of some others. In fact, much of it, if you take specialized services, most of it, it's nothing but contracts with our scientific institutions. The other thing, if you look at the contracts, there's the witches, there's lawyers, when citizens don't have the money to defend themselves in court, that's all they need to secure one normal funding of our country. And, in the end, we don't plan a combination with the President of the Republic, in any case, that building, which for years, I would say, is no longer the same use, as it should have by some constitutional arrangement, it's quite downhill, and we have to say that if you look at it, it's not a machine, it's equipment, it's a building beyond any standard, and it has to be thoroughly renovated to be in use at all. There are no machines, it's equipment, it's being thrown, I repeat, if someone wants to go against the United Nations classification, let them say that, but that division in that position, if there's some equipment, there's telecommunications equipment and everything that needs to be provided for that building, that it works normally, and that's there. For decades in other countries, it's been put on the same line as machines, machines and equipment. Last thing, as far as travel goes, I want to answer all the questions, our country has a huge image deficit, as the West says, or very little is known about the potential and potential for investment in us. The government of the Republic of Serbia in these last years, in two years, has done so much through numerous contacts, mostly in the country, and to some extent abroad, to show in more detail what investment opportunities these are. I can say, thanks to the action, especially to the Ministry of Economic Relations and Foreign Affairs, many of the contacts that were held in various months, it's one thought-out action, to get close to the opportunities for all investment in our country, and we are in this situation that, what was almost zero three years ago, or two years ago, and then $126 million will be between $400 and $600 million, investment in our country, and next year we are forecasting for investments in various kinds of our country about a billion or 2 billion German marks. In return, compare, it's a ministry that has exactly that function, reformed with this key function, and this animation of these investors, and I think that the amount that is envisaged is not too large, and we have to have minimum investment on our part to make investments come. These are very small amounts if we compare them to other countries in the environment. Let's not forget, we're in competition for these investments with all the other countries. We cannot expect to have significant results in attracting investment if we ourselves do not determine the minimum amounts that would be similar to being able to attract these investments. Of course, if you look at the positions and we'll see when we get to the final account for this year, we'll see that in many cases these positions are not even spent. No one will travel without being fully deserved, in the sense that it is useful for the function for which it is intended. Thank you very much.
ParlaMint-RS_2002-12-13-0.u25131	I thank Mr. Secretary. I'm setting a break to 15.00 hours. [[After break – 15.50.]] Ladies and gentlemen of the People's Parliament, we are continuing the debate in detail on the draft budget bill for 2003. In order for the session to continue, please see if we have a quorum. I find that we have a quorum for both discussion and decision-making. To Article 7. Amendment of Susa was brought together by MPs Dragan Markovic, Petar Petrovic, Milos Lukic, Adam Urosevic and Zivko Selakovic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Does an amdnman's representative want a word? Here you go. The word has a National MP, Petar Petrovic.
ParlaMint-RS_2002-12-13-0.u25133	The Honorable Presidency, ladies and gentlemen of the People's MPs, the Soviet Union has tabled an amendment to Article 7 and it refers to Section 7 which treats the Ministry of Finance, Section 12, which treats the funds in the Ministry of Agriculture. In Section 8 of section 464 of the mandatory social insurance transfer, we requested that the amount foreseen in the budget of the Republic of Serbia be increased by 2003 and that in Section 12 of classification 451 relating to subsidies to non-financial corporations also increased the amount foreseen by the draft budget law for 2003, while adding a new indent 19, which treats the payment of the lost debt to sugar beet producers. Why did we ask to increase the amount of Section 8 in the Ministry of Finance in the transfer of mandatory social security? At this point, the state of Serbia owes the farmers, i.e. those who made a pension under the laws of the earlier period, when they were literally forced to accept the obligation to pay contributions to pension and disability insurance, and if many did not want to and now the state, for what they were forced to pay contributions, owes 15 pensions. In the 2003 draft budget law, only 12 pensions are expected to be paid. Therefore, the state does not foresee to reduce debt to pensioners, agricultural producers, and these are old and exhausted persons, who are most often unable to support themselves, and in this way they are brought into a completely unequal position with other pensioners. It also raises the question - what will happen to those agricultural producers who are entitled to pension this year, and that right will literally not happen for 15 months, when they come to pay off pensions they are entitled to. For these reasons, the Soviet Union considers this to be a small expense to the government of the Republic of Serbia but would be a major contribution to improving the material situation of pensioners who have rightly achieved this as agricultural producers. That is why we believe that this amendment should be adopted and that these persons should be allowed to make regular pension payments. Thank you.
ParlaMint-RS_2002-12-13-0.u25134	National MP Dragan Markovic came to the floor.
ParlaMint-RS_2002-12-13-0.u25135	Ladies and gentlemen of the People's Parliament, Petar Petrovic read the amendment to Article 7 submitted by the Soviet Union. I don't know if you've got the Minister's correction. Yeah. ) We ask in this amendment to pay for sugar tails to farmers who have not received money for their turnips. That's not a big number, 45 million 379 thousand dinars or 4,400 producers and 150 ransom places. The government needs to allocate funds and settle these agricultural producers, and it can make up for it when she sells the Tsuprian. It's about producers from the territory from Kruševec to Povorec. It means that a large number of manufacturers expect it. They sent me more letters and I sent a letter to Prime Minister Zoran Djindjic. He hasn't answered anything, but I expect the minister to accept this amendment. I'll tell the Minister what a farmer needs to invest when it comes to sugar tails, but he doesn't listen. Let me tell you what a farmer needs to invest when it comes to sugar tails, and how many times he has to go to the field, only if he's sown a hectare of sugar tails. So, first he has to go and the pores; he needs to sink; he has to drop the artificial fertilizer, presumptive; he has to sow the sugar tail; he has to go down; he has to go over it multiple times, the spray also has to be done when it comes to sugar tail, then there's the extraction; so on. cleaning; the villa removes the Minister's sugar tail, so that you know, the one with two horns, loads into a tractor and drives to a buying-out place that is on average two to five kilometers away from the farmer's field. Now, you see how many times a agricultural producer goes to the field and what the cost is. Given that he receives a salary once a year, when it comes to agricultural production, agricultural cultures, we expect the Soviet Union, since the Minister of Agriculture is not there that you will accept it, and as far as the proposed amendments are concerned, they are gone. When it comes to these three agenda points, as well as this last -- the 2003 budget for the Soviet Union will not vote for the budget, nor for the three previous agenda points, because this budget is not useful for Serbian citizens.
ParlaMint-RS_2002-12-13-0.u25136	Is anyone else answering for this amendment? No, I don't. ) Article 7. The amendment was submitted by MP Ljubo Drag Grbić. The Government and the Finance Committee have not adopted this amendment, and the Legislative Committee considers this amendment legally possible. Does the applicant of the amendment want a word? No, I don't. Does anyone else want to talk about this amendment? No, I don't. ) Article 7. The amendment was submitted by MP Meho Omerovic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Does the applicant of the amendment want a word? Here's a word from MP Meho Omerovic.
ParlaMint-RS_2002-12-13-0.u25137	The Honorable Presidency, the Honorable Ministers, ladies and gentlemen of the People's Parliament. On behalf of the SDP parliamentary group, I have submitted an amendment to Article 7. Proposal for a law on the budget of the Republic of Serbia in Section 15 of the positions 376 concerning subsidies to non-financial corporations. And that in the column -- the funds of the budget that predicts that, instead of 10 billion dinars, the government has proposed, an amount of 13 billion 600 million dinars. The essence of this amendment is, if you have the patience to look at the materials, what you see is an increase in expenditure, and that's for subsidies to the ZTP Belgrade and the Captain. The essence of this which I will keep your attention briefly refers to the situation in the ZTP Belgrade. A few things are very important. In all, the projected budget funds for the 10 billion dinar ZTP are insufficient, as the request for the ZTP-aboves at 13 billion. I would remind Mr. Minister, fellow MPs that the amount was set at one of the joint meetings held by representatives of the Ministry of Finance and Economy, the Ministry of Transport, Telecommunications and Management of the ZTP Belgrade. Another reason is that these funds are allocated in this way of 10 billion not only for profits and liquid railway reproduction, without some investment investments related to railways, wagons and locomotives. In what state is Serbia's railway today, I will illustrate with only a few data. I know you're too busy these days with numbers, because the budget of the Republic of Serbia is simply with numbers only, but I'm going to remind you of a few disastrous facts that are notorious truth. What's this about? So 55% of Serbia's railways were built in the 19th century, and now it seems to me the 21st century. So in the last 25 years, one legacy that the government of the Republic of Serbia and we as the new democratic authority have inherited, has been remounted only 608km from the estimated 3,200 fewer than is necessary. Only 29% of total railway length in Serbia has been electrified, and over the past 10 years the inventory park has been reduced by 12.6% in locomotives, in passenger cars by as much as 55%, in freight cars by 12.4%, and freight traffic which is the main source of rail-transport company income, of 14.800 cars currently has only 4,000 cars a day. When deciding on the amendment, I think it should be borne in mind that the subsidies that the government has provided for 10 billion for 2002 have also been transferred for what is proposed for the next year 2003. So the other subsidies remained at the same level. This would mean that the real amount of subsidies for the ZTP and the Captain in this case will be identical to the one that was in 2002, and in the design of the draft budget, I would like to remind, an inflation effect of 9, 10% of the social product is envisaged. I'm asking why these parameters are not taken into account at the amount of the subsidy and for the railway-transport company...
ParlaMint-RS_2002-12-13-0.u25138	I'm warning you of an overrun of the time allowed.
ParlaMint-RS_2002-12-13-0.u25139	I end immediately, as the Committee on Finance and Government, and its representative, the finance and economy minister, did not accept this amendment, I hope that because of the very disastrous situation on our railways, MPs will have understanding and vote in favour of this amendment. Thank you.
ParlaMint-RS_2002-12-13-0.u25140	Finance and Economy Minister Bozidar Djelic reportedly.
