ParlaMint-BE_2019-12-11-55-commissie-ic071x.u1	Question No 55001113C by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u39	Mr Spoorten, (...) explain the content of the judgment in Conti. The Conti judgment prohibits miners from subtracting the pension supplement from the pension rights acquired in another Member State of the European Union. The amount of the gross pension, irrespective of whether it is a miners' pension or an ordinary employee's pension, remains unchanged when a pensioner moves abroad. A transfer abroad may have an impact on the deductions made on the pension, in particular the ZIV contribution, the solidarity contribution and the corporate tax. For example, the net amount of pension abroad may be higher than the amount of pension received by a pensioner living in Belgium.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u40	Thank you very much, Minister. That is very clear and explains the difference.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u41	Minister, this is a bit of a technical question about the interpretation of an article, but not a minor one. Article 123 of the Law of 26 June 1992 states that "The payment of the supplement resulting from the application of Articles 120 and 121 shall be discontinued during the calendar years during which the pensioner carries on any profitable activity which gives him an annual gross income equal to or greater than EUR 607,59, unindexed debt securities. This article leaves some room for interpretation. If a person goes back to work in the course of the year, the Article 123 in question does not provide that the benefit is to be terminated retroactively. In practice, however, the retroactive recovery is requested by the RVP. If we consult the social security website, we read the following: If you receive other pensions or interest, they will be deducted from the supplement in full or in part. If you carry out an activity that exceeds a certain amount, your supplement can be suspended. This provision supports the fact that retroactive recovery should not apply, as the social security website indicates that the supplement is suspended from the moment the employment begins. Firstly, how should Article 123 be interpreted? Secondly, if this means that retrospective recovery applies when someone starts working in the course of the calendar year, can this not be seen as sanctioning people taking up work? So it's deactivating. Thirdly, if this does not mean that retroactive recovery is applicable, will you take action to compensate the people affected by this misinterpretation and correct the errors?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u42	Mr Spooren, Article 123 of the Law of 26 June 1992 takes the calendar year as a reference. The income from a profitable activity in the same calendar year is thus added regardless of the type or nature of the activity pursued or the period during which the activity takes place. I do not think that any other interpretation of that provision is possible. Consequently, when the annual authorised income is reached, the pension supplement should be granted as a guaranteed minimum throughout the calendar year concerned, implying, where appropriate, a refund with retroactive effect of pension contributions unduly paid.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u43	Minister, your answer is clear. It's the law, of course, but it's deactivating. Anyone who takes up work by the end of the year will be punished for that. I think that we should consider whether we are not able to reform this system. You can't fix it, but it doesn't seem like very good legislation to me.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u44	Madam President, my colleague Evita Willaert is very kind to let me begin, because I am bound by a small hourly imperative. Mr Minister, we have already dealt with the subject in committee, but I will come back to it because I think it is important. Since 1 July, the factors are responsible for verifying the actual presence in our territory of the beneficiaries of the GRAPA allowance (income guarantee for the elderly), since this presence is one of the conditions for granting it. Our factors will now have the task of checking at least once a year if this condition is fulfilled. This is causing unease in the trade union ranks. For its part, my group has already pointed out that it is in favour of extending the role of factors within society, while at the same time refusing to exercise a control function which is not theirs. In short, this control is justified, but must not be the responsibility of the factors because they must maintain a positive and societal image of their profession. Two new elements appeared. First of all, on November 20th, Questions à la Fronte, on RTBF, addressed the theme of pensions. I'm sure you've heard of it. In particular, the new role of factors was discussed. According to a lawyer specializing in public law, Me Jean Bourtembourg, this control "would be intelligence but no evidence. That did not have the force of a report. People could challenge the alleged finding, with a high chance of winning the case." Minister, what does this reflection inspire you? What would be the possible consequences of complaints by the beneficiaries concerned? Have you ever received any? If so, how many? Can you also inform me of the number of checks already carried out by the factors since 1 July and the number of persons punished? I would like to make it clear that we are receiving a lot of reactions. Is that your case, too? As you know, GRAPA beneficiaries are, by definition, people in great difficulty. I know that an assessment of the measure will be made on 1 January, but I ask you to see it again. I think that it is not good and that it does not meet its objective. In a constructive way, I would like to ask you to do so; I also asked your colleague Mr. Backer yesterday in committee, about bpost. We will continue the debate as an evaluation of the measure will take place in January. But I already wanted to see what could be done, because a real difficulty is felt on the ground with regard to this control carried out by the factors. I really have to leave, but I wanted to ask you the question. I will read your answer very carefully this afternoon. Merci d'avance.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u45	Mr Minister, my question is a combination of an unanswered written question and a follow-up question following the debate we had last time. I'll come straight to my questions. In your answer to my question about the intertwined control procedure for the income guarantee scheme for older people, you compared a figure from 2016 with figures spread over four years, since 2016, hence my demand for more precise figures. What is the total number of files checked per year, since 2016, until the introduction of the new system and per month since the introduction of the new system? What is the number of unjustified suspensions? What is the number of justified suspensions? Even after your reply, it is not clear whether the cost of the control system is lower or higher since the introduction of the new system, because you do not even know the figures because of the confidentiality of the public contract. However, the Federal Pension Service can estimate that the savings resulting from the reduction of the amounts due are likely to exceed the costs of the new procedure. Do you already have more precise amounts of savings from the new procedure?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u46	Madam President, Minister, on October 15, we had already discussed widely the mechanism you have put in place to control the residence of GRAPA beneficiaries. On that occasion, we had failed to reach agreement. But we had an appointment in six months. At the time, you stated that the factor was not a controller and that it acted in the same way as when it issued a recommendation. Finally, the government's position is that it is a simple administrative act, which Mr. De Backer has confirmed in the Commission of Mobility, Public Enterprises and Federal Institutions. We tried to obtain in vain the framework contract which binds bpost to the Federal Pension Service, but the press was able to know about it since La Libre Belgique referred to it in November. I thought Mr. Van Gerven had agreed that the framework contract should be forwarded to Parliament if certain confidentiality clauses were withdrawn. As elected officials, I believe that we have the right to obtain the framework contract, even if that is the case.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u47	Still, La Libre Belgique and other media report control. This term goes back 12 times. "Controls", "persons to be checked" and "identity checks" are referred to, etc. It is therefore a control that involves the factors. That was the subject of our discord last October. In our view, this is not just a way of helping people through a new administrative procedure. However, some older people have a number of fears and mention the need to have a fine hearing to hear the factor ring, to have good legs to get down the stairs in order to open their door in time to the factor, with the risk of being subject to financial sanctions, which could have serious consequences for most of them who are already in a rather precarious situation. At the time, you also informed me that the new procedure would be evaluated six months after its entry into force. So, in exactly three weeks, we will have come to that end. Minister, like my colleagues, I would like more information about the evaluation that has been announced. So, could you tell me how it will be achieved? By whom? Which actors will be consulted? I would also like you to clarify the results of these checks. You told us that a first cycle of checks had resulted in 1,072 suspensions on 16,000 checks and that the second cycle was under way. How many controls have there been to date? How many checks have resulted in a suspension? In how many cases has the recipient challenged the sanction decision? How have these challenges been addressed, if any? In how many cases was the beneficiary, in the end, in his law and had therefore been unjustly punished?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u48	Madam President, ladies and gentlemen, as regards the number of files checked per year between 2016 and the introduction of the new system, as well as the number of justified and unjustified suspensions, I would refer you to the tables contained in the reply to your written question on the same subject, which I keep at the disposal of the committee. Since the introduction of the new system, 50,483 files have been checked until November 2019 including. The total number of suspensions currently stands at 1,995 until October 2019 including. However, this figure may still evolve as the SFP leaves sufficient time for GRAPA beneficiaries to provide evidence of their presence in the territory. Thus, the notifications of sanctions resulting from the July and August 2019 controls will only be sent in the course of January 2020. In view of the time available to the beneficiaries to provide such evidence, the SFP has not yet received any real challenge to the suspension since the implementation of the new procedure. It is impossible at this stage to give figures on the number of justified and unjustified suspensions, given the time limit for handling the suspension files. The FPD indicates that these figures will be available from the beginning of 2020. As I indicated in the previous session of oral questions, the FPD estimates that the savings achieved following the introduction of the new control system will exceed the costs associated with the performance of bpost. This aspect will also be analysed in the global review of the new system at the beginning of 2020. It is not possible to give more details at this stage. In response to Mr Vanden Burre's question on Mr Bourtembourg's legal analysis, I can tell you that the Federal Pension Service, not the factor, monitors compliance with the residence requirement, as has always been the case. The role of the factor is limited to delivering the certificate of residence after verification of the identity of the beneficiary of GRAPA or depositing in the mailbox the certificate to be completed by the communal authorities. In case of absence during three visits of the factor, the beneficiary still has the opportunity to prove his presence on Belgian territory via the certificate deposited in his mailbox. This means that even if the person does not answer, they will never be punished for it, they will have their certificate in their mailbox. There's no change. She will simply have to go to the communal house, as she did before, to have her certificate completed. We will not rely on these three absences to suspend or abolish the allowance, it has no impact. However, suspension may occur if the certificate is not returned. In the event of the late return of the certificate, the person concerned may provide the SFP with proof of his presence in the territory. Since the control of the residence condition and the decision on the suspension of GRAPA are the responsibility of the SFP – not the factor! – the role of the factor does not seem to me to be a problem at the legal level. According to information provided to me by the SFP, 30 complaints were lodged by GRAPA beneficiaries following the new procedure. Complaints concerning bpost services are followed up in consultation with bpost. The SFP also received questions and comments from four organizations: the Old Angry Gang, the Federal Advisory Council for Seniors, an association that works with social workers in hospitals and the municipality of Molenbeek. In response to Mr Delizée's question on the planned evaluation, I can tell you that, as announced at the previous oral question session, the evaluation will take place six months after the implementation of the new procedure, i.e. early 2020. This evaluation will be carried out by the SFP and will be based on the numerical balance sheet of the new procedure (number of checks, number of suspensions, collaboration with bpost, quality of bpost services, transmission of data) as well as on all comments and complaints received during the first six months. This analysis will, as announced, be presented to the social partners who sit on the SFP Management Committee. I would like to provide you with a complete picture of the number of residence certificates and the number of suspensions and the justified and unjustified suspensions.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u49	I understand, Minister, that there will still be tables, which we will, of course, study with great attention. I fully understand the fact that the figures are not yet available, since since the introduction of the new procedure, the treatment period for possible suspensions has not yet expired. As I understand it, they will be able to be delivered at the beginning of 2020. So we will ask them again and look carefully. We also want more clarity about the cost, which would not exceed the cost of bpost's performance. You indicate that this aspect and the evaluation will be analysed. So let me make a note that I will be submitting a new question on this shortly. We insist that, even with the benefit of the doubt that this would happen with the best of intentions, the procedure is very cumbersome and that it really frightens those involved. You underline that there is a distinction, because a postman can ring three times to see if someone is at home, then deliver a note, after which the check procedure will start, as the note will have to be returned. I can still look at the situation very kindly and understand them, but the elderly, who are concerned about their income, are really afraid. They really think they should be at home when the mailman comes to the door three times. I had a phone call with a woman who went to the market when the mailman was at her door. She told me that she hardly dares to go to the market in the morning. She also stated that it should not be possible for her to take the blame for this, because she stayed at home for the children. In short, those involved are really afraid and do not understand that there can be three calls and the check is only made when the form is not returned. We will continue to defend it for those concerned. We're wondering if it's worth the kale. That's why the numbers are so important. After all, fear really lives among the vulnerable. It is a misunderstanding that must really be eliminated for them. After all, they really live at the moment with fear of their income.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u50	I thank the minister for his reply, which I will no longer describe this time as a response to the Daniel Bacquelaine, unlike the last time, when the situation was much more controversial. As far as the figures are concerned, I would be asking for the tables. We'll take a few notes on the flight. When you refer to a written question, you have to go look for it. If I have heard correctly, the 50,483 files reviewed are between July 1 and the end of October. Is this the reference period? It's been four months.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u51	November 2019 is included.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u52	So it's been five months. So we have 50,000 files under control and just under 2,000 suspensions. We're at 4%.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u53	The suspensions are until October.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u54	That's right. So that's about 4% until October. I think we're gonna wait for the evaluation. At this point, we can only do that. Let's meet in two or three months. It is important that this assessment be done by a serious body, as is the case with the SFP. It must be carried out by competent people and must be accompanied by a debate with the Management Committee of the Pensions Service, and in particular with the social partners there. We will meet again to discuss the evaluation and to change the system according to the outcome of the evaluation.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u55	Minister, you know that a solidarity contribution must be paid by employees when they receive a supplementary pension. For an employee who retires and receives a supplementary pension from his employer, this additional pension capital shall be converted into a monthly fictitious interest rate based on the beneficiary's age at the time of payment of the capital for the purpose of calculating the solidarity contribution. The conversion of capital to fictitious interest shall be made on the basis of a table of coefficients set out in the Royal Decree of 25 April 1997. This conversion table from capital to fictitious interest rates is no longer consistent with the expected lifespan. The result is that the fictitious monthly interest rates are far too high. The conversion coefficients are also outdated. This problem was raised earlier on 23 January 2019 in the Committee on Social Affairs, when discussing Bill No. 3409 on the increase in the limit amounts applicable for the determination of the suspension of solidarity in the field of pensions. You said then that you would change the death tables as well as bring the coefficient from 4.75 % to 1.75 % by taking a KB. You also received a mandate from the committee on 23 January. Afterwards, you would consider whether it was still necessary to address the problem of living capital and, after 15 years, no longer take into account the fictitious interest rate in the solidarity contribution to supplementary pensions. So far, you have not taken any initiative. That KB isn't there to my knowledge yet. What's to stop you from setting up this KB? When can we expect this change of law? In addition to the problem of the conversion coefficient, will you also address the problem of living capital, as you said in this committee in January of this year?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u56	As I pointed out in the Committee on Social Affairs during the discussion of the draft law on the increase in the limits applicable to the determination of the suspension of solidarity on pensions, I am open to an adjustment of the coefficient used for the conversion of supplementary pension capital into interest, provided that there is a consensus between the political groups to that effect. I suggested changing the parameters that allow the conversion coefficient to be set as follows. I suggested using the unisex mortality tables XR, with an age correction of - five years and a technical interest rate of 1.75 %. However, we were unable to reach a consensus during our discussions. Given the lack of a clear political consensus between all the political groups and the fact that the government is in current affairs, I cannot take any initiative in this matter.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u57	Mr Minister, I will read the committee report of 23 January. Your services may need to do that again. There really was a consensus on the proposal that you made at the time, on indications from the various groups. So it is a pity that you say that there was no consensus. I know that you were then given the mandate of the committee to make these necessary adjustments, because we really have to pay too much now. The coefficient of 4,75 % is no longer in proportion. As you said at the time, it should be raised to 1.75 %. You seem to be questioning this, but you were given a mandate at that time. You say there was no consensus, but I have no idea. You should check it again and continue with the mandate you received from Parliament at the time. If it is necessary, because you are in doubt, then the committee can consider whether we are giving you the mandate to do so again. In this respect, you will be asked not only by our group, but also by the recommendation to do so as soon as possible. I assume that other groups can also agree that these figures no longer correspond to reality and therefore need to be adjusted. I see you nodding, so I hope you will agree with me and that the KB, which may already be ready, will be signed as soon as possible, based on the mandate you have been given. If you ask for confirmation, we can do so very quickly.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u58	We will be able to put it on the order of business for the next work of the committee if you wish.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u59	Minister, the law of 30 March 2018 allows local authorities in Belgium to receive a reduction in their response contribution if they meet the requirements for a pension commitment laid down in that law. A governance that does not meet the conditions risks an increase in its response contribution. Boards that are affiliated to the Plan Limburg pension system for their second pension pillar risk not complying with the legal conditions, as it cannot be guaranteed at the individual level of each employee on a contract of employment that he or she has a pension commitment of at least 4 % from 2020 or 6 % from 2021 onwards. This is also evident from the FAQ, which were published on the website of the Federal Pension Service. However, I believe that the governments that are members of the province of Limburg meet the most important requirement laid down in the law, namely to ensure that a sufficiently high second pension pillar is developed. Minister, you will agree with me that we must encourage as many administrations as possible to develop the second pillar of pensions. However, in order to avoid the need for the relevant authorities to pay an increased response contribution, the VVSG now proposes to amend the law by stating that the pension commitment should be reflected in the formula used and that it should be reached across all members of local government when reaching retirement age and not at the level of the individual member. Minister, are you in favour of the change? Are you prepared to take initiatives for the change? Or do you think he can't do it now?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u60	Minister, I have a similar question. I won't repeat everything. I believe that the problem is wider than just in relation to the Limburg Plan. The same problem arises for the municipalities which are members of the supplementary pension plan of the province of Antwerp and no doubt other municipalities in Belgium will face the same problem. Therefore, the VVSG proposes to amend the law in the sense that the response contribution is not necessary if a pension commitment can be guaranteed for the entire staff without looking at the individual's level of contractual staff. Minister, do you agree with the views of the VVSG? If you agree, will you take the initiative to make a change? For local authorities it is important to know where they stand and it is even quite late, because most local authorities have their multi-annual budgets on the agenda in the coming days or next week. It's important to them to know what they're up to.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u61	Madam President, ladies and gentlemen, in view of the particular formula of the Limburg pension plan, the analysis is still under way in consultation with the FPD to determine whether the reduction of the contribution to the R &amp; D can be reserved for the local authorities meeting the conditions of 30 March 2018. The answer will be delivered in the coming days.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u62	Minister, I look forward to the answer. I hope that a solution can be found effectively so that local authorities that effectively comply with the spirit of the law are not punished and we can continue to encourage them to bet on the second pillar of pensions.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u63	As I said, Minister, it is wider than that. Once this analysis has been carried out for the Limburg pension plan, this must be made public to all local authorities via the VVSG. It cannot be the intention to recognise the Limburg plan only if the legal conditions are met. If one pension plan is adequate, then any other similar pension plan also satisfies. All municipalities must be treated equally.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u64	Madam President, Minister, the reference bet for calculating the military retirement pension is only used for the annual basic wager. In addition, the training allowance is also taken into account. The 11 percent betting complement for irregular services is taken into account for the civilian colleagues, but not for the military. This bet complement should be added by royal decree to Article 8 of the general law on civil and ecclesiastical pensions of 1844 if it is to be taken into account for the calculation of the pension. As long as pensions were granted in the past on the basis of a paper file, this supplement was taken into account, although the Royal Decree had not yet been included in the list of complements. The introduction of the electronic file at the end of 2011 has no longer allowed the continuation of this practice. A number of colleagues have been interviewing you on this subject during the previous parliamentary term. As far as I could tell, the first question was asked at the end of 2016, i.e. 3 years ago. You acknowledged the problem and would fix it. In the middle of 2018, you announced that you were awaiting the advice of the Finance Inspectorate and the agreement of the Minister of Budget to submit to the Council of Ministers a draft royal decree which takes into account a 11 percent betting complement for irregular performance for part of the civilian personnel of Defence and certain military personnel performing a paramedical function. You would also provide for a retroactive effect. You then indicated that according to the FOD this would cost a small amount of 88,000 euros for the period 2011-2018. What is the state of affairs in the file, as you have shown the will in the past to adapt it and there was also a solution in the pipeline? In view of the limited cost, I cannot imagine that you would call on the current cases to put this matter in order.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u65	Mrs Willaert, the draft royal decree providing for the pension provision of the betting supplement granted to certain members of the civilian staff of the Defence Department and to certain military personnel who perform a paramedical function due to irregular performance must be approved by the Council of Ministers. Under the previous government with full powers, such approval was not possible. The adoption of this type of decision also entails new or additional expenditure for the State which does not reflect the budgetary prudence associated with the current political situation. It will therefore be up to the next government with full powers to take a position on this dossier, as well as on the other analogue dossiers.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u66	Mr Minister, after some research, I understand that this is probably part of a number of other things that you wanted to put right in this area. In this sense, I conclude that the budgetary impact will be greater as it is not just about this in the present KB. I know the will is there to deal with this. It is also a good thing that they were already at the stage mentioned, but unfortunately we no longer have a government with full authority. In this particular case, of course, it is a small cost, but as I have said, I understand that it is also about other matters that you still want to put right. The preparatory work has been done and the design of KB is ready. A new government must put this right as soon as possible. We are following this up because it is actually a mistake that was made when the paper file was converted into an electronic file. It is not about a large number of people, but it really makes a difference for those involved, especially by the retroactivity. It is good that you have done the preparatory work and we will continue to follow it up to make it work. That is simply a question of justice, because these people are effectively entitled to it and have been missing this complement for years.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u67	Minister, on November 29, we learned through the press that it was the AXA banking insurance group that won the second pillar pension management contract that the federal government decided to set up for contract agents and is due to come into force next January. The government has visibly chosen to rely on the second pillar of pension for contract workers, who were previously disadvantaged in comparison with their statutory colleagues and private sector workers. But we ask ourselves a few questions. So far, we have not been able to find answers. I hope you can shed some light on this. Minister, what will be the criteria for accessing this second pillar? Contractual agents were mentioned. What about the acting staff? Is it de facto integrated? What can you tell us about the impact of the introduction of this second pillar? Can you disaggregate this impact study by category of workers? Finally, can you tell us the nature of the investments that will be made with the pension funds thus created? Thank you.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u68	Mrs Leroy, the supplementary pensions relate to federal contract staff, that is, federal service staff and certain federal public bodies, as well as integrated police personnel. Acting employees are not covered because the federal government is not their employer, which is none other than acting companies. This second pillar concerns almost 20,000 contractors with an annual budget of EUR 32 million. Each contract staff member will receive a supplementary pension up to 3 per cent of his/her salary per year of service. This supplementary pension plan is the same for all workers, without exception or difference between the categories of workers. As for placements, they will be decided in consultation with the pension body which has been appointed in accordance with the provisions of the special specification, which specifies that social, ethical and environmental aspects must be taken into account.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u69	Minister, thank you. Can I ask you within what time frame you intend to decide on the funds? I hear you say you're going to talk to the organization about what the funds will be. Is it in a short period of time, starting in January? To rest the question of choice.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u70	This is even more than starting in January, since, as you know, a back service has been planned since 2017. But obviously it takes time to collect the contributions. The start-up will take place gradually, but we will be very careful to ensure that the specifications are properly applied, in consultation with the pension bodies.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u71	All right. So we will have an opportunity to discuss it again. Another problem is that the question of interim measures still persists. I understand that the purpose of the measure was not to discriminate against contractual agents in relation to the statutory staff, but I see that the interim staff are again in an ambiguous situation. Thank you for your answers.
